Orthogroup	Syat	Pran
OG0000110	Syat.g_00049	Pran.g_01603
OG0000111	Syat.g_00816	Pran.g_01479
OG0000112	Syat.g_00593	Pran.g_01378
OG0000113	Syat.g_00509	Pran.g_01321
OG0000114	Syat.g_00426	Pran.g_00429
OG0000115	Syat.g_01328	Pran.g_00123
OG0000116	Syat.g_02641	Pran.g_00070
OG0000117	Syat.g_00224	Pran.g_01466
OG0000118	Syat.g_01168	Pran.g_00864
OG0000119	Syat.g_00309	Pran.g_00845
OG0000120	Syat.g_02132	Pran.g_00752
OG0000121	Syat.g_01223	Pran.g_00731
OG0000123	Syat.g_01653	Pran.g_01112
OG0000124	Syat.g_02231	Pran.g_01176
OG0000125	Syat.g_02684	Pran.g_01212
OG0000126	Syat.g_00976	Pran.g_01252
OG0000128	Syat.g_02331	Pran.g_01268
OG0000129	Syat.g_02693, Syat.g_02694	Pran.g_00381
OG0000130	Syat.g_01469	Pran.g_00363
OG0000131	Syat.g_02898	Pran.g_00288
OG0000132	Syat.g_02864	Pran.g_00268
OG0000133	Syat.g_00588	Pran.g_01872
OG0000134	Syat.g_02956	Pran.g_01838
OG0000135	Syat.g_02501	Pran.g_01812
OG0000136	Syat.g_01292	Pran.g_01739
OG0000137	Syat.g_01371	Pran.g_01703
OG0000138	Syat.g_03188	Pran.g_01683
OG0000139	Syat.g_03276	Pran.g_01641
OG0000140	Syat.g_03280	Pran.g_01640
OG0000141	Syat.g_03398	Pran.g_01571
OG0000142	Syat.g_00117	Pran.g_01543
OG0000143	Syat.g_00130	Pran.g_01539
OG0000144	Syat.g_00369	Pran.g_01526
OG0000145	Syat.g_03202	Pran.g_01400
OG0000146	Syat.g_00594	Pran.g_01377
OG0000147	Syat.g_00595	Pran.g_01376
OG0000148	Syat.g_00503	Pran.g_01327
OG0000149	Syat.g_00747	Pran.g_01297
OG0000150	Syat.g_03399	Pran.g_01289
OG0000151	Syat.g_00801, Syat.g_00440	Pran.g_00439
OG0000152	Syat.g_00578	Pran.g_00487
OG0000153	Syat.g_00542	Pran.g_00506
OG0000154	Syat.g_00708	Pran.g_00542
OG0000155	Syat.g_00287	Pran.g_00040
OG0000156	Syat.g_03228	Pran.g_00887
OG0000157	Syat.g_02012, Syat.g_03227	Pran.g_00886
OG0000158	Syat.g_02163	Pran.g_00822
OG0000160	Syat.g_01224	Pran.g_00732
OG0000161	Syat.g_01180	Pran.g_00726
OG0000162	Syat.g_01281	Pran.g_00720
OG0000163	Syat.g_02979	Pran.g_00686
OG0000164	Syat.g_03040	Pran.g_00994
OG0000165	Syat.g_03033	Pran.g_01001
OG0000166	Syat.g_01822	Pran.g_01069, Pran.g_01068
OG0000167	Syat.g_02148	Pran.g_01135
OG0000168	Syat.g_02164	Pran.g_01144
OG0000169	Syat.g_02192	Pran.g_01154
OG0000170	Syat.g_02201	Pran.g_01156
OG0000171	Syat.g_02230	Pran.g_01175
OG0000172	Syat.g_02260	Pran.g_01184
OG0000173	Syat.g_02284	Pran.g_01199
OG0000174	Syat.g_02504	Pran.g_01226
OG0000175	Syat.g_02416	Pran.g_01236
OG0000176	Syat.g_02372	Pran.g_01261
OG0000177	Syat.g_02338	Pran.g_01262
OG0000178	Syat.g_02337	Pran.g_01263
OG0000179	Syat.g_02322	Pran.g_00408
OG0000180	Syat.g_02321	Pran.g_00407
OG0000181	Syat.g_02320	Pran.g_00406
OG0000182	Syat.g_02319	Pran.g_00405
OG0000183	Syat.g_02315	Pran.g_00401
OG0000184	Syat.g_02704	Pran.g_00379
OG0000185	Syat.g_02719	Pran.g_00376
OG0000186	Syat.g_01463	Pran.g_00368
OG0000187	Syat.g_01467	Pran.g_00367
OG0000188	Syat.g_01489	Pran.g_00350
OG0000189	Syat.g_00386, Syat.g_01557	Pran.g_00337
OG0000190	Syat.g_00330	Pran.g_00336
OG0000191	Syat.g_03344, Syat.g_02939	Pran.g_00316
OG0000192	Syat.g_02933	Pran.g_00312
OG0000193	Syat.g_02897	Pran.g_00287
OG0000194	Syat.g_02894	Pran.g_00283
OG0000195	Syat.g_02892	Pran.g_00281
OG0000196	Syat.g_02867	Pran.g_00271
OG0000197	Syat.g_02866	Pran.g_00270
OG0000198	Syat.g_02865	Pran.g_00269
OG0000199	Syat.g_02857	Pran.g_00262
OG0000200	Syat.g_02840	Pran.g_00248
OG0000201	Syat.g_02821	Pran.g_00240
OG0000202	Syat.g_02820	Pran.g_00239
OG0000203	Syat.g_02819	Pran.g_00238
OG0000204	Syat.g_02818	Pran.g_00237
OG0000205	Syat.g_02809	Pran.g_00230
OG0000206	Syat.g_02785	Pran.g_00225
OG0000207	Syat.g_02778	Pran.g_00223
OG0000208	Syat.g_02777	Pran.g_00222
OG0000209	Syat.g_02735	Pran.g_00213
OG0000210	Syat.g_02734	Pran.g_00212
OG0000211	Syat.g_01452	Pran.g_00199
OG0000212	Syat.g_01442	Pran.g_00193
OG0000213	Syat.g_01889	Pran.g_01935
OG0000214	Syat.g_02042	Pran.g_01926
OG0000215	Syat.g_02075	Pran.g_01902
OG0000216	Syat.g_02079	Pran.g_01900
OG0000217	Syat.g_02085	Pran.g_01897
OG0000218	Syat.g_02087	Pran.g_01895
OG0000219	Syat.g_02088	Pran.g_01894
OG0000220	Syat.g_02089	Pran.g_01893
OG0000221	Syat.g_02095	Pran.g_01892
OG0000222	Syat.g_02109	Pran.g_01884
OG0000223	Syat.g_02570	Pran.g_01871
OG0000224	Syat.g_02139	Pran.g_01869
OG0000225	Syat.g_01595	Pran.g_01849
OG0000226	Syat.g_01588	Pran.g_01845
OG0000228	Syat.g_02952	Pran.g_01840
OG0000229	Syat.g_02970	Pran.g_01744
OG0000230	Syat.g_02972	Pran.g_01742
OG0000231	Syat.g_01283	Pran.g_01728
OG0000232	Syat.g_01313	Pran.g_01720
OG0000233	Syat.g_01407	Pran.g_01715
OG0000234	Syat.g_01369	Pran.g_01702
OG0000235	Syat.g_03169	Pran.g_01699
OG0000236	Syat.g_03186	Pran.g_01685
OG0000237	Syat.g_03214	Pran.g_01672
OG0000238	Syat.g_03219	Pran.g_01666
OG0000239	Syat.g_01105	Pran.g_01653
OG0000240	Syat.g_01104	Pran.g_01652
OG0000241	Syat.g_00111	Pran.g_01648
OG0000242	Syat.g_01077	Pran.g_01646
OG0000243	Syat.g_00092	Pran.g_01635
OG0000244	Syat.g_00082	Pran.g_01632
OG0000245	Syat.g_00080	Pran.g_01630
OG0000246	Syat.g_00076	Pran.g_01626
OG0000247	Syat.g_00065	Pran.g_01616
OG0000248	Syat.g_00062	Pran.g_01613
OG0000249	Syat.g_00060	Pran.g_01611
OG0000250	Syat.g_00053	Pran.g_01606
OG0000251	Syat.g_00027	Pran.g_01587
OG0000252	Syat.g_00022	Pran.g_01584
OG0000253	Syat.g_00021	Pran.g_01583
OG0000254	Syat.g_03407	Pran.g_01567
OG0000255	Syat.g_02405	Pran.g_01561
OG0000256	Syat.g_03306	Pran.g_01551
OG0000257	Syat.g_00109	Pran.g_01548
OG0000258	Syat.g_00382	Pran.g_01535
OG0000259	Syat.g_00342	Pran.g_01518
OG0000260	Syat.g_00392	Pran.g_01515
OG0000261	Syat.g_00400	Pran.g_01513
OG0000262	Syat.g_00407	Pran.g_01509
OG0000263	Syat.g_00200	Pran.g_01497
OG0000266	Syat.g_00671	Pran.g_01450
OG0000267	Syat.g_00636	Pran.g_01439
OG0000268	Syat.g_00634	Pran.g_01438
OG0000269	Syat.g_00474, Syat.g_00126	Pran.g_01348
OG0000270	Syat.g_00477	Pran.g_01345
OG0000271	Syat.g_00485	Pran.g_01337
OG0000272	Syat.g_00486	Pran.g_01336
OG0000273	Syat.g_00520	Pran.g_01313
OG0000274	Syat.g_00521	Pran.g_01312
OG0000275	Syat.g_00718	Pran.g_01310
OG0000276	Syat.g_00725	Pran.g_01305
OG0000277	Syat.g_00738	Pran.g_01304
OG0000278	Syat.g_00741	Pran.g_01301
OG0000279	Syat.g_00755	Pran.g_01294
OG0000280	Syat.g_01669	Pran.g_01293
OG0000281	Syat.g_00960	Pran.g_01287
OG0000282	Syat.g_00431	Pran.g_00431
OG0000283	Syat.g_00620	Pran.g_00464
OG0000284	Syat.g_00614	Pran.g_00469
OG0000285	Syat.g_00607	Pran.g_00474
OG0000286	Syat.g_00579	Pran.g_00486
OG0000287	Syat.g_00550	Pran.g_00503
OG0000288	Syat.g_00709	Pran.g_00541
OG0000289	Syat.g_00695	Pran.g_00552
OG0000290	Syat.g_00805	Pran.g_00565
OG0000291	Syat.g_00807	Pran.g_00567
OG0000292	Syat.g_02388	Pran.g_00135
OG0000293	Syat.g_03241	Pran.g_00069
OG0000294	Syat.g_03248	Pran.g_00068
OG0000295	Syat.g_00297	Pran.g_00048
OG0000296	Syat.g_00295	Pran.g_00046
OG0000297	Syat.g_00226	Pran.g_00038
OG0000298	Syat.g_00225	Pran.g_00037
OG0000299	Syat.g_00910	Pran.g_00020
OG0000300	Syat.g_00904	Pran.g_00017
OG0000301	Syat.g_00903	Pran.g_00016
OG0000302	Syat.g_00901	Pran.g_00014
OG0000303	Syat.g_00892	Pran.g_00007
OG0000304	Syat.g_00885	Pran.g_00003
OG0000305	Syat.g_00809	Pran.g_00848
OG0000306	Syat.g_01704	Pran.g_00846
OG0000307	Syat.g_01304	Pran.g_00832
OG0000308	Syat.g_01306	Pran.g_00831
OG0000309	Syat.g_01417	Pran.g_00827
OG0000310	Syat.g_01246	Pran.g_00748
OG0000311	Syat.g_01242	Pran.g_00746
OG0000312	Syat.g_01237	Pran.g_00743
OG0000313	Syat.g_01183	Pran.g_00729
OG0000314	Syat.g_01341	Pran.g_00706
OG0000315	Syat.g_01351	Pran.g_00696
OG0000316	Syat.g_03082	Pran.g_00676
OG0000317	Syat.g_03120	Pran.g_00968
OG0000318	Syat.g_03125	Pran.g_00971
OG0000319	Syat.g_03055	Pran.g_00984
OG0000320	Syat.g_03053	Pran.g_00986
OG0000321	Syat.g_03052	Pran.g_00987
OG0000322	Syat.g_03051	Pran.g_00988
OG0000323	Syat.g_03038	Pran.g_00997
OG0000324	Syat.g_02998	Pran.g_01023
OG0000325	Syat.g_01861	Pran.g_01033
OG0000326	Syat.g_01854	Pran.g_01039
OG0000327	Syat.g_01827	Pran.g_01063
OG0000328	Syat.g_01826	Pran.g_01064
OG0000329	Syat.g_01808	Pran.g_01082
OG0000330	Syat.g_01807	Pran.g_01083
OG0000331	Syat.g_01806	Pran.g_01084
OG0000332	Syat.g_01790	Pran.g_01098
OG0000333	Syat.g_01787	Pran.g_01100
OG0000334	Syat.g_01657	Pran.g_01108
OG0000335	Syat.g_01652	Pran.g_01113
OG0000336	Syat.g_01648	Pran.g_01117
OG0000337	Syat.g_02144	Pran.g_01133
OG0000338	Syat.g_02146	Pran.g_01134
OG0000339	Syat.g_02155, Syat.g_01055	Pran.g_01138
OG0000340	Syat.g_02165	Pran.g_01145
OG0000341	Syat.g_02167	Pran.g_01147
OG0000342	Syat.g_02168	Pran.g_01148
OG0000343	Syat.g_02185	Pran.g_01149
OG0000344	Syat.g_02189	Pran.g_01152
OG0000345	Syat.g_02202	Pran.g_01157
OG0000346	Syat.g_02207	Pran.g_01161
OG0000347	Syat.g_02234	Pran.g_01177
OG0000348	Syat.g_02264	Pran.g_01187
OG0000349	Syat.g_02291	Pran.g_01203
OG0000350	Syat.g_01847	Pran.g_01222
OG0000351	Syat.g_02411	Pran.g_01239
OG0000352	Syat.g_02410	Pran.g_01240
OG0000353	Syat.g_00955, Syat.g_02377	Pran.g_01256
OG0000355	Syat.g_02375	Pran.g_01258
OG0000356	Syat.g_02374	Pran.g_01259
OG0000357	Syat.g_02373	Pran.g_01260
OG0000358	Syat.g_02336	Pran.g_01264
OG0000359	Syat.g_02334	Pran.g_01265
OG0000360	Syat.g_02333	Pran.g_01266
OG0000361	Syat.g_02332	Pran.g_01267
OG0000362	Syat.g_02330	Pran.g_01269
OG0000363	Syat.g_02328	Pran.g_00410
OG0000364	Syat.g_03122	Pran.g_00409
OG0000365	Syat.g_02318	Pran.g_00404
OG0000366	Syat.g_02317	Pran.g_00403
OG0000367	Syat.g_02316	Pran.g_00402
OG0000368	Syat.g_02314	Pran.g_00400
OG0000369	Syat.g_02313	Pran.g_00399
OG0000370	Syat.g_02312	Pran.g_00398
OG0000371	Syat.g_02304	Pran.g_00392
OG0000372	Syat.g_02298	Pran.g_00389
OG0000373	Syat.g_02297	Pran.g_00388
OG0000374	Syat.g_02296	Pran.g_00387
OG0000375	Syat.g_02295	Pran.g_00385
OG0000376	Syat.g_02293	Pran.g_00383
OG0000377	Syat.g_02695	Pran.g_00380
OG0000378	Syat.g_02715	Pran.g_00378
OG0000379	Syat.g_02720	Pran.g_00375
OG0000380	Syat.g_01468	Pran.g_00366
OG0000381	Syat.g_01470	Pran.g_00362
OG0000382	Syat.g_01488	Pran.g_00351
OG0000383	Syat.g_01521	Pran.g_00349
OG0000384	Syat.g_01522	Pran.g_00348
OG0000385	Syat.g_01523	Pran.g_00347
OG0000386	Syat.g_01524	Pran.g_00346
OG0000387	Syat.g_01561	Pran.g_00334
OG0000388	Syat.g_01565	Pran.g_00331
OG0000389	Syat.g_01569	Pran.g_00327
OG0000390	Syat.g_02945	Pran.g_00320
OG0000391	Syat.g_02940	Pran.g_00317
OG0000392	Syat.g_02934	Pran.g_00313
OG0000393	Syat.g_02931	Pran.g_00311
OG0000394	Syat.g_02930	Pran.g_00310
OG0000395	Syat.g_02929	Pran.g_00309
OG0000396	Syat.g_02927	Pran.g_00307
OG0000397	Syat.g_02925	Pran.g_00305
OG0000398	Syat.g_02920	Pran.g_00303
OG0000399	Syat.g_02919	Pran.g_00302
OG0000400	Syat.g_02918	Pran.g_00301
OG0000401	Syat.g_02917	Pran.g_00300
OG0000402	Syat.g_02915	Pran.g_00298
OG0000403	Syat.g_02914	Pran.g_00297
OG0000404	Syat.g_02913	Pran.g_00296
OG0000405	Syat.g_02900	Pran.g_00292
OG0000406	Syat.g_02896	Pran.g_00286
OG0000407	Syat.g_02895	Pran.g_00285
OG0000408	Syat.g_02893	Pran.g_00282
OG0000409	Syat.g_02891	Pran.g_00280
OG0000410	Syat.g_02890	Pran.g_00279
OG0000411	Syat.g_02889	Pran.g_00278
OG0000412	Syat.g_02888	Pran.g_00277
OG0000413	Syat.g_02886	Pran.g_00276
OG0000414	Syat.g_02885	Pran.g_00275
OG0000415	Syat.g_02884	Pran.g_00274
OG0000416	Syat.g_02883	Pran.g_00273
OG0000417	Syat.g_02868	Pran.g_00272
OG0000418	Syat.g_02863	Pran.g_00267
OG0000419	Syat.g_02861	Pran.g_00265
OG0000420	Syat.g_02859	Pran.g_00264
OG0000421	Syat.g_02855	Pran.g_00259
OG0000422	Syat.g_02854	Pran.g_00258
OG0000423	Syat.g_02853	Pran.g_00257
OG0000424	Syat.g_02852	Pran.g_00256
OG0000425	Syat.g_02851	Pran.g_00255
OG0000426	Syat.g_02850	Pran.g_00254
OG0000427	Syat.g_02849	Pran.g_00253
OG0000428	Syat.g_02846	Pran.g_00251
OG0000429	Syat.g_02843	Pran.g_00250
OG0000430	Syat.g_02841	Pran.g_00249
OG0000431	Syat.g_02838	Pran.g_00247
OG0000432	Syat.g_02832	Pran.g_00244
OG0000433	Syat.g_02829	Pran.g_00243
OG0000434	Syat.g_02828	Pran.g_00242
OG0000435	Syat.g_02824	Pran.g_00241
OG0000436	Syat.g_02817	Pran.g_00236
OG0000437	Syat.g_02558	Pran.g_00235
OG0000438	Syat.g_02813	Pran.g_00234
OG0000439	Syat.g_02811	Pran.g_00232
OG0000440	Syat.g_02810	Pran.g_00231
OG0000441	Syat.g_02807	Pran.g_00228
OG0000442	Syat.g_02797	Pran.g_00227
OG0000443	Syat.g_02787	Pran.g_00226
OG0000444	Syat.g_02756	Pran.g_00221
OG0000445	Syat.g_02755	Pran.g_00220
OG0000446	Syat.g_02753	Pran.g_00219
OG0000447	Syat.g_02749	Pran.g_00218
OG0000448	Syat.g_02748	Pran.g_00217
OG0000449	Syat.g_02747	Pran.g_00216
OG0000450	Syat.g_02738	Pran.g_00215
OG0000451	Syat.g_02737	Pran.g_00214
OG0000452	Syat.g_02732	Pran.g_00211
OG0000453	Syat.g_02731	Pran.g_00210
OG0000454	Syat.g_02730	Pran.g_00209
OG0000455	Syat.g_02729	Pran.g_00208
OG0000456	Syat.g_02728	Pran.g_00207
OG0000457	Syat.g_02726	Pran.g_00206
OG0000458	Syat.g_02725	Pran.g_00205
OG0000459	Syat.g_02724	Pran.g_00204
OG0000460	Syat.g_01450	Pran.g_00197
OG0000461	Syat.g_01866	Pran.g_01950
OG0000462	Syat.g_01868	Pran.g_01948
OG0000463	Syat.g_01869	Pran.g_01947
OG0000464	Syat.g_01870	Pran.g_01946
OG0000465	Syat.g_01872	Pran.g_01945
OG0000466	Syat.g_01877	Pran.g_01942
OG0000467	Syat.g_01878	Pran.g_01941
OG0000468	Syat.g_01884	Pran.g_01939
OG0000469	Syat.g_02000	Pran.g_01931
OG0000470	Syat.g_02038	Pran.g_01929
OG0000471	Syat.g_02039	Pran.g_01928
OG0000472	Syat.g_02041	Pran.g_01927
OG0000473	Syat.g_02043	Pran.g_01925
OG0000474	Syat.g_02044	Pran.g_01924
OG0000475	Syat.g_02045	Pran.g_01923
OG0000476	Syat.g_02047	Pran.g_01922
OG0000477	Syat.g_02053	Pran.g_01919
OG0000478	Syat.g_02054	Pran.g_01918
OG0000479	Syat.g_02056	Pran.g_01917
OG0000480	Syat.g_02063	Pran.g_01912
OG0000481	Syat.g_02066	Pran.g_01910
OG0000482	Syat.g_02067	Pran.g_01909
OG0000483	Syat.g_02071	Pran.g_01906
OG0000484	Syat.g_02072	Pran.g_01905
OG0000485	Syat.g_02073	Pran.g_01904
OG0000486	Syat.g_02074	Pran.g_01903
OG0000487	Syat.g_02080	Pran.g_01899
OG0000488	Syat.g_02086	Pran.g_01896
OG0000489	Syat.g_02097	Pran.g_01891
OG0000490	Syat.g_02106	Pran.g_01886
OG0000491	Syat.g_02107	Pran.g_01885
OG0000492	Syat.g_02110	Pran.g_01883
OG0000493	Syat.g_02111	Pran.g_01882
OG0000494	Syat.g_02112	Pran.g_01881
OG0000495	Syat.g_02120	Pran.g_01880
OG0000496	Syat.g_02121	Pran.g_01879
OG0000497	Syat.g_02122	Pran.g_01878
OG0000498	Syat.g_02123	Pran.g_01877
OG0000499	Syat.g_02124	Pran.g_01876
OG0000500	Syat.g_02125	Pran.g_01875
OG0000501	Syat.g_02128	Pran.g_01873
OG0000502	Syat.g_02135	Pran.g_01870
OG0000503	Syat.g_01614	Pran.g_01860
OG0000504	Syat.g_01612	Pran.g_01859
OG0000505	Syat.g_01611	Pran.g_01858
OG0000506	Syat.g_01609	Pran.g_01857
OG0000507	Syat.g_01603	Pran.g_01854
OG0000508	Syat.g_01596	Pran.g_01850
OG0000509	Syat.g_01591	Pran.g_01848
OG0000510	Syat.g_01590	Pran.g_01847
OG0000511	Syat.g_01589	Pran.g_01846
OG0000512	Syat.g_01587	Pran.g_01844
OG0000513	Syat.g_02957	Pran.g_01837
OG0000514	Syat.g_02962	Pran.g_01749
OG0000515	Syat.g_02963	Pran.g_01748
OG0000516	Syat.g_02965	Pran.g_01747
OG0000517	Syat.g_02969	Pran.g_01745
OG0000518	Syat.g_01286	Pran.g_01734
OG0000519	Syat.g_01285	Pran.g_01733
OG0000520	Syat.g_01284	Pran.g_01729
OG0000521	Syat.g_01319	Pran.g_01724
OG0000522	Syat.g_01317	Pran.g_01723
OG0000523	Syat.g_01316	Pran.g_01722
OG0000524	Syat.g_01409	Pran.g_01717
OG0000525	Syat.g_01382	Pran.g_01714
OG0000526	Syat.g_01380	Pran.g_01713
OG0000527	Syat.g_01373	Pran.g_01705
OG0000528	Syat.g_03167	Pran.g_01700
OG0000529	Syat.g_03171	Pran.g_01697
OG0000530	Syat.g_03174	Pran.g_01694
OG0000531	Syat.g_03175	Pran.g_01693
OG0000532	Syat.g_03178	Pran.g_01691
OG0000533	Syat.g_03180	Pran.g_01690
OG0000534	Syat.g_03181	Pran.g_01689
OG0000535	Syat.g_03182	Pran.g_01688
OG0000536	Syat.g_03183	Pran.g_01687
OG0000537	Syat.g_03185	Pran.g_01686
OG0000538	Syat.g_03204	Pran.g_01678
OG0000539	Syat.g_03206	Pran.g_01677
OG0000540	Syat.g_03207	Pran.g_01676
OG0000541	Syat.g_03208	Pran.g_01675
OG0000542	Syat.g_03213	Pran.g_01673
OG0000543	Syat.g_03215	Pran.g_01671
OG0000544	Syat.g_03216	Pran.g_01670
OG0000545	Syat.g_03218	Pran.g_01668
OG0000546	Syat.g_03220	Pran.g_01665
OG0000547	Syat.g_03222	Pran.g_01663
OG0000548	Syat.g_03223	Pran.g_01662
OG0000549	Syat.g_01795	Pran.g_01660
OG0000550	Syat.g_01107	Pran.g_01655
OG0000551	Syat.g_01103	Pran.g_01651
OG0000552	Syat.g_01102	Pran.g_01650
OG0000553	Syat.g_01098	Pran.g_01649
OG0000554	Syat.g_03271	Pran.g_01644
OG0000555	Syat.g_00093	Pran.g_01636
OG0000556	Syat.g_00088	Pran.g_01634
OG0000557	Syat.g_00083	Pran.g_01633
OG0000558	Syat.g_00081	Pran.g_01631
OG0000559	Syat.g_00077	Pran.g_01627
OG0000560	Syat.g_00074	Pran.g_01624
OG0000561	Syat.g_00073	Pran.g_01623
OG0000562	Syat.g_00072	Pran.g_01622
OG0000563	Syat.g_00071	Pran.g_01621
OG0000564	Syat.g_00070	Pran.g_01620
OG0000565	Syat.g_00067	Pran.g_01617
OG0000566	Syat.g_00063	Pran.g_01614
OG0000567	Syat.g_00059	Pran.g_01610
OG0000568	Syat.g_00057	Pran.g_01609
OG0000569	Syat.g_00056	Pran.g_01608
OG0000570	Syat.g_00055	Pran.g_01607
OG0000571	Syat.g_00052	Pran.g_01605
OG0000572	Syat.g_00033	Pran.g_01592
OG0000573	Syat.g_00024	Pran.g_01586
OG0000574	Syat.g_00023	Pran.g_01585
OG0000575	Syat.g_00018	Pran.g_01581
OG0000576	Syat.g_00014	Pran.g_01579
OG0000577	Syat.g_00013	Pran.g_01578
OG0000578	Syat.g_00012	Pran.g_01577
OG0000579	Syat.g_00011	Pran.g_01576
OG0000580	Syat.g_00010	Pran.g_01575
OG0000581	Syat.g_00003	Pran.g_01573
OG0000582	Syat.g_03403	Pran.g_01570
OG0000583	Syat.g_03404	Pran.g_01569
OG0000584	Syat.g_03405	Pran.g_01568
OG0000585	Syat.g_03408	Pran.g_01566
OG0000586	Syat.g_03409	Pran.g_01565
OG0000587	Syat.g_00001	Pran.g_01564
OG0000588	Syat.g_00338	Pran.g_01560
OG0000589	Syat.g_03318	Pran.g_01557
OG0000590	Syat.g_03317	Pran.g_01556
OG0000591	Syat.g_03308	Pran.g_01553
