Orthogroup	Syat	Prba
OG0000168	Syat.g_02164	Prba.g_01079
OG0000169	Syat.g_02192	Prba.g_00761
OG0000170	Syat.g_02201	Prba.g_00763
OG0000171	Syat.g_02230	Prba.g_00783
OG0000172	Syat.g_02260	Prba.g_00792
OG0000173	Syat.g_02284	Prba.g_00807
OG0000174	Syat.g_02504	Prba.g_00835
OG0000175	Syat.g_02416	Prba.g_00845
OG0000176	Syat.g_02372	Prba.g_01797
OG0000177	Syat.g_02338	Prba.g_01798
OG0000178	Syat.g_02337	Prba.g_01799
OG0000179	Syat.g_02322	Prba.g_01809
OG0000180	Syat.g_02321	Prba.g_01810
OG0000181	Syat.g_02320	Prba.g_01811
OG0000182	Syat.g_02319	Prba.g_01812
OG0000183	Syat.g_02315	Prba.g_01816
OG0000184	Syat.g_02704	Prba.g_01840
OG0000185	Syat.g_02719	Prba.g_01843
OG0000186	Syat.g_01463	Prba.g_01852
OG0000187	Syat.g_01467	Prba.g_01853
OG0000188	Syat.g_01489	Prba.g_01870
OG0000189	Syat.g_00386, Syat.g_01557	Prba.g_01884
OG0000190	Syat.g_00330	Prba.g_01885
OG0000191	Syat.g_03344, Syat.g_02939	Prba.g_01905
OG0000192	Syat.g_02933	Prba.g_01909
OG0000193	Syat.g_02897	Prba.g_01934
OG0000194	Syat.g_02894	Prba.g_01937
OG0000195	Syat.g_02892	Prba.g_01939
OG0000196	Syat.g_02867	Prba.g_01949
OG0000197	Syat.g_02866	Prba.g_01950
OG0000198	Syat.g_02865	Prba.g_01951
OG0000199	Syat.g_02857	Prba.g_00626
OG0000200	Syat.g_02840	Prba.g_00640
OG0000201	Syat.g_02821	Prba.g_00648
OG0000202	Syat.g_02820	Prba.g_00649
OG0000203	Syat.g_02819	Prba.g_00650
OG0000204	Syat.g_02818	Prba.g_00651
OG0000205	Syat.g_02809	Prba.g_00658
OG0000206	Syat.g_02785	Prba.g_00663
OG0000207	Syat.g_02778	Prba.g_00665
OG0000208	Syat.g_02777	Prba.g_00666
OG0000209	Syat.g_02735	Prba.g_00675
OG0000210	Syat.g_02734	Prba.g_00439
OG0000211	Syat.g_01452	Prba.g_00452
OG0000212	Syat.g_01442	Prba.g_00459
OG0000213	Syat.g_01889	Prba.g_00476
OG0000214	Syat.g_02042	Prba.g_00485
OG0000215	Syat.g_02075	Prba.g_00509
OG0000216	Syat.g_02079	Prba.g_00510
OG0000217	Syat.g_02085	Prba.g_00513
OG0000218	Syat.g_02087	Prba.g_00515
OG0000219	Syat.g_02088	Prba.g_00516
OG0000220	Syat.g_02089	Prba.g_00517
OG0000221	Syat.g_02095	Prba.g_00518
OG0000222	Syat.g_02109	Prba.g_00526
OG0000223	Syat.g_02570	Prba.g_00539
OG0000224	Syat.g_02139	Prba.g_00541
OG0000225	Syat.g_01595	Prba.g_00562
OG0000226	Syat.g_01588	Prba.g_00221
OG0000228	Syat.g_02952	Prba.g_00849
OG0000229	Syat.g_02970	Prba.g_01025
OG0000230	Syat.g_02972	Prba.g_01023
OG0000231	Syat.g_01283	Prba.g_01012
OG0000232	Syat.g_01313	Prba.g_01003
OG0000233	Syat.g_01407	Prba.g_00998
OG0000234	Syat.g_01369	Prba.g_00985
OG0000235	Syat.g_03169	Prba.g_00982
OG0000236	Syat.g_03186	Prba.g_00968
OG0000237	Syat.g_03214	Prba.g_00955
OG0000238	Syat.g_03219	Prba.g_00949
OG0000239	Syat.g_01105	Prba.g_00936
OG0000240	Syat.g_01104	Prba.g_00935
OG0000241	Syat.g_00111	Prba.g_00931
OG0000242	Syat.g_01077	Prba.g_00929
OG0000243	Syat.g_00092	Prba.g_01772
OG0000244	Syat.g_00082	Prba.g_01769
OG0000245	Syat.g_00080	Prba.g_01767
OG0000246	Syat.g_00076	Prba.g_01763
OG0000247	Syat.g_00065	Prba.g_01753
OG0000248	Syat.g_00062	Prba.g_01751
OG0000249	Syat.g_00060	Prba.g_01749
OG0000250	Syat.g_00053	Prba.g_01744
OG0000251	Syat.g_00027	Prba.g_01726
OG0000252	Syat.g_00022	Prba.g_01723
OG0000253	Syat.g_00021	Prba.g_01722
OG0000254	Syat.g_03407	Prba.g_01706
OG0000255	Syat.g_02405	Prba.g_01700
OG0000256	Syat.g_03306	Prba.g_01690
OG0000257	Syat.g_00109	Prba.g_01687
OG0000258	Syat.g_00382	Prba.g_01674
OG0000259	Syat.g_00342	Prba.g_01657
OG0000260	Syat.g_00392	Prba.g_01654
OG0000261	Syat.g_00400	Prba.g_01652
OG0000262	Syat.g_00407	Prba.g_01648
OG0000263	Syat.g_00200	Prba.g_01636
OG0000266	Syat.g_00671	Prba.g_01584
OG0000267	Syat.g_00636	Prba.g_01573
OG0000268	Syat.g_00634	Prba.g_01572
OG0000269	Syat.g_00474, Syat.g_00126	Prba.g_01504
OG0000270	Syat.g_00477	Prba.g_01501
OG0000271	Syat.g_00485	Prba.g_01493
OG0000272	Syat.g_00486	Prba.g_01492
OG0000273	Syat.g_00520	Prba.g_01469
OG0000274	Syat.g_00521	Prba.g_01468
OG0000275	Syat.g_00718	Prba.g_01465
OG0000276	Syat.g_00725	Prba.g_01460
OG0000277	Syat.g_00738	Prba.g_01459
OG0000278	Syat.g_00741	Prba.g_01456
OG0000279	Syat.g_00755	Prba.g_01449
OG0000280	Syat.g_01669	Prba.g_01448
OG0000281	Syat.g_00960	Prba.g_01443
OG0000282	Syat.g_00431	Prba.g_01393
OG0000283	Syat.g_00620	Prba.g_01360
OG0000284	Syat.g_00614	Prba.g_01355
OG0000285	Syat.g_00607	Prba.g_01350
OG0000286	Syat.g_00579	Prba.g_01338
OG0000287	Syat.g_00550	Prba.g_01321
OG0000288	Syat.g_00709	Prba.g_01291
OG0000289	Syat.g_00695	Prba.g_01280
OG0000290	Syat.g_00805	Prba.g_01267
OG0000291	Syat.g_00807	Prba.g_01265
OG0000292	Syat.g_02388	Prba.g_01216
OG0000293	Syat.g_03241	Prba.g_00073
OG0000294	Syat.g_03248	Prba.g_00072
OG0000295	Syat.g_00297	Prba.g_00051
OG0000296	Syat.g_00295	Prba.g_00049
OG0000297	Syat.g_00226	Prba.g_00041
OG0000298	Syat.g_00225	Prba.g_00040
OG0000299	Syat.g_00910	Prba.g_00023
OG0000300	Syat.g_00904	Prba.g_00020
OG0000301	Syat.g_00903	Prba.g_00019
OG0000302	Syat.g_00901	Prba.g_00017
OG0000303	Syat.g_00892	Prba.g_00010
OG0000304	Syat.g_00885	Prba.g_00006
OG0000305	Syat.g_00809	Prba.g_00204
OG0000306	Syat.g_01704	Prba.g_00201
OG0000307	Syat.g_01304	Prba.g_00187
OG0000308	Syat.g_01306	Prba.g_00186
OG0000309	Syat.g_01417	Prba.g_00182
OG0000310	Syat.g_01246	Prba.g_00112
OG0000311	Syat.g_01242	Prba.g_00110
OG0000312	Syat.g_01237	Prba.g_00107
OG0000313	Syat.g_01183	Prba.g_00709
OG0000314	Syat.g_01341	Prba.g_00686
OG0000315	Syat.g_01351	Prba.g_00351, Prba.g_00676
OG0000316	Syat.g_03082	Prba.g_00331
OG0000317	Syat.g_03120	Prba.g_00228
OG0000318	Syat.g_03125	Prba.g_00619
OG0000319	Syat.g_03055	Prba.g_00606
OG0000320	Syat.g_03053	Prba.g_00604
OG0000321	Syat.g_03052	Prba.g_00603
OG0000322	Syat.g_03051	Prba.g_00602
OG0000323	Syat.g_03038	Prba.g_00593
OG0000324	Syat.g_02998	Prba.g_00567
OG0000325	Syat.g_01861	Prba.g_00358
OG0000326	Syat.g_01854	Prba.g_00364
OG0000327	Syat.g_01827	Prba.g_00388
OG0000328	Syat.g_01826	Prba.g_00389
OG0000329	Syat.g_01808	Prba.g_00406
OG0000330	Syat.g_01807	Prba.g_00407
OG0000331	Syat.g_01806	Prba.g_00408
OG0000332	Syat.g_01790	Prba.g_00422
OG0000333	Syat.g_01787	Prba.g_00424
OG0000334	Syat.g_01657	Prba.g_00432
OG0000335	Syat.g_01652	Prba.g_00437
OG0000336	Syat.g_01648	Prba.g_01050
OG0000337	Syat.g_02144	Prba.g_01067
OG0000338	Syat.g_02146	Prba.g_01068
OG0000339	Syat.g_02155, Syat.g_01055	Prba.g_01072
OG0000340	Syat.g_02165	Prba.g_00752
OG0000341	Syat.g_02167	Prba.g_00754
OG0000342	Syat.g_02168	Prba.g_00755
OG0000343	Syat.g_02185	Prba.g_00756
OG0000344	Syat.g_02189	Prba.g_00759
OG0000345	Syat.g_02202	Prba.g_00764
OG0000346	Syat.g_02207	Prba.g_00769
OG0000347	Syat.g_02234	Prba.g_00785
OG0000348	Syat.g_02264	Prba.g_00795
OG0000349	Syat.g_02291	Prba.g_00812
OG0000350	Syat.g_01847	Prba.g_00831
OG0000351	Syat.g_02411	Prba.g_00848, Prba.g_01776
OG0000352	Syat.g_02410	Prba.g_01777
OG0000353	Syat.g_00955, Syat.g_02377	Prba.g_01792
OG0000355	Syat.g_02375	Prba.g_01794
OG0000356	Syat.g_02374	Prba.g_01795
OG0000357	Syat.g_02373	Prba.g_01796
OG0000358	Syat.g_02336	Prba.g_01800
OG0000359	Syat.g_02334	Prba.g_01801
OG0000360	Syat.g_02333	Prba.g_01802
OG0000361	Syat.g_02332	Prba.g_01803
OG0000362	Syat.g_02330	Prba.g_01805
OG0000363	Syat.g_02328	Prba.g_01807
OG0000364	Syat.g_03122	Prba.g_01808
OG0000365	Syat.g_02318	Prba.g_01813
OG0000366	Syat.g_02317	Prba.g_01814
OG0000367	Syat.g_02316	Prba.g_01815
OG0000368	Syat.g_02314	Prba.g_01817
OG0000369	Syat.g_02313	Prba.g_01818
OG0000370	Syat.g_02312	Prba.g_01819
OG0000371	Syat.g_02304	Prba.g_01825
OG0000372	Syat.g_02298	Prba.g_01828
OG0000373	Syat.g_02297	Prba.g_01829
OG0000374	Syat.g_02296	Prba.g_01830
OG0000375	Syat.g_02295	Prba.g_01834
OG0000376	Syat.g_02293	Prba.g_01836
OG0000377	Syat.g_02695	Prba.g_01839
OG0000378	Syat.g_02715	Prba.g_01841
OG0000379	Syat.g_02720	Prba.g_01844
OG0000380	Syat.g_01468	Prba.g_01854
OG0000381	Syat.g_01470	Prba.g_01858
OG0000382	Syat.g_01488	Prba.g_01869
OG0000383	Syat.g_01521	Prba.g_01871
OG0000384	Syat.g_01522	Prba.g_01872
OG0000385	Syat.g_01523	Prba.g_01873
OG0000386	Syat.g_01524	Prba.g_01874
OG0000387	Syat.g_01561	Prba.g_01887
OG0000388	Syat.g_01565	Prba.g_01890
OG0000389	Syat.g_01569	Prba.g_01894
OG0000390	Syat.g_02945	Prba.g_01901
OG0000391	Syat.g_02940	Prba.g_01904
OG0000392	Syat.g_02934	Prba.g_01908
OG0000393	Syat.g_02931	Prba.g_01910
OG0000394	Syat.g_02930	Prba.g_01911
OG0000395	Syat.g_02929	Prba.g_01912
OG0000396	Syat.g_02927	Prba.g_01915
OG0000397	Syat.g_02925	Prba.g_01917
OG0000398	Syat.g_02920	Prba.g_01919
OG0000399	Syat.g_02919	Prba.g_01920
OG0000400	Syat.g_02918	Prba.g_01921
OG0000401	Syat.g_02917	Prba.g_01922
OG0000402	Syat.g_02915	Prba.g_01924
OG0000403	Syat.g_02914	Prba.g_01925
OG0000404	Syat.g_02913	Prba.g_01926
OG0000405	Syat.g_02900	Prba.g_01930
OG0000406	Syat.g_02896	Prba.g_01935
OG0000407	Syat.g_02895	Prba.g_01936
OG0000408	Syat.g_02893	Prba.g_01938
OG0000409	Syat.g_02891	Prba.g_01940
OG0000410	Syat.g_02890	Prba.g_01941
OG0000411	Syat.g_02889	Prba.g_01942
OG0000412	Syat.g_02888	Prba.g_01943
OG0000413	Syat.g_02886	Prba.g_01944
OG0000414	Syat.g_02885	Prba.g_01945
OG0000415	Syat.g_02884	Prba.g_01946
OG0000416	Syat.g_02883	Prba.g_01947
OG0000417	Syat.g_02868	Prba.g_01948
OG0000418	Syat.g_02863	Prba.g_01953
OG0000419	Syat.g_02861	Prba.g_00623
OG0000420	Syat.g_02859	Prba.g_00624
OG0000421	Syat.g_02855	Prba.g_00629
OG0000422	Syat.g_02854	Prba.g_00630
OG0000423	Syat.g_02853	Prba.g_00631
OG0000424	Syat.g_02852	Prba.g_00632
OG0000425	Syat.g_02851	Prba.g_00633
OG0000426	Syat.g_02850	Prba.g_00634
OG0000427	Syat.g_02849	Prba.g_00635
OG0000428	Syat.g_02846	Prba.g_00637
OG0000429	Syat.g_02843	Prba.g_00638
OG0000430	Syat.g_02841	Prba.g_00639
OG0000431	Syat.g_02838	Prba.g_00641
OG0000432	Syat.g_02832	Prba.g_00644
OG0000433	Syat.g_02829	Prba.g_00645
OG0000434	Syat.g_02828	Prba.g_00646
OG0000435	Syat.g_02824	Prba.g_00647
OG0000436	Syat.g_02817	Prba.g_00652
OG0000437	Syat.g_02558	Prba.g_00653
OG0000438	Syat.g_02813	Prba.g_00654
OG0000439	Syat.g_02811	Prba.g_00656
OG0000440	Syat.g_02810	Prba.g_00657
OG0000441	Syat.g_02807	Prba.g_00660
OG0000442	Syat.g_02797	Prba.g_00661
OG0000443	Syat.g_02787	Prba.g_00662
OG0000444	Syat.g_02756	Prba.g_00667
OG0000445	Syat.g_02755	Prba.g_00668
OG0000446	Syat.g_02753	Prba.g_00669
OG0000447	Syat.g_02749	Prba.g_00670
OG0000448	Syat.g_02748	Prba.g_00671
OG0000449	Syat.g_02747	Prba.g_00672
OG0000450	Syat.g_02738	Prba.g_00673
OG0000451	Syat.g_02737	Prba.g_00674
OG0000452	Syat.g_02732	Prba.g_00440
OG0000453	Syat.g_02731	Prba.g_00441
OG0000454	Syat.g_02730	Prba.g_00442
OG0000455	Syat.g_02729	Prba.g_00443
OG0000456	Syat.g_02728	Prba.g_00444
OG0000457	Syat.g_02726	Prba.g_00445
OG0000458	Syat.g_02725	Prba.g_00446
OG0000459	Syat.g_02724	Prba.g_00447
OG0000460	Syat.g_01450	Prba.g_00454
OG0000461	Syat.g_01866	Prba.g_00461
OG0000462	Syat.g_01868	Prba.g_00463
OG0000463	Syat.g_01869	Prba.g_00464
OG0000464	Syat.g_01870	Prba.g_00465
OG0000465	Syat.g_01872	Prba.g_00466
OG0000466	Syat.g_01877	Prba.g_00469
OG0000467	Syat.g_01878	Prba.g_00470
OG0000468	Syat.g_01884	Prba.g_00472
OG0000469	Syat.g_02000	Prba.g_00480
OG0000470	Syat.g_02038	Prba.g_00482
OG0000471	Syat.g_02039	Prba.g_00483
OG0000472	Syat.g_02041	Prba.g_00484
OG0000473	Syat.g_02043	Prba.g_00486
OG0000474	Syat.g_02044	Prba.g_00487
OG0000475	Syat.g_02045	Prba.g_00488
OG0000476	Syat.g_02047	Prba.g_00489
OG0000477	Syat.g_02053	Prba.g_00492
OG0000478	Syat.g_02054	Prba.g_00493
OG0000479	Syat.g_02056	Prba.g_00494
OG0000480	Syat.g_02063	Prba.g_00499
OG0000481	Syat.g_02066	Prba.g_00501
OG0000482	Syat.g_02067	Prba.g_00502
OG0000483	Syat.g_02071	Prba.g_00505
OG0000484	Syat.g_02072	Prba.g_00506
OG0000485	Syat.g_02073	Prba.g_00507
OG0000486	Syat.g_02074	Prba.g_00508
OG0000487	Syat.g_02080	Prba.g_00511
OG0000488	Syat.g_02086	Prba.g_00514
OG0000489	Syat.g_02097	Prba.g_00519
OG0000490	Syat.g_02106	Prba.g_00524
OG0000491	Syat.g_02107	Prba.g_00525
OG0000492	Syat.g_02110	Prba.g_00527
OG0000493	Syat.g_02111	Prba.g_00528
OG0000494	Syat.g_02112	Prba.g_00529
OG0000495	Syat.g_02120	Prba.g_00530
OG0000496	Syat.g_02121	Prba.g_00531
OG0000497	Syat.g_02122	Prba.g_00532
OG0000498	Syat.g_02123	Prba.g_00533
OG0000499	Syat.g_02124	Prba.g_00534
OG0000500	Syat.g_02125	Prba.g_00535
OG0000501	Syat.g_02128	Prba.g_00537
OG0000502	Syat.g_02135	Prba.g_00540
OG0000503	Syat.g_01614	Prba.g_00550
OG0000504	Syat.g_01612	Prba.g_00551
OG0000505	Syat.g_01611	Prba.g_00552
OG0000506	Syat.g_01609	Prba.g_00554
OG0000507	Syat.g_01603	Prba.g_00557
OG0000508	Syat.g_01596	Prba.g_00561
OG0000509	Syat.g_01591	Prba.g_00218
OG0000510	Syat.g_01590	Prba.g_00219
OG0000511	Syat.g_01589	Prba.g_00220
OG0000512	Syat.g_01587	Prba.g_00222
OG0000513	Syat.g_02957	Prba.g_00852
OG0000514	Syat.g_02962	Prba.g_01030
OG0000515	Syat.g_02963	Prba.g_01029
OG0000516	Syat.g_02965	Prba.g_01028
OG0000517	Syat.g_02969	Prba.g_01026
OG0000518	Syat.g_01286	Prba.g_01015
OG0000519	Syat.g_01285	Prba.g_01014
OG0000520	Syat.g_01284	Prba.g_01013
OG0000521	Syat.g_01319	Prba.g_01008
OG0000522	Syat.g_01317	Prba.g_01006
OG0000523	Syat.g_01316	Prba.g_01005
OG0000524	Syat.g_01409	Prba.g_01000
OG0000525	Syat.g_01382	Prba.g_00997
OG0000526	Syat.g_01380	Prba.g_00996
OG0000527	Syat.g_01373	Prba.g_00988
OG0000528	Syat.g_03167	Prba.g_00983
OG0000529	Syat.g_03171	Prba.g_00980
OG0000530	Syat.g_03174	Prba.g_00977
OG0000531	Syat.g_03175	Prba.g_00976
OG0000532	Syat.g_03178	Prba.g_00974
OG0000533	Syat.g_03180	Prba.g_00973
OG0000534	Syat.g_03181	Prba.g_00972
OG0000535	Syat.g_03182	Prba.g_00971
OG0000536	Syat.g_03183	Prba.g_00970
OG0000537	Syat.g_03185	Prba.g_00969
OG0000538	Syat.g_03204	Prba.g_00961
OG0000539	Syat.g_03206	Prba.g_00960
OG0000540	Syat.g_03207	Prba.g_00959
OG0000541	Syat.g_03208	Prba.g_00958
OG0000542	Syat.g_03213	Prba.g_00956
OG0000543	Syat.g_03215	Prba.g_00954
OG0000544	Syat.g_03216	Prba.g_00953
OG0000545	Syat.g_03218	Prba.g_00951
OG0000546	Syat.g_03220	Prba.g_00948
OG0000547	Syat.g_03222	Prba.g_00946
OG0000548	Syat.g_03223	Prba.g_00945
OG0000549	Syat.g_01795	Prba.g_00943
OG0000550	Syat.g_01107	Prba.g_00938
OG0000551	Syat.g_01103	Prba.g_00934
OG0000552	Syat.g_01102	Prba.g_00933
OG0000553	Syat.g_01098	Prba.g_00932
OG0000554	Syat.g_03271	Prba.g_00927
OG0000555	Syat.g_00093	Prba.g_01773
OG0000556	Syat.g_00088	Prba.g_01771
OG0000557	Syat.g_00083	Prba.g_01770
OG0000558	Syat.g_00081	Prba.g_01768
OG0000559	Syat.g_00077	Prba.g_01764
OG0000560	Syat.g_00074	Prba.g_01761
OG0000561	Syat.g_00073	Prba.g_01760
OG0000562	Syat.g_00072	Prba.g_01759
OG0000563	Syat.g_00071	Prba.g_01758
OG0000564	Syat.g_00070	Prba.g_01757
OG0000565	Syat.g_00067	Prba.g_01754
OG0000566	Syat.g_00063	Prba.g_01752
OG0000567	Syat.g_00059	Prba.g_01748
OG0000568	Syat.g_00057	Prba.g_01747
OG0000569	Syat.g_00056	Prba.g_01746
OG0000570	Syat.g_00055	Prba.g_01745
OG0000571	Syat.g_00052	Prba.g_01743
OG0000572	Syat.g_00033	Prba.g_01730
OG0000573	Syat.g_00024	Prba.g_01725
OG0000574	Syat.g_00023	Prba.g_01724
OG0000575	Syat.g_00018	Prba.g_01720
OG0000576	Syat.g_00014	Prba.g_01718
OG0000577	Syat.g_00013	Prba.g_01717
OG0000578	Syat.g_00012	Prba.g_01716
OG0000579	Syat.g_00011	Prba.g_01715
OG0000580	Syat.g_00010	Prba.g_01714
OG0000581	Syat.g_00003	Prba.g_01712
OG0000582	Syat.g_03403	Prba.g_01709
OG0000583	Syat.g_03404	Prba.g_01708
OG0000584	Syat.g_03405	Prba.g_01707
OG0000585	Syat.g_03408	Prba.g_01705
OG0000586	Syat.g_03409	Prba.g_01704
OG0000587	Syat.g_00001	Prba.g_01703
OG0000588	Syat.g_00338	Prba.g_01699
OG0000589	Syat.g_03318	Prba.g_01696
