Orthogroup	Prar	Syar
OG0000053	Prar.g_00589, Prar.g_00827	Syar.g_01413
OG0000054	Prar.g_01436	Syar.g_02265
OG0000055	Prar.g_01664	Syar.g_01386
OG0000056	Prar.g_00932	Syar.g_01662
OG0000057	Prar.g_01528	Syar.g_01941, Syar.g_00006
OG0000059	Prar.g_01090	Syar.g_01024
OG0000061	Prar.g_01263	Syar.g_01539
OG0000062	Prar.g_00769	Syar.g_02911
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syar.g_00509
OG0000065	Prar.g_00221	Syar.g_03119
OG0000066	Prar.g_01369	Syar.g_03187, Syar.g_02228
OG0000067	Prar.g_01684	Syar.g_02639
OG0000068	Prar.g_00911	Syar.g_02329, Syar.g_01461
OG0000069	Prar.g_01170, Prar.g_00736	Syar.g_01716
OG0000070	Prar.g_00498	Syar.g_02223, Syar.g_03150
OG0000071	Prar.g_00955	Syar.g_02777
OG0000072	Prar.g_00156	Syar.g_00107, Syar.g_01140
OG0000073	Prar.g_01330	Syar.g_01364, Syar.g_01493
OG0000075	Prar.g_00629	Syar.g_03065, Syar.g_00659
OG0000076	Prar.g_00592, Prar.g_00653	Syar.g_00608
OG0000077	Prar.g_00250	Syar.g_03051
OG0000078	Prar.g_00088	Syar.g_03265, Syar.g_03018, Syar.g_01366
OG0000081	Prar.g_01361	Syar.g_01898
OG0000082	Prar.g_01414	Syar.g_02202
OG0000085	Prar.g_01150	Syar.g_02919
OG0000086	Prar.g_00240	Syar.g_03085
OG0000087	Prar.g_00189	Syar.g_03192, Syar.g_00068
OG0000088	Prar.g_00161	Syar.g_00101
OG0000089	Prar.g_00416	Syar.g_01162
OG0000090	Prar.g_01363	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prar.g_01472	Syar.g_01891, Syar.g_02426
OG0000092	Prar.g_00615	Syar.g_01960
OG0000093	Prar.g_01801	Syar.g_02623
OG0000094	Prar.g_01885	Syar.g_01789
OG0000095	Prar.g_01904	Syar.g_01932
OG0000097	Prar.g_01222	Syar.g_01706, Syar.g_00364
OG0000098	Prar.g_00929	Syar.g_02343
OG0000099	Prar.g_00872	Syar.g_00715
OG0000100	Prar.g_00773	Syar.g_02477
OG0000101	Prar.g_01027	Syar.g_01073, Syar.g_03154
OG0000102	Prar.g_00658	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prar.g_00050	Syar.g_00014, Syar.g_00452
OG0000104	Prar.g_00042	Syar.g_00466
OG0000105	Prar.g_00313	Syar.g_00218
OG0000106	Prar.g_00431	Syar.g_01748
OG0000107	Prar.g_00446	Syar.g_03290, Syar.g_00149
OG0000108	Prar.g_00530	Syar.g_01469
OG0000109	Prar.g_00544	Syar.g_03310, Syar.g_01485
OG0000110	Prar.g_01404	Syar.g_02295
OG0000111	Prar.g_01529	Syar.g_01940, Syar.g_00005
OG0000112	Prar.g_01652	Syar.g_03195, Syar.g_02548
OG0000113	Prar.g_01706	Syar.g_02664
OG0000114	Prar.g_01776	Syar.g_01616
OG0000115	Prar.g_01318	Syar.g_02854, Syar.g_01415
OG0000116	Prar.g_01273	Syar.g_01525, Syar.g_02255
OG0000117	Prar.g_01003	Syar.g_01969
OG0000118	Prar.g_00943	Syar.g_02793
OG0000120	Prar.g_00880	Syar.g_00713
OG0000121	Prar.g_00337	Syar.g_02806
OG0000123	Prar.g_01021	Syar.g_01079
OG0000124	Prar.g_00668	Syar.g_00586
OG0000125	Prar.g_00704	Syar.g_00338
OG0000126	Prar.g_00043	Syar.g_00887, Syar.g_00888
OG0000128	Prar.g_00027	Syar.g_00482
OG0000129	Prar.g_00576	Syar.g_00324
OG0000130	Prar.g_00549	Syar.g_03040
OG0000131	Prar.g_00182	Syar.g_02216, Syar.g_00078
OG0000132	Prar.g_00163	Syar.g_00099
OG0000133	Prar.g_00265	Syar.g_02543
OG0000134	Prar.g_00417	Syar.g_02009, Syar.g_01165
OG0000135	Prar.g_00444	Syar.g_00698
OG0000136	Prar.g_00489	Syar.g_02874
OG0000137	Prar.g_00525	Syar.g_01273
OG0000138	Prar.g_00545	Syar.g_01486
OG0000139	Prar.g_01367	Syar.g_03245, Syar.g_02348
OG0000140	Prar.g_01368	Syar.g_02344, Syar.g_03246
OG0000141	Prar.g_01437	Syar.g_02129
OG0000142	Prar.g_01465	Syar.g_02418
OG0000143	Prar.g_01469	Syar.g_02422
OG0000144	Prar.g_01482	Syar.g_02441
OG0000145	Prar.g_01651	Syar.g_01494, Syar.g_03205
OG0000146	Prar.g_01653	Syar.g_02549
OG0000147	Prar.g_01654	Syar.g_02550
OG0000148	Prar.g_01700	Syar.g_02658
OG0000149	Prar.g_01730	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prar.g_01738	Syar.g_02130
OG0000151	Prar.g_01786	Syar.g_02038
OG0000152	Prar.g_01833	Syar.g_02539
OG0000153	Prar.g_01852	Syar.g_03283, Syar.g_02503
OG0000154	Prar.g_01878	Syar.g_01800
OG0000155	Prar.g_01243	Syar.g_01959
OG0000156	Prar.g_00966	Syar.g_01517
OG0000157	Prar.g_00965	Syar.g_01516
OG0000158	Prar.g_00375	Syar.g_00650
OG0000160	Prar.g_00338	Syar.g_02807
OG0000161	Prar.g_00840	Syar.g_02801
OG0000162	Prar.g_00834	Syar.g_02863
OG0000163	Prar.g_00800	Syar.g_00639, Syar.g_01186
OG0000164	Prar.g_01964	Syar.g_03168, Syar.g_02969
OG0000165	Prar.g_01971	Syar.g_02976
OG0000166	Prar.g_01063	Syar.g_01034
OG0000167	Prar.g_00627	Syar.g_00662
OG0000168	Prar.g_00637	Syar.g_00246
OG0000169	Prar.g_00647	Syar.g_00262
OG0000170	Prar.g_00649	Syar.g_00613
OG0000171	Prar.g_00667	Syar.g_00587
OG0000172	Prar.g_00675	Syar.g_00547
OG0000173	Prar.g_00690	Syar.g_00528
OG0000174	Prar.g_00068	Syar.g_00701
OG0000175	Prar.g_00058	Syar.g_00438
OG0000176	Prar.g_00034	Syar.g_00474
OG0000177	Prar.g_00033	Syar.g_00475
OG0000178	Prar.g_00032	Syar.g_00476
OG0000179	Prar.g_00022	Syar.g_00489
OG0000180	Prar.g_00021	Syar.g_00490
OG0000181	Prar.g_00020	Syar.g_00491
OG0000182	Prar.g_00019	Syar.g_00492
OG0000183	Prar.g_00015	Syar.g_00496
OG0000184	Prar.g_00573	Syar.g_00897
OG0000185	Prar.g_00570	Syar.g_00909
OG0000186	Prar.g_00554	Syar.g_03036
OG0000187	Prar.g_00553	Syar.g_03038
OG0000188	Prar.g_00246	Syar.g_03058
OG0000189	Prar.g_00232	Syar.g_03104
OG0000190	Prar.g_00231	Syar.g_03107, Syar.g_02374
OG0000191	Prar.g_00211	Syar.g_00039
OG0000192	Prar.g_00207	Syar.g_00046
OG0000193	Prar.g_00181	Syar.g_00079
OG0000194	Prar.g_00178	Syar.g_03236, Syar.g_00082
OG0000195	Prar.g_00176	Syar.g_00023, Syar.g_00084
OG0000196	Prar.g_00166	Syar.g_00096
OG0000197	Prar.g_00165	Syar.g_00097
OG0000198	Prar.g_00164	Syar.g_00098
OG0000199	Prar.g_00157	Syar.g_00106
OG0000200	Prar.g_00143	Syar.g_00124
OG0000201	Prar.g_00135	Syar.g_01000
OG0000202	Prar.g_00134	Syar.g_00998, Syar.g_00021
OG0000203	Prar.g_00133	Syar.g_00020, Syar.g_00997
OG0000204	Prar.g_00132	Syar.g_00996
OG0000205	Prar.g_00125	Syar.g_00988
OG0000206	Prar.g_00120	Syar.g_00963
OG0000207	Prar.g_00118	Syar.g_00957
OG0000208	Prar.g_00117	Syar.g_00956
OG0000209	Prar.g_00108	Syar.g_00936, Syar.g_03261
OG0000210	Prar.g_00107	Syar.g_00935, Syar.g_03260
OG0000211	Prar.g_00094	Syar.g_03026
OG0000212	Prar.g_00087	Syar.g_03017
OG0000213	Prar.g_00330	Syar.g_00187
OG0000214	Prar.g_00320	Syar.g_00209
OG0000215	Prar.g_00295	Syar.g_00239
OG0000216	Prar.g_00293	Syar.g_00244
OG0000217	Prar.g_01154, Prar.g_00290	Syar.g_00854
OG0000218	Prar.g_00288	Syar.g_00852
OG0000219	Prar.g_00287	Syar.g_00851
OG0000220	Prar.g_00286	Syar.g_00850, Syar.g_02026
OG0000221	Prar.g_00285	Syar.g_00834
OG0000222	Prar.g_00277	Syar.g_02119, Syar.g_00728
OG0000223	Prar.g_00264	Syar.g_00649
OG0000224	Prar.g_00262	Syar.g_00762, Syar.g_00273
OG0000225	Prar.g_00406	Syar.g_01142
OG0000226	Prar.g_00410	Syar.g_01146
OG0000227	Prar.g_00412	Syar.g_01148
OG0000228	Prar.g_00415	Syar.g_01161
OG0000229	Prar.g_00484	Syar.g_01177, Syar.g_03273
OG0000230	Prar.g_00486	Syar.g_01179, Syar.g_03275
OG0000231	Prar.g_00497	Syar.g_02865, Syar.g_03151
OG0000232	Prar.g_00506	Syar.g_01424
OG0000233	Prar.g_00512	Syar.g_03183, Syar.g_01247
OG0000234	Prar.g_00526	Syar.g_01275
OG0000235	Prar.g_00529	Syar.g_01468
OG0000236	Prar.g_00543	Syar.g_03311, Syar.g_01484
OG0000237	Prar.g_01337	Syar.g_01503
OG0000238	Prar.g_01343	Syar.g_01508
OG0000239	Prar.g_01355	Syar.g_03277, Syar.g_02687
OG0000240	Prar.g_01356	Syar.g_03278, Syar.g_02686
OG0000241	Prar.g_01360	Syar.g_02410
OG0000242	Prar.g_01362	Syar.g_01926
OG0000243	Prar.g_01373	Syar.g_02335
OG0000244	Prar.g_01376	Syar.g_02327
OG0000245	Prar.g_01378	Syar.g_02325, Syar.g_03238
OG0000246	Prar.g_01382	Syar.g_02321
OG0000247	Prar.g_01392	Syar.g_02310
OG0000248	Prar.g_01394	Syar.g_02307, Syar.g_03293
OG0000249	Prar.g_01396	Syar.g_02305
OG0000250	Prar.g_01401	Syar.g_02299, Syar.g_03194
OG0000251	Prar.g_01420	Syar.g_03207, Syar.g_02194
OG0000252	Prar.g_01424	Syar.g_02189, Syar.g_03263
OG0000253	Prar.g_01425	Syar.g_02028, Syar.g_03229
OG0000254	Prar.g_01441	Syar.g_02169
OG0000255	Prar.g_01447	Syar.g_00011, Syar.g_02224
OG0000256	Prar.g_01457	Syar.g_02244
OG0000257	Prar.g_01460	Syar.g_02407, Syar.g_01762
OG0000258	Prar.g_01473	Syar.g_02427, Syar.g_00010
OG0000259	Prar.g_01490	Syar.g_02472
OG0000260	Prar.g_01493	Syar.g_03220, Syar.g_02475
OG0000261	Prar.g_01495	Syar.g_01916
OG0000262	Prar.g_01499	Syar.g_01690
OG0000263	Prar.g_01511	Syar.g_01991
OG0000264	Prar.g_01521	Syar.g_02135, Syar.g_03267
OG0000266	Prar.g_01609	Syar.g_01570
OG0000267	Prar.g_01620	Syar.g_01873
OG0000268	Prar.g_01621	Syar.g_02589
OG0000269	Prar.g_01679	Syar.g_02634
OG0000270	Prar.g_01682	Syar.g_00744, Syar.g_02637
OG0000271	Prar.g_01690	Syar.g_02645
OG0000272	Prar.g_01691	Syar.g_02646
OG0000273	Prar.g_01714	Syar.g_02481, Syar.g_00008
OG0000274	Prar.g_01715	Syar.g_00009, Syar.g_02482
OG0000275	Prar.g_01717	Syar.g_01810
OG0000276	Prar.g_01722	Syar.g_01817
OG0000277	Prar.g_01723	Syar.g_01818, Syar.g_03242
OG0000278	Prar.g_01726	Syar.g_01821, Syar.g_03174
OG0000279	Prar.g_01733	Syar.g_01838
OG0000280	Prar.g_01734	Syar.g_02067, Syar.g_00734
OG0000281	Prar.g_01740	Syar.g_02218
OG0000282	Prar.g_01778	Syar.g_01614, Syar.g_03255
OG0000283	Prar.g_01810	Syar.g_02574
OG0000284	Prar.g_01815	Syar.g_03258, Syar.g_02568
OG0000285	Prar.g_01820	Syar.g_02560
OG0000286	Prar.g_01832	Syar.g_02540
OG0000287	Prar.g_01849	Syar.g_02512
OG0000288	Prar.g_01877	Syar.g_01801
OG0000289	Prar.g_01888	Syar.g_03305, Syar.g_01786
OG0000290	Prar.g_01901	Syar.g_01928
OG0000291	Prar.g_01903	Syar.g_01930
OG0000292	Prar.g_01953	Syar.g_00463
OG0000293	Prar.g_01272	Syar.g_03297, Syar.g_01526
OG0000294	Prar.g_01271	Syar.g_01527, Syar.g_03296
OG0000295	Prar.g_01251	Syar.g_01951, Syar.g_03208
OG0000296	Prar.g_01249	Syar.g_01953
OG0000297	Prar.g_01241	Syar.g_01967, Syar.g_03216
OG0000298	Prar.g_01240	Syar.g_01968, Syar.g_03215
OG0000299	Prar.g_01223	Syar.g_01704
OG0000300	Prar.g_01220	Syar.g_01646, Syar.g_01711
OG0000301	Prar.g_01219	Syar.g_01712
OG0000302	Prar.g_01217	Syar.g_01713
OG0000303	Prar.g_01210	Syar.g_03136, Syar.g_01723
OG0000304	Prar.g_01206	Syar.g_01728
OG0000305	Prar.g_00919	Syar.g_01933, Syar.g_03163
OG0000306	Prar.g_00916	Syar.g_01884, Syar.g_03140
OG0000307	Prar.g_00902	Syar.g_01452, Syar.g_03153
OG0000308	Prar.g_00901	Syar.g_01450
OG0000309	Prar.g_00897	Syar.g_01239
OG0000310	Prar.g_00354	Syar.g_02826
OG0000311	Prar.g_00352	Syar.g_02823
OG0000312	Prar.g_00349	Syar.g_00015, Syar.g_02818
OG0000313	Prar.g_00335	Syar.g_02804
OG0000314	Prar.g_00820	Syar.g_01403
OG0000315	Prar.g_00810	Syar.g_01393
OG0000316	Prar.g_00790	Syar.g_02885
OG0000317	Prar.g_01145	Syar.g_02926
OG0000318	Prar.g_01142	Syar.g_02930
OG0000319	Prar.g_01129	Syar.g_02954
OG0000320	Prar.g_01127	Syar.g_02956
OG0000321	Prar.g_01126	Syar.g_02957
OG0000322	Prar.g_01125	Syar.g_02958
OG0000323	Prar.g_01967	Syar.g_02973
OG0000324	Prar.g_00609	Syar.g_00350, Syar.g_03001
OG0000325	Prar.g_01113	Syar.g_03291, Syar.g_00148
OG0000326	Prar.g_01107	Syar.g_00139, Syar.g_03134
OG0000327	Prar.g_01068	Syar.g_01029
OG0000328	Prar.g_01067	Syar.g_01030
OG0000329	Prar.g_01050	Syar.g_03189, Syar.g_01048
OG0000330	Prar.g_01049	Syar.g_03190, Syar.g_01049
OG0000331	Prar.g_01048	Syar.g_01050, Syar.g_03191
OG0000332	Prar.g_01034	Syar.g_01064, Syar.g_03299
OG0000333	Prar.g_01032	Syar.g_01067
OG0000334	Prar.g_01024	Syar.g_01076
OG0000335	Prar.g_01020	Syar.g_01080
OG0000336	Prar.g_01016	Syar.g_01084
OG0000337	Prar.g_00625	Syar.g_00285
OG0000338	Prar.g_00626	Syar.g_03225, Syar.g_00287
OG0000339	Prar.g_00630	Syar.g_00658
OG0000340	Prar.g_00638	Syar.g_00247
OG0000341	Prar.g_00640	Syar.g_00249
OG0000342	Prar.g_00641	Syar.g_00250
OG0000343	Prar.g_00642	Syar.g_00256
OG0000344	Prar.g_00645	Syar.g_00260
OG0000345	Prar.g_00650	Syar.g_00612
OG0000346	Prar.g_00654	Syar.g_00607
OG0000347	Prar.g_00669	Syar.g_00558
OG0000348	Prar.g_00678	Syar.g_00544
OG0000349	Prar.g_00695	Syar.g_00521
OG0000350	Prar.g_00072	Syar.g_00132
OG0000351	Prar.g_00055	Syar.g_00442
OG0000352	Prar.g_00054	Syar.g_00443
OG0000353	Prar.g_00039	Syar.g_00469
OG0000355	Prar.g_00037	Syar.g_00471
OG0000356	Prar.g_00036	Syar.g_00472
OG0000357	Prar.g_00035	Syar.g_00473
OG0000358	Prar.g_00031	Syar.g_00477
OG0000359	Prar.g_00030	Syar.g_00479
OG0000360	Prar.g_00029	Syar.g_00480
OG0000361	Prar.g_00028	Syar.g_00481
OG0000362	Prar.g_00026	Syar.g_00483
OG0000363	Prar.g_00024	Syar.g_00484
OG0000364	Prar.g_00023	Syar.g_02928
OG0000365	Prar.g_00018	Syar.g_00493
OG0000366	Prar.g_00017	Syar.g_00494
OG0000367	Prar.g_00016	Syar.g_03262, Syar.g_00495
OG0000368	Prar.g_00014	Syar.g_00497
OG0000369	Prar.g_00013	Syar.g_00498
OG0000370	Prar.g_00012	Syar.g_00499
OG0000371	Prar.g_00006	Syar.g_00508
OG0000372	Prar.g_00002	Syar.g_00514
OG0000373	Prar.g_00001	Syar.g_00515
OG0000374	Prar.g_00594	Syar.g_00516
OG0000375	Prar.g_00580	Syar.g_00517
OG0000376	Prar.g_00578	Syar.g_00519
OG0000377	Prar.g_00574	Syar.g_00322
OG0000378	Prar.g_00572	Syar.g_00905
OG0000379	Prar.g_00569	Syar.g_00910
OG0000380	Prar.g_00552	Syar.g_03039
OG0000381	Prar.g_00548	Syar.g_03041
OG0000382	Prar.g_00247	Syar.g_03057
OG0000383	Prar.g_00245	Syar.g_03074
OG0000384	Prar.g_00244	Syar.g_03075
OG0000385	Prar.g_00243	Syar.g_03076
OG0000386	Prar.g_00242	Syar.g_03077
OG0000387	Prar.g_00229	Syar.g_03109
OG0000388	Prar.g_00226	Syar.g_03148, Syar.g_03113
OG0000389	Prar.g_00222	Syar.g_03118
OG0000390	Prar.g_00215	Syar.g_00033
OG0000391	Prar.g_00212	Syar.g_00038
OG0000392	Prar.g_00208	Syar.g_00045
OG0000393	Prar.g_00206	Syar.g_00048
OG0000394	Prar.g_00205	Syar.g_00049
OG0000395	Prar.g_00204	Syar.g_00050
OG0000396	Prar.g_00201	Syar.g_00053
OG0000397	Prar.g_00199	Syar.g_00055
OG0000398	Prar.g_00197	Syar.g_00060
OG0000399	Prar.g_00196	Syar.g_00061
OG0000400	Prar.g_00195	Syar.g_00062
OG0000401	Prar.g_00194	Syar.g_00063
OG0000402	Prar.g_00192	Syar.g_00065
OG0000403	Prar.g_00191	Syar.g_00066
OG0000404	Prar.g_00190	Syar.g_00067
OG0000405	Prar.g_00186	Syar.g_00076
OG0000406	Prar.g_00180	Syar.g_00080
OG0000407	Prar.g_00179	Syar.g_00081
OG0000408	Prar.g_00177	Syar.g_00083
OG0000409	Prar.g_00175	Syar.g_00085
OG0000410	Prar.g_00174	Syar.g_00086
OG0000411	Prar.g_00173	Syar.g_00087
OG0000412	Prar.g_00172	Syar.g_00088
OG0000413	Prar.g_00171	Syar.g_00090
OG0000414	Prar.g_01569, Prar.g_00170	Syar.g_00091, Syar.g_03179
OG0000415	Prar.g_00169	Syar.g_00092
OG0000416	Prar.g_00168	Syar.g_00093
OG0000417	Prar.g_00167	Syar.g_00095
OG0000418	Prar.g_00162	Syar.g_00100
OG0000419	Prar.g_00160	Syar.g_00102
OG0000420	Prar.g_00159	Syar.g_00104
OG0000421	Prar.g_00154	Syar.g_00109
OG0000422	Prar.g_00153	Syar.g_00110
OG0000423	Prar.g_00152	Syar.g_00111
OG0000424	Prar.g_00151	Syar.g_00112
OG0000425	Prar.g_00150	Syar.g_00113
OG0000426	Prar.g_00149	Syar.g_00114
OG0000427	Prar.g_00148	Syar.g_00115
OG0000428	Prar.g_00146	Syar.g_00118
OG0000429	Prar.g_00145	Syar.g_00121
OG0000430	Prar.g_00144	Syar.g_00123
OG0000431	Prar.g_00142	Syar.g_00127
OG0000432	Prar.g_00139	Syar.g_01009
OG0000433	Prar.g_00138	Syar.g_01007
OG0000434	Prar.g_00137	Syar.g_01006
OG0000435	Prar.g_00136	Syar.g_01003
OG0000436	Prar.g_00131	Syar.g_00994
OG0000437	Prar.g_00130	Syar.g_00993
OG0000438	Prar.g_00129	Syar.g_00992
OG0000439	Prar.g_00127	Syar.g_00990
OG0000440	Prar.g_00126	Syar.g_00989
OG0000441	Prar.g_00123	Syar.g_00986
OG0000442	Prar.g_00122	Syar.g_00977
OG0000443	Prar.g_00121	Syar.g_00964
OG0000444	Prar.g_00116	Syar.g_00954
OG0000445	Prar.g_00115	Syar.g_00953
OG0000446	Prar.g_00114	Syar.g_00951
OG0000447	Prar.g_00113	Syar.g_00948
OG0000448	Prar.g_00112	Syar.g_00947
OG0000449	Prar.g_00111	Syar.g_00946
OG0000450	Prar.g_00110	Syar.g_00939
OG0000451	Prar.g_00109	Syar.g_00938
OG0000452	Prar.g_00106	Syar.g_00934
OG0000453	Prar.g_00105	Syar.g_00933
OG0000454	Prar.g_00104	Syar.g_00932
OG0000455	Prar.g_00103	Syar.g_00931
OG0000456	Prar.g_00102	Syar.g_00930
OG0000457	Prar.g_00101	Syar.g_00928
OG0000458	Prar.g_00100	Syar.g_00918
OG0000459	Prar.g_00099	Syar.g_00917
OG0000460	Prar.g_00092	Syar.g_03024
OG0000461	Prar.g_00085	Syar.g_00153
OG0000462	Prar.g_00083	Syar.g_00155
OG0000463	Prar.g_00082	Syar.g_00156
OG0000464	Prar.g_00081	Syar.g_00157
OG0000465	Prar.g_00080	Syar.g_00159
OG0000466	Prar.g_00077	Syar.g_00164
OG0000467	Prar.g_00076	Syar.g_00165
OG0000468	Prar.g_00334	Syar.g_00170
OG0000469	Prar.g_00325	Syar.g_00203
OG0000470	Prar.g_00323	Syar.g_00206
OG0000471	Prar.g_00322	Syar.g_00207
OG0000472	Prar.g_00321	Syar.g_00208
OG0000473	Prar.g_00319	Syar.g_00210
OG0000474	Prar.g_00318	Syar.g_00211
OG0000475	Prar.g_00317	Syar.g_00212
OG0000476	Prar.g_00316	Syar.g_00214
OG0000477	Prar.g_00312	Syar.g_00219
OG0000478	Prar.g_00311	Syar.g_00220
OG0000479	Prar.g_00310	Syar.g_00221
OG0000480	Prar.g_00305	Syar.g_00228
OG0000481	Prar.g_00303	Syar.g_00230
OG0000482	Prar.g_00302	Syar.g_00231
OG0000483	Prar.g_00299	Syar.g_00235
OG0000484	Prar.g_00298	Syar.g_00236
OG0000485	Prar.g_00297	Syar.g_00237
OG0000486	Prar.g_00296	Syar.g_00024, Syar.g_00238
OG0000487	Prar.g_00292	Syar.g_00245
OG0000488	Prar.g_00289	Syar.g_00853
OG0000489	Prar.g_00284	Syar.g_00833
OG0000490	Prar.g_00279	Syar.g_00823
OG0000491	Prar.g_00278	Syar.g_00822
OG0000492	Prar.g_00276	Syar.g_00727
OG0000493	Prar.g_00275	Syar.g_00726
OG0000494	Prar.g_00274	Syar.g_00725
OG0000495	Prar.g_00273	Syar.g_00724
OG0000496	Prar.g_00272	Syar.g_00723
OG0000497	Prar.g_00271	Syar.g_00722
OG0000498	Prar.g_00270	Syar.g_00721
OG0000499	Prar.g_00269	Syar.g_00720
OG0000500	Prar.g_00268	Syar.g_00719
OG0000501	Prar.g_00266	Syar.g_00716
OG0000502	Prar.g_00263	Syar.g_00275
OG0000503	Prar.g_00394	Syar.g_01118
OG0000504	Prar.g_00395	Syar.g_01120
OG0000505	Prar.g_00396	Syar.g_01121
OG0000506	Prar.g_00398	Syar.g_01123
OG0000507	Prar.g_00401	Syar.g_01129
OG0000508	Prar.g_00405	Syar.g_01141
OG0000509	Prar.g_00407	Syar.g_01143
OG0000510	Prar.g_00408	Syar.g_01144
OG0000511	Prar.g_00409	Syar.g_01145
OG0000512	Prar.g_00411	Syar.g_01147
OG0000513	Prar.g_00418	Syar.g_01166
OG0000514	Prar.g_00479	Syar.g_01169
OG0000515	Prar.g_00480	Syar.g_01170
OG0000516	Prar.g_00481	Syar.g_01172
OG0000517	Prar.g_00483	Syar.g_01176
OG0000518	Prar.g_00494	Syar.g_02868
OG0000519	Prar.g_00495	Syar.g_02867
OG0000520	Prar.g_00496	Syar.g_02866
OG0000521	Prar.g_00501	Syar.g_01419
OG0000522	Prar.g_00503	Syar.g_01421
OG0000523	Prar.g_00504	Syar.g_01422
OG0000524	Prar.g_00510	Syar.g_01244
OG0000525	Prar.g_00513	Syar.g_01263
OG0000526	Prar.g_00514	Syar.g_01266
OG0000527	Prar.g_00523	Syar.g_01271
OG0000528	Prar.g_00528	Syar.g_01466
OG0000529	Prar.g_00531	Syar.g_01470
OG0000530	Prar.g_00534	Syar.g_01473
OG0000531	Prar.g_00535	Syar.g_01474
OG0000532	Prar.g_00537	Syar.g_01477
OG0000533	Prar.g_00538	Syar.g_01479
OG0000534	Prar.g_00539	Syar.g_01480
OG0000535	Prar.g_00540	Syar.g_01481
OG0000536	Prar.g_00541	Syar.g_01482
OG0000537	Prar.g_00542	Syar.g_01483
OG0000538	Prar.g_01331	Syar.g_01496
OG0000539	Prar.g_01332	Syar.g_01497
OG0000540	Prar.g_01333	Syar.g_01498
OG0000541	Prar.g_01334	Syar.g_01499
OG0000542	Prar.g_01336	Syar.g_01502
OG0000543	Prar.g_01338	Syar.g_01504
OG0000544	Prar.g_01339	Syar.g_01505
OG0000545	Prar.g_01341	Syar.g_01507
OG0000546	Prar.g_01344	Syar.g_01509
OG0000547	Prar.g_01345	Syar.g_01511
OG0000548	Prar.g_01346	Syar.g_01512
OG0000549	Prar.g_01348	Syar.g_02693
OG0000550	Prar.g_01353	Syar.g_02689
OG0000551	Prar.g_01357	Syar.g_02684
OG0000552	Prar.g_01358	Syar.g_02683
OG0000553	Prar.g_01359	Syar.g_02679
OG0000554	Prar.g_01364	Syar.g_02352
OG0000555	Prar.g_01372	Syar.g_02336
OG0000556	Prar.g_01374	Syar.g_02332
OG0000557	Prar.g_01375	Syar.g_02328
OG0000558	Prar.g_01377	Syar.g_02326
