Orthogroup	Prar	Syap
OG0000132	Prar.g_00163	Syap.g_01205
OG0000133	Prar.g_00265	Syap.g_02017
OG0000134	Prar.g_00417	Syap.g_02047
OG0000135	Prar.g_00444	Syap.g_02090
OG0000136	Prar.g_00489	Syap.g_00089
OG0000137	Prar.g_00525	Syap.g_02756
OG0000138	Prar.g_00545	Syap.g_00278
OG0000139	Prar.g_01367	Syap.g_00410
OG0000140	Prar.g_01368	Syap.g_01976
OG0000141	Prar.g_01437	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prar.g_01465	Syap.g_00895, Syap.g_00894
OG0000143	Prar.g_01469	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prar.g_01482	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prar.g_01651	Syap.g_01860, Syap.g_01859
OG0000146	Prar.g_01653	Syap.g_02024
OG0000147	Prar.g_01654	Syap.g_02025
OG0000148	Prar.g_01700	Syap.g_02720
OG0000149	Prar.g_01730	Syap.g_00824
OG0000150	Prar.g_01738	Syap.g_01540
OG0000151	Prar.g_01786	Syap.g_00142
OG0000152	Prar.g_01833	Syap.g_02012
OG0000153	Prar.g_01852	Syap.g_02682
OG0000154	Prar.g_01878	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prar.g_01243	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prar.g_00966	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prar.g_00965	Syap.g_00249, Syap.g_00286
OG0000158	Prar.g_00375	Syap.g_01075
OG0000159	Prar.g_00380	Syap.g_00700
OG0000160	Prar.g_00338	Syap.g_02470, Syap.g_02469
OG0000161	Prar.g_00840	Syap.g_02476
OG0000162	Prar.g_00834	Syap.g_02531
OG0000164	Prar.g_01964	Syap.g_01391, Syap.g_01392
OG0000165	Prar.g_01971	Syap.g_01381, Syap.g_01382
OG0000166	Prar.g_01063	Syap.g_00512, Syap.g_01238
OG0000167	Prar.g_00627	Syap.g_02080
OG0000168	Prar.g_00637	Syap.g_01076
OG0000169	Prar.g_00647	Syap.g_01049, Syap.g_01093
OG0000170	Prar.g_00649	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prar.g_00667	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prar.g_00675	Syap.g_01143, Syap.g_00635
OG0000173	Prar.g_00690	Syap.g_01213, Syap.g_00982, Syap.g_00983
OG0000174	Prar.g_00068	Syap.g_02092
OG0000175	Prar.g_00058	Syap.g_02654
OG0000176	Prar.g_00034	Syap.g_00059
OG0000177	Prar.g_00033	Syap.g_00061, Syap.g_00060
OG0000178	Prar.g_00032	Syap.g_00062
OG0000179	Prar.g_00022	Syap.g_00077, Syap.g_02638
OG0000180	Prar.g_00021	Syap.g_00078, Syap.g_02640
OG0000181	Prar.g_00020	Syap.g_00079, Syap.g_02641
OG0000182	Prar.g_00019	Syap.g_00080, Syap.g_02642
OG0000183	Prar.g_00015	Syap.g_00084
OG0000184	Prar.g_00573	Syap.g_01337
OG0000185	Prar.g_00570	Syap.g_01322
OG0000186	Prar.g_00554	Syap.g_01684
OG0000187	Prar.g_00553	Syap.g_01686
OG0000188	Prar.g_00246	Syap.g_02547
OG0000191	Prar.g_00211	Syap.g_02233
OG0000192	Prar.g_00207	Syap.g_02224
OG0000193	Prar.g_00181	Syap.g_02187, Syap.g_02188
OG0000194	Prar.g_00178	Syap.g_02183
OG0000195	Prar.g_00176	Syap.g_02180
OG0000196	Prar.g_00166	Syap.g_01208, Syap.g_02167
OG0000197	Prar.g_00165	Syap.g_01207, Syap.g_02166
OG0000198	Prar.g_00164	Syap.g_01206
OG0000199	Prar.g_00157	Syap.g_01197
OG0000200	Prar.g_00143	Syap.g_01181
OG0000201	Prar.g_00135	Syap.g_02265
OG0000202	Prar.g_00134	Syap.g_02264
OG0000203	Prar.g_00133	Syap.g_01601
OG0000204	Prar.g_00132	Syap.g_01602
OG0000205	Prar.g_00125	Syap.g_01616
OG0000206	Prar.g_00120	Syap.g_01628
OG0000207	Prar.g_00118	Syap.g_01426, Syap.g_00424
OG0000208	Prar.g_00117	Syap.g_00426, Syap.g_01425
OG0000209	Prar.g_00108	Syap.g_01906
OG0000210	Prar.g_00107	Syap.g_01905
OG0000211	Prar.g_00094	Syap.g_01160
OG0000212	Prar.g_00087	Syap.g_02664
OG0000213	Prar.g_00330	Syap.g_00107, Syap.g_01599
OG0000214	Prar.g_00320	Syap.g_02344, Syap.g_02345
OG0000215	Prar.g_00295	Syap.g_01347, Syap.g_01629
OG0000216	Prar.g_00293	Syap.g_01634
OG0000217	Prar.g_01154, Prar.g_00290	Syap.g_01638
OG0000218	Prar.g_00288	Syap.g_01641, Syap.g_01640
OG0000219	Prar.g_00287	Syap.g_01642, Syap.g_01643
OG0000220	Prar.g_00286	Syap.g_01645
OG0000221	Prar.g_00285	Syap.g_01646
OG0000222	Prar.g_00277	Syap.g_01669
OG0000223	Prar.g_00264	Syap.g_02072, Syap.g_02073
OG0000224	Prar.g_00262	Syap.g_02064
OG0000225	Prar.g_00406	Syap.g_00553, Syap.g_00552
OG0000226	Prar.g_00410	Syap.g_02029, Syap.g_02144
OG0000227	Prar.g_00412	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prar.g_00415	Syap.g_00116, Syap.g_02041
OG0000229	Prar.g_00484	Syap.g_02059
OG0000230	Prar.g_00486	Syap.g_02061
OG0000231	Prar.g_00497	Syap.g_02533
OG0000232	Prar.g_00506	Syap.g_02510, Syap.g_02511
OG0000233	Prar.g_00512	Syap.g_02133
OG0000234	Prar.g_00526	Syap.g_02755
OG0000235	Prar.g_00529	Syap.g_00732, Syap.g_02258
OG0000236	Prar.g_00543	Syap.g_02238
OG0000237	Prar.g_01337	Syap.g_00262, Syap.g_00263
OG0000238	Prar.g_01343	Syap.g_00257, Syap.g_00258
OG0000239	Prar.g_01355	Syap.g_02744
OG0000240	Prar.g_01356	Syap.g_02742
OG0000241	Prar.g_01360	Syap.g_00888
OG0000242	Prar.g_01362	Syap.g_01455
OG0000243	Prar.g_01373	Syap.g_01938
OG0000244	Prar.g_01376	Syap.g_01146, Syap.g_01145
OG0000245	Prar.g_01378	Syap.g_01148
OG0000246	Prar.g_01382	Syap.g_00308
OG0000247	Prar.g_01392	Syap.g_00288, Syap.g_00293
OG0000248	Prar.g_01394	Syap.g_00290
OG0000249	Prar.g_01396	Syap.g_01296, Syap.g_01295
OG0000250	Prar.g_01401	Syap.g_01306
OG0000251	Prar.g_01420	Syap.g_00442
OG0000252	Prar.g_01424	Syap.g_01857
OG0000253	Prar.g_01425	Syap.g_00443
OG0000254	Prar.g_01441	Syap.g_01527, Syap.g_01528
OG0000256	Prar.g_01457	Syap.g_01287
OG0000257	Prar.g_01460	Syap.g_00886
OG0000258	Prar.g_01473	Syap.g_00907
OG0000260	Prar.g_01493	Syap.g_01970
OG0000261	Prar.g_01495	Syap.g_01962, Syap.g_01961
OG0000262	Prar.g_01499	Syap.g_01954
OG0000263	Prar.g_01511	Syap.g_00432, Syap.g_00433
OG0000266	Prar.g_01609	Syap.g_00519
OG0000267	Prar.g_01620	Syap.g_02333, Syap.g_02332
OG0000268	Prar.g_01621	Syap.g_00646
OG0000269	Prar.g_01679	Syap.g_00188
OG0000270	Prar.g_01682	Syap.g_00192
OG0000271	Prar.g_01690	Syap.g_00200, Syap.g_00201
OG0000272	Prar.g_01691	Syap.g_00202
OG0000273	Prar.g_01714	Syap.g_02703
OG0000274	Prar.g_01715	Syap.g_02702
OG0000275	Prar.g_01717	Syap.g_01847
OG0000276	Prar.g_01722	Syap.g_01839, Syap.g_01838
OG0000277	Prar.g_01723	Syap.g_01837
OG0000278	Prar.g_01726	Syap.g_01834
OG0000279	Prar.g_01733	Syap.g_00829, Syap.g_00830
OG0000280	Prar.g_01734	Syap.g_00365
OG0000281	Prar.g_01740	Syap.g_01977
OG0000282	Prar.g_01778	Syap.g_01252
OG0000283	Prar.g_01810	Syap.g_01728
OG0000284	Prar.g_01815	Syap.g_01736
OG0000285	Prar.g_01820	Syap.g_01746, Syap.g_01744
OG0000286	Prar.g_01832	Syap.g_02014, Syap.g_02013
OG0000288	Prar.g_01877	Syap.g_02764, Syap.g_02763
OG0000289	Prar.g_01888	Syap.g_02784
OG0000290	Prar.g_01901	Syap.g_01552
OG0000291	Prar.g_01903	Syap.g_01554
OG0000292	Prar.g_01953	Syap.g_02314
OG0000293	Prar.g_01272	Syap.g_00240
OG0000294	Prar.g_01271	Syap.g_00239
OG0000295	Prar.g_01251	Syap.g_00206
OG0000296	Prar.g_01249	Syap.g_00204
OG0000297	Prar.g_01241	Syap.g_01887
OG0000298	Prar.g_01240	Syap.g_01888
OG0000299	Prar.g_01223	Syap.g_02620
OG0000302	Prar.g_01217	Syap.g_02444, Syap.g_02445
OG0000303	Prar.g_01210	Syap.g_02435
OG0000304	Prar.g_01206	Syap.g_02430
OG0000305	Prar.g_00919	Syap.g_01557
OG0000306	Prar.g_00916	Syap.g_01966
OG0000307	Prar.g_00902	Syap.g_02517
OG0000308	Prar.g_00901	Syap.g_02514, Syap.g_02515
OG0000309	Prar.g_00897	Syap.g_02198, Syap.g_02446
OG0000310	Prar.g_00354	Syap.g_02660, Syap.g_02661
OG0000311	Prar.g_00352	Syap.g_02657
OG0000312	Prar.g_00349	Syap.g_02114
OG0000313	Prar.g_00335	Syap.g_02473
OG0000314	Prar.g_00820	Syap.g_00007
OG0000315	Prar.g_00810	Syap.g_00017
OG0000316	Prar.g_00790	Syap.g_00030
OG0000317	Prar.g_01145	Syap.g_00618
OG0000318	Prar.g_01142	Syap.g_00622, Syap.g_02786
OG0000319	Prar.g_01129	Syap.g_01764, Syap.g_01771
OG0000320	Prar.g_01127	Syap.g_01761, Syap.g_01769
OG0000321	Prar.g_01126	Syap.g_01760, Syap.g_01768
OG0000322	Prar.g_01125	Syap.g_01759, Syap.g_01767
OG0000323	Prar.g_01967	Syap.g_01389
OG0000324	Prar.g_00609	Syap.g_01503
OG0000325	Prar.g_01113	Syap.g_02680
OG0000326	Prar.g_01107	Syap.g_00544
OG0000327	Prar.g_01068	Syap.g_01233, Syap.g_01913
OG0000328	Prar.g_01067	Syap.g_01234, Syap.g_01912
OG0000329	Prar.g_01050	Syap.g_00498
OG0000330	Prar.g_01049	Syap.g_00497
OG0000331	Prar.g_01048	Syap.g_00496
OG0000332	Prar.g_01034	Syap.g_00481
OG0000333	Prar.g_01032	Syap.g_00478
OG0000334	Prar.g_01024	Syap.g_00468
OG0000335	Prar.g_01020	Syap.g_00101, Syap.g_00463
OG0000336	Prar.g_01016	Syap.g_00417, Syap.g_00607
OG0000337	Prar.g_00625	Syap.g_01054
OG0000338	Prar.g_00626	Syap.g_01059
OG0000339	Prar.g_00630	Syap.g_01068
OG0000340	Prar.g_00638	Syap.g_01077
OG0000341	Prar.g_00640	Syap.g_01079
OG0000342	Prar.g_00641	Syap.g_01080, Syap.g_02477
OG0000343	Prar.g_00642	Syap.g_01086, Syap.g_02078
OG0000344	Prar.g_00645	Syap.g_01091
OG0000345	Prar.g_00650	Syap.g_01107, Syap.g_01470
OG0000346	Prar.g_00654	Syap.g_02423, Syap.g_01113
OG0000347	Prar.g_00669	Syap.g_01131, Syap.g_02459
OG0000348	Prar.g_00678	Syap.g_00632
OG0000349	Prar.g_00695	Syap.g_00110, Syap.g_01813
OG0000351	Prar.g_00055	Syap.g_02594
OG0000352	Prar.g_00054	Syap.g_02596, Syap.g_02597
OG0000353	Prar.g_00039	Syap.g_00054
OG0000355	Prar.g_00037	Syap.g_00056
OG0000356	Prar.g_00036	Syap.g_00057
OG0000357	Prar.g_00035	Syap.g_00058
OG0000358	Prar.g_00031	Syap.g_00063
OG0000359	Prar.g_00030	Syap.g_00065
OG0000360	Prar.g_00029	Syap.g_00067
OG0000361	Prar.g_00028	Syap.g_00068
OG0000362	Prar.g_00026	Syap.g_00070
OG0000363	Prar.g_00024	Syap.g_00072
OG0000364	Prar.g_00023	Syap.g_00620
OG0000365	Prar.g_00018	Syap.g_00081
OG0000366	Prar.g_00017	Syap.g_00082
OG0000367	Prar.g_00016	Syap.g_00083
OG0000368	Prar.g_00014	Syap.g_00085
OG0000369	Prar.g_00013	Syap.g_00086
OG0000370	Prar.g_00012	Syap.g_00087
OG0000372	Prar.g_00002	Syap.g_01805
OG0000373	Prar.g_00001	Syap.g_01806
OG0000374	Prar.g_00594	Syap.g_01807
OG0000375	Prar.g_00580	Syap.g_01808
OG0000376	Prar.g_00578	Syap.g_01811
OG0000377	Prar.g_00574	Syap.g_00128
OG0000378	Prar.g_00572	Syap.g_01326
OG0000380	Prar.g_00552	Syap.g_01687
OG0000381	Prar.g_00548	Syap.g_01690
OG0000382	Prar.g_00247	Syap.g_02548
OG0000383	Prar.g_00245	Syap.g_02359
OG0000384	Prar.g_00244	Syap.g_02360
OG0000385	Prar.g_00243	Syap.g_02361
OG0000386	Prar.g_00242	Syap.g_02362
OG0000387	Prar.g_00229	Syap.g_01864
OG0000391	Prar.g_00212	Syap.g_02234
OG0000392	Prar.g_00208	Syap.g_02225
OG0000393	Prar.g_00206	Syap.g_02222
OG0000394	Prar.g_00205	Syap.g_02221
OG0000395	Prar.g_00204	Syap.g_02220
OG0000396	Prar.g_00201	Syap.g_02217
OG0000397	Prar.g_00199	Syap.g_02215
OG0000398	Prar.g_00197	Syap.g_02211
OG0000399	Prar.g_00196	Syap.g_02210
OG0000400	Prar.g_00195	Syap.g_02209
OG0000401	Prar.g_00194	Syap.g_02208
OG0000402	Prar.g_00192	Syap.g_02206
OG0000403	Prar.g_00191	Syap.g_02205
OG0000404	Prar.g_00190	Syap.g_02204, Syap.g_02618
OG0000405	Prar.g_00186	Syap.g_02191
OG0000406	Prar.g_00180	Syap.g_02186
OG0000407	Prar.g_00179	Syap.g_02185
OG0000408	Prar.g_00177	Syap.g_02181, Syap.g_02182
OG0000409	Prar.g_00175	Syap.g_02179
OG0000410	Prar.g_00174	Syap.g_02178
OG0000411	Prar.g_00173	Syap.g_02177
OG0000412	Prar.g_00172	Syap.g_02176
OG0000413	Prar.g_00171	Syap.g_02174
OG0000414	Prar.g_01569, Prar.g_00170	Syap.g_02173
OG0000415	Prar.g_00169	Syap.g_02172
OG0000416	Prar.g_00168	Syap.g_02171
OG0000417	Prar.g_00167	Syap.g_02169
OG0000418	Prar.g_00162	Syap.g_01204
OG0000419	Prar.g_00160	Syap.g_01201
OG0000420	Prar.g_00159	Syap.g_01199
OG0000421	Prar.g_00154	Syap.g_01195
OG0000422	Prar.g_00153	Syap.g_01194
OG0000423	Prar.g_00152	Syap.g_01193
OG0000424	Prar.g_00151	Syap.g_01192
OG0000425	Prar.g_00150	Syap.g_01191
OG0000426	Prar.g_00149	Syap.g_01190
OG0000427	Prar.g_00148	Syap.g_01189
OG0000428	Prar.g_00146	Syap.g_01186
OG0000429	Prar.g_00145	Syap.g_01184
OG0000430	Prar.g_00144	Syap.g_01182
OG0000431	Prar.g_00142	Syap.g_01179
OG0000432	Prar.g_00139	Syap.g_02277
OG0000433	Prar.g_00138	Syap.g_02272
OG0000434	Prar.g_00137	Syap.g_02271
OG0000435	Prar.g_00136	Syap.g_02268
OG0000436	Prar.g_00131	Syap.g_01607
OG0000437	Prar.g_00130	Syap.g_01608
OG0000438	Prar.g_00129	Syap.g_01612
OG0000439	Prar.g_00127	Syap.g_01614
OG0000440	Prar.g_00126	Syap.g_01615
OG0000441	Prar.g_00123	Syap.g_01619
OG0000442	Prar.g_00122	Syap.g_01620
OG0000443	Prar.g_00121	Syap.g_01622
OG0000444	Prar.g_00116	Syap.g_01424
OG0000445	Prar.g_00115	Syap.g_01421
OG0000446	Prar.g_00114	Syap.g_01419
OG0000447	Prar.g_00113	Syap.g_01410
OG0000448	Prar.g_00112	Syap.g_01407
OG0000449	Prar.g_00111	Syap.g_01406
OG0000450	Prar.g_00110	Syap.g_01909
OG0000451	Prar.g_00109	Syap.g_01908
OG0000452	Prar.g_00106	Syap.g_01904
OG0000453	Prar.g_00105	Syap.g_01903
OG0000454	Prar.g_00104	Syap.g_01902
OG0000455	Prar.g_00103	Syap.g_01901
OG0000456	Prar.g_00102	Syap.g_01900
OG0000457	Prar.g_00101	Syap.g_01896
OG0000458	Prar.g_00100	Syap.g_01895
OG0000459	Prar.g_00099	Syap.g_01894
OG0000460	Prar.g_00092	Syap.g_01159
OG0000461	Prar.g_00085	Syap.g_01575
OG0000462	Prar.g_00083	Syap.g_01578
OG0000463	Prar.g_00082	Syap.g_01579
OG0000464	Prar.g_00081	Syap.g_01580
OG0000465	Prar.g_00080	Syap.g_01582
OG0000466	Prar.g_00077	Syap.g_01587
OG0000467	Prar.g_00076	Syap.g_01588
OG0000468	Prar.g_00334	Syap.g_01593
OG0000469	Prar.g_00325	Syap.g_02352
OG0000470	Prar.g_00323	Syap.g_02349
OG0000471	Prar.g_00322	Syap.g_02348
OG0000472	Prar.g_00321	Syap.g_02347
OG0000473	Prar.g_00319	Syap.g_02343
OG0000474	Prar.g_00318	Syap.g_02342
OG0000475	Prar.g_00317	Syap.g_02341
OG0000476	Prar.g_00316	Syap.g_02339
OG0000477	Prar.g_00312	Syap.g_01367
OG0000478	Prar.g_00311	Syap.g_01366
OG0000479	Prar.g_00310	Syap.g_01364
OG0000480	Prar.g_00305	Syap.g_01357
OG0000482	Prar.g_00302	Syap.g_01355
OG0000483	Prar.g_00299	Syap.g_01344
OG0000484	Prar.g_00298	Syap.g_01350
OG0000485	Prar.g_00297	Syap.g_01349
OG0000487	Prar.g_00292	Syap.g_01635
OG0000488	Prar.g_00289	Syap.g_01639
OG0000489	Prar.g_00284	Syap.g_02482
OG0000490	Prar.g_00279	Syap.g_01673
OG0000491	Prar.g_00278	Syap.g_01670
OG0000492	Prar.g_00276	Syap.g_01668
OG0000493	Prar.g_00275	Syap.g_01667
OG0000494	Prar.g_00274	Syap.g_01666
OG0000495	Prar.g_00273	Syap.g_01665
OG0000496	Prar.g_00272	Syap.g_01663
OG0000497	Prar.g_00271	Syap.g_01662
OG0000498	Prar.g_00270	Syap.g_01661
OG0000499	Prar.g_00269	Syap.g_01660
OG0000500	Prar.g_00268	Syap.g_01659
OG0000501	Prar.g_00266	Syap.g_01656
OG0000502	Prar.g_00263	Syap.g_02066
OG0000503	Prar.g_00394	Syap.g_00569
OG0000504	Prar.g_00395	Syap.g_00567
OG0000505	Prar.g_00396	Syap.g_00566
OG0000506	Prar.g_00398	Syap.g_00564
OG0000507	Prar.g_00401	Syap.g_00558
OG0000508	Prar.g_00405	Syap.g_00554
OG0000509	Prar.g_00407	Syap.g_00551
OG0000510	Prar.g_00408	Syap.g_00550
OG0000511	Prar.g_00409	Syap.g_00548
OG0000512	Prar.g_00411	Syap.g_02145
OG0000513	Prar.g_00418	Syap.g_02048
OG0000514	Prar.g_00479	Syap.g_02051
OG0000515	Prar.g_00480	Syap.g_02052
OG0000516	Prar.g_00481	Syap.g_02054
OG0000517	Prar.g_00483	Syap.g_02057
OG0000519	Prar.g_00495	Syap.g_00457
OG0000520	Prar.g_00496	Syap.g_00456
OG0000521	Prar.g_00501	Syap.g_01997
OG0000522	Prar.g_00503	Syap.g_01995
OG0000523	Prar.g_00504	Syap.g_02507
OG0000524	Prar.g_00510	Syap.g_02135
OG0000525	Prar.g_00513	Syap.g_02159
OG0000526	Prar.g_00514	Syap.g_02157
OG0000527	Prar.g_00523	Syap.g_02758
OG0000528	Prar.g_00528	Syap.g_02261
OG0000529	Prar.g_00531	Syap.g_02254
OG0000530	Prar.g_00534	Syap.g_02252
OG0000531	Prar.g_00535	Syap.g_02251
OG0000532	Prar.g_00537	Syap.g_02247
OG0000533	Prar.g_00538	Syap.g_02244
OG0000534	Prar.g_00539	Syap.g_02243
OG0000535	Prar.g_00540	Syap.g_02242
OG0000536	Prar.g_00541	Syap.g_02241
OG0000537	Prar.g_00542	Syap.g_02240
OG0000538	Prar.g_01331	Syap.g_00271
OG0000539	Prar.g_01332	Syap.g_00270
OG0000540	Prar.g_01333	Syap.g_00269
OG0000541	Prar.g_01334	Syap.g_00268
OG0000542	Prar.g_01336	Syap.g_00264
OG0000543	Prar.g_01338	Syap.g_00261
OG0000544	Prar.g_01339	Syap.g_00260
OG0000545	Prar.g_01341	Syap.g_00259
OG0000546	Prar.g_01344	Syap.g_00256
OG0000547	Prar.g_01345	Syap.g_00254
OG0000548	Prar.g_01346	Syap.g_00253
OG0000549	Prar.g_01348	Syap.g_00758
OG0000550	Prar.g_01353	Syap.g_02747
OG0000551	Prar.g_01357	Syap.g_02739
OG0000552	Prar.g_01358	Syap.g_02738
OG0000553	Prar.g_01359	Syap.g_02735
OG0000554	Prar.g_01364	Syap.g_01450
OG0000555	Prar.g_01372	Syap.g_01941
OG0000556	Prar.g_01374	Syap.g_01933
OG0000557	Prar.g_01375	Syap.g_01931
OG0000558	Prar.g_01377	Syap.g_01147
OG0000560	Prar.g_01384	Syap.g_00305
OG0000561	Prar.g_01385	Syap.g_00304
OG0000562	Prar.g_01386	Syap.g_00302
OG0000563	Prar.g_01387	Syap.g_00301
OG0000564	Prar.g_01388	Syap.g_00300
OG0000565	Prar.g_01391	Syap.g_00296
OG0000566	Prar.g_01393	Syap.g_00291
OG0000567	Prar.g_01397	Syap.g_01297
OG0000568	Prar.g_01398	Syap.g_01302
OG0000569	Prar.g_01399	Syap.g_01303
OG0000570	Prar.g_01400	Syap.g_01304
OG0000571	Prar.g_01402	Syap.g_01307
OG0000573	Prar.g_01422	Syap.g_00765
OG0000574	Prar.g_01423	Syap.g_00759
OG0000575	Prar.g_01427	Syap.g_00445
OG0000576	Prar.g_01429	Syap.g_00450
OG0000577	Prar.g_01430	Syap.g_00451
OG0000578	Prar.g_01431	Syap.g_00452
OG0000579	Prar.g_01432	Syap.g_00453
OG0000580	Prar.g_01433	Syap.g_00454
OG0000581	Prar.g_01435	Syap.g_01521
OG0000582	Prar.g_01438	Syap.g_01533
OG0000583	Prar.g_01439	Syap.g_01532
OG0000584	Prar.g_01440	Syap.g_01530
OG0000585	Prar.g_01442	Syap.g_01526
OG0000586	Prar.g_01443	Syap.g_01525
OG0000587	Prar.g_01444	Syap.g_01523
