Orthogroup	Prar	Syai
OG0000041	Prar.g_00602	Syai.g_02265, Syai.g_02016
OG0000042	Prar.g_00660	Syai.g_00099
OG0000044	Prar.g_01172	Syai.g_00833
OG0000045	Prar.g_00432	Syai.g_02432
OG0000047	Prar.g_00257, Prar.g_00468	Syai.g_00462
OG0000048	Prar.g_00435	Syai.g_00272
OG0000050	Prar.g_01940	Syai.g_01332
OG0000053	Prar.g_00589, Prar.g_00827	Syai.g_00930
OG0000054	Prar.g_01436	Syai.g_01040
OG0000055	Prar.g_01664	Syai.g_02029
OG0000057	Prar.g_01528	Syai.g_01997
OG0000059	Prar.g_01090	Syai.g_00351
OG0000061	Prar.g_01263	Syai.g_02144
OG0000062	Prar.g_00769	Syai.g_02358
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syai.g_00042
OG0000066	Prar.g_01369	Syai.g_01709, Syai.g_00719
OG0000067	Prar.g_01684	Syai.g_01321
OG0000068	Prar.g_00911	Syai.g_00628
OG0000070	Prar.g_00498	Syai.g_02196
OG0000071	Prar.g_00955	Syai.g_02179
OG0000072	Prar.g_00156	Syai.g_02636
OG0000073	Prar.g_01330	Syai.g_00659
OG0000075	Prar.g_00629	Syai.g_00161
OG0000076	Prar.g_00592, Prar.g_00653	Syai.g_00111
OG0000077	Prar.g_00250	Syai.g_02486
OG0000078	Prar.g_00088	Syai.g_00543
OG0000081	Prar.g_01361	Syai.g_00553, Syai.g_02292
OG0000082	Prar.g_01414	Syai.g_00781
OG0000084	Prar.g_00343	Syai.g_01196, Syai.g_00958
OG0000085	Prar.g_01150	Syai.g_02365
OG0000086	Prar.g_00240	Syai.g_02507
OG0000087	Prar.g_00189	Syai.g_02592
OG0000088	Prar.g_00161	Syai.g_02630
OG0000089	Prar.g_00416	Syai.g_00517
OG0000090	Prar.g_01363	Syai.g_00707
OG0000091	Prar.g_01472	Syai.g_01112
OG0000092	Prar.g_01781, Prar.g_00615	Syai.g_01358
OG0000093	Prar.g_01801	Syai.g_01306
OG0000094	Prar.g_01885	Syai.g_01424
OG0000095	Prar.g_01904	Syai.g_02007
OG0000097	Prar.g_01222	Syai.g_01787
OG0000098	Prar.g_00929	Syai.g_01718
OG0000099	Prar.g_00872	Syai.g_00199
OG0000100	Prar.g_00773	Syai.g_01372
OG0000101	Prar.g_01027	Syai.g_00404
OG0000102	Prar.g_00658	Syai.g_00106
OG0000103	Prar.g_00050	Syai.g_02912
OG0000104	Prar.g_00042	Syai.g_02929
OG0000105	Prar.g_00313	Syai.g_00267
OG0000106	Prar.g_00431	Syai.g_01601
OG0000107	Prar.g_00446	Syai.g_00319
OG0000108	Prar.g_00530	Syai.g_00638
OG0000109	Prar.g_00544	Syai.g_00653
OG0000110	Prar.g_01404	Syai.g_00878, Syai.g_00766
OG0000111	Prar.g_01529	Syai.g_00884, Syai.g_01998
OG0000112	Prar.g_01652	Syai.g_01512
OG0000113	Prar.g_01706	Syai.g_01367
OG0000114	Prar.g_01776	Syai.g_01261
OG0000115	Prar.g_01318	Syai.g_00932
OG0000116	Prar.g_01273	Syai.g_02156
OG0000117	Prar.g_01003	Syai.g_01756
OG0000118	Prar.g_00943	Syai.g_00818
OG0000119	Prar.g_00915	Syai.g_02127
OG0000120	Prar.g_00880	Syai.g_00198
OG0000121	Prar.g_00337	Syai.g_00951
OG0000122	Prar.g_00807	Syai.g_01143
OG0000123	Prar.g_01021	Syai.g_00411
OG0000124	Prar.g_00668	Syai.g_00089
OG0000125	Prar.g_00704	Syai.g_02782
OG0000126	Prar.g_00043	Syai.g_02927
OG0000128	Prar.g_00027	Syai.g_00012
OG0000129	Prar.g_00576	Syai.g_02771
OG0000130	Prar.g_00549	Syai.g_02474
OG0000131	Prar.g_00182	Syai.g_02608
OG0000132	Prar.g_00163	Syai.g_02628
OG0000133	Prar.g_00265	Syai.g_01507
OG0000134	Prar.g_00417	Syai.g_00520
OG0000135	Prar.g_00444	Syai.g_02826
OG0000136	Prar.g_00489	Syai.g_02217
OG0000137	Prar.g_00525	Syai.g_00865
OG0000138	Prar.g_00545	Syai.g_00654
OG0000139	Prar.g_01367	Syai.g_00714
OG0000140	Prar.g_01368	Syai.g_00716
OG0000141	Prar.g_01437	Syai.g_01041
OG0000142	Prar.g_01465	Syai.g_01104
OG0000143	Prar.g_01469	Syai.g_01108
OG0000144	Prar.g_01482	Syai.g_01608
OG0000145	Prar.g_01651	Syai.g_00660
OG0000146	Prar.g_01653	Syai.g_01513
OG0000147	Prar.g_01654	Syai.g_01514
OG0000148	Prar.g_01700	Syai.g_01361
OG0000149	Prar.g_01730	Syai.g_02059
OG0000150	Prar.g_01738	Syai.g_00717
OG0000151	Prar.g_01786	Syai.g_01280
OG0000152	Prar.g_01833	Syai.g_01503
OG0000153	Prar.g_01852	Syai.g_01461
OG0000154	Prar.g_01878	Syai.g_01434
OG0000155	Prar.g_01243	Syai.g_02109
OG0000156	Prar.g_00966	Syai.g_02162
OG0000157	Prar.g_00965	Syai.g_02163
OG0000158	Prar.g_00375	Syai.g_00135
OG0000160	Prar.g_00338	Syai.g_00952
OG0000161	Prar.g_00840	Syai.g_00946
OG0000162	Prar.g_00834	Syai.g_00939
OG0000163	Prar.g_00800	Syai.g_02300
OG0000164	Prar.g_01964	Syai.g_02411
OG0000165	Prar.g_01971	Syai.g_02244
OG0000166	Prar.g_01063	Syai.g_00364
OG0000167	Prar.g_00627	Syai.g_00164
OG0000168	Prar.g_00637	Syai.g_00134
OG0000169	Prar.g_00647	Syai.g_00123
OG0000170	Prar.g_00649	Syai.g_00116
OG0000171	Prar.g_00667	Syai.g_00090
OG0000172	Prar.g_00675	Syai.g_00083
OG0000173	Prar.g_00690	Syai.g_00064
OG0000174	Prar.g_00068	Syai.g_02828
OG0000175	Prar.g_00058	Syai.g_02901
OG0000176	Prar.g_00034	Syai.g_00004
OG0000177	Prar.g_00033	Syai.g_00005
OG0000178	Prar.g_00032	Syai.g_00006
OG0000179	Prar.g_00022	Syai.g_00023
OG0000180	Prar.g_00021	Syai.g_00024
OG0000181	Prar.g_00020	Syai.g_00025
OG0000182	Prar.g_00019	Syai.g_00026
OG0000183	Prar.g_00015	Syai.g_00030
OG0000184	Prar.g_00573	Syai.g_02756
OG0000185	Prar.g_00570	Syai.g_02734
OG0000186	Prar.g_00554	Syai.g_02469
OG0000187	Prar.g_00553	Syai.g_02471
OG0000188	Prar.g_00246	Syai.g_00696, Syai.g_02494
OG0000189	Prar.g_00232	Syai.g_02530
OG0000190	Prar.g_00231	Syai.g_02532
OG0000191	Prar.g_00211	Syai.g_02562
OG0000192	Prar.g_00207	Syai.g_02569
OG0000193	Prar.g_00181	Syai.g_02609
OG0000194	Prar.g_00178	Syai.g_02612
OG0000195	Prar.g_00176	Syai.g_02614
OG0000196	Prar.g_00166	Syai.g_02625
OG0000197	Prar.g_00165	Syai.g_02626
OG0000198	Prar.g_00164	Syai.g_02627
OG0000199	Prar.g_00157	Syai.g_02635
OG0000200	Prar.g_00143	Syai.g_02651
OG0000201	Prar.g_00135	Syai.g_02667
OG0000202	Prar.g_00134	Syai.g_02668
OG0000203	Prar.g_00133	Syai.g_02669
OG0000204	Prar.g_00132	Syai.g_02670
OG0000205	Prar.g_00125	Syai.g_02677
OG0000206	Prar.g_00120	Syai.g_02684
OG0000207	Prar.g_00118	Syai.g_02686
OG0000208	Prar.g_00117	Syai.g_02687
OG0000209	Prar.g_00108	Syai.g_02699
OG0000210	Prar.g_00107	Syai.g_02700
OG0000211	Prar.g_00094	Syai.g_00533
OG0000212	Prar.g_00087	Syai.g_00544
OG0000213	Prar.g_00330	Syai.g_00292
OG0000214	Prar.g_00320	Syai.g_00276
OG0000215	Prar.g_00295	Syai.g_00245
OG0000216	Prar.g_00293	Syai.g_00241
OG0000217	Prar.g_01154, Prar.g_00290	Syai.g_00237
OG0000218	Prar.g_00288	Syai.g_00235
OG0000219	Prar.g_00287	Syai.g_00234
OG0000220	Prar.g_00286	Syai.g_00233
OG0000221	Prar.g_00285	Syai.g_00227
OG0000222	Prar.g_00277	Syai.g_00215
OG0000223	Prar.g_00264	Syai.g_00194
OG0000224	Prar.g_00262	Syai.g_00186
OG0000225	Prar.g_00406	Syai.g_00502
OG0000226	Prar.g_00410	Syai.g_00506
OG0000227	Prar.g_00412	Syai.g_00508
OG0000228	Prar.g_00415	Syai.g_00516
OG0000229	Prar.g_00484	Syai.g_02228
OG0000230	Prar.g_00486	Syai.g_02226
OG0000231	Prar.g_00497	Syai.g_02208
OG0000232	Prar.g_00506	Syai.g_00846
OG0000233	Prar.g_00512	Syai.g_00855
OG0000234	Prar.g_00526	Syai.g_00866
OG0000235	Prar.g_00529	Syai.g_00637
OG0000236	Prar.g_00543	Syai.g_00652
OG0000237	Prar.g_01337	Syai.g_00669
OG0000238	Prar.g_01343	Syai.g_00674
OG0000239	Prar.g_01355	Syai.g_00691
OG0000240	Prar.g_01356	Syai.g_00692
OG0000241	Prar.g_01360	Syai.g_01085, Syai.g_01089
OG0000242	Prar.g_01362	Syai.g_00705
OG0000243	Prar.g_01373	Syai.g_00726
OG0000244	Prar.g_01376	Syai.g_00731
OG0000245	Prar.g_01378	Syai.g_00733
OG0000246	Prar.g_01382	Syai.g_00737
OG0000247	Prar.g_01392	Syai.g_00748
OG0000248	Prar.g_01394	Syai.g_00751
OG0000249	Prar.g_01396	Syai.g_00753
OG0000250	Prar.g_01401	Syai.g_00762
OG0000251	Prar.g_01420	Syai.g_00789
OG0000252	Prar.g_01424	Syai.g_00797
OG0000253	Prar.g_01425	Syai.g_00798
OG0000254	Prar.g_01441	Syai.g_01045
OG0000255	Prar.g_01447	Syai.g_01061
OG0000256	Prar.g_01457	Syai.g_01077
OG0000257	Prar.g_01460	Syai.g_01084
OG0000258	Prar.g_01473	Syai.g_01113
OG0000259	Prar.g_01490	Syai.g_01229
OG0000260	Prar.g_01493	Syai.g_01232
OG0000261	Prar.g_01495	Syai.g_01235
OG0000262	Prar.g_01499	Syai.g_01240
OG0000263	Prar.g_01511	Syai.g_01776
OG0000264	Prar.g_01521	Syai.g_01962
OG0000265	Prar.g_01599	Syai.g_02245
OG0000266	Prar.g_01609	Syai.g_01401
OG0000267	Prar.g_01620	Syai.g_01569
OG0000268	Prar.g_01621	Syai.g_01568
OG0000269	Prar.g_01679	Syai.g_01316
OG0000270	Prar.g_01682	Syai.g_01319
OG0000271	Prar.g_01690	Syai.g_01327
OG0000272	Prar.g_01691	Syai.g_01328
OG0000273	Prar.g_01714	Syai.g_02037
OG0000274	Prar.g_01715	Syai.g_02038
OG0000275	Prar.g_01717	Syai.g_02043
OG0000276	Prar.g_01722	Syai.g_02051
OG0000277	Prar.g_01723	Syai.g_02052
OG0000278	Prar.g_01726	Syai.g_02055
OG0000279	Prar.g_01733	Syai.g_02063
OG0000280	Prar.g_01734	Syai.g_02084
OG0000281	Prar.g_01740	Syai.g_01719
OG0000282	Prar.g_01778	Syai.g_01263
OG0000283	Prar.g_01810	Syai.g_01554
OG0000284	Prar.g_01815	Syai.g_01548
OG0000285	Prar.g_01820	Syai.g_01522
OG0000286	Prar.g_01832	Syai.g_01504
OG0000287	Prar.g_01849	Syai.g_01469
OG0000288	Prar.g_01877	Syai.g_01435
OG0000289	Prar.g_01888	Syai.g_01421
OG0000290	Prar.g_01901	Syai.g_02010
OG0000291	Prar.g_01903	Syai.g_02008
OG0000292	Prar.g_01953	Syai.g_02926
OG0000293	Prar.g_01272	Syai.g_02155
OG0000294	Prar.g_01271	Syai.g_02154
OG0000295	Prar.g_01251	Syai.g_02117
OG0000296	Prar.g_01249	Syai.g_02115
OG0000297	Prar.g_01241	Syai.g_01754
OG0000298	Prar.g_01240	Syai.g_01755
OG0000299	Prar.g_01223	Syai.g_01783
OG0000300	Prar.g_01220	Syai.g_01790
OG0000301	Prar.g_01219	Syai.g_01791
OG0000302	Prar.g_01217	Syai.g_01793
OG0000303	Prar.g_01210	Syai.g_01802
OG0000304	Prar.g_01206	Syai.g_01826
OG0000305	Prar.g_00919	Syai.g_02005
OG0000306	Prar.g_00916	Syai.g_02090
OG0000307	Prar.g_00902	Syai.g_00619
OG0000308	Prar.g_00901	Syai.g_00617
OG0000309	Prar.g_00897	Syai.g_00612
OG0000310	Prar.g_00354	Syai.g_00989
OG0000311	Prar.g_00352	Syai.g_00985
OG0000312	Prar.g_00349	Syai.g_00966
OG0000313	Prar.g_00335	Syai.g_00949
OG0000314	Prar.g_00820	Syai.g_00908
OG0000315	Prar.g_00810	Syai.g_00897
OG0000316	Prar.g_00790	Syai.g_02320, Syai.g_02322
OG0000317	Prar.g_01145	Syai.g_02373
OG0000318	Prar.g_01142	Syai.g_02379
OG0000319	Prar.g_01129	Syai.g_02395
OG0000320	Prar.g_01127	Syai.g_02397
OG0000321	Prar.g_01126	Syai.g_02398
OG0000322	Prar.g_01125	Syai.g_02399
OG0000323	Prar.g_01967	Syai.g_02413
OG0000324	Prar.g_00609	Syai.g_02272
OG0000325	Prar.g_01113	Syai.g_00320
OG0000326	Prar.g_01107	Syai.g_00327
OG0000327	Prar.g_01068	Syai.g_00359
OG0000328	Prar.g_01067	Syai.g_00360
OG0000329	Prar.g_01050	Syai.g_00378
OG0000330	Prar.g_01049	Syai.g_00379
OG0000331	Prar.g_01048	Syai.g_00380
OG0000332	Prar.g_01034	Syai.g_00395
OG0000333	Prar.g_01032	Syai.g_00398
OG0000334	Prar.g_01024	Syai.g_00407
OG0000335	Prar.g_01020	Syai.g_00412
OG0000336	Prar.g_01016	Syai.g_00416
OG0000337	Prar.g_00625	Syai.g_00169
OG0000338	Prar.g_00626	Syai.g_00166
OG0000339	Prar.g_00630	Syai.g_00160
OG0000340	Prar.g_00638	Syai.g_00133
OG0000341	Prar.g_00640	Syai.g_00131
OG0000342	Prar.g_00641	Syai.g_00130
OG0000343	Prar.g_00642	Syai.g_00129
OG0000344	Prar.g_00645	Syai.g_00125
OG0000345	Prar.g_00650	Syai.g_00115
OG0000346	Prar.g_00654	Syai.g_00110
OG0000347	Prar.g_00669	Syai.g_00087
OG0000348	Prar.g_00678	Syai.g_00076
OG0000349	Prar.g_00695	Syai.g_00057
OG0000350	Prar.g_00072	Syai.g_00334
OG0000351	Prar.g_00055	Syai.g_02904
OG0000352	Prar.g_00054	Syai.g_02905
OG0000353	Prar.g_00039	Syai.g_02932
OG0000355	Prar.g_00037	Syai.g_00001
OG0000356	Prar.g_00036	Syai.g_00002
OG0000357	Prar.g_00035	Syai.g_00003
OG0000358	Prar.g_00031	Syai.g_00007
OG0000359	Prar.g_00030	Syai.g_00009
OG0000360	Prar.g_00029	Syai.g_00010
OG0000361	Prar.g_00028	Syai.g_00011
OG0000362	Prar.g_00026	Syai.g_00013
OG0000363	Prar.g_00024	Syai.g_00015
OG0000364	Prar.g_00023	Syai.g_00016
OG0000365	Prar.g_00018	Syai.g_00027
OG0000366	Prar.g_00017	Syai.g_00028
OG0000367	Prar.g_00016	Syai.g_00029
OG0000368	Prar.g_00014	Syai.g_00031
OG0000369	Prar.g_00013	Syai.g_00032
OG0000370	Prar.g_00012	Syai.g_00033
OG0000371	Prar.g_00006	Syai.g_00041
OG0000372	Prar.g_00002	Syai.g_00047
OG0000373	Prar.g_00001	Syai.g_00048
OG0000374	Prar.g_00594	Syai.g_00049
OG0000375	Prar.g_00580	Syai.g_00053
OG0000376	Prar.g_00578	Syai.g_00055
OG0000377	Prar.g_00574	Syai.g_02769
OG0000378	Prar.g_00572	Syai.g_02751
OG0000379	Prar.g_00569	Syai.g_02733
OG0000380	Prar.g_00552	Syai.g_02472
OG0000381	Prar.g_00548	Syai.g_02475
OG0000382	Prar.g_00247	Syai.g_02493
OG0000383	Prar.g_00245	Syai.g_02498
OG0000384	Prar.g_00244	Syai.g_02499
OG0000385	Prar.g_00243	Syai.g_02500
OG0000386	Prar.g_00242	Syai.g_02501
OG0000387	Prar.g_00229	Syai.g_02534
OG0000388	Prar.g_00226	Syai.g_02538
OG0000389	Prar.g_00222	Syai.g_02542
OG0000390	Prar.g_00215	Syai.g_02556
OG0000391	Prar.g_00212	Syai.g_02561
OG0000392	Prar.g_00208	Syai.g_02568
OG0000393	Prar.g_00206	Syai.g_02570
OG0000394	Prar.g_00205	Syai.g_02571
OG0000395	Prar.g_00204	Syai.g_02572
OG0000396	Prar.g_00201	Syai.g_02575
OG0000397	Prar.g_00199	Syai.g_02577
OG0000398	Prar.g_00197	Syai.g_02582
OG0000399	Prar.g_00196	Syai.g_02583
OG0000400	Prar.g_00195	Syai.g_02584
OG0000401	Prar.g_00194	Syai.g_02585
OG0000402	Prar.g_00192	Syai.g_02588
OG0000403	Prar.g_00191	Syai.g_02589
OG0000404	Prar.g_00190	Syai.g_02590
OG0000405	Prar.g_00186	Syai.g_02606
OG0000406	Prar.g_00180	Syai.g_02610
OG0000407	Prar.g_00179	Syai.g_02611
OG0000408	Prar.g_00177	Syai.g_02613
OG0000409	Prar.g_00175	Syai.g_02615
OG0000410	Prar.g_00174	Syai.g_02616
OG0000411	Prar.g_00173	Syai.g_02617
OG0000412	Prar.g_00172	Syai.g_02618
OG0000413	Prar.g_00171	Syai.g_02620
OG0000414	Prar.g_01569, Prar.g_00170	Syai.g_02621
OG0000415	Prar.g_00169	Syai.g_02622
OG0000416	Prar.g_00168	Syai.g_02623
OG0000417	Prar.g_00167	Syai.g_02624
OG0000418	Prar.g_00162	Syai.g_02629
OG0000419	Prar.g_00160	Syai.g_02631
OG0000420	Prar.g_00159	Syai.g_02633
OG0000421	Prar.g_00154	Syai.g_02638
OG0000422	Prar.g_00153	Syai.g_02639
OG0000423	Prar.g_00152	Syai.g_02640
OG0000424	Prar.g_00151	Syai.g_02641
OG0000425	Prar.g_00150	Syai.g_02642
OG0000426	Prar.g_00149	Syai.g_02643
OG0000427	Prar.g_00148	Syai.g_02644
OG0000428	Prar.g_00146	Syai.g_02647
OG0000429	Prar.g_00145	Syai.g_02649
OG0000430	Prar.g_00144	Syai.g_02650
OG0000431	Prar.g_00142	Syai.g_02654
OG0000432	Prar.g_00139	Syai.g_02660
OG0000433	Prar.g_00138	Syai.g_02662
OG0000434	Prar.g_00137	Syai.g_02663
OG0000435	Prar.g_00136	Syai.g_02666
OG0000436	Prar.g_00131	Syai.g_02671
OG0000437	Prar.g_00130	Syai.g_02672
OG0000438	Prar.g_00129	Syai.g_02673
OG0000439	Prar.g_00127	Syai.g_02675
OG0000440	Prar.g_00126	Syai.g_02676
OG0000441	Prar.g_00123	Syai.g_02681
OG0000442	Prar.g_00122	Syai.g_02682
OG0000443	Prar.g_00121	Syai.g_02683
OG0000444	Prar.g_00116	Syai.g_02688
OG0000445	Prar.g_00115	Syai.g_02689
OG0000446	Prar.g_00114	Syai.g_02690
OG0000447	Prar.g_00113	Syai.g_02693
OG0000448	Prar.g_00112	Syai.g_02694
OG0000449	Prar.g_00111	Syai.g_02695
OG0000450	Prar.g_00110	Syai.g_02696
OG0000451	Prar.g_00109	Syai.g_02697
OG0000452	Prar.g_00106	Syai.g_02701
OG0000453	Prar.g_00105	Syai.g_02702
OG0000454	Prar.g_00104	Syai.g_02703
OG0000455	Prar.g_00103	Syai.g_02704
OG0000456	Prar.g_00102	Syai.g_02705
OG0000457	Prar.g_00101	Syai.g_02707
OG0000458	Prar.g_00100	Syai.g_02708
OG0000459	Prar.g_00099	Syai.g_02709
OG0000460	Prar.g_00092	Syai.g_00535
OG0000461	Prar.g_00085	Syai.g_00314
OG0000462	Prar.g_00083	Syai.g_00311
OG0000463	Prar.g_00082	Syai.g_00310
OG0000464	Prar.g_00081	Syai.g_00309
OG0000465	Prar.g_00080	Syai.g_00307
OG0000466	Prar.g_00077	Syai.g_00303
OG0000467	Prar.g_00076	Syai.g_00301
OG0000468	Prar.g_00334	Syai.g_00296
OG0000469	Prar.g_00325	Syai.g_00282
OG0000470	Prar.g_00323	Syai.g_00280
OG0000471	Prar.g_00322	Syai.g_00279
OG0000472	Prar.g_00321	Syai.g_00277
OG0000473	Prar.g_00319	Syai.g_00275
OG0000474	Prar.g_00318	Syai.g_00274
OG0000475	Prar.g_00317	Syai.g_00273
OG0000476	Prar.g_00316	Syai.g_00271
OG0000477	Prar.g_00312	Syai.g_00265
OG0000478	Prar.g_00311	Syai.g_00264
OG0000479	Prar.g_00310	Syai.g_00263
OG0000480	Prar.g_00305	Syai.g_00256
OG0000481	Prar.g_00303	Syai.g_00254
OG0000482	Prar.g_00302	Syai.g_00253
OG0000483	Prar.g_00299	Syai.g_00249
OG0000484	Prar.g_00298	Syai.g_00248
OG0000485	Prar.g_00297	Syai.g_00247
OG0000486	Prar.g_00296	Syai.g_00246
OG0000487	Prar.g_00292	Syai.g_00240
OG0000488	Prar.g_00289	Syai.g_00236
OG0000489	Prar.g_00284	Syai.g_00226
OG0000490	Prar.g_00279	Syai.g_00218
OG0000491	Prar.g_00278	Syai.g_00217
OG0000492	Prar.g_00276	Syai.g_00214
OG0000493	Prar.g_00275	Syai.g_00213
OG0000494	Prar.g_00274	Syai.g_00212
OG0000495	Prar.g_00273	Syai.g_00211
OG0000496	Prar.g_00272	Syai.g_00210
OG0000497	Prar.g_00271	Syai.g_00209
OG0000498	Prar.g_00270	Syai.g_00208
OG0000499	Prar.g_00269	Syai.g_00207
OG0000500	Prar.g_00268	Syai.g_00206
OG0000501	Prar.g_00266	Syai.g_00203
OG0000502	Prar.g_00263	Syai.g_00192
OG0000503	Prar.g_00394	Syai.g_00486
OG0000504	Prar.g_00395	Syai.g_00488
OG0000505	Prar.g_00396	Syai.g_00489
OG0000506	Prar.g_00398	Syai.g_00491
OG0000507	Prar.g_00401	Syai.g_00497
OG0000508	Prar.g_00405	Syai.g_00501
OG0000509	Prar.g_00407	Syai.g_00503
OG0000510	Prar.g_00408	Syai.g_00504
OG0000511	Prar.g_00409	Syai.g_00505
OG0000512	Prar.g_00411	Syai.g_00507
OG0000513	Prar.g_00418	Syai.g_00521
OG0000514	Prar.g_00479	Syai.g_00528
OG0000515	Prar.g_00480	Syai.g_00529
OG0000516	Prar.g_00481	Syai.g_02223
OG0000517	Prar.g_00483	Syai.g_02229
OG0000518	Prar.g_00494	Syai.g_02211
OG0000519	Prar.g_00495	Syai.g_02210
OG0000520	Prar.g_00496	Syai.g_02209
OG0000521	Prar.g_00501	Syai.g_00842
OG0000522	Prar.g_00503	Syai.g_00844
OG0000523	Prar.g_00504	Syai.g_00845
OG0000524	Prar.g_00510	Syai.g_00852
OG0000525	Prar.g_00513	Syai.g_00856
OG0000526	Prar.g_00514	Syai.g_00859
OG0000527	Prar.g_00523	Syai.g_00863
OG0000528	Prar.g_00528	Syai.g_00633
OG0000529	Prar.g_00531	Syai.g_00639
OG0000530	Prar.g_00534	Syai.g_00642
OG0000531	Prar.g_00535	Syai.g_00643
OG0000532	Prar.g_00537	Syai.g_00646
OG0000533	Prar.g_00538	Syai.g_00647
OG0000534	Prar.g_00539	Syai.g_00648
OG0000535	Prar.g_00540	Syai.g_00649
OG0000536	Prar.g_00541	Syai.g_00650
OG0000537	Prar.g_00542	Syai.g_00651
OG0000538	Prar.g_01331	Syai.g_00662
OG0000539	Prar.g_01332	Syai.g_00663
OG0000540	Prar.g_01333	Syai.g_00664
OG0000541	Prar.g_01334	Syai.g_00665
OG0000542	Prar.g_01336	Syai.g_00668
OG0000543	Prar.g_01338	Syai.g_00670
OG0000544	Prar.g_01339	Syai.g_00671
OG0000545	Prar.g_01341	Syai.g_00673
OG0000546	Prar.g_01344	Syai.g_00675
OG0000547	Prar.g_01345	Syai.g_00677
OG0000548	Prar.g_01346	Syai.g_00678
OG0000549	Prar.g_01348	Syai.g_00684
OG0000550	Prar.g_01353	Syai.g_00689
OG0000551	Prar.g_01357	Syai.g_00694
OG0000552	Prar.g_01358	Syai.g_00695
OG0000553	Prar.g_01359	Syai.g_00698
OG0000554	Prar.g_01364	Syai.g_00708
OG0000555	Prar.g_01372	Syai.g_00725
OG0000556	Prar.g_01374	Syai.g_00728
OG0000557	Prar.g_01375	Syai.g_00730
OG0000558	Prar.g_01377	Syai.g_00732
OG0000559	Prar.g_01381	Syai.g_00736
OG0000560	Prar.g_01384	Syai.g_00739
OG0000561	Prar.g_01385	Syai.g_00740
OG0000562	Prar.g_01386	Syai.g_00741
OG0000563	Prar.g_01387	Syai.g_00742
OG0000564	Prar.g_01388	Syai.g_00743
OG0000565	Prar.g_01391	Syai.g_00746
OG0000566	Prar.g_01393	Syai.g_00750
OG0000567	Prar.g_01397	Syai.g_00754
OG0000568	Prar.g_01398	Syai.g_00758
OG0000569	Prar.g_01399	Syai.g_00759
OG0000570	Prar.g_01400	Syai.g_00760
OG0000571	Prar.g_01402	Syai.g_00764
OG0000572	Prar.g_01415	Syai.g_00782
OG0000573	Prar.g_01422	Syai.g_00790
OG0000574	Prar.g_01423	Syai.g_00796
OG0000575	Prar.g_01427	Syai.g_00800
OG0000576	Prar.g_01429	Syai.g_00802
OG0000577	Prar.g_01430	Syai.g_00803
OG0000578	Prar.g_01431	Syai.g_00804
OG0000579	Prar.g_01432	Syai.g_00805
