Orthogroup	Prar	Praf
OG0000055	Prar.g_01664	Praf.g_01257
OG0000056	Prar.g_00932	Praf.g_01648, Praf.g_01880, Praf.g_02641, Praf.g_01879, Praf.g_01191, Praf.g_02639, Praf.g_02620, Praf.g_02084, Praf.g_01964, Praf.g_01881
OG0000057	Prar.g_01528	Praf.g_01125
OG0000059	Prar.g_01090	Praf.g_02172
OG0000061	Prar.g_01263	Praf.g_00854
OG0000062	Prar.g_00769	Praf.g_00501
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Praf.g_00041
OG0000065	Prar.g_00221	Praf.g_00244
OG0000066	Prar.g_01369	Praf.g_00672
OG0000067	Prar.g_01684	Praf.g_01530
OG0000068	Prar.g_00911	Praf.g_00585, Praf.g_00583
OG0000070	Prar.g_00498	Praf.g_01962
OG0000071	Prar.g_00955	Praf.g_00796
OG0000072	Prar.g_00156	Praf.g_02469
OG0000073	Prar.g_01330	Praf.g_00616
OG0000075	Prar.g_00629	Praf.g_02384
OG0000076	Prar.g_00592, Prar.g_00653	Praf.g_00178
OG0000077	Prar.g_00250	Praf.g_00309
OG0000078	Prar.g_00088	Praf.g_00391
OG0000081	Prar.g_01361	Praf.g_01131
OG0000082	Prar.g_01414	Praf.g_00731
OG0000084	Prar.g_00343	Praf.g_01790
OG0000085	Prar.g_01150	Praf.g_00491
OG0000086	Prar.g_00240	Praf.g_00297
OG0000087	Prar.g_00189	Praf.g_02420
OG0000088	Prar.g_00161	Praf.g_02454, Praf.g_01239
OG0000089	Prar.g_00416	Praf.g_02015
OG0000090	Prar.g_01363	Praf.g_00660
OG0000091	Prar.g_01472	Praf.g_01700
OG0000093	Prar.g_01801	Praf.g_01503
OG0000094	Prar.g_01885	Praf.g_02685
OG0000095	Prar.g_01904	Praf.g_01274
OG0000097	Prar.g_01222	Praf.g_00905
OG0000098	Prar.g_00929	Praf.g_01886
OG0000099	Prar.g_00872	Praf.g_02342
OG0000100	Prar.g_00773	Praf.g_00370, Praf.g_01561
OG0000101	Prar.g_01027	Praf.g_02119
OG0000102	Prar.g_00658	Praf.g_00173
OG0000103	Prar.g_00050	Praf.g_02765
OG0000104	Prar.g_00042	Praf.g_02779
OG0000105	Prar.g_00313	Praf.g_02271
OG0000106	Prar.g_00431	Praf.g_00496
OG0000107	Prar.g_00446	Praf.g_02201
OG0000108	Prar.g_00530	Praf.g_00595
OG0000109	Prar.g_00544	Praf.g_00611
OG0000110	Prar.g_01404	Praf.g_00718
OG0000111	Prar.g_01529	Praf.g_01126
OG0000112	Prar.g_01652	Praf.g_01400
OG0000113	Prar.g_01706	Praf.g_01556
OG0000114	Prar.g_01776	Praf.g_01461
OG0000115	Prar.g_01318	Praf.g_01825
OG0000116	Prar.g_01273	Praf.g_00825
OG0000117	Prar.g_01003	Praf.g_00919
OG0000118	Prar.g_00943	Praf.g_00779
OG0000119	Prar.g_00915	Praf.g_01108, Praf.g_01143
OG0000120	Prar.g_00880	Praf.g_02343
OG0000121	Prar.g_00337	Praf.g_01796
OG0000122	Prar.g_00807	Praf.g_00976
OG0000123	Prar.g_01021	Praf.g_02108
OG0000124	Prar.g_00668	Praf.g_00153
OG0000125	Prar.g_00704	Praf.g_02664
OG0000126	Prar.g_00043	Praf.g_02777
OG0000128	Prar.g_00027	Praf.g_00012
OG0000129	Prar.g_00576	Praf.g_02652
OG0000130	Prar.g_00549	Praf.g_00321
OG0000131	Prar.g_00182	Praf.g_02432
OG0000132	Prar.g_00163	Praf.g_02452
OG0000133	Prar.g_00265	Praf.g_02336
OG0000134	Prar.g_00417	Praf.g_02012
OG0000135	Prar.g_00444	Praf.g_02705, Praf.g_02715
OG0000136	Prar.g_00489	Praf.g_01984
OG0000137	Prar.g_00525	Praf.g_01907
OG0000138	Prar.g_00545	Praf.g_00612
OG0000139	Prar.g_01367	Praf.g_00666
OG0000140	Prar.g_01368	Praf.g_00670
OG0000141	Prar.g_01437	Praf.g_00764
OG0000142	Prar.g_01465	Praf.g_01692
OG0000143	Prar.g_01469	Praf.g_01696
OG0000144	Prar.g_01482	Praf.g_01721
OG0000145	Prar.g_01651	Praf.g_00617
OG0000146	Prar.g_01653	Praf.g_01401
OG0000147	Prar.g_01654	Praf.g_01402
OG0000148	Prar.g_01700	Praf.g_01548
OG0000149	Prar.g_01730	Praf.g_01604
OG0000150	Prar.g_01738	Praf.g_01625
OG0000151	Prar.g_01786	Praf.g_01478
OG0000152	Prar.g_01833	Praf.g_01392
OG0000153	Prar.g_01852	Praf.g_01362
OG0000154	Prar.g_01878	Praf.g_01337
OG0000155	Prar.g_01243	Praf.g_00886
OG0000156	Prar.g_00966	Praf.g_00810
OG0000157	Prar.g_00965	Praf.g_00809
OG0000158	Prar.g_00375	Praf.g_02394
OG0000160	Prar.g_00338	Praf.g_01795
OG0000161	Prar.g_00840	Praf.g_01805
OG0000162	Prar.g_00834	Praf.g_01817
OG0000163	Prar.g_00800	Praf.g_00538
OG0000164	Prar.g_01964	Praf.g_00453
OG0000165	Prar.g_01971	Praf.g_00444
OG0000166	Prar.g_01063	Praf.g_02157
OG0000167	Prar.g_00627	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000168	Prar.g_00637	Praf.g_02395
OG0000169	Prar.g_00647	Praf.g_00191
OG0000170	Prar.g_00649	Praf.g_00183
OG0000171	Prar.g_00667	Praf.g_00154
OG0000172	Prar.g_00675	Praf.g_00087
OG0000173	Prar.g_00690	Praf.g_00062
OG0000174	Prar.g_00068	Praf.g_02717
OG0000175	Prar.g_00058	Praf.g_02754
OG0000176	Prar.g_00034	Praf.g_00004
OG0000177	Prar.g_00033	Praf.g_00005
OG0000178	Prar.g_00032	Praf.g_00006
OG0000179	Prar.g_00022	Praf.g_00021
OG0000180	Prar.g_00021	Praf.g_00022
OG0000181	Prar.g_00020	Praf.g_00023
OG0000182	Prar.g_00019	Praf.g_00024
OG0000183	Prar.g_00015	Praf.g_00028
OG0000184	Prar.g_00573	Praf.g_02611
OG0000185	Prar.g_00570	Praf.g_00333, Praf.g_02602
OG0000186	Prar.g_00554	Praf.g_00328
OG0000187	Prar.g_00553	Praf.g_00326
OG0000188	Prar.g_00246	Praf.g_00303
OG0000189	Prar.g_00232	Praf.g_00257
OG0000190	Prar.g_00231	Praf.g_00255
OG0000191	Prar.g_00211	Praf.g_00218
OG0000192	Prar.g_00207	Praf.g_00212
OG0000193	Prar.g_00181	Praf.g_02433
OG0000194	Prar.g_00178	Praf.g_02436
OG0000195	Prar.g_00176	Praf.g_02438
OG0000196	Prar.g_00166	Praf.g_02449
OG0000197	Prar.g_00165	Praf.g_02450
OG0000198	Prar.g_00164	Praf.g_02451
OG0000199	Prar.g_00157	Praf.g_02468
OG0000200	Prar.g_00143	Praf.g_02711, Praf.g_02492
OG0000201	Prar.g_00135	Praf.g_02511
OG0000202	Prar.g_00134	Praf.g_02512
OG0000203	Prar.g_00133	Praf.g_02513
OG0000204	Prar.g_00132	Praf.g_02514
OG0000205	Prar.g_00125	Praf.g_02708, Praf.g_02521
OG0000206	Prar.g_00120	Praf.g_02532
OG0000207	Prar.g_00118	Praf.g_02582
OG0000208	Prar.g_00117	Praf.g_02581
OG0000209	Prar.g_00108	Praf.g_02557
OG0000210	Prar.g_00107	Praf.g_02556
OG0000211	Prar.g_00094	Praf.g_00378
OG0000212	Prar.g_00087	Praf.g_00392
OG0000213	Prar.g_00330	Praf.g_02245
OG0000214	Prar.g_00320	Praf.g_02263
OG0000215	Prar.g_00295	Praf.g_02293
OG0000216	Prar.g_00293	Praf.g_02296
OG0000217	Prar.g_01154, Prar.g_00290	Praf.g_02300
OG0000218	Prar.g_00288	Praf.g_02302
OG0000219	Prar.g_00287	Praf.g_02303
OG0000220	Prar.g_00286	Praf.g_02304
OG0000221	Prar.g_00285	Praf.g_02314
OG0000222	Prar.g_00277	Praf.g_02323
OG0000223	Prar.g_00264	Praf.g_02347
OG0000224	Prar.g_00262	Praf.g_02358
OG0000225	Prar.g_00406	Praf.g_02030
OG0000226	Prar.g_00410	Praf.g_02026
OG0000227	Prar.g_00412	Praf.g_02024
OG0000228	Prar.g_00415	Praf.g_02016
OG0000229	Prar.g_00484	Praf.g_01989
OG0000230	Prar.g_00486	Praf.g_01987
OG0000231	Prar.g_00497	Praf.g_01963
OG0000232	Prar.g_00506	Praf.g_01952
OG0000233	Prar.g_00512	Praf.g_01938
OG0000234	Prar.g_00526	Praf.g_01905
OG0000235	Prar.g_00529	Praf.g_00594
OG0000236	Prar.g_00543	Praf.g_00610
OG0000237	Prar.g_01337	Praf.g_00627
OG0000238	Prar.g_01343	Praf.g_00631
OG0000239	Prar.g_01355	Praf.g_00647
OG0000240	Prar.g_01356	Praf.g_00648
OG0000241	Prar.g_01360	Praf.g_01177
OG0000242	Prar.g_01362	Praf.g_00658
OG0000243	Prar.g_01373	Praf.g_00681
OG0000244	Prar.g_01376	Praf.g_00685
OG0000245	Prar.g_01378	Praf.g_00688
OG0000246	Prar.g_01382	Praf.g_00692
OG0000247	Prar.g_01392	Praf.g_00703
OG0000248	Prar.g_01394	Praf.g_00706
OG0000249	Prar.g_01396	Praf.g_00708
OG0000250	Prar.g_01401	Praf.g_00714
OG0000251	Prar.g_01420	Praf.g_00739
OG0000252	Prar.g_01424	Praf.g_00742
OG0000253	Prar.g_01425	Praf.g_00749
OG0000254	Prar.g_01441	Praf.g_00768
OG0000255	Prar.g_01447	Praf.g_01662
OG0000256	Prar.g_01457	Praf.g_01676
OG0000257	Prar.g_01460	Praf.g_01685
OG0000258	Prar.g_01473	Praf.g_01708
OG0000259	Prar.g_01490	Praf.g_01736
OG0000260	Prar.g_01493	Praf.g_01739
OG0000261	Prar.g_01495	Praf.g_01742
OG0000262	Prar.g_01499	Praf.g_01748
OG0000263	Prar.g_01511	Praf.g_02570
OG0000264	Prar.g_01521	Praf.g_01218, Praf.g_01219
OG0000265	Prar.g_01599	Praf.g_01238, Praf.g_01302
OG0000266	Prar.g_01609	Praf.g_01313
OG0000267	Prar.g_01620	Praf.g_01436
OG0000268	Prar.g_01621	Praf.g_01435
OG0000269	Prar.g_01679	Praf.g_01525
OG0000270	Prar.g_01682	Praf.g_01528
OG0000271	Prar.g_01690	Praf.g_01536
OG0000272	Prar.g_01691	Praf.g_01537
OG0000273	Prar.g_01714	Praf.g_01585
OG0000274	Prar.g_01715	Praf.g_01586
OG0000275	Prar.g_01717	Praf.g_01590
OG0000276	Prar.g_01722	Praf.g_01596
OG0000277	Prar.g_01723	Praf.g_01597
OG0000278	Prar.g_01726	Praf.g_01600
OG0000279	Prar.g_01733	Praf.g_01608
OG0000280	Prar.g_01734	Praf.g_01614
OG0000281	Prar.g_01740	Praf.g_01627
OG0000282	Prar.g_01778	Praf.g_01463
OG0000283	Prar.g_01810	Praf.g_01426
OG0000284	Prar.g_01815	Praf.g_01420
OG0000285	Prar.g_01820	Praf.g_01006
OG0000286	Prar.g_01832	Praf.g_01393
OG0000287	Prar.g_01849	Praf.g_01073
OG0000288	Prar.g_01877	Praf.g_01338
OG0000289	Prar.g_01888	Praf.g_01325
OG0000290	Prar.g_01901	Praf.g_01277
OG0000291	Prar.g_01903	Praf.g_01275
OG0000292	Prar.g_01953	Praf.g_02776
OG0000293	Prar.g_01272	Praf.g_00826
OG0000294	Prar.g_01271	Praf.g_00827
OG0000295	Prar.g_01251	Praf.g_00879
OG0000296	Prar.g_01249	Praf.g_00881
OG0000297	Prar.g_01241	Praf.g_00917
OG0000298	Prar.g_01240	Praf.g_00918
OG0000299	Prar.g_01223	Praf.g_00908
OG0000300	Prar.g_01220	Praf.g_00902
OG0000301	Prar.g_01219	Praf.g_00901
OG0000302	Prar.g_01217	Praf.g_00898
OG0000303	Prar.g_01210	Praf.g_00888
OG0000304	Prar.g_01206	Praf.g_00938
OG0000305	Prar.g_00919	Praf.g_01271
OG0000306	Prar.g_00916	Praf.g_01635
OG0000307	Prar.g_00902	Praf.g_00575
OG0000308	Prar.g_00901	Praf.g_00573
OG0000309	Prar.g_00897	Praf.g_00569
OG0000310	Prar.g_00354	Praf.g_01772
OG0000311	Prar.g_00352	Praf.g_01778, Praf.g_01776
OG0000312	Prar.g_00349	Praf.g_01782
OG0000313	Prar.g_00335	Praf.g_01802
OG0000314	Prar.g_00820	Praf.g_01837
OG0000315	Prar.g_00810	Praf.g_01848
OG0000316	Prar.g_00790	Praf.g_00526
OG0000317	Prar.g_01145	Praf.g_00485
OG0000318	Prar.g_01142	Praf.g_00479
OG0000319	Prar.g_01129	Praf.g_00464
OG0000320	Prar.g_01127	Praf.g_00462
OG0000321	Prar.g_01126	Praf.g_00461
OG0000322	Prar.g_01125	Praf.g_00460
OG0000323	Prar.g_01967	Praf.g_00449
OG0000324	Prar.g_00609	Praf.g_00419
OG0000325	Prar.g_01113	Praf.g_02200
OG0000326	Prar.g_01107	Praf.g_02193
OG0000327	Prar.g_01068	Praf.g_02162
OG0000328	Prar.g_01067	Praf.g_02161
OG0000329	Prar.g_01050	Praf.g_02144
OG0000330	Prar.g_01049	Praf.g_02143
OG0000331	Prar.g_01048	Praf.g_02142
OG0000332	Prar.g_01034	Praf.g_02127
OG0000333	Prar.g_01032	Praf.g_02125
OG0000334	Prar.g_01024	Praf.g_02112
OG0000335	Prar.g_01020	Praf.g_02107
OG0000336	Prar.g_01016	Praf.g_02103
OG0000337	Prar.g_00625	Praf.g_02372
OG0000338	Prar.g_00626	Praf.g_02375
OG0000339	Prar.g_00630	Praf.g_02386
OG0000340	Prar.g_00638	Praf.g_02396
OG0000341	Prar.g_00640	Praf.g_02398
OG0000342	Prar.g_00641	Praf.g_02399
OG0000343	Prar.g_00642	Praf.g_00196
OG0000344	Prar.g_00645	Praf.g_00193
OG0000345	Prar.g_00650	Praf.g_00182
OG0000346	Prar.g_00654	Praf.g_00177
OG0000347	Prar.g_00669	Praf.g_00152
OG0000348	Prar.g_00678	Praf.g_00081
OG0000349	Prar.g_00695	Praf.g_00054
OG0000350	Prar.g_00072	Praf.g_02699
OG0000351	Prar.g_00055	Praf.g_02757
OG0000352	Prar.g_00054	Praf.g_02758
OG0000353	Prar.g_00039	Praf.g_02782
OG0000355	Prar.g_00037	Praf.g_00001
OG0000356	Prar.g_00036	Praf.g_00002
OG0000357	Prar.g_00035	Praf.g_00003
OG0000358	Prar.g_00031	Praf.g_00007
OG0000359	Prar.g_00030	Praf.g_00009
OG0000360	Prar.g_00029	Praf.g_00010
OG0000361	Prar.g_00028	Praf.g_00011
OG0000362	Prar.g_00026	Praf.g_00013
OG0000363	Prar.g_00024	Praf.g_00015
OG0000364	Prar.g_00023	Praf.g_00016
OG0000365	Prar.g_00018	Praf.g_00025
OG0000366	Prar.g_00017	Praf.g_00026
OG0000367	Prar.g_00016	Praf.g_00027
OG0000368	Prar.g_00014	Praf.g_00029
OG0000369	Prar.g_00013	Praf.g_00030
OG0000370	Prar.g_00012	Praf.g_00031
OG0000371	Prar.g_00006	Praf.g_00040
OG0000372	Prar.g_00002	Praf.g_00045
OG0000373	Prar.g_00001	Praf.g_00046
OG0000374	Prar.g_00594	Praf.g_00047
OG0000375	Prar.g_00580	Praf.g_00050
OG0000376	Prar.g_00578	Praf.g_00052
OG0000377	Prar.g_00574	Praf.g_02618
OG0000378	Prar.g_00572	Praf.g_02605
OG0000379	Prar.g_00569	Praf.g_02601
OG0000380	Prar.g_00552	Praf.g_00325
OG0000381	Prar.g_00548	Praf.g_00320
OG0000382	Prar.g_00247	Praf.g_00304
OG0000383	Prar.g_00245	Praf.g_00302
OG0000384	Prar.g_00244	Praf.g_00301
OG0000385	Prar.g_00243	Praf.g_00300
OG0000386	Prar.g_00242	Praf.g_00299
OG0000387	Prar.g_00229	Praf.g_00253
OG0000388	Prar.g_00226	Praf.g_00249
OG0000389	Prar.g_00222	Praf.g_00245
OG0000390	Prar.g_00215	Praf.g_00224
OG0000391	Prar.g_00212	Praf.g_00219
OG0000392	Prar.g_00208	Praf.g_00214
OG0000393	Prar.g_00206	Praf.g_00209
OG0000394	Prar.g_00205	Praf.g_00208
OG0000395	Prar.g_00204	Praf.g_00207
OG0000396	Prar.g_00201	Praf.g_02403
OG0000397	Prar.g_00199	Praf.g_02405
OG0000398	Prar.g_00197	Praf.g_02410
OG0000399	Prar.g_00196	Praf.g_02411
OG0000400	Prar.g_00195	Praf.g_02412
OG0000401	Prar.g_00194	Praf.g_02413
OG0000402	Prar.g_00192	Praf.g_02415
OG0000403	Prar.g_00191	Praf.g_02416
OG0000404	Prar.g_00190	Praf.g_02418
OG0000405	Prar.g_00186	Praf.g_02430
OG0000406	Prar.g_00180	Praf.g_02434
OG0000407	Prar.g_00179	Praf.g_02435
OG0000408	Prar.g_00177	Praf.g_02437
OG0000409	Prar.g_00175	Praf.g_02439
OG0000410	Prar.g_00174	Praf.g_02440
OG0000411	Prar.g_00173	Praf.g_02441
OG0000412	Prar.g_00172	Praf.g_02442
OG0000413	Prar.g_00171	Praf.g_02444
OG0000414	Prar.g_01569, Prar.g_00170	Praf.g_02445
OG0000415	Prar.g_00169	Praf.g_02446
OG0000416	Prar.g_00168	Praf.g_02447
OG0000417	Prar.g_00167	Praf.g_02448
OG0000418	Prar.g_00162	Praf.g_02453
OG0000419	Prar.g_00160	Praf.g_02455
OG0000420	Prar.g_00159	Praf.g_02456
OG0000421	Prar.g_00154	Praf.g_02470
OG0000422	Prar.g_00153	Praf.g_02471
OG0000423	Prar.g_00152	Praf.g_02472
OG0000424	Prar.g_00151	Praf.g_02473
OG0000425	Prar.g_00150	Praf.g_02474
OG0000426	Prar.g_00149	Praf.g_02475
OG0000427	Prar.g_00148	Praf.g_02476
OG0000428	Prar.g_00146	Praf.g_01486
OG0000429	Prar.g_00145	Praf.g_02489
OG0000430	Prar.g_00144	Praf.g_02491
OG0000431	Prar.g_00142	Praf.g_02495
OG0000432	Prar.g_00139	Praf.g_02502
OG0000433	Prar.g_00138	Praf.g_02505
OG0000434	Prar.g_00137	Praf.g_02506
OG0000435	Prar.g_00136	Praf.g_02509
OG0000436	Prar.g_00131	Praf.g_02515
OG0000437	Prar.g_00130	Praf.g_02516
OG0000438	Prar.g_00129	Praf.g_02517
OG0000439	Prar.g_00127	Praf.g_02519
OG0000440	Prar.g_00126	Praf.g_02520
OG0000441	Prar.g_00123	Praf.g_02524
OG0000442	Prar.g_00122	Praf.g_02525
OG0000443	Prar.g_00121	Praf.g_02531
OG0000444	Prar.g_00116	Praf.g_02575
OG0000445	Prar.g_00115	Praf.g_02574
OG0000446	Prar.g_00114	Praf.g_02572
OG0000447	Prar.g_00113	Praf.g_02568
OG0000448	Prar.g_00112	Praf.g_02567
OG0000449	Prar.g_00111	Praf.g_02566
OG0000450	Prar.g_00110	Praf.g_02560
OG0000451	Prar.g_00109	Praf.g_02559
OG0000452	Prar.g_00106	Praf.g_02555
OG0000453	Prar.g_00105	Praf.g_02554
OG0000454	Prar.g_00104	Praf.g_02553
OG0000455	Prar.g_00103	Praf.g_02552
OG0000456	Prar.g_00102	Praf.g_02551
OG0000457	Prar.g_00101	Praf.g_02549
OG0000458	Prar.g_00100	Praf.g_02548
OG0000459	Prar.g_00099	Praf.g_02547
OG0000460	Prar.g_00092	Praf.g_00379
OG0000461	Prar.g_00085	Praf.g_02203
OG0000462	Prar.g_00083	Praf.g_02207
OG0000463	Prar.g_00082	Praf.g_02208
OG0000464	Prar.g_00081	Praf.g_02209
OG0000465	Prar.g_00080	Praf.g_02210
OG0000466	Prar.g_00077	Praf.g_02215
OG0000467	Prar.g_00076	Praf.g_02217
OG0000468	Prar.g_00334	Praf.g_02242
OG0000469	Prar.g_00325	Praf.g_02255
OG0000470	Prar.g_00323	Praf.g_02259
OG0000471	Prar.g_00322	Praf.g_02260
OG0000472	Prar.g_00321	Praf.g_02262
OG0000473	Prar.g_00319	Praf.g_02264
OG0000474	Prar.g_00318	Praf.g_02265
OG0000475	Prar.g_00317	Praf.g_02266
OG0000476	Prar.g_00316	Praf.g_02268
OG0000477	Prar.g_00312	Praf.g_02273
OG0000478	Prar.g_00311	Praf.g_02274
OG0000479	Prar.g_00310	Praf.g_02275
OG0000480	Prar.g_00305	Praf.g_02282
OG0000481	Prar.g_00303	Praf.g_02284
OG0000482	Prar.g_00302	Praf.g_02285
OG0000483	Prar.g_00299	Praf.g_02289
OG0000484	Prar.g_00298	Praf.g_02290
OG0000485	Prar.g_00297	Praf.g_02291
OG0000486	Prar.g_00296	Praf.g_02292
OG0000487	Prar.g_00292	Praf.g_02297
OG0000488	Prar.g_00289	Praf.g_02301
OG0000489	Prar.g_00284	Praf.g_02315
OG0000490	Prar.g_00279	Praf.g_02321
OG0000491	Prar.g_00278	Praf.g_02322
OG0000492	Prar.g_00276	Praf.g_02324
OG0000493	Prar.g_00275	Praf.g_02325
OG0000494	Prar.g_00274	Praf.g_02326
OG0000495	Prar.g_00273	Praf.g_02327
OG0000496	Prar.g_00272	Praf.g_02328
OG0000497	Prar.g_00271	Praf.g_02329
OG0000498	Prar.g_00270	Praf.g_02330
OG0000499	Prar.g_00269	Praf.g_02331
OG0000500	Prar.g_00268	Praf.g_02332
OG0000501	Prar.g_00266	Praf.g_02335
OG0000502	Prar.g_00263	Praf.g_02349
OG0000503	Prar.g_00394	Praf.g_02054
OG0000504	Prar.g_00395	Praf.g_02052
OG0000505	Prar.g_00396	Praf.g_02051
OG0000506	Prar.g_00398	Praf.g_02049
OG0000507	Prar.g_00401	Praf.g_02045
OG0000508	Prar.g_00405	Praf.g_02031
OG0000509	Prar.g_00407	Praf.g_02029
OG0000510	Prar.g_00408	Praf.g_02028
OG0000511	Prar.g_00409	Praf.g_02027
OG0000512	Prar.g_00411	Praf.g_02025
OG0000513	Prar.g_00418	Praf.g_02011
OG0000514	Prar.g_00479	Praf.g_02002
OG0000515	Prar.g_00480	Praf.g_02001
OG0000516	Prar.g_00481	Praf.g_01999
OG0000517	Prar.g_00483	Praf.g_01990
OG0000518	Prar.g_00494	Praf.g_01978
OG0000519	Prar.g_00495	Praf.g_01977
OG0000520	Prar.g_00496	Praf.g_01972
OG0000521	Prar.g_00501	Praf.g_01959
OG0000522	Prar.g_00503	Praf.g_01957
OG0000523	Prar.g_00504	Praf.g_01956
OG0000524	Prar.g_00510	Praf.g_01942
OG0000525	Prar.g_00513	Praf.g_01915
OG0000526	Prar.g_00514	Praf.g_01913
OG0000527	Prar.g_00523	Praf.g_01909
OG0000528	Prar.g_00528	Praf.g_00589
OG0000529	Prar.g_00531	Praf.g_00596
OG0000530	Prar.g_00534	Praf.g_00599
OG0000531	Prar.g_00535	Praf.g_00600
OG0000532	Prar.g_00537	Praf.g_00603
OG0000533	Prar.g_00538	Praf.g_00605
OG0000534	Prar.g_00539	Praf.g_00606
OG0000535	Prar.g_00540	Praf.g_00607
OG0000536	Prar.g_00541	Praf.g_00608
OG0000537	Prar.g_00542	Praf.g_00609
OG0000538	Prar.g_01331	Praf.g_00619
OG0000539	Prar.g_01332	Praf.g_00621
OG0000540	Prar.g_01333	Praf.g_00622
OG0000541	Prar.g_01334	Praf.g_00623
OG0000542	Prar.g_01336	Praf.g_00626
OG0000543	Prar.g_01338	Praf.g_00628
OG0000544	Prar.g_01339	Praf.g_00629
OG0000545	Prar.g_01341	Praf.g_00630
OG0000546	Prar.g_01344	Praf.g_00632
OG0000547	Prar.g_01345	Praf.g_00634
OG0000548	Prar.g_01346	Praf.g_00635
OG0000549	Prar.g_01348	Praf.g_00641
OG0000550	Prar.g_01353	Praf.g_00646
OG0000551	Prar.g_01357	Praf.g_00650
OG0000552	Prar.g_01358	Praf.g_00651
OG0000553	Prar.g_01359	Praf.g_00656
OG0000554	Prar.g_01364	Praf.g_00661
OG0000555	Prar.g_01372	Praf.g_00677
OG0000556	Prar.g_01374	Praf.g_00683
OG0000557	Prar.g_01375	Praf.g_00684
OG0000558	Prar.g_01377	Praf.g_00687
OG0000559	Prar.g_01381	Praf.g_00691
OG0000560	Prar.g_01384	Praf.g_00694
OG0000561	Prar.g_01385	Praf.g_00695
OG0000562	Prar.g_01386	Praf.g_00696
OG0000563	Prar.g_01387	Praf.g_00697
OG0000564	Prar.g_01388	Praf.g_00698
OG0000565	Prar.g_01391	Praf.g_00701
OG0000566	Prar.g_01393	Praf.g_00705
OG0000567	Prar.g_01397	Praf.g_00709
OG0000568	Prar.g_01398	Praf.g_00711
OG0000569	Prar.g_01399	Praf.g_00712
OG0000570	Prar.g_01400	Praf.g_00713
OG0000571	Prar.g_01402	Praf.g_00716
OG0000572	Prar.g_01415	Praf.g_00733
OG0000573	Prar.g_01422	Praf.g_00740
OG0000574	Prar.g_01423	Praf.g_00741
OG0000575	Prar.g_01427	Praf.g_00751
OG0000576	Prar.g_01429	Praf.g_00753
OG0000577	Prar.g_01430	Praf.g_00754
