Orthogroup	Syal	Syat
OG0000058	Syal.g_01326	Syat.g_02133, Syat.g_02238
OG0000059	Syal.g_00225	Syat.g_01832
OG0000060	Syal.g_02895	Syat.g_01384
OG0000060	Syal.g_02214	Syat.g_01047
OG0000061	Syal.g_01653	Syat.g_03260
OG0000062	Syal.g_00567	Syat.g_03107
OG0000063	Syal.g_00136	Syat.g_02303
OG0000064	Syal.g_02544	Syat.g_01568
OG0000065	Syal.g_00820	Syat.g_01571
OG0000066	Syal.g_02828	Syat.g_03283
OG0000068	Syal.g_02888	Syat.g_00085, Syat.g_01295
OG0000070	Syal.g_00509	Syat.g_01032, Syat.g_01040
OG0000071	Syal.g_02099	Syat.g_01153
OG0000072	Syal.g_00914	Syat.g_02856
OG0000073	Syal.g_02920	Syat.g_03201
OG0000075	Syal.g_01350	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Syal.g_01459	Syat.g_02206
OG0000077	Syal.g_00506	Syat.g_01481
OG0000078	Syal.g_00680	Syat.g_00184
OG0000079	Syal.g_01213	Syat.g_01879
OG0000080	Syal.g_01394	Syat.g_02246, Syat.g_02282, Syat.g_01200
OG0000081	Syal.g_02555	Syat.g_00980
OG0000082	Syal.g_02769	Syat.g_00035
OG0000085	Syal.g_00575	Syat.g_03113
OG0000086	Syal.g_00784	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syal.g_00871	Syat.g_02912
OG0000088	Syal.g_00908	Syat.g_02862
OG0000089	Syal.g_00555	Syat.g_02953
OG0000090	Syal.g_02838	Syat.g_03270
OG0000091	Syal.g_02628	Syat.g_00939, Syat.g_00862
OG0000092	Syal.g_00470	Syat.g_00825
OG0000094	Syal.g_01907	Syat.g_00698
OG0000095	Syal.g_01823	Syat.g_00808
OG0000097	Syal.g_01553	Syat.g_00535
OG0000098	Syal.g_02196	Syat.g_03281
OG0000099	Syal.g_01323	Syat.g_02130
OG0000100	Syal.g_02448	Syat.g_00517
OG0000102	Syal.g_01488	Syat.g_00974
OG0000103	Syal.g_01897	Syat.g_02399
OG0000104	Syal.g_00092	Syat.g_02385
OG0000105	Syal.g_01255	Syat.g_02052
OG0000106	Syal.g_02577	Syat.g_00957
OG0000107	Syal.g_00194	Syat.g_01862
OG0000108	Syal.g_02897	Syat.g_03170
OG0000109	Syal.g_02913	Syat.g_03187
OG0000110	Syal.g_02782	Syat.g_00049
OG0000111	Syal.g_01813	Syat.g_00816
OG0000112	Syal.g_02000	Syat.g_00593
OG0000113	Syal.g_02443	Syat.g_00509
OG0000114	Syal.g_02286	Syat.g_00426
OG0000115	Syal.g_00404	Syat.g_01328
OG0000116	Syal.g_01630	Syat.g_02641
OG0000117	Syal.g_01704	Syat.g_00224
OG0000118	Syal.g_01583	Syat.g_01168
OG0000119	Syal.g_02056	Syat.g_00309
OG0000120	Syal.g_01324	Syat.g_02132
OG0000121	Syal.g_00374	Syat.g_01223
OG0000123	Syal.g_00283	Syat.g_01653
OG0000124	Syal.g_01519	Syat.g_02231
OG0000125	Syal.g_01075	Syat.g_02684
OG0000126	Syal.g_00090	Syat.g_00976
OG0000127	Syal.g_00720	Syat.g_00175
OG0000128	Syal.g_00109	Syat.g_02331
OG0000129	Syal.g_01062	Syat.g_02693, Syat.g_02694
OG0000130	Syal.g_00751	Syat.g_01469
OG0000131	Syal.g_00886	Syat.g_02898
OG0000132	Syal.g_00906	Syat.g_02864
OG0000133	Syal.g_01995	Syat.g_00588
OG0000134	Syal.g_00552	Syat.g_02956
OG0000135	Syal.g_01119	Syat.g_02501
OG0000136	Syal.g_00520	Syat.g_01292
OG0000137	Syal.g_00463	Syat.g_01371
OG0000138	Syal.g_02914	Syat.g_03188
OG0000139	Syal.g_02832	Syat.g_03276
OG0000140	Syal.g_02830	Syat.g_03280
OG0000141	Syal.g_02738	Syat.g_03398
OG0000142	Syal.g_02636	Syat.g_00117
OG0000143	Syal.g_02632	Syat.g_00130
OG0000144	Syal.g_02515	Syat.g_00369
OG0000145	Syal.g_02921	Syat.g_03202
OG0000146	Syal.g_02001	Syat.g_00594
OG0000147	Syal.g_02002	Syat.g_00595
OG0000148	Syal.g_02437	Syat.g_00503
OG0000149	Syal.g_02475	Syat.g_00747
OG0000150	Syal.g_02737	Syat.g_03399
OG0000151	Syal.g_02263	Syat.g_00801, Syat.g_00440
OG0000152	Syal.g_01991	Syat.g_00578
OG0000153	Syal.g_01958	Syat.g_00542
OG0000154	Syal.g_01918	Syat.g_00708
OG0000155	Syal.g_01695	Syat.g_00287
OG0000156	Syal.g_01620	Syat.g_03228
OG0000157	Syal.g_01619	Syat.g_02012, Syat.g_03227
OG0000158	Syal.g_01431	Syat.g_02163
OG0000159	Syal.g_01400	Syat.g_01187
OG0000160	Syal.g_00372	Syat.g_01224
OG0000161	Syal.g_00384	Syat.g_01180
OG0000162	Syal.g_00396	Syat.g_01281
OG0000163	Syal.g_02971	Syat.g_02979
OG0000164	Syal.g_00623	Syat.g_03040
OG0000165	Syal.g_00632	Syat.g_03033
OG0000166	Syal.g_00236	Syat.g_01822
OG0000167	Syal.g_01347	Syat.g_02148
OG0000168	Syal.g_01433	Syat.g_02164
OG0000169	Syal.g_01447	Syat.g_02192
OG0000170	Syal.g_01454	Syat.g_02201
OG0000171	Syal.g_01518	Syat.g_02230
OG0000172	Syal.g_00174, Syal.g_00173	Syat.g_02260
OG0000173	Syal.g_00155	Syat.g_02284
OG0000174	Syal.g_01121	Syat.g_02504
OG0000175	Syal.g_01172	Syat.g_02416
OG0000176	Syal.g_00101	Syat.g_02372
OG0000177	Syal.g_00102	Syat.g_02338
OG0000178	Syal.g_00103	Syat.g_02337
OG0000179	Syal.g_00118	Syat.g_02322
OG0000180	Syal.g_00119	Syat.g_02321
OG0000181	Syal.g_00120	Syat.g_02320
OG0000182	Syal.g_00121	Syat.g_02319
OG0000183	Syal.g_00125	Syat.g_02315
OG0000184	Syal.g_02678	Syat.g_02704
OG0000185	Syal.g_01025	Syat.g_02719
OG0000186	Syal.g_02684, Syal.g_00747	Syat.g_01463
OG0000187	Syal.g_02685, Syal.g_00748	Syat.g_01467
OG0000188	Syal.g_00771	Syat.g_01489
OG0000189	Syal.g_00807	Syat.g_00386, Syat.g_01557
OG0000190	Syal.g_01364	Syat.g_00330
OG0000191	Syal.g_00841	Syat.g_03344, Syat.g_02939
OG0000192	Syal.g_00847	Syat.g_02933
OG0000193	Syal.g_00887	Syat.g_02897
OG0000194	Syal.g_00890	Syat.g_02894
OG0000196	Syal.g_00903	Syat.g_02867
OG0000197	Syal.g_00904	Syat.g_02866
OG0000198	Syal.g_00905	Syat.g_02865
OG0000199	Syal.g_00913	Syat.g_02857
OG0000200	Syal.g_00932	Syat.g_02840
OG0000202	Syal.g_00950	Syat.g_02820
OG0000203	Syal.g_00951	Syat.g_02819
OG0000204	Syal.g_00952	Syat.g_02818
OG0000205	Syal.g_00959	Syat.g_02809
OG0000206	Syal.g_00971	Syat.g_02785
OG0000207	Syal.g_00974	Syat.g_02778
OG0000208	Syal.g_00975	Syat.g_02777
OG0000209	Syal.g_01000	Syat.g_02735
OG0000210	Syal.g_01001	Syat.g_02734
OG0000211	Syal.g_00688	Syat.g_01452
OG0000212	Syal.g_00679	Syat.g_01442
OG0000213	Syal.g_01229	Syat.g_01889
OG0000214	Syal.g_01246	Syat.g_02042
OG0000215	Syal.g_01277	Syat.g_02075
OG0000216	Syal.g_01281	Syat.g_02079
OG0000217	Syal.g_01285	Syat.g_02085
OG0000218	Syal.g_01287	Syat.g_02087
OG0000219	Syal.g_01288	Syat.g_02088
OG0000220	Syal.g_01289	Syat.g_02089
OG0000221	Syal.g_01297	Syat.g_02095
OG0000222	Syal.g_01309	Syat.g_02109
OG0000223	Syal.g_01327	Syat.g_02570
OG0000224	Syal.g_01329	Syat.g_02139
OG0000225	Syal.g_00363	Syat.g_01595
OG0000226	Syal.g_00367	Syat.g_01588
OG0000228	Syal.g_00556	Syat.g_02952
OG0000229	Syal.g_00525	Syat.g_02970
OG0000230	Syal.g_00523	Syat.g_02972
OG0000231	Syal.g_00510	Syat.g_01283
OG0000232	Syal.g_00495	Syat.g_01313
OG0000233	Syal.g_00487	Syat.g_01407
OG0000234	Syal.g_00461	Syat.g_01369
OG0000235	Syal.g_02896	Syat.g_03169
OG0000236	Syal.g_02912	Syat.g_03186
OG0000237	Syal.g_02930	Syat.g_03214
OG0000238	Syal.g_02935	Syat.g_03219
OG0000239	Syal.g_02951	Syat.g_01105
OG0000240	Syal.g_02952	Syat.g_01104
OG0000241	Syal.g_02696	Syat.g_00111
OG0000242	Syal.g_02840	Syat.g_01077
OG0000243	Syal.g_02822	Syat.g_00092
OG0000244	Syal.g_02815	Syat.g_00082
OG0000245	Syal.g_02813	Syat.g_00080
OG0000246	Syal.g_02809	Syat.g_00076
OG0000247	Syal.g_02797	Syat.g_00065
OG0000248	Syal.g_02794	Syat.g_00062
OG0000249	Syal.g_02792	Syat.g_00060
OG0000250	Syal.g_02786	Syat.g_00053
OG0000251	Syal.g_02760	Syat.g_00027
OG0000252	Syal.g_02757	Syat.g_00022
OG0000253	Syal.g_02755	Syat.g_00021
OG0000254	Syal.g_02732	Syat.g_03407
OG0000255	Syal.g_02719	Syat.g_02405
OG0000256	Syal.g_02705	Syat.g_03306
OG0000257	Syal.g_02697	Syat.g_00109
OG0000258	Syal.g_02623	Syat.g_00382
OG0000259	Syal.g_02182	Syat.g_00342
OG0000260	Syal.g_02188	Syat.g_00392
OG0000261	Syal.g_02199	Syat.g_00400
OG0000262	Syal.g_02204	Syat.g_00407
OG0000263	Syal.g_01720	Syat.g_00200
OG0000266	Syal.g_02421	Syat.g_00671
OG0000267	Syal.g_02043	Syat.g_00636
OG0000268	Syal.g_02042	Syat.g_00634
OG0000269	Syal.g_02409	Syat.g_00474, Syat.g_00126
OG0000270	Syal.g_02412	Syat.g_00477
OG0000271	Syal.g_01871	Syat.g_00485
OG0000272	Syal.g_01872	Syat.g_00486
OG0000273	Syal.g_02454	Syat.g_00520
OG0000274	Syal.g_02455	Syat.g_00521
OG0000275	Syal.g_02458	Syat.g_00718
OG0000276	Syal.g_02467	Syat.g_00725
OG0000277	Syal.g_02468	Syat.g_00738
OG0000278	Syal.g_02471	Syat.g_00741
OG0000279	Syal.g_02479	Syat.g_00755
OG0000280	Syal.g_02493	Syat.g_01669
OG0000281	Syal.g_02190	Syat.g_00960
OG0000282	Syal.g_02284	Syat.g_00431
OG0000283	Syal.g_02028	Syat.g_00620
OG0000284	Syal.g_02023	Syat.g_00614
OG0000285	Syal.g_02012	Syat.g_00607
OG0000286	Syal.g_01992	Syat.g_00579
OG0000287	Syal.g_01965	Syat.g_00550
OG0000288	Syal.g_01919	Syat.g_00709
OG0000289	Syal.g_01904	Syat.g_00695
OG0000290	Syal.g_01826	Syat.g_00805
OG0000291	Syal.g_01824	Syat.g_00807
OG0000292	Syal.g_00089	Syat.g_02388
OG0000293	Syal.g_01631	Syat.g_03241
OG0000294	Syal.g_01632	Syat.g_03248
OG0000295	Syal.g_01687	Syat.g_00297
OG0000296	Syal.g_01689	Syat.g_00295
OG0000297	Syal.g_01702	Syat.g_00226
OG0000298	Syal.g_01703	Syat.g_00225
OG0000299	Syal.g_01732	Syat.g_00910
OG0000300	Syal.g_01738	Syat.g_00904
OG0000301	Syal.g_01739	Syat.g_00903
OG0000302	Syal.g_01740	Syat.g_00901
OG0000303	Syal.g_01763	Syat.g_00892
OG0000304	Syal.g_01756	Syat.g_00885
OG0000305	Syal.g_01821	Syat.g_00809
OG0000306	Syal.g_02579	Syat.g_01704
OG0000307	Syal.g_02880	Syat.g_01304
OG0000308	Syal.g_02878	Syat.g_01306
OG0000309	Syal.g_02873	Syat.g_01417
OG0000310	Syal.g_01537	Syat.g_01246
OG0000311	Syal.g_00061	Syat.g_01242
OG0000312	Syal.g_00031	Syat.g_01237
OG0000313	Syal.g_00381	Syat.g_01183
OG0000314	Syal.g_00416	Syat.g_01341
OG0000315	Syal.g_00426	Syat.g_01351
OG0000316	Syal.g_02987	Syat.g_03082
OG0000317	Syal.g_00583	Syat.g_03120
OG0000318	Syal.g_00588	Syat.g_03125
OG0000319	Syal.g_00608	Syat.g_03055
OG0000320	Syal.g_00610	Syat.g_03053
OG0000321	Syal.g_00611	Syat.g_03052
OG0000322	Syal.g_00612	Syat.g_03051
OG0000323	Syal.g_00626	Syat.g_03038
OG0000324	Syal.g_00656	Syat.g_02998
OG0000325	Syal.g_00195	Syat.g_01861
OG0000326	Syal.g_00202	Syat.g_01854
OG0000327	Syal.g_00230	Syat.g_01827
OG0000328	Syal.g_00231	Syat.g_01826
OG0000329	Syal.g_00249	Syat.g_01808
OG0000330	Syal.g_00250	Syat.g_01807
OG0000331	Syal.g_00251	Syat.g_01806
OG0000332	Syal.g_00266	Syat.g_01790
OG0000333	Syal.g_00269	Syat.g_01787
OG0000334	Syal.g_00279	Syat.g_01657
OG0000335	Syal.g_00284	Syat.g_01652
OG0000336	Syal.g_00288	Syat.g_01648
OG0000337	Syal.g_01343	Syat.g_02144
OG0000338	Syal.g_01345	Syat.g_02146
OG0000339	Syal.g_01351	Syat.g_02155, Syat.g_01055
OG0000340	Syal.g_01434	Syat.g_02165
OG0000341	Syal.g_01436	Syat.g_02167
OG0000342	Syal.g_01437	Syat.g_02168
OG0000343	Syal.g_01441	Syat.g_02185
OG0000344	Syal.g_01445	Syat.g_02189
OG0000345	Syal.g_01455	Syat.g_02202
OG0000346	Syal.g_01460	Syat.g_02207
OG0000347	Syal.g_01525	Syat.g_02234
OG0000348	Syal.g_00170	Syat.g_02264
OG0000349	Syal.g_00148	Syat.g_02291
OG0000350	Syal.g_00209	Syat.g_01847
OG0000351	Syal.g_01175	Syat.g_02411
OG0000352	Syal.g_01176	Syat.g_02410
OG0000353	Syal.g_00095	Syat.g_00955, Syat.g_02377
OG0000354	Syal.g_02941	Syat.g_03225
OG0000354	Syal.g_00116	Syat.g_02325
OG0000355	Syal.g_00098	Syat.g_02375
OG0000356	Syal.g_00099	Syat.g_02374
OG0000357	Syal.g_00100	Syat.g_02373
OG0000358	Syal.g_00104	Syat.g_02336
OG0000359	Syal.g_00106	Syat.g_02334
OG0000360	Syal.g_00107	Syat.g_02333
OG0000361	Syal.g_00108	Syat.g_02332
OG0000362	Syal.g_00110	Syat.g_02330
OG0000363	Syal.g_00112	Syat.g_02328
OG0000364	Syal.g_00113	Syat.g_03122
OG0000365	Syal.g_00122	Syat.g_02318
OG0000366	Syal.g_00123	Syat.g_02317
OG0000367	Syal.g_00124	Syat.g_02316
OG0000368	Syal.g_00126	Syat.g_02314
OG0000369	Syal.g_00127	Syat.g_02313
OG0000370	Syal.g_00128	Syat.g_02312
OG0000371	Syal.g_00135	Syat.g_02304
OG0000372	Syal.g_00141	Syat.g_02298
OG0000373	Syal.g_00142	Syat.g_02297
OG0000374	Syal.g_00143	Syat.g_02296
OG0000375	Syal.g_00144	Syat.g_02295
OG0000376	Syal.g_00146	Syat.g_02293
OG0000377	Syal.g_01061	Syat.g_02695
OG0000378	Syal.g_01027	Syat.g_02715
OG0000379	Syal.g_02681, Syal.g_01024	Syat.g_02720
OG0000380	Syal.g_00749	Syat.g_01468
OG0000381	Syal.g_00752	Syat.g_01470
OG0000382	Syal.g_00770	Syat.g_01488
OG0000383	Syal.g_00775	Syat.g_01521
OG0000384	Syal.g_00776	Syat.g_01522
OG0000385	Syal.g_00777	Syat.g_01523
OG0000386	Syal.g_00778	Syat.g_01524
OG0000387	Syal.g_00811	Syat.g_01561
OG0000388	Syal.g_00815	Syat.g_01565
OG0000389	Syal.g_00819	Syat.g_01569
OG0000390	Syal.g_00835	Syat.g_02945
OG0000391	Syal.g_00840	Syat.g_02940
OG0000392	Syal.g_00846	Syat.g_02934
OG0000393	Syal.g_00849	Syat.g_02931
OG0000394	Syal.g_00850	Syat.g_02930
OG0000395	Syal.g_00851	Syat.g_02929
OG0000396	Syal.g_00854	Syat.g_02927
OG0000397	Syal.g_00857	Syat.g_02925
OG0000398	Syal.g_00862	Syat.g_02920
OG0000399	Syal.g_00863	Syat.g_02919
OG0000400	Syal.g_00864	Syat.g_02918
OG0000401	Syal.g_00865	Syat.g_02917
OG0000402	Syal.g_00867	Syat.g_02915
OG0000403	Syal.g_00868	Syat.g_02914
OG0000404	Syal.g_00870	Syat.g_02913
OG0000405	Syal.g_00883	Syat.g_02900
OG0000406	Syal.g_00888	Syat.g_02896
OG0000407	Syal.g_00889	Syat.g_02895
OG0000408	Syal.g_00891	Syat.g_02893
OG0000409	Syal.g_00893	Syat.g_02891
OG0000410	Syal.g_00894	Syat.g_02890
OG0000411	Syal.g_00895	Syat.g_02889
OG0000412	Syal.g_00896	Syat.g_02888
OG0000413	Syal.g_00898	Syat.g_02886
OG0000414	Syal.g_00899	Syat.g_02885
OG0000415	Syal.g_00900	Syat.g_02884
OG0000416	Syal.g_00901	Syat.g_02883
OG0000417	Syal.g_00902	Syat.g_02868
OG0000418	Syal.g_00907	Syat.g_02863
OG0000419	Syal.g_00909	Syat.g_02861
OG0000420	Syal.g_00911	Syat.g_02859
OG0000421	Syal.g_00916	Syat.g_02855
OG0000422	Syal.g_00917	Syat.g_02854
OG0000423	Syal.g_00918	Syat.g_02853
OG0000424	Syal.g_00919	Syat.g_02852
OG0000425	Syal.g_00920	Syat.g_02851
OG0000426	Syal.g_00921	Syat.g_02850
OG0000427	Syal.g_00922	Syat.g_02849
OG0000428	Syal.g_00925	Syat.g_02846
OG0000429	Syal.g_00929	Syat.g_02843
OG0000430	Syal.g_00931	Syat.g_02841
OG0000431	Syal.g_00934	Syat.g_02838
OG0000432	Syal.g_00940	Syat.g_02832
OG0000433	Syal.g_00943	Syat.g_02829
OG0000434	Syal.g_00944	Syat.g_02828
OG0000435	Syal.g_00946	Syat.g_02824
OG0000436	Syal.g_00953	Syat.g_02817
OG0000437	Syal.g_00954	Syat.g_02558
OG0000438	Syal.g_00955	Syat.g_02813
OG0000439	Syal.g_00957	Syat.g_02811
OG0000440	Syal.g_00958	Syat.g_02810
OG0000441	Syal.g_00962	Syat.g_02807
OG0000442	Syal.g_00964	Syat.g_02797
OG0000443	Syal.g_00966	Syat.g_02787
OG0000444	Syal.g_00978	Syat.g_02756
OG0000445	Syal.g_00979	Syat.g_02755
OG0000446	Syal.g_00981	Syat.g_02753
OG0000447	Syal.g_00989	Syat.g_02749
OG0000448	Syal.g_00990	Syat.g_02748
OG0000449	Syal.g_00991	Syat.g_02747
OG0000450	Syal.g_00997	Syat.g_02738
OG0000451	Syal.g_00998	Syat.g_02737
OG0000452	Syal.g_01002	Syat.g_02732
OG0000453	Syal.g_01003	Syat.g_02731
OG0000454	Syal.g_01004	Syat.g_02730
OG0000455	Syal.g_01005	Syat.g_02729
OG0000456	Syal.g_01006	Syat.g_02728
OG0000457	Syal.g_01008	Syat.g_02726
OG0000458	Syal.g_01009	Syat.g_02725
OG0000459	Syal.g_01010	Syat.g_02724
OG0000460	Syal.g_00686	Syat.g_01450
OG0000461	Syal.g_01199	Syat.g_01866
OG0000462	Syal.g_01202	Syat.g_01868
OG0000463	Syal.g_01203	Syat.g_01869
OG0000464	Syal.g_01204	Syat.g_01870
OG0000465	Syal.g_01205	Syat.g_01872
OG0000466	Syal.g_01210	Syat.g_01877
OG0000467	Syal.g_01212	Syat.g_01878
OG0000468	Syal.g_01225	Syat.g_01884
OG0000469	Syal.g_01240	Syat.g_02000
OG0000470	Syal.g_01242	Syat.g_02038
OG0000471	Syal.g_01243	Syat.g_02039
OG0000472	Syal.g_01245	Syat.g_02041
OG0000473	Syal.g_01247	Syat.g_02043
OG0000474	Syal.g_01248	Syat.g_02044
OG0000475	Syal.g_01249	Syat.g_02045
OG0000476	Syal.g_01251	Syat.g_02047
OG0000477	Syal.g_01257	Syat.g_02053
OG0000478	Syal.g_01258	Syat.g_02054
OG0000479	Syal.g_01259	Syat.g_02056
OG0000480	Syal.g_01266	Syat.g_02063
OG0000481	Syal.g_01268	Syat.g_02066
OG0000482	Syal.g_01269	Syat.g_02067
OG0000483	Syal.g_01273	Syat.g_02071
OG0000484	Syal.g_01274	Syat.g_02072
OG0000485	Syal.g_01275	Syat.g_02073
OG0000486	Syal.g_01276	Syat.g_02074
OG0000487	Syal.g_01282	Syat.g_02080
OG0000488	Syal.g_01286	Syat.g_02086
OG0000489	Syal.g_01298	Syat.g_02097
OG0000490	Syal.g_01307	Syat.g_02106
OG0000491	Syal.g_01308	Syat.g_02107
OG0000492	Syal.g_01310	Syat.g_02110
OG0000493	Syal.g_01311	Syat.g_02111
OG0000494	Syal.g_01312	Syat.g_02112
OG0000495	Syal.g_01313	Syat.g_02120
OG0000496	Syal.g_01314	Syat.g_02121
OG0000497	Syal.g_01315	Syat.g_02122
OG0000498	Syal.g_01316	Syat.g_02123
OG0000499	Syal.g_01317	Syat.g_02124
OG0000500	Syal.g_01318	Syat.g_02125
OG0000501	Syal.g_01321	Syat.g_02128
OG0000502	Syal.g_01328	Syat.g_02135
OG0000503	Syal.g_00347	Syat.g_01614
OG0000504	Syal.g_00349	Syat.g_01612
OG0000505	Syal.g_00350	Syat.g_01611
OG0000506	Syal.g_00352	Syat.g_01609
OG0000507	Syal.g_00358	Syat.g_01603
OG0000508	Syal.g_00362	Syat.g_01596
OG0000509	Syal.g_00364	Syat.g_01591
OG0000510	Syal.g_00365	Syat.g_01590
OG0000511	Syal.g_00366	Syat.g_01589
OG0000512	Syal.g_00368	Syat.g_01587
OG0000513	Syal.g_00551	Syat.g_02957
OG0000514	Syal.g_00539	Syat.g_02962
OG0000515	Syal.g_00538	Syat.g_02963
OG0000516	Syal.g_00534	Syat.g_02965
OG0000517	Syal.g_00526	Syat.g_02969
OG0000518	Syal.g_00514	Syat.g_01286
OG0000519	Syal.g_00513	Syat.g_01285
OG0000520	Syal.g_00512	Syat.g_01284
OG0000521	Syal.g_00502	Syat.g_01319
OG0000522	Syal.g_00500	Syat.g_01317
OG0000523	Syal.g_00499	Syat.g_01316
OG0000524	Syal.g_00491	Syat.g_01409
OG0000525	Syal.g_00473	Syat.g_01382
OG0000526	Syal.g_00471	Syat.g_01380
OG0000527	Syal.g_00465	Syat.g_01373
OG0000528	Syal.g_02893	Syat.g_03167
OG0000529	Syal.g_02898	Syat.g_03171
OG0000530	Syal.g_02901	Syat.g_03174
OG0000531	Syal.g_02902	Syat.g_03175
OG0000532	Syal.g_02905	Syat.g_03178
OG0000533	Syal.g_02907	Syat.g_03180
OG0000534	Syal.g_02908	Syat.g_03181
OG0000535	Syal.g_02909	Syat.g_03182
OG0000536	Syal.g_02910	Syat.g_03183
OG0000537	Syal.g_02911	Syat.g_03185
OG0000538	Syal.g_02923	Syat.g_03204
OG0000539	Syal.g_02924	Syat.g_03206
OG0000540	Syal.g_02925	Syat.g_03207
OG0000541	Syal.g_02926	Syat.g_03208
OG0000542	Syal.g_02929	Syat.g_03213
OG0000543	Syal.g_02931	Syat.g_03215
OG0000544	Syal.g_02932	Syat.g_03216
OG0000545	Syal.g_02934	Syat.g_03218
OG0000546	Syal.g_02936	Syat.g_03220
OG0000547	Syal.g_02938	Syat.g_03222
OG0000548	Syal.g_02939	Syat.g_03223
OG0000549	Syal.g_02945	Syat.g_01795
OG0000550	Syal.g_02949	Syat.g_01107
OG0000551	Syal.g_02953	Syat.g_01103
OG0000552	Syal.g_02954	Syat.g_01102
OG0000553	Syal.g_02843	Syat.g_01098
OG0000554	Syal.g_02837	Syat.g_03271
OG0000555	Syal.g_02823	Syat.g_00093
OG0000556	Syal.g_02819	Syat.g_00088
OG0000557	Syal.g_02816	Syat.g_00083
OG0000558	Syal.g_02814	Syat.g_00081
OG0000559	Syal.g_02305, Syal.g_02810	Syat.g_00077
OG0000560	Syal.g_02807	Syat.g_00074
OG0000561	Syal.g_02806	Syat.g_00073
OG0000562	Syal.g_02805	Syat.g_00072
OG0000563	Syal.g_02804	Syat.g_00071
OG0000564	Syal.g_02803	Syat.g_00070
OG0000565	Syal.g_02799	Syat.g_00067
OG0000566	Syal.g_02795	Syat.g_00063
OG0000567	Syal.g_02791	Syat.g_00059
OG0000568	Syal.g_02789	Syat.g_00057
OG0000569	Syal.g_02788	Syat.g_00056
OG0000570	Syal.g_02787	Syat.g_00055
OG0000571	Syal.g_02784	Syat.g_00052
OG0000572	Syal.g_02767	Syat.g_00033
OG0000573	Syal.g_02759	Syat.g_00024
OG0000574	Syal.g_02758	Syat.g_00023
OG0000575	Syal.g_02753	Syat.g_00018
OG0000576	Syal.g_02751	Syat.g_00014
OG0000577	Syal.g_02750	Syat.g_00013
OG0000578	Syal.g_02749	Syat.g_00012
OG0000579	Syal.g_02748	Syat.g_00011
OG0000580	Syal.g_02747	Syat.g_00010
OG0000581	Syal.g_02741	Syat.g_00003
OG0000582	Syal.g_02736	Syat.g_03403
OG0000583	Syal.g_02735	Syat.g_03404
OG0000584	Syal.g_02734	Syat.g_03405
OG0000585	Syal.g_02731	Syat.g_03408
OG0000586	Syal.g_02730	Syat.g_03409
