Orthogroup	Syak	Prbd
OG0000057	Syak.g_00724, Syak.g_01676	Prbd.g_00546
OG0000059	Syak.g_01355	Prbd.g_01439
OG0000060	Syak.g_01138, Syak.g_02572, Syak.g_00844	Prbd.g_00824
OG0000061	Syak.g_00898	Prbd.g_00468
OG0000062	Syak.g_02434	Prbd.g_01610
OG0000063	Syak.g_01752	Prbd.g_01204
OG0000065	Syak.g_02192, Syak.g_00282	Prbd.g_01137
OG0000066	Syak.g_02653	Prbd.g_00703
OG0000067	Syak.g_00434	Prbd.g_00102
OG0000068	Syak.g_02565	Prbd.g_01764
OG0000070	Syak.g_01174	Prbd.g_00792
OG0000071	Syak.g_02322, Syak.g_00936	Prbd.g_01801
OG0000072	Syak.g_02099	Prbd.g_01069
OG0000073	Syak.g_02597	Prbd.g_00743
OG0000075	Syak.g_01564	Prbd.g_01359
OG0000076	Syak.g_01650	Prbd.g_01335
OG0000077	Syak.g_02243	Prbd.g_01166
OG0000078	Syak.g_02310	Prbd.g_01000
OG0000079	Syak.g_01417	Prbd.g_00987
OG0000080	Syak.g_01585, Syak.g_01583	Prbd.g_01731
OG0000081	Syak.g_00115	Prbd.g_00711
OG0000082	Syak.g_02711	Prbd.g_00658
OG0000084	Syak.g_01036	Prbd.g_01693
OG0000085	Syak.g_02427	Prbd.g_01532
OG0000086	Syak.g_02219	Prbd.g_01156
OG0000087	Syak.g_02141	Prbd.g_01104, Prbd.g_01103
OG0000088	Syak.g_02106	Prbd.g_01074
OG0000089	Syak.g_01215	Prbd.g_00883
OG0000090	Syak.g_02640	Prbd.g_00709
OG0000091	Syak.g_00043	Prbd.g_00602
OG0000092	Syak.g_01126	Prbd.g_01193
OG0000093	Syak.g_00416	Prbd.g_00232
OG0000094	Syak.g_00656	Prbd.g_00321
OG0000095	Syak.g_00736	Prbd.g_00340
OG0000097	Syak.g_00816	Prbd.g_00509
OG0000098	Syak.g_00345, Syak.g_02651	Prbd.g_01782
OG0000099	Syak.g_01527	Prbd.g_01734
OG0000100	Syak.g_00622	Prbd.g_01614
OG0000101	Syak.g_01305	Prbd.g_01391
OG0000102	Syak.g_01661	Prbd.g_01330
OG0000103	Syak.g_01812	Prbd.g_01250
OG0000104	Syak.g_01799	Prbd.g_01241
OG0000105	Syak.g_01451	Prbd.g_00965
OG0000106	Syak.g_00096	Prbd.g_00868
OG0000107	Syak.g_01392	Prbd.g_00852
OG0000108	Syak.g_02574	Prbd.g_00762
OG0000109	Syak.g_01061, Syak.g_02590	Prbd.g_00748
OG0000110	Syak.g_02698	Prbd.g_00668
OG0000111	Syak.g_00725	Prbd.g_00545
OG0000112	Syak.g_00512	Prbd.g_00066
OG0000113	Syak.g_00461	Prbd.g_00124
OG0000114	Syak.g_00373, Syak.g_00065	Prbd.g_00206
OG0000115	Syak.g_01066	Prbd.g_00401
OG0000116	Syak.g_00911	Prbd.g_00458
OG0000117	Syak.g_00846	Prbd.g_01895
OG0000118	Syak.g_00954	Prbd.g_01789
OG0000119	Syak.g_00917	Prbd.g_01768
OG0000120	Syak.g_01526	Prbd.g_01737
OG0000121	Syak.g_01044	Prbd.g_01687
OG0000122	Syak.g_00081	Prbd.g_01649
OG0000123	Syak.g_01299	Prbd.g_01384
OG0000124	Syak.g_01692	Prbd.g_01318
OG0000125	Syak.g_01934	Prbd.g_01281
OG0000126	Syak.g_01801	Prbd.g_01242
OG0000128	Syak.g_01782	Prbd.g_01226
OG0000129	Syak.g_01947	Prbd.g_01194
OG0000130	Syak.g_02255	Prbd.g_01175
OG0000131	Syak.g_02128	Prbd.g_01095
OG0000132	Syak.g_02108	Prbd.g_01076
OG0000133	Syak.g_00507	Prbd.g_00917
OG0000134	Syak.g_01212	Prbd.g_00882
OG0000135	Syak.g_01897	Prbd.g_00855
OG0000136	Syak.g_01186	Prbd.g_01722, Prbd.g_00801
OG0000137	Syak.g_01118	Prbd.g_00767
OG0000138	Syak.g_01062, Syak.g_02591	Prbd.g_00747
OG0000139	Syak.g_02646	Prbd.g_00705
OG0000140	Syak.g_02650	Prbd.g_00704
OG0000141	Syak.g_02746	Prbd.g_00637
OG0000142	Syak.g_00035	Prbd.g_00609
OG0000143	Syak.g_00039	Prbd.g_00605
OG0000144	Syak.g_00260	Prbd.g_00592
OG0000145	Syak.g_02598	Prbd.g_00062
OG0000146	Syak.g_00514	Prbd.g_00067
OG0000147	Syak.g_00515	Prbd.g_00068
OG0000148	Syak.g_00455	Prbd.g_00118
OG0000149	Syak.g_00596	Prbd.g_00149
OG0000150	Syak.g_02747	Prbd.g_00157
OG0000151	Syak.g_00387	Prbd.g_00216
OG0000152	Syak.g_00503	Prbd.g_00264
OG0000153	Syak.g_00470	Prbd.g_00283
OG0000154	Syak.g_00645	Prbd.g_00314
OG0000155	Syak.g_00855	Prbd.g_00488
OG0000156	Syak.g_00919	Prbd.g_01812
OG0000157	Syak.g_00920	Prbd.g_01811
OG0000158	Syak.g_01624	Prbd.g_01736
OG0000160	Syak.g_01043	Prbd.g_01688
OG0000161	Syak.g_01050	Prbd.g_01682
OG0000162	Syak.g_01058	Prbd.g_01676
OG0000163	Syak.g_02478	Prbd.g_01642
OG0000164	Syak.g_02384	Prbd.g_01501
OG0000165	Syak.g_02374	Prbd.g_01494
OG0000166	Syak.g_01345	Prbd.g_01427
OG0000167	Syak.g_01561	Prbd.g_01361
OG0000168	Syak.g_01625	Prbd.g_01351
OG0000169	Syak.g_01637	Prbd.g_01341
OG0000170	Syak.g_01644	Prbd.g_01339
OG0000171	Syak.g_01691	Prbd.g_01319
OG0000172	Syak.g_01713	Prbd.g_01310
OG0000173	Syak.g_01733	Prbd.g_01295
OG0000174	Syak.g_01895	Prbd.g_01268
OG0000175	Syak.g_01827	Prbd.g_01258
OG0000176	Syak.g_01790	Prbd.g_01233
OG0000177	Syak.g_01789	Prbd.g_01232
OG0000178	Syak.g_01788	Prbd.g_01231
OG0000179	Syak.g_01773	Prbd.g_01221
OG0000180	Syak.g_01772	Prbd.g_01220
OG0000181	Syak.g_01771	Prbd.g_01219
OG0000182	Syak.g_01770	Prbd.g_01218
OG0000183	Syak.g_01766	Prbd.g_01214
OG0000184	Syak.g_01955	Prbd.g_01191
OG0000185	Syak.g_01971	Prbd.g_01188
OG0000186	Syak.g_02258	Prbd.g_01180
OG0000187	Syak.g_02257	Prbd.g_01179
OG0000188	Syak.g_02235	Prbd.g_01162
OG0000189	Syak.g_02203	Prbd.g_01148
OG0000190	Syak.g_01575	Prbd.g_01147
OG0000191	Syak.g_02171	Prbd.g_01126
OG0000192	Syak.g_02165	Prbd.g_01122
OG0000193	Syak.g_02127	Prbd.g_01094
OG0000194	Syak.g_02124	Prbd.g_01091
OG0000195	Syak.g_02122	Prbd.g_01089
OG0000196	Syak.g_02111	Prbd.g_01079
OG0000197	Syak.g_02110	Prbd.g_01078
OG0000198	Syak.g_02109	Prbd.g_01077
OG0000199	Syak.g_02100	Prbd.g_01070
OG0000200	Syak.g_02083	Prbd.g_01056
OG0000201	Syak.g_02068	Prbd.g_01048
OG0000202	Syak.g_02067	Prbd.g_01047
OG0000203	Syak.g_02066	Prbd.g_01046
OG0000204	Syak.g_02065	Prbd.g_01045
OG0000205	Syak.g_02058	Prbd.g_01038
OG0000206	Syak.g_02038	Prbd.g_01033
OG0000207	Syak.g_02025	Prbd.g_01031
OG0000208	Syak.g_02024	Prbd.g_01030
OG0000209	Syak.g_01995	Prbd.g_01021
OG0000210	Syak.g_01994	Prbd.g_01020
OG0000211	Syak.g_02017, Syak.g_02300	Prbd.g_01006
OG0000212	Syak.g_02311	Prbd.g_00999
OG0000213	Syak.g_01425	Prbd.g_00982
OG0000214	Syak.g_01442	Prbd.g_00972
OG0000215	Syak.g_01474	Prbd.g_00947
OG0000216	Syak.g_01478	Prbd.g_00945
OG0000217	Syak.g_01482	Prbd.g_00942
OG0000218	Syak.g_01484	Prbd.g_00940
OG0000219	Syak.g_01485	Prbd.g_00939
OG0000220	Syak.g_01486	Prbd.g_00938
OG0000221	Syak.g_01498	Prbd.g_00937
OG0000222	Syak.g_01512	Prbd.g_00929
OG0000223	Syak.g_01531	Prbd.g_00916
OG0000224	Syak.g_01532	Prbd.g_00914
OG0000225	Syak.g_01230	Prbd.g_00893
OG0000226	Syak.g_01226	Prbd.g_00889
OG0000227	Syak.g_01224	Prbd.g_00887
OG0000228	Syak.g_01216	Prbd.g_00884
OG0000229	Syak.g_01191	Prbd.g_00806
OG0000230	Syak.g_01189	Prbd.g_00804
OG0000231	Syak.g_01176	Prbd.g_00793
OG0000232	Syak.g_01156	Prbd.g_00784
OG0000233	Syak.g_01145	Prbd.g_00779
OG0000234	Syak.g_01116	Prbd.g_00766
OG0000235	Syak.g_02573	Prbd.g_00763
OG0000236	Syak.g_02589	Prbd.g_00749
OG0000237	Syak.g_02607	Prbd.g_00736
OG0000238	Syak.g_02612	Prbd.g_00730
OG0000239	Syak.g_02628	Prbd.g_00717
OG0000240	Syak.g_02629	Prbd.g_00716
OG0000241	Syak.g_00027	Prbd.g_00712
OG0000242	Syak.g_02638	Prbd.g_00710
OG0000243	Syak.g_02658	Prbd.g_00699
OG0000244	Syak.g_02665	Prbd.g_00696
OG0000245	Syak.g_02667	Prbd.g_00694
OG0000246	Syak.g_02671	Prbd.g_00690
OG0000247	Syak.g_02681	Prbd.g_00680
OG0000248	Syak.g_02684	Prbd.g_00678
OG0000249	Syak.g_02686	Prbd.g_00676
OG0000250	Syak.g_02694	Prbd.g_00671
OG0000251	Syak.g_02722	Prbd.g_00653
OG0000252	Syak.g_02725	Prbd.g_00650
OG0000253	Syak.g_02727	Prbd.g_00649
OG0000254	Syak.g_02752	Prbd.g_00633
OG0000255	Syak.g_02772	Prbd.g_00627
OG0000256	Syak.g_00020	Prbd.g_00617
OG0000257	Syak.g_00026	Prbd.g_00614
OG0000258	Syak.g_00044	Prbd.g_00601
OG0000259	Syak.g_00334	Prbd.g_00584
OG0000260	Syak.g_00338	Prbd.g_00581
OG0000261	Syak.g_00348	Prbd.g_00579
OG0000262	Syak.g_00353	Prbd.g_00575
OG0000263	Syak.g_00828	Prbd.g_00563
OG0000264	Syak.g_00698	Prbd.g_00553
OG0000265	Syak.g_00211	Prbd.g_00007
OG0000266	Syak.g_00778	Prbd.g_00017
OG0000267	Syak.g_00555	Prbd.g_00028
OG0000268	Syak.g_00554	Prbd.g_00029
OG0000269	Syak.g_00429	Prbd.g_00097
OG0000270	Syak.g_00432	Prbd.g_00100
OG0000271	Syak.g_00440	Prbd.g_00108
OG0000272	Syak.g_00441	Prbd.g_00109
OG0000273	Syak.g_00616	Prbd.g_00132
OG0000274	Syak.g_00615	Prbd.g_00133
OG0000275	Syak.g_00611	Prbd.g_00136
OG0000276	Syak.g_00604	Prbd.g_00141
OG0000277	Syak.g_00603	Prbd.g_00142
OG0000278	Syak.g_00600	Prbd.g_00145
OG0000279	Syak.g_00592	Prbd.g_00152
OG0000280	Syak.g_00582	Prbd.g_00153
OG0000281	Syak.g_00339	Prbd.g_00158
OG0000282	Syak.g_00375	Prbd.g_00208
OG0000283	Syak.g_00541	Prbd.g_00241
OG0000284	Syak.g_00536	Prbd.g_00246
OG0000285	Syak.g_00523	Prbd.g_00251
OG0000286	Syak.g_00504	Prbd.g_00263
OG0000287	Syak.g_00477	Prbd.g_00280
OG0000288	Syak.g_00644	Prbd.g_00313
OG0000289	Syak.g_00659	Prbd.g_00324
OG0000290	Syak.g_00738	Prbd.g_00337
OG0000291	Syak.g_00734, Syak.g_00737	Prbd.g_00339
OG0000292	Syak.g_01802	Prbd.g_00389
OG0000293	Syak.g_00910	Prbd.g_00459
OG0000294	Syak.g_00909	Prbd.g_00460
OG0000295	Syak.g_00863	Prbd.g_00480
OG0000296	Syak.g_00861	Prbd.g_00482
OG0000297	Syak.g_00848	Prbd.g_00490
OG0000298	Syak.g_00847	Prbd.g_00491
OG0000299	Syak.g_00820	Prbd.g_00508
OG0000300	Syak.g_00813	Prbd.g_00511
OG0000301	Syak.g_00812	Prbd.g_00512
OG0000302	Syak.g_00811	Prbd.g_00514
OG0000303	Syak.g_00674	Prbd.g_00521
OG0000304	Syak.g_00680	Prbd.g_00525
OG0000305	Syak.g_00732	Prbd.g_01772
OG0000306	Syak.g_00094	Prbd.g_01769
OG0000307	Syak.g_02556	Prbd.g_01755
OG0000308	Syak.g_02554	Prbd.g_01754
OG0000309	Syak.g_02549	Prbd.g_01750
OG0000310	Syak.g_00994	Prbd.g_01704
OG0000311	Syak.g_00999	Prbd.g_01702
OG0000312	Syak.g_01028	Prbd.g_01699
OG0000313	Syak.g_01046	Prbd.g_01685
OG0000314	Syak.g_01079	Prbd.g_01662
OG0000315	Syak.g_01090	Prbd.g_01652
OG0000316	Syak.g_02462	Prbd.g_01632
OG0000317	Syak.g_02419	Prbd.g_01527
OG0000318	Syak.g_02415	Prbd.g_01524
OG0000319	Syak.g_02399	Prbd.g_01511
OG0000320	Syak.g_02397	Prbd.g_01509
OG0000321	Syak.g_02396	Prbd.g_01508
OG0000322	Syak.g_02395	Prbd.g_01507
OG0000323	Syak.g_02380	Prbd.g_01498
OG0000324	Syak.g_02347	Prbd.g_01471
OG0000325	Syak.g_01391	Prbd.g_01462
OG0000326	Syak.g_01384	Prbd.g_01456
OG0000327	Syak.g_01350	Prbd.g_01432
OG0000328	Syak.g_01349	Prbd.g_01431
OG0000329	Syak.g_01331	Prbd.g_01414
OG0000330	Syak.g_01330	Prbd.g_01413
OG0000331	Syak.g_01329	Prbd.g_01412
OG0000332	Syak.g_01314	Prbd.g_01398
OG0000333	Syak.g_01311	Prbd.g_01396
OG0000334	Syak.g_01302	Prbd.g_01388
OG0000335	Syak.g_01298	Prbd.g_01383
OG0000336	Syak.g_01294	Prbd.g_01379
OG0000337	Syak.g_01555	Prbd.g_01363
OG0000338	Syak.g_01558	Prbd.g_01362
OG0000339	Syak.g_01566	Prbd.g_01358
OG0000340	Syak.g_01626	Prbd.g_01350
OG0000341	Syak.g_01628	Prbd.g_01348
OG0000342	Syak.g_01629	Prbd.g_01347
OG0000343	Syak.g_01631	Prbd.g_01346
OG0000344	Syak.g_01635	Prbd.g_01343
OG0000345	Syak.g_01645	Prbd.g_01338
OG0000346	Syak.g_01651	Prbd.g_01334
OG0000347	Syak.g_01694	Prbd.g_01317
OG0000348	Syak.g_01717	Prbd.g_01307
OG0000349	Syak.g_01740	Prbd.g_01290
OG0000350	Syak.g_01377	Prbd.g_01272
OG0000351	Syak.g_01823	Prbd.g_01255
OG0000352	Syak.g_01822	Prbd.g_01254
OG0000353	Syak.g_01796	Prbd.g_01238
OG0000355	Syak.g_01793	Prbd.g_01236
OG0000356	Syak.g_01792	Prbd.g_01235
OG0000357	Syak.g_01791	Prbd.g_01234
OG0000358	Syak.g_01787	Prbd.g_01230
OG0000359	Syak.g_01785	Prbd.g_01229
OG0000360	Syak.g_01784	Prbd.g_01228
OG0000361	Syak.g_01783	Prbd.g_01227
OG0000362	Syak.g_01781	Prbd.g_01225
OG0000363	Syak.g_01779	Prbd.g_01223
OG0000364	Syak.g_01778	Prbd.g_01222
OG0000365	Syak.g_01769	Prbd.g_01217
OG0000366	Syak.g_01768	Prbd.g_01216
OG0000367	Syak.g_01767	Prbd.g_01215
OG0000368	Syak.g_01765	Prbd.g_01213
OG0000369	Syak.g_01764	Prbd.g_01212
OG0000370	Syak.g_01763	Prbd.g_01211
OG0000371	Syak.g_01753	Prbd.g_01205
OG0000372	Syak.g_01748	Prbd.g_01202
OG0000373	Syak.g_01747	Prbd.g_01201
OG0000374	Syak.g_01746	Prbd.g_01200
OG0000375	Syak.g_01744	Prbd.g_01198
OG0000376	Syak.g_01742	Prbd.g_01196
OG0000377	Syak.g_01948	Prbd.g_01192
OG0000378	Syak.g_01968	Prbd.g_01190
OG0000379	Syak.g_01972	Prbd.g_01187
OG0000380	Syak.g_02256	Prbd.g_01178
OG0000381	Syak.g_02254	Prbd.g_01174
OG0000382	Syak.g_02236	Prbd.g_01163
OG0000383	Syak.g_02229	Prbd.g_01161
OG0000384	Syak.g_02228	Prbd.g_01160
OG0000385	Syak.g_02227	Prbd.g_01159
OG0000386	Syak.g_02226	Prbd.g_01158
OG0000387	Syak.g_02200	Prbd.g_01145
OG0000388	Syak.g_02196	Prbd.g_01142
OG0000389	Syak.g_02193, Syak.g_02345	Prbd.g_01138
OG0000390	Syak.g_02177	Prbd.g_01131
OG0000391	Syak.g_02172	Prbd.g_01127
OG0000392	Syak.g_02166	Prbd.g_01123
OG0000393	Syak.g_02163	Prbd.g_01121
OG0000394	Syak.g_02162	Prbd.g_01120
OG0000395	Syak.g_02161	Prbd.g_01119
OG0000396	Syak.g_02158	Prbd.g_01116
OG0000397	Syak.g_02156	Prbd.g_01114
OG0000398	Syak.g_02151	Prbd.g_01112
OG0000399	Syak.g_02150	Prbd.g_01111
OG0000400	Syak.g_02149	Prbd.g_01110
OG0000401	Syak.g_02148	Prbd.g_01109
OG0000402	Syak.g_02146	Prbd.g_01107
OG0000403	Syak.g_02145	Prbd.g_01106
OG0000404	Syak.g_02143	Prbd.g_01105
OG0000405	Syak.g_02131	Prbd.g_01100
OG0000406	Syak.g_02126	Prbd.g_01093
OG0000407	Syak.g_02125	Prbd.g_01092
OG0000408	Syak.g_02123	Prbd.g_01090
OG0000409	Syak.g_02121	Prbd.g_01088
OG0000410	Syak.g_02120	Prbd.g_01087
OG0000411	Syak.g_02119	Prbd.g_01086
OG0000412	Syak.g_02118	Prbd.g_01085
OG0000413	Syak.g_02116	Prbd.g_01084
OG0000415	Syak.g_02114	Prbd.g_01082
OG0000416	Syak.g_02113	Prbd.g_01081
OG0000417	Syak.g_02112	Prbd.g_01080
OG0000418	Syak.g_02107	Prbd.g_01075
OG0000419	Syak.g_02105	Prbd.g_01073
OG0000420	Syak.g_02103	Prbd.g_01072
OG0000421	Syak.g_02097	Prbd.g_01067
OG0000422	Syak.g_02096	Prbd.g_01066
OG0000423	Syak.g_02095	Prbd.g_01065
OG0000424	Syak.g_02094	Prbd.g_01064
OG0000425	Syak.g_02093	Prbd.g_01063
OG0000426	Syak.g_02092	Prbd.g_01062
OG0000427	Syak.g_02091	Prbd.g_01061
OG0000428	Syak.g_02088	Prbd.g_01059
OG0000429	Syak.g_02086	Prbd.g_01058
OG0000430	Syak.g_02084	Prbd.g_01057
OG0000431	Syak.g_02081	Prbd.g_01055
OG0000432	Syak.g_02075	Prbd.g_01052
OG0000433	Syak.g_02073	Prbd.g_01051
OG0000434	Syak.g_02072	Prbd.g_01050
OG0000435	Syak.g_02071	Prbd.g_01049
OG0000436	Syak.g_02064	Prbd.g_01044
OG0000437	Syak.g_02063	Prbd.g_01043
OG0000438	Syak.g_02062	Prbd.g_01042
OG0000439	Syak.g_02060	Prbd.g_01040
OG0000440	Syak.g_02059	Prbd.g_01039
OG0000441	Syak.g_02053	Prbd.g_01036
OG0000442	Syak.g_02043	Prbd.g_01035
OG0000443	Syak.g_02041	Prbd.g_01034
OG0000444	Syak.g_02022	Prbd.g_01029
OG0000445	Syak.g_02015	Prbd.g_01028
OG0000446	Syak.g_02013	Prbd.g_01027
OG0000447	Syak.g_02006	Prbd.g_01026
OG0000448	Syak.g_02005	Prbd.g_01025
OG0000449	Syak.g_02004	Prbd.g_01024
OG0000450	Syak.g_01998	Prbd.g_01023
OG0000451	Syak.g_01997	Prbd.g_01022
OG0000452	Syak.g_01993	Prbd.g_01019
OG0000453	Syak.g_01992	Prbd.g_01018
OG0000454	Syak.g_01991	Prbd.g_01017
OG0000455	Syak.g_01990	Prbd.g_01016
OG0000456	Syak.g_01989	Prbd.g_01015
OG0000457	Syak.g_01987	Prbd.g_01013
OG0000458	Syak.g_01986	Prbd.g_01012
OG0000459	Syak.g_01985	Prbd.g_01011
OG0000460	Syak.g_02303	Prbd.g_01004
OG0000461	Syak.g_01402	Prbd.g_00997
OG0000462	Syak.g_01405	Prbd.g_00995
OG0000463	Syak.g_01406	Prbd.g_00994
OG0000464	Syak.g_01407	Prbd.g_00993
OG0000465	Syak.g_01409	Prbd.g_00992
OG0000466	Syak.g_01414	Prbd.g_00989
OG0000467	Syak.g_01416	Prbd.g_00988
OG0000468	Syak.g_01421	Prbd.g_00986
OG0000469	Syak.g_01436	Prbd.g_00977
OG0000470	Syak.g_01438	Prbd.g_00975
OG0000471	Syak.g_01439	Prbd.g_00974
OG0000472	Syak.g_01441	Prbd.g_00973
OG0000473	Syak.g_01443	Prbd.g_00971
OG0000474	Syak.g_01444	Prbd.g_00970
OG0000475	Syak.g_01445	Prbd.g_00969
OG0000476	Syak.g_01447	Prbd.g_00968
OG0000477	Syak.g_01453	Prbd.g_00964
OG0000478	Syak.g_01454	Prbd.g_00963
OG0000479	Syak.g_01455	Prbd.g_00962
OG0000480	Syak.g_01462	Prbd.g_00957
OG0000481	Syak.g_01464	Prbd.g_00955
OG0000482	Syak.g_01465	Prbd.g_00954
OG0000483	Syak.g_01469	Prbd.g_00951
OG0000484	Syak.g_01470	Prbd.g_00950
OG0000485	Syak.g_01472	Prbd.g_00949
OG0000486	Syak.g_01473	Prbd.g_00948
OG0000487	Syak.g_01479	Prbd.g_00944
OG0000488	Syak.g_01483	Prbd.g_00941
OG0000489	Syak.g_01499	Prbd.g_00936
OG0000490	Syak.g_01507	Prbd.g_00931
OG0000491	Syak.g_01511	Prbd.g_00930
OG0000492	Syak.g_01513	Prbd.g_00928
OG0000493	Syak.g_01514	Prbd.g_00927
OG0000494	Syak.g_01515	Prbd.g_00926
OG0000495	Syak.g_01516	Prbd.g_00925
OG0000496	Syak.g_01517	Prbd.g_00924
OG0000497	Syak.g_01518	Prbd.g_00923
OG0000498	Syak.g_01519	Prbd.g_00922
OG0000499	Syak.g_01520	Prbd.g_00921
OG0000500	Syak.g_01521	Prbd.g_00920
OG0000501	Syak.g_01524	Prbd.g_00918
OG0000502	Syak.g_01538	Prbd.g_00915
OG0000503	Syak.g_01246	Prbd.g_00905
OG0000504	Syak.g_01244	Prbd.g_00904
OG0000505	Syak.g_01243	Prbd.g_00903
OG0000506	Syak.g_01241	Prbd.g_00901
OG0000507	Syak.g_01235	Prbd.g_00898
OG0000508	Syak.g_01231	Prbd.g_00894
OG0000509	Syak.g_01229	Prbd.g_00892
OG0000510	Syak.g_01228	Prbd.g_00891
OG0000511	Syak.g_01227	Prbd.g_00890
OG0000512	Syak.g_01225	Prbd.g_00888
OG0000513	Syak.g_01211	Prbd.g_00881
OG0000514	Syak.g_01204	Prbd.g_00811
OG0000515	Syak.g_01203	Prbd.g_00810
OG0000516	Syak.g_01199	Prbd.g_00809
OG0000517	Syak.g_01192	Prbd.g_00807
OG0000518	Syak.g_01180	Prbd.g_00796
OG0000519	Syak.g_01179	Prbd.g_00795
OG0000520	Syak.g_01178	Prbd.g_00794
OG0000521	Syak.g_01167	Prbd.g_00789
OG0000522	Syak.g_01163	Prbd.g_00787
OG0000523	Syak.g_01162	Prbd.g_00786
OG0000524	Syak.g_01149	Prbd.g_00781
OG0000525	Syak.g_01130	Prbd.g_00778
OG0000526	Syak.g_01127	Prbd.g_00777
OG0000527	Syak.g_01120	Prbd.g_00769
OG0000528	Syak.g_02570	Prbd.g_00764
OG0000529	Syak.g_02575	Prbd.g_00761
OG0000530	Syak.g_02578	Prbd.g_00758
OG0000531	Syak.g_02579	Prbd.g_00757
OG0000532	Syak.g_02582	Prbd.g_00755
OG0000533	Syak.g_02584	Prbd.g_00754
OG0000534	Syak.g_02585	Prbd.g_00753
OG0000535	Syak.g_02586	Prbd.g_00752
OG0000536	Syak.g_02587	Prbd.g_00751
OG0000537	Syak.g_02588	Prbd.g_00750
OG0000538	Syak.g_02600	Prbd.g_00742
OG0000539	Syak.g_02601	Prbd.g_00741
OG0000540	Syak.g_02602	Prbd.g_00740
OG0000541	Syak.g_02603	Prbd.g_00739
OG0000542	Syak.g_02606	Prbd.g_00737
OG0000543	Syak.g_02608	Prbd.g_00735
OG0000544	Syak.g_02609	Prbd.g_00734
OG0000545	Syak.g_02611	Prbd.g_00732
OG0000546	Syak.g_02613	Prbd.g_00729
OG0000547	Syak.g_02615	Prbd.g_00727
OG0000548	Syak.g_02616	Prbd.g_00726
OG0000549	Syak.g_02622	Prbd.g_00724
OG0000550	Syak.g_02626	Prbd.g_00719
OG0000551	Syak.g_02631	Prbd.g_00715
OG0000552	Syak.g_02632	Prbd.g_00714
OG0000553	Syak.g_02636	Prbd.g_00713
OG0000554	Syak.g_02641	Prbd.g_00708
OG0000555	Syak.g_02657	Prbd.g_00700
OG0000556	Syak.g_02661	Prbd.g_00698
OG0000557	Syak.g_02663	Prbd.g_00697
OG0000558	Syak.g_02666	Prbd.g_00695
OG0000559	Syak.g_02670	Prbd.g_00691
