Orthogroup	Prbj	Syae
OG0000046	Prbj.g_00358	Syae.g_02161, Syae.g_02168, Syae.g_02154
OG0000047	Prbj.g_00666, Prbj.g_02509	Syae.g_02184
OG0000048	Prbj.g_01393	Syae.g_01982
OG0000052	Prbj.g_01487	Syae.g_01886
OG0000053	Prbj.g_00638	Syae.g_02629
OG0000054	Prbj.g_01758	Syae.g_00014, Syae.g_00221
OG0000057	Prbj.g_00758	Syae.g_00782
OG0000058	Prbj.g_01467	Syae.g_01905, Syae.g_01227
OG0000059	Prbj.g_01029	Syae.g_02074
OG0000060	Prbj.g_01633	Syae.g_02306
OG0000061	Prbj.g_00971	Syae.g_00921
OG0000062	Prbj.g_00881	Syae.g_01145
OG0000063	Prbj.g_01208	Syae.g_01752
OG0000066	Prbj.g_02141	Syae.g_02386
OG0000067	Prbj.g_02412	Syae.g_00521
OG0000068	Prbj.g_01639	Syae.g_02299
OG0000070	Prbj.g_00118	Syae.g_00979
OG0000071	Prbj.g_01728	Syae.g_00961
OG0000072	Prbj.g_00516	Syae.g_01455
OG0000073	Prbj.g_01608	Syae.g_02330
OG0000075	Prbj.g_01502	Syae.g_01871
OG0000076	Prbj.g_01598	Syae.g_01829
OG0000077	Prbj.g_00576	Syae.g_01297
OG0000078	Prbj.g_02614	Syae.g_02243
OG0000082	Prbj.g_01789	Syae.g_02447
OG0000084	Prbj.g_01052	Syae.g_00857, Syae.g_02656
OG0000085	Prbj.g_00869	Syae.g_01152
OG0000086	Prbj.g_00589	Syae.g_01333
OG0000087	Prbj.g_01547	Syae.g_01414
OG0000088	Prbj.g_00521, Prbj.g_00912	Syae.g_01449
OG0000089	Prbj.g_00064	Syae.g_02219
OG0000090	Prbj.g_02127	Syae.g_02374
OG0000091	Prbj.g_02581	Syae.g_00082
OG0000093	Prbj.g_02388	Syae.g_00537
OG0000094	Prbj.g_01985	Syae.g_00430
OG0000095	Prbj.g_01838	Syae.g_00793
OG0000097	Prbj.g_02152	Syae.g_00683
OG0000098	Prbj.g_00669	Syae.g_02384, Syae.g_02058
OG0000099	Prbj.g_01464	Syae.g_01913
OG0000100	Prbj.g_00185, Prbj.g_02442	Syae.g_00489
OG0000101	Prbj.g_00981	Syae.g_02125
OG0000102	Prbj.g_01819	Syae.g_01824
OG0000103	Prbj.g_02055	Syae.g_01694
OG0000104	Prbj.g_02069	Syae.g_01708
OG0000105	Prbj.g_01397	Syae.g_01977
OG0000106	Prbj.g_00875	Syae.g_00272
OG0000107	Prbj.g_02659	Syae.g_02032
OG0000108	Prbj.g_01630	Syae.g_02309
OG0000109	Prbj.g_01614	Syae.g_02324
OG0000110	Prbj.g_01801	Syae.g_02435
OG0000111	Prbj.g_00759	Syae.g_00783
OG0000112	Prbj.g_02276	Syae.g_00351
OG0000113	Prbj.g_02437	Syae.g_00494
OG0000114	Prbj.g_02340	Syae.g_00575
OG0000115	Prbj.g_00634	Syae.g_02631
OG0000116	Prbj.g_00956	Syae.g_00939
OG0000117	Prbj.g_01915	Syae.g_00647
OG0000118	Prbj.g_01742	Syae.g_02479
OG0000119	Prbj.g_00740, Prbj.g_00778	Syae.g_00904
OG0000120	Prbj.g_01465	Syae.g_01912
OG0000121	Prbj.g_01064, Prbj.g_01058	Syae.g_02649
OG0000122	Prbj.g_02627	Syae.g_00112
OG0000123	Prbj.g_00406	Syae.g_02131
OG0000124	Prbj.g_01281	Syae.g_01809
OG0000125	Prbj.g_01963	Syae.g_01573
OG0000126	Prbj.g_02067	Syae.g_01706
OG0000127	Prbj.g_02148, Prbj.g_00896	Syae.g_00720
OG0000128	Prbj.g_02085	Syae.g_01724
OG0000129	Prbj.g_01951	Syae.g_01562
OG0000130	Prbj.g_00564	Syae.g_01284
OG0000131	Prbj.g_00543	Syae.g_01428
OG0000132	Prbj.g_00523	Syae.g_01447
OG0000133	Prbj.g_01460	Syae.g_00356
OG0000134	Prbj.g_00067	Syae.g_02222
OG0000135	Prbj.g_02004	Syae.g_01608
OG0000136	Prbj.g_00105	Syae.g_00989
OG0000137	Prbj.g_00128	Syae.g_02530
OG0000138	Prbj.g_01613	Syae.g_02325
OG0000139	Prbj.g_02133	Syae.g_02380
OG0000140	Prbj.g_02139	Syae.g_02383
OG0000141	Prbj.g_01757	Syae.g_00016
OG0000142	Prbj.g_02573	Syae.g_00074
OG0000143	Prbj.g_02577	Syae.g_00078
OG0000144	Prbj.g_00793	Syae.g_00261
OG0000145	Prbj.g_01607	Syae.g_02331
OG0000146	Prbj.g_02277	Syae.g_00350
OG0000147	Prbj.g_02278	Syae.g_00349
OG0000148	Prbj.g_02431	Syae.g_00500
OG0000149	Prbj.g_02488	Syae.g_00847
OG0000150	Prbj.g_02511	Syae.g_00017
OG0000151	Prbj.g_02361	Syae.g_00563
OG0000152	Prbj.g_02268	Syae.g_00360
OG0000153	Prbj.g_02241	Syae.g_00394
OG0000154	Prbj.g_02213	Syae.g_00420
OG0000155	Prbj.g_00312	Syae.g_00885
OG0000156	Prbj.g_00163	Syae.g_00945
OG0000157	Prbj.g_00162	Syae.g_00946
OG0000158	Prbj.g_01514	Syae.g_01858
OG0000160	Prbj.g_01057	Syae.g_02650
OG0000161	Prbj.g_01071	Syae.g_02644
OG0000162	Prbj.g_01077	Syae.g_02638
OG0000163	Prbj.g_01688	Syae.g_01092
OG0000164	Prbj.g_00476	Syae.g_01198
OG0000165	Prbj.g_00467	Syae.g_01021
OG0000166	Prbj.g_01019	Syae.g_02085
OG0000167	Prbj.g_01500	Syae.g_01874
OG0000168	Prbj.g_01515	Syae.g_01856
OG0000169	Prbj.g_01581	Syae.g_01841
OG0000170	Prbj.g_01593	Syae.g_01834
OG0000171	Prbj.g_01282	Syae.g_01810
OG0000172	Prbj.g_01248	Syae.g_01788
OG0000173	Prbj.g_01227	Syae.g_01770
OG0000174	Prbj.g_02006	Syae.g_01610
OG0000175	Prbj.g_02044	Syae.g_01679
OG0000176	Prbj.g_02077	Syae.g_01716
OG0000177	Prbj.g_02078	Syae.g_01717
OG0000178	Prbj.g_02079	Syae.g_01718
OG0000179	Prbj.g_01188	Syae.g_01733
OG0000180	Prbj.g_01189	Syae.g_01734
OG0000181	Prbj.g_01190	Syae.g_01735
OG0000182	Prbj.g_01191	Syae.g_01736
OG0000183	Prbj.g_01195	Syae.g_01740
OG0000184	Prbj.g_01943	Syae.g_01554
OG0000186	Prbj.g_00558	Syae.g_01279
OG0000187	Prbj.g_00560	Syae.g_01280
OG0000188	Prbj.g_00581	Syae.g_01323
OG0000189	Prbj.g_00607	Syae.g_01350
OG0000190	Prbj.g_00609	Syae.g_01352
OG0000191	Prbj.g_01557	Syae.g_01384
OG0000192	Prbj.g_01566	Syae.g_01390
OG0000193	Prbj.g_00542	Syae.g_01429
OG0000194	Prbj.g_00539	Syae.g_01432
OG0000195	Prbj.g_00537	Syae.g_01434
OG0000196	Prbj.g_00526	Syae.g_01444
OG0000197	Prbj.g_00525	Syae.g_01445
OG0000198	Prbj.g_00524	Syae.g_01446
OG0000199	Prbj.g_00517	Syae.g_01454
OG0000200	Prbj.g_01138	Syae.g_01471
OG0000201	Prbj.g_01157	Syae.g_01487
OG0000202	Prbj.g_01158	Syae.g_01488
OG0000203	Prbj.g_01159	Syae.g_01489
OG0000204	Prbj.g_01160	Syae.g_01490
OG0000205	Prbj.g_01167	Syae.g_01497
OG0000206	Prbj.g_00288	Syae.g_01504
OG0000207	Prbj.g_00234	Syae.g_01506
OG0000208	Prbj.g_00235	Syae.g_01507
OG0000209	Prbj.g_00262	Syae.g_01528
OG0000210	Prbj.g_00263	Syae.g_01529
OG0000211	Prbj.g_00177	Syae.g_02234
OG0000212	Prbj.g_02615	Syae.g_02244
OG0000213	Prbj.g_01362	Syae.g_02003
OG0000214	Prbj.g_01389	Syae.g_01986
OG0000215	Prbj.g_01419	Syae.g_01955
OG0000216	Prbj.g_01422	Syae.g_01951
OG0000217	Prbj.g_01426	Syae.g_01947
OG0000218	Prbj.g_01430	Syae.g_01945
OG0000219	Prbj.g_01431	Syae.g_01944
OG0000220	Prbj.g_01432	Syae.g_01943
OG0000221	Prbj.g_01437	Syae.g_01937
OG0000222	Prbj.g_01446	Syae.g_01926
OG0000223	Prbj.g_01469	Syae.g_01904
OG0000224	Prbj.g_01480	Syae.g_01897
OG0000225	Prbj.g_00323	Syae.g_02208
OG0000226	Prbj.g_00319	Syae.g_02212
OG0000227	Prbj.g_00317	Syae.g_02214
OG0000228	Prbj.g_00063	Syae.g_02218
OG0000229	Prbj.g_00100	Syae.g_00994
OG0000230	Prbj.g_00102	Syae.g_00992
OG0000231	Prbj.g_00117	Syae.g_00980
OG0000232	Prbj.g_01888	Syae.g_02496
OG0000233	Prbj.g_00148	Syae.g_02504
OG0000234	Prbj.g_00127	Syae.g_02532
OG0000235	Prbj.g_01631	Syae.g_02308
OG0000236	Prbj.g_01615	Syae.g_02323
OG0000237	Prbj.g_02094	Syae.g_02340
OG0000238	Prbj.g_02098	Syae.g_02345
OG0000239	Prbj.g_02114	Syae.g_02360
OG0000240	Prbj.g_02115	Syae.g_02361
OG0000241	Prbj.g_01116	Syae.g_00065
OG0000242	Prbj.g_02125	Syae.g_02372
OG0000243	Prbj.g_02668	Syae.g_02391
OG0000244	Prbj.g_01859	Syae.g_02399
OG0000245	Prbj.g_01862	Syae.g_02401
OG0000246	Prbj.g_01866	Syae.g_02405
OG0000247	Prbj.g_01877	Syae.g_02416
OG0000248	Prbj.g_01880	Syae.g_02419
OG0000249	Prbj.g_01882	Syae.g_02421
OG0000250	Prbj.g_01805	Syae.g_02431
OG0000251	Prbj.g_01781	Syae.g_02455
OG0000252	Prbj.g_01778	Syae.g_02458
OG0000253	Prbj.g_01772	Syae.g_02459
OG0000254	Prbj.g_01753	Syae.g_00021
OG0000255	Prbj.g_02546	Syae.g_00041
OG0000256	Prbj.g_02560	Syae.g_00058
OG0000257	Prbj.g_02566	Syae.g_00064
OG0000258	Prbj.g_02589	Syae.g_00083
OG0000259	Prbj.g_00812	Syae.g_00608
OG0000260	Prbj.g_00816	Syae.g_00603
OG0000261	Prbj.g_00819	Syae.g_00600
OG0000262	Prbj.g_00824	Syae.g_00595
OG0000263	Prbj.g_00248	Syae.g_00671
OG0000264	Prbj.g_00933	Syae.g_00761
OG0000265	Prbj.g_02178	Syae.g_00932, Syae.g_00226
OG0000266	Prbj.g_02189	Syae.g_00457
OG0000267	Prbj.g_02315	Syae.g_00304
OG0000268	Prbj.g_02314	Syae.g_00308
OG0000269	Prbj.g_02407	Syae.g_00526
OG0000270	Prbj.g_02410	Syae.g_00523
OG0000271	Prbj.g_02418	Syae.g_00515
OG0000272	Prbj.g_02419	Syae.g_00514
OG0000273	Prbj.g_02470	Syae.g_00825
OG0000274	Prbj.g_02471	Syae.g_00826
OG0000275	Prbj.g_02474	Syae.g_00832
OG0000276	Prbj.g_02480	Syae.g_00839
OG0000277	Prbj.g_02481	Syae.g_00840
OG0000278	Prbj.g_02484	Syae.g_00843
OG0000279	Prbj.g_02492	Syae.g_00851
OG0000280	Prbj.g_02498	Syae.g_00877
OG0000281	Prbj.g_02512	Syae.g_02057
OG0000282	Prbj.g_02342	Syae.g_00573
OG0000283	Prbj.g_02303	Syae.g_00321
OG0000284	Prbj.g_02297	Syae.g_00327
OG0000285	Prbj.g_00694	Syae.g_00340
OG0000286	Prbj.g_02269	Syae.g_00359
OG0000287	Prbj.g_00722	Syae.g_00387
OG0000288	Prbj.g_02214	Syae.g_00419
OG0000289	Prbj.g_02201	Syae.g_00433
OG0000290	Prbj.g_01841	Syae.g_00796
OG0000291	Prbj.g_01839	Syae.g_00794
OG0000292	Prbj.g_02066	Syae.g_01705
OG0000293	Prbj.g_00958	Syae.g_00938
OG0000294	Prbj.g_00959	Syae.g_00937
OG0000295	Prbj.g_00304	Syae.g_00893
OG0000296	Prbj.g_00306, Prbj.g_00307	Syae.g_00891
OG0000297	Prbj.g_01913	Syae.g_00645
OG0000298	Prbj.g_01914	Syae.g_00646
OG0000299	Prbj.g_01903	Syae.g_00680
OG0000300	Prbj.g_02155	Syae.g_00686
OG0000301	Prbj.g_02156	Syae.g_00687
OG0000302	Prbj.g_02159	Syae.g_00691
OG0000303	Prbj.g_00314	Syae.g_00700
OG0000304	Prbj.g_00020	Syae.g_00706
OG0000305	Prbj.g_01837	Syae.g_00791
OG0000306	Prbj.g_02521	Syae.g_00277
OG0000307	Prbj.g_01647	Syae.g_02290
OG0000308	Prbj.g_01649	Syae.g_02288
OG0000309	Prbj.g_01653	Syae.g_02283
OG0000310	Prbj.g_01294	Syae.g_02687
OG0000311	Prbj.g_01040	Syae.g_02682
OG0000312	Prbj.g_01044	Syae.g_02664
OG0000313	Prbj.g_01068	Syae.g_02647
OG0000314	Prbj.g_00646	Syae.g_02618
OG0000315	Prbj.g_00656	Syae.g_02609
OG0000316	Prbj.g_01699	Syae.g_01118
OG0000317	Prbj.g_00863	Syae.g_01160
OG0000318	Prbj.g_00856	Syae.g_01164
OG0000319	Prbj.g_00487	Syae.g_01181
OG0000320	Prbj.g_00485	Syae.g_01183
OG0000321	Prbj.g_00484	Syae.g_01184
OG0000322	Prbj.g_00483	Syae.g_01185
OG0000323	Prbj.g_00472	Syae.g_01200
OG0000324	Prbj.g_00443	Syae.g_01049
OG0000325	Prbj.g_02657	Syae.g_02033
OG0000326	Prbj.g_02649	Syae.g_02040
OG0000327	Prbj.g_01024	Syae.g_02080
OG0000328	Prbj.g_01023	Syae.g_02081
OG0000329	Prbj.g_01006	Syae.g_02099
OG0000330	Prbj.g_01005	Syae.g_02100
OG0000331	Prbj.g_01004	Syae.g_02101
OG0000332	Prbj.g_00989	Syae.g_02116
OG0000333	Prbj.g_00987	Syae.g_02119
OG0000334	Prbj.g_00410	Syae.g_02128
OG0000335	Prbj.g_00405	Syae.g_02132
OG0000336	Prbj.g_00401	Syae.g_02136
OG0000337	Prbj.g_01494	Syae.g_01879
OG0000338	Prbj.g_01498	Syae.g_01876
OG0000339	Prbj.g_01504	Syae.g_01869
OG0000340	Prbj.g_01516	Syae.g_01855
OG0000341	Prbj.g_01518	Syae.g_01853
OG0000342	Prbj.g_01519	Syae.g_01852
OG0000343	Prbj.g_01576	Syae.g_01848
OG0000344	Prbj.g_01579	Syae.g_01843
OG0000345	Prbj.g_01594	Syae.g_01833
OG0000346	Prbj.g_01599	Syae.g_01828
OG0000347	Prbj.g_01280	Syae.g_01805
OG0000348	Prbj.g_01243	Syae.g_01781
OG0000349	Prbj.g_01219	Syae.g_01763
OG0000350	Prbj.g_01999	Syae.g_02047
OG0000351	Prbj.g_02047	Syae.g_01684
OG0000352	Prbj.g_02048	Syae.g_01685
OG0000353	Prbj.g_02072	Syae.g_01711
OG0000354	Prbj.g_02104	Syae.g_02351
OG0000354	Prbj.g_01186	Syae.g_01731
OG0000355	Prbj.g_02074	Syae.g_01713
OG0000356	Prbj.g_02075	Syae.g_01714
OG0000357	Prbj.g_02076	Syae.g_01715
OG0000358	Prbj.g_02080	Syae.g_01719
OG0000359	Prbj.g_02082	Syae.g_01721
OG0000360	Prbj.g_02083	Syae.g_01722
OG0000361	Prbj.g_02084	Syae.g_01723
OG0000362	Prbj.g_02086	Syae.g_01725
OG0000363	Prbj.g_01182	Syae.g_01727
OG0000364	Prbj.g_01183	Syae.g_01728
OG0000365	Prbj.g_01192	Syae.g_01737
OG0000366	Prbj.g_01193	Syae.g_01738
OG0000367	Prbj.g_01194	Syae.g_01739
OG0000368	Prbj.g_01196	Syae.g_01741
OG0000369	Prbj.g_01197	Syae.g_01742
OG0000370	Prbj.g_01198	Syae.g_01743
OG0000371	Prbj.g_01207	Syae.g_01751
OG0000372	Prbj.g_01212	Syae.g_01756
OG0000373	Prbj.g_01213	Syae.g_01757
OG0000374	Prbj.g_01214	Syae.g_01758
OG0000375	Prbj.g_01215	Syae.g_01759
OG0000376	Prbj.g_01217	Syae.g_01761
OG0000377	Prbj.g_01950	Syae.g_01561
OG0000378	Prbj.g_01936	Syae.g_01553
OG0000379	Prbj.g_01920	Syae.g_01550
OG0000380	Prbj.g_00561	Syae.g_01281
OG0000381	Prbj.g_00565	Syae.g_01285
OG0000382	Prbj.g_00580	Syae.g_01322
OG0000383	Prbj.g_00582	Syae.g_01324
OG0000384	Prbj.g_00583	Syae.g_01325
OG0000385	Prbj.g_00584	Syae.g_01326
OG0000386	Prbj.g_00585	Syae.g_01327
OG0000387	Prbj.g_00611	Syae.g_01354
OG0000388	Prbj.g_00615	Syae.g_01358
OG0000389	Prbj.g_00619	Syae.g_01362
OG0000390	Prbj.g_01551	Syae.g_01378
OG0000391	Prbj.g_01556	Syae.g_01383
OG0000392	Prbj.g_01562	Syae.g_01389
OG0000393	Prbj.g_01567	Syae.g_01392
OG0000394	Prbj.g_01568	Syae.g_01393
OG0000395	Prbj.g_01569	Syae.g_01394
OG0000396	Prbj.g_01530	Syae.g_01397
OG0000397	Prbj.g_01532	Syae.g_01400
OG0000398	Prbj.g_01537	Syae.g_01405
OG0000399	Prbj.g_01538	Syae.g_01406
OG0000400	Prbj.g_01539	Syae.g_01407
OG0000401	Prbj.g_01540	Syae.g_01408
OG0000402	Prbj.g_01542	Syae.g_01410
OG0000403	Prbj.g_01543	Syae.g_01411
OG0000404	Prbj.g_01545	Syae.g_01412
OG0000405	Prbj.g_00545	Syae.g_01426
OG0000406	Prbj.g_00541	Syae.g_01430
OG0000407	Prbj.g_00540	Syae.g_01431
OG0000408	Prbj.g_00538	Syae.g_01433
OG0000409	Prbj.g_00536	Syae.g_01435
OG0000410	Prbj.g_00535	Syae.g_01436
OG0000411	Prbj.g_00534	Syae.g_01437
OG0000412	Prbj.g_00533	Syae.g_01438
OG0000413	Prbj.g_00531	Syae.g_01440
OG0000415	Prbj.g_00529	Syae.g_01441
OG0000416	Prbj.g_00528	Syae.g_01442
OG0000417	Prbj.g_00527	Syae.g_01443
OG0000418	Prbj.g_00522	Syae.g_01448
OG0000419	Prbj.g_00520	Syae.g_01450
OG0000420	Prbj.g_00519	Syae.g_01452
OG0000421	Prbj.g_00515	Syae.g_01457
OG0000422	Prbj.g_00514	Syae.g_01458
OG0000423	Prbj.g_00513	Syae.g_01459
OG0000424	Prbj.g_00512	Syae.g_01460
OG0000425	Prbj.g_00511	Syae.g_01461
OG0000426	Prbj.g_00510	Syae.g_01462
OG0000427	Prbj.g_00509	Syae.g_01463
OG0000428	Prbj.g_02369	Syae.g_01466
OG0000429	Prbj.g_01135	Syae.g_01468
OG0000430	Prbj.g_01137	Syae.g_01470
OG0000431	Prbj.g_01141	Syae.g_01473
OG0000432	Prbj.g_01148	Syae.g_01481
OG0000433	Prbj.g_01151	Syae.g_01484
OG0000434	Prbj.g_01152	Syae.g_01485
OG0000435	Prbj.g_01155	Syae.g_01486
OG0000436	Prbj.g_01161	Syae.g_01491
OG0000437	Prbj.g_01162	Syae.g_01492
OG0000438	Prbj.g_01163	Syae.g_01493
OG0000439	Prbj.g_01165	Syae.g_01495
OG0000440	Prbj.g_01166	Syae.g_01496
OG0000441	Prbj.g_01173	Syae.g_01501
OG0000442	Prbj.g_01174	Syae.g_01502
OG0000443	Prbj.g_00289	Syae.g_01503
OG0000444	Prbj.g_00237	Syae.g_01509
OG0000445	Prbj.g_00238	Syae.g_01510
OG0000446	Prbj.g_00240	Syae.g_01512
OG0000447	Prbj.g_00250	Syae.g_01517
OG0000448	Prbj.g_00251	Syae.g_01518
OG0000449	Prbj.g_00252	Syae.g_01519
OG0000450	Prbj.g_00258	Syae.g_01525
OG0000451	Prbj.g_00259	Syae.g_01526
OG0000452	Prbj.g_00264	Syae.g_01530
OG0000453	Prbj.g_00265	Syae.g_01531
OG0000454	Prbj.g_00266	Syae.g_01532
OG0000455	Prbj.g_00267	Syae.g_01533
OG0000456	Prbj.g_00268	Syae.g_01534
OG0000457	Prbj.g_00270	Syae.g_01536
OG0000458	Prbj.g_00271	Syae.g_01538
OG0000459	Prbj.g_00272	Syae.g_01539
OG0000460	Prbj.g_00176	Syae.g_02236
OG0000461	Prbj.g_02661	Syae.g_02024
OG0000462	Prbj.g_01341	Syae.g_02021
OG0000463	Prbj.g_01342	Syae.g_02020
OG0000464	Prbj.g_01343	Syae.g_02019
OG0000465	Prbj.g_01345	Syae.g_02018
OG0000466	Prbj.g_01350	Syae.g_02014
OG0000467	Prbj.g_01352	Syae.g_02012
OG0000468	Prbj.g_01359	Syae.g_02007
OG0000469	Prbj.g_01372	Syae.g_01992
OG0000470	Prbj.g_01385	Syae.g_01990
OG0000471	Prbj.g_01386	Syae.g_01989
OG0000472	Prbj.g_01388	Syae.g_01987
OG0000473	Prbj.g_01390	Syae.g_01985
OG0000474	Prbj.g_01391	Syae.g_01984
OG0000475	Prbj.g_01392	Syae.g_01983
OG0000476	Prbj.g_01394	Syae.g_01981
OG0000477	Prbj.g_01399	Syae.g_01975
OG0000478	Prbj.g_01400	Syae.g_01974
OG0000479	Prbj.g_01401	Syae.g_01973
OG0000480	Prbj.g_01408	Syae.g_01966
OG0000481	Prbj.g_01410	Syae.g_01964
OG0000482	Prbj.g_01411	Syae.g_01963
OG0000483	Prbj.g_01415	Syae.g_01959
OG0000484	Prbj.g_01416	Syae.g_01958
OG0000485	Prbj.g_01417	Syae.g_01957
OG0000486	Prbj.g_01418	Syae.g_01956
OG0000487	Prbj.g_01423	Syae.g_01950
OG0000488	Prbj.g_01427	Syae.g_01946
OG0000489	Prbj.g_01438	Syae.g_01936
OG0000490	Prbj.g_01444	Syae.g_01928
OG0000491	Prbj.g_01445	Syae.g_01927
OG0000492	Prbj.g_01448	Syae.g_01925
OG0000493	Prbj.g_01449	Syae.g_01924
OG0000494	Prbj.g_01450	Syae.g_01923
OG0000495	Prbj.g_01451	Syae.g_01922
OG0000496	Prbj.g_01452	Syae.g_01921
OG0000497	Prbj.g_01453	Syae.g_01920
OG0000498	Prbj.g_01454	Syae.g_01919
OG0000499	Prbj.g_01455	Syae.g_01918
OG0000500	Prbj.g_01456	Syae.g_01917
OG0000501	Prbj.g_01459	Syae.g_01914
OG0000502	Prbj.g_01471	Syae.g_01902
OG0000503	Prbj.g_00341	Syae.g_02192
OG0000504	Prbj.g_00339	Syae.g_02194
OG0000505	Prbj.g_00338	Syae.g_02195
OG0000506	Prbj.g_00336	Syae.g_02197
OG0000507	Prbj.g_00331	Syae.g_02203
OG0000508	Prbj.g_00324	Syae.g_02207
OG0000509	Prbj.g_00322	Syae.g_02209
OG0000510	Prbj.g_00321	Syae.g_02210
OG0000511	Prbj.g_00320	Syae.g_02211
OG0000512	Prbj.g_00318	Syae.g_02213
OG0000513	Prbj.g_00068	Syae.g_02223
OG0000514	Prbj.g_00076	Syae.g_02229
OG0000515	Prbj.g_00077	Syae.g_02230
OG0000516	Prbj.g_00089	Syae.g_01000
OG0000517	Prbj.g_00099	Syae.g_00995
OG0000518	Prbj.g_00111	Syae.g_00983
OG0000519	Prbj.g_00112	Syae.g_00982
OG0000520	Prbj.g_00113	Syae.g_00981
OG0000521	Prbj.g_01894	Syae.g_02491
OG0000522	Prbj.g_01892	Syae.g_02493
OG0000523	Prbj.g_01891	Syae.g_02494
OG0000524	Prbj.g_00152	Syae.g_02501
OG0000525	Prbj.g_00136	Syae.g_02520
OG0000526	Prbj.g_00134	Syae.g_02523
OG0000527	Prbj.g_00130	Syae.g_02528
OG0000528	Prbj.g_01635	Syae.g_02304
OG0000529	Prbj.g_01629	Syae.g_02310
OG0000530	Prbj.g_01626	Syae.g_02313
OG0000531	Prbj.g_01625	Syae.g_02314
OG0000532	Prbj.g_01622	Syae.g_02317
OG0000533	Prbj.g_01620	Syae.g_02318
OG0000534	Prbj.g_01619	Syae.g_02319
OG0000535	Prbj.g_01618	Syae.g_02320
OG0000536	Prbj.g_01617	Syae.g_02321
OG0000537	Prbj.g_01616	Syae.g_02322
OG0000538	Prbj.g_01605	Syae.g_02333
OG0000539	Prbj.g_02088	Syae.g_02334
OG0000540	Prbj.g_02089	Syae.g_02335
OG0000541	Prbj.g_02090	Syae.g_02336
OG0000542	Prbj.g_02093	Syae.g_02339
OG0000543	Prbj.g_02095	Syae.g_02341
OG0000544	Prbj.g_02096	Syae.g_02342
OG0000545	Prbj.g_02097	Syae.g_02344
OG0000546	Prbj.g_02099	Syae.g_02346
OG0000547	Prbj.g_02101	Syae.g_02348
OG0000548	Prbj.g_02102	Syae.g_02349
OG0000549	Prbj.g_02108	Syae.g_02354
OG0000550	Prbj.g_02113	Syae.g_02358
OG0000551	Prbj.g_02117	Syae.g_02363
OG0000552	Prbj.g_02118	Syae.g_02364
OG0000553	Prbj.g_02123	Syae.g_02366
OG0000554	Prbj.g_02128	Syae.g_02375
OG0000555	Prbj.g_02146	Syae.g_02390
OG0000556	Prbj.g_02666	Syae.g_02394
OG0000557	Prbj.g_01858	Syae.g_02398
OG0000558	Prbj.g_01861	Syae.g_02400
OG0000559	Prbj.g_01865	Syae.g_02404
OG0000560	Prbj.g_01868	Syae.g_02407
OG0000561	Prbj.g_01869	Syae.g_02408
OG0000562	Prbj.g_01870	Syae.g_02409
OG0000563	Prbj.g_01871	Syae.g_02410
OG0000564	Prbj.g_01872	Syae.g_02411
OG0000565	Prbj.g_01875	Syae.g_02414
OG0000566	Prbj.g_01879	Syae.g_02418
OG0000567	Prbj.g_01883	Syae.g_02422
