Orthogroup	Praf	Pran
OG0000131	Praf.g_01528	Pran.g_01345
OG0000132	Praf.g_01590	Pran.g_01310
OG0000133	Praf.g_00104, Praf.g_01497	Pran.g_00445
OG0000134	Praf.g_01503	Pran.g_00455
OG0000135	Praf.g_01384, Praf.g_01383	Pran.g_00491
OG0000136	Praf.g_01277	Pran.g_00565
OG0000137	Praf.g_02692	Pran.g_00090
OG0000138	Praf.g_00833	Pran.g_00065
OG0000139	Praf.g_00861	Pran.g_00054
OG0000140	Praf.g_00938	Pran.g_00003
OG0000141	Praf.g_01285	Pran.g_00918
OG0000142	Praf.g_00779	Pran.g_00864
OG0000143	Praf.g_00585, Praf.g_00583	Pran.g_00841
OG0000144	Praf.g_01778, Praf.g_01776	Pran.g_00746
OG0000145	Praf.g_01795	Pran.g_00732
OG0000146	Praf.g_01848	Pran.g_00696
OG0000147	Praf.g_00502	Pran.g_00656
OG0000148	Praf.g_00501	Pran.g_00655
OG0000149	Praf.g_00485	Pran.g_00968
OG0000150	Praf.g_00437	Pran.g_01006
OG0000151	Praf.g_00434	Pran.g_01009
OG0000152	Praf.g_00402	Pran.g_01043, Pran.g_01028
OG0000153	Praf.g_02162	Pran.g_01063
OG0000154	Praf.g_02125	Pran.g_01100
OG0000155	Praf.g_02102	Pran.g_01118
OG0000156	Praf.g_02396	Pran.g_01145
OG0000157	Praf.g_00152	Pran.g_01177
OG0000158	Praf.g_02757	Pran.g_01239
OG0000160	Praf.g_00001	Pran.g_01258
OG0000161	Praf.g_00002	Pran.g_01259
OG0000162	Praf.g_00004	Pran.g_01261
OG0000163	Praf.g_00005	Pran.g_01262
OG0000164	Praf.g_00006	Pran.g_01263
OG0000165	Praf.g_00007	Pran.g_01264
OG0000166	Praf.g_00009	Pran.g_01265
OG0000167	Praf.g_00010	Pran.g_01266
OG0000168	Praf.g_00011	Pran.g_01267
OG0000169	Praf.g_00013	Pran.g_01269
OG0000170	Praf.g_00015	Pran.g_00410
OG0000171	Praf.g_00016	Pran.g_00409
OG0000172	Praf.g_00021	Pran.g_00408
OG0000173	Praf.g_00022	Pran.g_00407
OG0000174	Praf.g_00023	Pran.g_00406
OG0000175	Praf.g_00024	Pran.g_00405
OG0000176	Praf.g_00025	Pran.g_00404
OG0000177	Praf.g_00026	Pran.g_00403
OG0000178	Praf.g_00027	Pran.g_00402
OG0000179	Praf.g_00029	Pran.g_00400
OG0000180	Praf.g_00030	Pran.g_00399
OG0000181	Praf.g_00031	Pran.g_00398
OG0000182	Praf.g_00032	Pran.g_00397
OG0000183	Praf.g_00033	Pran.g_00396
OG0000184	Praf.g_00035	Pran.g_00395
OG0000185	Praf.g_00040	Pran.g_00392
OG0000186	Praf.g_00045	Pran.g_00389
OG0000187	Praf.g_00046	Pran.g_00388
OG0000188	Praf.g_00047	Pran.g_00387
OG0000189	Praf.g_00050	Pran.g_00385
OG0000190	Praf.g_00052	Pran.g_00383
OG0000191	Praf.g_02654	Pran.g_00382
OG0000192	Praf.g_02652	Pran.g_00381
OG0000193	Praf.g_02618	Pran.g_00380
OG0000194	Praf.g_02611	Pran.g_00379
OG0000195	Praf.g_02605	Pran.g_00378
OG0000196	Praf.g_02603	Pran.g_00377
OG0000197	Praf.g_02601	Pran.g_00375
OG0000198	Praf.g_02597	Pran.g_00374
OG0000199	Praf.g_02596	Pran.g_00373
OG0000200	Praf.g_00328	Pran.g_00368
OG0000201	Praf.g_00326	Pran.g_00367
OG0000202	Praf.g_00325	Pran.g_00366
OG0000203	Praf.g_00321	Pran.g_00363
OG0000204	Praf.g_00320	Pran.g_00362
OG0000205	Praf.g_00316	Pran.g_00359
OG0000206	Praf.g_00314	Pran.g_00357
OG0000207	Praf.g_00310	Pran.g_00355
OG0000208	Praf.g_00309	Pran.g_00354
OG0000209	Praf.g_00962	Pran.g_00353
OG0000210	Praf.g_00308	Pran.g_00352
OG0000211	Praf.g_00304	Pran.g_00351
OG0000212	Praf.g_00303	Pran.g_00350
OG0000213	Praf.g_00302	Pran.g_00349
OG0000214	Praf.g_00301	Pran.g_00348
OG0000215	Praf.g_00300	Pran.g_00347
OG0000216	Praf.g_00299	Pran.g_00346
OG0000217	Praf.g_00297	Pran.g_00344
OG0000218	Praf.g_00296	Pran.g_00343
OG0000219	Praf.g_00268	Pran.g_00342
OG0000220	Praf.g_00264	Pran.g_00341
OG0000221	Praf.g_00259	Pran.g_00339
OG0000222	Praf.g_00258	Pran.g_00338
OG0000223	Praf.g_00257	Pran.g_00337
OG0000224	Praf.g_00255	Pran.g_00336
OG0000225	Praf.g_00254	Pran.g_00335
OG0000226	Praf.g_00253	Pran.g_00334
OG0000227	Praf.g_00251	Pran.g_00333
OG0000228	Praf.g_00250	Pran.g_00332
OG0000229	Praf.g_00249	Pran.g_00331
OG0000230	Praf.g_00248	Pran.g_00330
OG0000231	Praf.g_00247	Pran.g_00329
OG0000232	Praf.g_00245	Pran.g_00327
OG0000233	Praf.g_00244	Pran.g_00326
OG0000234	Praf.g_00243	Pran.g_00325
OG0000235	Praf.g_00240	Pran.g_00324
OG0000236	Praf.g_00232	Pran.g_00323
OG0000237	Praf.g_00230	Pran.g_00322
OG0000238	Praf.g_00225	Pran.g_00321
OG0000239	Praf.g_00223	Pran.g_00319
OG0000240	Praf.g_00221	Pran.g_00318
OG0000241	Praf.g_00219	Pran.g_00317
OG0000242	Praf.g_00218	Pran.g_00316
OG0000243	Praf.g_00214	Pran.g_00313
OG0000244	Praf.g_00209	Pran.g_00311
OG0000245	Praf.g_00208	Pran.g_00310
OG0000246	Praf.g_00207	Pran.g_00309
OG0000247	Praf.g_02403	Pran.g_00307
OG0000248	Praf.g_02405	Pran.g_00305
OG0000249	Praf.g_02408	Pran.g_00304
OG0000250	Praf.g_02410	Pran.g_00303
OG0000251	Praf.g_02411	Pran.g_00302
OG0000252	Praf.g_02412	Pran.g_00301
OG0000253	Praf.g_02413	Pran.g_00300
OG0000254	Praf.g_02415	Pran.g_00298
OG0000255	Praf.g_02416	Pran.g_00297
OG0000256	Praf.g_02421	Pran.g_00294
OG0000257	Praf.g_02430	Pran.g_00292
OG0000258	Praf.g_02432	Pran.g_00288
OG0000259	Praf.g_02433	Pran.g_00287
OG0000260	Praf.g_02434	Pran.g_00286
OG0000261	Praf.g_02435	Pran.g_00285
OG0000262	Praf.g_02436	Pran.g_00283
OG0000263	Praf.g_02438	Pran.g_00281
OG0000264	Praf.g_02439	Pran.g_00280
OG0000265	Praf.g_02440	Pran.g_00279
OG0000266	Praf.g_02441	Pran.g_00278
OG0000267	Praf.g_02442	Pran.g_00277
OG0000268	Praf.g_02444	Pran.g_00276
OG0000269	Praf.g_02446	Pran.g_00274
OG0000270	Praf.g_02447	Pran.g_00273
OG0000271	Praf.g_02448	Pran.g_00272
OG0000272	Praf.g_02449	Pran.g_00271
OG0000273	Praf.g_02450	Pran.g_00270
OG0000274	Praf.g_02451	Pran.g_00269
OG0000275	Praf.g_02452	Pran.g_00268
OG0000276	Praf.g_02453	Pran.g_00267
OG0000277	Praf.g_02455	Pran.g_00265
OG0000278	Praf.g_02456	Pran.g_00264
OG0000279	Praf.g_02457	Pran.g_00263
OG0000280	Praf.g_02469	Pran.g_00261
OG0000281	Praf.g_02470	Pran.g_00259
OG0000282	Praf.g_02471	Pran.g_00258
OG0000283	Praf.g_02472	Pran.g_00257
OG0000284	Praf.g_02473	Pran.g_00256
OG0000285	Praf.g_02474	Pran.g_00255
OG0000286	Praf.g_02475	Pran.g_00254
OG0000287	Praf.g_02476	Pran.g_00253
OG0000288	Praf.g_01486	Pran.g_00251
OG0000289	Praf.g_02489	Pran.g_00250
OG0000290	Praf.g_02491	Pran.g_00249
OG0000291	Praf.g_02495	Pran.g_00247
OG0000292	Praf.g_02497	Pran.g_00246
OG0000293	Praf.g_02500	Pran.g_00245
OG0000294	Praf.g_02502	Pran.g_00244
OG0000295	Praf.g_02505	Pran.g_00243
OG0000296	Praf.g_02506	Pran.g_00242
OG0000297	Praf.g_02509	Pran.g_00241
OG0000298	Praf.g_02512	Pran.g_00239
OG0000299	Praf.g_02513	Pran.g_00238
OG0000300	Praf.g_02514	Pran.g_00237
OG0000301	Praf.g_02515	Pran.g_00236
OG0000302	Praf.g_02516	Pran.g_00235
OG0000303	Praf.g_02517	Pran.g_00234
OG0000304	Praf.g_02519	Pran.g_00232
OG0000305	Praf.g_02520	Pran.g_00231
OG0000306	Praf.g_02524	Pran.g_00228
OG0000307	Praf.g_02525	Pran.g_00227
OG0000308	Praf.g_02531	Pran.g_00226
OG0000309	Praf.g_02532	Pran.g_00225
OG0000310	Praf.g_02533	Pran.g_00224
OG0000311	Praf.g_02582	Pran.g_00223
OG0000312	Praf.g_02581	Pran.g_00222
OG0000313	Praf.g_02575	Pran.g_00221
OG0000314	Praf.g_02574	Pran.g_00220
OG0000315	Praf.g_02572	Pran.g_00219
OG0000316	Praf.g_02568	Pran.g_00218
OG0000317	Praf.g_02567	Pran.g_00217
OG0000318	Praf.g_02566	Pran.g_00216
OG0000319	Praf.g_02560	Pran.g_00215
OG0000320	Praf.g_02559	Pran.g_00214
OG0000321	Praf.g_02557	Pran.g_00213
OG0000322	Praf.g_02556	Pran.g_00212
OG0000323	Praf.g_02555	Pran.g_00211
OG0000324	Praf.g_02554	Pran.g_00210
OG0000325	Praf.g_02553	Pran.g_00209
OG0000326	Praf.g_02552	Pran.g_00208
OG0000327	Praf.g_02551	Pran.g_00207
OG0000328	Praf.g_02549	Pran.g_00206
OG0000329	Praf.g_02548	Pran.g_00205
OG0000330	Praf.g_02547	Pran.g_00204
OG0000331	Praf.g_00374	Pran.g_00203
OG0000332	Praf.g_00745	Pran.g_00202
OG0000333	Praf.g_00744	Pran.g_00201
OG0000334	Praf.g_00743	Pran.g_00200
OG0000335	Praf.g_00378	Pran.g_00199
OG0000336	Praf.g_00379	Pran.g_00197
OG0000337	Praf.g_00385	Pran.g_00196
OG0000338	Praf.g_00392	Pran.g_00193
OG0000339	Praf.g_02203	Pran.g_01950
OG0000340	Praf.g_02207	Pran.g_01948
OG0000341	Praf.g_02208	Pran.g_01947
OG0000342	Praf.g_02209	Pran.g_01946
OG0000343	Praf.g_02210	Pran.g_01945
OG0000344	Praf.g_02215	Pran.g_01942
OG0000345	Praf.g_02242	Pran.g_01939
OG0000346	Praf.g_02243	Pran.g_01938
OG0000347	Praf.g_02245	Pran.g_01935
OG0000348	Praf.g_02247	Pran.g_01934
OG0000349	Praf.g_02249	Pran.g_01933
OG0000350	Praf.g_02255	Pran.g_01931
OG0000351	Praf.g_00375	Pran.g_01930
OG0000352	Praf.g_02259	Pran.g_01929
OG0000353	Praf.g_02260	Pran.g_01928
OG0000354	Praf.g_02262	Pran.g_01927
OG0000355	Praf.g_02263	Pran.g_01926
OG0000356	Praf.g_02264	Pran.g_01925
OG0000357	Praf.g_02265	Pran.g_01924
OG0000358	Praf.g_02266	Pran.g_01923
OG0000359	Praf.g_02268	Pran.g_01922
OG0000360	Praf.g_02273	Pran.g_01919
OG0000361	Praf.g_02274	Pran.g_01918
OG0000362	Praf.g_02275	Pran.g_01917
OG0000363	Praf.g_02277	Pran.g_01916
OG0000364	Praf.g_02282	Pran.g_01912
OG0000365	Praf.g_02283	Pran.g_01911
OG0000366	Praf.g_02285	Pran.g_01909
OG0000367	Praf.g_02287	Pran.g_01908
OG0000368	Praf.g_02288	Pran.g_01907
OG0000369	Praf.g_02289	Pran.g_01906
OG0000370	Praf.g_02290	Pran.g_01905
OG0000371	Praf.g_02291	Pran.g_01904
OG0000372	Praf.g_02292	Pran.g_01903
OG0000373	Praf.g_02293	Pran.g_01902
OG0000374	Praf.g_02296	Pran.g_01900
OG0000375	Praf.g_02297	Pran.g_01899
OG0000376	Praf.g_02301	Pran.g_01896
OG0000377	Praf.g_02302	Pran.g_01895
OG0000378	Praf.g_02303	Pran.g_01894
OG0000379	Praf.g_02304	Pran.g_01893
OG0000380	Praf.g_02314	Pran.g_01892
OG0000381	Praf.g_02315	Pran.g_01891
OG0000382	Praf.g_02316	Pran.g_01890
OG0000383	Praf.g_02318	Pran.g_01889
OG0000384	Praf.g_02321	Pran.g_01886
OG0000385	Praf.g_02322	Pran.g_01885
OG0000386	Praf.g_02323	Pran.g_01884
OG0000387	Praf.g_02324	Pran.g_01883
OG0000388	Praf.g_02325	Pran.g_01882
OG0000389	Praf.g_02326	Pran.g_01881
OG0000390	Praf.g_02327	Pran.g_01880
OG0000391	Praf.g_02328	Pran.g_01879
OG0000392	Praf.g_02329	Pran.g_01878
OG0000393	Praf.g_02330	Pran.g_01877
OG0000394	Praf.g_02331	Pran.g_01876
OG0000395	Praf.g_02332	Pran.g_01875
OG0000396	Praf.g_02335	Pran.g_01873
OG0000397	Praf.g_02347	Pran.g_01871
OG0000398	Praf.g_02349	Pran.g_01870
OG0000399	Praf.g_02073	Pran.g_01867
OG0000400	Praf.g_02066	Pran.g_01866
OG0000401	Praf.g_02065	Pran.g_01865
OG0000402	Praf.g_02054	Pran.g_01860
OG0000403	Praf.g_02052	Pran.g_01859
OG0000404	Praf.g_02051	Pran.g_01858
OG0000405	Praf.g_02049	Pran.g_01857
OG0000406	Praf.g_02045	Pran.g_01854
OG0000407	Praf.g_02044	Pran.g_01853
OG0000408	Praf.g_02031	Pran.g_01850
OG0000409	Praf.g_02030	Pran.g_01849
OG0000410	Praf.g_02029	Pran.g_01848
OG0000411	Praf.g_02028	Pran.g_01847
OG0000412	Praf.g_02027	Pran.g_01846
OG0000413	Praf.g_02026	Pran.g_01845
OG0000414	Praf.g_02025	Pran.g_01844
OG0000415	Praf.g_02024	Pran.g_01843
OG0000416	Praf.g_02016	Pran.g_01840
OG0000417	Praf.g_02015	Pran.g_01839
OG0000418	Praf.g_02012	Pran.g_01838
OG0000419	Praf.g_02011	Pran.g_01837
OG0000420	Praf.g_01616	Pran.g_01835
OG0000421	Praf.g_00322	Pran.g_01823
OG0000422	Praf.g_00495	Pran.g_01816
OG0000423	Praf.g_01003	Pran.g_01815
OG0000424	Praf.g_02201	Pran.g_01808
OG0000425	Praf.g_02002	Pran.g_01749
OG0000426	Praf.g_02001	Pran.g_01748
OG0000427	Praf.g_01999	Pran.g_01747
OG0000428	Praf.g_01990	Pran.g_01745
OG0000429	Praf.g_01989	Pran.g_01744
OG0000430	Praf.g_01987	Pran.g_01742
OG0000431	Praf.g_01986	Pran.g_01741
OG0000432	Praf.g_01985	Pran.g_01740
OG0000433	Praf.g_01984	Pran.g_01739
OG0000434	Praf.g_01982	Pran.g_01738
OG0000435	Praf.g_01981	Pran.g_01737
OG0000436	Praf.g_01980	Pran.g_01736
OG0000437	Praf.g_01979	Pran.g_01735
OG0000438	Praf.g_01978	Pran.g_01734
OG0000439	Praf.g_01977	Pran.g_01733
OG0000440	Praf.g_01972	Pran.g_01729
OG0000441	Praf.g_01963	Pran.g_01728
OG0000442	Praf.g_01962	Pran.g_01727
OG0000443	Praf.g_01961	Pran.g_01726
OG0000444	Praf.g_01960	Pran.g_01725
OG0000445	Praf.g_01959	Pran.g_01724
OG0000446	Praf.g_01957	Pran.g_01723
OG0000447	Praf.g_01956	Pran.g_01722
OG0000448	Praf.g_01952	Pran.g_01720
OG0000449	Praf.g_01942	Pran.g_01717
OG0000450	Praf.g_01941	Pran.g_01716
OG0000451	Praf.g_01938	Pran.g_01715
OG0000452	Praf.g_01915	Pran.g_01714
OG0000453	Praf.g_01913	Pran.g_01713
OG0000454	Praf.g_01911	Pran.g_01707
OG0000455	Praf.g_01909	Pran.g_01705
OG0000456	Praf.g_00586	Pran.g_01701
OG0000457	Praf.g_00589	Pran.g_01700
OG0000458	Praf.g_00594	Pran.g_01699
OG0000459	Praf.g_00596	Pran.g_01697
OG0000460	Praf.g_00598	Pran.g_01695
OG0000461	Praf.g_00599	Pran.g_01694
OG0000462	Praf.g_00600	Pran.g_01693
OG0000463	Praf.g_00603	Pran.g_01691
OG0000464	Praf.g_00605	Pran.g_01690
OG0000465	Praf.g_00606	Pran.g_01689
OG0000466	Praf.g_00607	Pran.g_01688
OG0000467	Praf.g_00608	Pran.g_01687
OG0000468	Praf.g_00609	Pran.g_01686
OG0000469	Praf.g_00610	Pran.g_01685
OG0000470	Praf.g_00611	Pran.g_01684
OG0000471	Praf.g_00612	Pran.g_01683
OG0000472	Praf.g_00619	Pran.g_01678
OG0000473	Praf.g_00621	Pran.g_01677
OG0000474	Praf.g_00622	Pran.g_01676
OG0000475	Praf.g_00623	Pran.g_01675
OG0000476	Praf.g_00626	Pran.g_01673
OG0000477	Praf.g_00627	Pran.g_01672
OG0000478	Praf.g_00628	Pran.g_01671
OG0000479	Praf.g_00629	Pran.g_01670
OG0000480	Praf.g_00630	Pran.g_01668
OG0000481	Praf.g_00631	Pran.g_01666
OG0000482	Praf.g_00632	Pran.g_01665
OG0000483	Praf.g_00634	Pran.g_01663
OG0000484	Praf.g_00635	Pran.g_01662
OG0000485	Praf.g_00636	Pran.g_01661
OG0000486	Praf.g_00641	Pran.g_01660
OG0000487	Praf.g_00646	Pran.g_01655
OG0000488	Praf.g_00647	Pran.g_01653
OG0000489	Praf.g_00648	Pran.g_01652
OG0000490	Praf.g_00650	Pran.g_01651
OG0000491	Praf.g_00651	Pran.g_01650
OG0000492	Praf.g_00656	Pran.g_01649
OG0000493	Praf.g_01177	Pran.g_01648
OG0000494	Praf.g_01131	Pran.g_01647
OG0000495	Praf.g_00661	Pran.g_01644
OG0000496	Praf.g_00663	Pran.g_01643
OG0000497	Praf.g_00665	Pran.g_01642
OG0000498	Praf.g_00666	Pran.g_01641
OG0000499	Praf.g_00670	Pran.g_01640
OG0000500	Praf.g_00673	Pran.g_01638
OG0000501	Praf.g_00675	Pran.g_01637
OG0000502	Praf.g_00677	Pran.g_01636
OG0000503	Praf.g_00683	Pran.g_01634
OG0000504	Praf.g_00684	Pran.g_01633
OG0000505	Praf.g_00685	Pran.g_01632
OG0000506	Praf.g_00687	Pran.g_01631
OG0000507	Praf.g_00688	Pran.g_01630
OG0000508	Praf.g_00689	Pran.g_01629
OG0000509	Praf.g_00690	Pran.g_01628
OG0000510	Praf.g_00691	Pran.g_01627
OG0000511	Praf.g_00693	Pran.g_01625
OG0000512	Praf.g_00694	Pran.g_01624
OG0000513	Praf.g_00695	Pran.g_01623
OG0000514	Praf.g_00696	Pran.g_01622
OG0000515	Praf.g_00697	Pran.g_01621
OG0000516	Praf.g_00698	Pran.g_01620
OG0000517	Praf.g_00700	Pran.g_01618
OG0000518	Praf.g_00701	Pran.g_01617
OG0000519	Praf.g_00703	Pran.g_01616
OG0000520	Praf.g_00705	Pran.g_01614
OG0000521	Praf.g_00706	Pran.g_01613
OG0000522	Praf.g_00707	Pran.g_01612
OG0000523	Praf.g_00708	Pran.g_01611
OG0000524	Praf.g_00709	Pran.g_01610
OG0000525	Praf.g_00711	Pran.g_01609
OG0000526	Praf.g_00712	Pran.g_01608
OG0000527	Praf.g_00713	Pran.g_01607
OG0000528	Praf.g_00714	Pran.g_01606
OG0000529	Praf.g_00716	Pran.g_01605
OG0000530	Praf.g_00717	Pran.g_01604
OG0000531	Praf.g_00718	Pran.g_01603
OG0000532	Praf.g_00719	Pran.g_01602
OG0000533	Praf.g_00723	Pran.g_01600
OG0000534	Praf.g_00724	Pran.g_01599
OG0000535	Praf.g_00725	Pran.g_01598
OG0000536	Praf.g_00726	Pran.g_01597
OG0000537	Praf.g_00728	Pran.g_01596
OG0000538	Praf.g_00729	Pran.g_01595
OG0000539	Praf.g_00733	Pran.g_01592
OG0000540	Praf.g_00734	Pran.g_01591
OG0000541	Praf.g_00735	Pran.g_01590
OG0000542	Praf.g_00739	Pran.g_01587
OG0000543	Praf.g_00740	Pran.g_01586
OG0000544	Praf.g_00741	Pran.g_01585
OG0000545	Praf.g_00742	Pran.g_01584
OG0000546	Praf.g_00749	Pran.g_01583
OG0000547	Praf.g_00750	Pran.g_01582
OG0000548	Praf.g_00751	Pran.g_01581
OG0000549	Praf.g_00753	Pran.g_01579
OG0000550	Praf.g_00754	Pran.g_01578
OG0000551	Praf.g_00755	Pran.g_01577
OG0000552	Praf.g_00756	Pran.g_01576
OG0000553	Praf.g_00757	Pran.g_01575
OG0000554	Praf.g_00758	Pran.g_01574
OG0000555	Praf.g_00761	Pran.g_01573
OG0000556	Praf.g_00763	Pran.g_01572
OG0000557	Praf.g_00764	Pran.g_01571
OG0000558	Praf.g_00765	Pran.g_01570
OG0000559	Praf.g_00766	Pran.g_01569
OG0000560	Praf.g_00767	Pran.g_01568
OG0000561	Praf.g_00768	Pran.g_01567
OG0000562	Praf.g_00769	Pran.g_01566
OG0000563	Praf.g_00771	Pran.g_01565
OG0000564	Praf.g_00773	Pran.g_01564
OG0000565	Praf.g_01659	Pran.g_01563
OG0000566	Praf.g_01661	Pran.g_01562
OG0000567	Praf.g_01662	Pran.g_01561
OG0000568	Praf.g_01663	Pran.g_01560
OG0000569	Praf.g_01666	Pran.g_01557
OG0000570	Praf.g_01667	Pran.g_01556
OG0000571	Praf.g_01669	Pran.g_01554
OG0000572	Praf.g_01674	Pran.g_01553
OG0000573	Praf.g_01675	Pran.g_01552
OG0000574	Praf.g_01676	Pran.g_01551
OG0000575	Praf.g_01680	Pran.g_01550
OG0000576	Praf.g_01684	Pran.g_01549
OG0000577	Praf.g_01685	Pran.g_01548
OG0000578	Praf.g_01687	Pran.g_01547
OG0000579	Praf.g_01688	Pran.g_01546
OG0000580	Praf.g_01689	Pran.g_01545
OG0000581	Praf.g_01690	Pran.g_01544
OG0000582	Praf.g_01692	Pran.g_01543
OG0000583	Praf.g_01693	Pran.g_01542
OG0000584	Praf.g_01695	Pran.g_01540
OG0000585	Praf.g_01696	Pran.g_01539
OG0000586	Praf.g_01698	Pran.g_01538
OG0000587	Praf.g_01699	Pran.g_01537
OG0000588	Praf.g_01700	Pran.g_01536
