Orthogroup	Pram	Syar
OG0000054	Pram.g_00544	Syar.g_02265
OG0000055	Pram.g_01617	Syar.g_01386
OG0000056	Pram.g_00602	Syar.g_01662
OG0000057	Pram.g_00792	Syar.g_01941, Syar.g_00006
OG0000059	Pram.g_01719	Syar.g_01024
OG0000061	Pram.g_01140	Syar.g_01539
OG0000062	Pram.g_01293	Syar.g_02911
OG0000063	Pram.g_01258	Syar.g_00509
OG0000064	Pram.g_00052	Syar.g_03117, Syar.g_00860
OG0000065	Pram.g_00091	Syar.g_03119
OG0000066	Pram.g_01558	Syar.g_03187, Syar.g_02228
OG0000067	Pram.g_00809	Syar.g_02639
OG0000068	Pram.g_01468	Syar.g_02329, Syar.g_01461
OG0000069	Pram.g_00391	Syar.g_01716
OG0000070	Pram.g_00385	Syar.g_02223
OG0000071	Pram.g_01230	Syar.g_02777
OG0000072	Pram.g_00156	Syar.g_00107, Syar.g_01140
OG0000073	Pram.g_01426	Syar.g_01364
OG0000073	Pram.g_00437	Syar.g_01493
OG0000075	Pram.g_01807	Syar.g_03065, Syar.g_00659
OG0000076	Pram.g_01833	Syar.g_00608
OG0000077	Pram.g_00063	Syar.g_03051
OG0000078	Pram.g_00227	Syar.g_03265, Syar.g_03018
OG0000079	Pram.g_00240	Syar.g_00166
OG0000080	Pram.g_01408	Syar.g_00585
OG0000081	Pram.g_00469	Syar.g_01898
OG0000082	Pram.g_01559	Syar.g_02202
OG0000085	Pram.g_01265	Syar.g_02919
OG0000086	Pram.g_00072	Syar.g_03085
OG0000087	Pram.g_00125	Syar.g_03192, Syar.g_00068
OG0000088	Pram.g_00151	Syar.g_00101
OG0000089	Pram.g_00352	Syar.g_01162
OG0000090	Pram.g_00471	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Pram.g_01068	Syar.g_01891, Syar.g_02426
OG0000093	Pram.g_01038	Syar.g_02623
OG0000094	Pram.g_00987	Syar.g_01789
OG0000095	Pram.g_00888	Syar.g_01932
OG0000097	Pram.g_01093	Syar.g_01706, Syar.g_00364
OG0000098	Pram.g_01478	Syar.g_02343
OG0000099	Pram.g_01445	Syar.g_00715
OG0000100	Pram.g_01298	Syar.g_02477
OG0000101	Pram.g_01770	Syar.g_01073, Syar.g_03154
OG0000102	Pram.g_01838	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Pram.g_01925	Syar.g_00014, Syar.g_00452
OG0000104	Pram.g_01934	Syar.g_00466
OG0000105	Pram.g_00262	Syar.g_00218
OG0000106	Pram.g_00677	Syar.g_01748
OG0000107	Pram.g_01696	Syar.g_03290, Syar.g_00149
OG0000108	Pram.g_00416	Syar.g_01469
OG0000109	Pram.g_00430	Syar.g_03310, Syar.g_01485
OG0000110	Pram.g_00513	Syar.g_02295
OG0000111	Pram.g_00793	Syar.g_01940, Syar.g_00005
OG0000112	Pram.g_00935	Syar.g_03195, Syar.g_02548
OG0000113	Pram.g_00832	Syar.g_02664
OG0000114	Pram.g_00734	Syar.g_01616
OG0000115	Pram.g_01201	Syar.g_02854, Syar.g_01415
OG0000116	Pram.g_01151	Syar.g_01525, Syar.g_02255
OG0000117	Pram.g_01112	Syar.g_01969
OG0000118	Pram.g_01242	Syar.g_02793
OG0000120	Pram.g_01446	Syar.g_00713
OG0000121	Pram.g_01376	Syar.g_02806
OG0000123	Pram.g_01777	Syar.g_01079
OG0000124	Pram.g_01850	Syar.g_00586
OG0000125	Pram.g_01886	Syar.g_00338
OG0000126	Pram.g_01933	Syar.g_00887, Syar.g_00888
OG0000128	Pram.g_01949	Syar.g_00482
OG0000129	Pram.g_00029	Syar.g_00324
OG0000130	Pram.g_00054	Syar.g_03040
OG0000131	Pram.g_00130	Syar.g_02216, Syar.g_00078
OG0000132	Pram.g_00149	Syar.g_00099
OG0000133	Pram.g_00310	Syar.g_02543
OG0000134	Pram.g_00354	Syar.g_02009, Syar.g_01165
OG0000135	Pram.g_01589	Syar.g_00698
OG0000136	Pram.g_00376	Syar.g_02874
OG0000137	Pram.g_00411	Syar.g_01273
OG0000138	Pram.g_00431	Syar.g_01486
OG0000139	Pram.g_00475	Syar.g_03245, Syar.g_02348
OG0000140	Pram.g_00476	Syar.g_02344, Syar.g_03246
OG0000141	Pram.g_00545	Syar.g_02129
OG0000142	Pram.g_01075	Syar.g_02418
OG0000143	Pram.g_01072	Syar.g_02422
OG0000144	Pram.g_01058	Syar.g_02441
OG0000145	Pram.g_01534	Syar.g_01494, Syar.g_03205
OG0000146	Pram.g_00934	Syar.g_02549
OG0000147	Pram.g_00933	Syar.g_02550
OG0000148	Pram.g_00826	Syar.g_02658
OG0000149	Pram.g_00858	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Pram.g_00868	Syar.g_02130
OG0000151	Pram.g_00744	Syar.g_02038
OG0000152	Pram.g_00943	Syar.g_02539
OG0000153	Pram.g_00961	Syar.g_03283, Syar.g_02503
OG0000154	Pram.g_00978	Syar.g_01800
OG0000155	Pram.g_01118	Syar.g_01959
OG0000156	Pram.g_01219	Syar.g_01517
OG0000157	Pram.g_01220	Syar.g_01516
OG0000158	Pram.g_01815	Syar.g_00650
OG0000159	Pram.g_00045	Syar.g_02359, Syar.g_02762
OG0000160	Pram.g_01377	Syar.g_02807
OG0000161	Pram.g_01145, Pram.g_01371	Syar.g_02801
OG0000162	Pram.g_01365	Syar.g_02863
OG0000163	Pram.g_01326	Syar.g_00639, Syar.g_01186
OG0000164	Pram.g_01656	Syar.g_03168, Syar.g_02969
OG0000165	Pram.g_01664	Syar.g_02976
OG0000166	Pram.g_01733	Syar.g_01034
OG0000167	Pram.g_01805	Syar.g_00662
OG0000168	Pram.g_01816	Syar.g_00246
OG0000169	Pram.g_01826	Syar.g_00262
OG0000170	Pram.g_01829	Syar.g_00613
OG0000171	Pram.g_01849	Syar.g_00587
OG0000172	Pram.g_01856	Syar.g_00547
OG0000173	Pram.g_01871	Syar.g_00528
OG0000174	Pram.g_01902	Syar.g_00701
OG0000175	Pram.g_01914	Syar.g_00438
OG0000176	Pram.g_01942	Syar.g_00474
OG0000177	Pram.g_01943	Syar.g_00475
OG0000178	Pram.g_01944	Syar.g_00476
OG0000179	Pram.g_00003	Syar.g_00489
OG0000180	Pram.g_00004	Syar.g_00490
OG0000181	Pram.g_00005	Syar.g_00491
OG0000182	Pram.g_00006	Syar.g_00492
OG0000183	Pram.g_00010	Syar.g_00496
OG0000184	Pram.g_00033	Syar.g_00897
OG0000185	Pram.g_00036	Syar.g_00909
OG0000186	Pram.g_00048	Syar.g_03036
OG0000187	Pram.g_00049	Syar.g_03038
OG0000188	Pram.g_00066	Syar.g_03058
OG0000189	Pram.g_00080	Syar.g_03104
OG0000190	Pram.g_00081	Syar.g_03107, Syar.g_02374
OG0000191	Pram.g_00103	Syar.g_00039
OG0000192	Pram.g_00108	Syar.g_00046
OG0000193	Pram.g_00131	Syar.g_00079
OG0000194	Pram.g_00134	Syar.g_03236, Syar.g_00082
OG0000195	Pram.g_00136	Syar.g_00023, Syar.g_00084
OG0000196	Pram.g_00146	Syar.g_00096
OG0000197	Pram.g_00147	Syar.g_00097
OG0000198	Pram.g_00148	Syar.g_00098
OG0000199	Pram.g_00155	Syar.g_00106
OG0000200	Pram.g_00168	Syar.g_00124
OG0000201	Pram.g_00177	Syar.g_01000
OG0000202	Pram.g_00178	Syar.g_00998, Syar.g_00021
OG0000203	Pram.g_00179	Syar.g_00020, Syar.g_00997
OG0000204	Pram.g_00180	Syar.g_00996
OG0000205	Pram.g_00187	Syar.g_00988
OG0000206	Pram.g_00192	Syar.g_00963
OG0000207	Pram.g_00194	Syar.g_00957
OG0000208	Pram.g_00195	Syar.g_00956
OG0000209	Pram.g_00204	Syar.g_00936, Syar.g_03261
OG0000210	Pram.g_00205	Syar.g_00935, Syar.g_03260
OG0000211	Pram.g_00220	Syar.g_03026
OG0000212	Pram.g_00228	Syar.g_03017
OG0000213	Pram.g_00246	Syar.g_00187
OG0000214	Pram.g_00255	Syar.g_00209
OG0000215	Pram.g_00282	Syar.g_00239
OG0000216	Pram.g_00283	Syar.g_00244
OG0000217	Pram.g_00286	Syar.g_00854
OG0000218	Pram.g_00288	Syar.g_00852
OG0000219	Pram.g_00289	Syar.g_00851
OG0000220	Pram.g_00290	Syar.g_00850, Syar.g_02026
OG0000221	Pram.g_00291	Syar.g_00834
OG0000222	Pram.g_00298	Syar.g_02119, Syar.g_00728
OG0000223	Pram.g_00311	Syar.g_00649
OG0000224	Pram.g_00313	Syar.g_00762, Syar.g_00273
OG0000225	Pram.g_00341	Syar.g_01142
OG0000226	Pram.g_00345	Syar.g_01146
OG0000227	Pram.g_00347	Syar.g_01148
OG0000228	Pram.g_00351	Syar.g_01161
OG0000229	Pram.g_00371	Syar.g_01177, Syar.g_03273
OG0000230	Pram.g_00373	Syar.g_01179, Syar.g_03275
OG0000231	Pram.g_00384	Syar.g_02865, Syar.g_03151
OG0000232	Pram.g_00397	Syar.g_01424
OG0000233	Pram.g_00402	Syar.g_03183, Syar.g_01247
OG0000234	Pram.g_00412	Syar.g_01275
OG0000235	Pram.g_00415	Syar.g_01468
OG0000236	Pram.g_00429	Syar.g_03311, Syar.g_01484
OG0000237	Pram.g_00443	Syar.g_01503
OG0000238	Pram.g_00449	Syar.g_01508
OG0000239	Pram.g_00462	Syar.g_03277, Syar.g_02687
OG0000240	Pram.g_00463	Syar.g_03278, Syar.g_02686
OG0000241	Pram.g_00468	Syar.g_02410
OG0000242	Pram.g_00470	Syar.g_01926
OG0000243	Pram.g_00480	Syar.g_02335
OG0000244	Pram.g_00483	Syar.g_02327
OG0000245	Pram.g_00485	Syar.g_02325, Syar.g_03238
OG0000246	Pram.g_00489	Syar.g_02321
OG0000247	Pram.g_00500	Syar.g_02310
OG0000248	Pram.g_00503	Syar.g_02307, Syar.g_03293
OG0000249	Pram.g_00505	Syar.g_02305
OG0000250	Pram.g_00510	Syar.g_02299, Syar.g_03194
OG0000251	Pram.g_00528	Syar.g_03207, Syar.g_02194
OG0000252	Pram.g_00531	Syar.g_02189, Syar.g_03263
OG0000253	Pram.g_00532	Syar.g_02028, Syar.g_03229
OG0000254	Pram.g_00549	Syar.g_02169
OG0000255	Pram.g_00555	Syar.g_00011, Syar.g_02224
OG0000256	Pram.g_00566	Syar.g_02244
OG0000257	Pram.g_01080	Syar.g_02407, Syar.g_01762
OG0000258	Pram.g_01067	Syar.g_02427, Syar.g_00010
OG0000259	Pram.g_01050	Syar.g_02472
OG0000260	Pram.g_01047	Syar.g_03220, Syar.g_02475
OG0000261	Pram.g_01044	Syar.g_01916
OG0000262	Pram.g_01039	Syar.g_01690
OG0000263	Pram.g_00771	Syar.g_01991
OG0000264	Pram.g_00782	Syar.g_02135, Syar.g_03267
OG0000266	Pram.g_01020	Syar.g_01570
OG0000267	Pram.g_01007	Syar.g_01873
OG0000268	Pram.g_01006	Syar.g_02589
OG0000269	Pram.g_00804	Syar.g_02634
OG0000270	Pram.g_00807	Syar.g_00744, Syar.g_02637
OG0000271	Pram.g_00815	Syar.g_02645
OG0000272	Pram.g_00816	Syar.g_02646
OG0000273	Pram.g_00839	Syar.g_02481, Syar.g_00008
OG0000274	Pram.g_00840	Syar.g_00009, Syar.g_02482
OG0000275	Pram.g_00843	Syar.g_01810
OG0000276	Pram.g_00849	Syar.g_01817
OG0000277	Pram.g_00850	Syar.g_01818, Syar.g_03242
OG0000278	Pram.g_00853	Syar.g_01821, Syar.g_03174
OG0000279	Pram.g_00861	Syar.g_01838
OG0000280	Pram.g_00862	Syar.g_02067, Syar.g_00734
OG0000281	Pram.g_00870	Syar.g_02218
OG0000282	Pram.g_00736	Syar.g_01614, Syar.g_03255
OG0000283	Pram.g_00916	Syar.g_02574
OG0000284	Pram.g_00921	Syar.g_03258, Syar.g_02568
OG0000285	Pram.g_00926	Syar.g_02560
OG0000286	Pram.g_00942	Syar.g_02540
OG0000287	Pram.g_01199	Syar.g_02512
OG0000288	Pram.g_00977	Syar.g_01801
OG0000289	Pram.g_00992	Syar.g_03305, Syar.g_01786
OG0000290	Pram.g_00891	Syar.g_01928
OG0000291	Pram.g_00889	Syar.g_01930
OG0000292	Pram.g_01185	Syar.g_00463
OG0000293	Pram.g_01150	Syar.g_03297, Syar.g_01526
OG0000294	Pram.g_01149	Syar.g_01527, Syar.g_03296
OG0000295	Pram.g_01125	Syar.g_01951, Syar.g_03208
OG0000296	Pram.g_01123	Syar.g_01953
OG0000297	Pram.g_01114	Syar.g_01967, Syar.g_03216
OG0000298	Pram.g_01113	Syar.g_01968, Syar.g_03215
OG0000299	Pram.g_01094	Syar.g_01704
OG0000300	Pram.g_01091	Syar.g_01646, Syar.g_01711
OG0000301	Pram.g_01090	Syar.g_01712
OG0000302	Pram.g_01088	Syar.g_01713
OG0000303	Pram.g_01082	Syar.g_03136, Syar.g_01723
OG0000304	Pram.g_00571	Syar.g_01728
OG0000305	Pram.g_01183	Syar.g_01933, Syar.g_03163
OG0000306	Pram.g_00874	Syar.g_01884, Syar.g_03140
OG0000307	Pram.g_01458	Syar.g_01452, Syar.g_03153
OG0000308	Pram.g_01457	Syar.g_01450
OG0000309	Pram.g_01453	Syar.g_01239
OG0000310	Pram.g_01395	Syar.g_02826
OG0000311	Pram.g_01393	Syar.g_02823
OG0000312	Pram.g_01390	Syar.g_00015, Syar.g_02818
OG0000313	Pram.g_01374	Syar.g_02804
OG0000314	Pram.g_01351	Syar.g_01403
OG0000315	Pram.g_01341	Syar.g_01393
OG0000316	Pram.g_01315	Syar.g_02885
OG0000317	Pram.g_01629	Syar.g_02926
OG0000318	Pram.g_01633	Syar.g_02930
OG0000319	Pram.g_01646	Syar.g_02954
OG0000320	Pram.g_01648	Syar.g_02956
OG0000321	Pram.g_01649	Syar.g_02957
OG0000322	Pram.g_01650	Syar.g_02958
OG0000323	Pram.g_01659	Syar.g_02973
OG0000324	Pram.g_01687	Syar.g_00350, Syar.g_03001
OG0000325	Pram.g_01697	Syar.g_03291, Syar.g_00148
OG0000326	Pram.g_01704	Syar.g_00139, Syar.g_03134
OG0000327	Pram.g_01728	Syar.g_01029
OG0000328	Pram.g_01729	Syar.g_01030
OG0000329	Pram.g_01746	Syar.g_03189, Syar.g_01048
OG0000330	Pram.g_01747	Syar.g_03190, Syar.g_01049
OG0000331	Pram.g_01748	Syar.g_01050, Syar.g_03191
OG0000332	Pram.g_01762	Syar.g_01064, Syar.g_03299
OG0000333	Pram.g_01764	Syar.g_01067
OG0000334	Pram.g_01773	Syar.g_01076
OG0000335	Pram.g_01778	Syar.g_01080
OG0000336	Pram.g_01782	Syar.g_01084
OG0000337	Pram.g_01801	Syar.g_00285
OG0000338	Pram.g_01802	Syar.g_03225, Syar.g_00287
OG0000339	Pram.g_01808	Syar.g_00658
OG0000340	Pram.g_01817	Syar.g_00247
OG0000341	Pram.g_01819	Syar.g_00249
OG0000342	Pram.g_01820	Syar.g_00250
OG0000343	Pram.g_01821	Syar.g_00256
OG0000344	Pram.g_01824	Syar.g_00260
OG0000345	Pram.g_01830	Syar.g_00612
OG0000346	Pram.g_01834	Syar.g_00607
OG0000347	Pram.g_01851	Syar.g_00558
OG0000348	Pram.g_01859	Syar.g_00544
OG0000349	Pram.g_01877	Syar.g_00521
OG0000350	Pram.g_01898	Syar.g_00132
OG0000351	Pram.g_01917	Syar.g_00442
OG0000352	Pram.g_01918	Syar.g_00443
OG0000353	Pram.g_01937	Syar.g_00469
OG0000355	Pram.g_01939	Syar.g_00471
OG0000356	Pram.g_01940	Syar.g_00472
OG0000357	Pram.g_01941	Syar.g_00473
OG0000358	Pram.g_01945	Syar.g_00477
OG0000359	Pram.g_01946	Syar.g_00479
OG0000360	Pram.g_01947	Syar.g_00480
OG0000361	Pram.g_01948	Syar.g_00481
OG0000362	Pram.g_01950	Syar.g_00483
OG0000363	Pram.g_00001	Syar.g_00484
OG0000364	Pram.g_00002	Syar.g_02928
OG0000365	Pram.g_00007	Syar.g_00493
OG0000366	Pram.g_00008	Syar.g_00494
OG0000367	Pram.g_00009	Syar.g_03262, Syar.g_00495
OG0000368	Pram.g_00011	Syar.g_00497
OG0000369	Pram.g_00012	Syar.g_00498
OG0000370	Pram.g_00013	Syar.g_00499
OG0000371	Pram.g_00019	Syar.g_00508
OG0000372	Pram.g_00021	Syar.g_00514
OG0000373	Pram.g_00022	Syar.g_00515
OG0000374	Pram.g_00023	Syar.g_00516
OG0000375	Pram.g_00024	Syar.g_00517
OG0000376	Pram.g_00026	Syar.g_00519
OG0000377	Pram.g_00030	Syar.g_00322
OG0000378	Pram.g_00034	Syar.g_00905
OG0000379	Pram.g_00037	Syar.g_00910
OG0000380	Pram.g_00050	Syar.g_03039
OG0000381	Pram.g_00055	Syar.g_03041
OG0000382	Pram.g_00065	Syar.g_03057
OG0000383	Pram.g_00067	Syar.g_03074
OG0000384	Pram.g_00068	Syar.g_03075
OG0000385	Pram.g_00069	Syar.g_03076
OG0000386	Pram.g_00070	Syar.g_03077
OG0000387	Pram.g_00083	Syar.g_03109
OG0000388	Pram.g_00087	Syar.g_03148, Syar.g_03113
OG0000389	Pram.g_00090	Syar.g_03118
OG0000390	Pram.g_00099	Syar.g_00033
OG0000391	Pram.g_00102	Syar.g_00038
OG0000392	Pram.g_00106	Syar.g_00045
OG0000393	Pram.g_00109	Syar.g_00048
OG0000394	Pram.g_00110	Syar.g_00049
OG0000395	Pram.g_00111	Syar.g_00050
OG0000396	Pram.g_00113	Syar.g_00053
OG0000397	Pram.g_00115	Syar.g_00055
OG0000398	Pram.g_00118	Syar.g_00060
OG0000399	Pram.g_00119	Syar.g_00061
OG0000400	Pram.g_00120	Syar.g_00062
OG0000401	Pram.g_00121	Syar.g_00063
OG0000402	Pram.g_01001	Syar.g_00065
OG0000403	Pram.g_00123	Syar.g_00066
OG0000404	Pram.g_00124	Syar.g_00067
OG0000405	Pram.g_00128	Syar.g_00076
OG0000406	Pram.g_00132	Syar.g_00080
OG0000407	Pram.g_00133	Syar.g_00081
OG0000408	Pram.g_00135	Syar.g_00083
OG0000409	Pram.g_00137	Syar.g_00085
OG0000410	Pram.g_00138	Syar.g_00086
OG0000411	Pram.g_00139	Syar.g_00087
OG0000412	Pram.g_00140	Syar.g_00088
OG0000413	Pram.g_00141	Syar.g_00090
OG0000414	Pram.g_00142	Syar.g_00091, Syar.g_03179
OG0000415	Pram.g_00143	Syar.g_00092
OG0000416	Pram.g_00144	Syar.g_00093
OG0000417	Pram.g_00145	Syar.g_00095
OG0000418	Pram.g_00150	Syar.g_00100
OG0000419	Pram.g_00152	Syar.g_00102
OG0000420	Pram.g_00153	Syar.g_00104
OG0000421	Pram.g_00157	Syar.g_00109
OG0000422	Pram.g_00158	Syar.g_00110
OG0000423	Pram.g_00159	Syar.g_00111
OG0000424	Pram.g_00160	Syar.g_00112
OG0000425	Pram.g_00161	Syar.g_00113
OG0000426	Pram.g_00162	Syar.g_00114
OG0000427	Pram.g_00163	Syar.g_00115
OG0000428	Pram.g_00165	Syar.g_00118
OG0000429	Pram.g_00166	Syar.g_00121
OG0000430	Pram.g_00167	Syar.g_00123
OG0000431	Pram.g_00169	Syar.g_00127
OG0000432	Pram.g_00173	Syar.g_01009
OG0000433	Pram.g_00174	Syar.g_01007
OG0000434	Pram.g_00175	Syar.g_01006
OG0000435	Pram.g_00176	Syar.g_01003
OG0000436	Pram.g_00181	Syar.g_00994
OG0000437	Pram.g_00182	Syar.g_00993
OG0000438	Pram.g_00183	Syar.g_00992
OG0000439	Pram.g_00185	Syar.g_00990
OG0000440	Pram.g_00186	Syar.g_00989
OG0000441	Pram.g_00189	Syar.g_00986
OG0000442	Pram.g_00190	Syar.g_00977
OG0000443	Pram.g_00191	Syar.g_00964
OG0000444	Pram.g_00196	Syar.g_00954
OG0000445	Pram.g_00197	Syar.g_00953
OG0000446	Pram.g_00198	Syar.g_00951
OG0000447	Pram.g_00199	Syar.g_00948
OG0000448	Pram.g_00200	Syar.g_00947
OG0000449	Pram.g_00201	Syar.g_00946
OG0000450	Pram.g_00202	Syar.g_00939
OG0000451	Pram.g_00203	Syar.g_00938
OG0000452	Pram.g_00206	Syar.g_00934
OG0000453	Pram.g_00207	Syar.g_00933
OG0000454	Pram.g_00208	Syar.g_00932
OG0000455	Pram.g_00209	Syar.g_00931
OG0000456	Pram.g_00210	Syar.g_00930
OG0000457	Pram.g_00212	Syar.g_00928
OG0000458	Pram.g_00213	Syar.g_00918
OG0000459	Pram.g_00214	Syar.g_00917
OG0000460	Pram.g_00222	Syar.g_03024
OG0000461	Pram.g_00230	Syar.g_00153
OG0000462	Pram.g_00232	Syar.g_00155
OG0000463	Pram.g_00233	Syar.g_00156
OG0000464	Pram.g_00234	Syar.g_00157
OG0000465	Pram.g_00235	Syar.g_00159
OG0000466	Pram.g_00238	Syar.g_00164
OG0000467	Pram.g_00239	Syar.g_00165
OG0000468	Pram.g_00242	Syar.g_00170
OG0000469	Pram.g_00250	Syar.g_00203
OG0000470	Pram.g_00252	Syar.g_00206
OG0000471	Pram.g_00253	Syar.g_00207
OG0000472	Pram.g_00254	Syar.g_00208
OG0000473	Pram.g_00256	Syar.g_00210
OG0000474	Pram.g_00257	Syar.g_00211
OG0000475	Pram.g_00258	Syar.g_00212
OG0000476	Pram.g_00260	Syar.g_00214
OG0000477	Pram.g_00263	Syar.g_00219
OG0000478	Pram.g_00264	Syar.g_00220
OG0000479	Pram.g_00265	Syar.g_00221
OG0000480	Pram.g_00270	Syar.g_00228
OG0000481	Pram.g_00273	Syar.g_00230
OG0000482	Pram.g_00274	Syar.g_00231
OG0000483	Pram.g_00277	Syar.g_00235
OG0000484	Pram.g_00278	Syar.g_00236
OG0000485	Pram.g_00280	Syar.g_00237
OG0000486	Pram.g_00281	Syar.g_00024, Syar.g_00238
OG0000487	Pram.g_00284	Syar.g_00245
OG0000488	Pram.g_00287	Syar.g_00853
OG0000489	Pram.g_00292	Syar.g_00833
OG0000490	Pram.g_00296	Syar.g_00823
OG0000491	Pram.g_00297	Syar.g_00822
OG0000492	Pram.g_00299	Syar.g_00727
OG0000493	Pram.g_00300	Syar.g_00726
OG0000494	Pram.g_00301	Syar.g_00725
OG0000495	Pram.g_00302	Syar.g_00724
OG0000496	Pram.g_00303	Syar.g_00723
OG0000497	Pram.g_00304	Syar.g_00722
OG0000498	Pram.g_00305	Syar.g_00721
OG0000499	Pram.g_00306	Syar.g_00720
OG0000500	Pram.g_00307	Syar.g_00719
OG0000501	Pram.g_00309	Syar.g_00716
OG0000502	Pram.g_00312	Syar.g_00275
OG0000503	Pram.g_00328	Syar.g_01118
OG0000504	Pram.g_00330	Syar.g_01120
OG0000505	Pram.g_00331	Syar.g_01121
OG0000506	Pram.g_00332	Syar.g_01123
OG0000507	Pram.g_00336	Syar.g_01129
OG0000508	Pram.g_00340	Syar.g_01141
OG0000509	Pram.g_00342	Syar.g_01143
OG0000510	Pram.g_00343	Syar.g_01144
OG0000511	Pram.g_00344	Syar.g_01145
OG0000512	Pram.g_00346	Syar.g_01147
OG0000513	Pram.g_00355	Syar.g_01166
OG0000514	Pram.g_00366	Syar.g_01169
OG0000515	Pram.g_00367	Syar.g_01170
OG0000516	Pram.g_00368	Syar.g_01172
OG0000517	Pram.g_00370	Syar.g_01176
OG0000518	Pram.g_00381	Syar.g_02868
OG0000519	Pram.g_00382	Syar.g_02867
OG0000520	Pram.g_00383	Syar.g_02866
OG0000521	Pram.g_00393	Syar.g_01419
OG0000522	Pram.g_00395	Syar.g_01421
OG0000523	Pram.g_00396	Syar.g_01422
OG0000524	Pram.g_00400	Syar.g_01244
OG0000525	Pram.g_00404	Syar.g_01263
OG0000526	Pram.g_00406	Syar.g_01266
OG0000527	Pram.g_00409	Syar.g_01271
OG0000528	Pram.g_00414	Syar.g_01466
OG0000529	Pram.g_00417	Syar.g_01470
OG0000530	Pram.g_00420	Syar.g_01473
OG0000531	Pram.g_00421	Syar.g_01474
OG0000532	Pram.g_00423	Syar.g_01477
OG0000533	Pram.g_00424	Syar.g_01479
OG0000534	Pram.g_00425	Syar.g_01480
OG0000535	Pram.g_00426	Syar.g_01481
OG0000536	Pram.g_00427	Syar.g_01482
OG0000537	Pram.g_00428	Syar.g_01483
OG0000538	Pram.g_00438	Syar.g_01496
OG0000539	Pram.g_00439	Syar.g_01497
OG0000540	Pram.g_00440	Syar.g_01498
OG0000541	Pram.g_00441	Syar.g_01499
OG0000542	Pram.g_00442	Syar.g_01502
OG0000543	Pram.g_00444	Syar.g_01504
OG0000544	Pram.g_00445	Syar.g_01505
OG0000545	Pram.g_00447	Syar.g_01507
OG0000546	Pram.g_00450	Syar.g_01509
OG0000547	Pram.g_00452	Syar.g_01511
OG0000548	Pram.g_00453	Syar.g_01512
OG0000549	Pram.g_00456	Syar.g_02693
OG0000550	Pram.g_00461	Syar.g_02689
OG0000551	Pram.g_00464	Syar.g_02684
OG0000552	Pram.g_00465	Syar.g_02683
OG0000553	Pram.g_00466	Syar.g_02679
OG0000554	Pram.g_00472	Syar.g_02352
OG0000555	Pram.g_00479	Syar.g_02336
OG0000556	Pram.g_00481	Syar.g_02332
OG0000557	Pram.g_00482	Syar.g_02328
OG0000558	Pram.g_00484	Syar.g_02326
OG0000559	Pram.g_00488	Syar.g_02322
OG0000560	Pram.g_00491	Syar.g_02320
