Orthogroup	Pram	Syaf
OG0000082	Pram.g_01559	Syaf.g_02576
OG0000084	Pram.g_01384	Syaf.g_02409
OG0000085	Pram.g_01265	Syaf.g_01048
OG0000086	Pram.g_00072	Syaf.g_00932
OG0000087	Pram.g_00125	Syaf.g_00848
OG0000088	Pram.g_00151	Syaf.g_00811
OG0000089	Pram.g_00352	Syaf.g_02807
OG0000090	Pram.g_00471	Syaf.g_02654
OG0000091	Pram.g_01068	Syaf.g_02302
OG0000093	Pram.g_01038	Syaf.g_02065
OG0000094	Pram.g_00987	Syaf.g_01940
OG0000095	Pram.g_00888	Syaf.g_01442
OG0000097	Pram.g_01093	Syaf.g_01574
OG0000098	Pram.g_01478	Syaf.g_01637
OG0000099	Pram.g_01445	Syaf.g_00312
OG0000100	Pram.g_01298	Syaf.g_02017
OG0000101	Pram.g_01770	Syaf.g_00093
OG0000102	Pram.g_01838	Syaf.g_00393
OG0000103	Pram.g_01925	Syaf.g_00520
OG0000104	Pram.g_01934	Syaf.g_00502
OG0000105	Pram.g_00262	Syaf.g_00235
OG0000106	Pram.g_00677	Syaf.g_01745
OG0000107	Pram.g_01696	Syaf.g_00177, Syaf.g_00758
OG0000108	Pram.g_00416	Syaf.g_02721
OG0000109	Pram.g_00430	Syaf.g_02706
OG0000110	Pram.g_00513	Syaf.g_02589
OG0000111	Pram.g_00793	Syaf.g_01451
OG0000112	Pram.g_00935	Syaf.g_01852
OG0000113	Pram.g_00832	Syaf.g_02022
OG0000114	Pram.g_00734	Syaf.g_02103
OG0000115	Pram.g_01201	Syaf.g_02445
OG0000116	Pram.g_01151	Syaf.g_01276
OG0000117	Pram.g_01112	Syaf.g_01605
OG0000118	Pram.g_01242	Syaf.g_02544
OG0000120	Pram.g_01446	Syaf.g_00313
OG0000121	Pram.g_01376	Syaf.g_02419
OG0000123	Pram.g_01777	Syaf.g_00086
OG0000124	Pram.g_01850	Syaf.g_00414
OG0000125	Pram.g_01886	Syaf.g_00640
OG0000126	Pram.g_01933	Syaf.g_00504
OG0000127	Pram.g_00611	Syaf.g_01541, Syaf.g_01151
OG0000128	Pram.g_01949	Syaf.g_00486
OG0000129	Pram.g_00029	Syaf.g_00651
OG0000130	Pram.g_00054	Syaf.g_00963
OG0000131	Pram.g_00130	Syaf.g_00833
OG0000132	Pram.g_00149	Syaf.g_00813
OG0000133	Pram.g_00310	Syaf.g_01857
OG0000134	Pram.g_00354	Syaf.g_02804
OG0000135	Pram.g_01589	Syaf.g_00605
OG0000136	Pram.g_00376	Syaf.g_01224
OG0000137	Pram.g_00411	Syaf.g_02498
OG0000138	Pram.g_00431	Syaf.g_02705
OG0000139	Pram.g_00475	Syaf.g_02648
OG0000140	Pram.g_00476	Syaf.g_02646
OG0000141	Pram.g_00545	Syaf.g_02375
OG0000142	Pram.g_01075	Syaf.g_02310
OG0000143	Pram.g_01072	Syaf.g_02306
OG0000144	Pram.g_01058	Syaf.g_01735
OG0000145	Pram.g_01534	Syaf.g_02699
OG0000146	Pram.g_00934	Syaf.g_01851
OG0000147	Pram.g_00933	Syaf.g_01850
OG0000148	Pram.g_00826	Syaf.g_02028
OG0000149	Pram.g_00858	Syaf.g_01371
OG0000150	Pram.g_00868	Syaf.g_02645
OG0000151	Pram.g_00744	Syaf.g_02091
OG0000152	Pram.g_00943	Syaf.g_01861
OG0000153	Pram.g_00961	Syaf.g_01904
OG0000154	Pram.g_00978	Syaf.g_01930
OG0000155	Pram.g_01118	Syaf.g_01324
OG0000156	Pram.g_01219	Syaf.g_01270
OG0000157	Pram.g_01220	Syaf.g_01269
OG0000158	Pram.g_01815	Syaf.g_00364
OG0000159	Pram.g_00045	Syaf.g_00311
OG0000160	Pram.g_01377	Syaf.g_02418
OG0000161	Pram.g_01145, Pram.g_01371	Syaf.g_02424
OG0000162	Pram.g_01365	Syaf.g_02431
OG0000163	Pram.g_01326	Syaf.g_01105
OG0000164	Pram.g_01656	Syaf.g_00999
OG0000165	Pram.g_01664	Syaf.g_01197
OG0000166	Pram.g_01733	Syaf.g_00133
OG0000167	Pram.g_01805	Syaf.g_00350
OG0000168	Pram.g_01816	Syaf.g_00365
OG0000169	Pram.g_01826	Syaf.g_00376
OG0000170	Pram.g_01829	Syaf.g_00383
OG0000171	Pram.g_01849	Syaf.g_00413
OG0000172	Pram.g_01856	Syaf.g_00419
OG0000173	Pram.g_01871	Syaf.g_00438
OG0000174	Pram.g_01902	Syaf.g_00603
OG0000175	Pram.g_01914	Syaf.g_00531
OG0000176	Pram.g_01942	Syaf.g_00494
OG0000177	Pram.g_01943	Syaf.g_00493
OG0000178	Pram.g_01944	Syaf.g_00492
OG0000179	Pram.g_00003	Syaf.g_00477
OG0000180	Pram.g_00004	Syaf.g_00476
OG0000181	Pram.g_00005	Syaf.g_00475
OG0000182	Pram.g_00006	Syaf.g_00474
OG0000183	Pram.g_00010	Syaf.g_00470
OG0000184	Pram.g_00033	Syaf.g_00664
OG0000185	Pram.g_00036	Syaf.g_00684
OG0000186	Pram.g_00048	Syaf.g_00968
OG0000187	Pram.g_00049	Syaf.g_00966
OG0000188	Pram.g_00066	Syaf.g_00944
OG0000189	Pram.g_00080	Syaf.g_00916
OG0000190	Pram.g_00081	Syaf.g_00914
OG0000191	Pram.g_00103	Syaf.g_00877
OG0000192	Pram.g_00108	Syaf.g_00871
OG0000193	Pram.g_00131	Syaf.g_00832
OG0000194	Pram.g_00134	Syaf.g_00829
OG0000195	Pram.g_00136	Syaf.g_00827
OG0000196	Pram.g_00146	Syaf.g_00816
OG0000197	Pram.g_00147	Syaf.g_00815
OG0000198	Pram.g_00148	Syaf.g_00814
OG0000199	Pram.g_00155	Syaf.g_00806
OG0000200	Pram.g_00168	Syaf.g_00789
OG0000201	Pram.g_00177	Syaf.g_00771
OG0000202	Pram.g_00178	Syaf.g_00770
OG0000203	Pram.g_00179	Syaf.g_00769
OG0000204	Pram.g_00180	Syaf.g_00768
OG0000205	Pram.g_00187	Syaf.g_00761
OG0000206	Pram.g_00192	Syaf.g_00736
OG0000207	Pram.g_00194	Syaf.g_00735
OG0000208	Pram.g_00195	Syaf.g_00734
OG0000209	Pram.g_00204	Syaf.g_00714
OG0000210	Pram.g_00205	Syaf.g_00713
OG0000211	Pram.g_00220	Syaf.g_02791
OG0000212	Pram.g_00228	Syaf.g_02781
OG0000213	Pram.g_00246	Syaf.g_00210
OG0000214	Pram.g_00255	Syaf.g_00226
OG0000215	Pram.g_00282	Syaf.g_00258
OG0000216	Pram.g_00283	Syaf.g_00262
OG0000217	Pram.g_00286	Syaf.g_00266
OG0000218	Pram.g_00288	Syaf.g_00268
OG0000219	Pram.g_00289	Syaf.g_00269
OG0000220	Pram.g_00290	Syaf.g_00270
OG0000221	Pram.g_00291	Syaf.g_02597, Syaf.g_00273
OG0000222	Pram.g_00298	Syaf.g_00287
OG0000223	Pram.g_00311	Syaf.g_00317
OG0000224	Pram.g_00313	Syaf.g_00324
OG0000225	Pram.g_00341	Syaf.g_00007
OG0000226	Pram.g_00345	Syaf.g_00003
OG0000227	Pram.g_00347	Syaf.g_00001
OG0000228	Pram.g_00351	Syaf.g_02808
OG0000229	Pram.g_00371	Syaf.g_01214
OG0000230	Pram.g_00373	Syaf.g_01216
OG0000231	Pram.g_00384	Syaf.g_01236
OG0000232	Pram.g_00397	Syaf.g_02536
OG0000233	Pram.g_00402	Syaf.g_02528
OG0000234	Pram.g_00412	Syaf.g_02497
OG0000235	Pram.g_00415	Syaf.g_02722
OG0000236	Pram.g_00429	Syaf.g_02707
OG0000237	Pram.g_00443	Syaf.g_02690
OG0000238	Pram.g_00449	Syaf.g_02685
OG0000239	Pram.g_00462	Syaf.g_02669
OG0000240	Pram.g_00463	Syaf.g_02668
OG0000241	Pram.g_00468	Syaf.g_02322
OG0000242	Pram.g_00470	Syaf.g_02656
OG0000243	Pram.g_00480	Syaf.g_02634
OG0000244	Pram.g_00483	Syaf.g_02627
OG0000245	Pram.g_00485	Syaf.g_02625
OG0000246	Pram.g_00489	Syaf.g_02621
OG0000247	Pram.g_00500	Syaf.g_02610
OG0000248	Pram.g_00503	Syaf.g_02607
OG0000249	Pram.g_00505	Syaf.g_02605
OG0000250	Pram.g_00510	Syaf.g_02593
OG0000251	Pram.g_00528	Syaf.g_02568
OG0000252	Pram.g_00531	Syaf.g_02565
OG0000253	Pram.g_00532	Syaf.g_02564
OG0000254	Pram.g_00549	Syaf.g_02371
OG0000255	Pram.g_00555	Syaf.g_02352
OG0000256	Pram.g_00566	Syaf.g_02329
OG0000257	Pram.g_01080	Syaf.g_02323
OG0000258	Pram.g_01067	Syaf.g_02301
OG0000259	Pram.g_01050	Syaf.g_02137
OG0000260	Pram.g_01047	Syaf.g_02134
OG0000261	Pram.g_01044	Syaf.g_02131
OG0000262	Pram.g_01039	Syaf.g_02126
OG0000263	Pram.g_00771	Syaf.g_01585
OG0000264	Pram.g_00782	Syaf.g_01473
OG0000265	Pram.g_00801	Syaf.g_01196
OG0000266	Pram.g_01020	Syaf.g_01967
OG0000267	Pram.g_01007	Syaf.g_01787
OG0000268	Pram.g_01006	Syaf.g_00307, Syaf.g_01788
OG0000269	Pram.g_00804	Syaf.g_02054
OG0000270	Pram.g_00807	Syaf.g_02051
OG0000271	Pram.g_00815	Syaf.g_02043
OG0000272	Pram.g_00816	Syaf.g_02042
OG0000273	Pram.g_00839	Syaf.g_01392
OG0000274	Pram.g_00840	Syaf.g_01391
OG0000275	Pram.g_00843	Syaf.g_01386
OG0000276	Pram.g_00849	Syaf.g_01379
OG0000277	Pram.g_00850	Syaf.g_01378
OG0000278	Pram.g_00853	Syaf.g_01375
OG0000279	Pram.g_00861	Syaf.g_01367
OG0000280	Pram.g_00862	Syaf.g_01337
OG0000281	Pram.g_00870	Syaf.g_01636
OG0000282	Pram.g_00736	Syaf.g_02101
OG0000283	Pram.g_00916	Syaf.g_01804
OG0000284	Pram.g_00921	Syaf.g_01810
OG0000285	Pram.g_00926	Syaf.g_01842
OG0000286	Pram.g_00942	Syaf.g_01860
OG0000287	Pram.g_01199	Syaf.g_01896
OG0000288	Pram.g_00977	Syaf.g_01929
OG0000289	Pram.g_00992	Syaf.g_01943
OG0000290	Pram.g_00891	Syaf.g_01439
OG0000291	Pram.g_00889	Syaf.g_01441
OG0000292	Pram.g_01185	Syaf.g_00505
OG0000293	Pram.g_01150	Syaf.g_01277
OG0000294	Pram.g_01149	Syaf.g_01278
OG0000295	Pram.g_01125	Syaf.g_01316
OG0000296	Pram.g_01123	Syaf.g_01318
OG0000297	Pram.g_01114	Syaf.g_01607
OG0000298	Pram.g_01113	Syaf.g_01606
OG0000299	Pram.g_01094	Syaf.g_01578
OG0000300	Pram.g_01091	Syaf.g_01571
OG0000301	Pram.g_01090	Syaf.g_01570
OG0000302	Pram.g_01088	Syaf.g_01568
OG0000303	Pram.g_01082	Syaf.g_01559
OG0000304	Pram.g_00571	Syaf.g_01551
OG0000305	Pram.g_01183	Syaf.g_01444
OG0000306	Pram.g_00874	Syaf.g_01332
OG0000307	Pram.g_01458	Syaf.g_02742
OG0000308	Pram.g_01457	Syaf.g_02744
OG0000309	Pram.g_01453	Syaf.g_02749
OG0000310	Pram.g_01395	Syaf.g_02387
OG0000311	Pram.g_01393	Syaf.g_02391
OG0000312	Pram.g_01390	Syaf.g_02397
OG0000313	Pram.g_01374	Syaf.g_02421
OG0000314	Pram.g_01351	Syaf.g_02458
OG0000315	Pram.g_01341	Syaf.g_02468
OG0000316	Pram.g_01315	Syaf.g_01088
OG0000317	Pram.g_01629	Syaf.g_01040
OG0000318	Pram.g_01633	Syaf.g_01032
OG0000319	Pram.g_01646	Syaf.g_01015
OG0000320	Pram.g_01648	Syaf.g_01013
OG0000321	Pram.g_01649	Syaf.g_01012
OG0000322	Pram.g_01650	Syaf.g_01011
OG0000323	Pram.g_01659	Syaf.g_00997
OG0000324	Pram.g_01687	Syaf.g_01164
OG0000325	Pram.g_01697	Syaf.g_00176
OG0000326	Pram.g_01704	Syaf.g_00169
OG0000327	Pram.g_01728	Syaf.g_00138
OG0000328	Pram.g_01729	Syaf.g_00137
OG0000329	Pram.g_01746	Syaf.g_00119
OG0000330	Pram.g_01747	Syaf.g_00118
OG0000331	Pram.g_01748	Syaf.g_00117
OG0000332	Pram.g_01762	Syaf.g_00102
OG0000333	Pram.g_01764	Syaf.g_00099
OG0000334	Pram.g_01773	Syaf.g_00090
OG0000335	Pram.g_01778	Syaf.g_00085
OG0000336	Pram.g_01782	Syaf.g_00081
OG0000337	Pram.g_01801	Syaf.g_00344
OG0000338	Pram.g_01802	Syaf.g_00348
OG0000339	Pram.g_01808	Syaf.g_00355
OG0000340	Pram.g_01817	Syaf.g_00366
OG0000341	Pram.g_01819	Syaf.g_00368
OG0000342	Pram.g_01820	Syaf.g_00369
OG0000343	Pram.g_01821	Syaf.g_00370
OG0000344	Pram.g_01824	Syaf.g_00374
OG0000345	Pram.g_01830	Syaf.g_00384
OG0000346	Pram.g_01834	Syaf.g_00389
OG0000347	Pram.g_01851	Syaf.g_00415
OG0000348	Pram.g_01859	Syaf.g_00427
OG0000349	Pram.g_01877	Syaf.g_00445
OG0000350	Pram.g_01898	Syaf.g_00162
OG0000351	Pram.g_01917	Syaf.g_00528
OG0000352	Pram.g_01918	Syaf.g_00527
OG0000353	Pram.g_01937	Syaf.g_00499
OG0000355	Pram.g_01939	Syaf.g_00497
OG0000356	Pram.g_01940	Syaf.g_00496
OG0000357	Pram.g_01941	Syaf.g_00495
OG0000358	Pram.g_01945	Syaf.g_00491
OG0000359	Pram.g_01946	Syaf.g_00489
OG0000360	Pram.g_01947	Syaf.g_00488
OG0000361	Pram.g_01948	Syaf.g_00487
OG0000362	Pram.g_01950	Syaf.g_00485
OG0000363	Pram.g_00001	Syaf.g_00483
OG0000364	Pram.g_00002	Syaf.g_00482
OG0000365	Pram.g_00007	Syaf.g_00473
OG0000366	Pram.g_00008	Syaf.g_00472
OG0000367	Pram.g_00009	Syaf.g_00471
OG0000368	Pram.g_00011	Syaf.g_00469
OG0000369	Pram.g_00012	Syaf.g_00468
OG0000370	Pram.g_00013	Syaf.g_00467
OG0000371	Pram.g_00019	Syaf.g_00458
OG0000372	Pram.g_00021	Syaf.g_00453
OG0000373	Pram.g_00022	Syaf.g_00452
OG0000374	Pram.g_00023	Syaf.g_00451
OG0000375	Pram.g_00024	Syaf.g_00449
OG0000376	Pram.g_00026	Syaf.g_00447
OG0000377	Pram.g_00030	Syaf.g_00654
OG0000378	Pram.g_00034	Syaf.g_00668
OG0000379	Pram.g_00037	Syaf.g_00686
OG0000380	Pram.g_00050	Syaf.g_00965
OG0000381	Pram.g_00055	Syaf.g_00962
OG0000382	Pram.g_00065	Syaf.g_00945
OG0000383	Pram.g_00067	Syaf.g_00941
OG0000384	Pram.g_00068	Syaf.g_00940
OG0000385	Pram.g_00069	Syaf.g_00939
OG0000386	Pram.g_00070	Syaf.g_00938
OG0000387	Pram.g_00083	Syaf.g_00912
OG0000388	Pram.g_00087	Syaf.g_00908
OG0000389	Pram.g_00090	Syaf.g_00904
OG0000390	Pram.g_00099	Syaf.g_00883
OG0000391	Pram.g_00102	Syaf.g_00878
OG0000392	Pram.g_00106	Syaf.g_00872
OG0000393	Pram.g_00109	Syaf.g_00870
OG0000394	Pram.g_00110	Syaf.g_00869
OG0000395	Pram.g_00111	Syaf.g_00868
OG0000396	Pram.g_00113	Syaf.g_00865
OG0000397	Pram.g_00115	Syaf.g_00863
OG0000398	Pram.g_00118	Syaf.g_00858
OG0000399	Pram.g_00119	Syaf.g_00857
OG0000400	Pram.g_00120	Syaf.g_00856
OG0000401	Pram.g_00121	Syaf.g_00855
OG0000402	Pram.g_01001	Syaf.g_00852
OG0000403	Pram.g_00123	Syaf.g_00851
OG0000404	Pram.g_00124	Syaf.g_00850
OG0000405	Pram.g_00128	Syaf.g_00835
OG0000406	Pram.g_00132	Syaf.g_00831
OG0000407	Pram.g_00133	Syaf.g_00830
OG0000408	Pram.g_00135	Syaf.g_00828
OG0000409	Pram.g_00137	Syaf.g_00826
OG0000410	Pram.g_00138	Syaf.g_00825
OG0000411	Pram.g_00139	Syaf.g_00824
OG0000412	Pram.g_00140	Syaf.g_00823
OG0000413	Pram.g_00141	Syaf.g_00821
OG0000414	Pram.g_00142	Syaf.g_00820
OG0000415	Pram.g_00143	Syaf.g_00819
OG0000416	Pram.g_00144	Syaf.g_00818
OG0000417	Pram.g_00145	Syaf.g_00817
OG0000418	Pram.g_00150	Syaf.g_00812
OG0000419	Pram.g_00152	Syaf.g_00810
OG0000420	Pram.g_00153	Syaf.g_00808
OG0000421	Pram.g_00157	Syaf.g_00803
OG0000422	Pram.g_00158	Syaf.g_00802
OG0000423	Pram.g_00159	Syaf.g_00801
OG0000424	Pram.g_00160	Syaf.g_00800
OG0000425	Pram.g_00161	Syaf.g_00799
OG0000426	Pram.g_00162	Syaf.g_00798
OG0000427	Pram.g_00163	Syaf.g_00797
OG0000428	Pram.g_00165	Syaf.g_00794
OG0000429	Pram.g_00166	Syaf.g_00792
OG0000430	Pram.g_00167	Syaf.g_00790
OG0000431	Pram.g_00169	Syaf.g_00786
OG0000432	Pram.g_00173	Syaf.g_00779
OG0000433	Pram.g_00174	Syaf.g_00777
OG0000434	Pram.g_00175	Syaf.g_00776
OG0000435	Pram.g_00176	Syaf.g_00772
OG0000436	Pram.g_00181	Syaf.g_00767
OG0000437	Pram.g_00182	Syaf.g_00766
OG0000438	Pram.g_00183	Syaf.g_00765
OG0000439	Pram.g_00185	Syaf.g_00763
OG0000440	Pram.g_00186	Syaf.g_00762
OG0000441	Pram.g_00189	Syaf.g_00756
OG0000442	Pram.g_00190	Syaf.g_00743
OG0000443	Pram.g_00191	Syaf.g_00739
OG0000444	Pram.g_00196	Syaf.g_00733
OG0000445	Pram.g_00197	Syaf.g_00729
OG0000446	Pram.g_00198	Syaf.g_00728
OG0000447	Pram.g_00199	Syaf.g_00725
OG0000448	Pram.g_00200	Syaf.g_00724
OG0000449	Pram.g_00201	Syaf.g_00723
OG0000450	Pram.g_00202	Syaf.g_00717
OG0000451	Pram.g_00203	Syaf.g_00716
OG0000452	Pram.g_00206	Syaf.g_00712
OG0000453	Pram.g_00207	Syaf.g_00711
OG0000454	Pram.g_00208	Syaf.g_00710
OG0000455	Pram.g_00209	Syaf.g_00709
OG0000456	Pram.g_00210	Syaf.g_00708
OG0000457	Pram.g_00212	Syaf.g_00706
OG0000458	Pram.g_00213	Syaf.g_00705
OG0000459	Pram.g_00214	Syaf.g_00704
OG0000460	Pram.g_00222	Syaf.g_02789
OG0000461	Pram.g_00230	Syaf.g_00183
OG0000462	Pram.g_00232	Syaf.g_00186
OG0000463	Pram.g_00233	Syaf.g_00187
OG0000464	Pram.g_00234	Syaf.g_00188
OG0000465	Pram.g_00235	Syaf.g_00190
OG0000466	Pram.g_00238	Syaf.g_00194
OG0000467	Pram.g_00239	Syaf.g_00196
OG0000468	Pram.g_00242	Syaf.g_00206
OG0000469	Pram.g_00250	Syaf.g_00220
OG0000470	Pram.g_00252	Syaf.g_00222
OG0000471	Pram.g_00253	Syaf.g_00223
OG0000472	Pram.g_00254	Syaf.g_00225
OG0000473	Pram.g_00256	Syaf.g_00227
OG0000474	Pram.g_00257	Syaf.g_00228
OG0000475	Pram.g_00258	Syaf.g_00229
OG0000476	Pram.g_00260	Syaf.g_00231
OG0000477	Pram.g_00263	Syaf.g_00237
OG0000478	Pram.g_00264	Syaf.g_00238
OG0000479	Pram.g_00265	Syaf.g_00239
OG0000480	Pram.g_00270	Syaf.g_00247
OG0000481	Pram.g_00273	Syaf.g_00249
OG0000482	Pram.g_00274	Syaf.g_00250
OG0000483	Pram.g_00277	Syaf.g_00254
OG0000484	Pram.g_00278	Syaf.g_00255
OG0000485	Pram.g_00280	Syaf.g_00256
OG0000486	Pram.g_00281	Syaf.g_00257
OG0000487	Pram.g_00284	Syaf.g_00263
OG0000488	Pram.g_00287	Syaf.g_00267
OG0000489	Pram.g_00292	Syaf.g_00274
OG0000490	Pram.g_00296	Syaf.g_00284
OG0000491	Pram.g_00297	Syaf.g_00285
OG0000492	Pram.g_00299	Syaf.g_00288
OG0000493	Pram.g_00300	Syaf.g_00289
OG0000494	Pram.g_00301	Syaf.g_00290
OG0000495	Pram.g_00302	Syaf.g_00291
OG0000496	Pram.g_00303	Syaf.g_00292
OG0000497	Pram.g_00304	Syaf.g_00293
OG0000498	Pram.g_00305	Syaf.g_00294
OG0000499	Pram.g_00306	Syaf.g_00295
OG0000500	Pram.g_00307	Syaf.g_00296
OG0000501	Pram.g_00309	Syaf.g_00299
OG0000502	Pram.g_00312	Syaf.g_00319
OG0000503	Pram.g_00328	Syaf.g_00023
OG0000504	Pram.g_00330	Syaf.g_00021
OG0000505	Pram.g_00331	Syaf.g_00020
OG0000506	Pram.g_00332	Syaf.g_00018
OG0000507	Pram.g_00336	Syaf.g_00012
OG0000508	Pram.g_00340	Syaf.g_00008
OG0000509	Pram.g_00342	Syaf.g_00006
OG0000510	Pram.g_00343	Syaf.g_00005
OG0000511	Pram.g_00344	Syaf.g_00004
OG0000512	Pram.g_00346	Syaf.g_00002
OG0000513	Pram.g_00355	Syaf.g_02803
OG0000514	Pram.g_00366	Syaf.g_02796
OG0000515	Pram.g_00367	Syaf.g_02795
OG0000516	Pram.g_00368	Syaf.g_01219
OG0000517	Pram.g_00370	Syaf.g_01213
OG0000518	Pram.g_00381	Syaf.g_01230
OG0000519	Pram.g_00382	Syaf.g_01231
OG0000520	Pram.g_00383	Syaf.g_01235
OG0000521	Pram.g_00393	Syaf.g_02542
OG0000522	Pram.g_00395	Syaf.g_02538
OG0000523	Pram.g_00396	Syaf.g_02537
OG0000524	Pram.g_00400	Syaf.g_02531
OG0000525	Pram.g_00404	Syaf.g_02507
OG0000526	Pram.g_00406	Syaf.g_02504
OG0000527	Pram.g_00409	Syaf.g_02500
OG0000528	Pram.g_00414	Syaf.g_02728
OG0000529	Pram.g_00417	Syaf.g_02720
OG0000530	Pram.g_00420	Syaf.g_02717
OG0000531	Pram.g_00421	Syaf.g_02716
OG0000532	Pram.g_00423	Syaf.g_02713
OG0000533	Pram.g_00424	Syaf.g_02712
OG0000534	Pram.g_00425	Syaf.g_02711
OG0000535	Pram.g_00426	Syaf.g_02710
OG0000536	Pram.g_00427	Syaf.g_02709
OG0000537	Pram.g_00428	Syaf.g_02708
OG0000538	Pram.g_00438	Syaf.g_02697
OG0000539	Pram.g_00439	Syaf.g_02696
OG0000540	Pram.g_00440	Syaf.g_02695
OG0000541	Pram.g_00441	Syaf.g_02694
OG0000542	Pram.g_00442	Syaf.g_02691
OG0000543	Pram.g_00444	Syaf.g_02689
OG0000544	Pram.g_00445	Syaf.g_02688
OG0000545	Pram.g_00447	Syaf.g_02686
OG0000546	Pram.g_00450	Syaf.g_02684
OG0000547	Pram.g_00452	Syaf.g_02682
OG0000548	Pram.g_00453	Syaf.g_02681
OG0000549	Pram.g_00456	Syaf.g_02676
OG0000550	Pram.g_00461	Syaf.g_02671
OG0000551	Pram.g_00464	Syaf.g_02666
OG0000552	Pram.g_00465	Syaf.g_02665
OG0000553	Pram.g_00466	Syaf.g_02663
OG0000554	Pram.g_00472	Syaf.g_02653
OG0000555	Pram.g_00479	Syaf.g_02635
OG0000556	Pram.g_00481	Syaf.g_02630
OG0000557	Pram.g_00482	Syaf.g_02628
OG0000558	Pram.g_00484	Syaf.g_02626
OG0000559	Pram.g_00488	Syaf.g_02622
OG0000560	Pram.g_00491	Syaf.g_02619
OG0000561	Pram.g_00492	Syaf.g_02618
OG0000562	Pram.g_00493	Syaf.g_02617
OG0000563	Pram.g_00494	Syaf.g_02616
