Orthogroup	Pram	Syai
OG0000050	Pram.g_00576	Syai.g_01893
OG0000052	Pram.g_00040	Syai.g_00176
OG0000053	Pram.g_01357, Pram.g_01580	Syai.g_00930
OG0000054	Pram.g_00544	Syai.g_01040
OG0000057	Pram.g_00792	Syai.g_01997
OG0000059	Pram.g_01719	Syai.g_00351
OG0000061	Pram.g_01140	Syai.g_02144
OG0000062	Pram.g_01293	Syai.g_02358
OG0000063	Pram.g_01258	Syai.g_00042
OG0000064	Pram.g_00052	Syai.g_02350, Syai.g_02844, Syai.g_01162, Syai.g_01163, Syai.g_01668
OG0000066	Pram.g_01558	Syai.g_01709, Syai.g_00719
OG0000067	Pram.g_00809	Syai.g_01321
OG0000068	Pram.g_01468	Syai.g_00628
OG0000070	Pram.g_00385	Syai.g_02196
OG0000071	Pram.g_01230	Syai.g_02179
OG0000072	Pram.g_00156	Syai.g_02636
OG0000073	Pram.g_00437	Syai.g_00659
OG0000075	Pram.g_01807	Syai.g_00161
OG0000076	Pram.g_01833	Syai.g_00111
OG0000077	Pram.g_00063	Syai.g_02486
OG0000078	Pram.g_00227	Syai.g_00543
OG0000079	Pram.g_00240	Syai.g_00300
OG0000081	Pram.g_00469	Syai.g_00553, Syai.g_02292
OG0000082	Pram.g_01559	Syai.g_00781
OG0000084	Pram.g_01384	Syai.g_01196, Syai.g_00958
OG0000085	Pram.g_01265	Syai.g_02365
OG0000086	Pram.g_00072	Syai.g_02507
OG0000087	Pram.g_00125	Syai.g_02592
OG0000088	Pram.g_00151	Syai.g_02630
OG0000089	Pram.g_00352	Syai.g_00517
OG0000090	Pram.g_00471	Syai.g_00707
OG0000091	Pram.g_01068	Syai.g_01112
OG0000092	Pram.g_00739	Syai.g_01358
OG0000093	Pram.g_01038	Syai.g_01306
OG0000094	Pram.g_00987	Syai.g_01424
OG0000095	Pram.g_00888	Syai.g_02007
OG0000097	Pram.g_01093	Syai.g_01787
OG0000098	Pram.g_01478	Syai.g_01718
OG0000099	Pram.g_01445	Syai.g_00199
OG0000100	Pram.g_01298	Syai.g_01372
OG0000101	Pram.g_01770	Syai.g_00404
OG0000102	Pram.g_01838	Syai.g_00106
OG0000103	Pram.g_01925	Syai.g_02912
OG0000104	Pram.g_01934	Syai.g_02929
OG0000105	Pram.g_00262	Syai.g_00267
OG0000106	Pram.g_00677	Syai.g_01601
OG0000107	Pram.g_01696	Syai.g_00319
OG0000108	Pram.g_00416	Syai.g_00638
OG0000109	Pram.g_00430	Syai.g_00653
OG0000110	Pram.g_00513	Syai.g_00878, Syai.g_00766
OG0000111	Pram.g_00793	Syai.g_00884, Syai.g_01998
OG0000112	Pram.g_00935	Syai.g_01512
OG0000113	Pram.g_00832	Syai.g_01367
OG0000114	Pram.g_00734	Syai.g_01261
OG0000115	Pram.g_01201	Syai.g_00932
OG0000116	Pram.g_01151	Syai.g_02156
OG0000117	Pram.g_01112	Syai.g_01756
OG0000118	Pram.g_01242	Syai.g_00818
OG0000119	Pram.g_01283	Syai.g_02127
OG0000120	Pram.g_01446	Syai.g_00198
OG0000121	Pram.g_01376	Syai.g_00951
OG0000122	Pram.g_01204, Pram.g_01334	Syai.g_01143
OG0000123	Pram.g_01777	Syai.g_00411
OG0000124	Pram.g_01850	Syai.g_00089
OG0000125	Pram.g_01886	Syai.g_02782
OG0000126	Pram.g_01933	Syai.g_02927
OG0000127	Pram.g_00611	Syai.g_01872, Syai.g_01906, Syai.g_01855, Syai.g_02459
OG0000128	Pram.g_01949	Syai.g_00012
OG0000129	Pram.g_00029	Syai.g_02771
OG0000130	Pram.g_00054	Syai.g_02474
OG0000131	Pram.g_00130	Syai.g_02608
OG0000132	Pram.g_00149	Syai.g_02628
OG0000133	Pram.g_00310	Syai.g_01507
OG0000134	Pram.g_00354	Syai.g_00520
OG0000135	Pram.g_01589	Syai.g_02826
OG0000136	Pram.g_00376	Syai.g_02217
OG0000137	Pram.g_00411	Syai.g_00865
OG0000138	Pram.g_00431	Syai.g_00654
OG0000139	Pram.g_00475	Syai.g_00714
OG0000140	Pram.g_00476	Syai.g_00716
OG0000141	Pram.g_00545	Syai.g_01041
OG0000142	Pram.g_01075	Syai.g_01104
OG0000143	Pram.g_01072	Syai.g_01108
OG0000144	Pram.g_01058	Syai.g_01608
OG0000145	Pram.g_01534	Syai.g_00660
OG0000146	Pram.g_00934	Syai.g_01513
OG0000147	Pram.g_00933	Syai.g_01514
OG0000148	Pram.g_00826	Syai.g_01361
OG0000149	Pram.g_00858	Syai.g_02059
OG0000150	Pram.g_00868	Syai.g_00717
OG0000151	Pram.g_00744	Syai.g_01280
OG0000152	Pram.g_00943	Syai.g_01503
OG0000153	Pram.g_00961	Syai.g_01461
OG0000154	Pram.g_00978	Syai.g_01434
OG0000155	Pram.g_01118	Syai.g_02109
OG0000156	Pram.g_01219	Syai.g_02162
OG0000157	Pram.g_01220	Syai.g_02163
OG0000158	Pram.g_01815	Syai.g_00135
OG0000160	Pram.g_01377	Syai.g_00952
OG0000161	Pram.g_01145, Pram.g_01371	Syai.g_00946
OG0000162	Pram.g_01365	Syai.g_00939
OG0000163	Pram.g_01326	Syai.g_02300
OG0000164	Pram.g_01656	Syai.g_02411
OG0000165	Pram.g_01664	Syai.g_02244
OG0000166	Pram.g_01733	Syai.g_00364
OG0000167	Pram.g_01805	Syai.g_00164
OG0000168	Pram.g_01816	Syai.g_00134
OG0000169	Pram.g_01826	Syai.g_00123
OG0000170	Pram.g_01829	Syai.g_00116
OG0000171	Pram.g_01849	Syai.g_00090
OG0000172	Pram.g_01856	Syai.g_00083
OG0000173	Pram.g_01871	Syai.g_00064
OG0000174	Pram.g_01902	Syai.g_02828
OG0000175	Pram.g_01914	Syai.g_02901
OG0000176	Pram.g_01942	Syai.g_00004
OG0000177	Pram.g_01943	Syai.g_00005
OG0000178	Pram.g_01944	Syai.g_00006
OG0000179	Pram.g_00003	Syai.g_00023
OG0000180	Pram.g_00004	Syai.g_00024
OG0000181	Pram.g_00005	Syai.g_00025
OG0000182	Pram.g_00006	Syai.g_00026
OG0000183	Pram.g_00010	Syai.g_00030
OG0000184	Pram.g_00033	Syai.g_02756
OG0000185	Pram.g_00036	Syai.g_02734
OG0000186	Pram.g_00048	Syai.g_02469
OG0000187	Pram.g_00049	Syai.g_02471
OG0000188	Pram.g_00066	Syai.g_00696, Syai.g_02494
OG0000189	Pram.g_00080	Syai.g_02530
OG0000190	Pram.g_00081	Syai.g_02532
OG0000191	Pram.g_00103	Syai.g_02562
OG0000192	Pram.g_00108	Syai.g_02569
OG0000193	Pram.g_00131	Syai.g_02609
OG0000194	Pram.g_00134	Syai.g_02612
OG0000195	Pram.g_00136	Syai.g_02614
OG0000196	Pram.g_00146	Syai.g_02625
OG0000197	Pram.g_00147	Syai.g_02626
OG0000198	Pram.g_00148	Syai.g_02627
OG0000199	Pram.g_00155	Syai.g_02635
OG0000200	Pram.g_00168	Syai.g_02651
OG0000201	Pram.g_00177	Syai.g_02667
OG0000202	Pram.g_00178	Syai.g_02668
OG0000203	Pram.g_00179	Syai.g_02669
OG0000204	Pram.g_00180	Syai.g_02670
OG0000205	Pram.g_00187	Syai.g_02677
OG0000206	Pram.g_00192	Syai.g_02684
OG0000207	Pram.g_00194	Syai.g_02686
OG0000208	Pram.g_00195	Syai.g_02687
OG0000209	Pram.g_00204	Syai.g_02699
OG0000210	Pram.g_00205	Syai.g_02700
OG0000211	Pram.g_00220	Syai.g_00533
OG0000212	Pram.g_00228	Syai.g_00544
OG0000213	Pram.g_00246	Syai.g_00292
OG0000214	Pram.g_00255	Syai.g_00276
OG0000215	Pram.g_00282	Syai.g_00245
OG0000216	Pram.g_00283	Syai.g_00241
OG0000217	Pram.g_00286	Syai.g_00237
OG0000218	Pram.g_00288	Syai.g_00235
OG0000219	Pram.g_00289	Syai.g_00234
OG0000220	Pram.g_00290	Syai.g_00233
OG0000221	Pram.g_00291	Syai.g_00227
OG0000222	Pram.g_00298	Syai.g_00215
OG0000223	Pram.g_00311	Syai.g_00194
OG0000224	Pram.g_00313	Syai.g_00186
OG0000225	Pram.g_00341	Syai.g_00502
OG0000226	Pram.g_00345	Syai.g_00506
OG0000227	Pram.g_00347	Syai.g_00508
OG0000228	Pram.g_00351	Syai.g_00516
OG0000229	Pram.g_00371	Syai.g_02228
OG0000230	Pram.g_00373	Syai.g_02226
OG0000231	Pram.g_00384	Syai.g_02208
OG0000232	Pram.g_00397	Syai.g_00846
OG0000233	Pram.g_00402	Syai.g_00855
OG0000234	Pram.g_00412	Syai.g_00866
OG0000235	Pram.g_00415	Syai.g_00637
OG0000236	Pram.g_00429	Syai.g_00652
OG0000237	Pram.g_00443	Syai.g_00669
OG0000238	Pram.g_00449	Syai.g_00674
OG0000239	Pram.g_00462	Syai.g_00691
OG0000240	Pram.g_00463	Syai.g_00692
OG0000241	Pram.g_00468	Syai.g_01085, Syai.g_01089
OG0000242	Pram.g_00470	Syai.g_00705
OG0000243	Pram.g_00480	Syai.g_00726
OG0000244	Pram.g_00483	Syai.g_00731
OG0000245	Pram.g_00485	Syai.g_00733
OG0000246	Pram.g_00489	Syai.g_00737
OG0000247	Pram.g_00500	Syai.g_00748
OG0000248	Pram.g_00503	Syai.g_00751
OG0000249	Pram.g_00505	Syai.g_00753
OG0000250	Pram.g_00510	Syai.g_00762
OG0000251	Pram.g_00528	Syai.g_00789
OG0000252	Pram.g_00531	Syai.g_00797
OG0000253	Pram.g_00532	Syai.g_00798
OG0000254	Pram.g_00549	Syai.g_01045
OG0000255	Pram.g_00555	Syai.g_01061
OG0000256	Pram.g_00566	Syai.g_01077
OG0000257	Pram.g_01080	Syai.g_01084
OG0000258	Pram.g_01067	Syai.g_01113
OG0000259	Pram.g_01050	Syai.g_01229
OG0000260	Pram.g_01047	Syai.g_01232
OG0000261	Pram.g_01044	Syai.g_01235
OG0000262	Pram.g_01039	Syai.g_01240
OG0000263	Pram.g_00771	Syai.g_01776
OG0000264	Pram.g_00782	Syai.g_01962
OG0000265	Pram.g_00801	Syai.g_02245
OG0000266	Pram.g_01020	Syai.g_01401
OG0000267	Pram.g_01007	Syai.g_01569
OG0000268	Pram.g_01006	Syai.g_01568
OG0000269	Pram.g_00804	Syai.g_01316
OG0000270	Pram.g_00807	Syai.g_01319
OG0000271	Pram.g_00815	Syai.g_01327
OG0000272	Pram.g_00816	Syai.g_01328
OG0000273	Pram.g_00839	Syai.g_02037
OG0000274	Pram.g_00840	Syai.g_02038
OG0000275	Pram.g_00843	Syai.g_02043
OG0000276	Pram.g_00849	Syai.g_02051
OG0000277	Pram.g_00850	Syai.g_02052
OG0000278	Pram.g_00853	Syai.g_02055
OG0000279	Pram.g_00861	Syai.g_02063
OG0000280	Pram.g_00862	Syai.g_02084
OG0000281	Pram.g_00870	Syai.g_01719
OG0000282	Pram.g_00736	Syai.g_01263
OG0000283	Pram.g_00916	Syai.g_01554
OG0000284	Pram.g_00921	Syai.g_01548
OG0000285	Pram.g_00926	Syai.g_01522
OG0000286	Pram.g_00942	Syai.g_01504
OG0000287	Pram.g_01199	Syai.g_01469
OG0000288	Pram.g_00977	Syai.g_01435
OG0000289	Pram.g_00992	Syai.g_01421
OG0000290	Pram.g_00891	Syai.g_02010
OG0000291	Pram.g_00889	Syai.g_02008
OG0000292	Pram.g_01185	Syai.g_02926
OG0000293	Pram.g_01150	Syai.g_02155
OG0000294	Pram.g_01149	Syai.g_02154
OG0000295	Pram.g_01125	Syai.g_02117
OG0000296	Pram.g_01123	Syai.g_02115
OG0000297	Pram.g_01114	Syai.g_01754
OG0000298	Pram.g_01113	Syai.g_01755
OG0000299	Pram.g_01094	Syai.g_01783
OG0000300	Pram.g_01091	Syai.g_01790
OG0000301	Pram.g_01090	Syai.g_01791
OG0000302	Pram.g_01088	Syai.g_01793
OG0000303	Pram.g_01082	Syai.g_01802
OG0000304	Pram.g_00571	Syai.g_01826
OG0000305	Pram.g_01183	Syai.g_02005
OG0000306	Pram.g_00874	Syai.g_02090
OG0000307	Pram.g_01458	Syai.g_00619
OG0000308	Pram.g_01457	Syai.g_00617
OG0000309	Pram.g_01453	Syai.g_00612
OG0000310	Pram.g_01395	Syai.g_00989
OG0000311	Pram.g_01393	Syai.g_00985
OG0000312	Pram.g_01390	Syai.g_00966
OG0000313	Pram.g_01374	Syai.g_00949
OG0000314	Pram.g_01351	Syai.g_00908
OG0000315	Pram.g_01341	Syai.g_00897
OG0000316	Pram.g_01315	Syai.g_02320, Syai.g_02322
OG0000317	Pram.g_01629	Syai.g_02373
OG0000318	Pram.g_01633	Syai.g_02379
OG0000319	Pram.g_01646	Syai.g_02395
OG0000320	Pram.g_01648	Syai.g_02397
OG0000321	Pram.g_01649	Syai.g_02398
OG0000322	Pram.g_01650	Syai.g_02399
OG0000323	Pram.g_01659	Syai.g_02413
OG0000324	Pram.g_01687	Syai.g_02272
OG0000325	Pram.g_01697	Syai.g_00320
OG0000326	Pram.g_01704	Syai.g_00327
OG0000327	Pram.g_01728	Syai.g_00359
OG0000328	Pram.g_01729	Syai.g_00360
OG0000329	Pram.g_01746	Syai.g_00378
OG0000330	Pram.g_01747	Syai.g_00379
OG0000331	Pram.g_01748	Syai.g_00380
OG0000332	Pram.g_01762	Syai.g_00395
OG0000333	Pram.g_01764	Syai.g_00398
OG0000334	Pram.g_01773	Syai.g_00407
OG0000335	Pram.g_01778	Syai.g_00412
OG0000336	Pram.g_01782	Syai.g_00416
OG0000337	Pram.g_01801	Syai.g_00169
OG0000338	Pram.g_01802	Syai.g_00166
OG0000339	Pram.g_01808	Syai.g_00160
OG0000340	Pram.g_01817	Syai.g_00133
OG0000341	Pram.g_01819	Syai.g_00131
OG0000342	Pram.g_01820	Syai.g_00130
OG0000343	Pram.g_01821	Syai.g_00129
OG0000344	Pram.g_01824	Syai.g_00125
OG0000345	Pram.g_01830	Syai.g_00115
OG0000346	Pram.g_01834	Syai.g_00110
OG0000347	Pram.g_01851	Syai.g_00087
OG0000348	Pram.g_01859	Syai.g_00076
OG0000349	Pram.g_01877	Syai.g_00057
OG0000350	Pram.g_01898	Syai.g_00334
OG0000351	Pram.g_01917	Syai.g_02904
OG0000352	Pram.g_01918	Syai.g_02905
OG0000353	Pram.g_01937	Syai.g_02932
OG0000355	Pram.g_01939	Syai.g_00001
OG0000356	Pram.g_01940	Syai.g_00002
OG0000357	Pram.g_01941	Syai.g_00003
OG0000358	Pram.g_01945	Syai.g_00007
OG0000359	Pram.g_01946	Syai.g_00009
OG0000360	Pram.g_01947	Syai.g_00010
OG0000361	Pram.g_01948	Syai.g_00011
OG0000362	Pram.g_01950	Syai.g_00013
OG0000363	Pram.g_00001	Syai.g_00015
OG0000364	Pram.g_00002	Syai.g_00016
OG0000365	Pram.g_00007	Syai.g_00027
OG0000366	Pram.g_00008	Syai.g_00028
OG0000367	Pram.g_00009	Syai.g_00029
OG0000368	Pram.g_00011	Syai.g_00031
OG0000369	Pram.g_00012	Syai.g_00032
OG0000370	Pram.g_00013	Syai.g_00033
OG0000371	Pram.g_00019	Syai.g_00041
OG0000372	Pram.g_00021	Syai.g_00047
OG0000373	Pram.g_00022	Syai.g_00048
OG0000374	Pram.g_00023	Syai.g_00049
OG0000375	Pram.g_00024	Syai.g_00053
OG0000376	Pram.g_00026	Syai.g_00055
OG0000377	Pram.g_00030	Syai.g_02769
OG0000378	Pram.g_00034	Syai.g_02751
OG0000379	Pram.g_00037	Syai.g_02733
OG0000380	Pram.g_00050	Syai.g_02472
OG0000381	Pram.g_00055	Syai.g_02475
OG0000382	Pram.g_00065	Syai.g_02493
OG0000383	Pram.g_00067	Syai.g_02498
OG0000384	Pram.g_00068	Syai.g_02499
OG0000385	Pram.g_00069	Syai.g_02500
OG0000386	Pram.g_00070	Syai.g_02501
OG0000387	Pram.g_00083	Syai.g_02534
OG0000388	Pram.g_00087	Syai.g_02538
OG0000389	Pram.g_00090	Syai.g_02542
OG0000390	Pram.g_00099	Syai.g_02556
OG0000391	Pram.g_00102	Syai.g_02561
OG0000392	Pram.g_00106	Syai.g_02568
OG0000393	Pram.g_00109	Syai.g_02570
OG0000394	Pram.g_00110	Syai.g_02571
OG0000395	Pram.g_00111	Syai.g_02572
OG0000396	Pram.g_00113	Syai.g_02575
OG0000397	Pram.g_00115	Syai.g_02577
OG0000398	Pram.g_00118	Syai.g_02582
OG0000399	Pram.g_00119	Syai.g_02583
OG0000400	Pram.g_00120	Syai.g_02584
OG0000401	Pram.g_00121	Syai.g_02585
OG0000402	Pram.g_01001	Syai.g_02588
OG0000403	Pram.g_00123	Syai.g_02589
OG0000404	Pram.g_00124	Syai.g_02590
OG0000405	Pram.g_00128	Syai.g_02606
OG0000406	Pram.g_00132	Syai.g_02610
OG0000407	Pram.g_00133	Syai.g_02611
OG0000408	Pram.g_00135	Syai.g_02613
OG0000409	Pram.g_00137	Syai.g_02615
OG0000410	Pram.g_00138	Syai.g_02616
OG0000411	Pram.g_00139	Syai.g_02617
OG0000412	Pram.g_00140	Syai.g_02618
OG0000413	Pram.g_00141	Syai.g_02620
OG0000414	Pram.g_00142	Syai.g_02621
OG0000415	Pram.g_00143	Syai.g_02622
OG0000416	Pram.g_00144	Syai.g_02623
OG0000417	Pram.g_00145	Syai.g_02624
OG0000418	Pram.g_00150	Syai.g_02629
OG0000419	Pram.g_00152	Syai.g_02631
OG0000420	Pram.g_00153	Syai.g_02633
OG0000421	Pram.g_00157	Syai.g_02638
OG0000422	Pram.g_00158	Syai.g_02639
OG0000423	Pram.g_00159	Syai.g_02640
OG0000424	Pram.g_00160	Syai.g_02641
OG0000425	Pram.g_00161	Syai.g_02642
OG0000426	Pram.g_00162	Syai.g_02643
OG0000427	Pram.g_00163	Syai.g_02644
OG0000428	Pram.g_00165	Syai.g_02647
OG0000429	Pram.g_00166	Syai.g_02649
OG0000430	Pram.g_00167	Syai.g_02650
OG0000431	Pram.g_00169	Syai.g_02654
OG0000432	Pram.g_00173	Syai.g_02660
OG0000433	Pram.g_00174	Syai.g_02662
OG0000434	Pram.g_00175	Syai.g_02663
OG0000435	Pram.g_00176	Syai.g_02666
OG0000436	Pram.g_00181	Syai.g_02671
OG0000437	Pram.g_00182	Syai.g_02672
OG0000438	Pram.g_00183	Syai.g_02673
OG0000439	Pram.g_00185	Syai.g_02675
OG0000440	Pram.g_00186	Syai.g_02676
OG0000441	Pram.g_00189	Syai.g_02681
OG0000442	Pram.g_00190	Syai.g_02682
OG0000443	Pram.g_00191	Syai.g_02683
OG0000444	Pram.g_00196	Syai.g_02688
OG0000445	Pram.g_00197	Syai.g_02689
OG0000446	Pram.g_00198	Syai.g_02690
OG0000447	Pram.g_00199	Syai.g_02693
OG0000448	Pram.g_00200	Syai.g_02694
OG0000449	Pram.g_00201	Syai.g_02695
OG0000450	Pram.g_00202	Syai.g_02696
OG0000451	Pram.g_00203	Syai.g_02697
OG0000452	Pram.g_00206	Syai.g_02701
OG0000453	Pram.g_00207	Syai.g_02702
OG0000454	Pram.g_00208	Syai.g_02703
OG0000455	Pram.g_00209	Syai.g_02704
OG0000456	Pram.g_00210	Syai.g_02705
OG0000457	Pram.g_00212	Syai.g_02707
OG0000458	Pram.g_00213	Syai.g_02708
OG0000459	Pram.g_00214	Syai.g_02709
OG0000460	Pram.g_00222	Syai.g_00535
OG0000461	Pram.g_00230	Syai.g_00314
OG0000462	Pram.g_00232	Syai.g_00311
OG0000463	Pram.g_00233	Syai.g_00310
OG0000464	Pram.g_00234	Syai.g_00309
OG0000465	Pram.g_00235	Syai.g_00307
OG0000466	Pram.g_00238	Syai.g_00303
OG0000467	Pram.g_00239	Syai.g_00301
OG0000468	Pram.g_00242	Syai.g_00296
OG0000469	Pram.g_00250	Syai.g_00282
OG0000470	Pram.g_00252	Syai.g_00280
OG0000471	Pram.g_00253	Syai.g_00279
OG0000472	Pram.g_00254	Syai.g_00277
OG0000473	Pram.g_00256	Syai.g_00275
OG0000474	Pram.g_00257	Syai.g_00274
OG0000475	Pram.g_00258	Syai.g_00273
OG0000476	Pram.g_00260	Syai.g_00271
OG0000477	Pram.g_00263	Syai.g_00265
OG0000478	Pram.g_00264	Syai.g_00264
OG0000479	Pram.g_00265	Syai.g_00263
OG0000480	Pram.g_00270	Syai.g_00256
OG0000481	Pram.g_00273	Syai.g_00254
OG0000482	Pram.g_00274	Syai.g_00253
OG0000483	Pram.g_00277	Syai.g_00249
OG0000484	Pram.g_00278	Syai.g_00248
OG0000485	Pram.g_00280	Syai.g_00247
OG0000486	Pram.g_00281	Syai.g_00246
OG0000487	Pram.g_00284	Syai.g_00240
OG0000488	Pram.g_00287	Syai.g_00236
OG0000489	Pram.g_00292	Syai.g_00226
OG0000490	Pram.g_00296	Syai.g_00218
OG0000491	Pram.g_00297	Syai.g_00217
OG0000492	Pram.g_00299	Syai.g_00214
OG0000493	Pram.g_00300	Syai.g_00213
OG0000494	Pram.g_00301	Syai.g_00212
OG0000495	Pram.g_00302	Syai.g_00211
OG0000496	Pram.g_00303	Syai.g_00210
OG0000497	Pram.g_00304	Syai.g_00209
OG0000498	Pram.g_00305	Syai.g_00208
OG0000499	Pram.g_00306	Syai.g_00207
OG0000500	Pram.g_00307	Syai.g_00206
OG0000501	Pram.g_00309	Syai.g_00203
OG0000502	Pram.g_00312	Syai.g_00192
OG0000503	Pram.g_00328	Syai.g_00486
OG0000504	Pram.g_00330	Syai.g_00488
OG0000505	Pram.g_00331	Syai.g_00489
OG0000506	Pram.g_00332	Syai.g_00491
OG0000507	Pram.g_00336	Syai.g_00497
OG0000508	Pram.g_00340	Syai.g_00501
OG0000509	Pram.g_00342	Syai.g_00503
OG0000510	Pram.g_00343	Syai.g_00504
OG0000511	Pram.g_00344	Syai.g_00505
OG0000512	Pram.g_00346	Syai.g_00507
OG0000513	Pram.g_00355	Syai.g_00521
OG0000514	Pram.g_00366	Syai.g_00528
OG0000515	Pram.g_00367	Syai.g_00529
OG0000516	Pram.g_00368	Syai.g_02223
OG0000517	Pram.g_00370	Syai.g_02229
OG0000518	Pram.g_00381	Syai.g_02211
OG0000519	Pram.g_00382	Syai.g_02210
OG0000520	Pram.g_00383	Syai.g_02209
OG0000521	Pram.g_00393	Syai.g_00842
OG0000522	Pram.g_00395	Syai.g_00844
OG0000523	Pram.g_00396	Syai.g_00845
OG0000524	Pram.g_00400	Syai.g_00852
OG0000525	Pram.g_00404	Syai.g_00856
OG0000526	Pram.g_00406	Syai.g_00859
OG0000527	Pram.g_00409	Syai.g_00863
OG0000528	Pram.g_00414	Syai.g_00633
OG0000529	Pram.g_00417	Syai.g_00639
OG0000530	Pram.g_00420	Syai.g_00642
OG0000531	Pram.g_00421	Syai.g_00643
OG0000532	Pram.g_00423	Syai.g_00646
OG0000533	Pram.g_00424	Syai.g_00647
OG0000534	Pram.g_00425	Syai.g_00648
OG0000535	Pram.g_00426	Syai.g_00649
OG0000536	Pram.g_00427	Syai.g_00650
OG0000537	Pram.g_00428	Syai.g_00651
OG0000538	Pram.g_00438	Syai.g_00662
OG0000539	Pram.g_00439	Syai.g_00663
OG0000540	Pram.g_00440	Syai.g_00664
OG0000541	Pram.g_00441	Syai.g_00665
OG0000542	Pram.g_00442	Syai.g_00668
OG0000543	Pram.g_00444	Syai.g_00670
OG0000544	Pram.g_00445	Syai.g_00671
OG0000545	Pram.g_00447	Syai.g_00673
OG0000546	Pram.g_00450	Syai.g_00675
OG0000547	Pram.g_00452	Syai.g_00677
OG0000548	Pram.g_00453	Syai.g_00678
OG0000549	Pram.g_00456	Syai.g_00684
OG0000550	Pram.g_00461	Syai.g_00689
OG0000551	Pram.g_00464	Syai.g_00694
OG0000552	Pram.g_00465	Syai.g_00695
OG0000553	Pram.g_00466	Syai.g_00698
OG0000554	Pram.g_00472	Syai.g_00708
OG0000555	Pram.g_00479	Syai.g_00725
OG0000556	Pram.g_00481	Syai.g_00728
OG0000557	Pram.g_00482	Syai.g_00730
OG0000558	Pram.g_00484	Syai.g_00732
OG0000559	Pram.g_00488	Syai.g_00736
OG0000560	Pram.g_00491	Syai.g_00739
OG0000561	Pram.g_00492	Syai.g_00740
OG0000562	Pram.g_00493	Syai.g_00741
OG0000563	Pram.g_00494	Syai.g_00742
OG0000564	Pram.g_00495	Syai.g_00743
OG0000565	Pram.g_00498	Syai.g_00746
OG0000566	Pram.g_00502	Syai.g_00750
OG0000567	Pram.g_00506	Syai.g_00754
OG0000568	Pram.g_00507	Syai.g_00758
OG0000569	Pram.g_00508	Syai.g_00759
OG0000570	Pram.g_00509	Syai.g_00760
OG0000571	Pram.g_00511	Syai.g_00764
OG0000572	Pram.g_00523	Syai.g_00782
OG0000573	Pram.g_00529	Syai.g_00790
OG0000574	Pram.g_00530	Syai.g_00796
OG0000575	Pram.g_00534	Syai.g_00800
