Orthogroup	Prap	Syae
OG0000068	Prap.g_00059	Syae.g_02299
OG0000069	Prap.g_01312	Syae.g_00458
OG0000070	Prap.g_01316	Syae.g_00979
OG0000071	Prap.g_00561	Syae.g_00961
OG0000072	Prap.g_00999	Syae.g_01455
OG0000073	Prap.g_01267	Syae.g_02330
OG0000074	Prap.g_00021	Syae.g_00719
OG0000075	Prap.g_01606	Syae.g_01871
OG0000076	Prap.g_01580	Syae.g_01829
OG0000077	Prap.g_01099	Syae.g_01297
OG0000078	Prap.g_01472	Syae.g_02243
OG0000079	Prap.g_01459	Syae.g_02011
OG0000081	Prap.g_01238	Syae.g_02261
OG0000082	Prap.g_01183, Prap.g_01790	Syae.g_02447
OG0000084	Prap.g_00118	Syae.g_00857, Syae.g_02656
OG0000085	Prap.g_01917, Prap.g_01787	Syae.g_01152
OG0000086	Prap.g_01090	Syae.g_01333
OG0000087	Prap.g_01035	Syae.g_01414
OG0000088	Prap.g_01004	Syae.g_01449
OG0000089	Prap.g_01349	Syae.g_02219
OG0000090	Prap.g_01236	Syae.g_02374
OG0000091	Prap.g_00384	Syae.g_00082
OG0000093	Prap.g_00355	Syae.g_00537
OG0000094	Prap.g_00306	Syae.g_00430
OG0000095	Prap.g_00708	Syae.g_00793, Syae.g_00259
OG0000097	Prap.g_00410	Syae.g_00683
OG0000098	Prap.g_01928	Syae.g_02384, Syae.g_02058
OG0000099	Prap.g_00082	Syae.g_01913, Syae.g_01226
OG0000100	Prap.g_00200	Syae.g_00489
OG0000101	Prap.g_01642	Syae.g_02125
OG0000102	Prap.g_01575	Syae.g_01824
OG0000103	Prap.g_01491	Syae.g_01694
OG0000104	Prap.g_01869	Syae.g_01708
OG0000105	Prap.g_01436	Syae.g_01977
OG0000106	Prap.g_00591	Syae.g_00272
OG0000107	Prap.g_01714	Syae.g_02032
OG0000108	Prap.g_01287	Syae.g_02309
OG0000109	Prap.g_01273	Syae.g_02324
OG0000110	Prap.g_01194	Syae.g_02435
OG0000111	Prap.g_00798	Syae.g_00783
OG0000112	Prap.g_01121	Syae.g_00351
OG0000113	Prap.g_00760	Syae.g_00494
OG0000114	Prap.g_00858	Syae.g_00575
OG0000115	Prap.g_00525	Syae.g_02631
OG0000116	Prap.g_00467	Syae.g_00939
OG0000117	Prap.g_00429	Syae.g_00647
OG0000118	Prap.g_00574	Syae.g_02479
OG0000119	Prap.g_00510, Prap.g_00218	Syae.g_00904
OG0000120	Prap.g_00079	Syae.g_01912
OG0000121	Prap.g_00123	Syae.g_02649
OG0000122	Prap.g_00532, Prap.g_00164	Syae.g_00112
OG0000123	Prap.g_01635	Syae.g_02131
OG0000124	Prap.g_01563	Syae.g_01809
OG0000125	Prap.g_01528	Syae.g_01573
OG0000126	Prap.g_01870	Syae.g_01706
OG0000128	Prap.g_00043	Syae.g_01724
OG0000129	Prap.g_00910	Syae.g_01562
OG0000130	Prap.g_00881	Syae.g_01284
OG0000131	Prap.g_01026	Syae.g_01428
OG0000132	Prap.g_01006	Syae.g_01447
OG0000133	Prap.g_01389	Syae.g_00356
OG0000134	Prap.g_01347	Syae.g_02222
OG0000135	Prap.g_00543	Syae.g_01608
OG0000136	Prap.g_01325	Syae.g_00989
OG0000137	Prap.g_01292	Syae.g_02530
OG0000138	Prap.g_01272	Syae.g_02325
OG0000139	Prap.g_01232	Syae.g_02380
OG0000140	Prap.g_01231	Syae.g_02383
OG0000141	Prap.g_01160	Syae.g_00016
OG0000142	Prap.g_00392	Syae.g_00074
OG0000143	Prap.g_00388	Syae.g_00078
OG0000144	Prap.g_00374	Syae.g_00261
OG0000145	Prap.g_00545	Syae.g_02331
OG0000146	Prap.g_01122	Syae.g_00350
OG0000147	Prap.g_01123	Syae.g_00349
OG0000148	Prap.g_00766	Syae.g_00500
OG0000149	Prap.g_00734	Syae.g_00847
OG0000150	Prap.g_00724	Syae.g_00017
OG0000151	Prap.g_00848	Syae.g_00563
OG0000152	Prap.g_00257	Syae.g_00360
OG0000153	Prap.g_00276	Syae.g_00394
OG0000154	Prap.g_00296	Syae.g_00420
OG0000155	Prap.g_00435	Syae.g_00885
OG0000156	Prap.g_00550	Syae.g_00945
OG0000157	Prap.g_00551	Syae.g_00946
OG0000158	Prap.g_01598	Syae.g_01858
OG0000160	Prap.g_00122	Syae.g_02650
OG0000161	Prap.g_00128	Syae.g_02644
OG0000162	Prap.g_00134	Syae.g_02638
OG0000163	Prap.g_00173	Syae.g_01092
OG0000164	Prap.g_01754	Syae.g_01198
OG0000165	Prap.g_01747	Syae.g_01021
OG0000166	Prap.g_01680	Syae.g_02085
OG0000167	Prap.g_01608	Syae.g_01874
OG0000168	Prap.g_01597	Syae.g_01856
OG0000169	Prap.g_01587	Syae.g_01841
OG0000170	Prap.g_01584	Syae.g_01834
OG0000171	Prap.g_01564	Syae.g_01810
OG0000172	Prap.g_01557	Syae.g_01788
OG0000173	Prap.g_01542	Syae.g_01770
OG0000174	Prap.g_01513	Syae.g_01610
OG0000175	Prap.g_01500	Syae.g_01679
OG0000176	Prap.g_00050	Syae.g_01716
OG0000177	Prap.g_00049	Syae.g_01717
OG0000178	Prap.g_00048	Syae.g_01718
OG0000179	Prap.g_00939	Syae.g_01733
OG0000180	Prap.g_00938	Syae.g_01734
OG0000181	Prap.g_00937	Syae.g_01735
OG0000182	Prap.g_00936	Syae.g_01736
OG0000183	Prap.g_00932	Syae.g_01740
OG0000184	Prap.g_00906	Syae.g_01554
OG0000185	Prap.g_00903	Syae.g_01551
OG0000186	Prap.g_00887	Syae.g_01279
OG0000187	Prap.g_00886	Syae.g_01280
OG0000188	Prap.g_01096	Syae.g_01323
OG0000189	Prap.g_01082	Syae.g_01350
OG0000190	Prap.g_01080	Syae.g_01352
OG0000191	Prap.g_01057	Syae.g_01384
OG0000192	Prap.g_01052	Syae.g_01390
OG0000193	Prap.g_01025	Syae.g_01429
OG0000194	Prap.g_01022	Syae.g_01432
OG0000195	Prap.g_01020	Syae.g_01434
OG0000196	Prap.g_01009	Syae.g_01444
OG0000197	Prap.g_01008	Syae.g_01445
OG0000198	Prap.g_01007	Syae.g_01446
OG0000199	Prap.g_01000	Syae.g_01454
OG0000200	Prap.g_00986	Syae.g_01471
OG0000201	Prap.g_00977	Syae.g_01487
OG0000202	Prap.g_00976	Syae.g_01488
OG0000203	Prap.g_00975	Syae.g_01489
OG0000204	Prap.g_00974	Syae.g_01490
OG0000205	Prap.g_00967	Syae.g_01497
OG0000206	Prap.g_00962	Syae.g_01504
OG0000207	Prap.g_00959	Syae.g_01506
OG0000208	Prap.g_00958	Syae.g_01507
OG0000209	Prap.g_00949	Syae.g_01528
OG0000210	Prap.g_00948	Syae.g_01529
OG0000211	Prap.g_01479	Syae.g_02234
OG0000212	Prap.g_01471	Syae.g_02244
OG0000213	Prap.g_01453	Syae.g_02003
OG0000214	Prap.g_01443	Syae.g_01986
OG0000215	Prap.g_01416	Syae.g_01955
OG0000216	Prap.g_01415	Syae.g_01951
OG0000217	Prap.g_01412	Syae.g_01947
OG0000218	Prap.g_01410	Syae.g_01945
OG0000219	Prap.g_01409	Syae.g_01944
OG0000220	Prap.g_01408	Syae.g_01943
OG0000221	Prap.g_01407	Syae.g_01937
OG0000222	Prap.g_01400	Syae.g_01926
OG0000223	Prap.g_01388	Syae.g_01904
OG0000224	Prap.g_01386	Syae.g_01897
OG0000225	Prap.g_01360	Syae.g_02208
OG0000226	Prap.g_01356	Syae.g_02212
OG0000227	Prap.g_01354	Syae.g_02214
OG0000228	Prap.g_01350	Syae.g_02218
OG0000229	Prap.g_01330	Syae.g_00994
OG0000230	Prap.g_01328	Syae.g_00992
OG0000231	Prap.g_01317	Syae.g_00980
OG0000232	Prap.g_01306	Syae.g_02496
OG0000233	Prap.g_01300	Syae.g_02504
OG0000234	Prap.g_01291	Syae.g_02532
OG0000235	Prap.g_01288	Syae.g_02308
OG0000236	Prap.g_01274	Syae.g_02323
OG0000237	Prap.g_01261	Syae.g_02340
OG0000238	Prap.g_01255	Syae.g_02345
OG0000239	Prap.g_01244	Syae.g_02360
OG0000240	Prap.g_01243	Syae.g_02361
OG0000241	Prap.g_01239	Syae.g_00065
OG0000242	Prap.g_01237	Syae.g_02372
OG0000243	Prap.g_01226	Syae.g_02391
OG0000244	Prap.g_01223	Syae.g_02399
OG0000245	Prap.g_01221	Syae.g_02401
OG0000246	Prap.g_01217	Syae.g_02405
OG0000247	Prap.g_01207	Syae.g_02416
OG0000248	Prap.g_01204	Syae.g_02419
OG0000249	Prap.g_01202	Syae.g_02421
OG0000250	Prap.g_01197	Syae.g_02431
OG0000251	Prap.g_01177	Syae.g_02455
OG0000252	Prap.g_01174	Syae.g_02458
OG0000253	Prap.g_01173	Syae.g_02459
OG0000254	Prap.g_01156	Syae.g_00021
OG0000255	Prap.g_01150	Syae.g_00041
OG0000256	Prap.g_01140	Syae.g_00058
OG0000257	Prap.g_00397	Syae.g_00064
OG0000258	Prap.g_00383	Syae.g_00083
OG0000259	Prap.g_00366	Syae.g_00608
OG0000260	Prap.g_00363	Syae.g_00603
OG0000261	Prap.g_00360	Syae.g_00600
OG0000262	Prap.g_00356	Syae.g_00595
OG0000263	Prap.g_00820	Syae.g_00671
OG0000264	Prap.g_00809	Syae.g_00761
OG0000265	Prap.g_00791	Syae.g_00932, Syae.g_00226
OG0000266	Prap.g_00337	Syae.g_00457
OG0000267	Prap.g_00325	Syae.g_00304
OG0000268	Prap.g_00324	Syae.g_00308
OG0000269	Prap.g_00788	Syae.g_00526
OG0000270	Prap.g_00785	Syae.g_00523
OG0000271	Prap.g_00777	Syae.g_00515
OG0000272	Prap.g_00776	Syae.g_00514
OG0000273	Prap.g_00752	Syae.g_00825
OG0000274	Prap.g_00751	Syae.g_00826
OG0000275	Prap.g_00748	Syae.g_00832
OG0000276	Prap.g_00742	Syae.g_00839
OG0000277	Prap.g_00741	Syae.g_00840
OG0000278	Prap.g_00738	Syae.g_00843
OG0000279	Prap.g_00731	Syae.g_00851
OG0000280	Prap.g_00730	Syae.g_00877
OG0000281	Prap.g_00723	Syae.g_02057
OG0000282	Prap.g_00856	Syae.g_00573
OG0000283	Prap.g_00680	Syae.g_00321
OG0000284	Prap.g_00675	Syae.g_00327
OG0000285	Prap.g_00243	Syae.g_00340
OG0000286	Prap.g_00256	Syae.g_00359
OG0000287	Prap.g_00522	Syae.g_00387
OG0000288	Prap.g_00295	Syae.g_00419
OG0000289	Prap.g_00311	Syae.g_00433
OG0000290	Prap.g_00705	Syae.g_00796
OG0000291	Prap.g_00707	Syae.g_00794
OG0000292	Prap.g_00501	Syae.g_01705
OG0000293	Prap.g_00466	Syae.g_00938
OG0000294	Prap.g_00465	Syae.g_00937
OG0000295	Prap.g_00442	Syae.g_00893
OG0000296	Prap.g_00440	Syae.g_00891
OG0000297	Prap.g_00431	Syae.g_00645
OG0000298	Prap.g_00430	Syae.g_00646
OG0000299	Prap.g_00411	Syae.g_00680
OG0000300	Prap.g_00408	Syae.g_00686
OG0000301	Prap.g_00407	Syae.g_00687
OG0000302	Prap.g_00405	Syae.g_00691
OG0000303	Prap.g_00399	Syae.g_00700
OG0000304	Prap.g_01135	Syae.g_00706
OG0000305	Prap.g_00499	Syae.g_00791
OG0000306	Prap.g_00719	Syae.g_00277
OG0000307	Prap.g_00068	Syae.g_02290
OG0000308	Prap.g_00069	Syae.g_02288
OG0000309	Prap.g_00073	Syae.g_02283
OG0000310	Prap.g_00107	Syae.g_02687
OG0000311	Prap.g_00109	Syae.g_02682
OG0000312	Prap.g_00112	Syae.g_02664
OG0000313	Prap.g_00125	Syae.g_02647
OG0000314	Prap.g_00148	Syae.g_02618
OG0000315	Prap.g_00158	Syae.g_02609
OG0000316	Prap.g_00183	Syae.g_01118
OG0000317	Prap.g_01782	Syae.g_01160
OG0000318	Prap.g_01778	Syae.g_01164
OG0000319	Prap.g_01765	Syae.g_01181
OG0000320	Prap.g_01763	Syae.g_01183
OG0000321	Prap.g_01762	Syae.g_01184
OG0000322	Prap.g_01761	Syae.g_01185
OG0000323	Prap.g_01751	Syae.g_01200
OG0000324	Prap.g_01724	Syae.g_01049
OG0000325	Prap.g_01713	Syae.g_02033
OG0000326	Prap.g_01706	Syae.g_02040
OG0000327	Prap.g_01685	Syae.g_02080
OG0000328	Prap.g_01684	Syae.g_02081
OG0000329	Prap.g_01667	Syae.g_02099
OG0000330	Prap.g_01666	Syae.g_02100
OG0000331	Prap.g_01665	Syae.g_02101
OG0000332	Prap.g_01651	Syae.g_02116
OG0000333	Prap.g_01648, Prap.g_01649	Syae.g_02119
OG0000334	Prap.g_01639	Syae.g_02128
OG0000335	Prap.g_01634	Syae.g_02132
OG0000336	Prap.g_01630	Syae.g_02136
OG0000337	Prap.g_01612	Syae.g_01879
OG0000338	Prap.g_01611	Syae.g_01876
OG0000339	Prap.g_01605	Syae.g_01869
OG0000340	Prap.g_01596	Syae.g_01855
OG0000341	Prap.g_01594	Syae.g_01853
OG0000342	Prap.g_01593	Syae.g_01852
OG0000343	Prap.g_01592	Syae.g_01848
OG0000344	Prap.g_01589	Syae.g_01843
OG0000345	Prap.g_01583	Syae.g_01833
OG0000346	Prap.g_01579	Syae.g_01828
OG0000347	Prap.g_01562	Syae.g_01805
OG0000348	Prap.g_01554	Syae.g_01781
OG0000349	Prap.g_01537	Syae.g_01763
OG0000350	Prap.g_00623	Syae.g_02047
OG0000351	Prap.g_01497	Syae.g_01684
OG0000352	Prap.g_01496	Syae.g_01685
OG0000353	Prap.g_00055	Syae.g_01711
OG0000355	Prap.g_00053	Syae.g_01713
OG0000356	Prap.g_00052	Syae.g_01714
OG0000357	Prap.g_00051	Syae.g_01715
OG0000358	Prap.g_00047	Syae.g_01719
OG0000359	Prap.g_00046	Syae.g_01721
OG0000360	Prap.g_00045	Syae.g_01722
OG0000361	Prap.g_00044	Syae.g_01723
OG0000362	Prap.g_00042	Syae.g_01725
OG0000363	Prap.g_00941	Syae.g_01727
OG0000364	Prap.g_00940	Syae.g_01728
OG0000365	Prap.g_00935	Syae.g_01737
OG0000366	Prap.g_00934	Syae.g_01738
OG0000367	Prap.g_00933	Syae.g_01739
OG0000368	Prap.g_00931	Syae.g_01741
OG0000369	Prap.g_00930	Syae.g_01742
OG0000370	Prap.g_00929	Syae.g_01743
OG0000371	Prap.g_00922	Syae.g_01751
OG0000372	Prap.g_00919	Syae.g_01756
OG0000373	Prap.g_00918	Syae.g_01757
OG0000374	Prap.g_00917	Syae.g_01758
OG0000375	Prap.g_00915	Syae.g_01759
OG0000376	Prap.g_00913	Syae.g_01761
OG0000377	Prap.g_00909	Syae.g_01561
OG0000378	Prap.g_00905	Syae.g_01553
OG0000379	Prap.g_00902	Syae.g_01550
OG0000380	Prap.g_00885	Syae.g_01281
OG0000381	Prap.g_00880	Syae.g_01285
OG0000382	Prap.g_01097	Syae.g_01322
OG0000383	Prap.g_01095	Syae.g_01324
OG0000384	Prap.g_01094	Syae.g_01325
OG0000385	Prap.g_01093	Syae.g_01326
OG0000386	Prap.g_01092	Syae.g_01327
OG0000387	Prap.g_01078	Syae.g_01354
OG0000388	Prap.g_01074	Syae.g_01358
OG0000389	Prap.g_01071	Syae.g_01362
OG0000390	Prap.g_01061	Syae.g_01378
OG0000391	Prap.g_01058	Syae.g_01383
OG0000392	Prap.g_01054	Syae.g_01389
OG0000393	Prap.g_01051	Syae.g_01392
OG0000394	Prap.g_01050	Syae.g_01393
OG0000395	Prap.g_01049	Syae.g_01394
OG0000396	Prap.g_01047	Syae.g_01397
OG0000397	Prap.g_01045	Syae.g_01400
OG0000398	Prap.g_01042	Syae.g_01405
OG0000399	Prap.g_01041	Syae.g_01406
OG0000400	Prap.g_01040	Syae.g_01407
OG0000401	Prap.g_01039	Syae.g_01408
OG0000402	Prap.g_00319	Syae.g_01410
OG0000403	Prap.g_01037	Syae.g_01411
OG0000404	Prap.g_01036	Syae.g_01412
OG0000405	Prap.g_01032	Syae.g_01426
OG0000406	Prap.g_01024	Syae.g_01430
OG0000407	Prap.g_01023	Syae.g_01431
OG0000408	Prap.g_01021	Syae.g_01433
OG0000409	Prap.g_01019	Syae.g_01435
OG0000410	Prap.g_01018	Syae.g_01436
OG0000411	Prap.g_01017	Syae.g_01437
OG0000412	Prap.g_01016	Syae.g_01438
OG0000413	Prap.g_01014	Syae.g_01440
OG0000415	Prap.g_01012	Syae.g_01441
OG0000416	Prap.g_01011	Syae.g_01442
OG0000417	Prap.g_01010	Syae.g_01443
OG0000418	Prap.g_01005	Syae.g_01448
OG0000419	Prap.g_01003	Syae.g_01450
OG0000420	Prap.g_01002	Syae.g_01452
OG0000421	Prap.g_00997	Syae.g_01457
OG0000422	Prap.g_00996	Syae.g_01458
OG0000423	Prap.g_00995	Syae.g_01459
OG0000424	Prap.g_00994	Syae.g_01460
OG0000425	Prap.g_00993	Syae.g_01461
OG0000426	Prap.g_00992	Syae.g_01462
OG0000427	Prap.g_00991	Syae.g_01463
OG0000428	Prap.g_00989	Syae.g_01466
OG0000429	Prap.g_00988	Syae.g_01468
OG0000430	Prap.g_00987	Syae.g_01470
OG0000431	Prap.g_00985	Syae.g_01473
OG0000432	Prap.g_00981	Syae.g_01481
OG0000433	Prap.g_00980	Syae.g_01484
OG0000434	Prap.g_00979	Syae.g_01485
OG0000435	Prap.g_00978	Syae.g_01486
OG0000436	Prap.g_00973	Syae.g_01491
OG0000437	Prap.g_00972	Syae.g_01492
OG0000438	Prap.g_00971	Syae.g_01493
OG0000439	Prap.g_00969	Syae.g_01495
OG0000440	Prap.g_00968	Syae.g_01496
OG0000441	Prap.g_00965	Syae.g_01501
OG0000442	Prap.g_00964	Syae.g_01502
OG0000443	Prap.g_00963	Syae.g_01503
OG0000444	Prap.g_00957	Syae.g_01509
OG0000445	Prap.g_00956	Syae.g_01510
OG0000446	Prap.g_00955	Syae.g_01512
OG0000447	Prap.g_00954	Syae.g_01517
OG0000448	Prap.g_00953	Syae.g_01518
OG0000449	Prap.g_00952	Syae.g_01519
OG0000450	Prap.g_00951	Syae.g_01525
OG0000451	Prap.g_00950	Syae.g_01526
OG0000452	Prap.g_00947	Syae.g_01530
OG0000453	Prap.g_00946	Syae.g_01531
OG0000454	Prap.g_00945	Syae.g_01532
OG0000455	Prap.g_00944	Syae.g_01533
OG0000456	Prap.g_00943	Syae.g_01534
OG0000457	Prap.g_01487	Syae.g_01536
OG0000458	Prap.g_01486	Syae.g_01538
OG0000459	Prap.g_01485	Syae.g_01539
OG0000460	Prap.g_01477	Syae.g_02236
OG0000461	Prap.g_01469	Syae.g_02024
OG0000462	Prap.g_01467	Syae.g_02021
OG0000463	Prap.g_01466	Syae.g_02020
OG0000464	Prap.g_01465	Syae.g_02019
OG0000465	Prap.g_01464	Syae.g_02018
OG0000466	Prap.g_01461	Syae.g_02014
OG0000467	Prap.g_01460	Syae.g_02012
OG0000468	Prap.g_01457	Syae.g_02007
OG0000469	Prap.g_01449	Syae.g_01992
OG0000470	Prap.g_01447	Syae.g_01990
OG0000471	Prap.g_01446	Syae.g_01989
OG0000472	Prap.g_01444	Syae.g_01987
OG0000473	Prap.g_01442	Syae.g_01985
OG0000474	Prap.g_01441	Syae.g_01984
OG0000475	Prap.g_01440	Syae.g_01983
OG0000476	Prap.g_01438	Syae.g_01981
OG0000477	Prap.g_01435	Syae.g_01975
OG0000478	Prap.g_01434	Syae.g_01974
OG0000479	Prap.g_01433	Syae.g_01973
OG0000480	Prap.g_01428	Syae.g_01966
OG0000481	Prap.g_01425	Syae.g_01964
OG0000482	Prap.g_01424	Syae.g_01963
OG0000483	Prap.g_01421	Syae.g_01959
OG0000484	Prap.g_01420	Syae.g_01958
OG0000485	Prap.g_01418	Syae.g_01957
OG0000486	Prap.g_01417	Syae.g_01956
OG0000487	Prap.g_01414	Syae.g_01950
OG0000488	Prap.g_01411	Syae.g_01946
OG0000489	Prap.g_01406	Syae.g_01936
OG0000490	Prap.g_01402	Syae.g_01928
OG0000491	Prap.g_01401	Syae.g_01927
OG0000492	Prap.g_01399	Syae.g_01925
OG0000493	Prap.g_01398	Syae.g_01924
OG0000494	Prap.g_01397	Syae.g_01923
OG0000495	Prap.g_01396	Syae.g_01922
OG0000496	Prap.g_01395	Syae.g_01921
OG0000497	Prap.g_01394	Syae.g_01920
OG0000498	Prap.g_01393	Syae.g_01919
OG0000499	Prap.g_01392	Syae.g_01918
OG0000500	Prap.g_01391	Syae.g_01917
OG0000501	Prap.g_01390	Syae.g_01914
OG0000502	Prap.g_01387	Syae.g_01902
OG0000503	Prap.g_01372	Syae.g_02192
OG0000504	Prap.g_01370	Syae.g_02194
OG0000505	Prap.g_01369	Syae.g_02195
OG0000506	Prap.g_01368	Syae.g_02197
OG0000507	Prap.g_01365	Syae.g_02203
OG0000508	Prap.g_01361	Syae.g_02207
OG0000509	Prap.g_01359	Syae.g_02209
OG0000510	Prap.g_01358	Syae.g_02210
OG0000511	Prap.g_01357	Syae.g_02211
OG0000512	Prap.g_01355	Syae.g_02213
OG0000513	Prap.g_01346	Syae.g_02223
OG0000514	Prap.g_01335	Syae.g_02229
OG0000515	Prap.g_01334	Syae.g_02230
OG0000516	Prap.g_01333	Syae.g_01000
OG0000517	Prap.g_01331	Syae.g_00995
OG0000518	Prap.g_01320	Syae.g_00983
OG0000519	Prap.g_01319	Syae.g_00982
OG0000520	Prap.g_01318	Syae.g_00981
OG0000521	Prap.g_01310	Syae.g_02491
OG0000522	Prap.g_01308	Syae.g_02493
OG0000523	Prap.g_01307	Syae.g_02494
OG0000524	Prap.g_01302	Syae.g_02501
OG0000525	Prap.g_01298	Syae.g_02520
OG0000526	Prap.g_01297	Syae.g_02523
OG0000527	Prap.g_01294	Syae.g_02528
OG0000528	Prap.g_01289	Syae.g_02304
OG0000529	Prap.g_01286	Syae.g_02310
OG0000530	Prap.g_01283	Syae.g_02313
OG0000531	Prap.g_01282	Syae.g_02314
OG0000532	Prap.g_01280	Syae.g_02317
OG0000533	Prap.g_01279	Syae.g_02318
OG0000534	Prap.g_01278	Syae.g_02319
OG0000535	Prap.g_01277	Syae.g_02320
OG0000536	Prap.g_01276	Syae.g_02321
OG0000537	Prap.g_01275	Syae.g_02322
OG0000538	Prap.g_01266	Syae.g_02333
OG0000539	Prap.g_01265	Syae.g_02334
OG0000540	Prap.g_01264	Syae.g_02335
OG0000541	Prap.g_01263	Syae.g_02336
OG0000542	Prap.g_01262	Syae.g_02339
OG0000543	Prap.g_01260	Syae.g_02341
OG0000544	Prap.g_01259	Syae.g_02342
OG0000545	Prap.g_01257	Syae.g_02344
OG0000546	Prap.g_01254	Syae.g_02346
OG0000547	Prap.g_01252	Syae.g_02348
OG0000548	Prap.g_01251	Syae.g_02349
OG0000549	Prap.g_01249	Syae.g_02354
OG0000550	Prap.g_01245	Syae.g_02358
OG0000551	Prap.g_01242	Syae.g_02363
OG0000552	Prap.g_01241	Syae.g_02364
OG0000553	Prap.g_01240	Syae.g_02366
OG0000554	Prap.g_01235	Syae.g_02375
OG0000555	Prap.g_01227	Syae.g_02390
OG0000556	Prap.g_01225	Syae.g_02394
OG0000557	Prap.g_01224	Syae.g_02398
OG0000558	Prap.g_01222	Syae.g_02400
OG0000559	Prap.g_01218	Syae.g_02404
OG0000560	Prap.g_01215	Syae.g_02407
OG0000561	Prap.g_01214	Syae.g_02408
OG0000562	Prap.g_01213	Syae.g_02409
OG0000563	Prap.g_01212	Syae.g_02410
OG0000564	Prap.g_01211	Syae.g_02411
OG0000565	Prap.g_01209	Syae.g_02414
OG0000566	Prap.g_01205	Syae.g_02418
OG0000567	Prap.g_01201	Syae.g_02422
OG0000568	Prap.g_01200	Syae.g_02427
OG0000569	Prap.g_01199	Syae.g_02428
OG0000570	Prap.g_01198	Syae.g_02429
OG0000571	Prap.g_01196	Syae.g_02433
OG0000572	Prap.g_01182	Syae.g_02448
OG0000573	Prap.g_01176	Syae.g_02456
OG0000574	Prap.g_01175	Syae.g_02457
OG0000575	Prap.g_01171	Syae.g_02461
OG0000576	Prap.g_01169	Syae.g_02463
OG0000577	Prap.g_01168	Syae.g_02464
OG0000578	Prap.g_01167	Syae.g_02465
OG0000579	Prap.g_01166	Syae.g_02466
OG0000580	Prap.g_01165	Syae.g_02467
OG0000581	Prap.g_01162	Syae.g_02473
OG0000582	Prap.g_01159	Syae.g_00018
OG0000583	Prap.g_01158	Syae.g_00019
OG0000584	Prap.g_01157	Syae.g_00020
