Orthogroup	Prap	Syah
OG0000071	Prap.g_00561	Syah.g_01863, Syah.g_02199
OG0000072	Prap.g_00999	Syah.g_00080
OG0000073	Prap.g_01267	Syah.g_01018
OG0000074	Prap.g_00021	Syah.g_00951
OG0000075	Prap.g_01606	Syah.g_00186
OG0000076	Prap.g_01580	Syah.g_00250
OG0000077	Prap.g_01099	Syah.g_02494
OG0000078	Prap.g_01472	Syah.g_00912
OG0000079	Prap.g_01459	Syah.g_00665
OG0000080	Prap.g_00093, Prap.g_00095	Syah.g_00290
OG0000081	Prap.g_01238	Syah.g_00922, Syah.g_02471
OG0000082	Prap.g_01183, Prap.g_01790	Syah.g_01136
OG0000084	Prap.g_00118	Syah.g_02105, Syah.g_01296
OG0000085	Prap.g_01917, Prap.g_01787	Syah.g_02372
OG0000086	Prap.g_01090	Syah.g_02511
OG0000087	Prap.g_01035	Syah.g_00038
OG0000088	Prap.g_01004	Syah.g_00074
OG0000089	Prap.g_01349	Syah.g_00888
OG0000090	Prap.g_01236	Syah.g_01064
OG0000091	Prap.g_00384	Syah.g_01927
OG0000093	Prap.g_00355	Syah.g_01794
OG0000094	Prap.g_00306	Syah.g_01692
OG0000095	Prap.g_00708	Syah.g_02030
OG0000097	Prap.g_00410	Syah.g_01400
OG0000098	Prap.g_01928	Syah.g_00723
OG0000099	Prap.g_00082	Syah.g_00144
OG0000100	Prap.g_00200	Syah.g_01747
OG0000101	Prap.g_01642	Syah.g_00785
OG0000102	Prap.g_01575	Syah.g_00255
OG0000103	Prap.g_01491	Syah.g_00391
OG0000104	Prap.g_01869	Syah.g_00377
OG0000105	Prap.g_01436	Syah.g_00632
OG0000106	Prap.g_00591	Syah.g_01544
OG0000107	Prap.g_01714	Syah.g_00688
OG0000108	Prap.g_01287	Syah.g_00997
OG0000109	Prap.g_01273	Syah.g_01012
OG0000110	Prap.g_01194	Syah.g_01124
OG0000111	Prap.g_00798	Syah.g_02021
OG0000112	Prap.g_01121	Syah.g_01613
OG0000113	Prap.g_00760	Syah.g_01752
OG0000114	Prap.g_00858	Syah.g_01529
OG0000115	Prap.g_00525	Syah.g_01269
OG0000116	Prap.g_00467	Syah.g_02175
OG0000117	Prap.g_00429	Syah.g_01425
OG0000118	Prap.g_00574	Syah.g_01173
OG0000120	Prap.g_00079	Syah.g_00145
OG0000121	Prap.g_00123	Syah.g_01287
OG0000122	Prap.g_00532, Prap.g_00164	Syah.g_01900
OG0000123	Prap.g_01635	Syah.g_00793
OG0000124	Prap.g_01563	Syah.g_00272
OG0000125	Prap.g_01528	Syah.g_00504
OG0000126	Prap.g_01870	Syah.g_00379
OG0000128	Prap.g_00043	Syah.g_00361
OG0000129	Prap.g_00910	Syah.g_00516
OG0000130	Prap.g_00881	Syah.g_02483
OG0000131	Prap.g_01026	Syah.g_00052
OG0000132	Prap.g_01006	Syah.g_00072
OG0000133	Prap.g_01389	Syah.g_01618
OG0000134	Prap.g_01347	Syah.g_00891
OG0000135	Prap.g_00543	Syah.g_00465
OG0000136	Prap.g_01325	Syah.g_02227
OG0000137	Prap.g_01292	Syah.g_01221
OG0000138	Prap.g_01272	Syah.g_01013
OG0000139	Prap.g_01232	Syah.g_01070
OG0000140	Prap.g_01231	Syah.g_01071
OG0000141	Prap.g_01160	Syah.g_01981
OG0000142	Prap.g_00392	Syah.g_01935
OG0000143	Prap.g_00388	Syah.g_01931
OG0000144	Prap.g_00374	Syah.g_01824
OG0000145	Prap.g_00545	Syah.g_01019
OG0000146	Prap.g_01122	Syah.g_01612
OG0000147	Prap.g_01123	Syah.g_01611
OG0000148	Prap.g_00766	Syah.g_01758
OG0000149	Prap.g_00734	Syah.g_02096
OG0000150	Prap.g_00724	Syah.g_01980
OG0000151	Prap.g_00848	Syah.g_01820
OG0000152	Prap.g_00257	Syah.g_01622
OG0000153	Prap.g_00276	Syah.g_01656
OG0000154	Prap.g_00296	Syah.g_01682
OG0000155	Prap.g_00435	Syah.g_02123
OG0000156	Prap.g_00550	Syah.g_02185
OG0000157	Prap.g_00551	Syah.g_02186
OG0000158	Prap.g_01598	Syah.g_00204
OG0000160	Prap.g_00122	Syah.g_01289
OG0000161	Prap.g_00128	Syah.g_01282
OG0000162	Prap.g_00134	Syah.g_01276
OG0000163	Prap.g_00173	Syah.g_02315
OG0000164	Prap.g_01754	Syah.g_02423
OG0000165	Prap.g_01747	Syah.g_02251
OG0000166	Prap.g_01680	Syah.g_00747
OG0000167	Prap.g_01608	Syah.g_00183
OG0000168	Prap.g_01597	Syah.g_00205
OG0000169	Prap.g_01587	Syah.g_00237
OG0000170	Prap.g_01584	Syah.g_00245
OG0000171	Prap.g_01564	Syah.g_00271
OG0000172	Prap.g_01557	Syah.g_00293
OG0000173	Prap.g_01542	Syah.g_00313
OG0000174	Prap.g_01513	Syah.g_00461
OG0000175	Prap.g_01500	Syah.g_00402
OG0000176	Prap.g_00050	Syah.g_00369
OG0000177	Prap.g_00049	Syah.g_00368
OG0000178	Prap.g_00048	Syah.g_00367
OG0000179	Prap.g_00939	Syah.g_00355
OG0000180	Prap.g_00938	Syah.g_00354
OG0000181	Prap.g_00937	Syah.g_00353
OG0000182	Prap.g_00936	Syah.g_00352
OG0000183	Prap.g_00932	Syah.g_00348
OG0000184	Prap.g_00906	Syah.g_00525
OG0000185	Prap.g_00903	Syah.g_00528
OG0000186	Prap.g_00887	Syah.g_02479
OG0000187	Prap.g_00886	Syah.g_02480
OG0000188	Prap.g_01096	Syah.g_02501
OG0000189	Prap.g_01082	Syah.g_02526
OG0000190	Prap.g_01080	Syah.g_02528
OG0000191	Prap.g_01057	Syah.g_00008
OG0000192	Prap.g_01052	Syah.g_00013
OG0000193	Prap.g_01025	Syah.g_00053
OG0000194	Prap.g_01022	Syah.g_00056
OG0000195	Prap.g_01020	Syah.g_00058
OG0000196	Prap.g_01009	Syah.g_00069
OG0000197	Prap.g_01008	Syah.g_00070
OG0000198	Prap.g_01007	Syah.g_00071
OG0000199	Prap.g_01000	Syah.g_00079
OG0000200	Prap.g_00986	Syah.g_00616
OG0000201	Prap.g_00977	Syah.g_00601
OG0000202	Prap.g_00976	Syah.g_00600
OG0000203	Prap.g_00975	Syah.g_00599
OG0000204	Prap.g_00974	Syah.g_00598
OG0000205	Prap.g_00967	Syah.g_00591
OG0000206	Prap.g_00962	Syah.g_00578
OG0000207	Prap.g_00959	Syah.g_00575
OG0000208	Prap.g_00958	Syah.g_00574
OG0000209	Prap.g_00949	Syah.g_00544
OG0000210	Prap.g_00948	Syah.g_00543
OG0000211	Prap.g_01479	Syah.g_00904
OG0000212	Prap.g_01471	Syah.g_00913
OG0000213	Prap.g_01453	Syah.g_00657
OG0000214	Prap.g_01443	Syah.g_00641
OG0000215	Prap.g_01416	Syah.g_00101
OG0000216	Prap.g_01415	Syah.g_00105
OG0000217	Prap.g_01412	Syah.g_00109
OG0000218	Prap.g_01410	Syah.g_00111
OG0000219	Prap.g_01409	Syah.g_00112
OG0000220	Prap.g_01408	Syah.g_00113
OG0000221	Prap.g_01407	Syah.g_00120
OG0000222	Prap.g_01400	Syah.g_00131
OG0000223	Prap.g_01388	Syah.g_00153
OG0000224	Prap.g_01386	Syah.g_00162
OG0000225	Prap.g_01360	Syah.g_00874
OG0000226	Prap.g_01356	Syah.g_00878
OG0000227	Prap.g_01354	Syah.g_00880
OG0000228	Prap.g_01350	Syah.g_00887
OG0000229	Prap.g_01330	Syah.g_02236
OG0000230	Prap.g_01328	Syah.g_02234
OG0000231	Prap.g_01317	Syah.g_02218
OG0000232	Prap.g_01306	Syah.g_01206
OG0000233	Prap.g_01300	Syah.g_01210
OG0000234	Prap.g_01291	Syah.g_01222
OG0000235	Prap.g_01288	Syah.g_00996
OG0000236	Prap.g_01274	Syah.g_01011
OG0000237	Prap.g_01261	Syah.g_01028
OG0000238	Prap.g_01255	Syah.g_01032
OG0000239	Prap.g_01244	Syah.g_01048
OG0000240	Prap.g_01243	Syah.g_01049
OG0000241	Prap.g_01239	Syah.g_01944
OG0000242	Prap.g_01237	Syah.g_01062
OG0000243	Prap.g_01226	Syah.g_01079
OG0000244	Prap.g_01223	Syah.g_01087
OG0000245	Prap.g_01221	Syah.g_01090
OG0000246	Prap.g_01217	Syah.g_01094
OG0000247	Prap.g_01207	Syah.g_01106
OG0000248	Prap.g_01204	Syah.g_01109
OG0000249	Prap.g_01202	Syah.g_01111
OG0000250	Prap.g_01197	Syah.g_01120
OG0000251	Prap.g_01177	Syah.g_01145
OG0000252	Prap.g_01174	Syah.g_01148
OG0000253	Prap.g_01173	Syah.g_01149
OG0000254	Prap.g_01156	Syah.g_01976
OG0000255	Prap.g_01150	Syah.g_01968
OG0000256	Prap.g_01140	Syah.g_01952
OG0000257	Prap.g_00397	Syah.g_01945
OG0000258	Prap.g_00383	Syah.g_01926
OG0000259	Prap.g_00366	Syah.g_01494
OG0000260	Prap.g_00363	Syah.g_01497
OG0000261	Prap.g_00360	Syah.g_01500
OG0000262	Prap.g_00356	Syah.g_01505
OG0000263	Prap.g_00820	Syah.g_01410
OG0000264	Prap.g_00809	Syah.g_02000
OG0000265	Prap.g_00791	Syah.g_02252
OG0000266	Prap.g_00337	Syah.g_01714
OG0000267	Prap.g_00325	Syah.g_01574
OG0000268	Prap.g_00324	Syah.g_01575
OG0000269	Prap.g_00788	Syah.g_01784
OG0000270	Prap.g_00785	Syah.g_01781
OG0000271	Prap.g_00777	Syah.g_01773
OG0000272	Prap.g_00776	Syah.g_01772
OG0000273	Prap.g_00752	Syah.g_02075
OG0000274	Prap.g_00751	Syah.g_02076
OG0000275	Prap.g_00748	Syah.g_02081
OG0000276	Prap.g_00742	Syah.g_02088
OG0000277	Prap.g_00741	Syah.g_02089
OG0000278	Prap.g_00738	Syah.g_02092
OG0000279	Prap.g_00731	Syah.g_02100
OG0000280	Prap.g_00730	Syah.g_02112
OG0000281	Prap.g_00723	Syah.g_00722
OG0000282	Prap.g_00856	Syah.g_01531
OG0000283	Prap.g_00680	Syah.g_01585
OG0000284	Prap.g_00675	Syah.g_01591
OG0000285	Prap.g_00243	Syah.g_01603
OG0000286	Prap.g_00256	Syah.g_01621
OG0000287	Prap.g_00522	Syah.g_01649
OG0000288	Prap.g_00295	Syah.g_01681
OG0000289	Prap.g_00311	Syah.g_01695
OG0000290	Prap.g_00705	Syah.g_02033
OG0000291	Prap.g_00707	Syah.g_02031
OG0000292	Prap.g_00501	Syah.g_00380
OG0000293	Prap.g_00466	Syah.g_02173
OG0000294	Prap.g_00465	Syah.g_02172
OG0000295	Prap.g_00442	Syah.g_02131
OG0000296	Prap.g_00440	Syah.g_02129
OG0000297	Prap.g_00431	Syah.g_01427
OG0000298	Prap.g_00430	Syah.g_01426
OG0000299	Prap.g_00411	Syah.g_01404
OG0000300	Prap.g_00408	Syah.g_01397
OG0000301	Prap.g_00407	Syah.g_01396
OG0000302	Prap.g_00405	Syah.g_01395
OG0000303	Prap.g_00399	Syah.g_01387
OG0000304	Prap.g_01135	Syah.g_01382
OG0000305	Prap.g_00499	Syah.g_02028
OG0000306	Prap.g_00719	Syah.g_02116
OG0000307	Prap.g_00068	Syah.g_00978
OG0000308	Prap.g_00069	Syah.g_00976
OG0000309	Prap.g_00073	Syah.g_00971
OG0000310	Prap.g_00107	Syah.g_01321
OG0000311	Prap.g_00109	Syah.g_01317
OG0000312	Prap.g_00112	Syah.g_01304
OG0000313	Prap.g_00125	Syah.g_01285
OG0000314	Prap.g_00148	Syah.g_01259
OG0000315	Prap.g_00158	Syah.g_01248
OG0000316	Prap.g_00183	Syah.g_02333
OG0000317	Prap.g_01782	Syah.g_02380
OG0000318	Prap.g_01778	Syah.g_02385
OG0000319	Prap.g_01765	Syah.g_02405
OG0000320	Prap.g_01763	Syah.g_02407
OG0000321	Prap.g_01762	Syah.g_02408
OG0000322	Prap.g_01761	Syah.g_02409
OG0000323	Prap.g_01751	Syah.g_02425
OG0000324	Prap.g_01724	Syah.g_02278
OG0000325	Prap.g_01713	Syah.g_00689
OG0000326	Prap.g_01706	Syah.g_00696
OG0000327	Prap.g_01685	Syah.g_00742
OG0000328	Prap.g_01684	Syah.g_00743
OG0000329	Prap.g_01667	Syah.g_00760
OG0000330	Prap.g_01666	Syah.g_00761
OG0000331	Prap.g_01665	Syah.g_00762
OG0000332	Prap.g_01651	Syah.g_00776
OG0000333	Prap.g_01648, Prap.g_01649	Syah.g_00779
OG0000334	Prap.g_01639	Syah.g_00789
OG0000335	Prap.g_01634	Syah.g_00794
OG0000336	Prap.g_01630	Syah.g_00798
OG0000337	Prap.g_01612	Syah.g_00178
OG0000338	Prap.g_01611	Syah.g_00181
OG0000339	Prap.g_01605	Syah.g_00188
OG0000340	Prap.g_01596	Syah.g_00206
OG0000341	Prap.g_01594	Syah.g_00208
OG0000342	Prap.g_01593	Syah.g_00209
OG0000343	Prap.g_01592	Syah.g_00231
OG0000344	Prap.g_01589	Syah.g_00235
OG0000345	Prap.g_01583	Syah.g_00246
OG0000346	Prap.g_01579	Syah.g_00251
OG0000347	Prap.g_01562	Syah.g_00275
OG0000348	Prap.g_01554	Syah.g_00301
OG0000349	Prap.g_01537	Syah.g_00320
OG0000350	Prap.g_00623	Syah.g_00703
OG0000351	Prap.g_01497	Syah.g_00399
OG0000352	Prap.g_01496	Syah.g_00398
OG0000353	Prap.g_00055	Syah.g_00374
OG0000355	Prap.g_00053	Syah.g_00372
OG0000356	Prap.g_00052	Syah.g_00371
OG0000357	Prap.g_00051	Syah.g_00370
OG0000358	Prap.g_00047	Syah.g_00366
OG0000359	Prap.g_00046	Syah.g_00364
OG0000360	Prap.g_00045	Syah.g_00363
OG0000361	Prap.g_00044	Syah.g_00362
OG0000362	Prap.g_00042	Syah.g_00360
OG0000363	Prap.g_00941	Syah.g_00358
OG0000364	Prap.g_00940	Syah.g_00357
OG0000365	Prap.g_00935	Syah.g_00351
OG0000366	Prap.g_00934	Syah.g_00350
OG0000367	Prap.g_00933	Syah.g_00349
OG0000368	Prap.g_00931	Syah.g_00347
OG0000369	Prap.g_00930	Syah.g_00346
OG0000370	Prap.g_00929	Syah.g_00345
OG0000371	Prap.g_00922	Syah.g_00338
OG0000372	Prap.g_00919	Syah.g_00333
OG0000373	Prap.g_00918	Syah.g_00332
OG0000374	Prap.g_00917	Syah.g_00331
OG0000375	Prap.g_00915	Syah.g_00329
OG0000376	Prap.g_00913	Syah.g_00327
OG0000377	Prap.g_00909	Syah.g_00517
OG0000378	Prap.g_00905	Syah.g_00526
OG0000379	Prap.g_00902	Syah.g_00529
OG0000380	Prap.g_00885	Syah.g_02481
OG0000381	Prap.g_00880	Syah.g_02484
OG0000382	Prap.g_01097	Syah.g_02500
OG0000383	Prap.g_01095	Syah.g_02502
OG0000384	Prap.g_01094	Syah.g_02503
OG0000385	Prap.g_01093	Syah.g_02504
OG0000386	Prap.g_01092	Syah.g_02505
OG0000387	Prap.g_01078	Syah.g_02530
OG0000388	Prap.g_01074	Syah.g_02533
OG0000389	Prap.g_01071	Syah.g_02536
OG0000390	Prap.g_01061	Syah.g_00002
OG0000391	Prap.g_01058	Syah.g_00007
OG0000392	Prap.g_01054	Syah.g_00012
OG0000393	Prap.g_01051	Syah.g_00014
OG0000394	Prap.g_01050	Syah.g_00015
OG0000395	Prap.g_01049	Syah.g_00016
OG0000396	Prap.g_01047	Syah.g_00019
OG0000397	Prap.g_01045	Syah.g_00021
OG0000398	Prap.g_01042	Syah.g_00027
OG0000399	Prap.g_01041	Syah.g_00028
OG0000400	Prap.g_01040	Syah.g_00029
OG0000401	Prap.g_01039	Syah.g_00030
OG0000402	Prap.g_00319	Syah.g_00033
OG0000403	Prap.g_01037	Syah.g_00034
OG0000404	Prap.g_01036	Syah.g_00036
OG0000405	Prap.g_01032	Syah.g_00050
OG0000406	Prap.g_01024	Syah.g_00054
OG0000407	Prap.g_01023	Syah.g_00055
OG0000408	Prap.g_01021	Syah.g_00057
OG0000409	Prap.g_01019	Syah.g_00059
OG0000410	Prap.g_01018	Syah.g_00060
OG0000411	Prap.g_01017	Syah.g_00061
OG0000412	Prap.g_01016	Syah.g_00062
OG0000413	Prap.g_01014	Syah.g_00064
OG0000414	Prap.g_01013	Syah.g_00065
OG0000415	Prap.g_01012	Syah.g_00066
OG0000416	Prap.g_01011	Syah.g_00067
OG0000417	Prap.g_01010	Syah.g_00068
OG0000418	Prap.g_01005	Syah.g_00073
OG0000419	Prap.g_01003	Syah.g_00075
OG0000420	Prap.g_01002	Syah.g_00077
OG0000421	Prap.g_00997	Syah.g_00082
OG0000422	Prap.g_00996	Syah.g_00083
OG0000423	Prap.g_00995	Syah.g_00084
OG0000424	Prap.g_00994	Syah.g_00085
OG0000425	Prap.g_00993	Syah.g_00086
OG0000426	Prap.g_00992	Syah.g_00087
OG0000427	Prap.g_00991	Syah.g_00088
OG0000428	Prap.g_00989	Syah.g_00620
OG0000429	Prap.g_00988	Syah.g_00618
OG0000430	Prap.g_00987	Syah.g_00617
OG0000431	Prap.g_00985	Syah.g_00613
OG0000432	Prap.g_00981	Syah.g_00607
OG0000433	Prap.g_00980	Syah.g_00605
OG0000434	Prap.g_00979	Syah.g_00604
OG0000435	Prap.g_00978	Syah.g_00602
OG0000436	Prap.g_00973	Syah.g_00597
OG0000437	Prap.g_00972	Syah.g_00596
OG0000438	Prap.g_00971	Syah.g_00595
OG0000439	Prap.g_00969	Syah.g_00593
OG0000440	Prap.g_00968	Syah.g_00592
OG0000441	Prap.g_00965	Syah.g_00585
OG0000442	Prap.g_00964	Syah.g_00580
OG0000443	Prap.g_00963	Syah.g_00579
OG0000444	Prap.g_00957	Syah.g_00573
OG0000445	Prap.g_00956	Syah.g_00572
OG0000446	Prap.g_00955	Syah.g_00570
OG0000447	Prap.g_00954	Syah.g_00567
OG0000448	Prap.g_00953	Syah.g_00566
OG0000449	Prap.g_00952	Syah.g_00565
OG0000450	Prap.g_00951	Syah.g_00547
OG0000451	Prap.g_00950	Syah.g_00546
OG0000452	Prap.g_00947	Syah.g_00542
OG0000453	Prap.g_00946	Syah.g_00541
OG0000454	Prap.g_00945	Syah.g_00540
OG0000455	Prap.g_00944	Syah.g_00539
OG0000456	Prap.g_00943	Syah.g_00538
OG0000457	Prap.g_01487	Syah.g_00536
OG0000458	Prap.g_01486	Syah.g_00535
OG0000459	Prap.g_01485	Syah.g_00534
OG0000460	Prap.g_01477	Syah.g_00906
OG0000461	Prap.g_01469	Syah.g_00678
OG0000462	Prap.g_01467	Syah.g_00675
OG0000463	Prap.g_01466	Syah.g_00674
OG0000464	Prap.g_01465	Syah.g_00673
OG0000465	Prap.g_01464	Syah.g_00672
OG0000466	Prap.g_01461	Syah.g_00668
OG0000467	Prap.g_01460	Syah.g_00666
OG0000468	Prap.g_01457	Syah.g_00661
OG0000469	Prap.g_01449	Syah.g_00647
OG0000470	Prap.g_01447	Syah.g_00645
OG0000471	Prap.g_01446	Syah.g_00644
OG0000472	Prap.g_01444	Syah.g_00642
OG0000473	Prap.g_01442	Syah.g_00640
OG0000474	Prap.g_01441	Syah.g_00639
OG0000475	Prap.g_01440	Syah.g_00638
OG0000476	Prap.g_01438	Syah.g_00636
OG0000477	Prap.g_01435	Syah.g_00630
OG0000478	Prap.g_01434	Syah.g_00629
OG0000479	Prap.g_01433	Syah.g_00628
OG0000480	Prap.g_01428	Syah.g_00089
OG0000481	Prap.g_01425	Syah.g_00091
OG0000482	Prap.g_01424	Syah.g_00092
OG0000483	Prap.g_01421	Syah.g_00096
OG0000484	Prap.g_01420	Syah.g_00097
OG0000485	Prap.g_01418	Syah.g_00098
OG0000486	Prap.g_01417	Syah.g_00099
OG0000487	Prap.g_01414	Syah.g_00106
OG0000488	Prap.g_01411	Syah.g_00110
OG0000489	Prap.g_01406	Syah.g_00121
OG0000490	Prap.g_01402	Syah.g_00129
OG0000491	Prap.g_01401	Syah.g_00130
OG0000492	Prap.g_01399	Syah.g_00132
OG0000493	Prap.g_01398	Syah.g_00133
OG0000494	Prap.g_01397	Syah.g_00134
OG0000495	Prap.g_01396	Syah.g_00135
OG0000496	Prap.g_01395	Syah.g_00136
OG0000497	Prap.g_01394	Syah.g_00137
OG0000498	Prap.g_01393	Syah.g_00138
OG0000499	Prap.g_01392	Syah.g_00139
OG0000500	Prap.g_01391	Syah.g_00140
OG0000501	Prap.g_01390	Syah.g_00143
OG0000502	Prap.g_01387	Syah.g_00155
OG0000503	Prap.g_01372	Syah.g_00858
OG0000504	Prap.g_01370	Syah.g_00860
OG0000505	Prap.g_01369	Syah.g_00861
OG0000506	Prap.g_01368	Syah.g_00863
OG0000507	Prap.g_01365	Syah.g_00869
OG0000508	Prap.g_01361	Syah.g_00873
OG0000509	Prap.g_01359	Syah.g_00875
OG0000510	Prap.g_01358	Syah.g_00876
OG0000511	Prap.g_01357	Syah.g_00877
OG0000512	Prap.g_01355	Syah.g_00879
OG0000513	Prap.g_01346	Syah.g_00892
OG0000514	Prap.g_01335	Syah.g_00899
OG0000515	Prap.g_01334	Syah.g_00900
OG0000516	Prap.g_01333	Syah.g_02231
OG0000517	Prap.g_01331	Syah.g_02237
OG0000518	Prap.g_01320	Syah.g_02221
OG0000519	Prap.g_01319	Syah.g_02220
OG0000520	Prap.g_01318	Syah.g_02219
OG0000521	Prap.g_01310	Syah.g_01202
OG0000522	Prap.g_01308	Syah.g_01204
OG0000523	Prap.g_01307	Syah.g_01205
OG0000524	Prap.g_01302	Syah.g_01207
OG0000525	Prap.g_01298	Syah.g_01212
OG0000526	Prap.g_01297	Syah.g_01215
OG0000527	Prap.g_01294	Syah.g_01219
OG0000528	Prap.g_01289	Syah.g_00991
OG0000529	Prap.g_01286	Syah.g_00998
OG0000530	Prap.g_01283	Syah.g_01001
OG0000531	Prap.g_01282	Syah.g_01002
OG0000532	Prap.g_01280	Syah.g_01005
OG0000533	Prap.g_01279	Syah.g_01006
OG0000534	Prap.g_01278	Syah.g_01007
OG0000535	Prap.g_01277	Syah.g_01008
OG0000536	Prap.g_01276	Syah.g_01009
OG0000537	Prap.g_01275	Syah.g_01010
OG0000538	Prap.g_01266	Syah.g_01021
OG0000539	Prap.g_01265	Syah.g_01022
OG0000540	Prap.g_01264	Syah.g_01023
OG0000541	Prap.g_01263	Syah.g_01024
OG0000542	Prap.g_01262	Syah.g_01027
OG0000543	Prap.g_01260	Syah.g_01029
OG0000545	Prap.g_01257	Syah.g_01031
OG0000546	Prap.g_01254	Syah.g_01033
OG0000547	Prap.g_01252	Syah.g_01035
OG0000548	Prap.g_01251	Syah.g_01036
OG0000549	Prap.g_01249	Syah.g_01042
OG0000550	Prap.g_01245	Syah.g_01046
OG0000551	Prap.g_01242	Syah.g_01051
OG0000552	Prap.g_01241	Syah.g_01052
OG0000553	Prap.g_01240	Syah.g_01054
OG0000554	Prap.g_01235	Syah.g_01065
OG0000555	Prap.g_01227	Syah.g_01078
OG0000556	Prap.g_01225	Syah.g_01084
OG0000557	Prap.g_01224	Syah.g_01086
OG0000558	Prap.g_01222	Syah.g_01088
OG0000559	Prap.g_01218	Syah.g_01093
OG0000560	Prap.g_01215	Syah.g_01096
OG0000561	Prap.g_01214	Syah.g_01097
OG0000562	Prap.g_01213	Syah.g_01098
OG0000563	Prap.g_01212	Syah.g_01099
OG0000564	Prap.g_01211	Syah.g_01100
OG0000565	Prap.g_01209	Syah.g_01104
OG0000566	Prap.g_01205	Syah.g_01108
OG0000567	Prap.g_01201	Syah.g_01112
OG0000568	Prap.g_01200	Syah.g_01116
OG0000569	Prap.g_01199	Syah.g_01117
OG0000570	Prap.g_01198	Syah.g_01118
OG0000571	Prap.g_01196	Syah.g_01122
OG0000572	Prap.g_01182	Syah.g_01137
OG0000573	Prap.g_01176	Syah.g_01146
OG0000574	Prap.g_01175	Syah.g_01147
OG0000575	Prap.g_01171	Syah.g_01151
OG0000576	Prap.g_01169	Syah.g_01153
OG0000577	Prap.g_01168	Syah.g_01154
OG0000578	Prap.g_01167	Syah.g_01155
OG0000579	Prap.g_01166	Syah.g_01156
OG0000580	Prap.g_01165	Syah.g_01157
