Orthogroup	Prap	Syad
OG0000057	Prap.g_00799	Syad.g_01301
OG0000058	Prap.g_00081	Syad.g_00452
OG0000059	Prap.g_01691	Syad.g_00642
OG0000061	Prap.g_00456	Syad.g_01152
OG0000062	Prap.g_00206	Syad.g_02598
OG0000063	Prap.g_01903	Syad.g_00202
OG0000064	Prap.g_00883	Syad.g_00873, Syad.g_00081, Syad.g_02125
OG0000065	Prap.g_01069	Syad.g_02801, Syad.g_02574
OG0000066	Prap.g_01230, Prap.g_01867	Syad.g_00992
OG0000067	Prap.g_00783	Syad.g_01889
OG0000068	Prap.g_00059	Syad.g_00891
OG0000070	Prap.g_01316	Syad.g_02424
OG0000071	Prap.g_00561	Syad.g_02405
OG0000072	Prap.g_00999	Syad.g_02905
OG0000073	Prap.g_01267	Syad.g_00926
OG0000075	Prap.g_01606	Syad.g_00416
OG0000076	Prap.g_01580	Syad.g_00348
OG0000077	Prap.g_01099	Syad.g_02741
OG0000078	Prap.g_01472	Syad.g_00824
OG0000079	Prap.g_01459	Syad.g_00565
OG0000080	Prap.g_00093, Prap.g_00095	Syad.g_02256
OG0000081	Prap.g_01238	Syad.g_00833
OG0000082	Prap.g_01183, Prap.g_01790	Syad.g_01063
OG0000084	Prap.g_00118	Syad.g_02272
OG0000085	Prap.g_01917, Prap.g_01787	Syad.g_02612
OG0000086	Prap.g_01090	Syad.g_02770
OG0000087	Prap.g_01035	Syad.g_02860
OG0000088	Prap.g_01004	Syad.g_02899
OG0000089	Prap.g_01349	Syad.g_00785, Syad.g_02829
OG0000090	Prap.g_01236	Syad.g_00977
OG0000091	Prap.g_00384	Syad.g_02144
OG0000093	Prap.g_00355	Syad.g_01905
OG0000094	Prap.g_00306	Syad.g_01676
OG0000095	Prap.g_00708	Syad.g_01290
OG0000097	Prap.g_00410	Syad.g_01458
OG0000098	Prap.g_01928	Syad.g_00625
OG0000099	Prap.g_00082	Syad.g_00460
OG0000100	Prap.g_00200	Syad.g_01846
OG0000101	Prap.g_01642	Syad.g_00694
OG0000102	Prap.g_01575	Syad.g_00343
OG0000103	Prap.g_01491	Syad.g_00143
OG0000104	Prap.g_01869	Syad.g_00158
OG0000105	Prap.g_01436	Syad.g_00530
OG0000106	Prap.g_00591	Syad.g_01993
OG0000107	Prap.g_01714	Syad.g_00590
OG0000108	Prap.g_01287	Syad.g_00904
OG0000109	Prap.g_01273	Syad.g_00919
OG0000110	Prap.g_01194	Syad.g_01048
OG0000111	Prap.g_00798	Syad.g_01300
OG0000112	Prap.g_01121	Syad.g_01766
OG0000113	Prap.g_00760	Syad.g_01851
OG0000114	Prap.g_00858	Syad.g_01617
OG0000115	Prap.g_00525	Syad.g_02300
OG0000116	Prap.g_00467	Syad.g_01123
OG0000117	Prap.g_00429	Syad.g_01510
OG0000118	Prap.g_00574	Syad.g_01104
OG0000119	Prap.g_00510, Prap.g_00218	Syad.g_01168
OG0000120	Prap.g_00079	Syad.g_00459
OG0000121	Prap.g_00123	Syad.g_02280
OG0000122	Prap.g_00532, Prap.g_00164	Syad.g_02122
OG0000123	Prap.g_01635	Syad.g_00701
OG0000124	Prap.g_01563	Syad.g_00320
OG0000125	Prap.g_01528	Syad.g_03040
OG0000126	Prap.g_01870	Syad.g_00156
OG0000128	Prap.g_00043	Syad.g_00174
OG0000129	Prap.g_00910	Syad.g_03028
OG0000130	Prap.g_00881	Syad.g_02728
OG0000131	Prap.g_01026	Syad.g_02876
OG0000132	Prap.g_01006	Syad.g_02897
OG0000133	Prap.g_01389	Syad.g_01761
OG0000134	Prap.g_01347	Syad.g_00788
OG0000135	Prap.g_00543	Syad.g_00063
OG0000136	Prap.g_01325	Syad.g_02445
OG0000137	Prap.g_01292	Syad.g_02353
OG0000138	Prap.g_01272	Syad.g_00920
OG0000139	Prap.g_01232	Syad.g_00983
OG0000140	Prap.g_01231	Syad.g_00987
OG0000141	Prap.g_01160	Syad.g_02208
OG0000142	Prap.g_00392	Syad.g_02152
OG0000143	Prap.g_00388	Syad.g_02148
OG0000144	Prap.g_00374	Syad.g_02024
OG0000145	Prap.g_00545	Syad.g_00927
OG0000146	Prap.g_01122	Syad.g_01767
OG0000147	Prap.g_01123	Syad.g_01768
OG0000148	Prap.g_00766	Syad.g_01861
OG0000149	Prap.g_00734	Syad.g_01221
OG0000150	Prap.g_00724	Syad.g_02207, Syad.g_00989
OG0000151	Prap.g_00848	Syad.g_01956
OG0000152	Prap.g_00257	Syad.g_01757
OG0000153	Prap.g_00276	Syad.g_01713
OG0000154	Prap.g_00296	Syad.g_01686
OG0000155	Prap.g_00435	Syad.g_01189
OG0000156	Prap.g_00550	Syad.g_01116
OG0000157	Prap.g_00551	Syad.g_01115
OG0000158	Prap.g_01598	Syad.g_00374
OG0000159	Prap.g_00890	Syad.g_00373
OG0000160	Prap.g_00122	Syad.g_02279
OG0000161	Prap.g_00128	Syad.g_02287
OG0000162	Prap.g_00134	Syad.g_02293
OG0000163	Prap.g_00173	Syad.g_02542
OG0000164	Prap.g_01754	Syad.g_02659
OG0000165	Prap.g_01747	Syad.g_02476
OG0000166	Prap.g_01680	Syad.g_00654
OG0000167	Prap.g_01608	Syad.g_00419
OG0000168	Prap.g_01597	Syad.g_00371
OG0000169	Prap.g_01587	Syad.g_00360
OG0000170	Prap.g_01584	Syad.g_00353
OG0000171	Prap.g_01564	Syad.g_00321
OG0000172	Prap.g_01557	Syad.g_00244
OG0000173	Prap.g_01542	Syad.g_00220
OG0000174	Prap.g_01513	Syad.g_00065
OG0000175	Prap.g_01500	Syad.g_00129
OG0000176	Prap.g_00050	Syad.g_00166
OG0000177	Prap.g_00049	Syad.g_00167
OG0000178	Prap.g_00048	Syad.g_00168
OG0000179	Prap.g_00939	Syad.g_00183
OG0000180	Prap.g_00938	Syad.g_00184
OG0000181	Prap.g_00937	Syad.g_00185
OG0000182	Prap.g_00936	Syad.g_00186
OG0000183	Prap.g_00932	Syad.g_00190
OG0000184	Prap.g_00906	Syad.g_03018
OG0000185	Prap.g_00903	Syad.g_03006
OG0000186	Prap.g_00887	Syad.g_02722
OG0000187	Prap.g_00886	Syad.g_02724
OG0000188	Prap.g_01096	Syad.g_02759
OG0000189	Prap.g_01082	Syad.g_02788
OG0000190	Prap.g_01080	Syad.g_02790
OG0000191	Prap.g_01057	Syad.g_02824
OG0000192	Prap.g_01052	Syad.g_02834
OG0000193	Prap.g_01025	Syad.g_02877
OG0000194	Prap.g_01022	Syad.g_02880
OG0000195	Prap.g_01020	Syad.g_02884
OG0000196	Prap.g_01009	Syad.g_02894
OG0000197	Prap.g_01008	Syad.g_02895
OG0000198	Prap.g_01007	Syad.g_02896
OG0000199	Prap.g_01000	Syad.g_02904
OG0000200	Prap.g_00986	Syad.g_02921
OG0000201	Prap.g_00977	Syad.g_02937
OG0000202	Prap.g_00976	Syad.g_02938
OG0000203	Prap.g_00975	Syad.g_02939
OG0000204	Prap.g_00974	Syad.g_02940
OG0000205	Prap.g_00967	Syad.g_02948
OG0000206	Prap.g_00962	Syad.g_02955
OG0000207	Prap.g_00959	Syad.g_02957
OG0000208	Prap.g_00958	Syad.g_02958
OG0000209	Prap.g_00949	Syad.g_02981
OG0000210	Prap.g_00948	Syad.g_02982
OG0000211	Prap.g_01479	Syad.g_00813
OG0000212	Prap.g_01471	Syad.g_00825
OG0000213	Prap.g_01453	Syad.g_00556
OG0000214	Prap.g_01443	Syad.g_00538
OG0000215	Prap.g_01416	Syad.g_00508
OG0000216	Prap.g_01415	Syad.g_00504, Syad.g_00285
OG0000217	Prap.g_01412	Syad.g_00500
OG0000218	Prap.g_01410	Syad.g_00498
OG0000219	Prap.g_01409	Syad.g_00497
OG0000220	Prap.g_01408	Syad.g_00496
OG0000221	Prap.g_01407	Syad.g_00488
OG0000222	Prap.g_01400	Syad.g_00473
OG0000223	Prap.g_01388	Syad.g_00451
OG0000224	Prap.g_01386	Syad.g_00444
OG0000225	Prap.g_01360	Syad.g_00777
OG0000226	Prap.g_01356	Syad.g_00781
OG0000227	Prap.g_01354	Syad.g_00783
OG0000228	Prap.g_01350	Syad.g_00784
OG0000229	Prap.g_01330	Syad.g_02450
OG0000230	Prap.g_01328	Syad.g_02448
OG0000231	Prap.g_01317	Syad.g_02436
OG0000232	Prap.g_01306	Syad.g_02392
OG0000233	Prap.g_01300	Syad.g_02382
OG0000234	Prap.g_01291	Syad.g_02351
OG0000235	Prap.g_01288	Syad.g_00903
OG0000236	Prap.g_01274	Syad.g_00918
OG0000237	Prap.g_01261	Syad.g_00936
OG0000238	Prap.g_01255	Syad.g_00941
OG0000239	Prap.g_01244	Syad.g_00957
OG0000240	Prap.g_01243	Syad.g_00958
OG0000241	Prap.g_01239	Syad.g_02160
OG0000242	Prap.g_01237	Syad.g_00975
OG0000243	Prap.g_01226	Syad.g_01000
OG0000244	Prap.g_01223	Syad.g_01012
OG0000245	Prap.g_01221	Syad.g_01014
OG0000246	Prap.g_01217	Syad.g_01017
OG0000247	Prap.g_01207	Syad.g_01029
OG0000248	Prap.g_01204	Syad.g_01032
OG0000249	Prap.g_01202	Syad.g_01034
OG0000250	Prap.g_01197	Syad.g_01044
OG0000251	Prap.g_01177	Syad.g_01071
OG0000252	Prap.g_01174	Syad.g_01078
OG0000253	Prap.g_01173	Syad.g_01081
OG0000254	Prap.g_01156	Syad.g_02203
OG0000255	Prap.g_01150	Syad.g_02185
OG0000256	Prap.g_01140	Syad.g_02167
OG0000257	Prap.g_00397	Syad.g_02161
OG0000258	Prap.g_00383	Syad.g_02143
OG0000259	Prap.g_00366	Syad.g_01576
OG0000260	Prap.g_00363	Syad.g_01587
OG0000261	Prap.g_00360	Syad.g_01590
OG0000262	Prap.g_00356	Syad.g_01595
OG0000263	Prap.g_00820	Syad.g_01475
OG0000264	Prap.g_00809	Syad.g_01360
OG0000265	Prap.g_00791	Syad.g_01383
OG0000266	Prap.g_00337	Syad.g_01804
OG0000267	Prap.g_00325	Syad.g_01645
OG0000268	Prap.g_00324	Syad.g_01646
OG0000269	Prap.g_00788	Syad.g_01894
OG0000270	Prap.g_00785	Syad.g_01891
OG0000271	Prap.g_00777	Syad.g_01883
OG0000272	Prap.g_00776	Syad.g_01882
OG0000273	Prap.g_00752	Syad.g_01247
OG0000274	Prap.g_00751	Syad.g_01246
OG0000275	Prap.g_00748	Syad.g_01242
OG0000276	Prap.g_00742	Syad.g_01229
OG0000277	Prap.g_00741	Syad.g_01228
OG0000278	Prap.g_00738	Syad.g_01225
OG0000279	Prap.g_00731	Syad.g_01208
OG0000280	Prap.g_00730	Syad.g_01198
OG0000281	Prap.g_00723	Syad.g_00624
OG0000282	Prap.g_00856	Syad.g_01619
OG0000283	Prap.g_00680	Syad.g_01661
OG0000284	Prap.g_00675	Syad.g_01787
OG0000285	Prap.g_00243	Syad.g_01776
OG0000286	Prap.g_00256	Syad.g_01758
OG0000287	Prap.g_00522	Syad.g_01720
OG0000288	Prap.g_00295	Syad.g_01687
OG0000289	Prap.g_00311	Syad.g_01672
OG0000290	Prap.g_00705	Syad.g_01287
OG0000291	Prap.g_00707	Syad.g_01289
OG0000292	Prap.g_00501	Syad.g_00155
OG0000293	Prap.g_00466	Syad.g_01124
OG0000294	Prap.g_00465	Syad.g_01125
OG0000295	Prap.g_00442	Syad.g_01181
OG0000296	Prap.g_00440	Syad.g_01183
OG0000297	Prap.g_00431	Syad.g_01512
OG0000298	Prap.g_00430	Syad.g_01511
OG0000299	Prap.g_00411	Syad.g_01462
OG0000300	Prap.g_00408	Syad.g_01455
OG0000301	Prap.g_00407	Syad.g_01454
OG0000302	Prap.g_00405	Syad.g_01453
OG0000303	Prap.g_00399	Syad.g_01442
OG0000304	Prap.g_01135	Syad.g_01436
OG0000305	Prap.g_00499	Syad.g_01292
OG0000306	Prap.g_00719	Syad.g_01989
OG0000307	Prap.g_00068	Syad.g_00883
OG0000308	Prap.g_00069	Syad.g_00881
OG0000309	Prap.g_00073	Syad.g_00876
OG0000310	Prap.g_00107	Syad.g_02250
OG0000311	Prap.g_00109	Syad.g_02254
OG0000312	Prap.g_00112	Syad.g_02265
OG0000313	Prap.g_00125	Syad.g_02284
OG0000314	Prap.g_00148	Syad.g_02313, Syad.g_02231
OG0000315	Prap.g_00158	Syad.g_02323
OG0000316	Prap.g_00183	Syad.g_02564
OG0000317	Prap.g_01782	Syad.g_02620
OG0000318	Prap.g_01778	Syad.g_02624
OG0000319	Prap.g_01765	Syad.g_02642
OG0000320	Prap.g_01763	Syad.g_02644
OG0000321	Prap.g_01762	Syad.g_02645
OG0000322	Prap.g_01761	Syad.g_02646
OG0000323	Prap.g_01751	Syad.g_02661
OG0000324	Prap.g_01724	Syad.g_02505
OG0000325	Prap.g_01713	Syad.g_00591
OG0000326	Prap.g_01706	Syad.g_00598
OG0000327	Prap.g_01685	Syad.g_00649
OG0000328	Prap.g_01684	Syad.g_00650
OG0000329	Prap.g_01667	Syad.g_00668
OG0000330	Prap.g_01666	Syad.g_00669
OG0000331	Prap.g_01665	Syad.g_00670
OG0000332	Prap.g_01651	Syad.g_00685
OG0000333	Prap.g_01648, Prap.g_01649	Syad.g_00688
OG0000334	Prap.g_01639	Syad.g_00697
OG0000335	Prap.g_01634	Syad.g_00702
OG0000336	Prap.g_01630	Syad.g_00706
OG0000337	Prap.g_01612	Syad.g_00425, Syad.g_00427
OG0000338	Prap.g_01611	Syad.g_00421
OG0000339	Prap.g_01605	Syad.g_00414
OG0000340	Prap.g_01596	Syad.g_00370
OG0000341	Prap.g_01594	Syad.g_00368
OG0000342	Prap.g_01593	Syad.g_00367
OG0000343	Prap.g_01592	Syad.g_00366
OG0000344	Prap.g_01589	Syad.g_00362
OG0000345	Prap.g_01583	Syad.g_00352
OG0000346	Prap.g_01579	Syad.g_00347
OG0000347	Prap.g_01562	Syad.g_00318
OG0000348	Prap.g_01554	Syad.g_00233
OG0000349	Prap.g_01537	Syad.g_00213
OG0000350	Prap.g_00623	Syad.g_00605
OG0000351	Prap.g_01497	Syad.g_00134
OG0000352	Prap.g_01496	Syad.g_00135
OG0000353	Prap.g_00055	Syad.g_00161
OG0000355	Prap.g_00053	Syad.g_00163
OG0000356	Prap.g_00052	Syad.g_00164
OG0000357	Prap.g_00051	Syad.g_00165
OG0000358	Prap.g_00047	Syad.g_00169
OG0000359	Prap.g_00046	Syad.g_00171
OG0000360	Prap.g_00045	Syad.g_00172
OG0000361	Prap.g_00044	Syad.g_00173
OG0000362	Prap.g_00042	Syad.g_00175
OG0000363	Prap.g_00941	Syad.g_00177
OG0000364	Prap.g_00940	Syad.g_00178
OG0000365	Prap.g_00935	Syad.g_00187
OG0000366	Prap.g_00934	Syad.g_00188
OG0000367	Prap.g_00933	Syad.g_00189
OG0000368	Prap.g_00931	Syad.g_00191
OG0000369	Prap.g_00930	Syad.g_00192
OG0000370	Prap.g_00929	Syad.g_00193
OG0000371	Prap.g_00922	Syad.g_00201
OG0000372	Prap.g_00919	Syad.g_00206
OG0000373	Prap.g_00918	Syad.g_00207
OG0000374	Prap.g_00917	Syad.g_00208
OG0000375	Prap.g_00915	Syad.g_00209
OG0000376	Prap.g_00913	Syad.g_00211
OG0000377	Prap.g_00909	Syad.g_03027
OG0000378	Prap.g_00905	Syad.g_03012
OG0000379	Prap.g_00902	Syad.g_03005
OG0000380	Prap.g_00885	Syad.g_02725
OG0000381	Prap.g_00880	Syad.g_02729
OG0000382	Prap.g_01097	Syad.g_02758
OG0000383	Prap.g_01095	Syad.g_02761
OG0000384	Prap.g_01094	Syad.g_02762
OG0000385	Prap.g_01093	Syad.g_02763
OG0000386	Prap.g_01092	Syad.g_02764
OG0000387	Prap.g_01078	Syad.g_02792
OG0000388	Prap.g_01074	Syad.g_02796
OG0000389	Prap.g_01071	Syad.g_02800
OG0000390	Prap.g_01061	Syad.g_02818
OG0000391	Prap.g_01058	Syad.g_02823
OG0000392	Prap.g_01054	Syad.g_02833
OG0000393	Prap.g_01051	Syad.g_02837
OG0000394	Prap.g_01050	Syad.g_02838
OG0000395	Prap.g_01049	Syad.g_02839
OG0000396	Prap.g_01047	Syad.g_02843
OG0000397	Prap.g_01045	Syad.g_02845
OG0000398	Prap.g_01042	Syad.g_02850
OG0000399	Prap.g_01041	Syad.g_02851
OG0000400	Prap.g_01040	Syad.g_02852
OG0000401	Prap.g_01039	Syad.g_02853
OG0000402	Prap.g_00319	Syad.g_02855
OG0000403	Prap.g_01037	Syad.g_02856
OG0000404	Prap.g_01036	Syad.g_02858
OG0000405	Prap.g_01032	Syad.g_02874
OG0000406	Prap.g_01024	Syad.g_02878
OG0000407	Prap.g_01023	Syad.g_02879
OG0000408	Prap.g_01021	Syad.g_02883
OG0000409	Prap.g_01019	Syad.g_02885
OG0000410	Prap.g_01018	Syad.g_02886
OG0000411	Prap.g_01017	Syad.g_02887
OG0000412	Prap.g_01016	Syad.g_02888
OG0000413	Prap.g_01014	Syad.g_02890
OG0000415	Prap.g_01012	Syad.g_02891
OG0000416	Prap.g_01011	Syad.g_02892
OG0000417	Prap.g_01010	Syad.g_02893
OG0000418	Prap.g_01005	Syad.g_02898
OG0000419	Prap.g_01003	Syad.g_02900
OG0000420	Prap.g_01002	Syad.g_02902
OG0000421	Prap.g_00997	Syad.g_02907
OG0000422	Prap.g_00996	Syad.g_02908
OG0000423	Prap.g_00995	Syad.g_02909
OG0000424	Prap.g_00994	Syad.g_02910
OG0000425	Prap.g_00993	Syad.g_02911
OG0000426	Prap.g_00992	Syad.g_02912
OG0000427	Prap.g_00991	Syad.g_02913
OG0000428	Prap.g_00989	Syad.g_02916
OG0000429	Prap.g_00988	Syad.g_02918
OG0000430	Prap.g_00987	Syad.g_02920
OG0000431	Prap.g_00985	Syad.g_02923
OG0000432	Prap.g_00981	Syad.g_02930
OG0000433	Prap.g_00980	Syad.g_02933
OG0000434	Prap.g_00979	Syad.g_02934
OG0000435	Prap.g_00978	Syad.g_02936
OG0000436	Prap.g_00973	Syad.g_02942
OG0000437	Prap.g_00972	Syad.g_02943
OG0000438	Prap.g_00971	Syad.g_02944
OG0000439	Prap.g_00969	Syad.g_02946
OG0000440	Prap.g_00968	Syad.g_02947
OG0000441	Prap.g_00965	Syad.g_02951
OG0000442	Prap.g_00964	Syad.g_02952
OG0000443	Prap.g_00963	Syad.g_02953
OG0000444	Prap.g_00957	Syad.g_02964
OG0000445	Prap.g_00956	Syad.g_02965
OG0000446	Prap.g_00955	Syad.g_02967
OG0000447	Prap.g_00954	Syad.g_02970
OG0000448	Prap.g_00953	Syad.g_02971
OG0000449	Prap.g_00952	Syad.g_02972
OG0000450	Prap.g_00951	Syad.g_02978
OG0000451	Prap.g_00950	Syad.g_02979
OG0000452	Prap.g_00947	Syad.g_02983
OG0000453	Prap.g_00946	Syad.g_02984
OG0000454	Prap.g_00945	Syad.g_02985
OG0000455	Prap.g_00944	Syad.g_02986
OG0000456	Prap.g_00943	Syad.g_02987
OG0000457	Prap.g_01487	Syad.g_02989
OG0000458	Prap.g_01486	Syad.g_02998
OG0000459	Prap.g_01485	Syad.g_02999
OG0000460	Prap.g_01477	Syad.g_00815
OG0000461	Prap.g_01469	Syad.g_00579
OG0000462	Prap.g_01467	Syad.g_00576
OG0000463	Prap.g_01466	Syad.g_00575
OG0000464	Prap.g_01465	Syad.g_00574
OG0000465	Prap.g_01464	Syad.g_00573
OG0000466	Prap.g_01461	Syad.g_00568
OG0000467	Prap.g_01460	Syad.g_00566
OG0000468	Prap.g_01457	Syad.g_00561
OG0000469	Prap.g_01449	Syad.g_00545
OG0000470	Prap.g_01447	Syad.g_00542
OG0000471	Prap.g_01446	Syad.g_00541
OG0000472	Prap.g_01444	Syad.g_00539
OG0000473	Prap.g_01442	Syad.g_00537
OG0000474	Prap.g_01441	Syad.g_00536
OG0000475	Prap.g_01440	Syad.g_00535
OG0000476	Prap.g_01438	Syad.g_00533
OG0000477	Prap.g_01435	Syad.g_00528
OG0000478	Prap.g_01434	Syad.g_00527
OG0000479	Prap.g_01433	Syad.g_00526
OG0000480	Prap.g_01428	Syad.g_00520
OG0000481	Prap.g_01425	Syad.g_00518
OG0000482	Prap.g_01424	Syad.g_00517
OG0000483	Prap.g_01421	Syad.g_00513
OG0000484	Prap.g_01420	Syad.g_00512
OG0000485	Prap.g_01418	Syad.g_00511
OG0000486	Prap.g_01417	Syad.g_00510
OG0000487	Prap.g_01414	Syad.g_00503
OG0000488	Prap.g_01411	Syad.g_00499
OG0000489	Prap.g_01406	Syad.g_00487
OG0000490	Prap.g_01402	Syad.g_00475
OG0000491	Prap.g_01401	Syad.g_00474
OG0000492	Prap.g_01399	Syad.g_00472
OG0000493	Prap.g_01398	Syad.g_00471
OG0000494	Prap.g_01397	Syad.g_00470
OG0000495	Prap.g_01396	Syad.g_00469
OG0000496	Prap.g_01395	Syad.g_00468
OG0000497	Prap.g_01394	Syad.g_00467
OG0000498	Prap.g_01393	Syad.g_00466
OG0000499	Prap.g_01392	Syad.g_00465
OG0000500	Prap.g_01391	Syad.g_00464
OG0000501	Prap.g_01390	Syad.g_00461
OG0000502	Prap.g_01387	Syad.g_00449
OG0000503	Prap.g_01372	Syad.g_00761
OG0000504	Prap.g_01370	Syad.g_00763
OG0000505	Prap.g_01369	Syad.g_00764
OG0000506	Prap.g_01368	Syad.g_00766
OG0000507	Prap.g_01365	Syad.g_00772
OG0000508	Prap.g_01361	Syad.g_00776
OG0000509	Prap.g_01359	Syad.g_00778
OG0000510	Prap.g_01358	Syad.g_00779
OG0000511	Prap.g_01357	Syad.g_00780
OG0000512	Prap.g_01355	Syad.g_00782
OG0000513	Prap.g_01346	Syad.g_00789
OG0000514	Prap.g_01335	Syad.g_00795
OG0000515	Prap.g_01334	Syad.g_00796
OG0000516	Prap.g_01333	Syad.g_02456
OG0000517	Prap.g_01331	Syad.g_02451
OG0000518	Prap.g_01320	Syad.g_02439
OG0000519	Prap.g_01319	Syad.g_02438
OG0000520	Prap.g_01318	Syad.g_02437
OG0000521	Prap.g_01310	Syad.g_01108
OG0000522	Prap.g_01308	Syad.g_01109
OG0000523	Prap.g_01307	Syad.g_01110
OG0000524	Prap.g_01302	Syad.g_02386
OG0000525	Prap.g_01298	Syad.g_02363
OG0000526	Prap.g_01297	Syad.g_02360
OG0000527	Prap.g_01294	Syad.g_02355
OG0000528	Prap.g_01289	Syad.g_00897
OG0000529	Prap.g_01286	Syad.g_00905
OG0000530	Prap.g_01283	Syad.g_00908
OG0000531	Prap.g_01282	Syad.g_00909
OG0000532	Prap.g_01280	Syad.g_00912
OG0000533	Prap.g_01279	Syad.g_00913
OG0000534	Prap.g_01278	Syad.g_00914
OG0000535	Prap.g_01277	Syad.g_00915
OG0000536	Prap.g_01276	Syad.g_00916
OG0000537	Prap.g_01275	Syad.g_00917
OG0000538	Prap.g_01266	Syad.g_00929
OG0000539	Prap.g_01265	Syad.g_00930
OG0000540	Prap.g_01264	Syad.g_00931
OG0000541	Prap.g_01263	Syad.g_00932
OG0000542	Prap.g_01262	Syad.g_00935
OG0000543	Prap.g_01260	Syad.g_00937
OG0000544	Prap.g_01259	Syad.g_00938
OG0000545	Prap.g_01257	Syad.g_00940
OG0000546	Prap.g_01254	Syad.g_00942
OG0000547	Prap.g_01252	Syad.g_00944
OG0000548	Prap.g_01251	Syad.g_00945
OG0000549	Prap.g_01249	Syad.g_00952
OG0000550	Prap.g_01245	Syad.g_00956
OG0000551	Prap.g_01242	Syad.g_00960
OG0000552	Prap.g_01241	Syad.g_00961
OG0000553	Prap.g_01240	Syad.g_00965
OG0000554	Prap.g_01235	Syad.g_00978
OG0000555	Prap.g_01227	Syad.g_00999
OG0000556	Prap.g_01225	Syad.g_01003
OG0000557	Prap.g_01224	Syad.g_01011
OG0000558	Prap.g_01222	Syad.g_01013
OG0000559	Prap.g_01218	Syad.g_01016
OG0000560	Prap.g_01215	Syad.g_01019
OG0000561	Prap.g_01214	Syad.g_01020
OG0000562	Prap.g_01213	Syad.g_01021
OG0000563	Prap.g_01212	Syad.g_01022
OG0000564	Prap.g_01211	Syad.g_01023
OG0000565	Prap.g_01209	Syad.g_01027
OG0000566	Prap.g_01205	Syad.g_01031
OG0000567	Prap.g_01201	Syad.g_01035
OG0000568	Prap.g_01200	Syad.g_01040
OG0000569	Prap.g_01199	Syad.g_01041
OG0000570	Prap.g_01198	Syad.g_01042
OG0000571	Prap.g_01196	Syad.g_01046
OG0000572	Prap.g_01182	Syad.g_01064
OG0000573	Prap.g_01176	Syad.g_01072
OG0000574	Prap.g_01175	Syad.g_01077
OG0000575	Prap.g_01171	Syad.g_01083
OG0000576	Prap.g_01169	Syad.g_01085
