Orthogroup	Prap	Syao
OG0000045	Prap.g_00500	Syao.g_01214
OG0000046	Prap.g_01384	Syao.g_01909, Syao.g_01845
OG0000047	Prap.g_01343	Syao.g_01899
OG0000048	Prap.g_00548	Syao.g_02077
OG0000052	Prap.g_00897	Syao.g_01972
OG0000053	Prap.g_00142, Prap.g_01834	Syao.g_00067
OG0000054	Prap.g_01161	Syao.g_00295, Syao.g_00625
OG0000055	Prap.g_01805	Syao.g_00498
OG0000057	Prap.g_00799	Syao.g_00377
OG0000058	Prap.g_00081	Syao.g_01978, Syao.g_01080
OG0000059	Prap.g_01691	Syao.g_01801
OG0000061	Prap.g_00456	Syao.g_00123
OG0000062	Prap.g_00206	Syao.g_01576
OG0000063	Prap.g_01903	Syao.g_02230
OG0000064	Prap.g_00883	Syao.g_01898, Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605
OG0000065	Prap.g_01069	Syao.g_02600
OG0000066	Prap.g_01230, Prap.g_01867	Syao.g_01422
OG0000067	Prap.g_00783	Syao.g_00756
OG0000068	Prap.g_00059	Syao.g_00868, Syao.g_00036
OG0000069	Prap.g_01312	Syao.g_01265, Syao.g_01460, Syao.g_00313
OG0000070	Prap.g_01316	Syao.g_00330
OG0000071	Prap.g_00561	Syao.g_01433
OG0000072	Prap.g_00999	Syao.g_02509, Syao.g_01749
OG0000073	Prap.g_01267	Syao.g_00103
OG0000075	Prap.g_01606	Syao.g_02257
OG0000076	Prap.g_01580	Syao.g_01949
OG0000077	Prap.g_01099	Syao.g_02629
OG0000078	Prap.g_01472	Syao.g_01709
OG0000079	Prap.g_01459	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000080	Prap.g_00093, Prap.g_00095	Syao.g_02269
OG0000082	Prap.g_01183, Prap.g_01790	Syao.g_01035
OG0000084	Prap.g_00118	Syao.g_01509, Syao.g_02606
OG0000085	Prap.g_01917, Prap.g_01787	Syao.g_01569
OG0000086	Prap.g_01090	Syao.g_02653, Syao.g_01240
OG0000087	Prap.g_01035	Syao.g_02555
OG0000088	Prap.g_01004	Syao.g_02503
OG0000089	Prap.g_01349	Syao.g_01716
OG0000090	Prap.g_01236	Syao.g_01412
OG0000091	Prap.g_00384	Syao.g_00902
OG0000093	Prap.g_00355	Syao.g_00739
OG0000094	Prap.g_00306	Syao.g_00458
OG0000095	Prap.g_00708	Syao.g_00331
OG0000097	Prap.g_00410	Syao.g_00973
OG0000098	Prap.g_01928	Syao.g_01374
OG0000099	Prap.g_00082	Syao.g_02019
OG0000100	Prap.g_00200	Syao.g_00787
OG0000101	Prap.g_01642	Syao.g_01840
OG0000102	Prap.g_01575	Syao.g_01945
OG0000103	Prap.g_01491	Syao.g_02340
OG0000104	Prap.g_01869	Syao.g_02157
OG0000105	Prap.g_01436	Syao.g_02071, Syao.g_02072
OG0000106	Prap.g_00591	Syao.g_01385
OG0000107	Prap.g_01714	Syao.g_01935
OG0000108	Prap.g_01287	Syao.g_00028
OG0000109	Prap.g_01273	Syao.g_00110
OG0000110	Prap.g_01194	Syao.g_01051
OG0000111	Prap.g_00798	Syao.g_00378
OG0000112	Prap.g_01121	Syao.g_00683, Syao.g_00303
OG0000113	Prap.g_00760	Syao.g_00782
OG0000114	Prap.g_00858	Syao.g_00965
OG0000115	Prap.g_00525	Syao.g_01464, Syao.g_00065
OG0000116	Prap.g_00467	Syao.g_00137
OG0000117	Prap.g_00429	Syao.g_00169
OG0000118	Prap.g_00574	Syao.g_01475
OG0000120	Prap.g_00079	Syao.g_02009
OG0000121	Prap.g_00123	Syao.g_01489
OG0000122	Prap.g_00532, Prap.g_00164	Syao.g_01247
OG0000123	Prap.g_01635	Syao.g_01832
OG0000124	Prap.g_01563	Syao.g_02179
OG0000125	Prap.g_01528	Syao.g_02444
OG0000126	Prap.g_01870	Syao.g_02198
OG0000128	Prap.g_00043	Syao.g_02149
OG0000129	Prap.g_00910	Syao.g_02434
OG0000130	Prap.g_00881	Syao.g_02617
OG0000131	Prap.g_01026	Syao.g_02480
OG0000132	Prap.g_01006	Syao.g_02501
OG0000133	Prap.g_01389	Syao.g_00678
OG0000134	Prap.g_01347	Syao.g_01719
OG0000135	Prap.g_00543	Syao.g_00147
OG0000136	Prap.g_01325	Syao.g_01614, Syao.g_01613
OG0000137	Prap.g_01292	Syao.g_02682
OG0000138	Prap.g_01272	Syao.g_00108
OG0000139	Prap.g_01232	Syao.g_01418, Syao.g_02005
OG0000140	Prap.g_01231	Syao.g_01373, Syao.g_01372
OG0000141	Prap.g_01160	Syao.g_01202
OG0000142	Prap.g_00392	Syao.g_00894
OG0000143	Prap.g_00388	Syao.g_00898
OG0000145	Prap.g_00545	Syao.g_00102
OG0000146	Prap.g_01122	Syao.g_00684, Syao.g_00304
OG0000147	Prap.g_01123	Syao.g_00305, Syao.g_00685
OG0000148	Prap.g_00766	Syao.g_00776
OG0000149	Prap.g_00734	Syao.g_00534
OG0000150	Prap.g_00724	Syao.g_01203
OG0000151	Prap.g_00848	Syao.g_00975
OG0000152	Prap.g_00257	Syao.g_00674
OG0000153	Prap.g_00276	Syao.g_00818, Syao.g_01176
OG0000154	Prap.g_00296	Syao.g_00447
OG0000155	Prap.g_00435	Syao.g_00178
OG0000156	Prap.g_00550	Syao.g_00151
OG0000157	Prap.g_00551	Syao.g_00152
OG0000158	Prap.g_01598	Syao.g_01141, Syao.g_02267
OG0000159	Prap.g_00890	Syao.g_02006
OG0000160	Prap.g_00122	Syao.g_01488
OG0000161	Prap.g_00128	Syao.g_01494
OG0000162	Prap.g_00134	Syao.g_01515
OG0000163	Prap.g_00173	Syao.g_01745
OG0000164	Prap.g_01754	Syao.g_01663
OG0000165	Prap.g_01747	Syao.g_01655
OG0000166	Prap.g_01680	Syao.g_01790
OG0000167	Prap.g_01608	Syao.g_01960
OG0000168	Prap.g_01597	Syao.g_02128
OG0000169	Prap.g_01587	Syao.g_02139
OG0000170	Prap.g_01584	Syao.g_02148
OG0000171	Prap.g_01564	Syao.g_02181
OG0000172	Prap.g_01557	Syao.g_02170
OG0000173	Prap.g_01542	Syao.g_02212
OG0000174	Prap.g_01513	Syao.g_02364, Syao.g_02355
OG0000175	Prap.g_01500	Syao.g_02327, Syao.g_00308
OG0000176	Prap.g_00050	Syao.g_02165
OG0000177	Prap.g_00049	Syao.g_02156
OG0000178	Prap.g_00048	Syao.g_02155
OG0000179	Prap.g_00939	Syao.g_02250
OG0000180	Prap.g_00938	Syao.g_02249
OG0000181	Prap.g_00937	Syao.g_02248
OG0000182	Prap.g_00936	Syao.g_02247
OG0000183	Prap.g_00932	Syao.g_02243
OG0000184	Prap.g_00906	Syao.g_02423
OG0000185	Prap.g_00903	Syao.g_02410
OG0000186	Prap.g_00887	Syao.g_02613
OG0000187	Prap.g_00886	Syao.g_02615
OG0000188	Prap.g_01096	Syao.g_02637
OG0000189	Prap.g_01082	Syao.g_02672
OG0000190	Prap.g_01080	Syao.g_01015
OG0000191	Prap.g_01057	Syao.g_02573
OG0000192	Prap.g_01052	Syao.g_02579
OG0000193	Prap.g_01025	Syao.g_02481
OG0000194	Prap.g_01022	Syao.g_02484
OG0000195	Prap.g_01020	Syao.g_02486
OG0000196	Prap.g_01009	Syao.g_02498
OG0000197	Prap.g_01008	Syao.g_02499
OG0000198	Prap.g_01007	Syao.g_02500
OG0000199	Prap.g_01000	Syao.g_02508
OG0000200	Prap.g_00986	Syao.g_02524
OG0000201	Prap.g_00977	Syao.g_02540
OG0000202	Prap.g_00976	Syao.g_02454
OG0000203	Prap.g_00975	Syao.g_02455
OG0000204	Prap.g_00974	Syao.g_02456
OG0000205	Prap.g_00967	Syao.g_02464
OG0000206	Prap.g_00962	Syao.g_02469
OG0000207	Prap.g_00959	Syao.g_02471
OG0000208	Prap.g_00958	Syao.g_02472
OG0000209	Prap.g_00949	Syao.g_02394
OG0000210	Prap.g_00948	Syao.g_02395
OG0000211	Prap.g_01479	Syao.g_01700
OG0000212	Prap.g_01471	Syao.g_01710
OG0000213	Prap.g_01453	Syao.g_02098
OG0000214	Prap.g_01443	Syao.g_02081
OG0000215	Prap.g_01416	Syao.g_02050
OG0000216	Prap.g_01415	Syao.g_02045
OG0000217	Prap.g_01412	Syao.g_02041
OG0000218	Prap.g_01410	Syao.g_02039
OG0000219	Prap.g_01409	Syao.g_02038
OG0000220	Prap.g_01408	Syao.g_02037
OG0000221	Prap.g_01407	Syao.g_02034
OG0000222	Prap.g_01400	Syao.g_02023
OG0000223	Prap.g_01388	Syao.g_00291
OG0000224	Prap.g_01386	Syao.g_01973
OG0000225	Prap.g_01360	Syao.g_01751
OG0000226	Prap.g_01356	Syao.g_01758
OG0000227	Prap.g_01354	Syao.g_01760
OG0000228	Prap.g_01350	Syao.g_01715
OG0000229	Prap.g_01330	Syao.g_01736
OG0000230	Prap.g_01328	Syao.g_01738
OG0000231	Prap.g_01317	Syao.g_01513
OG0000232	Prap.g_01306	Syao.g_00057
OG0000233	Prap.g_01300	Syao.g_02698
OG0000234	Prap.g_01291	Syao.g_02680
OG0000235	Prap.g_01288	Syao.g_00029
OG0000236	Prap.g_01274	Syao.g_00111
OG0000237	Prap.g_01261	Syao.g_00166
OG0000238	Prap.g_01255	Syao.g_00161
OG0000239	Prap.g_01244	Syao.g_01398
OG0000240	Prap.g_01243	Syao.g_01399
OG0000241	Prap.g_01239	Syao.g_00887
OG0000242	Prap.g_01237	Syao.g_01410
OG0000243	Prap.g_01226	Syao.g_00873
OG0000244	Prap.g_01223	Syao.g_00865
OG0000245	Prap.g_01221	Syao.g_00863
OG0000246	Prap.g_01217	Syao.g_00859
OG0000247	Prap.g_01207	Syao.g_00847
OG0000248	Prap.g_01204	Syao.g_00844
OG0000249	Prap.g_01202	Syao.g_00842
OG0000250	Prap.g_01197	Syao.g_00835
OG0000251	Prap.g_01177	Syao.g_01026
OG0000252	Prap.g_01174	Syao.g_01020
OG0000253	Prap.g_01173	Syao.g_01003
OG0000254	Prap.g_01156	Syao.g_01053
OG0000255	Prap.g_01150	Syao.g_01009
OG0000256	Prap.g_01140	Syao.g_01328
OG0000257	Prap.g_00397	Syao.g_00884
OG0000258	Prap.g_00383	Syao.g_00907
OG0000259	Prap.g_00366	Syao.g_00933, Syao.g_00932
OG0000260	Prap.g_00363	Syao.g_00936
OG0000261	Prap.g_00360	Syao.g_00941
OG0000262	Prap.g_00356	Syao.g_00946
OG0000263	Prap.g_00820	Syao.g_00247
OG0000264	Prap.g_00809	Syao.g_00699
OG0000265	Prap.g_00791	Syao.g_00049
OG0000266	Prap.g_00337	Syao.g_00480
OG0000267	Prap.g_00325	Syao.g_00589
OG0000268	Prap.g_00324	Syao.g_00588
OG0000269	Prap.g_00788	Syao.g_00751
OG0000270	Prap.g_00785	Syao.g_00754
OG0000271	Prap.g_00777	Syao.g_00762
OG0000272	Prap.g_00776	Syao.g_00763
OG0000273	Prap.g_00752	Syao.g_00791
OG0000274	Prap.g_00751	Syao.g_00792
OG0000275	Prap.g_00748	Syao.g_00438
OG0000276	Prap.g_00742	Syao.g_00558
OG0000277	Prap.g_00741	Syao.g_00557
OG0000278	Prap.g_00738	Syao.g_00554
OG0000279	Prap.g_00731	Syao.g_00529
OG0000280	Prap.g_00730	Syao.g_00608
OG0000281	Prap.g_00723	Syao.g_01377
OG0000282	Prap.g_00856	Syao.g_00967
OG0000283	Prap.g_00680	Syao.g_00640
OG0000284	Prap.g_00675	Syao.g_00634
OG0000285	Prap.g_00243	Syao.g_00706
OG0000286	Prap.g_00256	Syao.g_00675
OG0000287	Prap.g_00522	Syao.g_00825
OG0000288	Prap.g_00295	Syao.g_00446
OG0000289	Prap.g_00311	Syao.g_00461
OG0000290	Prap.g_00705	Syao.g_00428
OG0000291	Prap.g_00707	Syao.g_00333
OG0000292	Prap.g_00501	Syao.g_02196
OG0000293	Prap.g_00466	Syao.g_00136
OG0000294	Prap.g_00465	Syao.g_00135
OG0000295	Prap.g_00442	Syao.g_00186
OG0000296	Prap.g_00440	Syao.g_00184
OG0000297	Prap.g_00431	Syao.g_00171
OG0000298	Prap.g_00430	Syao.g_00170
OG0000299	Prap.g_00411	Syao.g_00231
OG0000300	Prap.g_00408	Syao.g_00274
OG0000301	Prap.g_00407	Syao.g_00272, Syao.g_00273
OG0000302	Prap.g_00405	Syao.g_00271
OG0000303	Prap.g_00399	Syao.g_00262
OG0000304	Prap.g_01135	Syao.g_00256
OG0000305	Prap.g_00499	Syao.g_00388
OG0000306	Prap.g_00719	Syao.g_01216
OG0000307	Prap.g_00068	Syao.g_00045
OG0000308	Prap.g_00069	Syao.g_00047
OG0000309	Prap.g_00073	Syao.g_02705
OG0000310	Prap.g_00107	Syao.g_01530
OG0000311	Prap.g_00109	Syao.g_01533
OG0000312	Prap.g_00112	Syao.g_01538
OG0000313	Prap.g_00125	Syao.g_01491
OG0000314	Prap.g_00148	Syao.g_00078
OG0000315	Prap.g_00158	Syao.g_00088
OG0000316	Prap.g_00183	Syao.g_01602
OG0000317	Prap.g_01782	Syao.g_01560
OG0000318	Prap.g_01778	Syao.g_01553
OG0000319	Prap.g_01765	Syao.g_01678
OG0000320	Prap.g_01763	Syao.g_01676
OG0000321	Prap.g_01762	Syao.g_01675
OG0000322	Prap.g_01761	Syao.g_01674
OG0000323	Prap.g_01751	Syao.g_01661
OG0000324	Prap.g_01724	Syao.g_01630
OG0000325	Prap.g_01713	Syao.g_01936
OG0000326	Prap.g_01706	Syao.g_01918
OG0000327	Prap.g_01685	Syao.g_01795
OG0000328	Prap.g_01684	Syao.g_01794
OG0000329	Prap.g_01667	Syao.g_01776
OG0000330	Prap.g_01666	Syao.g_01775
OG0000331	Prap.g_01665	Syao.g_01774
OG0000332	Prap.g_01651	Syao.g_01813
OG0000333	Prap.g_01648, Prap.g_01649	Syao.g_01810
OG0000334	Prap.g_01639	Syao.g_01836
OG0000335	Prap.g_01634	Syao.g_01831
OG0000336	Prap.g_01630	Syao.g_01827
OG0000337	Prap.g_01612	Syao.g_01968
OG0000338	Prap.g_01611	Syao.g_01962
OG0000339	Prap.g_01605	Syao.g_02259
OG0000340	Prap.g_01596	Syao.g_02129
OG0000341	Prap.g_01594	Syao.g_02131
OG0000342	Prap.g_01593	Syao.g_02132
OG0000343	Prap.g_01592	Syao.g_02133
OG0000344	Prap.g_01589	Syao.g_02137
OG0000345	Prap.g_01583	Syao.g_01953
OG0000346	Prap.g_01579	Syao.g_01948
OG0000347	Prap.g_01562	Syao.g_02178
OG0000348	Prap.g_01554	Syao.g_02166
OG0000349	Prap.g_01537	Syao.g_02219
OG0000350	Prap.g_00623	Syao.g_01925
OG0000351	Prap.g_01497	Syao.g_02331
OG0000352	Prap.g_01496	Syao.g_02332
OG0000353	Prap.g_00055	Syao.g_02160
OG0000355	Prap.g_00053	Syao.g_02162
OG0000356	Prap.g_00052	Syao.g_02163
OG0000357	Prap.g_00051	Syao.g_02164
OG0000358	Prap.g_00047	Syao.g_02154
OG0000359	Prap.g_00046	Syao.g_02152
OG0000360	Prap.g_00045	Syao.g_02151
OG0000361	Prap.g_00044	Syao.g_02150
OG0000362	Prap.g_00042	Syao.g_01954
OG0000363	Prap.g_00941	Syao.g_02255
OG0000364	Prap.g_00940	Syao.g_01558
OG0000365	Prap.g_00935	Syao.g_02246
OG0000366	Prap.g_00934	Syao.g_02245
OG0000367	Prap.g_00933	Syao.g_02244
OG0000368	Prap.g_00931	Syao.g_02242
OG0000369	Prap.g_00930	Syao.g_02241
OG0000370	Prap.g_00929	Syao.g_02240
OG0000371	Prap.g_00922	Syao.g_02231
OG0000372	Prap.g_00919	Syao.g_02226
OG0000373	Prap.g_00918	Syao.g_02225
OG0000374	Prap.g_00917	Syao.g_02224
OG0000375	Prap.g_00915	Syao.g_02223
OG0000376	Prap.g_00913	Syao.g_02221
OG0000377	Prap.g_00909	Syao.g_02429
OG0000378	Prap.g_00905	Syao.g_02414
OG0000379	Prap.g_00902	Syao.g_02409
OG0000380	Prap.g_00885	Syao.g_02616
OG0000381	Prap.g_00880	Syao.g_02618
OG0000382	Prap.g_01097	Syao.g_02636
OG0000383	Prap.g_01095	Syao.g_02643
OG0000384	Prap.g_01094	Syao.g_02644
OG0000385	Prap.g_01093	Syao.g_02645
OG0000386	Prap.g_01092	Syao.g_02646
OG0000387	Prap.g_01078	Syao.g_01019
OG0000388	Prap.g_01074	Syao.g_02596
OG0000389	Prap.g_01071	Syao.g_02599
OG0000390	Prap.g_01061	Syao.g_02567
OG0000391	Prap.g_01058	Syao.g_02572
OG0000392	Prap.g_01054	Syao.g_02578
OG0000393	Prap.g_01051	Syao.g_02581
OG0000394	Prap.g_01050	Syao.g_02582
OG0000395	Prap.g_01049	Syao.g_02583
OG0000396	Prap.g_01047	Syao.g_02586
OG0000397	Prap.g_01045	Syao.g_02542
OG0000398	Prap.g_01042	Syao.g_02547
OG0000399	Prap.g_01041	Syao.g_02548
OG0000400	Prap.g_01040	Syao.g_02549
OG0000401	Prap.g_01039	Syao.g_02550
OG0000402	Prap.g_00319	Syao.g_02552
OG0000403	Prap.g_01037	Syao.g_02553
OG0000404	Prap.g_01036	Syao.g_02554
OG0000405	Prap.g_01032	Syao.g_02478
OG0000406	Prap.g_01024	Syao.g_02482
OG0000407	Prap.g_01023	Syao.g_02483
OG0000408	Prap.g_01021	Syao.g_02485
OG0000409	Prap.g_01019	Syao.g_02487
OG0000410	Prap.g_01018	Syao.g_02488
OG0000411	Prap.g_01017	Syao.g_02489
OG0000412	Prap.g_01016	Syao.g_02490
OG0000413	Prap.g_01014	Syao.g_02492
OG0000414	Prap.g_01013	Syao.g_02493
OG0000415	Prap.g_01012	Syao.g_02494
OG0000416	Prap.g_01011	Syao.g_02495
OG0000417	Prap.g_01010	Syao.g_02497
OG0000418	Prap.g_01005	Syao.g_02502
OG0000419	Prap.g_01003	Syao.g_02504
OG0000420	Prap.g_01002	Syao.g_02506
OG0000421	Prap.g_00997	Syao.g_02510
OG0000422	Prap.g_00996	Syao.g_02511
OG0000423	Prap.g_00995	Syao.g_02512
OG0000424	Prap.g_00994	Syao.g_02513
OG0000425	Prap.g_00993	Syao.g_02514
OG0000426	Prap.g_00992	Syao.g_02515
OG0000427	Prap.g_00991	Syao.g_02516
OG0000428	Prap.g_00989	Syao.g_02519
OG0000429	Prap.g_00988	Syao.g_02522
OG0000430	Prap.g_00987	Syao.g_02523
OG0000431	Prap.g_00985	Syao.g_02526
OG0000432	Prap.g_00981	Syao.g_02532
OG0000433	Prap.g_00980	Syao.g_02534
OG0000434	Prap.g_00979	Syao.g_02535
OG0000435	Prap.g_00978	Syao.g_02538
OG0000436	Prap.g_00973	Syao.g_02458
OG0000437	Prap.g_00972	Syao.g_02459
OG0000438	Prap.g_00971	Syao.g_02460
OG0000439	Prap.g_00969	Syao.g_02462
OG0000440	Prap.g_00968	Syao.g_02463
OG0000441	Prap.g_00965	Syao.g_02466
OG0000442	Prap.g_00964	Syao.g_02467
OG0000443	Prap.g_00963	Syao.g_02468
OG0000444	Prap.g_00957	Syao.g_02473
OG0000445	Prap.g_00956	Syao.g_02474
OG0000446	Prap.g_00955	Syao.g_02476
OG0000447	Prap.g_00954	Syao.g_02383
OG0000448	Prap.g_00953	Syao.g_02384
OG0000449	Prap.g_00952	Syao.g_02385
OG0000450	Prap.g_00951	Syao.g_02391
OG0000451	Prap.g_00950	Syao.g_02392
OG0000452	Prap.g_00947	Syao.g_02396
OG0000453	Prap.g_00946	Syao.g_02397
OG0000454	Prap.g_00945	Syao.g_02398
OG0000455	Prap.g_00944	Syao.g_02399
OG0000456	Prap.g_00943	Syao.g_02400
OG0000457	Prap.g_01487	Syao.g_02402
OG0000458	Prap.g_01486	Syao.g_02403
OG0000459	Prap.g_01485	Syao.g_02404
OG0000460	Prap.g_01477	Syao.g_01702
OG0000461	Prap.g_01469	Syao.g_02119
OG0000462	Prap.g_01467	Syao.g_02116
OG0000463	Prap.g_01466	Syao.g_02115
OG0000464	Prap.g_01465	Syao.g_02114
OG0000465	Prap.g_01464	Syao.g_02112
OG0000466	Prap.g_01461	Syao.g_02107
OG0000467	Prap.g_01460	Syao.g_02106
OG0000468	Prap.g_01457	Syao.g_02102
OG0000469	Prap.g_01449	Syao.g_02087
OG0000470	Prap.g_01447	Syao.g_02085
OG0000471	Prap.g_01446	Syao.g_02084
OG0000472	Prap.g_01444	Syao.g_02082
OG0000473	Prap.g_01442	Syao.g_02080
OG0000474	Prap.g_01441	Syao.g_02079
OG0000475	Prap.g_01440	Syao.g_02078
OG0000476	Prap.g_01438	Syao.g_02076
OG0000477	Prap.g_01435	Syao.g_02069
OG0000478	Prap.g_01434	Syao.g_02068
OG0000479	Prap.g_01433	Syao.g_02067
OG0000480	Prap.g_01428	Syao.g_02060
OG0000481	Prap.g_01425	Syao.g_01012
OG0000482	Prap.g_01424	Syao.g_02058
OG0000483	Prap.g_01421	Syao.g_02054
OG0000484	Prap.g_01420	Syao.g_02053
OG0000485	Prap.g_01418	Syao.g_02052
OG0000486	Prap.g_01417	Syao.g_02051
OG0000487	Prap.g_01414	Syao.g_02044
OG0000488	Prap.g_01411	Syao.g_02040
OG0000489	Prap.g_01406	Syao.g_02033
OG0000490	Prap.g_01402	Syao.g_02025
OG0000491	Prap.g_01401	Syao.g_02024
OG0000492	Prap.g_01399	Syao.g_02022
OG0000493	Prap.g_01398	Syao.g_02021
OG0000494	Prap.g_01397	Syao.g_02020
OG0000495	Prap.g_01396	Syao.g_02018
OG0000496	Prap.g_01395	Syao.g_02017
OG0000497	Prap.g_01394	Syao.g_02016
OG0000498	Prap.g_01393	Syao.g_02015
OG0000499	Prap.g_01392	Syao.g_02014
OG0000500	Prap.g_01391	Syao.g_02013
OG0000501	Prap.g_01390	Syao.g_02010
OG0000502	Prap.g_01387	Syao.g_01974
OG0000503	Prap.g_01372	Syao.g_01877
OG0000504	Prap.g_01370	Syao.g_01875
OG0000505	Prap.g_01369	Syao.g_01874
OG0000506	Prap.g_01368	Syao.g_01872
OG0000507	Prap.g_01365	Syao.g_01866
OG0000508	Prap.g_01361	Syao.g_01750
OG0000509	Prap.g_01359	Syao.g_01755
OG0000510	Prap.g_01358	Syao.g_01756
OG0000511	Prap.g_01357	Syao.g_01757
OG0000512	Prap.g_01355	Syao.g_01759
OG0000513	Prap.g_01346	Syao.g_01720
OG0000514	Prap.g_01335	Syao.g_01727
OG0000515	Prap.g_01334	Syao.g_01728
OG0000516	Prap.g_01333	Syao.g_01730
OG0000517	Prap.g_01331	Syao.g_01735
OG0000518	Prap.g_01320	Syao.g_01621
OG0000519	Prap.g_01319	Syao.g_01622
OG0000520	Prap.g_01318	Syao.g_01512
OG0000521	Prap.g_01310	Syao.g_00061
OG0000522	Prap.g_01308	Syao.g_00059
OG0000523	Prap.g_01307	Syao.g_00058
OG0000524	Prap.g_01302	Syao.g_02699
OG0000525	Prap.g_01298	Syao.g_02691
OG0000526	Prap.g_01297	Syao.g_02688
OG0000527	Prap.g_01294	Syao.g_02684
OG0000528	Prap.g_01289	Syao.g_00031
OG0000529	Prap.g_01286	Syao.g_00027
OG0000530	Prap.g_01283	Syao.g_00122
OG0000531	Prap.g_01282	Syao.g_00121
OG0000532	Prap.g_01280	Syao.g_00118
OG0000533	Prap.g_01279	Syao.g_00116
OG0000534	Prap.g_01278	Syao.g_00115
OG0000535	Prap.g_01277	Syao.g_00114
OG0000536	Prap.g_01276	Syao.g_00113
OG0000537	Prap.g_01275	Syao.g_00112
OG0000538	Prap.g_01266	Syao.g_00100
OG0000539	Prap.g_01265	Syao.g_00099
OG0000540	Prap.g_01264	Syao.g_00098
OG0000541	Prap.g_01263	Syao.g_00097
OG0000542	Prap.g_01262	Syao.g_00167
OG0000543	Prap.g_01260	Syao.g_00165
OG0000544	Prap.g_01259	Syao.g_00164
OG0000545	Prap.g_01257	Syao.g_00162
OG0000546	Prap.g_01254	Syao.g_00160
OG0000547	Prap.g_01252	Syao.g_00158
OG0000548	Prap.g_01251	Syao.g_00157
OG0000549	Prap.g_01249	Syao.g_01391
OG0000550	Prap.g_01245	Syao.g_01396
OG0000551	Prap.g_01242	Syao.g_01401
OG0000552	Prap.g_01241	Syao.g_01402
OG0000553	Prap.g_01240	Syao.g_01404
OG0000554	Prap.g_01235	Syao.g_01413
OG0000555	Prap.g_01227	Syao.g_00875
OG0000556	Prap.g_01225	Syao.g_00871
OG0000557	Prap.g_01224	Syao.g_00866
OG0000558	Prap.g_01222	Syao.g_00864
OG0000559	Prap.g_01218	Syao.g_00860
OG0000560	Prap.g_01215	Syao.g_00857
OG0000561	Prap.g_01214	Syao.g_00856
OG0000562	Prap.g_01213	Syao.g_00855
OG0000563	Prap.g_01212	Syao.g_00854
OG0000564	Prap.g_01211	Syao.g_00853
OG0000565	Prap.g_01209	Syao.g_00849
OG0000566	Prap.g_01205	Syao.g_00845
OG0000567	Prap.g_01201	Syao.g_00841
OG0000568	Prap.g_01200	Syao.g_00839
OG0000569	Prap.g_01199	Syao.g_00838
OG0000570	Prap.g_01198	Syao.g_00837
OG0000571	Prap.g_01196	Syao.g_00834
OG0000572	Prap.g_01182	Syao.g_01033
OG0000573	Prap.g_01176	Syao.g_01022
OG0000574	Prap.g_01175	Syao.g_01021
OG0000575	Prap.g_01171	Syao.g_01000
OG0000576	Prap.g_01169	Syao.g_00996
OG0000577	Prap.g_01168	Syao.g_00995
OG0000578	Prap.g_01167	Syao.g_00994
OG0000579	Prap.g_01166	Syao.g_00993
OG0000580	Prap.g_01165	Syao.g_00992
OG0000581	Prap.g_01162	Syao.g_01059
OG0000582	Prap.g_01159	Syao.g_01204
OG0000583	Prap.g_01158	Syao.g_01205
OG0000584	Prap.g_01157	Syao.g_01206
