	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
Prao	4.0	12.0	4.0	4.0	4.0	6.0	8.0	8.0	10.0	22.0	12.0	19.0	8.0	14.0	0.0	12.0	4.0	4.0	6.0	17.0	4.0	8.0	10.0	6.0	4.0	4.0	4.0	25.0	18.0	6.0	12.0	12.0	12.0	8.0	4.0	6.0	6.0	6.0	16.0	12.0	18.0	18.0	16.0	20.0	14.0	16.0	18.0	20.0	20.0	22.0	18.0	20.0	18.0	14.0	14.0	8.0	12.0	10.0	10.0	14.0
Prap	50.0	43.0	45.0	48.0	43.0	34.0	45.0	36.0	49.0	36.0	2.0	24.0	20.0	45.0	45.0	0.0	45.0	45.0	43.0	30.0	41.0	51.0	45.0	45.0	45.0	45.0	45.0	36.0	36.0	45.0	2.0	2.0	2.0	20.0	45.0	36.0	36.0	36.0	34.0	2.0	30.0	34.0	33.0	44.0	26.0	26.0	28.0	38.0	33.0	40.0	31.0	30.0	33.0	25.0	25.0	17.0	19.0	14.0	18.0	22.0
Praq	10.0	19.0	2.0	25.0	4.0	32.0	13.0	32.0	25.0	37.0	30.0	38.0	25.0	19.0	10.0	26.0	0.0	4.0	13.0	28.0	11.0	9.0	13.0	6.0	18.0	18.0	18.0	37.0	40.0	10.0	30.0	26.0	26.0	25.0	6.0	27.0	27.0	27.0	35.0	30.0	33.0	40.0	41.0	40.0	35.0	42.0	42.0	43.0	44.0	35.0	31.0	33.0	39.0	31.0	27.0	25.0	31.0	31.0	29.0	35.0
Prar	12.0	21.0	2.0	25.0	4.0	34.0	13.0	34.0	29.0	41.0	32.0	38.0	27.0	21.0	10.0	28.0	2.0	0.0	13.0	30.0	11.0	9.0	13.0	6.0	20.0	20.0	20.0	45.0	46.0	12.0	32.0	28.0	28.0	27.0	6.0	29.0	29.0	29.0	41.0	32.0	33.0	42.0	41.0	40.0	35.0	42.0	42.0	43.0	46.0	35.0	33.0	33.0	41.0	33.0	29.0	25.0	33.0	33.0	31.0	37.0
Pras	16.0	41.0	30.0	26.0	12.0	36.0	20.0	38.0	39.0	53.0	43.0	46.0	46.0	45.0	17.0	43.0	30.0	30.0	0.0	48.0	18.0	20.0	24.0	21.0	13.0	13.0	13.0	59.0	51.0	18.0	43.0	43.0	43.0	46.0	12.0	38.0	38.0	38.0	47.0	43.0	50.0	54.0	52.0	56.0	50.0	50.0	52.0	56.0	54.0	56.0	52.0	54.0	52.0	43.0	42.0	38.0	40.0	42.0	42.0	42.0
Prat	47.0	44.0	48.0	47.0	52.0	32.0	44.0	32.0	46.0	42.0	30.0	27.0	26.0	48.0	50.0	30.0	48.0	48.0	41.0	0.0	41.0	50.0	44.0	46.0	46.0	44.0	46.0	44.0	42.0	46.0	30.0	30.0	30.0	28.0	42.0	30.0	30.0	30.0	44.0	28.0	36.0	40.0	33.0	42.0	32.0	31.0	35.0	41.0	46.0	41.0	34.0	30.0	39.0	26.0	26.0	18.0	22.0	22.0	18.0	22.0
Prau	20.0	30.0	24.0	16.0	10.0	34.0	17.0	34.0	31.0	56.0	34.0	39.0	34.0	32.0	10.0	34.0	26.0	24.0	18.0	35.0	0.0	22.0	17.0	16.0	18.0	18.0	18.0	62.0	56.0	14.0	34.0	34.0	34.0	34.0	14.0	32.0	32.0	32.0	51.0	34.0	46.0	42.0	44.0	44.0	44.0	40.0	48.0	46.0	49.0	46.0	46.0	40.0	48.0	37.0	40.0	19.0	36.0	37.0	33.0	40.0
Prav	15.0	24.0	16.0	26.0	12.0	23.0	23.0	27.0	20.0	41.0	29.0	51.0	24.0	30.0	17.0	29.0	18.0	19.0	17.0	50.0	22.0	0.0	25.0	10.0	15.0	15.0	15.0	50.0	38.0	15.0	29.0	29.0	29.0	24.0	16.0	27.0	29.0	29.0	35.0	29.0	21.0	29.0	27.0	29.0	23.0	23.0	23.0	35.0	27.0	29.0	29.0	33.0	27.0	29.0	23.0	18.0	19.0	34.0	21.0	21.0
Praw	17.0	17.0	18.0	18.0	11.0	21.0	2.0	21.0	20.0	31.0	24.0	37.0	18.0	23.0	19.0	24.0	18.0	18.0	11.0	35.0	14.0	19.0	0.0	13.0	11.0	11.0	11.0	32.0	32.0	13.0	24.0	24.0	24.0	18.0	11.0	19.0	21.0	21.0	28.0	24.0	20.0	24.0	20.0	29.0	18.0	20.0	24.0	26.0	26.0	27.0	24.0	22.0	26.0	24.0	17.0	18.0	14.0	23.0	19.0	21.0
Prax	11.0	36.0	9.0	11.0	11.0	33.0	13.0	31.0	23.0	38.0	33.0	37.0	24.0	38.0	9.0	33.0	11.0	9.0	13.0	39.0	13.0	17.0	13.0	0.0	7.0	7.0	7.0	41.0	38.0	11.0	33.0	33.0	33.0	24.0	8.0	31.0	33.0	33.0	36.0	33.0	28.0	26.0	31.0	33.0	29.0	33.0	29.0	33.0	33.0	37.0	29.0	26.0	29.0	21.0	21.0	16.0	21.0	19.0	19.0	25.0
Pray	12.0	18.0	8.0	8.0	8.0	12.0	12.0	16.0	18.0	18.0	16.0	29.0	12.0	20.0	12.0	16.0	8.0	8.0	8.0	25.0	8.0	8.0	12.0	10.0	0.0	8.0	8.0	21.0	16.0	10.0	16.0	16.0	16.0	12.0	8.0	14.0	12.0	14.0	18.0	16.0	24.0	24.0	22.0	28.0	24.0	22.0	24.0	26.0	28.0	30.0	24.0	24.0	24.0	21.0	18.0	14.0	16.0	12.0	16.0	20.0
Praz	8.0	16.0	4.0	4.0	6.0	10.0	10.0	14.0	20.0	16.0	14.0	23.0	8.0	18.0	10.0	14.0	4.0	4.0	6.0	19.0	6.0	6.0	10.0	6.0	4.0	0.0	4.0	19.0	14.0	8.0	14.0	14.0	14.0	8.0	6.0	12.0	12.0	12.0	16.0	14.0	22.0	20.0	18.0	24.0	20.0	18.0	20.0	22.0	26.0	26.0	22.0	20.0	22.0	19.0	16.0	12.0	12.0	10.0	12.0	16.0
Prba	14.0	20.0	10.0	8.0	8.0	18.0	14.0	20.0	22.0	22.0	22.0	29.0	18.0	22.0	12.0	22.0	10.0	10.0	10.0	27.0	12.0	12.0	14.0	10.0	8.0	8.0	0.0	25.0	20.0	10.0	22.0	22.0	22.0	18.0	10.0	16.0	16.0	16.0	22.0	22.0	24.0	26.0	24.0	30.0	22.0	24.0	24.0	28.0	28.0	32.0	26.0	26.0	24.0	23.0	20.0	12.0	18.0	18.0	18.0	22.0
Prbb	89.0	75.0	84.0	90.0	65.0	34.0	62.0	48.0	66.0	14.0	57.0	62.0	65.0	83.0	70.0	57.0	75.0	82.0	75.0	58.0	81.0	59.0	68.0	69.0	79.0	85.0	85.0	0.0	13.0	78.0	57.0	57.0	57.0	65.0	67.0	39.0	39.0	37.0	22.0	57.0	34.0	37.0	38.0	29.0	47.0	27.0	29.0	40.0	42.0	36.0	27.0	40.0	43.0	26.0	27.0	17.0	21.0	22.0	20.0	18.0
Prbc	81.0	72.0	71.0	75.0	65.0	33.0	64.0	43.0	69.0	25.0	57.0	53.0	69.0	74.0	63.0	57.0	68.0	74.0	67.0	50.0	75.0	75.0	68.0	67.0	72.0	77.0	77.0	33.0	0.0	73.0	57.0	57.0	57.0	69.0	73.0	42.0	42.0	40.0	32.0	57.0	40.0	44.0	45.0	39.0	42.0	40.0	39.0	44.0	53.0	40.0	42.0	46.0	51.0	22.0	31.0	19.0	24.0	27.0	28.0	17.0
Prbd	10.0	24.0	8.0	8.0	8.0	18.0	7.0	16.0	20.0	27.0	21.0	30.0	18.0	26.0	11.0	21.0	8.0	8.0	8.0	32.0	6.0	8.0	7.0	10.0	6.0	4.0	6.0	30.0	29.0	0.0	21.0	21.0	21.0	18.0	8.0	16.0	16.0	16.0	25.0	21.0	24.0	32.0	26.0	26.0	22.0	26.0	28.0	28.0	32.0	30.0	30.0	26.0	26.0	25.0	22.0	20.0	24.0	18.0	18.0	24.0
Prbe	49.0	42.0	43.0	47.0	42.0	33.0	44.0	35.0	48.0	35.0	0.0	24.0	19.0	44.0	44.0	0.0	44.0	43.0	42.0	28.0	40.0	50.0	44.0	44.0	44.0	44.0	44.0	35.0	34.0	44.0	0.0	0.0	0.0	19.0	44.0	35.0	35.0	35.0	33.0	0.0	29.0	32.0	32.0	43.0	25.0	25.0	27.0	37.0	31.0	39.0	29.0	29.0	31.0	23.0	23.0	15.0	17.0	12.0	16.0	20.0
Prbf	50.0	43.0	45.0	48.0	43.0	36.0	45.0	38.0	47.0	38.0	4.0	26.0	22.0	45.0	45.0	4.0	45.0	45.0	43.0	32.0	41.0	51.0	45.0	45.0	45.0	45.0	45.0	38.0	38.0	45.0	4.0	0.0	4.0	22.0	45.0	38.0	38.0	38.0	36.0	4.0	30.0	34.0	35.0	44.0	26.0	28.0	30.0	38.0	35.0	40.0	33.0	30.0	35.0	27.0	27.0	17.0	21.0	14.0	20.0	22.0
Prbg	46.0	39.0	41.0	44.0	39.0	30.0	41.0	32.0	45.0	32.0	0.0	20.0	16.0	41.0	43.0	0.0	41.0	41.0	39.0	28.0	37.0	47.0	41.0	41.0	41.0	41.0	41.0	32.0	32.0	41.0	0.0	0.0	0.0	16.0	41.0	32.0	32.0	32.0	30.0	0.0	26.0	32.0	29.0	40.0	22.0	22.0	24.0	34.0	31.0	36.0	27.0	26.0	31.0	21.0	21.0	13.0	15.0	12.0	14.0	18.0
Prbh	43.0	43.0	38.0	40.0	41.0	28.0	40.0	26.0	41.0	24.0	8.0	22.0	0.0	43.0	41.0	8.0	38.0	41.0	43.0	16.0	36.0	40.0	40.0	41.0	50.0	50.0	50.0	24.0	31.0	43.0	8.0	8.0	8.0	0.0	41.0	26.0	26.0	26.0	24.0	8.0	27.0	30.0	28.0	36.0	27.0	24.0	24.0	34.0	37.0	38.0	27.0	24.0	33.0	20.0	17.0	13.0	17.0	12.0	14.0	20.0
Prbi	16.0	28.0	27.0	17.0	13.0	21.0	29.0	32.0	32.0	45.0	29.0	35.0	30.0	30.0	18.0	32.0	25.0	31.0	21.0	33.0	22.0	35.0	29.0	5.0	11.0	13.0	13.0	48.0	77.0	42.0	32.0	32.0	32.0	30.0	0.0	21.0	21.0	21.0	41.0	32.0	55.0	50.0	50.0	56.0	57.0	44.0	52.0	54.0	56.0	56.0	52.0	55.0	48.0	52.0	52.0	27.0	26.0	38.0	42.0	38.0
Prbj	47.0	46.0	49.0	58.0	41.0	38.0	41.0	40.0	42.0	52.0	43.0	54.0	47.0	48.0	45.0	43.0	49.0	52.0	46.0	48.0	52.0	43.0	41.0	45.0	52.0	53.0	51.0	59.0	57.0	45.0	43.0	43.0	43.0	52.0	41.0	0.0	12.0	14.0	55.0	43.0	49.0	34.0	36.0	48.0	44.0	38.0	44.0	38.0	44.0	55.0	39.0	38.0	39.0	35.0	40.0	26.0	36.0	25.0	23.0	25.0
Prbk	45.0	44.0	47.0	56.0	39.0	37.0	41.0	39.0	40.0	51.0	43.0	53.0	47.0	46.0	43.0	43.0	47.0	50.0	44.0	47.0	50.0	43.0	41.0	43.0	50.0	51.0	49.0	58.0	56.0	43.0	43.0	43.0	43.0	52.0	39.0	4.0	0.0	6.0	54.0	43.0	47.0	32.0	34.0	46.0	42.0	36.0	42.0	36.0	42.0	50.0	36.0	34.0	37.0	33.0	38.0	24.0	34.0	23.0	20.0	23.0
Prbl	46.0	44.0	48.0	57.0	40.0	35.0	42.0	37.0	40.0	52.0	44.0	53.0	47.0	46.0	44.0	44.0	48.0	50.0	44.0	46.0	51.0	44.0	42.0	44.0	50.0	51.0	49.0	59.0	56.0	44.0	44.0	44.0	44.0	53.0	40.0	0.0	0.0	0.0	55.0	44.0	45.0	32.0	34.0	46.0	42.0	36.0	39.0	36.0	42.0	48.0	34.0	34.0	37.0	33.0	38.0	24.0	34.0	23.0	18.0	23.0
Prbm	90.0	91.0	94.0	93.0	85.0	34.0	88.0	48.0	77.0	44.0	61.0	84.0	78.0	99.0	90.0	61.0	86.0	89.0	94.0	75.0	93.0	72.0	93.0	100.0	95.0	109.0	109.0	58.0	54.0	88.0	61.0	61.0	61.0	78.0	82.0	37.0	37.0	37.0	0.0	61.0	38.0	39.0	39.0	31.0	59.0	26.0	30.0	48.0	44.0	40.0	33.0	41.0	43.0	38.0	34.0	27.0	25.0	33.0	28.0	22.0
Prbn	52.0	45.0	47.0	50.0	45.0	36.0	47.0	38.0	51.0	38.0	4.0	26.0	22.0	47.0	47.0	4.0	47.0	47.0	45.0	30.0	43.0	53.0	47.0	47.0	47.0	47.0	47.0	38.0	38.0	47.0	4.0	4.0	4.0	22.0	47.0	38.0	38.0	38.0	36.0	0.0	32.0	36.0	35.0	46.0	28.0	28.0	30.0	40.0	35.0	42.0	33.0	32.0	35.0	27.0	27.0	19.0	21.0	16.0	20.0	24.0
Syaa	70.0	76.0	67.0	79.0	66.0	75.0	68.0	65.0	53.0	73.0	65.0	66.0	61.0	78.0	87.0	65.0	67.0	67.0	70.0	69.0	67.0	87.0	72.0	70.0	85.0	90.0	90.0	75.0	80.0	86.0	65.0	65.0	65.0	67.0	77.0	74.0	71.0	71.0	82.0	65.0	0.0	52.0	70.0	66.0	60.0	34.0	54.0	67.0	65.0	83.0	64.0	70.0	54.0	73.0	74.0	37.0	60.0	62.0	62.0	53.0
Syab	70.0	75.0	81.0	81.0	82.0	91.0	76.0	83.0	68.0	73.0	85.0	97.0	84.0	75.0	82.0	85.0	81.0	81.0	74.0	89.0	78.0	84.0	80.0	76.0	76.0	76.0	76.0	80.0	76.0	80.0	85.0	85.0	87.0	90.0	77.0	101.0	101.0	101.0	73.0	85.0	44.0	0.0	43.0	66.0	68.0	61.0	81.0	51.0	39.0	78.0	60.0	63.0	47.0	85.0	92.0	43.0	82.0	60.0	59.0	78.0
Syac	54.0	44.0	56.0	56.0	50.0	51.0	54.0	40.0	48.0	54.0	58.0	56.0	54.0	46.0	57.0	58.0	56.0	56.0	52.0	58.0	56.0	54.0	58.0	52.0	53.0	50.0	50.0	66.0	62.0	55.0	58.0	58.0	58.0	58.0	53.0	42.0	42.0	42.0	55.0	58.0	17.0	24.0	0.0	32.0	29.0	8.0	35.0	10.0	19.0	39.0	47.0	25.0	9.0	34.0	50.0	26.0	30.0	27.0	38.0	22.0
Syad	63.0	64.0	69.0	66.0	58.0	80.0	71.0	69.0	51.0	73.0	74.0	74.0	72.0	64.0	74.0	74.0	69.0	79.0	70.0	73.0	65.0	65.0	70.0	65.0	71.0	72.0	72.0	76.0	103.0	65.0	74.0	74.0	74.0	79.0	57.0	91.0	89.0	89.0	69.0	74.0	69.0	53.0	53.0	0.0	47.0	35.0	66.0	63.0	54.0	83.0	55.0	70.0	33.0	88.0	78.0	44.0	60.0	59.0	70.0	80.0
Syae	63.0	58.0	62.0	70.0	53.0	54.0	64.0	42.0	53.0	54.0	56.0	58.0	48.0	60.0	59.0	56.0	62.0	62.0	49.0	60.0	60.0	60.0	64.0	55.0	52.0	52.0	52.0	63.0	58.0	56.0	56.0	56.0	56.0	52.0	52.0	59.0	59.0	59.0	55.0	56.0	14.0	27.0	24.0	18.0	0.0	20.0	28.0	22.0	19.0	26.0	29.0	32.0	24.0	38.0	52.0	35.0	30.0	27.0	30.0	36.0
Syaf	50.0	62.0	62.0	57.0	56.0	59.0	56.0	56.0	50.0	57.0	59.0	61.0	54.0	64.0	54.0	59.0	64.0	64.0	46.0	58.0	54.0	58.0	59.0	56.0	54.0	56.0	56.0	60.0	62.0	59.0	59.0	59.0	59.0	58.0	50.0	66.0	66.0	66.0	51.0	59.0	39.0	59.0	42.0	60.0	40.0	0.0	65.0	47.0	34.0	69.0	79.0	49.0	21.0	47.0	67.0	43.0	49.0	50.0	56.0	59.0
Syag	76.0	79.0	82.0	84.0	79.0	75.0	73.0	80.0	73.0	91.0	85.0	79.0	73.0	81.0	85.0	85.0	82.0	82.0	72.0	80.0	83.0	81.0	77.0	79.0	75.0	75.0	73.0	87.0	91.0	77.0	85.0	85.0	85.0	77.0	77.0	98.0	98.0	98.0	85.0	85.0	50.0	39.0	37.0	46.0	42.0	47.0	0.0	50.0	48.0	65.0	50.0	55.0	37.0	54.0	70.0	39.0	38.0	53.0	54.0	48.0
Syah	58.0	53.0	64.0	61.0	52.0	55.0	53.0	52.0	51.0	60.0	63.0	69.0	56.0	53.0	59.0	63.0	64.0	64.0	55.0	70.0	58.0	56.0	58.0	56.0	58.0	58.0	58.0	67.0	68.0	52.0	63.0	63.0	63.0	61.0	54.0	60.0	60.0	60.0	57.0	63.0	17.0	27.0	18.0	31.0	34.0	8.0	42.0	0.0	10.0	40.0	46.0	28.0	13.0	31.0	57.0	19.0	36.0	29.0	29.0	27.0
Syai	59.0	61.0	78.0	76.0	66.0	108.0	67.0	102.0	57.0	74.0	72.0	76.0	70.0	63.0	73.0	72.0	74.0	78.0	65.0	73.0	79.0	68.0	70.0	63.0	76.0	70.0	73.0	72.0	74.0	67.0	72.0	72.0	74.0	76.0	81.0	119.0	119.0	119.0	80.0	72.0	103.0	102.0	103.0	105.0	107.0	89.0	98.0	100.0	0.0	115.0	107.0	105.0	56.0	81.0	95.0	41.0	79.0	86.0	80.0	65.0
Syaj	57.0	52.0	57.0	57.0	54.0	69.0	62.0	66.0	52.0	65.0	57.0	76.0	60.0	52.0	60.0	57.0	57.0	72.0	71.0	69.0	61.0	58.0	60.0	56.0	66.0	68.0	68.0	67.0	89.0	57.0	57.0	57.0	57.0	67.0	52.0	67.0	67.0	67.0	62.0	57.0	40.0	41.0	33.0	62.0	47.0	30.0	60.0	48.0	24.0	0.0	53.0	61.0	20.0	65.0	61.0	32.0	50.0	54.0	46.0	52.0
Syak	70.0	70.0	74.0	80.0	74.0	82.0	71.0	65.0	61.0	69.0	71.0	74.0	69.0	70.0	81.0	71.0	72.0	74.0	66.0	69.0	74.0	78.0	77.0	68.0	72.0	72.0	72.0	71.0	77.0	76.0	71.0	71.0	71.0	74.0	72.0	80.0	80.0	80.0	68.0	71.0	35.0	20.0	38.0	52.0	47.0	53.0	38.0	41.0	43.0	66.0	0.0	43.0	39.0	56.0	55.0	26.0	41.0	48.0	38.0	52.0
Syal	75.0	76.0	83.0	76.0	84.0	93.0	76.0	77.0	68.0	82.0	84.0	87.0	80.0	78.0	81.0	84.0	83.0	83.0	68.0	78.0	74.0	76.0	78.0	80.0	83.0	86.0	86.0	83.0	76.0	87.0	84.0	84.0	84.0	84.0	77.0	106.0	106.0	106.0	81.0	84.0	71.0	62.0	58.0	85.0	78.0	66.0	87.0	60.0	58.0	88.0	70.0	0.0	62.0	92.0	67.0	49.0	84.0	61.0	59.0	59.0
Syam	42.0	47.0	56.0	60.0	41.0	51.0	48.0	50.0	46.0	57.0	57.0	60.0	51.0	49.0	48.0	57.0	54.0	56.0	49.0	60.0	47.0	52.0	51.0	44.0	52.0	50.0	50.0	54.0	63.0	49.0	57.0	57.0	59.0	55.0	45.0	59.0	59.0	59.0	54.0	57.0	49.0	56.0	55.0	55.0	55.0	31.0	41.0	52.0	35.0	58.0	45.0	54.0	0.0	35.0	55.0	23.0	49.0	45.0	42.0	34.0
Syan	113.0	122.0	118.0	124.0	125.0	143.0	126.0	134.0	114.0	137.0	143.0	138.0	132.0	122.0	121.0	145.0	118.0	118.0	112.0	128.0	116.0	131.0	132.0	121.0	129.0	138.0	138.0	142.0	146.0	125.0	145.0	145.0	145.0	136.0	116.0	154.0	154.0	154.0	145.0	145.0	134.0	138.0	109.0	125.0	131.0	128.0	133.0	111.0	124.0	148.0	150.0	166.0	115.0	0.0	120.0	108.0	180.0	111.0	139.0	142.0
Syao	86.0	85.0	82.0	86.0	86.0	90.0	82.0	89.0	77.0	98.0	108.0	100.0	94.0	87.0	91.0	108.0	82.0	82.0	84.0	89.0	90.0	80.0	84.0	90.0	90.0	93.0	93.0	98.0	100.0	84.0	108.0	108.0	108.0	99.0	90.0	106.0	106.0	106.0	94.0	108.0	86.0	93.0	82.0	82.0	83.0	77.0	99.0	84.0	78.0	88.0	84.0	92.0	78.0	64.0	0.0	42.0	82.0	58.0	51.0	57.0
