Orthogroup	Prbg	Prax
OG0000121	Prbg.g_00260	Prax.g_00004
OG0000122	Prbg.g_00270	Prax.g_00013
OG0000123	Prbg.g_00302	Prax.g_00044
OG0000124	Prbg.g_01405	Prax.g_00110
OG0000125	Prbg.g_01404	Prax.g_00111
OG0000126	Prbg.g_01403	Prax.g_00112
OG0000127	Prbg.g_01128	Prax.g_00956
OG0000128	Prbg.g_01153	Prax.g_00483
OG0000129	Prbg.g_01354	Prax.g_00463
OG0000130	Prbg.g_01251	Prax.g_00388
OG0000131	Prbg.g_01157	Prax.g_00375
OG0000132	Prbg.g_01194	Prax.g_00339
OG0000133	Prbg.g_01101	Prax.g_00578
OG0000134	Prbg.g_01385	Prax.g_00588
OG0000135	Prbg.g_01291	Prax.g_01133
OG0000136	Prbg.g_01237	Prax.g_01201
OG0000137	Prbg.g_00752	Prax.g_00164
OG0000139	Prbg.g_01480	Prax.g_00206
OG0000140	Prbg.g_00352	Prax.g_00257
OG0000141	Prbg.g_00687	Prax.g_01789
OG0000142	Prbg.g_00490	Prax.g_01887
OG0000143	Prbg.g_00529	Prax.g_01863
OG0000144	Prbg.g_00579	Prax.g_01746
OG0000145	Prbg.g_00592	Prax.g_01727
OG0000146	Prbg.g_00628	Prax.g_01691
OG0000147	Prbg.g_00675	Prax.g_01651
OG0000148	Prbg.g_00676	Prax.g_01650
OG0000149	Prbg.g_01647	Prax.g_01561
OG0000150	Prbg.g_01686	Prax.g_01523
OG0000151	Prbg.g_01689	Prax.g_01520
OG0000152	Prbg.g_01709	Prax.g_01257
OG0000153	Prbg.g_01743	Prax.g_01297
OG0000154	Prbg.g_01779	Prax.g_01333
OG0000155	Prbg.g_01798	Prax.g_01351
OG0000156	Prbg.g_01831	Prax.g_01379
OG0000157	Prbg.g_01865	Prax.g_01411
OG0000158	Prbg.g_01931	Prax.g_01473
OG0000160	Prbg.g_00768	Prax.g_01491
OG0000161	Prbg.g_00769	Prax.g_01492
OG0000162	Prbg.g_00771	Prax.g_01494
OG0000163	Prbg.g_00772	Prax.g_01495
OG0000164	Prbg.g_00773	Prax.g_01496
OG0000165	Prbg.g_00774	Prax.g_01497
OG0000166	Prbg.g_00775	Prax.g_01498
OG0000167	Prbg.g_00776	Prax.g_01499
OG0000168	Prbg.g_00777	Prax.g_01975
OG0000169	Prbg.g_00779	Prax.g_01973
OG0000170	Prbg.g_00860	Prax.g_00299
OG0000171	Prbg.g_00859	Prax.g_00298
OG0000172	Prbg.g_00858	Prax.g_00297
OG0000173	Prbg.g_00857	Prax.g_00296
OG0000174	Prbg.g_00856	Prax.g_00295
OG0000175	Prbg.g_00855	Prax.g_00294
OG0000176	Prbg.g_00854	Prax.g_00293
OG0000177	Prbg.g_00853	Prax.g_00292
OG0000178	Prbg.g_00852	Prax.g_00291
OG0000179	Prbg.g_00850	Prax.g_00289
OG0000180	Prbg.g_00849	Prax.g_00288
OG0000181	Prbg.g_00848	Prax.g_00287
OG0000182	Prbg.g_00847	Prax.g_00286
OG0000183	Prbg.g_00846	Prax.g_00285
OG0000184	Prbg.g_00844	Prax.g_00284
OG0000185	Prbg.g_00841	Prax.g_00281
OG0000186	Prbg.g_00838	Prax.g_00278
OG0000187	Prbg.g_00837	Prax.g_00277
OG0000188	Prbg.g_00836	Prax.g_00276
OG0000189	Prbg.g_00834	Prax.g_00273
OG0000190	Prbg.g_00832	Prax.g_00271
OG0000191	Prbg.g_00830	Prax.g_00270
OG0000192	Prbg.g_00829	Prax.g_00269
OG0000193	Prbg.g_00828	Prax.g_00261
OG0000194	Prbg.g_00825	Prax.g_00621
OG0000195	Prbg.g_00824	Prax.g_00622
OG0000196	Prbg.g_00823	Prax.g_00623
OG0000197	Prbg.g_00821	Prax.g_00625
OG0000198	Prbg.g_00820	Prax.g_00626
OG0000199	Prbg.g_00818	Prax.g_00627
OG0000200	Prbg.g_00806	Prax.g_00635
OG0000201	Prbg.g_00805	Prax.g_00636
OG0000202	Prbg.g_00804	Prax.g_00637
OG0000203	Prbg.g_00800	Prax.g_00640
OG0000204	Prbg.g_00799	Prax.g_00641
OG0000205	Prbg.g_00796	Prax.g_00644
OG0000206	Prbg.g_00794	Prax.g_00646
OG0000207	Prbg.g_00792	Prax.g_00648
OG0000208	Prbg.g_00791	Prax.g_00649
OG0000209	Prbg.g_00017	Prax.g_00650
OG0000210	Prbg.g_00790	Prax.g_00651
OG0000211	Prbg.g_00789	Prax.g_00652
OG0000212	Prbg.g_00788	Prax.g_00653
OG0000213	Prbg.g_00787	Prax.g_00654
OG0000214	Prbg.g_00786	Prax.g_00655
OG0000215	Prbg.g_00785	Prax.g_00656
OG0000216	Prbg.g_00784	Prax.g_00657
OG0000217	Prbg.g_00782	Prax.g_00659
OG0000218	Prbg.g_00781	Prax.g_00660
OG0000219	Prbg.g_00780	Prax.g_01128
OG0000220	Prbg.g_00861	Prax.g_01127
OG0000221	Prbg.g_00864	Prax.g_01124
OG0000222	Prbg.g_00865	Prax.g_01123
OG0000223	Prbg.g_00866	Prax.g_01122
OG0000224	Prbg.g_00868	Prax.g_01121
OG0000225	Prbg.g_00869	Prax.g_01120
OG0000226	Prbg.g_00870	Prax.g_01119
OG0000227	Prbg.g_00872	Prax.g_01118
OG0000228	Prbg.g_00873	Prax.g_01117
OG0000229	Prbg.g_00874	Prax.g_01116
OG0000230	Prbg.g_00875	Prax.g_01115
OG0000231	Prbg.g_00876	Prax.g_01114
OG0000232	Prbg.g_00877	Prax.g_01113
OG0000233	Prbg.g_00879	Prax.g_01112
OG0000234	Prbg.g_00880	Prax.g_01111
OG0000235	Prbg.g_00881	Prax.g_01110
OG0000236	Prbg.g_00884	Prax.g_01109
OG0000237	Prbg.g_00885	Prax.g_01108
OG0000238	Prbg.g_00886	Prax.g_01107
OG0000239	Prbg.g_00888	Prax.g_01105
OG0000240	Prbg.g_00889	Prax.g_01103
OG0000241	Prbg.g_00890	Prax.g_01102
OG0000242	Prbg.g_00891	Prax.g_01101
OG0000243	Prbg.g_00894	Prax.g_01098
OG0000244	Prbg.g_00897	Prax.g_01096
OG0000245	Prbg.g_00898	Prax.g_01095
OG0000246	Prbg.g_00899	Prax.g_01094
OG0000247	Prbg.g_00901	Prax.g_01091
OG0000248	Prbg.g_00903	Prax.g_01089
OG0000249	Prbg.g_00905	Prax.g_01088
OG0000250	Prbg.g_00906	Prax.g_01087
OG0000251	Prbg.g_00907	Prax.g_01086
OG0000252	Prbg.g_00908	Prax.g_01085
OG0000253	Prbg.g_00909	Prax.g_01084
OG0000254	Prbg.g_01349	Prax.g_01082
OG0000255	Prbg.g_00911	Prax.g_01081
OG0000256	Prbg.g_00914	Prax.g_01078
OG0000257	Prbg.g_00916	Prax.g_01076
OG0000258	Prbg.g_00922	Prax.g_01073
OG0000259	Prbg.g_00923	Prax.g_01072
OG0000260	Prbg.g_00924	Prax.g_01071
OG0000261	Prbg.g_00925	Prax.g_01070
OG0000262	Prbg.g_00926	Prax.g_01069
OG0000263	Prbg.g_00928	Prax.g_01067
OG0000264	Prbg.g_00929	Prax.g_01066
OG0000265	Prbg.g_00930	Prax.g_01065
OG0000266	Prbg.g_00931	Prax.g_01064
OG0000267	Prbg.g_00932	Prax.g_01063
OG0000268	Prbg.g_00934	Prax.g_01062
OG0000269	Prbg.g_00936	Prax.g_01060
OG0000270	Prbg.g_00937	Prax.g_01059
OG0000271	Prbg.g_00938	Prax.g_01058
OG0000272	Prbg.g_00939	Prax.g_01057
OG0000273	Prbg.g_00940	Prax.g_01056
OG0000274	Prbg.g_00941	Prax.g_01055
OG0000275	Prbg.g_00942	Prax.g_01054
OG0000276	Prbg.g_00943	Prax.g_01053
OG0000277	Prbg.g_00945	Prax.g_01051
OG0000278	Prbg.g_00946	Prax.g_01050
OG0000279	Prbg.g_00947	Prax.g_01049
OG0000280	Prbg.g_00949	Prax.g_01047
OG0000281	Prbg.g_00951	Prax.g_01045
OG0000282	Prbg.g_00952	Prax.g_01044
OG0000283	Prbg.g_00953	Prax.g_01043
OG0000284	Prbg.g_00954	Prax.g_01042
OG0000285	Prbg.g_00955	Prax.g_01041
OG0000286	Prbg.g_00956	Prax.g_01040
OG0000287	Prbg.g_00957	Prax.g_01039
OG0000288	Prbg.g_00959	Prax.g_01037
OG0000289	Prbg.g_00960	Prax.g_01036
OG0000290	Prbg.g_00961	Prax.g_01035
OG0000291	Prbg.g_00963	Prax.g_01033
OG0000292	Prbg.g_00965	Prax.g_01032
OG0000293	Prbg.g_00966	Prax.g_01031
OG0000294	Prbg.g_00967	Prax.g_01030
OG0000295	Prbg.g_00968	Prax.g_01029
OG0000296	Prbg.g_00969	Prax.g_01028
OG0000297	Prbg.g_00970	Prax.g_01027
OG0000298	Prbg.g_00972	Prax.g_01025
OG0000299	Prbg.g_00973	Prax.g_01024
OG0000300	Prbg.g_00974	Prax.g_01023
OG0000301	Prbg.g_00975	Prax.g_01022
OG0000302	Prbg.g_00976	Prax.g_01021
OG0000303	Prbg.g_00977	Prax.g_01020
OG0000304	Prbg.g_00979	Prax.g_01018
OG0000305	Prbg.g_00980	Prax.g_01017
OG0000306	Prbg.g_00983	Prax.g_01014
OG0000307	Prbg.g_00984	Prax.g_01013
OG0000308	Prbg.g_00985	Prax.g_01012
OG0000309	Prbg.g_00986	Prax.g_01011
OG0000310	Prbg.g_00987	Prax.g_01010
OG0000311	Prbg.g_00989	Prax.g_01009
OG0000312	Prbg.g_00990	Prax.g_01008
OG0000313	Prbg.g_00991	Prax.g_01007
OG0000314	Prbg.g_00992	Prax.g_01006
OG0000315	Prbg.g_00993	Prax.g_01005
OG0000316	Prbg.g_00994	Prax.g_01004
OG0000317	Prbg.g_00995	Prax.g_01003
OG0000318	Prbg.g_00996	Prax.g_01002
OG0000319	Prbg.g_00997	Prax.g_01001
OG0000320	Prbg.g_00998	Prax.g_01000
OG0000321	Prbg.g_00999	Prax.g_00999
OG0000322	Prbg.g_01000	Prax.g_00998
OG0000323	Prbg.g_01001	Prax.g_00997
OG0000324	Prbg.g_01002	Prax.g_00996
OG0000325	Prbg.g_01003	Prax.g_00995
OG0000326	Prbg.g_01004	Prax.g_00994
OG0000327	Prbg.g_01005	Prax.g_00993
OG0000328	Prbg.g_01007	Prax.g_00992
OG0000329	Prbg.g_01008	Prax.g_00991
OG0000330	Prbg.g_01009	Prax.g_00990
OG0000331	Prbg.g_01011	Prax.g_00989
OG0000332	Prbg.g_01012	Prax.g_00988
OG0000333	Prbg.g_01013	Prax.g_00987
OG0000334	Prbg.g_01014	Prax.g_00986
OG0000335	Prbg.g_01015	Prax.g_00985
OG0000336	Prbg.g_01017	Prax.g_00983
OG0000337	Prbg.g_01018	Prax.g_00982
OG0000338	Prbg.g_01023	Prax.g_00978
OG0000339	Prbg.g_01025	Prax.g_00933
OG0000340	Prbg.g_01027	Prax.g_00931
OG0000341	Prbg.g_01028	Prax.g_00930
OG0000342	Prbg.g_01029	Prax.g_00929
OG0000343	Prbg.g_01030	Prax.g_00928
OG0000344	Prbg.g_01033	Prax.g_00925
OG0000345	Prbg.g_01037	Prax.g_00922
OG0000346	Prbg.g_01038	Prax.g_00921
OG0000347	Prbg.g_01041	Prax.g_00918
OG0000348	Prbg.g_01042	Prax.g_00916
OG0000349	Prbg.g_01043	Prax.g_00915
OG0000350	Prbg.g_01045	Prax.g_00913
OG0000351	Prbg.g_01046	Prax.g_00912
OG0000352	Prbg.g_00042	Prax.g_00911
OG0000353	Prbg.g_00043	Prax.g_00910
OG0000354	Prbg.g_00045	Prax.g_00909
OG0000355	Prbg.g_00046	Prax.g_00908
OG0000356	Prbg.g_00047	Prax.g_00907
OG0000357	Prbg.g_00048	Prax.g_00906
OG0000358	Prbg.g_00049	Prax.g_00905
OG0000359	Prbg.g_00051	Prax.g_00904
OG0000360	Prbg.g_00054	Prax.g_00900
OG0000361	Prbg.g_00055	Prax.g_00899
OG0000362	Prbg.g_00056	Prax.g_00898
OG0000363	Prbg.g_00057	Prax.g_00897
OG0000364	Prbg.g_00061	Prax.g_00893
OG0000365	Prbg.g_00062	Prax.g_00892
OG0000366	Prbg.g_00065	Prax.g_00890
OG0000367	Prbg.g_00066	Prax.g_00889
OG0000368	Prbg.g_00067	Prax.g_00888
OG0000369	Prbg.g_00068	Prax.g_00887
OG0000370	Prbg.g_00069	Prax.g_00886
OG0000371	Prbg.g_00071	Prax.g_00885
OG0000372	Prbg.g_00072	Prax.g_00884
OG0000373	Prbg.g_00073	Prax.g_00883
OG0000374	Prbg.g_00074	Prax.g_00881
OG0000375	Prbg.g_00075	Prax.g_00880
OG0000376	Prbg.g_00078	Prax.g_00877
OG0000377	Prbg.g_00079	Prax.g_00876
OG0000378	Prbg.g_00080	Prax.g_00875
OG0000379	Prbg.g_00081	Prax.g_00874
OG0000380	Prbg.g_00082	Prax.g_00873
OG0000381	Prbg.g_00083	Prax.g_00872
OG0000382	Prbg.g_00084	Prax.g_00871
OG0000383	Prbg.g_00085	Prax.g_00870
OG0000384	Prbg.g_00087	Prax.g_00867
OG0000385	Prbg.g_00088	Prax.g_00866
OG0000386	Prbg.g_00089	Prax.g_00865
OG0000387	Prbg.g_00090	Prax.g_00864
OG0000388	Prbg.g_00091	Prax.g_00863
OG0000389	Prbg.g_00092	Prax.g_00862
OG0000390	Prbg.g_00093	Prax.g_00861
OG0000391	Prbg.g_00094	Prax.g_00860
OG0000392	Prbg.g_00095	Prax.g_00859
OG0000393	Prbg.g_00096	Prax.g_00858
OG0000394	Prbg.g_00097	Prax.g_00857
OG0000395	Prbg.g_00098	Prax.g_00856
OG0000396	Prbg.g_00099	Prax.g_00854
OG0000397	Prbg.g_00101	Prax.g_00850
OG0000398	Prbg.g_00102	Prax.g_00849
OG0000399	Prbg.g_00104	Prax.g_00846
OG0000400	Prbg.g_00110	Prax.g_00845
OG0000401	Prbg.g_00111	Prax.g_00844
OG0000402	Prbg.g_00117	Prax.g_00839
OG0000403	Prbg.g_00119	Prax.g_00838
OG0000404	Prbg.g_00120	Prax.g_00837
OG0000405	Prbg.g_00121	Prax.g_00835
OG0000406	Prbg.g_00124	Prax.g_00832
OG0000407	Prbg.g_00125	Prax.g_00831
OG0000408	Prbg.g_00128	Prax.g_00828
OG0000409	Prbg.g_00129	Prax.g_00827
OG0000410	Prbg.g_00130	Prax.g_00826
OG0000411	Prbg.g_00131	Prax.g_00825
OG0000412	Prbg.g_00132	Prax.g_00824
OG0000413	Prbg.g_01941	Prax.g_00823
OG0000414	Prbg.g_01942	Prax.g_00822
OG0000415	Prbg.g_01943	Prax.g_00821
OG0000416	Prbg.g_00136	Prax.g_00818
OG0000417	Prbg.g_00137	Prax.g_00817
OG0000418	Prbg.g_00139	Prax.g_00816
OG0000419	Prbg.g_00140	Prax.g_00815
OG0000420	Prbg.g_01214	Prax.g_00814
OG0000421	Prbg.g_01530	Prax.g_00802
OG0000422	Prbg.g_01602	Prax.g_00795
OG0000423	Prbg.g_01525	Prax.g_00794
OG0000424	Prbg.g_01714	Prax.g_00790
OG0000425	Prbg.g_00151	Prax.g_00769
OG0000426	Prbg.g_00152	Prax.g_00768
OG0000427	Prbg.g_00153	Prax.g_00767
OG0000428	Prbg.g_00155	Prax.g_00765
OG0000429	Prbg.g_00156	Prax.g_00764
OG0000430	Prbg.g_00158	Prax.g_00762
OG0000431	Prbg.g_00159	Prax.g_00761
OG0000432	Prbg.g_00160	Prax.g_00760
OG0000433	Prbg.g_00161	Prax.g_00759
OG0000434	Prbg.g_00162	Prax.g_00758
OG0000435	Prbg.g_00163	Prax.g_00757
OG0000436	Prbg.g_00164	Prax.g_00756
OG0000437	Prbg.g_00165	Prax.g_00755
OG0000438	Prbg.g_00166	Prax.g_00754
OG0000439	Prbg.g_00167	Prax.g_00753
OG0000440	Prbg.g_00168	Prax.g_00752
OG0000441	Prbg.g_00169	Prax.g_00751
OG0000442	Prbg.g_00170	Prax.g_00750
OG0000443	Prbg.g_00171	Prax.g_00749
OG0000444	Prbg.g_00172	Prax.g_00748
OG0000445	Prbg.g_00176	Prax.g_00747
OG0000446	Prbg.g_00178	Prax.g_00746
OG0000447	Prbg.g_00179	Prax.g_00745
OG0000448	Prbg.g_00180	Prax.g_00743
OG0000449	Prbg.g_00184	Prax.g_00740
OG0000450	Prbg.g_00185	Prax.g_00739
OG0000451	Prbg.g_00186	Prax.g_00738
OG0000452	Prbg.g_00188	Prax.g_00737
OG0000453	Prbg.g_00189	Prax.g_00736
OG0000454	Prbg.g_00190	Prax.g_00731
OG0000455	Prbg.g_00192	Prax.g_00729
OG0000456	Prbg.g_00196	Prax.g_00725
OG0000457	Prbg.g_00197	Prax.g_00724
OG0000458	Prbg.g_00198	Prax.g_00723
OG0000459	Prbg.g_00200	Prax.g_00721
OG0000460	Prbg.g_00202	Prax.g_00719
OG0000461	Prbg.g_00203	Prax.g_00718
OG0000462	Prbg.g_00204	Prax.g_00717
OG0000463	Prbg.g_00206	Prax.g_00715
OG0000464	Prbg.g_00207	Prax.g_00714
OG0000465	Prbg.g_00208	Prax.g_00713
OG0000466	Prbg.g_00209	Prax.g_00712
OG0000467	Prbg.g_00210	Prax.g_00711
OG0000468	Prbg.g_00211	Prax.g_00709
OG0000469	Prbg.g_00212	Prax.g_00708
OG0000470	Prbg.g_00213	Prax.g_00707
OG0000471	Prbg.g_00214	Prax.g_00706
OG0000472	Prbg.g_00220	Prax.g_00701
OG0000473	Prbg.g_00221	Prax.g_00700
OG0000474	Prbg.g_00222	Prax.g_00699
OG0000475	Prbg.g_00223	Prax.g_00698
OG0000476	Prbg.g_00224	Prax.g_00696
OG0000477	Prbg.g_00225	Prax.g_00695
OG0000478	Prbg.g_00226	Prax.g_00694
OG0000479	Prbg.g_00227	Prax.g_00693
OG0000480	Prbg.g_00229	Prax.g_00691
OG0000481	Prbg.g_00231	Prax.g_00689
OG0000482	Prbg.g_00232	Prax.g_00688
OG0000483	Prbg.g_00234	Prax.g_00686
OG0000484	Prbg.g_00235	Prax.g_00685
OG0000485	Prbg.g_00236	Prax.g_00684
OG0000486	Prbg.g_00237	Prax.g_00683
OG0000487	Prbg.g_00241	Prax.g_00678
OG0000488	Prbg.g_00242	Prax.g_00676
OG0000489	Prbg.g_00243	Prax.g_00675
OG0000490	Prbg.g_00244	Prax.g_00674
OG0000491	Prbg.g_00245	Prax.g_00673
OG0000492	Prbg.g_00246	Prax.g_00672
OG0000493	Prbg.g_00247	Prax.g_00671
OG0000494	Prbg.g_00248	Prax.g_00670
OG0000495	Prbg.g_00251	Prax.g_00667
OG0000496	Prbg.g_00252	Prax.g_00666
OG0000497	Prbg.g_00253	Prax.g_00665
OG0000498	Prbg.g_00254	Prax.g_00664
OG0000499	Prbg.g_00255	Prax.g_00663
OG0000500	Prbg.g_00257	Prax.g_00001
OG0000501	Prbg.g_00258	Prax.g_00002
OG0000502	Prbg.g_00259	Prax.g_00003
OG0000503	Prbg.g_00261	Prax.g_00005
OG0000504	Prbg.g_00262	Prax.g_00006
OG0000505	Prbg.g_00264	Prax.g_00007
OG0000506	Prbg.g_00265	Prax.g_00008
OG0000507	Prbg.g_00266	Prax.g_00009
OG0000508	Prbg.g_00267	Prax.g_00010
OG0000509	Prbg.g_00268	Prax.g_00011
OG0000510	Prbg.g_00269	Prax.g_00012
OG0000511	Prbg.g_00271	Prax.g_00014
OG0000512	Prbg.g_00272	Prax.g_00015
OG0000513	Prbg.g_00273	Prax.g_00016
OG0000514	Prbg.g_00274	Prax.g_00017
OG0000515	Prbg.g_00275	Prax.g_00018
OG0000516	Prbg.g_00276	Prax.g_00019
OG0000517	Prbg.g_00277	Prax.g_00021
OG0000518	Prbg.g_00278	Prax.g_00022
OG0000519	Prbg.g_00280	Prax.g_00023
OG0000520	Prbg.g_00282	Prax.g_00024
OG0000521	Prbg.g_00283	Prax.g_00025
OG0000522	Prbg.g_00284	Prax.g_00026
OG0000523	Prbg.g_00285	Prax.g_00027
OG0000524	Prbg.g_00286	Prax.g_00028
OG0000525	Prbg.g_00287	Prax.g_00029
OG0000526	Prbg.g_00288	Prax.g_00030
OG0000527	Prbg.g_00289	Prax.g_00031
OG0000528	Prbg.g_00290	Prax.g_00032
OG0000529	Prbg.g_00291	Prax.g_00033
OG0000530	Prbg.g_00292	Prax.g_00034
OG0000531	Prbg.g_00293	Prax.g_00035
OG0000532	Prbg.g_00294	Prax.g_00036
OG0000533	Prbg.g_00296	Prax.g_00038
OG0000534	Prbg.g_00297	Prax.g_00039
OG0000535	Prbg.g_00298	Prax.g_00040
OG0000536	Prbg.g_00299	Prax.g_00041
OG0000537	Prbg.g_00300	Prax.g_00042
OG0000538	Prbg.g_00301	Prax.g_00043
OG0000539	Prbg.g_00305	Prax.g_00046
OG0000540	Prbg.g_00306	Prax.g_00047
OG0000541	Prbg.g_00307	Prax.g_00048
OG0000542	Prbg.g_00310	Prax.g_00050
OG0000543	Prbg.g_00311	Prax.g_00051
OG0000544	Prbg.g_00312	Prax.g_00052
OG0000545	Prbg.g_00313	Prax.g_00053
OG0000546	Prbg.g_00314	Prax.g_00054
OG0000547	Prbg.g_00315	Prax.g_00055
OG0000548	Prbg.g_00316	Prax.g_00056
OG0000549	Prbg.g_00318	Prax.g_00058
OG0000550	Prbg.g_00319	Prax.g_00059
OG0000551	Prbg.g_00320	Prax.g_00060
OG0000552	Prbg.g_00321	Prax.g_00061
OG0000553	Prbg.g_00322	Prax.g_00062
OG0000554	Prbg.g_00323	Prax.g_00063
OG0000555	Prbg.g_00325	Prax.g_00064
OG0000556	Prbg.g_00326	Prax.g_00065
OG0000557	Prbg.g_00327	Prax.g_00066
OG0000558	Prbg.g_00328	Prax.g_00067
OG0000559	Prbg.g_00329	Prax.g_00068
OG0000560	Prbg.g_00330	Prax.g_00069
OG0000561	Prbg.g_00331	Prax.g_00070
OG0000562	Prbg.g_00332	Prax.g_00071
OG0000563	Prbg.g_00333	Prax.g_00072
OG0000564	Prbg.g_00334	Prax.g_00073
OG0000565	Prbg.g_00335	Prax.g_00074
OG0000566	Prbg.g_00336	Prax.g_00075
OG0000567	Prbg.g_00337	Prax.g_00076
OG0000568	Prbg.g_00338	Prax.g_00077
OG0000569	Prbg.g_00340	Prax.g_00080
OG0000570	Prbg.g_00341	Prax.g_00081
OG0000571	Prbg.g_00343	Prax.g_00083
