Orthogroup	Syae	Prba
OG0000034	Syae.g_00975, Syae.g_01424	Prba.g_01202
OG0000035	Syae.g_02653	Prba.g_00713
OG0000037	Syae.g_01367	Prba.g_01897
OG0000038	Syae.g_01571	Prba.g_00819
OG0000039	Syae.g_00822, Syae.g_02495	Prba.g_01631
OG0000040	Syae.g_01653	Prba.g_00084
OG0000042	Syae.g_01821	Prba.g_00775
OG0000044	Syae.g_00098, Syae.g_01067	Prba.g_00002
OG0000047	Syae.g_02184	Prba.g_00546, Prba.g_00913
OG0000048	Syae.g_01982	Prba.g_00868
OG0000050	Syae.g_00122	Prba.g_00899
OG0000050	Syae.g_01023	Prba.g_01229
OG0000051	Syae.g_00438	Prba.g_01168
OG0000052	Syae.g_01224	Prba.g_00160
OG0000053	Syae.g_02629	Prba.g_00693
OG0000054	Syae.g_00014, Syae.g_00221	Prba.g_01711
OG0000055	Syae.g_00817	Prba.g_01518
OG0000057	Syae.g_00782	Prba.g_01619
OG0000058	Syae.g_01905, Syae.g_01227	Prba.g_00153
OG0000059	Syae.g_02074	Prba.g_00381
OG0000061	Syae.g_00921	Prba.g_00064
OG0000062	Syae.g_01145	Prba.g_00310
OG0000063	Syae.g_01752	Prba.g_01826
OG0000065	Syae.g_01363, Syae.g_00722	Prba.g_01895
OG0000066	Syae.g_02386	Prba.g_00922
OG0000067	Syae.g_00521	Prba.g_01499
OG0000068	Syae.g_02299	Prba.g_00196
OG0000069	Syae.g_00458	Prba.g_00275
OG0000070	Syae.g_00979	Prba.g_01011
OG0000071	Syae.g_00961	Prba.g_01192
OG0000072	Syae.g_01455	Prba.g_00627
OG0000073	Syae.g_02330	Prba.g_00962
OG0000074	Syae.g_00719	Prba.g_01635
OG0000075	Syae.g_01871	Prba.g_01071
OG0000076	Syae.g_01829	Prba.g_00768
OG0000077	Syae.g_01297	Prba.g_01866
OG0000078	Syae.g_02243	Prba.g_00458
OG0000079	Syae.g_02011	Prba.g_00471
OG0000081	Syae.g_02261	Prba.g_00930
OG0000082	Syae.g_02447	Prba.g_01731
OG0000084	Syae.g_00857, Syae.g_02656	Prba.g_00717
OG0000085	Syae.g_01152	Prba.g_00233
OG0000086	Syae.g_01333	Prba.g_01876
OG0000087	Syae.g_01414	Prba.g_01927
OG0000088	Syae.g_01449	Prba.g_00622
OG0000089	Syae.g_02219	Prba.g_00850
OG0000090	Syae.g_02374	Prba.g_00928
OG0000091	Syae.g_00082	Prba.g_01675
OG0000092	Syae.g_00884	Prba.g_01057
OG0000093	Syae.g_00537	Prba.g_01369
OG0000094	Syae.g_00430	Prba.g_01283
OG0000095	Syae.g_00793, Syae.g_00259, Syae.g_01624	Prba.g_01264
OG0000097	Syae.g_00683	Prba.g_00022
OG0000098	Syae.g_02384, Syae.g_02058	Prba.g_00214
OG0000099	Syae.g_01913, Syae.g_01226	Prba.g_00155
OG0000100	Syae.g_00489	Prba.g_00314
OG0000101	Syae.g_02125	Prba.g_00429
OG0000102	Syae.g_01824	Prba.g_00773
OG0000103	Syae.g_01694	Prba.g_01781
OG0000104	Syae.g_01708	Prba.g_01789
OG0000105	Syae.g_01977	Prba.g_00491
OG0000106	Syae.g_00272	Prba.g_00864
OG0000107	Syae.g_02032	Prba.g_00880
OG0000108	Syae.g_02309	Prba.g_00981
OG0000109	Syae.g_02324	Prba.g_00967
OG0000110	Syae.g_02435	Prba.g_01741
OG0000111	Syae.g_00783	Prba.g_01618
OG0000112	Syae.g_00351	Prba.g_01534
OG0000113	Syae.g_00494	Prba.g_01477
OG0000114	Syae.g_00575	Prba.g_01395
OG0000115	Syae.g_02631	Prba.g_00743
OG0000116	Syae.g_00939	Prba.g_00074
OG0000117	Syae.g_00647	Prba.g_01135
OG0000118	Syae.g_02479	Prba.g_01204
OG0000119	Syae.g_00904	Prba.g_00200
OG0000120	Syae.g_01912	Prba.g_00175
OG0000121	Syae.g_02649	Prba.g_00711
OG0000122	Syae.g_00112	Prba.g_00348
OG0000123	Syae.g_02131	Prba.g_00436
OG0000124	Syae.g_01809	Prba.g_00784
OG0000125	Syae.g_01573	Prba.g_01089, Prba.g_00821
OG0000126	Syae.g_01706	Prba.g_01788
OG0000127	Syae.g_00720	Prba.g_01118
OG0000128	Syae.g_01724	Prba.g_01804
OG0000129	Syae.g_01562	Prba.g_01838
OG0000130	Syae.g_01284	Prba.g_01857
OG0000131	Syae.g_01428	Prba.g_01933
OG0000132	Syae.g_01447	Prba.g_01952
OG0000133	Syae.g_00356	Prba.g_00538
OG0000134	Syae.g_02222	Prba.g_00851
OG0000135	Syae.g_01608	Prba.g_00877
OG0000136	Syae.g_00989	Prba.g_01020
OG0000137	Syae.g_02530	Prba.g_00986
OG0000138	Syae.g_02325	Prba.g_00966
OG0000139	Syae.g_02380	Prba.g_00924
OG0000140	Syae.g_02383	Prba.g_00923
OG0000141	Syae.g_00016	Prba.g_01710
OG0000142	Syae.g_00074	Prba.g_01682
OG0000143	Syae.g_00078	Prba.g_01678
OG0000144	Syae.g_00261	Prba.g_01665
OG0000145	Syae.g_02331	Prba.g_01541
OG0000146	Syae.g_00350	Prba.g_01533
OG0000147	Syae.g_00349	Prba.g_01532
OG0000148	Syae.g_00500	Prba.g_01483
OG0000149	Syae.g_00847	Prba.g_01452
OG0000150	Syae.g_00017	Prba.g_01444
OG0000151	Syae.g_00563	Prba.g_01385
OG0000152	Syae.g_00360	Prba.g_01337
OG0000153	Syae.g_00394	Prba.g_01318
OG0000154	Syae.g_00420	Prba.g_01290
OG0000155	Syae.g_00885	Prba.g_00043
OG0000156	Syae.g_00945	Prba.g_01181
OG0000157	Syae.g_00946	Prba.g_01182
OG0000158	Syae.g_01858	Prba.g_00154
OG0000160	Syae.g_02650	Prba.g_00712
OG0000161	Syae.g_02644	Prba.g_00706
OG0000162	Syae.g_02638	Prba.g_00700
OG0000163	Syae.g_01092	Prba.g_00341
OG0000164	Syae.g_01198	Prba.g_00596
OG0000165	Syae.g_01021	Prba.g_00589
OG0000166	Syae.g_02085	Prba.g_00393
OG0000167	Syae.g_01874	Prba.g_01069
OG0000168	Syae.g_01856	Prba.g_01079
OG0000169	Syae.g_01841	Prba.g_00761
OG0000170	Syae.g_01834	Prba.g_00763
OG0000171	Syae.g_01810	Prba.g_00783
OG0000172	Syae.g_01788	Prba.g_00792
OG0000173	Syae.g_01770	Prba.g_00807
OG0000174	Syae.g_01610	Prba.g_00835
OG0000175	Syae.g_01679	Prba.g_00845
OG0000176	Syae.g_01716	Prba.g_01797
OG0000177	Syae.g_01717	Prba.g_01798
OG0000178	Syae.g_01718	Prba.g_01799
OG0000179	Syae.g_01733	Prba.g_01809
OG0000180	Syae.g_01734	Prba.g_01810
OG0000181	Syae.g_01735	Prba.g_01811
OG0000182	Syae.g_01736	Prba.g_01812
OG0000183	Syae.g_01740	Prba.g_01816
OG0000184	Syae.g_01554	Prba.g_01840
OG0000185	Syae.g_01551	Prba.g_01843
OG0000186	Syae.g_01279	Prba.g_01852
OG0000187	Syae.g_01280	Prba.g_01853
OG0000188	Syae.g_01323	Prba.g_01870
OG0000189	Syae.g_01350	Prba.g_01884
OG0000190	Syae.g_01352	Prba.g_01885
OG0000191	Syae.g_01384	Prba.g_01905
OG0000192	Syae.g_01390	Prba.g_01909
OG0000193	Syae.g_01429	Prba.g_01934
OG0000194	Syae.g_01432	Prba.g_01937
OG0000195	Syae.g_01434	Prba.g_01939
OG0000196	Syae.g_01444	Prba.g_01949
OG0000197	Syae.g_01445	Prba.g_01950
OG0000198	Syae.g_01446	Prba.g_01951
OG0000199	Syae.g_01454	Prba.g_00626
OG0000200	Syae.g_01471	Prba.g_00640
OG0000201	Syae.g_01487	Prba.g_00648
OG0000202	Syae.g_01488	Prba.g_00649
OG0000203	Syae.g_01489	Prba.g_00650
OG0000204	Syae.g_01490	Prba.g_00651
OG0000205	Syae.g_01497	Prba.g_00658
OG0000206	Syae.g_01504	Prba.g_00663
OG0000207	Syae.g_01506	Prba.g_00665
OG0000208	Syae.g_01507	Prba.g_00666
OG0000209	Syae.g_01528	Prba.g_00675
OG0000210	Syae.g_01529	Prba.g_00439
OG0000211	Syae.g_02234	Prba.g_00452
OG0000212	Syae.g_02244	Prba.g_00459
OG0000213	Syae.g_02003	Prba.g_00476
OG0000214	Syae.g_01986	Prba.g_00485
OG0000215	Syae.g_01955	Prba.g_00509
OG0000216	Syae.g_01951	Prba.g_00510
OG0000217	Syae.g_01947	Prba.g_00513
OG0000218	Syae.g_01945	Prba.g_00515
OG0000219	Syae.g_01944	Prba.g_00516
OG0000220	Syae.g_01943	Prba.g_00517
OG0000221	Syae.g_01937	Prba.g_00518
OG0000222	Syae.g_01926	Prba.g_00526
OG0000223	Syae.g_01904	Prba.g_00539
OG0000224	Syae.g_01897	Prba.g_00541
OG0000225	Syae.g_02208	Prba.g_00562
OG0000226	Syae.g_02212	Prba.g_00221
OG0000227	Syae.g_02214	Prba.g_00223
OG0000228	Syae.g_02218	Prba.g_00849
OG0000229	Syae.g_00994	Prba.g_01025
OG0000230	Syae.g_00992	Prba.g_01023
OG0000231	Syae.g_00980	Prba.g_01012
OG0000232	Syae.g_02496	Prba.g_01003
OG0000233	Syae.g_02504	Prba.g_00998
OG0000234	Syae.g_02532	Prba.g_00985
OG0000235	Syae.g_02308	Prba.g_00982
OG0000236	Syae.g_02323	Prba.g_00968
OG0000237	Syae.g_02340	Prba.g_00955
OG0000238	Syae.g_02345	Prba.g_00949
OG0000239	Syae.g_02360	Prba.g_00936
OG0000240	Syae.g_02361	Prba.g_00935
OG0000241	Syae.g_00065	Prba.g_00931
OG0000242	Syae.g_02372	Prba.g_00929
OG0000243	Syae.g_02391	Prba.g_01772
OG0000244	Syae.g_02399	Prba.g_01769
OG0000245	Syae.g_02401	Prba.g_01767
OG0000246	Syae.g_02405	Prba.g_01763
OG0000247	Syae.g_02416	Prba.g_01753
OG0000248	Syae.g_02419	Prba.g_01751
OG0000249	Syae.g_02421	Prba.g_01749
OG0000250	Syae.g_02431	Prba.g_01744
OG0000251	Syae.g_02455	Prba.g_01726
OG0000252	Syae.g_02458	Prba.g_01723
OG0000253	Syae.g_02459	Prba.g_01722
OG0000254	Syae.g_00021	Prba.g_01706
OG0000255	Syae.g_00041	Prba.g_01700
OG0000256	Syae.g_00058	Prba.g_01690
OG0000257	Syae.g_00064	Prba.g_01687
OG0000258	Syae.g_00083	Prba.g_01674
OG0000259	Syae.g_00608	Prba.g_01657
OG0000260	Syae.g_00603	Prba.g_01654
OG0000261	Syae.g_00600	Prba.g_01652
OG0000262	Syae.g_00595	Prba.g_01648
OG0000263	Syae.g_00671	Prba.g_01636
OG0000264	Syae.g_00761	Prba.g_01626
OG0000265	Syae.g_00932, Syae.g_00226	Prba.g_01594
OG0000266	Syae.g_00457	Prba.g_01584
OG0000267	Syae.g_00304	Prba.g_01573
OG0000268	Syae.g_00308	Prba.g_01572
OG0000269	Syae.g_00526	Prba.g_01504
OG0000270	Syae.g_00523	Prba.g_01501
OG0000271	Syae.g_00515	Prba.g_01493
OG0000272	Syae.g_00514	Prba.g_01492
OG0000273	Syae.g_00825	Prba.g_01469
OG0000274	Syae.g_00826	Prba.g_01468
OG0000275	Syae.g_00832	Prba.g_01465
OG0000276	Syae.g_00839	Prba.g_01460
OG0000277	Syae.g_00840	Prba.g_01459
OG0000278	Syae.g_00843	Prba.g_01456
OG0000279	Syae.g_00851	Prba.g_01449
OG0000280	Syae.g_00877	Prba.g_01448
OG0000281	Syae.g_02057	Prba.g_01443
OG0000282	Syae.g_00573	Prba.g_01393
OG0000283	Syae.g_00321	Prba.g_01360
OG0000284	Syae.g_00327	Prba.g_01355
OG0000285	Syae.g_00340	Prba.g_01350
OG0000286	Syae.g_00359	Prba.g_01338
OG0000287	Syae.g_00387	Prba.g_01321
OG0000288	Syae.g_00419	Prba.g_01291
OG0000289	Syae.g_00433	Prba.g_01280
OG0000290	Syae.g_00796	Prba.g_01267
OG0000291	Syae.g_00794	Prba.g_01265
OG0000292	Syae.g_01705	Prba.g_01216
OG0000293	Syae.g_00938	Prba.g_00073
OG0000294	Syae.g_00937	Prba.g_00072
OG0000295	Syae.g_00893	Prba.g_00051
OG0000296	Syae.g_00891	Prba.g_00049
OG0000297	Syae.g_00645	Prba.g_00041
OG0000298	Syae.g_00646	Prba.g_00040
OG0000299	Syae.g_00680	Prba.g_00023
OG0000300	Syae.g_00686	Prba.g_00020
OG0000301	Syae.g_00687	Prba.g_00019
OG0000302	Syae.g_00691	Prba.g_00017
OG0000303	Syae.g_00700	Prba.g_00010
OG0000304	Syae.g_00706	Prba.g_00006
OG0000305	Syae.g_00791	Prba.g_00204
OG0000306	Syae.g_00277	Prba.g_00201
OG0000307	Syae.g_02290	Prba.g_00187
OG0000308	Syae.g_02288	Prba.g_00186
OG0000309	Syae.g_02283	Prba.g_00182
OG0000310	Syae.g_02687	Prba.g_00112
OG0000311	Syae.g_02682	Prba.g_00110
OG0000312	Syae.g_02664	Prba.g_00107
OG0000313	Syae.g_02647	Prba.g_00709
OG0000314	Syae.g_02618	Prba.g_00686
OG0000315	Syae.g_02609	Prba.g_00351, Prba.g_00676
OG0000316	Syae.g_01118	Prba.g_00331
OG0000317	Syae.g_01160	Prba.g_00228
OG0000318	Syae.g_01164	Prba.g_00619
OG0000319	Syae.g_01181	Prba.g_00606
OG0000320	Syae.g_01183	Prba.g_00604
OG0000321	Syae.g_01184	Prba.g_00603
OG0000322	Syae.g_01185	Prba.g_00602
OG0000323	Syae.g_01200	Prba.g_00593
OG0000324	Syae.g_01049	Prba.g_00567
OG0000325	Syae.g_02033	Prba.g_00358
OG0000326	Syae.g_02040	Prba.g_00364
OG0000327	Syae.g_02080	Prba.g_00388
OG0000328	Syae.g_02081	Prba.g_00389
OG0000329	Syae.g_02099	Prba.g_00406
OG0000330	Syae.g_02100	Prba.g_00407
OG0000331	Syae.g_02101	Prba.g_00408
OG0000332	Syae.g_02116	Prba.g_00422
OG0000333	Syae.g_02119	Prba.g_00424
OG0000334	Syae.g_02128	Prba.g_00432
OG0000335	Syae.g_02132	Prba.g_00437
OG0000336	Syae.g_02136	Prba.g_01050
OG0000337	Syae.g_01879	Prba.g_01067
OG0000338	Syae.g_01876	Prba.g_01068
OG0000339	Syae.g_01869	Prba.g_01072
OG0000340	Syae.g_01855	Prba.g_00752
OG0000341	Syae.g_01853	Prba.g_00754
OG0000342	Syae.g_01852	Prba.g_00755
OG0000343	Syae.g_01848	Prba.g_00756
OG0000344	Syae.g_01843	Prba.g_00759
OG0000345	Syae.g_01833	Prba.g_00764
OG0000346	Syae.g_01828	Prba.g_00769
OG0000347	Syae.g_01805	Prba.g_00785
OG0000348	Syae.g_01781	Prba.g_00795
OG0000349	Syae.g_01763	Prba.g_00812
OG0000350	Syae.g_02047	Prba.g_00831
OG0000351	Syae.g_01684	Prba.g_00848, Prba.g_01776
OG0000352	Syae.g_01685	Prba.g_01777
OG0000353	Syae.g_01711	Prba.g_01792
OG0000355	Syae.g_01713	Prba.g_01794
OG0000356	Syae.g_01714	Prba.g_01795
OG0000357	Syae.g_01715	Prba.g_01796
OG0000358	Syae.g_01719	Prba.g_01800
OG0000359	Syae.g_01721	Prba.g_01801
OG0000360	Syae.g_01722	Prba.g_01802
OG0000361	Syae.g_01723	Prba.g_01803
OG0000362	Syae.g_01725	Prba.g_01805
OG0000363	Syae.g_01727	Prba.g_01807
OG0000364	Syae.g_01728	Prba.g_01808
OG0000365	Syae.g_01737	Prba.g_01813
OG0000366	Syae.g_01738	Prba.g_01814
OG0000367	Syae.g_01739	Prba.g_01815
OG0000368	Syae.g_01741	Prba.g_01817
OG0000369	Syae.g_01742	Prba.g_01818
OG0000370	Syae.g_01743	Prba.g_01819
OG0000371	Syae.g_01751	Prba.g_01825
OG0000372	Syae.g_01756	Prba.g_01828
OG0000373	Syae.g_01757	Prba.g_01829
OG0000374	Syae.g_01758	Prba.g_01830
OG0000375	Syae.g_01759	Prba.g_01834
OG0000376	Syae.g_01761	Prba.g_01836
OG0000377	Syae.g_01561	Prba.g_01839
OG0000378	Syae.g_01553	Prba.g_01841
OG0000379	Syae.g_01550	Prba.g_01844
OG0000380	Syae.g_01281	Prba.g_01854
OG0000381	Syae.g_01285	Prba.g_01858
OG0000382	Syae.g_01322	Prba.g_01869
OG0000383	Syae.g_01324	Prba.g_01871
OG0000384	Syae.g_01325	Prba.g_01872
OG0000385	Syae.g_01326	Prba.g_01873
OG0000386	Syae.g_01327	Prba.g_01874
OG0000387	Syae.g_01354	Prba.g_01887
OG0000388	Syae.g_01358	Prba.g_01890
OG0000389	Syae.g_01362	Prba.g_01894
OG0000390	Syae.g_01378	Prba.g_01901
OG0000391	Syae.g_01383	Prba.g_01904
OG0000392	Syae.g_01389	Prba.g_01908
OG0000393	Syae.g_01392	Prba.g_01910
OG0000394	Syae.g_01393	Prba.g_01911
OG0000395	Syae.g_01394	Prba.g_01912
OG0000396	Syae.g_01397	Prba.g_01915
OG0000397	Syae.g_01400	Prba.g_01917
OG0000398	Syae.g_01405	Prba.g_01919
OG0000399	Syae.g_01406	Prba.g_01920
OG0000400	Syae.g_01407	Prba.g_01921
OG0000401	Syae.g_01408	Prba.g_01922
OG0000402	Syae.g_01410	Prba.g_01924
OG0000403	Syae.g_01411	Prba.g_01925
OG0000404	Syae.g_01412	Prba.g_01926
OG0000405	Syae.g_01426	Prba.g_01930
OG0000406	Syae.g_01430	Prba.g_01935
OG0000407	Syae.g_01431	Prba.g_01936
OG0000408	Syae.g_01433	Prba.g_01938
OG0000409	Syae.g_01435	Prba.g_01940
OG0000410	Syae.g_01436	Prba.g_01941
OG0000411	Syae.g_01437	Prba.g_01942
OG0000412	Syae.g_01438	Prba.g_01943
OG0000413	Syae.g_01440	Prba.g_01944
OG0000415	Syae.g_01441	Prba.g_01946
OG0000416	Syae.g_01442	Prba.g_01947
OG0000417	Syae.g_01443	Prba.g_01948
OG0000418	Syae.g_01448	Prba.g_01953
OG0000419	Syae.g_01450	Prba.g_00623
OG0000420	Syae.g_01452	Prba.g_00624
OG0000421	Syae.g_01457	Prba.g_00629
OG0000422	Syae.g_01458	Prba.g_00630
OG0000423	Syae.g_01459	Prba.g_00631
OG0000424	Syae.g_01460	Prba.g_00632
OG0000425	Syae.g_01461	Prba.g_00633
OG0000426	Syae.g_01462	Prba.g_00634
OG0000427	Syae.g_01463	Prba.g_00635
OG0000428	Syae.g_01466	Prba.g_00637
OG0000429	Syae.g_01468	Prba.g_00638
OG0000430	Syae.g_01470	Prba.g_00639
OG0000431	Syae.g_01473	Prba.g_00641
OG0000432	Syae.g_01481	Prba.g_00644
OG0000433	Syae.g_01484	Prba.g_00645
OG0000434	Syae.g_01485	Prba.g_00646
OG0000435	Syae.g_01486	Prba.g_00647
OG0000436	Syae.g_01491	Prba.g_00652
OG0000437	Syae.g_01492	Prba.g_00653
OG0000438	Syae.g_01493	Prba.g_00654
OG0000439	Syae.g_01495	Prba.g_00656
OG0000440	Syae.g_01496	Prba.g_00657
OG0000441	Syae.g_01501	Prba.g_00660
OG0000442	Syae.g_01502	Prba.g_00661
OG0000443	Syae.g_01503	Prba.g_00662
OG0000444	Syae.g_01509	Prba.g_00667
OG0000445	Syae.g_01510	Prba.g_00668
OG0000446	Syae.g_01512	Prba.g_00669
OG0000447	Syae.g_01517	Prba.g_00670
OG0000448	Syae.g_01518	Prba.g_00671
OG0000449	Syae.g_01519	Prba.g_00672
OG0000450	Syae.g_01525	Prba.g_00673
OG0000451	Syae.g_01526	Prba.g_00674
OG0000452	Syae.g_01530	Prba.g_00440
OG0000453	Syae.g_01531	Prba.g_00441
OG0000454	Syae.g_01532	Prba.g_00442
OG0000455	Syae.g_01533	Prba.g_00443
OG0000456	Syae.g_01534	Prba.g_00444
OG0000457	Syae.g_01536	Prba.g_00445
OG0000458	Syae.g_01538	Prba.g_00446
OG0000459	Syae.g_01539	Prba.g_00447
OG0000460	Syae.g_02236	Prba.g_00454
OG0000461	Syae.g_02024	Prba.g_00461
OG0000462	Syae.g_02021	Prba.g_00463
OG0000463	Syae.g_02020	Prba.g_00464
OG0000464	Syae.g_02019	Prba.g_00465
OG0000465	Syae.g_02018	Prba.g_00466
OG0000466	Syae.g_02014	Prba.g_00469
OG0000467	Syae.g_02012	Prba.g_00470
OG0000468	Syae.g_02007	Prba.g_00472
OG0000469	Syae.g_01992	Prba.g_00480
OG0000470	Syae.g_01990	Prba.g_00482
OG0000471	Syae.g_01989	Prba.g_00483
OG0000472	Syae.g_01987	Prba.g_00484
OG0000473	Syae.g_01985	Prba.g_00486
OG0000474	Syae.g_01984	Prba.g_00487
OG0000475	Syae.g_01983	Prba.g_00488
OG0000476	Syae.g_01981	Prba.g_00489
OG0000477	Syae.g_01975	Prba.g_00492
OG0000478	Syae.g_01974	Prba.g_00493
OG0000479	Syae.g_01973	Prba.g_00494
OG0000480	Syae.g_01966	Prba.g_00499
OG0000481	Syae.g_01964	Prba.g_00501
OG0000482	Syae.g_01963	Prba.g_00502
OG0000483	Syae.g_01959	Prba.g_00505
OG0000484	Syae.g_01958	Prba.g_00506
OG0000485	Syae.g_01957	Prba.g_00507
OG0000486	Syae.g_01956	Prba.g_00508
OG0000487	Syae.g_01950	Prba.g_00511
OG0000488	Syae.g_01946	Prba.g_00514
OG0000489	Syae.g_01936	Prba.g_00519
OG0000490	Syae.g_01928	Prba.g_00524
OG0000491	Syae.g_01927	Prba.g_00525
OG0000492	Syae.g_01925	Prba.g_00527
OG0000493	Syae.g_01924	Prba.g_00528
OG0000494	Syae.g_01923	Prba.g_00529
OG0000495	Syae.g_01922	Prba.g_00530
OG0000496	Syae.g_01921	Prba.g_00531
OG0000497	Syae.g_01920	Prba.g_00532
OG0000498	Syae.g_01919	Prba.g_00533
OG0000499	Syae.g_01918	Prba.g_00534
OG0000500	Syae.g_01917	Prba.g_00535
OG0000501	Syae.g_01914	Prba.g_00537
OG0000502	Syae.g_01902	Prba.g_00540
OG0000503	Syae.g_02192	Prba.g_00550
OG0000504	Syae.g_02194	Prba.g_00551
OG0000505	Syae.g_02195	Prba.g_00552
OG0000506	Syae.g_02197	Prba.g_00554
OG0000507	Syae.g_02203	Prba.g_00557
OG0000508	Syae.g_02207	Prba.g_00561
OG0000509	Syae.g_02209	Prba.g_00218
OG0000510	Syae.g_02210	Prba.g_00219
OG0000511	Syae.g_02211	Prba.g_00220
OG0000512	Syae.g_02213	Prba.g_00222
OG0000513	Syae.g_02223	Prba.g_00852
OG0000514	Syae.g_02229	Prba.g_01030
OG0000515	Syae.g_02230	Prba.g_01029
OG0000516	Syae.g_01000	Prba.g_01028
OG0000517	Syae.g_00995	Prba.g_01026
OG0000518	Syae.g_00983	Prba.g_01015
OG0000519	Syae.g_00982	Prba.g_01014
OG0000520	Syae.g_00981	Prba.g_01013
OG0000521	Syae.g_02491	Prba.g_01008
OG0000522	Syae.g_02493	Prba.g_01006
OG0000523	Syae.g_02494	Prba.g_01005
OG0000524	Syae.g_02501	Prba.g_01000
OG0000525	Syae.g_02520	Prba.g_00997
OG0000526	Syae.g_02523	Prba.g_00996
OG0000527	Syae.g_02528	Prba.g_00988
OG0000528	Syae.g_02304	Prba.g_00983
OG0000529	Syae.g_02310	Prba.g_00980
OG0000530	Syae.g_02313	Prba.g_00977
OG0000531	Syae.g_02314	Prba.g_00976
OG0000532	Syae.g_02317	Prba.g_00974
OG0000533	Syae.g_02318	Prba.g_00973
OG0000534	Syae.g_02319	Prba.g_00972
OG0000535	Syae.g_02320	Prba.g_00971
OG0000536	Syae.g_02321	Prba.g_00970
OG0000537	Syae.g_02322	Prba.g_00969
OG0000538	Syae.g_02333	Prba.g_00961
OG0000539	Syae.g_02334	Prba.g_00960
OG0000540	Syae.g_02335	Prba.g_00959
OG0000541	Syae.g_02336	Prba.g_00958
OG0000542	Syae.g_02339	Prba.g_00956
OG0000543	Syae.g_02341	Prba.g_00954
OG0000544	Syae.g_02342	Prba.g_00953
OG0000545	Syae.g_02344	Prba.g_00951
OG0000546	Syae.g_02346	Prba.g_00948
OG0000547	Syae.g_02348	Prba.g_00946
OG0000548	Syae.g_02349	Prba.g_00945
OG0000549	Syae.g_02354	Prba.g_00943
OG0000550	Syae.g_02358	Prba.g_00938
OG0000551	Syae.g_02363	Prba.g_00934
OG0000552	Syae.g_02364	Prba.g_00933
OG0000553	Syae.g_02366	Prba.g_00932
OG0000554	Syae.g_02375	Prba.g_00927
OG0000555	Syae.g_02390	Prba.g_01773
OG0000556	Syae.g_02394	Prba.g_01771
OG0000557	Syae.g_02398	Prba.g_01770
OG0000558	Syae.g_02400	Prba.g_01768
OG0000559	Syae.g_02404	Prba.g_01764
OG0000560	Syae.g_02407	Prba.g_01761
OG0000561	Syae.g_02408	Prba.g_01760
OG0000562	Syae.g_02409	Prba.g_01759
OG0000563	Syae.g_02410	Prba.g_01758
OG0000564	Syae.g_02411	Prba.g_01757
OG0000565	Syae.g_02414	Prba.g_01754
OG0000566	Syae.g_02418	Prba.g_01752
OG0000567	Syae.g_02422	Prba.g_01748
OG0000568	Syae.g_02427	Prba.g_01747
OG0000569	Syae.g_02428	Prba.g_01746
OG0000570	Syae.g_02429	Prba.g_01745
OG0000571	Syae.g_02433	Prba.g_01743
OG0000572	Syae.g_02448	Prba.g_01730
OG0000573	Syae.g_02456	Prba.g_01725
OG0000574	Syae.g_02457	Prba.g_01724
OG0000575	Syae.g_02461	Prba.g_01720
OG0000576	Syae.g_02463	Prba.g_01718
OG0000577	Syae.g_02464	Prba.g_01717
OG0000578	Syae.g_02465	Prba.g_01716
OG0000579	Syae.g_02466	Prba.g_01715
