Orthogroup	Syaq	Syar
OG0000038	Syaq.g_01258	Syar.g_00336
OG0000039	Syaq.g_01601	Syar.g_02827
OG0000039	Syaq.g_01241	Syar.g_02151
OG0000041	Syaq.g_01612	Syar.g_02993
OG0000042	Syaq.g_00200, Syaq.g_01044	Syar.g_00595, Syar.g_01970
OG0000044	Syaq.g_00107	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Syaq.g_02047	Syar.g_02592
OG0000046	Syaq.g_00570, Syaq.g_00573	Syar.g_01102, Syar.g_01105
OG0000048	Syaq.g_00749	Syar.g_00213
OG0000052	Syaq.g_00969	Syar.g_02742, Syar.g_02751, Syar.g_00281
OG0000053	Syaq.g_00397	Syar.g_01413
OG0000054	Syaq.g_02005	Syar.g_02265
OG0000057	Syaq.g_02541	Syar.g_01941
OG0000058	Syaq.g_00944	Syar.g_00648
OG0000059	Syaq.g_00657	Syar.g_01024
OG0000060	Syaq.g_00456, Syaq.g_01770	Syar.g_01260
OG0000061	Syaq.g_00249	Syar.g_01539
OG0000062	Syaq.g_01690	Syar.g_02911
OG0000063	Syaq.g_01110	Syar.g_00509
OG0000064	Syaq.g_02138	Syar.g_03117
OG0000065	Syaq.g_01487	Syar.g_03119
OG0000066	Syaq.g_01851	Syar.g_02228
OG0000068	Syaq.g_01763	Syar.g_02329, Syar.g_01461
OG0000070	Syaq.g_00484	Syar.g_02223
OG0000072	Syaq.g_01397	Syar.g_00107
OG0000073	Syaq.g_01795	Syar.g_01493
OG0000075	Syaq.g_00986	Syar.g_03065, Syar.g_00659
OG0000076	Syaq.g_01028	Syar.g_00608
OG0000077	Syaq.g_01547	Syar.g_03051
OG0000078	Syaq.g_01585	Syar.g_03265, Syar.g_03018
OG0000079	Syaq.g_00721	Syar.g_00166
OG0000081	Syaq.g_01893	Syar.g_01898
OG0000082	Syaq.g_01975	Syar.g_02202
OG0000085	Syaq.g_01683	Syar.g_02919
OG0000086	Syaq.g_01525	Syar.g_03085
OG0000087	Syaq.g_01438	Syar.g_03192, Syar.g_00068
OG0000088	Syaq.g_01402	Syar.g_00101
OG0000089	Syaq.g_00529	Syar.g_01162
OG0000090	Syaq.g_01838	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Syaq.g_02090	Syar.g_01891, Syar.g_02426
OG0000093	Syaq.g_02323	Syar.g_02623
OG0000094	Syaq.g_00056, Syaq.g_02554	Syar.g_01789
OG0000095	Syaq.g_02679	Syar.g_01932
OG0000097	Syaq.g_00167	Syar.g_01706
OG0000098	Syaq.g_02221, Syaq.g_01849	Syar.g_02343
OG0000099	Syaq.g_00882	Syar.g_00715
OG0000100	Syaq.g_02371	Syar.g_02477
OG0000101	Syaq.g_00607	Syar.g_03154
OG0000102	Syaq.g_01033	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Syaq.g_01170	Syar.g_00014, Syar.g_00452
OG0000104	Syaq.g_01154	Syar.g_00466
OG0000105	Syaq.g_00754	Syar.g_00218
OG0000106	Syaq.g_01863	Syar.g_01748
OG0000107	Syaq.g_00694	Syar.g_00149
OG0000108	Syaq.g_01772	Syar.g_01469
OG0000109	Syaq.g_01788	Syar.g_03310, Syar.g_01485
OG0000110	Syaq.g_01962	Syar.g_02295
OG0000111	Syaq.g_02606	Syar.g_01940, Syar.g_00005
OG0000112	Syaq.g_02476	Syar.g_02548
OG0000114	Syaq.g_02269	Syar.g_01616
OG0000115	Syaq.g_00395	Syar.g_02854, Syar.g_01415
OG0000116	Syaq.g_00263	Syar.g_01525, Syar.g_02255
OG0000117	Syaq.g_00203	Syar.g_01969
OG0000118	Syaq.g_00325, Syaq.g_00316	Syar.g_02793
OG0000120	Syaq.g_00883	Syar.g_00713
OG0000121	Syaq.g_00375	Syar.g_02806
OG0000123	Syaq.g_00599	Syar.g_01079
OG0000124	Syaq.g_01055	Syar.g_00586
OG0000125	Syaq.g_01256	Syar.g_00338
OG0000126	Syaq.g_01156	Syar.g_00887, Syar.g_00888
OG0000128	Syaq.g_01138	Syar.g_00482
OG0000129	Syaq.g_01269	Syar.g_00324
OG0000130	Syaq.g_01559	Syar.g_03040
OG0000131	Syaq.g_01427, Syaq.g_01424	Syar.g_00078
OG0000132	Syaq.g_01404	Syar.g_00099
OG0000133	Syaq.g_02481	Syar.g_02543
OG0000134	Syaq.g_00526	Syar.g_02009, Syar.g_01165
OG0000135	Syaq.g_01227	Syar.g_00698
OG0000136	Syaq.g_00496	Syar.g_02874
OG0000137	Syaq.g_00442	Syar.g_01273
OG0000138	Syaq.g_01789	Syar.g_01486
OG0000139	Syaq.g_01844	Syar.g_03245, Syar.g_02348
OG0000140	Syaq.g_01848	Syar.g_02344, Syar.g_03246
OG0000141	Syaq.g_02010	Syar.g_02129
OG0000142	Syaq.g_02082	Syar.g_02418
OG0000143	Syaq.g_02086	Syar.g_02422
OG0000144	Syaq.g_02152	Syar.g_02441
OG0000145	Syaq.g_01796	Syar.g_01494
OG0000146	Syaq.g_02475	Syar.g_02549
OG0000147	Syaq.g_02474	Syar.g_02550
OG0000148	Syaq.g_02359	Syar.g_02658
OG0000149	Syaq.g_02395	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Syaq.g_02011	Syar.g_02130
OG0000151	Syaq.g_02283	Syar.g_02038
OG0000152	Syaq.g_02485	Syar.g_02539
OG0000153	Syaq.g_02518	Syar.g_03283, Syar.g_02503
OG0000154	Syaq.g_00066	Syar.g_01800
OG0000155	Syaq.g_00212	Syar.g_01959
OG0000156	Syaq.g_00281	Syar.g_01517
OG0000157	Syaq.g_00282	Syar.g_01516
OG0000158	Syaq.g_01003	Syar.g_00650
OG0000160	Syaq.g_00374	Syar.g_02807
OG0000161	Syaq.g_00382	Syar.g_02801
OG0000162	Syaq.g_00389	Syar.g_02863
OG0000163	Syaq.g_02373	Syar.g_00639
OG0000163	Syaq.g_01730	Syar.g_01186
OG0000164	Syaq.g_01642	Syar.g_03168, Syar.g_02969
OG0000165	Syaq.g_01630	Syar.g_02976
OG0000166	Syaq.g_00647	Syar.g_01034
OG0000167	Syaq.g_00983	Syar.g_00662
OG0000168	Syaq.g_01004	Syar.g_00246
OG0000169	Syaq.g_01016	Syar.g_00262
OG0000170	Syaq.g_01023	Syar.g_00613
OG0000171	Syaq.g_01052	Syar.g_00587
OG0000172	Syaq.g_01074	Syar.g_00547
OG0000173	Syaq.g_01092	Syar.g_00528
OG0000174	Syaq.g_01224	Syar.g_00701
OG0000175	Syaq.g_01183	Syar.g_00438
OG0000176	Syaq.g_01146	Syar.g_00474
OG0000177	Syaq.g_01145	Syar.g_00475
OG0000178	Syaq.g_01144	Syar.g_00476
OG0000179	Syaq.g_01129	Syar.g_00489
OG0000180	Syaq.g_01128	Syar.g_00490
OG0000181	Syaq.g_01127	Syar.g_00491
OG0000182	Syaq.g_01126	Syar.g_00492
OG0000183	Syaq.g_01122	Syar.g_00496
OG0000184	Syaq.g_01277	Syar.g_00897
OG0000185	Syaq.g_01290	Syar.g_00909
OG0000186	Syaq.g_01563	Syar.g_03036
OG0000187	Syaq.g_01561	Syar.g_03038
OG0000188	Syaq.g_01539	Syar.g_03058
OG0000189	Syaq.g_00122	Syar.g_03104
OG0000190	Syaq.g_01497	Syar.g_03107, Syar.g_02374
OG0000191	Syaq.g_01467	Syar.g_00039
OG0000192	Syaq.g_01462	Syar.g_00046
OG0000193	Syaq.g_01423	Syar.g_00079
OG0000194	Syaq.g_01420	Syar.g_03236, Syar.g_00082
OG0000195	Syaq.g_01418	Syar.g_00023, Syar.g_00084
OG0000196	Syaq.g_01407	Syar.g_00096
OG0000197	Syaq.g_01406	Syar.g_00097
OG0000198	Syaq.g_01405	Syar.g_00098
OG0000199	Syaq.g_01398	Syar.g_00106
OG0000200	Syaq.g_01382	Syar.g_00124
OG0000201	Syaq.g_01365	Syar.g_01000
OG0000202	Syaq.g_01364	Syar.g_00998, Syar.g_00021
OG0000203	Syaq.g_01363	Syar.g_00020, Syar.g_00997
OG0000204	Syaq.g_01362	Syar.g_00996
OG0000205	Syaq.g_01355	Syar.g_00988
OG0000206	Syaq.g_01345	Syar.g_00963
OG0000207	Syaq.g_01338	Syar.g_00957
OG0000208	Syaq.g_01337	Syar.g_00956
OG0000209	Syaq.g_01310	Syar.g_03261
OG0000210	Syaq.g_01309	Syar.g_00935, Syar.g_03260
OG0000211	Syaq.g_01570	Syar.g_03026
OG0000212	Syaq.g_01586	Syar.g_03017
OG0000213	Syaq.g_00729	Syar.g_00187
OG0000214	Syaq.g_00745	Syar.g_00209
OG0000215	Syaq.g_00777	Syar.g_00239
OG0000216	Syaq.g_00781	Syar.g_00244
OG0000217	Syaq.g_00844	Syar.g_00854
OG0000218	Syaq.g_00846	Syar.g_00852
OG0000219	Syaq.g_00847	Syar.g_00851
OG0000220	Syaq.g_00848	Syar.g_00850, Syar.g_02026
OG0000221	Syaq.g_00856	Syar.g_00834
OG0000222	Syaq.g_00868	Syar.g_02119, Syar.g_00728
OG0000223	Syaq.g_00946	Syar.g_00649
OG0000224	Syaq.g_00950	Syar.g_00273
OG0000225	Syaq.g_00543	Syar.g_01142
OG0000226	Syaq.g_00536	Syar.g_01146
OG0000227	Syaq.g_00534	Syar.g_01148
OG0000228	Syaq.g_00531	Syar.g_01161
OG0000229	Syaq.g_00501	Syar.g_01177, Syar.g_03273
OG0000230	Syaq.g_00499	Syar.g_01179
OG0000231	Syaq.g_00485	Syar.g_02865, Syar.g_03151
OG0000232	Syaq.g_00472	Syar.g_01424
OG0000233	Syaq.g_00464	Syar.g_03183, Syar.g_01247
OG0000234	Syaq.g_00440	Syar.g_01275
OG0000235	Syaq.g_01771	Syar.g_01468
OG0000236	Syaq.g_01787	Syar.g_03311, Syar.g_01484
OG0000237	Syaq.g_01805	Syar.g_01503
OG0000238	Syaq.g_01810	Syar.g_01508
OG0000239	Syaq.g_01826	Syar.g_03277, Syar.g_02687
OG0000240	Syaq.g_01827	Syar.g_03278, Syar.g_02686
OG0000241	Syaq.g_02074	Syar.g_02410
OG0000242	Syaq.g_01836	Syar.g_01926
OG0000243	Syaq.g_01922	Syar.g_02335
OG0000244	Syaq.g_01928	Syar.g_02327
OG0000245	Syaq.g_01930	Syar.g_02325, Syar.g_03238
OG0000246	Syaq.g_01934	Syar.g_02321
OG0000247	Syaq.g_01945	Syar.g_02310
OG0000248	Syaq.g_01948	Syar.g_02307, Syar.g_03293
OG0000249	Syaq.g_01950	Syar.g_02305
OG0000250	Syaq.g_01958	Syar.g_02299, Syar.g_03194
OG0000251	Syaq.g_01984	Syar.g_03207, Syar.g_02194
OG0000252	Syaq.g_01987	Syar.g_02189, Syar.g_03263
OG0000253	Syaq.g_01989	Syar.g_02028, Syar.g_03229
OG0000254	Syaq.g_02016	Syar.g_02169
OG0000255	Syaq.g_02041	Syar.g_00011, Syar.g_02224
OG0000256	Syaq.g_02068	Syar.g_02244
OG0000257	Syaq.g_02073	Syar.g_02407, Syar.g_01762
OG0000258	Syaq.g_02095	Syar.g_02427, Syar.g_00010
OG0000259	Syaq.g_02239	Syar.g_02472
OG0000260	Syaq.g_02242	Syar.g_03220
OG0000261	Syaq.g_02245	Syar.g_01916
OG0000262	Syaq.g_02250	Syar.g_01690
OG0000263	Syaq.g_00185	Syar.g_01991
OG0000264	Syaq.g_02582	Syar.g_02135
OG0000266	Syaq.g_00037	Syar.g_01570
OG0000267	Syaq.g_02430	Syar.g_01873
OG0000268	Syaq.g_02431	Syar.g_02589
OG0000269	Syaq.g_02335	Syar.g_02634
OG0000270	Syaq.g_02338	Syar.g_00744, Syar.g_02637
OG0000271	Syaq.g_02346	Syar.g_02645
OG0000272	Syaq.g_02347	Syar.g_02646
OG0000273	Syaq.g_02376	Syar.g_02481, Syar.g_00008
OG0000274	Syaq.g_02377	Syar.g_02482
OG0000275	Syaq.g_02380	Syar.g_01810
OG0000276	Syaq.g_02387	Syar.g_01817
OG0000277	Syaq.g_02388	Syar.g_01818, Syar.g_03242
OG0000278	Syaq.g_02391	Syar.g_01821
OG0000279	Syaq.g_02401	Syar.g_01838
OG0000280	Syaq.g_02410	Syar.g_02067, Syar.g_00734
OG0000281	Syaq.g_02224	Syar.g_02218
OG0000282	Syaq.g_02271	Syar.g_01614, Syar.g_03255
OG0000283	Syaq.g_02445	Syar.g_02574
OG0000284	Syaq.g_02450	Syar.g_03258, Syar.g_02568
OG0000285	Syaq.g_02466	Syar.g_02560
OG0000286	Syaq.g_02484	Syar.g_02540
OG0000287	Syaq.g_02511	Syar.g_02512
OG0000288	Syaq.g_00067	Syar.g_01801
OG0000289	Syaq.g_00053	Syar.g_03305, Syar.g_01786
OG0000290	Syaq.g_02682	Syar.g_01928
OG0000291	Syaq.g_02680	Syar.g_01930
OG0000292	Syaq.g_01157	Syar.g_00463
OG0000293	Syaq.g_00262	Syar.g_03297, Syar.g_01526
OG0000294	Syaq.g_00261	Syar.g_01527, Syar.g_03296
OG0000295	Syaq.g_00220	Syar.g_01951, Syar.g_03208
OG0000296	Syaq.g_00218	Syar.g_01953
OG0000297	Syaq.g_00205	Syar.g_01967
OG0000298	Syaq.g_00204	Syar.g_01968
OG0000299	Syaq.g_00171	Syar.g_01704
OG0000300	Syaq.g_00164	Syar.g_01711
OG0000301	Syaq.g_00163	Syar.g_01712
OG0000302	Syaq.g_00162	Syar.g_01713
OG0000303	Syaq.g_00152	Syar.g_01723
OG0000304	Syaq.g_00146	Syar.g_01728
OG0000305	Syaq.g_02677	Syar.g_01933, Syar.g_03163
OG0000306	Syaq.g_01861	Syar.g_01884
OG0000307	Syaq.g_01754	Syar.g_01452, Syar.g_03153
OG0000308	Syaq.g_01752	Syar.g_01450
OG0000309	Syaq.g_01747	Syar.g_01239
OG0000310	Syaq.g_00347	Syar.g_02826
OG0000311	Syaq.g_00352	Syar.g_02823
OG0000312	Syaq.g_00359	Syar.g_00015, Syar.g_02818
OG0000313	Syaq.g_00379	Syar.g_02804
OG0000314	Syaq.g_00408	Syar.g_01403
OG0000315	Syaq.g_00418	Syar.g_01393
OG0000316	Syaq.g_01716	Syar.g_02885
OG0000317	Syaq.g_01675	Syar.g_02926
OG0000318	Syaq.g_01672	Syar.g_02930
OG0000319	Syaq.g_01657	Syar.g_02954
OG0000320	Syaq.g_01655	Syar.g_02956
OG0000321	Syaq.g_01654	Syar.g_02957
OG0000322	Syaq.g_01653	Syar.g_02958
OG0000323	Syaq.g_01638	Syar.g_02973
OG0000324	Syaq.g_01605	Syar.g_00350, Syar.g_03001
OG0000325	Syaq.g_00693	Syar.g_03291, Syar.g_00148
OG0000326	Syaq.g_00686	Syar.g_00139, Syar.g_03134
OG0000327	Syaq.g_00652	Syar.g_01029
OG0000328	Syaq.g_00651	Syar.g_01030
OG0000329	Syaq.g_00633	Syar.g_03189, Syar.g_01048
OG0000330	Syaq.g_00632	Syar.g_01049
OG0000331	Syaq.g_00631	Syar.g_03191
OG0000332	Syaq.g_00616	Syar.g_01064, Syar.g_03299
OG0000333	Syaq.g_00613	Syar.g_01067
OG0000334	Syaq.g_00603	Syar.g_01076
OG0000335	Syaq.g_00598	Syar.g_01080
OG0000336	Syaq.g_00594	Syar.g_01084
OG0000337	Syaq.g_00975	Syar.g_00285
OG0000338	Syaq.g_00981	Syar.g_03225, Syar.g_00287
OG0000339	Syaq.g_00988	Syar.g_00658
OG0000340	Syaq.g_01005	Syar.g_00247
OG0000341	Syaq.g_01007	Syar.g_00249
OG0000342	Syaq.g_01008	Syar.g_00250
OG0000343	Syaq.g_01010	Syar.g_00256
OG0000344	Syaq.g_01014	Syar.g_00260
OG0000345	Syaq.g_01024	Syar.g_00612
OG0000346	Syaq.g_01029	Syar.g_00607
OG0000347	Syaq.g_01057	Syar.g_00558
OG0000348	Syaq.g_01070	Syar.g_00544
OG0000349	Syaq.g_01099	Syar.g_00521
OG0000350	Syaq.g_00679	Syar.g_00132
OG0000351	Syaq.g_01179	Syar.g_00442
OG0000352	Syaq.g_01178	Syar.g_00443
OG0000353	Syaq.g_01151	Syar.g_00469
OG0000354	Syaq.g_01816	Syar.g_01514
OG0000354	Syaq.g_01131	Syar.g_00487
OG0000355	Syaq.g_01149	Syar.g_00471
OG0000356	Syaq.g_01148	Syar.g_00472
OG0000357	Syaq.g_01147	Syar.g_00473
OG0000358	Syaq.g_01143	Syar.g_00477
OG0000359	Syaq.g_01141	Syar.g_00479
OG0000360	Syaq.g_01140	Syar.g_00480
OG0000361	Syaq.g_01139	Syar.g_00481
OG0000362	Syaq.g_01137	Syar.g_00483
OG0000363	Syaq.g_01135	Syar.g_00484
OG0000364	Syaq.g_01134	Syar.g_02928
OG0000365	Syaq.g_01125	Syar.g_00493
OG0000366	Syaq.g_01124	Syar.g_00494
OG0000367	Syaq.g_01123	Syar.g_03262, Syar.g_00495
OG0000368	Syaq.g_01121	Syar.g_00497
OG0000369	Syaq.g_01120	Syar.g_00498
OG0000370	Syaq.g_01119	Syar.g_00499
OG0000371	Syaq.g_01111	Syar.g_00508
OG0000372	Syaq.g_01106	Syar.g_00514
OG0000373	Syaq.g_01105	Syar.g_00515
OG0000374	Syaq.g_01104	Syar.g_00516
OG0000375	Syaq.g_01103	Syar.g_00517
OG0000376	Syaq.g_01101	Syar.g_00519
OG0000377	Syaq.g_01270	Syar.g_00322
OG0000378	Syaq.g_01286	Syar.g_00905
OG0000379	Syaq.g_01291	Syar.g_00910
OG0000380	Syaq.g_01560	Syar.g_03039
OG0000381	Syaq.g_01558	Syar.g_03041
OG0000382	Syaq.g_01540	Syar.g_03057
OG0000383	Syaq.g_01535	Syar.g_03074
OG0000384	Syaq.g_01534	Syar.g_03075
OG0000385	Syaq.g_01533	Syar.g_03076
OG0000386	Syaq.g_01532	Syar.g_03077
OG0000387	Syaq.g_01495	Syar.g_03109
OG0000388	Syaq.g_01491	Syar.g_03148, Syar.g_03113
OG0000389	Syaq.g_01488	Syar.g_03118
OG0000390	Syaq.g_01473	Syar.g_00033
OG0000391	Syaq.g_01468	Syar.g_00038
OG0000392	Syaq.g_01463	Syar.g_00045
OG0000393	Syaq.g_01460	Syar.g_00048
OG0000394	Syaq.g_01459	Syar.g_00049
OG0000395	Syaq.g_01458	Syar.g_00050
OG0000396	Syaq.g_01455	Syar.g_00053
OG0000397	Syaq.g_01453	Syar.g_00055
OG0000398	Syaq.g_01448	Syar.g_00060
OG0000399	Syaq.g_01447	Syar.g_00061
OG0000400	Syaq.g_01446	Syar.g_00062
OG0000401	Syaq.g_01445	Syar.g_00063
OG0000402	Syaq.g_01443	Syar.g_00065
OG0000403	Syaq.g_01442	Syar.g_00066
OG0000404	Syaq.g_01440	Syar.g_00067
OG0000405	Syaq.g_01429	Syar.g_00076
OG0000406	Syaq.g_01422	Syar.g_00080
OG0000407	Syaq.g_01421	Syar.g_00081
OG0000408	Syaq.g_01419	Syar.g_00083
OG0000409	Syaq.g_01417	Syar.g_00085
OG0000410	Syaq.g_01416	Syar.g_00086
OG0000411	Syaq.g_01415	Syar.g_00087
OG0000412	Syaq.g_01414	Syar.g_00088
OG0000413	Syaq.g_01412	Syar.g_00090
OG0000414	Syaq.g_01411	Syar.g_00091, Syar.g_03179
OG0000415	Syaq.g_01410	Syar.g_00092
OG0000416	Syaq.g_01409	Syar.g_00093
OG0000417	Syaq.g_01408	Syar.g_00095
OG0000418	Syaq.g_01403	Syar.g_00100
OG0000419	Syaq.g_01401	Syar.g_00102
OG0000420	Syaq.g_01400	Syar.g_00104
OG0000421	Syaq.g_01395	Syar.g_00109
OG0000422	Syaq.g_01394	Syar.g_00110
OG0000423	Syaq.g_01393	Syar.g_00111
OG0000424	Syaq.g_01392	Syar.g_00112
OG0000425	Syaq.g_01391	Syar.g_00113
OG0000426	Syaq.g_01390	Syar.g_00114
OG0000427	Syaq.g_01389	Syar.g_00115
OG0000428	Syaq.g_01386	Syar.g_00118
OG0000429	Syaq.g_01384	Syar.g_00121
OG0000430	Syaq.g_01383	Syar.g_00123
OG0000431	Syaq.g_01380	Syar.g_00127
OG0000432	Syaq.g_01374	Syar.g_01009
OG0000433	Syaq.g_01369	Syar.g_01007
OG0000434	Syaq.g_01368	Syar.g_01006
OG0000435	Syaq.g_01367	Syar.g_01003
OG0000436	Syaq.g_01361	Syar.g_00994
OG0000437	Syaq.g_01360	Syar.g_00993
OG0000438	Syaq.g_01359	Syar.g_00992
OG0000439	Syaq.g_01357	Syar.g_00990
OG0000440	Syaq.g_01356	Syar.g_00989
OG0000441	Syaq.g_01352	Syar.g_00986
OG0000442	Syaq.g_01350	Syar.g_00977
OG0000443	Syaq.g_01347	Syar.g_00964
OG0000444	Syaq.g_01333	Syar.g_00954
OG0000445	Syaq.g_01332	Syar.g_00953
OG0000446	Syaq.g_01330	Syar.g_00951
OG0000447	Syaq.g_01328	Syar.g_00948
OG0000448	Syaq.g_01327	Syar.g_00947
OG0000449	Syaq.g_01320	Syar.g_00946
OG0000450	Syaq.g_01313	Syar.g_00939
OG0000451	Syaq.g_01312	Syar.g_00938
OG0000452	Syaq.g_01308	Syar.g_00934
OG0000453	Syaq.g_01307	Syar.g_00933
OG0000454	Syaq.g_01306	Syar.g_00932
OG0000455	Syaq.g_01305	Syar.g_00931
OG0000456	Syaq.g_01304	Syar.g_00930
OG0000457	Syaq.g_01302	Syar.g_00928
OG0000458	Syaq.g_01299	Syar.g_00918
OG0000459	Syaq.g_01298	Syar.g_00917
OG0000460	Syaq.g_01577	Syar.g_03024
OG0000461	Syaq.g_00707	Syar.g_00153
OG0000462	Syaq.g_00710	Syar.g_00155
OG0000463	Syaq.g_00711	Syar.g_00156
OG0000464	Syaq.g_00712	Syar.g_00157
OG0000465	Syaq.g_00714	Syar.g_00159
OG0000466	Syaq.g_00718	Syar.g_00164
OG0000467	Syaq.g_00720	Syar.g_00165
OG0000468	Syaq.g_00725	Syar.g_00170
OG0000469	Syaq.g_00739	Syar.g_00203
OG0000470	Syaq.g_00741	Syar.g_00206
OG0000471	Syaq.g_00742	Syar.g_00207
OG0000472	Syaq.g_00744	Syar.g_00208
OG0000473	Syaq.g_00746	Syar.g_00210
OG0000474	Syaq.g_00747	Syar.g_00211
OG0000475	Syaq.g_00748	Syar.g_00212
OG0000476	Syaq.g_00750	Syar.g_00214
OG0000477	Syaq.g_00756	Syar.g_00219
OG0000478	Syaq.g_00757	Syar.g_00220
OG0000479	Syaq.g_00759	Syar.g_00221
OG0000480	Syaq.g_00766	Syar.g_00228
OG0000481	Syaq.g_00768	Syar.g_00230
OG0000482	Syaq.g_00769	Syar.g_00231
OG0000483	Syaq.g_00773	Syar.g_00235
OG0000484	Syaq.g_00774	Syar.g_00236
OG0000485	Syaq.g_00775	Syar.g_00237
OG0000486	Syaq.g_00776	Syar.g_00024, Syar.g_00238
OG0000487	Syaq.g_00782	Syar.g_00245
OG0000488	Syaq.g_00845	Syar.g_00853
OG0000489	Syaq.g_00857	Syar.g_00833
OG0000490	Syaq.g_00864	Syar.g_00823
OG0000491	Syaq.g_00865	Syar.g_00822
OG0000492	Syaq.g_00869	Syar.g_00727
OG0000493	Syaq.g_00870	Syar.g_00726
OG0000494	Syaq.g_00871	Syar.g_00725
OG0000495	Syaq.g_00872	Syar.g_00724
OG0000496	Syaq.g_00873	Syar.g_00723
OG0000497	Syaq.g_00874	Syar.g_00722
OG0000498	Syaq.g_00875	Syar.g_00721
OG0000499	Syaq.g_00876	Syar.g_00720
OG0000500	Syaq.g_00877	Syar.g_00719
OG0000501	Syaq.g_00880	Syar.g_00716
OG0000502	Syaq.g_00953	Syar.g_00275
OG0000503	Syaq.g_00559	Syar.g_01118
OG0000504	Syaq.g_00557	Syar.g_01120
OG0000505	Syaq.g_00556	Syar.g_01121
OG0000506	Syaq.g_00554	Syar.g_01123
OG0000507	Syaq.g_00548	Syar.g_01129
OG0000508	Syaq.g_00544	Syar.g_01141
OG0000509	Syaq.g_00542	Syar.g_01143
OG0000510	Syaq.g_00538	Syar.g_01144
OG0000511	Syaq.g_00537	Syar.g_01145
OG0000512	Syaq.g_00535	Syar.g_01147
OG0000513	Syaq.g_00525	Syar.g_01166
OG0000514	Syaq.g_00514	Syar.g_01169
OG0000515	Syaq.g_00513	Syar.g_01170
OG0000516	Syaq.g_00509	Syar.g_01172
OG0000517	Syaq.g_00502	Syar.g_01176
OG0000518	Syaq.g_00490	Syar.g_02868
OG0000519	Syaq.g_00489	Syar.g_02867
OG0000520	Syaq.g_00488	Syar.g_02866
OG0000521	Syaq.g_00477	Syar.g_01419
OG0000522	Syaq.g_00475	Syar.g_01421
OG0000523	Syaq.g_00474	Syar.g_01422
OG0000524	Syaq.g_00469	Syar.g_01244
OG0000525	Syaq.g_00450	Syar.g_01263
OG0000526	Syaq.g_00448	Syar.g_01266
OG0000527	Syaq.g_00444	Syar.g_01271
OG0000528	Syaq.g_01768	Syar.g_01466
OG0000529	Syaq.g_01773	Syar.g_01470
OG0000530	Syaq.g_01776	Syar.g_01473
OG0000531	Syaq.g_01777	Syar.g_01474
OG0000532	Syaq.g_01780	Syar.g_01477
OG0000533	Syaq.g_01782	Syar.g_01479
OG0000534	Syaq.g_01783	Syar.g_01480
OG0000535	Syaq.g_01784	Syar.g_01481
OG0000536	Syaq.g_01785	Syar.g_01482
OG0000537	Syaq.g_01786	Syar.g_01483
OG0000538	Syaq.g_01798	Syar.g_01496
OG0000539	Syaq.g_01799	Syar.g_01497
OG0000540	Syaq.g_01800	Syar.g_01498
OG0000541	Syaq.g_01801	Syar.g_01499
