Orthogroup	Syaq	Prbi
OG0000191	Syaq.g_01467	Prbi.g_00125
OG0000192	Syaq.g_01462	Prbi.g_00129
OG0000193	Syaq.g_01423	Prbi.g_00170
OG0000194	Syaq.g_01420	Prbi.g_00173
OG0000195	Syaq.g_01418	Prbi.g_00175
OG0000196	Syaq.g_01407	Prbi.g_00185
OG0000197	Syaq.g_01406	Prbi.g_00186
OG0000198	Syaq.g_01405	Prbi.g_00187
OG0000199	Syaq.g_01398	Prbi.g_00194
OG0000200	Syaq.g_01382	Prbi.g_00208
OG0000201	Syaq.g_01365	Prbi.g_00216
OG0000202	Syaq.g_01364	Prbi.g_00217
OG0000203	Syaq.g_01363	Prbi.g_00218
OG0000204	Syaq.g_01362	Prbi.g_00219
OG0000205	Syaq.g_01355	Prbi.g_00226
OG0000206	Syaq.g_01345	Prbi.g_00231
OG0000207	Syaq.g_01338	Prbi.g_00233
OG0000208	Syaq.g_01337	Prbi.g_00234
OG0000209	Syaq.g_01310	Prbi.g_00243
OG0000210	Syaq.g_01309	Prbi.g_00244
OG0000211	Syaq.g_01570	Prbi.g_00257
OG0000212	Syaq.g_01586	Prbi.g_00264
OG0000213	Syaq.g_00729	Prbi.g_00281
OG0000214	Syaq.g_00745	Prbi.g_00291
OG0000215	Syaq.g_00777	Prbi.g_00316
OG0000216	Syaq.g_00781	Prbi.g_00318
OG0000217	Syaq.g_00844	Prbi.g_00321
OG0000218	Syaq.g_00846	Prbi.g_00323
OG0000219	Syaq.g_00847	Prbi.g_00324
OG0000220	Syaq.g_00848	Prbi.g_00325
OG0000221	Syaq.g_00856	Prbi.g_00326
OG0000222	Syaq.g_00868	Prbi.g_00334
OG0000223	Syaq.g_00946	Prbi.g_00347
OG0000224	Syaq.g_00950	Prbi.g_00349
OG0000225	Syaq.g_00543	Prbi.g_00370
OG0000226	Syaq.g_00536	Prbi.g_00374
OG0000227	Syaq.g_00534	Prbi.g_00376
OG0000228	Syaq.g_00531	Prbi.g_00379
OG0000229	Syaq.g_00501	Prbi.g_00437
OG0000230	Syaq.g_00499	Prbi.g_00439
OG0000231	Syaq.g_00485	Prbi.g_00450
OG0000232	Syaq.g_00472	Prbi.g_00459
OG0000233	Syaq.g_00464	Prbi.g_00465
OG0000234	Syaq.g_00440	Prbi.g_00479
OG0000235	Syaq.g_01771	Prbi.g_00482
OG0000236	Syaq.g_01787	Prbi.g_00496
OG0000237	Syaq.g_01805	Prbi.g_00509
OG0000238	Syaq.g_01810	Prbi.g_00515
OG0000239	Syaq.g_01826	Prbi.g_00528
OG0000240	Syaq.g_01827	Prbi.g_00529
OG0000241	Syaq.g_02074	Prbi.g_00533
OG0000242	Syaq.g_01836	Prbi.g_00535
OG0000243	Syaq.g_01922	Prbi.g_00546
OG0000244	Syaq.g_01928	Prbi.g_00549
OG0000245	Syaq.g_01930	Prbi.g_00551
OG0000246	Syaq.g_01934	Prbi.g_00555
OG0000247	Syaq.g_01945	Prbi.g_00565
OG0000248	Syaq.g_01948	Prbi.g_00567
OG0000249	Syaq.g_01950	Prbi.g_00569
OG0000250	Syaq.g_01958	Prbi.g_00574
OG0000251	Syaq.g_01984	Prbi.g_00593
OG0000252	Syaq.g_01987	Prbi.g_00596
OG0000253	Syaq.g_01989	Prbi.g_00597
OG0000254	Syaq.g_02016	Prbi.g_00613
OG0000255	Syaq.g_02041	Prbi.g_00619
OG0000256	Syaq.g_02068	Prbi.g_00629
OG0000257	Syaq.g_02073	Prbi.g_00632
OG0000258	Syaq.g_02095	Prbi.g_00646
OG0000259	Syaq.g_02239	Prbi.g_00663
OG0000260	Syaq.g_02242	Prbi.g_00666
OG0000261	Syaq.g_02245	Prbi.g_00668
OG0000262	Syaq.g_02250	Prbi.g_00672
OG0000263	Syaq.g_00185	Prbi.g_00684
OG0000264	Syaq.g_02582	Prbi.g_00694
OG0000266	Syaq.g_00037	Prbi.g_00755
OG0000267	Syaq.g_02430	Prbi.g_00766
OG0000268	Syaq.g_02431	Prbi.g_00767
OG0000269	Syaq.g_02335	Prbi.g_00842
OG0000270	Syaq.g_02338	Prbi.g_00845
OG0000271	Syaq.g_02346	Prbi.g_00853
OG0000272	Syaq.g_02347	Prbi.g_00854
OG0000273	Syaq.g_02376	Prbi.g_00877
OG0000274	Syaq.g_02377	Prbi.g_00878
OG0000275	Syaq.g_02380	Prbi.g_00881
OG0000276	Syaq.g_02387	Prbi.g_00886
OG0000277	Syaq.g_02388	Prbi.g_00887
OG0000278	Syaq.g_02391	Prbi.g_00890
OG0000279	Syaq.g_02401	Prbi.g_00897
OG0000280	Syaq.g_02410	Prbi.g_00898
OG0000281	Syaq.g_02224	Prbi.g_00903
OG0000282	Syaq.g_02271	Prbi.g_00953
OG0000283	Syaq.g_02445	Prbi.g_00986
OG0000284	Syaq.g_02450	Prbi.g_00991
OG0000285	Syaq.g_02466	Prbi.g_00996
OG0000286	Syaq.g_02484	Prbi.g_01008
OG0000287	Syaq.g_02511	Prbi.g_01025
OG0000288	Syaq.g_00067	Prbi.g_01059
OG0000289	Syaq.g_00053	Prbi.g_01070
OG0000290	Syaq.g_02682	Prbi.g_01083
OG0000291	Syaq.g_02680	Prbi.g_01085
OG0000292	Syaq.g_01157	Prbi.g_01136
OG0000293	Syaq.g_00262	Prbi.g_01198
OG0000294	Syaq.g_00261	Prbi.g_01199
OG0000295	Syaq.g_00220	Prbi.g_01219
OG0000296	Syaq.g_00218	Prbi.g_01221
OG0000297	Syaq.g_00205	Prbi.g_01229
OG0000298	Syaq.g_00204	Prbi.g_01230
OG0000299	Syaq.g_00171	Prbi.g_01247
OG0000300	Syaq.g_00164	Prbi.g_01250
OG0000301	Syaq.g_00163	Prbi.g_01251
OG0000302	Syaq.g_00162	Prbi.g_01253
OG0000303	Syaq.g_00152	Prbi.g_01260
OG0000304	Syaq.g_00146	Prbi.g_01264
OG0000305	Syaq.g_02677	Prbi.g_01431
OG0000306	Syaq.g_01861	Prbi.g_01434
OG0000307	Syaq.g_01754	Prbi.g_01448
OG0000308	Syaq.g_01752	Prbi.g_01449
OG0000309	Syaq.g_01747	Prbi.g_01453
OG0000310	Syaq.g_00347	Prbi.g_01574
OG0000311	Syaq.g_00352	Prbi.g_01576
OG0000312	Syaq.g_00359	Prbi.g_01579
OG0000313	Syaq.g_00379	Prbi.g_01595
OG0000314	Syaq.g_00408	Prbi.g_01617
OG0000315	Syaq.g_00418	Prbi.g_01627
OG0000316	Syaq.g_01716	Prbi.g_01647
OG0000317	Syaq.g_01675	Prbi.g_01785
OG0000318	Syaq.g_01672	Prbi.g_01788
OG0000319	Syaq.g_01657	Prbi.g_01801
OG0000320	Syaq.g_01655	Prbi.g_01803
OG0000321	Syaq.g_01654	Prbi.g_01804
OG0000322	Syaq.g_01653	Prbi.g_01805
OG0000323	Syaq.g_01638	Prbi.g_01814
OG0000324	Syaq.g_01605	Prbi.g_01840
OG0000325	Syaq.g_00693	Prbi.g_01849
OG0000326	Syaq.g_00686	Prbi.g_01855
OG0000327	Syaq.g_00652	Prbi.g_01897
OG0000328	Syaq.g_00651	Prbi.g_01898
OG0000329	Syaq.g_00633	Prbi.g_01915
OG0000330	Syaq.g_00632	Prbi.g_01916
OG0000331	Syaq.g_00631	Prbi.g_01917
OG0000332	Syaq.g_00616	Prbi.g_01931
OG0000333	Syaq.g_00613	Prbi.g_01933
OG0000334	Syaq.g_00603	Prbi.g_01941
OG0000335	Syaq.g_00598	Prbi.g_01946
OG0000336	Syaq.g_00594	Prbi.g_01950
OG0000337	Syaq.g_00975	Prbi.g_01966
OG0000338	Syaq.g_00981	Prbi.g_01967
OG0000339	Syaq.g_00988	Prbi.g_01971
OG0000340	Syaq.g_01005	Prbi.g_01979
OG0000341	Syaq.g_01007	Prbi.g_01981
OG0000342	Syaq.g_01008	Prbi.g_01982
OG0000343	Syaq.g_01010	Prbi.g_01983
OG0000344	Syaq.g_01014	Prbi.g_01986
OG0000345	Syaq.g_01024	Prbi.g_01991
OG0000346	Syaq.g_01029	Prbi.g_01995
OG0000347	Syaq.g_01057	Prbi.g_02011
OG0000348	Syaq.g_01070	Prbi.g_02033
OG0000349	Syaq.g_01099	Prbi.g_02050
OG0000350	Syaq.g_00679	Prbi.g_02069
OG0000351	Syaq.g_01179	Prbi.g_02086
OG0000352	Syaq.g_01178	Prbi.g_02087
OG0000353	Syaq.g_01151	Prbi.g_02102
OG0000355	Syaq.g_01149	Prbi.g_00001
OG0000356	Syaq.g_01148	Prbi.g_00002
OG0000357	Syaq.g_01147	Prbi.g_00003
OG0000358	Syaq.g_01143	Prbi.g_00007
OG0000359	Syaq.g_01141	Prbi.g_00008
OG0000360	Syaq.g_01140	Prbi.g_00009
OG0000361	Syaq.g_01139	Prbi.g_00010
OG0000362	Syaq.g_01137	Prbi.g_00012
OG0000363	Syaq.g_01135	Prbi.g_00014
OG0000364	Syaq.g_01134	Prbi.g_00015
OG0000365	Syaq.g_01125	Prbi.g_00020
OG0000366	Syaq.g_01124	Prbi.g_00021
OG0000367	Syaq.g_01123	Prbi.g_00022
OG0000368	Syaq.g_01121	Prbi.g_00024
OG0000369	Syaq.g_01120	Prbi.g_00025
OG0000370	Syaq.g_01119	Prbi.g_00026
OG0000371	Syaq.g_01111	Prbi.g_00032
OG0000372	Syaq.g_01106	Prbi.g_00035
OG0000373	Syaq.g_01105	Prbi.g_00036
OG0000374	Syaq.g_01104	Prbi.g_00037
OG0000375	Syaq.g_01103	Prbi.g_00049
OG0000376	Syaq.g_01101	Prbi.g_00051
OG0000377	Syaq.g_01270	Prbi.g_00056
OG0000378	Syaq.g_01286	Prbi.g_00058
OG0000379	Syaq.g_01291	Prbi.g_00061
OG0000380	Syaq.g_01560	Prbi.g_00073
OG0000381	Syaq.g_01558	Prbi.g_00077
OG0000382	Syaq.g_01540	Prbi.g_00088
OG0000383	Syaq.g_01535	Prbi.g_00090
OG0000384	Syaq.g_01534	Prbi.g_00091
OG0000385	Syaq.g_01533	Prbi.g_00092
OG0000386	Syaq.g_01532	Prbi.g_00093
OG0000387	Syaq.g_01495	Prbi.g_00106
OG0000388	Syaq.g_01491	Prbi.g_00109
OG0000389	Syaq.g_01488	Prbi.g_00113
OG0000390	Syaq.g_01473	Prbi.g_00120
OG0000391	Syaq.g_01468	Prbi.g_00124
OG0000392	Syaq.g_01463	Prbi.g_00128
OG0000393	Syaq.g_01460	Prbi.g_00130
OG0000394	Syaq.g_01459	Prbi.g_00131
OG0000395	Syaq.g_01458	Prbi.g_00132
OG0000396	Syaq.g_01455	Prbi.g_00135
OG0000397	Syaq.g_01453	Prbi.g_00137
OG0000398	Syaq.g_01448	Prbi.g_00139
OG0000399	Syaq.g_01447	Prbi.g_00140
OG0000400	Syaq.g_01446	Prbi.g_00141
OG0000401	Syaq.g_01445	Prbi.g_00142
OG0000402	Syaq.g_01443	Prbi.g_00144
OG0000403	Syaq.g_01442	Prbi.g_00145
OG0000404	Syaq.g_01440	Prbi.g_00146
OG0000405	Syaq.g_01429	Prbi.g_00150
OG0000406	Syaq.g_01422	Prbi.g_00171
OG0000407	Syaq.g_01421	Prbi.g_00172
OG0000408	Syaq.g_01419	Prbi.g_00174
OG0000409	Syaq.g_01417	Prbi.g_00176
OG0000410	Syaq.g_01416	Prbi.g_00177
OG0000411	Syaq.g_01415	Prbi.g_00178
OG0000412	Syaq.g_01414	Prbi.g_00179
OG0000413	Syaq.g_01412	Prbi.g_00180
OG0000414	Syaq.g_01411	Prbi.g_00181
OG0000415	Syaq.g_01410	Prbi.g_00182
OG0000416	Syaq.g_01409	Prbi.g_00183
OG0000417	Syaq.g_01408	Prbi.g_00184
OG0000418	Syaq.g_01403	Prbi.g_00189
OG0000419	Syaq.g_01401	Prbi.g_00191
OG0000420	Syaq.g_01400	Prbi.g_00192
OG0000421	Syaq.g_01395	Prbi.g_00197
OG0000422	Syaq.g_01394	Prbi.g_00198
OG0000423	Syaq.g_01393	Prbi.g_00199
OG0000424	Syaq.g_01392	Prbi.g_00200
OG0000425	Syaq.g_01391	Prbi.g_00201
OG0000426	Syaq.g_01390	Prbi.g_00202
OG0000427	Syaq.g_01389	Prbi.g_00203
OG0000428	Syaq.g_01386	Prbi.g_00205
OG0000429	Syaq.g_01384	Prbi.g_00206
OG0000430	Syaq.g_01383	Prbi.g_00207
OG0000431	Syaq.g_01380	Prbi.g_00209
OG0000432	Syaq.g_01374	Prbi.g_00212
OG0000433	Syaq.g_01369	Prbi.g_00213
OG0000434	Syaq.g_01368	Prbi.g_00214
OG0000435	Syaq.g_01367	Prbi.g_00215
OG0000436	Syaq.g_01361	Prbi.g_00220
OG0000437	Syaq.g_01360	Prbi.g_00221
OG0000438	Syaq.g_01359	Prbi.g_00222
OG0000439	Syaq.g_01357	Prbi.g_00224
OG0000440	Syaq.g_01356	Prbi.g_00225
OG0000441	Syaq.g_01352	Prbi.g_00228
OG0000442	Syaq.g_01350	Prbi.g_00229
OG0000443	Syaq.g_01347	Prbi.g_00230
OG0000444	Syaq.g_01333	Prbi.g_00235
OG0000445	Syaq.g_01332	Prbi.g_00236
OG0000446	Syaq.g_01330	Prbi.g_00237
OG0000447	Syaq.g_01328	Prbi.g_00238
OG0000448	Syaq.g_01327	Prbi.g_00239
OG0000449	Syaq.g_01320	Prbi.g_00240
OG0000450	Syaq.g_01313	Prbi.g_00241
OG0000451	Syaq.g_01312	Prbi.g_00242
OG0000452	Syaq.g_01308	Prbi.g_00245
OG0000453	Syaq.g_01307	Prbi.g_00246
OG0000454	Syaq.g_01306	Prbi.g_00247
OG0000455	Syaq.g_01305	Prbi.g_00248
OG0000456	Syaq.g_01304	Prbi.g_00249
OG0000457	Syaq.g_01302	Prbi.g_00250
OG0000458	Syaq.g_01299	Prbi.g_00251
OG0000459	Syaq.g_01298	Prbi.g_00252
OG0000460	Syaq.g_01577	Prbi.g_00259
OG0000461	Syaq.g_00707	Prbi.g_00266
OG0000462	Syaq.g_00710	Prbi.g_00268
OG0000463	Syaq.g_00711	Prbi.g_00269
OG0000464	Syaq.g_00712	Prbi.g_00270
OG0000465	Syaq.g_00714	Prbi.g_00271
OG0000466	Syaq.g_00718	Prbi.g_00274
OG0000467	Syaq.g_00720	Prbi.g_00275
OG0000468	Syaq.g_00725	Prbi.g_00277
OG0000469	Syaq.g_00739	Prbi.g_00286
OG0000470	Syaq.g_00741	Prbi.g_00288
OG0000471	Syaq.g_00742	Prbi.g_00289
OG0000472	Syaq.g_00744	Prbi.g_00290
OG0000473	Syaq.g_00746	Prbi.g_00292
OG0000474	Syaq.g_00747	Prbi.g_00293
OG0000475	Syaq.g_00748	Prbi.g_00294
OG0000476	Syaq.g_00750	Prbi.g_00295
OG0000477	Syaq.g_00756	Prbi.g_00299
OG0000478	Syaq.g_00757	Prbi.g_00300
OG0000479	Syaq.g_00759	Prbi.g_00301
OG0000480	Syaq.g_00766	Prbi.g_00306
OG0000481	Syaq.g_00768	Prbi.g_00308
OG0000482	Syaq.g_00769	Prbi.g_00309
OG0000483	Syaq.g_00773	Prbi.g_00312
OG0000484	Syaq.g_00774	Prbi.g_00313
OG0000485	Syaq.g_00775	Prbi.g_00314
OG0000486	Syaq.g_00776	Prbi.g_00315
OG0000487	Syaq.g_00782	Prbi.g_00319
OG0000488	Syaq.g_00845	Prbi.g_00322
OG0000489	Syaq.g_00857	Prbi.g_00327
OG0000490	Syaq.g_00864	Prbi.g_00332
OG0000491	Syaq.g_00865	Prbi.g_00333
OG0000492	Syaq.g_00869	Prbi.g_00335
OG0000493	Syaq.g_00870	Prbi.g_00336
OG0000494	Syaq.g_00871	Prbi.g_00337
OG0000495	Syaq.g_00872	Prbi.g_00338
OG0000496	Syaq.g_00873	Prbi.g_00339
OG0000497	Syaq.g_00874	Prbi.g_00340
OG0000498	Syaq.g_00875	Prbi.g_00341
OG0000499	Syaq.g_00876	Prbi.g_00342
OG0000500	Syaq.g_00877	Prbi.g_00343
OG0000501	Syaq.g_00880	Prbi.g_00345
OG0000502	Syaq.g_00953	Prbi.g_00348
OG0000503	Syaq.g_00559	Prbi.g_00358
OG0000504	Syaq.g_00557	Prbi.g_00359
OG0000505	Syaq.g_00556	Prbi.g_00360
OG0000506	Syaq.g_00554	Prbi.g_00362
OG0000507	Syaq.g_00548	Prbi.g_00365
OG0000508	Syaq.g_00544	Prbi.g_00369
OG0000509	Syaq.g_00542	Prbi.g_00371
OG0000510	Syaq.g_00538	Prbi.g_00372
OG0000511	Syaq.g_00537	Prbi.g_00373
OG0000512	Syaq.g_00535	Prbi.g_00375
OG0000513	Syaq.g_00525	Prbi.g_00382
OG0000514	Syaq.g_00514	Prbi.g_00432
OG0000515	Syaq.g_00513	Prbi.g_00433
OG0000516	Syaq.g_00509	Prbi.g_00434
OG0000517	Syaq.g_00502	Prbi.g_00436
OG0000518	Syaq.g_00490	Prbi.g_00447
OG0000519	Syaq.g_00489	Prbi.g_00448
OG0000520	Syaq.g_00488	Prbi.g_00449
OG0000521	Syaq.g_00477	Prbi.g_00454
OG0000522	Syaq.g_00475	Prbi.g_00456
OG0000523	Syaq.g_00474	Prbi.g_00457
OG0000524	Syaq.g_00469	Prbi.g_00463
OG0000525	Syaq.g_00450	Prbi.g_00466
OG0000526	Syaq.g_00448	Prbi.g_00467
OG0000527	Syaq.g_00444	Prbi.g_00476
OG0000528	Syaq.g_01768	Prbi.g_00481
OG0000529	Syaq.g_01773	Prbi.g_00484
OG0000530	Syaq.g_01776	Prbi.g_00487
OG0000531	Syaq.g_01777	Prbi.g_00488
OG0000532	Syaq.g_01780	Prbi.g_00490
OG0000533	Syaq.g_01782	Prbi.g_00491
OG0000534	Syaq.g_01783	Prbi.g_00492
OG0000535	Syaq.g_01784	Prbi.g_00493
OG0000536	Syaq.g_01785	Prbi.g_00494
OG0000537	Syaq.g_01786	Prbi.g_00495
OG0000538	Syaq.g_01798	Prbi.g_00503
OG0000539	Syaq.g_01799	Prbi.g_00504
OG0000540	Syaq.g_01800	Prbi.g_00505
OG0000541	Syaq.g_01801	Prbi.g_00506
OG0000542	Syaq.g_01804	Prbi.g_00508
OG0000543	Syaq.g_01806	Prbi.g_00510
OG0000544	Syaq.g_01807, Syaq.g_02567	Prbi.g_00511
OG0000545	Syaq.g_01809	Prbi.g_00513
OG0000546	Syaq.g_01811	Prbi.g_00516
OG0000547	Syaq.g_01813	Prbi.g_00518
