Orthogroup	Prap	Prax
OG0000071	Prap.g_00043	Prax.g_01974
OG0000072	Prap.g_01389	Prax.g_00853, Prax.g_00852, Prax.g_01783
OG0000073	Prap.g_00356	Prax.g_00973
OG0000074	Prap.g_00809	Prax.g_00951
OG0000075	Prap.g_00776	Prax.g_00366
OG0000076	Prap.g_00708	Prax.g_01204
OG0000078	Prap.g_00082	Prax.g_01825
OG0000079	Prap.g_00206	Prax.g_01650
OG0000080	Prap.g_00618	Prax.g_01600
OG0000081	Prap.g_01608	Prax.g_01368
OG0000083	Prap.g_00051	Prax.g_01493
OG0000084	Prap.g_00048	Prax.g_01496
OG0000085	Prap.g_00932	Prax.g_00290
OG0000087	Prap.g_00903	Prax.g_00624
OG0000088	Prap.g_01061	Prax.g_01106
OG0000089	Prap.g_01052	Prax.g_01097
OG0000090	Prap.g_01035	Prax.g_01079
OG0000091	Prap.g_01001	Prax.g_01049
OG0000092	Prap.g_01000	Prax.g_01048
OG0000093	Prap.g_00986	Prax.g_01034
OG0000094	Prap.g_00967	Prax.g_01016
OG0000095	Prap.g_00962	Prax.g_01011
OG0000096	Prap.g_01460	Prax.g_00488, Prax.g_00924
OG0000097	Prap.g_01436	Prax.g_00901
OG0000099	Prap.g_01415	Prax.g_00881
OG0000100	Prap.g_01412	Prax.g_00878
OG0000101	Prap.g_01347	Prax.g_01573, Prax.g_00816
OG0000102	Prap.g_00543	Prax.g_00792
OG0000103	Prap.g_01291	Prax.g_00726
OG0000104	Prap.g_01287	Prax.g_00722
OG0000105	Prap.g_01267	Prax.g_00702
OG0000106	Prap.g_01237	Prax.g_00669
OG0000107	Prap.g_01236	Prax.g_00668
OG0000108	Prap.g_01226	Prax.g_00004
OG0000109	Prap.g_01217	Prax.g_00013
OG0000110	Prap.g_01200	Prax.g_00029
OG0000111	Prap.g_00375	Prax.g_00110
OG0000112	Prap.g_00374	Prax.g_00111
OG0000113	Prap.g_00324	Prax.g_00463
OG0000114	Prap.g_00785	Prax.g_00375
OG0000115	Prap.g_00257	Prax.g_01129
OG0000116	Prap.g_00261	Prax.g_01133
OG0000117	Prap.g_00705	Prax.g_01201
OG0000118	Prap.g_00501	Prax.g_01254, Prax.g_01759
OG0000119	Prap.g_01880	Prax.g_00164
OG0000120	Prap.g_00450	Prax.g_00206
OG0000121	Prap.g_00427	Prax.g_00225
OG0000122	Prap.g_00407	Prax.g_00244
OG0000123	Prap.g_01135	Prax.g_00257
OG0000124	Prap.g_00217	Prax.g_01789
OG0000125	Prap.g_00574	Prax.g_01887
OG0000126	Prap.g_00059	Prax.g_01863
OG0000127	Prap.g_00109	Prax.g_01746
OG0000128	Prap.g_00122	Prax.g_01727
OG0000129	Prap.g_00158	Prax.g_01691
OG0000130	Prap.g_01782	Prax.g_01561
OG0000131	Prap.g_01742	Prax.g_01523
OG0000132	Prap.g_01739	Prax.g_01520
OG0000133	Prap.g_01685	Prax.g_01297
OG0000134	Prap.g_01648, Prap.g_01649	Prax.g_01333
OG0000135	Prap.g_01646	Prax.g_01335
OG0000136	Prap.g_01596	Prax.g_01379
OG0000137	Prap.g_01562	Prax.g_01411
OG0000138	Prap.g_01528	Prax.g_01447
OG0000139	Prap.g_01497	Prax.g_01473
OG0000140	Prap.g_00053	Prax.g_01491
OG0000141	Prap.g_00052	Prax.g_01492
OG0000142	Prap.g_00050	Prax.g_01494
OG0000143	Prap.g_00049	Prax.g_01495
OG0000144	Prap.g_00047	Prax.g_01497
OG0000145	Prap.g_00046	Prax.g_01498
OG0000146	Prap.g_00045	Prax.g_01499
OG0000147	Prap.g_00044	Prax.g_01975
OG0000148	Prap.g_00042	Prax.g_01973
OG0000149	Prap.g_00941	Prax.g_00299
OG0000150	Prap.g_00940	Prax.g_00298
OG0000151	Prap.g_00939	Prax.g_00297
OG0000152	Prap.g_00938	Prax.g_00296
OG0000153	Prap.g_00937	Prax.g_00295
OG0000154	Prap.g_00936	Prax.g_00294
OG0000155	Prap.g_00935	Prax.g_00293
OG0000156	Prap.g_00934	Prax.g_00292
OG0000157	Prap.g_00933	Prax.g_00291
OG0000158	Prap.g_00931	Prax.g_00289
OG0000159	Prap.g_00930	Prax.g_00288
OG0000160	Prap.g_00929	Prax.g_00287
OG0000161	Prap.g_00928	Prax.g_00286
OG0000162	Prap.g_00927	Prax.g_00285
OG0000163	Prap.g_00925	Prax.g_00284
OG0000164	Prap.g_00922	Prax.g_00281
OG0000165	Prap.g_00919	Prax.g_00278
OG0000166	Prap.g_00918	Prax.g_00277
OG0000167	Prap.g_00917	Prax.g_00276
OG0000168	Prap.g_00915	Prax.g_00273
OG0000169	Prap.g_00913	Prax.g_00271
OG0000170	Prap.g_00911	Prax.g_00270
OG0000171	Prap.g_00910	Prax.g_00269
OG0000172	Prap.g_00909	Prax.g_00261
OG0000173	Prap.g_00906	Prax.g_00621
OG0000174	Prap.g_00905	Prax.g_00622
OG0000175	Prap.g_00904	Prax.g_00623
OG0000176	Prap.g_00902	Prax.g_00625
OG0000177	Prap.g_00901	Prax.g_00626
OG0000178	Prap.g_00899	Prax.g_00627
OG0000179	Prap.g_00887	Prax.g_00635
OG0000180	Prap.g_00886	Prax.g_00636
OG0000181	Prap.g_00885	Prax.g_00637
OG0000182	Prap.g_00881	Prax.g_00640
OG0000183	Prap.g_00880	Prax.g_00641
OG0000184	Prap.g_00877	Prax.g_00644
OG0000185	Prap.g_01100	Prax.g_00648
OG0000186	Prap.g_01099	Prax.g_00649
OG0000187	Prap.g_00025	Prax.g_00650
OG0000188	Prap.g_01098	Prax.g_00651
OG0000189	Prap.g_01097	Prax.g_00652
OG0000190	Prap.g_01096	Prax.g_00653
OG0000191	Prap.g_01095	Prax.g_00654
OG0000192	Prap.g_01094	Prax.g_00655
OG0000193	Prap.g_01093	Prax.g_00656
OG0000194	Prap.g_01092	Prax.g_00657
OG0000195	Prap.g_01090	Prax.g_00659
OG0000196	Prap.g_01089	Prax.g_00660
OG0000197	Prap.g_01088	Prax.g_01128
OG0000198	Prap.g_01087	Prax.g_01127
OG0000199	Prap.g_01084	Prax.g_01124
OG0000200	Prap.g_01083	Prax.g_01123
OG0000201	Prap.g_01082	Prax.g_01122
OG0000202	Prap.g_01080	Prax.g_01121
OG0000203	Prap.g_01079	Prax.g_01120
OG0000204	Prap.g_01078	Prax.g_01119
OG0000205	Prap.g_01076	Prax.g_01118
OG0000206	Prap.g_01075	Prax.g_01117
OG0000207	Prap.g_01074	Prax.g_01116
OG0000208	Prap.g_01073	Prax.g_01115
OG0000209	Prap.g_01072	Prax.g_01114
OG0000210	Prap.g_01071	Prax.g_01113
OG0000211	Prap.g_01069	Prax.g_01112
OG0000212	Prap.g_01068	Prax.g_01111
OG0000213	Prap.g_01067	Prax.g_01110
OG0000214	Prap.g_01063	Prax.g_01108
OG0000215	Prap.g_01062	Prax.g_01107
OG0000216	Prap.g_01060	Prax.g_01105
OG0000217	Prap.g_01059	Prax.g_01103
OG0000218	Prap.g_01058	Prax.g_01102
OG0000219	Prap.g_01057	Prax.g_01101
OG0000220	Prap.g_01054	Prax.g_01098
OG0000221	Prap.g_01051	Prax.g_01096
OG0000222	Prap.g_01050	Prax.g_01095
OG0000223	Prap.g_01049	Prax.g_01094
OG0000224	Prap.g_01047	Prax.g_01091
OG0000225	Prap.g_01045	Prax.g_01089
OG0000226	Prap.g_01043	Prax.g_01088
OG0000227	Prap.g_01042	Prax.g_01087
OG0000228	Prap.g_01041	Prax.g_01086
OG0000229	Prap.g_01040	Prax.g_01085
OG0000230	Prap.g_01039	Prax.g_01084
OG0000231	Prap.g_00319	Prax.g_01082
OG0000232	Prap.g_01037	Prax.g_01081
OG0000233	Prap.g_01034	Prax.g_01078
OG0000234	Prap.g_01032	Prax.g_01076
OG0000235	Prap.g_01026	Prax.g_01073
OG0000236	Prap.g_01025	Prax.g_01072
OG0000237	Prap.g_01024	Prax.g_01071
OG0000238	Prap.g_01023	Prax.g_01070
OG0000239	Prap.g_01022	Prax.g_01069
OG0000240	Prap.g_01020	Prax.g_01067
OG0000241	Prap.g_01019	Prax.g_01066
OG0000242	Prap.g_01018	Prax.g_01065
OG0000243	Prap.g_01017	Prax.g_01064
OG0000244	Prap.g_01016	Prax.g_01063
OG0000245	Prap.g_01014	Prax.g_01062
OG0000246	Prap.g_01012	Prax.g_01060
OG0000247	Prap.g_01011	Prax.g_01059
OG0000248	Prap.g_01010	Prax.g_01058
OG0000249	Prap.g_01009	Prax.g_01057
OG0000250	Prap.g_01008	Prax.g_01056
OG0000251	Prap.g_01007	Prax.g_01055
OG0000252	Prap.g_01006	Prax.g_01054
OG0000253	Prap.g_01005	Prax.g_01053
OG0000254	Prap.g_01003	Prax.g_01051
OG0000255	Prap.g_01002	Prax.g_01050
OG0000256	Prap.g_00999	Prax.g_01047
OG0000257	Prap.g_00997	Prax.g_01045
OG0000258	Prap.g_00996	Prax.g_01044
OG0000259	Prap.g_00995	Prax.g_01043
OG0000260	Prap.g_00994	Prax.g_01042
OG0000261	Prap.g_00993	Prax.g_01041
OG0000262	Prap.g_00992	Prax.g_01040
OG0000263	Prap.g_00991	Prax.g_01039
OG0000264	Prap.g_00989	Prax.g_01037
OG0000265	Prap.g_00988	Prax.g_01036
OG0000266	Prap.g_00987	Prax.g_01035
OG0000267	Prap.g_00985	Prax.g_01033
OG0000268	Prap.g_00983	Prax.g_01032
OG0000269	Prap.g_00982	Prax.g_01031
OG0000270	Prap.g_00981	Prax.g_01030
OG0000271	Prap.g_00980	Prax.g_01029
OG0000272	Prap.g_00979	Prax.g_01028
OG0000273	Prap.g_00978	Prax.g_01027
OG0000274	Prap.g_00977	Prax.g_01026
OG0000275	Prap.g_00976	Prax.g_01025
OG0000276	Prap.g_00975	Prax.g_01024
OG0000277	Prap.g_00974	Prax.g_01023
OG0000278	Prap.g_00973	Prax.g_01022
OG0000279	Prap.g_00972	Prax.g_01021
OG0000280	Prap.g_00971	Prax.g_01020
OG0000281	Prap.g_00969	Prax.g_01018
OG0000282	Prap.g_00968	Prax.g_01017
OG0000283	Prap.g_00965	Prax.g_01014
OG0000284	Prap.g_00964	Prax.g_01013
OG0000285	Prap.g_00963	Prax.g_01012
OG0000286	Prap.g_00961	Prax.g_01010
OG0000287	Prap.g_00959	Prax.g_01009
OG0000288	Prap.g_00958	Prax.g_01008
OG0000289	Prap.g_00957	Prax.g_01007
OG0000290	Prap.g_00956	Prax.g_01006
OG0000291	Prap.g_00955	Prax.g_01005
OG0000292	Prap.g_00954	Prax.g_01004
OG0000293	Prap.g_00953	Prax.g_01003
OG0000294	Prap.g_00952	Prax.g_01002
OG0000295	Prap.g_00951	Prax.g_01001
OG0000296	Prap.g_00950	Prax.g_01000
OG0000297	Prap.g_00949	Prax.g_00999
OG0000298	Prap.g_00948	Prax.g_00998
OG0000299	Prap.g_00947	Prax.g_00997
OG0000300	Prap.g_00946	Prax.g_00996
OG0000301	Prap.g_00945	Prax.g_00995
OG0000302	Prap.g_00944	Prax.g_00994
OG0000303	Prap.g_00943	Prax.g_00993
OG0000304	Prap.g_01487	Prax.g_00992
OG0000305	Prap.g_01486	Prax.g_00991
OG0000306	Prap.g_01485	Prax.g_00990
OG0000307	Prap.g_01483	Prax.g_00989
OG0000308	Prap.g_01482	Prax.g_00988
OG0000309	Prap.g_01481	Prax.g_00987
OG0000310	Prap.g_01480	Prax.g_00986
OG0000311	Prap.g_01479	Prax.g_00985
OG0000312	Prap.g_01477	Prax.g_00983
OG0000313	Prap.g_01476	Prax.g_00982
OG0000314	Prap.g_01472	Prax.g_00979
OG0000315	Prap.g_01471	Prax.g_00978
OG0000316	Prap.g_01469	Prax.g_00933
OG0000317	Prap.g_01467	Prax.g_00931
OG0000318	Prap.g_01466	Prax.g_00930
OG0000319	Prap.g_01465	Prax.g_00929
OG0000320	Prap.g_01464	Prax.g_00928
OG0000321	Prap.g_01461	Prax.g_00925
OG0000322	Prap.g_01457	Prax.g_00922
OG0000323	Prap.g_01456	Prax.g_00921
OG0000324	Prap.g_01453	Prax.g_00918
OG0000325	Prap.g_01452	Prax.g_00916
OG0000326	Prap.g_01451	Prax.g_00915
OG0000327	Prap.g_01449	Prax.g_00913
OG0000328	Prap.g_01448	Prax.g_00912
OG0000329	Prap.g_01447	Prax.g_00911
OG0000330	Prap.g_01446	Prax.g_00910
OG0000331	Prap.g_01444	Prax.g_00909
OG0000332	Prap.g_01443	Prax.g_00908
OG0000333	Prap.g_01442	Prax.g_00907
OG0000334	Prap.g_01441	Prax.g_00906
OG0000335	Prap.g_01440	Prax.g_00905
OG0000336	Prap.g_01438	Prax.g_00904
OG0000337	Prap.g_01435	Prax.g_00900
OG0000338	Prap.g_01434	Prax.g_00899
OG0000339	Prap.g_01433	Prax.g_00898
OG0000340	Prap.g_01432	Prax.g_00897
OG0000341	Prap.g_01428	Prax.g_00893
OG0000342	Prap.g_01427	Prax.g_00892
OG0000343	Prap.g_01424	Prax.g_00890
OG0000344	Prap.g_01423	Prax.g_00889
OG0000345	Prap.g_01422	Prax.g_00888
OG0000346	Prap.g_01421	Prax.g_00887
OG0000347	Prap.g_01420	Prax.g_00886
OG0000348	Prap.g_01418	Prax.g_00885
OG0000349	Prap.g_01417	Prax.g_00884
OG0000350	Prap.g_01416	Prax.g_00883
OG0000351	Prap.g_01414	Prax.g_00880
OG0000352	Prap.g_01411	Prax.g_00877
OG0000353	Prap.g_01410	Prax.g_00876
OG0000354	Prap.g_01409	Prax.g_00875
OG0000355	Prap.g_01408	Prax.g_00874
OG0000356	Prap.g_01407	Prax.g_00873
OG0000357	Prap.g_01406	Prax.g_00872
OG0000358	Prap.g_01405	Prax.g_00871
OG0000359	Prap.g_01404	Prax.g_00870
OG0000360	Prap.g_01402	Prax.g_00867
OG0000361	Prap.g_01401	Prax.g_00866
OG0000362	Prap.g_01400	Prax.g_00865
OG0000363	Prap.g_01399	Prax.g_00864
OG0000364	Prap.g_01398	Prax.g_00863
OG0000365	Prap.g_01397	Prax.g_00862
OG0000366	Prap.g_01396	Prax.g_00861
OG0000367	Prap.g_01395	Prax.g_00860
OG0000368	Prap.g_01394	Prax.g_00859
OG0000369	Prap.g_01393	Prax.g_00858
OG0000370	Prap.g_01392	Prax.g_00857
OG0000371	Prap.g_01391	Prax.g_00856
OG0000372	Prap.g_01390	Prax.g_00854
OG0000373	Prap.g_01388	Prax.g_00850
OG0000374	Prap.g_01387	Prax.g_00849
OG0000375	Prap.g_01386	Prax.g_00848
OG0000376	Prap.g_01385	Prax.g_00846
OG0000377	Prap.g_01379	Prax.g_00845
OG0000378	Prap.g_01378	Prax.g_00844
OG0000379	Prap.g_01372	Prax.g_00839
OG0000380	Prap.g_01370	Prax.g_00838
OG0000381	Prap.g_01369	Prax.g_00837
OG0000382	Prap.g_01368	Prax.g_00835
OG0000383	Prap.g_01365	Prax.g_00832
OG0000384	Prap.g_01364	Prax.g_00831
OG0000385	Prap.g_01361	Prax.g_00828
OG0000386	Prap.g_01360	Prax.g_00827
OG0000387	Prap.g_01359	Prax.g_00826
OG0000388	Prap.g_01358	Prax.g_00825
OG0000389	Prap.g_01357	Prax.g_00824
OG0000390	Prap.g_01356	Prax.g_00823
OG0000391	Prap.g_01355	Prax.g_00822
OG0000392	Prap.g_01354	Prax.g_00821
OG0000393	Prap.g_01350	Prax.g_00818
OG0000394	Prap.g_01349	Prax.g_00817
OG0000395	Prap.g_01346	Prax.g_00815
OG0000396	Prap.g_00728	Prax.g_00814
OG0000397	Prap.g_00500	Prax.g_00802
OG0000398	Prap.g_01827	Prax.g_00795
OG0000399	Prap.g_00495	Prax.g_00794
OG0000400	Prap.g_01714	Prax.g_00790
OG0000401	Prap.g_01335	Prax.g_00769
OG0000402	Prap.g_01334	Prax.g_00768
OG0000403	Prap.g_01333	Prax.g_00767
OG0000404	Prap.g_01331	Prax.g_00765
OG0000405	Prap.g_01330	Prax.g_00764
OG0000406	Prap.g_01328	Prax.g_00762
OG0000407	Prap.g_01327	Prax.g_00761
OG0000408	Prap.g_01326	Prax.g_00760
OG0000409	Prap.g_01325	Prax.g_00759
OG0000410	Prap.g_01324	Prax.g_00758
OG0000411	Prap.g_01323	Prax.g_00757
OG0000412	Prap.g_01322	Prax.g_00756
OG0000413	Prap.g_01321	Prax.g_00755
OG0000414	Prap.g_01320	Prax.g_00754
OG0000415	Prap.g_01319	Prax.g_00753
OG0000416	Prap.g_01318	Prax.g_00752
OG0000417	Prap.g_01317	Prax.g_00751
OG0000418	Prap.g_01316	Prax.g_00750
OG0000419	Prap.g_01315	Prax.g_00749
OG0000420	Prap.g_01314	Prax.g_00748
OG0000421	Prap.g_01310	Prax.g_00747
OG0000422	Prap.g_01308	Prax.g_00746
OG0000423	Prap.g_01307	Prax.g_00745
OG0000424	Prap.g_01306	Prax.g_00743
OG0000425	Prap.g_01302	Prax.g_00740
OG0000426	Prap.g_01301	Prax.g_00739
OG0000427	Prap.g_01300	Prax.g_00738
OG0000428	Prap.g_01298	Prax.g_00737
OG0000429	Prap.g_01297	Prax.g_00736
OG0000430	Prap.g_01296	Prax.g_00731
OG0000431	Prap.g_01294	Prax.g_00729
OG0000432	Prap.g_01293	Prax.g_00728
OG0000433	Prap.g_01290	Prax.g_00725
OG0000434	Prap.g_01289	Prax.g_00724
OG0000435	Prap.g_01288	Prax.g_00723
OG0000436	Prap.g_01286	Prax.g_00721
OG0000437	Prap.g_01284	Prax.g_00719
OG0000438	Prap.g_01283	Prax.g_00718
OG0000439	Prap.g_01282	Prax.g_00717
OG0000440	Prap.g_01280	Prax.g_00715
OG0000441	Prap.g_01279	Prax.g_00714
OG0000442	Prap.g_01278	Prax.g_00713
OG0000443	Prap.g_01277	Prax.g_00712
OG0000444	Prap.g_01276	Prax.g_00711
OG0000445	Prap.g_01275	Prax.g_00709
OG0000446	Prap.g_01274	Prax.g_00708
OG0000447	Prap.g_01273	Prax.g_00707
OG0000448	Prap.g_01272	Prax.g_00706
OG0000449	Prap.g_01266	Prax.g_00701
OG0000450	Prap.g_01265	Prax.g_00700
OG0000451	Prap.g_01264	Prax.g_00699
OG0000452	Prap.g_01263	Prax.g_00698
OG0000453	Prap.g_01262	Prax.g_00696
OG0000454	Prap.g_01261	Prax.g_00695
OG0000455	Prap.g_01260	Prax.g_00694
OG0000456	Prap.g_01259	Prax.g_00693
OG0000457	Prap.g_01257	Prax.g_00691
OG0000458	Prap.g_01255	Prax.g_00689
OG0000459	Prap.g_01254	Prax.g_00688
OG0000460	Prap.g_01252	Prax.g_00686
OG0000461	Prap.g_01251	Prax.g_00685
OG0000462	Prap.g_01250	Prax.g_00684
OG0000463	Prap.g_01249	Prax.g_00683
OG0000464	Prap.g_01245	Prax.g_00678
OG0000465	Prap.g_01244	Prax.g_00676
OG0000466	Prap.g_01243	Prax.g_00675
OG0000467	Prap.g_01242	Prax.g_00674
OG0000468	Prap.g_01241	Prax.g_00673
OG0000469	Prap.g_01240	Prax.g_00672
OG0000470	Prap.g_01239	Prax.g_00671
OG0000471	Prap.g_01238	Prax.g_00670
OG0000472	Prap.g_01235	Prax.g_00667
OG0000473	Prap.g_01234	Prax.g_00666
OG0000474	Prap.g_01233	Prax.g_00665
OG0000475	Prap.g_01232	Prax.g_00664
OG0000476	Prap.g_01231	Prax.g_00663
OG0000477	Prap.g_01229	Prax.g_00001
OG0000478	Prap.g_01228	Prax.g_00002
OG0000479	Prap.g_01227	Prax.g_00003
OG0000480	Prap.g_01225	Prax.g_00005
OG0000481	Prap.g_01224	Prax.g_00006
OG0000482	Prap.g_01223	Prax.g_00007
OG0000483	Prap.g_01222	Prax.g_00008
OG0000484	Prap.g_01221	Prax.g_00009
OG0000485	Prap.g_01220	Prax.g_00010
OG0000486	Prap.g_01219	Prax.g_00011
OG0000487	Prap.g_01218	Prax.g_00012
OG0000488	Prap.g_01216	Prax.g_00014
OG0000489	Prap.g_01215	Prax.g_00015
OG0000490	Prap.g_01214	Prax.g_00016
OG0000491	Prap.g_01213	Prax.g_00017
OG0000492	Prap.g_01212	Prax.g_00018
OG0000493	Prap.g_01211	Prax.g_00019
OG0000494	Prap.g_01210	Prax.g_00021
OG0000495	Prap.g_01209	Prax.g_00022
OG0000496	Prap.g_01207	Prax.g_00023
OG0000497	Prap.g_01205	Prax.g_00024
OG0000498	Prap.g_01204	Prax.g_00025
OG0000499	Prap.g_01202	Prax.g_00027
OG0000500	Prap.g_01201	Prax.g_00028
OG0000501	Prap.g_01199	Prax.g_00030
OG0000502	Prap.g_01198	Prax.g_00031
OG0000503	Prap.g_01197	Prax.g_00032
OG0000504	Prap.g_01196	Prax.g_00033
OG0000505	Prap.g_01195	Prax.g_00034
OG0000506	Prap.g_01194	Prax.g_00035
OG0000507	Prap.g_01193	Prax.g_00036
OG0000508	Prap.g_01191	Prax.g_00038
OG0000509	Prap.g_01190	Prax.g_00039
OG0000510	Prap.g_01189	Prax.g_00040
OG0000511	Prap.g_01188	Prax.g_00041
OG0000512	Prap.g_01187	Prax.g_00042
OG0000513	Prap.g_01186	Prax.g_00043
OG0000514	Prap.g_01185	Prax.g_00044
OG0000515	Prap.g_01182	Prax.g_00046
OG0000516	Prap.g_01181	Prax.g_00047
OG0000517	Prap.g_01180	Prax.g_00048
OG0000518	Prap.g_01177	Prax.g_00050
OG0000519	Prap.g_01176	Prax.g_00051
OG0000520	Prap.g_01175	Prax.g_00052
OG0000521	Prap.g_01174	Prax.g_00053
OG0000522	Prap.g_01173	Prax.g_00054
OG0000523	Prap.g_01172	Prax.g_00055
OG0000524	Prap.g_01171	Prax.g_00056
OG0000525	Prap.g_01169	Prax.g_00058
OG0000526	Prap.g_01168	Prax.g_00059
OG0000527	Prap.g_01167	Prax.g_00060
OG0000528	Prap.g_01166	Prax.g_00061
OG0000529	Prap.g_01165	Prax.g_00062
OG0000530	Prap.g_01164	Prax.g_00063
OG0000531	Prap.g_01162	Prax.g_00064
OG0000532	Prap.g_01161	Prax.g_00065
OG0000533	Prap.g_01160	Prax.g_00066
OG0000534	Prap.g_01159	Prax.g_00067
OG0000535	Prap.g_01158	Prax.g_00068
OG0000536	Prap.g_01157	Prax.g_00069
OG0000537	Prap.g_01156	Prax.g_00070
OG0000538	Prap.g_01155	Prax.g_00071
OG0000539	Prap.g_01154	Prax.g_00072
OG0000540	Prap.g_01153	Prax.g_00073
OG0000541	Prap.g_01152	Prax.g_00074
OG0000542	Prap.g_01151	Prax.g_00075
OG0000543	Prap.g_01150	Prax.g_00076
OG0000544	Prap.g_01149	Prax.g_00077
OG0000545	Prap.g_01147	Prax.g_00080
OG0000546	Prap.g_01146	Prax.g_00081
OG0000547	Prap.g_01144	Prax.g_00083
OG0000548	Prap.g_01142	Prax.g_00084
OG0000549	Prap.g_01141	Prax.g_00085
OG0000550	Prap.g_01140	Prax.g_00086
OG0000551	Prap.g_01138	Prax.g_00087
OG0000552	Prap.g_01137	Prax.g_00088
OG0000553	Prap.g_00397	Prax.g_00089
OG0000554	Prap.g_00396	Prax.g_00090
OG0000555	Prap.g_00395	Prax.g_00091
OG0000556	Prap.g_00394	Prax.g_00092
OG0000557	Prap.g_00393	Prax.g_00093
OG0000558	Prap.g_00392	Prax.g_00094
OG0000559	Prap.g_00391	Prax.g_00095
OG0000560	Prap.g_00389	Prax.g_00097
OG0000561	Prap.g_00388	Prax.g_00098
OG0000562	Prap.g_00386	Prax.g_00099
OG0000563	Prap.g_00385	Prax.g_00100
OG0000564	Prap.g_00384	Prax.g_00101
OG0000565	Prap.g_00383	Prax.g_00102
OG0000566	Prap.g_00382	Prax.g_00103
OG0000567	Prap.g_00381	Prax.g_00104
OG0000568	Prap.g_00380	Prax.g_00105
OG0000569	Prap.g_00379	Prax.g_00106
OG0000570	Prap.g_00378	Prax.g_00107
OG0000571	Prap.g_00377	Prax.g_00108
OG0000572	Prap.g_00376	Prax.g_00109
OG0000573	Prap.g_00373	Prax.g_00112
OG0000574	Prap.g_00372	Prax.g_00113
OG0000575	Prap.g_00371	Prax.g_00114
OG0000576	Prap.g_00370	Prax.g_00115
OG0000577	Prap.g_00369	Prax.g_00116
OG0000578	Prap.g_00368	Prax.g_00117
OG0000579	Prap.g_00367	Prax.g_00118
OG0000580	Prap.g_00366	Prax.g_00119
OG0000581	Prap.g_00365	Prax.g_00120
OG0000582	Prap.g_00364	Prax.g_00121
OG0000583	Prap.g_00363	Prax.g_00122
OG0000584	Prap.g_00361	Prax.g_00123
OG0000585	Prap.g_00360	Prax.g_00977
OG0000586	Prap.g_00358	Prax.g_00975
OG0000587	Prap.g_00357	Prax.g_00974
OG0000588	Prap.g_00831	Prax.g_00972
OG0000589	Prap.g_00830	Prax.g_00971
