Orthogroup	Prap	Prbi
OG0000112	Prap.g_00374	Prbi.g_00655
OG0000113	Prap.g_00324	Prbi.g_00767
OG0000114	Prap.g_00785	Prbi.g_00845
OG0000115	Prap.g_00257	Prbi.g_01009
OG0000116	Prap.g_00261	Prbi.g_01013
OG0000117	Prap.g_00705	Prbi.g_01083
OG0000118	Prap.g_00501	Prbi.g_01136
OG0000119	Prap.g_01880	Prbi.g_01177
OG0000120	Prap.g_00450	Prbi.g_01213
OG0000121	Prap.g_00427	Prbi.g_01232
OG0000122	Prap.g_00407	Prbi.g_01251
OG0000123	Prap.g_01135	Prbi.g_01264
OG0000124	Prap.g_00217	Prbi.g_01277
OG0000125	Prap.g_00574	Prbi.g_01403
OG0000126	Prap.g_00059	Prbi.g_01439
OG0000127	Prap.g_00109	Prbi.g_01576
OG0000128	Prap.g_00122	Prbi.g_01592
OG0000129	Prap.g_00158	Prbi.g_01627
OG0000130	Prap.g_01782	Prbi.g_01785
OG0000131	Prap.g_01742	Prbi.g_01823
OG0000132	Prap.g_01739	Prbi.g_01826
OG0000133	Prap.g_01685	Prbi.g_01897
OG0000134	Prap.g_01648, Prap.g_01649	Prbi.g_01933
OG0000135	Prap.g_01646	Prbi.g_01935
OG0000136	Prap.g_01596	Prbi.g_01979
OG0000137	Prap.g_01562	Prbi.g_02011
OG0000138	Prap.g_01528	Prbi.g_02059
OG0000139	Prap.g_01497	Prbi.g_02086
OG0000140	Prap.g_00053	Prbi.g_00001
OG0000141	Prap.g_00052	Prbi.g_00002
OG0000142	Prap.g_00050	Prbi.g_00004
OG0000143	Prap.g_00049	Prbi.g_00005
OG0000144	Prap.g_00047	Prbi.g_00007
OG0000145	Prap.g_00046	Prbi.g_00008
OG0000146	Prap.g_00045	Prbi.g_00009
OG0000147	Prap.g_00044	Prbi.g_00010
OG0000148	Prap.g_00042	Prbi.g_00012
OG0000149	Prap.g_00941	Prbi.g_00014
OG0000150	Prap.g_00940	Prbi.g_00015
OG0000151	Prap.g_00939	Prbi.g_00016
OG0000152	Prap.g_00938	Prbi.g_00017
OG0000153	Prap.g_00937	Prbi.g_00018
OG0000154	Prap.g_00936	Prbi.g_00019
OG0000155	Prap.g_00935	Prbi.g_00020
OG0000156	Prap.g_00934	Prbi.g_00021
OG0000157	Prap.g_00933	Prbi.g_00022
OG0000158	Prap.g_00931	Prbi.g_00024
OG0000159	Prap.g_00930	Prbi.g_00025
OG0000160	Prap.g_00929	Prbi.g_00026
OG0000161	Prap.g_00928	Prbi.g_00027
OG0000162	Prap.g_00927	Prbi.g_00028
OG0000163	Prap.g_00925	Prbi.g_00029
OG0000164	Prap.g_00922	Prbi.g_00032
OG0000165	Prap.g_00919	Prbi.g_00035
OG0000166	Prap.g_00918	Prbi.g_00036
OG0000167	Prap.g_00917	Prbi.g_00037
OG0000168	Prap.g_00915	Prbi.g_00049
OG0000169	Prap.g_00913	Prbi.g_00051
OG0000170	Prap.g_00911	Prbi.g_00052
OG0000171	Prap.g_00910	Prbi.g_00053
OG0000172	Prap.g_00909	Prbi.g_00056
OG0000173	Prap.g_00906	Prbi.g_00057
OG0000174	Prap.g_00905	Prbi.g_00058
OG0000175	Prap.g_00904	Prbi.g_00059
OG0000176	Prap.g_00902	Prbi.g_00061
OG0000177	Prap.g_00901	Prbi.g_00062
OG0000178	Prap.g_00899	Prbi.g_00063
OG0000179	Prap.g_00887	Prbi.g_00071
OG0000180	Prap.g_00886	Prbi.g_00072
OG0000181	Prap.g_00885	Prbi.g_00073
OG0000182	Prap.g_00881	Prbi.g_00076
OG0000183	Prap.g_00880	Prbi.g_00077
OG0000184	Prap.g_00877	Prbi.g_00080
OG0000185	Prap.g_01100	Prbi.g_00084
OG0000186	Prap.g_01099	Prbi.g_00085
OG0000187	Prap.g_00025	Prbi.g_00086
OG0000188	Prap.g_01098	Prbi.g_00087
OG0000189	Prap.g_01097	Prbi.g_00088
OG0000190	Prap.g_01096	Prbi.g_00089
OG0000191	Prap.g_01095	Prbi.g_00090
OG0000192	Prap.g_01094	Prbi.g_00091
OG0000193	Prap.g_01093	Prbi.g_00092
OG0000194	Prap.g_01092	Prbi.g_00093
OG0000195	Prap.g_01090	Prbi.g_00095
OG0000196	Prap.g_01089	Prbi.g_00096
OG0000197	Prap.g_01088	Prbi.g_00097
OG0000198	Prap.g_01087	Prbi.g_00098
OG0000199	Prap.g_01084	Prbi.g_00101
OG0000200	Prap.g_01083	Prbi.g_00102
OG0000201	Prap.g_01082	Prbi.g_00103
OG0000202	Prap.g_01080	Prbi.g_00104
OG0000203	Prap.g_01079	Prbi.g_00105
OG0000204	Prap.g_01078	Prbi.g_00106
OG0000205	Prap.g_01076	Prbi.g_00107
OG0000206	Prap.g_01075	Prbi.g_00108
OG0000207	Prap.g_01074	Prbi.g_00109
OG0000208	Prap.g_01073	Prbi.g_00110
OG0000209	Prap.g_01072	Prbi.g_00111
OG0000210	Prap.g_01071	Prbi.g_00113
OG0000211	Prap.g_01069	Prbi.g_00114
OG0000212	Prap.g_01068	Prbi.g_00115
OG0000213	Prap.g_01067	Prbi.g_00116
OG0000214	Prap.g_01063	Prbi.g_00118
OG0000215	Prap.g_01062	Prbi.g_00119
OG0000216	Prap.g_01060	Prbi.g_00121
OG0000217	Prap.g_01059	Prbi.g_00123
OG0000218	Prap.g_01058	Prbi.g_00124
OG0000219	Prap.g_01057	Prbi.g_00125
OG0000220	Prap.g_01054	Prbi.g_00128
OG0000221	Prap.g_01051	Prbi.g_00130
OG0000222	Prap.g_01050	Prbi.g_00131
OG0000223	Prap.g_01049	Prbi.g_00132
OG0000224	Prap.g_01047	Prbi.g_00135
OG0000225	Prap.g_01045	Prbi.g_00137
OG0000226	Prap.g_01043	Prbi.g_00138
OG0000227	Prap.g_01042	Prbi.g_00139
OG0000228	Prap.g_01041	Prbi.g_00140
OG0000229	Prap.g_01040	Prbi.g_00141
OG0000230	Prap.g_01039	Prbi.g_00142
OG0000231	Prap.g_00319	Prbi.g_00144
OG0000232	Prap.g_01037	Prbi.g_00145
OG0000233	Prap.g_01034	Prbi.g_00148
OG0000234	Prap.g_01032	Prbi.g_00150
OG0000235	Prap.g_01026	Prbi.g_00169
OG0000236	Prap.g_01025	Prbi.g_00170
OG0000237	Prap.g_01024	Prbi.g_00171
OG0000238	Prap.g_01023	Prbi.g_00172
OG0000239	Prap.g_01022	Prbi.g_00173
OG0000240	Prap.g_01020	Prbi.g_00175
OG0000241	Prap.g_01019	Prbi.g_00176
OG0000242	Prap.g_01018	Prbi.g_00177
OG0000243	Prap.g_01017	Prbi.g_00178
OG0000244	Prap.g_01016	Prbi.g_00179
OG0000245	Prap.g_01014	Prbi.g_00180
OG0000246	Prap.g_01012	Prbi.g_00182
OG0000247	Prap.g_01011	Prbi.g_00183
OG0000248	Prap.g_01010	Prbi.g_00184
OG0000249	Prap.g_01009	Prbi.g_00185
OG0000250	Prap.g_01008	Prbi.g_00186
OG0000251	Prap.g_01007	Prbi.g_00187
OG0000252	Prap.g_01006	Prbi.g_00188
OG0000253	Prap.g_01005	Prbi.g_00189
OG0000254	Prap.g_01003	Prbi.g_00191
OG0000255	Prap.g_01002	Prbi.g_00192
OG0000256	Prap.g_00999	Prbi.g_00195
OG0000257	Prap.g_00997	Prbi.g_00197
OG0000258	Prap.g_00996	Prbi.g_00198
OG0000259	Prap.g_00995	Prbi.g_00199
OG0000260	Prap.g_00994	Prbi.g_00200
OG0000261	Prap.g_00993	Prbi.g_00201
OG0000262	Prap.g_00992	Prbi.g_00202
OG0000263	Prap.g_00991	Prbi.g_00203
OG0000264	Prap.g_00989	Prbi.g_00205
OG0000265	Prap.g_00988	Prbi.g_00206
OG0000266	Prap.g_00987	Prbi.g_00207
OG0000267	Prap.g_00985	Prbi.g_00209
OG0000268	Prap.g_00983	Prbi.g_00210
OG0000269	Prap.g_00982	Prbi.g_00211
OG0000270	Prap.g_00981	Prbi.g_00212
OG0000271	Prap.g_00980	Prbi.g_00213
OG0000272	Prap.g_00979	Prbi.g_00214
OG0000273	Prap.g_00978	Prbi.g_00215
OG0000274	Prap.g_00977	Prbi.g_00216
OG0000275	Prap.g_00976	Prbi.g_00217
OG0000276	Prap.g_00975	Prbi.g_00218
OG0000277	Prap.g_00974	Prbi.g_00219
OG0000278	Prap.g_00973	Prbi.g_00220
OG0000279	Prap.g_00972	Prbi.g_00221
OG0000280	Prap.g_00971	Prbi.g_00222
OG0000281	Prap.g_00969	Prbi.g_00224
OG0000282	Prap.g_00968	Prbi.g_00225
OG0000283	Prap.g_00965	Prbi.g_00228
OG0000284	Prap.g_00964	Prbi.g_00229
OG0000285	Prap.g_00963	Prbi.g_00230
OG0000286	Prap.g_00961	Prbi.g_00232
OG0000287	Prap.g_00959	Prbi.g_00233
OG0000288	Prap.g_00958	Prbi.g_00234
OG0000289	Prap.g_00957	Prbi.g_00235
OG0000290	Prap.g_00956	Prbi.g_00236
OG0000291	Prap.g_00955	Prbi.g_00237
OG0000292	Prap.g_00954	Prbi.g_00238
OG0000293	Prap.g_00953	Prbi.g_00239
OG0000294	Prap.g_00952	Prbi.g_00240
OG0000295	Prap.g_00951	Prbi.g_00241
OG0000296	Prap.g_00950	Prbi.g_00242
OG0000297	Prap.g_00949	Prbi.g_00243
OG0000298	Prap.g_00948	Prbi.g_00244
OG0000299	Prap.g_00947	Prbi.g_00245
OG0000300	Prap.g_00946	Prbi.g_00246
OG0000301	Prap.g_00945	Prbi.g_00247
OG0000302	Prap.g_00944	Prbi.g_00248
OG0000303	Prap.g_00943	Prbi.g_00249
OG0000304	Prap.g_01487	Prbi.g_00250
OG0000305	Prap.g_01486	Prbi.g_00251
OG0000306	Prap.g_01485	Prbi.g_00252
OG0000307	Prap.g_01483	Prbi.g_00253
OG0000308	Prap.g_01482	Prbi.g_00254
OG0000309	Prap.g_01481	Prbi.g_00255
OG0000310	Prap.g_01480	Prbi.g_00256
OG0000311	Prap.g_01479	Prbi.g_00257
OG0000312	Prap.g_01477	Prbi.g_00259
OG0000313	Prap.g_01476	Prbi.g_00260
OG0000314	Prap.g_01472	Prbi.g_00263
OG0000315	Prap.g_01471	Prbi.g_00264
OG0000316	Prap.g_01469	Prbi.g_00266
OG0000317	Prap.g_01467	Prbi.g_00268
OG0000318	Prap.g_01466	Prbi.g_00269
OG0000319	Prap.g_01465	Prbi.g_00270
OG0000320	Prap.g_01464	Prbi.g_00271
OG0000321	Prap.g_01461	Prbi.g_00274
OG0000322	Prap.g_01457	Prbi.g_00277
OG0000323	Prap.g_01456	Prbi.g_00278
OG0000324	Prap.g_01453	Prbi.g_00281
OG0000325	Prap.g_01452	Prbi.g_00283
OG0000326	Prap.g_01451	Prbi.g_00284
OG0000327	Prap.g_01449	Prbi.g_00286
OG0000328	Prap.g_01448	Prbi.g_00287
OG0000329	Prap.g_01447	Prbi.g_00288
OG0000330	Prap.g_01446	Prbi.g_00289
OG0000331	Prap.g_01444	Prbi.g_00290
OG0000332	Prap.g_01443	Prbi.g_00291
OG0000333	Prap.g_01442	Prbi.g_00292
OG0000334	Prap.g_01441	Prbi.g_00293
OG0000335	Prap.g_01440	Prbi.g_00294
OG0000336	Prap.g_01438	Prbi.g_00295
OG0000337	Prap.g_01435	Prbi.g_00299
OG0000338	Prap.g_01434	Prbi.g_00300
OG0000339	Prap.g_01433	Prbi.g_00301
OG0000340	Prap.g_01432	Prbi.g_00302
OG0000341	Prap.g_01428	Prbi.g_00306
OG0000342	Prap.g_01427	Prbi.g_00307
OG0000343	Prap.g_01424	Prbi.g_00309
OG0000344	Prap.g_01423	Prbi.g_00310
OG0000345	Prap.g_01422	Prbi.g_00311
OG0000346	Prap.g_01421	Prbi.g_00312
OG0000347	Prap.g_01420	Prbi.g_00313
OG0000348	Prap.g_01418	Prbi.g_00314
OG0000349	Prap.g_01417	Prbi.g_00315
OG0000350	Prap.g_01416	Prbi.g_00316
OG0000351	Prap.g_01414	Prbi.g_00319
OG0000352	Prap.g_01411	Prbi.g_00322
OG0000353	Prap.g_01410	Prbi.g_00323
OG0000354	Prap.g_01409	Prbi.g_00324
OG0000355	Prap.g_01408	Prbi.g_00325
OG0000356	Prap.g_01407	Prbi.g_00326
OG0000357	Prap.g_01406	Prbi.g_00327
OG0000358	Prap.g_01405	Prbi.g_00328
OG0000359	Prap.g_01404	Prbi.g_00329
OG0000360	Prap.g_01402	Prbi.g_00332
OG0000361	Prap.g_01401	Prbi.g_00333
OG0000362	Prap.g_01400	Prbi.g_00334
OG0000363	Prap.g_01399	Prbi.g_00335
OG0000364	Prap.g_01398	Prbi.g_00336
OG0000365	Prap.g_01397	Prbi.g_00337
OG0000366	Prap.g_01396	Prbi.g_00338
OG0000367	Prap.g_01395	Prbi.g_00339
OG0000368	Prap.g_01394	Prbi.g_00340
OG0000369	Prap.g_01393	Prbi.g_00341
OG0000370	Prap.g_01392	Prbi.g_00342
OG0000371	Prap.g_01391	Prbi.g_00343
OG0000372	Prap.g_01390	Prbi.g_00345
OG0000373	Prap.g_01388	Prbi.g_00347
OG0000374	Prap.g_01387	Prbi.g_00348
OG0000375	Prap.g_01386	Prbi.g_00349
OG0000376	Prap.g_01385	Prbi.g_00351
OG0000377	Prap.g_01379	Prbi.g_00352
OG0000378	Prap.g_01378	Prbi.g_00353
OG0000379	Prap.g_01372	Prbi.g_00358
OG0000380	Prap.g_01370	Prbi.g_00359
OG0000381	Prap.g_01369	Prbi.g_00360
OG0000382	Prap.g_01368	Prbi.g_00362
OG0000383	Prap.g_01365	Prbi.g_00365
OG0000384	Prap.g_01364	Prbi.g_00366
OG0000385	Prap.g_01361	Prbi.g_00369
OG0000386	Prap.g_01360	Prbi.g_00370
OG0000387	Prap.g_01359	Prbi.g_00371
OG0000388	Prap.g_01358	Prbi.g_00372
OG0000389	Prap.g_01357	Prbi.g_00373
OG0000390	Prap.g_01356	Prbi.g_00374
OG0000391	Prap.g_01355	Prbi.g_00375
OG0000392	Prap.g_01354	Prbi.g_00376
OG0000393	Prap.g_01350	Prbi.g_00379
OG0000394	Prap.g_01349	Prbi.g_00380
OG0000395	Prap.g_01346	Prbi.g_00382
OG0000396	Prap.g_00728	Prbi.g_00383
OG0000397	Prap.g_00500	Prbi.g_00395
OG0000398	Prap.g_01827	Prbi.g_00403
OG0000399	Prap.g_00495	Prbi.g_00404
OG0000400	Prap.g_01714	Prbi.g_00409
OG0000401	Prap.g_01335	Prbi.g_00432
OG0000402	Prap.g_01334	Prbi.g_00433
OG0000403	Prap.g_01333	Prbi.g_00434
OG0000404	Prap.g_01331	Prbi.g_00436
OG0000405	Prap.g_01330	Prbi.g_00437
OG0000406	Prap.g_01328	Prbi.g_00439
OG0000407	Prap.g_01327	Prbi.g_00440
OG0000408	Prap.g_01326	Prbi.g_00441
OG0000409	Prap.g_01325	Prbi.g_00442
OG0000410	Prap.g_01324	Prbi.g_00443
OG0000411	Prap.g_01323	Prbi.g_00444
OG0000412	Prap.g_01322	Prbi.g_00445
OG0000413	Prap.g_01321	Prbi.g_00446
OG0000414	Prap.g_01320	Prbi.g_00447
OG0000415	Prap.g_01319	Prbi.g_00448
OG0000416	Prap.g_01318	Prbi.g_00449
OG0000417	Prap.g_01317	Prbi.g_00450
OG0000418	Prap.g_01316	Prbi.g_00451
OG0000419	Prap.g_01315	Prbi.g_00452
OG0000420	Prap.g_01314	Prbi.g_00453
OG0000421	Prap.g_01310	Prbi.g_00454
OG0000422	Prap.g_01308	Prbi.g_00456
OG0000423	Prap.g_01307	Prbi.g_00457
OG0000424	Prap.g_01306	Prbi.g_00459
OG0000425	Prap.g_01302	Prbi.g_00463
OG0000426	Prap.g_01301	Prbi.g_00464
OG0000427	Prap.g_01300	Prbi.g_00465
OG0000428	Prap.g_01298	Prbi.g_00466
OG0000429	Prap.g_01297	Prbi.g_00467
OG0000430	Prap.g_01296	Prbi.g_00474
OG0000431	Prap.g_01294	Prbi.g_00476
OG0000432	Prap.g_01293	Prbi.g_00477
OG0000433	Prap.g_01290	Prbi.g_00480
OG0000434	Prap.g_01289	Prbi.g_00481
OG0000435	Prap.g_01288	Prbi.g_00482
OG0000436	Prap.g_01286	Prbi.g_00484
OG0000437	Prap.g_01284	Prbi.g_00486
OG0000438	Prap.g_01283	Prbi.g_00487
OG0000439	Prap.g_01282	Prbi.g_00488
OG0000440	Prap.g_01280	Prbi.g_00490
OG0000441	Prap.g_01279	Prbi.g_00491
OG0000442	Prap.g_01278	Prbi.g_00492
OG0000443	Prap.g_01277	Prbi.g_00493
OG0000444	Prap.g_01276	Prbi.g_00494
OG0000445	Prap.g_01275	Prbi.g_00495
OG0000446	Prap.g_01274	Prbi.g_00496
OG0000447	Prap.g_01273	Prbi.g_00497
OG0000448	Prap.g_01272	Prbi.g_00498
OG0000449	Prap.g_01266	Prbi.g_00503
OG0000450	Prap.g_01265	Prbi.g_00504
OG0000451	Prap.g_01264	Prbi.g_00505
OG0000452	Prap.g_01263	Prbi.g_00506
OG0000453	Prap.g_01262	Prbi.g_00508
OG0000454	Prap.g_01261	Prbi.g_00509
OG0000455	Prap.g_01260	Prbi.g_00510
OG0000456	Prap.g_01259	Prbi.g_00511
OG0000457	Prap.g_01257	Prbi.g_00513
OG0000458	Prap.g_01255	Prbi.g_00515
OG0000459	Prap.g_01254	Prbi.g_00516
OG0000460	Prap.g_01252	Prbi.g_00518
OG0000461	Prap.g_01251	Prbi.g_00519
OG0000462	Prap.g_01250	Prbi.g_00520
OG0000463	Prap.g_01249	Prbi.g_00521
OG0000464	Prap.g_01245	Prbi.g_00526
OG0000465	Prap.g_01244	Prbi.g_00528
OG0000466	Prap.g_01243	Prbi.g_00529
OG0000467	Prap.g_01242	Prbi.g_00530
OG0000468	Prap.g_01241	Prbi.g_00531
OG0000469	Prap.g_01240	Prbi.g_00532
OG0000470	Prap.g_01239	Prbi.g_00533
OG0000471	Prap.g_01238	Prbi.g_00534
OG0000472	Prap.g_01235	Prbi.g_00537
OG0000473	Prap.g_01234	Prbi.g_00538
OG0000474	Prap.g_01233	Prbi.g_00539
OG0000475	Prap.g_01232	Prbi.g_00540
OG0000476	Prap.g_01231	Prbi.g_00541
OG0000477	Prap.g_01229	Prbi.g_00543
OG0000478	Prap.g_01228	Prbi.g_00544
OG0000479	Prap.g_01227	Prbi.g_00545
OG0000480	Prap.g_01225	Prbi.g_00547
OG0000481	Prap.g_01224	Prbi.g_00548
OG0000482	Prap.g_01223	Prbi.g_00549
OG0000483	Prap.g_01222	Prbi.g_00550
OG0000484	Prap.g_01221	Prbi.g_00551
OG0000485	Prap.g_01220	Prbi.g_00552
OG0000486	Prap.g_01219	Prbi.g_00553
OG0000487	Prap.g_01218	Prbi.g_00554
OG0000488	Prap.g_01216	Prbi.g_00556
OG0000489	Prap.g_01215	Prbi.g_00557
OG0000490	Prap.g_01214	Prbi.g_00558
OG0000491	Prap.g_01213	Prbi.g_00559
OG0000492	Prap.g_01212	Prbi.g_00560
OG0000493	Prap.g_01211	Prbi.g_00561
OG0000494	Prap.g_01210	Prbi.g_00563
OG0000495	Prap.g_01209	Prbi.g_00564
OG0000496	Prap.g_01207	Prbi.g_00565
OG0000497	Prap.g_01205	Prbi.g_00566
OG0000498	Prap.g_01204	Prbi.g_00567
OG0000499	Prap.g_01202	Prbi.g_00569
OG0000500	Prap.g_01201	Prbi.g_00570
OG0000501	Prap.g_01199	Prbi.g_00572
OG0000502	Prap.g_01198	Prbi.g_00573
OG0000503	Prap.g_01197	Prbi.g_00574
OG0000504	Prap.g_01196	Prbi.g_00575
OG0000505	Prap.g_01195	Prbi.g_00576
OG0000506	Prap.g_01194	Prbi.g_00577
OG0000507	Prap.g_01193	Prbi.g_00578
OG0000508	Prap.g_01191	Prbi.g_00580
OG0000509	Prap.g_01190	Prbi.g_00581
OG0000510	Prap.g_01189	Prbi.g_00582
OG0000511	Prap.g_01188	Prbi.g_00583
OG0000512	Prap.g_01187	Prbi.g_00584
OG0000513	Prap.g_01186	Prbi.g_00585
OG0000514	Prap.g_01185	Prbi.g_00586
OG0000515	Prap.g_01182	Prbi.g_00588
OG0000516	Prap.g_01181	Prbi.g_00589
OG0000517	Prap.g_01180	Prbi.g_00590
OG0000518	Prap.g_01177	Prbi.g_00593
OG0000519	Prap.g_01176	Prbi.g_00594
OG0000520	Prap.g_01175	Prbi.g_00595
OG0000521	Prap.g_01174	Prbi.g_00596
OG0000522	Prap.g_01173	Prbi.g_00597
OG0000523	Prap.g_01172	Prbi.g_00598
OG0000524	Prap.g_01171	Prbi.g_00599
OG0000525	Prap.g_01169	Prbi.g_00601
OG0000526	Prap.g_01168	Prbi.g_00602
OG0000527	Prap.g_01167	Prbi.g_00603
OG0000528	Prap.g_01166	Prbi.g_00604
OG0000529	Prap.g_01165	Prbi.g_00605
OG0000530	Prap.g_01164	Prbi.g_00606
OG0000531	Prap.g_01162	Prbi.g_00607
OG0000532	Prap.g_01161	Prbi.g_00608
OG0000533	Prap.g_01160	Prbi.g_00609
OG0000534	Prap.g_01159	Prbi.g_00610
OG0000535	Prap.g_01158	Prbi.g_00611
OG0000536	Prap.g_01157	Prbi.g_00612
OG0000537	Prap.g_01156	Prbi.g_00613
OG0000538	Prap.g_01155	Prbi.g_00614
OG0000539	Prap.g_01154	Prbi.g_00615
OG0000540	Prap.g_01153	Prbi.g_00616
OG0000541	Prap.g_01152	Prbi.g_00617
OG0000542	Prap.g_01151	Prbi.g_00618
OG0000543	Prap.g_01150	Prbi.g_00619
OG0000544	Prap.g_01149	Prbi.g_00620
OG0000545	Prap.g_01147	Prbi.g_00623
OG0000546	Prap.g_01146	Prbi.g_00624
OG0000547	Prap.g_01144	Prbi.g_00626
OG0000548	Prap.g_01142	Prbi.g_00627
OG0000549	Prap.g_01141	Prbi.g_00628
OG0000550	Prap.g_01140	Prbi.g_00629
OG0000551	Prap.g_01138	Prbi.g_00630
OG0000552	Prap.g_01137	Prbi.g_00631
OG0000553	Prap.g_00397	Prbi.g_00632
OG0000554	Prap.g_00396	Prbi.g_00634
OG0000555	Prap.g_00395	Prbi.g_00635
OG0000556	Prap.g_00394	Prbi.g_00636
OG0000557	Prap.g_00393	Prbi.g_00637
OG0000558	Prap.g_00392	Prbi.g_00638
OG0000559	Prap.g_00391	Prbi.g_00639
OG0000560	Prap.g_00389	Prbi.g_00641
OG0000561	Prap.g_00388	Prbi.g_00642
OG0000562	Prap.g_00386	Prbi.g_00643
OG0000563	Prap.g_00385	Prbi.g_00644
OG0000564	Prap.g_00384	Prbi.g_00645
OG0000565	Prap.g_00383	Prbi.g_00646
OG0000566	Prap.g_00382	Prbi.g_00647
OG0000567	Prap.g_00381	Prbi.g_00648
