Orthogroup	Pran	Syap
OG0000070	Pran.g_01727	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Pran.g_00938, Pran.g_00876	Syap.g_01483
OG0000072	Pran.g_00261	Syap.g_00555
OG0000073	Pran.g_01679	Syap.g_01020, Syap.g_00273
OG0000075	Pran.g_01137	Syap.g_01064, Syap.g_00664
OG0000076	Pran.g_01160	Syap.g_01111
OG0000077	Pran.g_00354	Syap.g_00416
OG0000078	Pran.g_00194	Syap.g_01149
OG0000079	Pran.g_01940	Syap.g_01589
OG0000080	Pran.g_00796, Pran.g_00794	Syap.g_01707, Syap.g_00630, Syap.g_01035
OG0000085	Pran.g_00963	Syap.g_00611
OG0000087	Pran.g_00295	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Pran.g_00266	Syap.g_01202
OG0000089	Pran.g_01839	Syap.g_00115, Syap.g_02042
OG0000090	Pran.g_01645	Syap.g_01451
OG0000091	Pran.g_01536	Syap.g_01861
OG0000094	Pran.g_00549	Syap.g_02781
OG0000095	Pran.g_00903	Syap.g_01556
OG0000098	Pran.g_00855	Syap.g_01975
OG0000099	Pran.g_00806	Syap.g_01385
OG0000101	Pran.g_01105	Syap.g_00472
OG0000102	Pran.g_01165	Syap.g_01116
OG0000103	Pran.g_01244	Syap.g_02607, Syap.g_02608
OG0000104	Pran.g_01253	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Pran.g_01920	Syap.g_01369, Syap.g_01368
OG0000107	Pran.g_01808	Syap.g_02496
OG0000108	Pran.g_01698	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Pran.g_01684	Syap.g_00279, Syap.g_02237
OG0000110	Pran.g_01603	Syap.g_01313
OG0000111	Pran.g_01479	Syap.g_01566, Syap.g_01568
OG0000112	Pran.g_01378	Syap.g_02023
OG0000113	Pran.g_01321	Syap.g_02714
OG0000114	Pran.g_00429	Syap.g_01255
OG0000115	Pran.g_00123	Syap.g_02004
OG0000116	Pran.g_00070	Syap.g_00241
OG0000117	Pran.g_01466	Syap.g_01889
OG0000118	Pran.g_00864	Syap.g_02286
OG0000120	Pran.g_00752	Syap.g_02075
OG0000121	Pran.g_00731	Syap.g_02471
OG0000123	Pran.g_01112	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Pran.g_01176	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Pran.g_01212	Syap.g_01046, Syap.g_01047
OG0000126	Pran.g_01252	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Pran.g_01268	Syap.g_00069
OG0000129	Pran.g_00381	Syap.g_00130, Syap.g_00129
OG0000130	Pran.g_00363	Syap.g_01688, Syap.g_01689
OG0000131	Pran.g_00288	Syap.g_02189
OG0000132	Pran.g_00268	Syap.g_01205
OG0000133	Pran.g_01872	Syap.g_02017
OG0000134	Pran.g_01838	Syap.g_02047
OG0000135	Pran.g_01812	Syap.g_02090
OG0000136	Pran.g_01739	Syap.g_00089
OG0000137	Pran.g_01703	Syap.g_02756
OG0000138	Pran.g_01683	Syap.g_00278
OG0000139	Pran.g_01641	Syap.g_00410
OG0000140	Pran.g_01640	Syap.g_01976
OG0000141	Pran.g_01571	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Pran.g_01543	Syap.g_00895, Syap.g_00894
OG0000143	Pran.g_01539	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Pran.g_01526	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Pran.g_01400	Syap.g_01860, Syap.g_01859
OG0000146	Pran.g_01377	Syap.g_02024
OG0000147	Pran.g_01376	Syap.g_02025
OG0000148	Pran.g_01327	Syap.g_02720
OG0000149	Pran.g_01297	Syap.g_00824
OG0000150	Pran.g_01289	Syap.g_01540
OG0000151	Pran.g_00439	Syap.g_00142
OG0000152	Pran.g_00487	Syap.g_02012
OG0000153	Pran.g_00506	Syap.g_02682
OG0000154	Pran.g_00542	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Pran.g_00040	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Pran.g_00887	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Pran.g_00886	Syap.g_00249, Syap.g_00286
OG0000158	Pran.g_00822	Syap.g_01075
OG0000159	Pran.g_00808	Syap.g_00700
OG0000160	Pran.g_00732	Syap.g_02470, Syap.g_02469
OG0000161	Pran.g_00726	Syap.g_02476
OG0000162	Pran.g_00720	Syap.g_02531
OG0000164	Pran.g_00994	Syap.g_01391, Syap.g_01392
OG0000165	Pran.g_01001	Syap.g_01381, Syap.g_01382
OG0000166	Pran.g_01069, Pran.g_01068	Syap.g_00512, Syap.g_01238
OG0000167	Pran.g_01135	Syap.g_02080
OG0000168	Pran.g_01144	Syap.g_01076
OG0000169	Pran.g_01154	Syap.g_01049, Syap.g_01093
OG0000170	Pran.g_01156	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Pran.g_01175	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Pran.g_01184	Syap.g_01143, Syap.g_00635
OG0000173	Pran.g_01199	Syap.g_01213, Syap.g_00982, Syap.g_00983
OG0000174	Pran.g_01226	Syap.g_02092
OG0000175	Pran.g_01236	Syap.g_02654
OG0000176	Pran.g_01261	Syap.g_00059
OG0000177	Pran.g_01262	Syap.g_00061, Syap.g_00060
OG0000178	Pran.g_01263	Syap.g_00062
OG0000179	Pran.g_00408	Syap.g_00077, Syap.g_02638
OG0000180	Pran.g_00407	Syap.g_00078, Syap.g_02640
OG0000181	Pran.g_00406	Syap.g_00079, Syap.g_02641
OG0000182	Pran.g_00405	Syap.g_00080, Syap.g_02642
OG0000183	Pran.g_00401	Syap.g_00084
OG0000184	Pran.g_00379	Syap.g_01337
OG0000185	Pran.g_00376	Syap.g_01322
OG0000186	Pran.g_00368	Syap.g_01684
OG0000187	Pran.g_00367	Syap.g_01686
OG0000188	Pran.g_00350	Syap.g_02547
OG0000191	Pran.g_00316	Syap.g_02233
OG0000192	Pran.g_00312	Syap.g_02224
OG0000193	Pran.g_00287	Syap.g_02187, Syap.g_02188
OG0000194	Pran.g_00283	Syap.g_02183
OG0000195	Pran.g_00281	Syap.g_02180
OG0000196	Pran.g_00271	Syap.g_01208, Syap.g_02167
OG0000197	Pran.g_00270	Syap.g_01207, Syap.g_02166
OG0000198	Pran.g_00269	Syap.g_01206
OG0000199	Pran.g_00262	Syap.g_01197
OG0000200	Pran.g_00248	Syap.g_01181
OG0000201	Pran.g_00240	Syap.g_02265
OG0000202	Pran.g_00239	Syap.g_02264
OG0000203	Pran.g_00238	Syap.g_01601
OG0000204	Pran.g_00237	Syap.g_01602
OG0000205	Pran.g_00230	Syap.g_01616
OG0000206	Pran.g_00225	Syap.g_01628
OG0000207	Pran.g_00223	Syap.g_01426, Syap.g_00424
OG0000208	Pran.g_00222	Syap.g_00426, Syap.g_01425
OG0000209	Pran.g_00213	Syap.g_01906
OG0000210	Pran.g_00212	Syap.g_01905
OG0000211	Pran.g_00199	Syap.g_01160
OG0000212	Pran.g_00193	Syap.g_02664
OG0000213	Pran.g_01935	Syap.g_00107, Syap.g_01599
OG0000214	Pran.g_01926	Syap.g_02344, Syap.g_02345
OG0000215	Pran.g_01902	Syap.g_01347, Syap.g_01629
OG0000216	Pran.g_01900	Syap.g_01634
OG0000217	Pran.g_01897	Syap.g_01638
OG0000218	Pran.g_01895	Syap.g_01641, Syap.g_01640
OG0000219	Pran.g_01894	Syap.g_01642, Syap.g_01643
OG0000220	Pran.g_01893	Syap.g_01645
OG0000221	Pran.g_01892	Syap.g_01646
OG0000222	Pran.g_01884	Syap.g_01669
OG0000223	Pran.g_01871	Syap.g_02072, Syap.g_02073
OG0000224	Pran.g_01869	Syap.g_02064
OG0000225	Pran.g_01849	Syap.g_00553, Syap.g_00552
OG0000226	Pran.g_01845	Syap.g_02029, Syap.g_02144
OG0000227	Pran.g_01843	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Pran.g_01840	Syap.g_00116, Syap.g_02041
OG0000229	Pran.g_01744	Syap.g_02059
OG0000230	Pran.g_01742	Syap.g_02061
OG0000231	Pran.g_01728	Syap.g_02533
OG0000232	Pran.g_01720	Syap.g_02510, Syap.g_02511
OG0000233	Pran.g_01715	Syap.g_02133
OG0000234	Pran.g_01702	Syap.g_02755
OG0000235	Pran.g_01699	Syap.g_00732, Syap.g_02258
OG0000236	Pran.g_01685	Syap.g_02238
OG0000237	Pran.g_01672	Syap.g_00262, Syap.g_00263
OG0000238	Pran.g_01666	Syap.g_00257, Syap.g_00258
OG0000239	Pran.g_01653	Syap.g_02744
OG0000240	Pran.g_01652	Syap.g_02742
OG0000241	Pran.g_01648	Syap.g_00888
OG0000242	Pran.g_01646	Syap.g_01455
OG0000243	Pran.g_01635	Syap.g_01938
OG0000244	Pran.g_01632	Syap.g_01146, Syap.g_01145
OG0000245	Pran.g_01630	Syap.g_01148
OG0000246	Pran.g_01626	Syap.g_00308
OG0000247	Pran.g_01616	Syap.g_00288, Syap.g_00293
OG0000248	Pran.g_01613	Syap.g_00290
OG0000249	Pran.g_01611	Syap.g_01296, Syap.g_01295
OG0000250	Pran.g_01606	Syap.g_01306
OG0000251	Pran.g_01587	Syap.g_00442
OG0000252	Pran.g_01584	Syap.g_01857
OG0000253	Pran.g_01583	Syap.g_00443
OG0000254	Pran.g_01567	Syap.g_01527, Syap.g_01528
OG0000256	Pran.g_01551	Syap.g_01287
OG0000257	Pran.g_01548	Syap.g_00886
OG0000258	Pran.g_01535	Syap.g_00907
OG0000260	Pran.g_01515	Syap.g_01970
OG0000261	Pran.g_01513	Syap.g_01962, Syap.g_01961
OG0000262	Pran.g_01509	Syap.g_01954
OG0000263	Pran.g_01497	Syap.g_00432, Syap.g_00433
OG0000266	Pran.g_01450	Syap.g_00519
OG0000267	Pran.g_01439	Syap.g_02333, Syap.g_02332
OG0000268	Pran.g_01438	Syap.g_00646
OG0000269	Pran.g_01348	Syap.g_00188
OG0000270	Pran.g_01345	Syap.g_00192
OG0000271	Pran.g_01337	Syap.g_00200, Syap.g_00201
OG0000272	Pran.g_01336	Syap.g_00202
OG0000273	Pran.g_01313	Syap.g_02703
OG0000274	Pran.g_01312	Syap.g_02702
OG0000275	Pran.g_01310	Syap.g_01847
OG0000276	Pran.g_01305	Syap.g_01839, Syap.g_01838
OG0000277	Pran.g_01304	Syap.g_01837
OG0000278	Pran.g_01301	Syap.g_01834
OG0000279	Pran.g_01294	Syap.g_00829, Syap.g_00830
OG0000280	Pran.g_01293	Syap.g_00365
OG0000281	Pran.g_01287	Syap.g_01977
OG0000282	Pran.g_00431	Syap.g_01252
OG0000283	Pran.g_00464	Syap.g_01728
OG0000284	Pran.g_00469	Syap.g_01736
OG0000285	Pran.g_00474	Syap.g_01746, Syap.g_01744
OG0000286	Pran.g_00486	Syap.g_02014, Syap.g_02013
OG0000288	Pran.g_00541	Syap.g_02764, Syap.g_02763
OG0000289	Pran.g_00552	Syap.g_02784
OG0000290	Pran.g_00565	Syap.g_01552
OG0000291	Pran.g_00567	Syap.g_01554
OG0000292	Pran.g_00135	Syap.g_02314
OG0000293	Pran.g_00069	Syap.g_00240
OG0000294	Pran.g_00068	Syap.g_00239
OG0000295	Pran.g_00048	Syap.g_00206
OG0000296	Pran.g_00046	Syap.g_00204
OG0000297	Pran.g_00038	Syap.g_01887
OG0000298	Pran.g_00037	Syap.g_01888
OG0000299	Pran.g_00020	Syap.g_02620
OG0000302	Pran.g_00014	Syap.g_02444, Syap.g_02445
OG0000303	Pran.g_00007	Syap.g_02435
OG0000304	Pran.g_00003	Syap.g_02430
OG0000305	Pran.g_00848	Syap.g_01557
OG0000306	Pran.g_00846	Syap.g_01966
OG0000307	Pran.g_00832	Syap.g_02517
OG0000308	Pran.g_00831	Syap.g_02514, Syap.g_02515
OG0000309	Pran.g_00827	Syap.g_02198, Syap.g_02446
OG0000310	Pran.g_00748	Syap.g_02660, Syap.g_02661
OG0000311	Pran.g_00746	Syap.g_02657
OG0000312	Pran.g_00743	Syap.g_02114
OG0000313	Pran.g_00729	Syap.g_02473
OG0000314	Pran.g_00706	Syap.g_00007
OG0000315	Pran.g_00696	Syap.g_00017
OG0000316	Pran.g_00676	Syap.g_00030
OG0000317	Pran.g_00968	Syap.g_00618
OG0000318	Pran.g_00971	Syap.g_00622, Syap.g_02786
OG0000319	Pran.g_00984	Syap.g_01764, Syap.g_01771
OG0000320	Pran.g_00986	Syap.g_01761, Syap.g_01769
OG0000321	Pran.g_00987	Syap.g_01760, Syap.g_01768
OG0000322	Pran.g_00988	Syap.g_01759, Syap.g_01767
OG0000323	Pran.g_00997	Syap.g_01389
OG0000324	Pran.g_01023	Syap.g_01503
OG0000325	Pran.g_01033	Syap.g_02680
OG0000326	Pran.g_01039	Syap.g_00544
OG0000327	Pran.g_01063	Syap.g_01233, Syap.g_01913
OG0000328	Pran.g_01064	Syap.g_01234, Syap.g_01912
OG0000329	Pran.g_01082	Syap.g_00498
OG0000330	Pran.g_01083	Syap.g_00497
OG0000331	Pran.g_01084	Syap.g_00496
OG0000332	Pran.g_01098	Syap.g_00481
OG0000333	Pran.g_01100	Syap.g_00478
OG0000334	Pran.g_01108	Syap.g_00468
OG0000335	Pran.g_01113	Syap.g_00101, Syap.g_00463
OG0000336	Pran.g_01117	Syap.g_00417, Syap.g_00607
OG0000337	Pran.g_01133	Syap.g_01054
OG0000338	Pran.g_01134	Syap.g_01059
OG0000339	Pran.g_01138	Syap.g_01068
OG0000340	Pran.g_01145	Syap.g_01077
OG0000341	Pran.g_01147	Syap.g_01079
OG0000342	Pran.g_01148	Syap.g_01080, Syap.g_02477
OG0000343	Pran.g_01149	Syap.g_01086, Syap.g_02078
OG0000344	Pran.g_01152	Syap.g_01091
OG0000345	Pran.g_01157	Syap.g_01107, Syap.g_01470
OG0000346	Pran.g_01161	Syap.g_02423, Syap.g_01113
OG0000347	Pran.g_01177	Syap.g_01131, Syap.g_02459
OG0000348	Pran.g_01187	Syap.g_00632
OG0000349	Pran.g_01203	Syap.g_00110, Syap.g_01813
OG0000351	Pran.g_01239	Syap.g_02594
OG0000352	Pran.g_01240	Syap.g_02596, Syap.g_02597
OG0000353	Pran.g_01256	Syap.g_00054
OG0000355	Pran.g_01258	Syap.g_00056
OG0000356	Pran.g_01259	Syap.g_00057
OG0000357	Pran.g_01260	Syap.g_00058
OG0000358	Pran.g_01264	Syap.g_00063
OG0000359	Pran.g_01265	Syap.g_00065
OG0000360	Pran.g_01266	Syap.g_00067
OG0000361	Pran.g_01267	Syap.g_00068
OG0000362	Pran.g_01269	Syap.g_00070
OG0000363	Pran.g_00410	Syap.g_00072
OG0000364	Pran.g_00409	Syap.g_00620
OG0000365	Pran.g_00404	Syap.g_00081
OG0000366	Pran.g_00403	Syap.g_00082
OG0000367	Pran.g_00402	Syap.g_00083
OG0000368	Pran.g_00400	Syap.g_00085
OG0000369	Pran.g_00399	Syap.g_00086
OG0000370	Pran.g_00398	Syap.g_00087
OG0000372	Pran.g_00389	Syap.g_01805
OG0000373	Pran.g_00388	Syap.g_01806
OG0000374	Pran.g_00387	Syap.g_01807
OG0000375	Pran.g_00385	Syap.g_01808
OG0000376	Pran.g_00383	Syap.g_01811
OG0000377	Pran.g_00380	Syap.g_00128
OG0000378	Pran.g_00378	Syap.g_01326
OG0000380	Pran.g_00366	Syap.g_01687
OG0000381	Pran.g_00362	Syap.g_01690
OG0000382	Pran.g_00351	Syap.g_02548
OG0000383	Pran.g_00349	Syap.g_02359
OG0000384	Pran.g_00348	Syap.g_02360
OG0000385	Pran.g_00347	Syap.g_02361
OG0000386	Pran.g_00346	Syap.g_02362
OG0000387	Pran.g_00334	Syap.g_01864
OG0000391	Pran.g_00317	Syap.g_02234
OG0000392	Pran.g_00313	Syap.g_02225
OG0000393	Pran.g_00311	Syap.g_02222
OG0000394	Pran.g_00310	Syap.g_02221
OG0000395	Pran.g_00309	Syap.g_02220
OG0000396	Pran.g_00307	Syap.g_02217
OG0000397	Pran.g_00305	Syap.g_02215
OG0000398	Pran.g_00303	Syap.g_02211
OG0000399	Pran.g_00302	Syap.g_02210
OG0000400	Pran.g_00301	Syap.g_02209
OG0000401	Pran.g_00300	Syap.g_02208
OG0000402	Pran.g_00298	Syap.g_02206
OG0000403	Pran.g_00297	Syap.g_02205
OG0000404	Pran.g_00296	Syap.g_02204, Syap.g_02618
OG0000405	Pran.g_00292	Syap.g_02191
OG0000406	Pran.g_00286	Syap.g_02186
OG0000407	Pran.g_00285	Syap.g_02185
OG0000408	Pran.g_00282	Syap.g_02181, Syap.g_02182
OG0000409	Pran.g_00280	Syap.g_02179
OG0000410	Pran.g_00279	Syap.g_02178
OG0000411	Pran.g_00278	Syap.g_02177
OG0000412	Pran.g_00277	Syap.g_02176
OG0000413	Pran.g_00276	Syap.g_02174
OG0000414	Pran.g_00275	Syap.g_02173
OG0000415	Pran.g_00274	Syap.g_02172
OG0000416	Pran.g_00273	Syap.g_02171
OG0000417	Pran.g_00272	Syap.g_02169
OG0000418	Pran.g_00267	Syap.g_01204
OG0000419	Pran.g_00265	Syap.g_01201
OG0000420	Pran.g_00264	Syap.g_01199
OG0000421	Pran.g_00259	Syap.g_01195
OG0000422	Pran.g_00258	Syap.g_01194
OG0000423	Pran.g_00257	Syap.g_01193
OG0000424	Pran.g_00256	Syap.g_01192
OG0000425	Pran.g_00255	Syap.g_01191
OG0000426	Pran.g_00254	Syap.g_01190
OG0000427	Pran.g_00253	Syap.g_01189
OG0000428	Pran.g_00251	Syap.g_01186
OG0000429	Pran.g_00250	Syap.g_01184
OG0000430	Pran.g_00249	Syap.g_01182
OG0000431	Pran.g_00247	Syap.g_01179
OG0000432	Pran.g_00244	Syap.g_02277
OG0000433	Pran.g_00243	Syap.g_02272
OG0000434	Pran.g_00242	Syap.g_02271
OG0000435	Pran.g_00241	Syap.g_02268
OG0000436	Pran.g_00236	Syap.g_01607
OG0000437	Pran.g_00235	Syap.g_01608
OG0000438	Pran.g_00234	Syap.g_01612
OG0000439	Pran.g_00232	Syap.g_01614
OG0000440	Pran.g_00231	Syap.g_01615
OG0000441	Pran.g_00228	Syap.g_01619
OG0000442	Pran.g_00227	Syap.g_01620
OG0000443	Pran.g_00226	Syap.g_01622
OG0000444	Pran.g_00221	Syap.g_01424
OG0000445	Pran.g_00220	Syap.g_01421
OG0000446	Pran.g_00219	Syap.g_01419
OG0000447	Pran.g_00218	Syap.g_01410
OG0000448	Pran.g_00217	Syap.g_01407
OG0000449	Pran.g_00216	Syap.g_01406
OG0000450	Pran.g_00215	Syap.g_01909
OG0000451	Pran.g_00214	Syap.g_01908
OG0000452	Pran.g_00211	Syap.g_01904
OG0000453	Pran.g_00210	Syap.g_01903
OG0000454	Pran.g_00209	Syap.g_01902
OG0000455	Pran.g_00208	Syap.g_01901
OG0000456	Pran.g_00207	Syap.g_01900
OG0000457	Pran.g_00206	Syap.g_01896
OG0000458	Pran.g_00205	Syap.g_01895
OG0000459	Pran.g_00204	Syap.g_01894
OG0000460	Pran.g_00197	Syap.g_01159
OG0000461	Pran.g_01950	Syap.g_01575
OG0000462	Pran.g_01948	Syap.g_01578
OG0000463	Pran.g_01947	Syap.g_01579
OG0000464	Pran.g_01946	Syap.g_01580
OG0000465	Pran.g_01945	Syap.g_01582
OG0000466	Pran.g_01942	Syap.g_01587
OG0000467	Pran.g_01941	Syap.g_01588
OG0000468	Pran.g_01939	Syap.g_01593
OG0000469	Pran.g_01931	Syap.g_02352
OG0000470	Pran.g_01929	Syap.g_02349
OG0000471	Pran.g_01928	Syap.g_02348
OG0000472	Pran.g_01927	Syap.g_02347
OG0000473	Pran.g_01925	Syap.g_02343
OG0000474	Pran.g_01924	Syap.g_02342
OG0000475	Pran.g_01923	Syap.g_02341
OG0000476	Pran.g_01922	Syap.g_02339
OG0000477	Pran.g_01919	Syap.g_01367
OG0000478	Pran.g_01918	Syap.g_01366
OG0000479	Pran.g_01917	Syap.g_01364
OG0000480	Pran.g_01912	Syap.g_01357
OG0000482	Pran.g_01909	Syap.g_01355
OG0000483	Pran.g_01906	Syap.g_01344
OG0000484	Pran.g_01905	Syap.g_01350
OG0000485	Pran.g_01904	Syap.g_01349
OG0000487	Pran.g_01899	Syap.g_01635
OG0000488	Pran.g_01896	Syap.g_01639
OG0000489	Pran.g_01891	Syap.g_02482
OG0000490	Pran.g_01886	Syap.g_01673
OG0000491	Pran.g_01885	Syap.g_01670
OG0000492	Pran.g_01883	Syap.g_01668
OG0000493	Pran.g_01882	Syap.g_01667
OG0000494	Pran.g_01881	Syap.g_01666
OG0000495	Pran.g_01880	Syap.g_01665
OG0000496	Pran.g_01879	Syap.g_01663
OG0000497	Pran.g_01878	Syap.g_01662
OG0000498	Pran.g_01877	Syap.g_01661
OG0000499	Pran.g_01876	Syap.g_01660
OG0000500	Pran.g_01875	Syap.g_01659
OG0000501	Pran.g_01873	Syap.g_01656
OG0000502	Pran.g_01870	Syap.g_02066
OG0000503	Pran.g_01860	Syap.g_00569
OG0000504	Pran.g_01859	Syap.g_00567
OG0000505	Pran.g_01858	Syap.g_00566
OG0000506	Pran.g_01857	Syap.g_00564
OG0000507	Pran.g_01854	Syap.g_00558
OG0000508	Pran.g_01850	Syap.g_00554
OG0000509	Pran.g_01848	Syap.g_00551
OG0000510	Pran.g_01847	Syap.g_00550
OG0000511	Pran.g_01846	Syap.g_00548
OG0000512	Pran.g_01844	Syap.g_02145
OG0000513	Pran.g_01837	Syap.g_02048
OG0000514	Pran.g_01749	Syap.g_02051
OG0000515	Pran.g_01748	Syap.g_02052
OG0000516	Pran.g_01747	Syap.g_02054
OG0000517	Pran.g_01745	Syap.g_02057
OG0000519	Pran.g_01733	Syap.g_00457
OG0000520	Pran.g_01729	Syap.g_00456
OG0000521	Pran.g_01724	Syap.g_01997
OG0000522	Pran.g_01723	Syap.g_01995
OG0000523	Pran.g_01722	Syap.g_02507
OG0000524	Pran.g_01717	Syap.g_02135
OG0000525	Pran.g_01714	Syap.g_02159
OG0000526	Pran.g_01713	Syap.g_02157
OG0000527	Pran.g_01705	Syap.g_02758
OG0000528	Pran.g_01700	Syap.g_02261
OG0000529	Pran.g_01697	Syap.g_02254
OG0000530	Pran.g_01694	Syap.g_02252
OG0000531	Pran.g_01693	Syap.g_02251
OG0000532	Pran.g_01691	Syap.g_02247
OG0000533	Pran.g_01690	Syap.g_02244
OG0000534	Pran.g_01689	Syap.g_02243
OG0000535	Pran.g_01688	Syap.g_02242
OG0000536	Pran.g_01687	Syap.g_02241
OG0000537	Pran.g_01686	Syap.g_02240
OG0000538	Pran.g_01678	Syap.g_00271
OG0000539	Pran.g_01677	Syap.g_00270
OG0000540	Pran.g_01676	Syap.g_00269
OG0000541	Pran.g_01675	Syap.g_00268
OG0000542	Pran.g_01673	Syap.g_00264
OG0000543	Pran.g_01671	Syap.g_00261
OG0000544	Pran.g_01670	Syap.g_00260
OG0000545	Pran.g_01668	Syap.g_00259
OG0000546	Pran.g_01665	Syap.g_00256
OG0000547	Pran.g_01663	Syap.g_00254
OG0000548	Pran.g_01662	Syap.g_00253
OG0000549	Pran.g_01660	Syap.g_00758
OG0000550	Pran.g_01655	Syap.g_02747
OG0000551	Pran.g_01651	Syap.g_02739
OG0000552	Pran.g_01650	Syap.g_02738
OG0000553	Pran.g_01649	Syap.g_02735
OG0000554	Pran.g_01644	Syap.g_01450
OG0000555	Pran.g_01636	Syap.g_01941
OG0000556	Pran.g_01634	Syap.g_01933
OG0000557	Pran.g_01633	Syap.g_01931
OG0000558	Pran.g_01631	Syap.g_01147
OG0000560	Pran.g_01624	Syap.g_00305
OG0000561	Pran.g_01623	Syap.g_00304
OG0000562	Pran.g_01622	Syap.g_00302
OG0000563	Pran.g_01621	Syap.g_00301
OG0000564	Pran.g_01620	Syap.g_00300
OG0000565	Pran.g_01617	Syap.g_00296
OG0000566	Pran.g_01614	Syap.g_00291
OG0000567	Pran.g_01610	Syap.g_01297
OG0000568	Pran.g_01609	Syap.g_01302
OG0000569	Pran.g_01608	Syap.g_01303
OG0000570	Pran.g_01607	Syap.g_01304
OG0000571	Pran.g_01605	Syap.g_01307
OG0000573	Pran.g_01586	Syap.g_00765
OG0000574	Pran.g_01585	Syap.g_00759
OG0000575	Pran.g_01581	Syap.g_00445
OG0000576	Pran.g_01579	Syap.g_00450
OG0000577	Pran.g_01578	Syap.g_00451
OG0000578	Pran.g_01577	Syap.g_00452
OG0000579	Pran.g_01576	Syap.g_00453
OG0000580	Pran.g_01575	Syap.g_00454
OG0000581	Pran.g_01573	Syap.g_01521
OG0000582	Pran.g_01570	Syap.g_01533
OG0000583	Pran.g_01569	Syap.g_01532
OG0000584	Pran.g_01568	Syap.g_01530
OG0000585	Pran.g_01566	Syap.g_01526
OG0000586	Pran.g_01565	Syap.g_01525
OG0000587	Pran.g_01564	Syap.g_01523
OG0000588	Pran.g_01560	Syap.g_00776
