Orthogroup	Pran	Syaq
OG0000072	Pran.g_00261	Syaq.g_01397
OG0000073	Pran.g_01679	Syaq.g_01795
OG0000075	Pran.g_01137	Syaq.g_00986
OG0000076	Pran.g_01160	Syaq.g_01028
OG0000077	Pran.g_00354	Syaq.g_01547
OG0000078	Pran.g_00194	Syaq.g_01585
OG0000079	Pran.g_01940	Syaq.g_00721
OG0000081	Pran.g_01647	Syaq.g_01893
OG0000082	Pran.g_01593	Syaq.g_01975
OG0000084	Pran.g_00737	Syaq.g_00367
OG0000085	Pran.g_00963	Syaq.g_01683
OG0000086	Pran.g_00344	Syaq.g_01525
OG0000087	Pran.g_00295	Syaq.g_01438
OG0000088	Pran.g_00266	Syaq.g_01402
OG0000089	Pran.g_01839	Syaq.g_00529
OG0000090	Pran.g_01645	Syaq.g_01838
OG0000091	Pran.g_01536	Syaq.g_02090
OG0000093	Pran.g_00455	Syaq.g_02323
OG0000094	Pran.g_00549	Syaq.g_00056, Syaq.g_02554
OG0000095	Pran.g_00903	Syaq.g_02679
OG0000097	Pran.g_00019	Syaq.g_00167
OG0000098	Pran.g_00855	Syaq.g_02221, Syaq.g_01849
OG0000099	Pran.g_00806	Syaq.g_00882
OG0000100	Pran.g_00659	Syaq.g_02371
OG0000101	Pran.g_01105	Syaq.g_00607
OG0000102	Pran.g_01165	Syaq.g_01033
OG0000103	Pran.g_01244	Syaq.g_01170
OG0000104	Pran.g_01253	Syaq.g_01154
OG0000105	Pran.g_01920	Syaq.g_00754
OG0000106	Pran.g_01824	Syaq.g_01863
OG0000107	Pran.g_01808	Syaq.g_00694
OG0000108	Pran.g_01698	Syaq.g_01772
OG0000109	Pran.g_01684	Syaq.g_01788
OG0000110	Pran.g_01603	Syaq.g_01962
OG0000111	Pran.g_01479	Syaq.g_02606
OG0000112	Pran.g_01378	Syaq.g_02476
OG0000114	Pran.g_00429	Syaq.g_02269
OG0000115	Pran.g_00123	Syaq.g_00395
OG0000116	Pran.g_00070	Syaq.g_00263
OG0000117	Pran.g_01466	Syaq.g_00203
OG0000118	Pran.g_00864	Syaq.g_00325, Syaq.g_00316
OG0000120	Pran.g_00752	Syaq.g_00883
OG0000121	Pran.g_00731	Syaq.g_00375
OG0000122	Pran.g_00693	Syaq.g_02118
OG0000123	Pran.g_01112	Syaq.g_00599
OG0000124	Pran.g_01176	Syaq.g_01055
OG0000125	Pran.g_01212	Syaq.g_01256
OG0000126	Pran.g_01252	Syaq.g_01156
OG0000128	Pran.g_01268	Syaq.g_01138
OG0000129	Pran.g_00381	Syaq.g_01269
OG0000130	Pran.g_00363	Syaq.g_01559
OG0000131	Pran.g_00288	Syaq.g_01427, Syaq.g_01424
OG0000132	Pran.g_00268	Syaq.g_01036, Syaq.g_01404
OG0000133	Pran.g_01872	Syaq.g_02481
OG0000134	Pran.g_01838	Syaq.g_00526
OG0000135	Pran.g_01812	Syaq.g_01227
OG0000136	Pran.g_01739	Syaq.g_00496
OG0000137	Pran.g_01703	Syaq.g_00442
OG0000138	Pran.g_01683	Syaq.g_01789
OG0000139	Pran.g_01641	Syaq.g_01844
OG0000140	Pran.g_01640	Syaq.g_01848
OG0000141	Pran.g_01571	Syaq.g_02010
OG0000142	Pran.g_01543	Syaq.g_02082
OG0000143	Pran.g_01539	Syaq.g_02086
OG0000144	Pran.g_01526	Syaq.g_02152
OG0000145	Pran.g_01400	Syaq.g_01796
OG0000146	Pran.g_01377	Syaq.g_02475
OG0000147	Pran.g_01376	Syaq.g_02474
OG0000148	Pran.g_01327	Syaq.g_02359
OG0000149	Pran.g_01297	Syaq.g_02395
OG0000150	Pran.g_01289	Syaq.g_02011
OG0000151	Pran.g_00439	Syaq.g_02283
OG0000152	Pran.g_00487	Syaq.g_02485
OG0000153	Pran.g_00506	Syaq.g_02518
OG0000154	Pran.g_00542	Syaq.g_00066
OG0000155	Pran.g_00040	Syaq.g_00212
OG0000156	Pran.g_00887	Syaq.g_00281
OG0000157	Pran.g_00886	Syaq.g_00282
OG0000158	Pran.g_00822	Syaq.g_01003
OG0000159	Pran.g_00808	Syaq.g_00918, Syaq.g_00941
OG0000160	Pran.g_00732	Syaq.g_00374
OG0000161	Pran.g_00726	Syaq.g_00382
OG0000162	Pran.g_00720	Syaq.g_00389
OG0000163	Pran.g_00686	Syaq.g_02373, Syaq.g_01730
OG0000164	Pran.g_00994	Syaq.g_01642
OG0000165	Pran.g_01001	Syaq.g_01630
OG0000166	Pran.g_01069, Pran.g_01068	Syaq.g_00647
OG0000167	Pran.g_01135	Syaq.g_00983
OG0000168	Pran.g_01144	Syaq.g_01004
OG0000169	Pran.g_01154	Syaq.g_01016
OG0000170	Pran.g_01156	Syaq.g_01023
OG0000171	Pran.g_01175	Syaq.g_01052
OG0000172	Pran.g_01184	Syaq.g_01074
OG0000173	Pran.g_01199	Syaq.g_01092
OG0000174	Pran.g_01226	Syaq.g_01224
OG0000175	Pran.g_01236	Syaq.g_01183
OG0000176	Pran.g_01261	Syaq.g_01146
OG0000177	Pran.g_01262	Syaq.g_01145
OG0000178	Pran.g_01263	Syaq.g_01144
OG0000179	Pran.g_00408	Syaq.g_01129
OG0000180	Pran.g_00407	Syaq.g_01128
OG0000181	Pran.g_00406	Syaq.g_01127
OG0000182	Pran.g_00405	Syaq.g_01126
OG0000183	Pran.g_00401	Syaq.g_01122
OG0000184	Pran.g_00379	Syaq.g_01277
OG0000185	Pran.g_00376	Syaq.g_01290
OG0000186	Pran.g_00368	Syaq.g_01563
OG0000187	Pran.g_00367	Syaq.g_01561
OG0000188	Pran.g_00350	Syaq.g_01539
OG0000189	Pran.g_00337	Syaq.g_01499, Syaq.g_00122
OG0000190	Pran.g_00336	Syaq.g_01497
OG0000191	Pran.g_00316	Syaq.g_01467
OG0000192	Pran.g_00312	Syaq.g_01462
OG0000193	Pran.g_00287	Syaq.g_01423
OG0000194	Pran.g_00283	Syaq.g_01420
OG0000195	Pran.g_00281	Syaq.g_01418
OG0000196	Pran.g_00271	Syaq.g_01407
OG0000197	Pran.g_00270	Syaq.g_01406
OG0000198	Pran.g_00269	Syaq.g_01405
OG0000199	Pran.g_00262	Syaq.g_01398
OG0000200	Pran.g_00248	Syaq.g_01382
OG0000201	Pran.g_00240	Syaq.g_01365
OG0000202	Pran.g_00239	Syaq.g_01364
OG0000203	Pran.g_00238	Syaq.g_01363
OG0000204	Pran.g_00237	Syaq.g_01362
OG0000205	Pran.g_00230	Syaq.g_01355
OG0000206	Pran.g_00225	Syaq.g_01345
OG0000207	Pran.g_00223	Syaq.g_01338
OG0000208	Pran.g_00222	Syaq.g_01337
OG0000209	Pran.g_00213	Syaq.g_01310
OG0000210	Pran.g_00212	Syaq.g_01309
OG0000211	Pran.g_00199	Syaq.g_01570
OG0000212	Pran.g_00193	Syaq.g_01586
OG0000213	Pran.g_01935	Syaq.g_00729
OG0000214	Pran.g_01926	Syaq.g_00745
OG0000215	Pran.g_01902	Syaq.g_00777
OG0000216	Pran.g_01900	Syaq.g_00781
OG0000217	Pran.g_01897	Syaq.g_00844
OG0000218	Pran.g_01895	Syaq.g_00846
OG0000219	Pran.g_01894	Syaq.g_00847
OG0000220	Pran.g_01893	Syaq.g_00848
OG0000221	Pran.g_01892	Syaq.g_00856
OG0000222	Pran.g_01884	Syaq.g_00868
OG0000223	Pran.g_01871	Syaq.g_00946
OG0000224	Pran.g_01869	Syaq.g_00950
OG0000225	Pran.g_01849	Syaq.g_00543
OG0000226	Pran.g_01845	Syaq.g_00536
OG0000227	Pran.g_01843	Syaq.g_00534
OG0000228	Pran.g_01840	Syaq.g_00531
OG0000229	Pran.g_01744	Syaq.g_00501
OG0000230	Pran.g_01742	Syaq.g_00499
OG0000231	Pran.g_01728	Syaq.g_00485
OG0000232	Pran.g_01720	Syaq.g_00472
OG0000233	Pran.g_01715	Syaq.g_00464
OG0000234	Pran.g_01702	Syaq.g_00440
OG0000235	Pran.g_01699	Syaq.g_01771
OG0000236	Pran.g_01685	Syaq.g_01787
OG0000237	Pran.g_01672	Syaq.g_01805
OG0000238	Pran.g_01666	Syaq.g_01810
OG0000239	Pran.g_01653	Syaq.g_01826
OG0000240	Pran.g_01652	Syaq.g_01827
OG0000241	Pran.g_01648	Syaq.g_02074
OG0000242	Pran.g_01646	Syaq.g_01836
OG0000243	Pran.g_01635	Syaq.g_01922
OG0000244	Pran.g_01632	Syaq.g_01928
OG0000245	Pran.g_01630	Syaq.g_01930
OG0000246	Pran.g_01626	Syaq.g_01934
OG0000247	Pran.g_01616	Syaq.g_01945
OG0000248	Pran.g_01613	Syaq.g_01948
OG0000249	Pran.g_01611	Syaq.g_01950
OG0000250	Pran.g_01606	Syaq.g_01958
OG0000251	Pran.g_01587	Syaq.g_01984
OG0000252	Pran.g_01584	Syaq.g_01987
OG0000253	Pran.g_01583	Syaq.g_01989
OG0000254	Pran.g_01567	Syaq.g_02016
OG0000255	Pran.g_01561	Syaq.g_02041
OG0000256	Pran.g_01551	Syaq.g_02068
OG0000257	Pran.g_01548	Syaq.g_02073
OG0000258	Pran.g_01535	Syaq.g_02095
OG0000259	Pran.g_01518	Syaq.g_02239
OG0000260	Pran.g_01515	Syaq.g_02242
OG0000261	Pran.g_01513	Syaq.g_02245
OG0000262	Pran.g_01509	Syaq.g_02250
OG0000263	Pran.g_01497	Syaq.g_00185
OG0000264	Pran.g_01487	Syaq.g_02582
OG0000266	Pran.g_01450	Syaq.g_00037
OG0000267	Pran.g_01439	Syaq.g_02430
OG0000268	Pran.g_01438	Syaq.g_02431
OG0000269	Pran.g_01348	Syaq.g_02335
OG0000270	Pran.g_01345	Syaq.g_02338
OG0000271	Pran.g_01337	Syaq.g_02346
OG0000272	Pran.g_01336	Syaq.g_02347
OG0000273	Pran.g_01313	Syaq.g_02376
OG0000274	Pran.g_01312	Syaq.g_02377
OG0000275	Pran.g_01310	Syaq.g_02380
OG0000276	Pran.g_01305	Syaq.g_02387
OG0000277	Pran.g_01304	Syaq.g_02388
OG0000278	Pran.g_01301	Syaq.g_02391
OG0000279	Pran.g_01294	Syaq.g_02401
OG0000280	Pran.g_01293	Syaq.g_02410
OG0000281	Pran.g_01287	Syaq.g_02224
OG0000282	Pran.g_00431	Syaq.g_02271
OG0000283	Pran.g_00464	Syaq.g_02445
OG0000284	Pran.g_00469	Syaq.g_02450
OG0000285	Pran.g_00474	Syaq.g_02466
OG0000286	Pran.g_00486	Syaq.g_02484
OG0000287	Pran.g_00503	Syaq.g_02511
OG0000288	Pran.g_00541	Syaq.g_00067
OG0000289	Pran.g_00552	Syaq.g_00053
OG0000290	Pran.g_00565	Syaq.g_02682
OG0000291	Pran.g_00567	Syaq.g_02680
OG0000292	Pran.g_00135	Syaq.g_01157
OG0000293	Pran.g_00069	Syaq.g_00262
OG0000294	Pran.g_00068	Syaq.g_00261
OG0000295	Pran.g_00048	Syaq.g_00220
OG0000296	Pran.g_00046	Syaq.g_00218
OG0000297	Pran.g_00038	Syaq.g_00205
OG0000298	Pran.g_00037	Syaq.g_00204
OG0000299	Pran.g_00020	Syaq.g_00171
OG0000300	Pran.g_00017	Syaq.g_00164
OG0000301	Pran.g_00016	Syaq.g_00163
OG0000302	Pran.g_00014	Syaq.g_00162
OG0000303	Pran.g_00007	Syaq.g_00152
OG0000304	Pran.g_00003	Syaq.g_00146
OG0000305	Pran.g_00848	Syaq.g_02677
OG0000306	Pran.g_00846	Syaq.g_01861
OG0000307	Pran.g_00832	Syaq.g_01754
OG0000308	Pran.g_00831	Syaq.g_01752
OG0000309	Pran.g_00827	Syaq.g_01747
OG0000310	Pran.g_00748	Syaq.g_00347
OG0000311	Pran.g_00746	Syaq.g_00352
OG0000312	Pran.g_00743	Syaq.g_00359
OG0000313	Pran.g_00729	Syaq.g_00379
OG0000314	Pran.g_00706	Syaq.g_00408
OG0000315	Pran.g_00696	Syaq.g_00418
OG0000316	Pran.g_00676	Syaq.g_01716
OG0000317	Pran.g_00968	Syaq.g_01675
OG0000318	Pran.g_00971	Syaq.g_01672
OG0000319	Pran.g_00984	Syaq.g_01657
OG0000320	Pran.g_00986	Syaq.g_01655
OG0000321	Pran.g_00987	Syaq.g_01654
OG0000322	Pran.g_00988	Syaq.g_01653
OG0000323	Pran.g_00997	Syaq.g_01638
OG0000324	Pran.g_01023	Syaq.g_01605
OG0000325	Pran.g_01033	Syaq.g_00693
OG0000326	Pran.g_01039	Syaq.g_00686
OG0000327	Pran.g_01063	Syaq.g_00652
OG0000328	Pran.g_01064	Syaq.g_00651
OG0000329	Pran.g_01082	Syaq.g_00633
OG0000330	Pran.g_01083	Syaq.g_00632
OG0000331	Pran.g_01084	Syaq.g_00631
OG0000332	Pran.g_01098	Syaq.g_00616
OG0000333	Pran.g_01100	Syaq.g_00613
OG0000334	Pran.g_01108	Syaq.g_00603
OG0000335	Pran.g_01113	Syaq.g_00598
OG0000336	Pran.g_01117	Syaq.g_00594
OG0000337	Pran.g_01133	Syaq.g_00975
OG0000338	Pran.g_01134	Syaq.g_00981
OG0000339	Pran.g_01138	Syaq.g_00988
OG0000340	Pran.g_01145	Syaq.g_01005
OG0000341	Pran.g_01147	Syaq.g_01007
OG0000342	Pran.g_01148	Syaq.g_01008
OG0000343	Pran.g_01149	Syaq.g_01010
OG0000344	Pran.g_01152	Syaq.g_01014
OG0000345	Pran.g_01157	Syaq.g_01024
OG0000346	Pran.g_01161	Syaq.g_01029
OG0000347	Pran.g_01177	Syaq.g_01057
OG0000348	Pran.g_01187	Syaq.g_01070
OG0000349	Pran.g_01203	Syaq.g_01099
OG0000350	Pran.g_01222	Syaq.g_00679
OG0000351	Pran.g_01239	Syaq.g_01179
OG0000352	Pran.g_01240	Syaq.g_01178
OG0000353	Pran.g_01256	Syaq.g_01151
OG0000355	Pran.g_01258	Syaq.g_01149
OG0000356	Pran.g_01259	Syaq.g_01148
OG0000357	Pran.g_01260	Syaq.g_01147
OG0000358	Pran.g_01264	Syaq.g_01143
OG0000359	Pran.g_01265	Syaq.g_01141
OG0000360	Pran.g_01266	Syaq.g_01140
OG0000361	Pran.g_01267	Syaq.g_01139
OG0000362	Pran.g_01269	Syaq.g_01137
OG0000363	Pran.g_00410	Syaq.g_01135
OG0000364	Pran.g_00409	Syaq.g_01134
OG0000365	Pran.g_00404	Syaq.g_01125
OG0000366	Pran.g_00403	Syaq.g_01124
OG0000367	Pran.g_00402	Syaq.g_01123
OG0000368	Pran.g_00400	Syaq.g_01121
OG0000369	Pran.g_00399	Syaq.g_01120
OG0000370	Pran.g_00398	Syaq.g_01119
OG0000371	Pran.g_00392	Syaq.g_01111
OG0000372	Pran.g_00389	Syaq.g_01106
OG0000373	Pran.g_00388	Syaq.g_01105
OG0000374	Pran.g_00387	Syaq.g_01104
OG0000375	Pran.g_00385	Syaq.g_01103
OG0000376	Pran.g_00383	Syaq.g_01101
OG0000377	Pran.g_00380	Syaq.g_01270
OG0000378	Pran.g_00378	Syaq.g_01286
OG0000379	Pran.g_00375	Syaq.g_01291
OG0000380	Pran.g_00366	Syaq.g_01560
OG0000381	Pran.g_00362	Syaq.g_01558
OG0000382	Pran.g_00351	Syaq.g_01540
OG0000383	Pran.g_00349	Syaq.g_01535
OG0000384	Pran.g_00348	Syaq.g_01534
OG0000385	Pran.g_00347	Syaq.g_01533
OG0000386	Pran.g_00346	Syaq.g_01532
OG0000387	Pran.g_00334	Syaq.g_01495
OG0000388	Pran.g_00331	Syaq.g_01491
OG0000389	Pran.g_00327	Syaq.g_01488
OG0000390	Pran.g_00320	Syaq.g_01473
OG0000391	Pran.g_00317	Syaq.g_01468
OG0000392	Pran.g_00313	Syaq.g_01463
OG0000393	Pran.g_00311	Syaq.g_01460
OG0000394	Pran.g_00310	Syaq.g_01459
OG0000395	Pran.g_00309	Syaq.g_01458
OG0000396	Pran.g_00307	Syaq.g_01455
OG0000397	Pran.g_00305	Syaq.g_01453
OG0000398	Pran.g_00303	Syaq.g_01448
OG0000399	Pran.g_00302	Syaq.g_01447
OG0000400	Pran.g_00301	Syaq.g_01446
OG0000401	Pran.g_00300	Syaq.g_01445
OG0000402	Pran.g_00298	Syaq.g_01443
OG0000403	Pran.g_00297	Syaq.g_01442
OG0000404	Pran.g_00296	Syaq.g_01440
OG0000405	Pran.g_00292	Syaq.g_01429
OG0000406	Pran.g_00286	Syaq.g_01422
OG0000407	Pran.g_00285	Syaq.g_01421
OG0000408	Pran.g_00282	Syaq.g_01419
OG0000409	Pran.g_00280	Syaq.g_01417
OG0000410	Pran.g_00279	Syaq.g_01416
OG0000411	Pran.g_00278	Syaq.g_01415
OG0000412	Pran.g_00277	Syaq.g_01414
OG0000413	Pran.g_00276	Syaq.g_01412
OG0000414	Pran.g_00275	Syaq.g_01411
OG0000415	Pran.g_00274	Syaq.g_01410
OG0000416	Pran.g_00273	Syaq.g_01409
OG0000417	Pran.g_00272	Syaq.g_01408
OG0000418	Pran.g_00267	Syaq.g_01403
OG0000419	Pran.g_00265	Syaq.g_01401
OG0000420	Pran.g_00264	Syaq.g_01400
OG0000421	Pran.g_00259	Syaq.g_01395
OG0000422	Pran.g_00258	Syaq.g_01394
OG0000423	Pran.g_00257	Syaq.g_01393
OG0000424	Pran.g_00256	Syaq.g_01392
OG0000425	Pran.g_00255	Syaq.g_01391
OG0000426	Pran.g_00254	Syaq.g_01390
OG0000427	Pran.g_00253	Syaq.g_01389
OG0000428	Pran.g_00251	Syaq.g_01386
OG0000429	Pran.g_00250	Syaq.g_01384
OG0000430	Pran.g_00249	Syaq.g_01383
OG0000431	Pran.g_00247	Syaq.g_01380
OG0000432	Pran.g_00244	Syaq.g_01374
OG0000433	Pran.g_00243	Syaq.g_01369
OG0000434	Pran.g_00242	Syaq.g_01368
OG0000435	Pran.g_00241	Syaq.g_01367
OG0000436	Pran.g_00236	Syaq.g_01361
OG0000437	Pran.g_00235	Syaq.g_01360
OG0000438	Pran.g_00234	Syaq.g_01359
OG0000439	Pran.g_00232	Syaq.g_01357
OG0000440	Pran.g_00231	Syaq.g_01356
OG0000441	Pran.g_00228	Syaq.g_01352
OG0000442	Pran.g_00227	Syaq.g_01350
OG0000443	Pran.g_00226	Syaq.g_01347
OG0000444	Pran.g_00221	Syaq.g_01333
OG0000445	Pran.g_00220	Syaq.g_01332
OG0000446	Pran.g_00219	Syaq.g_01330
OG0000447	Pran.g_00218	Syaq.g_01328
OG0000448	Pran.g_00217	Syaq.g_01327
OG0000449	Pran.g_00216	Syaq.g_01320
OG0000450	Pran.g_00215	Syaq.g_01313
OG0000451	Pran.g_00214	Syaq.g_01312
OG0000452	Pran.g_00211	Syaq.g_01308
OG0000453	Pran.g_00210	Syaq.g_01307
OG0000454	Pran.g_00209	Syaq.g_01306
OG0000455	Pran.g_00208	Syaq.g_01305
OG0000456	Pran.g_00207	Syaq.g_01304
OG0000457	Pran.g_00206	Syaq.g_01302
OG0000458	Pran.g_00205	Syaq.g_01299
OG0000459	Pran.g_00204	Syaq.g_01298
OG0000460	Pran.g_00197	Syaq.g_01577
OG0000461	Pran.g_01950	Syaq.g_00707
OG0000462	Pran.g_01948	Syaq.g_00710
OG0000463	Pran.g_01947	Syaq.g_00711
OG0000464	Pran.g_01946	Syaq.g_00712
OG0000465	Pran.g_01945	Syaq.g_00714
OG0000466	Pran.g_01942	Syaq.g_00718
OG0000467	Pran.g_01941	Syaq.g_00720
OG0000468	Pran.g_01939	Syaq.g_00725
OG0000469	Pran.g_01931	Syaq.g_00739
OG0000470	Pran.g_01929	Syaq.g_00741
OG0000471	Pran.g_01928	Syaq.g_00742
OG0000472	Pran.g_01927	Syaq.g_00744
OG0000473	Pran.g_01925	Syaq.g_00746
OG0000474	Pran.g_01924	Syaq.g_00747
OG0000475	Pran.g_01923	Syaq.g_00748
OG0000476	Pran.g_01922	Syaq.g_00750
OG0000477	Pran.g_01919	Syaq.g_00756
OG0000478	Pran.g_01918	Syaq.g_00757
OG0000479	Pran.g_01917	Syaq.g_00759
OG0000480	Pran.g_01912	Syaq.g_00766
OG0000481	Pran.g_01910	Syaq.g_00768
OG0000482	Pran.g_01909	Syaq.g_00769
OG0000483	Pran.g_01906	Syaq.g_00773
OG0000484	Pran.g_01905	Syaq.g_00774
OG0000485	Pran.g_01904	Syaq.g_00775
OG0000486	Pran.g_01903	Syaq.g_00776
OG0000487	Pran.g_01899	Syaq.g_00782
OG0000488	Pran.g_01896	Syaq.g_00845
OG0000489	Pran.g_01891	Syaq.g_00857
OG0000490	Pran.g_01886	Syaq.g_00864
OG0000491	Pran.g_01885	Syaq.g_00865
OG0000492	Pran.g_01883	Syaq.g_00869
OG0000493	Pran.g_01882	Syaq.g_00870
OG0000494	Pran.g_01881	Syaq.g_00871
OG0000495	Pran.g_01880	Syaq.g_00872
OG0000496	Pran.g_01879	Syaq.g_00873
OG0000497	Pran.g_01878	Syaq.g_00874
OG0000498	Pran.g_01877	Syaq.g_00875
OG0000499	Pran.g_01876	Syaq.g_00876
OG0000500	Pran.g_01875	Syaq.g_00877
OG0000501	Pran.g_01873	Syaq.g_00880
OG0000502	Pran.g_01870	Syaq.g_00953
OG0000503	Pran.g_01860	Syaq.g_00559
OG0000504	Pran.g_01859	Syaq.g_00557
OG0000505	Pran.g_01858	Syaq.g_00556
OG0000506	Pran.g_01857	Syaq.g_00554
OG0000507	Pran.g_01854	Syaq.g_00548
OG0000508	Pran.g_01850	Syaq.g_00544
OG0000509	Pran.g_01848	Syaq.g_00542
OG0000510	Pran.g_01847	Syaq.g_00538
OG0000511	Pran.g_01846	Syaq.g_00537
OG0000512	Pran.g_01844	Syaq.g_00535
OG0000513	Pran.g_01837	Syaq.g_00525
OG0000514	Pran.g_01749	Syaq.g_00514
OG0000515	Pran.g_01748	Syaq.g_00513
OG0000516	Pran.g_01747	Syaq.g_00509
OG0000517	Pran.g_01745	Syaq.g_00502
OG0000518	Pran.g_01734	Syaq.g_00490
OG0000519	Pran.g_01733	Syaq.g_00489
OG0000520	Pran.g_01729	Syaq.g_00488
OG0000521	Pran.g_01724	Syaq.g_00477
OG0000522	Pran.g_01723	Syaq.g_00475
OG0000523	Pran.g_01722	Syaq.g_00474
OG0000524	Pran.g_01717	Syaq.g_00469
OG0000525	Pran.g_01714	Syaq.g_00450
OG0000526	Pran.g_01713	Syaq.g_00448
OG0000527	Pran.g_01705	Syaq.g_00444
OG0000528	Pran.g_01700	Syaq.g_01768
OG0000529	Pran.g_01697	Syaq.g_01773
OG0000530	Pran.g_01694	Syaq.g_01776
OG0000531	Pran.g_01693	Syaq.g_01777
OG0000532	Pran.g_01691	Syaq.g_01780
OG0000533	Pran.g_01690	Syaq.g_01782
OG0000534	Pran.g_01689	Syaq.g_01783
OG0000535	Pran.g_01688	Syaq.g_01784
OG0000536	Pran.g_01687	Syaq.g_01785
OG0000537	Pran.g_01686	Syaq.g_01786
OG0000538	Pran.g_01678	Syaq.g_01798
OG0000539	Pran.g_01677	Syaq.g_01799
OG0000540	Pran.g_01676	Syaq.g_01800
OG0000541	Pran.g_01675	Syaq.g_01801
OG0000542	Pran.g_01673	Syaq.g_01804
OG0000543	Pran.g_01671	Syaq.g_01806
OG0000544	Pran.g_01670	Syaq.g_01807, Syaq.g_02567
OG0000545	Pran.g_01668	Syaq.g_01809
OG0000546	Pran.g_01665	Syaq.g_01811
OG0000547	Pran.g_01663	Syaq.g_01813
OG0000548	Pran.g_01662	Syaq.g_01814
OG0000549	Pran.g_01660	Syaq.g_01819
OG0000550	Pran.g_01655	Syaq.g_01824
OG0000551	Pran.g_01651	Syaq.g_01829
OG0000552	Pran.g_01650	Syaq.g_01830
OG0000553	Pran.g_01649	Syaq.g_01834
OG0000554	Pran.g_01644	Syaq.g_01839
OG0000555	Pran.g_01636	Syaq.g_01857
OG0000556	Pran.g_01634	Syaq.g_01925
OG0000557	Pran.g_01633	Syaq.g_01927
OG0000558	Pran.g_01631	Syaq.g_01929
OG0000559	Pran.g_01627	Syaq.g_01933
OG0000560	Pran.g_01624	Syaq.g_01936
OG0000561	Pran.g_01623	Syaq.g_01937
OG0000562	Pran.g_01622	Syaq.g_01938
OG0000563	Pran.g_01621	Syaq.g_01939
OG0000564	Pran.g_01620	Syaq.g_01940
OG0000565	Pran.g_01617	Syaq.g_01943
OG0000566	Pran.g_01614	Syaq.g_01947
OG0000567	Pran.g_01610	Syaq.g_01951
OG0000568	Pran.g_01609	Syaq.g_01954
OG0000569	Pran.g_01608	Syaq.g_01955
OG0000570	Pran.g_01607	Syaq.g_01956
OG0000571	Pran.g_01605	Syaq.g_01960
