Orthogroup	Prbm	Prai
OG0000084	Prbm.g_00988	Prai.g_00989
OG0000085	Prbm.g_01210	Prai.g_01107
OG0000086	Prbm.g_01910	Prai.g_01143
OG0000087	Prbm.g_01230, Prbm.g_01809, Prbm.g_00434, Prbm.g_01118, Prbm.g_01383, Prbm.g_01405	Prai.g_01613
OG0000088	Prbm.g_01458	Prai.g_01233
OG0000090	Prbm.g_00394	Prai.g_01393
OG0000091	Prbm.g_01718	Prai.g_01471
OG0000092	Prbm.g_01182	Prai.g_01270
OG0000093	Prbm.g_01973	Prai.g_00743
OG0000094	Prbm.g_02029	Prai.g_01779
OG0000095	Prbm.g_02067	Prai.g_01812
OG0000096	Prbm.g_02168	Prai.g_01884
OG0000097	Prbm.g_02188	Prai.g_01901
OG0000098	Prbm.g_00003	Prai.g_00003
OG0000099	Prbm.g_00023	Prai.g_00023
OG0000100	Prbm.g_00063, Prbm.g_01170	Prai.g_00443
OG0000101	Prbm.g_00058	Prai.g_00056
OG0000102	Prbm.g_00172	Prai.g_00113
OG0000103	Prbm.g_00181	Prai.g_00121
OG0000104	Prbm.g_00198	Prai.g_00139
OG0000105	Prbm.g_00229	Prai.g_00181
OG0000106	Prbm.g_00243	Prai.g_00195
OG0000107	Prbm.g_00252	Prai.g_00203
OG0000108	Prbm.g_00262	Prai.g_00213
OG0000109	Prbm.g_00300	Prai.g_00250
OG0000110	Prbm.g_00310	Prai.g_00264
OG0000111	Prbm.g_00331	Prai.g_00287, Prai.g_00286
OG0000112	Prbm.g_00341	Prai.g_00430
OG0000113	Prbm.g_00353	Prai.g_00310
OG0000114	Prbm.g_00380	Prai.g_00338
OG0000115	Prbm.g_00499	Prai.g_00504
OG0000116	Prbm.g_00501	Prai.g_00506
OG0000117	Prbm.g_00506	Prai.g_00510
OG0000118	Prbm.g_00533	Prai.g_00529
OG0000119	Prbm.g_00565	Prai.g_00560
OG0000120	Prbm.g_00566	Prai.g_00561
OG0000121	Prbm.g_00576	Prai.g_00571
OG0000122	Prbm.g_00585	Prai.g_00580
OG0000123	Prbm.g_00615	Prai.g_00612
OG0000124	Prbm.g_00682	Prai.g_00680
OG0000125	Prbm.g_00683	Prai.g_00681
OG0000126	Prbm.g_00684	Prai.g_00682
OG0000127	Prbm.g_00723	Prai.g_00715
OG0000128	Prbm.g_00744	Prai.g_00750
OG0000129	Prbm.g_00766	Prai.g_00770
OG0000130	Prbm.g_00950	Prai.g_00862
OG0000131	Prbm.g_00812	Prai.g_00850
OG0000132	Prbm.g_00848	Prai.g_00813
OG0000133	Prbm.g_00946	Prai.g_01030
OG0000134	Prbm.g_00799	Prai.g_01021
OG0000135	Prbm.g_00992	Prai.g_00985
OG0000136	Prbm.g_01061	Prai.g_00921
OG0000137	Prbm.g_01913	Prai.g_01146
OG0000138	Prbm.g_01555	Prai.g_01167
OG0000139	Prbm.g_01542	Prai.g_01177
OG0000140	Prbm.g_01489	Prai.g_01230
OG0000141	Prbm.g_01054	Prai.g_01238
OG0000142	Prbm.g_01622	Prai.g_01347
OG0000143	Prbm.g_01660	Prai.g_01370
OG0000144	Prbm.g_01696	Prai.g_01450
OG0000145	Prbm.g_01711	Prai.g_01464
OG0000146	Prbm.g_01745	Prai.g_01499
OG0000147	Prbm.g_01791	Prai.g_01539, Prai.g_00415
OG0000148	Prbm.g_01792	Prai.g_01540
OG0000149	Prbm.g_01839	Prai.g_01636
OG0000150	Prbm.g_01876	Prai.g_01674
OG0000151	Prbm.g_01878	Prai.g_01677
OG0000152	Prbm.g_01898	Prai.g_01696
OG0000153	Prbm.g_01991	Prai.g_01735
OG0000154	Prbm.g_02027	Prai.g_01777
OG0000155	Prbm.g_01454, Prbm.g_02046	Prai.g_01795
OG0000156	Prbm.g_02079	Prai.g_01823
OG0000157	Prbm.g_02114	Prai.g_01855
OG0000158	Prbm.g_02212	Prai.g_01918
OG0000160	Prbm.g_00001	Prai.g_00001
OG0000161	Prbm.g_00002	Prai.g_00002
OG0000162	Prbm.g_00004	Prai.g_00004
OG0000163	Prbm.g_00005	Prai.g_00005
OG0000164	Prbm.g_00006	Prai.g_00006
OG0000165	Prbm.g_00007	Prai.g_00007
OG0000166	Prbm.g_00008	Prai.g_00008
OG0000167	Prbm.g_00009	Prai.g_00009
OG0000168	Prbm.g_00010	Prai.g_00010
OG0000169	Prbm.g_00012	Prai.g_00012
OG0000170	Prbm.g_00014	Prai.g_00014
OG0000171	Prbm.g_00015	Prai.g_00015
OG0000172	Prbm.g_00016	Prai.g_00016
OG0000173	Prbm.g_00017	Prai.g_00017
OG0000174	Prbm.g_00018	Prai.g_00018
OG0000175	Prbm.g_00019	Prai.g_00019
OG0000176	Prbm.g_00020	Prai.g_00020
OG0000177	Prbm.g_00021	Prai.g_00021
OG0000178	Prbm.g_00022	Prai.g_00022
OG0000179	Prbm.g_00024	Prai.g_00024
OG0000180	Prbm.g_00025	Prai.g_00025
OG0000181	Prbm.g_00026	Prai.g_00026
OG0000182	Prbm.g_00027	Prai.g_00027
OG0000183	Prbm.g_00028	Prai.g_00028
OG0000184	Prbm.g_00029	Prai.g_00029
OG0000185	Prbm.g_00032	Prai.g_00032
OG0000186	Prbm.g_00033	Prai.g_00035
OG0000187	Prbm.g_00034	Prai.g_00036
OG0000188	Prbm.g_00035	Prai.g_00037
OG0000189	Prbm.g_00049	Prai.g_00047
OG0000190	Prbm.g_00051	Prai.g_00049
OG0000191	Prbm.g_00052	Prai.g_00050
OG0000192	Prbm.g_00053	Prai.g_00051
OG0000193	Prbm.g_00054	Prai.g_00052
OG0000194	Prbm.g_00055	Prai.g_00053
OG0000195	Prbm.g_00056	Prai.g_00054
OG0000196	Prbm.g_00057	Prai.g_00055
OG0000197	Prbm.g_00059	Prai.g_00057
OG0000198	Prbm.g_00060	Prai.g_00058
OG0000199	Prbm.g_00061	Prai.g_00059
OG0000200	Prbm.g_00121	Prai.g_00064
OG0000201	Prbm.g_00122	Prai.g_00065
OG0000202	Prbm.g_00123	Prai.g_00066
OG0000203	Prbm.g_00126	Prai.g_00069
OG0000204	Prbm.g_00127	Prai.g_00070
OG0000205	Prbm.g_00130	Prai.g_00073
OG0000206	Prbm.g_00132	Prai.g_00075
OG0000207	Prbm.g_00134	Prai.g_00077
OG0000208	Prbm.g_00135	Prai.g_00078
OG0000209	Prbm.g_00136	Prai.g_00079
OG0000210	Prbm.g_00137	Prai.g_00080
OG0000211	Prbm.g_00138	Prai.g_00081
OG0000212	Prbm.g_00139	Prai.g_00082
OG0000213	Prbm.g_00140	Prai.g_00083
OG0000214	Prbm.g_00141	Prai.g_00084
OG0000215	Prbm.g_00142	Prai.g_00085
OG0000216	Prbm.g_00143	Prai.g_00086
OG0000217	Prbm.g_00145	Prai.g_00088
OG0000218	Prbm.g_00146	Prai.g_00089
OG0000219	Prbm.g_00147	Prai.g_00090
OG0000220	Prbm.g_00148	Prai.g_00091
OG0000221	Prbm.g_00151	Prai.g_00094
OG0000222	Prbm.g_00152	Prai.g_00095
OG0000223	Prbm.g_00153	Prai.g_00096
OG0000224	Prbm.g_00154	Prai.g_00097
OG0000225	Prbm.g_00155	Prai.g_00098
OG0000226	Prbm.g_00156	Prai.g_00099
OG0000227	Prbm.g_00158	Prai.g_00100
OG0000228	Prbm.g_00159	Prai.g_00101
OG0000229	Prbm.g_00160	Prai.g_00102
OG0000230	Prbm.g_00161	Prai.g_00103
OG0000231	Prbm.g_00162	Prai.g_00104
OG0000232	Prbm.g_00163	Prai.g_00106
OG0000233	Prbm.g_00164	Prai.g_00107
OG0000234	Prbm.g_00165	Prai.g_00108
OG0000235	Prbm.g_00166	Prai.g_00109
OG0000236	Prbm.g_00169	Prai.g_00110
OG0000237	Prbm.g_00170	Prai.g_00111
OG0000238	Prbm.g_00171	Prai.g_00112
OG0000239	Prbm.g_00173	Prai.g_00114
OG0000240	Prbm.g_00175	Prai.g_00115
OG0000241	Prbm.g_00176	Prai.g_00116
OG0000242	Prbm.g_00177	Prai.g_00117
OG0000243	Prbm.g_00179	Prai.g_00120
OG0000244	Prbm.g_00182	Prai.g_00122
OG0000245	Prbm.g_00183	Prai.g_00123
OG0000246	Prbm.g_00184	Prai.g_00124
OG0000247	Prbm.g_00187	Prai.g_00127
OG0000248	Prbm.g_00189	Prai.g_00129
OG0000249	Prbm.g_00191	Prai.g_00130
OG0000250	Prbm.g_00192	Prai.g_00131
OG0000251	Prbm.g_00193	Prai.g_00132
OG0000252	Prbm.g_00194	Prai.g_00133
OG0000253	Prbm.g_00195	Prai.g_00134
OG0000254	Prbm.g_01096	Prai.g_00136
OG0000255	Prbm.g_00196	Prai.g_00137
OG0000256	Prbm.g_00199	Prai.g_00140
OG0000257	Prbm.g_00202	Prai.g_00142
OG0000258	Prbm.g_00204	Prai.g_00156
OG0000259	Prbm.g_00205	Prai.g_00157
OG0000260	Prbm.g_00206	Prai.g_00158
OG0000261	Prbm.g_00207	Prai.g_00159
OG0000262	Prbm.g_00208	Prai.g_00160
OG0000263	Prbm.g_00210	Prai.g_00162
OG0000264	Prbm.g_00211	Prai.g_00163
OG0000265	Prbm.g_00212	Prai.g_00164
OG0000266	Prbm.g_00213	Prai.g_00165
OG0000267	Prbm.g_00214	Prai.g_00166
OG0000268	Prbm.g_00215	Prai.g_00167
OG0000269	Prbm.g_00217	Prai.g_00169
OG0000270	Prbm.g_00218	Prai.g_00170
OG0000271	Prbm.g_00219	Prai.g_00171
OG0000272	Prbm.g_00220	Prai.g_00172
OG0000273	Prbm.g_00221	Prai.g_00173
OG0000274	Prbm.g_00222	Prai.g_00174
OG0000275	Prbm.g_00223	Prai.g_00175
OG0000276	Prbm.g_00224	Prai.g_00176
OG0000277	Prbm.g_00226	Prai.g_00178
OG0000278	Prbm.g_00227	Prai.g_00179
OG0000279	Prbm.g_00228	Prai.g_00180
OG0000280	Prbm.g_00230	Prai.g_00182
OG0000281	Prbm.g_00232	Prai.g_00184
OG0000282	Prbm.g_00233	Prai.g_00185
OG0000283	Prbm.g_00234	Prai.g_00186
OG0000284	Prbm.g_00235	Prai.g_00187
OG0000285	Prbm.g_00236	Prai.g_00188
OG0000286	Prbm.g_00237	Prai.g_00189
OG0000287	Prbm.g_00238	Prai.g_00190
OG0000288	Prbm.g_00240	Prai.g_00192
OG0000289	Prbm.g_00241	Prai.g_00193
OG0000290	Prbm.g_00242	Prai.g_00194
OG0000291	Prbm.g_00244	Prai.g_00196
OG0000292	Prbm.g_00246	Prai.g_00197
OG0000293	Prbm.g_00247	Prai.g_00198
OG0000294	Prbm.g_00248	Prai.g_00199
OG0000295	Prbm.g_00249	Prai.g_00200
OG0000296	Prbm.g_00250	Prai.g_00201
OG0000297	Prbm.g_00251	Prai.g_00202
OG0000298	Prbm.g_00253	Prai.g_00204
OG0000299	Prbm.g_00254	Prai.g_00205
OG0000300	Prbm.g_00255	Prai.g_00206
OG0000301	Prbm.g_00256	Prai.g_00207
OG0000302	Prbm.g_00257	Prai.g_00208
OG0000303	Prbm.g_00258	Prai.g_00209
OG0000304	Prbm.g_00260	Prai.g_00211
OG0000305	Prbm.g_00261	Prai.g_00212
OG0000306	Prbm.g_00263	Prai.g_00215
OG0000307	Prbm.g_00264	Prai.g_00216
OG0000308	Prbm.g_00265	Prai.g_00217
OG0000309	Prbm.g_00266	Prai.g_00218
OG0000310	Prbm.g_00267	Prai.g_00219
OG0000311	Prbm.g_00268	Prai.g_00220
OG0000312	Prbm.g_00269	Prai.g_00221
OG0000313	Prbm.g_00270	Prai.g_00222
OG0000314	Prbm.g_00271	Prai.g_00223
OG0000315	Prbm.g_00272	Prai.g_00224
OG0000316	Prbm.g_00273	Prai.g_00225
OG0000317	Prbm.g_00274	Prai.g_00226
OG0000318	Prbm.g_00275	Prai.g_00227
OG0000319	Prbm.g_00276	Prai.g_00228
OG0000320	Prbm.g_00277	Prai.g_00229
OG0000321	Prbm.g_00278	Prai.g_00230
OG0000322	Prbm.g_00279	Prai.g_00231
OG0000323	Prbm.g_00280	Prai.g_00232
OG0000324	Prbm.g_00281	Prai.g_00233
OG0000325	Prbm.g_00282	Prai.g_00234
OG0000326	Prbm.g_00283	Prai.g_00235
OG0000327	Prbm.g_00284	Prai.g_00236
OG0000328	Prbm.g_00285	Prai.g_00237
OG0000329	Prbm.g_00286	Prai.g_00238
OG0000330	Prbm.g_00287	Prai.g_00239
OG0000331	Prbm.g_00288	Prai.g_00240
OG0000332	Prbm.g_00289	Prai.g_00241
OG0000333	Prbm.g_00290	Prai.g_00242
OG0000334	Prbm.g_00291	Prai.g_00243
OG0000335	Prbm.g_00293	Prai.g_00244
OG0000336	Prbm.g_00295	Prai.g_00246
OG0000337	Prbm.g_00296	Prai.g_00247
OG0000338	Prbm.g_00301	Prai.g_00251
OG0000339	Prbm.g_00303	Prai.g_00255
OG0000340	Prbm.g_00305	Prai.g_00257
OG0000341	Prbm.g_00306	Prai.g_00258
OG0000342	Prbm.g_00307	Prai.g_00259
OG0000343	Prbm.g_00308	Prai.g_00260
OG0000344	Prbm.g_00309	Prai.g_00263
OG0000345	Prbm.g_00312	Prai.g_00266
OG0000346	Prbm.g_00313	Prai.g_00267
OG0000347	Prbm.g_00317	Prai.g_00270
OG0000348	Prbm.g_00318	Prai.g_00272
OG0000349	Prbm.g_00319	Prai.g_00273
OG0000350	Prbm.g_00320	Prai.g_00275
OG0000351	Prbm.g_00321	Prai.g_00276
OG0000352	Prbm.g_00322	Prai.g_00277
OG0000353	Prbm.g_00323	Prai.g_00278
OG0000354	Prbm.g_00324	Prai.g_00279
OG0000355	Prbm.g_00325	Prai.g_00280
OG0000356	Prbm.g_00326	Prai.g_00281
OG0000357	Prbm.g_00327	Prai.g_00282
OG0000358	Prbm.g_00328	Prai.g_00283
OG0000359	Prbm.g_00330	Prai.g_00284
OG0000360	Prbm.g_00332	Prai.g_00288
OG0000361	Prbm.g_00333	Prai.g_00289
OG0000362	Prbm.g_00334	Prai.g_00290
OG0000363	Prbm.g_00335	Prai.g_00291
OG0000364	Prbm.g_00339	Prai.g_00295
OG0000365	Prbm.g_00340	Prai.g_00296
OG0000366	Prbm.g_00342	Prai.g_00298
OG0000367	Prbm.g_00343	Prai.g_00299
OG0000368	Prbm.g_00344	Prai.g_00300
OG0000369	Prbm.g_00345	Prai.g_00301
OG0000370	Prbm.g_00346	Prai.g_00302
OG0000371	Prbm.g_00347	Prai.g_00303
OG0000372	Prbm.g_00348	Prai.g_00304
OG0000373	Prbm.g_00349	Prai.g_00305
OG0000374	Prbm.g_00350	Prai.g_00307
OG0000375	Prbm.g_00351	Prai.g_00308
OG0000376	Prbm.g_00354	Prai.g_00311
OG0000377	Prbm.g_00355	Prai.g_00312
OG0000378	Prbm.g_00356	Prai.g_00313
OG0000379	Prbm.g_00357	Prai.g_00314
OG0000380	Prbm.g_00358	Prai.g_00315
OG0000381	Prbm.g_00359	Prai.g_00316
OG0000382	Prbm.g_00360	Prai.g_00317
OG0000383	Prbm.g_00361	Prai.g_00318
OG0000384	Prbm.g_00364	Prai.g_00321
OG0000385	Prbm.g_00365	Prai.g_00322
OG0000386	Prbm.g_00366	Prai.g_00323
OG0000387	Prbm.g_00367	Prai.g_00324
OG0000388	Prbm.g_00368	Prai.g_00325
OG0000389	Prbm.g_00369	Prai.g_00326
OG0000390	Prbm.g_00370	Prai.g_00327
OG0000391	Prbm.g_00371	Prai.g_00328
OG0000392	Prbm.g_00372	Prai.g_00329
OG0000393	Prbm.g_00373	Prai.g_00330
OG0000394	Prbm.g_00374	Prai.g_00331
OG0000395	Prbm.g_00375	Prai.g_00332
OG0000396	Prbm.g_00376	Prai.g_00334
OG0000397	Prbm.g_00378	Prai.g_00336
OG0000398	Prbm.g_00379	Prai.g_00337
OG0000399	Prbm.g_00382	Prai.g_00340
OG0000400	Prbm.g_00388	Prai.g_00341
OG0000401	Prbm.g_00768	Prai.g_00342
OG0000402	Prbm.g_00400	Prai.g_00347
OG0000403	Prbm.g_00402	Prai.g_00348
OG0000404	Prbm.g_00403	Prai.g_00349
OG0000405	Prbm.g_00404	Prai.g_00351
OG0000406	Prbm.g_00407	Prai.g_00354
OG0000407	Prbm.g_00408	Prai.g_00355
OG0000408	Prbm.g_00410	Prai.g_00357
OG0000409	Prbm.g_00411	Prai.g_00358
OG0000410	Prbm.g_00412	Prai.g_00359
OG0000411	Prbm.g_00413	Prai.g_00360
OG0000412	Prbm.g_00414	Prai.g_00361
OG0000413	Prbm.g_00415	Prai.g_00362
OG0000414	Prbm.g_00416	Prai.g_00363
OG0000415	Prbm.g_00417	Prai.g_00364
OG0000416	Prbm.g_00422	Prai.g_00367
OG0000417	Prbm.g_00423	Prai.g_00368
OG0000418	Prbm.g_00425	Prai.g_00369
OG0000419	Prbm.g_00426	Prai.g_00370
OG0000420	Prbm.g_00866	Prai.g_00372
OG0000421	Prbm.g_01088	Prai.g_00384
OG0000422	Prbm.g_01121	Prai.g_00390
OG0000423	Prbm.g_01353	Prai.g_00392
OG0000424	Prbm.g_01949	Prai.g_00397
OG0000425	Prbm.g_00440	Prai.g_00462
OG0000426	Prbm.g_00441	Prai.g_00463
OG0000427	Prbm.g_00442	Prai.g_00464
OG0000428	Prbm.g_00445	Prai.g_00466
OG0000429	Prbm.g_00446	Prai.g_00467
OG0000430	Prbm.g_00448	Prai.g_00469
OG0000431	Prbm.g_00449	Prai.g_00470
OG0000432	Prbm.g_00450	Prai.g_00471
OG0000433	Prbm.g_00451	Prai.g_00472
OG0000434	Prbm.g_00452	Prai.g_00473
OG0000435	Prbm.g_00453	Prai.g_00474
OG0000436	Prbm.g_00454	Prai.g_00475
OG0000437	Prbm.g_00455	Prai.g_00476
OG0000438	Prbm.g_00456	Prai.g_00477
OG0000439	Prbm.g_00457	Prai.g_00478
OG0000440	Prbm.g_00458	Prai.g_00479
OG0000441	Prbm.g_00459	Prai.g_00480
OG0000442	Prbm.g_00460	Prai.g_00481
OG0000443	Prbm.g_00461	Prai.g_00482
OG0000444	Prbm.g_00462	Prai.g_00483
OG0000445	Prbm.g_00480	Prai.g_00484
OG0000446	Prbm.g_00482	Prai.g_00486
OG0000447	Prbm.g_00483	Prai.g_00487
OG0000448	Prbm.g_00484	Prai.g_00489
OG0000449	Prbm.g_00490	Prai.g_00492
OG0000450	Prbm.g_00491	Prai.g_00493
OG0000451	Prbm.g_00492	Prai.g_00494
OG0000452	Prbm.g_00494	Prai.g_00495
OG0000453	Prbm.g_00495	Prai.g_00496
OG0000454	Prbm.g_00497	Prai.g_00501
OG0000455	Prbm.g_00498	Prai.g_00503
OG0000456	Prbm.g_00502	Prai.g_00507
OG0000457	Prbm.g_00504	Prai.g_00508
OG0000458	Prbm.g_00505	Prai.g_00509
OG0000459	Prbm.g_00507	Prai.g_00511
OG0000460	Prbm.g_00509	Prai.g_00513
OG0000461	Prbm.g_00510	Prai.g_00514
OG0000462	Prbm.g_00511	Prai.g_00515
OG0000463	Prbm.g_00512	Prai.g_00517
OG0000464	Prbm.g_00513	Prai.g_00518
OG0000465	Prbm.g_00514	Prai.g_00519
OG0000466	Prbm.g_00515	Prai.g_00520
OG0000467	Prbm.g_00516	Prai.g_00521
OG0000468	Prbm.g_00517	Prai.g_00522
OG0000469	Prbm.g_00518	Prai.g_00523
OG0000470	Prbm.g_00519	Prai.g_00524
OG0000471	Prbm.g_00520	Prai.g_00525
OG0000472	Prbm.g_00534	Prai.g_00530
OG0000473	Prbm.g_00535	Prai.g_00531
OG0000474	Prbm.g_00536	Prai.g_00532
OG0000475	Prbm.g_00537	Prai.g_00533
OG0000476	Prbm.g_00539	Prai.g_00535
OG0000477	Prbm.g_00540	Prai.g_00536
OG0000478	Prbm.g_00541	Prai.g_00537
OG0000479	Prbm.g_00542	Prai.g_00538
OG0000480	Prbm.g_00544	Prai.g_00540
OG0000481	Prbm.g_00546	Prai.g_00542
OG0000482	Prbm.g_00547	Prai.g_00543
OG0000483	Prbm.g_00549	Prai.g_00544
OG0000484	Prbm.g_00550	Prai.g_00545
OG0000485	Prbm.g_00551	Prai.g_00546
OG0000486	Prbm.g_00553	Prai.g_00547
OG0000487	Prbm.g_00557	Prai.g_00552
OG0000488	Prbm.g_00558	Prai.g_00553
OG0000489	Prbm.g_00559	Prai.g_00554
OG0000490	Prbm.g_00560	Prai.g_00555
OG0000491	Prbm.g_00561	Prai.g_00556
OG0000492	Prbm.g_00562	Prai.g_00557
OG0000493	Prbm.g_00563	Prai.g_00558
OG0000494	Prbm.g_00564	Prai.g_00559
OG0000495	Prbm.g_00567	Prai.g_00562
OG0000496	Prbm.g_00568	Prai.g_00563
OG0000497	Prbm.g_00569	Prai.g_00564
OG0000498	Prbm.g_00570	Prai.g_00565
OG0000499	Prbm.g_00571	Prai.g_00566
OG0000500	Prbm.g_00573	Prai.g_00568
OG0000501	Prbm.g_00574	Prai.g_00569
OG0000502	Prbm.g_00575	Prai.g_00570
OG0000503	Prbm.g_00577	Prai.g_00572
OG0000504	Prbm.g_00578	Prai.g_00573
OG0000505	Prbm.g_00579	Prai.g_00574
OG0000506	Prbm.g_00580	Prai.g_00575
OG0000507	Prbm.g_00581	Prai.g_00576
OG0000508	Prbm.g_00582	Prai.g_00577
OG0000509	Prbm.g_00583	Prai.g_00578
OG0000510	Prbm.g_00584	Prai.g_00579
OG0000511	Prbm.g_00586	Prai.g_00581
OG0000512	Prbm.g_00587	Prai.g_00582
OG0000513	Prbm.g_00588	Prai.g_00583
OG0000514	Prbm.g_00589	Prai.g_00584
OG0000515	Prbm.g_00590	Prai.g_00585
OG0000516	Prbm.g_00591	Prai.g_00586
OG0000517	Prbm.g_00593	Prai.g_00588
OG0000518	Prbm.g_00594	Prai.g_00589
OG0000519	Prbm.g_00595	Prai.g_00590
OG0000520	Prbm.g_00596	Prai.g_00592
OG0000521	Prbm.g_00597	Prai.g_00593
OG0000522	Prbm.g_00598	Prai.g_00594
OG0000523	Prbm.g_00599	Prai.g_00595
OG0000524	Prbm.g_00600	Prai.g_00596
OG0000525	Prbm.g_00601	Prai.g_00597
OG0000526	Prbm.g_00602	Prai.g_00598
OG0000527	Prbm.g_00603	Prai.g_00599
OG0000528	Prbm.g_00604	Prai.g_00600
OG0000529	Prbm.g_00605	Prai.g_00601
OG0000530	Prbm.g_00606	Prai.g_00602
OG0000531	Prbm.g_00607	Prai.g_00603
OG0000532	Prbm.g_00608	Prai.g_00604
OG0000533	Prbm.g_00609	Prai.g_00606
OG0000534	Prbm.g_00610	Prai.g_00607
OG0000535	Prbm.g_00611	Prai.g_00608
