Orthogroup	Prbm	Prap
OG0000066	Prbm.g_00500	Prap.g_01292
OG0000067	Prbm.g_00735	Prap.g_00799
OG0000070	Prbm.g_01064	Prap.g_00708
OG0000071	Prbm.g_01522	Prap.g_00429
OG0000072	Prbm.g_00468, Prbm.g_01611	Prap.g_00561
OG0000073	Prbm.g_01162	Prap.g_01819
OG0000073	Prbm.g_01310	Prap.g_01914
OG0000074	Prbm.g_00707	Prap.g_00079
OG0000075	Prbm.g_02033	Prap.g_01642
OG0000076	Prbm.g_01747	Prap.g_00160
OG0000077	Prbm.g_00011	Prap.g_00043
OG0000078	Prbm.g_00377	Prap.g_01389
OG0000079	Prbm.g_01389	Prap.g_00543
OG0000080	Prbm.g_00702	Prap.g_00356
OG0000081	Prbm.g_00728	Prap.g_00809
OG0000082	Prbm.g_00821	Prap.g_00776
OG0000083	Prbm.g_00906, Prbm.g_01173	Prap.g_00477
OG0000084	Prbm.g_00988	Prap.g_00257
OG0000085	Prbm.g_01210	Prap.g_00501
OG0000086	Prbm.g_01910	Prap.g_01883
OG0000087	Prbm.g_01230, Prbm.g_01809, Prbm.g_00434, Prbm.g_01118, Prbm.g_01383, Prbm.g_01405	Prap.g_01863
OG0000090	Prbm.g_00394	Prap.g_00082
OG0000091	Prbm.g_01718	Prap.g_00129
OG0000092	Prbm.g_01182	Prap.g_00618
OG0000093	Prbm.g_01973	Prap.g_01691
OG0000094	Prbm.g_02029	Prap.g_01646
OG0000095	Prbm.g_02067	Prap.g_01608
OG0000096	Prbm.g_02168	Prap.g_01536
OG0000097	Prbm.g_02188	Prap.g_00623
OG0000098	Prbm.g_00003	Prap.g_00051
OG0000099	Prbm.g_00023	Prap.g_00932
OG0000101	Prbm.g_00058	Prap.g_00903
OG0000102	Prbm.g_00172	Prap.g_01061
OG0000103	Prbm.g_00181	Prap.g_01052
OG0000104	Prbm.g_00198	Prap.g_01035
OG0000105	Prbm.g_00229	Prap.g_01000
OG0000106	Prbm.g_00243	Prap.g_00986
OG0000107	Prbm.g_00252	Prap.g_00977
OG0000108	Prbm.g_00262	Prap.g_00967
OG0000109	Prbm.g_00300	Prap.g_01472
OG0000110	Prbm.g_00310	Prap.g_01460
OG0000111	Prbm.g_00331	Prap.g_01436
OG0000112	Prbm.g_00341	Prap.g_01425
OG0000113	Prbm.g_00353	Prap.g_01412
OG0000114	Prbm.g_00380	Prap.g_01386
OG0000115	Prbm.g_00499	Prap.g_01293
OG0000116	Prbm.g_00501	Prap.g_01291
OG0000117	Prbm.g_00506	Prap.g_01287
OG0000118	Prbm.g_00533	Prap.g_01267
OG0000119	Prbm.g_00565	Prap.g_01237
OG0000120	Prbm.g_00566	Prap.g_01236
OG0000121	Prbm.g_00576	Prap.g_01226
OG0000122	Prbm.g_00585	Prap.g_01217
OG0000123	Prbm.g_00615	Prap.g_01185
OG0000124	Prbm.g_00682	Prap.g_00375
OG0000125	Prbm.g_00683	Prap.g_00374
OG0000126	Prbm.g_00684	Prap.g_00373
OG0000127	Prbm.g_00723	Prap.g_00814
OG0000128	Prbm.g_00744	Prap.g_00789
OG0000129	Prbm.g_00766	Prap.g_00324
OG0000130	Prbm.g_00950	Prap.g_00691
OG0000131	Prbm.g_00812	Prap.g_00785
OG0000132	Prbm.g_00848	Prap.g_00748
OG0000133	Prbm.g_00946	Prap.g_00841
OG0000134	Prbm.g_00799	Prap.g_00355
OG0000135	Prbm.g_00992	Prap.g_00261
OG0000136	Prbm.g_01061	Prap.g_00705
OG0000137	Prbm.g_01913	Prap.g_01880
OG0000138	Prbm.g_01555	Prap.g_00462
OG0000139	Prbm.g_01542	Prap.g_00450
OG0000140	Prbm.g_01489	Prap.g_01135
OG0000141	Prbm.g_01054	Prap.g_00217
OG0000142	Prbm.g_01622	Prap.g_00574
OG0000143	Prbm.g_01660	Prap.g_00059
OG0000144	Prbm.g_01696	Prap.g_00109
OG0000145	Prbm.g_01711	Prap.g_00122
OG0000146	Prbm.g_01745	Prap.g_00158
OG0000147	Prbm.g_01791	Prap.g_00205
OG0000148	Prbm.g_01792	Prap.g_00206
OG0000149	Prbm.g_01839	Prap.g_01782
OG0000150	Prbm.g_01876	Prap.g_01742
OG0000151	Prbm.g_01878	Prap.g_01739
OG0000152	Prbm.g_01898	Prap.g_01719
OG0000153	Prbm.g_01991	Prap.g_01685
OG0000154	Prbm.g_02027	Prap.g_01648, Prap.g_01649
OG0000155	Prbm.g_01454, Prbm.g_02046	Prap.g_01629
OG0000156	Prbm.g_02079	Prap.g_01596
OG0000157	Prbm.g_02114	Prap.g_01562
OG0000158	Prbm.g_02212	Prap.g_01497
OG0000160	Prbm.g_00001	Prap.g_00053
OG0000161	Prbm.g_00002	Prap.g_00052
OG0000162	Prbm.g_00004	Prap.g_00050
OG0000163	Prbm.g_00005	Prap.g_00049
OG0000164	Prbm.g_00006	Prap.g_00048
OG0000165	Prbm.g_00007	Prap.g_00047
OG0000166	Prbm.g_00008	Prap.g_00046
OG0000167	Prbm.g_00009	Prap.g_00045
OG0000168	Prbm.g_00010	Prap.g_00044
OG0000169	Prbm.g_00012	Prap.g_00042
OG0000170	Prbm.g_00014	Prap.g_00941
OG0000171	Prbm.g_00015	Prap.g_00940
OG0000172	Prbm.g_00016	Prap.g_00939
OG0000173	Prbm.g_00017	Prap.g_00938
OG0000174	Prbm.g_00018	Prap.g_00937
OG0000175	Prbm.g_00019	Prap.g_00936
OG0000176	Prbm.g_00020	Prap.g_00935
OG0000177	Prbm.g_00021	Prap.g_00934
OG0000178	Prbm.g_00022	Prap.g_00933
OG0000179	Prbm.g_00024	Prap.g_00931
OG0000180	Prbm.g_00025	Prap.g_00930
OG0000181	Prbm.g_00026	Prap.g_00929
OG0000182	Prbm.g_00027	Prap.g_00928
OG0000183	Prbm.g_00028	Prap.g_00927
OG0000184	Prbm.g_00029	Prap.g_00925
OG0000185	Prbm.g_00032	Prap.g_00922
OG0000186	Prbm.g_00033	Prap.g_00919
OG0000187	Prbm.g_00034	Prap.g_00918
OG0000188	Prbm.g_00035	Prap.g_00917
OG0000189	Prbm.g_00049	Prap.g_00915
OG0000190	Prbm.g_00051	Prap.g_00913
OG0000191	Prbm.g_00052	Prap.g_00911
OG0000192	Prbm.g_00053	Prap.g_00910
OG0000193	Prbm.g_00054	Prap.g_00909
OG0000194	Prbm.g_00055	Prap.g_00906
OG0000195	Prbm.g_00056	Prap.g_00905
OG0000196	Prbm.g_00057	Prap.g_00904
OG0000197	Prbm.g_00059	Prap.g_00902
OG0000198	Prbm.g_00060	Prap.g_00901
OG0000199	Prbm.g_00061	Prap.g_00899
OG0000200	Prbm.g_00121	Prap.g_00887
OG0000201	Prbm.g_00122	Prap.g_00886
OG0000202	Prbm.g_00123	Prap.g_00885
OG0000203	Prbm.g_00126	Prap.g_00881
OG0000204	Prbm.g_00127	Prap.g_00880
OG0000205	Prbm.g_00130	Prap.g_00877
OG0000206	Prbm.g_00132	Prap.g_00875
OG0000207	Prbm.g_00134	Prap.g_01100
OG0000208	Prbm.g_00135	Prap.g_01099
OG0000209	Prbm.g_00136	Prap.g_00025
OG0000210	Prbm.g_00137	Prap.g_01098
OG0000211	Prbm.g_00138	Prap.g_01097
OG0000212	Prbm.g_00139	Prap.g_01096
OG0000213	Prbm.g_00140	Prap.g_01095
OG0000214	Prbm.g_00141	Prap.g_01094
OG0000215	Prbm.g_00142	Prap.g_01093
OG0000216	Prbm.g_00143	Prap.g_01092
OG0000217	Prbm.g_00145	Prap.g_01090
OG0000218	Prbm.g_00146	Prap.g_01089
OG0000219	Prbm.g_00147	Prap.g_01088
OG0000220	Prbm.g_00148	Prap.g_01087
OG0000221	Prbm.g_00151	Prap.g_01084
OG0000222	Prbm.g_00152	Prap.g_01083
OG0000223	Prbm.g_00153	Prap.g_01082
OG0000224	Prbm.g_00154	Prap.g_01080
OG0000225	Prbm.g_00155	Prap.g_01079
OG0000226	Prbm.g_00156	Prap.g_01078
OG0000227	Prbm.g_00158	Prap.g_01076
OG0000228	Prbm.g_00159	Prap.g_01075
OG0000229	Prbm.g_00160	Prap.g_01074
OG0000230	Prbm.g_00161	Prap.g_01073
OG0000231	Prbm.g_00162	Prap.g_01072
OG0000232	Prbm.g_00163	Prap.g_01071
OG0000233	Prbm.g_00164	Prap.g_01069
OG0000234	Prbm.g_00165	Prap.g_01068
OG0000235	Prbm.g_00166	Prap.g_01067
OG0000236	Prbm.g_00169	Prap.g_01064
OG0000237	Prbm.g_00170	Prap.g_01063
OG0000238	Prbm.g_00171	Prap.g_01062
OG0000239	Prbm.g_00173	Prap.g_01060
OG0000240	Prbm.g_00175	Prap.g_01059
OG0000241	Prbm.g_00176	Prap.g_01058
OG0000242	Prbm.g_00177	Prap.g_01057
OG0000243	Prbm.g_00179	Prap.g_01054
OG0000244	Prbm.g_00182	Prap.g_01051
OG0000245	Prbm.g_00183	Prap.g_01050
OG0000246	Prbm.g_00184	Prap.g_01049
OG0000247	Prbm.g_00187	Prap.g_01047
OG0000248	Prbm.g_00189	Prap.g_01045
OG0000249	Prbm.g_00191	Prap.g_01043
OG0000250	Prbm.g_00192	Prap.g_01042
OG0000251	Prbm.g_00193	Prap.g_01041
OG0000252	Prbm.g_00194	Prap.g_01040
OG0000253	Prbm.g_00195	Prap.g_01039
OG0000254	Prbm.g_01096	Prap.g_00319
OG0000255	Prbm.g_00196	Prap.g_01037
OG0000256	Prbm.g_00199	Prap.g_01034
OG0000257	Prbm.g_00202	Prap.g_01032
OG0000258	Prbm.g_00204	Prap.g_01026
OG0000259	Prbm.g_00205	Prap.g_01025
OG0000260	Prbm.g_00206	Prap.g_01024
OG0000261	Prbm.g_00207	Prap.g_01023
OG0000262	Prbm.g_00208	Prap.g_01022
OG0000263	Prbm.g_00210	Prap.g_01020
OG0000264	Prbm.g_00211	Prap.g_01019
OG0000265	Prbm.g_00212	Prap.g_01018
OG0000266	Prbm.g_00213	Prap.g_01017
OG0000267	Prbm.g_00214	Prap.g_01016
OG0000268	Prbm.g_00215	Prap.g_01014
OG0000269	Prbm.g_00217	Prap.g_01012
OG0000270	Prbm.g_00218	Prap.g_01011
OG0000271	Prbm.g_00219	Prap.g_01010
OG0000272	Prbm.g_00220	Prap.g_01009
OG0000273	Prbm.g_00221	Prap.g_01008
OG0000274	Prbm.g_00222	Prap.g_01007
OG0000275	Prbm.g_00223	Prap.g_01006
OG0000276	Prbm.g_00224	Prap.g_01005
OG0000277	Prbm.g_00226	Prap.g_01003
OG0000278	Prbm.g_00227	Prap.g_01002
OG0000279	Prbm.g_00228	Prap.g_01001
OG0000280	Prbm.g_00230	Prap.g_00999
OG0000281	Prbm.g_00232	Prap.g_00997
OG0000282	Prbm.g_00233	Prap.g_00996
OG0000283	Prbm.g_00234	Prap.g_00995
OG0000284	Prbm.g_00235	Prap.g_00994
OG0000285	Prbm.g_00236	Prap.g_00993
OG0000286	Prbm.g_00237	Prap.g_00992
OG0000287	Prbm.g_00238	Prap.g_00991
OG0000288	Prbm.g_00240	Prap.g_00989
OG0000289	Prbm.g_00241	Prap.g_00988
OG0000290	Prbm.g_00242	Prap.g_00987
OG0000291	Prbm.g_00244	Prap.g_00985
OG0000292	Prbm.g_00246	Prap.g_00983
OG0000293	Prbm.g_00247	Prap.g_00982
OG0000294	Prbm.g_00248	Prap.g_00981
OG0000295	Prbm.g_00249	Prap.g_00980
OG0000296	Prbm.g_00250	Prap.g_00979
OG0000297	Prbm.g_00251	Prap.g_00978
OG0000298	Prbm.g_00253	Prap.g_00976
OG0000299	Prbm.g_00254	Prap.g_00975
OG0000300	Prbm.g_00255	Prap.g_00974
OG0000301	Prbm.g_00256	Prap.g_00973
OG0000302	Prbm.g_00257	Prap.g_00972
OG0000303	Prbm.g_00258	Prap.g_00971
OG0000304	Prbm.g_00260	Prap.g_00969
OG0000305	Prbm.g_00261	Prap.g_00968
OG0000306	Prbm.g_00263	Prap.g_00965
OG0000307	Prbm.g_00264	Prap.g_00964
OG0000308	Prbm.g_00265	Prap.g_00963
OG0000309	Prbm.g_00266	Prap.g_00962
OG0000310	Prbm.g_00267	Prap.g_00961
OG0000311	Prbm.g_00268	Prap.g_00959
OG0000312	Prbm.g_00269	Prap.g_00958
OG0000313	Prbm.g_00270	Prap.g_00957
OG0000314	Prbm.g_00271	Prap.g_00956
OG0000315	Prbm.g_00272	Prap.g_00955
OG0000316	Prbm.g_00273	Prap.g_00954
OG0000317	Prbm.g_00274	Prap.g_00953
OG0000318	Prbm.g_00275	Prap.g_00952
OG0000319	Prbm.g_00276	Prap.g_00951
OG0000320	Prbm.g_00277	Prap.g_00950
OG0000321	Prbm.g_00278	Prap.g_00949
OG0000322	Prbm.g_00279	Prap.g_00948
OG0000323	Prbm.g_00280	Prap.g_00947
OG0000324	Prbm.g_00281	Prap.g_00946
OG0000325	Prbm.g_00282	Prap.g_00945
OG0000326	Prbm.g_00283	Prap.g_00944
OG0000327	Prbm.g_00284	Prap.g_00943
OG0000328	Prbm.g_00285	Prap.g_01487
OG0000329	Prbm.g_00286	Prap.g_01486
OG0000330	Prbm.g_00287	Prap.g_01485
OG0000331	Prbm.g_00288	Prap.g_01483
OG0000332	Prbm.g_00289	Prap.g_01482
OG0000333	Prbm.g_00290	Prap.g_01481
OG0000334	Prbm.g_00291	Prap.g_01480
OG0000335	Prbm.g_00293	Prap.g_01479
OG0000336	Prbm.g_00295	Prap.g_01477
OG0000337	Prbm.g_00296	Prap.g_01476
OG0000338	Prbm.g_00301	Prap.g_01471
OG0000339	Prbm.g_00303	Prap.g_01469
OG0000340	Prbm.g_00305	Prap.g_01467
OG0000341	Prbm.g_00306	Prap.g_01466
OG0000342	Prbm.g_00307	Prap.g_01465
OG0000343	Prbm.g_00308	Prap.g_01464
OG0000344	Prbm.g_00309	Prap.g_01461
OG0000345	Prbm.g_00312	Prap.g_01457
OG0000346	Prbm.g_00313	Prap.g_01456
OG0000347	Prbm.g_00317	Prap.g_01453
OG0000348	Prbm.g_00318	Prap.g_01452
OG0000349	Prbm.g_00319	Prap.g_01451
OG0000350	Prbm.g_00320	Prap.g_01449
OG0000351	Prbm.g_00321	Prap.g_01448
OG0000352	Prbm.g_00322	Prap.g_01447
OG0000353	Prbm.g_00323	Prap.g_01446
OG0000354	Prbm.g_00324	Prap.g_01444
OG0000355	Prbm.g_00325	Prap.g_01443
OG0000356	Prbm.g_00326	Prap.g_01442
OG0000357	Prbm.g_00327	Prap.g_01441
OG0000358	Prbm.g_00328	Prap.g_01440
OG0000359	Prbm.g_00330	Prap.g_01438
OG0000360	Prbm.g_00332	Prap.g_01435
OG0000361	Prbm.g_00333	Prap.g_01434
OG0000362	Prbm.g_00334	Prap.g_01433
OG0000363	Prbm.g_00335	Prap.g_01432
OG0000364	Prbm.g_00339	Prap.g_01428
OG0000365	Prbm.g_00340	Prap.g_01427
OG0000366	Prbm.g_00342	Prap.g_01424
OG0000367	Prbm.g_00343	Prap.g_01423
OG0000368	Prbm.g_00344	Prap.g_01422
OG0000369	Prbm.g_00345	Prap.g_01421
OG0000370	Prbm.g_00346	Prap.g_01420
OG0000371	Prbm.g_00347	Prap.g_01418
OG0000372	Prbm.g_00348	Prap.g_01417
OG0000373	Prbm.g_00349	Prap.g_01416
OG0000374	Prbm.g_00350	Prap.g_01415
OG0000375	Prbm.g_00351	Prap.g_01414
OG0000376	Prbm.g_00354	Prap.g_01411
OG0000377	Prbm.g_00355	Prap.g_01410
OG0000378	Prbm.g_00356	Prap.g_01409
OG0000379	Prbm.g_00357	Prap.g_01408
OG0000380	Prbm.g_00358	Prap.g_01407
OG0000381	Prbm.g_00359	Prap.g_01406
OG0000382	Prbm.g_00360	Prap.g_01405
OG0000383	Prbm.g_00361	Prap.g_01404
OG0000384	Prbm.g_00364	Prap.g_01402
OG0000385	Prbm.g_00365	Prap.g_01401
OG0000386	Prbm.g_00366	Prap.g_01400
OG0000387	Prbm.g_00367	Prap.g_01399
OG0000388	Prbm.g_00368	Prap.g_01398
OG0000389	Prbm.g_00369	Prap.g_01397
OG0000390	Prbm.g_00370	Prap.g_01396
OG0000391	Prbm.g_00371	Prap.g_01395
OG0000392	Prbm.g_00372	Prap.g_01394
OG0000393	Prbm.g_00373	Prap.g_01393
OG0000394	Prbm.g_00374	Prap.g_01392
OG0000395	Prbm.g_00375	Prap.g_01391
OG0000396	Prbm.g_00376	Prap.g_01390
OG0000397	Prbm.g_00378	Prap.g_01388
OG0000398	Prbm.g_00379	Prap.g_01387
OG0000399	Prbm.g_00382	Prap.g_01385
OG0000400	Prbm.g_00388	Prap.g_01379
OG0000401	Prbm.g_00768	Prap.g_01378
OG0000402	Prbm.g_00400	Prap.g_01372
OG0000403	Prbm.g_00402	Prap.g_01370
OG0000404	Prbm.g_00403	Prap.g_01369
OG0000405	Prbm.g_00404	Prap.g_01368
OG0000406	Prbm.g_00407	Prap.g_01365
OG0000407	Prbm.g_00408	Prap.g_01364
OG0000408	Prbm.g_00410	Prap.g_01361
OG0000409	Prbm.g_00411	Prap.g_01360
OG0000410	Prbm.g_00412	Prap.g_01359
OG0000411	Prbm.g_00413	Prap.g_01358
OG0000412	Prbm.g_00414	Prap.g_01357
OG0000413	Prbm.g_00415	Prap.g_01356
OG0000414	Prbm.g_00416	Prap.g_01355
OG0000415	Prbm.g_00417	Prap.g_01354
OG0000416	Prbm.g_00422	Prap.g_01350
OG0000417	Prbm.g_00423	Prap.g_01349
OG0000418	Prbm.g_00425	Prap.g_01347
OG0000419	Prbm.g_00426	Prap.g_01346
OG0000420	Prbm.g_00866	Prap.g_00728
OG0000421	Prbm.g_01088	Prap.g_00500
OG0000422	Prbm.g_01121	Prap.g_01827
OG0000423	Prbm.g_01353	Prap.g_00495
OG0000424	Prbm.g_01949	Prap.g_01714
OG0000425	Prbm.g_00440	Prap.g_01335
OG0000426	Prbm.g_00441	Prap.g_01334
OG0000427	Prbm.g_00442	Prap.g_01333
OG0000428	Prbm.g_00445	Prap.g_01331
OG0000429	Prbm.g_00446	Prap.g_01330
OG0000430	Prbm.g_00448	Prap.g_01328
OG0000431	Prbm.g_00449	Prap.g_01327
OG0000432	Prbm.g_00450	Prap.g_01326
OG0000433	Prbm.g_00451	Prap.g_01325
OG0000434	Prbm.g_00452	Prap.g_01324
OG0000435	Prbm.g_00453	Prap.g_01323
OG0000436	Prbm.g_00454	Prap.g_01322
OG0000437	Prbm.g_00455	Prap.g_01321
OG0000438	Prbm.g_00456	Prap.g_01320
OG0000439	Prbm.g_00457	Prap.g_01319
OG0000440	Prbm.g_00458	Prap.g_01318
OG0000441	Prbm.g_00459	Prap.g_01317
OG0000442	Prbm.g_00460	Prap.g_01316
OG0000443	Prbm.g_00461	Prap.g_01315
OG0000444	Prbm.g_00462	Prap.g_01314
OG0000445	Prbm.g_00480	Prap.g_01310
OG0000446	Prbm.g_00482	Prap.g_01308
OG0000447	Prbm.g_00483	Prap.g_01307
OG0000448	Prbm.g_00484	Prap.g_01306
OG0000449	Prbm.g_00490	Prap.g_01302
OG0000450	Prbm.g_00491	Prap.g_01301
OG0000451	Prbm.g_00492	Prap.g_01300
OG0000452	Prbm.g_00494	Prap.g_01298
OG0000453	Prbm.g_00495	Prap.g_01297
OG0000454	Prbm.g_00497	Prap.g_01296
OG0000455	Prbm.g_00498	Prap.g_01294
OG0000456	Prbm.g_00502	Prap.g_01290
OG0000457	Prbm.g_00504	Prap.g_01289
OG0000458	Prbm.g_00505	Prap.g_01288
OG0000459	Prbm.g_00507	Prap.g_01286
OG0000460	Prbm.g_00509	Prap.g_01284
OG0000461	Prbm.g_00510	Prap.g_01283
OG0000462	Prbm.g_00511	Prap.g_01282
OG0000463	Prbm.g_00512	Prap.g_01280
OG0000464	Prbm.g_00513	Prap.g_01279
OG0000465	Prbm.g_00514	Prap.g_01278
OG0000466	Prbm.g_00515	Prap.g_01277
OG0000467	Prbm.g_00516	Prap.g_01276
OG0000468	Prbm.g_00517	Prap.g_01275
OG0000469	Prbm.g_00518	Prap.g_01274
OG0000470	Prbm.g_00519	Prap.g_01273
OG0000471	Prbm.g_00520	Prap.g_01272
OG0000472	Prbm.g_00534	Prap.g_01266
OG0000473	Prbm.g_00535	Prap.g_01265
OG0000474	Prbm.g_00536	Prap.g_01264
OG0000475	Prbm.g_00537	Prap.g_01263
OG0000476	Prbm.g_00539	Prap.g_01262
OG0000477	Prbm.g_00540	Prap.g_01261
OG0000478	Prbm.g_00541	Prap.g_01260
OG0000479	Prbm.g_00542	Prap.g_01259
OG0000480	Prbm.g_00544	Prap.g_01257
OG0000481	Prbm.g_00546	Prap.g_01255
OG0000482	Prbm.g_00547	Prap.g_01254
OG0000483	Prbm.g_00549	Prap.g_01252
OG0000484	Prbm.g_00550	Prap.g_01251
OG0000485	Prbm.g_00551	Prap.g_01250
OG0000486	Prbm.g_00553	Prap.g_01249
OG0000487	Prbm.g_00557	Prap.g_01245
OG0000488	Prbm.g_00558	Prap.g_01244
OG0000489	Prbm.g_00559	Prap.g_01243
OG0000490	Prbm.g_00560	Prap.g_01242
OG0000491	Prbm.g_00561	Prap.g_01241
OG0000492	Prbm.g_00562	Prap.g_01240
OG0000493	Prbm.g_00563	Prap.g_01239
OG0000494	Prbm.g_00564	Prap.g_01238
OG0000495	Prbm.g_00567	Prap.g_01235
OG0000496	Prbm.g_00568	Prap.g_01234
OG0000497	Prbm.g_00569	Prap.g_01233
OG0000498	Prbm.g_00570	Prap.g_01232
OG0000499	Prbm.g_00571	Prap.g_01231
OG0000500	Prbm.g_00573	Prap.g_01229
OG0000501	Prbm.g_00574	Prap.g_01228
OG0000502	Prbm.g_00575	Prap.g_01227
OG0000503	Prbm.g_00577	Prap.g_01225
OG0000504	Prbm.g_00578	Prap.g_01224
OG0000505	Prbm.g_00579	Prap.g_01223
OG0000506	Prbm.g_00580	Prap.g_01222
OG0000507	Prbm.g_00581	Prap.g_01221
OG0000508	Prbm.g_00582	Prap.g_01220
OG0000509	Prbm.g_00583	Prap.g_01219
OG0000510	Prbm.g_00584	Prap.g_01218
OG0000511	Prbm.g_00586	Prap.g_01216
OG0000512	Prbm.g_00587	Prap.g_01215
OG0000513	Prbm.g_00588	Prap.g_01214
OG0000514	Prbm.g_00589	Prap.g_01213
OG0000515	Prbm.g_00590	Prap.g_01212
OG0000516	Prbm.g_00591	Prap.g_01211
OG0000517	Prbm.g_00593	Prap.g_01210
OG0000518	Prbm.g_00594	Prap.g_01209
OG0000519	Prbm.g_00595	Prap.g_01207
OG0000520	Prbm.g_00596	Prap.g_01205
OG0000521	Prbm.g_00597	Prap.g_01204
OG0000522	Prbm.g_00598	Prap.g_01203
OG0000523	Prbm.g_00599	Prap.g_01202
OG0000524	Prbm.g_00600	Prap.g_01201
OG0000525	Prbm.g_00601	Prap.g_01200
OG0000526	Prbm.g_00602	Prap.g_01199
OG0000527	Prbm.g_00603	Prap.g_01198
OG0000528	Prbm.g_00604	Prap.g_01197
OG0000529	Prbm.g_00605	Prap.g_01196
OG0000530	Prbm.g_00606	Prap.g_01195
OG0000531	Prbm.g_00607	Prap.g_01194
OG0000532	Prbm.g_00608	Prap.g_01193
OG0000533	Prbm.g_00609	Prap.g_01191
OG0000534	Prbm.g_00610	Prap.g_01190
OG0000535	Prbm.g_00611	Prap.g_01189
OG0000536	Prbm.g_00612	Prap.g_01188
OG0000537	Prbm.g_00613	Prap.g_01187
OG0000538	Prbm.g_00614	Prap.g_01186
OG0000539	Prbm.g_00616	Prap.g_01182
OG0000540	Prbm.g_00617	Prap.g_01181
OG0000541	Prbm.g_00618	Prap.g_01180
