Orthogroup	Prat	Syao
OG0000152	Prat.g_00896	Syao.g_00674
OG0000153	Prat.g_00915	Syao.g_00818, Syao.g_01176
OG0000154	Prat.g_00934	Syao.g_00447
OG0000155	Prat.g_01135	Syao.g_00178
OG0000156	Prat.g_01238	Syao.g_00151
OG0000157	Prat.g_01239	Syao.g_00152
OG0000158	Prat.g_01769	Syao.g_01141, Syao.g_02267
OG0000160	Prat.g_01354	Syao.g_01488
OG0000161	Prat.g_01360	Syao.g_01494
OG0000162	Prat.g_01366	Syao.g_01515
OG0000163	Prat.g_01409	Syao.g_01745
OG0000164	Prat.g_01615	Syao.g_01663
OG0000165	Prat.g_01623	Syao.g_01655
OG0000166	Prat.g_01690	Syao.g_01790
OG0000167	Prat.g_01759	Syao.g_01960
OG0000168	Prat.g_01770	Syao.g_02128
OG0000169	Prat.g_01781	Syao.g_02139
OG0000170	Prat.g_01784	Syao.g_02148
OG0000171	Prat.g_01804	Syao.g_02181
OG0000172	Prat.g_01811	Syao.g_02170
OG0000173	Prat.g_01826	Syao.g_02212
OG0000174	Prat.g_01858	Syao.g_02364, Syao.g_02355
OG0000175	Prat.g_01870	Syao.g_02327, Syao.g_00308
OG0000176	Prat.g_00004	Syao.g_02165
OG0000177	Prat.g_00005	Syao.g_02156
OG0000178	Prat.g_00006	Syao.g_02155
OG0000179	Prat.g_00017	Syao.g_02250
OG0000180	Prat.g_00018	Syao.g_02249
OG0000181	Prat.g_00019	Syao.g_02248
OG0000182	Prat.g_00020	Syao.g_02247
OG0000183	Prat.g_00024	Syao.g_02243
OG0000184	Prat.g_00051	Syao.g_02423
OG0000185	Prat.g_00054	Syao.g_02410
OG0000186	Prat.g_00060	Syao.g_02613
OG0000187	Prat.g_00061	Syao.g_02615
OG0000188	Prat.g_00080	Syao.g_02637
OG0000189	Prat.g_00093	Syao.g_02672
OG0000190	Prat.g_00094	Syao.g_01015
OG0000191	Prat.g_00116	Syao.g_02573
OG0000192	Prat.g_00121	Syao.g_02579
OG0000193	Prat.g_00145	Syao.g_02481
OG0000194	Prat.g_00148	Syao.g_02484
OG0000195	Prat.g_00150	Syao.g_02486
OG0000196	Prat.g_00161	Syao.g_02498
OG0000197	Prat.g_00162	Syao.g_02499
OG0000198	Prat.g_00163	Syao.g_02500
OG0000199	Prat.g_00171	Syao.g_02508
OG0000200	Prat.g_00185	Syao.g_02524
OG0000201	Prat.g_00194	Syao.g_02540
OG0000202	Prat.g_00195	Syao.g_02454
OG0000203	Prat.g_00196	Syao.g_02455
OG0000204	Prat.g_00197	Syao.g_02456
OG0000205	Prat.g_00204	Syao.g_02464
OG0000206	Prat.g_00209	Syao.g_02469
OG0000207	Prat.g_00211	Syao.g_02471
OG0000208	Prat.g_00212	Syao.g_02472
OG0000209	Prat.g_00221	Syao.g_02394
OG0000210	Prat.g_00222	Syao.g_02395
OG0000211	Prat.g_00238	Syao.g_01700
OG0000212	Prat.g_00246	Syao.g_01710
OG0000213	Prat.g_00264	Syao.g_02098
OG0000214	Prat.g_00274	Syao.g_02081
OG0000215	Prat.g_00300	Syao.g_02050
OG0000216	Prat.g_00302	Syao.g_02045
OG0000217	Prat.g_00305	Syao.g_02041
OG0000218	Prat.g_00307	Syao.g_02039
OG0000219	Prat.g_00308	Syao.g_02038
OG0000220	Prat.g_00309	Syao.g_02037
OG0000221	Prat.g_00310	Syao.g_02034
OG0000222	Prat.g_00317	Syao.g_02023
OG0000223	Prat.g_00330	Syao.g_00291
OG0000224	Prat.g_00332	Syao.g_01973
OG0000225	Prat.g_00360	Syao.g_01751
OG0000226	Prat.g_00364	Syao.g_01758
OG0000227	Prat.g_00366	Syao.g_01760
OG0000228	Prat.g_00369	Syao.g_01715
OG0000229	Prat.g_00396	Syao.g_01736
OG0000230	Prat.g_00398	Syao.g_01738
OG0000231	Prat.g_00411	Syao.g_01513
OG0000232	Prat.g_00419	Syao.g_00057
OG0000233	Prat.g_00426	Syao.g_02698
OG0000234	Prat.g_00435	Syao.g_02680
OG0000235	Prat.g_00439	Syao.g_00029
OG0000236	Prat.g_00454	Syao.g_00111
OG0000237	Prat.g_00469	Syao.g_00166
OG0000238	Prat.g_00475	Syao.g_00161
OG0000239	Prat.g_00487	Syao.g_01398
OG0000240	Prat.g_00488	Syao.g_01399
OG0000241	Prat.g_00492	Syao.g_00887
OG0000242	Prat.g_00494	Syao.g_01410
OG0000243	Prat.g_00504	Syao.g_00873
OG0000244	Prat.g_00507	Syao.g_00865
OG0000245	Prat.g_00509	Syao.g_00863
OG0000246	Prat.g_00514, Prat.g_00513	Syao.g_00859
OG0000247	Prat.g_00525	Syao.g_00847
OG0000248	Prat.g_00528	Syao.g_00844
OG0000249	Prat.g_00530	Syao.g_00842
OG0000250	Prat.g_00536	Syao.g_00835
OG0000251	Prat.g_00553	Syao.g_01026
OG0000252	Prat.g_00556	Syao.g_01020
OG0000253	Prat.g_00557	Syao.g_01003
OG0000254	Prat.g_00574	Syao.g_01053
OG0000255	Prat.g_00581	Syao.g_01009
OG0000256	Prat.g_00591	Syao.g_01328
OG0000257	Prat.g_01097	Syao.g_00884
OG0000258	Prat.g_01081	Syao.g_00907
OG0000259	Prat.g_01064	Syao.g_00933, Syao.g_00932
OG0000260	Prat.g_01061	Syao.g_00936
OG0000261	Prat.g_01058	Syao.g_00941
OG0000262	Prat.g_01054	Syao.g_00946
OG0000263	Prat.g_00754	Syao.g_00247
OG0000264	Prat.g_00765	Syao.g_00699
OG0000265	Prat.g_00788	Syao.g_00049
OG0000266	Prat.g_00801	Syao.g_00480
OG0000267	Prat.g_00814	Syao.g_00589
OG0000268	Prat.g_00815	Syao.g_00588
OG0000269	Prat.g_01042	Syao.g_00751
OG0000270	Prat.g_01039	Syao.g_00754
OG0000271	Prat.g_01031	Syao.g_00762
OG0000272	Prat.g_01030	Syao.g_00763
OG0000273	Prat.g_01007	Syao.g_00791
OG0000274	Prat.g_01006	Syao.g_00792
OG0000275	Prat.g_01004	Syao.g_00438
OG0000276	Prat.g_00999	Syao.g_00558
OG0000277	Prat.g_00998	Syao.g_00557
OG0000278	Prat.g_00995	Syao.g_00554
OG0000279	Prat.g_00988	Syao.g_00529
OG0000280	Prat.g_00987	Syao.g_00608
OG0000281	Prat.g_00980	Syao.g_01377
OG0000282	Prat.g_00718	Syao.g_00967
OG0000283	Prat.g_00868	Syao.g_00640
OG0000284	Prat.g_00873	Syao.g_00634
OG0000285	Prat.g_00879	Syao.g_00706
OG0000286	Prat.g_00895	Syao.g_00675
OG0000287	Prat.g_00912	Syao.g_00825
OG0000288	Prat.g_00933	Syao.g_00446
OG0000289	Prat.g_00948	Syao.g_00461
OG0000290	Prat.g_00962	Syao.g_00428
OG0000291	Prat.g_00964	Syao.g_00333
OG0000292	Prat.g_01208	Syao.g_02196
OG0000293	Prat.g_01165	Syao.g_00136
OG0000294	Prat.g_01164	Syao.g_00135
OG0000295	Prat.g_01142	Syao.g_00186
OG0000296	Prat.g_01140	Syao.g_00184
OG0000297	Prat.g_01131	Syao.g_00171
OG0000298	Prat.g_01130	Syao.g_00170
OG0000299	Prat.g_01112	Syao.g_00231
OG0000300	Prat.g_01108	Syao.g_00274
OG0000301	Prat.g_01107	Syao.g_00272, Syao.g_00273
OG0000302	Prat.g_01105	Syao.g_00271
OG0000303	Prat.g_01099	Syao.g_00262
OG0000304	Prat.g_00595	Syao.g_00256
OG0000305	Prat.g_01200	Syao.g_00388
OG0000306	Prat.g_00976	Syao.g_01216
OG0000307	Prat.g_01300	Syao.g_00045
OG0000308	Prat.g_01301	Syao.g_00047
OG0000309	Prat.g_01305	Syao.g_02705
OG0000310	Prat.g_01336	Syao.g_01530
OG0000311	Prat.g_01338	Syao.g_01533
OG0000312	Prat.g_01341	Syao.g_01538
OG0000313	Prat.g_01357	Syao.g_01491
OG0000314	Prat.g_01382	Syao.g_00078
OG0000315	Prat.g_01392	Syao.g_00088
OG0000316	Prat.g_01420	Syao.g_01602
OG0000317	Prat.g_01589	Syao.g_01560
OG0000318	Prat.g_01593	Syao.g_01553
OG0000319	Prat.g_01605	Syao.g_01678
OG0000320	Prat.g_01607	Syao.g_01676
OG0000321	Prat.g_01608	Syao.g_01675
OG0000322	Prat.g_01609	Syao.g_01674
OG0000323	Prat.g_01618	Syao.g_01661
OG0000324	Prat.g_01647	Syao.g_01630
OG0000325	Prat.g_01657	Syao.g_01936
OG0000326	Prat.g_01664	Syao.g_01918
OG0000327	Prat.g_01685	Syao.g_01795
OG0000328	Prat.g_01686	Syao.g_01794
OG0000329	Prat.g_01703	Syao.g_01776
OG0000330	Prat.g_01704	Syao.g_01775
OG0000331	Prat.g_01705	Syao.g_01774
OG0000332	Prat.g_01718	Syao.g_01813
OG0000333	Prat.g_01720	Syao.g_01810
OG0000334	Prat.g_01729	Syao.g_01836
OG0000335	Prat.g_01734	Syao.g_01831
OG0000336	Prat.g_01738	Syao.g_01827
OG0000337	Prat.g_01756	Syao.g_01968
OG0000338	Prat.g_01757	Syao.g_01962
OG0000339	Prat.g_01762	Syao.g_02259
OG0000340	Prat.g_01771	Syao.g_02129
OG0000341	Prat.g_01773	Syao.g_02131
OG0000342	Prat.g_01775	Syao.g_02132
OG0000343	Prat.g_01776	Syao.g_02133
OG0000344	Prat.g_01779	Syao.g_02137
OG0000345	Prat.g_01785	Syao.g_01953
OG0000346	Prat.g_01789	Syao.g_01948
OG0000347	Prat.g_01806	Syao.g_02178
OG0000348	Prat.g_01814	Syao.g_02166
OG0000349	Prat.g_01832	Syao.g_02219
OG0000350	Prat.g_01853	Syao.g_01925
OG0000351	Prat.g_01873	Syao.g_02331
OG0000352	Prat.g_01874	Syao.g_02332
OG0000353	Prat.g_01892	Syao.g_02160
OG0000354	Prat.g_00845	Syao.g_00154, Syao.g_00155, Syao.g_02252
OG0000355	Prat.g_00001	Syao.g_02162
OG0000356	Prat.g_00002	Syao.g_02163
OG0000357	Prat.g_00003	Syao.g_02164
OG0000358	Prat.g_00007	Syao.g_02154
OG0000359	Prat.g_00008	Syao.g_02152
OG0000360	Prat.g_00009	Syao.g_02151
OG0000361	Prat.g_00010	Syao.g_02150
OG0000362	Prat.g_00013	Syao.g_01954
OG0000363	Prat.g_00015	Syao.g_02255
OG0000364	Prat.g_00016	Syao.g_01558
OG0000365	Prat.g_00021	Syao.g_02246
OG0000366	Prat.g_00022	Syao.g_02245
OG0000367	Prat.g_00023	Syao.g_02244
OG0000368	Prat.g_00025	Syao.g_02242
OG0000369	Prat.g_00026	Syao.g_02241
OG0000370	Prat.g_00027	Syao.g_02240
OG0000371	Prat.g_00034	Syao.g_02231
OG0000372	Prat.g_00036	Syao.g_02226
OG0000373	Prat.g_00037	Syao.g_02225
OG0000374	Prat.g_00038	Syao.g_02224
OG0000375	Prat.g_00042	Syao.g_02223
OG0000376	Prat.g_00044	Syao.g_02221
OG0000377	Prat.g_00048	Syao.g_02429
OG0000378	Prat.g_00052	Syao.g_02414
OG0000379	Prat.g_00055	Syao.g_02409
OG0000380	Prat.g_00062	Syao.g_02616
OG0000381	Prat.g_00067	Syao.g_02618
OG0000382	Prat.g_00079	Syao.g_02636
OG0000383	Prat.g_00081	Syao.g_02643
OG0000384	Prat.g_00082	Syao.g_02644
OG0000385	Prat.g_00083	Syao.g_02645
OG0000386	Prat.g_00084	Syao.g_02646
OG0000387	Prat.g_00096	Syao.g_01019
OG0000388	Prat.g_00100	Syao.g_02596
OG0000389	Prat.g_00103	Syao.g_02599
OG0000390	Prat.g_00112	Syao.g_02567
OG0000391	Prat.g_00115	Syao.g_02572
OG0000392	Prat.g_00118	Syao.g_02578
OG0000393	Prat.g_00122	Syao.g_02581
OG0000394	Prat.g_00123	Syao.g_02582
OG0000395	Prat.g_00124	Syao.g_02583
OG0000396	Prat.g_00126	Syao.g_02586
OG0000397	Prat.g_00128	Syao.g_02542
OG0000398	Prat.g_00131	Syao.g_02547
OG0000399	Prat.g_00132	Syao.g_02548
OG0000400	Prat.g_00133	Syao.g_02549
OG0000401	Prat.g_00134	Syao.g_02550
OG0000402	Prat.g_00601	Syao.g_02552
OG0000403	Prat.g_00136	Syao.g_02553
OG0000404	Prat.g_00137	Syao.g_02554
OG0000405	Prat.g_00141	Syao.g_02478
OG0000406	Prat.g_00146	Syao.g_02482
OG0000407	Prat.g_00147	Syao.g_02483
OG0000408	Prat.g_00149	Syao.g_02485
OG0000409	Prat.g_00151	Syao.g_02487
OG0000410	Prat.g_00152	Syao.g_02488
OG0000411	Prat.g_00153	Syao.g_02489
OG0000412	Prat.g_00154	Syao.g_02490
OG0000413	Prat.g_00156	Syao.g_02492
OG0000414	Prat.g_00157	Syao.g_02493
OG0000415	Prat.g_00158	Syao.g_02494
OG0000416	Prat.g_00159	Syao.g_02495
OG0000417	Prat.g_00160	Syao.g_02497
OG0000418	Prat.g_00165	Syao.g_02502
OG0000419	Prat.g_00167	Syao.g_02504
OG0000420	Prat.g_00169	Syao.g_02506
OG0000421	Prat.g_00174	Syao.g_02510
OG0000422	Prat.g_00175	Syao.g_02511
OG0000423	Prat.g_00176	Syao.g_02512
OG0000424	Prat.g_00177	Syao.g_02513
OG0000425	Prat.g_00178	Syao.g_02514
OG0000426	Prat.g_00179	Syao.g_02515
OG0000427	Prat.g_00180	Syao.g_02516
OG0000428	Prat.g_00182	Syao.g_02519
OG0000429	Prat.g_00183	Syao.g_02522
OG0000430	Prat.g_00184	Syao.g_02523
OG0000431	Prat.g_00186	Syao.g_02526
OG0000432	Prat.g_00190	Syao.g_02532
OG0000433	Prat.g_00191	Syao.g_02534
OG0000434	Prat.g_00192	Syao.g_02535
OG0000435	Prat.g_00193	Syao.g_02538
OG0000436	Prat.g_00198	Syao.g_02458
OG0000437	Prat.g_00199	Syao.g_02459
OG0000438	Prat.g_00200	Syao.g_02460
OG0000439	Prat.g_00202	Syao.g_02462
OG0000440	Prat.g_00203	Syao.g_02463
OG0000441	Prat.g_00206	Syao.g_02466
OG0000442	Prat.g_00207	Syao.g_02467
OG0000443	Prat.g_00208	Syao.g_02468
OG0000444	Prat.g_00213	Syao.g_02473
OG0000445	Prat.g_00214	Syao.g_02474
OG0000446	Prat.g_00215	Syao.g_02476
OG0000447	Prat.g_00216	Syao.g_02383
OG0000448	Prat.g_00217	Syao.g_02384
OG0000449	Prat.g_00218	Syao.g_02385
OG0000450	Prat.g_00219	Syao.g_02391
OG0000451	Prat.g_00220	Syao.g_02392
OG0000452	Prat.g_00223	Syao.g_02396
OG0000453	Prat.g_00224	Syao.g_02397
OG0000454	Prat.g_00225	Syao.g_02398
OG0000455	Prat.g_00226	Syao.g_02399
OG0000456	Prat.g_00227	Syao.g_02400
OG0000457	Prat.g_00229	Syao.g_02402
OG0000458	Prat.g_00230	Syao.g_02403
OG0000459	Prat.g_00231	Syao.g_02404
OG0000460	Prat.g_00240	Syao.g_01702
OG0000461	Prat.g_00249	Syao.g_02119
OG0000462	Prat.g_00250	Syao.g_02116
OG0000463	Prat.g_00251	Syao.g_02115
OG0000464	Prat.g_00252	Syao.g_02114
OG0000465	Prat.g_00253	Syao.g_02112
OG0000466	Prat.g_00256	Syao.g_02107
OG0000467	Prat.g_00257	Syao.g_02106
OG0000468	Prat.g_00260	Syao.g_02102
OG0000469	Prat.g_00269	Syao.g_02087
OG0000470	Prat.g_00271	Syao.g_02085
OG0000471	Prat.g_00272	Syao.g_02084
OG0000472	Prat.g_00273	Syao.g_02082
OG0000473	Prat.g_00275	Syao.g_02080
OG0000474	Prat.g_00276	Syao.g_02079
OG0000475	Prat.g_00277	Syao.g_02078
OG0000476	Prat.g_00279	Syao.g_02076
OG0000477	Prat.g_00282	Syao.g_02069
OG0000478	Prat.g_00283	Syao.g_02068
OG0000479	Prat.g_00284	Syao.g_02067
OG0000480	Prat.g_00290	Syao.g_02060
OG0000481	Prat.g_00292	Syao.g_01012
OG0000482	Prat.g_00293	Syao.g_02058
OG0000483	Prat.g_00296	Syao.g_02054
OG0000484	Prat.g_00297	Syao.g_02053
OG0000485	Prat.g_00298	Syao.g_02052
OG0000486	Prat.g_00299	Syao.g_02051
OG0000487	Prat.g_00303	Syao.g_02044
OG0000488	Prat.g_00306	Syao.g_02040
OG0000489	Prat.g_00311	Syao.g_02033
OG0000490	Prat.g_00315	Syao.g_02025
OG0000491	Prat.g_00316	Syao.g_02024
OG0000492	Prat.g_00318	Syao.g_02022
OG0000493	Prat.g_00319	Syao.g_02021
OG0000494	Prat.g_00320	Syao.g_02020
OG0000495	Prat.g_00321	Syao.g_02018
OG0000496	Prat.g_00322	Syao.g_02017
OG0000497	Prat.g_00323	Syao.g_02016
OG0000498	Prat.g_00324	Syao.g_02015
OG0000499	Prat.g_00325	Syao.g_02014
OG0000500	Prat.g_00326	Syao.g_02013
OG0000501	Prat.g_00328	Syao.g_02010
OG0000502	Prat.g_00331	Syao.g_01974
OG0000503	Prat.g_00348	Syao.g_01877
OG0000504	Prat.g_00350	Syao.g_01875
OG0000505	Prat.g_00351	Syao.g_01874
OG0000506	Prat.g_00352	Syao.g_01872
OG0000507	Prat.g_00355	Syao.g_01866
OG0000508	Prat.g_00359	Syao.g_01750
OG0000509	Prat.g_00361	Syao.g_01755
OG0000510	Prat.g_00362	Syao.g_01756
OG0000511	Prat.g_00363	Syao.g_01757
OG0000512	Prat.g_00365	Syao.g_01759
OG0000513	Prat.g_00373	Syao.g_01720
OG0000514	Prat.g_00390	Syao.g_01727
OG0000515	Prat.g_00391	Syao.g_01728
OG0000516	Prat.g_00392	Syao.g_01730
OG0000517	Prat.g_00395	Syao.g_01735
OG0000518	Prat.g_00407	Syao.g_01621
OG0000519	Prat.g_00408	Syao.g_01622
OG0000520	Prat.g_00410	Syao.g_01512
OG0000521	Prat.g_00415	Syao.g_00061
OG0000522	Prat.g_00417	Syao.g_00059
OG0000523	Prat.g_00418	Syao.g_00058
OG0000524	Prat.g_00424	Syao.g_02699
OG0000525	Prat.g_00428	Syao.g_02691
OG0000526	Prat.g_00429	Syao.g_02688
OG0000527	Prat.g_00432	Syao.g_02684
OG0000528	Prat.g_00438	Syao.g_00031
OG0000529	Prat.g_00441	Syao.g_00027
OG0000530	Prat.g_00444	Syao.g_00122
OG0000531	Prat.g_00445	Syao.g_00121
OG0000532	Prat.g_00447	Syao.g_00118
OG0000533	Prat.g_00448	Syao.g_00116
OG0000534	Prat.g_00449	Syao.g_00115
OG0000535	Prat.g_00450	Syao.g_00114
OG0000536	Prat.g_00451	Syao.g_00113
OG0000537	Prat.g_00453	Syao.g_00112
OG0000538	Prat.g_00463	Syao.g_00100
OG0000539	Prat.g_00464	Syao.g_00099
OG0000540	Prat.g_00465	Syao.g_00098
OG0000541	Prat.g_00466	Syao.g_00097
OG0000542	Prat.g_00468	Syao.g_00167
OG0000543	Prat.g_00470	Syao.g_00165
OG0000544	Prat.g_00471	Syao.g_00164
OG0000545	Prat.g_00473	Syao.g_00162
OG0000546	Prat.g_00476	Syao.g_00160
OG0000547	Prat.g_00478	Syao.g_00158
OG0000548	Prat.g_00479	Syao.g_00157
OG0000549	Prat.g_00482	Syao.g_01391
OG0000550	Prat.g_00486	Syao.g_01396
OG0000551	Prat.g_00489	Syao.g_01401
OG0000552	Prat.g_00490	Syao.g_01402
OG0000553	Prat.g_00491	Syao.g_01404
OG0000554	Prat.g_00496	Syao.g_01413
OG0000555	Prat.g_00503	Syao.g_00875
OG0000556	Prat.g_00505	Syao.g_00871
OG0000557	Prat.g_00506	Syao.g_00866
OG0000558	Prat.g_00508	Syao.g_00864
OG0000559	Prat.g_00512	Syao.g_00860
OG0000560	Prat.g_00516	Syao.g_00857
OG0000561	Prat.g_00517	Syao.g_00856
OG0000562	Prat.g_00518	Syao.g_00855
OG0000563	Prat.g_00519	Syao.g_00854
OG0000564	Prat.g_00520	Syao.g_00853
OG0000565	Prat.g_00523	Syao.g_00849
OG0000566	Prat.g_00527	Syao.g_00845
OG0000567	Prat.g_00531	Syao.g_00841
OG0000568	Prat.g_00532	Syao.g_00839
OG0000569	Prat.g_00533	Syao.g_00838
OG0000570	Prat.g_00534	Syao.g_00837
OG0000571	Prat.g_00537	Syao.g_00834
OG0000572	Prat.g_00549	Syao.g_01033
OG0000573	Prat.g_00554	Syao.g_01022
OG0000574	Prat.g_00555	Syao.g_01021
OG0000575	Prat.g_00559	Syao.g_01000
OG0000576	Prat.g_00561	Syao.g_00996
OG0000577	Prat.g_00562	Syao.g_00995
OG0000578	Prat.g_00563	Syao.g_00994
OG0000579	Prat.g_00564	Syao.g_00993
OG0000580	Prat.g_00565	Syao.g_00992
OG0000581	Prat.g_00568	Syao.g_01059
OG0000582	Prat.g_00571	Syao.g_01204
OG0000583	Prat.g_00572	Syao.g_01205
OG0000584	Prat.g_00573	Syao.g_01206
