Orthogroup	Prat	Syal
OG0000081	Prat.g_00493	Syal.g_02555
OG0000082	Prat.g_01507	Syal.g_02769
OG0000084	Prat.g_01348	Syal.g_01896, Syal.g_00023
OG0000085	Prat.g_01584	Syal.g_00575
OG0000086	Prat.g_00086	Syal.g_00784
OG0000087	Prat.g_00138	Syal.g_00871
OG0000088	Prat.g_00166	Syal.g_00908
OG0000089	Prat.g_00370	Syal.g_00555
OG0000090	Prat.g_00495	Syal.g_02838
OG0000091	Prat.g_01082	Syal.g_02628
OG0000092	Prat.g_01275	Syal.g_00470
OG0000093	Prat.g_01053	Syal.g_02233
OG0000094	Prat.g_00943	Syal.g_01907
OG0000095	Prat.g_00965	Syal.g_01823
OG0000097	Prat.g_01111	Syal.g_01735, Syal.g_01553
OG0000098	Prat.g_01282	Syal.g_02196
OG0000099	Prat.g_01312	Syal.g_01323
OG0000100	Prat.g_01437	Syal.g_02448
OG0000101	Prat.g_01726	Syal.g_00275
OG0000102	Prat.g_01793	Syal.g_01488
OG0000103	Prat.g_01880	Syal.g_00077, Syal.g_01897
OG0000104	Prat.g_01889	Syal.g_00092
OG0000105	Prat.g_00281	Syal.g_01255
OG0000106	Prat.g_00637	Syal.g_02577
OG0000107	Prat.g_01656	Syal.g_00194
OG0000108	Prat.g_00440	Syal.g_02897
OG0000109	Prat.g_00455	Syal.g_02913
OG0000110	Prat.g_00539	Syal.g_02782
OG0000111	Prat.g_00776	Syal.g_01813
OG0000112	Prat.g_00888	Syal.g_02000
OG0000113	Prat.g_01014	Syal.g_02443
OG0000114	Prat.g_00716	Syal.g_02286
OG0000115	Prat.g_01373	Syal.g_00404
OG0000116	Prat.g_01166	Syal.g_01630
OG0000117	Prat.g_01129	Syal.g_01704
OG0000118	Prat.g_01261	Syal.g_01583
OG0000119	Prat.g_00647, Prat.g_01452	Syal.g_02056
OG0000120	Prat.g_00344	Syal.g_01324
OG0000121	Prat.g_01355	Syal.g_00374
OG0000122	Prat.g_00781, Prat.g_01398	Syal.g_02602
OG0000123	Prat.g_01733	Syal.g_00283
OG0000124	Prat.g_01805	Syal.g_01519
OG0000125	Prat.g_01841	Syal.g_01075
OG0000126	Prat.g_01888	Syal.g_00090
OG0000128	Prat.g_00012, Prat.g_00011	Syal.g_00109
OG0000129	Prat.g_00047	Syal.g_01062
OG0000130	Prat.g_00066	Syal.g_00751
OG0000131	Prat.g_00144	Syal.g_00886
OG0000132	Prat.g_00164	Syal.g_00906
OG0000133	Prat.g_00329	Syal.g_01995
OG0000134	Prat.g_00372	Syal.g_00552
OG0000135	Prat.g_01477	Syal.g_01119
OG0000136	Prat.g_00401	Syal.g_00520
OG0000137	Prat.g_00434	Syal.g_00463
OG0000138	Prat.g_00456	Syal.g_02914
OG0000139	Prat.g_00499	Syal.g_02832
OG0000140	Prat.g_00500	Syal.g_02830
OG0000141	Prat.g_00570	Syal.g_02738
OG0000142	Prat.g_01090	Syal.g_02636
OG0000143	Prat.g_01086	Syal.g_02632
OG0000144	Prat.g_01072	Syal.g_02515
OG0000145	Prat.g_01472	Syal.g_02921
OG0000146	Prat.g_00887	Syal.g_02001
OG0000147	Prat.g_00886	Syal.g_02002
OG0000148	Prat.g_01020	Syal.g_02437
OG0000149	Prat.g_00991	Syal.g_02475
OG0000150	Prat.g_00981	Syal.g_02737
OG0000151	Prat.g_00726	Syal.g_02263
OG0000152	Prat.g_00896	Syal.g_01991
OG0000153	Prat.g_00915	Syal.g_01958
OG0000154	Prat.g_00934	Syal.g_01918
OG0000155	Prat.g_01135	Syal.g_01695
OG0000156	Prat.g_01238	Syal.g_01620
OG0000157	Prat.g_01239	Syal.g_01619
OG0000158	Prat.g_01769	Syal.g_01431
OG0000160	Prat.g_01354	Syal.g_00372
OG0000161	Prat.g_01360	Syal.g_00384
OG0000162	Prat.g_01366	Syal.g_00396
OG0000163	Prat.g_01409	Syal.g_02971
OG0000164	Prat.g_01615	Syal.g_00623
OG0000165	Prat.g_01623	Syal.g_00632
OG0000166	Prat.g_01690	Syal.g_00236
OG0000167	Prat.g_01759	Syal.g_01347
OG0000168	Prat.g_01770	Syal.g_01433
OG0000169	Prat.g_01781	Syal.g_01447
OG0000170	Prat.g_01784	Syal.g_01454
OG0000171	Prat.g_01804	Syal.g_01518
OG0000172	Prat.g_01811	Syal.g_00174, Syal.g_00173
OG0000173	Prat.g_01826	Syal.g_00155
OG0000174	Prat.g_01858	Syal.g_01121
OG0000175	Prat.g_01870	Syal.g_01172
OG0000176	Prat.g_00004	Syal.g_00101
OG0000177	Prat.g_00005	Syal.g_00102
OG0000178	Prat.g_00006	Syal.g_00103
OG0000179	Prat.g_00017	Syal.g_00118
OG0000180	Prat.g_00018	Syal.g_00119
OG0000181	Prat.g_00019	Syal.g_00120
OG0000182	Prat.g_00020	Syal.g_00121
OG0000183	Prat.g_00024, Prat.g_01314	Syal.g_00125
OG0000184	Prat.g_00051	Syal.g_02678, Syal.g_01050
OG0000185	Prat.g_00054	Syal.g_01025
OG0000186	Prat.g_00060	Syal.g_02684, Syal.g_00747
OG0000187	Prat.g_00061	Syal.g_02685, Syal.g_00748
OG0000188	Prat.g_00080	Syal.g_00771
OG0000189	Prat.g_00093	Syal.g_00807
OG0000190	Prat.g_00094	Syal.g_01364
OG0000191	Prat.g_00116	Syal.g_00841
OG0000192	Prat.g_00121	Syal.g_00847
OG0000193	Prat.g_00145	Syal.g_00887
OG0000194	Prat.g_00148	Syal.g_00890
OG0000195	Prat.g_00150	Syal.g_00892
OG0000196	Prat.g_00161	Syal.g_00903
OG0000197	Prat.g_00162	Syal.g_00904
OG0000198	Prat.g_00163	Syal.g_00905
OG0000199	Prat.g_00171	Syal.g_00913
OG0000200	Prat.g_00185	Syal.g_00932
OG0000201	Prat.g_00194	Syal.g_00949
OG0000202	Prat.g_00195	Syal.g_00950
OG0000203	Prat.g_00196	Syal.g_00951
OG0000204	Prat.g_00197	Syal.g_00952
OG0000205	Prat.g_00204	Syal.g_00959
OG0000206	Prat.g_00209	Syal.g_00971
OG0000207	Prat.g_00211	Syal.g_00974
OG0000208	Prat.g_00212	Syal.g_00975
OG0000209	Prat.g_00221	Syal.g_01000
OG0000210	Prat.g_00222	Syal.g_01001
OG0000211	Prat.g_00238	Syal.g_00688
OG0000212	Prat.g_00246	Syal.g_00679
OG0000213	Prat.g_00264	Syal.g_01229
OG0000214	Prat.g_00274	Syal.g_01246
OG0000215	Prat.g_00300	Syal.g_01277
OG0000216	Prat.g_00302	Syal.g_01281
OG0000217	Prat.g_00305	Syal.g_01285
OG0000218	Prat.g_00307	Syal.g_01287
OG0000219	Prat.g_00308	Syal.g_01288
OG0000220	Prat.g_00309	Syal.g_01289
OG0000221	Prat.g_00310	Syal.g_01297
OG0000222	Prat.g_00317	Syal.g_01309
OG0000223	Prat.g_00330	Syal.g_01327
OG0000224	Prat.g_00332	Syal.g_01329
OG0000225	Prat.g_00360	Syal.g_00363
OG0000226	Prat.g_00364	Syal.g_00367
OG0000227	Prat.g_00366	Syal.g_00369
OG0000228	Prat.g_00369	Syal.g_00556
OG0000229	Prat.g_00396	Syal.g_00525
OG0000230	Prat.g_00398	Syal.g_00523
OG0000231	Prat.g_00411	Syal.g_00510
OG0000232	Prat.g_00419	Syal.g_00495
OG0000233	Prat.g_00426	Syal.g_00487
OG0000234	Prat.g_00435	Syal.g_00461
OG0000235	Prat.g_00439	Syal.g_02896
OG0000236	Prat.g_00454	Syal.g_02912
OG0000237	Prat.g_00469	Syal.g_02930
OG0000238	Prat.g_00475	Syal.g_02935
OG0000239	Prat.g_00487	Syal.g_02951
OG0000240	Prat.g_00488	Syal.g_02952
OG0000241	Prat.g_00492	Syal.g_02696
OG0000242	Prat.g_00494	Syal.g_02840
OG0000243	Prat.g_00504	Syal.g_02822
OG0000244	Prat.g_00507	Syal.g_02815
OG0000245	Prat.g_00509	Syal.g_02813
OG0000246	Prat.g_00514, Prat.g_00513	Syal.g_02809
OG0000247	Prat.g_00525	Syal.g_02797
OG0000248	Prat.g_00528	Syal.g_02794
OG0000249	Prat.g_00530	Syal.g_02792
OG0000250	Prat.g_00536	Syal.g_02786
OG0000251	Prat.g_00553	Syal.g_02760
OG0000252	Prat.g_00556	Syal.g_02757
OG0000253	Prat.g_00557	Syal.g_02755
OG0000254	Prat.g_00574	Syal.g_02732
OG0000255	Prat.g_00581	Syal.g_02719
OG0000256	Prat.g_00591	Syal.g_02705
OG0000257	Prat.g_01097	Syal.g_02697
OG0000258	Prat.g_01081	Syal.g_02623
OG0000259	Prat.g_01064	Syal.g_02182
OG0000260	Prat.g_01061	Syal.g_02188
OG0000261	Prat.g_01058	Syal.g_02199
OG0000262	Prat.g_01054	Syal.g_02204
OG0000263	Prat.g_00754	Syal.g_01720
OG0000264	Prat.g_00765	Syal.g_01788
OG0000265	Prat.g_00788	Syal.g_02534
OG0000266	Prat.g_00801	Syal.g_02421
OG0000267	Prat.g_00814	Syal.g_02043
OG0000268	Prat.g_00815	Syal.g_02042
OG0000269	Prat.g_01042	Syal.g_02409
OG0000270	Prat.g_01039	Syal.g_02412
OG0000271	Prat.g_01031	Syal.g_01871
OG0000272	Prat.g_01030	Syal.g_01872
OG0000273	Prat.g_01007	Syal.g_02454
OG0000274	Prat.g_01006	Syal.g_02455
OG0000275	Prat.g_01004	Syal.g_02458
OG0000276	Prat.g_00999	Syal.g_02467
OG0000277	Prat.g_00998	Syal.g_02468
OG0000278	Prat.g_00995	Syal.g_02471
OG0000279	Prat.g_00988	Syal.g_02479
OG0000280	Prat.g_00987	Syal.g_02493
OG0000281	Prat.g_00980	Syal.g_02190
OG0000282	Prat.g_00718	Syal.g_02284
OG0000283	Prat.g_00868	Syal.g_02028, Syal.g_02131
OG0000284	Prat.g_00873	Syal.g_02023
OG0000285	Prat.g_00879	Syal.g_02012
OG0000286	Prat.g_00895	Syal.g_01992
OG0000287	Prat.g_00912	Syal.g_01965
OG0000288	Prat.g_00933	Syal.g_01919
OG0000289	Prat.g_00948	Syal.g_01904
OG0000290	Prat.g_00962	Syal.g_01826
OG0000291	Prat.g_00964	Syal.g_01824
OG0000292	Prat.g_01208	Syal.g_00089
OG0000293	Prat.g_01165	Syal.g_01631
OG0000294	Prat.g_01164	Syal.g_01632
OG0000295	Prat.g_01142	Syal.g_01687
OG0000296	Prat.g_01140	Syal.g_01689
OG0000297	Prat.g_01131	Syal.g_01702
OG0000298	Prat.g_01130	Syal.g_01703
OG0000299	Prat.g_01112	Syal.g_01732
OG0000300	Prat.g_01108	Syal.g_01738
OG0000301	Prat.g_01107	Syal.g_01739
OG0000302	Prat.g_01105	Syal.g_01740
OG0000303	Prat.g_01099	Syal.g_01763
OG0000304	Prat.g_00595	Syal.g_01756
OG0000305	Prat.g_01200	Syal.g_01821
OG0000306	Prat.g_00976	Syal.g_02579
OG0000307	Prat.g_01300	Syal.g_02880
OG0000308	Prat.g_01301	Syal.g_02878
OG0000309	Prat.g_01305	Syal.g_02873
OG0000310	Prat.g_01336	Syal.g_01537
OG0000311	Prat.g_01338	Syal.g_00061
OG0000312	Prat.g_01341	Syal.g_00031
OG0000313	Prat.g_01357	Syal.g_00381
OG0000314	Prat.g_01382	Syal.g_00416
OG0000315	Prat.g_01392	Syal.g_00426
OG0000316	Prat.g_01420	Syal.g_02987
OG0000317	Prat.g_01589	Syal.g_00583
OG0000318	Prat.g_01593	Syal.g_00588
OG0000319	Prat.g_01605	Syal.g_00608
OG0000320	Prat.g_01607	Syal.g_00610
OG0000321	Prat.g_01608	Syal.g_00611
OG0000322	Prat.g_01609	Syal.g_00612
OG0000323	Prat.g_01618	Syal.g_00626
OG0000324	Prat.g_01647	Syal.g_00656
OG0000325	Prat.g_01657	Syal.g_00195
OG0000326	Prat.g_01664	Syal.g_00202
OG0000327	Prat.g_01685	Syal.g_00230
OG0000328	Prat.g_01686	Syal.g_00231
OG0000329	Prat.g_01703	Syal.g_00249
OG0000330	Prat.g_01704	Syal.g_00250
OG0000331	Prat.g_01705	Syal.g_00251
OG0000332	Prat.g_01718	Syal.g_00266
OG0000333	Prat.g_01720	Syal.g_00269
OG0000334	Prat.g_01729	Syal.g_00279
OG0000335	Prat.g_01734	Syal.g_00284
OG0000336	Prat.g_01738	Syal.g_00288
OG0000337	Prat.g_01756	Syal.g_01343
OG0000338	Prat.g_01757	Syal.g_01345
OG0000339	Prat.g_01762	Syal.g_01351
OG0000340	Prat.g_01771	Syal.g_01434
OG0000341	Prat.g_01773	Syal.g_01436
OG0000342	Prat.g_01775	Syal.g_01437
OG0000343	Prat.g_01776	Syal.g_01441
OG0000344	Prat.g_01779	Syal.g_01445
OG0000345	Prat.g_01785	Syal.g_01455
OG0000346	Prat.g_01789	Syal.g_01460
OG0000347	Prat.g_01806	Syal.g_01525
OG0000348	Prat.g_01814	Syal.g_00170
OG0000349	Prat.g_01832	Syal.g_00148
OG0000350	Prat.g_01853	Syal.g_00209
OG0000351	Prat.g_01873	Syal.g_01175
OG0000352	Prat.g_01874	Syal.g_01176
OG0000353	Prat.g_01892	Syal.g_00095
OG0000354	Prat.g_00845	Syal.g_02941, Syal.g_00116
OG0000355	Prat.g_00001	Syal.g_00098
OG0000356	Prat.g_00002	Syal.g_00099
OG0000357	Prat.g_00003	Syal.g_00100
OG0000358	Prat.g_00007	Syal.g_00104
OG0000359	Prat.g_00008	Syal.g_00106
OG0000360	Prat.g_00009	Syal.g_00107
OG0000361	Prat.g_00010	Syal.g_00108
OG0000362	Prat.g_00013	Syal.g_00110
OG0000363	Prat.g_00015	Syal.g_00112
OG0000364	Prat.g_00016	Syal.g_00113
OG0000365	Prat.g_00021	Syal.g_00122
OG0000366	Prat.g_00022	Syal.g_00123
OG0000367	Prat.g_00023	Syal.g_00124
OG0000368	Prat.g_00025	Syal.g_00126
OG0000369	Prat.g_00026	Syal.g_00127
OG0000370	Prat.g_00027	Syal.g_00128
OG0000371	Prat.g_00034	Syal.g_00135
OG0000372	Prat.g_00036	Syal.g_00141
OG0000373	Prat.g_00037	Syal.g_00142
OG0000374	Prat.g_00038	Syal.g_00143
OG0000375	Prat.g_00042	Syal.g_00144
OG0000376	Prat.g_00044	Syal.g_00146
OG0000377	Prat.g_00048	Syal.g_01061
OG0000378	Prat.g_00052	Syal.g_01027
OG0000379	Prat.g_00055	Syal.g_02681, Syal.g_01024
OG0000380	Prat.g_00062	Syal.g_00749
OG0000381	Prat.g_00067	Syal.g_00752
OG0000382	Prat.g_00079	Syal.g_00770
OG0000383	Prat.g_00081	Syal.g_00775
OG0000384	Prat.g_00082	Syal.g_00776
OG0000385	Prat.g_00083	Syal.g_00777
OG0000386	Prat.g_00084	Syal.g_00778
OG0000387	Prat.g_00096	Syal.g_00811
OG0000388	Prat.g_00100	Syal.g_00815
OG0000389	Prat.g_00103	Syal.g_00819
OG0000390	Prat.g_00112	Syal.g_00835
OG0000391	Prat.g_00115	Syal.g_00840
OG0000392	Prat.g_00118	Syal.g_00846
OG0000393	Prat.g_00122	Syal.g_00849
OG0000394	Prat.g_00123	Syal.g_00850
OG0000395	Prat.g_00124	Syal.g_00851
OG0000396	Prat.g_00126	Syal.g_00854
OG0000397	Prat.g_00128	Syal.g_00857
OG0000398	Prat.g_00131	Syal.g_00862
OG0000399	Prat.g_00132	Syal.g_00863
OG0000400	Prat.g_00133	Syal.g_00864
OG0000401	Prat.g_00134	Syal.g_00865
OG0000402	Prat.g_00601	Syal.g_00867
OG0000403	Prat.g_00136	Syal.g_00868
OG0000404	Prat.g_00137	Syal.g_00870
OG0000405	Prat.g_00141	Syal.g_00883
OG0000406	Prat.g_00146	Syal.g_00888
OG0000407	Prat.g_00147	Syal.g_00889
OG0000408	Prat.g_00149	Syal.g_00891
OG0000409	Prat.g_00151	Syal.g_00893
OG0000410	Prat.g_00152	Syal.g_00894
OG0000411	Prat.g_00153	Syal.g_00895
OG0000412	Prat.g_00154	Syal.g_00896
OG0000413	Prat.g_00156	Syal.g_00898
OG0000414	Prat.g_00157	Syal.g_00899
OG0000415	Prat.g_00158	Syal.g_00900
OG0000416	Prat.g_00159	Syal.g_00901
OG0000417	Prat.g_00160	Syal.g_00902
OG0000418	Prat.g_00165	Syal.g_00907
OG0000419	Prat.g_00167	Syal.g_00909
OG0000420	Prat.g_00169	Syal.g_00911
OG0000421	Prat.g_00174	Syal.g_00916
OG0000422	Prat.g_00175	Syal.g_00917
OG0000423	Prat.g_00176	Syal.g_00918
OG0000424	Prat.g_00177	Syal.g_00919
OG0000425	Prat.g_00178	Syal.g_00920
OG0000426	Prat.g_00179	Syal.g_00921
OG0000427	Prat.g_00180	Syal.g_00922
OG0000428	Prat.g_00182	Syal.g_00925
OG0000429	Prat.g_00183	Syal.g_00929
OG0000430	Prat.g_00184	Syal.g_00931
OG0000431	Prat.g_00186	Syal.g_00934
OG0000432	Prat.g_00190	Syal.g_00940
OG0000433	Prat.g_00191	Syal.g_00943
OG0000434	Prat.g_00192	Syal.g_00944
OG0000435	Prat.g_00193	Syal.g_00946
OG0000436	Prat.g_00198	Syal.g_00953
OG0000437	Prat.g_00199	Syal.g_00954
OG0000438	Prat.g_00200	Syal.g_00955
OG0000439	Prat.g_00202	Syal.g_00957
OG0000440	Prat.g_00203	Syal.g_00958
OG0000441	Prat.g_00206	Syal.g_00962
OG0000442	Prat.g_00207	Syal.g_00964
OG0000443	Prat.g_00208	Syal.g_00966
OG0000444	Prat.g_00213	Syal.g_00978
OG0000445	Prat.g_00214	Syal.g_00979
OG0000446	Prat.g_00215	Syal.g_00981
OG0000447	Prat.g_00216	Syal.g_00989
OG0000448	Prat.g_00217	Syal.g_00990
OG0000449	Prat.g_00218	Syal.g_00991
OG0000450	Prat.g_00219	Syal.g_00997
OG0000451	Prat.g_00220	Syal.g_00998
OG0000452	Prat.g_00223	Syal.g_01002
OG0000453	Prat.g_00224	Syal.g_01003
OG0000454	Prat.g_00225	Syal.g_01004
OG0000455	Prat.g_00226	Syal.g_01005
OG0000456	Prat.g_00227	Syal.g_01006
OG0000457	Prat.g_00229	Syal.g_01008
OG0000458	Prat.g_00230	Syal.g_01009
OG0000459	Prat.g_00231	Syal.g_01010
OG0000460	Prat.g_00240	Syal.g_00686
OG0000461	Prat.g_00249	Syal.g_01199
OG0000462	Prat.g_00250	Syal.g_01202
OG0000463	Prat.g_00251	Syal.g_01203
OG0000464	Prat.g_00252	Syal.g_01204
OG0000465	Prat.g_00253	Syal.g_01205
OG0000466	Prat.g_00256	Syal.g_01210
OG0000467	Prat.g_00257	Syal.g_01212
OG0000468	Prat.g_00260	Syal.g_01225
OG0000469	Prat.g_00269	Syal.g_01240
OG0000470	Prat.g_00271	Syal.g_01242
OG0000471	Prat.g_00272	Syal.g_01243
OG0000472	Prat.g_00273	Syal.g_01245
OG0000473	Prat.g_00275	Syal.g_01247
OG0000474	Prat.g_00276	Syal.g_01248
OG0000475	Prat.g_00277	Syal.g_01249
OG0000476	Prat.g_00279	Syal.g_01251
OG0000477	Prat.g_00282	Syal.g_01257
OG0000478	Prat.g_00283	Syal.g_01258
OG0000479	Prat.g_00284	Syal.g_01259
OG0000480	Prat.g_00290	Syal.g_01266
OG0000481	Prat.g_00292	Syal.g_01268
OG0000482	Prat.g_00293	Syal.g_01269
OG0000483	Prat.g_00296	Syal.g_01273
OG0000484	Prat.g_00297	Syal.g_01274
OG0000485	Prat.g_00298	Syal.g_01275
OG0000486	Prat.g_00299	Syal.g_01276
OG0000487	Prat.g_00303	Syal.g_01282
OG0000488	Prat.g_00306	Syal.g_01286
OG0000489	Prat.g_00311	Syal.g_01298
OG0000490	Prat.g_00315	Syal.g_01307
OG0000491	Prat.g_00316	Syal.g_01308
OG0000492	Prat.g_00318	Syal.g_01310
OG0000493	Prat.g_00319	Syal.g_01311
OG0000494	Prat.g_00320	Syal.g_01312
OG0000495	Prat.g_00321	Syal.g_01313
OG0000496	Prat.g_00322	Syal.g_01314
OG0000497	Prat.g_00323	Syal.g_01315
OG0000498	Prat.g_00324	Syal.g_01316
OG0000499	Prat.g_00325	Syal.g_01317
OG0000500	Prat.g_00326	Syal.g_01318
OG0000501	Prat.g_00328	Syal.g_01321
OG0000502	Prat.g_00331	Syal.g_01328
OG0000503	Prat.g_00348	Syal.g_00347
OG0000504	Prat.g_00350	Syal.g_00349
OG0000505	Prat.g_00351	Syal.g_00350
OG0000506	Prat.g_00352	Syal.g_00352
OG0000507	Prat.g_00355	Syal.g_00358
OG0000508	Prat.g_00359	Syal.g_00362
OG0000509	Prat.g_00361	Syal.g_00364
OG0000510	Prat.g_00362	Syal.g_00365
OG0000511	Prat.g_00363	Syal.g_00366
OG0000512	Prat.g_00365	Syal.g_00368
OG0000513	Prat.g_00373	Syal.g_00551
OG0000514	Prat.g_00390	Syal.g_00539
OG0000515	Prat.g_00391	Syal.g_00538
OG0000516	Prat.g_00392	Syal.g_00534
OG0000517	Prat.g_00395	Syal.g_00526
OG0000518	Prat.g_00407	Syal.g_00514
OG0000519	Prat.g_00408	Syal.g_00513
OG0000520	Prat.g_00410	Syal.g_00512
OG0000521	Prat.g_00415	Syal.g_00502
OG0000522	Prat.g_00417	Syal.g_00500
OG0000523	Prat.g_00418	Syal.g_00499
OG0000524	Prat.g_00424	Syal.g_00491
OG0000525	Prat.g_00428	Syal.g_00473
OG0000526	Prat.g_00429	Syal.g_00471
OG0000527	Prat.g_00432	Syal.g_00465
OG0000528	Prat.g_00438	Syal.g_02893
OG0000529	Prat.g_00441	Syal.g_02898
OG0000530	Prat.g_00444	Syal.g_02901
OG0000531	Prat.g_00445	Syal.g_02902
OG0000532	Prat.g_00447	Syal.g_02905
OG0000533	Prat.g_00448	Syal.g_02907
OG0000534	Prat.g_00449	Syal.g_02908
OG0000535	Prat.g_00450	Syal.g_02909
OG0000536	Prat.g_00451	Syal.g_02910
OG0000537	Prat.g_00453	Syal.g_02911
OG0000538	Prat.g_00463	Syal.g_02923
OG0000539	Prat.g_00464	Syal.g_02924
OG0000540	Prat.g_00465	Syal.g_02925
OG0000541	Prat.g_00466	Syal.g_02926
OG0000542	Prat.g_00468	Syal.g_02929
OG0000543	Prat.g_00470	Syal.g_02931
OG0000544	Prat.g_00471	Syal.g_02932
OG0000545	Prat.g_00473	Syal.g_02934
OG0000546	Prat.g_00476	Syal.g_02936
OG0000547	Prat.g_00478	Syal.g_02938
OG0000548	Prat.g_00479	Syal.g_02939
OG0000549	Prat.g_00482	Syal.g_02945
OG0000550	Prat.g_00486	Syal.g_02949
OG0000551	Prat.g_00489	Syal.g_02953
OG0000552	Prat.g_00490	Syal.g_02954
OG0000553	Prat.g_00491	Syal.g_02843
OG0000554	Prat.g_00496	Syal.g_02837
OG0000555	Prat.g_00503	Syal.g_02823
OG0000556	Prat.g_00505	Syal.g_02819
OG0000557	Prat.g_00506	Syal.g_02816
OG0000558	Prat.g_00508	Syal.g_02814
OG0000559	Prat.g_00512	Syal.g_02305, Syal.g_02810
OG0000560	Prat.g_00516	Syal.g_02807
OG0000561	Prat.g_00517	Syal.g_02806
OG0000562	Prat.g_00518	Syal.g_02805
OG0000563	Prat.g_00519	Syal.g_02804
OG0000564	Prat.g_00520	Syal.g_02803
OG0000565	Prat.g_00523	Syal.g_02799
OG0000566	Prat.g_00527	Syal.g_02795
OG0000567	Prat.g_00531	Syal.g_02791
OG0000568	Prat.g_00532	Syal.g_02789
OG0000569	Prat.g_00533	Syal.g_02788
OG0000570	Prat.g_00534	Syal.g_02787
OG0000571	Prat.g_00537	Syal.g_02784
OG0000572	Prat.g_00549	Syal.g_02767
OG0000573	Prat.g_00554	Syal.g_02759
OG0000574	Prat.g_00555	Syal.g_02758
OG0000575	Prat.g_00559	Syal.g_02753
