Orthogroup	Prat	Prai
OG0000045	Prat.g_01311	Prai.g_01859
OG0000046	Prat.g_01584	Prai.g_01631
OG0000047	Prat.g_01788	Prai.g_01838
OG0000048	Prat.g_01796	Prai.g_01845
OG0000050	Prat.g_00033	Prai.g_00031
OG0000051	Prat.g_00157	Prai.g_01288, Prai.g_00168
OG0000052	Prat.g_00637	Prai.g_00383
OG0000053	Prat.g_01499	Prai.g_00567
OG0000054	Prat.g_01503	Prai.g_00909
OG0000055	Prat.g_01014	Prai.g_00825
OG0000057	Prat.g_00242	Prai.g_00248
OG0000058	Prat.g_00434	Prai.g_00505
OG0000059	Prat.g_00775	Prai.g_00727
OG0000062	Prat.g_01495, Prat.g_01561	Prai.g_01143
OG0000063	Prat.g_01129	Prai.g_01273
OG0000065	Prat.g_01249	Prai.g_01335
OG0000066	Prat.g_00344	Prai.g_01443
OG0000068	Prat.g_01726	Prai.g_01782
OG0000071	Prat.g_00012, Prat.g_00011	Prai.g_00011
OG0000072	Prat.g_00329	Prai.g_00335
OG0000073	Prat.g_01054	Prai.g_00698
OG0000074	Prat.g_00765	Prai.g_00720
OG0000075	Prat.g_01030	Prai.g_00841, Prai.g_00840
OG0000076	Prat.g_00965	Prai.g_00918
OG0000078	Prat.g_01312	Prai.g_01393
OG0000079	Prat.g_01442	Prai.g_01540
OG0000080	Prat.g_01539	Prai.g_01270
OG0000081	Prat.g_01759	Prai.g_01812
OG0000082	Prat.g_01853	Prai.g_01901
OG0000083	Prat.g_00003	Prai.g_00003
OG0000084	Prat.g_00006	Prai.g_00006
OG0000085	Prat.g_01314, Prat.g_00024	Prai.g_00023
OG0000086	Prat.g_00614	Prai.g_00046, Prai.g_00443
OG0000087	Prat.g_00054	Prai.g_00056
OG0000088	Prat.g_00112	Prai.g_00113
OG0000089	Prat.g_00121	Prai.g_00121
OG0000090	Prat.g_00138	Prai.g_00139
OG0000091	Prat.g_00170	Prai.g_00180
OG0000092	Prat.g_00171	Prai.g_00181
OG0000093	Prat.g_00185	Prai.g_00195
OG0000094	Prat.g_00204	Prai.g_00213
OG0000095	Prat.g_00209	Prai.g_00218
OG0000096	Prat.g_00257	Prai.g_00264
OG0000097	Prat.g_00281	Prai.g_00287, Prai.g_00286
OG0000098	Prat.g_00292	Prai.g_00430
OG0000099	Prat.g_00302	Prai.g_00307, Prai.g_00741
OG0000100	Prat.g_00305	Prai.g_00310
OG0000101	Prat.g_00372	Prai.g_00369
OG0000102	Prat.g_01477	Prai.g_00393
OG0000103	Prat.g_00435	Prai.g_00506
OG0000104	Prat.g_00440	Prai.g_00510
OG0000105	Prat.g_00462	Prai.g_00529
OG0000106	Prat.g_00494	Prai.g_00560
OG0000107	Prat.g_00495	Prai.g_00561
OG0000108	Prat.g_00504	Prai.g_00571
OG0000109	Prat.g_00514, Prat.g_00513	Prai.g_00580
OG0000110	Prat.g_00532	Prai.g_00597
OG0000111	Prat.g_01073	Prai.g_00680
OG0000112	Prat.g_01072	Prai.g_00681
OG0000113	Prat.g_00815	Prai.g_00770
OG0000114	Prat.g_01039	Prai.g_00850
OG0000115	Prat.g_00896	Prai.g_00989
OG0000116	Prat.g_00900	Prai.g_00985
OG0000117	Prat.g_00962	Prai.g_00921
OG0000118	Prat.g_01208	Prai.g_01107
OG0000119	Prat.g_01557	Prai.g_01146
OG0000120	Prat.g_01150	Prai.g_01177
OG0000121	Prat.g_01127	Prai.g_01197
OG0000122	Prat.g_01107	Prai.g_01217
OG0000123	Prat.g_00595	Prai.g_01230
OG0000124	Prat.g_01509	Prai.g_01238
OG0000125	Prat.g_01261	Prai.g_01347
OG0000126	Prat.g_01291	Prai.g_01370
OG0000127	Prat.g_01338	Prai.g_01450
OG0000128	Prat.g_01354	Prai.g_01464
OG0000129	Prat.g_01392	Prai.g_01499
OG0000130	Prat.g_01589	Prai.g_01636
OG0000131	Prat.g_01377, Prat.g_01628	Prai.g_01674
OG0000132	Prat.g_01631	Prai.g_01677
OG0000133	Prat.g_01685	Prai.g_01735
OG0000134	Prat.g_01720	Prai.g_01777
OG0000135	Prat.g_01722	Prai.g_01779
OG0000136	Prat.g_01771	Prai.g_01823
OG0000137	Prat.g_01806	Prai.g_01855
OG0000138	Prat.g_01841	Prai.g_01892
OG0000139	Prat.g_01873	Prai.g_01918
OG0000140	Prat.g_00001	Prai.g_00001
OG0000141	Prat.g_00002	Prai.g_00002
OG0000142	Prat.g_00004	Prai.g_00004
OG0000143	Prat.g_00005	Prai.g_00005
OG0000144	Prat.g_00007	Prai.g_00007
OG0000145	Prat.g_00008	Prai.g_00008
OG0000146	Prat.g_00009	Prai.g_00009
OG0000147	Prat.g_00010	Prai.g_00010
OG0000148	Prat.g_00013	Prai.g_00012
OG0000149	Prat.g_00015	Prai.g_00014
OG0000150	Prat.g_00016	Prai.g_00015
OG0000151	Prat.g_00017	Prai.g_00016
OG0000152	Prat.g_00018	Prai.g_00017
OG0000153	Prat.g_00019	Prai.g_00018
OG0000154	Prat.g_00020	Prai.g_00019
OG0000155	Prat.g_00021	Prai.g_00020
OG0000156	Prat.g_00022	Prai.g_00021
OG0000157	Prat.g_00023	Prai.g_00022
OG0000158	Prat.g_00025	Prai.g_00024
OG0000159	Prat.g_00026	Prai.g_00025
OG0000160	Prat.g_00027	Prai.g_00026
OG0000161	Prat.g_00028	Prai.g_00027
OG0000162	Prat.g_00029	Prai.g_00028
OG0000163	Prat.g_00031	Prai.g_00029
OG0000164	Prat.g_00034	Prai.g_00032
OG0000165	Prat.g_00036	Prai.g_00035
OG0000166	Prat.g_00037	Prai.g_00036
OG0000167	Prat.g_00038	Prai.g_00037
OG0000168	Prat.g_00042	Prai.g_00047
OG0000169	Prat.g_00044	Prai.g_00049
OG0000170	Prat.g_00046	Prai.g_00050
OG0000171	Prat.g_00047	Prai.g_00051
OG0000172	Prat.g_00048	Prai.g_00052
OG0000173	Prat.g_00051	Prai.g_00053
OG0000174	Prat.g_00052	Prai.g_00054
OG0000175	Prat.g_00053	Prai.g_00055
OG0000176	Prat.g_00055	Prai.g_00057
OG0000177	Prat.g_00056	Prai.g_00058
OG0000178	Prat.g_00057	Prai.g_00059
OG0000179	Prat.g_00060	Prai.g_00064
OG0000180	Prat.g_00061	Prai.g_00065
OG0000181	Prat.g_00062	Prai.g_00066
OG0000182	Prat.g_00066	Prai.g_00069
OG0000183	Prat.g_00067	Prai.g_00070
OG0000184	Prat.g_00070	Prai.g_00073
OG0000185	Prat.g_00074	Prai.g_00077
OG0000186	Prat.g_00075	Prai.g_00078
OG0000187	Prat.g_01504	Prai.g_00079
OG0000188	Prat.g_00076	Prai.g_00080
OG0000189	Prat.g_00079	Prai.g_00081
OG0000190	Prat.g_00080	Prai.g_00082
OG0000191	Prat.g_00081	Prai.g_00083
OG0000192	Prat.g_00082	Prai.g_00084
OG0000193	Prat.g_00083	Prai.g_00085
OG0000194	Prat.g_00084	Prai.g_00086
OG0000195	Prat.g_00086	Prai.g_00088
OG0000196	Prat.g_00087	Prai.g_00089
OG0000197	Prat.g_00088	Prai.g_00090
OG0000198	Prat.g_00089	Prai.g_00091
OG0000199	Prat.g_00091	Prai.g_00094
OG0000200	Prat.g_00092	Prai.g_00095
OG0000201	Prat.g_00093	Prai.g_00096
OG0000202	Prat.g_00094	Prai.g_00097
OG0000203	Prat.g_00095	Prai.g_00098
OG0000204	Prat.g_00096	Prai.g_00099
OG0000205	Prat.g_00098	Prai.g_00100
OG0000206	Prat.g_00099	Prai.g_00101
OG0000207	Prat.g_00100	Prai.g_00102
OG0000208	Prat.g_00101	Prai.g_00103
OG0000209	Prat.g_00102	Prai.g_00104
OG0000210	Prat.g_00103	Prai.g_00106
OG0000211	Prat.g_00104	Prai.g_00107
OG0000212	Prat.g_00105	Prai.g_00108
OG0000213	Prat.g_00106	Prai.g_00109
OG0000214	Prat.g_00110	Prai.g_00111
OG0000215	Prat.g_00111	Prai.g_00112
OG0000216	Prat.g_00113	Prai.g_00114
OG0000217	Prat.g_00114	Prai.g_00115
OG0000218	Prat.g_00115	Prai.g_00116
OG0000219	Prat.g_00116	Prai.g_00117
OG0000220	Prat.g_00118	Prai.g_00120
OG0000221	Prat.g_00122	Prai.g_00122
OG0000222	Prat.g_00123	Prai.g_00123
OG0000223	Prat.g_00124	Prai.g_00124
OG0000224	Prat.g_00126	Prai.g_00127
OG0000225	Prat.g_00128	Prai.g_00129
OG0000226	Prat.g_00130	Prai.g_00130
OG0000227	Prat.g_00131	Prai.g_00131
OG0000228	Prat.g_00132	Prai.g_00132
OG0000229	Prat.g_00133	Prai.g_00133
OG0000230	Prat.g_00134	Prai.g_00134
OG0000231	Prat.g_00601	Prai.g_00136
OG0000232	Prat.g_00136	Prai.g_00137
OG0000233	Prat.g_00139	Prai.g_00140
OG0000234	Prat.g_00141	Prai.g_00142
OG0000235	Prat.g_00144	Prai.g_00156
OG0000236	Prat.g_00145	Prai.g_00157
OG0000237	Prat.g_00146	Prai.g_00158
OG0000238	Prat.g_00147	Prai.g_00159
OG0000239	Prat.g_00148	Prai.g_00160
OG0000240	Prat.g_00150	Prai.g_00162
OG0000241	Prat.g_00151	Prai.g_00163
OG0000242	Prat.g_00152	Prai.g_00164
OG0000243	Prat.g_00153	Prai.g_00165
OG0000244	Prat.g_00154	Prai.g_00166
OG0000245	Prat.g_00156	Prai.g_00167
OG0000246	Prat.g_00158	Prai.g_00169
OG0000247	Prat.g_00159	Prai.g_00170
OG0000248	Prat.g_00160	Prai.g_00171
OG0000249	Prat.g_00161	Prai.g_00172
OG0000250	Prat.g_00162	Prai.g_00173
OG0000251	Prat.g_00163	Prai.g_00174
OG0000252	Prat.g_00164	Prai.g_00175
OG0000253	Prat.g_00165	Prai.g_00176
OG0000254	Prat.g_00167	Prai.g_00178
OG0000255	Prat.g_00169	Prai.g_00179
OG0000256	Prat.g_00172	Prai.g_00182
OG0000257	Prat.g_00174	Prai.g_00184
OG0000258	Prat.g_00175	Prai.g_00185
OG0000259	Prat.g_00176	Prai.g_00186
OG0000260	Prat.g_00177	Prai.g_00187
OG0000261	Prat.g_00178	Prai.g_00188
OG0000262	Prat.g_00179	Prai.g_00189
OG0000263	Prat.g_00180	Prai.g_00190
OG0000264	Prat.g_00182	Prai.g_00192
OG0000265	Prat.g_00183	Prai.g_00193
OG0000266	Prat.g_00184	Prai.g_00194
OG0000267	Prat.g_00186	Prai.g_00196
OG0000268	Prat.g_00188	Prai.g_00197
OG0000269	Prat.g_00189	Prai.g_00198
OG0000270	Prat.g_00190	Prai.g_00199
OG0000271	Prat.g_00191	Prai.g_00200
OG0000272	Prat.g_00192	Prai.g_00201
OG0000273	Prat.g_00193	Prai.g_00202
OG0000274	Prat.g_00194	Prai.g_00203
OG0000275	Prat.g_00195	Prai.g_00204
OG0000276	Prat.g_00196	Prai.g_00205
OG0000277	Prat.g_00197	Prai.g_00206
OG0000278	Prat.g_00198	Prai.g_00207
OG0000279	Prat.g_00199	Prai.g_00208
OG0000280	Prat.g_00200	Prai.g_00209
OG0000281	Prat.g_00202	Prai.g_00211
OG0000282	Prat.g_00203	Prai.g_00212
OG0000283	Prat.g_00206	Prai.g_00215
OG0000284	Prat.g_00207	Prai.g_00216
OG0000285	Prat.g_00208	Prai.g_00217
OG0000286	Prat.g_00210	Prai.g_00219
OG0000287	Prat.g_00211	Prai.g_00220
OG0000288	Prat.g_00212	Prai.g_00221
OG0000289	Prat.g_00213	Prai.g_00222
OG0000290	Prat.g_00214	Prai.g_00223
OG0000291	Prat.g_00215	Prai.g_00224
OG0000292	Prat.g_00216	Prai.g_00225
OG0000293	Prat.g_00217	Prai.g_00226
OG0000294	Prat.g_00218	Prai.g_00227
OG0000295	Prat.g_00219	Prai.g_00228
OG0000296	Prat.g_00220	Prai.g_00229
OG0000297	Prat.g_00221	Prai.g_00230
OG0000298	Prat.g_00222	Prai.g_00231
OG0000299	Prat.g_00223	Prai.g_00232
OG0000300	Prat.g_00224	Prai.g_00233
OG0000301	Prat.g_00225	Prai.g_00234
OG0000302	Prat.g_00226	Prai.g_00235
OG0000303	Prat.g_00227	Prai.g_00236
OG0000304	Prat.g_00229	Prai.g_00237
OG0000305	Prat.g_00230	Prai.g_00238
OG0000306	Prat.g_00231	Prai.g_00239
OG0000307	Prat.g_00233	Prai.g_00240
OG0000308	Prat.g_00234	Prai.g_00241
OG0000309	Prat.g_00235	Prai.g_00242
OG0000310	Prat.g_00236	Prai.g_00243
OG0000311	Prat.g_00238	Prai.g_00244
OG0000312	Prat.g_00240	Prai.g_00246
OG0000313	Prat.g_00241	Prai.g_00247
OG0000314	Prat.g_00245	Prai.g_00250
OG0000315	Prat.g_00246	Prai.g_00251
OG0000316	Prat.g_00249	Prai.g_00255
OG0000317	Prat.g_00250	Prai.g_00257
OG0000318	Prat.g_00251	Prai.g_00258
OG0000319	Prat.g_00252	Prai.g_00259
OG0000320	Prat.g_00253	Prai.g_00260
OG0000321	Prat.g_00256	Prai.g_00263
OG0000322	Prat.g_00260	Prai.g_00266
OG0000323	Prat.g_00261	Prai.g_00267
OG0000324	Prat.g_00264	Prai.g_00270
OG0000325	Prat.g_00266	Prai.g_00272
OG0000326	Prat.g_00267	Prai.g_00273
OG0000327	Prat.g_00269	Prai.g_00275
OG0000328	Prat.g_00270	Prai.g_00276
OG0000329	Prat.g_00271	Prai.g_00277
OG0000330	Prat.g_00272	Prai.g_00278
OG0000331	Prat.g_00273	Prai.g_00279
OG0000332	Prat.g_00274	Prai.g_00280
OG0000333	Prat.g_00275	Prai.g_00281
OG0000334	Prat.g_00276	Prai.g_00282
OG0000335	Prat.g_00277	Prai.g_00283
OG0000336	Prat.g_00279	Prai.g_00284
OG0000337	Prat.g_00282	Prai.g_00288
OG0000338	Prat.g_00283	Prai.g_00289
OG0000339	Prat.g_00284	Prai.g_00290
OG0000340	Prat.g_00285	Prai.g_00291
OG0000341	Prat.g_00290	Prai.g_00295
OG0000342	Prat.g_00291	Prai.g_00296
OG0000343	Prat.g_00293	Prai.g_00298
OG0000344	Prat.g_00294	Prai.g_00299
OG0000345	Prat.g_00295	Prai.g_00300
OG0000346	Prat.g_00296	Prai.g_00301
OG0000347	Prat.g_00297	Prai.g_00302
OG0000348	Prat.g_00298	Prai.g_00303
OG0000349	Prat.g_00299	Prai.g_00304
OG0000350	Prat.g_00300	Prai.g_00305
OG0000351	Prat.g_00303	Prai.g_00308
OG0000352	Prat.g_00306	Prai.g_00311
OG0000353	Prat.g_00307	Prai.g_00312
OG0000354	Prat.g_00308	Prai.g_00313
OG0000355	Prat.g_00309	Prai.g_00314
OG0000356	Prat.g_00310	Prai.g_00315
OG0000357	Prat.g_00311	Prai.g_00316
OG0000358	Prat.g_00312	Prai.g_00317
OG0000359	Prat.g_00313	Prai.g_00318
OG0000360	Prat.g_00315	Prai.g_00321
OG0000361	Prat.g_00316	Prai.g_00322
OG0000362	Prat.g_00317	Prai.g_00323
OG0000363	Prat.g_00318	Prai.g_00324
OG0000364	Prat.g_00319	Prai.g_00325
OG0000365	Prat.g_00320	Prai.g_00326
OG0000366	Prat.g_00321	Prai.g_00327
OG0000367	Prat.g_00322	Prai.g_00328
OG0000368	Prat.g_00323	Prai.g_00329
OG0000369	Prat.g_00324	Prai.g_00330
OG0000370	Prat.g_00325	Prai.g_00331
OG0000371	Prat.g_00326	Prai.g_00332
OG0000372	Prat.g_00328	Prai.g_00334
OG0000373	Prat.g_00330	Prai.g_00336
OG0000374	Prat.g_00331	Prai.g_00337
OG0000375	Prat.g_00332	Prai.g_00338
OG0000376	Prat.g_00334	Prai.g_00340
OG0000377	Prat.g_00340	Prai.g_00341
OG0000378	Prat.g_00341	Prai.g_00342
OG0000379	Prat.g_00348	Prai.g_00347
OG0000380	Prat.g_00350	Prai.g_00348
OG0000381	Prat.g_00351	Prai.g_00349
OG0000382	Prat.g_00352	Prai.g_00351
OG0000383	Prat.g_00355	Prai.g_00354
OG0000384	Prat.g_00356	Prai.g_00355
OG0000385	Prat.g_00359	Prai.g_00357
OG0000386	Prat.g_00360	Prai.g_00358
OG0000387	Prat.g_00361	Prai.g_00359
OG0000388	Prat.g_00362	Prai.g_00360
OG0000389	Prat.g_00363	Prai.g_00361
OG0000390	Prat.g_00364	Prai.g_00362
OG0000391	Prat.g_00365	Prai.g_00363
OG0000392	Prat.g_00366	Prai.g_00364
OG0000393	Prat.g_00369	Prai.g_00367
OG0000394	Prat.g_00370	Prai.g_00368
OG0000395	Prat.g_00373	Prai.g_00370
OG0000396	Prat.g_00985	Prai.g_00372
OG0000397	Prat.g_01203	Prai.g_00384
OG0000398	Prat.g_01469	Prai.g_00390
OG0000399	Prat.g_00671	Prai.g_00392
OG0000400	Prat.g_01656	Prai.g_00397
OG0000401	Prat.g_00390	Prai.g_00462
OG0000402	Prat.g_00391	Prai.g_00463
OG0000403	Prat.g_00392	Prai.g_00464
OG0000404	Prat.g_00395	Prai.g_00466
OG0000405	Prat.g_00396	Prai.g_00467
OG0000406	Prat.g_00398	Prai.g_00469
OG0000407	Prat.g_00399	Prai.g_00470
OG0000408	Prat.g_00400	Prai.g_00471
OG0000409	Prat.g_00401	Prai.g_00472
OG0000410	Prat.g_00403	Prai.g_00473
OG0000411	Prat.g_00404	Prai.g_00474
OG0000412	Prat.g_00405	Prai.g_00475
OG0000413	Prat.g_00406	Prai.g_00476
OG0000414	Prat.g_00407	Prai.g_00477
OG0000415	Prat.g_00408	Prai.g_00478
OG0000416	Prat.g_00410	Prai.g_00479
OG0000417	Prat.g_00411	Prai.g_00480
OG0000418	Prat.g_00412	Prai.g_00481
OG0000419	Prat.g_00413	Prai.g_00482
OG0000420	Prat.g_00414	Prai.g_00483
OG0000421	Prat.g_00415	Prai.g_00484
OG0000422	Prat.g_00417	Prai.g_00486
OG0000423	Prat.g_00418	Prai.g_00487
OG0000424	Prat.g_00419	Prai.g_00489
OG0000425	Prat.g_00424	Prai.g_00492
OG0000426	Prat.g_00425	Prai.g_00493
OG0000427	Prat.g_00426	Prai.g_00494
OG0000428	Prat.g_00428	Prai.g_00495
OG0000429	Prat.g_00429	Prai.g_00496
OG0000430	Prat.g_00430	Prai.g_00501
OG0000431	Prat.g_00432	Prai.g_00503
OG0000432	Prat.g_00433	Prai.g_00504
OG0000433	Prat.g_00436	Prai.g_00507
OG0000434	Prat.g_00438	Prai.g_00508
OG0000435	Prat.g_00439	Prai.g_00509
OG0000436	Prat.g_00441	Prai.g_00511
OG0000437	Prat.g_00443	Prai.g_00513
OG0000438	Prat.g_00444	Prai.g_00514
OG0000439	Prat.g_00445	Prai.g_00515
OG0000440	Prat.g_00447	Prai.g_00517
OG0000441	Prat.g_00448	Prai.g_00518
OG0000442	Prat.g_00449	Prai.g_00519
OG0000443	Prat.g_00450	Prai.g_00520
OG0000444	Prat.g_00451	Prai.g_00521
OG0000445	Prat.g_00453	Prai.g_00522
OG0000446	Prat.g_00454	Prai.g_00523
OG0000447	Prat.g_00455	Prai.g_00524
OG0000448	Prat.g_00456	Prai.g_00525
OG0000449	Prat.g_00463	Prai.g_00530
OG0000450	Prat.g_00464	Prai.g_00531
OG0000451	Prat.g_00465	Prai.g_00532
OG0000452	Prat.g_00466	Prai.g_00533
OG0000453	Prat.g_00468	Prai.g_00535
OG0000454	Prat.g_00469	Prai.g_00536
OG0000455	Prat.g_00470	Prai.g_00537
OG0000456	Prat.g_00471	Prai.g_00538
OG0000457	Prat.g_00473	Prai.g_00540
OG0000458	Prat.g_00475	Prai.g_00542
OG0000459	Prat.g_00476	Prai.g_00543
OG0000460	Prat.g_00478	Prai.g_00544
OG0000461	Prat.g_00479	Prai.g_00545
OG0000462	Prat.g_00480	Prai.g_00546
OG0000463	Prat.g_00482	Prai.g_00547
OG0000464	Prat.g_00486	Prai.g_00552
OG0000465	Prat.g_00487	Prai.g_00553
OG0000466	Prat.g_00488	Prai.g_00554
OG0000467	Prat.g_00489	Prai.g_00555
OG0000468	Prat.g_00490	Prai.g_00556
OG0000469	Prat.g_00491	Prai.g_00557
OG0000470	Prat.g_00492	Prai.g_00558
OG0000471	Prat.g_00493	Prai.g_00559
OG0000472	Prat.g_00496	Prai.g_00562
OG0000473	Prat.g_00497	Prai.g_00563
OG0000474	Prat.g_00498	Prai.g_00564
OG0000475	Prat.g_00499	Prai.g_00565
OG0000476	Prat.g_00500	Prai.g_00566
OG0000477	Prat.g_00501	Prai.g_00568
OG0000478	Prat.g_00502	Prai.g_00569
OG0000479	Prat.g_00503	Prai.g_00570
OG0000480	Prat.g_00505	Prai.g_00572
OG0000481	Prat.g_00506	Prai.g_00573
OG0000482	Prat.g_00507	Prai.g_00574
OG0000483	Prat.g_00508	Prai.g_00575
OG0000484	Prat.g_00509	Prai.g_00576
OG0000485	Prat.g_00510	Prai.g_00577
OG0000486	Prat.g_00511	Prai.g_00578
OG0000487	Prat.g_00512	Prai.g_00579
OG0000488	Prat.g_00515	Prai.g_00581
OG0000489	Prat.g_00516	Prai.g_00582
OG0000490	Prat.g_00517	Prai.g_00583
OG0000491	Prat.g_00518	Prai.g_00584
OG0000492	Prat.g_00519	Prai.g_00585
OG0000493	Prat.g_00520	Prai.g_00586
OG0000494	Prat.g_00522	Prai.g_00588
OG0000495	Prat.g_00523	Prai.g_00589
OG0000496	Prat.g_00525	Prai.g_00590
OG0000497	Prat.g_00527	Prai.g_00592
OG0000498	Prat.g_00528	Prai.g_00593
OG0000499	Prat.g_00530	Prai.g_00595
OG0000500	Prat.g_00531	Prai.g_00596
OG0000501	Prat.g_00533	Prai.g_00598
OG0000502	Prat.g_00534	Prai.g_00599
OG0000503	Prat.g_00536	Prai.g_00600
OG0000504	Prat.g_00537	Prai.g_00601
OG0000505	Prat.g_00538	Prai.g_00602
OG0000506	Prat.g_00539	Prai.g_00603
OG0000507	Prat.g_00540	Prai.g_00604
OG0000508	Prat.g_00542	Prai.g_00606
OG0000509	Prat.g_00543	Prai.g_00607
OG0000510	Prat.g_00544	Prai.g_00608
OG0000511	Prat.g_00545	Prai.g_00609
OG0000512	Prat.g_00546	Prai.g_00610
OG0000513	Prat.g_00547	Prai.g_00611
OG0000514	Prat.g_00548	Prai.g_00612
OG0000515	Prat.g_00549	Prai.g_00614
OG0000516	Prat.g_00550	Prai.g_00615
OG0000517	Prat.g_00551	Prai.g_00616
OG0000518	Prat.g_00553	Prai.g_00619
OG0000519	Prat.g_00554	Prai.g_00620
OG0000520	Prat.g_00555	Prai.g_00621
OG0000521	Prat.g_00556	Prai.g_00622
OG0000522	Prat.g_00557	Prai.g_00623
OG0000523	Prat.g_00558	Prai.g_00624
OG0000524	Prat.g_00559	Prai.g_00625
OG0000525	Prat.g_00561	Prai.g_00627
OG0000526	Prat.g_00562	Prai.g_00628
OG0000527	Prat.g_00563	Prai.g_00629
OG0000528	Prat.g_00564	Prai.g_00630
OG0000529	Prat.g_00565	Prai.g_00631
OG0000530	Prat.g_00566	Prai.g_00632
OG0000531	Prat.g_00568	Prai.g_00633
OG0000532	Prat.g_00569	Prai.g_00634
OG0000533	Prat.g_00570	Prai.g_00635
OG0000534	Prat.g_00571	Prai.g_00636
OG0000535	Prat.g_00572	Prai.g_00637
OG0000536	Prat.g_00573	Prai.g_00638
OG0000537	Prat.g_00574	Prai.g_00639
OG0000538	Prat.g_00575	Prai.g_00640
OG0000539	Prat.g_00576	Prai.g_00641
OG0000540	Prat.g_00577	Prai.g_00642
OG0000541	Prat.g_00579	Prai.g_00643
OG0000542	Prat.g_00580	Prai.g_00644
OG0000543	Prat.g_00581	Prai.g_00645
OG0000544	Prat.g_00582	Prai.g_00646
OG0000545	Prat.g_00584	Prai.g_00650
OG0000546	Prat.g_00585	Prai.g_00651
OG0000547	Prat.g_00587	Prai.g_00653
OG0000548	Prat.g_00589	Prai.g_00654
OG0000549	Prat.g_00590	Prai.g_00655
OG0000550	Prat.g_00591	Prai.g_00656
OG0000551	Prat.g_00592	Prai.g_00657
OG0000552	Prat.g_00593	Prai.g_00658
OG0000553	Prat.g_01097	Prai.g_00659
OG0000554	Prat.g_01095	Prai.g_00660
OG0000555	Prat.g_01094	Prai.g_00661
OG0000556	Prat.g_01093	Prai.g_00662
OG0000557	Prat.g_01091	Prai.g_00663
OG0000558	Prat.g_01090	Prai.g_00664
OG0000559	Prat.g_01089	Prai.g_00665
OG0000560	Prat.g_01087	Prai.g_00667
OG0000561	Prat.g_01086	Prai.g_00668
OG0000562	Prat.g_01084	Prai.g_00669
OG0000563	Prat.g_01083	Prai.g_00670
OG0000564	Prat.g_01082	Prai.g_00671
OG0000565	Prat.g_01081	Prai.g_00672
OG0000566	Prat.g_01080	Prai.g_00673
OG0000567	Prat.g_01079	Prai.g_00674
OG0000568	Prat.g_01078	Prai.g_00675
OG0000569	Prat.g_01077	Prai.g_00676
OG0000570	Prat.g_01076	Prai.g_00677
OG0000571	Prat.g_01075	Prai.g_00678
OG0000572	Prat.g_01074	Prai.g_00679
OG0000573	Prat.g_01071	Prai.g_00682
OG0000574	Prat.g_01070	Prai.g_00683
OG0000575	Prat.g_01069	Prai.g_00684
OG0000576	Prat.g_01068	Prai.g_00685
OG0000577	Prat.g_01067	Prai.g_00686
OG0000578	Prat.g_01066	Prai.g_00687
OG0000579	Prat.g_01065	Prai.g_00688
OG0000580	Prat.g_01064	Prai.g_00689
OG0000581	Prat.g_01063	Prai.g_00690
OG0000582	Prat.g_01062	Prai.g_00691
OG0000583	Prat.g_01061	Prai.g_00692
OG0000584	Prat.g_01059	Prai.g_00693
OG0000585	Prat.g_01058	Prai.g_00694
