Orthogroup	Prbd	Syab
OG0000145	Prbd.g_00062	Syab.g_02120
OG0000146	Prbd.g_00067	Syab.g_01393
OG0000147	Prbd.g_00068	Syab.g_01394
OG0000148	Prbd.g_00118	Syab.g_01682
OG0000149	Prbd.g_00149	Syab.g_01720
OG0000150	Prbd.g_00157	Syab.g_01930
OG0000151	Prbd.g_00216	Syab.g_01612
OG0000152	Prbd.g_00264	Syab.g_01383
OG0000153	Prbd.g_00283	Syab.g_01343
OG0000154	Prbd.g_00314	Syab.g_01317
OG0000155	Prbd.g_00488	Syab.g_01009
OG0000156	Prbd.g_01812	Syab.g_00933
OG0000157	Prbd.g_01811	Syab.g_00932
OG0000158	Prbd.g_01736	Syab.g_00161
OG0000160	Prbd.g_01688	Syab.g_00774
OG0000161	Prbd.g_01682	Syab.g_00766
OG0000162	Prbd.g_01676	Syab.g_00755
OG0000163	Prbd.g_01642	Syab.g_02173
OG0000164	Prbd.g_01501	Syab.g_02307
OG0000165	Prbd.g_01494	Syab.g_02316
OG0000166	Prbd.g_01427	Syab.g_00407
OG0000167	Prbd.g_01361	Syab.g_00205
OG0000168	Prbd.g_01351	Syab.g_00136
OG0000169	Prbd.g_01341	Syab.g_00125
OG0000170	Prbd.g_01339	Syab.g_00118
OG0000171	Prbd.g_01319	Syab.g_00089
OG0000172	Prbd.g_01310	Syab.g_00080
OG0000173	Prbd.g_01295	Syab.g_00061
OG0000174	Prbd.g_01268	Syab.g_02819
OG0000175	Prbd.g_01258	Syab.g_02876
OG0000176	Prbd.g_01233	Syab.g_00004
OG0000177	Prbd.g_01232	Syab.g_00005
OG0000178	Prbd.g_01231	Syab.g_00006
OG0000179	Prbd.g_01221	Syab.g_00022
OG0000180	Prbd.g_01220	Syab.g_00023
OG0000181	Prbd.g_01219	Syab.g_00024
OG0000182	Prbd.g_01218	Syab.g_00025
OG0000183	Prbd.g_01214	Syab.g_00029
OG0000184	Prbd.g_01191	Syab.g_02738
OG0000185	Prbd.g_01188	Syab.g_02715
OG0000186	Prbd.g_01180	Syab.g_02430
OG0000187	Prbd.g_01179	Syab.g_02431
OG0000188	Prbd.g_01162	Syab.g_02454
OG0000189	Prbd.g_01148	Syab.g_02487
OG0000190	Prbd.g_01147	Syab.g_00190, Syab.g_00139
OG0000191	Prbd.g_01126	Syab.g_02522
OG0000192	Prbd.g_01122	Syab.g_02528
OG0000193	Prbd.g_01094	Syab.g_02565
OG0000194	Prbd.g_01091	Syab.g_02568
OG0000195	Prbd.g_01089	Syab.g_02570
OG0000196	Prbd.g_01079	Syab.g_02581
OG0000197	Prbd.g_01078	Syab.g_02582
OG0000198	Prbd.g_01077	Syab.g_02583
OG0000199	Prbd.g_01070	Syab.g_02591
OG0000200	Prbd.g_01056	Syab.g_02611
OG0000201	Prbd.g_01048	Syab.g_02628
OG0000202	Prbd.g_01047	Syab.g_02629
OG0000203	Prbd.g_01046	Syab.g_02630
OG0000204	Prbd.g_01045	Syab.g_02631
OG0000205	Prbd.g_01038	Syab.g_02638
OG0000206	Prbd.g_01033	Syab.g_02674
OG0000207	Prbd.g_01031	Syab.g_02677
OG0000208	Prbd.g_01030	Syab.g_02678
OG0000209	Prbd.g_01021	Syab.g_02698
OG0000210	Prbd.g_01020	Syab.g_02699
OG0000212	Prbd.g_00999	Syab.g_02365
OG0000213	Prbd.g_00982	Syab.g_00332
OG0000214	Prbd.g_00972	Syab.g_00312
OG0000215	Prbd.g_00947	Syab.g_00281
OG0000216	Prbd.g_00945	Syab.g_00277
OG0000217	Prbd.g_00942	Syab.g_00273
OG0000218	Prbd.g_00940	Syab.g_00271
OG0000219	Prbd.g_00939	Syab.g_00270
OG0000220	Prbd.g_00938	Syab.g_00269
OG0000221	Prbd.g_00937	Syab.g_00257
OG0000222	Prbd.g_00929	Syab.g_00244
OG0000223	Prbd.g_00916	Syab.g_00226
OG0000224	Prbd.g_00914	Syab.g_00223
OG0000225	Prbd.g_00893	Syab.g_00538
OG0000226	Prbd.g_00889	Syab.g_00542
OG0000227	Prbd.g_00887	Syab.g_00544
OG0000228	Prbd.g_00884	Syab.g_00550
OG0000229	Prbd.g_00806	Syab.g_00583
OG0000230	Prbd.g_00804	Syab.g_00585
OG0000231	Prbd.g_00793	Syab.g_00613
OG0000232	Prbd.g_00784	Syab.g_00631
OG0000233	Prbd.g_00779	Syab.g_00645
OG0000234	Prbd.g_00766	Syab.g_00699
OG0000235	Prbd.g_00763	Syab.g_02095
OG0000236	Prbd.g_00749	Syab.g_02111
OG0000237	Prbd.g_00736	Syab.g_02129
OG0000238	Prbd.g_00730	Syab.g_02134
OG0000239	Prbd.g_00717	Syab.g_02151
OG0000240	Prbd.g_00716	Syab.g_02152
OG0000241	Prbd.g_00712	Syab.g_01884
OG0000242	Prbd.g_00710	Syab.g_02043
OG0000243	Prbd.g_00699	Syab.g_02025
OG0000244	Prbd.g_00696	Syab.g_02017
OG0000245	Prbd.g_00694	Syab.g_02015
OG0000246	Prbd.g_00690	Syab.g_02011
OG0000247	Prbd.g_00680	Syab.g_01999
OG0000248	Prbd.g_00678	Syab.g_01996
OG0000249	Prbd.g_00676	Syab.g_01994
OG0000250	Prbd.g_00671	Syab.g_01988
OG0000251	Prbd.g_00653	Syab.g_01961
OG0000252	Prbd.g_00650	Syab.g_01958
OG0000253	Prbd.g_00649	Syab.g_01956
OG0000254	Prbd.g_00633	Syab.g_01925
OG0000255	Prbd.g_00627	Syab.g_01912
OG0000256	Prbd.g_00617	Syab.g_01890
OG0000257	Prbd.g_00614	Syab.g_01885
OG0000258	Prbd.g_00601	Syab.g_01861
OG0000259	Prbd.g_00584	Syab.g_01538
OG0000260	Prbd.g_00581	Syab.g_01544
OG0000261	Prbd.g_00579	Syab.g_01556
OG0000262	Prbd.g_00575	Syab.g_01561
OG0000263	Prbd.g_00563	Syab.g_01035
OG0000264	Prbd.g_00553	Syab.g_01173
OG0000265	Prbd.g_00007	Syab.g_01773
OG0000266	Prbd.g_00017	Syab.g_01667
OG0000267	Prbd.g_00028	Syab.g_01433
OG0000268	Prbd.g_00029	Syab.g_01432
OG0000269	Prbd.g_00097	Syab.g_01650
OG0000270	Prbd.g_00100	Syab.g_01657
OG0000271	Prbd.g_00108	Syab.g_01279
OG0000272	Prbd.g_00109	Syab.g_01280
OG0000274	Prbd.g_00133	Syab.g_01700
OG0000275	Prbd.g_00136	Syab.g_01704
OG0000276	Prbd.g_00141	Syab.g_01712
OG0000277	Prbd.g_00142	Syab.g_01713
OG0000278	Prbd.g_00145	Syab.g_01716
OG0000279	Prbd.g_00152	Syab.g_01724
OG0000280	Prbd.g_00153	Syab.g_01736
OG0000281	Prbd.g_00158	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546
OG0000282	Prbd.g_00208	Syab.g_01631
OG0000283	Prbd.g_00241	Syab.g_01418
OG0000284	Prbd.g_00246	Syab.g_01413
OG0000285	Prbd.g_00251	Syab.g_01402
OG0000286	Prbd.g_00263	Syab.g_01384
OG0000288	Prbd.g_00313	Syab.g_01318
OG0000289	Prbd.g_00324	Syab.g_01303
OG0000290	Prbd.g_00337	Syab.g_01213
OG0000291	Prbd.g_00339	Syab.g_01211
OG0000292	Prbd.g_00389	Syab.g_02907
OG0000293	Prbd.g_00459	Syab.g_00946
OG0000294	Prbd.g_00460	Syab.g_00947
OG0000295	Prbd.g_00480	Syab.g_01001
OG0000296	Prbd.g_00482	Syab.g_01003
OG0000297	Prbd.g_00490	Syab.g_01016
OG0000298	Prbd.g_00491	Syab.g_01017
OG0000299	Prbd.g_00508	Syab.g_01047
OG0000300	Prbd.g_00511	Syab.g_01054
OG0000301	Prbd.g_00512	Syab.g_01055
OG0000302	Prbd.g_00514	Syab.g_01056
OG0000303	Prbd.g_00521	Syab.g_01149
OG0000304	Prbd.g_00525	Syab.g_01143
OG0000305	Prbd.g_01772	Syab.g_01208
OG0000306	Prbd.g_01769	Syab.g_01819
OG0000307	Prbd.g_01755	Syab.g_02078
OG0000308	Prbd.g_01754	Syab.g_02076
OG0000309	Prbd.g_01750	Syab.g_02071
OG0000310	Prbd.g_01704	Syab.g_00817
OG0000311	Prbd.g_01702	Syab.g_00811
OG0000312	Prbd.g_01699	Syab.g_00793
OG0000313	Prbd.g_01685	Syab.g_00769
OG0000314	Prbd.g_01662	Syab.g_00736
OG0000315	Prbd.g_01652	Syab.g_00726
OG0000316	Prbd.g_01632	Syab.g_02189
OG0000317	Prbd.g_01527	Syab.g_02251
OG0000318	Prbd.g_01524	Syab.g_02257
OG0000319	Prbd.g_01511	Syab.g_02291
OG0000320	Prbd.g_01509	Syab.g_02293
OG0000321	Prbd.g_01508	Syab.g_02294
OG0000322	Prbd.g_01507	Syab.g_02295
OG0000323	Prbd.g_01498	Syab.g_02310
OG0000324	Prbd.g_01471	Syab.g_02341
OG0000325	Prbd.g_01462	Syab.g_00368
OG0000326	Prbd.g_01456	Syab.g_00375
OG0000327	Prbd.g_01432	Syab.g_00402
OG0000328	Prbd.g_01431	Syab.g_00403
OG0000329	Prbd.g_01414	Syab.g_00420
OG0000330	Prbd.g_01413	Syab.g_00421
OG0000331	Prbd.g_01412	Syab.g_00422
OG0000332	Prbd.g_01398	Syab.g_00437
OG0000333	Prbd.g_01396	Syab.g_00440
OG0000334	Prbd.g_01388	Syab.g_00450
OG0000335	Prbd.g_01383	Syab.g_00455
OG0000336	Prbd.g_01379	Syab.g_00459
OG0000337	Prbd.g_01363	Syab.g_00210
OG0000338	Prbd.g_01362	Syab.g_00207
OG0000339	Prbd.g_01358	Syab.g_00201
OG0000340	Prbd.g_01350	Syab.g_00135
OG0000341	Prbd.g_01348	Syab.g_00157, Syab.g_00133
OG0000342	Prbd.g_01347	Syab.g_00132
OG0000343	Prbd.g_01346	Syab.g_00131
OG0000344	Prbd.g_01343	Syab.g_00127
OG0000345	Prbd.g_01338	Syab.g_00117
OG0000346	Prbd.g_01334	Syab.g_00112
OG0000347	Prbd.g_01317	Syab.g_00087
OG0000348	Prbd.g_01307	Syab.g_00076
OG0000349	Prbd.g_01290	Syab.g_00054
OG0000350	Prbd.g_01272	Syab.g_00382
OG0000351	Prbd.g_01255	Syab.g_02879
OG0000352	Prbd.g_01254	Syab.g_02880
OG0000353	Prbd.g_01238	Syab.g_02913
OG0000355	Prbd.g_01236	Syab.g_00001
OG0000356	Prbd.g_01235	Syab.g_00002
OG0000357	Prbd.g_01234	Syab.g_00003
OG0000358	Prbd.g_01230	Syab.g_00007
OG0000359	Prbd.g_01229	Syab.g_00009
OG0000360	Prbd.g_01228	Syab.g_00010
OG0000361	Prbd.g_01227	Syab.g_00011
OG0000362	Prbd.g_01225	Syab.g_00013
OG0000363	Prbd.g_01223	Syab.g_00015
OG0000364	Prbd.g_01222	Syab.g_00016
OG0000365	Prbd.g_01217	Syab.g_00026
OG0000366	Prbd.g_01216	Syab.g_00027
OG0000367	Prbd.g_01215	Syab.g_00028
OG0000368	Prbd.g_01213	Syab.g_00030
OG0000369	Prbd.g_01212	Syab.g_00031
OG0000370	Prbd.g_01211	Syab.g_00032
OG0000371	Prbd.g_01205	Syab.g_00711, Syab.g_00039
OG0000372	Prbd.g_01202	Syab.g_00045
OG0000373	Prbd.g_01201	Syab.g_00046
OG0000374	Prbd.g_01200	Syab.g_00047
OG0000375	Prbd.g_01198	Syab.g_00050
OG0000376	Prbd.g_01196	Syab.g_00052
OG0000377	Prbd.g_01192	Syab.g_02748
OG0000378	Prbd.g_01190	Syab.g_02717
OG0000379	Prbd.g_01187	Syab.g_02714
OG0000380	Prbd.g_01178	Syab.g_02432
OG0000381	Prbd.g_01174	Syab.g_02435
OG0000382	Prbd.g_01163	Syab.g_02453
OG0000383	Prbd.g_01161	Syab.g_02459
OG0000384	Prbd.g_01160	Syab.g_02460
OG0000385	Prbd.g_01159	Syab.g_02461
OG0000386	Prbd.g_01158	Syab.g_02462
OG0000387	Prbd.g_01145	Syab.g_02491
OG0000388	Prbd.g_01142	Syab.g_02495
OG0000389	Prbd.g_01138	Syab.g_02499
OG0000390	Prbd.g_01131	Syab.g_02516
OG0000391	Prbd.g_01127	Syab.g_02521
OG0000392	Prbd.g_01123	Syab.g_02527
OG0000393	Prbd.g_01121	Syab.g_02530
OG0000394	Prbd.g_01120	Syab.g_02531
OG0000395	Prbd.g_01119	Syab.g_02532
OG0000396	Prbd.g_01116	Syab.g_02535
OG0000397	Prbd.g_01114	Syab.g_02537
OG0000398	Prbd.g_01112	Syab.g_02542
OG0000399	Prbd.g_01111	Syab.g_02543
OG0000400	Prbd.g_01110	Syab.g_02544
OG0000401	Prbd.g_01109	Syab.g_02545
OG0000402	Prbd.g_01107	Syab.g_02547
OG0000403	Prbd.g_01106	Syab.g_02548
OG0000404	Prbd.g_01105	Syab.g_02550
OG0000405	Prbd.g_01100	Syab.g_02562
OG0000406	Prbd.g_01093	Syab.g_02566
OG0000407	Prbd.g_01092	Syab.g_02567
OG0000408	Prbd.g_01090	Syab.g_02569
OG0000409	Prbd.g_01088	Syab.g_02571
OG0000410	Prbd.g_01087	Syab.g_02572
OG0000411	Prbd.g_01086	Syab.g_02573
OG0000412	Prbd.g_01085	Syab.g_02574
OG0000413	Prbd.g_01084	Syab.g_02576
OG0000414	Prbd.g_01083	Syab.g_02577
OG0000415	Prbd.g_01082	Syab.g_02578
OG0000416	Prbd.g_01081	Syab.g_02579
OG0000417	Prbd.g_01080	Syab.g_02580
OG0000418	Prbd.g_01075	Syab.g_02585
OG0000419	Prbd.g_01073	Syab.g_02587
OG0000420	Prbd.g_01072	Syab.g_02589
OG0000421	Prbd.g_01067	Syab.g_02595
OG0000422	Prbd.g_01066	Syab.g_02596
OG0000423	Prbd.g_01065	Syab.g_02597
OG0000424	Prbd.g_01064	Syab.g_02598
OG0000425	Prbd.g_01063	Syab.g_02599
OG0000426	Prbd.g_01062	Syab.g_02600
OG0000427	Prbd.g_01061	Syab.g_02601
OG0000428	Prbd.g_01059	Syab.g_02604
OG0000429	Prbd.g_01058	Syab.g_02608
OG0000430	Prbd.g_01057	Syab.g_02610
OG0000431	Prbd.g_01055	Syab.g_02613
OG0000432	Prbd.g_01052	Syab.g_02619
OG0000433	Prbd.g_01051	Syab.g_02622
OG0000434	Prbd.g_01050	Syab.g_02623
OG0000435	Prbd.g_01049	Syab.g_02625
OG0000436	Prbd.g_01044	Syab.g_02632
OG0000437	Prbd.g_01043	Syab.g_02633
OG0000438	Prbd.g_01042	Syab.g_02634
OG0000439	Prbd.g_01040	Syab.g_02636
OG0000440	Prbd.g_01039	Syab.g_02637
OG0000441	Prbd.g_01036	Syab.g_02641
OG0000442	Prbd.g_01035	Syab.g_02642
OG0000443	Prbd.g_01034	Syab.g_02668
OG0000444	Prbd.g_01029	Syab.g_02681
OG0000445	Prbd.g_01028	Syab.g_02682
OG0000446	Prbd.g_01027	Syab.g_02684
OG0000447	Prbd.g_01026	Syab.g_02687
OG0000448	Prbd.g_01025	Syab.g_02688
OG0000449	Prbd.g_01024	Syab.g_02689
OG0000450	Prbd.g_01023	Syab.g_02695
OG0000451	Prbd.g_01022	Syab.g_02696
OG0000452	Prbd.g_01019	Syab.g_02701
OG0000453	Prbd.g_01018	Syab.g_02702
OG0000454	Prbd.g_01017	Syab.g_02703
OG0000455	Prbd.g_01016	Syab.g_02704
OG0000456	Prbd.g_01015	Syab.g_02705
OG0000457	Prbd.g_01013	Syab.g_02707
OG0000458	Prbd.g_01012	Syab.g_02708
OG0000459	Prbd.g_01011	Syab.g_02709
OG0000460	Prbd.g_01004	Syab.g_02372
OG0000461	Prbd.g_00997	Syab.g_00356
OG0000462	Prbd.g_00995	Syab.g_00352
OG0000463	Prbd.g_00994	Syab.g_00351
OG0000464	Prbd.g_00993	Syab.g_00350
OG0000465	Prbd.g_00992	Syab.g_00349
OG0000466	Prbd.g_00989	Syab.g_00343
OG0000467	Prbd.g_00988	Syab.g_00341
OG0000468	Prbd.g_00986	Syab.g_00336
OG0000469	Prbd.g_00977	Syab.g_00318
OG0000470	Prbd.g_00975	Syab.g_00316
OG0000471	Prbd.g_00974	Syab.g_00315
OG0000472	Prbd.g_00973	Syab.g_00313
OG0000473	Prbd.g_00971	Syab.g_00311
OG0000474	Prbd.g_00970	Syab.g_00310
OG0000475	Prbd.g_00969	Syab.g_00309
OG0000476	Prbd.g_00968	Syab.g_00307
OG0000477	Prbd.g_00964	Syab.g_00301
OG0000478	Prbd.g_00963	Syab.g_00300
OG0000479	Prbd.g_00962	Syab.g_00299
OG0000480	Prbd.g_00957	Syab.g_00292
OG0000481	Prbd.g_00955	Syab.g_00290
OG0000482	Prbd.g_00954	Syab.g_00289
OG0000483	Prbd.g_00951	Syab.g_00285
OG0000484	Prbd.g_00950	Syab.g_00284
OG0000485	Prbd.g_00949	Syab.g_00283
OG0000486	Prbd.g_00948	Syab.g_00282
OG0000487	Prbd.g_00944	Syab.g_00276
OG0000488	Prbd.g_00941	Syab.g_00272
OG0000489	Prbd.g_00936	Syab.g_00256
OG0000490	Prbd.g_00931	Syab.g_00247
OG0000491	Prbd.g_00930	Syab.g_00245
OG0000492	Prbd.g_00928	Syab.g_00243
OG0000493	Prbd.g_00927	Syab.g_00242
OG0000494	Prbd.g_00926	Syab.g_00241
OG0000495	Prbd.g_00925	Syab.g_00240
OG0000496	Prbd.g_00924	Syab.g_00239
OG0000497	Prbd.g_00923	Syab.g_00238
OG0000498	Prbd.g_00922	Syab.g_00237
OG0000499	Prbd.g_00921	Syab.g_00236
OG0000500	Prbd.g_00920	Syab.g_00235
OG0000501	Prbd.g_00918	Syab.g_00232
OG0000502	Prbd.g_00915	Syab.g_00224
OG0000503	Prbd.g_00905	Syab.g_00523
OG0000504	Prbd.g_00904	Syab.g_00525
OG0000505	Prbd.g_00903	Syab.g_00526
OG0000506	Prbd.g_00901	Syab.g_00528
OG0000507	Prbd.g_00898	Syab.g_00533
OG0000508	Prbd.g_00894	Syab.g_00537
OG0000509	Prbd.g_00892	Syab.g_00539
OG0000510	Prbd.g_00891	Syab.g_00540
OG0000511	Prbd.g_00890	Syab.g_00541
OG0000512	Prbd.g_00888	Syab.g_00543
OG0000513	Prbd.g_00881	Syab.g_00555
OG0000514	Prbd.g_00811	Syab.g_00566
OG0000515	Prbd.g_00810	Syab.g_00567
OG0000516	Prbd.g_00809	Syab.g_00575
OG0000517	Prbd.g_00807	Syab.g_00582
OG0000518	Prbd.g_00796	Syab.g_00594
OG0000519	Prbd.g_00795	Syab.g_00610
OG0000520	Prbd.g_00794	Syab.g_00611
OG0000521	Prbd.g_00789	Syab.g_00624
OG0000522	Prbd.g_00787	Syab.g_00626
OG0000523	Prbd.g_00786	Syab.g_00627
OG0000524	Prbd.g_00781	Syab.g_00640
OG0000525	Prbd.g_00778	Syab.g_00671
OG0000526	Prbd.g_00777	Syab.g_00689
OG0000527	Prbd.g_00769	Syab.g_00695
OG0000528	Prbd.g_00764	Syab.g_02092
OG0000529	Prbd.g_00761	Syab.g_02097
OG0000530	Prbd.g_00758	Syab.g_02100
OG0000531	Prbd.g_00757	Syab.g_02101
OG0000532	Prbd.g_00755	Syab.g_02104
OG0000533	Prbd.g_00754	Syab.g_02106
OG0000534	Prbd.g_00753	Syab.g_02107
OG0000535	Prbd.g_00752	Syab.g_02108
OG0000536	Prbd.g_00751	Syab.g_02109
OG0000537	Prbd.g_00750	Syab.g_02110
OG0000538	Prbd.g_00742	Syab.g_02122
OG0000539	Prbd.g_00741	Syab.g_02123
OG0000540	Prbd.g_00740	Syab.g_02124
OG0000541	Prbd.g_00739	Syab.g_02125
OG0000542	Prbd.g_00737	Syab.g_02128
OG0000543	Prbd.g_00735	Syab.g_02130
OG0000544	Prbd.g_00734	Syab.g_02131
OG0000545	Prbd.g_00732	Syab.g_02133
OG0000546	Prbd.g_00729	Syab.g_02135
OG0000547	Prbd.g_00727	Syab.g_02137
OG0000548	Prbd.g_00726	Syab.g_02138
OG0000549	Prbd.g_00724	Syab.g_02144
OG0000550	Prbd.g_00719	Syab.g_02149
OG0000551	Prbd.g_00715	Syab.g_02153
OG0000552	Prbd.g_00714	Syab.g_02154
OG0000553	Prbd.g_00713	Syab.g_02046
OG0000554	Prbd.g_00708	Syab.g_02040
OG0000555	Prbd.g_00700	Syab.g_02026
OG0000556	Prbd.g_00698	Syab.g_02022
OG0000557	Prbd.g_00697	Syab.g_02019
OG0000558	Prbd.g_00695	Syab.g_02016
OG0000559	Prbd.g_00691	Syab.g_02012
OG0000560	Prbd.g_00688	Syab.g_02009
OG0000561	Prbd.g_00687	Syab.g_02008
OG0000562	Prbd.g_00686	Syab.g_02007
OG0000563	Prbd.g_00685	Syab.g_02006
OG0000564	Prbd.g_00684	Syab.g_02005
OG0000565	Prbd.g_00681	Syab.g_02001
OG0000566	Prbd.g_00679	Syab.g_01997
