Orthogroup	Prbd	Syar
OG0000089	Prbd.g_00883	Syar.g_01162
OG0000090	Prbd.g_00709	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prbd.g_00602	Syar.g_01891, Syar.g_02426
OG0000092	Prbd.g_00211, Prbd.g_01193	Syar.g_01960
OG0000094	Prbd.g_00321	Syar.g_01789
OG0000095	Prbd.g_00340	Syar.g_01932
OG0000097	Prbd.g_00509	Syar.g_01706, Syar.g_00364
OG0000098	Prbd.g_01782	Syar.g_02343
OG0000099	Prbd.g_01734	Syar.g_00715
OG0000100	Prbd.g_01614	Syar.g_02477
OG0000101	Prbd.g_01391	Syar.g_01073, Syar.g_03154
OG0000102	Prbd.g_01330	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prbd.g_01250	Syar.g_00452, Syar.g_00014
OG0000104	Prbd.g_01241	Syar.g_00466
OG0000105	Prbd.g_00965	Syar.g_00218
OG0000106	Prbd.g_00868	Syar.g_01748
OG0000107	Prbd.g_00852	Syar.g_00149
OG0000108	Prbd.g_00762	Syar.g_01469
OG0000109	Prbd.g_00748	Syar.g_03310, Syar.g_01485
OG0000110	Prbd.g_00668	Syar.g_02295
OG0000111	Prbd.g_00545	Syar.g_01940
OG0000112	Prbd.g_00066	Syar.g_02548, Syar.g_03195
OG0000113	Prbd.g_00124	Syar.g_02664
OG0000114	Prbd.g_00206	Syar.g_01616
OG0000115	Prbd.g_00401	Syar.g_02854, Syar.g_01415
OG0000116	Prbd.g_00458	Syar.g_01525, Syar.g_02255
OG0000117	Prbd.g_01895	Syar.g_01969
OG0000118	Prbd.g_01789	Syar.g_02793
OG0000120	Prbd.g_01737	Syar.g_00713
OG0000121	Prbd.g_01687	Syar.g_02806
OG0000123	Prbd.g_01384	Syar.g_01079
OG0000124	Prbd.g_01318	Syar.g_00586
OG0000125	Prbd.g_01281	Syar.g_00338
OG0000126	Prbd.g_01242	Syar.g_00887, Syar.g_00888
OG0000128	Prbd.g_01226	Syar.g_00482
OG0000129	Prbd.g_01194	Syar.g_00324
OG0000130	Prbd.g_01175	Syar.g_03040
OG0000131	Prbd.g_01095	Syar.g_00078
OG0000132	Prbd.g_01076	Syar.g_00099
OG0000133	Prbd.g_00917	Syar.g_02543
OG0000134	Prbd.g_00882	Syar.g_02009, Syar.g_01165
OG0000135	Prbd.g_00855	Syar.g_00698
OG0000136	Prbd.g_01722, Prbd.g_00801	Syar.g_02874
OG0000137	Prbd.g_00767	Syar.g_01273
OG0000138	Prbd.g_00747	Syar.g_01486
OG0000139	Prbd.g_00705	Syar.g_03245
OG0000140	Prbd.g_00704	Syar.g_02344, Syar.g_03246
OG0000141	Prbd.g_00637	Syar.g_02129
OG0000142	Prbd.g_00609	Syar.g_02418
OG0000143	Prbd.g_00605	Syar.g_02422
OG0000144	Prbd.g_00592	Syar.g_02441
OG0000145	Prbd.g_00062	Syar.g_01494
OG0000146	Prbd.g_00067	Syar.g_02549
OG0000147	Prbd.g_00068	Syar.g_02550
OG0000148	Prbd.g_00118	Syar.g_02658
OG0000149	Prbd.g_00149	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prbd.g_00157	Syar.g_02130
OG0000151	Prbd.g_00216	Syar.g_02038
OG0000152	Prbd.g_00264	Syar.g_02539
OG0000153	Prbd.g_00283	Syar.g_03283, Syar.g_02503
OG0000154	Prbd.g_00314	Syar.g_01800
OG0000155	Prbd.g_00488	Syar.g_01959
OG0000156	Prbd.g_01812	Syar.g_01517
OG0000157	Prbd.g_01811	Syar.g_01516
OG0000158	Prbd.g_01736	Syar.g_00650
OG0000159	Prbd.g_01735	Syar.g_02359
OG0000160	Prbd.g_01688	Syar.g_02807
OG0000161	Prbd.g_01682	Syar.g_02801
OG0000162	Prbd.g_01676	Syar.g_02863
OG0000163	Prbd.g_01642	Syar.g_01186
OG0000164	Prbd.g_01501	Syar.g_03168, Syar.g_02969
OG0000165	Prbd.g_01494	Syar.g_02976
OG0000166	Prbd.g_01427	Syar.g_01034
OG0000167	Prbd.g_01361	Syar.g_00662
OG0000168	Prbd.g_01351	Syar.g_00246
OG0000169	Prbd.g_01341	Syar.g_00262
OG0000170	Prbd.g_01339	Syar.g_00613
OG0000171	Prbd.g_01319	Syar.g_00587
OG0000172	Prbd.g_01310	Syar.g_00547
OG0000173	Prbd.g_01295	Syar.g_00528
OG0000174	Prbd.g_01268	Syar.g_00701
OG0000175	Prbd.g_01258	Syar.g_00438
OG0000176	Prbd.g_01233	Syar.g_00474
OG0000177	Prbd.g_01232	Syar.g_00475
OG0000178	Prbd.g_01231	Syar.g_00476
OG0000179	Prbd.g_01221	Syar.g_00489
OG0000180	Prbd.g_01220	Syar.g_00490
OG0000181	Prbd.g_01219	Syar.g_00491
OG0000182	Prbd.g_01218	Syar.g_00492
OG0000183	Prbd.g_01214	Syar.g_00496
OG0000184	Prbd.g_01191	Syar.g_00897
OG0000185	Prbd.g_01188	Syar.g_00909
OG0000186	Prbd.g_01180	Syar.g_03036
OG0000187	Prbd.g_01179	Syar.g_03038
OG0000188	Prbd.g_01162	Syar.g_03058
OG0000189	Prbd.g_01148	Syar.g_03104
OG0000190	Prbd.g_01147	Syar.g_03107, Syar.g_02374
OG0000191	Prbd.g_01126	Syar.g_00039
OG0000192	Prbd.g_01122	Syar.g_00046
OG0000193	Prbd.g_01094	Syar.g_00079
OG0000194	Prbd.g_01091	Syar.g_00082, Syar.g_03236
OG0000195	Prbd.g_01089	Syar.g_00023, Syar.g_00084
OG0000196	Prbd.g_01079	Syar.g_00096
OG0000197	Prbd.g_01078	Syar.g_00097
OG0000198	Prbd.g_01077	Syar.g_00098
OG0000199	Prbd.g_01070	Syar.g_00106
OG0000200	Prbd.g_01056	Syar.g_00124
OG0000201	Prbd.g_01048	Syar.g_01000
OG0000202	Prbd.g_01047	Syar.g_00021, Syar.g_00998
OG0000203	Prbd.g_01046	Syar.g_00997, Syar.g_00020
OG0000204	Prbd.g_01045	Syar.g_00996
OG0000205	Prbd.g_01038	Syar.g_00988
OG0000206	Prbd.g_01033	Syar.g_00963
OG0000207	Prbd.g_01031	Syar.g_00957
OG0000208	Prbd.g_01030	Syar.g_00956
OG0000209	Prbd.g_01021	Syar.g_00936, Syar.g_03261
OG0000210	Prbd.g_01020	Syar.g_03260, Syar.g_00935
OG0000211	Prbd.g_01006	Syar.g_03026
OG0000212	Prbd.g_00999	Syar.g_03017
OG0000213	Prbd.g_00982	Syar.g_00187
OG0000214	Prbd.g_00972	Syar.g_00209
OG0000215	Prbd.g_00947	Syar.g_00239
OG0000216	Prbd.g_00945	Syar.g_00244
OG0000217	Prbd.g_00942	Syar.g_00854
OG0000218	Prbd.g_00940	Syar.g_00852
OG0000219	Prbd.g_00939	Syar.g_00851
OG0000220	Prbd.g_00938	Syar.g_00850, Syar.g_02026
OG0000221	Prbd.g_00937	Syar.g_00834
OG0000222	Prbd.g_00929	Syar.g_02119, Syar.g_00728
OG0000223	Prbd.g_00916	Syar.g_00649
OG0000224	Prbd.g_00914	Syar.g_00273
OG0000225	Prbd.g_00893	Syar.g_01142
OG0000226	Prbd.g_00889	Syar.g_01146
OG0000227	Prbd.g_00887	Syar.g_01148
OG0000228	Prbd.g_00884	Syar.g_01161
OG0000229	Prbd.g_00806	Syar.g_01177, Syar.g_03273
OG0000230	Prbd.g_00804	Syar.g_01179
OG0000231	Prbd.g_00793	Syar.g_02865, Syar.g_03151
OG0000232	Prbd.g_00784	Syar.g_01424
OG0000233	Prbd.g_00779	Syar.g_03183, Syar.g_01247
OG0000234	Prbd.g_00766	Syar.g_01275
OG0000235	Prbd.g_00763	Syar.g_01468
OG0000236	Prbd.g_00749	Syar.g_01484, Syar.g_03311
OG0000237	Prbd.g_00736	Syar.g_01503
OG0000238	Prbd.g_00730	Syar.g_01508
OG0000239	Prbd.g_00717	Syar.g_03277, Syar.g_02687
OG0000240	Prbd.g_00716	Syar.g_02686, Syar.g_03278
OG0000241	Prbd.g_00712	Syar.g_02410
OG0000242	Prbd.g_00710	Syar.g_01926
OG0000243	Prbd.g_00699	Syar.g_02335
OG0000244	Prbd.g_00696	Syar.g_02327
OG0000245	Prbd.g_00694	Syar.g_02325, Syar.g_03238
OG0000246	Prbd.g_00690	Syar.g_02321
OG0000247	Prbd.g_00680	Syar.g_02310
OG0000248	Prbd.g_00678	Syar.g_02307, Syar.g_03293
OG0000249	Prbd.g_00676	Syar.g_02305
OG0000250	Prbd.g_00671	Syar.g_02299
OG0000251	Prbd.g_00653	Syar.g_03207, Syar.g_02194
OG0000252	Prbd.g_00650	Syar.g_02189, Syar.g_03263
OG0000253	Prbd.g_00649	Syar.g_02028
OG0000254	Prbd.g_00633	Syar.g_02169
OG0000255	Prbd.g_00627	Syar.g_02224, Syar.g_00011
OG0000256	Prbd.g_00617	Syar.g_02244
OG0000257	Prbd.g_00614	Syar.g_02407, Syar.g_01762
OG0000258	Prbd.g_00601	Syar.g_00010, Syar.g_02427
OG0000259	Prbd.g_00584	Syar.g_02472
OG0000260	Prbd.g_00581	Syar.g_03220, Syar.g_02475
OG0000261	Prbd.g_00579	Syar.g_01916
OG0000262	Prbd.g_00575	Syar.g_01690
OG0000263	Prbd.g_00563	Syar.g_01991
OG0000264	Prbd.g_00553	Syar.g_02135, Syar.g_03267
OG0000266	Prbd.g_00017	Syar.g_01570
OG0000267	Prbd.g_00028	Syar.g_01873
OG0000268	Prbd.g_00029	Syar.g_02589
OG0000269	Prbd.g_00097	Syar.g_02634
OG0000270	Prbd.g_00100	Syar.g_00744, Syar.g_02637
OG0000271	Prbd.g_00108	Syar.g_02645
OG0000272	Prbd.g_00109	Syar.g_02646
OG0000273	Prbd.g_00132	Syar.g_00008
OG0000274	Prbd.g_00133	Syar.g_02482, Syar.g_00009
OG0000275	Prbd.g_00136	Syar.g_01810
OG0000276	Prbd.g_00141	Syar.g_01817
OG0000277	Prbd.g_00142	Syar.g_03242, Syar.g_01818
OG0000278	Prbd.g_00145	Syar.g_01821, Syar.g_03174
OG0000279	Prbd.g_00152	Syar.g_01838
OG0000280	Prbd.g_00153	Syar.g_02067, Syar.g_00734
OG0000281	Prbd.g_00158	Syar.g_02218
OG0000282	Prbd.g_00208	Syar.g_03255, Syar.g_01614
OG0000283	Prbd.g_00241	Syar.g_02574
OG0000284	Prbd.g_00246	Syar.g_02568
OG0000285	Prbd.g_00251	Syar.g_02560
OG0000286	Prbd.g_00263	Syar.g_02540
OG0000287	Prbd.g_00280	Syar.g_02512
OG0000288	Prbd.g_00313	Syar.g_01801
OG0000289	Prbd.g_00324	Syar.g_01786
OG0000290	Prbd.g_00337	Syar.g_01928
OG0000291	Prbd.g_00339	Syar.g_01930
OG0000292	Prbd.g_00389	Syar.g_00463
OG0000293	Prbd.g_00459	Syar.g_01526, Syar.g_03297
OG0000294	Prbd.g_00460	Syar.g_01527, Syar.g_03296
OG0000295	Prbd.g_00480	Syar.g_01951, Syar.g_03208
OG0000296	Prbd.g_00482	Syar.g_01953
OG0000297	Prbd.g_00490	Syar.g_03216
OG0000298	Prbd.g_00491	Syar.g_03215
OG0000299	Prbd.g_00508	Syar.g_01704
OG0000300	Prbd.g_00511	Syar.g_01646
OG0000301	Prbd.g_00512	Syar.g_01712
OG0000302	Prbd.g_00514	Syar.g_01713
OG0000303	Prbd.g_00521	Syar.g_01723
OG0000304	Prbd.g_00525	Syar.g_01728
OG0000305	Prbd.g_01772	Syar.g_01933, Syar.g_03163
OG0000306	Prbd.g_01769	Syar.g_01884, Syar.g_03140
OG0000307	Prbd.g_01755	Syar.g_01452, Syar.g_03153
OG0000308	Prbd.g_01754	Syar.g_01450
OG0000309	Prbd.g_01750	Syar.g_01239
OG0000310	Prbd.g_01704	Syar.g_02826
OG0000311	Prbd.g_01702	Syar.g_02823
OG0000312	Prbd.g_01699	Syar.g_00015, Syar.g_02818
OG0000313	Prbd.g_01685	Syar.g_02804
OG0000314	Prbd.g_01662	Syar.g_01403
OG0000315	Prbd.g_01652	Syar.g_01393
OG0000316	Prbd.g_01632	Syar.g_02885
OG0000317	Prbd.g_01527	Syar.g_02926
OG0000318	Prbd.g_01524	Syar.g_02930
OG0000319	Prbd.g_01511	Syar.g_02954
OG0000320	Prbd.g_01509	Syar.g_02956
OG0000321	Prbd.g_01508	Syar.g_02957
OG0000322	Prbd.g_01507	Syar.g_02958
OG0000323	Prbd.g_01498	Syar.g_02973
OG0000324	Prbd.g_01471	Syar.g_00350, Syar.g_03001
OG0000325	Prbd.g_01462	Syar.g_03291, Syar.g_00148
OG0000326	Prbd.g_01456	Syar.g_00139, Syar.g_03134
OG0000327	Prbd.g_01432	Syar.g_01029
OG0000328	Prbd.g_01431	Syar.g_01030
OG0000329	Prbd.g_01414	Syar.g_03189, Syar.g_01048
OG0000330	Prbd.g_01413	Syar.g_01049
OG0000331	Prbd.g_01412	Syar.g_03191, Syar.g_01050
OG0000332	Prbd.g_01398	Syar.g_01064, Syar.g_03299
OG0000333	Prbd.g_01396	Syar.g_01067
OG0000334	Prbd.g_01388	Syar.g_01076
OG0000335	Prbd.g_01383	Syar.g_01080
OG0000336	Prbd.g_01379	Syar.g_01084
OG0000337	Prbd.g_01363	Syar.g_00285
OG0000338	Prbd.g_01362	Syar.g_03225, Syar.g_00287
OG0000339	Prbd.g_01358	Syar.g_00658
OG0000340	Prbd.g_01350	Syar.g_00247
OG0000341	Prbd.g_01348	Syar.g_00249
OG0000342	Prbd.g_01347	Syar.g_00250
OG0000343	Prbd.g_01346	Syar.g_00256
OG0000344	Prbd.g_01343	Syar.g_00260
OG0000345	Prbd.g_01338	Syar.g_00612
OG0000346	Prbd.g_01334	Syar.g_00607
OG0000347	Prbd.g_01317	Syar.g_00558
OG0000348	Prbd.g_01307	Syar.g_00544
OG0000349	Prbd.g_01290	Syar.g_00521
OG0000350	Prbd.g_01272	Syar.g_00132
OG0000351	Prbd.g_01255	Syar.g_00442
OG0000352	Prbd.g_01254	Syar.g_00443
OG0000353	Prbd.g_01238	Syar.g_00469
OG0000355	Prbd.g_01236	Syar.g_00471
OG0000356	Prbd.g_01235	Syar.g_00472
OG0000357	Prbd.g_01234	Syar.g_00473
OG0000358	Prbd.g_01230	Syar.g_00477
OG0000359	Prbd.g_01229	Syar.g_00479
OG0000360	Prbd.g_01228	Syar.g_00480
OG0000361	Prbd.g_01227	Syar.g_00481
OG0000362	Prbd.g_01225	Syar.g_00483
OG0000363	Prbd.g_01223	Syar.g_00484
OG0000364	Prbd.g_01222	Syar.g_02928
OG0000365	Prbd.g_01217	Syar.g_00493
OG0000366	Prbd.g_01216	Syar.g_00494
OG0000367	Prbd.g_01215	Syar.g_03262, Syar.g_00495
OG0000368	Prbd.g_01213	Syar.g_00497
OG0000369	Prbd.g_01212	Syar.g_00498
OG0000370	Prbd.g_01211	Syar.g_00499
OG0000371	Prbd.g_01205	Syar.g_00508
OG0000372	Prbd.g_01202	Syar.g_00514
OG0000373	Prbd.g_01201	Syar.g_00515
OG0000374	Prbd.g_01200	Syar.g_00516
OG0000375	Prbd.g_01198	Syar.g_00517
OG0000376	Prbd.g_01196	Syar.g_00519
OG0000377	Prbd.g_01192	Syar.g_00322
OG0000378	Prbd.g_01190	Syar.g_00905
OG0000379	Prbd.g_01187	Syar.g_00910
OG0000380	Prbd.g_01178	Syar.g_03039
OG0000381	Prbd.g_01174	Syar.g_03041
OG0000382	Prbd.g_01163	Syar.g_03057
OG0000383	Prbd.g_01161	Syar.g_03074
OG0000384	Prbd.g_01160	Syar.g_03075
OG0000385	Prbd.g_01159	Syar.g_03076
OG0000386	Prbd.g_01158	Syar.g_03077
OG0000387	Prbd.g_01145	Syar.g_03109
OG0000388	Prbd.g_01142	Syar.g_03148, Syar.g_03113
OG0000389	Prbd.g_01138	Syar.g_03118
OG0000390	Prbd.g_01131	Syar.g_00033
OG0000391	Prbd.g_01127	Syar.g_00038
OG0000392	Prbd.g_01123	Syar.g_00045
OG0000393	Prbd.g_01121	Syar.g_00048
OG0000394	Prbd.g_01120	Syar.g_00049
OG0000395	Prbd.g_01119	Syar.g_00050
OG0000396	Prbd.g_01116	Syar.g_00053
OG0000397	Prbd.g_01114	Syar.g_00055
OG0000398	Prbd.g_01112	Syar.g_00060
OG0000399	Prbd.g_01111	Syar.g_00061
OG0000400	Prbd.g_01110	Syar.g_00062
OG0000401	Prbd.g_01109	Syar.g_00063
OG0000402	Prbd.g_01107	Syar.g_00065
OG0000403	Prbd.g_01106	Syar.g_00066
OG0000404	Prbd.g_01105	Syar.g_00067
OG0000405	Prbd.g_01100	Syar.g_00076
OG0000406	Prbd.g_01093	Syar.g_00080
OG0000407	Prbd.g_01092	Syar.g_00081
OG0000408	Prbd.g_01090	Syar.g_00083
OG0000409	Prbd.g_01088	Syar.g_00085
OG0000410	Prbd.g_01087	Syar.g_00086
OG0000411	Prbd.g_01086	Syar.g_00087
OG0000412	Prbd.g_01085	Syar.g_00088
OG0000413	Prbd.g_01084	Syar.g_00090
OG0000414	Prbd.g_01083	Syar.g_00091, Syar.g_03179
OG0000415	Prbd.g_01082	Syar.g_00092
OG0000416	Prbd.g_01081	Syar.g_00093
OG0000417	Prbd.g_01080	Syar.g_00095
OG0000418	Prbd.g_01075	Syar.g_00100
OG0000419	Prbd.g_01073	Syar.g_00102
OG0000420	Prbd.g_01072	Syar.g_00104
OG0000421	Prbd.g_01067	Syar.g_00109
OG0000422	Prbd.g_01066	Syar.g_00110
OG0000423	Prbd.g_01065	Syar.g_00111
OG0000424	Prbd.g_01064	Syar.g_00112
OG0000425	Prbd.g_01063	Syar.g_00113
OG0000426	Prbd.g_01062	Syar.g_00114
OG0000427	Prbd.g_01061	Syar.g_00115
OG0000428	Prbd.g_01059	Syar.g_00118
OG0000429	Prbd.g_01058	Syar.g_00121
OG0000430	Prbd.g_01057	Syar.g_00123
OG0000431	Prbd.g_01055	Syar.g_00127
OG0000432	Prbd.g_01052	Syar.g_01009
OG0000433	Prbd.g_01051	Syar.g_01007
OG0000434	Prbd.g_01050	Syar.g_01006
OG0000435	Prbd.g_01049	Syar.g_01003
OG0000436	Prbd.g_01044	Syar.g_00994
OG0000437	Prbd.g_01043	Syar.g_00993
OG0000438	Prbd.g_01042	Syar.g_00992
OG0000439	Prbd.g_01040	Syar.g_00990
OG0000440	Prbd.g_01039	Syar.g_00989
OG0000441	Prbd.g_01036	Syar.g_00986
OG0000442	Prbd.g_01035	Syar.g_00977
OG0000443	Prbd.g_01034	Syar.g_00964
OG0000444	Prbd.g_01029	Syar.g_00954
OG0000445	Prbd.g_01028	Syar.g_00953
OG0000446	Prbd.g_01027	Syar.g_00951
OG0000447	Prbd.g_01026	Syar.g_00948
OG0000448	Prbd.g_01025	Syar.g_00947
OG0000449	Prbd.g_01024	Syar.g_00946
OG0000450	Prbd.g_01023	Syar.g_00939
OG0000451	Prbd.g_01022	Syar.g_00938
OG0000452	Prbd.g_01019	Syar.g_00934
OG0000453	Prbd.g_01018	Syar.g_00933
OG0000454	Prbd.g_01017	Syar.g_00932
OG0000455	Prbd.g_01016	Syar.g_00931
OG0000456	Prbd.g_01015	Syar.g_00930
OG0000457	Prbd.g_01013	Syar.g_00928
OG0000458	Prbd.g_01012	Syar.g_00918
OG0000459	Prbd.g_01011	Syar.g_00917
OG0000460	Prbd.g_01004	Syar.g_03024
OG0000461	Prbd.g_00997	Syar.g_00153
OG0000462	Prbd.g_00995	Syar.g_00155
OG0000463	Prbd.g_00994	Syar.g_00156
OG0000464	Prbd.g_00993	Syar.g_00157
OG0000465	Prbd.g_00992	Syar.g_00159
OG0000466	Prbd.g_00989	Syar.g_00164
OG0000467	Prbd.g_00988	Syar.g_00165
OG0000468	Prbd.g_00986	Syar.g_00170
OG0000469	Prbd.g_00977	Syar.g_00203
OG0000470	Prbd.g_00975	Syar.g_00206
OG0000471	Prbd.g_00974	Syar.g_00207
OG0000472	Prbd.g_00973	Syar.g_00208
OG0000473	Prbd.g_00971	Syar.g_00210
OG0000474	Prbd.g_00970	Syar.g_00211
OG0000475	Prbd.g_00969	Syar.g_00212
OG0000476	Prbd.g_00968	Syar.g_00214
OG0000477	Prbd.g_00964	Syar.g_00219
OG0000478	Prbd.g_00963	Syar.g_00220
OG0000479	Prbd.g_00962	Syar.g_00221
OG0000480	Prbd.g_00957	Syar.g_00228
OG0000481	Prbd.g_00955	Syar.g_00230
OG0000482	Prbd.g_00954	Syar.g_00231
OG0000483	Prbd.g_00951	Syar.g_00235
OG0000484	Prbd.g_00950	Syar.g_00236
OG0000485	Prbd.g_00949	Syar.g_00237
OG0000486	Prbd.g_00948	Syar.g_00238, Syar.g_00024
OG0000487	Prbd.g_00944	Syar.g_00245
OG0000488	Prbd.g_00941	Syar.g_00853
OG0000489	Prbd.g_00936	Syar.g_00833
OG0000490	Prbd.g_00931	Syar.g_00823
OG0000491	Prbd.g_00930	Syar.g_00822
OG0000492	Prbd.g_00928	Syar.g_00727
OG0000493	Prbd.g_00927	Syar.g_00726
OG0000494	Prbd.g_00926	Syar.g_00725
OG0000495	Prbd.g_00925	Syar.g_00724
OG0000496	Prbd.g_00924	Syar.g_00723
OG0000497	Prbd.g_00923	Syar.g_00722
OG0000498	Prbd.g_00922	Syar.g_00721
OG0000499	Prbd.g_00921	Syar.g_00720
OG0000500	Prbd.g_00920	Syar.g_00719
OG0000501	Prbd.g_00918	Syar.g_00716
OG0000502	Prbd.g_00915	Syar.g_00275
OG0000503	Prbd.g_00905	Syar.g_01118
OG0000504	Prbd.g_00904	Syar.g_01120
OG0000505	Prbd.g_00903	Syar.g_01121
OG0000506	Prbd.g_00901	Syar.g_01123
OG0000507	Prbd.g_00898	Syar.g_01129
OG0000508	Prbd.g_00894	Syar.g_01141
OG0000509	Prbd.g_00892	Syar.g_01143
OG0000510	Prbd.g_00891	Syar.g_01144
OG0000511	Prbd.g_00890	Syar.g_01145
OG0000512	Prbd.g_00888	Syar.g_01147
OG0000513	Prbd.g_00881	Syar.g_01166
OG0000514	Prbd.g_00811	Syar.g_01169
OG0000515	Prbd.g_00810	Syar.g_01170
OG0000516	Prbd.g_00809	Syar.g_01172
OG0000517	Prbd.g_00807	Syar.g_01176
OG0000518	Prbd.g_00796	Syar.g_02868
OG0000519	Prbd.g_00795	Syar.g_02867
OG0000520	Prbd.g_00794	Syar.g_02866
OG0000521	Prbd.g_00789	Syar.g_01419
OG0000522	Prbd.g_00787	Syar.g_01421
OG0000523	Prbd.g_00786	Syar.g_01422
OG0000524	Prbd.g_00781	Syar.g_01244
OG0000525	Prbd.g_00778	Syar.g_01263
OG0000526	Prbd.g_00777	Syar.g_01266
OG0000527	Prbd.g_00769	Syar.g_01271
OG0000528	Prbd.g_00764	Syar.g_01466
OG0000529	Prbd.g_00761	Syar.g_01470
OG0000530	Prbd.g_00758	Syar.g_01473
OG0000531	Prbd.g_00757	Syar.g_01474
OG0000532	Prbd.g_00755	Syar.g_01477
OG0000533	Prbd.g_00754	Syar.g_01479
OG0000534	Prbd.g_00753	Syar.g_01480
OG0000535	Prbd.g_00752	Syar.g_01481
OG0000536	Prbd.g_00751	Syar.g_01482
OG0000537	Prbd.g_00750	Syar.g_01483
OG0000538	Prbd.g_00742	Syar.g_01496
OG0000539	Prbd.g_00741	Syar.g_01497
OG0000540	Prbd.g_00740	Syar.g_01498
OG0000541	Prbd.g_00739	Syar.g_01499
OG0000542	Prbd.g_00737	Syar.g_01502
OG0000543	Prbd.g_00735	Syar.g_01504
OG0000544	Prbd.g_00734	Syar.g_01505
OG0000545	Prbd.g_00732	Syar.g_01507
OG0000546	Prbd.g_00729	Syar.g_01509
OG0000547	Prbd.g_00727	Syar.g_01511
OG0000548	Prbd.g_00726	Syar.g_01512
OG0000549	Prbd.g_00724	Syar.g_02693
OG0000550	Prbd.g_00719	Syar.g_02689
OG0000551	Prbd.g_00715	Syar.g_02684
OG0000552	Prbd.g_00714	Syar.g_02683
OG0000553	Prbd.g_00713	Syar.g_02679
OG0000554	Prbd.g_00708	Syar.g_02352
OG0000555	Prbd.g_00700	Syar.g_02336
OG0000556	Prbd.g_00698	Syar.g_02332
