Orthogroup	Prbd	Prbf
OG0000085	Prbd.g_01532	Prbf.g_00701, Prbf.g_00822
OG0000086	Prbd.g_01156	Prbf.g_01414
OG0000087	Prbd.g_01104, Prbd.g_01103	Prbf.g_01469
OG0000088	Prbd.g_01074	Prbf.g_01500
OG0000089	Prbd.g_00883	Prbf.g_01701
OG0000090	Prbd.g_00709	Prbf.g_01814
OG0000091	Prbd.g_00602	Prbf.g_00990
OG0000092	Prbd.g_00211	Prbf.g_01315
OG0000093	Prbd.g_00232	Prbf.g_01019
OG0000094	Prbd.g_00321	Prbf.g_01068
OG0000095	Prbd.g_00340	Prbf.g_01170
OG0000096	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870	Prbf.g_00306
OG0000097	Prbd.g_00509	Prbf.g_00964
OG0000098	Prbd.g_01782	Prbf.g_00071
OG0000099	Prbd.g_01734	Prbf.g_00118
OG0000100	Prbd.g_01614	Prbf.g_00236
OG0000101	Prbd.g_01391	Prbf.g_00558
OG0000102	Prbd.g_01330	Prbf.g_00491
OG0000103	Prbd.g_01250	Prbf.g_00406
OG0000104	Prbd.g_01241	Prbf.g_00397
OG0000105	Prbd.g_00965	Prbf.g_01614
OG0000106	Prbd.g_00868	Prbf.g_00320
OG0000107	Prbd.g_00852	Prbf.g_00629
OG0000108	Prbd.g_00762	Prbf.g_01763
OG0000109	Prbd.g_00748	Prbf.g_01777
OG0000110	Prbd.g_00668	Prbf.g_01856
OG0000111	Prbd.g_00545	Prbf.g_01260
OG0000112	Prbd.g_00066	Prbf.g_01929
OG0000113	Prbd.g_00124	Prbf.g_01222
OG0000114	Prbd.g_00206	Prbf.g_01320
OG0000115	Prbd.g_00401	Prbf.g_00062
OG0000116	Prbd.g_00458	Prbf.g_00907
OG0000117	Prbd.g_01895	Prbf.g_00945
OG0000118	Prbd.g_01789	Prbf.g_00013
OG0000119	Prbd.g_01768	Prbf.g_00864, Prbf.g_00254
OG0000120	Prbd.g_01737	Prbf.g_00115
OG0000121	Prbd.g_01687	Prbf.g_00159
OG0000122	Prbd.g_01649	Prbf.g_00055, Prbf.g_00200
OG0000123	Prbd.g_01384	Prbf.g_00551
OG0000124	Prbd.g_01318	Prbf.g_00478
OG0000125	Prbd.g_01281	Prbf.g_00443
OG0000126	Prbd.g_01242	Prbf.g_00398
OG0000128	Prbd.g_01226	Prbf.g_00382
OG0000129	Prbd.g_01194	Prbf.g_01367
OG0000130	Prbd.g_01175	Prbf.g_01396
OG0000131	Prbd.g_01095	Prbf.g_01478
OG0000132	Prbd.g_01076	Prbf.g_01498
OG0000133	Prbd.g_00917	Prbf.g_01661
OG0000134	Prbd.g_00882	Prbf.g_01703
OG0000135	Prbd.g_00855	Prbf.g_00044
OG0000136	Prbd.g_01722, Prbd.g_00801	Prbf.g_01725
OG0000137	Prbd.g_00767	Prbf.g_01758
OG0000138	Prbd.g_00747	Prbf.g_01778
OG0000139	Prbd.g_00705	Prbf.g_01818
OG0000140	Prbd.g_00704	Prbf.g_01819
OG0000141	Prbd.g_00637	Prbf.g_01890
OG0000142	Prbd.g_00609	Prbf.g_00982
OG0000143	Prbd.g_00605	Prbf.g_00986
OG0000144	Prbd.g_00592	Prbf.g_01000
OG0000145	Prbd.g_00062	Prbf.g_00042
OG0000146	Prbd.g_00067	Prbf.g_01928
OG0000147	Prbd.g_00068	Prbf.g_01927
OG0000148	Prbd.g_00118	Prbf.g_01228
OG0000149	Prbd.g_00149	Prbf.g_01196
OG0000150	Prbd.g_00157	Prbf.g_01186
OG0000151	Prbd.g_00216	Prbf.g_01310
OG0000152	Prbd.g_00264	Prbf.g_01117
OG0000153	Prbd.g_00283	Prbf.g_01098
OG0000154	Prbd.g_00314	Prbf.g_01078
OG0000155	Prbd.g_00488	Prbf.g_00939
OG0000156	Prbd.g_01812	Prbf.g_00037
OG0000157	Prbd.g_01811	Prbf.g_00036
OG0000158	Prbd.g_01736	Prbf.g_00514
OG0000159	Prbd.g_01735	Prbf.g_01387
OG0000160	Prbd.g_01688	Prbf.g_00158
OG0000161	Prbd.g_01682	Prbf.g_00164
OG0000162	Prbd.g_01676	Prbf.g_00170
OG0000163	Prbd.g_01642	Prbf.g_00209
OG0000164	Prbd.g_01501	Prbf.g_00669
OG0000165	Prbd.g_01494	Prbf.g_00662
OG0000166	Prbd.g_01427	Prbf.g_00595
OG0000167	Prbd.g_01361	Prbf.g_00524
OG0000168	Prbd.g_01351	Prbf.g_00513
OG0000169	Prbd.g_01341	Prbf.g_00503
OG0000170	Prbd.g_01339	Prbf.g_00500
OG0000171	Prbd.g_01319	Prbf.g_00479
OG0000172	Prbd.g_01310	Prbf.g_00472
OG0000173	Prbd.g_01295	Prbf.g_00457
OG0000174	Prbd.g_01268	Prbf.g_00428
OG0000175	Prbd.g_01258	Prbf.g_00415
OG0000176	Prbd.g_01233	Prbf.g_00389
OG0000177	Prbd.g_01232	Prbf.g_00388
OG0000178	Prbd.g_01231	Prbf.g_00387
OG0000179	Prbd.g_01221	Prbf.g_01338
OG0000180	Prbd.g_01220	Prbf.g_01339
OG0000181	Prbd.g_01219	Prbf.g_01340
OG0000182	Prbd.g_01218	Prbf.g_01341
OG0000183	Prbd.g_01214	Prbf.g_01345
OG0000184	Prbd.g_01191	Prbf.g_01371
OG0000185	Prbd.g_01188	Prbf.g_01374
OG0000186	Prbd.g_01180	Prbf.g_01390
OG0000187	Prbd.g_01179	Prbf.g_01391
OG0000188	Prbd.g_01162	Prbf.g_01408
OG0000189	Prbd.g_01148	Prbf.g_01422
OG0000190	Prbd.g_01147	Prbf.g_01424
OG0000191	Prbd.g_01126	Prbf.g_01447
OG0000192	Prbd.g_01122	Prbf.g_01452
OG0000193	Prbd.g_01094	Prbf.g_01479
OG0000194	Prbd.g_01091	Prbf.g_01482
OG0000195	Prbd.g_01089	Prbf.g_01484
OG0000196	Prbd.g_01079	Prbf.g_01495
OG0000197	Prbd.g_01078	Prbf.g_01496
OG0000198	Prbd.g_01077	Prbf.g_01497
OG0000199	Prbd.g_01070	Prbf.g_01504
OG0000200	Prbd.g_01056	Prbf.g_01518
OG0000201	Prbd.g_01048	Prbf.g_01527
OG0000202	Prbd.g_01047	Prbf.g_01528
OG0000203	Prbd.g_01046	Prbf.g_01529
OG0000204	Prbd.g_01045	Prbf.g_01530
OG0000205	Prbd.g_01038	Prbf.g_01537
OG0000206	Prbd.g_01033	Prbf.g_01542
OG0000207	Prbd.g_01031	Prbf.g_01545
OG0000208	Prbd.g_01030	Prbf.g_01546
OG0000209	Prbd.g_01021	Prbf.g_01555
OG0000210	Prbd.g_01020	Prbf.g_01556
OG0000211	Prbd.g_01006	Prbf.g_01571
OG0000212	Prbd.g_00999	Prbf.g_01579
OG0000213	Prbd.g_00982	Prbf.g_01597
OG0000214	Prbd.g_00972	Prbf.g_01607
OG0000215	Prbd.g_00947	Prbf.g_01634
OG0000216	Prbd.g_00945	Prbf.g_01635
OG0000217	Prbd.g_00942	Prbf.g_01638
OG0000218	Prbd.g_00940	Prbf.g_01640
OG0000219	Prbd.g_00939	Prbf.g_01641
OG0000220	Prbd.g_00938	Prbf.g_01642
OG0000221	Prbd.g_00937	Prbf.g_01643
OG0000222	Prbd.g_00929	Prbf.g_01650
OG0000223	Prbd.g_00916	Prbf.g_01662
OG0000224	Prbd.g_00914	Prbf.g_01664
OG0000225	Prbd.g_00893	Prbf.g_01690
OG0000226	Prbd.g_00889	Prbf.g_01694
OG0000227	Prbd.g_00887	Prbf.g_01696
OG0000228	Prbd.g_00884	Prbf.g_01700
OG0000229	Prbd.g_00806	Prbf.g_01720
OG0000230	Prbd.g_00804	Prbf.g_01722
OG0000231	Prbd.g_00793	Prbf.g_01733
OG0000232	Prbd.g_00784	Prbf.g_01744
OG0000233	Prbd.g_00779	Prbf.g_01750
OG0000234	Prbd.g_00766	Prbf.g_01759
OG0000235	Prbd.g_00763	Prbf.g_01762
OG0000236	Prbd.g_00749	Prbf.g_01776
OG0000237	Prbd.g_00736	Prbf.g_01789
OG0000238	Prbd.g_00730	Prbf.g_01795
OG0000239	Prbd.g_00717	Prbf.g_01806
OG0000240	Prbd.g_00716	Prbf.g_01807
OG0000241	Prbd.g_00712	Prbf.g_01811
OG0000242	Prbd.g_00710	Prbf.g_01813
OG0000243	Prbd.g_00699	Prbf.g_01824
OG0000244	Prbd.g_00696	Prbf.g_01827
OG0000245	Prbd.g_00694	Prbf.g_01829
OG0000246	Prbd.g_00690	Prbf.g_01833
OG0000247	Prbd.g_00680	Prbf.g_01843
OG0000248	Prbd.g_00678	Prbf.g_01846
OG0000249	Prbd.g_00676	Prbf.g_01848
OG0000250	Prbd.g_00671	Prbf.g_01853
OG0000251	Prbd.g_00653	Prbf.g_01873
OG0000252	Prbd.g_00650	Prbf.g_01876
OG0000253	Prbd.g_00649	Prbf.g_01877
OG0000254	Prbd.g_00633	Prbf.g_01894
OG0000255	Prbd.g_00627	Prbf.g_01900
OG0000256	Prbd.g_00617	Prbf.g_01910
OG0000257	Prbd.g_00614	Prbf.g_00977
OG0000258	Prbd.g_00601	Prbf.g_00991
OG0000259	Prbd.g_00584	Prbf.g_01008
OG0000260	Prbd.g_00581	Prbf.g_01011
OG0000261	Prbd.g_00579	Prbf.g_01014
OG0000262	Prbd.g_00575	Prbf.g_01018
OG0000263	Prbd.g_00563	Prbf.g_01282
OG0000264	Prbd.g_00553	Prbf.g_01271
OG0000265	Prbd.g_00007	Prbf.g_01253
OG0000266	Prbd.g_00017	Prbf.g_01037
OG0000267	Prbd.g_00028	Prbf.g_01049
OG0000268	Prbd.g_00029	Prbf.g_01050
OG0000269	Prbd.g_00097	Prbf.g_01250
OG0000270	Prbd.g_00100	Prbf.g_01247
OG0000271	Prbd.g_00108	Prbf.g_01239
OG0000272	Prbd.g_00109	Prbf.g_01238
OG0000273	Prbd.g_00132	Prbf.g_01214
OG0000274	Prbd.g_00133	Prbf.g_01213
OG0000275	Prbd.g_00136	Prbf.g_01210
OG0000276	Prbd.g_00141	Prbf.g_01204
OG0000277	Prbd.g_00142	Prbf.g_01203
OG0000278	Prbd.g_00145	Prbf.g_01200
OG0000279	Prbd.g_00152	Prbf.g_01193
OG0000280	Prbd.g_00153	Prbf.g_01192
OG0000281	Prbd.g_00158	Prbf.g_01185
OG0000282	Prbd.g_00208	Prbf.g_01318
OG0000283	Prbd.g_00241	Prbf.g_01141
OG0000284	Prbd.g_00246	Prbf.g_01136
OG0000285	Prbd.g_00251	Prbf.g_01131
OG0000286	Prbd.g_00263	Prbf.g_01118
OG0000287	Prbd.g_00280	Prbf.g_00065
OG0000288	Prbd.g_00313	Prbf.g_01079
OG0000289	Prbd.g_00324	Prbf.g_01063
OG0000290	Prbd.g_00337	Prbf.g_01167
OG0000291	Prbd.g_00339	Prbf.g_01169
OG0000292	Prbd.g_00389	Prbf.g_00873
OG0000293	Prbd.g_00459	Prbf.g_00908
OG0000294	Prbd.g_00460	Prbf.g_00909
OG0000295	Prbd.g_00480	Prbf.g_00932
OG0000296	Prbd.g_00482	Prbf.g_00934
OG0000297	Prbd.g_00490	Prbf.g_00943
OG0000298	Prbd.g_00491	Prbf.g_00944
OG0000299	Prbd.g_00508	Prbf.g_00963
OG0000300	Prbd.g_00511	Prbf.g_00966
OG0000301	Prbd.g_00512	Prbf.g_00967
OG0000302	Prbd.g_00514	Prbf.g_00969
OG0000303	Prbd.g_00521	Prbf.g_00975
OG0000304	Prbd.g_00525	Prbf.g_01915
OG0000305	Prbd.g_01772	Prbf.g_00875
OG0000306	Prbd.g_01769	Prbf.g_01181
OG0000307	Prbd.g_01755	Prbf.g_00104
OG0000308	Prbd.g_01754	Prbf.g_00105
OG0000309	Prbd.g_01750	Prbf.g_00109
OG0000310	Prbd.g_01704	Prbf.g_00143
OG0000311	Prbd.g_01702	Prbf.g_00145
OG0000312	Prbd.g_01699	Prbf.g_00148
OG0000313	Prbd.g_01685	Prbf.g_00161
OG0000314	Prbd.g_01662	Prbf.g_00184
OG0000315	Prbd.g_01652	Prbf.g_00194
OG0000316	Prbd.g_01632	Prbf.g_00219
OG0000317	Prbd.g_01527	Prbf.g_00696
OG0000318	Prbd.g_01524	Prbf.g_00692
OG0000319	Prbd.g_01511	Prbf.g_00679
OG0000320	Prbd.g_01509	Prbf.g_00677
OG0000321	Prbd.g_01508	Prbf.g_00676
OG0000322	Prbd.g_01507	Prbf.g_00675
OG0000323	Prbd.g_01498	Prbf.g_00666
OG0000324	Prbd.g_01471	Prbf.g_00639
OG0000325	Prbd.g_01462	Prbf.g_00628
OG0000326	Prbd.g_01456	Prbf.g_00621
OG0000327	Prbd.g_01432	Prbf.g_00600
OG0000328	Prbd.g_01431	Prbf.g_00599
OG0000329	Prbd.g_01414	Prbf.g_00582
OG0000330	Prbd.g_01413	Prbf.g_00581
OG0000331	Prbd.g_01412	Prbf.g_00580
OG0000332	Prbd.g_01398	Prbf.g_00566
OG0000333	Prbd.g_01396	Prbf.g_00564
OG0000334	Prbd.g_01388	Prbf.g_00555
OG0000335	Prbd.g_01383	Prbf.g_00550
OG0000336	Prbd.g_01379	Prbf.g_00546
OG0000337	Prbd.g_01363	Prbf.g_00528
OG0000338	Prbd.g_01362	Prbf.g_00527
OG0000339	Prbd.g_01358	Prbf.g_00521
OG0000340	Prbd.g_01350	Prbf.g_00512
OG0000341	Prbd.g_01348	Prbf.g_00510
OG0000342	Prbd.g_01347	Prbf.g_00509
OG0000343	Prbd.g_01346	Prbf.g_00508
OG0000344	Prbd.g_01343	Prbf.g_00505
OG0000345	Prbd.g_01338	Prbf.g_00499
OG0000346	Prbd.g_01334	Prbf.g_00495
OG0000347	Prbd.g_01317	Prbf.g_00477
OG0000348	Prbd.g_01307	Prbf.g_00469
OG0000349	Prbd.g_01290	Prbf.g_00452
OG0000350	Prbd.g_01272	Prbf.g_00351
OG0000351	Prbd.g_01255	Prbf.g_00412
OG0000352	Prbd.g_01254	Prbf.g_00411
OG0000353	Prbd.g_01238	Prbf.g_00394
OG0000355	Prbd.g_01236	Prbf.g_00392
OG0000356	Prbd.g_01235	Prbf.g_00391
OG0000357	Prbd.g_01234	Prbf.g_00390
OG0000358	Prbd.g_01230	Prbf.g_00386
OG0000359	Prbd.g_01229	Prbf.g_00385
OG0000360	Prbd.g_01228	Prbf.g_00384
OG0000361	Prbd.g_01227	Prbf.g_00383
OG0000362	Prbd.g_01225	Prbf.g_00381
OG0000363	Prbd.g_01223	Prbf.g_01336
OG0000364	Prbd.g_01222	Prbf.g_01337
OG0000365	Prbd.g_01217	Prbf.g_01342
OG0000366	Prbd.g_01216	Prbf.g_01343
OG0000367	Prbd.g_01215	Prbf.g_01344
OG0000368	Prbd.g_01213	Prbf.g_01346
OG0000369	Prbd.g_01212	Prbf.g_01347
OG0000370	Prbd.g_01211	Prbf.g_01348
OG0000371	Prbd.g_01205	Prbf.g_01355
OG0000372	Prbd.g_01202	Prbf.g_01358
OG0000373	Prbd.g_01201	Prbf.g_01359
OG0000374	Prbd.g_01200	Prbf.g_01360
OG0000375	Prbd.g_01198	Prbf.g_01362
OG0000376	Prbd.g_01196	Prbf.g_01364
OG0000377	Prbd.g_01192	Prbf.g_01368
OG0000378	Prbd.g_01190	Prbf.g_01372
OG0000379	Prbd.g_01187	Prbf.g_01375
OG0000380	Prbd.g_01178	Prbf.g_01392
OG0000381	Prbd.g_01174	Prbf.g_01397
OG0000382	Prbd.g_01163	Prbf.g_01407
OG0000383	Prbd.g_01161	Prbf.g_01409
OG0000384	Prbd.g_01160	Prbf.g_01410
OG0000385	Prbd.g_01159	Prbf.g_01411
OG0000386	Prbd.g_01158	Prbf.g_01412
OG0000387	Prbd.g_01145	Prbf.g_01426
OG0000388	Prbd.g_01142	Prbf.g_01430
OG0000389	Prbd.g_01138	Prbf.g_01433
OG0000390	Prbd.g_01131	Prbf.g_01443
OG0000391	Prbd.g_01127	Prbf.g_01446
OG0000392	Prbd.g_01123	Prbf.g_01450
OG0000393	Prbd.g_01121	Prbf.g_01453
OG0000394	Prbd.g_01120	Prbf.g_01454
OG0000395	Prbd.g_01119	Prbf.g_01455
OG0000396	Prbd.g_01116	Prbf.g_01457
OG0000397	Prbd.g_01114	Prbf.g_01459
OG0000398	Prbd.g_01112	Prbf.g_01462
OG0000399	Prbd.g_01111	Prbf.g_01463
OG0000400	Prbd.g_01110	Prbf.g_01464
OG0000401	Prbd.g_01109	Prbf.g_01465
OG0000402	Prbd.g_01107	Prbf.g_01055
OG0000403	Prbd.g_01106	Prbf.g_01467
OG0000404	Prbd.g_01105	Prbf.g_01468
OG0000405	Prbd.g_01100	Prbf.g_01472
OG0000406	Prbd.g_01093	Prbf.g_01480
OG0000407	Prbd.g_01092	Prbf.g_01481
OG0000408	Prbd.g_01090	Prbf.g_01483
OG0000409	Prbd.g_01088	Prbf.g_01485
OG0000410	Prbd.g_01087	Prbf.g_01486
OG0000411	Prbd.g_01086	Prbf.g_01487
OG0000412	Prbd.g_01085	Prbf.g_01488
OG0000413	Prbd.g_01084	Prbf.g_01490
OG0000414	Prbd.g_01083	Prbf.g_01491
OG0000415	Prbd.g_01082	Prbf.g_01492
OG0000416	Prbd.g_01081	Prbf.g_01493
OG0000417	Prbd.g_01080	Prbf.g_01494
OG0000418	Prbd.g_01075	Prbf.g_01499
OG0000419	Prbd.g_01073	Prbf.g_01501
OG0000420	Prbd.g_01072	Prbf.g_01502
OG0000421	Prbd.g_01067	Prbf.g_01507
OG0000422	Prbd.g_01066	Prbf.g_01508
OG0000423	Prbd.g_01065	Prbf.g_01509
OG0000424	Prbd.g_01064	Prbf.g_01510
OG0000425	Prbd.g_01063	Prbf.g_01511
OG0000426	Prbd.g_01062	Prbf.g_01512
OG0000427	Prbd.g_01061	Prbf.g_01513
OG0000428	Prbd.g_01059	Prbf.g_01515
OG0000429	Prbd.g_01058	Prbf.g_01516
OG0000430	Prbd.g_01057	Prbf.g_01517
OG0000431	Prbd.g_01055	Prbf.g_01519
OG0000432	Prbd.g_01052	Prbf.g_01523
OG0000433	Prbd.g_01051	Prbf.g_01524
OG0000434	Prbd.g_01050	Prbf.g_01525
OG0000435	Prbd.g_01049	Prbf.g_01526
OG0000436	Prbd.g_01044	Prbf.g_01531
OG0000437	Prbd.g_01043	Prbf.g_01532
OG0000438	Prbd.g_01042	Prbf.g_01533
OG0000439	Prbd.g_01040	Prbf.g_01535
OG0000440	Prbd.g_01039	Prbf.g_01536
OG0000441	Prbd.g_01036	Prbf.g_01539
OG0000442	Prbd.g_01035	Prbf.g_01540
OG0000443	Prbd.g_01034	Prbf.g_01541
OG0000444	Prbd.g_01029	Prbf.g_01547
OG0000445	Prbd.g_01028	Prbf.g_01548
OG0000446	Prbd.g_01027	Prbf.g_01549
OG0000447	Prbd.g_01026	Prbf.g_01550
OG0000448	Prbd.g_01025	Prbf.g_01551
OG0000449	Prbd.g_01024	Prbf.g_01552
OG0000450	Prbd.g_01023	Prbf.g_01553
OG0000451	Prbd.g_01022	Prbf.g_01554
OG0000452	Prbd.g_01019	Prbf.g_01557
OG0000453	Prbd.g_01018	Prbf.g_01558
OG0000454	Prbd.g_01017	Prbf.g_01559
OG0000455	Prbd.g_01016	Prbf.g_01560
OG0000456	Prbd.g_01015	Prbf.g_01561
OG0000457	Prbd.g_01013	Prbf.g_01563
OG0000458	Prbd.g_01012	Prbf.g_01564
OG0000459	Prbd.g_01011	Prbf.g_01565
OG0000460	Prbd.g_01004	Prbf.g_01573
OG0000461	Prbd.g_00997	Prbf.g_01581
OG0000462	Prbd.g_00995	Prbf.g_01583
OG0000463	Prbd.g_00994	Prbf.g_01584
OG0000464	Prbd.g_00993	Prbf.g_01585
OG0000465	Prbd.g_00992	Prbf.g_01586
OG0000466	Prbd.g_00989	Prbf.g_01589
OG0000467	Prbd.g_00988	Prbf.g_01590
OG0000468	Prbd.g_00986	Prbf.g_01593
OG0000469	Prbd.g_00977	Prbf.g_01601
OG0000470	Prbd.g_00975	Prbf.g_01603
OG0000471	Prbd.g_00974	Prbf.g_01604
OG0000472	Prbd.g_00973	Prbf.g_01606
OG0000473	Prbd.g_00971	Prbf.g_01608
OG0000474	Prbd.g_00970	Prbf.g_01609
OG0000475	Prbd.g_00969	Prbf.g_01610
OG0000476	Prbd.g_00968	Prbf.g_01612
OG0000477	Prbd.g_00964	Prbf.g_01615
OG0000478	Prbd.g_00963	Prbf.g_01616
OG0000479	Prbd.g_00962	Prbf.g_01617
OG0000480	Prbd.g_00957	Prbf.g_01622
OG0000481	Prbd.g_00955	Prbf.g_01625
OG0000482	Prbd.g_00954	Prbf.g_01626
OG0000483	Prbd.g_00951	Prbf.g_01629
OG0000484	Prbd.g_00950	Prbf.g_01630
OG0000485	Prbd.g_00949	Prbf.g_01632
OG0000486	Prbd.g_00948	Prbf.g_01633
OG0000487	Prbd.g_00944	Prbf.g_01636
OG0000488	Prbd.g_00941	Prbf.g_01639
OG0000489	Prbd.g_00936	Prbf.g_01644
OG0000490	Prbd.g_00931	Prbf.g_01648
OG0000491	Prbd.g_00930	Prbf.g_01649
OG0000492	Prbd.g_00928	Prbf.g_01651
OG0000493	Prbd.g_00927	Prbf.g_01652
OG0000494	Prbd.g_00926	Prbf.g_01653
OG0000495	Prbd.g_00925	Prbf.g_01654
OG0000496	Prbd.g_00924	Prbf.g_01655
OG0000497	Prbd.g_00923	Prbf.g_01656
OG0000498	Prbd.g_00922	Prbf.g_01657
OG0000499	Prbd.g_00921	Prbf.g_01658
OG0000500	Prbd.g_00920	Prbf.g_01659
OG0000501	Prbd.g_00918	Prbf.g_01660
OG0000502	Prbd.g_00915	Prbf.g_01663
OG0000503	Prbd.g_00905	Prbf.g_01678
OG0000504	Prbd.g_00904	Prbf.g_01680
OG0000505	Prbd.g_00903	Prbf.g_01681
OG0000506	Prbd.g_00901	Prbf.g_01682
OG0000507	Prbd.g_00898	Prbf.g_01685
OG0000508	Prbd.g_00894	Prbf.g_01689
OG0000509	Prbd.g_00892	Prbf.g_01691
OG0000510	Prbd.g_00891	Prbf.g_01692
OG0000511	Prbd.g_00890	Prbf.g_01693
OG0000512	Prbd.g_00888	Prbf.g_01695
OG0000513	Prbd.g_00881	Prbf.g_01704
OG0000514	Prbd.g_00811	Prbf.g_01715
OG0000515	Prbd.g_00810	Prbf.g_01716
OG0000516	Prbd.g_00809	Prbf.g_01717
OG0000517	Prbd.g_00807	Prbf.g_01719
OG0000518	Prbd.g_00796	Prbf.g_01730
OG0000519	Prbd.g_00795	Prbf.g_01731
OG0000520	Prbd.g_00794	Prbf.g_01732
OG0000521	Prbd.g_00789	Prbf.g_01740
OG0000522	Prbd.g_00787	Prbf.g_01742
OG0000523	Prbd.g_00786	Prbf.g_01743
OG0000524	Prbd.g_00781	Prbf.g_01748
OG0000525	Prbd.g_00778	Prbf.g_01752
OG0000526	Prbd.g_00777	Prbf.g_01753
OG0000527	Prbd.g_00769	Prbf.g_01756
OG0000528	Prbd.g_00764	Prbf.g_01761
OG0000529	Prbd.g_00761	Prbf.g_01764
OG0000530	Prbd.g_00758	Prbf.g_01767
OG0000531	Prbd.g_00757	Prbf.g_01768
OG0000532	Prbd.g_00755	Prbf.g_01770
OG0000533	Prbd.g_00754	Prbf.g_01771
OG0000534	Prbd.g_00753	Prbf.g_01772
OG0000535	Prbd.g_00752	Prbf.g_01773
OG0000536	Prbd.g_00751	Prbf.g_01774
OG0000537	Prbd.g_00750	Prbf.g_01775
OG0000538	Prbd.g_00742	Prbf.g_01784
OG0000539	Prbd.g_00741	Prbf.g_01785
OG0000540	Prbd.g_00740	Prbf.g_01786
