Orthogroup	Syai	Praj
OG0000167	Syai.g_00164	Praj.g_01985
OG0000168	Syai.g_00134	Praj.g_01996
OG0000169	Syai.g_00123	Praj.g_02006
OG0000170	Syai.g_00116	Praj.g_02008
OG0000171	Syai.g_00090	Praj.g_02030
OG0000172	Syai.g_00083	Praj.g_02061
OG0000173	Syai.g_00064	Praj.g_02076
OG0000174	Syai.g_02828	Praj.g_02107
OG0000175	Syai.g_02901	Praj.g_02125
OG0000176	Syai.g_00004	Praj.g_00004
OG0000177	Syai.g_00005	Praj.g_00005
OG0000178	Syai.g_00006	Praj.g_00006
OG0000179	Syai.g_00023	Praj.g_00016
OG0000180	Syai.g_00024	Praj.g_00017
OG0000181	Syai.g_00025	Praj.g_00018
OG0000182	Syai.g_00026	Praj.g_00019
OG0000183	Syai.g_00030	Praj.g_00023
OG0000184	Syai.g_02756	Praj.g_00050
OG0000185	Syai.g_02734	Praj.g_00053
OG0000186	Syai.g_02469	Praj.g_00102
OG0000187	Syai.g_02471	Praj.g_00103
OG0000188	Syai.g_00696, Syai.g_02494	Praj.g_00120
OG0000189	Syai.g_02530	Praj.g_00134
OG0000190	Syai.g_02532	Praj.g_00135
OG0000191	Syai.g_02562	Praj.g_00158
OG0000192	Syai.g_02569	Praj.g_00162
OG0000193	Syai.g_02609	Praj.g_00186
OG0000194	Syai.g_02612	Praj.g_00189
OG0000195	Syai.g_02614	Praj.g_00191
OG0000196	Syai.g_02625	Praj.g_00201
OG0000197	Syai.g_02626	Praj.g_00202
OG0000198	Syai.g_02627	Praj.g_00203
OG0000199	Syai.g_02635	Praj.g_00210
OG0000200	Syai.g_02651	Praj.g_00223
OG0000201	Syai.g_02667	Praj.g_00232
OG0000202	Syai.g_02668	Praj.g_00233
OG0000203	Syai.g_02669	Praj.g_00234
OG0000204	Syai.g_02670	Praj.g_00235
OG0000205	Syai.g_02677	Praj.g_00242
OG0000206	Syai.g_02684	Praj.g_00246
OG0000207	Syai.g_02686	Praj.g_00248
OG0000208	Syai.g_02687	Praj.g_00249
OG0000209	Syai.g_02699	Praj.g_00258
OG0000210	Syai.g_02700	Praj.g_00259
OG0000211	Syai.g_00533	Praj.g_00273
OG0000212	Syai.g_00544	Praj.g_00281
OG0000213	Syai.g_00292	Praj.g_00296
OG0000214	Syai.g_00276	Praj.g_00304
OG0000215	Syai.g_00245	Praj.g_00328
OG0000216	Syai.g_00241	Praj.g_00329
OG0000217	Syai.g_00237	Praj.g_00332
OG0000218	Syai.g_00235	Praj.g_00334
OG0000219	Syai.g_00234	Praj.g_00335
OG0000220	Syai.g_00233	Praj.g_00336
OG0000221	Syai.g_00227	Praj.g_00337
OG0000222	Syai.g_00215	Praj.g_00345
OG0000223	Syai.g_00194	Praj.g_00358
OG0000224	Syai.g_00186	Praj.g_00360
OG0000225	Syai.g_00502	Praj.g_00391
OG0000226	Syai.g_00506	Praj.g_00395
OG0000227	Syai.g_00508	Praj.g_00397
OG0000228	Syai.g_00516	Praj.g_00402
OG0000229	Syai.g_02228	Praj.g_00430
OG0000230	Syai.g_02226	Praj.g_00432
OG0000231	Syai.g_02208	Praj.g_00443
OG0000232	Syai.g_00846	Praj.g_00451
OG0000233	Syai.g_00855	Praj.g_00459
OG0000234	Syai.g_00866	Praj.g_00468
OG0000235	Syai.g_00637	Praj.g_00472
OG0000236	Syai.g_00652	Praj.g_00485
OG0000237	Syai.g_00669	Praj.g_00498
OG0000238	Syai.g_00674	Praj.g_00504
OG0000239	Syai.g_00691	Praj.g_00516
OG0000240	Syai.g_00692	Praj.g_00517
OG0000241	Syai.g_01085, Syai.g_01089	Praj.g_00521
OG0000242	Syai.g_00705	Praj.g_00523
OG0000243	Syai.g_00726	Praj.g_00534
OG0000244	Syai.g_00731	Praj.g_00537
OG0000245	Syai.g_00733	Praj.g_00539
OG0000246	Syai.g_00737	Praj.g_00543
OG0000247	Syai.g_00748	Praj.g_00553
OG0000248	Syai.g_00751	Praj.g_00555
OG0000249	Syai.g_00753	Praj.g_00557
OG0000250	Syai.g_00762	Praj.g_00562
OG0000251	Syai.g_00789	Praj.g_00578
OG0000252	Syai.g_00797	Praj.g_00580
OG0000253	Syai.g_00798	Praj.g_00582
OG0000254	Syai.g_01045	Praj.g_00599
OG0000255	Syai.g_01061	Praj.g_00605
OG0000256	Syai.g_01077	Praj.g_00615
OG0000257	Syai.g_01084	Praj.g_00618
OG0000258	Syai.g_01113	Praj.g_00631
OG0000259	Syai.g_01229	Praj.g_00648
OG0000260	Syai.g_01232	Praj.g_00651
OG0000261	Syai.g_01235	Praj.g_00654
OG0000262	Syai.g_01240	Praj.g_00659
OG0000263	Syai.g_01776	Praj.g_00673
OG0000264	Syai.g_01962	Praj.g_00684
OG0000265	Syai.g_02245	Praj.g_00698
OG0000266	Syai.g_01401	Praj.g_00708
OG0000267	Syai.g_01569	Praj.g_00721
OG0000268	Syai.g_01568	Praj.g_00722
OG0000269	Syai.g_01316	Praj.g_00764
OG0000270	Syai.g_01319	Praj.g_00767
OG0000271	Syai.g_01327	Praj.g_00775
OG0000272	Syai.g_01328	Praj.g_00776
OG0000273	Syai.g_02037	Praj.g_00801
OG0000274	Syai.g_02038	Praj.g_00802
OG0000275	Syai.g_02043	Praj.g_00804
OG0000276	Syai.g_02051	Praj.g_00810
OG0000277	Syai.g_02052	Praj.g_00811
OG0000278	Syai.g_02055	Praj.g_00815
OG0000279	Syai.g_02063	Praj.g_00822
OG0000280	Syai.g_02084	Praj.g_01326
OG0000281	Syai.g_01719	Praj.g_00829
OG0000282	Syai.g_01263	Praj.g_00889
OG0000283	Syai.g_01554	Praj.g_00920
OG0000284	Syai.g_01548	Praj.g_00925
OG0000285	Syai.g_01522	Praj.g_00930
OG0000286	Syai.g_01504	Praj.g_00945
OG0000287	Syai.g_01469	Praj.g_00085
OG0000288	Syai.g_01435	Praj.g_00994
OG0000289	Syai.g_01421	Praj.g_01005
OG0000290	Syai.g_02010	Praj.g_01021
OG0000291	Syai.g_02008	Praj.g_01023
OG0000292	Syai.g_02926	Praj.g_01196
OG0000293	Syai.g_02155	Praj.g_01470
OG0000294	Syai.g_02154	Praj.g_01469
OG0000295	Syai.g_02117	Praj.g_01447
OG0000296	Syai.g_02115	Praj.g_01445
OG0000297	Syai.g_01754	Praj.g_01437
OG0000298	Syai.g_01755	Praj.g_01436
OG0000299	Syai.g_01783	Praj.g_01417
OG0000300	Syai.g_01790	Praj.g_01414
OG0000301	Syai.g_01791	Praj.g_01413
OG0000302	Syai.g_01793	Praj.g_01410
OG0000303	Syai.g_01802	Praj.g_01405
OG0000304	Syai.g_01826	Praj.g_01402
OG0000305	Syai.g_02005	Praj.g_01734
OG0000306	Syai.g_02090	Praj.g_00833
OG0000307	Syai.g_00619	Praj.g_01584
OG0000308	Syai.g_00617	Praj.g_01585
OG0000309	Syai.g_00612	Praj.g_01589
OG0000310	Syai.g_00989	Praj.g_01616
OG0000311	Syai.g_00985	Praj.g_01618
OG0000312	Syai.g_00966	Praj.g_01621
OG0000313	Syai.g_00949	Praj.g_01636
OG0000314	Syai.g_00908	Praj.g_01657
OG0000315	Syai.g_00897	Praj.g_01667
OG0000316	Syai.g_02320, Syai.g_02322	Praj.g_01692
OG0000317	Syai.g_02373	Praj.g_01766
OG0000318	Syai.g_02379	Praj.g_01769
OG0000319	Syai.g_02395	Praj.g_01780
OG0000320	Syai.g_02397	Praj.g_01782
OG0000321	Syai.g_02398	Praj.g_01783
OG0000322	Syai.g_02399	Praj.g_01784
OG0000323	Syai.g_02413	Praj.g_01793
OG0000324	Syai.g_02272	Praj.g_01820
OG0000325	Syai.g_00320	Praj.g_01870
OG0000326	Syai.g_00327	Praj.g_01876
OG0000327	Syai.g_00359	Praj.g_01910
OG0000328	Syai.g_00360	Praj.g_01911
OG0000329	Syai.g_00378	Praj.g_01928
OG0000330	Syai.g_00379	Praj.g_01929
OG0000331	Syai.g_00380	Praj.g_01930
OG0000332	Syai.g_00395	Praj.g_01944
OG0000333	Syai.g_00398	Praj.g_01946
OG0000334	Syai.g_00407	Praj.g_01955
OG0000335	Syai.g_00412	Praj.g_01960
OG0000336	Syai.g_00416	Praj.g_01964
OG0000337	Syai.g_00169	Praj.g_01982
OG0000338	Syai.g_00166	Praj.g_01983
OG0000339	Syai.g_00160	Praj.g_01988
OG0000340	Syai.g_00133	Praj.g_01997
OG0000341	Syai.g_00131	Praj.g_01999
OG0000342	Syai.g_00130	Praj.g_02000
OG0000343	Syai.g_00129	Praj.g_02001
OG0000344	Syai.g_00125	Praj.g_02004
OG0000345	Syai.g_00115	Praj.g_02009
OG0000346	Syai.g_00110	Praj.g_02013
OG0000347	Syai.g_00087	Praj.g_02034
OG0000348	Syai.g_00076	Praj.g_02064
OG0000349	Syai.g_00057	Praj.g_02082
OG0000350	Syai.g_00334	Praj.g_02103
OG0000351	Syai.g_02904	Praj.g_02128
OG0000352	Syai.g_02905	Praj.g_02129
OG0000353	Syai.g_02932	Praj.g_02148
OG0000355	Syai.g_00001	Praj.g_00001
OG0000356	Syai.g_00002	Praj.g_00002
OG0000357	Syai.g_00003	Praj.g_00003
OG0000358	Syai.g_00007	Praj.g_00007
OG0000359	Syai.g_00009	Praj.g_00008
OG0000360	Syai.g_00010	Praj.g_00009
OG0000361	Syai.g_00011	Praj.g_00010
OG0000362	Syai.g_00013	Praj.g_00012
OG0000363	Syai.g_00015	Praj.g_00014
OG0000364	Syai.g_00016	Praj.g_00015
OG0000365	Syai.g_00027	Praj.g_00020
OG0000366	Syai.g_00028	Praj.g_00021
OG0000367	Syai.g_00029	Praj.g_00022
OG0000368	Syai.g_00031	Praj.g_00024
OG0000369	Syai.g_00032	Praj.g_00025
OG0000370	Syai.g_00033	Praj.g_00026
OG0000371	Syai.g_00041	Praj.g_00032
OG0000372	Syai.g_00047	Praj.g_00034
OG0000373	Syai.g_00048	Praj.g_00035
OG0000374	Syai.g_00049	Praj.g_00036
OG0000375	Syai.g_00053	Praj.g_00044
OG0000376	Syai.g_00055	Praj.g_00046
OG0000377	Syai.g_02769	Praj.g_00049
OG0000378	Syai.g_02751	Praj.g_00051
OG0000379	Syai.g_02733	Praj.g_00054
OG0000380	Syai.g_02472	Praj.g_00104
OG0000381	Syai.g_02475	Praj.g_00108
OG0000382	Syai.g_02493	Praj.g_00119
OG0000383	Syai.g_02498	Praj.g_00121
OG0000384	Syai.g_02499	Praj.g_00122
OG0000385	Syai.g_02500	Praj.g_00123
OG0000386	Syai.g_02501	Praj.g_00124
OG0000387	Syai.g_02534	Praj.g_00137
OG0000388	Syai.g_02538	Praj.g_00141
OG0000389	Syai.g_02542	Praj.g_00144
OG0000390	Syai.g_02556	Praj.g_00153
OG0000391	Syai.g_02561	Praj.g_00157
OG0000392	Syai.g_02568	Praj.g_00160
OG0000393	Syai.g_02570	Praj.g_00163
OG0000394	Syai.g_02571	Praj.g_00164
OG0000395	Syai.g_02572	Praj.g_00165
OG0000396	Syai.g_02575	Praj.g_00168
OG0000397	Syai.g_02577	Praj.g_00170
OG0000398	Syai.g_02582	Praj.g_00173
OG0000399	Syai.g_02583	Praj.g_00174
OG0000400	Syai.g_02584	Praj.g_00175
OG0000401	Syai.g_02585	Praj.g_00176
OG0000402	Syai.g_02588	Praj.g_01057
OG0000403	Syai.g_02589	Praj.g_00177
OG0000404	Syai.g_02590	Praj.g_00178
OG0000405	Syai.g_02606	Praj.g_00183
OG0000406	Syai.g_02610	Praj.g_00187
OG0000407	Syai.g_02611	Praj.g_00188
OG0000408	Syai.g_02613	Praj.g_00190
OG0000409	Syai.g_02615	Praj.g_00192
OG0000410	Syai.g_02616	Praj.g_00193
OG0000411	Syai.g_02617	Praj.g_00194
OG0000412	Syai.g_02618	Praj.g_00195
OG0000413	Syai.g_02620	Praj.g_00196
OG0000414	Syai.g_02621	Praj.g_00197
OG0000415	Syai.g_02622	Praj.g_00198
OG0000416	Syai.g_02623	Praj.g_00199
OG0000417	Syai.g_02624	Praj.g_00200
OG0000418	Syai.g_02629	Praj.g_00205
OG0000419	Syai.g_02631	Praj.g_00207
OG0000420	Syai.g_02633	Praj.g_00208
OG0000421	Syai.g_02638	Praj.g_00212
OG0000422	Syai.g_02639	Praj.g_00213
OG0000423	Syai.g_02640	Praj.g_00214
OG0000424	Syai.g_02641	Praj.g_00215
OG0000425	Syai.g_02642	Praj.g_00216
OG0000426	Syai.g_02643	Praj.g_00217
OG0000427	Syai.g_02644	Praj.g_00218
OG0000428	Syai.g_02647	Praj.g_00220
OG0000429	Syai.g_02649	Praj.g_00221
OG0000430	Syai.g_02650	Praj.g_00222
OG0000431	Syai.g_02654	Praj.g_00224
OG0000432	Syai.g_02660	Praj.g_00228
OG0000433	Syai.g_02662	Praj.g_00229
OG0000434	Syai.g_02663	Praj.g_00230
OG0000435	Syai.g_02666	Praj.g_00231
OG0000436	Syai.g_02671	Praj.g_00236
OG0000437	Syai.g_02672	Praj.g_00237
OG0000438	Syai.g_02673	Praj.g_00238
OG0000439	Syai.g_02675	Praj.g_00240
OG0000440	Syai.g_02676	Praj.g_00241
OG0000441	Syai.g_02681	Praj.g_00243
OG0000442	Syai.g_02682	Praj.g_00244
OG0000443	Syai.g_02683	Praj.g_00245
OG0000444	Syai.g_02688	Praj.g_00250
OG0000445	Syai.g_02689	Praj.g_00251
OG0000446	Syai.g_02690	Praj.g_00252
OG0000447	Syai.g_02693	Praj.g_00253
OG0000448	Syai.g_02694	Praj.g_00254
OG0000449	Syai.g_02695	Praj.g_00255
OG0000450	Syai.g_02696	Praj.g_00256
OG0000451	Syai.g_02697	Praj.g_00257
OG0000452	Syai.g_02701	Praj.g_00260
OG0000453	Syai.g_02702	Praj.g_00261
OG0000454	Syai.g_02703	Praj.g_00262
OG0000455	Syai.g_02704	Praj.g_00263
OG0000456	Syai.g_02705	Praj.g_00264
OG0000457	Syai.g_02707	Praj.g_00265
OG0000458	Syai.g_02708	Praj.g_00266
OG0000459	Syai.g_02709	Praj.g_00267
OG0000460	Syai.g_00535	Praj.g_00275
OG0000461	Syai.g_00314	Praj.g_00283
OG0000462	Syai.g_00311	Praj.g_00285
OG0000463	Syai.g_00310	Praj.g_00286
OG0000464	Syai.g_00309	Praj.g_00287
OG0000465	Syai.g_00307	Praj.g_00288
OG0000466	Syai.g_00303	Praj.g_00289
OG0000467	Syai.g_00301	Praj.g_00290
OG0000468	Syai.g_00296	Praj.g_00292
OG0000469	Syai.g_00282	Praj.g_00299
OG0000470	Syai.g_00280	Praj.g_00301
OG0000471	Syai.g_00279	Praj.g_00302
OG0000472	Syai.g_00277	Praj.g_00303
OG0000473	Syai.g_00275	Praj.g_00305
OG0000474	Syai.g_00274	Praj.g_00306
OG0000475	Syai.g_00273	Praj.g_00307
OG0000476	Syai.g_00271	Praj.g_00309
OG0000477	Syai.g_00265	Praj.g_00311
OG0000478	Syai.g_00264	Praj.g_00312
OG0000479	Syai.g_00263	Praj.g_00313
OG0000480	Syai.g_00256	Praj.g_00318
OG0000481	Syai.g_00254	Praj.g_00320
OG0000482	Syai.g_00253	Praj.g_00321
OG0000483	Syai.g_00249	Praj.g_00324
OG0000484	Syai.g_00248	Praj.g_00325
OG0000485	Syai.g_00247	Praj.g_00326
OG0000486	Syai.g_00246	Praj.g_00327
OG0000487	Syai.g_00240	Praj.g_00330
OG0000488	Syai.g_00236	Praj.g_00333
OG0000489	Syai.g_00226	Praj.g_00338
OG0000490	Syai.g_00218	Praj.g_00343
OG0000491	Syai.g_00217	Praj.g_00344
OG0000492	Syai.g_00214	Praj.g_00346
OG0000493	Syai.g_00213	Praj.g_00347
OG0000494	Syai.g_00212	Praj.g_00348
OG0000495	Syai.g_00211	Praj.g_00349
OG0000496	Syai.g_00210	Praj.g_00350
OG0000497	Syai.g_00209	Praj.g_00351
OG0000498	Syai.g_00208	Praj.g_00352
OG0000499	Syai.g_00207	Praj.g_00353
OG0000500	Syai.g_00206	Praj.g_00354
OG0000501	Syai.g_00203	Praj.g_00356
OG0000502	Syai.g_00192	Praj.g_00359
OG0000503	Syai.g_00486	Praj.g_00380
OG0000504	Syai.g_00488	Praj.g_00382
OG0000505	Syai.g_00489	Praj.g_00383
OG0000506	Syai.g_00491	Praj.g_00384
OG0000507	Syai.g_00497	Praj.g_00387
OG0000508	Syai.g_00501	Praj.g_00390
OG0000509	Syai.g_00503	Praj.g_00392
OG0000510	Syai.g_00504	Praj.g_00393
OG0000511	Syai.g_00505	Praj.g_00394
OG0000512	Syai.g_00507	Praj.g_00396
OG0000513	Syai.g_00521	Praj.g_00406
OG0000514	Syai.g_00528	Praj.g_00425
OG0000515	Syai.g_00529	Praj.g_00426
OG0000516	Syai.g_02223	Praj.g_00427
OG0000517	Syai.g_02229	Praj.g_00429
OG0000518	Syai.g_02211	Praj.g_00440
OG0000519	Syai.g_02210	Praj.g_00441
OG0000520	Syai.g_02209	Praj.g_00442
OG0000521	Syai.g_00842	Praj.g_00447
OG0000522	Syai.g_00844	Praj.g_00449
OG0000523	Syai.g_00845	Praj.g_00450
OG0000524	Syai.g_00852	Praj.g_00457
OG0000525	Syai.g_00856	Praj.g_00461
OG0000526	Syai.g_00859	Praj.g_00462
OG0000527	Syai.g_00863	Praj.g_00465
OG0000528	Syai.g_00633	Praj.g_00471
OG0000529	Syai.g_00639	Praj.g_00474
OG0000530	Syai.g_00642	Praj.g_00477
OG0000531	Syai.g_00643	Praj.g_00478
OG0000532	Syai.g_00646	Praj.g_00479
OG0000533	Syai.g_00647	Praj.g_00480
OG0000534	Syai.g_00648	Praj.g_00481
OG0000535	Syai.g_00649	Praj.g_00482
OG0000536	Syai.g_00650	Praj.g_00483
OG0000537	Syai.g_00651	Praj.g_00484
OG0000538	Syai.g_00662	Praj.g_00492
OG0000539	Syai.g_00663	Praj.g_00493
OG0000540	Syai.g_00664	Praj.g_00494
OG0000541	Syai.g_00665	Praj.g_00495
OG0000542	Syai.g_00668	Praj.g_00497
OG0000543	Syai.g_00670	Praj.g_00499
OG0000544	Syai.g_00671	Praj.g_00500
OG0000545	Syai.g_00673	Praj.g_00502
OG0000546	Syai.g_00675	Praj.g_00505
OG0000547	Syai.g_00677	Praj.g_00507
OG0000548	Syai.g_00678	Praj.g_00508
OG0000549	Syai.g_00684	Praj.g_00511
OG0000550	Syai.g_00689	Praj.g_00515
OG0000551	Syai.g_00694	Praj.g_00518
OG0000552	Syai.g_00695	Praj.g_00519
OG0000553	Syai.g_00698	Praj.g_00520
OG0000554	Syai.g_00708	Praj.g_00525
OG0000555	Syai.g_00725	Praj.g_00533
OG0000556	Syai.g_00728	Praj.g_00535
OG0000557	Syai.g_00730	Praj.g_00536
OG0000558	Syai.g_00732	Praj.g_00538
OG0000559	Syai.g_00736	Praj.g_00542
OG0000560	Syai.g_00739	Praj.g_00545
OG0000561	Syai.g_00740	Praj.g_00546
OG0000562	Syai.g_00741	Praj.g_00547
OG0000563	Syai.g_00742	Praj.g_00548
OG0000564	Syai.g_00743	Praj.g_00549
OG0000565	Syai.g_00746	Praj.g_00552
OG0000566	Syai.g_00750	Praj.g_00554
OG0000567	Syai.g_00754	Praj.g_00558
OG0000568	Syai.g_00758	Praj.g_00559
OG0000569	Syai.g_00759	Praj.g_00560
OG0000570	Syai.g_00760	Praj.g_00561
OG0000571	Syai.g_00764	Praj.g_00563
OG0000572	Syai.g_00782	Praj.g_00574
OG0000573	Syai.g_00790	Praj.g_00579
OG0000574	Syai.g_00796	Praj.g_00581
OG0000575	Syai.g_00800	Praj.g_00584
OG0000576	Syai.g_00802	Praj.g_00586
OG0000577	Syai.g_00803	Praj.g_00587
