Orthogroup	Syat	Pram
OG0000121	Syat.g_01223	Pram.g_01376
OG0000123	Syat.g_01653	Pram.g_01777
OG0000124	Syat.g_02231	Pram.g_01850
OG0000125	Syat.g_02684	Pram.g_01886
OG0000126	Syat.g_00976	Pram.g_01933
OG0000127	Syat.g_00175	Pram.g_00611
OG0000128	Syat.g_02331	Pram.g_01949
OG0000129	Syat.g_02693, Syat.g_02694	Pram.g_00029
OG0000130	Syat.g_01469	Pram.g_00054
OG0000131	Syat.g_02898	Pram.g_00130
OG0000132	Syat.g_02864	Pram.g_00149
OG0000133	Syat.g_00588	Pram.g_00310
OG0000134	Syat.g_02956	Pram.g_00354
OG0000135	Syat.g_02501	Pram.g_01589
OG0000136	Syat.g_01292	Pram.g_00376
OG0000137	Syat.g_01371	Pram.g_00411
OG0000138	Syat.g_03188	Pram.g_00431
OG0000139	Syat.g_03276	Pram.g_00475
OG0000140	Syat.g_03280	Pram.g_00476
OG0000141	Syat.g_03398	Pram.g_00545
OG0000142	Syat.g_00117	Pram.g_01075
OG0000143	Syat.g_00130	Pram.g_01072
OG0000144	Syat.g_00369	Pram.g_01058
OG0000145	Syat.g_03202	Pram.g_01534
OG0000146	Syat.g_00594	Pram.g_00934
OG0000147	Syat.g_00595	Pram.g_00933
OG0000148	Syat.g_00503	Pram.g_00826
OG0000149	Syat.g_00747	Pram.g_00858
OG0000150	Syat.g_03399	Pram.g_00868
OG0000151	Syat.g_00801, Syat.g_00440	Pram.g_00744
OG0000152	Syat.g_00578	Pram.g_00943
OG0000153	Syat.g_00542	Pram.g_00961
OG0000154	Syat.g_00708	Pram.g_00978
OG0000155	Syat.g_00287	Pram.g_01118
OG0000156	Syat.g_03228	Pram.g_01219
OG0000157	Syat.g_02012, Syat.g_03227	Pram.g_01220
OG0000158	Syat.g_02163	Pram.g_01815
OG0000159	Syat.g_01187	Pram.g_00045
OG0000160	Syat.g_01224	Pram.g_01377
OG0000161	Syat.g_01180	Pram.g_01145, Pram.g_01371
OG0000162	Syat.g_01281	Pram.g_01365
OG0000163	Syat.g_02979	Pram.g_01326
OG0000164	Syat.g_03040	Pram.g_01656
OG0000165	Syat.g_03033	Pram.g_01664
OG0000166	Syat.g_01822	Pram.g_01733
OG0000167	Syat.g_02148	Pram.g_01805
OG0000168	Syat.g_02164	Pram.g_01816
OG0000169	Syat.g_02192	Pram.g_01826
OG0000170	Syat.g_02201	Pram.g_01829
OG0000171	Syat.g_02230	Pram.g_01849
OG0000172	Syat.g_02260	Pram.g_01856
OG0000173	Syat.g_02284	Pram.g_01871
OG0000174	Syat.g_02504	Pram.g_01902
OG0000175	Syat.g_02416	Pram.g_01914
OG0000176	Syat.g_02372	Pram.g_01942
OG0000177	Syat.g_02338	Pram.g_01943
OG0000178	Syat.g_02337	Pram.g_01944
OG0000179	Syat.g_02322	Pram.g_00003
OG0000180	Syat.g_02321	Pram.g_00004
OG0000181	Syat.g_02320	Pram.g_00005
OG0000182	Syat.g_02319	Pram.g_00006
OG0000183	Syat.g_02315	Pram.g_00010
OG0000184	Syat.g_02704	Pram.g_00033
OG0000185	Syat.g_02719	Pram.g_00036
OG0000186	Syat.g_01463	Pram.g_00048
OG0000187	Syat.g_01467	Pram.g_00049
OG0000188	Syat.g_01489	Pram.g_00066
OG0000189	Syat.g_00386, Syat.g_01557	Pram.g_00080
OG0000190	Syat.g_00330	Pram.g_00081
OG0000191	Syat.g_03344, Syat.g_02939	Pram.g_00103
OG0000192	Syat.g_02933	Pram.g_00108
OG0000193	Syat.g_02897	Pram.g_00131
OG0000194	Syat.g_02894	Pram.g_00134
OG0000195	Syat.g_02892	Pram.g_00136
OG0000196	Syat.g_02867	Pram.g_00146
OG0000197	Syat.g_02866	Pram.g_00147
OG0000198	Syat.g_02865	Pram.g_00148
OG0000199	Syat.g_02857	Pram.g_00155
OG0000200	Syat.g_02840	Pram.g_00168
OG0000201	Syat.g_02821	Pram.g_00177
OG0000202	Syat.g_02820	Pram.g_00178
OG0000203	Syat.g_02819	Pram.g_00179
OG0000204	Syat.g_02818	Pram.g_00180
OG0000205	Syat.g_02809	Pram.g_00187
OG0000206	Syat.g_02785	Pram.g_00192
OG0000207	Syat.g_02778	Pram.g_00194
OG0000208	Syat.g_02777	Pram.g_00195
OG0000209	Syat.g_02735	Pram.g_00204
OG0000210	Syat.g_02734	Pram.g_00205
OG0000211	Syat.g_01452	Pram.g_00220
OG0000212	Syat.g_01442	Pram.g_00228
OG0000213	Syat.g_01889	Pram.g_00246
OG0000214	Syat.g_02042	Pram.g_00255
OG0000215	Syat.g_02075	Pram.g_00282
OG0000216	Syat.g_02079	Pram.g_00283
OG0000217	Syat.g_02085	Pram.g_00286
OG0000218	Syat.g_02087	Pram.g_00288
OG0000219	Syat.g_02088	Pram.g_00289
OG0000220	Syat.g_02089	Pram.g_00290
OG0000221	Syat.g_02095	Pram.g_00291
OG0000222	Syat.g_02109	Pram.g_00298
OG0000223	Syat.g_02570	Pram.g_00311
OG0000224	Syat.g_02139	Pram.g_00313
OG0000225	Syat.g_01595	Pram.g_00341
OG0000226	Syat.g_01588	Pram.g_00345
OG0000228	Syat.g_02952	Pram.g_00351
OG0000229	Syat.g_02970	Pram.g_00371
OG0000230	Syat.g_02972	Pram.g_00373
OG0000231	Syat.g_01283	Pram.g_00384
OG0000232	Syat.g_01313	Pram.g_00397
OG0000233	Syat.g_01407	Pram.g_00402
OG0000234	Syat.g_01369	Pram.g_00412
OG0000235	Syat.g_03169	Pram.g_00415
OG0000236	Syat.g_03186	Pram.g_00429
OG0000237	Syat.g_03214	Pram.g_00443
OG0000238	Syat.g_03219	Pram.g_00449
OG0000239	Syat.g_01105	Pram.g_00462
OG0000240	Syat.g_01104	Pram.g_00463
OG0000241	Syat.g_00111	Pram.g_00468
OG0000242	Syat.g_01077	Pram.g_00470
OG0000243	Syat.g_00092	Pram.g_00480
OG0000244	Syat.g_00082	Pram.g_00483
OG0000245	Syat.g_00080	Pram.g_00485
OG0000246	Syat.g_00076	Pram.g_00489
OG0000247	Syat.g_00065	Pram.g_00500
OG0000248	Syat.g_00062	Pram.g_00503
OG0000249	Syat.g_00060	Pram.g_00505
OG0000250	Syat.g_00053	Pram.g_00510
OG0000251	Syat.g_00027	Pram.g_00528
OG0000252	Syat.g_00022	Pram.g_00531
OG0000253	Syat.g_00021	Pram.g_00532
OG0000254	Syat.g_03407	Pram.g_00549
OG0000255	Syat.g_02405	Pram.g_00555
OG0000256	Syat.g_03306	Pram.g_00566
OG0000257	Syat.g_00109	Pram.g_01080
OG0000258	Syat.g_00382	Pram.g_01067
OG0000259	Syat.g_00342	Pram.g_01050
OG0000260	Syat.g_00392	Pram.g_01047
OG0000261	Syat.g_00400	Pram.g_01044
OG0000262	Syat.g_00407	Pram.g_01039
OG0000263	Syat.g_00200	Pram.g_00771
OG0000266	Syat.g_00671	Pram.g_01020
OG0000267	Syat.g_00636	Pram.g_01007
OG0000268	Syat.g_00634	Pram.g_01006
OG0000269	Syat.g_00474, Syat.g_00126	Pram.g_00804
OG0000270	Syat.g_00477	Pram.g_00807
OG0000271	Syat.g_00485	Pram.g_00815
OG0000272	Syat.g_00486	Pram.g_00816
OG0000273	Syat.g_00520	Pram.g_00839
OG0000274	Syat.g_00521	Pram.g_00840
OG0000275	Syat.g_00718	Pram.g_00843
OG0000276	Syat.g_00725	Pram.g_00849
OG0000277	Syat.g_00738	Pram.g_00850
OG0000278	Syat.g_00741	Pram.g_00853
OG0000279	Syat.g_00755	Pram.g_00861
OG0000280	Syat.g_01669	Pram.g_00862
OG0000281	Syat.g_00960	Pram.g_00870
OG0000282	Syat.g_00431	Pram.g_00736
OG0000283	Syat.g_00620	Pram.g_00916
OG0000284	Syat.g_00614	Pram.g_00921
OG0000285	Syat.g_00607	Pram.g_00926
OG0000286	Syat.g_00579	Pram.g_00942
OG0000287	Syat.g_00550	Pram.g_01199
OG0000288	Syat.g_00709	Pram.g_00977
OG0000289	Syat.g_00695	Pram.g_00992
OG0000290	Syat.g_00805	Pram.g_00891
OG0000291	Syat.g_00807	Pram.g_00889
OG0000292	Syat.g_02388	Pram.g_01185
OG0000293	Syat.g_03241	Pram.g_01150
OG0000294	Syat.g_03248	Pram.g_01149
OG0000295	Syat.g_00297	Pram.g_01125
OG0000296	Syat.g_00295	Pram.g_01123
OG0000297	Syat.g_00226	Pram.g_01114
OG0000298	Syat.g_00225	Pram.g_01113
OG0000299	Syat.g_00910	Pram.g_01094
OG0000300	Syat.g_00904	Pram.g_01091
OG0000301	Syat.g_00903	Pram.g_01090
OG0000302	Syat.g_00901	Pram.g_01088
OG0000303	Syat.g_00892	Pram.g_01082
OG0000304	Syat.g_00885	Pram.g_00571
OG0000305	Syat.g_00809	Pram.g_01183
OG0000306	Syat.g_01704	Pram.g_00874
OG0000307	Syat.g_01304	Pram.g_01458
OG0000308	Syat.g_01306	Pram.g_01457
OG0000309	Syat.g_01417	Pram.g_01453
OG0000310	Syat.g_01246	Pram.g_01395
OG0000311	Syat.g_01242	Pram.g_01393
OG0000312	Syat.g_01237	Pram.g_01390
OG0000313	Syat.g_01183	Pram.g_01374
OG0000314	Syat.g_01341	Pram.g_01351
OG0000315	Syat.g_01351	Pram.g_01341
OG0000316	Syat.g_03082	Pram.g_01315
OG0000317	Syat.g_03120	Pram.g_01629
OG0000318	Syat.g_03125	Pram.g_01633
OG0000319	Syat.g_03055	Pram.g_01646
OG0000320	Syat.g_03053	Pram.g_01648
OG0000321	Syat.g_03052	Pram.g_01649
OG0000322	Syat.g_03051	Pram.g_01650
OG0000323	Syat.g_03038	Pram.g_01659
OG0000324	Syat.g_02998	Pram.g_01687
OG0000325	Syat.g_01861	Pram.g_01697
OG0000326	Syat.g_01854	Pram.g_01704
OG0000327	Syat.g_01827	Pram.g_01728
OG0000328	Syat.g_01826	Pram.g_01729
OG0000329	Syat.g_01808	Pram.g_01746
OG0000330	Syat.g_01807	Pram.g_01747
OG0000331	Syat.g_01806	Pram.g_01748
OG0000332	Syat.g_01790	Pram.g_01762
OG0000333	Syat.g_01787	Pram.g_01764
OG0000334	Syat.g_01657	Pram.g_01773
OG0000335	Syat.g_01652	Pram.g_01778
OG0000336	Syat.g_01648	Pram.g_01782
OG0000337	Syat.g_02144	Pram.g_01801
OG0000338	Syat.g_02146	Pram.g_01802
OG0000339	Syat.g_02155, Syat.g_01055	Pram.g_01808
OG0000340	Syat.g_02165	Pram.g_01817
OG0000341	Syat.g_02167	Pram.g_01819
OG0000342	Syat.g_02168	Pram.g_01820
OG0000343	Syat.g_02185	Pram.g_01821
OG0000344	Syat.g_02189	Pram.g_01824
OG0000345	Syat.g_02202	Pram.g_01830
OG0000346	Syat.g_02207	Pram.g_01834
OG0000347	Syat.g_02234	Pram.g_01851
OG0000348	Syat.g_02264	Pram.g_01859
OG0000349	Syat.g_02291	Pram.g_01877
OG0000350	Syat.g_01847	Pram.g_01898
OG0000351	Syat.g_02411	Pram.g_01917
OG0000352	Syat.g_02410	Pram.g_01918
OG0000353	Syat.g_00955, Syat.g_02377	Pram.g_01937
OG0000355	Syat.g_02375	Pram.g_01939
OG0000356	Syat.g_02374	Pram.g_01940
OG0000357	Syat.g_02373	Pram.g_01941
OG0000358	Syat.g_02336	Pram.g_01945
OG0000359	Syat.g_02334	Pram.g_01946
OG0000360	Syat.g_02333	Pram.g_01947
OG0000361	Syat.g_02332	Pram.g_01948
OG0000362	Syat.g_02330	Pram.g_01950
OG0000363	Syat.g_02328	Pram.g_00001
OG0000364	Syat.g_03122	Pram.g_00002
OG0000365	Syat.g_02318	Pram.g_00007
OG0000366	Syat.g_02317	Pram.g_00008
OG0000367	Syat.g_02316	Pram.g_00009
OG0000368	Syat.g_02314	Pram.g_00011
OG0000369	Syat.g_02313	Pram.g_00012
OG0000370	Syat.g_02312	Pram.g_00013
OG0000371	Syat.g_02304	Pram.g_00019
OG0000372	Syat.g_02298	Pram.g_00021
OG0000373	Syat.g_02297	Pram.g_00022
OG0000374	Syat.g_02296	Pram.g_00023
OG0000375	Syat.g_02295	Pram.g_00024
OG0000376	Syat.g_02293	Pram.g_00026
OG0000377	Syat.g_02695	Pram.g_00030
OG0000378	Syat.g_02715	Pram.g_00034
OG0000379	Syat.g_02720	Pram.g_00037
OG0000380	Syat.g_01468	Pram.g_00050
OG0000381	Syat.g_01470	Pram.g_00055
OG0000382	Syat.g_01488	Pram.g_00065
OG0000383	Syat.g_01521	Pram.g_00067
OG0000384	Syat.g_01522	Pram.g_00068
OG0000385	Syat.g_01523	Pram.g_00069
OG0000386	Syat.g_01524	Pram.g_00070
OG0000387	Syat.g_01561	Pram.g_00083
OG0000388	Syat.g_01565	Pram.g_00087
OG0000389	Syat.g_01569	Pram.g_00090
OG0000390	Syat.g_02945	Pram.g_00099
OG0000391	Syat.g_02940	Pram.g_00102
OG0000392	Syat.g_02934	Pram.g_00106
OG0000393	Syat.g_02931	Pram.g_00109
OG0000394	Syat.g_02930	Pram.g_00110
OG0000395	Syat.g_02929	Pram.g_00111
OG0000396	Syat.g_02927	Pram.g_00113
OG0000397	Syat.g_02925	Pram.g_00115
OG0000398	Syat.g_02920	Pram.g_00118
OG0000399	Syat.g_02919	Pram.g_00119
OG0000400	Syat.g_02918	Pram.g_00120
OG0000401	Syat.g_02917	Pram.g_00121
OG0000402	Syat.g_02915	Pram.g_01001
OG0000403	Syat.g_02914	Pram.g_00123
OG0000404	Syat.g_02913	Pram.g_00124
OG0000405	Syat.g_02900	Pram.g_00128
OG0000406	Syat.g_02896	Pram.g_00132
OG0000407	Syat.g_02895	Pram.g_00133
OG0000408	Syat.g_02893	Pram.g_00135
OG0000409	Syat.g_02891	Pram.g_00137
OG0000410	Syat.g_02890	Pram.g_00138
OG0000411	Syat.g_02889	Pram.g_00139
OG0000412	Syat.g_02888	Pram.g_00140
OG0000413	Syat.g_02886	Pram.g_00141
OG0000414	Syat.g_02885	Pram.g_00142
OG0000415	Syat.g_02884	Pram.g_00143
OG0000416	Syat.g_02883	Pram.g_00144
OG0000417	Syat.g_02868	Pram.g_00145
OG0000418	Syat.g_02863	Pram.g_00150
OG0000419	Syat.g_02861	Pram.g_00152
OG0000420	Syat.g_02859	Pram.g_00153
OG0000421	Syat.g_02855	Pram.g_00157
OG0000422	Syat.g_02854	Pram.g_00158
OG0000423	Syat.g_02853	Pram.g_00159
OG0000424	Syat.g_02852	Pram.g_00160
OG0000425	Syat.g_02851	Pram.g_00161
OG0000426	Syat.g_02850	Pram.g_00162
OG0000427	Syat.g_02849	Pram.g_00163
OG0000428	Syat.g_02846	Pram.g_00165
OG0000429	Syat.g_02843	Pram.g_00166
OG0000430	Syat.g_02841	Pram.g_00167
OG0000431	Syat.g_02838	Pram.g_00169
OG0000432	Syat.g_02832	Pram.g_00173
OG0000433	Syat.g_02829	Pram.g_00174
OG0000434	Syat.g_02828	Pram.g_00175
OG0000435	Syat.g_02824	Pram.g_00176
OG0000436	Syat.g_02817	Pram.g_00181
OG0000437	Syat.g_02558	Pram.g_00182
OG0000438	Syat.g_02813	Pram.g_00183
OG0000439	Syat.g_02811	Pram.g_00185
OG0000440	Syat.g_02810	Pram.g_00186
OG0000441	Syat.g_02807	Pram.g_00189
OG0000442	Syat.g_02797	Pram.g_00190
OG0000443	Syat.g_02787	Pram.g_00191
OG0000444	Syat.g_02756	Pram.g_00196
OG0000445	Syat.g_02755	Pram.g_00197
OG0000446	Syat.g_02753	Pram.g_00198
OG0000447	Syat.g_02749	Pram.g_00199
OG0000448	Syat.g_02748	Pram.g_00200
OG0000449	Syat.g_02747	Pram.g_00201
OG0000450	Syat.g_02738	Pram.g_00202
OG0000451	Syat.g_02737	Pram.g_00203
OG0000452	Syat.g_02732	Pram.g_00206
OG0000453	Syat.g_02731	Pram.g_00207
OG0000454	Syat.g_02730	Pram.g_00208
OG0000455	Syat.g_02729	Pram.g_00209
OG0000456	Syat.g_02728	Pram.g_00210
OG0000457	Syat.g_02726	Pram.g_00212
OG0000458	Syat.g_02725	Pram.g_00213
OG0000459	Syat.g_02724	Pram.g_00214
OG0000460	Syat.g_01450	Pram.g_00222
OG0000461	Syat.g_01866	Pram.g_00230
OG0000462	Syat.g_01868	Pram.g_00232
OG0000463	Syat.g_01869	Pram.g_00233
OG0000464	Syat.g_01870	Pram.g_00234
OG0000465	Syat.g_01872	Pram.g_00235
OG0000466	Syat.g_01877	Pram.g_00238
OG0000467	Syat.g_01878	Pram.g_00239
OG0000468	Syat.g_01884	Pram.g_00242
OG0000469	Syat.g_02000	Pram.g_00250
OG0000470	Syat.g_02038	Pram.g_00252
OG0000471	Syat.g_02039	Pram.g_00253
OG0000472	Syat.g_02041	Pram.g_00254
OG0000473	Syat.g_02043	Pram.g_00256
OG0000474	Syat.g_02044	Pram.g_00257
OG0000475	Syat.g_02045	Pram.g_00258
OG0000476	Syat.g_02047	Pram.g_00260
OG0000477	Syat.g_02053	Pram.g_00263
OG0000478	Syat.g_02054	Pram.g_00264
OG0000479	Syat.g_02056	Pram.g_00265
OG0000480	Syat.g_02063	Pram.g_00270
OG0000481	Syat.g_02066	Pram.g_00273
OG0000482	Syat.g_02067	Pram.g_00274
OG0000483	Syat.g_02071	Pram.g_00277
OG0000484	Syat.g_02072	Pram.g_00278
OG0000485	Syat.g_02073	Pram.g_00280
OG0000486	Syat.g_02074	Pram.g_00281
OG0000487	Syat.g_02080	Pram.g_00284
OG0000488	Syat.g_02086	Pram.g_00287
OG0000489	Syat.g_02097	Pram.g_00292
OG0000490	Syat.g_02106	Pram.g_00296
OG0000491	Syat.g_02107	Pram.g_00297
OG0000492	Syat.g_02110	Pram.g_00299
OG0000493	Syat.g_02111	Pram.g_00300
OG0000494	Syat.g_02112	Pram.g_00301
OG0000495	Syat.g_02120	Pram.g_00302
OG0000496	Syat.g_02121	Pram.g_00303
OG0000497	Syat.g_02122	Pram.g_00304
OG0000498	Syat.g_02123	Pram.g_00305
OG0000499	Syat.g_02124	Pram.g_00306
OG0000500	Syat.g_02125	Pram.g_00307
OG0000501	Syat.g_02128	Pram.g_00309
OG0000502	Syat.g_02135	Pram.g_00312
OG0000503	Syat.g_01614	Pram.g_00328
OG0000504	Syat.g_01612	Pram.g_00330
OG0000505	Syat.g_01611	Pram.g_00331
OG0000506	Syat.g_01609	Pram.g_00332
OG0000507	Syat.g_01603	Pram.g_00336
OG0000508	Syat.g_01596	Pram.g_00340
OG0000509	Syat.g_01591	Pram.g_00342
OG0000510	Syat.g_01590	Pram.g_00343
OG0000511	Syat.g_01589	Pram.g_00344
OG0000512	Syat.g_01587	Pram.g_00346
OG0000513	Syat.g_02957	Pram.g_00355
OG0000514	Syat.g_02962	Pram.g_00366
OG0000515	Syat.g_02963	Pram.g_00367
OG0000516	Syat.g_02965	Pram.g_00368
OG0000517	Syat.g_02969	Pram.g_00370
OG0000518	Syat.g_01286	Pram.g_00381
OG0000519	Syat.g_01285	Pram.g_00382
OG0000520	Syat.g_01284	Pram.g_00383
OG0000521	Syat.g_01319	Pram.g_00393
OG0000522	Syat.g_01317	Pram.g_00395
OG0000523	Syat.g_01316	Pram.g_00396
OG0000524	Syat.g_01409	Pram.g_00400
OG0000525	Syat.g_01382	Pram.g_00404
OG0000526	Syat.g_01380	Pram.g_00406
OG0000527	Syat.g_01373	Pram.g_00409
OG0000528	Syat.g_03167	Pram.g_00414
OG0000529	Syat.g_03171	Pram.g_00417
OG0000530	Syat.g_03174	Pram.g_00420
OG0000531	Syat.g_03175	Pram.g_00421
OG0000532	Syat.g_03178	Pram.g_00423
OG0000533	Syat.g_03180	Pram.g_00424
OG0000534	Syat.g_03181	Pram.g_00425
OG0000535	Syat.g_03182	Pram.g_00426
OG0000536	Syat.g_03183	Pram.g_00427
OG0000537	Syat.g_03185	Pram.g_00428
OG0000538	Syat.g_03204	Pram.g_00438
OG0000539	Syat.g_03206	Pram.g_00439
OG0000540	Syat.g_03207	Pram.g_00440
OG0000541	Syat.g_03208	Pram.g_00441
OG0000542	Syat.g_03213	Pram.g_00442
OG0000543	Syat.g_03215	Pram.g_00444
OG0000544	Syat.g_03216	Pram.g_00445
OG0000545	Syat.g_03218	Pram.g_00447
OG0000546	Syat.g_03220	Pram.g_00450
OG0000547	Syat.g_03222	Pram.g_00452
OG0000548	Syat.g_03223	Pram.g_00453
OG0000549	Syat.g_01795	Pram.g_00456
OG0000550	Syat.g_01107	Pram.g_00461
OG0000551	Syat.g_01103	Pram.g_00464
OG0000552	Syat.g_01102	Pram.g_00465
OG0000553	Syat.g_01098	Pram.g_00466
OG0000554	Syat.g_03271	Pram.g_00472
OG0000555	Syat.g_00093	Pram.g_00479
OG0000556	Syat.g_00088	Pram.g_00481
OG0000557	Syat.g_00083	Pram.g_00482
OG0000558	Syat.g_00081	Pram.g_00484
OG0000559	Syat.g_00077	Pram.g_00488
OG0000560	Syat.g_00074	Pram.g_00491
OG0000561	Syat.g_00073	Pram.g_00492
OG0000562	Syat.g_00072	Pram.g_00493
OG0000563	Syat.g_00071	Pram.g_00494
OG0000564	Syat.g_00070	Pram.g_00495
OG0000565	Syat.g_00067	Pram.g_00498
OG0000566	Syat.g_00063	Pram.g_00502
OG0000567	Syat.g_00059	Pram.g_00506
OG0000568	Syat.g_00057	Pram.g_00507
OG0000569	Syat.g_00056	Pram.g_00508
OG0000570	Syat.g_00055	Pram.g_00509
OG0000571	Syat.g_00052	Pram.g_00511
OG0000572	Syat.g_00033	Pram.g_00523
OG0000573	Syat.g_00024	Pram.g_00529
OG0000574	Syat.g_00023	Pram.g_00530
OG0000575	Syat.g_00018	Pram.g_00534
OG0000576	Syat.g_00014	Pram.g_00536
OG0000577	Syat.g_00013	Pram.g_00537
OG0000578	Syat.g_00012	Pram.g_00538
OG0000579	Syat.g_00011	Pram.g_00539
OG0000580	Syat.g_00010	Pram.g_00540
OG0000581	Syat.g_00003	Pram.g_00543
OG0000582	Syat.g_03403	Pram.g_00546
OG0000583	Syat.g_03404	Pram.g_00547
OG0000584	Syat.g_03405	Pram.g_00548
OG0000585	Syat.g_03408	Pram.g_00550
OG0000586	Syat.g_03409	Pram.g_00551
OG0000587	Syat.g_00001	Pram.g_00552
OG0000588	Syat.g_00338	Pram.g_00556
OG0000589	Syat.g_03318	Pram.g_00559
OG0000590	Syat.g_03317	Pram.g_00560
