Orthogroup	Syat	Pral
OG0000069	Syat.g_00090, Syat.g_00879	Pral.g_01164, Pral.g_01114
OG0000070	Syat.g_01032, Syat.g_01040	Pral.g_00643
OG0000071	Syat.g_01153	Pral.g_01281
OG0000072	Syat.g_02856, Syat.g_01597	Pral.g_00872
OG0000073	Syat.g_03201	Pral.g_00591
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Pral.g_00279
OG0000076	Syat.g_02206	Pral.g_00305
OG0000077	Syat.g_01481	Pral.g_00969
OG0000078	Syat.g_00184	Pral.g_00800
OG0000079	Syat.g_01879	Pral.g_00787
OG0000081	Syat.g_00980	Pral.g_00559
OG0000082	Syat.g_00035	Pral.g_00057
OG0000085	Syat.g_03113	Pral.g_00099
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Pral.g_00959
OG0000087	Syat.g_02912	Pral.g_00906
OG0000088	Syat.g_02862	Pral.g_00878
OG0000089	Syat.g_02953	Pral.g_00676
OG0000090	Syat.g_03270	Pral.g_00557
OG0000091	Syat.g_00939, Syat.g_00862	Pral.g_01443
OG0000092	Syat.g_00825	Pral.g_01244
OG0000094	Syat.g_00698, Syat.g_01034	Pral.g_01604
OG0000095	Syat.g_00808	Pral.g_01561
OG0000097	Syat.g_00907, Syat.g_00535	Pral.g_01416
OG0000098	Syat.g_03281	Pral.g_01239
OG0000099	Syat.g_02130	Pral.g_01201
OG0000100	Syat.g_00517	Pral.g_01078
OG0000101	Syat.g_01661	Pral.g_00243
OG0000102	Syat.g_00974	Pral.g_00310
OG0000103	Syat.g_02399	Pral.g_00397
OG0000104	Syat.g_02385	Pral.g_00406
OG0000105	Syat.g_02052	Pral.g_00765
OG0000106	Syat.g_00957	Pral.g_01859
OG0000107	Syat.g_02009, Syat.g_01862	Pral.g_00171
OG0000108	Syat.g_03170	Pral.g_00611
OG0000109	Syat.g_03187	Pral.g_00596
OG0000110	Syat.g_00049	Pral.g_00513
OG0000111	Syat.g_00816	Pral.g_01739
OG0000112	Syat.g_00593	Pral.g_01635
OG0000113	Syat.g_00509	Pral.g_01511
OG0000114	Syat.g_00426	Pral.g_01799
OG0000115	Syat.g_01328	Pral.g_01141
OG0000116	Syat.g_02641	Pral.g_01356
OG0000117	Syat.g_00224	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000118	Syat.g_01168	Pral.g_01269
OG0000119	Syat.g_00309	Pral.g_01861, Pral.g_01063
OG0000120	Syat.g_02132	Pral.g_00702
OG0000121	Syat.g_01223	Pral.g_01159
OG0000123	Syat.g_01653	Pral.g_00250
OG0000124	Syat.g_02231	Pral.g_00322
OG0000125	Syat.g_02684	Pral.g_00358
OG0000126	Syat.g_00976	Pral.g_00405
OG0000128	Syat.g_02331	Pral.g_00421
OG0000129	Syat.g_02693, Syat.g_02694	Pral.g_01000
OG0000130	Syat.g_01469	Pral.g_00978
OG0000131	Syat.g_02898	Pral.g_00900
OG0000132	Syat.g_02864	Pral.g_00880
OG0000133	Syat.g_00588	Pral.g_00717
OG0000134	Syat.g_02956	Pral.g_00674
OG0000135	Syat.g_02501	Pral.g_01034
OG0000136	Syat.g_01292	Pral.g_00653
OG0000137	Syat.g_01371	Pral.g_00617
OG0000138	Syat.g_03188	Pral.g_00595
OG0000139	Syat.g_03276	Pral.g_00553
OG0000140	Syat.g_03280	Pral.g_00552
OG0000141	Syat.g_03398	Pral.g_00481
OG0000142	Syat.g_00117	Pral.g_01436
OG0000143	Syat.g_00130	Pral.g_01440
OG0000144	Syat.g_00369	Pral.g_01453
OG0000145	Syat.g_03202	Pral.g_01037
OG0000146	Syat.g_00594	Pral.g_01636
OG0000147	Syat.g_00595	Pral.g_01637
OG0000148	Syat.g_00503	Pral.g_01505
OG0000149	Syat.g_00747	Pral.g_01535
OG0000150	Syat.g_03399	Pral.g_01545
OG0000151	Syat.g_00801, Syat.g_00440	Pral.g_01789
OG0000152	Syat.g_00578	Pral.g_01627
OG0000153	Syat.g_00542	Pral.g_01578
OG0000154	Syat.g_00708	Pral.g_01595
OG0000155	Syat.g_00287	Pral.g_01390
OG0000156	Syat.g_03228	Pral.g_01292
OG0000157	Syat.g_02012, Syat.g_03227	Pral.g_01291
OG0000158	Syat.g_02163	Pral.g_00287
OG0000159	Syat.g_01187	Pral.g_01263
OG0000160	Syat.g_01224	Pral.g_01160
OG0000161	Syat.g_01180	Pral.g_01154
OG0000162	Syat.g_01281	Pral.g_01148
OG0000163	Syat.g_02979	Pral.g_01106
OG0000164	Syat.g_03040	Pral.g_00131
OG0000165	Syat.g_03033	Pral.g_00138
OG0000166	Syat.g_01822	Pral.g_00206
OG0000167	Syat.g_02148	Pral.g_00277
OG0000168	Syat.g_02164	Pral.g_00288
OG0000169	Syat.g_02192	Pral.g_00298
OG0000170	Syat.g_02201	Pral.g_00301
OG0000171	Syat.g_02230	Pral.g_00321
OG0000172	Syat.g_02260	Pral.g_00328
OG0000173	Syat.g_02284	Pral.g_00343
OG0000174	Syat.g_02504	Pral.g_00375
OG0000175	Syat.g_02416	Pral.g_00387
OG0000176	Syat.g_02372	Pral.g_00414
OG0000177	Syat.g_02338	Pral.g_00415
OG0000178	Syat.g_02337	Pral.g_00416
OG0000179	Syat.g_02322	Pral.g_01028
OG0000180	Syat.g_02321	Pral.g_01027
OG0000181	Syat.g_02320	Pral.g_01026
OG0000182	Syat.g_02319	Pral.g_01025
OG0000183	Syat.g_02315	Pral.g_01021
OG0000184	Syat.g_02704	Pral.g_00996
OG0000185	Syat.g_02719	Pral.g_00993
OG0000186	Syat.g_01463	Pral.g_00984
OG0000187	Syat.g_01467	Pral.g_00983
OG0000188	Syat.g_01489	Pral.g_00965
OG0000189	Syat.g_00386, Syat.g_01557	Pral.g_00951
OG0000190	Syat.g_00330	Pral.g_00950
OG0000191	Syat.g_03344, Syat.g_02939	Pral.g_00928
OG0000192	Syat.g_02933	Pral.g_00923
OG0000193	Syat.g_02897	Pral.g_00899
OG0000194	Syat.g_02894	Pral.g_00896
OG0000195	Syat.g_02892	Pral.g_00894
OG0000196	Syat.g_02867	Pral.g_00883
OG0000197	Syat.g_02866	Pral.g_00882
OG0000198	Syat.g_02865	Pral.g_00881
OG0000199	Syat.g_02857	Pral.g_00873
OG0000200	Syat.g_02840	Pral.g_00860
OG0000201	Syat.g_02821	Pral.g_00851
OG0000202	Syat.g_02820	Pral.g_00850
OG0000203	Syat.g_02819	Pral.g_00849
OG0000204	Syat.g_02818	Pral.g_00848
OG0000205	Syat.g_02809	Pral.g_00842
OG0000206	Syat.g_02785	Pral.g_00837
OG0000207	Syat.g_02778	Pral.g_00835
OG0000208	Syat.g_02777	Pral.g_00834
OG0000209	Syat.g_02735	Pral.g_00825
OG0000210	Syat.g_02734	Pral.g_00824
OG0000211	Syat.g_01452	Pral.g_00807
OG0000212	Syat.g_01442	Pral.g_00799
OG0000213	Syat.g_01889	Pral.g_00781
OG0000214	Syat.g_02042	Pral.g_00772
OG0000215	Syat.g_02075	Pral.g_00746
OG0000216	Syat.g_02079	Pral.g_00744
OG0000217	Syat.g_02085	Pral.g_00741
OG0000218	Syat.g_02087	Pral.g_00739
OG0000219	Syat.g_02088	Pral.g_00738
OG0000220	Syat.g_02089	Pral.g_00737
OG0000221	Syat.g_02095	Pral.g_00736
OG0000222	Syat.g_02109	Pral.g_00729
OG0000223	Syat.g_02570	Pral.g_00716
OG0000224	Syat.g_02139	Pral.g_00714
OG0000225	Syat.g_01595	Pral.g_00686
OG0000226	Syat.g_01588	Pral.g_00682
OG0000228	Syat.g_02952	Pral.g_00677
OG0000229	Syat.g_02970	Pral.g_00658
OG0000230	Syat.g_02972	Pral.g_00656
OG0000231	Syat.g_01283	Pral.g_00644
OG0000232	Syat.g_01313	Pral.g_00631
OG0000233	Syat.g_01407	Pral.g_00625
OG0000234	Syat.g_01369	Pral.g_00616
OG0000235	Syat.g_03169	Pral.g_00612
OG0000236	Syat.g_03186	Pral.g_00597
OG0000237	Syat.g_03214	Pral.g_00584
OG0000238	Syat.g_03219	Pral.g_00578
OG0000239	Syat.g_01105	Pral.g_00565
OG0000240	Syat.g_01104	Pral.g_00564
OG0000241	Syat.g_00111	Pral.g_00560
OG0000242	Syat.g_01077	Pral.g_00558
OG0000243	Syat.g_00092	Pral.g_00547
OG0000244	Syat.g_00082	Pral.g_00544
OG0000245	Syat.g_00080	Pral.g_00542
OG0000246	Syat.g_00076	Pral.g_00538
OG0000247	Syat.g_00065	Pral.g_00527
OG0000248	Syat.g_00062	Pral.g_00524
OG0000249	Syat.g_00060	Pral.g_00522
OG0000250	Syat.g_00053	Pral.g_00516
OG0000251	Syat.g_00027	Pral.g_00498
OG0000252	Syat.g_00022	Pral.g_00495
OG0000253	Syat.g_00021	Pral.g_00494
OG0000254	Syat.g_03407	Pral.g_00477
OG0000255	Syat.g_02405	Pral.g_00470
OG0000256	Syat.g_03306	Pral.g_00460
OG0000257	Syat.g_00109	Pral.g_01430
OG0000258	Syat.g_00382	Pral.g_01444
OG0000259	Syat.g_00342	Pral.g_01461
OG0000260	Syat.g_00392	Pral.g_01464
OG0000261	Syat.g_00400	Pral.g_01467
OG0000262	Syat.g_00407	Pral.g_01471
OG0000263	Syat.g_00200	Pral.g_01761
OG0000266	Syat.g_00671	Pral.g_01719
OG0000267	Syat.g_00636	Pral.g_01706
OG0000268	Syat.g_00634	Pral.g_01705
OG0000269	Syat.g_00474, Syat.g_00126	Pral.g_01483
OG0000270	Syat.g_00477	Pral.g_01486
OG0000271	Syat.g_00485	Pral.g_01494
OG0000272	Syat.g_00486	Pral.g_01495
OG0000273	Syat.g_00520	Pral.g_01518
OG0000274	Syat.g_00521	Pral.g_01519
OG0000275	Syat.g_00718	Pral.g_01522
OG0000276	Syat.g_00725	Pral.g_01527
OG0000277	Syat.g_00738	Pral.g_01528
OG0000278	Syat.g_00741	Pral.g_01531
OG0000279	Syat.g_00755	Pral.g_01538
OG0000280	Syat.g_01669	Pral.g_01539
OG0000281	Syat.g_00960	Pral.g_01546
OG0000282	Syat.g_00431	Pral.g_01797
OG0000283	Syat.g_00620	Pral.g_01655
OG0000284	Syat.g_00614	Pral.g_01650
OG0000285	Syat.g_00607	Pral.g_01644
OG0000286	Syat.g_00579	Pral.g_01628
OG0000287	Syat.g_00550	Pral.g_00050
OG0000288	Syat.g_00709	Pral.g_01594
OG0000289	Syat.g_00695	Pral.g_01609
OG0000290	Syat.g_00805	Pral.g_01564
OG0000291	Syat.g_00807	Pral.g_01562
OG0000292	Syat.g_02388	Pral.g_01316
OG0000293	Syat.g_03241	Pral.g_01357
OG0000294	Syat.g_03248	Pral.g_01358
OG0000295	Syat.g_00297	Pral.g_01382
OG0000296	Syat.g_00295	Pral.g_01384
OG0000297	Syat.g_00226	Pral.g_01394
OG0000298	Syat.g_00225	Pral.g_01395
OG0000299	Syat.g_00910	Pral.g_01415
OG0000300	Syat.g_00904	Pral.g_01419
OG0000301	Syat.g_00903	Pral.g_01420
OG0000302	Syat.g_00901	Pral.g_01422
OG0000303	Syat.g_00892	Pral.g_01428
OG0000304	Syat.g_00885	Pral.g_00455
OG0000305	Syat.g_00809	Pral.g_01323
OG0000306	Syat.g_01704	Pral.g_01550
OG0000307	Syat.g_01304	Pral.g_01213
OG0000308	Syat.g_01306	Pral.g_01212
OG0000309	Syat.g_01417	Pral.g_01208
OG0000310	Syat.g_01246	Pral.g_01181
OG0000311	Syat.g_01242	Pral.g_01179
OG0000312	Syat.g_01237	Pral.g_01176
OG0000313	Syat.g_01183	Pral.g_01157
OG0000314	Syat.g_01341	Pral.g_01133
OG0000315	Syat.g_01351	Pral.g_01123
OG0000316	Syat.g_03082	Pral.g_01095
OG0000317	Syat.g_03120	Pral.g_00104
OG0000318	Syat.g_03125	Pral.g_00108
OG0000319	Syat.g_03055	Pral.g_00121
OG0000320	Syat.g_03053	Pral.g_00123
OG0000321	Syat.g_03052	Pral.g_00124
OG0000322	Syat.g_03051	Pral.g_00125
OG0000323	Syat.g_03038	Pral.g_00134
OG0000324	Syat.g_02998	Pral.g_00162
OG0000325	Syat.g_01861	Pral.g_00172
OG0000326	Syat.g_01854	Pral.g_00179
OG0000327	Syat.g_01827	Pral.g_00201
OG0000328	Syat.g_01826	Pral.g_00202
OG0000329	Syat.g_01808	Pral.g_00219
OG0000330	Syat.g_01807	Pral.g_00220
OG0000331	Syat.g_01806	Pral.g_00221
OG0000332	Syat.g_01790	Pral.g_00235
OG0000333	Syat.g_01787	Pral.g_00237
OG0000334	Syat.g_01657	Pral.g_00246
OG0000335	Syat.g_01652	Pral.g_00251
OG0000336	Syat.g_01648	Pral.g_00255
OG0000337	Syat.g_02144	Pral.g_00274
OG0000338	Syat.g_02146	Pral.g_00275
OG0000339	Syat.g_02155, Syat.g_01055	Pral.g_00280
OG0000340	Syat.g_02165	Pral.g_00289
OG0000341	Syat.g_02167	Pral.g_00291
OG0000342	Syat.g_02168	Pral.g_00292
OG0000343	Syat.g_02185	Pral.g_00293
OG0000344	Syat.g_02189	Pral.g_00296
OG0000345	Syat.g_02202	Pral.g_00302
OG0000346	Syat.g_02207	Pral.g_00306
OG0000347	Syat.g_02234	Pral.g_00323
OG0000348	Syat.g_02264	Pral.g_00331
OG0000349	Syat.g_02291	Pral.g_00349
OG0000350	Syat.g_01847	Pral.g_00370
OG0000351	Syat.g_02411	Pral.g_00390
OG0000352	Syat.g_02410	Pral.g_00391
OG0000353	Syat.g_00955, Syat.g_02377	Pral.g_00409
OG0000354	Syat.g_03225, Syat.g_02325	Pral.g_01677
OG0000355	Syat.g_02375	Pral.g_00411
OG0000356	Syat.g_02374	Pral.g_00412
OG0000357	Syat.g_02373	Pral.g_00413
OG0000358	Syat.g_02336	Pral.g_00417
OG0000359	Syat.g_02334	Pral.g_00418
OG0000360	Syat.g_02333	Pral.g_00419
OG0000361	Syat.g_02332	Pral.g_00420
OG0000362	Syat.g_02330	Pral.g_00422
OG0000363	Syat.g_02328	Pral.g_01030
OG0000364	Syat.g_03122	Pral.g_01029
OG0000365	Syat.g_02318	Pral.g_01024
OG0000366	Syat.g_02317	Pral.g_01023
OG0000367	Syat.g_02316	Pral.g_01022
OG0000368	Syat.g_02314	Pral.g_01020
OG0000369	Syat.g_02313	Pral.g_01019
OG0000370	Syat.g_02312	Pral.g_01018
OG0000371	Syat.g_02304	Pral.g_01011
OG0000372	Syat.g_02298	Pral.g_01009
OG0000373	Syat.g_02297	Pral.g_01008
OG0000374	Syat.g_02296	Pral.g_01007
OG0000375	Syat.g_02295	Pral.g_01005
OG0000376	Syat.g_02293	Pral.g_01003
OG0000377	Syat.g_02695	Pral.g_00999
OG0000378	Syat.g_02715	Pral.g_00995
OG0000379	Syat.g_02720	Pral.g_00992
OG0000380	Syat.g_01468	Pral.g_00982
OG0000381	Syat.g_01470	Pral.g_00977
OG0000382	Syat.g_01488	Pral.g_00966
OG0000383	Syat.g_01521	Pral.g_00964
OG0000384	Syat.g_01522	Pral.g_00963
OG0000385	Syat.g_01523	Pral.g_00962
OG0000386	Syat.g_01524	Pral.g_00961
OG0000387	Syat.g_01561	Pral.g_00948
OG0000388	Syat.g_01565	Pral.g_00944
OG0000389	Syat.g_01569	Pral.g_00941
OG0000390	Syat.g_02945	Pral.g_00932
OG0000391	Syat.g_02940	Pral.g_00929
OG0000392	Syat.g_02934	Pral.g_00925
OG0000393	Syat.g_02931	Pral.g_00922
OG0000394	Syat.g_02930	Pral.g_00921
OG0000395	Syat.g_02929	Pral.g_00920
OG0000396	Syat.g_02927	Pral.g_00918
OG0000397	Syat.g_02925	Pral.g_00916
OG0000398	Syat.g_02920	Pral.g_00913
OG0000399	Syat.g_02919	Pral.g_00912
OG0000400	Syat.g_02918	Pral.g_00911
OG0000401	Syat.g_02917	Pral.g_00910
OG0000402	Syat.g_02915	Pral.g_00450
OG0000403	Syat.g_02914	Pral.g_00908
OG0000404	Syat.g_02913	Pral.g_00907
OG0000405	Syat.g_02900	Pral.g_00903
OG0000406	Syat.g_02896	Pral.g_00898
OG0000407	Syat.g_02895	Pral.g_00897
OG0000408	Syat.g_02893	Pral.g_00895
OG0000409	Syat.g_02891	Pral.g_00893
OG0000410	Syat.g_02890	Pral.g_00892
OG0000411	Syat.g_02889	Pral.g_00891
OG0000412	Syat.g_02888	Pral.g_00890
OG0000413	Syat.g_02886	Pral.g_00888
OG0000414	Syat.g_02885	Pral.g_00887
OG0000415	Syat.g_02884	Pral.g_00886
OG0000416	Syat.g_02883	Pral.g_00885
OG0000417	Syat.g_02868	Pral.g_00884
OG0000418	Syat.g_02863	Pral.g_00879
OG0000419	Syat.g_02861	Pral.g_00877
OG0000420	Syat.g_02859	Pral.g_00875
OG0000421	Syat.g_02855	Pral.g_00871
OG0000422	Syat.g_02854	Pral.g_00870
OG0000423	Syat.g_02853	Pral.g_00869
OG0000424	Syat.g_02852	Pral.g_00868
OG0000425	Syat.g_02851	Pral.g_00867
OG0000426	Syat.g_02850	Pral.g_00866
OG0000427	Syat.g_02849	Pral.g_00865
OG0000428	Syat.g_02846	Pral.g_00863
OG0000429	Syat.g_02843	Pral.g_00862
OG0000430	Syat.g_02841	Pral.g_00861
OG0000431	Syat.g_02838	Pral.g_00859
OG0000432	Syat.g_02832	Pral.g_00855
OG0000433	Syat.g_02829	Pral.g_00854
OG0000434	Syat.g_02828	Pral.g_00853
OG0000435	Syat.g_02824	Pral.g_00852
OG0000436	Syat.g_02817	Pral.g_00847
OG0000437	Syat.g_02558	Pral.g_00846
OG0000438	Syat.g_02813	Pral.g_00845
OG0000439	Syat.g_02811	Pral.g_00844
OG0000440	Syat.g_02810	Pral.g_00843
OG0000441	Syat.g_02807	Pral.g_00840
OG0000442	Syat.g_02797	Pral.g_00839
OG0000443	Syat.g_02787	Pral.g_00838
OG0000444	Syat.g_02756	Pral.g_00833
OG0000445	Syat.g_02755	Pral.g_00832
OG0000446	Syat.g_02753	Pral.g_00831
OG0000447	Syat.g_02749	Pral.g_00830
OG0000448	Syat.g_02748	Pral.g_00829
OG0000449	Syat.g_02747	Pral.g_00828
OG0000450	Syat.g_02738	Pral.g_00827
OG0000451	Syat.g_02737	Pral.g_00826
OG0000452	Syat.g_02732	Pral.g_00823
OG0000453	Syat.g_02731	Pral.g_00822
OG0000454	Syat.g_02730	Pral.g_00821
OG0000455	Syat.g_02729	Pral.g_00820
OG0000456	Syat.g_02728	Pral.g_00819
OG0000457	Syat.g_02726	Pral.g_00817
OG0000458	Syat.g_02725	Pral.g_00816
OG0000459	Syat.g_02724	Pral.g_00815
OG0000460	Syat.g_01450	Pral.g_00805
OG0000461	Syat.g_01866	Pral.g_00796
OG0000462	Syat.g_01868	Pral.g_00795
OG0000463	Syat.g_01869	Pral.g_00794
OG0000464	Syat.g_01870	Pral.g_00793
OG0000465	Syat.g_01872	Pral.g_00792
OG0000466	Syat.g_01877	Pral.g_00789
OG0000467	Syat.g_01878	Pral.g_00788
OG0000468	Syat.g_01884	Pral.g_00785
OG0000469	Syat.g_02000	Pral.g_00777
OG0000470	Syat.g_02038	Pral.g_00775
OG0000471	Syat.g_02039	Pral.g_00774
OG0000472	Syat.g_02041	Pral.g_00773
OG0000473	Syat.g_02043	Pral.g_00771
OG0000474	Syat.g_02044	Pral.g_00770
OG0000475	Syat.g_02045	Pral.g_00769
OG0000476	Syat.g_02047	Pral.g_00767
OG0000477	Syat.g_02053	Pral.g_00764
OG0000478	Syat.g_02054	Pral.g_00763
OG0000479	Syat.g_02056	Pral.g_00762
OG0000480	Syat.g_02063	Pral.g_00756
OG0000481	Syat.g_02066	Pral.g_00754
OG0000482	Syat.g_02067	Pral.g_00753
OG0000483	Syat.g_02071	Pral.g_00750
OG0000484	Syat.g_02072	Pral.g_00749
OG0000485	Syat.g_02073	Pral.g_00748
OG0000486	Syat.g_02074	Pral.g_00747
OG0000487	Syat.g_02080	Pral.g_00743
OG0000488	Syat.g_02086	Pral.g_00740
OG0000489	Syat.g_02097	Pral.g_00735
OG0000490	Syat.g_02106	Pral.g_00731
OG0000491	Syat.g_02107	Pral.g_00730
OG0000492	Syat.g_02110	Pral.g_00728
OG0000493	Syat.g_02111	Pral.g_00727
OG0000494	Syat.g_02112	Pral.g_00726
OG0000495	Syat.g_02120	Pral.g_00725
OG0000496	Syat.g_02121	Pral.g_00724
OG0000497	Syat.g_02122	Pral.g_00723
OG0000498	Syat.g_02123	Pral.g_00722
OG0000499	Syat.g_02124	Pral.g_00721
OG0000500	Syat.g_02125	Pral.g_00720
OG0000501	Syat.g_02128	Pral.g_00718
OG0000502	Syat.g_02135	Pral.g_00715
OG0000503	Syat.g_01614	Pral.g_00698
OG0000504	Syat.g_01612	Pral.g_00696
OG0000505	Syat.g_01611	Pral.g_00695
OG0000506	Syat.g_01609	Pral.g_00694
OG0000507	Syat.g_01603	Pral.g_00691
OG0000508	Syat.g_01596	Pral.g_00687
OG0000509	Syat.g_01591	Pral.g_00685
OG0000510	Syat.g_01590	Pral.g_00684
OG0000511	Syat.g_01589	Pral.g_00683
OG0000512	Syat.g_01587	Pral.g_00681
OG0000513	Syat.g_02957	Pral.g_00673
OG0000514	Syat.g_02962	Pral.g_00663
OG0000515	Syat.g_02963	Pral.g_00662
OG0000516	Syat.g_02965	Pral.g_00661
OG0000517	Syat.g_02969	Pral.g_00659
OG0000518	Syat.g_01286	Pral.g_00647
OG0000519	Syat.g_01285	Pral.g_00646
OG0000520	Syat.g_01284	Pral.g_00645
OG0000521	Syat.g_01319	Pral.g_00635
OG0000522	Syat.g_01317	Pral.g_00633
OG0000523	Syat.g_01316	Pral.g_00632
OG0000524	Syat.g_01409	Pral.g_00627
OG0000525	Syat.g_01382	Pral.g_00623
OG0000526	Syat.g_01380	Pral.g_00622
OG0000527	Syat.g_01373	Pral.g_00619
OG0000528	Syat.g_03167	Pral.g_00613
OG0000529	Syat.g_03171	Pral.g_00610
OG0000530	Syat.g_03174	Pral.g_00607
OG0000531	Syat.g_03175	Pral.g_00606
OG0000532	Syat.g_03178	Pral.g_00603
OG0000533	Syat.g_03180	Pral.g_00602
OG0000534	Syat.g_03181	Pral.g_00601
OG0000535	Syat.g_03182	Pral.g_00600
OG0000536	Syat.g_03183	Pral.g_00599
OG0000537	Syat.g_03185	Pral.g_00598
OG0000538	Syat.g_03204	Pral.g_00590
OG0000539	Syat.g_03206	Pral.g_00589
OG0000540	Syat.g_03207	Pral.g_00588
OG0000541	Syat.g_03208	Pral.g_00587
OG0000542	Syat.g_03213	Pral.g_00585
OG0000543	Syat.g_03215	Pral.g_00583
OG0000544	Syat.g_03216	Pral.g_00582
OG0000545	Syat.g_03218	Pral.g_00580
OG0000546	Syat.g_03220	Pral.g_00577
OG0000547	Syat.g_03222	Pral.g_00575
OG0000548	Syat.g_03223	Pral.g_00574
OG0000549	Syat.g_01795	Pral.g_00571
OG0000550	Syat.g_01107	Pral.g_00566
OG0000551	Syat.g_01103	Pral.g_00563
OG0000552	Syat.g_01102	Pral.g_00562
OG0000553	Syat.g_01098	Pral.g_00561
OG0000554	Syat.g_03271	Pral.g_00556
OG0000555	Syat.g_00093	Pral.g_00548
OG0000556	Syat.g_00088	Pral.g_00546
OG0000557	Syat.g_00083	Pral.g_00545
OG0000558	Syat.g_00081	Pral.g_00543
OG0000559	Syat.g_00077	Pral.g_00539
OG0000560	Syat.g_00074	Pral.g_00536
OG0000561	Syat.g_00073	Pral.g_00535
OG0000562	Syat.g_00072	Pral.g_00534
OG0000563	Syat.g_00071	Pral.g_00533
OG0000564	Syat.g_00070	Pral.g_00532
OG0000565	Syat.g_00067	Pral.g_00529
OG0000566	Syat.g_00063	Pral.g_00525
OG0000567	Syat.g_00059	Pral.g_00521
OG0000568	Syat.g_00057	Pral.g_00520
OG0000569	Syat.g_00056	Pral.g_00519
OG0000570	Syat.g_00055	Pral.g_00518
OG0000571	Syat.g_00052	Pral.g_00515
OG0000572	Syat.g_00033	Pral.g_00503
OG0000573	Syat.g_00024	Pral.g_00497
OG0000574	Syat.g_00023	Pral.g_00496
OG0000575	Syat.g_00018	Pral.g_00492
OG0000576	Syat.g_00014	Pral.g_00490
OG0000577	Syat.g_00013	Pral.g_00489
OG0000578	Syat.g_00012	Pral.g_00488
OG0000579	Syat.g_00011	Pral.g_00487
OG0000580	Syat.g_00010	Pral.g_00486
OG0000581	Syat.g_00003	Pral.g_00483
OG0000582	Syat.g_03403	Pral.g_00480
OG0000583	Syat.g_03404	Pral.g_00479
OG0000584	Syat.g_03405	Pral.g_00478
OG0000585	Syat.g_03408	Pral.g_00476
OG0000586	Syat.g_03409	Pral.g_00475
OG0000587	Syat.g_00001	Pral.g_00474
OG0000588	Syat.g_00338	Pral.g_00469
