Orthogroup	Syat	Prbf
OG0000110	Syat.g_00049	Prbf.g_01856
OG0000111	Syat.g_00816	Prbf.g_01260
OG0000112	Syat.g_00593	Prbf.g_01929
OG0000113	Syat.g_00509	Prbf.g_01222
OG0000114	Syat.g_00426	Prbf.g_01320
OG0000115	Syat.g_01328	Prbf.g_00062
OG0000116	Syat.g_02641	Prbf.g_00907
OG0000117	Syat.g_00224	Prbf.g_00945
OG0000118	Syat.g_01168	Prbf.g_00013
OG0000119	Syat.g_00309	Prbf.g_00864, Prbf.g_00254
OG0000120	Syat.g_02132	Prbf.g_00115
OG0000121	Syat.g_01223	Prbf.g_00159
OG0000123	Syat.g_01653	Prbf.g_00551
OG0000124	Syat.g_02231	Prbf.g_00478
OG0000125	Syat.g_02684	Prbf.g_00443
OG0000126	Syat.g_00976	Prbf.g_00398
OG0000128	Syat.g_02331	Prbf.g_00382
OG0000129	Syat.g_02693, Syat.g_02694	Prbf.g_01367
OG0000130	Syat.g_01469	Prbf.g_01396
OG0000131	Syat.g_02898	Prbf.g_01478
OG0000132	Syat.g_02864	Prbf.g_01498
OG0000133	Syat.g_00588	Prbf.g_01661
OG0000134	Syat.g_02956	Prbf.g_01703
OG0000135	Syat.g_02501	Prbf.g_00044
OG0000136	Syat.g_01292	Prbf.g_01725
OG0000137	Syat.g_01371	Prbf.g_01758
OG0000138	Syat.g_03188	Prbf.g_01778
OG0000139	Syat.g_03276	Prbf.g_01818
OG0000140	Syat.g_03280	Prbf.g_01819
OG0000141	Syat.g_03398	Prbf.g_01890
OG0000142	Syat.g_00117	Prbf.g_00982
OG0000143	Syat.g_00130	Prbf.g_00986
OG0000144	Syat.g_00369	Prbf.g_01000
OG0000145	Syat.g_03202	Prbf.g_00042
OG0000146	Syat.g_00594	Prbf.g_01928
OG0000147	Syat.g_00595	Prbf.g_01927
OG0000148	Syat.g_00503	Prbf.g_01228
OG0000149	Syat.g_00747	Prbf.g_01196
OG0000150	Syat.g_03399	Prbf.g_01186
OG0000151	Syat.g_00801, Syat.g_00440	Prbf.g_01310
OG0000152	Syat.g_00578	Prbf.g_01117
OG0000153	Syat.g_00542	Prbf.g_01098
OG0000154	Syat.g_00708	Prbf.g_01078
OG0000155	Syat.g_00287	Prbf.g_00939
OG0000156	Syat.g_03228	Prbf.g_00037
OG0000157	Syat.g_02012, Syat.g_03227	Prbf.g_00036
OG0000158	Syat.g_02163	Prbf.g_00514
OG0000159	Syat.g_01187	Prbf.g_01387
OG0000160	Syat.g_01224	Prbf.g_00158
OG0000161	Syat.g_01180	Prbf.g_00164
OG0000162	Syat.g_01281	Prbf.g_00170
OG0000163	Syat.g_02979	Prbf.g_00209
OG0000164	Syat.g_03040	Prbf.g_00669
OG0000165	Syat.g_03033	Prbf.g_00662
OG0000166	Syat.g_01822	Prbf.g_00595
OG0000167	Syat.g_02148	Prbf.g_00524
OG0000168	Syat.g_02164	Prbf.g_00513
OG0000169	Syat.g_02192	Prbf.g_00503
OG0000170	Syat.g_02201	Prbf.g_00500
OG0000171	Syat.g_02230	Prbf.g_00479
OG0000172	Syat.g_02260	Prbf.g_00472
OG0000173	Syat.g_02284	Prbf.g_00457
OG0000174	Syat.g_02504	Prbf.g_00428
OG0000175	Syat.g_02416	Prbf.g_00415
OG0000176	Syat.g_02372	Prbf.g_00389
OG0000177	Syat.g_02338	Prbf.g_00388
OG0000178	Syat.g_02337	Prbf.g_00387
OG0000179	Syat.g_02322	Prbf.g_01338
OG0000180	Syat.g_02321	Prbf.g_01339
OG0000181	Syat.g_02320	Prbf.g_01340
OG0000182	Syat.g_02319	Prbf.g_01341
OG0000183	Syat.g_02315	Prbf.g_01345
OG0000184	Syat.g_02704	Prbf.g_01371
OG0000185	Syat.g_02719	Prbf.g_01374
OG0000186	Syat.g_01463	Prbf.g_01390
OG0000187	Syat.g_01467	Prbf.g_01391
OG0000188	Syat.g_01489	Prbf.g_01408
OG0000189	Syat.g_00386, Syat.g_01557	Prbf.g_01422
OG0000190	Syat.g_00330	Prbf.g_01424
OG0000191	Syat.g_03344, Syat.g_02939	Prbf.g_01447
OG0000192	Syat.g_02933	Prbf.g_01452
OG0000193	Syat.g_02897	Prbf.g_01479
OG0000194	Syat.g_02894	Prbf.g_01482
OG0000195	Syat.g_02892	Prbf.g_01484
OG0000196	Syat.g_02867	Prbf.g_01495
OG0000197	Syat.g_02866	Prbf.g_01496
OG0000198	Syat.g_02865	Prbf.g_01497
OG0000199	Syat.g_02857	Prbf.g_01504
OG0000200	Syat.g_02840	Prbf.g_01518
OG0000201	Syat.g_02821	Prbf.g_01527
OG0000202	Syat.g_02820	Prbf.g_01528
OG0000203	Syat.g_02819	Prbf.g_01529
OG0000204	Syat.g_02818	Prbf.g_01530
OG0000205	Syat.g_02809	Prbf.g_01537
OG0000206	Syat.g_02785	Prbf.g_01542
OG0000207	Syat.g_02778	Prbf.g_01545
OG0000208	Syat.g_02777	Prbf.g_01546
OG0000209	Syat.g_02735	Prbf.g_01555
OG0000210	Syat.g_02734	Prbf.g_01556
OG0000211	Syat.g_01452	Prbf.g_01571
OG0000212	Syat.g_01442	Prbf.g_01579
OG0000213	Syat.g_01889	Prbf.g_01597
OG0000214	Syat.g_02042	Prbf.g_01607
OG0000215	Syat.g_02075	Prbf.g_01634
OG0000216	Syat.g_02079	Prbf.g_01635
OG0000217	Syat.g_02085	Prbf.g_01638
OG0000218	Syat.g_02087	Prbf.g_01640
OG0000219	Syat.g_02088	Prbf.g_01641
OG0000220	Syat.g_02089	Prbf.g_01642
OG0000221	Syat.g_02095	Prbf.g_01643
OG0000222	Syat.g_02109	Prbf.g_01650
OG0000223	Syat.g_02570	Prbf.g_01662
OG0000224	Syat.g_02139	Prbf.g_01664
OG0000225	Syat.g_01595	Prbf.g_01690
OG0000226	Syat.g_01588	Prbf.g_01694
OG0000228	Syat.g_02952	Prbf.g_01700
OG0000229	Syat.g_02970	Prbf.g_01720
OG0000230	Syat.g_02972	Prbf.g_01722
OG0000231	Syat.g_01283	Prbf.g_01733
OG0000232	Syat.g_01313	Prbf.g_01744
OG0000233	Syat.g_01407	Prbf.g_01750
OG0000234	Syat.g_01369	Prbf.g_01759
OG0000235	Syat.g_03169	Prbf.g_01762
OG0000236	Syat.g_03186	Prbf.g_01776
OG0000237	Syat.g_03214	Prbf.g_01789
OG0000238	Syat.g_03219	Prbf.g_01795
OG0000239	Syat.g_01105	Prbf.g_01806
OG0000240	Syat.g_01104	Prbf.g_01807
OG0000241	Syat.g_00111	Prbf.g_01811
OG0000242	Syat.g_01077	Prbf.g_01813
OG0000243	Syat.g_00092	Prbf.g_01824
OG0000244	Syat.g_00082	Prbf.g_01827
OG0000245	Syat.g_00080	Prbf.g_01829
OG0000246	Syat.g_00076	Prbf.g_01833
OG0000247	Syat.g_00065	Prbf.g_01843
OG0000248	Syat.g_00062	Prbf.g_01846
OG0000249	Syat.g_00060	Prbf.g_01848
OG0000250	Syat.g_00053	Prbf.g_01853
OG0000251	Syat.g_00027	Prbf.g_01873
OG0000252	Syat.g_00022	Prbf.g_01876
OG0000253	Syat.g_00021	Prbf.g_01877
OG0000254	Syat.g_03407	Prbf.g_01894
OG0000255	Syat.g_02405	Prbf.g_01900
OG0000256	Syat.g_03306	Prbf.g_01910
OG0000257	Syat.g_00109	Prbf.g_00977
OG0000258	Syat.g_00382	Prbf.g_00991
OG0000259	Syat.g_00342	Prbf.g_01008
OG0000260	Syat.g_00392	Prbf.g_01011
OG0000261	Syat.g_00400	Prbf.g_01014
OG0000262	Syat.g_00407	Prbf.g_01018
OG0000263	Syat.g_00200	Prbf.g_01282
OG0000266	Syat.g_00671	Prbf.g_01037
OG0000267	Syat.g_00636	Prbf.g_01049
OG0000268	Syat.g_00634	Prbf.g_01050
OG0000269	Syat.g_00474, Syat.g_00126	Prbf.g_01250
OG0000270	Syat.g_00477	Prbf.g_01247
OG0000271	Syat.g_00485	Prbf.g_01239
OG0000272	Syat.g_00486	Prbf.g_01238
OG0000273	Syat.g_00520	Prbf.g_01214
OG0000274	Syat.g_00521	Prbf.g_01213
OG0000275	Syat.g_00718	Prbf.g_01210
OG0000276	Syat.g_00725	Prbf.g_01204
OG0000277	Syat.g_00738	Prbf.g_01203
OG0000278	Syat.g_00741	Prbf.g_01200
OG0000279	Syat.g_00755	Prbf.g_01193
OG0000280	Syat.g_01669	Prbf.g_01192
OG0000281	Syat.g_00960	Prbf.g_01185
OG0000282	Syat.g_00431	Prbf.g_01318
OG0000283	Syat.g_00620	Prbf.g_01141
OG0000284	Syat.g_00614	Prbf.g_01136
OG0000285	Syat.g_00607	Prbf.g_01131
OG0000286	Syat.g_00579	Prbf.g_01118
OG0000287	Syat.g_00550	Prbf.g_00065
OG0000288	Syat.g_00709	Prbf.g_01079
OG0000289	Syat.g_00695	Prbf.g_01063
OG0000290	Syat.g_00805	Prbf.g_01167
OG0000291	Syat.g_00807	Prbf.g_01169
OG0000292	Syat.g_02388	Prbf.g_00873
OG0000293	Syat.g_03241	Prbf.g_00908
OG0000294	Syat.g_03248	Prbf.g_00909
OG0000295	Syat.g_00297	Prbf.g_00932
OG0000296	Syat.g_00295	Prbf.g_00934
OG0000297	Syat.g_00226	Prbf.g_00943
OG0000298	Syat.g_00225	Prbf.g_00944
OG0000299	Syat.g_00910	Prbf.g_00963
OG0000300	Syat.g_00904	Prbf.g_00966
OG0000301	Syat.g_00903	Prbf.g_00967
OG0000302	Syat.g_00901	Prbf.g_00969
OG0000303	Syat.g_00892	Prbf.g_00975
OG0000304	Syat.g_00885	Prbf.g_01915
OG0000305	Syat.g_00809	Prbf.g_00875
OG0000306	Syat.g_01704	Prbf.g_01181
OG0000307	Syat.g_01304	Prbf.g_00104
OG0000308	Syat.g_01306	Prbf.g_00105
OG0000309	Syat.g_01417	Prbf.g_00109
OG0000310	Syat.g_01246	Prbf.g_00143
OG0000311	Syat.g_01242	Prbf.g_00145
OG0000312	Syat.g_01237	Prbf.g_00148
OG0000313	Syat.g_01183	Prbf.g_00161
OG0000314	Syat.g_01341	Prbf.g_00184
OG0000315	Syat.g_01351	Prbf.g_00194
OG0000316	Syat.g_03082	Prbf.g_00219
OG0000317	Syat.g_03120	Prbf.g_00696
OG0000318	Syat.g_03125	Prbf.g_00692
OG0000319	Syat.g_03055	Prbf.g_00679
OG0000320	Syat.g_03053	Prbf.g_00677
OG0000321	Syat.g_03052	Prbf.g_00676
OG0000322	Syat.g_03051	Prbf.g_00675
OG0000323	Syat.g_03038	Prbf.g_00666
OG0000324	Syat.g_02998	Prbf.g_00639
OG0000325	Syat.g_01861	Prbf.g_00628
OG0000326	Syat.g_01854	Prbf.g_00621
OG0000327	Syat.g_01827	Prbf.g_00600
OG0000328	Syat.g_01826	Prbf.g_00599
OG0000329	Syat.g_01808	Prbf.g_00582
OG0000330	Syat.g_01807	Prbf.g_00581
OG0000331	Syat.g_01806	Prbf.g_00580
OG0000332	Syat.g_01790	Prbf.g_00566
OG0000333	Syat.g_01787	Prbf.g_00564
OG0000334	Syat.g_01657	Prbf.g_00555
OG0000335	Syat.g_01652	Prbf.g_00550
OG0000336	Syat.g_01648	Prbf.g_00546
OG0000337	Syat.g_02144	Prbf.g_00528
OG0000338	Syat.g_02146	Prbf.g_00527
OG0000339	Syat.g_02155, Syat.g_01055	Prbf.g_00521
OG0000340	Syat.g_02165	Prbf.g_00512
OG0000341	Syat.g_02167	Prbf.g_00510
OG0000342	Syat.g_02168	Prbf.g_00509
OG0000343	Syat.g_02185	Prbf.g_00508
OG0000344	Syat.g_02189	Prbf.g_00505
OG0000345	Syat.g_02202	Prbf.g_00499
OG0000346	Syat.g_02207	Prbf.g_00495
OG0000347	Syat.g_02234	Prbf.g_00477
OG0000348	Syat.g_02264	Prbf.g_00469
OG0000349	Syat.g_02291	Prbf.g_00452
OG0000350	Syat.g_01847	Prbf.g_00351
OG0000351	Syat.g_02411	Prbf.g_00412
OG0000352	Syat.g_02410	Prbf.g_00411
OG0000353	Syat.g_00955, Syat.g_02377	Prbf.g_00394
OG0000355	Syat.g_02375	Prbf.g_00392
OG0000356	Syat.g_02374	Prbf.g_00391
OG0000357	Syat.g_02373	Prbf.g_00390
OG0000358	Syat.g_02336	Prbf.g_00386
OG0000359	Syat.g_02334	Prbf.g_00385
OG0000360	Syat.g_02333	Prbf.g_00384
OG0000361	Syat.g_02332	Prbf.g_00383
OG0000362	Syat.g_02330	Prbf.g_00381
OG0000363	Syat.g_02328	Prbf.g_01336
OG0000364	Syat.g_03122	Prbf.g_01337
OG0000365	Syat.g_02318	Prbf.g_01342
OG0000366	Syat.g_02317	Prbf.g_01343
OG0000367	Syat.g_02316	Prbf.g_01344
OG0000368	Syat.g_02314	Prbf.g_01346
OG0000369	Syat.g_02313	Prbf.g_01347
OG0000370	Syat.g_02312	Prbf.g_01348
OG0000371	Syat.g_02304	Prbf.g_01355
OG0000372	Syat.g_02298	Prbf.g_01358
OG0000373	Syat.g_02297	Prbf.g_01359
OG0000374	Syat.g_02296	Prbf.g_01360
OG0000375	Syat.g_02295	Prbf.g_01362
OG0000376	Syat.g_02293	Prbf.g_01364
OG0000377	Syat.g_02695	Prbf.g_01368
OG0000378	Syat.g_02715	Prbf.g_01372
OG0000379	Syat.g_02720	Prbf.g_01375
OG0000380	Syat.g_01468	Prbf.g_01392
OG0000381	Syat.g_01470	Prbf.g_01397
OG0000382	Syat.g_01488	Prbf.g_01407
OG0000383	Syat.g_01521	Prbf.g_01409
OG0000384	Syat.g_01522	Prbf.g_01410
OG0000385	Syat.g_01523	Prbf.g_01411
OG0000386	Syat.g_01524	Prbf.g_01412
OG0000387	Syat.g_01561	Prbf.g_01426
OG0000388	Syat.g_01565	Prbf.g_01430
OG0000389	Syat.g_01569	Prbf.g_01433
OG0000390	Syat.g_02945	Prbf.g_01443
OG0000391	Syat.g_02940	Prbf.g_01446
OG0000392	Syat.g_02934	Prbf.g_01450
OG0000393	Syat.g_02931	Prbf.g_01453
OG0000394	Syat.g_02930	Prbf.g_01454
OG0000395	Syat.g_02929	Prbf.g_01455
OG0000396	Syat.g_02927	Prbf.g_01457
OG0000397	Syat.g_02925	Prbf.g_01459
OG0000398	Syat.g_02920	Prbf.g_01462
OG0000399	Syat.g_02919	Prbf.g_01463
OG0000400	Syat.g_02918	Prbf.g_01464
OG0000401	Syat.g_02917	Prbf.g_01465
OG0000402	Syat.g_02915	Prbf.g_01055
OG0000403	Syat.g_02914	Prbf.g_01467
OG0000404	Syat.g_02913	Prbf.g_01468
OG0000405	Syat.g_02900	Prbf.g_01472
OG0000406	Syat.g_02896	Prbf.g_01480
OG0000407	Syat.g_02895	Prbf.g_01481
OG0000408	Syat.g_02893	Prbf.g_01483
OG0000409	Syat.g_02891	Prbf.g_01485
OG0000410	Syat.g_02890	Prbf.g_01486
OG0000411	Syat.g_02889	Prbf.g_01487
OG0000412	Syat.g_02888	Prbf.g_01488
OG0000413	Syat.g_02886	Prbf.g_01490
OG0000414	Syat.g_02885	Prbf.g_01491
OG0000415	Syat.g_02884	Prbf.g_01492
OG0000416	Syat.g_02883	Prbf.g_01493
OG0000417	Syat.g_02868	Prbf.g_01494
OG0000418	Syat.g_02863	Prbf.g_01499
OG0000419	Syat.g_02861	Prbf.g_01501
OG0000420	Syat.g_02859	Prbf.g_01502
OG0000421	Syat.g_02855	Prbf.g_01507
OG0000422	Syat.g_02854	Prbf.g_01508
OG0000423	Syat.g_02853	Prbf.g_01509
OG0000424	Syat.g_02852	Prbf.g_01510
OG0000425	Syat.g_02851	Prbf.g_01511
OG0000426	Syat.g_02850	Prbf.g_01512
OG0000427	Syat.g_02849	Prbf.g_01513
OG0000428	Syat.g_02846	Prbf.g_01515
OG0000429	Syat.g_02843	Prbf.g_01516
OG0000430	Syat.g_02841	Prbf.g_01517
OG0000431	Syat.g_02838	Prbf.g_01519
OG0000432	Syat.g_02832	Prbf.g_01523
OG0000433	Syat.g_02829	Prbf.g_01524
OG0000434	Syat.g_02828	Prbf.g_01525
OG0000435	Syat.g_02824	Prbf.g_01526
OG0000436	Syat.g_02817	Prbf.g_01531
OG0000437	Syat.g_02558	Prbf.g_01532
OG0000438	Syat.g_02813	Prbf.g_01533
OG0000439	Syat.g_02811	Prbf.g_01535
OG0000440	Syat.g_02810	Prbf.g_01536
OG0000441	Syat.g_02807	Prbf.g_01539
OG0000442	Syat.g_02797	Prbf.g_01540
OG0000443	Syat.g_02787	Prbf.g_01541
OG0000444	Syat.g_02756	Prbf.g_01547
OG0000445	Syat.g_02755	Prbf.g_01548
OG0000446	Syat.g_02753	Prbf.g_01549
OG0000447	Syat.g_02749	Prbf.g_01550
OG0000448	Syat.g_02748	Prbf.g_01551
OG0000449	Syat.g_02747	Prbf.g_01552
OG0000450	Syat.g_02738	Prbf.g_01553
OG0000451	Syat.g_02737	Prbf.g_01554
OG0000452	Syat.g_02732	Prbf.g_01557
OG0000453	Syat.g_02731	Prbf.g_01558
OG0000454	Syat.g_02730	Prbf.g_01559
OG0000455	Syat.g_02729	Prbf.g_01560
OG0000456	Syat.g_02728	Prbf.g_01561
OG0000457	Syat.g_02726	Prbf.g_01563
OG0000458	Syat.g_02725	Prbf.g_01564
OG0000459	Syat.g_02724	Prbf.g_01565
OG0000460	Syat.g_01450	Prbf.g_01573
OG0000461	Syat.g_01866	Prbf.g_01581
OG0000462	Syat.g_01868	Prbf.g_01583
OG0000463	Syat.g_01869	Prbf.g_01584
OG0000464	Syat.g_01870	Prbf.g_01585
OG0000465	Syat.g_01872	Prbf.g_01586
OG0000466	Syat.g_01877	Prbf.g_01589
OG0000467	Syat.g_01878	Prbf.g_01590
OG0000468	Syat.g_01884	Prbf.g_01593
OG0000469	Syat.g_02000	Prbf.g_01601
OG0000470	Syat.g_02038	Prbf.g_01603
OG0000471	Syat.g_02039	Prbf.g_01604
OG0000472	Syat.g_02041	Prbf.g_01606
OG0000473	Syat.g_02043	Prbf.g_01608
OG0000474	Syat.g_02044	Prbf.g_01609
OG0000475	Syat.g_02045	Prbf.g_01610
OG0000476	Syat.g_02047	Prbf.g_01612
OG0000477	Syat.g_02053	Prbf.g_01615
OG0000478	Syat.g_02054	Prbf.g_01616
OG0000479	Syat.g_02056	Prbf.g_01617
OG0000480	Syat.g_02063	Prbf.g_01622
OG0000481	Syat.g_02066	Prbf.g_01625
OG0000482	Syat.g_02067	Prbf.g_01626
OG0000483	Syat.g_02071	Prbf.g_01629
OG0000484	Syat.g_02072	Prbf.g_01630
OG0000485	Syat.g_02073	Prbf.g_01632
OG0000486	Syat.g_02074	Prbf.g_01633
OG0000487	Syat.g_02080	Prbf.g_01636
OG0000488	Syat.g_02086	Prbf.g_01639
OG0000489	Syat.g_02097	Prbf.g_01644
OG0000490	Syat.g_02106	Prbf.g_01648
OG0000491	Syat.g_02107	Prbf.g_01649
OG0000492	Syat.g_02110	Prbf.g_01651
OG0000493	Syat.g_02111	Prbf.g_01652
OG0000494	Syat.g_02112	Prbf.g_01653
OG0000495	Syat.g_02120	Prbf.g_01654
OG0000496	Syat.g_02121	Prbf.g_01655
OG0000497	Syat.g_02122	Prbf.g_01656
OG0000498	Syat.g_02123	Prbf.g_01657
OG0000499	Syat.g_02124	Prbf.g_01658
OG0000500	Syat.g_02125	Prbf.g_01659
OG0000501	Syat.g_02128	Prbf.g_01660
OG0000502	Syat.g_02135	Prbf.g_01663
OG0000503	Syat.g_01614	Prbf.g_01678
OG0000504	Syat.g_01612	Prbf.g_01680
OG0000505	Syat.g_01611	Prbf.g_01681
OG0000506	Syat.g_01609	Prbf.g_01682
OG0000507	Syat.g_01603	Prbf.g_01685
OG0000508	Syat.g_01596	Prbf.g_01689
OG0000509	Syat.g_01591	Prbf.g_01691
OG0000510	Syat.g_01590	Prbf.g_01692
OG0000511	Syat.g_01589	Prbf.g_01693
OG0000512	Syat.g_01587	Prbf.g_01695
OG0000513	Syat.g_02957	Prbf.g_01704
OG0000514	Syat.g_02962	Prbf.g_01715
OG0000515	Syat.g_02963	Prbf.g_01716
OG0000516	Syat.g_02965	Prbf.g_01717
OG0000517	Syat.g_02969	Prbf.g_01719
OG0000518	Syat.g_01286	Prbf.g_01730
OG0000519	Syat.g_01285	Prbf.g_01731
OG0000520	Syat.g_01284	Prbf.g_01732
OG0000521	Syat.g_01319	Prbf.g_01740
OG0000522	Syat.g_01317	Prbf.g_01742
OG0000523	Syat.g_01316	Prbf.g_01743
OG0000524	Syat.g_01409	Prbf.g_01748
OG0000525	Syat.g_01382	Prbf.g_01752
OG0000526	Syat.g_01380	Prbf.g_01753
OG0000527	Syat.g_01373	Prbf.g_01756
OG0000528	Syat.g_03167	Prbf.g_01761
OG0000529	Syat.g_03171	Prbf.g_01764
OG0000530	Syat.g_03174	Prbf.g_01767
OG0000531	Syat.g_03175	Prbf.g_01768
OG0000532	Syat.g_03178	Prbf.g_01770
OG0000533	Syat.g_03180	Prbf.g_01771
OG0000534	Syat.g_03181	Prbf.g_01772
OG0000535	Syat.g_03182	Prbf.g_01773
OG0000536	Syat.g_03183	Prbf.g_01774
OG0000537	Syat.g_03185	Prbf.g_01775
OG0000538	Syat.g_03204	Prbf.g_01784
OG0000539	Syat.g_03206	Prbf.g_01785
OG0000540	Syat.g_03207	Prbf.g_01786
OG0000541	Syat.g_03208	Prbf.g_01787
OG0000542	Syat.g_03213	Prbf.g_01788
OG0000543	Syat.g_03215	Prbf.g_01790
OG0000544	Syat.g_03216	Prbf.g_01791
OG0000545	Syat.g_03218	Prbf.g_01793
OG0000546	Syat.g_03220	Prbf.g_01796
OG0000547	Syat.g_03222	Prbf.g_01798
OG0000548	Syat.g_03223	Prbf.g_01799
OG0000549	Syat.g_01795	Prbf.g_01801
OG0000550	Syat.g_01107	Prbf.g_01805
OG0000551	Syat.g_01103	Prbf.g_01808
OG0000552	Syat.g_01102	Prbf.g_01809
OG0000553	Syat.g_01098	Prbf.g_01810
OG0000554	Syat.g_03271	Prbf.g_01815
OG0000555	Syat.g_00093	Prbf.g_01823
OG0000556	Syat.g_00088	Prbf.g_01825
OG0000557	Syat.g_00083	Prbf.g_01826
OG0000558	Syat.g_00081	Prbf.g_01828
OG0000559	Syat.g_00077	Prbf.g_01832
OG0000560	Syat.g_00074	Prbf.g_01835
OG0000561	Syat.g_00073	Prbf.g_01836
OG0000562	Syat.g_00072	Prbf.g_01837
OG0000563	Syat.g_00071	Prbf.g_01838
