Orthogroup	Syat	Prav
OG0000250	Syat.g_00053	Prav.g_01169
OG0000251	Syat.g_00027	Prav.g_01187
OG0000252	Syat.g_00022	Prav.g_01190
OG0000253	Syat.g_00021	Prav.g_01191
OG0000254	Syat.g_03407	Prav.g_01207
OG0000255	Syat.g_02405	Prav.g_01213
OG0000256	Syat.g_03306	Prav.g_01225
OG0000257	Syat.g_00109	Prav.g_01228
OG0000258	Syat.g_00382	Prav.g_01241
OG0000259	Syat.g_00342	Prav.g_01258
OG0000260	Syat.g_00392	Prav.g_01261
OG0000261	Syat.g_00400	Prav.g_01263
OG0000262	Syat.g_00407	Prav.g_01267
OG0000263	Syat.g_00200	Prav.g_01279
OG0000266	Syat.g_00671	Prav.g_00316
OG0000267	Syat.g_00636	Prav.g_00327
OG0000268	Syat.g_00634	Prav.g_00328
OG0000269	Syat.g_00474, Syat.g_00126	Prav.g_00392
OG0000270	Syat.g_00477	Prav.g_00395
OG0000271	Syat.g_00485	Prav.g_00403
OG0000272	Syat.g_00486	Prav.g_00404
OG0000273	Syat.g_00520	Prav.g_00427
OG0000274	Syat.g_00521	Prav.g_00428
OG0000275	Syat.g_00718	Prav.g_00430
OG0000276	Syat.g_00725	Prav.g_00435
OG0000277	Syat.g_00738	Prav.g_00436
OG0000278	Syat.g_00741	Prav.g_00439
OG0000279	Syat.g_00755	Prav.g_00446
OG0000280	Syat.g_01669	Prav.g_00447
OG0000281	Syat.g_00960	Prav.g_00452
OG0000282	Syat.g_00431	Prav.g_00501
OG0000283	Syat.g_00620	Prav.g_00533
OG0000284	Syat.g_00614	Prav.g_00538
OG0000285	Syat.g_00607	Prav.g_00543
OG0000286	Syat.g_00579	Prav.g_00555
OG0000287	Syat.g_00550	Prav.g_00572
OG0000288	Syat.g_00709	Prav.g_00906
OG0000289	Syat.g_00695	Prav.g_00917
OG0000290	Syat.g_00805	Prav.g_00930
OG0000291	Syat.g_00807	Prav.g_00932
OG0000292	Syat.g_02388	Prav.g_00261
OG0000293	Syat.g_03241	Prav.g_00056
OG0000294	Syat.g_03248	Prav.g_00057
OG0000295	Syat.g_00297	Prav.g_00077
OG0000296	Syat.g_00295	Prav.g_01867
OG0000297	Syat.g_00226	Prav.g_01859
OG0000298	Syat.g_00225	Prav.g_01858
OG0000299	Syat.g_00910	Prav.g_01841
OG0000300	Syat.g_00904	Prav.g_01838
OG0000301	Syat.g_00903	Prav.g_00955, Prav.g_01837
OG0000302	Syat.g_00901	Prav.g_01835
OG0000303	Syat.g_00892	Prav.g_01828
OG0000304	Syat.g_00885	Prav.g_01824
OG0000305	Syat.g_00809	Prav.g_01465
OG0000306	Syat.g_01704	Prav.g_01468
OG0000307	Syat.g_01304	Prav.g_01482
OG0000308	Syat.g_01306	Prav.g_01483
OG0000309	Syat.g_01417	Prav.g_01487
OG0000310	Syat.g_01246	Prav.g_01563
OG0000311	Syat.g_01242	Prav.g_01565
OG0000312	Syat.g_01237	Prav.g_01568
OG0000313	Syat.g_01183	Prav.g_01582
OG0000314	Syat.g_01341	Prav.g_01605
OG0000315	Syat.g_01351	Prav.g_01615
OG0000316	Syat.g_03082	Prav.g_01635
OG0000317	Syat.g_03120	Prav.g_01759
OG0000318	Syat.g_03125	Prav.g_01762
OG0000319	Syat.g_03055	Prav.g_01775
OG0000320	Syat.g_03053	Prav.g_01777
OG0000321	Syat.g_03052	Prav.g_01778
OG0000322	Syat.g_03051	Prav.g_01779
OG0000323	Syat.g_03038	Prav.g_01788
OG0000324	Syat.g_02998	Prav.g_01815
OG0000325	Syat.g_01861	Prav.g_00269
OG0000326	Syat.g_01854	Prav.g_00275
OG0000327	Syat.g_01827	Prav.g_00591
OG0000328	Syat.g_01826	Prav.g_00592
OG0000329	Syat.g_01808	Prav.g_00609
OG0000330	Syat.g_01807	Prav.g_00610
OG0000331	Syat.g_01806	Prav.g_00611
OG0000332	Syat.g_01790	Prav.g_00625
OG0000333	Syat.g_01787	Prav.g_00627
OG0000334	Syat.g_01657	Prav.g_00635
OG0000335	Syat.g_01652	Prav.g_00640
OG0000336	Syat.g_01648	Prav.g_00644
OG0000337	Syat.g_02144	Prav.g_00661
OG0000338	Syat.g_02146	Prav.g_00662
OG0000339	Syat.g_02155, Syat.g_01055	Prav.g_00666
OG0000340	Syat.g_02165	Prav.g_00674
OG0000341	Syat.g_02167	Prav.g_00676
OG0000342	Syat.g_02168	Prav.g_00677
OG0000343	Syat.g_02185	Prav.g_00678
OG0000344	Syat.g_02189	Prav.g_00681
OG0000345	Syat.g_02202	Prav.g_00686
OG0000346	Syat.g_02207	Prav.g_00690
OG0000347	Syat.g_02234	Prav.g_00706
OG0000348	Syat.g_02264	Prav.g_00715
OG0000349	Syat.g_02291	Prav.g_00732
OG0000350	Syat.g_01847	Prav.g_00751
OG0000351	Syat.g_02411	Prav.g_00768
OG0000352	Syat.g_02410	Prav.g_00769
OG0000353	Syat.g_00955, Syat.g_02377	Prav.g_00785
OG0000354	Syat.g_02325	Prav.g_01352
OG0000355	Syat.g_02375	Prav.g_00787
OG0000356	Syat.g_02374	Prav.g_00788
OG0000357	Syat.g_02373	Prav.g_00789
OG0000358	Syat.g_02336	Prav.g_00793
OG0000359	Syat.g_02334	Prav.g_00794
OG0000360	Syat.g_02333	Prav.g_00795
OG0000361	Syat.g_02332	Prav.g_00078
OG0000362	Syat.g_02330	Prav.g_00080
OG0000363	Syat.g_02328	Prav.g_00082
OG0000364	Syat.g_03122	Prav.g_00083
OG0000365	Syat.g_02318	Prav.g_00088
OG0000366	Syat.g_02317	Prav.g_00089
OG0000367	Syat.g_02316	Prav.g_00090
OG0000368	Syat.g_02314	Prav.g_00092
OG0000369	Syat.g_02313	Prav.g_00093
OG0000370	Syat.g_02312	Prav.g_00094
OG0000371	Syat.g_02304	Prav.g_00100
OG0000372	Syat.g_02298	Prav.g_00103
OG0000373	Syat.g_02297	Prav.g_00104
OG0000374	Syat.g_02296	Prav.g_00105
OG0000375	Syat.g_02295	Prav.g_00111
OG0000376	Syat.g_02293	Prav.g_00113
OG0000377	Syat.g_02695	Prav.g_00116
OG0000378	Syat.g_02715	Prav.g_00118
OG0000379	Syat.g_02720	Prav.g_00121
OG0000380	Syat.g_01468	Prav.g_00131
OG0000381	Syat.g_01470	Prav.g_00135
OG0000382	Syat.g_01488	Prav.g_00146
OG0000383	Syat.g_01521	Prav.g_00148
OG0000384	Syat.g_01522	Prav.g_00149
OG0000385	Syat.g_01523	Prav.g_00150
OG0000386	Syat.g_01524	Prav.g_00151
OG0000387	Syat.g_01561	Prav.g_00164
OG0000388	Syat.g_01565	Prav.g_00167
OG0000389	Syat.g_01569	Prav.g_00171
OG0000390	Syat.g_02945	Prav.g_00178
OG0000391	Syat.g_02940	Prav.g_00181
OG0000392	Syat.g_02934	Prav.g_00185
OG0000393	Syat.g_02931	Prav.g_00187
OG0000394	Syat.g_02930	Prav.g_00188
OG0000395	Syat.g_02929	Prav.g_00189
OG0000396	Syat.g_02927	Prav.g_00192
OG0000397	Syat.g_02925	Prav.g_00194
OG0000398	Syat.g_02920	Prav.g_00196
OG0000399	Syat.g_02919	Prav.g_00197
OG0000400	Syat.g_02918	Prav.g_00198
OG0000401	Syat.g_02917	Prav.g_00199
OG0000402	Syat.g_02915	Prav.g_00201
OG0000403	Syat.g_02914	Prav.g_00202
OG0000404	Syat.g_02913	Prav.g_00203
OG0000405	Syat.g_02900	Prav.g_00207
OG0000406	Syat.g_02896	Prav.g_00214
OG0000407	Syat.g_02895	Prav.g_00215
OG0000409	Syat.g_02891	Prav.g_00886
OG0000410	Syat.g_02890	Prav.g_00885
OG0000411	Syat.g_02889	Prav.g_00884
OG0000412	Syat.g_02888	Prav.g_00883
OG0000413	Syat.g_02886	Prav.g_00882
OG0000414	Syat.g_02885	Prav.g_00881
OG0000415	Syat.g_02884	Prav.g_00880
OG0000416	Syat.g_02883	Prav.g_00879
OG0000417	Syat.g_02868	Prav.g_00878
OG0000418	Syat.g_02863	Prav.g_00873
OG0000419	Syat.g_02861	Prav.g_00871
OG0000420	Syat.g_02859	Prav.g_00870
OG0000421	Syat.g_02855	Prav.g_00865
OG0000422	Syat.g_02854	Prav.g_00864
OG0000423	Syat.g_02853	Prav.g_00863
OG0000424	Syat.g_02852	Prav.g_00862
OG0000425	Syat.g_02851	Prav.g_00861
OG0000426	Syat.g_02850	Prav.g_00860
OG0000427	Syat.g_02849	Prav.g_00859
OG0000428	Syat.g_02846	Prav.g_00857
OG0000429	Syat.g_02843	Prav.g_00856
OG0000430	Syat.g_02841	Prav.g_00855
OG0000431	Syat.g_02838	Prav.g_00853
OG0000432	Syat.g_02832	Prav.g_00850
OG0000433	Syat.g_02829	Prav.g_00849
OG0000434	Syat.g_02828	Prav.g_00848
OG0000435	Syat.g_02824	Prav.g_00847
OG0000436	Syat.g_02817	Prav.g_00842
OG0000437	Syat.g_02558	Prav.g_00841
OG0000438	Syat.g_02813	Prav.g_00840
OG0000439	Syat.g_02811	Prav.g_00838
OG0000440	Syat.g_02810	Prav.g_00837
OG0000441	Syat.g_02807	Prav.g_00834
OG0000442	Syat.g_02797	Prav.g_00833
OG0000443	Syat.g_02787	Prav.g_00832
OG0000444	Syat.g_02756	Prav.g_00827
OG0000445	Syat.g_02755	Prav.g_00826
OG0000446	Syat.g_02753	Prav.g_00825
OG0000447	Syat.g_02749	Prav.g_00824
OG0000448	Syat.g_02748	Prav.g_00823
OG0000449	Syat.g_02747	Prav.g_00822
OG0000450	Syat.g_02738	Prav.g_00821
OG0000451	Syat.g_02737	Prav.g_00820
OG0000452	Syat.g_02732	Prav.g_00817
OG0000453	Syat.g_02731	Prav.g_00816
OG0000454	Syat.g_02730	Prav.g_00815
OG0000455	Syat.g_02729	Prav.g_00814
OG0000456	Syat.g_02728	Prav.g_00813
OG0000457	Syat.g_02726	Prav.g_00812
OG0000458	Syat.g_02725	Prav.g_00811
OG0000459	Syat.g_02724	Prav.g_00810
OG0000460	Syat.g_01450	Prav.g_00803
OG0000461	Syat.g_01866	Prav.g_01889
OG0000462	Syat.g_01868	Prav.g_01891
OG0000463	Syat.g_01869	Prav.g_01892
OG0000464	Syat.g_01870	Prav.g_01893
OG0000465	Syat.g_01872	Prav.g_01894
OG0000466	Syat.g_01877	Prav.g_01897
OG0000467	Syat.g_01878	Prav.g_01898
OG0000468	Syat.g_01884	Prav.g_01900
OG0000469	Syat.g_02000	Prav.g_01909
OG0000470	Syat.g_02038	Prav.g_01911
OG0000471	Syat.g_02039	Prav.g_01912
OG0000472	Syat.g_02041	Prav.g_01913
OG0000473	Syat.g_02043	Prav.g_01915
OG0000474	Syat.g_02044	Prav.g_01916
OG0000475	Syat.g_02045	Prav.g_01917
OG0000476	Syat.g_02047	Prav.g_01918
OG0000477	Syat.g_02053	Prav.g_01921
OG0000478	Syat.g_02054	Prav.g_01922
OG0000479	Syat.g_02056	Prav.g_01923
OG0000480	Syat.g_02063	Prav.g_01928
OG0000481	Syat.g_02066	Prav.g_01930
OG0000482	Syat.g_02067	Prav.g_01931
OG0000483	Syat.g_02071	Prav.g_01934
OG0000484	Syat.g_02072	Prav.g_01935
OG0000485	Syat.g_02073	Prav.g_01936
OG0000486	Syat.g_02074	Prav.g_01937
OG0000487	Syat.g_02080	Prav.g_01941
OG0000488	Syat.g_02086	Prav.g_01944
OG0000489	Syat.g_02097	Prav.g_01949
OG0000490	Syat.g_02106	Prav.g_01954
OG0000491	Syat.g_02107	Prav.g_01955
OG0000492	Syat.g_02110	Prav.g_01957
OG0000493	Syat.g_02111	Prav.g_01958
OG0000494	Syat.g_02112	Prav.g_01959
OG0000495	Syat.g_02120	Prav.g_01960
OG0000496	Syat.g_02121	Prav.g_01961
OG0000497	Syat.g_02122	Prav.g_01962
OG0000498	Syat.g_02123	Prav.g_01963
OG0000499	Syat.g_02124	Prav.g_01964
OG0000500	Syat.g_02125	Prav.g_01965
OG0000501	Syat.g_02128	Prav.g_01967
OG0000502	Syat.g_02135	Prav.g_01970
OG0000503	Syat.g_01614	Prav.g_01980
OG0000504	Syat.g_01612	Prav.g_01981
OG0000505	Syat.g_01611	Prav.g_01982
OG0000506	Syat.g_01609	Prav.g_01984
OG0000507	Syat.g_01603	Prav.g_01987
OG0000508	Syat.g_01596	Prav.g_01991
OG0000509	Syat.g_01591	Prav.g_01993
OG0000510	Syat.g_01590	Prav.g_01994
OG0000511	Syat.g_01589	Prav.g_01995
OG0000512	Syat.g_01587	Prav.g_01997
OG0000513	Syat.g_02957	Prav.g_00977
OG0000514	Syat.g_02962	Prav.g_01030
OG0000515	Syat.g_02963	Prav.g_01031
OG0000516	Syat.g_02965	Prav.g_01032
OG0000517	Syat.g_02969	Prav.g_01034
OG0000518	Syat.g_01286	Prav.g_01045
OG0000519	Syat.g_01285	Prav.g_01046
OG0000520	Syat.g_01284	Prav.g_01047
OG0000521	Syat.g_01319	Prav.g_01052
OG0000522	Syat.g_01317	Prav.g_01053
OG0000523	Syat.g_01316	Prav.g_01054
OG0000524	Syat.g_01409	Prav.g_01059
OG0000525	Syat.g_01382	Prav.g_01062
OG0000526	Syat.g_01380	Prav.g_01063
OG0000527	Syat.g_01373	Prav.g_01071
OG0000528	Syat.g_03167	Prav.g_01076
OG0000529	Syat.g_03171	Prav.g_01079
OG0000530	Syat.g_03174	Prav.g_01082
OG0000531	Syat.g_03175	Prav.g_01083
OG0000532	Syat.g_03178	Prav.g_01085
OG0000533	Syat.g_03180	Prav.g_01086
OG0000534	Syat.g_03181	Prav.g_01087
OG0000535	Syat.g_03182	Prav.g_01088
OG0000536	Syat.g_03183	Prav.g_01089
OG0000537	Syat.g_03185	Prav.g_01090
OG0000538	Syat.g_03204	Prav.g_01098
OG0000539	Syat.g_03206	Prav.g_01099
OG0000540	Syat.g_03207	Prav.g_01100
OG0000541	Syat.g_03208	Prav.g_01101
OG0000542	Syat.g_03213	Prav.g_01103
OG0000543	Syat.g_03215	Prav.g_01105
OG0000544	Syat.g_03216	Prav.g_01106
OG0000545	Syat.g_03218	Prav.g_01108
OG0000546	Syat.g_03220	Prav.g_01111
OG0000547	Syat.g_03222	Prav.g_01113
OG0000548	Syat.g_03223	Prav.g_01114
OG0000549	Syat.g_01795	Prav.g_01116
OG0000550	Syat.g_01107	Prav.g_01121
OG0000551	Syat.g_01103	Prav.g_01125
OG0000552	Syat.g_01102	Prav.g_01126
OG0000553	Syat.g_01098	Prav.g_01127
OG0000554	Syat.g_03271	Prav.g_01132
OG0000555	Syat.g_00093	Prav.g_01140
OG0000556	Syat.g_00088	Prav.g_01142
OG0000557	Syat.g_00083	Prav.g_01143
OG0000558	Syat.g_00081	Prav.g_01145
OG0000559	Syat.g_00077	Prav.g_01149
OG0000560	Syat.g_00074	Prav.g_01152
OG0000561	Syat.g_00073	Prav.g_01153
OG0000562	Syat.g_00072	Prav.g_01154
OG0000563	Syat.g_00071	Prav.g_01155
OG0000564	Syat.g_00070	Prav.g_01156
OG0000565	Syat.g_00067	Prav.g_01159
OG0000566	Syat.g_00063	Prav.g_01161
OG0000567	Syat.g_00059	Prav.g_01165
OG0000568	Syat.g_00057	Prav.g_01166
OG0000569	Syat.g_00056	Prav.g_01167
OG0000570	Syat.g_00055	Prav.g_01168
OG0000571	Syat.g_00052	Prav.g_01170
OG0000572	Syat.g_00033	Prav.g_01183
OG0000573	Syat.g_00024	Prav.g_01188
OG0000574	Syat.g_00023	Prav.g_01189
OG0000575	Syat.g_00018	Prav.g_01193
OG0000576	Syat.g_00014	Prav.g_01195
OG0000577	Syat.g_00013	Prav.g_01196
OG0000578	Syat.g_00012	Prav.g_01197
OG0000579	Syat.g_00011	Prav.g_01198
OG0000580	Syat.g_00010	Prav.g_01199
OG0000581	Syat.g_00003	Prav.g_01201
OG0000582	Syat.g_03403	Prav.g_01204
OG0000583	Syat.g_03404	Prav.g_01205
OG0000584	Syat.g_03405	Prav.g_01206
OG0000585	Syat.g_03408	Prav.g_01208
OG0000586	Syat.g_03409	Prav.g_01209
OG0000587	Syat.g_00001	Prav.g_01210
OG0000588	Syat.g_00338	Prav.g_01214
OG0000589	Syat.g_03318	Prav.g_01219
OG0000590	Syat.g_03317	Prav.g_01220
OG0000591	Syat.g_03308	Prav.g_01223
