Orthogroup	Praz	Syap
OG0000146	Praz.g_01546	Syap.g_02024
OG0000147	Praz.g_01545	Syap.g_02025
OG0000148	Praz.g_01496	Syap.g_02720
OG0000149	Praz.g_01465	Syap.g_00824
OG0000150	Praz.g_01457	Syap.g_01540
OG0000151	Praz.g_01398	Syap.g_00142
OG0000152	Praz.g_01350	Syap.g_02012
OG0000153	Praz.g_01331	Syap.g_02682
OG0000154	Praz.g_01303	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Praz.g_00734	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Praz.g_01191	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Praz.g_01190	Syap.g_00249, Syap.g_00286
OG0000158	Praz.g_01097	Syap.g_01075
OG0000159	Praz.g_01095	Syap.g_00700
OG0000160	Praz.g_01040	Syap.g_02470, Syap.g_02469
OG0000161	Praz.g_01034	Syap.g_02476
OG0000162	Praz.g_01028	Syap.g_02531
OG0000164	Praz.g_00853	Syap.g_01391, Syap.g_01392
OG0000165	Praz.g_00846	Syap.g_01381, Syap.g_01382
OG0000166	Praz.g_00299	Syap.g_00512, Syap.g_01238
OG0000167	Praz.g_00232	Syap.g_02080
OG0000168	Praz.g_00222	Syap.g_01076
OG0000169	Praz.g_00212	Syap.g_01049, Syap.g_01093
OG0000170	Praz.g_00210	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Praz.g_00190	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Praz.g_00181	Syap.g_01143, Syap.g_00635
OG0000173	Praz.g_00166	Syap.g_01213, Syap.g_00982, Syap.g_00983
OG0000174	Praz.g_00138	Syap.g_02092
OG0000175	Praz.g_00128	Syap.g_02654
OG0000176	Praz.g_00369	Syap.g_00059
OG0000177	Praz.g_00370	Syap.g_00061, Syap.g_00060
OG0000178	Praz.g_00371	Syap.g_00062
OG0000179	Praz.g_00381	Syap.g_00077, Syap.g_02638
OG0000180	Praz.g_00382	Syap.g_00078, Syap.g_02640
OG0000181	Praz.g_00383	Syap.g_00079, Syap.g_02641
OG0000182	Praz.g_00384	Syap.g_00080, Syap.g_02642
OG0000183	Praz.g_00388	Syap.g_00084
OG0000184	Praz.g_00412	Syap.g_01337
OG0000185	Praz.g_00415	Syap.g_01322
OG0000186	Praz.g_00424	Syap.g_01684
OG0000187	Praz.g_00425	Syap.g_01686
OG0000188	Praz.g_00442	Syap.g_02547
OG0000191	Praz.g_00477	Syap.g_02233
OG0000192	Praz.g_00481	Syap.g_02224
OG0000193	Praz.g_00506	Syap.g_02187, Syap.g_02188
OG0000194	Praz.g_00509	Syap.g_02183
OG0000195	Praz.g_00511	Syap.g_02180
OG0000196	Praz.g_00521	Syap.g_01208, Syap.g_02167
OG0000197	Praz.g_00522	Syap.g_01207, Syap.g_02166
OG0000198	Praz.g_00523	Syap.g_01206
OG0000199	Praz.g_00530	Syap.g_01197
OG0000200	Praz.g_00544	Syap.g_01181
OG0000201	Praz.g_00552	Syap.g_02265
OG0000202	Praz.g_00553	Syap.g_02264
OG0000203	Praz.g_00554	Syap.g_01601
OG0000204	Praz.g_00555	Syap.g_01602
OG0000205	Praz.g_00562	Syap.g_01616
OG0000206	Praz.g_00567	Syap.g_01628
OG0000207	Praz.g_00569	Syap.g_01426, Syap.g_00424
OG0000208	Praz.g_00570	Syap.g_00426, Syap.g_01425
OG0000209	Praz.g_00579	Syap.g_01906
OG0000210	Praz.g_00580	Syap.g_01905
OG0000211	Praz.g_00593	Syap.g_01160
OG0000212	Praz.g_00600	Syap.g_02664
OG0000213	Praz.g_00617	Syap.g_00107, Syap.g_01599
OG0000214	Praz.g_00626	Syap.g_02344, Syap.g_02345
OG0000215	Praz.g_00650	Syap.g_01347, Syap.g_01629
OG0000216	Praz.g_00651	Syap.g_01634
OG0000217	Praz.g_00654	Syap.g_01638
OG0000218	Praz.g_00656	Syap.g_01641, Syap.g_01640
OG0000219	Praz.g_00657	Syap.g_01642, Syap.g_01643
OG0000220	Praz.g_00658	Syap.g_01645
OG0000221	Praz.g_00659	Syap.g_01646
OG0000222	Praz.g_00667	Syap.g_01669
OG0000223	Praz.g_00680	Syap.g_02072, Syap.g_02073
OG0000224	Praz.g_00682	Syap.g_02064
OG0000225	Praz.g_00348	Syap.g_00553, Syap.g_00552
OG0000226	Praz.g_00352	Syap.g_02029, Syap.g_02144
OG0000227	Praz.g_00354	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Praz.g_00819	Syap.g_00116, Syap.g_02041
OG0000229	Praz.g_01892	Syap.g_02059
OG0000230	Praz.g_01890	Syap.g_02061
OG0000231	Praz.g_01879	Syap.g_02533
OG0000232	Praz.g_01870	Syap.g_02510, Syap.g_02511
OG0000233	Praz.g_01865	Syap.g_02133
OG0000234	Praz.g_01852	Syap.g_02755
OG0000235	Praz.g_01849	Syap.g_00732, Syap.g_02258
OG0000236	Praz.g_01835	Syap.g_02238
OG0000237	Praz.g_01822	Syap.g_00262, Syap.g_00263
OG0000238	Praz.g_01816	Syap.g_00257, Syap.g_00258
OG0000239	Praz.g_01803	Syap.g_02744
OG0000240	Praz.g_01802	Syap.g_02742
OG0000241	Praz.g_01798	Syap.g_00888
OG0000242	Praz.g_01796	Syap.g_01455
OG0000243	Praz.g_01785	Syap.g_01938
OG0000244	Praz.g_01782	Syap.g_01146, Syap.g_01145
OG0000245	Praz.g_01780	Syap.g_01148
OG0000246	Praz.g_01776	Syap.g_00308
OG0000247	Praz.g_01766	Syap.g_00288, Syap.g_00293
OG0000248	Praz.g_01764	Syap.g_00290
OG0000249	Praz.g_01762	Syap.g_01296, Syap.g_01295
OG0000250	Praz.g_01757	Syap.g_01306
OG0000251	Praz.g_01739	Syap.g_00442
OG0000252	Praz.g_01736	Syap.g_01857
OG0000253	Praz.g_01735	Syap.g_00443
OG0000254	Praz.g_01719	Syap.g_01527, Syap.g_01528
OG0000256	Praz.g_01703	Syap.g_01287
OG0000257	Praz.g_01700	Syap.g_00886
OG0000258	Praz.g_01687	Syap.g_00907
OG0000260	Praz.g_01667	Syap.g_01970
OG0000261	Praz.g_01665	Syap.g_01962, Syap.g_01961
OG0000262	Praz.g_01661	Syap.g_01954
OG0000263	Praz.g_01649	Syap.g_00432, Syap.g_00433
OG0000266	Praz.g_01597	Syap.g_00519
OG0000267	Praz.g_01586	Syap.g_02333, Syap.g_02332
OG0000268	Praz.g_01585	Syap.g_00646
OG0000269	Praz.g_01517	Syap.g_00188
OG0000270	Praz.g_01514	Syap.g_00192
OG0000271	Praz.g_01506	Syap.g_00200, Syap.g_00201
OG0000272	Praz.g_01505	Syap.g_00202
OG0000273	Praz.g_01482	Syap.g_02703
OG0000274	Praz.g_01481	Syap.g_02702
OG0000275	Praz.g_01478	Syap.g_01847
OG0000276	Praz.g_01473	Syap.g_01839, Syap.g_01838
OG0000277	Praz.g_01472	Syap.g_01837
OG0000278	Praz.g_01469	Syap.g_01834
OG0000279	Praz.g_01462	Syap.g_00829, Syap.g_00830
OG0000280	Praz.g_01461	Syap.g_00365
OG0000281	Praz.g_01456	Syap.g_01977
OG0000282	Praz.g_01406	Syap.g_01252
OG0000283	Praz.g_01373	Syap.g_01728
OG0000284	Praz.g_01368	Syap.g_01736
OG0000285	Praz.g_01363	Syap.g_01746, Syap.g_01744
OG0000286	Praz.g_01351	Syap.g_02014, Syap.g_02013
OG0000288	Praz.g_01304	Syap.g_02764, Syap.g_02763
OG0000289	Praz.g_01292	Syap.g_02784
OG0000290	Praz.g_01279, Praz.g_00063	Syap.g_01552
OG0000291	Praz.g_00065	Syap.g_01554
OG0000292	Praz.g_00114	Syap.g_02314
OG0000293	Praz.g_00001	Syap.g_00240
OG0000294	Praz.g_00763	Syap.g_00239
OG0000295	Praz.g_00742	Syap.g_00206
OG0000296	Praz.g_00740	Syap.g_00204
OG0000297	Praz.g_00732	Syap.g_01887
OG0000298	Praz.g_00731	Syap.g_01888
OG0000299	Praz.g_00714	Syap.g_02620
OG0000302	Praz.g_00708	Syap.g_02444, Syap.g_02445
OG0000303	Praz.g_00701	Syap.g_02435
OG0000304	Praz.g_00697	Syap.g_02430
OG0000305	Praz.g_01147	Syap.g_01557
OG0000306	Praz.g_01144	Syap.g_01966
OG0000307	Praz.g_01130	Syap.g_02517
OG0000308	Praz.g_01129	Syap.g_02514, Syap.g_02515
OG0000309	Praz.g_01125	Syap.g_02198, Syap.g_02446
OG0000310	Praz.g_01056	Syap.g_02660, Syap.g_02661
OG0000311	Praz.g_01054	Syap.g_02657
OG0000312	Praz.g_01051	Syap.g_02114
OG0000313	Praz.g_01037	Syap.g_02473
OG0000314	Praz.g_01014	Syap.g_00007
OG0000315	Praz.g_01004	Syap.g_00017
OG0000316	Praz.g_00984	Syap.g_00030
OG0000317	Praz.g_00879	Syap.g_00618
OG0000318	Praz.g_00876	Syap.g_00622, Syap.g_02786
OG0000319	Praz.g_00863	Syap.g_01764, Syap.g_01771
OG0000320	Praz.g_00861	Syap.g_01761, Syap.g_01769
OG0000321	Praz.g_00860	Syap.g_01760, Syap.g_01768
OG0000322	Praz.g_00859	Syap.g_01759, Syap.g_01767
OG0000323	Praz.g_00850	Syap.g_01389
OG0000324	Praz.g_00824	Syap.g_01503
OG0000325	Praz.g_00334	Syap.g_02680
OG0000326	Praz.g_00328	Syap.g_00544
OG0000327	Praz.g_00304	Syap.g_01233, Syap.g_01913
OG0000328	Praz.g_00303	Syap.g_01234, Syap.g_01912
OG0000329	Praz.g_00286	Syap.g_00498
OG0000330	Praz.g_00285	Syap.g_00497
OG0000331	Praz.g_00284	Syap.g_00496
OG0000332	Praz.g_00270	Syap.g_00481
OG0000333	Praz.g_00268	Syap.g_00478
OG0000334	Praz.g_00260	Syap.g_00468
OG0000335	Praz.g_00255	Syap.g_00101, Syap.g_00463
OG0000336	Praz.g_00251	Syap.g_00417, Syap.g_00607
OG0000337	Praz.g_00234	Syap.g_01054
OG0000338	Praz.g_00233	Syap.g_01059
OG0000339	Praz.g_00229	Syap.g_01068
OG0000340	Praz.g_00221	Syap.g_01077
OG0000341	Praz.g_00219	Syap.g_01079
OG0000342	Praz.g_00218	Syap.g_01080, Syap.g_02477
OG0000343	Praz.g_00217	Syap.g_01086, Syap.g_02078
OG0000344	Praz.g_00214	Syap.g_01091
OG0000345	Praz.g_00209	Syap.g_01107, Syap.g_01470
OG0000346	Praz.g_00204	Syap.g_02423, Syap.g_01113
OG0000347	Praz.g_00188	Syap.g_01131, Syap.g_02459
OG0000348	Praz.g_00178	Syap.g_00632
OG0000349	Praz.g_00161	Syap.g_00110, Syap.g_01813
OG0000351	Praz.g_00125	Syap.g_02594
OG0000352	Praz.g_00124	Syap.g_02596, Syap.g_02597
OG0000353	Praz.g_00364	Syap.g_00054
OG0000355	Praz.g_00366	Syap.g_00056
OG0000356	Praz.g_00367	Syap.g_00057
OG0000357	Praz.g_00368	Syap.g_00058
OG0000358	Praz.g_00372	Syap.g_00063
OG0000359	Praz.g_00373	Syap.g_00065
OG0000360	Praz.g_00374	Syap.g_00067
OG0000361	Praz.g_00375	Syap.g_00068
OG0000362	Praz.g_00377	Syap.g_00070
OG0000363	Praz.g_00379	Syap.g_00072
OG0000364	Praz.g_00380	Syap.g_00620
OG0000365	Praz.g_00385	Syap.g_00081
OG0000366	Praz.g_00386	Syap.g_00082
OG0000367	Praz.g_00387	Syap.g_00083
OG0000368	Praz.g_00389	Syap.g_00085
OG0000369	Praz.g_00390	Syap.g_00086
OG0000370	Praz.g_00391	Syap.g_00087
OG0000372	Praz.g_00400	Syap.g_01805
OG0000373	Praz.g_00401	Syap.g_01806
OG0000374	Praz.g_00402	Syap.g_01807
OG0000375	Praz.g_00406	Syap.g_01808
OG0000376	Praz.g_00408	Syap.g_01811
OG0000377	Praz.g_00411	Syap.g_00128
OG0000378	Praz.g_00413	Syap.g_01326
OG0000380	Praz.g_00426	Syap.g_01687
OG0000381	Praz.g_00430	Syap.g_01690
OG0000382	Praz.g_00441	Syap.g_02548
OG0000383	Praz.g_00443	Syap.g_02359
OG0000384	Praz.g_00444	Syap.g_02360
OG0000385	Praz.g_00445	Syap.g_02361
OG0000386	Praz.g_00446	Syap.g_02362
OG0000387	Praz.g_00459	Syap.g_01864
OG0000391	Praz.g_00476	Syap.g_02234
OG0000392	Praz.g_00480	Syap.g_02225
OG0000393	Praz.g_00482	Syap.g_02222
OG0000394	Praz.g_00483	Syap.g_02221
OG0000395	Praz.g_00484	Syap.g_02220
OG0000396	Praz.g_00487	Syap.g_02217
OG0000397	Praz.g_00489	Syap.g_02215
OG0000398	Praz.g_00491	Syap.g_02211
OG0000399	Praz.g_00492	Syap.g_02210
OG0000400	Praz.g_00493	Syap.g_02209
OG0000401	Praz.g_00494	Syap.g_02208
OG0000402	Praz.g_00496	Syap.g_02206
OG0000403	Praz.g_00497	Syap.g_02205
OG0000404	Praz.g_00498	Syap.g_02204, Syap.g_02618
OG0000405	Praz.g_00502	Syap.g_02191
OG0000406	Praz.g_00507	Syap.g_02186
OG0000407	Praz.g_00508	Syap.g_02185
OG0000408	Praz.g_00510	Syap.g_02181, Syap.g_02182
OG0000409	Praz.g_00512	Syap.g_02179
OG0000410	Praz.g_00513	Syap.g_02178
OG0000411	Praz.g_00514	Syap.g_02177
OG0000412	Praz.g_00515	Syap.g_02176
OG0000413	Praz.g_00516	Syap.g_02174
OG0000414	Praz.g_00517	Syap.g_02173
OG0000415	Praz.g_00518	Syap.g_02172
OG0000416	Praz.g_00519	Syap.g_02171
OG0000417	Praz.g_00520	Syap.g_02169
OG0000418	Praz.g_00525	Syap.g_01204
OG0000419	Praz.g_00527	Syap.g_01201
OG0000420	Praz.g_00528	Syap.g_01199
OG0000421	Praz.g_00533	Syap.g_01195
OG0000422	Praz.g_00534	Syap.g_01194
OG0000423	Praz.g_00535	Syap.g_01193
OG0000424	Praz.g_00536	Syap.g_01192
OG0000425	Praz.g_00537	Syap.g_01191
OG0000426	Praz.g_00538	Syap.g_01190
OG0000427	Praz.g_00539	Syap.g_01189
OG0000428	Praz.g_00541	Syap.g_01186
OG0000429	Praz.g_00542	Syap.g_01184
OG0000430	Praz.g_00543	Syap.g_01182
OG0000431	Praz.g_00545	Syap.g_01179
OG0000432	Praz.g_00548	Syap.g_02277
OG0000433	Praz.g_00549	Syap.g_02272
OG0000434	Praz.g_00550	Syap.g_02271
OG0000435	Praz.g_00551	Syap.g_02268
OG0000436	Praz.g_00556	Syap.g_01607
OG0000437	Praz.g_00557	Syap.g_01608
OG0000438	Praz.g_00558	Syap.g_01612
OG0000439	Praz.g_00560	Syap.g_01614
OG0000440	Praz.g_00561	Syap.g_01615
OG0000441	Praz.g_00564	Syap.g_01619
OG0000442	Praz.g_00565	Syap.g_01620
OG0000443	Praz.g_00566	Syap.g_01622
OG0000444	Praz.g_00571	Syap.g_01424
OG0000445	Praz.g_00572	Syap.g_01421
OG0000446	Praz.g_00573	Syap.g_01419
OG0000447	Praz.g_00574	Syap.g_01410
OG0000448	Praz.g_00575	Syap.g_01407
OG0000449	Praz.g_00576	Syap.g_01406
OG0000450	Praz.g_00577	Syap.g_01909
OG0000451	Praz.g_00578	Syap.g_01908
OG0000452	Praz.g_00581	Syap.g_01904
OG0000453	Praz.g_00582	Syap.g_01903
OG0000454	Praz.g_00583	Syap.g_01902
OG0000455	Praz.g_00584	Syap.g_01901
OG0000456	Praz.g_00585	Syap.g_01900
OG0000457	Praz.g_00586	Syap.g_01896
OG0000458	Praz.g_00587	Syap.g_01895
OG0000459	Praz.g_00588	Syap.g_01894
OG0000460	Praz.g_00595	Syap.g_01159
OG0000461	Praz.g_00602	Syap.g_01575
OG0000462	Praz.g_00604	Syap.g_01578
OG0000463	Praz.g_00605	Syap.g_01579
OG0000464	Praz.g_00606	Syap.g_01580
OG0000465	Praz.g_00607	Syap.g_01582
OG0000466	Praz.g_00610	Syap.g_01587
OG0000467	Praz.g_00611	Syap.g_01588
OG0000468	Praz.g_00613	Syap.g_01593
OG0000469	Praz.g_00621	Syap.g_02352
OG0000470	Praz.g_00623	Syap.g_02349
OG0000471	Praz.g_00624	Syap.g_02348
OG0000472	Praz.g_00625	Syap.g_02347
OG0000473	Praz.g_00627	Syap.g_02343
OG0000474	Praz.g_00628	Syap.g_02342
OG0000475	Praz.g_00629	Syap.g_02341
OG0000476	Praz.g_00630	Syap.g_02339
OG0000477	Praz.g_00633	Syap.g_01367
OG0000478	Praz.g_00634	Syap.g_01366
OG0000479	Praz.g_00635	Syap.g_01364
OG0000480	Praz.g_00640	Syap.g_01357
OG0000482	Praz.g_00643	Syap.g_01355
OG0000483	Praz.g_00646	Syap.g_01344
OG0000484	Praz.g_00647	Syap.g_01350
OG0000485	Praz.g_00648	Syap.g_01349
OG0000487	Praz.g_00652	Syap.g_01635
OG0000488	Praz.g_00655	Syap.g_01639
OG0000489	Praz.g_00660	Syap.g_02482
OG0000490	Praz.g_00665	Syap.g_01673
OG0000491	Praz.g_00666	Syap.g_01670
OG0000492	Praz.g_00668	Syap.g_01668
OG0000493	Praz.g_00669	Syap.g_01667
OG0000494	Praz.g_00670	Syap.g_01666
OG0000495	Praz.g_00671	Syap.g_01665
OG0000496	Praz.g_00672	Syap.g_01663
OG0000497	Praz.g_00673	Syap.g_01662
OG0000498	Praz.g_00674	Syap.g_01661
OG0000499	Praz.g_00675	Syap.g_01660
OG0000500	Praz.g_00676	Syap.g_01659
OG0000501	Praz.g_00678	Syap.g_01656
OG0000502	Praz.g_00681	Syap.g_02066
OG0000503	Praz.g_01931	Syap.g_00569
OG0000504	Praz.g_01932	Syap.g_00567
OG0000505	Praz.g_01933	Syap.g_00566
OG0000506	Praz.g_01935	Syap.g_00564
OG0000507	Praz.g_00343	Syap.g_00558
OG0000508	Praz.g_00347	Syap.g_00554
OG0000509	Praz.g_00349	Syap.g_00551
OG0000510	Praz.g_00350	Syap.g_00550
OG0000511	Praz.g_00351	Syap.g_00548
OG0000512	Praz.g_00353	Syap.g_02145
OG0000513	Praz.g_00816	Syap.g_02048
OG0000514	Praz.g_01897	Syap.g_02051
OG0000515	Praz.g_01896	Syap.g_02052
OG0000516	Praz.g_01895	Syap.g_02054
OG0000517	Praz.g_01893	Syap.g_02057
OG0000519	Praz.g_01881	Syap.g_00457
OG0000520	Praz.g_01880	Syap.g_00456
OG0000521	Praz.g_01875	Syap.g_01997
OG0000522	Praz.g_01873	Syap.g_01995
OG0000523	Praz.g_01872	Syap.g_02507
OG0000524	Praz.g_01867	Syap.g_02135
OG0000525	Praz.g_01864	Syap.g_02159
OG0000526	Praz.g_01863	Syap.g_02157
OG0000527	Praz.g_01855	Syap.g_02758
OG0000528	Praz.g_01850	Syap.g_02261
OG0000529	Praz.g_01847	Syap.g_02254
OG0000530	Praz.g_01844	Syap.g_02252
OG0000531	Praz.g_01843	Syap.g_02251
OG0000532	Praz.g_01841	Syap.g_02247
OG0000533	Praz.g_01840	Syap.g_02244
OG0000534	Praz.g_01839	Syap.g_02243
OG0000535	Praz.g_01838	Syap.g_02242
OG0000536	Praz.g_01837	Syap.g_02241
OG0000537	Praz.g_01836	Syap.g_02240
OG0000538	Praz.g_01828	Syap.g_00271
OG0000539	Praz.g_01827	Syap.g_00270
OG0000540	Praz.g_01826	Syap.g_00269
OG0000541	Praz.g_01825	Syap.g_00268
OG0000542	Praz.g_01823	Syap.g_00264
OG0000543	Praz.g_01821	Syap.g_00261
OG0000544	Praz.g_01820	Syap.g_00260
OG0000545	Praz.g_01818	Syap.g_00259
OG0000546	Praz.g_01815	Syap.g_00256
OG0000547	Praz.g_01813	Syap.g_00254
OG0000548	Praz.g_01812	Syap.g_00253
OG0000549	Praz.g_01810	Syap.g_00758
OG0000550	Praz.g_01805	Syap.g_02747
OG0000551	Praz.g_01801	Syap.g_02739
OG0000552	Praz.g_01800	Syap.g_02738
OG0000553	Praz.g_01799	Syap.g_02735
OG0000554	Praz.g_01794	Syap.g_01450
OG0000555	Praz.g_01786	Syap.g_01941
OG0000556	Praz.g_01784	Syap.g_01933
OG0000557	Praz.g_01783	Syap.g_01931
OG0000558	Praz.g_01781	Syap.g_01147
OG0000560	Praz.g_01774	Syap.g_00305
OG0000561	Praz.g_01773	Syap.g_00304
OG0000562	Praz.g_01772	Syap.g_00302
OG0000563	Praz.g_01771	Syap.g_00301
OG0000564	Praz.g_01770	Syap.g_00300
OG0000565	Praz.g_01767	Syap.g_00296
OG0000566	Praz.g_01765	Syap.g_00291
OG0000567	Praz.g_01761	Syap.g_01297
OG0000568	Praz.g_01760	Syap.g_01302
OG0000569	Praz.g_01759	Syap.g_01303
OG0000570	Praz.g_01758	Syap.g_01304
OG0000571	Praz.g_01756	Syap.g_01307
OG0000573	Praz.g_01738	Syap.g_00765
OG0000574	Praz.g_01737	Syap.g_00759
OG0000575	Praz.g_01733	Syap.g_00445
OG0000576	Praz.g_01731	Syap.g_00450
OG0000577	Praz.g_01730	Syap.g_00451
OG0000578	Praz.g_01729	Syap.g_00452
OG0000579	Praz.g_01728	Syap.g_00453
OG0000580	Praz.g_01727	Syap.g_00454
OG0000581	Praz.g_01725	Syap.g_01521
OG0000582	Praz.g_01722	Syap.g_01533
OG0000583	Praz.g_01721	Syap.g_01532
OG0000584	Praz.g_01720	Syap.g_01530
OG0000585	Praz.g_01718	Syap.g_01526
