Orthogroup	Pram	Syas
OG0000120	Pram.g_01446	Syas.g_01828
OG0000121	Pram.g_01376	Syas.g_02821
OG0000122	Pram.g_01204, Pram.g_01334	Syas.g_00393
OG0000123	Pram.g_01777	Syas.g_01582
OG0000124	Pram.g_01850	Syas.g_02137
OG0000125	Pram.g_01886	Syas.g_01889
OG0000126	Pram.g_01933	Syas.g_01992
OG0000127	Pram.g_00611	Syas.g_02540
OG0000128	Pram.g_01949	Syas.g_02046
OG0000129	Pram.g_00029	Syas.g_01880
OG0000130	Pram.g_00054	Syas.g_02522
OG0000131	Pram.g_00130	Syas.g_02367
OG0000132	Pram.g_00149	Syas.g_02334
OG0000133	Pram.g_00310	Syas.g_00457
OG0000134	Pram.g_00354	Syas.g_01509
OG0000135	Pram.g_01589	Syas.g_01938
OG0000136	Pram.g_00376	Syas.g_02740
OG0000137	Pram.g_00411	Syas.g_01333
OG0000138	Pram.g_00431	Syas.g_01235
OG0000139	Pram.g_00475	Syas.g_00069
OG0000140	Pram.g_00476	Syas.g_00090
OG0000141	Pram.g_00545	Syas.g_00875
OG0000142	Pram.g_01075	Syas.g_00746
OG0000143	Pram.g_01072	Syas.g_00742
OG0000144	Pram.g_01058	Syas.g_00718
OG0000145	Pram.g_01534	Syas.g_00948
OG0000146	Pram.g_00934	Syas.g_00451
OG0000147	Pram.g_00933	Syas.g_00450
OG0000148	Pram.g_00826	Syas.g_00577
OG0000149	Pram.g_00858	Syas.g_00282
OG0000150	Pram.g_00868	Syas.g_00874
OG0000151	Pram.g_00744	Syas.g_00148, Syas.g_00659
OG0000152	Pram.g_00943	Syas.g_00461
OG0000153	Pram.g_00961	Syas.g_00543
OG0000154	Pram.g_00978	Syas.g_00219
OG0000155	Pram.g_01118	Syas.g_01131
OG0000156	Pram.g_01219	Syas.g_01206
OG0000157	Pram.g_01220	Syas.g_01207
OG0000158	Pram.g_01815	Syas.g_02185
OG0000159	Pram.g_00045	Syas.g_01155
OG0000160	Pram.g_01377	Syas.g_02820
OG0000161	Pram.g_01145, Pram.g_01371	Syas.g_02826
OG0000162	Pram.g_01365	Syas.g_02751
OG0000163	Pram.g_01326	Syas.g_01488
OG0000164	Pram.g_01656	Syas.g_02648
OG0000165	Pram.g_01664	Syas.g_02609
OG0000166	Pram.g_01733	Syas.g_01629
OG0000167	Pram.g_01805	Syas.g_01449
OG0000168	Pram.g_01816	Syas.g_02184
OG0000169	Pram.g_01826	Syas.g_02170
OG0000170	Pram.g_01829	Syas.g_02161
OG0000171	Pram.g_01849	Syas.g_02139
OG0000172	Pram.g_01856	Syas.g_02110
OG0000173	Pram.g_01871	Syas.g_02092
OG0000174	Pram.g_01902	Syas.g_01940
OG0000175	Pram.g_01914	Syas.g_01994
OG0000176	Pram.g_01942	Syas.g_02038
OG0000177	Pram.g_01943	Syas.g_02039
OG0000178	Pram.g_01944	Syas.g_02040
OG0000179	Pram.g_00003	Syas.g_02054
OG0000180	Pram.g_00004	Syas.g_02055
OG0000181	Pram.g_00005	Syas.g_02056
OG0000182	Pram.g_00006	Syas.g_02057
OG0000183	Pram.g_00010	Syas.g_02061
OG0000184	Pram.g_00033	Syas.g_01872
OG0000185	Pram.g_00036	Syas.g_01861
OG0000186	Pram.g_00048	Syas.g_02525
OG0000187	Pram.g_00049	Syas.g_02524
OG0000188	Pram.g_00066	Syas.g_02502
OG0000189	Pram.g_00080	Syas.g_02432
OG0000190	Pram.g_00081	Syas.g_00133
OG0000191	Pram.g_00103	Syas.g_02400
OG0000192	Pram.g_00108	Syas.g_02395
OG0000193	Pram.g_00131	Syas.g_02366
OG0000194	Pram.g_00134	Syas.g_02363
OG0000195	Pram.g_00136	Syas.g_02360
OG0000196	Pram.g_00146	Syas.g_02337
OG0000197	Pram.g_00147	Syas.g_02336
OG0000198	Pram.g_00148	Syas.g_02335
OG0000199	Pram.g_00155	Syas.g_02327
OG0000200	Pram.g_00168	Syas.g_02298
OG0000201	Pram.g_00177	Syas.g_02279
OG0000202	Pram.g_00178	Syas.g_02278
OG0000203	Pram.g_00179	Syas.g_02277
OG0000204	Pram.g_00180	Syas.g_02276
OG0000205	Pram.g_00187	Syas.g_02267
OG0000206	Pram.g_00192	Syas.g_02240
OG0000207	Pram.g_00194	Syas.g_02237
OG0000208	Pram.g_00195	Syas.g_02236
OG0000209	Pram.g_00204	Syas.g_01837
OG0000210	Pram.g_00205	Syas.g_01838
OG0000211	Pram.g_00220	Syas.g_02552
OG0000212	Pram.g_00228	Syas.g_02562
OG0000213	Pram.g_00246	Syas.g_01707
OG0000214	Pram.g_00255	Syas.g_01730
OG0000215	Pram.g_00282	Syas.g_01766
OG0000216	Pram.g_00283	Syas.g_01770
OG0000217	Pram.g_00286	Syas.g_01778
OG0000218	Pram.g_00288	Syas.g_01780
OG0000219	Pram.g_00289	Syas.g_01783
OG0000220	Pram.g_00290	Syas.g_01784
OG0000221	Pram.g_00291	Syas.g_01785
OG0000222	Pram.g_00298	Syas.g_01804
OG0000223	Pram.g_00311	Syas.g_02221
OG0000224	Pram.g_00313	Syas.g_02215
OG0000225	Pram.g_00341	Syas.g_01522
OG0000226	Pram.g_00345	Syas.g_01518
OG0000227	Pram.g_00347	Syas.g_01516
OG0000228	Pram.g_00351	Syas.g_01513
OG0000229	Pram.g_00371	Syas.g_01497
OG0000230	Pram.g_00373	Syas.g_01495
OG0000231	Pram.g_00384	Syas.g_02749
OG0000232	Pram.g_00397	Syas.g_01276
OG0000233	Pram.g_00402	Syas.g_01352
OG0000234	Pram.g_00412	Syas.g_01331
OG0000235	Pram.g_00415	Syas.g_01254
OG0000236	Pram.g_00429	Syas.g_01237
OG0000237	Pram.g_00443	Syas.g_01220
OG0000238	Pram.g_00449	Syas.g_01215
OG0000239	Pram.g_00462	Syas.g_00012
OG0000240	Pram.g_00463	Syas.g_00013
OG0000241	Pram.g_00468	Syas.g_00754
OG0000242	Pram.g_00470	Syas.g_00059
OG0000243	Pram.g_00480	Syas.g_00777
OG0000244	Pram.g_00483	Syas.g_00784
OG0000245	Pram.g_00485	Syas.g_00786
OG0000246	Pram.g_00489	Syas.g_00790
OG0000247	Pram.g_00500	Syas.g_00802
OG0000248	Pram.g_00503	Syas.g_00805
OG0000249	Pram.g_00505	Syas.g_00807
OG0000250	Pram.g_00510	Syas.g_00814
OG0000251	Pram.g_00528	Syas.g_00845
OG0000252	Pram.g_00531	Syas.g_00950
OG0000253	Pram.g_00532	Syas.g_00846
OG0000254	Pram.g_00549	Syas.g_00869
OG0000255	Pram.g_00555	Syas.g_00132, Syas.g_01062
OG0000256	Pram.g_00566	Syas.g_00104
OG0000257	Pram.g_01080	Syas.g_00757
OG0000258	Pram.g_01067	Syas.g_00733
OG0000259	Pram.g_01050	Syas.g_01006, Syas.g_00708
OG0000260	Pram.g_01047	Syas.g_00705
OG0000261	Pram.g_01044	Syas.g_00701
OG0000262	Pram.g_01039	Syas.g_00695
OG0000263	Pram.g_00771	Syas.g_01103
OG0000264	Pram.g_00782	Syas.g_02588
OG0000266	Pram.g_01020	Syas.g_00186
OG0000267	Pram.g_01007	Syas.g_00377
OG0000268	Pram.g_01006	Syas.g_00390
OG0000269	Pram.g_00804	Syas.g_00601
OG0000270	Pram.g_00807	Syas.g_00598
OG0000271	Pram.g_00815	Syas.g_00590
OG0000272	Pram.g_00816	Syas.g_00589
OG0000273	Pram.g_00839	Syas.g_00563
OG0000274	Pram.g_00840	Syas.g_00562
OG0000275	Pram.g_00843	Syas.g_00230
OG0000276	Pram.g_00849	Syas.g_00237
OG0000277	Pram.g_00850	Syas.g_00238
OG0000278	Pram.g_00853	Syas.g_00241
OG0000279	Pram.g_00861	Syas.g_00288
OG0000280	Pram.g_00862	Syas.g_00889, Syas.g_00481
OG0000281	Pram.g_00870	Syas.g_00970
OG0000282	Pram.g_00736	Syas.g_00672
OG0000283	Pram.g_00916	Syas.g_00409
OG0000284	Pram.g_00921	Syas.g_00416
OG0000285	Pram.g_00926	Syas.g_00436
OG0000286	Pram.g_00942	Syas.g_00460
OG0000287	Pram.g_01199	Syas.g_00534
OG0000288	Pram.g_00977	Syas.g_00220
OG0000289	Pram.g_00992	Syas.g_00205
OG0000290	Pram.g_00891	Syas.g_01016
OG0000291	Pram.g_00889	Syas.g_01018
OG0000292	Pram.g_01185	Syas.g_02020
OG0000293	Pram.g_01150	Syas.g_01197
OG0000294	Pram.g_01149	Syas.g_01196
OG0000295	Pram.g_01125	Syas.g_01139
OG0000296	Pram.g_01123	Syas.g_01137
OG0000297	Pram.g_01114	Syas.g_01124
OG0000298	Pram.g_01113	Syas.g_01123
OG0000299	Pram.g_01094	Syas.g_01087
OG0000300	Pram.g_01091	Syas.g_01082
OG0000301	Pram.g_01090	Syas.g_01081
OG0000302	Pram.g_01088	Syas.g_01080
OG0000303	Pram.g_01082	Syas.g_01071
OG0000304	Pram.g_00571	Syas.g_01066
OG0000305	Pram.g_01183	Syas.g_01023
OG0000306	Pram.g_00874	Syas.g_01929
OG0000307	Pram.g_01458	Syas.g_01270
OG0000308	Pram.g_01457	Syas.g_01272
OG0000309	Pram.g_01453	Syas.g_01364
OG0000310	Pram.g_01395	Syas.g_02796
OG0000311	Pram.g_01393	Syas.g_02799
OG0000312	Pram.g_01390	Syas.g_02804
OG0000313	Pram.g_01374	Syas.g_02823
OG0000314	Pram.g_01351	Syas.g_01296
OG0000315	Pram.g_01341	Syas.g_01306
OG0000316	Pram.g_01315	Syas.g_02728
OG0000317	Pram.g_01629	Syas.g_02687
OG0000318	Pram.g_01633	Syas.g_02680
OG0000319	Pram.g_01646	Syas.g_02663
OG0000320	Pram.g_01648	Syas.g_02661
OG0000321	Pram.g_01649	Syas.g_02660
OG0000322	Pram.g_01650	Syas.g_02659
OG0000323	Pram.g_01659	Syas.g_02646
OG0000324	Pram.g_01687	Syas.g_02578
OG0000325	Pram.g_01697	Syas.g_01668
OG0000326	Pram.g_01704	Syas.g_01661
OG0000327	Pram.g_01728	Syas.g_01634
OG0000328	Pram.g_01729	Syas.g_01633
OG0000329	Pram.g_01746	Syas.g_01615
OG0000330	Pram.g_01747	Syas.g_01614
OG0000331	Pram.g_01748	Syas.g_01613
OG0000332	Pram.g_01762	Syas.g_01598
OG0000333	Pram.g_01764	Syas.g_01595
OG0000334	Pram.g_01773	Syas.g_01586
OG0000335	Pram.g_01778	Syas.g_01581
OG0000336	Pram.g_01782	Syas.g_01577
OG0000337	Pram.g_01801	Syas.g_02211
OG0000338	Pram.g_01802	Syas.g_02199
OG0000339	Pram.g_01808	Syas.g_02192
OG0000340	Pram.g_01817	Syas.g_02183
OG0000341	Pram.g_01819	Syas.g_02181
OG0000342	Pram.g_01820	Syas.g_02180
OG0000343	Pram.g_01821	Syas.g_02176
OG0000344	Pram.g_01824	Syas.g_02172
OG0000345	Pram.g_01830	Syas.g_02160
OG0000346	Pram.g_01834	Syas.g_02155
OG0000347	Pram.g_01851	Syas.g_02136
OG0000348	Pram.g_01859	Syas.g_02107
OG0000349	Pram.g_01877	Syas.g_02085
OG0000350	Pram.g_01898	Syas.g_01654
OG0000351	Pram.g_01917	Syas.g_01998
OG0000352	Pram.g_01918	Syas.g_01999
OG0000353	Pram.g_01937	Syas.g_02033
OG0000355	Pram.g_01939	Syas.g_02035
OG0000356	Pram.g_01940	Syas.g_02036
OG0000357	Pram.g_01941	Syas.g_02037
OG0000358	Pram.g_01945	Syas.g_02041
OG0000359	Pram.g_01946	Syas.g_02043
OG0000360	Pram.g_01947	Syas.g_02044
OG0000361	Pram.g_01948	Syas.g_02045
OG0000362	Pram.g_01950	Syas.g_02047
OG0000363	Pram.g_00001	Syas.g_02049
OG0000364	Pram.g_00002	Syas.g_02685
OG0000365	Pram.g_00007	Syas.g_02058
OG0000366	Pram.g_00008	Syas.g_02059
OG0000368	Pram.g_00011	Syas.g_02062
OG0000369	Pram.g_00012	Syas.g_02063
OG0000370	Pram.g_00013	Syas.g_02064
OG0000371	Pram.g_00019	Syas.g_02073
OG0000372	Pram.g_00021	Syas.g_02078
OG0000373	Pram.g_00022	Syas.g_02079
OG0000374	Pram.g_00023	Syas.g_02080
OG0000375	Pram.g_00024	Syas.g_02081
OG0000376	Pram.g_00026	Syas.g_02083
OG0000377	Pram.g_00030	Syas.g_01879
OG0000378	Pram.g_00034	Syas.g_01867
OG0000379	Pram.g_00037	Syas.g_01859
OG0000380	Pram.g_00050	Syas.g_02523
OG0000381	Pram.g_00055	Syas.g_02521
OG0000382	Pram.g_00065	Syas.g_02503
OG0000383	Pram.g_00067	Syas.g_02480
OG0000384	Pram.g_00068	Syas.g_02479
OG0000385	Pram.g_00069	Syas.g_02478
OG0000386	Pram.g_00070	Syas.g_02477
OG0000387	Pram.g_00083	Syas.g_00134
OG0000388	Pram.g_00087	Syas.g_02426
OG0000389	Pram.g_00090	Syas.g_02422
OG0000390	Pram.g_00099	Syas.g_02406
OG0000391	Pram.g_00102	Syas.g_02401
OG0000392	Pram.g_00106	Syas.g_02396
OG0000393	Pram.g_00109	Syas.g_02394
OG0000394	Pram.g_00110	Syas.g_02393
OG0000395	Pram.g_00111	Syas.g_02392
OG0000396	Pram.g_00113	Syas.g_02389
OG0000397	Pram.g_00115	Syas.g_02387
OG0000398	Pram.g_00118	Syas.g_02382
OG0000399	Pram.g_00119	Syas.g_02381
OG0000400	Pram.g_00120	Syas.g_02380
OG0000401	Pram.g_00121	Syas.g_02379
OG0000402	Pram.g_01001	Syas.g_02377
OG0000403	Pram.g_00123	Syas.g_02376
OG0000404	Pram.g_00124	Syas.g_02375
OG0000405	Pram.g_00128	Syas.g_02369
OG0000406	Pram.g_00132	Syas.g_02365
OG0000407	Pram.g_00133	Syas.g_02364
OG0000408	Pram.g_00135	Syas.g_02361
OG0000409	Pram.g_00137	Syas.g_02359
OG0000410	Pram.g_00138	Syas.g_02358
OG0000411	Pram.g_00139	Syas.g_02357
OG0000412	Pram.g_00140	Syas.g_02356
OG0000413	Pram.g_00141	Syas.g_02354
OG0000414	Pram.g_00142	Syas.g_02353
OG0000415	Pram.g_00143	Syas.g_02352
OG0000416	Pram.g_00144	Syas.g_02351
OG0000417	Pram.g_00145	Syas.g_02338
OG0000418	Pram.g_00150	Syas.g_02333
OG0000419	Pram.g_00152	Syas.g_02331
OG0000420	Pram.g_00153	Syas.g_02329
OG0000421	Pram.g_00157	Syas.g_02324
OG0000422	Pram.g_00158	Syas.g_02323
OG0000423	Pram.g_00159	Syas.g_02322
OG0000424	Pram.g_00160	Syas.g_02321
OG0000425	Pram.g_00161	Syas.g_02320
OG0000426	Pram.g_00162	Syas.g_02319
OG0000427	Pram.g_00163	Syas.g_02318
OG0000428	Pram.g_00165	Syas.g_02315
OG0000429	Pram.g_00166	Syas.g_02312
OG0000430	Pram.g_00167	Syas.g_02311
OG0000431	Pram.g_00169	Syas.g_02296
OG0000432	Pram.g_00173	Syas.g_02288
OG0000433	Pram.g_00174	Syas.g_02286
OG0000434	Pram.g_00175	Syas.g_02285
OG0000435	Pram.g_00176	Syas.g_02282
OG0000436	Pram.g_00181	Syas.g_02273
OG0000437	Pram.g_00182	Syas.g_02272
OG0000438	Pram.g_00183	Syas.g_02271
OG0000439	Pram.g_00185	Syas.g_02269
OG0000440	Pram.g_00186	Syas.g_02268
OG0000441	Pram.g_00189	Syas.g_02265
OG0000442	Pram.g_00190	Syas.g_02259
OG0000443	Pram.g_00191	Syas.g_02241
OG0000444	Pram.g_00196	Syas.g_02234
OG0000445	Pram.g_00197	Syas.g_02233
OG0000446	Pram.g_00198	Syas.g_02231
OG0000447	Pram.g_00199	Syas.g_02229
OG0000448	Pram.g_00200	Syas.g_02228
OG0000449	Pram.g_00201	Syas.g_02226
OG0000450	Pram.g_00202	Syas.g_01834
OG0000451	Pram.g_00203	Syas.g_01835
OG0000452	Pram.g_00206	Syas.g_01844
OG0000453	Pram.g_00207	Syas.g_01845
OG0000454	Pram.g_00208	Syas.g_01846
OG0000455	Pram.g_00209	Syas.g_01847
OG0000456	Pram.g_00210	Syas.g_01848
OG0000457	Pram.g_00212	Syas.g_01850
OG0000458	Pram.g_00213	Syas.g_01851
OG0000459	Pram.g_00214	Syas.g_01852
OG0000460	Pram.g_00222	Syas.g_02554
OG0000461	Pram.g_00230	Syas.g_01686
OG0000462	Pram.g_00232	Syas.g_01688
OG0000463	Pram.g_00233	Syas.g_01689
OG0000464	Pram.g_00234	Syas.g_01690
OG0000465	Pram.g_00235	Syas.g_01692
OG0000466	Pram.g_00238	Syas.g_01697
OG0000467	Pram.g_00239	Syas.g_01698
OG0000468	Pram.g_00242	Syas.g_01703
OG0000469	Pram.g_00250	Syas.g_01725
OG0000470	Pram.g_00252	Syas.g_01727
OG0000471	Pram.g_00253	Syas.g_01728
OG0000472	Pram.g_00254	Syas.g_01729
OG0000473	Pram.g_00256	Syas.g_01731
OG0000474	Pram.g_00257	Syas.g_01732
OG0000475	Pram.g_00258	Syas.g_01733
OG0000476	Pram.g_00260	Syas.g_01735
OG0000477	Pram.g_00263	Syas.g_01740
OG0000478	Pram.g_00264	Syas.g_01741
OG0000479	Pram.g_00265	Syas.g_01749
OG0000480	Pram.g_00270	Syas.g_01756
OG0000481	Pram.g_00273	Syas.g_00161, Syas.g_00162
OG0000482	Pram.g_00274	Syas.g_01758
OG0000483	Pram.g_00277	Syas.g_01762
OG0000484	Pram.g_00278	Syas.g_01763
OG0000485	Pram.g_00280	Syas.g_01764
OG0000486	Pram.g_00281	Syas.g_01765
OG0000487	Pram.g_00284	Syas.g_01771
OG0000488	Pram.g_00287	Syas.g_01779
OG0000489	Pram.g_00292	Syas.g_01823
OG0000490	Pram.g_00296	Syas.g_01808
OG0000491	Pram.g_00297	Syas.g_01806
OG0000492	Pram.g_00299	Syas.g_01803
OG0000493	Pram.g_00300	Syas.g_01802
OG0000494	Pram.g_00301	Syas.g_01801
OG0000495	Pram.g_00302	Syas.g_01799
OG0000496	Pram.g_00303	Syas.g_01798
OG0000497	Pram.g_00304	Syas.g_01797
OG0000498	Pram.g_00305	Syas.g_01796
OG0000499	Pram.g_00306	Syas.g_01795
OG0000500	Pram.g_00307	Syas.g_01794
OG0000501	Pram.g_00309	Syas.g_01791
OG0000502	Pram.g_00312	Syas.g_02216
OG0000503	Pram.g_00328	Syas.g_01541
OG0000504	Pram.g_00330	Syas.g_01539
OG0000505	Pram.g_00331	Syas.g_01538
OG0000506	Pram.g_00332	Syas.g_01536
OG0000507	Pram.g_00336	Syas.g_01530
OG0000508	Pram.g_00340	Syas.g_01523
OG0000509	Pram.g_00342	Syas.g_01521
OG0000510	Pram.g_00343	Syas.g_01520
OG0000511	Pram.g_00344	Syas.g_01519
OG0000512	Pram.g_00346	Syas.g_01517
OG0000513	Pram.g_00355	Syas.g_01508
OG0000514	Pram.g_00366	Syas.g_01504
OG0000515	Pram.g_00367	Syas.g_01503
OG0000516	Pram.g_00368	Syas.g_01501
OG0000517	Pram.g_00370	Syas.g_01498
OG0000518	Pram.g_00381	Syas.g_00360, Syas.g_02746
OG0000519	Pram.g_00382	Syas.g_02747
OG0000520	Pram.g_00383	Syas.g_02748
OG0000521	Pram.g_00393	Syas.g_01281
OG0000522	Pram.g_00395	Syas.g_01279
OG0000523	Pram.g_00396	Syas.g_01278
OG0000524	Pram.g_00400	Syas.g_01354
OG0000525	Pram.g_00404	Syas.g_01342
OG0000526	Pram.g_00406	Syas.g_01340
OG0000527	Pram.g_00409	Syas.g_01335
OG0000528	Pram.g_00414	Syas.g_01256
OG0000529	Pram.g_00417	Syas.g_01252
OG0000530	Pram.g_00420	Syas.g_01249
OG0000531	Pram.g_00421	Syas.g_01248
OG0000532	Pram.g_00423	Syas.g_01245
OG0000533	Pram.g_00424	Syas.g_01243
OG0000534	Pram.g_00425	Syas.g_01242
OG0000535	Pram.g_00426	Syas.g_01241
OG0000536	Pram.g_00427	Syas.g_01240
OG0000537	Pram.g_00428	Syas.g_01238
OG0000538	Pram.g_00438	Syas.g_01228
OG0000539	Pram.g_00439	Syas.g_01227
OG0000540	Pram.g_00440	Syas.g_01226
OG0000541	Pram.g_00441	Syas.g_01225
OG0000542	Pram.g_00442	Syas.g_01221
OG0000543	Pram.g_00444	Syas.g_01219
OG0000544	Pram.g_00445	Syas.g_01218
OG0000545	Pram.g_00447	Syas.g_01216
OG0000546	Pram.g_00450	Syas.g_01214
OG0000547	Pram.g_00452	Syas.g_01212
OG0000548	Pram.g_00453	Syas.g_01211
OG0000549	Pram.g_00456	Syas.g_00005
OG0000550	Pram.g_00461	Syas.g_00010
OG0000551	Pram.g_00464	Syas.g_00015
OG0000552	Pram.g_00465	Syas.g_00016
OG0000553	Pram.g_00466	Syas.g_00019
OG0000554	Pram.g_00472	Syas.g_00063
OG0000555	Pram.g_00479	Syas.g_00775
OG0000556	Pram.g_00481	Syas.g_00781
OG0000557	Pram.g_00482	Syas.g_00783
OG0000558	Pram.g_00484	Syas.g_00785
OG0000559	Pram.g_00488	Syas.g_00789
OG0000560	Pram.g_00491	Syas.g_00792
OG0000561	Pram.g_00492	Syas.g_00793
OG0000562	Pram.g_00493	Syas.g_00794
OG0000563	Pram.g_00494	Syas.g_00795
OG0000564	Pram.g_00495	Syas.g_00796
OG0000565	Pram.g_00498	Syas.g_00800
OG0000566	Pram.g_00502	Syas.g_00804
OG0000567	Pram.g_00506	Syas.g_00808
OG0000568	Pram.g_00507	Syas.g_00810
OG0000569	Pram.g_00508	Syas.g_00811
OG0000570	Pram.g_00509	Syas.g_00812
OG0000571	Pram.g_00511	Syas.g_00815
OG0000572	Pram.g_00523	Syas.g_00839
OG0000573	Pram.g_00529	Syas.g_00952
OG0000574	Pram.g_00530	Syas.g_00951
OG0000575	Pram.g_00534	Syas.g_00848
OG0000576	Pram.g_00536	Syas.g_00850
OG0000577	Pram.g_00537	Syas.g_00851
OG0000578	Pram.g_00538	Syas.g_00852
OG0000579	Pram.g_00539	Syas.g_00853
OG0000580	Pram.g_00540	Syas.g_00854
OG0000581	Pram.g_00543	Syas.g_00861
OG0000582	Pram.g_00546	Syas.g_00873
OG0000583	Pram.g_00547	Syas.g_00872
OG0000584	Pram.g_00548	Syas.g_00871
OG0000585	Pram.g_00550	Syas.g_00868
OG0000586	Pram.g_00551	Syas.g_00867
OG0000587	Pram.g_00552	Syas.g_00865
OG0000588	Pram.g_00556	Syas.g_00960
OG0000589	Pram.g_00559	Syas.g_00121
OG0000590	Pram.g_00560	Syas.g_00120
OG0000591	Pram.g_00564	Syas.g_00106
