Orthogroup	Syaa	Syar
OG0000113	Syaa.g_01196	Syar.g_02664
OG0000114	Syaa.g_01094	Syar.g_01616
OG0000115	Syaa.g_01795	Syar.g_02854, Syar.g_01415
OG0000116	Syaa.g_00757	Syar.g_01525, Syar.g_02255
OG0000117	Syaa.g_01009	Syar.g_01969
OG0000118	Syaa.g_01874	Syar.g_02793
OG0000120	Syaa.g_00201	Syar.g_00713
OG0000121	Syaa.g_01777	Syar.g_02806
OG0000123	Syaa.g_02242	Syar.g_01079
OG0000124	Syaa.g_00092	Syar.g_00586
OG0000125	Syaa.g_02598	Syar.g_00338
OG0000126	Syaa.g_02752	Syar.g_00887, Syar.g_00888
OG0000128	Syaa.g_00012	Syar.g_00482
OG0000129	Syaa.g_02586	Syar.g_00324
OG0000130	Syaa.g_00354	Syar.g_03040
OG0000131	Syaa.g_02448	Syar.g_00078, Syar.g_02216
OG0000132	Syaa.g_02472	Syar.g_00099
OG0000133	Syaa.g_01361	Syar.g_02543
OG0000134	Syaa.g_02146	Syar.g_01165
OG0000135	Syaa.g_02649	Syar.g_00698
OG0000136	Syaa.g_00708	Syar.g_02874
OG0000137	Syaa.g_01842	Syar.g_01273
OG0000138	Syaa.g_02035	Syar.g_01486
OG0000139	Syaa.g_01974	Syar.g_03245
OG0000140	Syaa.g_01971	Syar.g_02344
OG0000141	Syaa.g_01689	Syar.g_02129
OG0000142	Syaa.g_01633	Syar.g_02418
OG0000143	Syaa.g_01629	Syar.g_02422
OG0000144	Syaa.g_01446	Syar.g_02441
OG0000145	Syaa.g_02029	Syar.g_01494
OG0000146	Syaa.g_01367	Syar.g_02549
OG0000147	Syaa.g_01368	Syar.g_02550
OG0000148	Syaa.g_01190	Syar.g_02658
OG0000149	Syaa.g_00826	Syar.g_01830
OG0000150	Syaa.g_01688	Syar.g_02130
OG0000151	Syaa.g_01107	Syar.g_02038
OG0000152	Syaa.g_01357	Syar.g_02539
OG0000153	Syaa.g_01324	Syar.g_02503
OG0000154	Syaa.g_01298	Syar.g_01800
OG0000155	Syaa.g_00804	Syar.g_01959
OG0000156	Syaa.g_00751	Syar.g_01517
OG0000157	Syaa.g_00750	Syar.g_01516
OG0000158	Syaa.g_00148	Syar.g_00650
OG0000159	Syaa.g_00456	Syar.g_02359
OG0000160	Syaa.g_01776	Syar.g_02807
OG0000161	Syaa.g_01782	Syar.g_02801
OG0000162	Syaa.g_01788	Syar.g_02863
OG0000163	Syaa.g_00624	Syar.g_01186
OG0000164	Syaa.g_00507	Syar.g_03168
OG0000165	Syaa.g_00681	Syar.g_02976
OG0000166	Syaa.g_02289	Syar.g_01034
OG0000167	Syaa.g_00160	Syar.g_00662
OG0000168	Syaa.g_00145	Syar.g_00246
OG0000169	Syaa.g_00134	Syar.g_00262
OG0000170	Syaa.g_00128	Syar.g_00613
OG0000171	Syaa.g_00093	Syar.g_00587
OG0000172	Syaa.g_00079	Syar.g_00547
OG0000173	Syaa.g_00060	Syar.g_00528
OG0000174	Syaa.g_02651	Syar.g_00701
OG0000175	Syaa.g_02726	Syar.g_00438
OG0000176	Syaa.g_00004	Syar.g_00474
OG0000177	Syaa.g_00005	Syar.g_00475
OG0000178	Syaa.g_00006	Syar.g_00476
OG0000179	Syaa.g_00023	Syar.g_00489
OG0000180	Syaa.g_00024	Syar.g_00490
OG0000181	Syaa.g_00025	Syar.g_00491
OG0000182	Syaa.g_00026	Syar.g_00492
OG0000183	Syaa.g_00030	Syar.g_00496
OG0000184	Syaa.g_02578	Syar.g_00897
OG0000185	Syaa.g_02575	Syar.g_00909
OG0000186	Syaa.g_00359	Syar.g_03036
OG0000187	Syaa.g_00358	Syar.g_03038
OG0000188	Syaa.g_00334	Syar.g_03058
OG0000189	Syaa.g_02367	Syar.g_03104
OG0000190	Syaa.g_02369	Syar.g_03107, Syar.g_02374
OG0000191	Syaa.g_02404	Syar.g_00039
OG0000192	Syaa.g_02410	Syar.g_00046
OG0000193	Syaa.g_02449	Syar.g_00079
OG0000194	Syaa.g_02452	Syar.g_00082
OG0000195	Syaa.g_02459	Syar.g_00023
OG0000196	Syaa.g_02469	Syar.g_00096
OG0000197	Syaa.g_02470	Syar.g_00097
OG0000198	Syaa.g_02471	Syar.g_00098
OG0000199	Syaa.g_02479	Syar.g_00106
OG0000200	Syaa.g_02496	Syar.g_00124
OG0000201	Syaa.g_02521	Syar.g_01000
OG0000202	Syaa.g_02522	Syar.g_00998
OG0000203	Syaa.g_02523	Syar.g_00997
OG0000204	Syaa.g_02524	Syar.g_00996
OG0000205	Syaa.g_02531	Syar.g_00988
OG0000206	Syaa.g_02538	Syar.g_00963
OG0000207	Syaa.g_02540	Syar.g_00957
OG0000208	Syaa.g_02541	Syar.g_00956
OG0000209	Syaa.g_02556	Syar.g_00936, Syar.g_03261
OG0000210	Syaa.g_02557	Syar.g_00935
OG0000211	Syaa.g_02113	Syar.g_03026
OG0000212	Syaa.g_02102	Syar.g_03017
OG0000213	Syaa.g_00295	Syar.g_00187
OG0000214	Syaa.g_00279	Syar.g_00209
OG0000215	Syaa.g_00248	Syar.g_00239
OG0000216	Syaa.g_00244	Syar.g_00244
OG0000217	Syaa.g_00240	Syar.g_00854
OG0000218	Syaa.g_00238	Syar.g_00852
OG0000219	Syaa.g_00237	Syar.g_00851
OG0000220	Syaa.g_00236	Syar.g_00850, Syar.g_02026
OG0000221	Syaa.g_00229	Syar.g_00834
OG0000222	Syaa.g_00215	Syar.g_02119, Syar.g_00728
OG0000223	Syaa.g_00192	Syar.g_00649
OG0000224	Syaa.g_00183	Syar.g_00273, Syar.g_00762
OG0000225	Syaa.g_02166	Syar.g_01142
OG0000226	Syaa.g_02162	Syar.g_01146
OG0000227	Syaa.g_02160	Syar.g_01148
OG0000228	Syaa.g_02150	Syar.g_01161
OG0000229	Syaa.g_00703	Syar.g_01177
OG0000230	Syaa.g_00705	Syar.g_01179
OG0000231	Syaa.g_00717	Syar.g_03151
OG0000232	Syaa.g_01858	Syar.g_01424
OG0000233	Syaa.g_01853	Syar.g_01247
OG0000234	Syaa.g_01841	Syar.g_01275
OG0000235	Syaa.g_02052	Syar.g_01468
OG0000236	Syaa.g_02037	Syar.g_01484
OG0000237	Syaa.g_02020	Syar.g_01503
OG0000238	Syaa.g_02015	Syar.g_01508
OG0000239	Syaa.g_01996	Syar.g_02687
OG0000240	Syaa.g_01995	Syar.g_02686, Syar.g_03278
OG0000241	Syaa.g_01644	Syar.g_02410
OG0000242	Syaa.g_01982	Syar.g_01926
OG0000243	Syaa.g_01960	Syar.g_02335
OG0000244	Syaa.g_01954	Syar.g_02327
OG0000245	Syaa.g_01952	Syar.g_02325
OG0000246	Syaa.g_01948	Syar.g_02321
OG0000247	Syaa.g_01937	Syar.g_02310
OG0000248	Syaa.g_01934	Syar.g_03293
OG0000249	Syaa.g_01932	Syar.g_02305
OG0000250	Syaa.g_01922	Syar.g_02299
OG0000251	Syaa.g_01897	Syar.g_02194
OG0000252	Syaa.g_01894	Syar.g_02189, Syar.g_03263
OG0000253	Syaa.g_01893	Syar.g_02028
OG0000254	Syaa.g_01684	Syar.g_02169
OG0000255	Syaa.g_01668	Syar.g_02224
OG0000256	Syaa.g_01651	Syar.g_02244
OG0000257	Syaa.g_01645	Syar.g_02407, Syar.g_01762
OG0000258	Syaa.g_01624	Syar.g_02427
OG0000259	Syaa.g_01063	Syar.g_02472
OG0000260	Syaa.g_01066	Syar.g_02475
OG0000261	Syaa.g_01069	Syar.g_01916
OG0000262	Syaa.g_01074	Syar.g_01690
OG0000263	Syaa.g_00989	Syar.g_01991
OG0000264	Syaa.g_00910	Syar.g_02135
OG0000266	Syaa.g_01257, Syaa.g_01258	Syar.g_01570
OG0000267	Syaa.g_01409	Syar.g_01873
OG0000268	Syaa.g_01408	Syar.g_02589
OG0000269	Syaa.g_01149	Syar.g_02634
OG0000270	Syaa.g_01152	Syar.g_00744, Syar.g_02637
OG0000271	Syaa.g_01160	Syar.g_02645
OG0000272	Syaa.g_01161	Syar.g_02646
OG0000273	Syaa.g_00844	Syar.g_00008
OG0000274	Syaa.g_00843	Syar.g_02482
OG0000275	Syaa.g_00840	Syar.g_01810
OG0000276	Syaa.g_00834	Syar.g_01817
OG0000277	Syaa.g_00833	Syar.g_03242
OG0000278	Syaa.g_00830	Syar.g_01821
OG0000279	Syaa.g_00822	Syar.g_01838
OG0000280	Syaa.g_00815	Syar.g_02067, Syar.g_00734
OG0000282	Syaa.g_01096	Syar.g_01614
OG0000283	Syaa.g_01396	Syar.g_02574
OG0000284	Syaa.g_01390	Syar.g_03258, Syar.g_02568
OG0000285	Syaa.g_01377	Syar.g_02560
OG0000286	Syaa.g_01358	Syar.g_02540
OG0000287	Syaa.g_01330	Syar.g_02512
OG0000288	Syaa.g_01299	Syar.g_01801
OG0000289	Syaa.g_01285	Syar.g_01786
OG0000290	Syaa.g_00875	Syar.g_01928
OG0000291	Syaa.g_00877	Syar.g_01930
OG0000292	Syaa.g_02751	Syar.g_00463
OG0000293	Syaa.g_00758	Syar.g_01526, Syar.g_03297
OG0000294	Syaa.g_00759	Syar.g_03296
OG0000295	Syaa.g_00796	Syar.g_01951, Syar.g_03208
OG0000296	Syaa.g_00798	Syar.g_01953
OG0000297	Syaa.g_01021	Syar.g_03216
OG0000298	Syaa.g_01010	Syar.g_03215
OG0000299	Syaa.g_00982	Syar.g_01704
OG0000300	Syaa.g_00976	Syar.g_01646
OG0000301	Syaa.g_00975	Syar.g_01712
OG0000302	Syaa.g_00972	Syar.g_01713
OG0000303	Syaa.g_00963	Syar.g_01723
OG0000304	Syaa.g_00957	Syar.g_01728
OG0000305	Syaa.g_00881	Syar.g_03163
OG0000306	Syaa.g_00807	Syar.g_01884
OG0000307	Syaa.g_02068	Syar.g_01452
OG0000308	Syaa.g_02070	Syar.g_01450
OG0000309	Syaa.g_02075	Syar.g_01239
OG0000310	Syaa.g_01752	Syar.g_02826
OG0000311	Syaa.g_01757	Syar.g_02823
OG0000312	Syaa.g_01762	Syar.g_02818
OG0000313	Syaa.g_01779	Syar.g_02804
OG0000314	Syaa.g_01806	Syar.g_01403
OG0000315	Syaa.g_01816	Syar.g_01393
OG0000316	Syaa.g_00598	Syar.g_02885
OG0000317	Syaa.g_00556	Syar.g_02926
OG0000318	Syaa.g_00550	Syar.g_02930
OG0000319	Syaa.g_00532	Syar.g_02954
OG0000320	Syaa.g_00530	Syar.g_02956
OG0000321	Syaa.g_00529	Syar.g_02957
OG0000322	Syaa.g_00528	Syar.g_02958
OG0000323	Syaa.g_00496	Syar.g_02973
OG0000324	Syaa.g_00653	Syar.g_00350, Syar.g_03001
OG0000325	Syaa.g_02350	Syar.g_00148
OG0000326	Syaa.g_02343	Syar.g_03134
OG0000327	Syaa.g_02294	Syar.g_01029
OG0000328	Syaa.g_02293	Syar.g_01030
OG0000329	Syaa.g_02275	Syar.g_03189
OG0000330	Syaa.g_02274	Syar.g_03190, Syar.g_01049
OG0000331	Syaa.g_02273	Syar.g_03191
OG0000332	Syaa.g_02258	Syar.g_03299
OG0000333	Syaa.g_02255	Syar.g_01067
OG0000334	Syaa.g_02246	Syar.g_01076
OG0000335	Syaa.g_02241	Syar.g_01080
OG0000336	Syaa.g_02237	Syar.g_01084
OG0000337	Syaa.g_00167	Syar.g_00285
OG0000338	Syaa.g_00162	Syar.g_00287
OG0000339	Syaa.g_00156	Syar.g_00658
OG0000340	Syaa.g_00144	Syar.g_00247
OG0000341	Syaa.g_00142	Syar.g_00249
OG0000342	Syaa.g_00141	Syar.g_00250
OG0000343	Syaa.g_00140	Syar.g_00256
OG0000344	Syaa.g_00136	Syar.g_00260
OG0000345	Syaa.g_00127	Syar.g_00612
OG0000346	Syaa.g_00122	Syar.g_00607
OG0000347	Syaa.g_00088	Syar.g_00558
OG0000348	Syaa.g_00071	Syar.g_00544
OG0000349	Syaa.g_00053	Syar.g_00521
OG0000350	Syaa.g_02336	Syar.g_00132
OG0000351	Syaa.g_02730	Syar.g_00442
OG0000352	Syaa.g_02731	Syar.g_00443
OG0000353	Syaa.g_02757	Syar.g_00469
OG0000354	Syaa.g_02008, Syaa.g_02009	Syar.g_01514
OG0000354	Syaa.g_00019, Syaa.g_00020	Syar.g_00487
OG0000355	Syaa.g_00001	Syar.g_00471
OG0000356	Syaa.g_00002	Syar.g_00472
OG0000357	Syaa.g_00003	Syar.g_00473
OG0000358	Syaa.g_00007	Syar.g_00477
OG0000359	Syaa.g_00009	Syar.g_00479
OG0000360	Syaa.g_00010	Syar.g_00480
OG0000361	Syaa.g_00011	Syar.g_00481
OG0000362	Syaa.g_00013	Syar.g_00483
OG0000363	Syaa.g_00015	Syar.g_00484
OG0000364	Syaa.g_00016	Syar.g_02928
OG0000365	Syaa.g_00027	Syar.g_00493
OG0000366	Syaa.g_00028	Syar.g_00494
OG0000367	Syaa.g_00029	Syar.g_00495
OG0000368	Syaa.g_00031	Syar.g_00497
OG0000369	Syaa.g_00032	Syar.g_00498
OG0000370	Syaa.g_00033	Syar.g_00499
OG0000371	Syaa.g_00041	Syar.g_00508
OG0000372	Syaa.g_00046	Syar.g_00514
OG0000373	Syaa.g_00047	Syar.g_00515
OG0000374	Syaa.g_00048	Syar.g_00516
OG0000375	Syaa.g_00049	Syar.g_00517
OG0000376	Syaa.g_00051	Syar.g_00519
OG0000377	Syaa.g_02585	Syar.g_00322
OG0000378	Syaa.g_02577	Syar.g_00905
OG0000379	Syaa.g_02574	Syar.g_00910
OG0000380	Syaa.g_00357	Syar.g_03039
OG0000381	Syaa.g_00353	Syar.g_03041
OG0000382	Syaa.g_00335	Syar.g_03057
OG0000383	Syaa.g_00333	Syar.g_03074
OG0000384	Syaa.g_00332	Syar.g_03075
OG0000385	Syaa.g_00331	Syar.g_03076
OG0000386	Syaa.g_00330	Syar.g_03077
OG0000387	Syaa.g_02371	Syar.g_03109
OG0000388	Syaa.g_02375	Syar.g_03113
OG0000389	Syaa.g_02379	Syar.g_03118
OG0000390	Syaa.g_02398	Syar.g_00033
OG0000391	Syaa.g_02403	Syar.g_00038
OG0000392	Syaa.g_02409	Syar.g_00045
OG0000393	Syaa.g_02412	Syar.g_00048
OG0000394	Syaa.g_02413	Syar.g_00049
OG0000395	Syaa.g_02414	Syar.g_00050
OG0000396	Syaa.g_02417	Syar.g_00053
OG0000397	Syaa.g_02419	Syar.g_00055
OG0000398	Syaa.g_02424	Syar.g_00060
OG0000399	Syaa.g_02425	Syar.g_00061
OG0000400	Syaa.g_02426	Syar.g_00062
OG0000401	Syaa.g_02427	Syar.g_00063
OG0000402	Syaa.g_02429	Syar.g_00065
OG0000403	Syaa.g_02430	Syar.g_00066
OG0000404	Syaa.g_02431	Syar.g_00067
OG0000405	Syaa.g_02446	Syar.g_00076
OG0000406	Syaa.g_02450	Syar.g_00080
OG0000407	Syaa.g_02451	Syar.g_00081
OG0000408	Syaa.g_02458	Syar.g_00083
OG0000409	Syaa.g_02460	Syar.g_00085
OG0000410	Syaa.g_02461	Syar.g_00086
OG0000411	Syaa.g_02462	Syar.g_00087
OG0000412	Syaa.g_02463	Syar.g_00088
OG0000413	Syaa.g_02465	Syar.g_00090
OG0000415	Syaa.g_02466	Syar.g_00092
OG0000416	Syaa.g_02467	Syar.g_00093
OG0000417	Syaa.g_02468	Syar.g_00095
OG0000418	Syaa.g_02473	Syar.g_00100
OG0000419	Syaa.g_02475	Syar.g_00102
OG0000420	Syaa.g_02477	Syar.g_00104
OG0000421	Syaa.g_02482	Syar.g_00109
OG0000422	Syaa.g_02483	Syar.g_00110
OG0000423	Syaa.g_02484	Syar.g_00111
OG0000424	Syaa.g_02485	Syar.g_00112
OG0000425	Syaa.g_02486	Syar.g_00113
OG0000426	Syaa.g_02487	Syar.g_00114
OG0000427	Syaa.g_02488	Syar.g_00115
OG0000428	Syaa.g_02491	Syar.g_00118
OG0000429	Syaa.g_02493	Syar.g_00121
OG0000430	Syaa.g_02495	Syar.g_00123
OG0000431	Syaa.g_02498	Syar.g_00127
OG0000432	Syaa.g_02504	Syar.g_01009
OG0000433	Syaa.g_02513	Syar.g_01007
OG0000434	Syaa.g_02514	Syar.g_01006
OG0000435	Syaa.g_02516	Syar.g_01003
OG0000436	Syaa.g_02525	Syar.g_00994
OG0000437	Syaa.g_02526	Syar.g_00993
OG0000438	Syaa.g_02527	Syar.g_00992
OG0000439	Syaa.g_02529	Syar.g_00990
OG0000440	Syaa.g_02530	Syar.g_00989
OG0000441	Syaa.g_02534	Syar.g_00986
OG0000442	Syaa.g_02535	Syar.g_00977
OG0000443	Syaa.g_02536	Syar.g_00964
OG0000444	Syaa.g_02542	Syar.g_00954
OG0000445	Syaa.g_02543	Syar.g_00953
OG0000446	Syaa.g_02545	Syar.g_00951
OG0000447	Syaa.g_02548	Syar.g_00948
OG0000448	Syaa.g_02549	Syar.g_00947
OG0000449	Syaa.g_02550	Syar.g_00946
OG0000450	Syaa.g_02553	Syar.g_00939
OG0000451	Syaa.g_02554	Syar.g_00938
OG0000452	Syaa.g_02558	Syar.g_00934
OG0000453	Syaa.g_02559	Syar.g_00933
OG0000454	Syaa.g_02560	Syar.g_00932
OG0000455	Syaa.g_02561	Syar.g_00931
OG0000456	Syaa.g_02562	Syar.g_00930
OG0000457	Syaa.g_02564	Syar.g_00928
OG0000458	Syaa.g_02565	Syar.g_00918
OG0000459	Syaa.g_02566	Syar.g_00917
OG0000460	Syaa.g_02111	Syar.g_03024
OG0000461	Syaa.g_00318	Syar.g_00153
OG0000462	Syaa.g_00315	Syar.g_00155
OG0000463	Syaa.g_00314	Syar.g_00156
OG0000464	Syaa.g_00313	Syar.g_00157
OG0000465	Syaa.g_00311	Syar.g_00159
OG0000466	Syaa.g_00306	Syar.g_00164
OG0000467	Syaa.g_00304	Syar.g_00165
OG0000468	Syaa.g_00299	Syar.g_00170
OG0000469	Syaa.g_00285	Syar.g_00203
OG0000470	Syaa.g_00283	Syar.g_00206
OG0000471	Syaa.g_00282	Syar.g_00207
OG0000472	Syaa.g_00280	Syar.g_00208
OG0000473	Syaa.g_00278	Syar.g_00210
OG0000474	Syaa.g_00277	Syar.g_00211
OG0000475	Syaa.g_00276	Syar.g_00212
OG0000476	Syaa.g_00274	Syar.g_00214
OG0000477	Syaa.g_00268	Syar.g_00219
OG0000478	Syaa.g_00267	Syar.g_00220
OG0000479	Syaa.g_00266	Syar.g_00221
OG0000480	Syaa.g_00259	Syar.g_00228
OG0000481	Syaa.g_00257	Syar.g_00230
OG0000482	Syaa.g_00256	Syar.g_00231
OG0000483	Syaa.g_00252	Syar.g_00235
OG0000484	Syaa.g_00251	Syar.g_00236
OG0000485	Syaa.g_00250	Syar.g_00237
OG0000486	Syaa.g_00249	Syar.g_00238
OG0000487	Syaa.g_00243	Syar.g_00245
OG0000488	Syaa.g_00239	Syar.g_00853
OG0000489	Syaa.g_00228	Syar.g_00833
OG0000490	Syaa.g_00220	Syar.g_00823
OG0000491	Syaa.g_00218	Syar.g_00822
OG0000492	Syaa.g_00214	Syar.g_00727
OG0000493	Syaa.g_00213	Syar.g_00726
OG0000494	Syaa.g_00212	Syar.g_00725
OG0000495	Syaa.g_00211	Syar.g_00724
OG0000496	Syaa.g_00210	Syar.g_00723
OG0000497	Syaa.g_00209	Syar.g_00722
OG0000498	Syaa.g_00208	Syar.g_00721
OG0000499	Syaa.g_00207	Syar.g_00720
OG0000500	Syaa.g_00206	Syar.g_00719
OG0000501	Syaa.g_00203	Syar.g_00716
OG0000502	Syaa.g_00190	Syar.g_00275
OG0000503	Syaa.g_02182	Syar.g_01118
OG0000504	Syaa.g_02180	Syar.g_01120
OG0000505	Syaa.g_02179	Syar.g_01121
OG0000506	Syaa.g_02177	Syar.g_01123
OG0000507	Syaa.g_02171	Syar.g_01129
OG0000508	Syaa.g_02167	Syar.g_01141
OG0000509	Syaa.g_02165	Syar.g_01143
OG0000510	Syaa.g_02164	Syar.g_01144
OG0000511	Syaa.g_02163	Syar.g_01145
OG0000512	Syaa.g_02161	Syar.g_01147
OG0000513	Syaa.g_02145	Syar.g_01166
OG0000514	Syaa.g_02118	Syar.g_01169
OG0000515	Syaa.g_02117	Syar.g_01170
OG0000516	Syaa.g_00698	Syar.g_01172
OG0000517	Syaa.g_00702	Syar.g_01176
OG0000518	Syaa.g_00714	Syar.g_02868
OG0000519	Syaa.g_00715	Syar.g_02867
OG0000520	Syaa.g_00716	Syar.g_02866
OG0000521	Syaa.g_01864	Syar.g_01419
OG0000522	Syaa.g_01862	Syar.g_01421
OG0000523	Syaa.g_01859	Syar.g_01422
OG0000524	Syaa.g_01856	Syar.g_01244
OG0000525	Syaa.g_01851	Syar.g_01263
OG0000526	Syaa.g_01848	Syar.g_01266
OG0000527	Syaa.g_01844	Syar.g_01271
OG0000528	Syaa.g_02054	Syar.g_01466
OG0000529	Syaa.g_02050	Syar.g_01470
OG0000530	Syaa.g_02047	Syar.g_01473
OG0000531	Syaa.g_02046	Syar.g_01474
OG0000532	Syaa.g_02043	Syar.g_01477
OG0000533	Syaa.g_02042	Syar.g_01479
OG0000534	Syaa.g_02041	Syar.g_01480
OG0000535	Syaa.g_02040	Syar.g_01481
OG0000536	Syaa.g_02039	Syar.g_01482
OG0000537	Syaa.g_02038	Syar.g_01483
OG0000538	Syaa.g_02027	Syar.g_01496
OG0000539	Syaa.g_02026	Syar.g_01497
OG0000540	Syaa.g_02025	Syar.g_01498
OG0000541	Syaa.g_02024	Syar.g_01499
OG0000542	Syaa.g_02021	Syar.g_01502
OG0000543	Syaa.g_02019	Syar.g_01504
OG0000544	Syaa.g_02018	Syar.g_01505
OG0000545	Syaa.g_02016	Syar.g_01507
OG0000546	Syaa.g_02014	Syar.g_01509
OG0000547	Syaa.g_02012	Syar.g_01511
OG0000548	Syaa.g_02011	Syar.g_01512
OG0000549	Syaa.g_02003	Syar.g_02693
OG0000550	Syaa.g_01998	Syar.g_02689
OG0000551	Syaa.g_01993	Syar.g_02684
OG0000552	Syaa.g_01992	Syar.g_02683
OG0000553	Syaa.g_01990	Syar.g_02679
