Orthogroup	Syaa	Prbf
OG0000069	Syaa.g_01256	Prbf.g_01738
OG0000070	Syaa.g_00718	Prbf.g_01734
OG0000071	Syaa.g_00735	Prbf.g_00026
OG0000072	Syaa.g_02480	Prbf.g_01505
OG0000073	Syaa.g_02030	Prbf.g_01783
OG0000074	Syaa.g_00372	Prbf.g_00295, Prbf.g_00836, Prbf.g_01281
OG0000075	Syaa.g_00157	Prbf.g_00522
OG0000076	Syaa.g_00123	Prbf.g_00496
OG0000077	Syaa.g_00341	Prbf.g_01405
OG0000078	Syaa.g_02103	Prbf.g_01578
OG0000079	Syaa.g_00303	Prbf.g_01591
OG0000080	Syaa.g_00487	Prbf.g_00129, Prbf.g_00131
OG0000081	Syaa.g_02089	Prbf.g_01812
OG0000082	Syaa.g_01905	Prbf.g_01867, Prbf.g_00704
OG0000084	Syaa.g_01770	Prbf.g_00154
OG0000085	Syaa.g_00564	Prbf.g_00701, Prbf.g_00822
OG0000086	Syaa.g_00324	Prbf.g_01414
OG0000087	Syaa.g_02433	Prbf.g_01469
OG0000088	Syaa.g_02474	Prbf.g_01500
OG0000089	Syaa.g_02149	Prbf.g_01701
OG0000090	Syaa.g_01980	Prbf.g_01814
OG0000091	Syaa.g_01625	Prbf.g_00990
OG0000097	Syaa.g_00979	Prbf.g_00964
OG0000099	Syaa.g_00202	Prbf.g_00118
OG0000100	Syaa.g_01201	Prbf.g_00236
OG0000101	Syaa.g_02249	Prbf.g_00558
OG0000102	Syaa.g_00118	Prbf.g_00491
OG0000103	Syaa.g_02740	Prbf.g_00406
OG0000104	Syaa.g_02754	Prbf.g_00397
OG0000105	Syaa.g_00270	Prbf.g_01614
OG0000106	Syaa.g_01439	Prbf.g_00320
OG0000107	Syaa.g_02351	Prbf.g_00629
OG0000108	Syaa.g_02051	Prbf.g_01763
OG0000109	Syaa.g_02036	Prbf.g_01777
OG0000110	Syaa.g_01918	Prbf.g_01856
OG0000111	Syaa.g_00888	Prbf.g_01260
OG0000112	Syaa.g_01366	Prbf.g_01929
OG0000113	Syaa.g_01196	Prbf.g_01222
OG0000114	Syaa.g_01094	Prbf.g_01320
OG0000115	Syaa.g_01795	Prbf.g_00062
OG0000116	Syaa.g_00757	Prbf.g_00907
OG0000117	Syaa.g_01009	Prbf.g_00945
OG0000118	Syaa.g_01874	Prbf.g_00013
OG0000119	Syaa.g_00785	Prbf.g_00864, Prbf.g_00254
OG0000120	Syaa.g_00201	Prbf.g_00115
OG0000121	Syaa.g_01777	Prbf.g_00159
OG0000122	Syaa.g_01598	Prbf.g_00055, Prbf.g_00200
OG0000123	Syaa.g_02242	Prbf.g_00551
OG0000124	Syaa.g_00092	Prbf.g_00478
OG0000125	Syaa.g_02598	Prbf.g_00443
OG0000126	Syaa.g_02752	Prbf.g_00398
OG0000128	Syaa.g_00012	Prbf.g_00382
OG0000129	Syaa.g_02586	Prbf.g_01367
OG0000130	Syaa.g_00354	Prbf.g_01396
OG0000131	Syaa.g_02448	Prbf.g_01478
OG0000132	Syaa.g_02472	Prbf.g_01498
OG0000133	Syaa.g_01361	Prbf.g_01661
OG0000134	Syaa.g_02146	Prbf.g_01703
OG0000135	Syaa.g_02649	Prbf.g_00044
OG0000136	Syaa.g_00708	Prbf.g_01725
OG0000137	Syaa.g_01842	Prbf.g_01758
OG0000138	Syaa.g_02035	Prbf.g_01778
OG0000139	Syaa.g_01974	Prbf.g_01818
OG0000140	Syaa.g_01971	Prbf.g_01819
OG0000141	Syaa.g_01689	Prbf.g_01890
OG0000142	Syaa.g_01633	Prbf.g_00982
OG0000143	Syaa.g_01629	Prbf.g_00986
OG0000144	Syaa.g_01446	Prbf.g_01000
OG0000145	Syaa.g_02029	Prbf.g_00042
OG0000146	Syaa.g_01367	Prbf.g_01928
OG0000147	Syaa.g_01368	Prbf.g_01927
OG0000148	Syaa.g_01190	Prbf.g_01228
OG0000149	Syaa.g_00826	Prbf.g_01196
OG0000150	Syaa.g_01688	Prbf.g_01186
OG0000151	Syaa.g_01107	Prbf.g_01310
OG0000152	Syaa.g_01357	Prbf.g_01117
OG0000153	Syaa.g_01324	Prbf.g_01098
OG0000154	Syaa.g_01298	Prbf.g_01078
OG0000155	Syaa.g_00804	Prbf.g_00939
OG0000156	Syaa.g_00751	Prbf.g_00037
OG0000157	Syaa.g_00750	Prbf.g_00036
OG0000158	Syaa.g_00148	Prbf.g_00514
OG0000160	Syaa.g_01776	Prbf.g_00158
OG0000161	Syaa.g_01782	Prbf.g_00164
OG0000162	Syaa.g_01788	Prbf.g_00170
OG0000163	Syaa.g_00624	Prbf.g_00209
OG0000164	Syaa.g_00507	Prbf.g_00669
OG0000165	Syaa.g_00681	Prbf.g_00662
OG0000166	Syaa.g_02289	Prbf.g_00595
OG0000167	Syaa.g_00160	Prbf.g_00524
OG0000168	Syaa.g_00145	Prbf.g_00513
OG0000169	Syaa.g_00134	Prbf.g_00503
OG0000170	Syaa.g_00128	Prbf.g_00500
OG0000171	Syaa.g_00093	Prbf.g_00479
OG0000172	Syaa.g_00079	Prbf.g_00472
OG0000173	Syaa.g_00060	Prbf.g_00457
OG0000174	Syaa.g_02651	Prbf.g_00428
OG0000175	Syaa.g_02726	Prbf.g_00415
OG0000176	Syaa.g_00004	Prbf.g_00389
OG0000177	Syaa.g_00005	Prbf.g_00388
OG0000178	Syaa.g_00006	Prbf.g_00387
OG0000179	Syaa.g_00023	Prbf.g_01338
OG0000180	Syaa.g_00024	Prbf.g_01339
OG0000181	Syaa.g_00025	Prbf.g_01340
OG0000182	Syaa.g_00026	Prbf.g_01341
OG0000183	Syaa.g_00030	Prbf.g_01345
OG0000184	Syaa.g_02578	Prbf.g_01371
OG0000185	Syaa.g_02575	Prbf.g_01374
OG0000186	Syaa.g_00359	Prbf.g_01390
OG0000187	Syaa.g_00358	Prbf.g_01391
OG0000188	Syaa.g_00334	Prbf.g_01408
OG0000189	Syaa.g_02367	Prbf.g_01422
OG0000190	Syaa.g_02369	Prbf.g_01424
OG0000191	Syaa.g_02404	Prbf.g_01447
OG0000192	Syaa.g_02410	Prbf.g_01452
OG0000193	Syaa.g_02449	Prbf.g_01479
OG0000194	Syaa.g_02452	Prbf.g_01482
OG0000195	Syaa.g_02459	Prbf.g_01484
OG0000196	Syaa.g_02469	Prbf.g_01495
OG0000197	Syaa.g_02470	Prbf.g_01496
OG0000198	Syaa.g_02471	Prbf.g_01497
OG0000199	Syaa.g_02479	Prbf.g_01504
OG0000200	Syaa.g_02496	Prbf.g_01518
OG0000201	Syaa.g_02521	Prbf.g_01527
OG0000202	Syaa.g_02522	Prbf.g_01528
OG0000203	Syaa.g_02523	Prbf.g_01529
OG0000204	Syaa.g_02524	Prbf.g_01530
OG0000205	Syaa.g_02531	Prbf.g_01537
OG0000206	Syaa.g_02538	Prbf.g_01542
OG0000207	Syaa.g_02540	Prbf.g_01545
OG0000208	Syaa.g_02541	Prbf.g_01546
OG0000209	Syaa.g_02556	Prbf.g_01555
OG0000210	Syaa.g_02557	Prbf.g_01556
OG0000211	Syaa.g_02113	Prbf.g_01571
OG0000212	Syaa.g_02102	Prbf.g_01579
OG0000213	Syaa.g_00295	Prbf.g_01597
OG0000214	Syaa.g_00279	Prbf.g_01607
OG0000215	Syaa.g_00248	Prbf.g_01634
OG0000216	Syaa.g_00244	Prbf.g_01635
OG0000217	Syaa.g_00240	Prbf.g_01638
OG0000218	Syaa.g_00238	Prbf.g_01640
OG0000219	Syaa.g_00237	Prbf.g_01641
OG0000220	Syaa.g_00236	Prbf.g_01642
OG0000221	Syaa.g_00229	Prbf.g_01643
OG0000222	Syaa.g_00215	Prbf.g_01650
OG0000223	Syaa.g_00192	Prbf.g_01662
OG0000224	Syaa.g_00183	Prbf.g_01664
OG0000225	Syaa.g_02166	Prbf.g_01690
OG0000226	Syaa.g_02162	Prbf.g_01694
OG0000227	Syaa.g_02160	Prbf.g_01696
OG0000228	Syaa.g_02150	Prbf.g_01700
OG0000229	Syaa.g_00703	Prbf.g_01720
OG0000230	Syaa.g_00705	Prbf.g_01722
OG0000231	Syaa.g_00717	Prbf.g_01733
OG0000232	Syaa.g_01858	Prbf.g_01744
OG0000233	Syaa.g_01853	Prbf.g_01750
OG0000234	Syaa.g_01841	Prbf.g_01759
OG0000235	Syaa.g_02052	Prbf.g_01762
OG0000236	Syaa.g_02037	Prbf.g_01776
OG0000237	Syaa.g_02020	Prbf.g_01789
OG0000238	Syaa.g_02015	Prbf.g_01795
OG0000239	Syaa.g_01996	Prbf.g_01806
OG0000240	Syaa.g_01995	Prbf.g_01807
OG0000241	Syaa.g_01644	Prbf.g_01811
OG0000242	Syaa.g_01982	Prbf.g_01813
OG0000243	Syaa.g_01960	Prbf.g_01824
OG0000244	Syaa.g_01954	Prbf.g_01827
OG0000245	Syaa.g_01952	Prbf.g_01829
OG0000246	Syaa.g_01948	Prbf.g_01833
OG0000247	Syaa.g_01937	Prbf.g_01843
OG0000248	Syaa.g_01934	Prbf.g_01846
OG0000249	Syaa.g_01932	Prbf.g_01848
OG0000250	Syaa.g_01922	Prbf.g_01853
OG0000251	Syaa.g_01897	Prbf.g_01873
OG0000252	Syaa.g_01894	Prbf.g_01876
OG0000253	Syaa.g_01893	Prbf.g_01877
OG0000254	Syaa.g_01684	Prbf.g_01894
OG0000255	Syaa.g_01668	Prbf.g_01900
OG0000256	Syaa.g_01651	Prbf.g_01910
OG0000257	Syaa.g_01645	Prbf.g_00977
OG0000258	Syaa.g_01624	Prbf.g_00991
OG0000259	Syaa.g_01063	Prbf.g_01008
OG0000260	Syaa.g_01066	Prbf.g_01011
OG0000261	Syaa.g_01069	Prbf.g_01014
OG0000262	Syaa.g_01074	Prbf.g_01018
OG0000263	Syaa.g_00989	Prbf.g_01282
OG0000264	Syaa.g_00910	Prbf.g_01271
OG0000265	Syaa.g_00931, Syaa.g_01498	Prbf.g_01253
OG0000266	Syaa.g_01257, Syaa.g_01258	Prbf.g_01037
OG0000267	Syaa.g_01409	Prbf.g_01049
OG0000268	Syaa.g_01408	Prbf.g_01050
OG0000269	Syaa.g_01149	Prbf.g_01250
OG0000270	Syaa.g_01152	Prbf.g_01247
OG0000271	Syaa.g_01160	Prbf.g_01239
OG0000272	Syaa.g_01161	Prbf.g_01238
OG0000273	Syaa.g_00844	Prbf.g_01214
OG0000274	Syaa.g_00843	Prbf.g_01213
OG0000275	Syaa.g_00840	Prbf.g_01210
OG0000276	Syaa.g_00834	Prbf.g_01204
OG0000277	Syaa.g_00833	Prbf.g_01203
OG0000278	Syaa.g_00830	Prbf.g_01200
OG0000279	Syaa.g_00822	Prbf.g_01193
OG0000280	Syaa.g_00815	Prbf.g_01192
OG0000282	Syaa.g_01096	Prbf.g_01318
OG0000283	Syaa.g_01396	Prbf.g_01141
OG0000284	Syaa.g_01390	Prbf.g_01136
OG0000285	Syaa.g_01377	Prbf.g_01131
OG0000286	Syaa.g_01358	Prbf.g_01118
OG0000287	Syaa.g_01330	Prbf.g_00065
OG0000288	Syaa.g_01299	Prbf.g_01079
OG0000289	Syaa.g_01285	Prbf.g_01063
OG0000290	Syaa.g_00875	Prbf.g_01167
OG0000291	Syaa.g_00877	Prbf.g_01169
OG0000292	Syaa.g_02751	Prbf.g_00873
OG0000293	Syaa.g_00758	Prbf.g_00908
OG0000294	Syaa.g_00759	Prbf.g_00909
OG0000295	Syaa.g_00796	Prbf.g_00932
OG0000296	Syaa.g_00798	Prbf.g_00934
OG0000297	Syaa.g_01021	Prbf.g_00943
OG0000298	Syaa.g_01010	Prbf.g_00944
OG0000299	Syaa.g_00982	Prbf.g_00963
OG0000300	Syaa.g_00976	Prbf.g_00966
OG0000301	Syaa.g_00975	Prbf.g_00967
OG0000302	Syaa.g_00972	Prbf.g_00969
OG0000303	Syaa.g_00963	Prbf.g_00975
OG0000304	Syaa.g_00957	Prbf.g_01915
OG0000305	Syaa.g_00881	Prbf.g_00875
OG0000306	Syaa.g_00807	Prbf.g_01181
OG0000307	Syaa.g_02068	Prbf.g_00104
OG0000308	Syaa.g_02070	Prbf.g_00105
OG0000309	Syaa.g_02075	Prbf.g_00109
OG0000310	Syaa.g_01752	Prbf.g_00143
OG0000311	Syaa.g_01757	Prbf.g_00145
OG0000312	Syaa.g_01762	Prbf.g_00148
OG0000313	Syaa.g_01779	Prbf.g_00161
OG0000314	Syaa.g_01806	Prbf.g_00184
OG0000315	Syaa.g_01816	Prbf.g_00194
OG0000316	Syaa.g_00598	Prbf.g_00219
OG0000317	Syaa.g_00556	Prbf.g_00696
OG0000318	Syaa.g_00550	Prbf.g_00692
OG0000319	Syaa.g_00532	Prbf.g_00679
OG0000320	Syaa.g_00530	Prbf.g_00677
OG0000321	Syaa.g_00529	Prbf.g_00676
OG0000322	Syaa.g_00528	Prbf.g_00675
OG0000323	Syaa.g_00496	Prbf.g_00666
OG0000324	Syaa.g_00653	Prbf.g_00639
OG0000325	Syaa.g_02350	Prbf.g_00628
OG0000326	Syaa.g_02343	Prbf.g_00621
OG0000327	Syaa.g_02294	Prbf.g_00600
OG0000328	Syaa.g_02293	Prbf.g_00599
OG0000329	Syaa.g_02275	Prbf.g_00582
OG0000330	Syaa.g_02274	Prbf.g_00581
OG0000331	Syaa.g_02273	Prbf.g_00580
OG0000332	Syaa.g_02258	Prbf.g_00566
OG0000333	Syaa.g_02255	Prbf.g_00564
OG0000334	Syaa.g_02246	Prbf.g_00555
OG0000335	Syaa.g_02241	Prbf.g_00550
OG0000336	Syaa.g_02237	Prbf.g_00546
OG0000337	Syaa.g_00167	Prbf.g_00528
OG0000338	Syaa.g_00162	Prbf.g_00527
OG0000339	Syaa.g_00156	Prbf.g_00521
OG0000340	Syaa.g_00144	Prbf.g_00512
OG0000341	Syaa.g_00142	Prbf.g_00510
OG0000342	Syaa.g_00141	Prbf.g_00509
OG0000343	Syaa.g_00140	Prbf.g_00508
OG0000344	Syaa.g_00136	Prbf.g_00505
OG0000345	Syaa.g_00127	Prbf.g_00499
OG0000346	Syaa.g_00122	Prbf.g_00495
OG0000347	Syaa.g_00088	Prbf.g_00477
OG0000348	Syaa.g_00071	Prbf.g_00469
OG0000349	Syaa.g_00053	Prbf.g_00452
OG0000350	Syaa.g_02336	Prbf.g_00351
OG0000351	Syaa.g_02730	Prbf.g_00412
OG0000352	Syaa.g_02731	Prbf.g_00411
OG0000353	Syaa.g_02757	Prbf.g_00394
OG0000355	Syaa.g_00001	Prbf.g_00392
OG0000356	Syaa.g_00002	Prbf.g_00391
OG0000357	Syaa.g_00003	Prbf.g_00390
OG0000358	Syaa.g_00007	Prbf.g_00386
OG0000359	Syaa.g_00009	Prbf.g_00385
OG0000360	Syaa.g_00010	Prbf.g_00384
OG0000361	Syaa.g_00011	Prbf.g_00383
OG0000362	Syaa.g_00013	Prbf.g_00381
OG0000363	Syaa.g_00015	Prbf.g_01336
OG0000364	Syaa.g_00016	Prbf.g_01337
OG0000365	Syaa.g_00027	Prbf.g_01342
OG0000366	Syaa.g_00028	Prbf.g_01343
OG0000367	Syaa.g_00029	Prbf.g_01344
OG0000368	Syaa.g_00031	Prbf.g_01346
OG0000369	Syaa.g_00032	Prbf.g_01347
OG0000370	Syaa.g_00033	Prbf.g_01348
OG0000371	Syaa.g_00041	Prbf.g_01355
OG0000372	Syaa.g_00046	Prbf.g_01358
OG0000373	Syaa.g_00047	Prbf.g_01359
OG0000374	Syaa.g_00048	Prbf.g_01360
OG0000375	Syaa.g_00049	Prbf.g_01362
OG0000376	Syaa.g_00051	Prbf.g_01364
OG0000377	Syaa.g_02585	Prbf.g_01368
OG0000378	Syaa.g_02577	Prbf.g_01372
OG0000379	Syaa.g_02574	Prbf.g_01375
OG0000380	Syaa.g_00357	Prbf.g_01392
OG0000381	Syaa.g_00353	Prbf.g_01397
OG0000382	Syaa.g_00335	Prbf.g_01407
OG0000383	Syaa.g_00333	Prbf.g_01409
OG0000384	Syaa.g_00332	Prbf.g_01410
OG0000385	Syaa.g_00331	Prbf.g_01411
OG0000386	Syaa.g_00330	Prbf.g_01412
OG0000387	Syaa.g_02371	Prbf.g_01426
OG0000388	Syaa.g_02375	Prbf.g_01430
OG0000389	Syaa.g_02379	Prbf.g_01433
OG0000390	Syaa.g_02398	Prbf.g_01443
OG0000391	Syaa.g_02403	Prbf.g_01446
OG0000392	Syaa.g_02409	Prbf.g_01450
OG0000393	Syaa.g_02412	Prbf.g_01453
OG0000394	Syaa.g_02413	Prbf.g_01454
OG0000395	Syaa.g_02414	Prbf.g_01455
OG0000396	Syaa.g_02417	Prbf.g_01457
OG0000397	Syaa.g_02419	Prbf.g_01459
OG0000398	Syaa.g_02424	Prbf.g_01462
OG0000399	Syaa.g_02425	Prbf.g_01463
OG0000400	Syaa.g_02426	Prbf.g_01464
OG0000401	Syaa.g_02427	Prbf.g_01465
OG0000402	Syaa.g_02429	Prbf.g_01055
OG0000403	Syaa.g_02430	Prbf.g_01467
OG0000404	Syaa.g_02431	Prbf.g_01468
OG0000405	Syaa.g_02446	Prbf.g_01472
OG0000406	Syaa.g_02450	Prbf.g_01480
OG0000407	Syaa.g_02451	Prbf.g_01481
OG0000408	Syaa.g_02458	Prbf.g_01483
OG0000409	Syaa.g_02460	Prbf.g_01485
OG0000410	Syaa.g_02461	Prbf.g_01486
OG0000411	Syaa.g_02462	Prbf.g_01487
OG0000412	Syaa.g_02463	Prbf.g_01488
OG0000413	Syaa.g_02465	Prbf.g_01490
OG0000415	Syaa.g_02466	Prbf.g_01492
OG0000416	Syaa.g_02467	Prbf.g_01493
OG0000417	Syaa.g_02468	Prbf.g_01494
OG0000418	Syaa.g_02473	Prbf.g_01499
OG0000419	Syaa.g_02475	Prbf.g_01501
OG0000420	Syaa.g_02477	Prbf.g_01502
OG0000421	Syaa.g_02482	Prbf.g_01507
OG0000422	Syaa.g_02483	Prbf.g_01508
OG0000423	Syaa.g_02484	Prbf.g_01509
OG0000424	Syaa.g_02485	Prbf.g_01510
OG0000425	Syaa.g_02486	Prbf.g_01511
OG0000426	Syaa.g_02487	Prbf.g_01512
OG0000427	Syaa.g_02488	Prbf.g_01513
OG0000428	Syaa.g_02491	Prbf.g_01515
OG0000429	Syaa.g_02493	Prbf.g_01516
OG0000430	Syaa.g_02495	Prbf.g_01517
OG0000431	Syaa.g_02498	Prbf.g_01519
OG0000432	Syaa.g_02504	Prbf.g_01523
OG0000433	Syaa.g_02513	Prbf.g_01524
OG0000434	Syaa.g_02514	Prbf.g_01525
OG0000435	Syaa.g_02516	Prbf.g_01526
OG0000436	Syaa.g_02525	Prbf.g_01531
OG0000437	Syaa.g_02526	Prbf.g_01532
OG0000438	Syaa.g_02527	Prbf.g_01533
OG0000439	Syaa.g_02529	Prbf.g_01535
OG0000440	Syaa.g_02530	Prbf.g_01536
OG0000441	Syaa.g_02534	Prbf.g_01539
OG0000442	Syaa.g_02535	Prbf.g_01540
OG0000443	Syaa.g_02536	Prbf.g_01541
OG0000444	Syaa.g_02542	Prbf.g_01547
OG0000445	Syaa.g_02543	Prbf.g_01548
OG0000446	Syaa.g_02545	Prbf.g_01549
OG0000447	Syaa.g_02548	Prbf.g_01550
OG0000448	Syaa.g_02549	Prbf.g_01551
OG0000449	Syaa.g_02550	Prbf.g_01552
OG0000450	Syaa.g_02553	Prbf.g_01553
OG0000451	Syaa.g_02554	Prbf.g_01554
OG0000452	Syaa.g_02558	Prbf.g_01557
OG0000453	Syaa.g_02559	Prbf.g_01558
OG0000454	Syaa.g_02560	Prbf.g_01559
OG0000455	Syaa.g_02561	Prbf.g_01560
OG0000456	Syaa.g_02562	Prbf.g_01561
OG0000457	Syaa.g_02564	Prbf.g_01563
OG0000458	Syaa.g_02565	Prbf.g_01564
OG0000459	Syaa.g_02566	Prbf.g_01565
OG0000460	Syaa.g_02111	Prbf.g_01573
OG0000461	Syaa.g_00318	Prbf.g_01581
OG0000462	Syaa.g_00315	Prbf.g_01583
OG0000463	Syaa.g_00314	Prbf.g_01584
OG0000464	Syaa.g_00313	Prbf.g_01585
OG0000465	Syaa.g_00311	Prbf.g_01586
OG0000466	Syaa.g_00306	Prbf.g_01589
OG0000467	Syaa.g_00304	Prbf.g_01590
OG0000468	Syaa.g_00299	Prbf.g_01593
OG0000469	Syaa.g_00285	Prbf.g_01601
OG0000470	Syaa.g_00283	Prbf.g_01603
OG0000471	Syaa.g_00282	Prbf.g_01604
OG0000472	Syaa.g_00280	Prbf.g_01606
OG0000473	Syaa.g_00278	Prbf.g_01608
OG0000474	Syaa.g_00277	Prbf.g_01609
OG0000475	Syaa.g_00276	Prbf.g_01610
OG0000476	Syaa.g_00274	Prbf.g_01612
OG0000477	Syaa.g_00268	Prbf.g_01615
OG0000478	Syaa.g_00267	Prbf.g_01616
OG0000479	Syaa.g_00266	Prbf.g_01617
OG0000480	Syaa.g_00259	Prbf.g_01622
OG0000481	Syaa.g_00257	Prbf.g_01625
OG0000482	Syaa.g_00256	Prbf.g_01626
OG0000483	Syaa.g_00252	Prbf.g_01629
OG0000484	Syaa.g_00251	Prbf.g_01630
OG0000485	Syaa.g_00250	Prbf.g_01632
OG0000486	Syaa.g_00249	Prbf.g_01633
OG0000487	Syaa.g_00243	Prbf.g_01636
OG0000488	Syaa.g_00239	Prbf.g_01639
OG0000489	Syaa.g_00228	Prbf.g_01644
OG0000490	Syaa.g_00220	Prbf.g_01648
OG0000491	Syaa.g_00218	Prbf.g_01649
OG0000492	Syaa.g_00214	Prbf.g_01651
OG0000493	Syaa.g_00213	Prbf.g_01652
OG0000494	Syaa.g_00212	Prbf.g_01653
OG0000495	Syaa.g_00211	Prbf.g_01654
OG0000496	Syaa.g_00210	Prbf.g_01655
OG0000497	Syaa.g_00209	Prbf.g_01656
OG0000498	Syaa.g_00208	Prbf.g_01657
OG0000499	Syaa.g_00207	Prbf.g_01658
OG0000500	Syaa.g_00206	Prbf.g_01659
OG0000501	Syaa.g_00203	Prbf.g_01660
OG0000502	Syaa.g_00190	Prbf.g_01663
OG0000503	Syaa.g_02182	Prbf.g_01678
OG0000504	Syaa.g_02180	Prbf.g_01680
OG0000505	Syaa.g_02179	Prbf.g_01681
OG0000506	Syaa.g_02177	Prbf.g_01682
OG0000507	Syaa.g_02171	Prbf.g_01685
OG0000508	Syaa.g_02167	Prbf.g_01689
OG0000509	Syaa.g_02165	Prbf.g_01691
OG0000510	Syaa.g_02164	Prbf.g_01692
OG0000511	Syaa.g_02163	Prbf.g_01693
OG0000512	Syaa.g_02161	Prbf.g_01695
OG0000513	Syaa.g_02145	Prbf.g_01704
OG0000514	Syaa.g_02118	Prbf.g_01715
OG0000515	Syaa.g_02117	Prbf.g_01716
OG0000516	Syaa.g_00698	Prbf.g_01717
OG0000517	Syaa.g_00702	Prbf.g_01719
OG0000518	Syaa.g_00714	Prbf.g_01730
OG0000519	Syaa.g_00715	Prbf.g_01731
OG0000520	Syaa.g_00716	Prbf.g_01732
OG0000521	Syaa.g_01864	Prbf.g_01740
OG0000522	Syaa.g_01862	Prbf.g_01742
OG0000523	Syaa.g_01859	Prbf.g_01743
OG0000524	Syaa.g_01856	Prbf.g_01748
OG0000525	Syaa.g_01851	Prbf.g_01752
OG0000526	Syaa.g_01848	Prbf.g_01753
OG0000527	Syaa.g_01844	Prbf.g_01756
OG0000528	Syaa.g_02054	Prbf.g_01761
OG0000529	Syaa.g_02050	Prbf.g_01764
OG0000530	Syaa.g_02047	Prbf.g_01767
OG0000531	Syaa.g_02046	Prbf.g_01768
OG0000532	Syaa.g_02043	Prbf.g_01770
OG0000533	Syaa.g_02042	Prbf.g_01771
OG0000534	Syaa.g_02041	Prbf.g_01772
OG0000535	Syaa.g_02040	Prbf.g_01773
OG0000536	Syaa.g_02039	Prbf.g_01774
OG0000537	Syaa.g_02038	Prbf.g_01775
OG0000538	Syaa.g_02027	Prbf.g_01784
OG0000539	Syaa.g_02026	Prbf.g_01785
OG0000540	Syaa.g_02025	Prbf.g_01786
OG0000541	Syaa.g_02024	Prbf.g_01787
OG0000542	Syaa.g_02021	Prbf.g_01788
