Orthogroup	Syaa	Prbn
OG0000053	Syaa.g_01797	Prbn.g_01690, Prbn.g_00233
OG0000054	Syaa.g_01691	Prbn.g_00508
OG0000055	Syaa.g_00852	Prbn.g_01140
OG0000055	Syaa.g_01564	Prbn.g_01719
OG0000057	Syaa.g_00889	Prbn.g_01562
OG0000058	Syaa.g_00193	Prbn.g_00172
OG0000059	Syaa.g_02315	Prbn.g_01833
OG0000061	Syaa.g_00770	Prbn.g_01189
OG0000062	Syaa.g_00571	Prbn.g_00897
OG0000063	Syaa.g_00042	Prbn.g_00130
OG0000064	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579	Prbn.g_00710
OG0000065	Syaa.g_02380	Prbn.g_01312
OG0000066	Syaa.g_01968	Prbn.g_00577, Prbn.g_01657
OG0000067	Syaa.g_01154	Prbn.g_01546
OG0000068	Syaa.g_02059	Prbn.g_01240
OG0000069	Syaa.g_01256	Prbn.g_00659
OG0000070	Syaa.g_00718	Prbn.g_00663
OG0000071	Syaa.g_00735	Prbn.g_01084
OG0000072	Syaa.g_02480	Prbn.g_00383
OG0000073	Syaa.g_02030	Prbn.g_00614
OG0000074	Syaa.g_00372	Prbn.g_01038, Prbn.g_01928, Prbn.g_01582
OG0000075	Syaa.g_00157	Prbn.g_01917
OG0000076	Syaa.g_00123	Prbn.g_00996
OG0000077	Syaa.g_00341	Prbn.g_01342
OG0000078	Syaa.g_02103	Prbn.g_00310
OG0000079	Syaa.g_00303	Prbn.g_00018
OG0000080	Syaa.g_00487	Prbn.g_00184, Prbn.g_00186
OG0000081	Syaa.g_02089	Prbn.g_00585
OG0000082	Syaa.g_01905	Prbn.g_00530, Prbn.g_01734
OG0000084	Syaa.g_01770	Prbn.g_00209
OG0000085	Syaa.g_00564	Prbn.g_01737, Prbn.g_00144
OG0000086	Syaa.g_00324	Prbn.g_01333
OG0000087	Syaa.g_02433	Prbn.g_01278
OG0000088	Syaa.g_02474	Prbn.g_01247
OG0000089	Syaa.g_02149	Prbn.g_00696
OG0000090	Syaa.g_01980	Prbn.g_00583
OG0000091	Syaa.g_01625	Prbn.g_00434
OG0000097	Syaa.g_00979	Prbn.g_00408
OG0000099	Syaa.g_00202	Prbn.g_00173
OG0000100	Syaa.g_01201	Prbn.g_00903
OG0000101	Syaa.g_02249	Prbn.g_01881
OG0000102	Syaa.g_00118	Prbn.g_00991
OG0000103	Syaa.g_02740	Prbn.g_00907
OG0000104	Syaa.g_02754	Prbn.g_00296
OG0000105	Syaa.g_00270	Prbn.g_00041
OG0000106	Syaa.g_01439	Prbn.g_00829
OG0000107	Syaa.g_02351	Prbn.g_01810
OG0000108	Syaa.g_02051	Prbn.g_00634
OG0000109	Syaa.g_02036	Prbn.g_00620
OG0000110	Syaa.g_01918	Prbn.g_00541
OG0000111	Syaa.g_00888	Prbn.g_01561
OG0000112	Syaa.g_01366	Prbn.g_00468
OG0000113	Syaa.g_01196	Prbn.g_01523
OG0000114	Syaa.g_01094	Prbn.g_01621
OG0000115	Syaa.g_01795	Prbn.g_01120
OG0000116	Syaa.g_00757	Prbn.g_01178
OG0000117	Syaa.g_01009	Prbn.g_00389
OG0000118	Syaa.g_01874	Prbn.g_01071
OG0000119	Syaa.g_00785	Prbn.g_01135, Prbn.g_00885
OG0000120	Syaa.g_00201	Prbn.g_00170
OG0000121	Syaa.g_01777	Prbn.g_00214
OG0000122	Syaa.g_01598	Prbn.g_01113, Prbn.g_00255
OG0000123	Syaa.g_02242	Prbn.g_01888
OG0000124	Syaa.g_00092	Prbn.g_00979
OG0000125	Syaa.g_02598	Prbn.g_00944
OG0000126	Syaa.g_02752	Prbn.g_00295
OG0000128	Syaa.g_00012	Prbn.g_00002, Prbn.g_00003
OG0000129	Syaa.g_02586	Prbn.g_00737
OG0000130	Syaa.g_00354	Prbn.g_00708
OG0000131	Syaa.g_02448	Prbn.g_01269
OG0000132	Syaa.g_02472	Prbn.g_01249
OG0000133	Syaa.g_01361	Prbn.g_00088
OG0000134	Syaa.g_02146	Prbn.g_00694
OG0000135	Syaa.g_02649	Prbn.g_01102
OG0000136	Syaa.g_00708	Prbn.g_00672
OG0000137	Syaa.g_01842	Prbn.g_00639
OG0000138	Syaa.g_02035	Prbn.g_00619
OG0000139	Syaa.g_01974	Prbn.g_00579
OG0000140	Syaa.g_01971	Prbn.g_00578
OG0000141	Syaa.g_01689	Prbn.g_00507
OG0000142	Syaa.g_01633	Prbn.g_00426
OG0000143	Syaa.g_01629	Prbn.g_00430
OG0000144	Syaa.g_01446	Prbn.g_00444
OG0000145	Syaa.g_02029	Prbn.g_01100
OG0000146	Syaa.g_01367	Prbn.g_00469
OG0000147	Syaa.g_01368	Prbn.g_00470
OG0000148	Syaa.g_01190	Prbn.g_01529
OG0000149	Syaa.g_00826	Prbn.g_01497
OG0000150	Syaa.g_01688	Prbn.g_01487
OG0000151	Syaa.g_01107	Prbn.g_01611
OG0000152	Syaa.g_01357	Prbn.g_01418
OG0000153	Syaa.g_01324	Prbn.g_01399
OG0000154	Syaa.g_01298	Prbn.g_01379
OG0000155	Syaa.g_00804	Prbn.g_01210
OG0000156	Syaa.g_00751	Prbn.g_01095
OG0000157	Syaa.g_00750	Prbn.g_01094
OG0000158	Syaa.g_00148	Prbn.g_01014
OG0000160	Syaa.g_01776	Prbn.g_00213
OG0000161	Syaa.g_01782	Prbn.g_00219
OG0000162	Syaa.g_01788	Prbn.g_00225
OG0000163	Syaa.g_00624	Prbn.g_00264
OG0000164	Syaa.g_00507	Prbn.g_01770
OG0000165	Syaa.g_00681	Prbn.g_01777
OG0000166	Syaa.g_02289	Prbn.g_01844
OG0000167	Syaa.g_00160	Prbn.g_01915
OG0000168	Syaa.g_00145	Prbn.g_01013
OG0000169	Syaa.g_00134	Prbn.g_01003
OG0000170	Syaa.g_00128	Prbn.g_01000
OG0000171	Syaa.g_00093	Prbn.g_00980
OG0000172	Syaa.g_00079	Prbn.g_00973
OG0000173	Syaa.g_00060	Prbn.g_00958
OG0000174	Syaa.g_02651	Prbn.g_00929
OG0000175	Syaa.g_02726	Prbn.g_00916
OG0000176	Syaa.g_00004	Prbn.g_00010
OG0000177	Syaa.g_00005	Prbn.g_00009
OG0000178	Syaa.g_00006	Prbn.g_00008
OG0000179	Syaa.g_00023	Prbn.g_00766
OG0000180	Syaa.g_00024	Prbn.g_00765
OG0000181	Syaa.g_00025	Prbn.g_00764
OG0000182	Syaa.g_00026	Prbn.g_00763
OG0000183	Syaa.g_00030	Prbn.g_00759
OG0000184	Syaa.g_02578	Prbn.g_00733
OG0000185	Syaa.g_02575	Prbn.g_00730
OG0000186	Syaa.g_00359	Prbn.g_00714
OG0000187	Syaa.g_00358	Prbn.g_00713
OG0000188	Syaa.g_00334	Prbn.g_01339
OG0000189	Syaa.g_02367	Prbn.g_01325
OG0000190	Syaa.g_02369	Prbn.g_01323
OG0000191	Syaa.g_02404	Prbn.g_01300
OG0000192	Syaa.g_02410	Prbn.g_01295
OG0000193	Syaa.g_02449	Prbn.g_01268
OG0000194	Syaa.g_02452	Prbn.g_01265
OG0000195	Syaa.g_02459	Prbn.g_01263
OG0000196	Syaa.g_02469	Prbn.g_01252
OG0000197	Syaa.g_02470	Prbn.g_01251
OG0000198	Syaa.g_02471	Prbn.g_01250
OG0000199	Syaa.g_02479	Prbn.g_01243, Prbn.g_00384
OG0000200	Syaa.g_02496	Prbn.g_00370
OG0000201	Syaa.g_02521	Prbn.g_00361
OG0000202	Syaa.g_02522	Prbn.g_00360
OG0000203	Syaa.g_02523	Prbn.g_00359
OG0000204	Syaa.g_02524	Prbn.g_00358
OG0000205	Syaa.g_02531	Prbn.g_00351
OG0000206	Syaa.g_02538	Prbn.g_00346
OG0000207	Syaa.g_02540	Prbn.g_00343
OG0000208	Syaa.g_02541	Prbn.g_00342
OG0000209	Syaa.g_02556	Prbn.g_00333
OG0000210	Syaa.g_02557	Prbn.g_00332
OG0000211	Syaa.g_02113	Prbn.g_00317
OG0000212	Syaa.g_02102	Prbn.g_00309
OG0000213	Syaa.g_00295	Prbn.g_00024
OG0000214	Syaa.g_00279	Prbn.g_00034
OG0000215	Syaa.g_00248	Prbn.g_00061
OG0000216	Syaa.g_00244	Prbn.g_00062
OG0000217	Syaa.g_00240	Prbn.g_00065
OG0000218	Syaa.g_00238	Prbn.g_00067
OG0000219	Syaa.g_00237	Prbn.g_00068
OG0000220	Syaa.g_00236	Prbn.g_00069
OG0000221	Syaa.g_00229	Prbn.g_00070
OG0000222	Syaa.g_00215	Prbn.g_00077
OG0000223	Syaa.g_00192	Prbn.g_00089
OG0000224	Syaa.g_00183	Prbn.g_00091
OG0000225	Syaa.g_02166	Prbn.g_00117
OG0000226	Syaa.g_02162	Prbn.g_00121
OG0000227	Syaa.g_02160	Prbn.g_00123
OG0000228	Syaa.g_02150	Prbn.g_00697
OG0000229	Syaa.g_00703	Prbn.g_00677
OG0000230	Syaa.g_00705	Prbn.g_00675
OG0000231	Syaa.g_00717	Prbn.g_00664
OG0000232	Syaa.g_01858	Prbn.g_00653
OG0000233	Syaa.g_01853	Prbn.g_00647
OG0000234	Syaa.g_01841	Prbn.g_00638
OG0000235	Syaa.g_02052	Prbn.g_00635
OG0000236	Syaa.g_02037	Prbn.g_00621
OG0000237	Syaa.g_02020	Prbn.g_00608
OG0000238	Syaa.g_02015	Prbn.g_00602
OG0000239	Syaa.g_01996	Prbn.g_00591
OG0000240	Syaa.g_01995	Prbn.g_00590
OG0000241	Syaa.g_01644	Prbn.g_00586
OG0000242	Syaa.g_01982	Prbn.g_00584
OG0000243	Syaa.g_01960	Prbn.g_00573
OG0000244	Syaa.g_01954	Prbn.g_00570
OG0000245	Syaa.g_01952	Prbn.g_00568
OG0000246	Syaa.g_01948	Prbn.g_00564
OG0000247	Syaa.g_01937	Prbn.g_00554
OG0000248	Syaa.g_01934	Prbn.g_00551
OG0000249	Syaa.g_01932	Prbn.g_00549
OG0000250	Syaa.g_01922	Prbn.g_00544
OG0000251	Syaa.g_01897	Prbn.g_00524
OG0000252	Syaa.g_01894	Prbn.g_00521
OG0000253	Syaa.g_01893	Prbn.g_00520
OG0000254	Syaa.g_01684	Prbn.g_00503
OG0000255	Syaa.g_01668	Prbn.g_00497
OG0000256	Syaa.g_01651	Prbn.g_00487
OG0000257	Syaa.g_01645	Prbn.g_00421
OG0000258	Syaa.g_01624	Prbn.g_00435
OG0000259	Syaa.g_01063	Prbn.g_00835
OG0000260	Syaa.g_01066	Prbn.g_00838
OG0000261	Syaa.g_01069	Prbn.g_00841
OG0000262	Syaa.g_01074	Prbn.g_00845
OG0000263	Syaa.g_00989	Prbn.g_01583
OG0000264	Syaa.g_00910	Prbn.g_01572
OG0000265	Syaa.g_00931, Syaa.g_01498	Prbn.g_01554
OG0000266	Syaa.g_01257, Syaa.g_01258	Prbn.g_00864
OG0000267	Syaa.g_01409	Prbn.g_01350
OG0000268	Syaa.g_01408	Prbn.g_01351
OG0000269	Syaa.g_01149	Prbn.g_01551
OG0000270	Syaa.g_01152	Prbn.g_01548
OG0000271	Syaa.g_01160	Prbn.g_01540
OG0000272	Syaa.g_01161	Prbn.g_01539
OG0000273	Syaa.g_00844	Prbn.g_01515
OG0000274	Syaa.g_00843	Prbn.g_01514
OG0000275	Syaa.g_00840	Prbn.g_01511
OG0000276	Syaa.g_00834	Prbn.g_01505
OG0000277	Syaa.g_00833	Prbn.g_01504
OG0000278	Syaa.g_00830	Prbn.g_01501
OG0000279	Syaa.g_00822	Prbn.g_01494
OG0000280	Syaa.g_00815	Prbn.g_01493
OG0000282	Syaa.g_01096	Prbn.g_01619
OG0000283	Syaa.g_01396	Prbn.g_01442
OG0000284	Syaa.g_01390	Prbn.g_01437
OG0000285	Syaa.g_01377	Prbn.g_01432
OG0000286	Syaa.g_01358	Prbn.g_01419
OG0000287	Syaa.g_01330	Prbn.g_01123
OG0000288	Syaa.g_01299	Prbn.g_01380
OG0000289	Syaa.g_01285	Prbn.g_01364
OG0000290	Syaa.g_00875	Prbn.g_01468
OG0000291	Syaa.g_00877	Prbn.g_01470
OG0000292	Syaa.g_02751	Prbn.g_01144
OG0000293	Syaa.g_00758	Prbn.g_01179
OG0000294	Syaa.g_00759	Prbn.g_01180
OG0000295	Syaa.g_00796	Prbn.g_01203
OG0000296	Syaa.g_00798	Prbn.g_01205
OG0000297	Syaa.g_01021	Prbn.g_00387
OG0000298	Syaa.g_01010	Prbn.g_00388
OG0000299	Syaa.g_00982	Prbn.g_00407
OG0000300	Syaa.g_00976	Prbn.g_00410
OG0000301	Syaa.g_00975	Prbn.g_00411
OG0000302	Syaa.g_00972	Prbn.g_00413
OG0000303	Syaa.g_00963	Prbn.g_00419
OG0000304	Syaa.g_00957	Prbn.g_00482
OG0000305	Syaa.g_00881	Prbn.g_01146
OG0000306	Syaa.g_00807	Prbn.g_01482
OG0000307	Syaa.g_02068	Prbn.g_00159
OG0000308	Syaa.g_02070	Prbn.g_00160
OG0000309	Syaa.g_02075	Prbn.g_00164
OG0000310	Syaa.g_01752	Prbn.g_00198
OG0000311	Syaa.g_01757	Prbn.g_00200
OG0000312	Syaa.g_01762	Prbn.g_00203
OG0000313	Syaa.g_01779	Prbn.g_00216
OG0000314	Syaa.g_01806	Prbn.g_00239
OG0000315	Syaa.g_01816	Prbn.g_00249
OG0000316	Syaa.g_00598	Prbn.g_00274
OG0000317	Syaa.g_00556	Prbn.g_01742
OG0000318	Syaa.g_00550	Prbn.g_01746
OG0000319	Syaa.g_00532	Prbn.g_01759
OG0000320	Syaa.g_00530	Prbn.g_01761
OG0000321	Syaa.g_00529	Prbn.g_01762
OG0000322	Syaa.g_00528	Prbn.g_01763
OG0000323	Syaa.g_00496	Prbn.g_01773
OG0000324	Syaa.g_00653	Prbn.g_01800
OG0000325	Syaa.g_02350	Prbn.g_01811
OG0000326	Syaa.g_02343	Prbn.g_01818
OG0000327	Syaa.g_02294	Prbn.g_01839
OG0000328	Syaa.g_02293	Prbn.g_01840
OG0000329	Syaa.g_02275	Prbn.g_01857
OG0000330	Syaa.g_02274	Prbn.g_01858
OG0000331	Syaa.g_02273	Prbn.g_01859
OG0000332	Syaa.g_02258	Prbn.g_01873
OG0000333	Syaa.g_02255	Prbn.g_01875
OG0000334	Syaa.g_02246	Prbn.g_01884
OG0000335	Syaa.g_02241	Prbn.g_01889
OG0000336	Syaa.g_02237	Prbn.g_01893
OG0000337	Syaa.g_00167	Prbn.g_01911
OG0000338	Syaa.g_00162	Prbn.g_01912
OG0000339	Syaa.g_00156	Prbn.g_01918
OG0000340	Syaa.g_00144	Prbn.g_01012
OG0000341	Syaa.g_00142	Prbn.g_01010
OG0000342	Syaa.g_00141	Prbn.g_01009
OG0000343	Syaa.g_00140	Prbn.g_01008
OG0000344	Syaa.g_00136	Prbn.g_01005
OG0000345	Syaa.g_00127	Prbn.g_00999
OG0000346	Syaa.g_00122	Prbn.g_00995
OG0000347	Syaa.g_00088	Prbn.g_00978
OG0000348	Syaa.g_00071	Prbn.g_00970
OG0000349	Syaa.g_00053	Prbn.g_00953
OG0000350	Syaa.g_02336	Prbn.g_00798
OG0000351	Syaa.g_02730	Prbn.g_00913
OG0000352	Syaa.g_02731	Prbn.g_00912
OG0000353	Syaa.g_02757	Prbn.g_00299
OG0000355	Syaa.g_00001	Prbn.g_00301
OG0000356	Syaa.g_00002	Prbn.g_00302
OG0000357	Syaa.g_00003	Prbn.g_00011
OG0000358	Syaa.g_00007	Prbn.g_00007
OG0000359	Syaa.g_00009	Prbn.g_00006
OG0000360	Syaa.g_00010	Prbn.g_00005
OG0000361	Syaa.g_00011	Prbn.g_00004
OG0000362	Syaa.g_00013	Prbn.g_00001
OG0000363	Syaa.g_00015	Prbn.g_00768
OG0000364	Syaa.g_00016	Prbn.g_00767
OG0000365	Syaa.g_00027	Prbn.g_00762
OG0000366	Syaa.g_00028	Prbn.g_00761
OG0000367	Syaa.g_00029	Prbn.g_00760
OG0000368	Syaa.g_00031	Prbn.g_00758
OG0000369	Syaa.g_00032	Prbn.g_00757
OG0000370	Syaa.g_00033	Prbn.g_00756
OG0000371	Syaa.g_00041	Prbn.g_00749
OG0000372	Syaa.g_00046	Prbn.g_00746
OG0000373	Syaa.g_00047	Prbn.g_00745
OG0000374	Syaa.g_00048	Prbn.g_00744
OG0000375	Syaa.g_00049	Prbn.g_00742
OG0000376	Syaa.g_00051	Prbn.g_00740
OG0000377	Syaa.g_02585	Prbn.g_00736
OG0000378	Syaa.g_02577	Prbn.g_00732
OG0000379	Syaa.g_02574	Prbn.g_00729
OG0000380	Syaa.g_00357	Prbn.g_00712
OG0000381	Syaa.g_00353	Prbn.g_00707
OG0000382	Syaa.g_00335	Prbn.g_01340
OG0000383	Syaa.g_00333	Prbn.g_01338
OG0000384	Syaa.g_00332	Prbn.g_01337
OG0000385	Syaa.g_00331	Prbn.g_01336
OG0000386	Syaa.g_00330	Prbn.g_01335
OG0000387	Syaa.g_02371	Prbn.g_01321
OG0000388	Syaa.g_02375	Prbn.g_01317
OG0000389	Syaa.g_02379	Prbn.g_01314
OG0000390	Syaa.g_02398	Prbn.g_01304
OG0000391	Syaa.g_02403	Prbn.g_01301
OG0000392	Syaa.g_02409	Prbn.g_01297
OG0000393	Syaa.g_02412	Prbn.g_01294
OG0000394	Syaa.g_02413	Prbn.g_01293
OG0000395	Syaa.g_02414	Prbn.g_01292
OG0000396	Syaa.g_02417	Prbn.g_01290
OG0000397	Syaa.g_02419	Prbn.g_01288
OG0000398	Syaa.g_02424	Prbn.g_01285
OG0000399	Syaa.g_02425	Prbn.g_01284
OG0000400	Syaa.g_02426	Prbn.g_01283
OG0000401	Syaa.g_02427	Prbn.g_01282
OG0000402	Syaa.g_02429	Prbn.g_01356
OG0000403	Syaa.g_02430	Prbn.g_01280
OG0000404	Syaa.g_02431	Prbn.g_01279
OG0000405	Syaa.g_02446	Prbn.g_01275
OG0000406	Syaa.g_02450	Prbn.g_01267
OG0000407	Syaa.g_02451	Prbn.g_01266
OG0000408	Syaa.g_02458	Prbn.g_01264
OG0000409	Syaa.g_02460	Prbn.g_01262
OG0000410	Syaa.g_02461	Prbn.g_01261
OG0000411	Syaa.g_02462	Prbn.g_01260
OG0000412	Syaa.g_02463	Prbn.g_01259
OG0000413	Syaa.g_02465	Prbn.g_01257
OG0000415	Syaa.g_02466	Prbn.g_01255
OG0000416	Syaa.g_02467	Prbn.g_01254
OG0000417	Syaa.g_02468	Prbn.g_01253
OG0000418	Syaa.g_02473	Prbn.g_01248
OG0000419	Syaa.g_02475	Prbn.g_01246
OG0000420	Syaa.g_02477	Prbn.g_01245
OG0000421	Syaa.g_02482	Prbn.g_00381
OG0000422	Syaa.g_02483	Prbn.g_00380
OG0000423	Syaa.g_02484	Prbn.g_00379
OG0000424	Syaa.g_02485	Prbn.g_00378
OG0000425	Syaa.g_02486	Prbn.g_00377
OG0000426	Syaa.g_02487	Prbn.g_00376
OG0000427	Syaa.g_02488	Prbn.g_00375
OG0000428	Syaa.g_02491	Prbn.g_00373
OG0000429	Syaa.g_02493	Prbn.g_00372
OG0000430	Syaa.g_02495	Prbn.g_00371
OG0000431	Syaa.g_02498	Prbn.g_00369
OG0000432	Syaa.g_02504	Prbn.g_00365
OG0000433	Syaa.g_02513	Prbn.g_00364
OG0000434	Syaa.g_02514	Prbn.g_00363
OG0000435	Syaa.g_02516	Prbn.g_00362
OG0000436	Syaa.g_02525	Prbn.g_00357
OG0000437	Syaa.g_02526	Prbn.g_00356
OG0000438	Syaa.g_02527	Prbn.g_00355
OG0000439	Syaa.g_02529	Prbn.g_00353
OG0000440	Syaa.g_02530	Prbn.g_00352
OG0000441	Syaa.g_02534	Prbn.g_00349
OG0000442	Syaa.g_02535	Prbn.g_00348
OG0000443	Syaa.g_02536	Prbn.g_00347
OG0000444	Syaa.g_02542	Prbn.g_00341
OG0000445	Syaa.g_02543	Prbn.g_00340
OG0000446	Syaa.g_02545	Prbn.g_00339
OG0000447	Syaa.g_02548	Prbn.g_00338
OG0000448	Syaa.g_02549	Prbn.g_00337
OG0000449	Syaa.g_02550	Prbn.g_00336
OG0000450	Syaa.g_02553	Prbn.g_00335
OG0000451	Syaa.g_02554	Prbn.g_00334
OG0000452	Syaa.g_02558	Prbn.g_00331
OG0000453	Syaa.g_02559	Prbn.g_00330
OG0000454	Syaa.g_02560	Prbn.g_00329
OG0000455	Syaa.g_02561	Prbn.g_00328
OG0000456	Syaa.g_02562	Prbn.g_00327
OG0000457	Syaa.g_02564	Prbn.g_00325
OG0000458	Syaa.g_02565	Prbn.g_00324
OG0000459	Syaa.g_02566	Prbn.g_00323
OG0000460	Syaa.g_02111	Prbn.g_00315
OG0000461	Syaa.g_00318	Prbn.g_00307
OG0000462	Syaa.g_00315	Prbn.g_00305
OG0000463	Syaa.g_00314	Prbn.g_00304
OG0000464	Syaa.g_00313	Prbn.g_00012
OG0000465	Syaa.g_00311	Prbn.g_00013
OG0000466	Syaa.g_00306	Prbn.g_00016
OG0000467	Syaa.g_00304	Prbn.g_00017
OG0000468	Syaa.g_00299	Prbn.g_00020
OG0000469	Syaa.g_00285	Prbn.g_00028
OG0000470	Syaa.g_00283	Prbn.g_00030
OG0000471	Syaa.g_00282	Prbn.g_00031
OG0000472	Syaa.g_00280	Prbn.g_00033
OG0000473	Syaa.g_00278	Prbn.g_00035
OG0000474	Syaa.g_00277	Prbn.g_00036
OG0000475	Syaa.g_00276	Prbn.g_00037
OG0000476	Syaa.g_00274	Prbn.g_00039
OG0000477	Syaa.g_00268	Prbn.g_00042
OG0000478	Syaa.g_00267	Prbn.g_00043
OG0000479	Syaa.g_00266	Prbn.g_00044
OG0000480	Syaa.g_00259	Prbn.g_00049
OG0000481	Syaa.g_00257	Prbn.g_00052
OG0000482	Syaa.g_00256	Prbn.g_00053
OG0000483	Syaa.g_00252	Prbn.g_00056
OG0000484	Syaa.g_00251	Prbn.g_00057
OG0000485	Syaa.g_00250	Prbn.g_00059
OG0000486	Syaa.g_00249	Prbn.g_00060
OG0000487	Syaa.g_00243	Prbn.g_00063
OG0000488	Syaa.g_00239	Prbn.g_00066
OG0000489	Syaa.g_00228	Prbn.g_00071
OG0000490	Syaa.g_00220	Prbn.g_00075
OG0000491	Syaa.g_00218	Prbn.g_00076
OG0000492	Syaa.g_00214	Prbn.g_00078
OG0000493	Syaa.g_00213	Prbn.g_00079
OG0000494	Syaa.g_00212	Prbn.g_00080
OG0000495	Syaa.g_00211	Prbn.g_00081
OG0000496	Syaa.g_00210	Prbn.g_00082
OG0000497	Syaa.g_00209	Prbn.g_00083
OG0000498	Syaa.g_00208	Prbn.g_00084
OG0000499	Syaa.g_00207	Prbn.g_00085
OG0000500	Syaa.g_00206	Prbn.g_00086
OG0000501	Syaa.g_00203	Prbn.g_00087
OG0000502	Syaa.g_00190	Prbn.g_00090
OG0000503	Syaa.g_02182	Prbn.g_00105
OG0000504	Syaa.g_02180	Prbn.g_00107
OG0000505	Syaa.g_02179	Prbn.g_00108
OG0000506	Syaa.g_02177	Prbn.g_00109
OG0000507	Syaa.g_02171	Prbn.g_00112
OG0000508	Syaa.g_02167	Prbn.g_00116
OG0000509	Syaa.g_02165	Prbn.g_00118
OG0000510	Syaa.g_02164	Prbn.g_00119
OG0000511	Syaa.g_02163	Prbn.g_00120
OG0000512	Syaa.g_02161	Prbn.g_00122
OG0000513	Syaa.g_02145	Prbn.g_00693
OG0000514	Syaa.g_02118	Prbn.g_00682
OG0000515	Syaa.g_02117	Prbn.g_00681
OG0000516	Syaa.g_00698	Prbn.g_00680
OG0000517	Syaa.g_00702	Prbn.g_00678
OG0000518	Syaa.g_00714	Prbn.g_00667
OG0000519	Syaa.g_00715	Prbn.g_00666
OG0000520	Syaa.g_00716	Prbn.g_00665
OG0000521	Syaa.g_01864	Prbn.g_00657
OG0000522	Syaa.g_01862	Prbn.g_00655
OG0000523	Syaa.g_01859	Prbn.g_00654
OG0000524	Syaa.g_01856	Prbn.g_00649
OG0000525	Syaa.g_01851	Prbn.g_00645
OG0000526	Syaa.g_01848	Prbn.g_00644
OG0000527	Syaa.g_01844	Prbn.g_00641
OG0000528	Syaa.g_02054	Prbn.g_00636
OG0000529	Syaa.g_02050	Prbn.g_00633
OG0000530	Syaa.g_02047	Prbn.g_00630
OG0000531	Syaa.g_02046	Prbn.g_00629
OG0000532	Syaa.g_02043	Prbn.g_00627
OG0000533	Syaa.g_02042	Prbn.g_00626
OG0000534	Syaa.g_02041	Prbn.g_00625
OG0000535	Syaa.g_02040	Prbn.g_00624
OG0000536	Syaa.g_02039	Prbn.g_00623
OG0000537	Syaa.g_02038	Prbn.g_00622
OG0000538	Syaa.g_02027	Prbn.g_00613
OG0000539	Syaa.g_02026	Prbn.g_00612
OG0000540	Syaa.g_02025	Prbn.g_00611
OG0000541	Syaa.g_02024	Prbn.g_00610
