Orthogroup	Syaa	Prbl
OG0000232	Syaa.g_01858	Prbl.g_00619
OG0000233	Syaa.g_01853	Prbl.g_01360
OG0000234	Syaa.g_01841	Prbl.g_01339
OG0000235	Syaa.g_02052	Prbl.g_00510
OG0000236	Syaa.g_02037	Prbl.g_00526
OG0000237	Syaa.g_02020	Prbl.g_00800
OG0000238	Syaa.g_02015	Prbl.g_00795
OG0000239	Syaa.g_01996	Prbl.g_00779
OG0000240	Syaa.g_01995	Prbl.g_00778
OG0000241	Syaa.g_01644	Prbl.g_01526
OG0000242	Syaa.g_01982	Prbl.g_00768
OG0000243	Syaa.g_01960	Prbl.g_02647
OG0000244	Syaa.g_01954	Prbl.g_01879
OG0000245	Syaa.g_01952	Prbl.g_01882
OG0000246	Syaa.g_01948	Prbl.g_01886
OG0000247	Syaa.g_01937	Prbl.g_01897
OG0000248	Syaa.g_01934	Prbl.g_01900
OG0000249	Syaa.g_01932	Prbl.g_01902
OG0000250	Syaa.g_01922	Prbl.g_01799
OG0000251	Syaa.g_01897	Prbl.g_01775
OG0000252	Syaa.g_01894	Prbl.g_01772
OG0000253	Syaa.g_01893	Prbl.g_01766
OG0000254	Syaa.g_01684	Prbl.g_01747
OG0000255	Syaa.g_01668	Prbl.g_01612
OG0000256	Syaa.g_01651	Prbl.g_01626
OG0000257	Syaa.g_01645	Prbl.g_01632
OG0000258	Syaa.g_01624	Prbl.g_01655
OG0000259	Syaa.g_01063	Prbl.g_01406
OG0000260	Syaa.g_01066	Prbl.g_01403
OG0000261	Syaa.g_01069	Prbl.g_01400
OG0000262	Syaa.g_01074	Prbl.g_01395
OG0000263	Syaa.g_00989	Prbl.g_01242
OG0000264	Syaa.g_00910	Prbl.g_01859
OG0000265	Syaa.g_00931	Prbl.g_02567, Prbl.g_01839
OG0000266	Syaa.g_01257, Syaa.g_01258	Prbl.g_02556
OG0000267	Syaa.g_01409	Prbl.g_02431
OG0000268	Syaa.g_01408	Prbl.g_02432
OG0000269	Syaa.g_01149	Prbl.g_02340
OG0000270	Syaa.g_01152	Prbl.g_02337
OG0000271	Syaa.g_01160	Prbl.g_02329
OG0000272	Syaa.g_01161	Prbl.g_02328
OG0000273	Syaa.g_00844	Prbl.g_01534
OG0000274	Syaa.g_00843	Prbl.g_01535
OG0000275	Syaa.g_00840	Prbl.g_01538
OG0000276	Syaa.g_00834	Prbl.g_01544
OG0000277	Syaa.g_00833	Prbl.g_01545
OG0000278	Syaa.g_00830	Prbl.g_01548
OG0000279	Syaa.g_00822	Prbl.g_01556
OG0000280	Syaa.g_00815	Prbl.g_01562
OG0000282	Syaa.g_01096	Prbl.g_02405
OG0000283	Syaa.g_01396	Prbl.g_02443
OG0000284	Syaa.g_01390	Prbl.g_02449
OG0000285	Syaa.g_01377	Prbl.g_01688
OG0000286	Syaa.g_01358	Prbl.g_02477
OG0000287	Syaa.g_01330	Prbl.g_02608
OG0000288	Syaa.g_01299	Prbl.g_02531
OG0000289	Syaa.g_01285	Prbl.g_02544
OG0000290	Syaa.g_00875	Prbl.g_00930
OG0000291	Syaa.g_00877	Prbl.g_00928
OG0000292	Syaa.g_02751	Prbl.g_02128
OG0000293	Syaa.g_00758	Prbl.g_02071
OG0000294	Syaa.g_00759	Prbl.g_02072
OG0000295	Syaa.g_00796	Prbl.g_00178
OG0000296	Syaa.g_00798	Prbl.g_00180
OG0000297	Syaa.g_01021	Prbl.g_01382
OG0000298	Syaa.g_01010	Prbl.g_01383
OG0000299	Syaa.g_00982	Prbl.g_01372
OG0000300	Syaa.g_00976	Prbl.g_02582
OG0000301	Syaa.g_00975	Prbl.g_02583
OG0000302	Syaa.g_00972	Prbl.g_02586
OG0000303	Syaa.g_00963	Prbl.g_00187
OG0000304	Syaa.g_00957	Prbl.g_01102
OG0000305	Syaa.g_00881	Prbl.g_00926
OG0000306	Syaa.g_00807	Prbl.g_01586
OG0000307	Syaa.g_02068	Prbl.g_00494
OG0000308	Syaa.g_02070	Prbl.g_00492
OG0000309	Syaa.g_02075	Prbl.g_00488
OG0000310	Syaa.g_01752	Prbl.g_00160
OG0000311	Syaa.g_01757	Prbl.g_00258
OG0000312	Syaa.g_01762	Prbl.g_00254
OG0000313	Syaa.g_01779	Prbl.g_00230
OG0000314	Syaa.g_01806	Prbl.g_00699
OG0000315	Syaa.g_01816	Prbl.g_00709
OG0000316	Syaa.g_00598	Prbl.g_00441
OG0000317	Syaa.g_00556	Prbl.g_00399
OG0000318	Syaa.g_00550	Prbl.g_00393
OG0000319	Syaa.g_00532	Prbl.g_00376
OG0000320	Syaa.g_00530	Prbl.g_00374
OG0000321	Syaa.g_00529	Prbl.g_00373
OG0000322	Syaa.g_00528	Prbl.g_00372
OG0000323	Syaa.g_00496	Prbl.g_00361
OG0000324	Syaa.g_00653	Prbl.g_00332
OG0000325	Syaa.g_02350	Prbl.g_02683
OG0000326	Syaa.g_02343	Prbl.g_01059
OG0000327	Syaa.g_02294	Prbl.g_00957
OG0000328	Syaa.g_02293	Prbl.g_00958
OG0000329	Syaa.g_02275	Prbl.g_00975
OG0000330	Syaa.g_02274	Prbl.g_00976
OG0000331	Syaa.g_02273	Prbl.g_00977
OG0000332	Syaa.g_02258	Prbl.g_00992
OG0000333	Syaa.g_02255	Prbl.g_00994
OG0000334	Syaa.g_02246	Prbl.g_01131
OG0000335	Syaa.g_02241	Prbl.g_01136
OG0000336	Syaa.g_02237	Prbl.g_01140
OG0000337	Syaa.g_00167	Prbl.g_00863
OG0000338	Syaa.g_00162	Prbl.g_00859
OG0000339	Syaa.g_00156	Prbl.g_00853
OG0000340	Syaa.g_00144	Prbl.g_00841
OG0000341	Syaa.g_00142	Prbl.g_00839
OG0000342	Syaa.g_00141	Prbl.g_00838
OG0000343	Syaa.g_00140	Prbl.g_01307
OG0000344	Syaa.g_00136	Prbl.g_01304
OG0000345	Syaa.g_00127	Prbl.g_01289
OG0000346	Syaa.g_00122	Prbl.g_01284
OG0000347	Syaa.g_00088	Prbl.g_02053
OG0000348	Syaa.g_00071	Prbl.g_02016
OG0000349	Syaa.g_00053	Prbl.g_01992
OG0000350	Syaa.g_02336	Prbl.g_02195
OG0000351	Syaa.g_02730	Prbl.g_02147
OG0000352	Syaa.g_02731	Prbl.g_02146
OG0000353	Syaa.g_02757	Prbl.g_02122
OG0000354	Syaa.g_02008, Syaa.g_02009	Prbl.g_00789
OG0000354	Syaa.g_00019, Syaa.g_00020	Prbl.g_01959
OG0000355	Syaa.g_00001	Prbl.g_02120
OG0000356	Syaa.g_00002	Prbl.g_02119
OG0000357	Syaa.g_00003	Prbl.g_02118
OG0000358	Syaa.g_00007	Prbl.g_02114
OG0000359	Syaa.g_00009	Prbl.g_02112
OG0000360	Syaa.g_00010	Prbl.g_02111
OG0000361	Syaa.g_00011	Prbl.g_02110
OG0000362	Syaa.g_00013	Prbl.g_02108
OG0000363	Syaa.g_00015	Prbl.g_01955
OG0000364	Syaa.g_00016	Prbl.g_01956
OG0000365	Syaa.g_00027	Prbl.g_01965
OG0000366	Syaa.g_00028	Prbl.g_01966
OG0000367	Syaa.g_00029	Prbl.g_01967
OG0000368	Syaa.g_00031	Prbl.g_01969
OG0000369	Syaa.g_00032	Prbl.g_01970
OG0000370	Syaa.g_00033	Prbl.g_01971
OG0000371	Syaa.g_00041	Prbl.g_01980
OG0000372	Syaa.g_00046	Prbl.g_01985
OG0000373	Syaa.g_00047	Prbl.g_01986
OG0000374	Syaa.g_00048	Prbl.g_01987
OG0000375	Syaa.g_00049	Prbl.g_01988
OG0000376	Syaa.g_00051	Prbl.g_01990
OG0000377	Syaa.g_02585	Prbl.g_02244
OG0000378	Syaa.g_02577	Prbl.g_02258
OG0000379	Syaa.g_02574	Prbl.g_02274
OG0000380	Syaa.g_00357	Prbl.g_00612
OG0000381	Syaa.g_00353	Prbl.g_00607
OG0000382	Syaa.g_00335	Prbl.g_00592
OG0000383	Syaa.g_00333	Prbl.g_00590
OG0000384	Syaa.g_00332	Prbl.g_00589
OG0000385	Syaa.g_00331	Prbl.g_00588
OG0000386	Syaa.g_00330	Prbl.g_00587
OG0000387	Syaa.g_02371	Prbl.g_00561
OG0000388	Syaa.g_02375	Prbl.g_00557
OG0000389	Syaa.g_02379	Prbl.g_00553
OG0000390	Syaa.g_02398	Prbl.g_01331
OG0000391	Syaa.g_02403	Prbl.g_01326
OG0000392	Syaa.g_02409	Prbl.g_01320
OG0000393	Syaa.g_02412	Prbl.g_01315
OG0000394	Syaa.g_02413	Prbl.g_01314
OG0000395	Syaa.g_02414	Prbl.g_01313
OG0000396	Syaa.g_02417	Prbl.g_00827
OG0000397	Syaa.g_02419	Prbl.g_00825
OG0000398	Syaa.g_02424	Prbl.g_00820
OG0000399	Syaa.g_02425	Prbl.g_00819
OG0000400	Syaa.g_02426	Prbl.g_00818
OG0000401	Syaa.g_02427	Prbl.g_00817
OG0000402	Syaa.g_02429	Prbl.g_00815
OG0000403	Syaa.g_02430	Prbl.g_00814
OG0000404	Syaa.g_02431	Prbl.g_00812
OG0000405	Syaa.g_02446	Prbl.g_00305
OG0000406	Syaa.g_02450	Prbl.g_00301
OG0000407	Syaa.g_02451	Prbl.g_00300
OG0000408	Syaa.g_02458	Prbl.g_00298
OG0000409	Syaa.g_02460	Prbl.g_00296
OG0000410	Syaa.g_02461	Prbl.g_00295
OG0000411	Syaa.g_02462	Prbl.g_00294
OG0000412	Syaa.g_02463	Prbl.g_00293
OG0000413	Syaa.g_02465	Prbl.g_00291
OG0000415	Syaa.g_02466	Prbl.g_00289
OG0000416	Syaa.g_02467	Prbl.g_00288
OG0000417	Syaa.g_02468	Prbl.g_00287
OG0000418	Syaa.g_02473	Prbl.g_00282
OG0000419	Syaa.g_02475	Prbl.g_00280
OG0000420	Syaa.g_02477	Prbl.g_00279
OG0000421	Syaa.g_02482	Prbl.g_00275
OG0000422	Syaa.g_02483	Prbl.g_00274
OG0000423	Syaa.g_02484	Prbl.g_00273
OG0000424	Syaa.g_02485	Prbl.g_00272
OG0000425	Syaa.g_02486	Prbl.g_00271
OG0000426	Syaa.g_02487	Prbl.g_00270
OG0000427	Syaa.g_02488	Prbl.g_00269
OG0000428	Syaa.g_02491	Prbl.g_02377
OG0000429	Syaa.g_02493	Prbl.g_00066
OG0000430	Syaa.g_02495	Prbl.g_00068
OG0000431	Syaa.g_02498	Prbl.g_00072
OG0000432	Syaa.g_02504	Prbl.g_00079
OG0000433	Syaa.g_02513	Prbl.g_00082
OG0000434	Syaa.g_02514	Prbl.g_00083
OG0000435	Syaa.g_02516	Prbl.g_00086
OG0000436	Syaa.g_02525	Prbl.g_00092
OG0000437	Syaa.g_02526	Prbl.g_00093
OG0000438	Syaa.g_02527	Prbl.g_00094
OG0000439	Syaa.g_02529	Prbl.g_00096
OG0000440	Syaa.g_02530	Prbl.g_00097
OG0000441	Syaa.g_02534	Prbl.g_00104
OG0000442	Syaa.g_02535	Prbl.g_00105
OG0000443	Syaa.g_02536	Prbl.g_01283
OG0000444	Syaa.g_02542	Prbl.g_00127
OG0000445	Syaa.g_02543	Prbl.g_00126
OG0000446	Syaa.g_02545	Prbl.g_00124
OG0000447	Syaa.g_02548	Prbl.g_01244
OG0000448	Syaa.g_02549	Prbl.g_01245
OG0000449	Syaa.g_02550	Prbl.g_01246
OG0000450	Syaa.g_02553	Prbl.g_01252
OG0000451	Syaa.g_02554	Prbl.g_01253
OG0000452	Syaa.g_02558	Prbl.g_01258
OG0000453	Syaa.g_02559	Prbl.g_01259
OG0000454	Syaa.g_02560	Prbl.g_01260
OG0000455	Syaa.g_02561	Prbl.g_01261
OG0000456	Syaa.g_02562	Prbl.g_01262
OG0000457	Syaa.g_02564	Prbl.g_01264
OG0000458	Syaa.g_02565	Prbl.g_01265
OG0000459	Syaa.g_02566	Prbl.g_01266
OG0000460	Syaa.g_02111	Prbl.g_01923
OG0000461	Syaa.g_00318	Prbl.g_02679
OG0000462	Syaa.g_00315	Prbl.g_02666
OG0000463	Syaa.g_00314	Prbl.g_01516
OG0000464	Syaa.g_00313	Prbl.g_01515
OG0000465	Syaa.g_00311	Prbl.g_01513
OG0000466	Syaa.g_00306	Prbl.g_01508
OG0000467	Syaa.g_00304	Prbl.g_01506
OG0000468	Syaa.g_00299	Prbl.g_01499
OG0000469	Syaa.g_00285	Prbl.g_01486
OG0000470	Syaa.g_00283	Prbl.g_01473
OG0000471	Syaa.g_00282	Prbl.g_01472
OG0000472	Syaa.g_00280	Prbl.g_01470
OG0000473	Syaa.g_00278	Prbl.g_01468
OG0000474	Syaa.g_00277	Prbl.g_01467
OG0000475	Syaa.g_00276	Prbl.g_01466
OG0000476	Syaa.g_00274	Prbl.g_01464
OG0000477	Syaa.g_00268	Prbl.g_01459
OG0000478	Syaa.g_00267	Prbl.g_01458
OG0000479	Syaa.g_00266	Prbl.g_01457
OG0000480	Syaa.g_00259	Prbl.g_01450
OG0000481	Syaa.g_00257	Prbl.g_01448
OG0000482	Syaa.g_00256	Prbl.g_01447
OG0000483	Syaa.g_00252	Prbl.g_01443
OG0000484	Syaa.g_00251	Prbl.g_01442
OG0000485	Syaa.g_00250	Prbl.g_01441
OG0000486	Syaa.g_00249	Prbl.g_01440
OG0000487	Syaa.g_00243	Prbl.g_01435
OG0000488	Syaa.g_00239	Prbl.g_01431
OG0000489	Syaa.g_00228	Prbl.g_01420
OG0000490	Syaa.g_00220	Prbl.g_01414
OG0000491	Syaa.g_00218	Prbl.g_01413
OG0000492	Syaa.g_00214	Prbl.g_00909
OG0000493	Syaa.g_00213	Prbl.g_00908
OG0000494	Syaa.g_00212	Prbl.g_00907
OG0000495	Syaa.g_00211	Prbl.g_00906
OG0000496	Syaa.g_00210	Prbl.g_00905
OG0000497	Syaa.g_00209	Prbl.g_00904
OG0000498	Syaa.g_00208	Prbl.g_00903
OG0000499	Syaa.g_00207	Prbl.g_00902
OG0000500	Syaa.g_00206	Prbl.g_00901
OG0000501	Syaa.g_00203	Prbl.g_00898
OG0000502	Syaa.g_00190	Prbl.g_00886
OG0000503	Syaa.g_02182	Prbl.g_01201
OG0000504	Syaa.g_02180	Prbl.g_01203
OG0000505	Syaa.g_02179	Prbl.g_01204
OG0000506	Syaa.g_02177	Prbl.g_01206
OG0000507	Syaa.g_02171	Prbl.g_01210
OG0000508	Syaa.g_02167	Prbl.g_01217
OG0000509	Syaa.g_02165	Prbl.g_01219
OG0000510	Syaa.g_02164	Prbl.g_01220
OG0000511	Syaa.g_02163	Prbl.g_01221
OG0000512	Syaa.g_02161	Prbl.g_01223
OG0000513	Syaa.g_02145	Prbl.g_02678
OG0000514	Syaa.g_02118	Prbl.g_00676
OG0000515	Syaa.g_02117	Prbl.g_00675
OG0000516	Syaa.g_00698	Prbl.g_00663
OG0000517	Syaa.g_00702	Prbl.g_00653
OG0000518	Syaa.g_00714	Prbl.g_00641
OG0000519	Syaa.g_00715	Prbl.g_00640
OG0000520	Syaa.g_00716	Prbl.g_00639
OG0000521	Syaa.g_01864	Prbl.g_00625
OG0000522	Syaa.g_01862	Prbl.g_00623
OG0000523	Syaa.g_01859	Prbl.g_00622
OG0000524	Syaa.g_01856	Prbl.g_01364
OG0000525	Syaa.g_01851	Prbl.g_01348
OG0000526	Syaa.g_01848	Prbl.g_01346
OG0000527	Syaa.g_01844	Prbl.g_01342
OG0000528	Syaa.g_02054	Prbl.g_00506
OG0000529	Syaa.g_02050	Prbl.g_00512
OG0000530	Syaa.g_02047	Prbl.g_00515
OG0000531	Syaa.g_02046	Prbl.g_00516
OG0000532	Syaa.g_02043	Prbl.g_00519
OG0000533	Syaa.g_02042	Prbl.g_00521
OG0000534	Syaa.g_02041	Prbl.g_00522
OG0000535	Syaa.g_02040	Prbl.g_00523
OG0000536	Syaa.g_02039	Prbl.g_00524
OG0000537	Syaa.g_02038	Prbl.g_00525
OG0000538	Syaa.g_02027	Prbl.g_00536
OG0000539	Syaa.g_02026	Prbl.g_00806
OG0000540	Syaa.g_02025	Prbl.g_00805
OG0000541	Syaa.g_02024	Prbl.g_00804
OG0000542	Syaa.g_02021	Prbl.g_00801
OG0000543	Syaa.g_02019	Prbl.g_00799
OG0000544	Syaa.g_02018	Prbl.g_00798
OG0000545	Syaa.g_02016	Prbl.g_00797
OG0000546	Syaa.g_02014	Prbl.g_00794
OG0000547	Syaa.g_02012	Prbl.g_00792
