Orthogroup	Prar	Prbn
OG0000033	Prar.g_00158	Prbn.g_01244
OG0000034	Prar.g_00945	Prbn.g_01073
OG0000037	Prar.g_00219	Prbn.g_01310
OG0000038	Prar.g_00702	Prbn.g_00946
OG0000039	Prar.g_01516	Prbn.g_01577
OG0000041	Prar.g_00602	Prbn.g_01793
OG0000042	Prar.g_00660	Prbn.g_00988
OG0000043	Prar.g_01755	Prbn.g_01168
OG0000045	Prar.g_00432	Prbn.g_01145
OG0000047	Prar.g_00468	Prbn.g_00690
OG0000048	Prar.g_00435	Prbn.g_00038
OG0000053	Prar.g_00589, Prar.g_00827	Prbn.g_01690, Prbn.g_00233
OG0000054	Prar.g_01436	Prbn.g_00508
OG0000055	Prar.g_01664	Prbn.g_01140
OG0000057	Prar.g_01528	Prbn.g_01562
OG0000058	Prar.g_00870, Prar.g_00362	Prbn.g_00172
OG0000059	Prar.g_01090	Prbn.g_01833
OG0000061	Prar.g_01263	Prbn.g_01189
OG0000062	Prar.g_00769	Prbn.g_00897
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Prbn.g_00130
OG0000065	Prar.g_00221	Prbn.g_01312
OG0000066	Prar.g_01369	Prbn.g_00577, Prbn.g_01657
OG0000067	Prar.g_01684	Prbn.g_01546
OG0000068	Prar.g_00911	Prbn.g_01240
OG0000069	Prar.g_01170, Prar.g_00736	Prbn.g_00659
OG0000070	Prar.g_00498	Prbn.g_00663
OG0000071	Prar.g_00955	Prbn.g_01084
OG0000072	Prar.g_00156	Prbn.g_00383
OG0000073	Prar.g_01330	Prbn.g_00614
OG0000074	Prar.g_01512	Prbn.g_01582
OG0000075	Prar.g_00629	Prbn.g_01917
OG0000076	Prar.g_00592, Prar.g_00653	Prbn.g_00996
OG0000077	Prar.g_00250	Prbn.g_01342
OG0000078	Prar.g_00088	Prbn.g_00310
OG0000081	Prar.g_01361	Prbn.g_00585
OG0000082	Prar.g_01414	Prbn.g_00530, Prbn.g_01734
OG0000084	Prar.g_00343	Prbn.g_00209
OG0000085	Prar.g_01150	Prbn.g_01737, Prbn.g_00144
OG0000086	Prar.g_00240	Prbn.g_01333
OG0000087	Prar.g_00189	Prbn.g_01278
OG0000088	Prar.g_00161	Prbn.g_01247
OG0000089	Prar.g_00416	Prbn.g_00696
OG0000090	Prar.g_01363	Prbn.g_00583
OG0000091	Prar.g_01472	Prbn.g_00434
OG0000092	Prar.g_01781	Prbn.g_01616
OG0000093	Prar.g_01801	Prbn.g_00846
OG0000094	Prar.g_01885	Prbn.g_01369
OG0000095	Prar.g_01904	Prbn.g_01471
OG0000096	Prar.g_01006, Prar.g_01313, Prar.g_00991	Prbn.g_01049
OG0000097	Prar.g_01222	Prbn.g_00408
OG0000098	Prar.g_00929	Prbn.g_01216
OG0000099	Prar.g_00872	Prbn.g_00173
OG0000100	Prar.g_00773	Prbn.g_00903
OG0000101	Prar.g_01027	Prbn.g_01881
OG0000102	Prar.g_00658	Prbn.g_00991
OG0000103	Prar.g_00050	Prbn.g_00907
OG0000104	Prar.g_00042	Prbn.g_00296
OG0000105	Prar.g_00313	Prbn.g_00041
OG0000106	Prar.g_00431	Prbn.g_00829
OG0000107	Prar.g_00446	Prbn.g_01810
OG0000108	Prar.g_00530	Prbn.g_00634
OG0000109	Prar.g_00544	Prbn.g_00620
OG0000110	Prar.g_01404	Prbn.g_00541
OG0000111	Prar.g_01529	Prbn.g_01561
OG0000112	Prar.g_01652	Prbn.g_00468
OG0000113	Prar.g_01706	Prbn.g_01523
OG0000114	Prar.g_01776	Prbn.g_01621
OG0000115	Prar.g_01318	Prbn.g_01120
OG0000116	Prar.g_01273	Prbn.g_01178
OG0000117	Prar.g_01003	Prbn.g_00389
OG0000118	Prar.g_00943	Prbn.g_01071
OG0000119	Prar.g_00915	Prbn.g_01135, Prbn.g_00885
OG0000120	Prar.g_00880	Prbn.g_00170
OG0000121	Prar.g_00337	Prbn.g_00214
OG0000122	Prar.g_00807	Prbn.g_01113, Prbn.g_00255
OG0000123	Prar.g_01021	Prbn.g_01888
OG0000124	Prar.g_00668	Prbn.g_00979
OG0000125	Prar.g_00704	Prbn.g_00944
OG0000126	Prar.g_00043	Prbn.g_00295
OG0000128	Prar.g_00027	Prbn.g_00002, Prbn.g_00003
OG0000129	Prar.g_00576	Prbn.g_00737
OG0000130	Prar.g_00549	Prbn.g_00708
OG0000131	Prar.g_00182	Prbn.g_01269
OG0000132	Prar.g_00163	Prbn.g_01249
OG0000133	Prar.g_00265	Prbn.g_00088
OG0000134	Prar.g_00417	Prbn.g_00694
OG0000135	Prar.g_00444	Prbn.g_01102
OG0000136	Prar.g_00489	Prbn.g_00672
OG0000137	Prar.g_00525	Prbn.g_00639
OG0000138	Prar.g_00545	Prbn.g_00619
OG0000139	Prar.g_01367	Prbn.g_00579
OG0000140	Prar.g_01368	Prbn.g_00578
OG0000141	Prar.g_01437	Prbn.g_00507
OG0000142	Prar.g_01465	Prbn.g_00426
OG0000143	Prar.g_01469	Prbn.g_00430
OG0000144	Prar.g_01482	Prbn.g_00444
OG0000145	Prar.g_01651	Prbn.g_01100
OG0000146	Prar.g_01653	Prbn.g_00469
OG0000147	Prar.g_01654	Prbn.g_00470
OG0000148	Prar.g_01700	Prbn.g_01529
OG0000149	Prar.g_01730	Prbn.g_01497
OG0000150	Prar.g_01738	Prbn.g_01487
OG0000151	Prar.g_01786	Prbn.g_01611
OG0000152	Prar.g_01833	Prbn.g_01418
OG0000153	Prar.g_01852	Prbn.g_01399
OG0000154	Prar.g_01878	Prbn.g_01379
OG0000155	Prar.g_01243	Prbn.g_01210
OG0000156	Prar.g_00966	Prbn.g_01095
OG0000157	Prar.g_00965	Prbn.g_01094
OG0000158	Prar.g_00375	Prbn.g_01014
OG0000159	Prar.g_00380, Prar.g_00871	Prbn.g_00717
OG0000160	Prar.g_00338	Prbn.g_00213
OG0000161	Prar.g_00840	Prbn.g_00219
OG0000162	Prar.g_00834	Prbn.g_00225
OG0000163	Prar.g_00800	Prbn.g_00264
OG0000164	Prar.g_01964	Prbn.g_01770
OG0000165	Prar.g_01971	Prbn.g_01777
OG0000166	Prar.g_01063	Prbn.g_01844
OG0000167	Prar.g_00627	Prbn.g_01915
OG0000168	Prar.g_00637	Prbn.g_01013
OG0000169	Prar.g_00647	Prbn.g_01003
OG0000170	Prar.g_00649	Prbn.g_01000
OG0000171	Prar.g_00667	Prbn.g_00980
OG0000172	Prar.g_00675	Prbn.g_00973
OG0000173	Prar.g_00690	Prbn.g_00958
OG0000174	Prar.g_00068	Prbn.g_00929
OG0000175	Prar.g_00058	Prbn.g_00916
OG0000176	Prar.g_00034	Prbn.g_00010
OG0000177	Prar.g_00033	Prbn.g_00009
OG0000178	Prar.g_00032	Prbn.g_00008
OG0000179	Prar.g_00022	Prbn.g_00766
OG0000180	Prar.g_00021	Prbn.g_00765
OG0000181	Prar.g_00020	Prbn.g_00764
OG0000182	Prar.g_00019	Prbn.g_00763
OG0000183	Prar.g_00015	Prbn.g_00759
OG0000184	Prar.g_00573	Prbn.g_00733
OG0000185	Prar.g_00570	Prbn.g_00730
OG0000186	Prar.g_00554	Prbn.g_00714
OG0000187	Prar.g_00553	Prbn.g_00713
OG0000188	Prar.g_00246	Prbn.g_01339
OG0000189	Prar.g_00232	Prbn.g_01325
OG0000190	Prar.g_00231	Prbn.g_01323
OG0000191	Prar.g_00211	Prbn.g_01300
OG0000192	Prar.g_00207	Prbn.g_01295
OG0000193	Prar.g_00181	Prbn.g_01268
OG0000194	Prar.g_00178	Prbn.g_01265
OG0000195	Prar.g_00176	Prbn.g_01263
OG0000196	Prar.g_00166	Prbn.g_01252
OG0000197	Prar.g_00165	Prbn.g_01251
OG0000198	Prar.g_00164	Prbn.g_01250
OG0000199	Prar.g_00157	Prbn.g_01243, Prbn.g_00384
OG0000200	Prar.g_00143	Prbn.g_00370
OG0000201	Prar.g_00135	Prbn.g_00361
OG0000202	Prar.g_00134	Prbn.g_00360
OG0000203	Prar.g_00133	Prbn.g_00359
OG0000204	Prar.g_00132	Prbn.g_00358
OG0000205	Prar.g_00125	Prbn.g_00351
OG0000206	Prar.g_00120	Prbn.g_00346
OG0000207	Prar.g_00118	Prbn.g_00343
OG0000208	Prar.g_00117	Prbn.g_00342
OG0000209	Prar.g_00108	Prbn.g_00333
OG0000210	Prar.g_00107	Prbn.g_00332
OG0000211	Prar.g_00094	Prbn.g_00317
OG0000212	Prar.g_00087	Prbn.g_00309
OG0000213	Prar.g_00330	Prbn.g_00024
OG0000214	Prar.g_00320	Prbn.g_00034
OG0000215	Prar.g_00295	Prbn.g_00061
OG0000216	Prar.g_00293	Prbn.g_00062
OG0000217	Prar.g_01154, Prar.g_00290	Prbn.g_00065
OG0000218	Prar.g_00288	Prbn.g_00067
OG0000219	Prar.g_00287	Prbn.g_00068
OG0000220	Prar.g_00286	Prbn.g_00069
OG0000221	Prar.g_00285	Prbn.g_00070
OG0000222	Prar.g_00277	Prbn.g_00077
OG0000223	Prar.g_00264	Prbn.g_00089
OG0000224	Prar.g_00262	Prbn.g_00091
OG0000225	Prar.g_00406	Prbn.g_00117
OG0000226	Prar.g_00410	Prbn.g_00121
OG0000227	Prar.g_00412	Prbn.g_00123
OG0000228	Prar.g_00415	Prbn.g_00697
OG0000229	Prar.g_00484	Prbn.g_00677
OG0000230	Prar.g_00486	Prbn.g_00675
OG0000231	Prar.g_00497	Prbn.g_00664
OG0000232	Prar.g_00506	Prbn.g_00653
OG0000233	Prar.g_00512	Prbn.g_00647
OG0000234	Prar.g_00526	Prbn.g_00638
OG0000235	Prar.g_00529	Prbn.g_00635
OG0000236	Prar.g_00543	Prbn.g_00621
OG0000237	Prar.g_01337	Prbn.g_00608
OG0000238	Prar.g_01343	Prbn.g_00602
OG0000239	Prar.g_01355	Prbn.g_00591
OG0000240	Prar.g_01356	Prbn.g_00590
OG0000241	Prar.g_01360	Prbn.g_00586
OG0000242	Prar.g_01362	Prbn.g_00584
OG0000243	Prar.g_01373	Prbn.g_00573
OG0000244	Prar.g_01376	Prbn.g_00570
OG0000245	Prar.g_01378	Prbn.g_00568
OG0000246	Prar.g_01382	Prbn.g_00564
OG0000247	Prar.g_01392	Prbn.g_00554
OG0000248	Prar.g_01394	Prbn.g_00551
OG0000249	Prar.g_01396	Prbn.g_00549
OG0000250	Prar.g_01401	Prbn.g_00544
OG0000251	Prar.g_01420	Prbn.g_00524
OG0000252	Prar.g_01424	Prbn.g_00521
OG0000253	Prar.g_01425	Prbn.g_00520
OG0000254	Prar.g_01441	Prbn.g_00503
OG0000255	Prar.g_01447	Prbn.g_00497
OG0000256	Prar.g_01457	Prbn.g_00487
OG0000257	Prar.g_01460	Prbn.g_00421
OG0000258	Prar.g_01473	Prbn.g_00435
OG0000259	Prar.g_01490	Prbn.g_00835
OG0000260	Prar.g_01493	Prbn.g_00838
OG0000261	Prar.g_01495	Prbn.g_00841
OG0000262	Prar.g_01499	Prbn.g_00845
OG0000263	Prar.g_01511	Prbn.g_01583
OG0000264	Prar.g_01521	Prbn.g_01572
OG0000265	Prar.g_01599	Prbn.g_01554
OG0000266	Prar.g_01609	Prbn.g_00864
OG0000267	Prar.g_01620	Prbn.g_01350
OG0000268	Prar.g_01621	Prbn.g_01351
OG0000269	Prar.g_01679	Prbn.g_01551
OG0000270	Prar.g_01682	Prbn.g_01548
OG0000271	Prar.g_01690	Prbn.g_01540
OG0000272	Prar.g_01691	Prbn.g_01539
OG0000273	Prar.g_01714	Prbn.g_01515
OG0000274	Prar.g_01715	Prbn.g_01514
OG0000275	Prar.g_01717	Prbn.g_01511
OG0000276	Prar.g_01722	Prbn.g_01505
OG0000277	Prar.g_01723	Prbn.g_01504
OG0000278	Prar.g_01726	Prbn.g_01501
OG0000279	Prar.g_01733	Prbn.g_01494
OG0000280	Prar.g_01734	Prbn.g_01493
OG0000281	Prar.g_01740	Prbn.g_01486
OG0000282	Prar.g_01778	Prbn.g_01619
OG0000283	Prar.g_01810	Prbn.g_01442
OG0000284	Prar.g_01815	Prbn.g_01437
OG0000285	Prar.g_01820	Prbn.g_01432
OG0000286	Prar.g_01832	Prbn.g_01419
OG0000287	Prar.g_01849	Prbn.g_01123
OG0000288	Prar.g_01877	Prbn.g_01380
OG0000289	Prar.g_01888	Prbn.g_01364
OG0000290	Prar.g_01901	Prbn.g_01468
OG0000291	Prar.g_01903	Prbn.g_01470
OG0000292	Prar.g_01953	Prbn.g_01144
OG0000293	Prar.g_01272	Prbn.g_01179
OG0000294	Prar.g_01271	Prbn.g_01180
OG0000295	Prar.g_01251	Prbn.g_01203
OG0000296	Prar.g_01249	Prbn.g_01205
OG0000297	Prar.g_01241	Prbn.g_00387
OG0000298	Prar.g_01240	Prbn.g_00388
OG0000299	Prar.g_01223	Prbn.g_00407
OG0000300	Prar.g_01220	Prbn.g_00410
OG0000301	Prar.g_01219	Prbn.g_00411
OG0000302	Prar.g_01217	Prbn.g_00413
OG0000303	Prar.g_01210	Prbn.g_00419
OG0000304	Prar.g_01206	Prbn.g_00482
OG0000305	Prar.g_00919	Prbn.g_01146
OG0000306	Prar.g_00916	Prbn.g_01482
OG0000307	Prar.g_00902	Prbn.g_00159
OG0000308	Prar.g_00901	Prbn.g_00160
OG0000309	Prar.g_00897	Prbn.g_00164
OG0000310	Prar.g_00354	Prbn.g_00198
OG0000311	Prar.g_00352	Prbn.g_00200
OG0000312	Prar.g_00349	Prbn.g_00203
OG0000313	Prar.g_00335	Prbn.g_00216
OG0000314	Prar.g_00820	Prbn.g_00239
OG0000315	Prar.g_00810	Prbn.g_00249
OG0000316	Prar.g_00790	Prbn.g_00274
OG0000317	Prar.g_01145	Prbn.g_01742
OG0000318	Prar.g_01142	Prbn.g_01746
OG0000319	Prar.g_01129	Prbn.g_01759
OG0000320	Prar.g_01127	Prbn.g_01761
OG0000321	Prar.g_01126	Prbn.g_01762
OG0000322	Prar.g_01125	Prbn.g_01763
OG0000323	Prar.g_01967	Prbn.g_01773
OG0000324	Prar.g_00609	Prbn.g_01800
OG0000325	Prar.g_01113	Prbn.g_01811
OG0000326	Prar.g_01107	Prbn.g_01818
OG0000327	Prar.g_01068	Prbn.g_01839
OG0000328	Prar.g_01067	Prbn.g_01840
OG0000329	Prar.g_01050	Prbn.g_01857
OG0000330	Prar.g_01049	Prbn.g_01858
OG0000331	Prar.g_01048	Prbn.g_01859
OG0000332	Prar.g_01034	Prbn.g_01873
OG0000333	Prar.g_01032	Prbn.g_01875
OG0000334	Prar.g_01024	Prbn.g_01884
OG0000335	Prar.g_01020	Prbn.g_01889
OG0000336	Prar.g_01016	Prbn.g_01893
OG0000337	Prar.g_00625	Prbn.g_01911
OG0000338	Prar.g_00626	Prbn.g_01912
OG0000339	Prar.g_00630	Prbn.g_01918
OG0000340	Prar.g_00638	Prbn.g_01012
OG0000341	Prar.g_00640	Prbn.g_01010
OG0000342	Prar.g_00641	Prbn.g_01009
OG0000343	Prar.g_00642	Prbn.g_01008
OG0000344	Prar.g_00645	Prbn.g_01005
OG0000345	Prar.g_00650	Prbn.g_00999
OG0000346	Prar.g_00654	Prbn.g_00995
OG0000347	Prar.g_00669	Prbn.g_00978
OG0000348	Prar.g_00678	Prbn.g_00970
OG0000349	Prar.g_00695	Prbn.g_00953
OG0000350	Prar.g_00072	Prbn.g_00798
OG0000351	Prar.g_00055	Prbn.g_00913
OG0000352	Prar.g_00054	Prbn.g_00912
OG0000353	Prar.g_00039	Prbn.g_00299
OG0000355	Prar.g_00037	Prbn.g_00301
OG0000356	Prar.g_00036	Prbn.g_00302
OG0000357	Prar.g_00035	Prbn.g_00011
OG0000358	Prar.g_00031	Prbn.g_00007
OG0000359	Prar.g_00030	Prbn.g_00006
OG0000360	Prar.g_00029	Prbn.g_00005
OG0000361	Prar.g_00028	Prbn.g_00004
OG0000362	Prar.g_00026	Prbn.g_00001
OG0000363	Prar.g_00024	Prbn.g_00768
OG0000364	Prar.g_00023	Prbn.g_00767
OG0000365	Prar.g_00018	Prbn.g_00762
OG0000366	Prar.g_00017	Prbn.g_00761
OG0000367	Prar.g_00016	Prbn.g_00760
OG0000368	Prar.g_00014	Prbn.g_00758
OG0000369	Prar.g_00013	Prbn.g_00757
OG0000370	Prar.g_00012	Prbn.g_00756
OG0000371	Prar.g_00006	Prbn.g_00749
OG0000372	Prar.g_00002	Prbn.g_00746
OG0000373	Prar.g_00001	Prbn.g_00745
OG0000374	Prar.g_00594	Prbn.g_00744
OG0000375	Prar.g_00580	Prbn.g_00742
OG0000376	Prar.g_00578	Prbn.g_00740
OG0000377	Prar.g_00574	Prbn.g_00736
OG0000378	Prar.g_00572	Prbn.g_00732
OG0000379	Prar.g_00569	Prbn.g_00729
OG0000380	Prar.g_00552	Prbn.g_00712
OG0000381	Prar.g_00548	Prbn.g_00707
OG0000382	Prar.g_00247	Prbn.g_01340
OG0000383	Prar.g_00245	Prbn.g_01338
OG0000384	Prar.g_00244	Prbn.g_01337
OG0000385	Prar.g_00243	Prbn.g_01336
OG0000386	Prar.g_00242	Prbn.g_01335
OG0000387	Prar.g_00229	Prbn.g_01321
OG0000388	Prar.g_00226	Prbn.g_01317
OG0000389	Prar.g_00222	Prbn.g_01314
OG0000390	Prar.g_00215	Prbn.g_01304
OG0000391	Prar.g_00212	Prbn.g_01301
OG0000392	Prar.g_00208	Prbn.g_01297
OG0000393	Prar.g_00206	Prbn.g_01294
OG0000394	Prar.g_00205	Prbn.g_01293
OG0000395	Prar.g_00204	Prbn.g_01292
OG0000396	Prar.g_00201	Prbn.g_01290
OG0000397	Prar.g_00199	Prbn.g_01288
OG0000398	Prar.g_00197	Prbn.g_01285
OG0000399	Prar.g_00196	Prbn.g_01284
OG0000400	Prar.g_00195	Prbn.g_01283
OG0000401	Prar.g_00194	Prbn.g_01282
OG0000402	Prar.g_00192	Prbn.g_01356
OG0000403	Prar.g_00191	Prbn.g_01280
OG0000404	Prar.g_00190	Prbn.g_01279
OG0000405	Prar.g_00186	Prbn.g_01275
OG0000406	Prar.g_00180	Prbn.g_01267
OG0000407	Prar.g_00179	Prbn.g_01266
OG0000408	Prar.g_00177	Prbn.g_01264
OG0000409	Prar.g_00175	Prbn.g_01262
OG0000410	Prar.g_00174	Prbn.g_01261
OG0000411	Prar.g_00173	Prbn.g_01260
OG0000412	Prar.g_00172	Prbn.g_01259
OG0000413	Prar.g_00171	Prbn.g_01257
OG0000414	Prar.g_01569, Prar.g_00170	Prbn.g_01256
OG0000415	Prar.g_00169	Prbn.g_01255
OG0000416	Prar.g_00168	Prbn.g_01254
OG0000417	Prar.g_00167	Prbn.g_01253
OG0000418	Prar.g_00162	Prbn.g_01248
OG0000419	Prar.g_00160	Prbn.g_01246
OG0000420	Prar.g_00159	Prbn.g_01245
OG0000421	Prar.g_00154	Prbn.g_00381
OG0000422	Prar.g_00153	Prbn.g_00380
OG0000423	Prar.g_00152	Prbn.g_00379
OG0000424	Prar.g_00151	Prbn.g_00378
OG0000425	Prar.g_00150	Prbn.g_00377
OG0000426	Prar.g_00149	Prbn.g_00376
OG0000427	Prar.g_00148	Prbn.g_00375
OG0000428	Prar.g_00146	Prbn.g_00373
OG0000429	Prar.g_00145	Prbn.g_00372
OG0000430	Prar.g_00144	Prbn.g_00371
OG0000431	Prar.g_00142	Prbn.g_00369
OG0000432	Prar.g_00139	Prbn.g_00365
OG0000433	Prar.g_00138	Prbn.g_00364
OG0000434	Prar.g_00137	Prbn.g_00363
OG0000435	Prar.g_00136	Prbn.g_00362
OG0000436	Prar.g_00131	Prbn.g_00357
OG0000437	Prar.g_00130	Prbn.g_00356
OG0000438	Prar.g_00129	Prbn.g_00355
OG0000439	Prar.g_00127	Prbn.g_00353
OG0000440	Prar.g_00126	Prbn.g_00352
OG0000441	Prar.g_00123	Prbn.g_00349
OG0000442	Prar.g_00122	Prbn.g_00348
OG0000443	Prar.g_00121	Prbn.g_00347
OG0000444	Prar.g_00116	Prbn.g_00341
OG0000445	Prar.g_00115	Prbn.g_00340
OG0000446	Prar.g_00114	Prbn.g_00339
OG0000447	Prar.g_00113	Prbn.g_00338
OG0000448	Prar.g_00112	Prbn.g_00337
OG0000449	Prar.g_00111	Prbn.g_00336
OG0000450	Prar.g_00110	Prbn.g_00335
OG0000451	Prar.g_00109	Prbn.g_00334
OG0000452	Prar.g_00106	Prbn.g_00331
OG0000453	Prar.g_00105	Prbn.g_00330
OG0000454	Prar.g_00104	Prbn.g_00329
OG0000455	Prar.g_00103	Prbn.g_00328
OG0000456	Prar.g_00102	Prbn.g_00327
OG0000457	Prar.g_00101	Prbn.g_00325
OG0000458	Prar.g_00100	Prbn.g_00324
OG0000459	Prar.g_00099	Prbn.g_00323
OG0000460	Prar.g_00092	Prbn.g_00315
OG0000461	Prar.g_00085	Prbn.g_00307
OG0000462	Prar.g_00083	Prbn.g_00305
OG0000463	Prar.g_00082	Prbn.g_00304
OG0000464	Prar.g_00081	Prbn.g_00012
OG0000465	Prar.g_00080	Prbn.g_00013
OG0000466	Prar.g_00077	Prbn.g_00016
OG0000467	Prar.g_00076	Prbn.g_00017
OG0000468	Prar.g_00334	Prbn.g_00020
OG0000469	Prar.g_00325	Prbn.g_00028
OG0000470	Prar.g_00323	Prbn.g_00030
OG0000471	Prar.g_00322	Prbn.g_00031
OG0000472	Prar.g_00321	Prbn.g_00033
OG0000473	Prar.g_00319	Prbn.g_00035
OG0000474	Prar.g_00318	Prbn.g_00036
OG0000475	Prar.g_00317	Prbn.g_00037
OG0000476	Prar.g_00316	Prbn.g_00039
OG0000477	Prar.g_00312	Prbn.g_00042
OG0000478	Prar.g_00311	Prbn.g_00043
OG0000479	Prar.g_00310	Prbn.g_00044
OG0000480	Prar.g_00305	Prbn.g_00049
OG0000481	Prar.g_00303	Prbn.g_00052
OG0000482	Prar.g_00302	Prbn.g_00053
OG0000483	Prar.g_00299	Prbn.g_00056
OG0000484	Prar.g_00298	Prbn.g_00057
OG0000485	Prar.g_00297	Prbn.g_00059
OG0000486	Prar.g_00296	Prbn.g_00060
OG0000487	Prar.g_00292	Prbn.g_00063
OG0000488	Prar.g_00289	Prbn.g_00066
OG0000489	Prar.g_00284	Prbn.g_00071
OG0000490	Prar.g_00279	Prbn.g_00075
OG0000491	Prar.g_00278	Prbn.g_00076
OG0000492	Prar.g_00276	Prbn.g_00078
OG0000493	Prar.g_00275	Prbn.g_00079
OG0000494	Prar.g_00274	Prbn.g_00080
OG0000495	Prar.g_00273	Prbn.g_00081
OG0000496	Prar.g_00272	Prbn.g_00082
OG0000497	Prar.g_00271	Prbn.g_00083
OG0000498	Prar.g_00270	Prbn.g_00084
OG0000499	Prar.g_00269	Prbn.g_00085
OG0000500	Prar.g_00268	Prbn.g_00086
OG0000501	Prar.g_00266	Prbn.g_00087
OG0000502	Prar.g_00263	Prbn.g_00090
OG0000503	Prar.g_00394	Prbn.g_00105
OG0000504	Prar.g_00395	Prbn.g_00107
OG0000505	Prar.g_00396	Prbn.g_00108
OG0000506	Prar.g_00398	Prbn.g_00109
OG0000507	Prar.g_00401	Prbn.g_00112
OG0000508	Prar.g_00405	Prbn.g_00116
OG0000509	Prar.g_00407	Prbn.g_00118
OG0000510	Prar.g_00408	Prbn.g_00119
OG0000511	Prar.g_00409	Prbn.g_00120
OG0000512	Prar.g_00411	Prbn.g_00122
OG0000513	Prar.g_00418	Prbn.g_00693
OG0000514	Prar.g_00479	Prbn.g_00682
OG0000515	Prar.g_00480	Prbn.g_00681
OG0000516	Prar.g_00481	Prbn.g_00680
OG0000517	Prar.g_00483	Prbn.g_00678
OG0000518	Prar.g_00494	Prbn.g_00667
OG0000519	Prar.g_00495	Prbn.g_00666
OG0000520	Prar.g_00496	Prbn.g_00665
OG0000521	Prar.g_00501	Prbn.g_00657
OG0000522	Prar.g_00503	Prbn.g_00655
OG0000523	Prar.g_00504	Prbn.g_00654
OG0000524	Prar.g_00510	Prbn.g_00649
OG0000525	Prar.g_00513	Prbn.g_00645
OG0000526	Prar.g_00514	Prbn.g_00644
OG0000527	Prar.g_00523	Prbn.g_00641
OG0000528	Prar.g_00528	Prbn.g_00636
OG0000529	Prar.g_00531	Prbn.g_00633
OG0000530	Prar.g_00534	Prbn.g_00630
OG0000531	Prar.g_00535	Prbn.g_00629
OG0000532	Prar.g_00537	Prbn.g_00627
OG0000533	Prar.g_00538	Prbn.g_00626
OG0000534	Prar.g_00539	Prbn.g_00625
OG0000535	Prar.g_00540	Prbn.g_00624
OG0000536	Prar.g_00541	Prbn.g_00623
OG0000537	Prar.g_00542	Prbn.g_00622
OG0000538	Prar.g_01331	Prbn.g_00613
OG0000539	Prar.g_01332	Prbn.g_00612
OG0000540	Prar.g_01333	Prbn.g_00611
OG0000541	Prar.g_01334	Prbn.g_00610
OG0000542	Prar.g_01336	Prbn.g_00609
OG0000543	Prar.g_01338	Prbn.g_00607
OG0000544	Prar.g_01339	Prbn.g_00606
OG0000545	Prar.g_01341	Prbn.g_00604
OG0000546	Prar.g_01344	Prbn.g_00601
OG0000547	Prar.g_01345	Prbn.g_00599
OG0000548	Prar.g_01346	Prbn.g_00598
OG0000549	Prar.g_01348	Prbn.g_00596
OG0000550	Prar.g_01353	Prbn.g_00592
OG0000551	Prar.g_01357	Prbn.g_00589
OG0000552	Prar.g_01358	Prbn.g_00588
OG0000553	Prar.g_01359	Prbn.g_00587
OG0000554	Prar.g_01364	Prbn.g_00582
OG0000555	Prar.g_01372	Prbn.g_00574
OG0000556	Prar.g_01374	Prbn.g_00572
OG0000557	Prar.g_01375	Prbn.g_00571
OG0000558	Prar.g_01377	Prbn.g_00569
OG0000559	Prar.g_01381	Prbn.g_00565
OG0000560	Prar.g_01384	Prbn.g_00562
