Orthogroup	Prar	Syas
OG0000053	Prar.g_00589, Prar.g_00827	Syas.g_01287
OG0000054	Prar.g_01436	Syas.g_00961
OG0000058	Prar.g_00362	Syas.g_01151
OG0000061	Prar.g_01263	Syas.g_01184
OG0000062	Prar.g_00769	Syas.g_00070
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syas.g_02074
OG0000065	Prar.g_00221	Syas.g_02420
OG0000066	Prar.g_01369	Syas.g_00094
OG0000067	Prar.g_01684	Syas.g_00596
OG0000068	Prar.g_00911	Syas.g_00969, Syas.g_01261
OG0000070	Prar.g_00498	Syas.g_00173
OG0000072	Prar.g_00156	Syas.g_02326, Syas.g_01524
OG0000073	Prar.g_01330	Syas.g_01230, Syas.g_00358, Syas.g_00264
OG0000075	Prar.g_00629	Syas.g_01921, Syas.g_02194
OG0000076	Prar.g_00592, Prar.g_00653	Syas.g_02156
OG0000078	Prar.g_00088	Syas.g_02308
OG0000081	Prar.g_01361	Syas.g_00391
OG0000082	Prar.g_01414	Syas.g_00837
OG0000085	Prar.g_01150	Syas.g_02695
OG0000086	Prar.g_00240	Syas.g_02470
OG0000087	Prar.g_00189	Syas.g_02374
OG0000089	Prar.g_00416	Syas.g_01512
OG0000090	Prar.g_01363	Syas.g_00062
OG0000091	Prar.g_01472	Syas.g_00907, Syas.g_00146
OG0000092	Prar.g_01781, Prar.g_00615	Syas.g_00900, Syas.g_00877
OG0000094	Prar.g_01885	Syas.g_00208, Syas.g_01716
OG0000095	Prar.g_01904	Syas.g_01021
OG0000097	Prar.g_01222	Syas.g_00114, Syas.g_01443
OG0000098	Prar.g_00929	Syas.g_00091
OG0000099	Prar.g_00872	Syas.g_01826
OG0000100	Prar.g_00773	Syas.g_00567
OG0000101	Prar.g_01027	Syas.g_01589
OG0000102	Prar.g_00658	Syas.g_02152, Syas.g_01395
OG0000103	Prar.g_00050	Syas.g_02009
OG0000104	Prar.g_00042	Syas.g_02027, Syas.g_02026
OG0000105	Prar.g_00313	Syas.g_01739
OG0000106	Prar.g_00431	Syas.g_01451
OG0000107	Prar.g_00446	Syas.g_01669
OG0000108	Prar.g_00530	Syas.g_01253
OG0000109	Prar.g_00544	Syas.g_01236
OG0000110	Prar.g_01404	Syas.g_00818
OG0000111	Prar.g_01529	Syas.g_01037
OG0000112	Prar.g_01652	Syas.g_00452
OG0000113	Prar.g_01706	Syas.g_00571
OG0000114	Prar.g_01776	Syas.g_00674
OG0000115	Prar.g_01318	Syas.g_02548, Syas.g_01285
OG0000116	Prar.g_01273	Syas.g_01198, Syas.g_00317
OG0000117	Prar.g_01003	Syas.g_01122
OG0000118	Prar.g_00943	Syas.g_02835
OG0000120	Prar.g_00880	Syas.g_01828
OG0000121	Prar.g_00337	Syas.g_02821
OG0000122	Prar.g_00807	Syas.g_00393
OG0000123	Prar.g_01021	Syas.g_01582
OG0000124	Prar.g_00668	Syas.g_02137
OG0000125	Prar.g_00704	Syas.g_01889
OG0000126	Prar.g_00043	Syas.g_01992
OG0000128	Prar.g_00027	Syas.g_02046
OG0000129	Prar.g_00576	Syas.g_01880
OG0000130	Prar.g_00549	Syas.g_02522
OG0000131	Prar.g_00182	Syas.g_02367
OG0000132	Prar.g_00163	Syas.g_02334
OG0000133	Prar.g_00265	Syas.g_00457
OG0000134	Prar.g_00417	Syas.g_01509
OG0000135	Prar.g_00444	Syas.g_01938
OG0000136	Prar.g_00489	Syas.g_02740
OG0000137	Prar.g_00525	Syas.g_01333
OG0000138	Prar.g_00545	Syas.g_01235
OG0000140	Prar.g_01368	Syas.g_00090
OG0000141	Prar.g_01437	Syas.g_00875
OG0000142	Prar.g_01465	Syas.g_00746
OG0000143	Prar.g_01469	Syas.g_00742
OG0000144	Prar.g_01482	Syas.g_00718
OG0000145	Prar.g_01651	Syas.g_00948
OG0000146	Prar.g_01653	Syas.g_00451
OG0000147	Prar.g_01654	Syas.g_00450
OG0000148	Prar.g_01700	Syas.g_00577
OG0000149	Prar.g_01730	Syas.g_00282
OG0000150	Prar.g_01738	Syas.g_00874
OG0000151	Prar.g_01786	Syas.g_00148, Syas.g_00659
OG0000152	Prar.g_01833	Syas.g_00461
OG0000153	Prar.g_01852	Syas.g_00543
OG0000154	Prar.g_01878	Syas.g_00219
OG0000155	Prar.g_01243	Syas.g_01131
OG0000156	Prar.g_00966	Syas.g_01206
OG0000157	Prar.g_00965	Syas.g_01207
OG0000158	Prar.g_00375	Syas.g_02185
OG0000159	Prar.g_00380, Prar.g_00871	Syas.g_01155
OG0000160	Prar.g_00338	Syas.g_02820
OG0000161	Prar.g_00840	Syas.g_02826
OG0000162	Prar.g_00834	Syas.g_02751
OG0000163	Prar.g_00800	Syas.g_01488
OG0000164	Prar.g_01964	Syas.g_02648
OG0000165	Prar.g_01971	Syas.g_02609
OG0000166	Prar.g_01063	Syas.g_01629
OG0000167	Prar.g_00627	Syas.g_01449
OG0000168	Prar.g_00637	Syas.g_02184
OG0000169	Prar.g_00647	Syas.g_02170
OG0000170	Prar.g_00649	Syas.g_02161
OG0000171	Prar.g_00667	Syas.g_02139
OG0000172	Prar.g_00675	Syas.g_02110
OG0000173	Prar.g_00690	Syas.g_02092
OG0000174	Prar.g_00068	Syas.g_01940
OG0000175	Prar.g_00058	Syas.g_01994
OG0000176	Prar.g_00034	Syas.g_02038
OG0000177	Prar.g_00033	Syas.g_02039
OG0000178	Prar.g_00032	Syas.g_02040
OG0000179	Prar.g_00022	Syas.g_02054
OG0000180	Prar.g_00021	Syas.g_02055
OG0000181	Prar.g_00020	Syas.g_02056
OG0000182	Prar.g_00019	Syas.g_02057
OG0000183	Prar.g_00015	Syas.g_02061
OG0000184	Prar.g_00573	Syas.g_01872
OG0000185	Prar.g_00570	Syas.g_01861
OG0000186	Prar.g_00554	Syas.g_02525
OG0000187	Prar.g_00553	Syas.g_02524
OG0000188	Prar.g_00246	Syas.g_02502
OG0000189	Prar.g_00232	Syas.g_02432
OG0000190	Prar.g_00231	Syas.g_00133
OG0000191	Prar.g_00211	Syas.g_02400
OG0000192	Prar.g_00207	Syas.g_02395
OG0000193	Prar.g_00181	Syas.g_02366
OG0000194	Prar.g_00178	Syas.g_02363
OG0000195	Prar.g_00176	Syas.g_02360
OG0000196	Prar.g_00166	Syas.g_02337
OG0000197	Prar.g_00165	Syas.g_02336
OG0000198	Prar.g_00164	Syas.g_02335
OG0000199	Prar.g_00157	Syas.g_02327
OG0000200	Prar.g_00143	Syas.g_02298
OG0000201	Prar.g_00135	Syas.g_02279
OG0000202	Prar.g_00134	Syas.g_02278
OG0000203	Prar.g_00133	Syas.g_02277
OG0000204	Prar.g_00132	Syas.g_02276
OG0000205	Prar.g_00125	Syas.g_02267
OG0000206	Prar.g_00120	Syas.g_02240
OG0000207	Prar.g_00118	Syas.g_02237
OG0000208	Prar.g_00117	Syas.g_02236
OG0000209	Prar.g_00108	Syas.g_01837
OG0000210	Prar.g_00107	Syas.g_01838
OG0000211	Prar.g_00094	Syas.g_02552
OG0000212	Prar.g_00087	Syas.g_02562
OG0000213	Prar.g_00330	Syas.g_01707
OG0000214	Prar.g_00320	Syas.g_01730
OG0000215	Prar.g_00295	Syas.g_01766
OG0000216	Prar.g_00293	Syas.g_01770
OG0000217	Prar.g_01154, Prar.g_00290	Syas.g_01778
OG0000218	Prar.g_00288	Syas.g_01780
OG0000219	Prar.g_00287	Syas.g_01783
OG0000220	Prar.g_00286	Syas.g_01784
OG0000221	Prar.g_00285	Syas.g_01785
OG0000222	Prar.g_00277	Syas.g_01804
OG0000223	Prar.g_00264	Syas.g_02221
OG0000224	Prar.g_00262	Syas.g_02215
OG0000225	Prar.g_00406	Syas.g_01522
OG0000226	Prar.g_00410	Syas.g_01518
OG0000227	Prar.g_00412	Syas.g_01516
OG0000228	Prar.g_00415	Syas.g_01513
OG0000229	Prar.g_00484	Syas.g_01497
OG0000230	Prar.g_00486	Syas.g_01495
OG0000231	Prar.g_00497	Syas.g_02749
OG0000232	Prar.g_00506	Syas.g_01276
OG0000233	Prar.g_00512	Syas.g_01352
OG0000234	Prar.g_00526	Syas.g_01331
OG0000235	Prar.g_00529	Syas.g_01254
OG0000236	Prar.g_00543	Syas.g_01237
OG0000237	Prar.g_01337	Syas.g_01220
OG0000238	Prar.g_01343	Syas.g_01215
OG0000239	Prar.g_01355	Syas.g_00012
OG0000240	Prar.g_01356	Syas.g_00013
OG0000241	Prar.g_01360	Syas.g_00754
OG0000242	Prar.g_01362	Syas.g_00059
OG0000243	Prar.g_01373	Syas.g_00777
OG0000244	Prar.g_01376	Syas.g_00784
OG0000245	Prar.g_01378	Syas.g_00786
OG0000246	Prar.g_01382	Syas.g_00790
OG0000247	Prar.g_01392	Syas.g_00802
OG0000248	Prar.g_01394	Syas.g_00805
OG0000249	Prar.g_01396	Syas.g_00807
OG0000250	Prar.g_01401	Syas.g_00814
OG0000251	Prar.g_01420	Syas.g_00845
OG0000252	Prar.g_01424	Syas.g_00950
OG0000253	Prar.g_01425	Syas.g_00846
OG0000254	Prar.g_01441	Syas.g_00869
OG0000255	Prar.g_01447	Syas.g_00132, Syas.g_01062
OG0000256	Prar.g_01457	Syas.g_00104
OG0000257	Prar.g_01460	Syas.g_00757
OG0000258	Prar.g_01473	Syas.g_00733
OG0000259	Prar.g_01490	Syas.g_00708
OG0000260	Prar.g_01493	Syas.g_00705
OG0000261	Prar.g_01495	Syas.g_00701
OG0000262	Prar.g_01499	Syas.g_00695
OG0000263	Prar.g_01511	Syas.g_01103
OG0000264	Prar.g_01521	Syas.g_02588
OG0000266	Prar.g_01609	Syas.g_00186
OG0000267	Prar.g_01620	Syas.g_00377
OG0000268	Prar.g_01621	Syas.g_00390
OG0000269	Prar.g_01679	Syas.g_00601
OG0000270	Prar.g_01682	Syas.g_00598
OG0000271	Prar.g_01690	Syas.g_00590
OG0000272	Prar.g_01691	Syas.g_00589
OG0000273	Prar.g_01714	Syas.g_00563
OG0000274	Prar.g_01715	Syas.g_00562
OG0000275	Prar.g_01717	Syas.g_00230
OG0000276	Prar.g_01722	Syas.g_00237
OG0000277	Prar.g_01723	Syas.g_00238
OG0000278	Prar.g_01726	Syas.g_00241
OG0000279	Prar.g_01733	Syas.g_00288
OG0000280	Prar.g_01734	Syas.g_00889, Syas.g_00481
OG0000281	Prar.g_01740	Syas.g_00970
OG0000282	Prar.g_01778	Syas.g_00672
OG0000283	Prar.g_01810	Syas.g_00409
OG0000284	Prar.g_01815	Syas.g_00416
OG0000285	Prar.g_01820	Syas.g_00436
OG0000286	Prar.g_01832	Syas.g_00460
OG0000287	Prar.g_01849	Syas.g_00534
OG0000288	Prar.g_01877	Syas.g_00220
OG0000289	Prar.g_01888	Syas.g_00205
OG0000290	Prar.g_01901	Syas.g_01016
OG0000292	Prar.g_01953	Syas.g_02020
OG0000293	Prar.g_01272	Syas.g_01197
OG0000294	Prar.g_01271	Syas.g_01196
OG0000295	Prar.g_01251	Syas.g_01139
OG0000296	Prar.g_01249	Syas.g_01137
OG0000299	Prar.g_01223	Syas.g_01087
OG0000300	Prar.g_01220	Syas.g_01082
OG0000301	Prar.g_01219	Syas.g_01081
OG0000302	Prar.g_01217	Syas.g_01080
OG0000303	Prar.g_01210	Syas.g_01071
OG0000304	Prar.g_01206	Syas.g_01066
OG0000305	Prar.g_00919	Syas.g_01023
OG0000306	Prar.g_00916	Syas.g_01929
OG0000307	Prar.g_00902	Syas.g_01270
OG0000308	Prar.g_00901	Syas.g_01272
OG0000309	Prar.g_00897	Syas.g_01364
OG0000310	Prar.g_00354	Syas.g_02796
OG0000311	Prar.g_00352	Syas.g_02799
OG0000312	Prar.g_00349	Syas.g_02804
OG0000313	Prar.g_00335	Syas.g_02823
OG0000315	Prar.g_00810	Syas.g_01306
OG0000316	Prar.g_00790	Syas.g_02728
OG0000317	Prar.g_01145	Syas.g_02687
OG0000318	Prar.g_01142	Syas.g_02680
OG0000319	Prar.g_01129	Syas.g_02663
OG0000320	Prar.g_01127	Syas.g_02661
OG0000321	Prar.g_01126	Syas.g_02660
OG0000322	Prar.g_01125	Syas.g_02659
OG0000323	Prar.g_01967	Syas.g_02646
OG0000324	Prar.g_00609	Syas.g_02578
OG0000325	Prar.g_01113	Syas.g_01668
OG0000326	Prar.g_01107	Syas.g_01661
OG0000327	Prar.g_01068	Syas.g_01634
OG0000328	Prar.g_01067	Syas.g_01633
OG0000329	Prar.g_01050	Syas.g_01615
OG0000330	Prar.g_01049	Syas.g_01614
OG0000331	Prar.g_01048	Syas.g_01613
OG0000332	Prar.g_01034	Syas.g_01598
OG0000333	Prar.g_01032	Syas.g_01595
OG0000334	Prar.g_01024	Syas.g_01586
OG0000335	Prar.g_01020	Syas.g_01581
OG0000336	Prar.g_01016	Syas.g_01577
OG0000337	Prar.g_00625	Syas.g_02211
OG0000338	Prar.g_00626	Syas.g_02199
OG0000339	Prar.g_00630	Syas.g_02192
OG0000340	Prar.g_00638	Syas.g_02183
OG0000341	Prar.g_00640	Syas.g_02181
OG0000342	Prar.g_00641	Syas.g_02180
OG0000343	Prar.g_00642	Syas.g_02176
OG0000344	Prar.g_00645	Syas.g_02172
OG0000345	Prar.g_00650	Syas.g_02160
OG0000346	Prar.g_00654	Syas.g_02155
OG0000347	Prar.g_00669	Syas.g_02136
OG0000348	Prar.g_00678	Syas.g_02107
OG0000349	Prar.g_00695	Syas.g_02085
OG0000350	Prar.g_00072	Syas.g_01654
OG0000351	Prar.g_00055	Syas.g_01998
OG0000352	Prar.g_00054	Syas.g_01999
OG0000353	Prar.g_00039	Syas.g_02033
OG0000355	Prar.g_00037	Syas.g_02035
OG0000356	Prar.g_00036	Syas.g_02036
OG0000357	Prar.g_00035	Syas.g_02037
OG0000358	Prar.g_00031	Syas.g_02041
OG0000359	Prar.g_00030	Syas.g_02043
OG0000360	Prar.g_00029	Syas.g_02044
OG0000361	Prar.g_00028	Syas.g_02045
OG0000362	Prar.g_00026	Syas.g_02047
OG0000363	Prar.g_00024	Syas.g_02049
OG0000364	Prar.g_00023	Syas.g_02685
OG0000365	Prar.g_00018	Syas.g_02058
OG0000366	Prar.g_00017	Syas.g_02059
OG0000368	Prar.g_00014	Syas.g_02062
OG0000369	Prar.g_00013	Syas.g_02063
OG0000370	Prar.g_00012	Syas.g_02064
OG0000371	Prar.g_00006	Syas.g_02073
OG0000372	Prar.g_00002	Syas.g_02078
OG0000373	Prar.g_00001	Syas.g_02079
OG0000374	Prar.g_00594	Syas.g_02080
OG0000375	Prar.g_00580	Syas.g_02081
OG0000376	Prar.g_00578	Syas.g_02083
OG0000377	Prar.g_00574	Syas.g_01879
OG0000378	Prar.g_00572	Syas.g_01867
OG0000379	Prar.g_00569	Syas.g_01859
OG0000380	Prar.g_00552	Syas.g_02523
OG0000381	Prar.g_00548	Syas.g_02521
OG0000382	Prar.g_00247	Syas.g_02503
OG0000383	Prar.g_00245	Syas.g_02480
OG0000384	Prar.g_00244	Syas.g_02479
OG0000385	Prar.g_00243	Syas.g_02478
OG0000386	Prar.g_00242	Syas.g_02477
OG0000387	Prar.g_00229	Syas.g_00134
OG0000388	Prar.g_00226	Syas.g_02426
OG0000389	Prar.g_00222	Syas.g_02422
OG0000390	Prar.g_00215	Syas.g_02406
OG0000391	Prar.g_00212	Syas.g_02401
OG0000392	Prar.g_00208	Syas.g_02396
OG0000393	Prar.g_00206	Syas.g_02394
OG0000394	Prar.g_00205	Syas.g_02393
OG0000395	Prar.g_00204	Syas.g_02392
OG0000396	Prar.g_00201	Syas.g_02389
OG0000397	Prar.g_00199	Syas.g_02387
OG0000398	Prar.g_00197	Syas.g_02382
OG0000399	Prar.g_00196	Syas.g_02381
OG0000400	Prar.g_00195	Syas.g_02380
OG0000401	Prar.g_00194	Syas.g_02379
OG0000402	Prar.g_00192	Syas.g_02377
OG0000403	Prar.g_00191	Syas.g_02376
OG0000404	Prar.g_00190	Syas.g_02375
OG0000405	Prar.g_00186	Syas.g_02369
OG0000406	Prar.g_00180	Syas.g_02365
OG0000407	Prar.g_00179	Syas.g_02364
OG0000408	Prar.g_00177	Syas.g_02361
OG0000409	Prar.g_00175	Syas.g_02359
OG0000410	Prar.g_00174	Syas.g_02358
OG0000411	Prar.g_00173	Syas.g_02357
OG0000412	Prar.g_00172	Syas.g_02356
OG0000413	Prar.g_00171	Syas.g_02354
OG0000414	Prar.g_01569, Prar.g_00170	Syas.g_02353
OG0000415	Prar.g_00169	Syas.g_02352
OG0000416	Prar.g_00168	Syas.g_02351
OG0000417	Prar.g_00167	Syas.g_02338
OG0000418	Prar.g_00162	Syas.g_02333
OG0000419	Prar.g_00160	Syas.g_02331
OG0000420	Prar.g_00159	Syas.g_02329
OG0000421	Prar.g_00154	Syas.g_02324
OG0000422	Prar.g_00153	Syas.g_02323
OG0000423	Prar.g_00152	Syas.g_02322
OG0000424	Prar.g_00151	Syas.g_02321
OG0000425	Prar.g_00150	Syas.g_02320
OG0000426	Prar.g_00149	Syas.g_02319
OG0000427	Prar.g_00148	Syas.g_02318
OG0000428	Prar.g_00146	Syas.g_02315
OG0000429	Prar.g_00145	Syas.g_02312
OG0000430	Prar.g_00144	Syas.g_02311
OG0000431	Prar.g_00142	Syas.g_02296
OG0000432	Prar.g_00139	Syas.g_02288
OG0000433	Prar.g_00138	Syas.g_02286
OG0000434	Prar.g_00137	Syas.g_02285
OG0000435	Prar.g_00136	Syas.g_02282
OG0000436	Prar.g_00131	Syas.g_02273
OG0000437	Prar.g_00130	Syas.g_02272
OG0000438	Prar.g_00129	Syas.g_02271
OG0000439	Prar.g_00127	Syas.g_02269
OG0000440	Prar.g_00126	Syas.g_02268
OG0000441	Prar.g_00123	Syas.g_02265
OG0000442	Prar.g_00122	Syas.g_02259
OG0000443	Prar.g_00121	Syas.g_02241
OG0000444	Prar.g_00116	Syas.g_02234
OG0000445	Prar.g_00115	Syas.g_02233
OG0000446	Prar.g_00114	Syas.g_02231
OG0000447	Prar.g_00113	Syas.g_02229
OG0000448	Prar.g_00112	Syas.g_02228
OG0000449	Prar.g_00111	Syas.g_02226
OG0000450	Prar.g_00110	Syas.g_01834
OG0000451	Prar.g_00109	Syas.g_01835
OG0000452	Prar.g_00106	Syas.g_01844
OG0000453	Prar.g_00105	Syas.g_01845
OG0000454	Prar.g_00104	Syas.g_01846
OG0000455	Prar.g_00103	Syas.g_01847
OG0000456	Prar.g_00102	Syas.g_01848
OG0000457	Prar.g_00101	Syas.g_01850
OG0000458	Prar.g_00100	Syas.g_01851
OG0000459	Prar.g_00099	Syas.g_01852
OG0000460	Prar.g_00092	Syas.g_02554
OG0000461	Prar.g_00085	Syas.g_01686
OG0000462	Prar.g_00083	Syas.g_01688
OG0000463	Prar.g_00082	Syas.g_01689
OG0000464	Prar.g_00081	Syas.g_01690
OG0000465	Prar.g_00080	Syas.g_01692
OG0000466	Prar.g_00077	Syas.g_01697
OG0000467	Prar.g_00076	Syas.g_01698
OG0000468	Prar.g_00334	Syas.g_01703
OG0000469	Prar.g_00325	Syas.g_01725
OG0000470	Prar.g_00323	Syas.g_01727
OG0000471	Prar.g_00322	Syas.g_01728
OG0000472	Prar.g_00321	Syas.g_01729
OG0000473	Prar.g_00319	Syas.g_01731
OG0000474	Prar.g_00318	Syas.g_01732
OG0000475	Prar.g_00317	Syas.g_01733
OG0000476	Prar.g_00316	Syas.g_01735
OG0000477	Prar.g_00312	Syas.g_01740
OG0000478	Prar.g_00311	Syas.g_01741
OG0000479	Prar.g_00310	Syas.g_01749
OG0000480	Prar.g_00305	Syas.g_01756
OG0000481	Prar.g_00303	Syas.g_00161, Syas.g_00162
OG0000482	Prar.g_00302	Syas.g_01758
OG0000483	Prar.g_00299	Syas.g_01762
OG0000484	Prar.g_00298	Syas.g_01763
OG0000485	Prar.g_00297	Syas.g_01764
OG0000486	Prar.g_00296	Syas.g_01765
OG0000487	Prar.g_00292	Syas.g_01771
OG0000488	Prar.g_00289	Syas.g_01779
OG0000489	Prar.g_00284	Syas.g_01823
OG0000490	Prar.g_00279	Syas.g_01808
OG0000491	Prar.g_00278	Syas.g_01806
OG0000492	Prar.g_00276	Syas.g_01803
OG0000493	Prar.g_00275	Syas.g_01802
OG0000494	Prar.g_00274	Syas.g_01801
OG0000495	Prar.g_00273	Syas.g_01799
OG0000496	Prar.g_00272	Syas.g_01798
OG0000497	Prar.g_00271	Syas.g_01797
OG0000498	Prar.g_00270	Syas.g_01796
OG0000499	Prar.g_00269	Syas.g_01795
OG0000500	Prar.g_00268	Syas.g_01794
OG0000501	Prar.g_00266	Syas.g_01791
OG0000502	Prar.g_00263	Syas.g_02216
OG0000503	Prar.g_00394	Syas.g_01541
OG0000504	Prar.g_00395	Syas.g_01539
OG0000505	Prar.g_00396	Syas.g_01538
OG0000506	Prar.g_00398	Syas.g_01536
OG0000507	Prar.g_00401	Syas.g_01530
OG0000508	Prar.g_00405	Syas.g_01523
OG0000509	Prar.g_00407	Syas.g_01521
OG0000510	Prar.g_00408	Syas.g_01520
OG0000511	Prar.g_00409	Syas.g_01519
OG0000512	Prar.g_00411	Syas.g_01517
OG0000513	Prar.g_00418	Syas.g_01508
OG0000514	Prar.g_00479	Syas.g_01504
OG0000515	Prar.g_00480	Syas.g_01503
OG0000516	Prar.g_00481	Syas.g_01501
OG0000517	Prar.g_00483	Syas.g_01498
OG0000518	Prar.g_00494	Syas.g_00360, Syas.g_02746
OG0000519	Prar.g_00495	Syas.g_02747
OG0000520	Prar.g_00496	Syas.g_02748
OG0000521	Prar.g_00501	Syas.g_01281
OG0000522	Prar.g_00503	Syas.g_01279
OG0000523	Prar.g_00504	Syas.g_01278
OG0000524	Prar.g_00510	Syas.g_01354
OG0000525	Prar.g_00513	Syas.g_01342
OG0000526	Prar.g_00514	Syas.g_01340
OG0000527	Prar.g_00523	Syas.g_01335
OG0000528	Prar.g_00528	Syas.g_01256
OG0000529	Prar.g_00531	Syas.g_01252
OG0000530	Prar.g_00534	Syas.g_01249
OG0000531	Prar.g_00535	Syas.g_01248
OG0000532	Prar.g_00537	Syas.g_01245
OG0000533	Prar.g_00538	Syas.g_01243
OG0000534	Prar.g_00539	Syas.g_01242
OG0000535	Prar.g_00540	Syas.g_01241
OG0000536	Prar.g_00541	Syas.g_01240
OG0000537	Prar.g_00542	Syas.g_01238
OG0000538	Prar.g_01331	Syas.g_01228
OG0000539	Prar.g_01332	Syas.g_01227
OG0000540	Prar.g_01333	Syas.g_01226
OG0000541	Prar.g_01334	Syas.g_01225
OG0000542	Prar.g_01336	Syas.g_01221
OG0000543	Prar.g_01338	Syas.g_01219
OG0000544	Prar.g_01339	Syas.g_01218
OG0000545	Prar.g_01341	Syas.g_01216
OG0000546	Prar.g_01344	Syas.g_01214
OG0000547	Prar.g_01345	Syas.g_01212
OG0000548	Prar.g_01346	Syas.g_01211
OG0000549	Prar.g_01348	Syas.g_00005
OG0000550	Prar.g_01353	Syas.g_00010
OG0000551	Prar.g_01357	Syas.g_00015
OG0000552	Prar.g_01358	Syas.g_00016
OG0000553	Prar.g_01359	Syas.g_00019
OG0000554	Prar.g_01364	Syas.g_00063
OG0000555	Prar.g_01372	Syas.g_00775
OG0000556	Prar.g_01374	Syas.g_00781
OG0000557	Prar.g_01375	Syas.g_00783
OG0000558	Prar.g_01377	Syas.g_00785
OG0000559	Prar.g_01381	Syas.g_00789
OG0000560	Prar.g_01384	Syas.g_00792
OG0000561	Prar.g_01385	Syas.g_00793
OG0000562	Prar.g_01386	Syas.g_00794
OG0000563	Prar.g_01387	Syas.g_00795
OG0000564	Prar.g_01388	Syas.g_00796
OG0000565	Prar.g_01391	Syas.g_00800
OG0000566	Prar.g_01393	Syas.g_00804
OG0000567	Prar.g_01397	Syas.g_00808
OG0000568	Prar.g_01398	Syas.g_00810
OG0000569	Prar.g_01399	Syas.g_00811
OG0000570	Prar.g_01400	Syas.g_00812
OG0000571	Prar.g_01402	Syas.g_00815
OG0000572	Prar.g_01415	Syas.g_00839
OG0000573	Prar.g_01422	Syas.g_00952
OG0000574	Prar.g_01423	Syas.g_00951
OG0000575	Prar.g_01427	Syas.g_00848
OG0000576	Prar.g_01429	Syas.g_00850
OG0000577	Prar.g_01430	Syas.g_00851
OG0000578	Prar.g_01431	Syas.g_00852
OG0000579	Prar.g_01432	Syas.g_00853
OG0000580	Prar.g_01433	Syas.g_00854
OG0000581	Prar.g_01435	Syas.g_00861
OG0000582	Prar.g_01438	Syas.g_00873
OG0000583	Prar.g_01439	Syas.g_00872
OG0000584	Prar.g_01440	Syas.g_00871
OG0000585	Prar.g_01442	Syas.g_00868
OG0000586	Prar.g_01443	Syas.g_00867
OG0000587	Prar.g_01444	Syas.g_00865
OG0000588	Prar.g_01448	Syas.g_00960
OG0000589	Prar.g_01451	Syas.g_00121
OG0000590	Prar.g_01452	Syas.g_00120
OG0000591	Prar.g_01455	Syas.g_00106
OG0000592	Prar.g_01456	Syas.g_00105
OG0000593	Prar.g_01462	Syas.g_00750
OG0000594	Prar.g_01463	Syas.g_00749
OG0000595	Prar.g_01464	Syas.g_00748
OG0000596	Prar.g_01468	Syas.g_00743
OG0000597	Prar.g_01470	Syas.g_00740
OG0000598	Prar.g_01471	Syas.g_00739
OG0000599	Prar.g_01474	Syas.g_00732
OG0000600	Prar.g_01475	Syas.g_00731
OG0000601	Prar.g_01476	Syas.g_00730
OG0000602	Prar.g_01478	Syas.g_00725
OG0000603	Prar.g_01479	Syas.g_00724
OG0000604	Prar.g_01480	Syas.g_00721
OG0000605	Prar.g_01481	Syas.g_00719
OG0000606	Prar.g_01484	Syas.g_00716
OG0000607	Prar.g_01487	Syas.g_00713
OG0000608	Prar.g_01488	Syas.g_00712
OG0000609	Prar.g_01489	Syas.g_00710
