Orthogroup	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
OG0006618					Prae.g_01611																																																							
OG0006619					Prae.g_01613																																																							
OG0006620					Prae.g_01763																																																							
OG0006621						Praf.g_00049																																																						
OG0006622						Praf.g_00078																																																						
OG0006623						Praf.g_00079																																																						
OG0006624						Praf.g_00105																																																						
OG0006625						Praf.g_00122																																																						
OG0006626						Praf.g_00125																																																						
OG0006627						Praf.g_00129																																																						
OG0006628						Praf.g_00133																																																						
OG0006629						Praf.g_00147																																																						
OG0006630						Praf.g_00149																																																						
OG0006631						Praf.g_00151																																																						
OG0006632						Praf.g_00197																																																						
OG0006633						Praf.g_00198																																																						
OG0006634						Praf.g_00202																																																						
OG0006635						Praf.g_00204																																																						
OG0006636						Praf.g_00211																																																						
OG0006637						Praf.g_00235																																																						
OG0006638						Praf.g_00236																																																						
OG0006639						Praf.g_00237																																																						
OG0006640						Praf.g_00271																																																						
OG0006641						Praf.g_00272																																																						
OG0006642						Praf.g_00273																																																						
OG0006643						Praf.g_00274																																																						
OG0006644						Praf.g_00281																																																						
OG0006645						Praf.g_00283																																																						
OG0006646						Praf.g_00288																																																						
OG0006647						Praf.g_00289																																																						
OG0006648						Praf.g_00323																																																						
OG0006649						Praf.g_00352																																																						
OG0006650						Praf.g_00354																																																						
OG0006651						Praf.g_00357																																																						
OG0006652						Praf.g_00361																																																						
OG0006653						Praf.g_00367																																																						
OG0006654						Praf.g_00384																																																						
OG0006655						Praf.g_00398																																																						
OG0006656						Praf.g_00505																																																						
OG0006657						Praf.g_00544																																																						
OG0006658						Praf.g_00553																																																						
OG0006659						Praf.g_00557																																																						
OG0006660						Praf.g_00560																																																						
OG0006661						Praf.g_00584																																																						
OG0006662						Praf.g_00591																																																						
OG0006663						Praf.g_00620																																																						
OG0006664						Praf.g_00633																																																						
OG0006665						Praf.g_00654																																																						
OG0006666						Praf.g_00727																																																						
OG0006667						Praf.g_00795																																																						
OG0006668						Praf.g_00811																																																						
OG0006669						Praf.g_00812																																																						
OG0006670						Praf.g_00837																																																						
OG0006671						Praf.g_00841																																																						
OG0006672						Praf.g_00842																																																						
OG0006673						Praf.g_00843																																																						
OG0006674						Praf.g_00844																																																						
OG0006675						Praf.g_00846																																																						
OG0006676						Praf.g_00847																																																						
OG0006677						Praf.g_00849																																																						
OG0006678						Praf.g_00851																																																						
OG0006679						Praf.g_00952																																																						
OG0006680						Praf.g_00964																																																						
OG0006681						Praf.g_00974																																																						
OG0006682						Praf.g_00975																																																						
OG0006683						Praf.g_00980																																																						
OG0006684						Praf.g_00983																																																						
OG0006685						Praf.g_00990																																																						
OG0006686						Praf.g_01000																																																						
OG0006687						Praf.g_01010																																																						
OG0006688						Praf.g_01013																																																						
OG0006689						Praf.g_01021																																																						
OG0006690						Praf.g_01023																																																						
OG0006691						Praf.g_01041																																																						
OG0006692						Praf.g_01044																																																						
OG0006693						Praf.g_01052																																																						
OG0006694						Praf.g_01055																																																						
OG0006695						Praf.g_01077																																																						
OG0006696						Praf.g_01081																																																						
OG0006697						Praf.g_01100																																																						
OG0006698						Praf.g_01133																																																						
OG0006699						Praf.g_01146																																																						
OG0006700						Praf.g_01148																																																						
OG0006701						Praf.g_01153																																																						
OG0006702						Praf.g_01156																																																						
OG0006703						Praf.g_01159																																																						
OG0006704						Praf.g_01161																																																						
OG0006705						Praf.g_01167																																																						
OG0006706						Praf.g_01173																																																						
OG0006707						Praf.g_01182																																																						
OG0006708						Praf.g_01192																																																						
OG0006709						Praf.g_01197																																																						
OG0006710						Praf.g_01203																																																						
OG0006711						Praf.g_01204																																																						
OG0006712						Praf.g_01232																																																						
OG0006713						Praf.g_01241																																																						
OG0006714						Praf.g_01244																																																						
OG0006715						Praf.g_01246																																																						
OG0006716						Praf.g_01249																																																						
OG0006717						Praf.g_01251																																																						
OG0006718						Praf.g_01263																																																						
OG0006719						Praf.g_01264																																																						
OG0006720						Praf.g_01265																																																						
OG0006721						Praf.g_01273																																																						
OG0006722						Praf.g_01282																																																						
OG0006723						Praf.g_01368																																																						
OG0006724						Praf.g_01373																																																						
OG0006725						Praf.g_01453																																																						
OG0006726						Praf.g_01471																																																						
OG0006727						Praf.g_01476																																																						
OG0006728						Praf.g_01501																																																						
OG0006729						Praf.g_01507																																																						
OG0006730						Praf.g_01518																																																						
OG0006731						Praf.g_01554																																																						
OG0006732						Praf.g_01568																																																						
OG0006733						Praf.g_01575																																																						
OG0006734						Praf.g_01632																																																						
OG0006735						Praf.g_01636																																																						
OG0006736						Praf.g_01660																																																						
OG0006737						Praf.g_01678																																																						
OG0006738						Praf.g_01682																																																						
OG0006739						Praf.g_01705																																																						
OG0006740						Praf.g_01712																																																						
OG0006741						Praf.g_01759																																																						
OG0006742						Praf.g_01815																																																						
OG0006743						Praf.g_01829																																																						
OG0006744						Praf.g_01856																																																						
OG0006745						Praf.g_01857																																																						
OG0006746						Praf.g_01862																																																						
OG0006747						Praf.g_01863																																																						
OG0006748						Praf.g_01866																																																						
OG0006749						Praf.g_01868																																																						
OG0006750						Praf.g_01874																																																						
OG0006751						Praf.g_01875																																																						
OG0006752						Praf.g_01878																																																						
OG0006753						Praf.g_01887																																																						
OG0006754						Praf.g_01902																																																						
OG0006755						Praf.g_01906																																																						
OG0006756						Praf.g_01916																																																						
OG0006757						Praf.g_01917																																																						
OG0006758						Praf.g_01921																																																						
OG0006759						Praf.g_01923																																																						
OG0006760						Praf.g_01926																																																						
OG0006761						Praf.g_01932																																																						
OG0006762						Praf.g_01940																																																						
OG0006763						Praf.g_01955																																																						
OG0006764						Praf.g_01965																																																						
OG0006765						Praf.g_01966																																																						
OG0006766						Praf.g_01992																																																						
OG0006767						Praf.g_02008																																																						
OG0006768						Praf.g_02059																																																						
OG0006769						Praf.g_02061																																																						
OG0006770						Praf.g_02088																																																						
OG0006771						Praf.g_02098																																																						
OG0006772						Praf.g_02114																																																						
OG0006773						Praf.g_02115																																																						
OG0006774						Praf.g_02166																																																						
OG0006775						Praf.g_02223																																																						
OG0006776						Praf.g_02228																																																						
OG0006777						Praf.g_02239																																																						
OG0006778						Praf.g_02256																																																						
OG0006779						Praf.g_02337																																																						
OG0006780						Praf.g_02359																																																						
OG0006781						Praf.g_02360																																																						
OG0006782						Praf.g_02381																																																						
OG0006783						Praf.g_02461																																																						
OG0006784						Praf.g_02465																																																						
OG0006785						Praf.g_02487																																																						
OG0006786						Praf.g_02518																																																						
OG0006787						Praf.g_02577																																																						
OG0006788						Praf.g_02579																																																						
OG0006789						Praf.g_02580																																																						
OG0006790						Praf.g_02585																																																						
OG0006791						Praf.g_02598																																																						
OG0006792						Praf.g_02599																																																						
OG0006793						Praf.g_02604																																																						
OG0006794						Praf.g_02624																																																						
OG0006795						Praf.g_02625																																																						
OG0006796						Praf.g_02626																																																						
OG0006797						Praf.g_02697																																																						
OG0006798						Praf.g_02704																																																						
OG0006799						Praf.g_02709																																																						
OG0006800						Praf.g_02710																																																						
OG0006801						Praf.g_02712																																																						
OG0006802						Praf.g_02713																																																						
OG0006803						Praf.g_02714																																																						
OG0006804						Praf.g_02760																																																						
OG0006805							Prag.g_00729																																																					
OG0006806							Prag.g_01306																																																					
OG0006807							Prag.g_01627																																																					
OG0006808								Prah.g_00001																																																				
OG0006809								Prah.g_00069																																																				
OG0006810								Prah.g_00097																																																				
OG0006811								Prah.g_00110																																																				
OG0006812								Prah.g_00116																																																				
OG0006813								Prah.g_00117																																																				
OG0006814								Prah.g_00177																																																				
OG0006815								Prah.g_00178																																																				
OG0006816								Prah.g_00179																																																				
OG0006817								Prah.g_00244																																																				
OG0006818								Prah.g_00276																																																				
OG0006819								Prah.g_00284																																																				
OG0006820								Prah.g_00293																																																				
OG0006821								Prah.g_00316																																																				
OG0006822								Prah.g_00328																																																				
OG0006823								Prah.g_00335																																																				
OG0006824								Prah.g_00337																																																				
OG0006825								Prah.g_00338																																																				
OG0006826								Prah.g_00347																																																				
OG0006827								Prah.g_00348																																																				
OG0006828								Prah.g_00349																																																				
OG0006829								Prah.g_00375																																																				
OG0006830								Prah.g_00377																																																				
OG0006831								Prah.g_00430																																																				
OG0006832								Prah.g_00471																																																				
OG0006833								Prah.g_00480																																																				
OG0006834								Prah.g_00481																																																				
OG0006835								Prah.g_00489																																																				
OG0006836								Prah.g_00508																																																				
OG0006837								Prah.g_00544																																																				
OG0006838								Prah.g_00547																																																				
OG0006839								Prah.g_00550																																																				
OG0006840								Prah.g_00570																																																				
OG0006841								Prah.g_00577																																																				
OG0006842								Prah.g_00614																																																				
OG0006843								Prah.g_00620																																																				
OG0006844								Prah.g_00622																																																				
OG0006845								Prah.g_00627																																																				
OG0006846								Prah.g_00643																																																				
OG0006847								Prah.g_00693																																																				
OG0006848								Prah.g_00712																																																				
OG0006849								Prah.g_00720																																																				
OG0006850								Prah.g_00773																																																				
OG0006851								Prah.g_00804																																																				
OG0006852								Prah.g_00819																																																				
OG0006853								Prah.g_00844																																																				
OG0006854								Prah.g_00894																																																				
OG0006855								Prah.g_00897																																																				
OG0006856								Prah.g_00916																																																				
OG0006857								Prah.g_00924																																																				
OG0006858								Prah.g_00940																																																				
OG0006859								Prah.g_00949																																																				
OG0006860								Prah.g_00950																																																				
OG0006861								Prah.g_00953																																																				
OG0006862								Prah.g_00983																																																				
OG0006863								Prah.g_00990																																																				
OG0006864								Prah.g_00991																																																				
OG0006865								Prah.g_00996																																																				
OG0006866								Prah.g_00997																																																				
OG0006867								Prah.g_00999																																																				
OG0006868								Prah.g_01001																																																				
OG0006869								Prah.g_01008																																																				
OG0006870								Prah.g_01011																																																				
OG0006871								Prah.g_01026																																																				
OG0006872								Prah.g_01033																																																				
OG0006873								Prah.g_01038																																																				
OG0006874								Prah.g_01052																																																				
OG0006875								Prah.g_01077																																																				
OG0006876								Prah.g_01088																																																				
OG0006877								Prah.g_01089																																																				
OG0006878								Prah.g_01102																																																				
OG0006879								Prah.g_01139																																																				
OG0006880								Prah.g_01140																																																				
OG0006881								Prah.g_01145																																																				
OG0006882								Prah.g_01147																																																				
OG0006883								Prah.g_01151																																																				
OG0006884								Prah.g_01160																																																				
OG0006885								Prah.g_01167																																																				
OG0006886								Prah.g_01168																																																				
OG0006887								Prah.g_01189																																																				
OG0006888								Prah.g_01193																																																				
OG0006889								Prah.g_01196																																																				
OG0006890								Prah.g_01222																																																				
OG0006891								Prah.g_01223																																																				
OG0006892								Prah.g_01227																																																				
OG0006893								Prah.g_01228																																																				
OG0006894								Prah.g_01235																																																				
OG0006895								Prah.g_01271																																																				
OG0006896								Prah.g_01311																																																				
OG0006897								Prah.g_01382																																																				
OG0006898								Prah.g_01422																																																				
OG0006899								Prah.g_01455																																																				
OG0006900								Prah.g_01471																																																				
OG0006901								Prah.g_01486																																																				
OG0006902								Prah.g_01488																																																				
OG0006903								Prah.g_01494																																																				
OG0006904								Prah.g_01570																																																				
OG0006905								Prah.g_01597																																																				
OG0006906								Prah.g_01612																																																				
OG0006907								Prah.g_01659																																																				
OG0006908								Prah.g_01662																																																				
OG0006909								Prah.g_01683																																																				
OG0006910								Prah.g_01706																																																				
OG0006911								Prah.g_01712																																																				
OG0006912								Prah.g_01746																																																				
OG0006913								Prah.g_01777																																																				
OG0006914								Prah.g_01790																																																				
OG0006915								Prah.g_01798																																																				
OG0006916								Prah.g_01799																																																				
OG0006917								Prah.g_01800																																																				
OG0006918								Prah.g_01801																																																				
OG0006919								Prah.g_01805																																																				
OG0006920								Prah.g_01809																																																				
OG0006921								Prah.g_01810																																																				
OG0006922								Prah.g_01811																																																				
OG0006923								Prah.g_01814																																																				
OG0006924								Prah.g_01820																																																				
OG0006925								Prah.g_01821																																																				
OG0006926								Prah.g_01822																																																				
OG0006927								Prah.g_01827																																																				
OG0006928								Prah.g_01832																																																				
OG0006929								Prah.g_01836																																																				
OG0006930								Prah.g_01857																																																				
OG0006931								Prah.g_01926																																																				
OG0006932								Prah.g_01927																																																				
OG0006933								Prah.g_01933																																																				
OG0006934								Prah.g_01959																																																				
OG0006935								Prah.g_02094																																																				
OG0006936								Prah.g_02095																																																				
OG0006937								Prah.g_02162																																																				
OG0006938								Prah.g_02163																																																				
OG0006939								Prah.g_02164																																																				
OG0006940								Prah.g_02188																																																				
OG0006941								Prah.g_02194																																																				
OG0006942								Prah.g_02198																																																				
OG0006943								Prah.g_02205																																																				
OG0006944								Prah.g_02212																																																				
OG0006945								Prah.g_02213																																																				
OG0006946								Prah.g_02229																																																				
OG0006947								Prah.g_02250																																																				
OG0006948								Prah.g_02273																																																				
OG0006949								Prah.g_02274																																																				
OG0006950								Prah.g_02376																																																				
OG0006951								Prah.g_02381																																																				
OG0006952								Prah.g_02384																																																				
OG0006953								Prah.g_02387																																																				
OG0006954								Prah.g_02424																																																				
OG0006955								Prah.g_02441																																																				
OG0006956								Prah.g_02450																																																				
OG0006957								Prah.g_02456																																																				
OG0006958								Prah.g_02467																																																				
OG0006959								Prah.g_02468																																																				
OG0006960								Prah.g_02469																																																				
OG0006961								Prah.g_02522																																																				
OG0006962								Prah.g_02585																																																				
OG0006963									Prai.g_00146																																																			
OG0006964									Prai.g_00153																																																			
OG0006965									Prai.g_00253																																																			
OG0006966									Prai.g_00350																																																			
OG0006967									Prai.g_00391																																																			
OG0006968									Prai.g_00445																																																			
OG0006969									Prai.g_00450																																																			
OG0006970									Prai.g_00451																																																			
OG0006971									Prai.g_00743																																																			
OG0006972									Prai.g_00772																																																			
OG0006973									Prai.g_00865																																																			
OG0006974									Prai.g_00902																																																			
OG0006975									Prai.g_00911																																																			
OG0006976									Prai.g_01120																																																			
OG0006977									Prai.g_01195																																																			
OG0006978									Prai.g_01250																																																			
OG0006979									Prai.g_01279																																																			
OG0006980									Prai.g_01291																																																			
OG0006981									Prai.g_01294																																																			
OG0006982									Prai.g_01300																																																			
OG0006983									Prai.g_01301																																																			
OG0006984									Prai.g_01316																																																			
OG0006985									Prai.g_01318																																																			
OG0006986									Prai.g_01329																																																			
OG0006987									Prai.g_01412																																																			
OG0006988									Prai.g_01415																																																			
OG0006989									Prai.g_01416																																																			
OG0006990									Prai.g_01417																																																			
OG0006991									Prai.g_01418																																																			
OG0006992									Prai.g_01419																																																			
OG0006993									Prai.g_01420																																																			
OG0006994									Prai.g_01438																																																			
OG0006995									Prai.g_01439																																																			
OG0006996									Prai.g_01442																																																			
OG0006997									Prai.g_01506																																																			
OG0006998									Prai.g_01567																																																			
OG0006999									Prai.g_01570																																																			
OG0007000									Prai.g_01590																																																			
OG0007001									Prai.g_01611																																																			
OG0007002									Prai.g_01622																																																			
OG0007003									Prai.g_01730																																																			
OG0007004										Praj.g_00057																																																		
OG0007005										Praj.g_00067																																																		
OG0007006										Praj.g_00730																																																		
OG0007007										Praj.g_00823																																																		
OG0007008										Praj.g_00962																																																		
OG0007009										Praj.g_01036																																																		
OG0007010										Praj.g_01067																																																		
OG0007011										Praj.g_01071																																																		
OG0007012										Praj.g_01278																																																		
OG0007013										Praj.g_01332																																																		
OG0007014										Praj.g_01371																																																		
OG0007015										Praj.g_01602																																																		
OG0007016										Praj.g_01606																																																		
OG0007017										Praj.g_01610																																																		
OG0007018										Praj.g_01860																																																		
OG0007019										Praj.g_01899																																																		
OG0007020										Praj.g_01903																																																		
OG0007021										Praj.g_01904																																																		
OG0007022										Praj.g_01905																																																		
OG0007023										Praj.g_01907																																																		
OG0007024										Praj.g_02029																																																		
OG0007025										Praj.g_02041																																																		
OG0007026										Praj.g_02049																																																		
OG0007027										Praj.g_02051																																																		
OG0007028										Praj.g_02054																																																		
OG0007029										Praj.g_02055																																																		
OG0007030												Pral.g_00004																																																
OG0007031												Pral.g_00005																																																
OG0007032												Pral.g_00008																																																
OG0007033												Pral.g_00009																																																
OG0007034												Pral.g_00010																																																
OG0007035												Pral.g_00012																																																
OG0007036												Pral.g_00022																																																
OG0007037												Pral.g_00061																																																
OG0007038												Pral.g_00088																																																
OG0007039												Pral.g_00091																																																
OG0007040												Pral.g_00093																																																
OG0007041												Pral.g_00186																																																
OG0007042												Pral.g_00231																																																
OG0007043												Pral.g_00436																																																
OG0007044												Pral.g_00446																																																
OG0007045												Pral.g_00449																																																
OG0007046												Pral.g_00592																																																
OG0007047												Pral.g_00604																																																
OG0007048												Pral.g_00629																																																
OG0007049												Pral.g_00636																																																
OG0007050												Pral.g_00668																																																
OG0007051												Pral.g_00813																																																
OG0007052												Pral.g_00901																																																
OG0007053												Pral.g_01015																																																
OG0007054												Pral.g_01042																																																
OG0007055												Pral.g_01118																																																
OG0007056												Pral.g_01231																																																
OG0007057												Pral.g_01233																																																
OG0007058												Pral.g_01247																																																
OG0007059												Pral.g_01256																																																
OG0007060												Pral.g_01257																																																
OG0007061												Pral.g_01258																																																
OG0007062												Pral.g_01259																																																
OG0007063												Pral.g_01262																																																
OG0007064												Pral.g_01265																																																
OG0007065												Pral.g_01334																																																
OG0007066												Pral.g_01335																																																
OG0007067												Pral.g_01336																																																
OG0007068												Pral.g_01418																																																
OG0007069												Pral.g_01551																																																
OG0007070												Pral.g_01669																																																
OG0007071												Pral.g_01692																																																
OG0007072												Pral.g_01696																																																
OG0007073												Pral.g_01697																																																
OG0007074												Pral.g_01699																																																
OG0007075												Pral.g_01826																																																
OG0007076												Pral.g_01830																																																
OG0007077												Pral.g_01849																																																
OG0007078												Pral.g_01856																																																
OG0007079												Pral.g_01860																																																
OG0007080												Pral.g_01870																																																
OG0007081												Pral.g_01871																																																
OG0007082												Pral.g_01874																																																
OG0007083												Pral.g_01875																																																
OG0007084												Pral.g_01878																																																
OG0007085												Pral.g_01879																																																
