Orthogroup	Prar	Pral
OG0000050	Prar.g_00161	Pral.g_00878
OG0000051	Prar.g_00420	Pral.g_01687
OG0000053	Prar.g_01599	Pral.g_01729
OG0000054	Prar.g_01150	Pral.g_00099
OG0000055	Prar.g_00592, Prar.g_00653	Pral.g_00305
OG0000056	Prar.g_00007	Pral.g_01012
OG0000057	Prar.g_00170, Prar.g_01569	Pral.g_00887
OG0000058	Prar.g_00431	Pral.g_01859
OG0000059	Prar.g_01369	Pral.g_00551
OG0000062	Prar.g_01706	Pral.g_01511
OG0000063	Prar.g_01307	Pral.g_00019
OG0000065	Prar.g_00090	Pral.g_00803
OG0000066	Prar.g_00525	Pral.g_00617
OG0000067	Prar.g_01528	Pral.g_01740
OG0000068	Prar.g_01628, Prar.g_01562, Prar.g_01558, Prar.g_01004	Pral.g_00445
OG0000070	Prar.g_01904	Pral.g_01561
OG0000071	Prar.g_01003	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000072	Prar.g_00955	Pral.g_01281
OG0000073	Prar.g_00934	Pral.g_00441
OG0000074	Prar.g_00880	Pral.g_00702
OG0000075	Prar.g_01027	Pral.g_00243
OG0000077	Prar.g_00027	Pral.g_00421
OG0000078	Prar.g_00265	Pral.g_00717
OG0000079	Prar.g_00444	Pral.g_01034
OG0000080	Prar.g_01499	Pral.g_01471
OG0000081	Prar.g_01521	Pral.g_01750
OG0000082	Prar.g_01691	Pral.g_01495
OG0000083	Prar.g_01755	Pral.g_01347
OG0000084	Prar.g_01833	Pral.g_01627
OG0000085	Prar.g_01953	Pral.g_01316
OG0000086	Prar.g_01296	Pral.g_00078, Pral.g_00056
OG0000090	Prar.g_00872	Pral.g_01201
OG0000091	Prar.g_00839	Pral.g_01153
OG0000092	Prar.g_01166	Pral.g_00065
OG0000093	Prar.g_01090	Pral.g_00195
OG0000094	Prar.g_01030	Pral.g_00239
OG0000095	Prar.g_00627	Pral.g_00277
OG0000096	Prar.g_00696	Pral.g_00350
OG0000098	Prar.g_00035	Pral.g_00413
OG0000099	Prar.g_00015	Pral.g_01021
OG0000100	Prar.g_00581	Pral.g_01886
OG0000101	Prar.g_00570	Pral.g_00993
OG0000102	Prar.g_00215	Pral.g_00932
OG0000103	Prar.g_00207	Pral.g_00923
OG0000104	Prar.g_00189	Pral.g_00906
OG0000105	Prar.g_00157	Pral.g_00873
OG0000106	Prar.g_00143	Pral.g_00860
OG0000107	Prar.g_00135	Pral.g_00851
OG0000108	Prar.g_00125	Pral.g_00842
OG0000109	Prar.g_00088	Pral.g_00800
OG0000110	Prar.g_00076	Pral.g_00788
OG0000111	Prar.g_00313	Pral.g_00765
OG0000112	Prar.g_00303	Pral.g_00754
OG0000113	Prar.g_00290	Pral.g_00741
OG0000114	Prar.g_00262	Pral.g_00714
OG0000115	Prar.g_00524	Pral.g_01832, Pral.g_00618
OG0000116	Prar.g_00526	Pral.g_00616
OG0000117	Prar.g_00530	Pral.g_00611
OG0000118	Prar.g_01330	Pral.g_00591
OG0000119	Prar.g_01362	Pral.g_00558
OG0000120	Prar.g_01363	Pral.g_00557
OG0000121	Prar.g_01373	Pral.g_00547
OG0000122	Prar.g_01382	Pral.g_00538
OG0000123	Prar.g_01413	Pral.g_00504
OG0000124	Prar.g_01481	Pral.g_01452
OG0000125	Prar.g_01482	Pral.g_01453
OG0000126	Prar.g_01483	Pral.g_01454
OG0000127	Prar.g_01516	Pral.g_01755
OG0000128	Prar.g_01601	Pral.g_01727
OG0000129	Prar.g_01621	Pral.g_01705
OG0000130	Prar.g_01668	Pral.g_01665
OG0000131	Prar.g_01682	Pral.g_01486
OG0000132	Prar.g_01717	Pral.g_01522
OG0000133	Prar.g_01792	Pral.g_01782
OG0000134	Prar.g_01801	Pral.g_01472
OG0000135	Prar.g_01837	Pral.g_01623
OG0000136	Prar.g_01901	Pral.g_01564
OG0000137	Prar.g_01293	Pral.g_00075
OG0000139	Prar.g_01257	Pral.g_01373, Pral.g_01187
OG0000140	Prar.g_01206	Pral.g_00455
OG0000141	Prar.g_00376	Pral.g_01064
OG0000142	Prar.g_00943	Pral.g_01269
OG0000143	Prar.g_00911	Pral.g_01222
OG0000144	Prar.g_00352	Pral.g_01179
OG0000145	Prar.g_00338	Pral.g_01160
OG0000146	Prar.g_00810	Pral.g_01123
OG0000147	Prar.g_00770	Pral.g_01074
OG0000148	Prar.g_00769	Pral.g_01073
OG0000149	Prar.g_01145	Pral.g_00104
OG0000150	Prar.g_01959	Pral.g_00143
OG0000151	Prar.g_01956, Prar.g_00595	Pral.g_00146
OG0000152	Prar.g_01119	Pral.g_00167
OG0000153	Prar.g_01068	Pral.g_00201
OG0000154	Prar.g_01032	Pral.g_00237
OG0000155	Prar.g_01015	Pral.g_00256
OG0000156	Prar.g_00638	Pral.g_00289
OG0000157	Prar.g_00669	Pral.g_00323
OG0000158	Prar.g_00055	Pral.g_00390
OG0000160	Prar.g_00037	Pral.g_00411
OG0000161	Prar.g_00036	Pral.g_00412
OG0000162	Prar.g_00034	Pral.g_00414
OG0000163	Prar.g_00033	Pral.g_00415
OG0000164	Prar.g_00032	Pral.g_00416
OG0000165	Prar.g_00031	Pral.g_00417
OG0000166	Prar.g_00030	Pral.g_00418
OG0000167	Prar.g_00029	Pral.g_00419
OG0000168	Prar.g_00028	Pral.g_00420
OG0000169	Prar.g_00026	Pral.g_00422
OG0000170	Prar.g_00024	Pral.g_01030
OG0000171	Prar.g_00023	Pral.g_01029
OG0000172	Prar.g_00022	Pral.g_01028
OG0000173	Prar.g_00021	Pral.g_01027
OG0000174	Prar.g_00020	Pral.g_01026
OG0000175	Prar.g_00019	Pral.g_01025
OG0000176	Prar.g_00018	Pral.g_01024
OG0000177	Prar.g_00017	Pral.g_01023
OG0000178	Prar.g_00016	Pral.g_01022
OG0000179	Prar.g_00014	Pral.g_01020
OG0000180	Prar.g_00013	Pral.g_01019
OG0000181	Prar.g_00012	Pral.g_01018
OG0000182	Prar.g_00011	Pral.g_01017
OG0000183	Prar.g_00010	Pral.g_01016
OG0000184	Prar.g_00009	Pral.g_01014
OG0000185	Prar.g_00006	Pral.g_01011
OG0000186	Prar.g_00002	Pral.g_01009
OG0000187	Prar.g_00001	Pral.g_01008
OG0000188	Prar.g_00594	Pral.g_01007
OG0000189	Prar.g_00580	Pral.g_01005
OG0000190	Prar.g_00578	Pral.g_01003
OG0000191	Prar.g_00577	Pral.g_01001
OG0000192	Prar.g_00576	Pral.g_01000
OG0000193	Prar.g_00574	Pral.g_00999
OG0000194	Prar.g_00573	Pral.g_00996
OG0000195	Prar.g_00572	Pral.g_00995
OG0000196	Prar.g_00571	Pral.g_00994
OG0000197	Prar.g_00569	Pral.g_00992
OG0000198	Prar.g_00568	Pral.g_00991
OG0000199	Prar.g_00567	Pral.g_00990
OG0000200	Prar.g_00554	Pral.g_00984
OG0000201	Prar.g_00553	Pral.g_00983
OG0000202	Prar.g_00552	Pral.g_00982
OG0000203	Prar.g_00549	Pral.g_00978
OG0000204	Prar.g_00548	Pral.g_00977
OG0000205	Prar.g_00255	Pral.g_00974
OG0000206	Prar.g_00253	Pral.g_00972
OG0000207	Prar.g_00251	Pral.g_00970
OG0000208	Prar.g_00250	Pral.g_00969
OG0000209	Prar.g_00249	Pral.g_00048
OG0000210	Prar.g_00248	Pral.g_00968
OG0000211	Prar.g_00247	Pral.g_00966
OG0000212	Prar.g_00246	Pral.g_00965
OG0000213	Prar.g_00245	Pral.g_00964
OG0000214	Prar.g_00244	Pral.g_00963
OG0000215	Prar.g_00243	Pral.g_00962
OG0000216	Prar.g_00242	Pral.g_00961
OG0000217	Prar.g_00240	Pral.g_00959
OG0000218	Prar.g_00239	Pral.g_00958
OG0000219	Prar.g_00238	Pral.g_00957
OG0000220	Prar.g_00237	Pral.g_00956
OG0000221	Prar.g_00234	Pral.g_00953
OG0000222	Prar.g_00233	Pral.g_00952
OG0000223	Prar.g_00232	Pral.g_00951
OG0000224	Prar.g_00231	Pral.g_00950
OG0000225	Prar.g_00230	Pral.g_00949
OG0000226	Prar.g_00229	Pral.g_00948
OG0000227	Prar.g_00228	Pral.g_00946
OG0000228	Prar.g_00227	Pral.g_00945
OG0000229	Prar.g_00226	Pral.g_00944
OG0000230	Prar.g_00225	Pral.g_00943
OG0000231	Prar.g_00224	Pral.g_00942
OG0000232	Prar.g_00222	Pral.g_00941
OG0000233	Prar.g_00221	Pral.g_00940
OG0000234	Prar.g_00220	Pral.g_00939
OG0000235	Prar.g_00219	Pral.g_00938
OG0000236	Prar.g_00218	Pral.g_00935
OG0000237	Prar.g_00217	Pral.g_00934
OG0000238	Prar.g_00216	Pral.g_00933
OG0000239	Prar.g_00214	Pral.g_00931
OG0000240	Prar.g_00213	Pral.g_00930
OG0000241	Prar.g_00212	Pral.g_00929
OG0000242	Prar.g_00211	Pral.g_00928
OG0000243	Prar.g_00208	Pral.g_00925
OG0000244	Prar.g_00206	Pral.g_00922
OG0000245	Prar.g_00205	Pral.g_00921
OG0000246	Prar.g_00204	Pral.g_00920
OG0000247	Prar.g_00201	Pral.g_00918
OG0000248	Prar.g_00199	Pral.g_00916
OG0000249	Prar.g_00198	Pral.g_00914
OG0000250	Prar.g_00197	Pral.g_00913
OG0000251	Prar.g_00196	Pral.g_00912
OG0000252	Prar.g_00195	Pral.g_00911
OG0000253	Prar.g_00194	Pral.g_00910
OG0000254	Prar.g_00192	Pral.g_00450
OG0000255	Prar.g_00191	Pral.g_00908
OG0000256	Prar.g_00188	Pral.g_00905
OG0000257	Prar.g_00186	Pral.g_00903
OG0000258	Prar.g_00182	Pral.g_00900
OG0000259	Prar.g_00181	Pral.g_00899
OG0000260	Prar.g_00180	Pral.g_00898
OG0000261	Prar.g_00179	Pral.g_00897
OG0000262	Prar.g_00178	Pral.g_00896
OG0000263	Prar.g_00176	Pral.g_00894
OG0000264	Prar.g_00175	Pral.g_00893
OG0000265	Prar.g_00174	Pral.g_00892
OG0000266	Prar.g_00173	Pral.g_00891
OG0000267	Prar.g_00172	Pral.g_00890
OG0000268	Prar.g_00171	Pral.g_00888
OG0000269	Prar.g_00169	Pral.g_00886
OG0000270	Prar.g_00168	Pral.g_00885
OG0000271	Prar.g_00167	Pral.g_00884
OG0000272	Prar.g_00166	Pral.g_00883
OG0000273	Prar.g_00165	Pral.g_00882
OG0000274	Prar.g_00164	Pral.g_00881
OG0000275	Prar.g_00163	Pral.g_00880
OG0000276	Prar.g_00162	Pral.g_00879
OG0000277	Prar.g_00160	Pral.g_00877
OG0000278	Prar.g_00159	Pral.g_00875
OG0000279	Prar.g_00158	Pral.g_00874
OG0000280	Prar.g_00156	Pral.g_00872
OG0000281	Prar.g_00154	Pral.g_00871
OG0000282	Prar.g_00153	Pral.g_00870
OG0000283	Prar.g_00152	Pral.g_00869
OG0000284	Prar.g_00151	Pral.g_00868
OG0000285	Prar.g_00150	Pral.g_00867
OG0000286	Prar.g_00149	Pral.g_00866
OG0000287	Prar.g_00148	Pral.g_00865
OG0000288	Prar.g_00146	Pral.g_00863
OG0000289	Prar.g_00145	Pral.g_00862
OG0000290	Prar.g_00144	Pral.g_00861
OG0000291	Prar.g_00142	Pral.g_00859
OG0000292	Prar.g_00141	Pral.g_00857
OG0000293	Prar.g_00140	Pral.g_00856
OG0000294	Prar.g_00139	Pral.g_00855
OG0000295	Prar.g_00138	Pral.g_00854
OG0000296	Prar.g_00137	Pral.g_00853
OG0000297	Prar.g_00136	Pral.g_00852
OG0000298	Prar.g_00134	Pral.g_00850
OG0000299	Prar.g_00133	Pral.g_00849
OG0000300	Prar.g_00132	Pral.g_00848
OG0000301	Prar.g_00131	Pral.g_00847
OG0000302	Prar.g_00130	Pral.g_00846
OG0000303	Prar.g_00129	Pral.g_00845
OG0000304	Prar.g_00127	Pral.g_00844
OG0000305	Prar.g_00126	Pral.g_00843
OG0000306	Prar.g_00123	Pral.g_00840
OG0000307	Prar.g_00122	Pral.g_00839
OG0000308	Prar.g_00121	Pral.g_00838
OG0000309	Prar.g_00120	Pral.g_00837
OG0000310	Prar.g_00119	Pral.g_00836
OG0000311	Prar.g_00118	Pral.g_00835
OG0000312	Prar.g_00117	Pral.g_00834
OG0000313	Prar.g_00116	Pral.g_00833
OG0000314	Prar.g_00115	Pral.g_00832
OG0000315	Prar.g_00114	Pral.g_00831
OG0000316	Prar.g_00113	Pral.g_00830
OG0000317	Prar.g_00112	Pral.g_00829
OG0000318	Prar.g_00111	Pral.g_00828
OG0000319	Prar.g_00110	Pral.g_00827
OG0000320	Prar.g_00109	Pral.g_00826
OG0000321	Prar.g_00108	Pral.g_00825
OG0000322	Prar.g_00107	Pral.g_00824
OG0000323	Prar.g_00106	Pral.g_00823
OG0000324	Prar.g_00105	Pral.g_00822
OG0000325	Prar.g_00104	Pral.g_00821
OG0000326	Prar.g_00103	Pral.g_00820
OG0000327	Prar.g_00102	Pral.g_00819
OG0000328	Prar.g_00101	Pral.g_00817
OG0000329	Prar.g_00100	Pral.g_00816
OG0000330	Prar.g_00099	Pral.g_00815
OG0000331	Prar.g_00098	Pral.g_00812
OG0000332	Prar.g_00097	Pral.g_00811
OG0000333	Prar.g_00096	Pral.g_00810
OG0000334	Prar.g_00095	Pral.g_00809
OG0000335	Prar.g_00094	Pral.g_00807
OG0000336	Prar.g_00092	Pral.g_00805
OG0000337	Prar.g_00091	Pral.g_00804
OG0000338	Prar.g_00087	Pral.g_00799
OG0000339	Prar.g_00085	Pral.g_00796
OG0000340	Prar.g_00083	Pral.g_00795
OG0000341	Prar.g_00082	Pral.g_00794
OG0000342	Prar.g_00081	Pral.g_00793
OG0000343	Prar.g_00080	Pral.g_00792
OG0000344	Prar.g_00077	Pral.g_00789
OG0000345	Prar.g_00334	Pral.g_00785
OG0000346	Prar.g_00333	Pral.g_00784
OG0000347	Prar.g_00330	Pral.g_00781
OG0000348	Prar.g_00328	Pral.g_00780
OG0000349	Prar.g_00327	Pral.g_00779
OG0000350	Prar.g_00325	Pral.g_00777
OG0000351	Prar.g_00324	Pral.g_00776
OG0000352	Prar.g_00323	Pral.g_00775
OG0000353	Prar.g_00322	Pral.g_00774
OG0000354	Prar.g_00321	Pral.g_00773
OG0000355	Prar.g_00320	Pral.g_00772
OG0000356	Prar.g_00319	Pral.g_00771
OG0000357	Prar.g_00318	Pral.g_00770
OG0000358	Prar.g_00317	Pral.g_00769
OG0000359	Prar.g_00316	Pral.g_00767
OG0000360	Prar.g_00312	Pral.g_00764
OG0000361	Prar.g_00311	Pral.g_00763
OG0000362	Prar.g_00310	Pral.g_00762
OG0000363	Prar.g_00309	Pral.g_00761
OG0000364	Prar.g_00305	Pral.g_00756
OG0000365	Prar.g_00304	Pral.g_00755
OG0000366	Prar.g_00302	Pral.g_00753
OG0000367	Prar.g_00301	Pral.g_00752
OG0000368	Prar.g_00300	Pral.g_00751
OG0000369	Prar.g_00299	Pral.g_00750
OG0000370	Prar.g_00298	Pral.g_00749
OG0000371	Prar.g_00297	Pral.g_00748
OG0000372	Prar.g_00296	Pral.g_00747
OG0000373	Prar.g_00295	Pral.g_00746
OG0000374	Prar.g_00293	Pral.g_00744
OG0000375	Prar.g_00292	Pral.g_00743
OG0000376	Prar.g_00289	Pral.g_00740
OG0000377	Prar.g_00288	Pral.g_00739
OG0000378	Prar.g_00287	Pral.g_00738
OG0000379	Prar.g_00286	Pral.g_00737
OG0000380	Prar.g_00285	Pral.g_00736
OG0000381	Prar.g_00284	Pral.g_00735
OG0000382	Prar.g_00283	Pral.g_00734
OG0000383	Prar.g_00282	Pral.g_00733
OG0000384	Prar.g_00279	Pral.g_00731
OG0000385	Prar.g_00278	Pral.g_00730
OG0000386	Prar.g_00277	Pral.g_00729
OG0000387	Prar.g_00276	Pral.g_00728
OG0000388	Prar.g_00275	Pral.g_00727
OG0000389	Prar.g_00274	Pral.g_00726
OG0000390	Prar.g_00273	Pral.g_00725
OG0000391	Prar.g_00272	Pral.g_00724
OG0000392	Prar.g_00271	Pral.g_00723
OG0000393	Prar.g_00270	Pral.g_00722
OG0000394	Prar.g_00269	Pral.g_00721
OG0000395	Prar.g_00268	Pral.g_00720
OG0000396	Prar.g_00266	Pral.g_00718
OG0000397	Prar.g_00264	Pral.g_00716
OG0000398	Prar.g_00263	Pral.g_00715
OG0000399	Prar.g_00260	Pral.g_00712
OG0000400	Prar.g_00259	Pral.g_00706
OG0000401	Prar.g_00258	Pral.g_00705
OG0000402	Prar.g_00394	Pral.g_00698
OG0000403	Prar.g_00395	Pral.g_00696
OG0000404	Prar.g_00396	Pral.g_00695
OG0000405	Prar.g_00398	Pral.g_00694
OG0000406	Prar.g_00401	Pral.g_00691
OG0000407	Prar.g_00402	Pral.g_00690
OG0000408	Prar.g_00405	Pral.g_00687
OG0000409	Prar.g_00406	Pral.g_00686
OG0000410	Prar.g_00407	Pral.g_00685
OG0000411	Prar.g_00408	Pral.g_00684
OG0000412	Prar.g_00409	Pral.g_00683
OG0000413	Prar.g_00410	Pral.g_00682
OG0000414	Prar.g_00411	Pral.g_00681
OG0000415	Prar.g_00412	Pral.g_00680
OG0000416	Prar.g_00415	Pral.g_00677
OG0000417	Prar.g_00416	Pral.g_00676
OG0000418	Prar.g_00417	Pral.g_00674
OG0000419	Prar.g_00418	Pral.g_00673
OG0000420	Prar.g_00419	Pral.g_01541
OG0000421	Prar.g_00432	Pral.g_01322
OG0000422	Prar.g_00440	Pral.g_01039
OG0000423	Prar.g_00441	Pral.g_01840
OG0000424	Prar.g_00446	Pral.g_00171
OG0000425	Prar.g_00479	Pral.g_00663
OG0000426	Prar.g_00480	Pral.g_00662
OG0000427	Prar.g_00481	Pral.g_00661
OG0000428	Prar.g_00483	Pral.g_00659
OG0000429	Prar.g_00484	Pral.g_00658
OG0000430	Prar.g_00486	Pral.g_00656
OG0000431	Prar.g_00487	Pral.g_00655
OG0000432	Prar.g_00488	Pral.g_00654
OG0000433	Prar.g_00489	Pral.g_00653
OG0000434	Prar.g_00490	Pral.g_00651
OG0000435	Prar.g_00491	Pral.g_00650
OG0000436	Prar.g_00492	Pral.g_00649
OG0000437	Prar.g_00493	Pral.g_00648
OG0000438	Prar.g_00494	Pral.g_00647
OG0000439	Prar.g_00495	Pral.g_00646
OG0000440	Prar.g_00496	Pral.g_00645
OG0000441	Prar.g_00497	Pral.g_00644
OG0000442	Prar.g_00498	Pral.g_00643
OG0000443	Prar.g_00499	Pral.g_00642
OG0000444	Prar.g_00500	Pral.g_00641
OG0000445	Prar.g_00501	Pral.g_00635
OG0000446	Prar.g_00503	Pral.g_00633
OG0000447	Prar.g_00504	Pral.g_00632
OG0000448	Prar.g_00506	Pral.g_00631
OG0000449	Prar.g_00510	Pral.g_00627
OG0000450	Prar.g_00511	Pral.g_00626
OG0000451	Prar.g_00512	Pral.g_00625
OG0000452	Prar.g_00513	Pral.g_00623
OG0000453	Prar.g_00514	Pral.g_00622
OG0000454	Prar.g_00521	Pral.g_00621
OG0000455	Prar.g_00523	Pral.g_00619
OG0000456	Prar.g_00527	Pral.g_00615
OG0000457	Prar.g_00528	Pral.g_00613
OG0000458	Prar.g_00529	Pral.g_00612
OG0000459	Prar.g_00531	Pral.g_00610
OG0000460	Prar.g_00533	Pral.g_00608
OG0000461	Prar.g_00534	Pral.g_00607
OG0000462	Prar.g_00535	Pral.g_00606
OG0000463	Prar.g_00537	Pral.g_00603
OG0000464	Prar.g_00538	Pral.g_00602
OG0000465	Prar.g_00539	Pral.g_00601
OG0000466	Prar.g_00540	Pral.g_00600
OG0000467	Prar.g_00541	Pral.g_00599
OG0000468	Prar.g_00542	Pral.g_00598
OG0000469	Prar.g_00543	Pral.g_00597
OG0000470	Prar.g_00544	Pral.g_00596
OG0000471	Prar.g_00545	Pral.g_00595
OG0000472	Prar.g_01331	Pral.g_00590
OG0000473	Prar.g_01332	Pral.g_00589
OG0000474	Prar.g_01333	Pral.g_00588
OG0000475	Prar.g_01334	Pral.g_00587
OG0000476	Prar.g_01336	Pral.g_00585
OG0000477	Prar.g_01337	Pral.g_00584
OG0000478	Prar.g_01338	Pral.g_00583
OG0000479	Prar.g_01339	Pral.g_00582
OG0000480	Prar.g_01341	Pral.g_00580
OG0000481	Prar.g_01343	Pral.g_00578
OG0000482	Prar.g_01344	Pral.g_00577
OG0000483	Prar.g_01345	Pral.g_00575
OG0000484	Prar.g_01346	Pral.g_00574
OG0000485	Prar.g_01347	Pral.g_00573
OG0000486	Prar.g_01348	Pral.g_00571
OG0000487	Prar.g_01353	Pral.g_00566
OG0000488	Prar.g_01355	Pral.g_00565
OG0000489	Prar.g_01356	Pral.g_00564
OG0000490	Prar.g_01357	Pral.g_00563
OG0000491	Prar.g_01358	Pral.g_00562
OG0000492	Prar.g_01359	Pral.g_00561
OG0000493	Prar.g_01360	Pral.g_00560
OG0000494	Prar.g_01361	Pral.g_00559
OG0000495	Prar.g_01364	Pral.g_00556
OG0000496	Prar.g_01365	Pral.g_00555
OG0000497	Prar.g_01366	Pral.g_00554
OG0000498	Prar.g_01367	Pral.g_00553
OG0000499	Prar.g_01368	Pral.g_00552
OG0000500	Prar.g_01370	Pral.g_00550
OG0000501	Prar.g_01371	Pral.g_00549
OG0000502	Prar.g_01372	Pral.g_00548
OG0000503	Prar.g_01374	Pral.g_00546
OG0000504	Prar.g_01375	Pral.g_00545
OG0000505	Prar.g_01376	Pral.g_00544
OG0000506	Prar.g_01377	Pral.g_00543
OG0000507	Prar.g_01378	Pral.g_00542
OG0000508	Prar.g_01379	Pral.g_00541
OG0000509	Prar.g_01380	Pral.g_00540
OG0000510	Prar.g_01381	Pral.g_00539
OG0000511	Prar.g_01383	Pral.g_00537
OG0000512	Prar.g_01384	Pral.g_00536
OG0000513	Prar.g_01385	Pral.g_00535
OG0000514	Prar.g_01386	Pral.g_00534
OG0000515	Prar.g_01387	Pral.g_00533
OG0000516	Prar.g_01388	Pral.g_00532
OG0000517	Prar.g_01390	Pral.g_00530
OG0000518	Prar.g_01391	Pral.g_00529
OG0000519	Prar.g_01392	Pral.g_00527
OG0000520	Prar.g_01393	Pral.g_00525
OG0000521	Prar.g_01394	Pral.g_00524
OG0000522	Prar.g_01395	Pral.g_00523
OG0000523	Prar.g_01396	Pral.g_00522
OG0000524	Prar.g_01397	Pral.g_00521
OG0000525	Prar.g_01398	Pral.g_00520
OG0000526	Prar.g_01399	Pral.g_00519
OG0000527	Prar.g_01400	Pral.g_00518
OG0000528	Prar.g_01401	Pral.g_00516
OG0000529	Prar.g_01402	Pral.g_00515
OG0000530	Prar.g_01403	Pral.g_00514
OG0000531	Prar.g_01404	Pral.g_00513
OG0000532	Prar.g_01405	Pral.g_00512
OG0000533	Prar.g_01407	Pral.g_00510
OG0000534	Prar.g_01408	Pral.g_00509
OG0000535	Prar.g_01409	Pral.g_00508
OG0000536	Prar.g_01410	Pral.g_00507
OG0000537	Prar.g_01411	Pral.g_00506
OG0000538	Prar.g_01412	Pral.g_00505
OG0000539	Prar.g_01415	Pral.g_00503
OG0000540	Prar.g_01416	Pral.g_00502
OG0000541	Prar.g_01417	Pral.g_00501
OG0000542	Prar.g_01420	Pral.g_00498
OG0000543	Prar.g_01422	Pral.g_00497
OG0000544	Prar.g_01423	Pral.g_00496
OG0000545	Prar.g_01424	Pral.g_00495
OG0000546	Prar.g_01425	Pral.g_00494
OG0000547	Prar.g_01426	Pral.g_00493
OG0000548	Prar.g_01427	Pral.g_00492
OG0000549	Prar.g_01429	Pral.g_00490
OG0000550	Prar.g_01430	Pral.g_00489
OG0000551	Prar.g_01431	Pral.g_00488
OG0000552	Prar.g_01432	Pral.g_00487
OG0000553	Prar.g_01433	Pral.g_00486
OG0000554	Prar.g_01434	Pral.g_00485
OG0000555	Prar.g_01435	Pral.g_00483
OG0000556	Prar.g_01436	Pral.g_00482
OG0000557	Prar.g_01437	Pral.g_00481
OG0000558	Prar.g_01438	Pral.g_00480
OG0000559	Prar.g_01439	Pral.g_00479
OG0000560	Prar.g_01440	Pral.g_00478
OG0000561	Prar.g_01441	Pral.g_00477
OG0000562	Prar.g_01442	Pral.g_00476
OG0000563	Prar.g_01443	Pral.g_00475
OG0000564	Prar.g_01444	Pral.g_00474
OG0000565	Prar.g_01445	Pral.g_00472
OG0000566	Prar.g_01446	Pral.g_00471
OG0000567	Prar.g_01447	Pral.g_00470
OG0000568	Prar.g_01448	Pral.g_00469
OG0000569	Prar.g_01451	Pral.g_00466
OG0000570	Prar.g_01452	Pral.g_00465
OG0000571	Prar.g_01454	Pral.g_00464
OG0000572	Prar.g_01455	Pral.g_00462
OG0000573	Prar.g_01456	Pral.g_00461
OG0000574	Prar.g_01457	Pral.g_00460
OG0000575	Prar.g_01458	Pral.g_00459
OG0000576	Prar.g_01459	Pral.g_00458
OG0000577	Prar.g_01460	Pral.g_01430
OG0000578	Prar.g_01461	Pral.g_01432
OG0000579	Prar.g_01462	Pral.g_01433
OG0000580	Prar.g_01463	Pral.g_01434
OG0000581	Prar.g_01464	Pral.g_01435
OG0000582	Prar.g_01465	Pral.g_01436
OG0000583	Prar.g_01466	Pral.g_01437
