Orthogroup	Prbc	Prae
OG0000164	Prbc.g_00854	Prae.g_01647
OG0000165	Prbc.g_00862	Prae.g_01654
OG0000166	Prbc.g_00321	Prae.g_01722
OG0000167	Prbc.g_00238	Prae.g_01789
OG0000168	Prbc.g_00227	Prae.g_01799
OG0000169	Prbc.g_00217	Prae.g_01809
OG0000170	Prbc.g_00215	Prae.g_01811
OG0000171	Prbc.g_00194	Prae.g_01830
OG0000172	Prbc.g_00967	Prae.g_01838
OG0000173	Prbc.g_00982	Prae.g_01853
OG0000174	Prbc.g_01013	Prae.g_01881
OG0000175	Prbc.g_01044	Prae.g_01891
OG0000176	Prbc.g_01074	Prae.g_00004
OG0000177	Prbc.g_01075	Prae.g_00005
OG0000178	Prbc.g_01076	Prae.g_00006
OG0000179	Prbc.g_01086	Prae.g_00016
OG0000180	Prbc.g_01087	Prae.g_00017
OG0000181	Prbc.g_01088	Prae.g_00018
OG0000182	Prbc.g_01089	Prae.g_00019
OG0000183	Prbc.g_01093	Prae.g_00023
OG0000184	Prbc.g_01124	Prae.g_00048
OG0000185	Prbc.g_01127	Prae.g_00051
OG0000186	Prbc.g_00509	Prae.g_00064
OG0000187	Prbc.g_00508	Prae.g_00065
OG0000188	Prbc.g_00491	Prae.g_00082
OG0000189	Prbc.g_00477	Prae.g_00096
OG0000190	Prbc.g_00476	Prae.g_00097
OG0000191	Prbc.g_00453	Prae.g_00117
OG0000192	Prbc.g_00449	Prae.g_00121
OG0000193	Prbc.g_00425	Prae.g_00149
OG0000194	Prbc.g_00422	Prae.g_00152
OG0000195	Prbc.g_00420	Prae.g_00154
OG0000196	Prbc.g_00410	Prae.g_00164
OG0000197	Prbc.g_00409	Prae.g_00165
OG0000198	Prbc.g_00408	Prae.g_00166
OG0000199	Prbc.g_00401	Prae.g_00173
OG0000200	Prbc.g_00388	Prae.g_00187
OG0000201	Prbc.g_00379	Prae.g_00195
OG0000202	Prbc.g_00378	Prae.g_00196
OG0000203	Prbc.g_00377	Prae.g_00197
OG0000204	Prbc.g_00376	Prae.g_00198
OG0000205	Prbc.g_00369	Prae.g_00205
OG0000206	Prbc.g_00365	Prae.g_00210
OG0000207	Prbc.g_00363	Prae.g_00212
OG0000208	Prbc.g_00362	Prae.g_00213
OG0000209	Prbc.g_00352	Prae.g_00222
OG0000210	Prbc.g_00351	Prae.g_00223
OG0000211	Prbc.g_00337	Prae.g_00236
OG0000212	Prbc.g_00329	Prae.g_00243
OG0000213	Prbc.g_01153	Prae.g_00260
OG0000214	Prbc.g_01161	Prae.g_00270
OG0000215	Prbc.g_01185	Prae.g_00293
OG0000216	Prbc.g_01186	Prae.g_00295
OG0000217	Prbc.g_01189	Prae.g_00298
OG0000218	Prbc.g_01191	Prae.g_00300
OG0000219	Prbc.g_01192	Prae.g_00301
OG0000220	Prbc.g_01193	Prae.g_00302
OG0000221	Prbc.g_01194	Prae.g_00303
OG0000222	Prbc.g_01202	Prae.g_00311
OG0000223	Prbc.g_01215	Prae.g_00324
OG0000224	Prbc.g_01217	Prae.g_00326
OG0000225	Prbc.g_01257	Prae.g_00345
OG0000226	Prbc.g_01261	Prae.g_00349
OG0000227	Prbc.g_01263	Prae.g_00351
OG0000228	Prbc.g_01267	Prae.g_00354
OG0000229	Prbc.g_01497	Prae.g_00410
OG0000230	Prbc.g_01499	Prae.g_00412
OG0000231	Prbc.g_01510	Prae.g_00423
OG0000232	Prbc.g_01518	Prae.g_00432
OG0000233	Prbc.g_01526	Prae.g_00437
OG0000234	Prbc.g_01535	Prae.g_00450
OG0000235	Prbc.g_01539	Prae.g_00453
OG0000236	Prbc.g_01552	Prae.g_00467
OG0000237	Prbc.g_01586	Prae.g_00480
OG0000238	Prbc.g_01592	Prae.g_00486
OG0000239	Prbc.g_01604	Prae.g_00499
OG0000240	Prbc.g_01605	Prae.g_00500
OG0000241	Prbc.g_01609	Prae.g_00504
OG0000242	Prbc.g_01611	Prae.g_00506
OG0000243	Prbc.g_01622	Prae.g_00518
OG0000244	Prbc.g_01626	Prae.g_00521
OG0000245	Prbc.g_01628	Prae.g_00523
OG0000246	Prbc.g_01632	Prae.g_00527
OG0000247	Prbc.g_01642	Prae.g_00537
OG0000248	Prbc.g_01644	Prae.g_00539
OG0000249	Prbc.g_01646	Prae.g_00541
OG0000250	Prbc.g_01651	Prae.g_00546
OG0000251	Prbc.g_01667	Prae.g_00565
OG0000252	Prbc.g_01669	Prae.g_00568
OG0000253	Prbc.g_01671	Prae.g_00569
OG0000254	Prbc.g_01688	Prae.g_00585
OG0000255	Prbc.g_01694	Prae.g_00591
OG0000256	Prbc.g_01704	Prae.g_00601
OG0000257	Prbc.g_01707	Prae.g_00604
OG0000258	Prbc.g_01720	Prae.g_00617
OG0000259	Prbc.g_01737	Prae.g_00634
OG0000260	Prbc.g_01740	Prae.g_00637
OG0000261	Prbc.g_01743	Prae.g_00639
OG0000262	Prbc.g_01748	Prae.g_00643
OG0000263	Prbc.g_01762	Prae.g_00655
OG0000264	Prbc.g_01773	Prae.g_00665
OG0000265	Prbc.g_01787	Prae.g_00711
OG0000266	Prbc.g_01797	Prae.g_00721
OG0000267	Prbc.g_01810	Prae.g_00732
OG0000268	Prbc.g_01811	Prae.g_00733
OG0000269	Prbc.g_01853	Prae.g_00801
OG0000270	Prbc.g_01856	Prae.g_00804
OG0000271	Prbc.g_01864	Prae.g_00812
OG0000272	Prbc.g_01865	Prae.g_00813
OG0000273	Prbc.g_01890	Prae.g_00836
OG0000274	Prbc.g_01891	Prae.g_00837
OG0000275	Prbc.g_01893	Prae.g_00839
OG0000276	Prbc.g_01899	Prae.g_00844
OG0000277	Prbc.g_01900	Prae.g_00845
OG0000278	Prbc.g_01904	Prae.g_00848
OG0000279	Prbc.g_01911	Prae.g_00855
OG0000280	Prbc.g_00068	Prae.g_00856
OG0000281	Prbc.g_01917	Prae.g_00861
OG0000282	Prbc.g_01979	Prae.g_00910
OG0000283	Prbc.g_02010	Prae.g_00941
OG0000284	Prbc.g_02015	Prae.g_00946
OG0000285	Prbc.g_02020	Prae.g_00951
OG0000286	Prbc.g_02035	Prae.g_00963
OG0000287	Prbc.g_02190	Prae.g_00980
OG0000288	Prbc.g_02082	Prae.g_01013
OG0000289	Prbc.g_02094	Prae.g_01024
OG0000290	Prbc.g_02110	Prae.g_01037
OG0000291	Prbc.g_02112	Prae.g_01039
OG0000292	Prbc.g_00173	Prae.g_01090
OG0000293	Prbc.g_01456	Prae.g_01154
OG0000294	Prbc.g_01455	Prae.g_01155
OG0000295	Prbc.g_01431	Prae.g_01175
OG0000296	Prbc.g_01429	Prae.g_01177
OG0000297	Prbc.g_01421	Prae.g_01185
OG0000298	Prbc.g_01420	Prae.g_01186
OG0000299	Prbc.g_01401	Prae.g_01203
OG0000300	Prbc.g_01398	Prae.g_01206
OG0000301	Prbc.g_01397	Prae.g_01207
OG0000302	Prbc.g_01395	Prae.g_01209
OG0000303	Prbc.g_01390	Prae.g_01216
OG0000304	Prbc.g_01387	Prae.g_01220
OG0000305	Prbc.g_00810	Prae.g_01360
OG0000306	Prbc.g_01921	Prae.g_01363
OG0000307	Prbc.g_00666	Prae.g_01377
OG0000308	Prbc.g_00667	Prae.g_01378
OG0000309	Prbc.g_00671	Prae.g_01382
OG0000310	Prbc.g_00693	Prae.g_01444
OG0000311	Prbc.g_00695	Prae.g_01446
OG0000312	Prbc.g_00698	Prae.g_01449
OG0000313	Prbc.g_00713	Prae.g_01463
OG0000314	Prbc.g_00734	Prae.g_01486
OG0000315	Prbc.g_00744	Prae.g_01496
OG0000316	Prbc.g_00768	Prae.g_01516
OG0000317	Prbc.g_00830	Prae.g_01621
OG0000318	Prbc.g_00833	Prae.g_01624
OG0000319	Prbc.g_00844	Prae.g_01637
OG0000320	Prbc.g_00846	Prae.g_01639
OG0000321	Prbc.g_00847	Prae.g_01640
OG0000322	Prbc.g_00848	Prae.g_01641
OG0000323	Prbc.g_00857	Prae.g_01650
OG0000324	Prbc.g_00884	Prae.g_01676
OG0000325	Prbc.g_00935	Prae.g_01687
OG0000326	Prbc.g_00941	Prae.g_01693
OG0000327	Prbc.g_00326	Prae.g_01717
OG0000328	Prbc.g_00325	Prae.g_01718
OG0000329	Prbc.g_00308	Prae.g_01735
OG0000330	Prbc.g_00307	Prae.g_01736
OG0000331	Prbc.g_00306	Prae.g_01737
OG0000332	Prbc.g_00292	Prae.g_01751
OG0000333	Prbc.g_00290	Prae.g_01753
OG0000334	Prbc.g_00281	Prae.g_01761
OG0000335	Prbc.g_00276	Prae.g_01767
OG0000336	Prbc.g_00272	Prae.g_01771
OG0000337	Prbc.g_00241	Prae.g_01787
OG0000338	Prbc.g_00240	Prae.g_01788
OG0000339	Prbc.g_00235	Prae.g_01792
OG0000340	Prbc.g_00226	Prae.g_01800
OG0000341	Prbc.g_00224	Prae.g_01802
OG0000342	Prbc.g_00223	Prae.g_01803
OG0000343	Prbc.g_00222	Prae.g_01804
OG0000344	Prbc.g_00219	Prae.g_01807
OG0000345	Prbc.g_00214	Prae.g_01812
OG0000346	Prbc.g_00210	Prae.g_01816
OG0000347	Prbc.g_00190	Prae.g_01832
OG0000348	Prbc.g_00970	Prae.g_01841
OG0000349	Prbc.g_00988	Prae.g_01858
OG0000350	Prbc.g_01009	Prae.g_01877
OG0000351	Prbc.g_01047	Prae.g_01894
OG0000352	Prbc.g_01048	Prae.g_01895
OG0000353	Prbc.g_01068	Prae.g_01910
OG0000355	Prbc.g_01071	Prae.g_00001
OG0000356	Prbc.g_01072	Prae.g_00002
OG0000357	Prbc.g_01073	Prae.g_00003
OG0000358	Prbc.g_01077	Prae.g_00007
OG0000359	Prbc.g_01078	Prae.g_00008
OG0000360	Prbc.g_01079	Prae.g_00009
OG0000361	Prbc.g_01080	Prae.g_00010
OG0000362	Prbc.g_01082	Prae.g_00012
OG0000363	Prbc.g_01084	Prae.g_00014
OG0000364	Prbc.g_01085	Prae.g_00015
OG0000365	Prbc.g_01090	Prae.g_00020
OG0000366	Prbc.g_01091	Prae.g_00021
OG0000367	Prbc.g_01092	Prae.g_00022
OG0000368	Prbc.g_01094	Prae.g_00024
OG0000369	Prbc.g_01095	Prae.g_00025
OG0000370	Prbc.g_01096	Prae.g_00026
OG0000371	Prbc.g_01102	Prae.g_00032
OG0000372	Prbc.g_01104	Prae.g_00035
OG0000373	Prbc.g_01105	Prae.g_00036
OG0000374	Prbc.g_01106	Prae.g_00037
OG0000375	Prbc.g_01118	Prae.g_00042
OG0000376	Prbc.g_01120	Prae.g_00044
OG0000377	Prbc.g_01123	Prae.g_00047
OG0000378	Prbc.g_01125	Prae.g_00049
OG0000379	Prbc.g_01128	Prae.g_00052
OG0000380	Prbc.g_00507	Prae.g_00066
OG0000381	Prbc.g_00503	Prae.g_00070
OG0000382	Prbc.g_00492	Prae.g_00081
OG0000383	Prbc.g_00490	Prae.g_00083
OG0000384	Prbc.g_00489	Prae.g_00084
OG0000385	Prbc.g_00488	Prae.g_00085
OG0000386	Prbc.g_00487	Prae.g_00086
OG0000387	Prbc.g_00474	Prae.g_00099
OG0000388	Prbc.g_00470	Prae.g_00102
OG0000389	Prbc.g_00467	Prae.g_00105
OG0000390	Prbc.g_00458	Prae.g_00112
OG0000391	Prbc.g_00454	Prae.g_00116
OG0000392	Prbc.g_00451	Prae.g_00120
OG0000393	Prbc.g_00448	Prae.g_00122
OG0000394	Prbc.g_00447	Prae.g_00123
OG0000395	Prbc.g_00446	Prae.g_00124
OG0000396	Prbc.g_00443	Prae.g_00127
OG0000397	Prbc.g_00441	Prae.g_00129
OG0000398	Prbc.g_00438	Prae.g_00131
OG0000399	Prbc.g_00437	Prae.g_00132
OG0000400	Prbc.g_00436	Prae.g_00133
OG0000401	Prbc.g_00435	Prae.g_00134
OG0000402	Prbc.g_02145	Prae.g_00136
OG0000403	Prbc.g_00434	Prae.g_00137
OG0000404	Prbc.g_00433	Prae.g_00138
OG0000405	Prbc.g_00428	Prae.g_00142
OG0000406	Prbc.g_00424	Prae.g_00150
OG0000407	Prbc.g_00423	Prae.g_00151
OG0000408	Prbc.g_00421	Prae.g_00153
OG0000409	Prbc.g_00419	Prae.g_00155
OG0000410	Prbc.g_00418	Prae.g_00156
OG0000411	Prbc.g_00417	Prae.g_00157
OG0000412	Prbc.g_00416	Prae.g_00158
OG0000413	Prbc.g_00415	Prae.g_00159
OG0000414	Prbc.g_00414	Prae.g_00160
OG0000415	Prbc.g_00413	Prae.g_00161
OG0000416	Prbc.g_00412	Prae.g_00162
OG0000417	Prbc.g_00411	Prae.g_00163
OG0000418	Prbc.g_00406	Prae.g_00168
OG0000419	Prbc.g_00404	Prae.g_00170
OG0000420	Prbc.g_00403	Prae.g_00171
OG0000421	Prbc.g_00399	Prae.g_00176
OG0000422	Prbc.g_00398	Prae.g_00177
OG0000423	Prbc.g_00397	Prae.g_00178
OG0000424	Prbc.g_00396	Prae.g_00179
OG0000425	Prbc.g_00395	Prae.g_00180
OG0000426	Prbc.g_00394	Prae.g_00181
OG0000427	Prbc.g_00393	Prae.g_00182
OG0000428	Prbc.g_00391	Prae.g_00184
OG0000429	Prbc.g_00390	Prae.g_00185
OG0000430	Prbc.g_00389	Prae.g_00186
OG0000431	Prbc.g_00387	Prae.g_00188
OG0000432	Prbc.g_00383	Prae.g_00191
OG0000433	Prbc.g_00382	Prae.g_00192
OG0000434	Prbc.g_00381	Prae.g_00193
OG0000435	Prbc.g_00380	Prae.g_00194
OG0000436	Prbc.g_00375	Prae.g_00199
OG0000437	Prbc.g_00374	Prae.g_00200
OG0000438	Prbc.g_00373	Prae.g_00201
OG0000439	Prbc.g_00371	Prae.g_00203
OG0000440	Prbc.g_00370	Prae.g_00204
OG0000441	Prbc.g_00368	Prae.g_00207
OG0000442	Prbc.g_00367	Prae.g_00208
OG0000443	Prbc.g_00366	Prae.g_00209
OG0000444	Prbc.g_00361	Prae.g_00214
OG0000445	Prbc.g_00360	Prae.g_00215
OG0000446	Prbc.g_00358	Prae.g_00216
OG0000447	Prbc.g_00357	Prae.g_00217
OG0000448	Prbc.g_00356	Prae.g_00218
OG0000449	Prbc.g_00355	Prae.g_00219
OG0000450	Prbc.g_00354	Prae.g_00220
OG0000451	Prbc.g_00353	Prae.g_00221
OG0000452	Prbc.g_00350	Prae.g_00224
OG0000453	Prbc.g_00349	Prae.g_00225
OG0000454	Prbc.g_00348	Prae.g_00226
OG0000455	Prbc.g_00347	Prae.g_00227
OG0000456	Prbc.g_00346	Prae.g_00228
OG0000457	Prbc.g_00345	Prae.g_00229
OG0000458	Prbc.g_00344	Prae.g_00230
OG0000459	Prbc.g_00343	Prae.g_00231
OG0000460	Prbc.g_00335	Prae.g_00238
OG0000461	Prbc.g_01140	Prae.g_00245
OG0000462	Prbc.g_01142	Prae.g_00247
OG0000463	Prbc.g_01143	Prae.g_00248
OG0000464	Prbc.g_01144	Prae.g_00249
OG0000465	Prbc.g_01145	Prae.g_00250
OG0000466	Prbc.g_01146	Prae.g_00253
OG0000467	Prbc.g_01147	Prae.g_00254
OG0000468	Prbc.g_01149	Prae.g_00256
OG0000469	Prbc.g_01156	Prae.g_00265
OG0000470	Prbc.g_01158	Prae.g_00267
OG0000471	Prbc.g_01159	Prae.g_00268
OG0000472	Prbc.g_01160	Prae.g_00269
OG0000473	Prbc.g_01162	Prae.g_00271
OG0000474	Prbc.g_01163	Prae.g_00272
OG0000475	Prbc.g_01164	Prae.g_00273
OG0000476	Prbc.g_01166	Prae.g_00274
OG0000477	Prbc.g_01168	Prae.g_00276
OG0000478	Prbc.g_01169	Prae.g_00277
OG0000479	Prbc.g_01170	Prae.g_00278
OG0000480	Prbc.g_01175	Prae.g_00283
OG0000481	Prbc.g_01177	Prae.g_00285
OG0000482	Prbc.g_01178	Prae.g_00286
OG0000483	Prbc.g_01181	Prae.g_00289
OG0000484	Prbc.g_01182	Prae.g_00290
OG0000485	Prbc.g_01183	Prae.g_00291
OG0000486	Prbc.g_01184	Prae.g_00292
OG0000487	Prbc.g_01187	Prae.g_00296
OG0000488	Prbc.g_01190	Prae.g_00299
OG0000489	Prbc.g_01195	Prae.g_00304
OG0000490	Prbc.g_01200	Prae.g_00309
OG0000491	Prbc.g_01201	Prae.g_00310
OG0000492	Prbc.g_01203	Prae.g_00312
OG0000493	Prbc.g_01204	Prae.g_00313
OG0000494	Prbc.g_01205	Prae.g_00314
OG0000495	Prbc.g_01206	Prae.g_00315
OG0000496	Prbc.g_01207	Prae.g_00316
OG0000497	Prbc.g_01208	Prae.g_00317
OG0000498	Prbc.g_01209	Prae.g_00318
OG0000499	Prbc.g_01210	Prae.g_00319
OG0000500	Prbc.g_01211	Prae.g_00320
OG0000501	Prbc.g_01213	Prae.g_00322
OG0000502	Prbc.g_01216	Prae.g_00325
OG0000503	Prbc.g_01246	Prae.g_00335
OG0000504	Prbc.g_01248	Prae.g_00336
OG0000505	Prbc.g_01249	Prae.g_00337
OG0000506	Prbc.g_01250	Prae.g_00338
OG0000507	Prbc.g_01253	Prae.g_00341
OG0000508	Prbc.g_01256	Prae.g_00344
OG0000509	Prbc.g_01258	Prae.g_00346
OG0000510	Prbc.g_01259	Prae.g_00347
OG0000511	Prbc.g_01260	Prae.g_00348
OG0000512	Prbc.g_01262	Prae.g_00350
OG0000513	Prbc.g_01271	Prae.g_00357
OG0000514	Prbc.g_01492	Prae.g_00405
OG0000515	Prbc.g_01493	Prae.g_00406
OG0000516	Prbc.g_01494	Prae.g_00407
OG0000517	Prbc.g_01496	Prae.g_00409
OG0000518	Prbc.g_01507	Prae.g_00420
OG0000519	Prbc.g_01508	Prae.g_00421
OG0000520	Prbc.g_01509	Prae.g_00422
OG0000521	Prbc.g_01514	Prae.g_00427
OG0000522	Prbc.g_01516	Prae.g_00429
OG0000523	Prbc.g_01517	Prae.g_00430
OG0000524	Prbc.g_01524	Prae.g_00435
OG0000525	Prbc.g_01528	Prae.g_00438
OG0000526	Prbc.g_01529	Prae.g_00439
OG0000527	Prbc.g_01532	Prae.g_00447
OG0000528	Prbc.g_01538	Prae.g_00452
OG0000529	Prbc.g_01541	Prae.g_00455
OG0000530	Prbc.g_01544	Prae.g_00458
OG0000531	Prbc.g_01545	Prae.g_00459
OG0000532	Prbc.g_01546	Prae.g_00461
OG0000533	Prbc.g_01547	Prae.g_00462
OG0000534	Prbc.g_01548	Prae.g_00463
OG0000535	Prbc.g_01549	Prae.g_00464
OG0000536	Prbc.g_01550	Prae.g_00465
OG0000537	Prbc.g_01551	Prae.g_00466
OG0000538	Prbc.g_01580	Prae.g_00474
OG0000539	Prbc.g_01581	Prae.g_00475
OG0000540	Prbc.g_01582	Prae.g_00476
OG0000541	Prbc.g_01583	Prae.g_00477
OG0000542	Prbc.g_01585	Prae.g_00479
OG0000543	Prbc.g_01587	Prae.g_00481
OG0000544	Prbc.g_01588	Prae.g_00482
OG0000545	Prbc.g_01590	Prae.g_00484
OG0000546	Prbc.g_01593	Prae.g_00487
OG0000547	Prbc.g_01595	Prae.g_00489
OG0000548	Prbc.g_01596	Prae.g_00490
OG0000549	Prbc.g_01599	Prae.g_00492
OG0000550	Prbc.g_01603	Prae.g_00497
OG0000551	Prbc.g_01606	Prae.g_00501
OG0000552	Prbc.g_01607	Prae.g_00502
OG0000553	Prbc.g_01608	Prae.g_00503
