Orthogroup	Prbc	Syah
OG0000057	Prbc.g_00055, Prbc.g_01780	Syah.g_02020
OG0000058	Prbc.g_01928	Syah.g_00152
OG0000059	Prbc.g_00958	Syah.g_00737
OG0000061	Prbc.g_01446	Syah.g_02158
OG0000062	Prbc.g_00790	Syah.g_02365
OG0000063	Prbc.g_00932	Syah.g_00337
OG0000065	Prbc.g_00466	Syah.g_02537, Syah.g_02443
OG0000066	Prbc.g_01618	Syah.g_01073
OG0000067	Prbc.g_01858	Syah.g_01779
OG0000068	Prbc.g_00657	Syah.g_00986
OG0000069	Prbc.g_02181, Prbc.g_00752	Syah.g_01715
OG0000070	Prbc.g_01511	Syah.g_02217
OG0000071	Prbc.g_00566	Syah.g_01863, Syah.g_02199
OG0000072	Prbc.g_00400	Syah.g_00080
OG0000073	Prbc.g_01579	Syah.g_01018
OG0000074	Prbc.g_02148	Syah.g_00951
OG0000075	Prbc.g_00236	Syah.g_00186
OG0000076	Prbc.g_00211	Syah.g_00250
OG0000077	Prbc.g_00495	Syah.g_02494
OG0000078	Prbc.g_00330	Syah.g_00912
OG0000079	Prbc.g_01148	Syah.g_00665
OG0000080	Prbc.g_00679	Syah.g_00290
OG0000081	Prbc.g_01610	Syah.g_00922, Syah.g_02471
OG0000082	Prbc.g_00891	Syah.g_01136
OG0000084	Prbc.g_00705	Syah.g_02105, Syah.g_01296
OG0000085	Prbc.g_00826	Syah.g_02372
OG0000086	Prbc.g_00485	Syah.g_02511
OG0000087	Prbc.g_00432	Syah.g_00038
OG0000088	Prbc.g_00405	Syah.g_00074
OG0000089	Prbc.g_01268	Syah.g_00888
OG0000090	Prbc.g_01612	Syah.g_01064
OG0000091	Prbc.g_01719	Syah.g_01927
OG0000093	Prbc.g_01843	Syah.g_01794
OG0000094	Prbc.g_01935	Syah.g_01692
OG0000095	Prbc.g_02113	Syah.g_02030
OG0000097	Prbc.g_01400	Syah.g_01400
OG0000098	Prbc.g_00585	Syah.g_00723
OG0000099	Prbc.g_01229	Syah.g_00144
OG0000100	Prbc.g_00785	Syah.g_01747
OG0000101	Prbc.g_00284	Syah.g_00785
OG0000102	Prbc.g_00206	Syah.g_00255
OG0000103	Prbc.g_01053	Syah.g_00391
OG0000104	Prbc.g_01065	Syah.g_00377
OG0000105	Prbc.g_01167	Syah.g_00632
OG0000106	Prbc.g_00134, Prbc.g_00641	Syah.g_01544
OG0000107	Prbc.g_00934	Syah.g_00688
OG0000108	Prbc.g_01540	Syah.g_00997
OG0000109	Prbc.g_01553	Syah.g_01012
OG0000110	Prbc.g_01654	Syah.g_01124
OG0000111	Prbc.g_01781	Syah.g_02021
OG0000112	Prbc.g_02028	Syah.g_01613
OG0000113	Prbc.g_01882, Prbc.g_00153	Syah.g_01752
OG0000114	Prbc.g_01977	Syah.g_01529
OG0000115	Prbc.g_00801	Syah.g_01269
OG0000116	Prbc.g_01457	Syah.g_02175
OG0000117	Prbc.g_00102	Syah.g_01425
OG0000118	Prbc.g_00577	Syah.g_01173
OG0000120	Prbc.g_01753	Syah.g_00145
OG0000121	Prbc.g_00711	Syah.g_01287
OG0000122	Prbc.g_00750	Syah.g_01900
OG0000123	Prbc.g_00277	Syah.g_00793
OG0000124	Prbc.g_00193	Syah.g_00272
OG0000125	Prbc.g_00997	Syah.g_00504
OG0000126	Prbc.g_01063	Syah.g_00379
OG0000128	Prbc.g_01081	Syah.g_00361
OG0000129	Prbc.g_01122	Syah.g_00516
OG0000130	Prbc.g_00504	Syah.g_02483
OG0000131	Prbc.g_00426	Syah.g_00052
OG0000132	Prbc.g_00407	Syah.g_00072
OG0000133	Prbc.g_01214	Syah.g_01618
OG0000134	Prbc.g_01270	Syah.g_00891
OG0000135	Prbc.g_02198, Prbc.g_02183	Syah.g_00465
OG0000136	Prbc.g_01502	Syah.g_02227
OG0000137	Prbc.g_01534	Syah.g_01221
OG0000138	Prbc.g_01554	Syah.g_01013
OG0000139	Prbc.g_01616	Syah.g_01070
OG0000140	Prbc.g_01617	Syah.g_01071
OG0000141	Prbc.g_01684	Syah.g_01981
OG0000142	Prbc.g_01712	Syah.g_01935
OG0000143	Prbc.g_01716	Syah.g_01931
OG0000144	Prbc.g_01729	Syah.g_01824
OG0000145	Prbc.g_02142	Syah.g_01019
OG0000146	Prbc.g_02027	Syah.g_01612
OG0000147	Prbc.g_02026	Syah.g_01611
OG0000148	Prbc.g_01876	Syah.g_01758
OG0000149	Prbc.g_01908	Syah.g_02096
OG0000150	Prbc.g_01916	Syah.g_01980
OG0000151	Prbc.g_01988	Syah.g_01820
OG0000152	Prbc.g_02036	Syah.g_01622
OG0000153	Prbc.g_02054	Syah.g_01656
OG0000154	Prbc.g_02083	Syah.g_01682
OG0000155	Prbc.g_01424	Syah.g_02123
OG0000156	Prbc.g_00555	Syah.g_02185
OG0000157	Prbc.g_00556	Syah.g_02186
OG0000158	Prbc.g_00228	Syah.g_00204
OG0000160	Prbc.g_00710	Syah.g_01289
OG0000161	Prbc.g_00716	Syah.g_01282
OG0000162	Prbc.g_00722	Syah.g_01276
OG0000163	Prbc.g_00758	Syah.g_02315
OG0000164	Prbc.g_00854	Syah.g_02423
OG0000165	Prbc.g_00862	Syah.g_02251
OG0000166	Prbc.g_00321	Syah.g_00747
OG0000167	Prbc.g_00238	Syah.g_00183
OG0000168	Prbc.g_00227	Syah.g_00205
OG0000169	Prbc.g_00217	Syah.g_00237
OG0000170	Prbc.g_00215	Syah.g_00245
OG0000171	Prbc.g_00194	Syah.g_00271
OG0000172	Prbc.g_00967	Syah.g_00293
OG0000173	Prbc.g_00982	Syah.g_00313
OG0000174	Prbc.g_01013	Syah.g_00461
OG0000175	Prbc.g_01044	Syah.g_00402
OG0000176	Prbc.g_01074	Syah.g_00369
OG0000177	Prbc.g_01075	Syah.g_00368
OG0000178	Prbc.g_01076	Syah.g_00367
OG0000179	Prbc.g_01086	Syah.g_00355
OG0000180	Prbc.g_01087	Syah.g_00354
OG0000181	Prbc.g_01088	Syah.g_00353
OG0000182	Prbc.g_01089	Syah.g_00352
OG0000183	Prbc.g_01093	Syah.g_00348
OG0000184	Prbc.g_01124	Syah.g_00525
OG0000185	Prbc.g_01127	Syah.g_00528
OG0000186	Prbc.g_00509	Syah.g_02479
OG0000187	Prbc.g_00508	Syah.g_02480
OG0000188	Prbc.g_00491	Syah.g_02501
OG0000189	Prbc.g_00477	Syah.g_02526
OG0000190	Prbc.g_00476	Syah.g_02528
OG0000191	Prbc.g_00453	Syah.g_00008
OG0000192	Prbc.g_00449	Syah.g_00013
OG0000193	Prbc.g_00425	Syah.g_00053
OG0000194	Prbc.g_00422	Syah.g_00056
OG0000195	Prbc.g_00420	Syah.g_00058
OG0000196	Prbc.g_00410	Syah.g_00069
OG0000197	Prbc.g_00409	Syah.g_00070
OG0000198	Prbc.g_00408	Syah.g_00071
OG0000199	Prbc.g_00401	Syah.g_00079
OG0000200	Prbc.g_00388	Syah.g_00616
OG0000201	Prbc.g_00379	Syah.g_00601
OG0000202	Prbc.g_00378	Syah.g_00600
OG0000203	Prbc.g_00377	Syah.g_00599
OG0000204	Prbc.g_00376	Syah.g_00598
OG0000205	Prbc.g_00369	Syah.g_00591
OG0000206	Prbc.g_00365	Syah.g_00578
OG0000207	Prbc.g_00363	Syah.g_00575
OG0000208	Prbc.g_00362	Syah.g_00574
OG0000209	Prbc.g_00352	Syah.g_00544
OG0000210	Prbc.g_00351	Syah.g_00543
OG0000211	Prbc.g_00337	Syah.g_00904
OG0000212	Prbc.g_00329	Syah.g_00913
OG0000213	Prbc.g_01153	Syah.g_00657
OG0000214	Prbc.g_01161	Syah.g_00641
OG0000215	Prbc.g_01185	Syah.g_00101
OG0000216	Prbc.g_01186	Syah.g_00105
OG0000217	Prbc.g_01189	Syah.g_00109
OG0000218	Prbc.g_01191	Syah.g_00111
OG0000219	Prbc.g_01192	Syah.g_00112
OG0000220	Prbc.g_01193	Syah.g_00113
OG0000221	Prbc.g_01194	Syah.g_00120
OG0000222	Prbc.g_01202	Syah.g_00131
OG0000223	Prbc.g_01215	Syah.g_00153
OG0000224	Prbc.g_01217	Syah.g_00162
OG0000225	Prbc.g_01257	Syah.g_00874
OG0000226	Prbc.g_01261	Syah.g_00878
OG0000227	Prbc.g_01263	Syah.g_00880
OG0000228	Prbc.g_01267	Syah.g_00887
OG0000229	Prbc.g_01497	Syah.g_02236
OG0000230	Prbc.g_01499	Syah.g_02234
OG0000231	Prbc.g_01510	Syah.g_02218
OG0000232	Prbc.g_01518	Syah.g_01206
OG0000233	Prbc.g_01526	Syah.g_01210
OG0000234	Prbc.g_01535	Syah.g_01222
OG0000235	Prbc.g_01539	Syah.g_00996
OG0000236	Prbc.g_01552	Syah.g_01011
OG0000237	Prbc.g_01586	Syah.g_01028
OG0000238	Prbc.g_01592	Syah.g_01032
OG0000239	Prbc.g_01604	Syah.g_01048
OG0000240	Prbc.g_01605	Syah.g_01049
OG0000241	Prbc.g_01609	Syah.g_01944
OG0000242	Prbc.g_01611	Syah.g_01062
OG0000243	Prbc.g_01622	Syah.g_01079
OG0000244	Prbc.g_01626	Syah.g_01087
OG0000245	Prbc.g_01628	Syah.g_01090
OG0000246	Prbc.g_01632	Syah.g_01094
OG0000247	Prbc.g_01642	Syah.g_01106
OG0000248	Prbc.g_01644	Syah.g_01109
OG0000249	Prbc.g_01646	Syah.g_01111
OG0000250	Prbc.g_01651	Syah.g_01120
OG0000251	Prbc.g_01667	Syah.g_01145
OG0000252	Prbc.g_01669	Syah.g_01148
OG0000253	Prbc.g_01671	Syah.g_01149
OG0000254	Prbc.g_01688	Syah.g_01976
OG0000255	Prbc.g_01694	Syah.g_01968
OG0000256	Prbc.g_01704	Syah.g_01952
OG0000257	Prbc.g_01707	Syah.g_01945
OG0000258	Prbc.g_01720	Syah.g_01926
OG0000259	Prbc.g_01737	Syah.g_01494
OG0000260	Prbc.g_01740	Syah.g_01497
OG0000261	Prbc.g_01743	Syah.g_01500
OG0000262	Prbc.g_01748	Syah.g_01505
OG0000263	Prbc.g_01762	Syah.g_01410
OG0000264	Prbc.g_01773	Syah.g_02000
OG0000265	Prbc.g_01787	Syah.g_02252
OG0000266	Prbc.g_01797	Syah.g_01714
OG0000267	Prbc.g_01810	Syah.g_01574
OG0000268	Prbc.g_01811	Syah.g_01575
OG0000269	Prbc.g_01853	Syah.g_01784
OG0000270	Prbc.g_01856	Syah.g_01781
OG0000271	Prbc.g_01864	Syah.g_01773
OG0000272	Prbc.g_01865	Syah.g_01772
OG0000273	Prbc.g_01890	Syah.g_02075
OG0000274	Prbc.g_01891	Syah.g_02076
OG0000275	Prbc.g_01893	Syah.g_02081
OG0000276	Prbc.g_01899	Syah.g_02088
OG0000277	Prbc.g_01900	Syah.g_02089
OG0000278	Prbc.g_01904	Syah.g_02092
OG0000279	Prbc.g_01911	Syah.g_02100
OG0000280	Prbc.g_00068	Syah.g_02112
OG0000281	Prbc.g_01917	Syah.g_00722
OG0000282	Prbc.g_01979	Syah.g_01531
OG0000283	Prbc.g_02010	Syah.g_01585
OG0000284	Prbc.g_02015	Syah.g_01591
OG0000285	Prbc.g_02020	Syah.g_01603
OG0000286	Prbc.g_02035	Syah.g_01621
OG0000287	Prbc.g_02190	Syah.g_01649
OG0000288	Prbc.g_02082	Syah.g_01681
OG0000289	Prbc.g_02094	Syah.g_01695
OG0000290	Prbc.g_02110	Syah.g_02033
OG0000291	Prbc.g_02112	Syah.g_02031
OG0000292	Prbc.g_00173	Syah.g_00380
OG0000293	Prbc.g_01456	Syah.g_02173
OG0000294	Prbc.g_01455	Syah.g_02172
OG0000295	Prbc.g_01431	Syah.g_02131
OG0000296	Prbc.g_01429	Syah.g_02129
OG0000297	Prbc.g_01421	Syah.g_01427
OG0000298	Prbc.g_01420	Syah.g_01426
OG0000299	Prbc.g_01401	Syah.g_01404
OG0000300	Prbc.g_01398	Syah.g_01397
OG0000301	Prbc.g_01397	Syah.g_01396
OG0000302	Prbc.g_01395	Syah.g_01395
OG0000303	Prbc.g_01390	Syah.g_01387
OG0000304	Prbc.g_01387	Syah.g_01382
OG0000305	Prbc.g_00810	Syah.g_02028
OG0000306	Prbc.g_01921	Syah.g_02116
OG0000307	Prbc.g_00666	Syah.g_00978
OG0000308	Prbc.g_00667	Syah.g_00976
OG0000309	Prbc.g_00671	Syah.g_00971
OG0000310	Prbc.g_00693	Syah.g_01321
OG0000311	Prbc.g_00695	Syah.g_01317
OG0000312	Prbc.g_00698	Syah.g_01304
OG0000313	Prbc.g_00713	Syah.g_01285
OG0000314	Prbc.g_00734	Syah.g_01259
OG0000315	Prbc.g_00744	Syah.g_01248
OG0000316	Prbc.g_00768	Syah.g_02333
OG0000317	Prbc.g_00830	Syah.g_02380
OG0000318	Prbc.g_00833	Syah.g_02385
OG0000319	Prbc.g_00844	Syah.g_02405
OG0000320	Prbc.g_00846	Syah.g_02407
OG0000321	Prbc.g_00847	Syah.g_02408
OG0000322	Prbc.g_00848	Syah.g_02409
OG0000323	Prbc.g_00857	Syah.g_02425
OG0000324	Prbc.g_00884	Syah.g_02278
OG0000325	Prbc.g_00935	Syah.g_00689
OG0000326	Prbc.g_00941	Syah.g_00696
OG0000327	Prbc.g_00326	Syah.g_00742
OG0000328	Prbc.g_00325	Syah.g_00743
OG0000329	Prbc.g_00308	Syah.g_00760
OG0000330	Prbc.g_00307	Syah.g_00761
OG0000331	Prbc.g_00306	Syah.g_00762
OG0000332	Prbc.g_00292	Syah.g_00776
OG0000333	Prbc.g_00290	Syah.g_00779
OG0000334	Prbc.g_00281	Syah.g_00789
OG0000335	Prbc.g_00276	Syah.g_00794
OG0000336	Prbc.g_00272	Syah.g_00798
OG0000337	Prbc.g_00241	Syah.g_00178
OG0000338	Prbc.g_00240	Syah.g_00181
OG0000339	Prbc.g_00235	Syah.g_00188
OG0000340	Prbc.g_00226	Syah.g_00206
OG0000341	Prbc.g_00224	Syah.g_00208
OG0000342	Prbc.g_00223	Syah.g_00209
OG0000343	Prbc.g_00222	Syah.g_00231
OG0000344	Prbc.g_00219	Syah.g_00235
OG0000345	Prbc.g_00214	Syah.g_00246
OG0000346	Prbc.g_00210	Syah.g_00251
OG0000347	Prbc.g_00190	Syah.g_00275
OG0000348	Prbc.g_00970	Syah.g_00301
OG0000349	Prbc.g_00988	Syah.g_00320
OG0000350	Prbc.g_01009	Syah.g_00703
OG0000351	Prbc.g_01047	Syah.g_00399
OG0000352	Prbc.g_01048	Syah.g_00398
OG0000353	Prbc.g_01068	Syah.g_00374
OG0000355	Prbc.g_01071	Syah.g_00372
OG0000356	Prbc.g_01072	Syah.g_00371
OG0000357	Prbc.g_01073	Syah.g_00370
OG0000358	Prbc.g_01077	Syah.g_00366
OG0000359	Prbc.g_01078	Syah.g_00364
OG0000360	Prbc.g_01079	Syah.g_00363
OG0000361	Prbc.g_01080	Syah.g_00362
OG0000362	Prbc.g_01082	Syah.g_00360
OG0000363	Prbc.g_01084	Syah.g_00358
OG0000364	Prbc.g_01085	Syah.g_00357
OG0000365	Prbc.g_01090	Syah.g_00351
OG0000366	Prbc.g_01091	Syah.g_00350
OG0000367	Prbc.g_01092	Syah.g_00349
OG0000368	Prbc.g_01094	Syah.g_00347
OG0000369	Prbc.g_01095	Syah.g_00346
OG0000370	Prbc.g_01096	Syah.g_00345
OG0000371	Prbc.g_01102	Syah.g_00338
OG0000372	Prbc.g_01104	Syah.g_00333
OG0000373	Prbc.g_01105	Syah.g_00332
OG0000374	Prbc.g_01106	Syah.g_00331
OG0000375	Prbc.g_01118	Syah.g_00329
OG0000376	Prbc.g_01120	Syah.g_00327
OG0000377	Prbc.g_01123	Syah.g_00517
OG0000378	Prbc.g_01125	Syah.g_00526
OG0000379	Prbc.g_01128	Syah.g_00529
OG0000380	Prbc.g_00507	Syah.g_02481
OG0000381	Prbc.g_00503	Syah.g_02484
OG0000382	Prbc.g_00492	Syah.g_02500
OG0000383	Prbc.g_00490	Syah.g_02502
OG0000384	Prbc.g_00489	Syah.g_02503
OG0000385	Prbc.g_00488	Syah.g_02504
OG0000386	Prbc.g_00487	Syah.g_02505
OG0000387	Prbc.g_00474	Syah.g_02530
OG0000388	Prbc.g_00470	Syah.g_02533
OG0000389	Prbc.g_00467	Syah.g_02536
OG0000390	Prbc.g_00458	Syah.g_00002
OG0000391	Prbc.g_00454	Syah.g_00007
OG0000392	Prbc.g_00451	Syah.g_00012
OG0000393	Prbc.g_00448	Syah.g_00014
OG0000394	Prbc.g_00447	Syah.g_00015
OG0000395	Prbc.g_00446	Syah.g_00016
OG0000396	Prbc.g_00443	Syah.g_00019
OG0000397	Prbc.g_00441	Syah.g_00021
OG0000398	Prbc.g_00438	Syah.g_00027
OG0000399	Prbc.g_00437	Syah.g_00028
OG0000400	Prbc.g_00436	Syah.g_00029
OG0000401	Prbc.g_00435	Syah.g_00030
OG0000402	Prbc.g_02145	Syah.g_00033
OG0000403	Prbc.g_00434	Syah.g_00034
OG0000404	Prbc.g_00433	Syah.g_00036
OG0000405	Prbc.g_00428	Syah.g_00050
OG0000406	Prbc.g_00424	Syah.g_00054
OG0000407	Prbc.g_00423	Syah.g_00055
OG0000408	Prbc.g_00421	Syah.g_00057
OG0000409	Prbc.g_00419	Syah.g_00059
OG0000410	Prbc.g_00418	Syah.g_00060
OG0000411	Prbc.g_00417	Syah.g_00061
OG0000412	Prbc.g_00416	Syah.g_00062
OG0000413	Prbc.g_00415	Syah.g_00064
OG0000414	Prbc.g_00414	Syah.g_00065
OG0000415	Prbc.g_00413	Syah.g_00066
OG0000416	Prbc.g_00412	Syah.g_00067
OG0000417	Prbc.g_00411	Syah.g_00068
OG0000418	Prbc.g_00406	Syah.g_00073
OG0000419	Prbc.g_00404	Syah.g_00075
OG0000420	Prbc.g_00403	Syah.g_00077
OG0000421	Prbc.g_00399	Syah.g_00082
OG0000422	Prbc.g_00398	Syah.g_00083
OG0000423	Prbc.g_00397	Syah.g_00084
OG0000424	Prbc.g_00396	Syah.g_00085
OG0000425	Prbc.g_00395	Syah.g_00086
OG0000426	Prbc.g_00394	Syah.g_00087
OG0000427	Prbc.g_00393	Syah.g_00088
OG0000428	Prbc.g_00391	Syah.g_00620
OG0000429	Prbc.g_00390	Syah.g_00618
OG0000430	Prbc.g_00389	Syah.g_00617
OG0000431	Prbc.g_00387	Syah.g_00613
OG0000432	Prbc.g_00383	Syah.g_00607
OG0000433	Prbc.g_00382	Syah.g_00605
OG0000434	Prbc.g_00381	Syah.g_00604
OG0000435	Prbc.g_00380	Syah.g_00602
OG0000436	Prbc.g_00375	Syah.g_00597
OG0000437	Prbc.g_00374	Syah.g_00596
OG0000438	Prbc.g_00373	Syah.g_00595
OG0000439	Prbc.g_00371	Syah.g_00593
OG0000440	Prbc.g_00370	Syah.g_00592
OG0000441	Prbc.g_00368	Syah.g_00585
OG0000442	Prbc.g_00367	Syah.g_00580
OG0000443	Prbc.g_00366	Syah.g_00579
OG0000444	Prbc.g_00361	Syah.g_00573
OG0000445	Prbc.g_00360	Syah.g_00572
OG0000446	Prbc.g_00358	Syah.g_00570
OG0000447	Prbc.g_00357	Syah.g_00567
OG0000448	Prbc.g_00356	Syah.g_00566
OG0000449	Prbc.g_00355	Syah.g_00565
OG0000450	Prbc.g_00354	Syah.g_00547
OG0000451	Prbc.g_00353	Syah.g_00546
OG0000452	Prbc.g_00350	Syah.g_00542
OG0000453	Prbc.g_00349	Syah.g_00541
OG0000454	Prbc.g_00348	Syah.g_00540
OG0000455	Prbc.g_00347	Syah.g_00539
OG0000456	Prbc.g_00346	Syah.g_00538
OG0000457	Prbc.g_00345	Syah.g_00536
OG0000458	Prbc.g_00344	Syah.g_00535
OG0000459	Prbc.g_00343	Syah.g_00534
OG0000460	Prbc.g_00335	Syah.g_00906
OG0000461	Prbc.g_01140	Syah.g_00678
OG0000462	Prbc.g_01142	Syah.g_00675
OG0000463	Prbc.g_01143	Syah.g_00674
OG0000464	Prbc.g_01144	Syah.g_00673
OG0000465	Prbc.g_01145	Syah.g_00672
OG0000466	Prbc.g_01146	Syah.g_00668
OG0000467	Prbc.g_01147	Syah.g_00666
OG0000468	Prbc.g_01149	Syah.g_00661
OG0000469	Prbc.g_01156	Syah.g_00647
OG0000470	Prbc.g_01158	Syah.g_00645
OG0000471	Prbc.g_01159	Syah.g_00644
OG0000472	Prbc.g_01160	Syah.g_00642
OG0000473	Prbc.g_01162	Syah.g_00640
OG0000474	Prbc.g_01163	Syah.g_00639
OG0000475	Prbc.g_01164	Syah.g_00638
OG0000476	Prbc.g_01166	Syah.g_00636
OG0000477	Prbc.g_01168	Syah.g_00630
OG0000478	Prbc.g_01169	Syah.g_00629
OG0000479	Prbc.g_01170	Syah.g_00628
OG0000480	Prbc.g_01175	Syah.g_00089
OG0000481	Prbc.g_01177	Syah.g_00091
OG0000482	Prbc.g_01178	Syah.g_00092
OG0000483	Prbc.g_01181	Syah.g_00096
OG0000484	Prbc.g_01182	Syah.g_00097
OG0000485	Prbc.g_01183	Syah.g_00098
OG0000486	Prbc.g_01184	Syah.g_00099
OG0000487	Prbc.g_01187	Syah.g_00106
OG0000488	Prbc.g_01190	Syah.g_00110
OG0000489	Prbc.g_01195	Syah.g_00121
OG0000490	Prbc.g_01200	Syah.g_00129
OG0000491	Prbc.g_01201	Syah.g_00130
OG0000492	Prbc.g_01203	Syah.g_00132
OG0000493	Prbc.g_01204	Syah.g_00133
OG0000494	Prbc.g_01205	Syah.g_00134
OG0000495	Prbc.g_01206	Syah.g_00135
OG0000496	Prbc.g_01207	Syah.g_00136
OG0000497	Prbc.g_01208	Syah.g_00137
OG0000498	Prbc.g_01209	Syah.g_00138
OG0000499	Prbc.g_01210	Syah.g_00139
OG0000500	Prbc.g_01211	Syah.g_00140
OG0000501	Prbc.g_01213	Syah.g_00143
OG0000502	Prbc.g_01216	Syah.g_00155
OG0000503	Prbc.g_01246	Syah.g_00858
OG0000504	Prbc.g_01248	Syah.g_00860
OG0000505	Prbc.g_01249	Syah.g_00861
OG0000506	Prbc.g_01250	Syah.g_00863
OG0000507	Prbc.g_01253	Syah.g_00869
OG0000508	Prbc.g_01256	Syah.g_00873
OG0000509	Prbc.g_01258	Syah.g_00875
OG0000510	Prbc.g_01259	Syah.g_00876
OG0000511	Prbc.g_01260	Syah.g_00877
OG0000512	Prbc.g_01262	Syah.g_00879
OG0000513	Prbc.g_01271	Syah.g_00892
OG0000514	Prbc.g_01492	Syah.g_00899
OG0000515	Prbc.g_01493	Syah.g_00900
OG0000516	Prbc.g_01494	Syah.g_02231
OG0000517	Prbc.g_01496	Syah.g_02237
OG0000518	Prbc.g_01507	Syah.g_02221
OG0000519	Prbc.g_01508	Syah.g_02220
OG0000520	Prbc.g_01509	Syah.g_02219
OG0000521	Prbc.g_01514	Syah.g_01202
OG0000522	Prbc.g_01516	Syah.g_01204
OG0000523	Prbc.g_01517	Syah.g_01205
OG0000524	Prbc.g_01524	Syah.g_01207
OG0000525	Prbc.g_01528	Syah.g_01212
OG0000526	Prbc.g_01529	Syah.g_01215
OG0000527	Prbc.g_01532	Syah.g_01219
OG0000528	Prbc.g_01538	Syah.g_00991
OG0000529	Prbc.g_01541	Syah.g_00998
OG0000530	Prbc.g_01544	Syah.g_01001
OG0000531	Prbc.g_01545	Syah.g_01002
OG0000532	Prbc.g_01546	Syah.g_01005
OG0000533	Prbc.g_01547	Syah.g_01006
OG0000534	Prbc.g_01548	Syah.g_01007
OG0000535	Prbc.g_01549	Syah.g_01008
OG0000536	Prbc.g_01550	Syah.g_01009
OG0000537	Prbc.g_01551	Syah.g_01010
OG0000538	Prbc.g_01580	Syah.g_01021
OG0000539	Prbc.g_01581	Syah.g_01022
OG0000540	Prbc.g_01582	Syah.g_01023
OG0000541	Prbc.g_01583	Syah.g_01024
OG0000542	Prbc.g_01585	Syah.g_01027
OG0000543	Prbc.g_01587	Syah.g_01029
OG0000545	Prbc.g_01590	Syah.g_01031
OG0000546	Prbc.g_01593	Syah.g_01033
OG0000547	Prbc.g_01595	Syah.g_01035
OG0000548	Prbc.g_01596	Syah.g_01036
OG0000549	Prbc.g_01599	Syah.g_01042
OG0000550	Prbc.g_01603	Syah.g_01046
OG0000551	Prbc.g_01606	Syah.g_01051
OG0000552	Prbc.g_01607	Syah.g_01052
