Orthogroup	Prbc	Prbj
OG0000150	Prbc.g_01916	Prbj.g_02511
OG0000151	Prbc.g_01988	Prbj.g_02361
OG0000152	Prbc.g_02036	Prbj.g_02268
OG0000153	Prbc.g_02054	Prbj.g_02241
OG0000154	Prbc.g_02083	Prbj.g_02213
OG0000155	Prbc.g_01424	Prbj.g_00312
OG0000156	Prbc.g_00555	Prbj.g_00163
OG0000157	Prbc.g_00556	Prbj.g_00162
OG0000158	Prbc.g_00228	Prbj.g_01514
OG0000160	Prbc.g_00710	Prbj.g_01057
OG0000161	Prbc.g_00716	Prbj.g_01071
OG0000162	Prbc.g_00722	Prbj.g_01077
OG0000163	Prbc.g_00758	Prbj.g_01688
OG0000164	Prbc.g_00854	Prbj.g_00476
OG0000165	Prbc.g_00862	Prbj.g_00467
OG0000166	Prbc.g_00321	Prbj.g_01019
OG0000167	Prbc.g_00238	Prbj.g_01500
OG0000168	Prbc.g_00227	Prbj.g_01515
OG0000169	Prbc.g_00217	Prbj.g_01581
OG0000170	Prbc.g_00215	Prbj.g_01593
OG0000171	Prbc.g_00194	Prbj.g_01282
OG0000172	Prbc.g_00967	Prbj.g_01248
OG0000173	Prbc.g_00982	Prbj.g_01227
OG0000174	Prbc.g_01013	Prbj.g_02006
OG0000175	Prbc.g_01044	Prbj.g_02044
OG0000176	Prbc.g_01074	Prbj.g_02077
OG0000177	Prbc.g_01075	Prbj.g_02078
OG0000178	Prbc.g_01076	Prbj.g_02079
OG0000179	Prbc.g_01086	Prbj.g_01188
OG0000180	Prbc.g_01087	Prbj.g_01189
OG0000181	Prbc.g_01088	Prbj.g_01190
OG0000182	Prbc.g_01089	Prbj.g_01191
OG0000183	Prbc.g_01093	Prbj.g_01195
OG0000184	Prbc.g_01124	Prbj.g_01943
OG0000185	Prbc.g_01127	Prbj.g_01921
OG0000186	Prbc.g_00509	Prbj.g_00558
OG0000187	Prbc.g_00508	Prbj.g_00560
OG0000188	Prbc.g_00491	Prbj.g_00581
OG0000189	Prbc.g_00477	Prbj.g_00607
OG0000190	Prbc.g_00476	Prbj.g_00609
OG0000191	Prbc.g_00453	Prbj.g_01557
OG0000192	Prbc.g_00449	Prbj.g_01566
OG0000193	Prbc.g_00425	Prbj.g_00542
OG0000194	Prbc.g_00422	Prbj.g_00539
OG0000195	Prbc.g_00420	Prbj.g_00537
OG0000196	Prbc.g_00410	Prbj.g_00526
OG0000197	Prbc.g_00409	Prbj.g_00525
OG0000198	Prbc.g_00408	Prbj.g_00524
OG0000199	Prbc.g_00401	Prbj.g_00517
OG0000200	Prbc.g_00388	Prbj.g_01138
OG0000201	Prbc.g_00379	Prbj.g_01157
OG0000202	Prbc.g_00378	Prbj.g_01158
OG0000203	Prbc.g_00377	Prbj.g_01159
OG0000204	Prbc.g_00376	Prbj.g_01160
OG0000205	Prbc.g_00369	Prbj.g_01167
OG0000206	Prbc.g_00365	Prbj.g_00288
OG0000207	Prbc.g_00363	Prbj.g_00234
OG0000208	Prbc.g_00362	Prbj.g_00235
OG0000209	Prbc.g_00352	Prbj.g_00262
OG0000210	Prbc.g_00351	Prbj.g_00263
OG0000211	Prbc.g_00337	Prbj.g_00177
OG0000212	Prbc.g_00329	Prbj.g_02615
OG0000213	Prbc.g_01153	Prbj.g_01362
OG0000214	Prbc.g_01161	Prbj.g_01389
OG0000215	Prbc.g_01185	Prbj.g_01419
OG0000216	Prbc.g_01186	Prbj.g_01422
OG0000217	Prbc.g_01189	Prbj.g_01426
OG0000218	Prbc.g_01191	Prbj.g_01430
OG0000219	Prbc.g_01192	Prbj.g_01431
OG0000220	Prbc.g_01193	Prbj.g_01432
OG0000221	Prbc.g_01194	Prbj.g_01437
OG0000222	Prbc.g_01202	Prbj.g_01446
OG0000223	Prbc.g_01215	Prbj.g_01469
OG0000224	Prbc.g_01217	Prbj.g_01480
OG0000225	Prbc.g_01257	Prbj.g_00323
OG0000226	Prbc.g_01261	Prbj.g_00319
OG0000227	Prbc.g_01263	Prbj.g_00317
OG0000228	Prbc.g_01267	Prbj.g_00063
OG0000229	Prbc.g_01497	Prbj.g_00100
OG0000230	Prbc.g_01499	Prbj.g_00102
OG0000231	Prbc.g_01510	Prbj.g_00117
OG0000232	Prbc.g_01518	Prbj.g_01888
OG0000233	Prbc.g_01526	Prbj.g_00148
OG0000234	Prbc.g_01535	Prbj.g_00127
OG0000235	Prbc.g_01539	Prbj.g_01631
OG0000236	Prbc.g_01552	Prbj.g_01615
OG0000237	Prbc.g_01586	Prbj.g_02094
OG0000238	Prbc.g_01592	Prbj.g_02098
OG0000239	Prbc.g_01604	Prbj.g_02114
OG0000240	Prbc.g_01605	Prbj.g_02115
OG0000241	Prbc.g_01609	Prbj.g_01116
OG0000242	Prbc.g_01611	Prbj.g_02125
OG0000243	Prbc.g_01622	Prbj.g_02668
OG0000244	Prbc.g_01626	Prbj.g_01859
OG0000245	Prbc.g_01628	Prbj.g_01862
OG0000246	Prbc.g_01632	Prbj.g_01866
OG0000247	Prbc.g_01642	Prbj.g_01877
OG0000248	Prbc.g_01644	Prbj.g_01880
OG0000249	Prbc.g_01646	Prbj.g_01882
OG0000250	Prbc.g_01651	Prbj.g_01805
OG0000251	Prbc.g_01667	Prbj.g_01781
OG0000252	Prbc.g_01669	Prbj.g_01778
OG0000253	Prbc.g_01671	Prbj.g_01772
OG0000254	Prbc.g_01688	Prbj.g_01753
OG0000255	Prbc.g_01694	Prbj.g_02546
OG0000256	Prbc.g_01704	Prbj.g_02560
OG0000257	Prbc.g_01707	Prbj.g_02566
OG0000258	Prbc.g_01720	Prbj.g_02589
OG0000259	Prbc.g_01737	Prbj.g_00812
OG0000260	Prbc.g_01740	Prbj.g_00816
OG0000261	Prbc.g_01743	Prbj.g_00819
OG0000262	Prbc.g_01748	Prbj.g_00824
OG0000263	Prbc.g_01762	Prbj.g_00248
OG0000264	Prbc.g_01773	Prbj.g_00933
OG0000265	Prbc.g_01787	Prbj.g_00913, Prbj.g_02178
OG0000266	Prbc.g_01797	Prbj.g_02189
OG0000267	Prbc.g_01810	Prbj.g_02315
OG0000268	Prbc.g_01811	Prbj.g_02314
OG0000269	Prbc.g_01853	Prbj.g_02407
OG0000270	Prbc.g_01856	Prbj.g_02410
OG0000271	Prbc.g_01864	Prbj.g_02418
OG0000272	Prbc.g_01865	Prbj.g_02419
OG0000273	Prbc.g_01890	Prbj.g_02470
OG0000274	Prbc.g_01891	Prbj.g_02471
OG0000275	Prbc.g_01893	Prbj.g_02474
OG0000276	Prbc.g_01899	Prbj.g_02480
OG0000277	Prbc.g_01900	Prbj.g_02481
OG0000278	Prbc.g_01904	Prbj.g_02484
OG0000279	Prbc.g_01911	Prbj.g_02492
OG0000280	Prbc.g_00068	Prbj.g_02498
OG0000281	Prbc.g_01917	Prbj.g_02512
OG0000282	Prbc.g_01979	Prbj.g_02342
OG0000283	Prbc.g_02010	Prbj.g_02303
OG0000284	Prbc.g_02015	Prbj.g_02297
OG0000285	Prbc.g_02020	Prbj.g_00694
OG0000286	Prbc.g_02035	Prbj.g_02269
OG0000287	Prbc.g_02190	Prbj.g_00722
OG0000288	Prbc.g_02082	Prbj.g_02214
OG0000289	Prbc.g_02094	Prbj.g_02201
OG0000290	Prbc.g_02110	Prbj.g_01841
OG0000291	Prbc.g_02112	Prbj.g_01839
OG0000292	Prbc.g_00173	Prbj.g_02066
OG0000293	Prbc.g_01456	Prbj.g_00958
OG0000294	Prbc.g_01455	Prbj.g_00959
OG0000295	Prbc.g_01431	Prbj.g_00304
OG0000296	Prbc.g_01429	Prbj.g_00306, Prbj.g_00307
OG0000297	Prbc.g_01421	Prbj.g_01913
OG0000298	Prbc.g_01420	Prbj.g_01914
OG0000299	Prbc.g_01401	Prbj.g_01903
OG0000300	Prbc.g_01398	Prbj.g_02155
OG0000301	Prbc.g_01397	Prbj.g_02156
OG0000302	Prbc.g_01395	Prbj.g_02159
OG0000303	Prbc.g_01390	Prbj.g_00314
OG0000304	Prbc.g_01387	Prbj.g_00020
OG0000305	Prbc.g_00810	Prbj.g_01837
OG0000306	Prbc.g_01921	Prbj.g_02521
OG0000307	Prbc.g_00666	Prbj.g_01647
OG0000308	Prbc.g_00667	Prbj.g_01649
OG0000309	Prbc.g_00671	Prbj.g_01653
OG0000310	Prbc.g_00693	Prbj.g_01294
OG0000311	Prbc.g_00695	Prbj.g_01040
OG0000312	Prbc.g_00698	Prbj.g_01044
OG0000313	Prbc.g_00713	Prbj.g_01068
OG0000314	Prbc.g_00734	Prbj.g_00646
OG0000315	Prbc.g_00744	Prbj.g_00656
OG0000316	Prbc.g_00768	Prbj.g_01699
OG0000317	Prbc.g_00830	Prbj.g_00863
OG0000318	Prbc.g_00833	Prbj.g_00856
OG0000319	Prbc.g_00844	Prbj.g_00487
OG0000320	Prbc.g_00846	Prbj.g_00485
OG0000321	Prbc.g_00847	Prbj.g_00484
OG0000322	Prbc.g_00848	Prbj.g_00483
OG0000323	Prbc.g_00857	Prbj.g_00472
OG0000324	Prbc.g_00884	Prbj.g_00443
OG0000325	Prbc.g_00935	Prbj.g_02657
OG0000326	Prbc.g_00941	Prbj.g_02649
OG0000327	Prbc.g_00326	Prbj.g_01024
OG0000328	Prbc.g_00325	Prbj.g_01023
OG0000329	Prbc.g_00308	Prbj.g_01006
OG0000330	Prbc.g_00307	Prbj.g_01005
OG0000331	Prbc.g_00306	Prbj.g_01004
OG0000332	Prbc.g_00292	Prbj.g_00989
OG0000333	Prbc.g_00290	Prbj.g_00987
OG0000334	Prbc.g_00281	Prbj.g_00410
OG0000335	Prbc.g_00276	Prbj.g_00405
OG0000336	Prbc.g_00272	Prbj.g_00401
OG0000337	Prbc.g_00241	Prbj.g_01494
OG0000338	Prbc.g_00240	Prbj.g_01498
OG0000339	Prbc.g_00235	Prbj.g_01504
OG0000340	Prbc.g_00226	Prbj.g_01516
OG0000341	Prbc.g_00224	Prbj.g_01518
OG0000342	Prbc.g_00223	Prbj.g_01519
OG0000343	Prbc.g_00222	Prbj.g_01576
OG0000344	Prbc.g_00219	Prbj.g_01579
OG0000345	Prbc.g_00214	Prbj.g_01594
OG0000346	Prbc.g_00210	Prbj.g_01599
OG0000347	Prbc.g_00190	Prbj.g_01280
OG0000348	Prbc.g_00970	Prbj.g_01243
OG0000349	Prbc.g_00988	Prbj.g_01219
OG0000350	Prbc.g_01009	Prbj.g_01999
OG0000351	Prbc.g_01047	Prbj.g_02047
OG0000352	Prbc.g_01048	Prbj.g_02048
OG0000353	Prbc.g_01068	Prbj.g_02072
OG0000355	Prbc.g_01071	Prbj.g_02074
OG0000356	Prbc.g_01072	Prbj.g_02075
OG0000357	Prbc.g_01073	Prbj.g_02076
OG0000358	Prbc.g_01077	Prbj.g_02080
OG0000359	Prbc.g_01078	Prbj.g_02082
OG0000360	Prbc.g_01079	Prbj.g_02083
OG0000361	Prbc.g_01080	Prbj.g_02084
OG0000362	Prbc.g_01082	Prbj.g_02086
OG0000363	Prbc.g_01084	Prbj.g_01182
OG0000364	Prbc.g_01085	Prbj.g_01183
OG0000365	Prbc.g_01090	Prbj.g_01192
OG0000366	Prbc.g_01091	Prbj.g_01193
OG0000367	Prbc.g_01092	Prbj.g_01194
OG0000368	Prbc.g_01094	Prbj.g_01196
OG0000369	Prbc.g_01095	Prbj.g_01197
OG0000370	Prbc.g_01096	Prbj.g_01198
OG0000371	Prbc.g_01102	Prbj.g_01207
OG0000372	Prbc.g_01104	Prbj.g_01212
OG0000373	Prbc.g_01105	Prbj.g_01213
OG0000374	Prbc.g_01106	Prbj.g_01214
OG0000375	Prbc.g_01118	Prbj.g_01215
OG0000376	Prbc.g_01120	Prbj.g_01217
OG0000377	Prbc.g_01123	Prbj.g_01950
OG0000378	Prbc.g_01125	Prbj.g_01936
OG0000379	Prbc.g_01128	Prbj.g_01920
OG0000380	Prbc.g_00507	Prbj.g_00561
OG0000381	Prbc.g_00503	Prbj.g_00565
OG0000382	Prbc.g_00492	Prbj.g_00580
OG0000383	Prbc.g_00490	Prbj.g_00582
OG0000384	Prbc.g_00489	Prbj.g_00583
OG0000385	Prbc.g_00488	Prbj.g_00584
OG0000386	Prbc.g_00487	Prbj.g_00585
OG0000387	Prbc.g_00474	Prbj.g_00611
OG0000388	Prbc.g_00470	Prbj.g_00615
OG0000389	Prbc.g_00467	Prbj.g_00619
OG0000390	Prbc.g_00458	Prbj.g_01551
OG0000391	Prbc.g_00454	Prbj.g_01556
OG0000392	Prbc.g_00451	Prbj.g_01562
OG0000393	Prbc.g_00448	Prbj.g_01567
OG0000394	Prbc.g_00447	Prbj.g_01568
OG0000395	Prbc.g_00446	Prbj.g_01569
OG0000396	Prbc.g_00443	Prbj.g_01530
OG0000397	Prbc.g_00441	Prbj.g_01532
OG0000398	Prbc.g_00438	Prbj.g_01537
OG0000399	Prbc.g_00437	Prbj.g_01538
OG0000400	Prbc.g_00436	Prbj.g_01539
OG0000401	Prbc.g_00435	Prbj.g_01540
OG0000402	Prbc.g_02145	Prbj.g_01542
OG0000403	Prbc.g_00434	Prbj.g_01543
OG0000404	Prbc.g_00433	Prbj.g_01545
OG0000405	Prbc.g_00428	Prbj.g_00545
OG0000406	Prbc.g_00424	Prbj.g_00541
OG0000407	Prbc.g_00423	Prbj.g_00540
OG0000408	Prbc.g_00421	Prbj.g_00538
OG0000409	Prbc.g_00419	Prbj.g_00536
OG0000410	Prbc.g_00418	Prbj.g_00535
OG0000411	Prbc.g_00417	Prbj.g_00534
OG0000412	Prbc.g_00416	Prbj.g_00533
OG0000413	Prbc.g_00415	Prbj.g_00531
OG0000414	Prbc.g_00414	Prbj.g_00530
OG0000415	Prbc.g_00413	Prbj.g_00529
OG0000416	Prbc.g_00412	Prbj.g_00528
OG0000417	Prbc.g_00411	Prbj.g_00527
OG0000418	Prbc.g_00406	Prbj.g_00522
OG0000419	Prbc.g_00404	Prbj.g_00520
OG0000420	Prbc.g_00403	Prbj.g_00519
OG0000421	Prbc.g_00399	Prbj.g_00515
OG0000422	Prbc.g_00398	Prbj.g_00514
OG0000423	Prbc.g_00397	Prbj.g_00513
OG0000424	Prbc.g_00396	Prbj.g_00512
OG0000425	Prbc.g_00395	Prbj.g_00511
OG0000426	Prbc.g_00394	Prbj.g_00510
OG0000427	Prbc.g_00393	Prbj.g_00509
OG0000428	Prbc.g_00391	Prbj.g_02369
OG0000429	Prbc.g_00390	Prbj.g_01135
OG0000430	Prbc.g_00389	Prbj.g_01137
OG0000431	Prbc.g_00387	Prbj.g_01141
OG0000432	Prbc.g_00383	Prbj.g_01148
OG0000433	Prbc.g_00382	Prbj.g_01151
OG0000434	Prbc.g_00381	Prbj.g_01152
OG0000435	Prbc.g_00380	Prbj.g_01155
OG0000436	Prbc.g_00375	Prbj.g_01161
OG0000437	Prbc.g_00374	Prbj.g_01162
OG0000438	Prbc.g_00373	Prbj.g_01163
OG0000439	Prbc.g_00371	Prbj.g_01165
OG0000440	Prbc.g_00370	Prbj.g_01166
OG0000441	Prbc.g_00368	Prbj.g_01173
OG0000442	Prbc.g_00367	Prbj.g_01174
OG0000443	Prbc.g_00366	Prbj.g_00289
OG0000444	Prbc.g_00361	Prbj.g_00237
OG0000445	Prbc.g_00360	Prbj.g_00238
OG0000446	Prbc.g_00358	Prbj.g_00240
OG0000447	Prbc.g_00357	Prbj.g_00250
OG0000448	Prbc.g_00356	Prbj.g_00251
OG0000449	Prbc.g_00355	Prbj.g_00252
OG0000450	Prbc.g_00354	Prbj.g_00258
OG0000451	Prbc.g_00353	Prbj.g_00259
OG0000452	Prbc.g_00350	Prbj.g_00264
OG0000453	Prbc.g_00349	Prbj.g_00265
OG0000454	Prbc.g_00348	Prbj.g_00266
OG0000455	Prbc.g_00347	Prbj.g_00267
OG0000456	Prbc.g_00346	Prbj.g_00268
OG0000457	Prbc.g_00345	Prbj.g_00270
OG0000458	Prbc.g_00344	Prbj.g_00271
OG0000459	Prbc.g_00343	Prbj.g_00272
OG0000460	Prbc.g_00335	Prbj.g_00176
OG0000461	Prbc.g_01140	Prbj.g_02661
OG0000462	Prbc.g_01142	Prbj.g_01341
OG0000463	Prbc.g_01143	Prbj.g_01342
OG0000464	Prbc.g_01144	Prbj.g_01343
OG0000465	Prbc.g_01145	Prbj.g_01345
OG0000466	Prbc.g_01146	Prbj.g_01350
OG0000467	Prbc.g_01147	Prbj.g_01352
OG0000468	Prbc.g_01149	Prbj.g_01359
OG0000469	Prbc.g_01156	Prbj.g_01372
OG0000470	Prbc.g_01158	Prbj.g_01385
OG0000471	Prbc.g_01159	Prbj.g_01386
OG0000472	Prbc.g_01160	Prbj.g_01388
OG0000473	Prbc.g_01162	Prbj.g_01390
OG0000474	Prbc.g_01163	Prbj.g_01391
OG0000475	Prbc.g_01164	Prbj.g_01392
OG0000476	Prbc.g_01166	Prbj.g_01394
OG0000477	Prbc.g_01168	Prbj.g_01399
OG0000478	Prbc.g_01169	Prbj.g_01400
OG0000479	Prbc.g_01170	Prbj.g_01401
OG0000480	Prbc.g_01175	Prbj.g_01408
OG0000481	Prbc.g_01177	Prbj.g_01410
OG0000482	Prbc.g_01178	Prbj.g_01411
OG0000483	Prbc.g_01181	Prbj.g_01415
OG0000484	Prbc.g_01182	Prbj.g_01416
OG0000485	Prbc.g_01183	Prbj.g_01417
OG0000486	Prbc.g_01184	Prbj.g_01418
OG0000487	Prbc.g_01187	Prbj.g_01423
OG0000488	Prbc.g_01190	Prbj.g_01427
OG0000489	Prbc.g_01195	Prbj.g_01438
OG0000490	Prbc.g_01200	Prbj.g_01444
OG0000491	Prbc.g_01201	Prbj.g_01445
OG0000492	Prbc.g_01203	Prbj.g_01448
OG0000493	Prbc.g_01204	Prbj.g_01449
OG0000494	Prbc.g_01205	Prbj.g_01450
OG0000495	Prbc.g_01206	Prbj.g_01451
OG0000496	Prbc.g_01207	Prbj.g_01452
OG0000497	Prbc.g_01208	Prbj.g_01453
OG0000498	Prbc.g_01209	Prbj.g_01454
OG0000499	Prbc.g_01210	Prbj.g_01455
OG0000500	Prbc.g_01211	Prbj.g_01456
OG0000501	Prbc.g_01213	Prbj.g_01459
OG0000502	Prbc.g_01216	Prbj.g_01471
OG0000503	Prbc.g_01246	Prbj.g_00341
OG0000504	Prbc.g_01248	Prbj.g_00339
OG0000505	Prbc.g_01249	Prbj.g_00338
OG0000506	Prbc.g_01250	Prbj.g_00336
OG0000507	Prbc.g_01253	Prbj.g_00331
OG0000508	Prbc.g_01256	Prbj.g_00324
OG0000509	Prbc.g_01258	Prbj.g_00322
OG0000510	Prbc.g_01259	Prbj.g_00321
OG0000511	Prbc.g_01260	Prbj.g_00320
OG0000512	Prbc.g_01262	Prbj.g_00318
OG0000513	Prbc.g_01271	Prbj.g_00068
OG0000514	Prbc.g_01492	Prbj.g_00076
OG0000515	Prbc.g_01493	Prbj.g_00077
OG0000516	Prbc.g_01494	Prbj.g_00089
OG0000517	Prbc.g_01496	Prbj.g_00099
OG0000518	Prbc.g_01507	Prbj.g_00111
OG0000519	Prbc.g_01508	Prbj.g_00112
OG0000520	Prbc.g_01509	Prbj.g_00113
OG0000521	Prbc.g_01514	Prbj.g_01894
OG0000522	Prbc.g_01516	Prbj.g_01892
OG0000523	Prbc.g_01517	Prbj.g_01891
OG0000524	Prbc.g_01524	Prbj.g_00152
OG0000525	Prbc.g_01528	Prbj.g_00136
OG0000526	Prbc.g_01529	Prbj.g_00134
OG0000527	Prbc.g_01532	Prbj.g_00130
OG0000528	Prbc.g_01538	Prbj.g_01635
OG0000529	Prbc.g_01541	Prbj.g_01629
OG0000530	Prbc.g_01544	Prbj.g_01626
OG0000531	Prbc.g_01545	Prbj.g_01625
OG0000532	Prbc.g_01546	Prbj.g_01622
OG0000533	Prbc.g_01547	Prbj.g_01620
