Orthogroup	Prbc	Prar
OG0000024	Prbc.g_00598	Prar.g_01634
OG0000024	Prbc.g_01755	Prar.g_01505
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Prar.g_00256
OG0000026	Prbc.g_01101	Prar.g_00007, Prar.g_01919
OG0000027	Prbc.g_00072	Prar.g_00520
OG0000028	Prbc.g_00653	Prar.g_00985
OG0000030	Prbc.g_00199	Prar.g_00662
OG0000031	Prbc.g_01228	Prar.g_00879
OG0000033	Prbc.g_00402	Prar.g_00158
OG0000034	Prbc.g_00575	Prar.g_00945
OG0000035	Prbc.g_00709	Prar.g_00339
OG0000037	Prbc.g_00464	Prar.g_00219
OG0000038	Prbc.g_00995	Prar.g_00702
OG0000039	Prbc.g_01768	Prar.g_01516
OG0000040	Prbc.g_00811	Prar.g_00715
OG0000041	Prbc.g_00877	Prar.g_00602
OG0000042	Prbc.g_00203	Prar.g_00660
OG0000044	Prbc.g_00533	Prar.g_01172
OG0000047	Prbc.g_01227	Prar.g_00257
OG0000047	Prbc.g_01273	Prar.g_00468
OG0000048	Prbc.g_01165	Prar.g_00435
OG0000050	Prbc.g_00513	Prar.g_01940
OG0000053	Prbc.g_00728	Prar.g_00589, Prar.g_00827
OG0000054	Prbc.g_01683	Prar.g_01436
OG0000055	Prbc.g_01822, Prbc.g_00907	Prar.g_01664
OG0000056	Prbc.g_00532, Prbc.g_00011, Prbc.g_01108	Prar.g_00932
OG0000057	Prbc.g_00055, Prbc.g_01780	Prar.g_01528
OG0000058	Prbc.g_01928	Prar.g_00362
OG0000059	Prbc.g_00958	Prar.g_01090
OG0000061	Prbc.g_01446	Prar.g_01263
OG0000062	Prbc.g_00790	Prar.g_00769
OG0000063	Prbc.g_00932	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000065	Prbc.g_00466	Prar.g_00221
OG0000066	Prbc.g_01618	Prar.g_01369
OG0000067	Prbc.g_01858	Prar.g_01684
OG0000068	Prbc.g_00657	Prar.g_00911
OG0000069	Prbc.g_02181, Prbc.g_00752	Prar.g_01170, Prar.g_00736
OG0000070	Prbc.g_01511	Prar.g_00498
OG0000071	Prbc.g_00566	Prar.g_00955
OG0000072	Prbc.g_00400	Prar.g_00156
OG0000073	Prbc.g_01579	Prar.g_01330
OG0000074	Prbc.g_01763, Prbc.g_01960, Prbc.g_02148	Prar.g_01512
OG0000075	Prbc.g_00236	Prar.g_00629
OG0000076	Prbc.g_00211	Prar.g_00592, Prar.g_00653
OG0000077	Prbc.g_00495	Prar.g_00250
OG0000078	Prbc.g_00330	Prar.g_00088
OG0000081	Prbc.g_01610	Prar.g_01361
OG0000082	Prbc.g_00891	Prar.g_01414
OG0000083	Prbc.g_02193, Prbc.g_01233	Prar.g_01630, Prar.g_01623
OG0000084	Prbc.g_00705	Prar.g_00343
OG0000085	Prbc.g_00826	Prar.g_01150
OG0000086	Prbc.g_00485	Prar.g_00240
OG0000087	Prbc.g_00432	Prar.g_00189
OG0000088	Prbc.g_00405	Prar.g_00161
OG0000089	Prbc.g_01268	Prar.g_00416
OG0000090	Prbc.g_01612	Prar.g_01363
OG0000091	Prbc.g_01719	Prar.g_01472
OG0000092	Prbc.g_01982	Prar.g_00615
OG0000093	Prbc.g_01843	Prar.g_01801
OG0000094	Prbc.g_01935	Prar.g_01885
OG0000095	Prbc.g_02113	Prar.g_01904
OG0000096	Prbc.g_01323	Prar.g_01006, Prar.g_01313, Prar.g_00991
OG0000097	Prbc.g_01400	Prar.g_01222
OG0000098	Prbc.g_00585	Prar.g_00929
OG0000099	Prbc.g_01229	Prar.g_00872
OG0000100	Prbc.g_00785	Prar.g_00773
OG0000101	Prbc.g_00284	Prar.g_01027
OG0000102	Prbc.g_00206	Prar.g_00658
OG0000103	Prbc.g_01053	Prar.g_00050
OG0000104	Prbc.g_01065	Prar.g_00042
OG0000105	Prbc.g_01167	Prar.g_00313
OG0000106	Prbc.g_00134, Prbc.g_00641	Prar.g_00431
OG0000107	Prbc.g_00934	Prar.g_00446
OG0000108	Prbc.g_01540	Prar.g_00530
OG0000109	Prbc.g_01553	Prar.g_00544
OG0000110	Prbc.g_01654	Prar.g_01404
OG0000111	Prbc.g_01781	Prar.g_01529
OG0000112	Prbc.g_02028	Prar.g_01652
OG0000113	Prbc.g_01882, Prbc.g_00153	Prar.g_01706
OG0000114	Prbc.g_01977	Prar.g_01776
OG0000115	Prbc.g_00801	Prar.g_01318
OG0000116	Prbc.g_01457	Prar.g_01273
OG0000117	Prbc.g_00102	Prar.g_01003
OG0000118	Prbc.g_00577	Prar.g_00943
OG0000119	Prbc.g_00650	Prar.g_00915
OG0000120	Prbc.g_01753	Prar.g_00880
OG0000121	Prbc.g_00711	Prar.g_00337
OG0000122	Prbc.g_00750	Prar.g_00807
OG0000123	Prbc.g_00277	Prar.g_01021
OG0000124	Prbc.g_00193	Prar.g_00668
OG0000125	Prbc.g_00997	Prar.g_00704
OG0000126	Prbc.g_01063	Prar.g_00043
OG0000128	Prbc.g_01081	Prar.g_00027
OG0000129	Prbc.g_01122	Prar.g_00576
OG0000130	Prbc.g_00504	Prar.g_00549
OG0000131	Prbc.g_00426	Prar.g_00182
OG0000132	Prbc.g_00407	Prar.g_00163
OG0000133	Prbc.g_01214	Prar.g_00265
OG0000134	Prbc.g_01270	Prar.g_00417
OG0000135	Prbc.g_02198, Prbc.g_02183	Prar.g_00444
OG0000136	Prbc.g_01502	Prar.g_00489
OG0000137	Prbc.g_01534	Prar.g_00525
OG0000138	Prbc.g_01554	Prar.g_00545
OG0000139	Prbc.g_01616	Prar.g_01367
OG0000140	Prbc.g_01617	Prar.g_01368
OG0000141	Prbc.g_01684	Prar.g_01437
OG0000142	Prbc.g_01712	Prar.g_01465
OG0000143	Prbc.g_01716	Prar.g_01469
OG0000144	Prbc.g_01729	Prar.g_01482
OG0000145	Prbc.g_02142	Prar.g_01651
OG0000146	Prbc.g_02027	Prar.g_01653
OG0000147	Prbc.g_02026	Prar.g_01654
OG0000148	Prbc.g_01876	Prar.g_01700
OG0000149	Prbc.g_01908	Prar.g_01730
OG0000150	Prbc.g_01916	Prar.g_01738
OG0000151	Prbc.g_01988	Prar.g_01786
OG0000152	Prbc.g_02036	Prar.g_01833
OG0000153	Prbc.g_02054	Prar.g_01852
OG0000154	Prbc.g_02083	Prar.g_01878
OG0000155	Prbc.g_01424	Prar.g_01243
OG0000156	Prbc.g_00555	Prar.g_00966
OG0000157	Prbc.g_00556	Prar.g_00965
OG0000158	Prbc.g_00228	Prar.g_00375
OG0000160	Prbc.g_00710	Prar.g_00338
OG0000161	Prbc.g_00716	Prar.g_00840
OG0000162	Prbc.g_00722	Prar.g_00834
OG0000163	Prbc.g_00758	Prar.g_00800
OG0000164	Prbc.g_00854	Prar.g_01964
OG0000165	Prbc.g_00862	Prar.g_01971
OG0000166	Prbc.g_00321	Prar.g_01063
OG0000167	Prbc.g_00238	Prar.g_00627
OG0000168	Prbc.g_00227	Prar.g_00637
OG0000169	Prbc.g_00217	Prar.g_00647
OG0000170	Prbc.g_00215	Prar.g_00649
OG0000171	Prbc.g_00194	Prar.g_00667
OG0000172	Prbc.g_00967	Prar.g_00675
OG0000173	Prbc.g_00982	Prar.g_00690
OG0000174	Prbc.g_01013	Prar.g_00068
OG0000175	Prbc.g_01044	Prar.g_00058
OG0000176	Prbc.g_01074	Prar.g_00034
OG0000177	Prbc.g_01075	Prar.g_00033
OG0000178	Prbc.g_01076	Prar.g_00032
OG0000179	Prbc.g_01086	Prar.g_00022
OG0000180	Prbc.g_01087	Prar.g_00021
OG0000181	Prbc.g_01088	Prar.g_00020
OG0000182	Prbc.g_01089	Prar.g_00019
OG0000183	Prbc.g_01093	Prar.g_00015
OG0000184	Prbc.g_01124	Prar.g_00573
OG0000185	Prbc.g_01127	Prar.g_00570
OG0000186	Prbc.g_00509	Prar.g_00554
OG0000187	Prbc.g_00508	Prar.g_00553
OG0000188	Prbc.g_00491	Prar.g_00246
OG0000189	Prbc.g_00477	Prar.g_00232
OG0000190	Prbc.g_00476	Prar.g_00231
OG0000191	Prbc.g_00453	Prar.g_00211
OG0000192	Prbc.g_00449	Prar.g_00207
OG0000193	Prbc.g_00425	Prar.g_00181
OG0000194	Prbc.g_00422	Prar.g_00178
OG0000195	Prbc.g_00420	Prar.g_00176
OG0000196	Prbc.g_00410	Prar.g_00166
OG0000197	Prbc.g_00409	Prar.g_00165
OG0000198	Prbc.g_00408	Prar.g_00164
OG0000199	Prbc.g_00401	Prar.g_00157
OG0000200	Prbc.g_00388	Prar.g_00143
OG0000201	Prbc.g_00379	Prar.g_00135
OG0000202	Prbc.g_00378	Prar.g_00134
OG0000203	Prbc.g_00377	Prar.g_00133
OG0000204	Prbc.g_00376	Prar.g_00132
OG0000205	Prbc.g_00369	Prar.g_00125
OG0000206	Prbc.g_00365	Prar.g_00120
OG0000207	Prbc.g_00363	Prar.g_00118
OG0000208	Prbc.g_00362	Prar.g_00117
OG0000209	Prbc.g_00352	Prar.g_00108
OG0000210	Prbc.g_00351	Prar.g_00107
OG0000211	Prbc.g_00337	Prar.g_00094
OG0000212	Prbc.g_00329	Prar.g_00087
OG0000213	Prbc.g_01153	Prar.g_00330
OG0000214	Prbc.g_01161	Prar.g_00320
OG0000215	Prbc.g_01185	Prar.g_00295
OG0000216	Prbc.g_01186	Prar.g_00293
OG0000217	Prbc.g_01189	Prar.g_01154, Prar.g_00290
OG0000218	Prbc.g_01191	Prar.g_00288
OG0000219	Prbc.g_01192	Prar.g_00287
OG0000220	Prbc.g_01193	Prar.g_00286
OG0000221	Prbc.g_01194	Prar.g_00285
OG0000222	Prbc.g_01202	Prar.g_00277
OG0000223	Prbc.g_01215	Prar.g_00264
OG0000224	Prbc.g_01217	Prar.g_00262
OG0000225	Prbc.g_01257	Prar.g_00406
OG0000226	Prbc.g_01261	Prar.g_00410
OG0000227	Prbc.g_01263	Prar.g_00412
OG0000228	Prbc.g_01267	Prar.g_00415
OG0000229	Prbc.g_01497	Prar.g_00484
OG0000230	Prbc.g_01499	Prar.g_00486
OG0000231	Prbc.g_01510	Prar.g_00497
OG0000232	Prbc.g_01518	Prar.g_00506
OG0000233	Prbc.g_01526	Prar.g_00512
OG0000234	Prbc.g_01535	Prar.g_00526
OG0000235	Prbc.g_01539	Prar.g_00529
OG0000236	Prbc.g_01552	Prar.g_00543
OG0000237	Prbc.g_01586	Prar.g_01337
OG0000238	Prbc.g_01592	Prar.g_01343
OG0000239	Prbc.g_01604	Prar.g_01355
OG0000240	Prbc.g_01605	Prar.g_01356
OG0000241	Prbc.g_01609	Prar.g_01360
OG0000242	Prbc.g_01611	Prar.g_01362
OG0000243	Prbc.g_01622	Prar.g_01373
OG0000244	Prbc.g_01626	Prar.g_01376
OG0000245	Prbc.g_01628	Prar.g_01378
OG0000246	Prbc.g_01632	Prar.g_01382
OG0000247	Prbc.g_01642	Prar.g_01392
OG0000248	Prbc.g_01644	Prar.g_01394
OG0000249	Prbc.g_01646	Prar.g_01396
OG0000250	Prbc.g_01651	Prar.g_01401
OG0000251	Prbc.g_01667	Prar.g_01420
OG0000252	Prbc.g_01669	Prar.g_01424
OG0000253	Prbc.g_01671	Prar.g_01425
OG0000254	Prbc.g_01688	Prar.g_01441
OG0000255	Prbc.g_01694	Prar.g_01447
OG0000256	Prbc.g_01704	Prar.g_01457
OG0000257	Prbc.g_01707	Prar.g_01460
OG0000258	Prbc.g_01720	Prar.g_01473
OG0000259	Prbc.g_01737	Prar.g_01490
OG0000260	Prbc.g_01740	Prar.g_01493
OG0000261	Prbc.g_01743	Prar.g_01495
OG0000262	Prbc.g_01748	Prar.g_01499
OG0000263	Prbc.g_01762	Prar.g_01511
OG0000264	Prbc.g_01773	Prar.g_01521
OG0000265	Prbc.g_01787	Prar.g_01599
OG0000266	Prbc.g_01797	Prar.g_01609
OG0000267	Prbc.g_01810	Prar.g_01620
OG0000268	Prbc.g_01811	Prar.g_01621
OG0000269	Prbc.g_01853	Prar.g_01679
OG0000270	Prbc.g_01856	Prar.g_01682
OG0000271	Prbc.g_01864	Prar.g_01690
OG0000272	Prbc.g_01865	Prar.g_01691
OG0000273	Prbc.g_01890	Prar.g_01714
OG0000274	Prbc.g_01891	Prar.g_01715
OG0000275	Prbc.g_01893	Prar.g_01717
OG0000276	Prbc.g_01899	Prar.g_01722
OG0000277	Prbc.g_01900	Prar.g_01723
OG0000278	Prbc.g_01904	Prar.g_01726
OG0000279	Prbc.g_01911	Prar.g_01733
OG0000280	Prbc.g_00068	Prar.g_01734
OG0000281	Prbc.g_01917	Prar.g_01740
OG0000282	Prbc.g_01979	Prar.g_01778
OG0000283	Prbc.g_02010	Prar.g_01810
OG0000284	Prbc.g_02015	Prar.g_01815
OG0000285	Prbc.g_02020	Prar.g_01820
OG0000286	Prbc.g_02035	Prar.g_01832
OG0000287	Prbc.g_02190	Prar.g_01849
OG0000288	Prbc.g_02082	Prar.g_01877
OG0000289	Prbc.g_02094	Prar.g_01888
OG0000290	Prbc.g_02110	Prar.g_01901
OG0000291	Prbc.g_02112	Prar.g_01903
OG0000292	Prbc.g_00173	Prar.g_01953
OG0000293	Prbc.g_01456	Prar.g_01272
OG0000294	Prbc.g_01455	Prar.g_01271
OG0000295	Prbc.g_01431	Prar.g_01251
OG0000296	Prbc.g_01429	Prar.g_01249
OG0000297	Prbc.g_01421	Prar.g_01241
OG0000298	Prbc.g_01420	Prar.g_01240
OG0000299	Prbc.g_01401	Prar.g_01223
OG0000300	Prbc.g_01398	Prar.g_01220
OG0000301	Prbc.g_01397	Prar.g_01219
OG0000302	Prbc.g_01395	Prar.g_01217
OG0000303	Prbc.g_01390	Prar.g_01210
OG0000304	Prbc.g_01387	Prar.g_01206
OG0000305	Prbc.g_00810	Prar.g_00919
OG0000306	Prbc.g_01921	Prar.g_00916
OG0000307	Prbc.g_00666	Prar.g_00902
OG0000308	Prbc.g_00667	Prar.g_00901
OG0000309	Prbc.g_00671	Prar.g_00897
OG0000310	Prbc.g_00693	Prar.g_00354
OG0000311	Prbc.g_00695	Prar.g_00352
OG0000312	Prbc.g_00698	Prar.g_00349
OG0000313	Prbc.g_00713	Prar.g_00335
OG0000314	Prbc.g_00734	Prar.g_00820
OG0000315	Prbc.g_00744	Prar.g_00810
OG0000316	Prbc.g_00768	Prar.g_00790
OG0000317	Prbc.g_00830	Prar.g_01145
OG0000318	Prbc.g_00833	Prar.g_01142
OG0000319	Prbc.g_00844	Prar.g_01129
OG0000320	Prbc.g_00846	Prar.g_01127
OG0000321	Prbc.g_00847	Prar.g_01126
OG0000322	Prbc.g_00848	Prar.g_01125
OG0000323	Prbc.g_00857	Prar.g_01967
OG0000324	Prbc.g_00884	Prar.g_00609
OG0000325	Prbc.g_00935	Prar.g_01113
OG0000326	Prbc.g_00941	Prar.g_01107
OG0000327	Prbc.g_00326	Prar.g_01068
OG0000328	Prbc.g_00325	Prar.g_01067
OG0000329	Prbc.g_00308	Prar.g_01050
OG0000330	Prbc.g_00307	Prar.g_01049
OG0000331	Prbc.g_00306	Prar.g_01048
OG0000332	Prbc.g_00292	Prar.g_01034
OG0000333	Prbc.g_00290	Prar.g_01032
OG0000334	Prbc.g_00281	Prar.g_01024
OG0000335	Prbc.g_00276	Prar.g_01020
OG0000336	Prbc.g_00272	Prar.g_01016
OG0000337	Prbc.g_00241	Prar.g_00625
OG0000338	Prbc.g_00240	Prar.g_00626
OG0000339	Prbc.g_00235	Prar.g_00630
OG0000340	Prbc.g_00226	Prar.g_00638
OG0000341	Prbc.g_00224	Prar.g_00640
OG0000342	Prbc.g_00223	Prar.g_00641
OG0000343	Prbc.g_00222	Prar.g_00642
OG0000344	Prbc.g_00219	Prar.g_00645
OG0000345	Prbc.g_00214	Prar.g_00650
OG0000346	Prbc.g_00210	Prar.g_00654
OG0000347	Prbc.g_00190	Prar.g_00669
OG0000348	Prbc.g_00970	Prar.g_00678
OG0000349	Prbc.g_00988	Prar.g_00695
OG0000350	Prbc.g_01009	Prar.g_00072
OG0000351	Prbc.g_01047	Prar.g_00055
OG0000352	Prbc.g_01048	Prar.g_00054
OG0000353	Prbc.g_01068	Prar.g_00039
OG0000355	Prbc.g_01071	Prar.g_00037
OG0000356	Prbc.g_01072	Prar.g_00036
OG0000357	Prbc.g_01073	Prar.g_00035
OG0000358	Prbc.g_01077	Prar.g_00031
OG0000359	Prbc.g_01078	Prar.g_00030
OG0000360	Prbc.g_01079	Prar.g_00029
OG0000361	Prbc.g_01080	Prar.g_00028
OG0000362	Prbc.g_01082	Prar.g_00026
OG0000363	Prbc.g_01084	Prar.g_00024
OG0000364	Prbc.g_01085	Prar.g_00023
OG0000365	Prbc.g_01090	Prar.g_00018
OG0000366	Prbc.g_01091	Prar.g_00017
OG0000367	Prbc.g_01092	Prar.g_00016
OG0000368	Prbc.g_01094	Prar.g_00014
OG0000369	Prbc.g_01095	Prar.g_00013
OG0000370	Prbc.g_01096	Prar.g_00012
OG0000371	Prbc.g_01102	Prar.g_00006
OG0000372	Prbc.g_01104	Prar.g_00002
OG0000373	Prbc.g_01105	Prar.g_00001
OG0000374	Prbc.g_01106	Prar.g_00594
OG0000375	Prbc.g_01118	Prar.g_00580
OG0000376	Prbc.g_01120	Prar.g_00578
OG0000377	Prbc.g_01123	Prar.g_00574
OG0000378	Prbc.g_01125	Prar.g_00572
OG0000379	Prbc.g_01128	Prar.g_00569
OG0000380	Prbc.g_00507	Prar.g_00552
OG0000381	Prbc.g_00503	Prar.g_00548
OG0000382	Prbc.g_00492	Prar.g_00247
OG0000383	Prbc.g_00490	Prar.g_00245
OG0000384	Prbc.g_00489	Prar.g_00244
OG0000385	Prbc.g_00488	Prar.g_00243
OG0000386	Prbc.g_00487	Prar.g_00242
OG0000387	Prbc.g_00474	Prar.g_00229
OG0000388	Prbc.g_00470	Prar.g_00226
OG0000389	Prbc.g_00467	Prar.g_00222
OG0000390	Prbc.g_00458	Prar.g_00215
OG0000391	Prbc.g_00454	Prar.g_00212
OG0000392	Prbc.g_00451	Prar.g_00208
OG0000393	Prbc.g_00448	Prar.g_00206
OG0000394	Prbc.g_00447	Prar.g_00205
OG0000395	Prbc.g_00446	Prar.g_00204
OG0000396	Prbc.g_00443	Prar.g_00201
OG0000397	Prbc.g_00441	Prar.g_00199
OG0000398	Prbc.g_00438	Prar.g_00197
OG0000399	Prbc.g_00437	Prar.g_00196
OG0000400	Prbc.g_00436	Prar.g_00195
OG0000401	Prbc.g_00435	Prar.g_00194
OG0000402	Prbc.g_02145	Prar.g_00192
OG0000403	Prbc.g_00434	Prar.g_00191
OG0000404	Prbc.g_00433	Prar.g_00190
OG0000405	Prbc.g_00428	Prar.g_00186
OG0000406	Prbc.g_00424	Prar.g_00180
OG0000407	Prbc.g_00423	Prar.g_00179
OG0000408	Prbc.g_00421	Prar.g_00177
OG0000409	Prbc.g_00419	Prar.g_00175
OG0000410	Prbc.g_00418	Prar.g_00174
OG0000411	Prbc.g_00417	Prar.g_00173
OG0000412	Prbc.g_00416	Prar.g_00172
OG0000413	Prbc.g_00415	Prar.g_00171
OG0000414	Prbc.g_00414	Prar.g_01569, Prar.g_00170
OG0000415	Prbc.g_00413	Prar.g_00169
OG0000416	Prbc.g_00412	Prar.g_00168
OG0000417	Prbc.g_00411	Prar.g_00167
OG0000418	Prbc.g_00406	Prar.g_00162
OG0000419	Prbc.g_00404	Prar.g_00160
OG0000420	Prbc.g_00403	Prar.g_00159
OG0000421	Prbc.g_00399	Prar.g_00154
OG0000422	Prbc.g_00398	Prar.g_00153
OG0000423	Prbc.g_00397	Prar.g_00152
OG0000424	Prbc.g_00396	Prar.g_00151
OG0000425	Prbc.g_00395	Prar.g_00150
OG0000426	Prbc.g_00394	Prar.g_00149
OG0000427	Prbc.g_00393	Prar.g_00148
OG0000428	Prbc.g_00391	Prar.g_00146
OG0000429	Prbc.g_00390	Prar.g_00145
OG0000430	Prbc.g_00389	Prar.g_00144
OG0000431	Prbc.g_00387	Prar.g_00142
OG0000432	Prbc.g_00383	Prar.g_00139
OG0000433	Prbc.g_00382	Prar.g_00138
OG0000434	Prbc.g_00381	Prar.g_00137
OG0000435	Prbc.g_00380	Prar.g_00136
OG0000436	Prbc.g_00375	Prar.g_00131
OG0000437	Prbc.g_00374	Prar.g_00130
OG0000438	Prbc.g_00373	Prar.g_00129
OG0000439	Prbc.g_00371	Prar.g_00127
OG0000440	Prbc.g_00370	Prar.g_00126
OG0000441	Prbc.g_00368	Prar.g_00123
OG0000442	Prbc.g_00367	Prar.g_00122
OG0000443	Prbc.g_00366	Prar.g_00121
OG0000444	Prbc.g_00361	Prar.g_00116
OG0000445	Prbc.g_00360	Prar.g_00115
OG0000446	Prbc.g_00358	Prar.g_00114
OG0000447	Prbc.g_00357	Prar.g_00113
OG0000448	Prbc.g_00356	Prar.g_00112
OG0000449	Prbc.g_00355	Prar.g_00111
OG0000450	Prbc.g_00354	Prar.g_00110
OG0000451	Prbc.g_00353	Prar.g_00109
OG0000452	Prbc.g_00350	Prar.g_00106
OG0000453	Prbc.g_00349	Prar.g_00105
OG0000454	Prbc.g_00348	Prar.g_00104
OG0000455	Prbc.g_00347	Prar.g_00103
OG0000456	Prbc.g_00346	Prar.g_00102
OG0000457	Prbc.g_00345	Prar.g_00101
OG0000458	Prbc.g_00344	Prar.g_00100
OG0000459	Prbc.g_00343	Prar.g_00099
OG0000460	Prbc.g_00335	Prar.g_00092
OG0000461	Prbc.g_01140	Prar.g_00085
OG0000462	Prbc.g_01142	Prar.g_00083
OG0000463	Prbc.g_01143	Prar.g_00082
OG0000464	Prbc.g_01144	Prar.g_00081
OG0000465	Prbc.g_01145	Prar.g_00080
OG0000466	Prbc.g_01146	Prar.g_00077
OG0000467	Prbc.g_01147	Prar.g_00076
OG0000468	Prbc.g_01149	Prar.g_00334
OG0000469	Prbc.g_01156	Prar.g_00325
OG0000470	Prbc.g_01158	Prar.g_00323
OG0000471	Prbc.g_01159	Prar.g_00322
OG0000472	Prbc.g_01160	Prar.g_00321
OG0000473	Prbc.g_01162	Prar.g_00319
OG0000474	Prbc.g_01163	Prar.g_00318
OG0000475	Prbc.g_01164	Prar.g_00317
OG0000476	Prbc.g_01166	Prar.g_00316
OG0000477	Prbc.g_01168	Prar.g_00312
OG0000478	Prbc.g_01169	Prar.g_00311
OG0000479	Prbc.g_01170	Prar.g_00310
OG0000480	Prbc.g_01175	Prar.g_00305
OG0000481	Prbc.g_01177	Prar.g_00303
OG0000482	Prbc.g_01178	Prar.g_00302
OG0000483	Prbc.g_01181	Prar.g_00299
OG0000484	Prbc.g_01182	Prar.g_00298
OG0000485	Prbc.g_01183	Prar.g_00297
OG0000486	Prbc.g_01184	Prar.g_00296
OG0000487	Prbc.g_01187	Prar.g_00292
OG0000488	Prbc.g_01190	Prar.g_00289
OG0000489	Prbc.g_01195	Prar.g_00284
OG0000490	Prbc.g_01200	Prar.g_00279
OG0000491	Prbc.g_01201	Prar.g_00278
OG0000492	Prbc.g_01203	Prar.g_00276
OG0000493	Prbc.g_01204	Prar.g_00275
OG0000494	Prbc.g_01205	Prar.g_00274
OG0000495	Prbc.g_01206	Prar.g_00273
OG0000496	Prbc.g_01207	Prar.g_00272
OG0000497	Prbc.g_01208	Prar.g_00271
OG0000498	Prbc.g_01209	Prar.g_00270
OG0000499	Prbc.g_01210	Prar.g_00269
OG0000500	Prbc.g_01211	Prar.g_00268
OG0000501	Prbc.g_01213	Prar.g_00266
OG0000502	Prbc.g_01216	Prar.g_00263
OG0000503	Prbc.g_01246	Prar.g_00394
OG0000504	Prbc.g_01248	Prar.g_00395
OG0000505	Prbc.g_01249	Prar.g_00396
OG0000506	Prbc.g_01250	Prar.g_00398
OG0000507	Prbc.g_01253	Prar.g_00401
OG0000508	Prbc.g_01256	Prar.g_00405
OG0000509	Prbc.g_01258	Prar.g_00407
OG0000510	Prbc.g_01259	Prar.g_00408
OG0000511	Prbc.g_01260	Prar.g_00409
OG0000512	Prbc.g_01262	Prar.g_00411
OG0000513	Prbc.g_01271	Prar.g_00418
OG0000514	Prbc.g_01492	Prar.g_00479
OG0000515	Prbc.g_01493	Prar.g_00480
OG0000516	Prbc.g_01494	Prar.g_00481
OG0000517	Prbc.g_01496	Prar.g_00483
OG0000518	Prbc.g_01507	Prar.g_00494
OG0000519	Prbc.g_01508	Prar.g_00495
OG0000520	Prbc.g_01509	Prar.g_00496
OG0000521	Prbc.g_01514	Prar.g_00501
OG0000522	Prbc.g_01516	Prar.g_00503
OG0000523	Prbc.g_01517	Prar.g_00504
OG0000524	Prbc.g_01524	Prar.g_00510
OG0000525	Prbc.g_01528	Prar.g_00513
OG0000526	Prbc.g_01529	Prar.g_00514
OG0000527	Prbc.g_01532	Prar.g_00523
OG0000528	Prbc.g_01538	Prar.g_00528
OG0000529	Prbc.g_01541	Prar.g_00531
OG0000530	Prbc.g_01544	Prar.g_00534
OG0000531	Prbc.g_01545	Prar.g_00535
OG0000532	Prbc.g_01546	Prar.g_00537
OG0000533	Prbc.g_01547	Prar.g_00538
OG0000534	Prbc.g_01548	Prar.g_00539
OG0000535	Prbc.g_01549	Prar.g_00540
OG0000536	Prbc.g_01550	Prar.g_00541
OG0000537	Prbc.g_01551	Prar.g_00542
OG0000538	Prbc.g_01580	Prar.g_01331
OG0000539	Prbc.g_01581	Prar.g_01332
OG0000540	Prbc.g_01582	Prar.g_01333
OG0000541	Prbc.g_01583	Prar.g_01334
OG0000542	Prbc.g_01585	Prar.g_01336
OG0000543	Prbc.g_01587	Prar.g_01338
OG0000544	Prbc.g_01588	Prar.g_01339
OG0000545	Prbc.g_01590	Prar.g_01341
OG0000546	Prbc.g_01593	Prar.g_01344
