Orthogroup	Praf	Prbi
OG0000045	Praf.g_02345	Prbi.g_01461
OG0000046	Praf.g_00491	Prbi.g_01780
OG0000047	Praf.g_00178	Prbi.g_01994
OG0000048	Praf.g_00920, Praf.g_00164	Prbi.g_02001
OG0000050	Praf.g_00037	Prbi.g_00031
OG0000051	Praf.g_02445	Prbi.g_00181
OG0000052	Praf.g_00496	Prbi.g_00394
OG0000053	Praf.g_00672	Prbi.g_00542
OG0000054	Praf.g_00348	Prbi.g_00799
OG0000055	Praf.g_01556	Prbi.g_00869
OG0000056	Praf.g_02587	Prbi.g_01163
OG0000057	Praf.g_00386	Prbi.g_01748
OG0000058	Praf.g_01907	Prbi.g_00478
OG0000059	Praf.g_01125	Prbi.g_00702
OG0000062	Praf.g_01034, Praf.g_02690	Prbi.g_01174
OG0000063	Praf.g_00919	Prbi.g_01330
OG0000065	Praf.g_00796	Prbi.g_01391
OG0000066	Praf.g_02343	Prbi.g_01460
OG0000068	Praf.g_02119	Prbi.g_01938
OG0000069	Praf.g_02346, Praf.g_01851	Prbi.g_01497
OG0000070	Praf.g_02620, Praf.g_01880, Praf.g_02641, Praf.g_02639, Praf.g_01881, Praf.g_01964, Praf.g_01879, Praf.g_01191, Praf.g_02084, Praf.g_01648	Prbi.g_01276
OG0000071	Praf.g_00012	Prbi.g_00011
OG0000072	Praf.g_02336	Prbi.g_00346
OG0000073	Praf.g_01012, Praf.g_01748	Prbi.g_00672
OG0000074	Praf.g_01218, Praf.g_01219	Prbi.g_00694
OG0000075	Praf.g_01537	Prbi.g_00854
OG0000076	Praf.g_01274	Prbi.g_01086
OG0000078	Praf.g_02342	Prbi.g_01462
OG0000079	Praf.g_00501	Prbi.g_01668
OG0000080	Praf.g_00549	Prbi.g_01725
OG0000081	Praf.g_02382, Praf.g_02380, Praf.g_02378	Prbi.g_01968
OG0000082	Praf.g_02699	Prbi.g_02069
OG0000083	Praf.g_00003	Prbi.g_00003
OG0000084	Praf.g_00006	Prbi.g_00006
OG0000085	Praf.g_00028	Prbi.g_00023
OG0000087	Praf.g_00333, Praf.g_02602	Prbi.g_00060
OG0000088	Praf.g_00224	Prbi.g_00120
OG0000089	Praf.g_00212	Prbi.g_00129
OG0000090	Praf.g_02420	Prbi.g_00147
OG0000091	Praf.g_02457	Prbi.g_00193
OG0000092	Praf.g_02468	Prbi.g_00194
OG0000093	Praf.g_02711, Praf.g_02492	Prbi.g_00208
OG0000094	Praf.g_02708, Praf.g_02521	Prbi.g_00226
OG0000095	Praf.g_02532	Prbi.g_00231
OG0000096	Praf.g_02217	Prbi.g_00275
OG0000097	Praf.g_02271	Prbi.g_00298
OG0000098	Praf.g_02284	Prbi.g_00308
OG0000099	Praf.g_02296	Prbi.g_00318
OG0000100	Praf.g_02300	Prbi.g_00321
OG0000101	Praf.g_02012	Prbi.g_00381
OG0000102	Praf.g_02715, Praf.g_02705	Prbi.g_00407
OG0000103	Praf.g_01905	Prbi.g_00479
OG0000104	Praf.g_00595	Prbi.g_00483
OG0000105	Praf.g_00143, Praf.g_00616	Prbi.g_00502
OG0000106	Praf.g_00658	Prbi.g_00535
OG0000107	Praf.g_00660	Prbi.g_00536
OG0000108	Praf.g_00681	Prbi.g_00546
OG0000109	Praf.g_00692	Prbi.g_00555
OG0000110	Praf.g_00711	Prbi.g_00571
OG0000111	Praf.g_01036, Praf.g_01720	Prbi.g_00654
OG0000112	Praf.g_01035, Praf.g_01721	Prbi.g_00655
OG0000113	Praf.g_00144, Praf.g_01435	Prbi.g_00767
OG0000114	Praf.g_01528	Prbi.g_00845
OG0000115	Praf.g_01392	Prbi.g_01009
OG0000116	Praf.g_01383, Praf.g_01384	Prbi.g_01013
OG0000117	Praf.g_01277	Prbi.g_01083
OG0000118	Praf.g_02776	Prbi.g_01136
OG0000119	Praf.g_02692	Prbi.g_01177
OG0000120	Praf.g_00861	Prbi.g_01213
OG0000121	Praf.g_00922	Prbi.g_01232
OG0000122	Praf.g_00901	Prbi.g_01251
OG0000123	Praf.g_00938	Prbi.g_01264
OG0000124	Praf.g_01285	Prbi.g_01277
OG0000125	Praf.g_00779	Prbi.g_01403
OG0000126	Praf.g_00585, Praf.g_00583	Prbi.g_01439
OG0000127	Praf.g_01778, Praf.g_01776	Prbi.g_01576
OG0000128	Praf.g_01795	Prbi.g_01592
OG0000129	Praf.g_01848	Prbi.g_01627
OG0000130	Praf.g_00485	Prbi.g_01785
OG0000131	Praf.g_00437	Prbi.g_01823
OG0000132	Praf.g_00434	Prbi.g_01826
OG0000133	Praf.g_02162	Prbi.g_01897
OG0000134	Praf.g_02125	Prbi.g_01933
OG0000135	Praf.g_02123	Prbi.g_01935
OG0000136	Praf.g_02396	Prbi.g_01979
OG0000137	Praf.g_00152	Prbi.g_02011
OG0000138	Praf.g_02664	Prbi.g_02059
OG0000139	Praf.g_02757	Prbi.g_02086
OG0000140	Praf.g_00001	Prbi.g_00001
OG0000141	Praf.g_00002	Prbi.g_00002
OG0000142	Praf.g_00004	Prbi.g_00004
OG0000143	Praf.g_00005	Prbi.g_00005
OG0000144	Praf.g_00007	Prbi.g_00007
OG0000145	Praf.g_00009	Prbi.g_00008
OG0000146	Praf.g_00010	Prbi.g_00009
OG0000147	Praf.g_00011	Prbi.g_00010
OG0000148	Praf.g_00013	Prbi.g_00012
OG0000149	Praf.g_00015	Prbi.g_00014
OG0000150	Praf.g_00016	Prbi.g_00015
OG0000151	Praf.g_00021	Prbi.g_00016
OG0000152	Praf.g_00022	Prbi.g_00017
OG0000153	Praf.g_00023	Prbi.g_00018
OG0000154	Praf.g_00024	Prbi.g_00019
OG0000155	Praf.g_00025	Prbi.g_00020
OG0000156	Praf.g_00026	Prbi.g_00021
OG0000157	Praf.g_00027	Prbi.g_00022
OG0000158	Praf.g_00029	Prbi.g_00024
OG0000159	Praf.g_00030	Prbi.g_00025
OG0000160	Praf.g_00031	Prbi.g_00026
OG0000161	Praf.g_00032	Prbi.g_00027
OG0000162	Praf.g_00033	Prbi.g_00028
OG0000163	Praf.g_00035	Prbi.g_00029
OG0000164	Praf.g_00040	Prbi.g_00032
OG0000165	Praf.g_00045	Prbi.g_00035
OG0000166	Praf.g_00046	Prbi.g_00036
OG0000167	Praf.g_00047	Prbi.g_00037
OG0000168	Praf.g_00050	Prbi.g_00049
OG0000169	Praf.g_00052	Prbi.g_00051
OG0000170	Praf.g_02654	Prbi.g_00052
OG0000171	Praf.g_02652	Prbi.g_00053
OG0000172	Praf.g_02618	Prbi.g_00056
OG0000173	Praf.g_02611	Prbi.g_00057
OG0000174	Praf.g_02605	Prbi.g_00058
OG0000175	Praf.g_02603	Prbi.g_00059
OG0000176	Praf.g_02601	Prbi.g_00061
OG0000177	Praf.g_02597	Prbi.g_00062
OG0000178	Praf.g_02596	Prbi.g_00063
OG0000179	Praf.g_00328	Prbi.g_00071
OG0000180	Praf.g_00326	Prbi.g_00072
OG0000181	Praf.g_00325	Prbi.g_00073
OG0000182	Praf.g_00321	Prbi.g_00076
OG0000183	Praf.g_00320	Prbi.g_00077
OG0000184	Praf.g_00316	Prbi.g_00080
OG0000185	Praf.g_00310	Prbi.g_00084
OG0000186	Praf.g_00309	Prbi.g_00085
OG0000187	Praf.g_00962	Prbi.g_00086
OG0000188	Praf.g_00308	Prbi.g_00087
OG0000189	Praf.g_00304	Prbi.g_00088
OG0000190	Praf.g_00303	Prbi.g_00089
OG0000191	Praf.g_00302	Prbi.g_00090
OG0000192	Praf.g_00301	Prbi.g_00091
OG0000193	Praf.g_00300	Prbi.g_00092
OG0000194	Praf.g_00299	Prbi.g_00093
OG0000195	Praf.g_00297	Prbi.g_00095
OG0000196	Praf.g_00296	Prbi.g_00096
OG0000197	Praf.g_00268	Prbi.g_00097
OG0000198	Praf.g_00264	Prbi.g_00098
OG0000199	Praf.g_00259	Prbi.g_00101
OG0000200	Praf.g_00258	Prbi.g_00102
OG0000201	Praf.g_00257	Prbi.g_00103
OG0000202	Praf.g_00255	Prbi.g_00104
OG0000203	Praf.g_00254	Prbi.g_00105
OG0000204	Praf.g_00253	Prbi.g_00106
OG0000205	Praf.g_00251	Prbi.g_00107
OG0000206	Praf.g_00250	Prbi.g_00108
OG0000207	Praf.g_00249	Prbi.g_00109
OG0000208	Praf.g_00248	Prbi.g_00110
OG0000209	Praf.g_00247	Prbi.g_00111
OG0000210	Praf.g_00245	Prbi.g_00113
OG0000211	Praf.g_00244	Prbi.g_00114
OG0000212	Praf.g_00243	Prbi.g_00115
OG0000213	Praf.g_00240	Prbi.g_00116
OG0000214	Praf.g_00230	Prbi.g_00118
OG0000215	Praf.g_00225	Prbi.g_00119
OG0000216	Praf.g_00223	Prbi.g_00121
OG0000217	Praf.g_00221	Prbi.g_00123
OG0000218	Praf.g_00219	Prbi.g_00124
OG0000219	Praf.g_00218	Prbi.g_00125
OG0000220	Praf.g_00214	Prbi.g_00128
OG0000221	Praf.g_00209	Prbi.g_00130
OG0000222	Praf.g_00208	Prbi.g_00131
OG0000223	Praf.g_00207	Prbi.g_00132
OG0000224	Praf.g_02403	Prbi.g_00135
OG0000225	Praf.g_02405	Prbi.g_00137
OG0000226	Praf.g_02408	Prbi.g_00138
OG0000227	Praf.g_02410	Prbi.g_00139
OG0000228	Praf.g_02411	Prbi.g_00140
OG0000229	Praf.g_02412	Prbi.g_00141
OG0000230	Praf.g_02413	Prbi.g_00142
OG0000231	Praf.g_02415	Prbi.g_00144
OG0000232	Praf.g_02416	Prbi.g_00145
OG0000233	Praf.g_02421	Prbi.g_00148
OG0000234	Praf.g_02430	Prbi.g_00150
OG0000235	Praf.g_02432	Prbi.g_00169
OG0000236	Praf.g_02433	Prbi.g_00170
OG0000237	Praf.g_02434	Prbi.g_00171
OG0000238	Praf.g_02435	Prbi.g_00172
OG0000239	Praf.g_02436	Prbi.g_00173
OG0000240	Praf.g_02438	Prbi.g_00175
OG0000241	Praf.g_02439	Prbi.g_00176
OG0000242	Praf.g_02440	Prbi.g_00177
OG0000243	Praf.g_02441	Prbi.g_00178
OG0000244	Praf.g_02442	Prbi.g_00179
OG0000245	Praf.g_02444	Prbi.g_00180
OG0000246	Praf.g_02446	Prbi.g_00182
OG0000247	Praf.g_02447	Prbi.g_00183
OG0000248	Praf.g_02448	Prbi.g_00184
OG0000249	Praf.g_02449	Prbi.g_00185
OG0000250	Praf.g_02450	Prbi.g_00186
OG0000251	Praf.g_02451	Prbi.g_00187
OG0000252	Praf.g_02452	Prbi.g_00188
OG0000253	Praf.g_02453	Prbi.g_00189
OG0000254	Praf.g_02455	Prbi.g_00191
OG0000255	Praf.g_02456	Prbi.g_00192
OG0000256	Praf.g_02469	Prbi.g_00195
OG0000257	Praf.g_02470	Prbi.g_00197
OG0000258	Praf.g_02471	Prbi.g_00198
OG0000259	Praf.g_02472	Prbi.g_00199
OG0000260	Praf.g_02473	Prbi.g_00200
OG0000261	Praf.g_02474	Prbi.g_00201
OG0000262	Praf.g_02475	Prbi.g_00202
OG0000263	Praf.g_02476	Prbi.g_00203
OG0000264	Praf.g_01486	Prbi.g_00205
OG0000265	Praf.g_02489	Prbi.g_00206
OG0000266	Praf.g_02491	Prbi.g_00207
OG0000267	Praf.g_02495	Prbi.g_00209
OG0000268	Praf.g_02497	Prbi.g_00210
OG0000269	Praf.g_02500	Prbi.g_00211
OG0000270	Praf.g_02502	Prbi.g_00212
OG0000271	Praf.g_02505	Prbi.g_00213
OG0000272	Praf.g_02506	Prbi.g_00214
OG0000273	Praf.g_02509	Prbi.g_00215
OG0000274	Praf.g_02511	Prbi.g_00216
OG0000275	Praf.g_02512	Prbi.g_00217
OG0000276	Praf.g_02513	Prbi.g_00218
OG0000277	Praf.g_02514	Prbi.g_00219
OG0000278	Praf.g_02515	Prbi.g_00220
OG0000279	Praf.g_02516	Prbi.g_00221
OG0000280	Praf.g_02517	Prbi.g_00222
OG0000281	Praf.g_02519	Prbi.g_00224
OG0000282	Praf.g_02520	Prbi.g_00225
OG0000283	Praf.g_02524	Prbi.g_00228
OG0000284	Praf.g_02525	Prbi.g_00229
OG0000285	Praf.g_02531	Prbi.g_00230
OG0000286	Praf.g_02533	Prbi.g_00232
OG0000287	Praf.g_02582	Prbi.g_00233
OG0000288	Praf.g_02581	Prbi.g_00234
OG0000289	Praf.g_02575	Prbi.g_00235
OG0000290	Praf.g_02574	Prbi.g_00236
OG0000291	Praf.g_02572	Prbi.g_00237
OG0000292	Praf.g_02568	Prbi.g_00238
OG0000293	Praf.g_02567	Prbi.g_00239
OG0000294	Praf.g_02566	Prbi.g_00240
OG0000295	Praf.g_02560	Prbi.g_00241
OG0000296	Praf.g_02559	Prbi.g_00242
OG0000297	Praf.g_02557	Prbi.g_00243
OG0000298	Praf.g_02556	Prbi.g_00244
OG0000299	Praf.g_02555	Prbi.g_00245
OG0000300	Praf.g_02554	Prbi.g_00246
OG0000301	Praf.g_02553	Prbi.g_00247
OG0000302	Praf.g_02552	Prbi.g_00248
OG0000303	Praf.g_02551	Prbi.g_00249
OG0000304	Praf.g_02549	Prbi.g_00250
OG0000305	Praf.g_02548	Prbi.g_00251
OG0000306	Praf.g_02547	Prbi.g_00252
OG0000307	Praf.g_00374	Prbi.g_00253
OG0000308	Praf.g_00745	Prbi.g_00254
OG0000309	Praf.g_00744	Prbi.g_00255
OG0000310	Praf.g_00743	Prbi.g_00256
OG0000311	Praf.g_00378	Prbi.g_00257
OG0000312	Praf.g_00379	Prbi.g_00259
OG0000313	Praf.g_00385	Prbi.g_00260
OG0000314	Praf.g_00391	Prbi.g_00263
OG0000315	Praf.g_00392	Prbi.g_00264
OG0000316	Praf.g_02203	Prbi.g_00266
OG0000317	Praf.g_02207	Prbi.g_00268
OG0000318	Praf.g_02208	Prbi.g_00269
OG0000319	Praf.g_02209	Prbi.g_00270
OG0000320	Praf.g_02210	Prbi.g_00271
OG0000321	Praf.g_02215	Prbi.g_00274
OG0000322	Praf.g_02242	Prbi.g_00277
OG0000323	Praf.g_02243	Prbi.g_00278
OG0000324	Praf.g_02245	Prbi.g_00281
OG0000325	Praf.g_02247	Prbi.g_00283
OG0000326	Praf.g_02249	Prbi.g_00284
OG0000327	Praf.g_02255	Prbi.g_00286
OG0000328	Praf.g_00375	Prbi.g_00287
OG0000329	Praf.g_02259	Prbi.g_00288
OG0000330	Praf.g_02260	Prbi.g_00289
OG0000331	Praf.g_02262	Prbi.g_00290
OG0000332	Praf.g_02263	Prbi.g_00291
OG0000333	Praf.g_02264	Prbi.g_00292
OG0000334	Praf.g_02265	Prbi.g_00293
OG0000335	Praf.g_02266	Prbi.g_00294
OG0000336	Praf.g_02268	Prbi.g_00295
OG0000337	Praf.g_02273	Prbi.g_00299
OG0000338	Praf.g_02274	Prbi.g_00300
OG0000339	Praf.g_02275	Prbi.g_00301
OG0000340	Praf.g_02277	Prbi.g_00302
OG0000341	Praf.g_02282	Prbi.g_00306
OG0000342	Praf.g_02283	Prbi.g_00307
OG0000343	Praf.g_02285	Prbi.g_00309
OG0000344	Praf.g_02287	Prbi.g_00310
OG0000345	Praf.g_02288	Prbi.g_00311
OG0000346	Praf.g_02289	Prbi.g_00312
OG0000347	Praf.g_02290	Prbi.g_00313
OG0000348	Praf.g_02291	Prbi.g_00314
OG0000349	Praf.g_02292	Prbi.g_00315
OG0000350	Praf.g_02293	Prbi.g_00316
OG0000351	Praf.g_02297	Prbi.g_00319
OG0000352	Praf.g_02301	Prbi.g_00322
OG0000353	Praf.g_02302	Prbi.g_00323
OG0000354	Praf.g_02303	Prbi.g_00324
OG0000355	Praf.g_02304	Prbi.g_00325
OG0000356	Praf.g_02314	Prbi.g_00326
OG0000357	Praf.g_02315	Prbi.g_00327
OG0000358	Praf.g_02316	Prbi.g_00328
OG0000359	Praf.g_02318	Prbi.g_00329
OG0000360	Praf.g_02321	Prbi.g_00332
OG0000361	Praf.g_02322	Prbi.g_00333
OG0000362	Praf.g_02323	Prbi.g_00334
OG0000363	Praf.g_02324	Prbi.g_00335
OG0000364	Praf.g_02325	Prbi.g_00336
OG0000365	Praf.g_02326	Prbi.g_00337
OG0000366	Praf.g_02327	Prbi.g_00338
OG0000367	Praf.g_02328	Prbi.g_00339
OG0000368	Praf.g_02329	Prbi.g_00340
OG0000369	Praf.g_02330	Prbi.g_00341
OG0000370	Praf.g_02331	Prbi.g_00342
OG0000371	Praf.g_02332	Prbi.g_00343
OG0000372	Praf.g_02335	Prbi.g_00345
OG0000373	Praf.g_02347	Prbi.g_00347
OG0000374	Praf.g_02349	Prbi.g_00348
OG0000375	Praf.g_02358	Prbi.g_00349
OG0000376	Praf.g_02073	Prbi.g_00351
OG0000377	Praf.g_02066	Prbi.g_00352
OG0000378	Praf.g_02065	Prbi.g_00353
OG0000379	Praf.g_02054	Prbi.g_00358
OG0000380	Praf.g_02052	Prbi.g_00359
OG0000381	Praf.g_02051	Prbi.g_00360
OG0000382	Praf.g_02049	Prbi.g_00362
OG0000383	Praf.g_02045	Prbi.g_00365
OG0000384	Praf.g_02044	Prbi.g_00366
OG0000385	Praf.g_02031	Prbi.g_00369
OG0000386	Praf.g_02030	Prbi.g_00370
OG0000387	Praf.g_02029	Prbi.g_00371
OG0000388	Praf.g_02028	Prbi.g_00372
OG0000389	Praf.g_02027	Prbi.g_00373
OG0000390	Praf.g_02026	Prbi.g_00374
OG0000391	Praf.g_02025	Prbi.g_00375
OG0000392	Praf.g_02024	Prbi.g_00376
OG0000393	Praf.g_02016	Prbi.g_00379
OG0000394	Praf.g_02015	Prbi.g_00380
OG0000395	Praf.g_02011	Prbi.g_00382
OG0000396	Praf.g_01616	Prbi.g_00383
OG0000397	Praf.g_00322	Prbi.g_00395
OG0000398	Praf.g_00495	Prbi.g_00403
OG0000399	Praf.g_01003	Prbi.g_00404
OG0000400	Praf.g_02201	Prbi.g_00409
OG0000401	Praf.g_02002	Prbi.g_00432
OG0000402	Praf.g_02001	Prbi.g_00433
OG0000403	Praf.g_01999	Prbi.g_00434
OG0000404	Praf.g_01990	Prbi.g_00436
OG0000405	Praf.g_01989	Prbi.g_00437
OG0000406	Praf.g_01987	Prbi.g_00439
OG0000407	Praf.g_01986	Prbi.g_00440
OG0000408	Praf.g_01985	Prbi.g_00441
OG0000409	Praf.g_01984	Prbi.g_00442
OG0000410	Praf.g_01982	Prbi.g_00443
OG0000411	Praf.g_01981	Prbi.g_00444
OG0000412	Praf.g_01980	Prbi.g_00445
OG0000413	Praf.g_01979	Prbi.g_00446
OG0000414	Praf.g_01978	Prbi.g_00447
OG0000415	Praf.g_01977	Prbi.g_00448
OG0000416	Praf.g_01972	Prbi.g_00449
OG0000417	Praf.g_01963	Prbi.g_00450
OG0000418	Praf.g_01962	Prbi.g_00451
OG0000419	Praf.g_01961	Prbi.g_00452
OG0000420	Praf.g_01960	Prbi.g_00453
OG0000421	Praf.g_01959	Prbi.g_00454
OG0000422	Praf.g_01957	Prbi.g_00456
OG0000423	Praf.g_01956	Prbi.g_00457
OG0000424	Praf.g_01952	Prbi.g_00459
OG0000425	Praf.g_01942	Prbi.g_00463
OG0000426	Praf.g_01941	Prbi.g_00464
OG0000427	Praf.g_01938	Prbi.g_00465
OG0000428	Praf.g_01915	Prbi.g_00466
OG0000429	Praf.g_01913	Prbi.g_00467
OG0000430	Praf.g_01911	Prbi.g_00474
OG0000431	Praf.g_01909	Prbi.g_00476
OG0000432	Praf.g_01908	Prbi.g_00477
OG0000433	Praf.g_00586	Prbi.g_00480
OG0000434	Praf.g_00589	Prbi.g_00481
OG0000435	Praf.g_00594	Prbi.g_00482
OG0000436	Praf.g_00596	Prbi.g_00484
OG0000437	Praf.g_00598	Prbi.g_00486
OG0000438	Praf.g_00599	Prbi.g_00487
OG0000439	Praf.g_00600	Prbi.g_00488
OG0000440	Praf.g_00603	Prbi.g_00490
OG0000441	Praf.g_00605	Prbi.g_00491
OG0000442	Praf.g_00606	Prbi.g_00492
OG0000443	Praf.g_00607	Prbi.g_00493
OG0000444	Praf.g_00608	Prbi.g_00494
OG0000445	Praf.g_00609	Prbi.g_00495
OG0000446	Praf.g_00610	Prbi.g_00496
OG0000447	Praf.g_00611	Prbi.g_00497
OG0000448	Praf.g_00612	Prbi.g_00498
OG0000449	Praf.g_00619	Prbi.g_00503
OG0000450	Praf.g_00621	Prbi.g_00504
OG0000451	Praf.g_00622	Prbi.g_00505
OG0000452	Praf.g_00623	Prbi.g_00506
OG0000453	Praf.g_00626	Prbi.g_00508
OG0000454	Praf.g_00627	Prbi.g_00509
OG0000455	Praf.g_00628	Prbi.g_00510
OG0000456	Praf.g_00629	Prbi.g_00511
OG0000457	Praf.g_00630	Prbi.g_00513
OG0000458	Praf.g_00631	Prbi.g_00515
OG0000459	Praf.g_00632	Prbi.g_00516
OG0000460	Praf.g_00634	Prbi.g_00518
OG0000461	Praf.g_00635	Prbi.g_00519
OG0000462	Praf.g_00636	Prbi.g_00520
OG0000463	Praf.g_00641	Prbi.g_00521
OG0000464	Praf.g_00646	Prbi.g_00526
OG0000465	Praf.g_00647	Prbi.g_00528
OG0000466	Praf.g_00648	Prbi.g_00529
OG0000467	Praf.g_00650	Prbi.g_00530
OG0000468	Praf.g_00651	Prbi.g_00531
OG0000469	Praf.g_00656	Prbi.g_00532
OG0000470	Praf.g_01177	Prbi.g_00533
OG0000471	Praf.g_01131	Prbi.g_00534
OG0000472	Praf.g_00661	Prbi.g_00537
OG0000473	Praf.g_00663	Prbi.g_00538
OG0000474	Praf.g_00665	Prbi.g_00539
OG0000475	Praf.g_00666	Prbi.g_00540
OG0000476	Praf.g_00670	Prbi.g_00541
OG0000477	Praf.g_00673	Prbi.g_00543
OG0000478	Praf.g_00675	Prbi.g_00544
OG0000479	Praf.g_00677	Prbi.g_00545
OG0000480	Praf.g_00683	Prbi.g_00547
OG0000481	Praf.g_00684	Prbi.g_00548
OG0000482	Praf.g_00685	Prbi.g_00549
OG0000483	Praf.g_00687	Prbi.g_00550
OG0000484	Praf.g_00688	Prbi.g_00551
OG0000485	Praf.g_00689	Prbi.g_00552
OG0000486	Praf.g_00690	Prbi.g_00553
OG0000487	Praf.g_00691	Prbi.g_00554
OG0000488	Praf.g_00693	Prbi.g_00556
OG0000489	Praf.g_00694	Prbi.g_00557
OG0000490	Praf.g_00695	Prbi.g_00558
OG0000491	Praf.g_00696	Prbi.g_00559
OG0000492	Praf.g_00697	Prbi.g_00560
OG0000493	Praf.g_00698	Prbi.g_00561
OG0000494	Praf.g_00700	Prbi.g_00563
OG0000495	Praf.g_00701	Prbi.g_00564
OG0000496	Praf.g_00703	Prbi.g_00565
OG0000497	Praf.g_00705	Prbi.g_00566
OG0000498	Praf.g_00706	Prbi.g_00567
OG0000499	Praf.g_00708	Prbi.g_00569
OG0000500	Praf.g_00709	Prbi.g_00570
OG0000501	Praf.g_00712	Prbi.g_00572
OG0000502	Praf.g_00713	Prbi.g_00573
OG0000503	Praf.g_00714	Prbi.g_00574
OG0000504	Praf.g_00716	Prbi.g_00575
OG0000505	Praf.g_00717	Prbi.g_00576
OG0000506	Praf.g_00718	Prbi.g_00577
OG0000507	Praf.g_00719	Prbi.g_00578
OG0000508	Praf.g_00723	Prbi.g_00580
OG0000509	Praf.g_00724	Prbi.g_00581
OG0000510	Praf.g_00725	Prbi.g_00582
OG0000511	Praf.g_00726	Prbi.g_00583
OG0000512	Praf.g_00728	Prbi.g_00584
OG0000513	Praf.g_00729	Prbi.g_00585
OG0000514	Praf.g_00730	Prbi.g_00586
OG0000515	Praf.g_00733	Prbi.g_00588
OG0000516	Praf.g_00734	Prbi.g_00589
OG0000517	Praf.g_00735	Prbi.g_00590
OG0000518	Praf.g_00739	Prbi.g_00593
OG0000519	Praf.g_00740	Prbi.g_00594
OG0000520	Praf.g_00741	Prbi.g_00595
OG0000521	Praf.g_00742	Prbi.g_00596
OG0000522	Praf.g_00749	Prbi.g_00597
OG0000523	Praf.g_00750	Prbi.g_00598
OG0000524	Praf.g_00751	Prbi.g_00599
OG0000525	Praf.g_00753	Prbi.g_00601
OG0000526	Praf.g_00754	Prbi.g_00602
OG0000527	Praf.g_00755	Prbi.g_00603
OG0000528	Praf.g_00756	Prbi.g_00604
OG0000529	Praf.g_00757	Prbi.g_00605
OG0000530	Praf.g_00758	Prbi.g_00606
OG0000531	Praf.g_00761	Prbi.g_00607
OG0000532	Praf.g_00763	Prbi.g_00608
OG0000533	Praf.g_00764	Prbi.g_00609
OG0000534	Praf.g_00765	Prbi.g_00610
OG0000535	Praf.g_00766	Prbi.g_00611
OG0000536	Praf.g_00767	Prbi.g_00612
OG0000537	Praf.g_00768	Prbi.g_00613
OG0000538	Praf.g_00769	Prbi.g_00614
OG0000539	Praf.g_00771	Prbi.g_00615
OG0000540	Praf.g_00773	Prbi.g_00616
OG0000541	Praf.g_01659	Prbi.g_00617
OG0000542	Praf.g_01661	Prbi.g_00618
OG0000543	Praf.g_01662	Prbi.g_00619
OG0000544	Praf.g_01663	Prbi.g_00620
OG0000545	Praf.g_01666	Prbi.g_00623
OG0000546	Praf.g_01667	Prbi.g_00624
OG0000547	Praf.g_01669	Prbi.g_00626
OG0000548	Praf.g_01674	Prbi.g_00627
OG0000549	Praf.g_01675	Prbi.g_00628
OG0000550	Praf.g_01676	Prbi.g_00629
OG0000551	Praf.g_01680	Prbi.g_00630
OG0000552	Praf.g_01684	Prbi.g_00631
OG0000553	Praf.g_01685	Prbi.g_00632
OG0000554	Praf.g_01687	Prbi.g_00634
OG0000555	Praf.g_01688	Prbi.g_00635
OG0000556	Praf.g_01689	Prbi.g_00636
OG0000557	Praf.g_01690	Prbi.g_00637
OG0000558	Praf.g_01692	Prbi.g_00638
OG0000559	Praf.g_01693	Prbi.g_00639
OG0000560	Praf.g_01695	Prbi.g_00641
OG0000561	Praf.g_01696	Prbi.g_00642
