Orthogroup	Praf	Prac
OG0000059	Praf.g_01125	Prac.g_00673
OG0000062	Praf.g_01034, Praf.g_02690	Prac.g_01018
OG0000063	Praf.g_00919	Prac.g_01955
OG0000065	Praf.g_00796	Prac.g_00175
OG0000066	Praf.g_02343	Prac.g_00248
OG0000068	Praf.g_02119	Prac.g_00548
OG0000069	Praf.g_02346, Praf.g_01851	Prac.g_00242
OG0000071	Praf.g_00012	Prac.g_01936
OG0000072	Praf.g_02336	Prac.g_01609
OG0000073	Praf.g_01012, Praf.g_01748	Prac.g_00702
OG0000074	Praf.g_01218, Praf.g_01219	Prac.g_00680
OG0000075	Praf.g_01537	Prac.g_01468
OG0000076	Praf.g_01274	Prac.g_01256
OG0000078	Praf.g_02342	Prac.g_00256
OG0000079	Praf.g_00501	Prac.g_00333
OG0000080	Praf.g_00549	Prac.g_00886
OG0000081	Praf.g_02382, Praf.g_02380, Praf.g_02378	Prac.g_00015
OG0000082	Praf.g_02699	Prac.g_00101
OG0000083	Praf.g_00003	Prac.g_01944
OG0000084	Praf.g_00006	Prac.g_01941
OG0000085	Praf.g_00028	Prac.g_01924
OG0000087	Praf.g_00333, Praf.g_02602	Prac.g_01882
OG0000088	Praf.g_00224	Prac.g_01818
OG0000089	Praf.g_00212	Prac.g_01810
OG0000090	Praf.g_02420	Prac.g_01792
OG0000091	Praf.g_02457	Prac.g_01761
OG0000092	Praf.g_02468	Prac.g_01760
OG0000093	Praf.g_02711, Praf.g_02492	Prac.g_01746
OG0000094	Praf.g_02708, Praf.g_02521	Prac.g_01728
OG0000095	Praf.g_02532	Prac.g_01723
OG0000096	Praf.g_02217	Prac.g_01679
OG0000097	Praf.g_02271	Prac.g_01657
OG0000098	Praf.g_02284	Prac.g_01647
OG0000099	Praf.g_02296	Prac.g_01637
OG0000100	Praf.g_02300	Prac.g_01634
OG0000101	Praf.g_02012	Prac.g_01177
OG0000102	Praf.g_02715, Praf.g_02705	Prac.g_01150
OG0000103	Praf.g_01905	Prac.g_01068
OG0000104	Praf.g_00595	Prac.g_01064
OG0000105	Praf.g_00143, Praf.g_00616	Prac.g_00872
OG0000106	Praf.g_00658	Prac.g_00840
OG0000107	Praf.g_00660	Prac.g_00839
OG0000108	Praf.g_00681	Prac.g_00829
OG0000109	Praf.g_00692	Prac.g_00820
OG0000110	Praf.g_00711	Prac.g_00804
OG0000111	Praf.g_01036, Praf.g_01720	Prac.g_00720
OG0000112	Praf.g_01035, Praf.g_01721	Prac.g_00719
OG0000113	Praf.g_00144, Praf.g_01435	Prac.g_01538
OG0000114	Praf.g_01528	Prac.g_01477
OG0000115	Praf.g_01392	Prac.g_01327
OG0000116	Praf.g_01383, Praf.g_01384	Prac.g_01323
OG0000117	Praf.g_01277	Prac.g_01259
OG0000118	Praf.g_02776	Prac.g_01207
OG0000119	Praf.g_02692	Prac.g_01959
OG0000120	Praf.g_00861	Prac.g_00979
OG0000121	Praf.g_00922	Prac.g_00960
OG0000122	Praf.g_00901	Prac.g_00941
OG0000123	Praf.g_00938	Prac.g_00928
OG0000124	Praf.g_01285	Prac.g_00448
OG0000125	Praf.g_00779	Prac.g_00187
OG0000126	Praf.g_00585, Praf.g_00583	Prac.g_00217
OG0000127	Praf.g_01778, Praf.g_01776	Prac.g_00424
OG0000128	Praf.g_01795	Prac.g_00410
OG0000129	Praf.g_01848	Prac.g_00374
OG0000130	Praf.g_00485	Prac.g_00627
OG0000131	Praf.g_00437	Prac.g_00589
OG0000132	Praf.g_00434	Prac.g_00586
OG0000133	Praf.g_02162	Prac.g_00507
OG0000134	Praf.g_02125	Prac.g_00543
OG0000135	Praf.g_02123	Prac.g_00545
OG0000136	Praf.g_02396	Prac.g_00026
OG0000137	Praf.g_00152	Prac.g_00057
OG0000138	Praf.g_02664	Prac.g_00092
OG0000139	Praf.g_02757	Prac.g_00118
OG0000140	Praf.g_00001	Prac.g_01946
OG0000141	Praf.g_00002	Prac.g_01945
OG0000142	Praf.g_00004	Prac.g_01943
OG0000143	Praf.g_00005	Prac.g_01942
OG0000144	Praf.g_00007	Prac.g_01940
OG0000145	Praf.g_00009	Prac.g_01939
OG0000146	Praf.g_00010	Prac.g_01938
OG0000147	Praf.g_00011	Prac.g_01937
OG0000148	Praf.g_00013	Prac.g_01935
OG0000149	Praf.g_00015	Prac.g_01933
OG0000150	Praf.g_00016	Prac.g_01932
OG0000151	Praf.g_00021	Prac.g_01931
OG0000152	Praf.g_00022	Prac.g_01930
OG0000153	Praf.g_00023	Prac.g_01929
OG0000154	Praf.g_00024	Prac.g_01928
OG0000155	Praf.g_00025	Prac.g_01927
OG0000156	Praf.g_00026	Prac.g_01926
OG0000157	Praf.g_00027	Prac.g_01925
OG0000158	Praf.g_00029	Prac.g_01923
OG0000159	Praf.g_00030	Prac.g_01922
OG0000160	Praf.g_00031	Prac.g_01921
OG0000161	Praf.g_00032	Prac.g_01920
OG0000162	Praf.g_00033	Prac.g_01919
OG0000163	Praf.g_00035	Prac.g_01918
OG0000164	Praf.g_00040	Prac.g_01915
OG0000165	Praf.g_00045	Prac.g_01911
OG0000166	Praf.g_00046	Prac.g_01910
OG0000167	Praf.g_00047	Prac.g_01909
OG0000168	Praf.g_00050	Prac.g_01892
OG0000169	Praf.g_00052	Prac.g_01890
OG0000170	Praf.g_02654	Prac.g_01889
OG0000171	Praf.g_02652	Prac.g_01888
OG0000172	Praf.g_02618	Prac.g_01886
OG0000173	Praf.g_02611	Prac.g_01885
OG0000174	Praf.g_02605	Prac.g_01884
OG0000175	Praf.g_02603	Prac.g_01883
OG0000176	Praf.g_02601	Prac.g_01881
OG0000177	Praf.g_02597	Prac.g_01880
OG0000178	Praf.g_02596	Prac.g_01879
OG0000179	Praf.g_00328	Prac.g_01867
OG0000180	Praf.g_00326	Prac.g_01866
OG0000181	Praf.g_00325	Prac.g_01865
OG0000182	Praf.g_00321	Prac.g_01862
OG0000183	Praf.g_00320	Prac.g_01861
OG0000184	Praf.g_00316	Prac.g_01858
OG0000185	Praf.g_00310	Prac.g_01854
OG0000186	Praf.g_00309	Prac.g_01853
OG0000187	Praf.g_00962	Prac.g_01852
OG0000188	Praf.g_00308	Prac.g_01851
OG0000189	Praf.g_00304	Prac.g_01850
OG0000190	Praf.g_00303	Prac.g_01849
OG0000191	Praf.g_00302	Prac.g_01848
OG0000192	Praf.g_00301	Prac.g_01847
OG0000193	Praf.g_00300	Prac.g_01846
OG0000194	Praf.g_00299	Prac.g_01845
OG0000195	Praf.g_00297	Prac.g_01843
OG0000196	Praf.g_00296	Prac.g_01842
OG0000197	Praf.g_00268	Prac.g_01841
OG0000198	Praf.g_00264	Prac.g_01840
OG0000199	Praf.g_00259	Prac.g_01837
OG0000200	Praf.g_00258	Prac.g_01836
OG0000201	Praf.g_00257	Prac.g_01835
OG0000202	Praf.g_00255	Prac.g_01834
OG0000203	Praf.g_00254	Prac.g_01833
OG0000204	Praf.g_00253	Prac.g_01832
OG0000205	Praf.g_00251	Prac.g_01831
OG0000206	Praf.g_00250	Prac.g_01830
OG0000207	Praf.g_00249	Prac.g_01829
OG0000208	Praf.g_00248	Prac.g_01828
OG0000209	Praf.g_00247	Prac.g_01827
OG0000210	Praf.g_00245	Prac.g_01825
OG0000211	Praf.g_00244	Prac.g_01824
OG0000212	Praf.g_00243	Prac.g_01823
OG0000213	Praf.g_00240	Prac.g_01822
OG0000214	Praf.g_00230	Prac.g_01820
OG0000215	Praf.g_00225	Prac.g_01819
OG0000216	Praf.g_00223	Prac.g_01817
OG0000217	Praf.g_00221	Prac.g_01816
OG0000218	Praf.g_00219	Prac.g_01815
OG0000219	Praf.g_00218	Prac.g_01814
OG0000220	Praf.g_00214	Prac.g_01811
OG0000221	Praf.g_00209	Prac.g_01809
OG0000222	Praf.g_00208	Prac.g_01808
OG0000223	Praf.g_00207	Prac.g_01807
OG0000224	Praf.g_02403	Prac.g_01804
OG0000225	Praf.g_02405	Prac.g_01802
OG0000226	Praf.g_02408	Prac.g_01801
OG0000227	Praf.g_02410	Prac.g_01800
OG0000228	Praf.g_02411	Prac.g_01799
OG0000229	Praf.g_02412	Prac.g_01798
OG0000230	Praf.g_02413	Prac.g_01797
OG0000231	Praf.g_02415	Prac.g_01795
OG0000232	Praf.g_02416	Prac.g_01794
OG0000233	Praf.g_02421	Prac.g_01791
OG0000234	Praf.g_02430	Prac.g_01789
OG0000235	Praf.g_02432	Prac.g_01785
OG0000236	Praf.g_02433	Prac.g_01784
OG0000237	Praf.g_02434	Prac.g_01783
OG0000238	Praf.g_02435	Prac.g_01782
OG0000239	Praf.g_02436	Prac.g_01781
OG0000240	Praf.g_02438	Prac.g_01779
OG0000241	Praf.g_02439	Prac.g_01778
OG0000242	Praf.g_02440	Prac.g_01777
OG0000243	Praf.g_02441	Prac.g_01776
OG0000244	Praf.g_02442	Prac.g_01775
OG0000245	Praf.g_02444	Prac.g_01774
OG0000246	Praf.g_02446	Prac.g_01772
OG0000247	Praf.g_02447	Prac.g_01771
OG0000248	Praf.g_02448	Prac.g_01770
OG0000249	Praf.g_02449	Prac.g_01769
OG0000250	Praf.g_02450	Prac.g_01768
OG0000251	Praf.g_02451	Prac.g_01767
OG0000252	Praf.g_02452	Prac.g_01766
OG0000253	Praf.g_02453	Prac.g_01765
OG0000254	Praf.g_02455	Prac.g_01763
OG0000255	Praf.g_02456	Prac.g_01762
OG0000256	Praf.g_02469	Prac.g_01759
OG0000257	Praf.g_02470	Prac.g_01757
OG0000258	Praf.g_02471	Prac.g_01756
OG0000259	Praf.g_02472	Prac.g_01755
OG0000260	Praf.g_02473	Prac.g_01754
OG0000261	Praf.g_02474	Prac.g_01753
OG0000262	Praf.g_02475	Prac.g_01752
OG0000263	Praf.g_02476	Prac.g_01751
OG0000264	Praf.g_01486	Prac.g_01749
OG0000265	Praf.g_02489	Prac.g_01748
OG0000266	Praf.g_02491	Prac.g_01747
OG0000267	Praf.g_02495	Prac.g_01745
OG0000268	Praf.g_02497	Prac.g_01744
OG0000269	Praf.g_02500	Prac.g_01743
OG0000270	Praf.g_02502	Prac.g_01742
OG0000271	Praf.g_02505	Prac.g_01741
OG0000272	Praf.g_02506	Prac.g_01740
OG0000273	Praf.g_02509	Prac.g_01739
OG0000274	Praf.g_02511	Prac.g_01738
OG0000275	Praf.g_02512	Prac.g_01737
OG0000276	Praf.g_02513	Prac.g_01736
OG0000277	Praf.g_02514	Prac.g_01735
OG0000278	Praf.g_02515	Prac.g_01734
OG0000279	Praf.g_02516	Prac.g_01733
OG0000280	Praf.g_02517	Prac.g_01732
OG0000281	Praf.g_02519	Prac.g_01730
OG0000282	Praf.g_02520	Prac.g_01729
OG0000283	Praf.g_02524	Prac.g_01726
OG0000284	Praf.g_02525	Prac.g_01725
OG0000285	Praf.g_02531	Prac.g_01724
OG0000286	Praf.g_02533	Prac.g_01722
OG0000287	Praf.g_02582	Prac.g_01721
OG0000288	Praf.g_02581	Prac.g_01720
OG0000289	Praf.g_02575	Prac.g_01719
OG0000290	Praf.g_02574	Prac.g_01718
OG0000291	Praf.g_02572	Prac.g_01717
OG0000292	Praf.g_02568	Prac.g_01716
OG0000293	Praf.g_02567	Prac.g_01715
OG0000294	Praf.g_02566	Prac.g_01714
OG0000295	Praf.g_02560	Prac.g_01713
OG0000296	Praf.g_02559	Prac.g_01712
OG0000297	Praf.g_02557	Prac.g_01711
OG0000298	Praf.g_02556	Prac.g_01710
OG0000299	Praf.g_02555	Prac.g_01709
OG0000300	Praf.g_02554	Prac.g_01708
OG0000301	Praf.g_02553	Prac.g_01707
OG0000302	Praf.g_02552	Prac.g_01706
OG0000303	Praf.g_02551	Prac.g_01705
OG0000304	Praf.g_02549	Prac.g_01704
OG0000305	Praf.g_02548	Prac.g_01703
OG0000306	Praf.g_02547	Prac.g_01702
OG0000307	Praf.g_00374	Prac.g_01701
OG0000308	Praf.g_00745	Prac.g_01700
OG0000309	Praf.g_00744	Prac.g_01699
OG0000310	Praf.g_00743	Prac.g_01698
OG0000311	Praf.g_00378	Prac.g_01697
OG0000312	Praf.g_00379	Prac.g_01695
OG0000313	Praf.g_00385	Prac.g_01694
OG0000314	Praf.g_00391	Prac.g_01691
OG0000315	Praf.g_00392	Prac.g_01690
OG0000316	Praf.g_02203	Prac.g_01688
OG0000317	Praf.g_02207	Prac.g_01686
OG0000318	Praf.g_02208	Prac.g_01685
OG0000319	Praf.g_02209	Prac.g_01684
OG0000320	Praf.g_02210	Prac.g_01683
OG0000321	Praf.g_02215	Prac.g_01680
OG0000322	Praf.g_02242	Prac.g_01678
OG0000323	Praf.g_02243	Prac.g_01677
OG0000324	Praf.g_02245	Prac.g_01674
OG0000325	Praf.g_02247	Prac.g_01672
OG0000326	Praf.g_02249	Prac.g_01671
OG0000327	Praf.g_02255	Prac.g_01669
OG0000328	Praf.g_00375	Prac.g_01668
OG0000329	Praf.g_02259	Prac.g_01667
OG0000330	Praf.g_02260	Prac.g_01666
OG0000331	Praf.g_02262	Prac.g_01665
OG0000332	Praf.g_02263	Prac.g_01664
OG0000333	Praf.g_02264	Prac.g_01663
OG0000334	Praf.g_02265	Prac.g_01662
OG0000335	Praf.g_02266	Prac.g_01661
OG0000336	Praf.g_02268	Prac.g_01660
OG0000337	Praf.g_02273	Prac.g_01656
OG0000338	Praf.g_02274	Prac.g_01655
OG0000339	Praf.g_02275	Prac.g_01654
OG0000340	Praf.g_02277	Prac.g_01653
OG0000341	Praf.g_02282	Prac.g_01649
OG0000342	Praf.g_02283	Prac.g_01648
OG0000343	Praf.g_02285	Prac.g_01646
OG0000344	Praf.g_02287	Prac.g_01645
OG0000345	Praf.g_02288	Prac.g_01644
OG0000346	Praf.g_02289	Prac.g_01643
OG0000347	Praf.g_02290	Prac.g_01642
OG0000348	Praf.g_02291	Prac.g_01641
OG0000349	Praf.g_02292	Prac.g_01640
OG0000350	Praf.g_02293	Prac.g_01639
OG0000351	Praf.g_02297	Prac.g_01636
OG0000352	Praf.g_02301	Prac.g_01633
OG0000353	Praf.g_02302	Prac.g_01632
OG0000354	Praf.g_02303	Prac.g_01631
OG0000355	Praf.g_02304	Prac.g_01630
OG0000356	Praf.g_02314	Prac.g_01629
OG0000357	Praf.g_02315	Prac.g_01628
OG0000358	Praf.g_02316	Prac.g_01627
OG0000359	Praf.g_02318	Prac.g_01626
OG0000360	Praf.g_02321	Prac.g_01623
OG0000361	Praf.g_02322	Prac.g_01622
OG0000362	Praf.g_02323	Prac.g_01621
OG0000363	Praf.g_02324	Prac.g_01620
OG0000364	Praf.g_02325	Prac.g_01619
OG0000365	Praf.g_02326	Prac.g_01618
OG0000366	Praf.g_02327	Prac.g_01617
OG0000367	Praf.g_02328	Prac.g_01616
OG0000368	Praf.g_02329	Prac.g_01615
OG0000369	Praf.g_02330	Prac.g_01614
OG0000370	Praf.g_02331	Prac.g_01613
OG0000371	Praf.g_02332	Prac.g_01612
OG0000372	Praf.g_02335	Prac.g_01610
OG0000373	Praf.g_02347	Prac.g_01608
OG0000374	Praf.g_02349	Prac.g_01607
OG0000375	Praf.g_02358	Prac.g_01606
OG0000376	Praf.g_02073	Prac.g_01604
OG0000377	Praf.g_02066	Prac.g_01603
OG0000378	Praf.g_02065	Prac.g_01602
OG0000379	Praf.g_02054	Prac.g_01200
OG0000380	Praf.g_02052	Prac.g_01199
OG0000381	Praf.g_02051	Prac.g_01198
OG0000382	Praf.g_02049	Prac.g_01196
OG0000383	Praf.g_02045	Prac.g_01193
OG0000384	Praf.g_02044	Prac.g_01192
OG0000385	Praf.g_02031	Prac.g_01189
OG0000386	Praf.g_02030	Prac.g_01188
OG0000387	Praf.g_02029	Prac.g_01187
OG0000388	Praf.g_02028	Prac.g_01186
OG0000389	Praf.g_02027	Prac.g_01185
OG0000390	Praf.g_02026	Prac.g_01184
OG0000391	Praf.g_02025	Prac.g_01183
OG0000392	Praf.g_02024	Prac.g_01182
OG0000393	Praf.g_02016	Prac.g_01179
OG0000394	Praf.g_02015	Prac.g_01178
OG0000395	Praf.g_02011	Prac.g_01176
OG0000396	Praf.g_01616	Prac.g_01175
OG0000397	Praf.g_00322	Prac.g_01162
OG0000398	Praf.g_00495	Prac.g_01154
OG0000399	Praf.g_01003	Prac.g_01153
OG0000400	Praf.g_02201	Prac.g_01148
OG0000401	Praf.g_02002	Prac.g_01116
OG0000402	Praf.g_02001	Prac.g_01115
OG0000403	Praf.g_01999	Prac.g_01114
OG0000404	Praf.g_01990	Prac.g_01112
OG0000405	Praf.g_01989	Prac.g_01111
OG0000406	Praf.g_01987	Prac.g_01109
OG0000407	Praf.g_01986	Prac.g_01108
OG0000408	Praf.g_01985	Prac.g_01107
OG0000409	Praf.g_01984	Prac.g_01106
OG0000410	Praf.g_01982	Prac.g_01105
OG0000411	Praf.g_01981	Prac.g_01104
OG0000412	Praf.g_01980	Prac.g_01103
OG0000413	Praf.g_01979	Prac.g_01102
OG0000414	Praf.g_01978	Prac.g_01101
OG0000415	Praf.g_01977	Prac.g_01100
OG0000416	Praf.g_01972	Prac.g_01099
OG0000417	Praf.g_01963	Prac.g_01098
OG0000418	Praf.g_01962	Prac.g_01097
OG0000419	Praf.g_01961	Prac.g_01096
OG0000420	Praf.g_01960	Prac.g_01095
OG0000421	Praf.g_01959	Prac.g_01094
OG0000422	Praf.g_01957	Prac.g_01092
OG0000423	Praf.g_01956	Prac.g_01091
OG0000424	Praf.g_01952	Prac.g_01089
OG0000425	Praf.g_01942	Prac.g_01084
OG0000426	Praf.g_01941	Prac.g_01083
OG0000427	Praf.g_01938	Prac.g_01082
OG0000428	Praf.g_01915	Prac.g_01081
OG0000429	Praf.g_01913	Prac.g_01080
OG0000430	Praf.g_01911	Prac.g_01073
OG0000431	Praf.g_01909	Prac.g_01071
OG0000432	Praf.g_01908	Prac.g_01070
OG0000433	Praf.g_00586	Prac.g_01067
OG0000434	Praf.g_00589	Prac.g_01066
OG0000435	Praf.g_00594	Prac.g_01065
OG0000436	Praf.g_00596	Prac.g_01063
OG0000437	Praf.g_00598	Prac.g_01061
OG0000438	Praf.g_00599	Prac.g_01060
OG0000439	Praf.g_00600	Prac.g_01059
OG0000440	Praf.g_00603	Prac.g_01057
OG0000441	Praf.g_00605	Prac.g_01056
OG0000442	Praf.g_00606	Prac.g_01055
OG0000443	Praf.g_00607	Prac.g_01054
OG0000444	Praf.g_00608	Prac.g_01053
OG0000445	Praf.g_00609	Prac.g_01052
OG0000446	Praf.g_00610	Prac.g_01051
OG0000447	Praf.g_00611	Prac.g_01050
OG0000448	Praf.g_00612	Prac.g_01049
OG0000449	Praf.g_00619	Prac.g_00871
OG0000450	Praf.g_00621	Prac.g_00870
OG0000451	Praf.g_00622	Prac.g_00869
OG0000452	Praf.g_00623	Prac.g_00868
OG0000453	Praf.g_00626	Prac.g_00866
OG0000454	Praf.g_00627	Prac.g_00865
OG0000455	Praf.g_00628	Prac.g_00864
OG0000456	Praf.g_00629	Prac.g_00863
OG0000457	Praf.g_00630	Prac.g_00861
OG0000458	Praf.g_00631	Prac.g_00859
OG0000459	Praf.g_00632	Prac.g_00858
OG0000460	Praf.g_00634	Prac.g_00857
OG0000461	Praf.g_00635	Prac.g_00856
OG0000462	Praf.g_00636	Prac.g_00855
OG0000463	Praf.g_00641	Prac.g_00854
OG0000464	Praf.g_00646	Prac.g_00849
OG0000465	Praf.g_00647	Prac.g_00847
OG0000466	Praf.g_00648	Prac.g_00846
OG0000467	Praf.g_00650	Prac.g_00845
OG0000468	Praf.g_00651	Prac.g_00844
OG0000469	Praf.g_00656	Prac.g_00843
OG0000470	Praf.g_01177	Prac.g_00842
OG0000471	Praf.g_01131	Prac.g_00841
OG0000472	Praf.g_00661	Prac.g_00838
OG0000473	Praf.g_00663	Prac.g_00837
OG0000474	Praf.g_00665	Prac.g_00836
OG0000475	Praf.g_00666	Prac.g_00835
OG0000476	Praf.g_00670	Prac.g_00834
OG0000477	Praf.g_00673	Prac.g_00832
OG0000478	Praf.g_00675	Prac.g_00831
OG0000479	Praf.g_00677	Prac.g_00830
OG0000480	Praf.g_00683	Prac.g_00828
OG0000481	Praf.g_00684	Prac.g_00827
OG0000482	Praf.g_00685	Prac.g_00826
OG0000483	Praf.g_00687	Prac.g_00825
OG0000484	Praf.g_00688	Prac.g_00824
OG0000485	Praf.g_00689	Prac.g_00823
OG0000486	Praf.g_00690	Prac.g_00822
OG0000487	Praf.g_00691	Prac.g_00821
OG0000488	Praf.g_00693	Prac.g_00819
OG0000489	Praf.g_00694	Prac.g_00818
OG0000490	Praf.g_00695	Prac.g_00817
OG0000491	Praf.g_00696	Prac.g_00816
OG0000492	Praf.g_00697	Prac.g_00815
OG0000493	Praf.g_00698	Prac.g_00814
OG0000494	Praf.g_00700	Prac.g_00812
OG0000495	Praf.g_00701	Prac.g_00811
OG0000496	Praf.g_00703	Prac.g_00810
OG0000497	Praf.g_00705	Prac.g_00809
OG0000498	Praf.g_00706	Prac.g_00808
OG0000499	Praf.g_00708	Prac.g_00806
OG0000500	Praf.g_00709	Prac.g_00805
OG0000501	Praf.g_00712	Prac.g_00803
OG0000502	Praf.g_00713	Prac.g_00802
OG0000503	Praf.g_00714	Prac.g_00801
OG0000504	Praf.g_00716	Prac.g_00800
OG0000505	Praf.g_00717	Prac.g_00799
OG0000506	Praf.g_00718	Prac.g_00798
OG0000507	Praf.g_00719	Prac.g_00797
OG0000508	Praf.g_00723	Prac.g_00795
OG0000509	Praf.g_00724	Prac.g_00794
OG0000510	Praf.g_00725	Prac.g_00793
OG0000511	Praf.g_00726	Prac.g_00792
OG0000512	Praf.g_00728	Prac.g_00791
OG0000513	Praf.g_00729	Prac.g_00790
OG0000514	Praf.g_00730	Prac.g_00789
OG0000515	Praf.g_00733	Prac.g_00787
OG0000516	Praf.g_00734	Prac.g_00786
OG0000517	Praf.g_00735	Prac.g_00785
OG0000518	Praf.g_00739	Prac.g_00782
OG0000519	Praf.g_00740	Prac.g_00780
OG0000520	Praf.g_00741	Prac.g_00779
OG0000521	Praf.g_00742	Prac.g_00778
OG0000522	Praf.g_00749	Prac.g_00777
OG0000523	Praf.g_00750	Prac.g_00776
OG0000524	Praf.g_00751	Prac.g_00775
OG0000525	Praf.g_00753	Prac.g_00772
OG0000526	Praf.g_00754	Prac.g_00771
OG0000527	Praf.g_00755	Prac.g_00770
OG0000528	Praf.g_00756	Prac.g_00769
OG0000529	Praf.g_00757	Prac.g_00768
OG0000530	Praf.g_00758	Prac.g_00767
OG0000531	Praf.g_00761	Prac.g_00766
OG0000532	Praf.g_00763	Prac.g_00765
OG0000533	Praf.g_00764	Prac.g_00764
OG0000534	Praf.g_00765	Prac.g_00763
OG0000535	Praf.g_00766	Prac.g_00762
OG0000536	Praf.g_00767	Prac.g_00761
OG0000537	Praf.g_00768	Prac.g_00760
OG0000538	Praf.g_00769	Prac.g_00759
OG0000539	Praf.g_00771	Prac.g_00758
OG0000540	Praf.g_00773	Prac.g_00757
OG0000541	Praf.g_01659	Prac.g_00756
OG0000542	Praf.g_01661	Prac.g_00755
OG0000543	Praf.g_01662	Prac.g_00754
OG0000544	Praf.g_01663	Prac.g_00753
OG0000545	Praf.g_01666	Prac.g_00750
OG0000546	Praf.g_01667	Prac.g_00749
OG0000547	Praf.g_01669	Prac.g_00747
OG0000548	Praf.g_01674	Prac.g_00746
OG0000549	Praf.g_01675	Prac.g_00745
OG0000550	Praf.g_01676	Prac.g_00744
OG0000551	Praf.g_01680	Prac.g_00743
OG0000552	Praf.g_01684	Prac.g_00742
OG0000553	Praf.g_01685	Prac.g_00741
OG0000554	Praf.g_01687	Prac.g_00740
OG0000555	Praf.g_01688	Prac.g_00739
OG0000556	Praf.g_01689	Prac.g_00738
OG0000557	Praf.g_01690	Prac.g_00737
OG0000558	Praf.g_01692	Prac.g_00736
OG0000559	Praf.g_01693	Prac.g_00735
OG0000560	Praf.g_01695	Prac.g_00733
OG0000561	Praf.g_01696	Prac.g_00732
OG0000562	Praf.g_01698	Prac.g_00731
OG0000563	Praf.g_01699	Prac.g_00730
OG0000564	Praf.g_01700	Prac.g_00729
OG0000565	Praf.g_01708	Prac.g_00728
OG0000566	Praf.g_01709	Prac.g_00727
OG0000567	Praf.g_01710	Prac.g_00726
OG0000568	Praf.g_01711	Prac.g_00725
OG0000569	Praf.g_01713	Prac.g_00724
OG0000570	Praf.g_01716	Prac.g_00723
OG0000571	Praf.g_01717	Prac.g_00722
OG0000572	Praf.g_01718	Prac.g_00721
OG0000573	Praf.g_01722	Prac.g_00718
OG0000574	Praf.g_01727	Prac.g_00717
OG0000575	Praf.g_01728	Prac.g_00716
OG0000576	Praf.g_01729	Prac.g_00715
OG0000577	Praf.g_01730	Prac.g_00714
OG0000578	Praf.g_01731	Prac.g_00713
OG0000579	Praf.g_01733	Prac.g_00712
OG0000580	Praf.g_01736	Prac.g_00711
OG0000581	Praf.g_01737	Prac.g_00710
OG0000582	Praf.g_01738	Prac.g_00709
