Orthogroup	Praf	Prbf
OG0000112	Praf.g_01035, Praf.g_01721	Prbf.g_01000
OG0000113	Praf.g_00144, Praf.g_01435	Prbf.g_01050
OG0000114	Praf.g_01528	Prbf.g_01247
OG0000115	Praf.g_01392	Prbf.g_01117
OG0000116	Praf.g_01383, Praf.g_01384	Prbf.g_01113
OG0000117	Praf.g_01277	Prbf.g_01167
OG0000118	Praf.g_02776	Prbf.g_00873
OG0000119	Praf.g_02692	Prbf.g_00785
OG0000120	Praf.g_00861	Prbf.g_00924
OG0000121	Praf.g_00922	Prbf.g_00947
OG0000122	Praf.g_00901	Prbf.g_00967
OG0000123	Praf.g_00938	Prbf.g_01915
OG0000124	Praf.g_01285	Prbf.g_00253
OG0000125	Praf.g_00779	Prbf.g_00013
OG0000126	Praf.g_00585, Praf.g_00583	Prbf.g_00095
OG0000127	Praf.g_01778, Praf.g_01776	Prbf.g_00145
OG0000128	Praf.g_01795	Prbf.g_00158
OG0000129	Praf.g_01848	Prbf.g_00194
OG0000130	Praf.g_00485	Prbf.g_00696
OG0000131	Praf.g_00437	Prbf.g_00657
OG0000132	Praf.g_00434	Prbf.g_00654
OG0000133	Praf.g_02162	Prbf.g_00600
OG0000134	Praf.g_02125	Prbf.g_00564
OG0000135	Praf.g_02123	Prbf.g_00562
OG0000136	Praf.g_02396	Prbf.g_00512
OG0000137	Praf.g_00152	Prbf.g_00477
OG0000138	Praf.g_02664	Prbf.g_00443
OG0000139	Praf.g_02757	Prbf.g_00412
OG0000140	Praf.g_00001	Prbf.g_00392
OG0000141	Praf.g_00002	Prbf.g_00391
OG0000142	Praf.g_00004	Prbf.g_00389
OG0000143	Praf.g_00005	Prbf.g_00388
OG0000144	Praf.g_00007	Prbf.g_00386
OG0000145	Praf.g_00009	Prbf.g_00385
OG0000146	Praf.g_00010	Prbf.g_00384
OG0000147	Praf.g_00011	Prbf.g_00383
OG0000148	Praf.g_00013	Prbf.g_00381
OG0000149	Praf.g_00015	Prbf.g_01336
OG0000150	Praf.g_00016	Prbf.g_01337
OG0000151	Praf.g_00021	Prbf.g_01338
OG0000152	Praf.g_00022	Prbf.g_01339
OG0000153	Praf.g_00023	Prbf.g_01340
OG0000154	Praf.g_00024	Prbf.g_01341
OG0000155	Praf.g_00025	Prbf.g_01342
OG0000156	Praf.g_00026	Prbf.g_01343
OG0000157	Praf.g_00027	Prbf.g_01344
OG0000158	Praf.g_00029	Prbf.g_01346
OG0000159	Praf.g_00030	Prbf.g_01347
OG0000160	Praf.g_00031	Prbf.g_01348
OG0000161	Praf.g_00032	Prbf.g_01349
OG0000162	Praf.g_00033	Prbf.g_01350
OG0000163	Praf.g_00035	Prbf.g_01352
OG0000164	Praf.g_00040	Prbf.g_01355
OG0000165	Praf.g_00045	Prbf.g_01358
OG0000166	Praf.g_00046	Prbf.g_01359
OG0000167	Praf.g_00047	Prbf.g_01360
OG0000168	Praf.g_00050	Prbf.g_01362
OG0000169	Praf.g_00052	Prbf.g_01364
OG0000170	Praf.g_02654	Prbf.g_01366
OG0000171	Praf.g_02652	Prbf.g_01367
OG0000172	Praf.g_02618	Prbf.g_01368
OG0000173	Praf.g_02611	Prbf.g_01371
OG0000174	Praf.g_02605	Prbf.g_01372
OG0000175	Praf.g_02603	Prbf.g_01373
OG0000176	Praf.g_02601	Prbf.g_01375
OG0000177	Praf.g_02597	Prbf.g_01376
OG0000178	Praf.g_02596	Prbf.g_01378
OG0000179	Praf.g_00328	Prbf.g_01390
OG0000180	Praf.g_00326	Prbf.g_01391
OG0000181	Praf.g_00325	Prbf.g_01392
OG0000182	Praf.g_00321	Prbf.g_01396
OG0000183	Praf.g_00320	Prbf.g_01397
OG0000184	Praf.g_00316	Prbf.g_01400
OG0000185	Praf.g_00310	Prbf.g_01404
OG0000186	Praf.g_00309	Prbf.g_01405
OG0000187	Praf.g_00962	Prbf.g_00291
OG0000188	Praf.g_00308	Prbf.g_01406
OG0000189	Praf.g_00304	Prbf.g_01407
OG0000190	Praf.g_00303	Prbf.g_01408
OG0000191	Praf.g_00302	Prbf.g_01409
OG0000192	Praf.g_00301	Prbf.g_01410
OG0000193	Praf.g_00300	Prbf.g_01411
OG0000194	Praf.g_00299	Prbf.g_01412
OG0000195	Praf.g_00297	Prbf.g_01414
OG0000196	Praf.g_00296	Prbf.g_01415
OG0000197	Praf.g_00268	Prbf.g_01416
OG0000198	Praf.g_00264	Prbf.g_01417
OG0000199	Praf.g_00259	Prbf.g_01420
OG0000200	Praf.g_00258	Prbf.g_01421
OG0000201	Praf.g_00257	Prbf.g_01422
OG0000202	Praf.g_00255	Prbf.g_01424
OG0000203	Praf.g_00254	Prbf.g_01425
OG0000204	Praf.g_00253	Prbf.g_01426
OG0000205	Praf.g_00251	Prbf.g_01428
OG0000206	Praf.g_00250	Prbf.g_01429
OG0000207	Praf.g_00249	Prbf.g_01430
OG0000208	Praf.g_00248	Prbf.g_01431
OG0000209	Praf.g_00247	Prbf.g_01432
OG0000210	Praf.g_00245	Prbf.g_01433
OG0000211	Praf.g_00244	Prbf.g_01435
OG0000212	Praf.g_00243	Prbf.g_01436
OG0000213	Praf.g_00240	Prbf.g_01437
OG0000214	Praf.g_00230	Prbf.g_01441
OG0000215	Praf.g_00225	Prbf.g_01442
OG0000216	Praf.g_00223	Prbf.g_01444
OG0000217	Praf.g_00221	Prbf.g_01445
OG0000218	Praf.g_00219	Prbf.g_01446
OG0000219	Praf.g_00218	Prbf.g_01447
OG0000220	Praf.g_00214	Prbf.g_01450
OG0000221	Praf.g_00209	Prbf.g_01453
OG0000222	Praf.g_00208	Prbf.g_01454
OG0000223	Praf.g_00207	Prbf.g_01455
OG0000224	Praf.g_02403	Prbf.g_01457
OG0000225	Praf.g_02405	Prbf.g_01459
OG0000226	Praf.g_02408	Prbf.g_01461
OG0000227	Praf.g_02410	Prbf.g_01462
OG0000228	Praf.g_02411	Prbf.g_01463
OG0000229	Praf.g_02412	Prbf.g_01464
OG0000230	Praf.g_02413	Prbf.g_01465
OG0000231	Praf.g_02415	Prbf.g_01055
OG0000232	Praf.g_02416	Prbf.g_01467
OG0000233	Praf.g_02421	Prbf.g_01470
OG0000234	Praf.g_02430	Prbf.g_01472
OG0000235	Praf.g_02432	Prbf.g_01478
OG0000236	Praf.g_02433	Prbf.g_01479
OG0000237	Praf.g_02434	Prbf.g_01480
OG0000238	Praf.g_02435	Prbf.g_01481
OG0000239	Praf.g_02436	Prbf.g_01482
OG0000240	Praf.g_02438	Prbf.g_01484
OG0000241	Praf.g_02439	Prbf.g_01485
OG0000242	Praf.g_02440	Prbf.g_01486
OG0000243	Praf.g_02441	Prbf.g_01487
OG0000244	Praf.g_02442	Prbf.g_01488
OG0000245	Praf.g_02444	Prbf.g_01490
OG0000246	Praf.g_02446	Prbf.g_01492
OG0000247	Praf.g_02447	Prbf.g_01493
OG0000248	Praf.g_02448	Prbf.g_01494
OG0000249	Praf.g_02449	Prbf.g_01495
OG0000250	Praf.g_02450	Prbf.g_01496
OG0000251	Praf.g_02451	Prbf.g_01497
OG0000252	Praf.g_02452	Prbf.g_01498
OG0000253	Praf.g_02453	Prbf.g_01499
OG0000254	Praf.g_02455	Prbf.g_01501
OG0000255	Praf.g_02456	Prbf.g_01502
OG0000256	Praf.g_02469	Prbf.g_01505
OG0000257	Praf.g_02470	Prbf.g_01507
OG0000258	Praf.g_02471	Prbf.g_01508
OG0000259	Praf.g_02472	Prbf.g_01509
OG0000260	Praf.g_02473	Prbf.g_01510
OG0000261	Praf.g_02474	Prbf.g_01511
OG0000262	Praf.g_02475	Prbf.g_01512
OG0000263	Praf.g_02476	Prbf.g_01513
OG0000264	Praf.g_01486	Prbf.g_01515
OG0000265	Praf.g_02489	Prbf.g_01516
OG0000266	Praf.g_02491	Prbf.g_01517
OG0000267	Praf.g_02495	Prbf.g_01519
OG0000268	Praf.g_02497	Prbf.g_01521
OG0000269	Praf.g_02500	Prbf.g_01522
OG0000270	Praf.g_02502	Prbf.g_01523
OG0000271	Praf.g_02505	Prbf.g_01524
OG0000272	Praf.g_02506	Prbf.g_01525
OG0000273	Praf.g_02509	Prbf.g_01526
OG0000274	Praf.g_02511	Prbf.g_01527
OG0000275	Praf.g_02512	Prbf.g_01528
OG0000276	Praf.g_02513	Prbf.g_01529
OG0000277	Praf.g_02514	Prbf.g_01530
OG0000278	Praf.g_02515	Prbf.g_01531
OG0000279	Praf.g_02516	Prbf.g_01532
OG0000280	Praf.g_02517	Prbf.g_01533
OG0000281	Praf.g_02519	Prbf.g_01535
OG0000282	Praf.g_02520	Prbf.g_01536
OG0000283	Praf.g_02524	Prbf.g_01539
OG0000284	Praf.g_02525	Prbf.g_01540
OG0000285	Praf.g_02531	Prbf.g_01541
OG0000286	Praf.g_02533	Prbf.g_01543
OG0000287	Praf.g_02582	Prbf.g_01545
OG0000288	Praf.g_02581	Prbf.g_01546
OG0000289	Praf.g_02575	Prbf.g_01547
OG0000290	Praf.g_02574	Prbf.g_01548
OG0000291	Praf.g_02572	Prbf.g_01549
OG0000292	Praf.g_02568	Prbf.g_01550
OG0000293	Praf.g_02567	Prbf.g_01551
OG0000294	Praf.g_02566	Prbf.g_01552
OG0000295	Praf.g_02560	Prbf.g_01553
OG0000296	Praf.g_02559	Prbf.g_01554
OG0000297	Praf.g_02557	Prbf.g_01555
OG0000298	Praf.g_02556	Prbf.g_01556
OG0000299	Praf.g_02555	Prbf.g_01557
OG0000300	Praf.g_02554	Prbf.g_01558
OG0000301	Praf.g_02553	Prbf.g_01559
OG0000302	Praf.g_02552	Prbf.g_01560
OG0000303	Praf.g_02551	Prbf.g_01561
OG0000304	Praf.g_02549	Prbf.g_01563
OG0000305	Praf.g_02548	Prbf.g_01564
OG0000306	Praf.g_02547	Prbf.g_01565
OG0000307	Praf.g_00374	Prbf.g_01567
OG0000308	Praf.g_00745	Prbf.g_01568
OG0000309	Praf.g_00744	Prbf.g_01569
OG0000310	Praf.g_00743	Prbf.g_01570
OG0000311	Praf.g_00378	Prbf.g_01571
OG0000312	Praf.g_00379	Prbf.g_01573
OG0000313	Praf.g_00385	Prbf.g_01574
OG0000314	Praf.g_00391	Prbf.g_01578
OG0000315	Praf.g_00392	Prbf.g_01579
OG0000316	Praf.g_02203	Prbf.g_01581
OG0000317	Praf.g_02207	Prbf.g_01583
OG0000318	Praf.g_02208	Prbf.g_01584
OG0000319	Praf.g_02209	Prbf.g_01585
OG0000320	Praf.g_02210	Prbf.g_01586
OG0000321	Praf.g_02215	Prbf.g_01589
OG0000322	Praf.g_02242	Prbf.g_01593
OG0000323	Praf.g_02243	Prbf.g_01594
OG0000324	Praf.g_02245	Prbf.g_01597
OG0000325	Praf.g_02247	Prbf.g_01598
OG0000326	Praf.g_02249	Prbf.g_01599
OG0000327	Praf.g_02255	Prbf.g_01601
OG0000328	Praf.g_00375	Prbf.g_01602
OG0000329	Praf.g_02259	Prbf.g_01603
OG0000330	Praf.g_02260	Prbf.g_01604
OG0000331	Praf.g_02262	Prbf.g_01606
OG0000332	Praf.g_02263	Prbf.g_01607
OG0000333	Praf.g_02264	Prbf.g_01608
OG0000334	Praf.g_02265	Prbf.g_01609
OG0000335	Praf.g_02266	Prbf.g_01610
OG0000336	Praf.g_02268	Prbf.g_01612
OG0000337	Praf.g_02273	Prbf.g_01615
OG0000338	Praf.g_02274	Prbf.g_01616
OG0000339	Praf.g_02275	Prbf.g_01617
OG0000340	Praf.g_02277	Prbf.g_01618
OG0000341	Praf.g_02282	Prbf.g_01622
OG0000342	Praf.g_02283	Prbf.g_01623
OG0000343	Praf.g_02285	Prbf.g_01626
OG0000344	Praf.g_02287	Prbf.g_01627
OG0000345	Praf.g_02288	Prbf.g_01628
OG0000346	Praf.g_02289	Prbf.g_01629
OG0000347	Praf.g_02290	Prbf.g_01630
OG0000348	Praf.g_02291	Prbf.g_01632
OG0000349	Praf.g_02292	Prbf.g_01633
OG0000350	Praf.g_02293	Prbf.g_01634
OG0000351	Praf.g_02297	Prbf.g_01636
OG0000352	Praf.g_02301	Prbf.g_01639
OG0000353	Praf.g_02302	Prbf.g_01640
OG0000354	Praf.g_02303	Prbf.g_01641
OG0000355	Praf.g_02304	Prbf.g_01642
OG0000356	Praf.g_02314	Prbf.g_01643
OG0000357	Praf.g_02315	Prbf.g_01644
OG0000358	Praf.g_02316	Prbf.g_01645
OG0000359	Praf.g_02318	Prbf.g_01646
OG0000360	Praf.g_02321	Prbf.g_01648
OG0000361	Praf.g_02322	Prbf.g_01649
OG0000362	Praf.g_02323	Prbf.g_01650
OG0000363	Praf.g_02324	Prbf.g_01651
OG0000364	Praf.g_02325	Prbf.g_01652
OG0000365	Praf.g_02326	Prbf.g_01653
OG0000366	Praf.g_02327	Prbf.g_01654
OG0000367	Praf.g_02328	Prbf.g_01655
OG0000368	Praf.g_02329	Prbf.g_01656
OG0000369	Praf.g_02330	Prbf.g_01657
OG0000370	Praf.g_02331	Prbf.g_01658
OG0000371	Praf.g_02332	Prbf.g_01659
OG0000372	Praf.g_02335	Prbf.g_01660
OG0000373	Praf.g_02347	Prbf.g_01662
OG0000374	Praf.g_02349	Prbf.g_01663
OG0000375	Praf.g_02358	Prbf.g_01664
OG0000376	Praf.g_02073	Prbf.g_01665
OG0000377	Praf.g_02066	Prbf.g_01671
OG0000378	Praf.g_02065	Prbf.g_01672
OG0000379	Praf.g_02054	Prbf.g_01678
OG0000380	Praf.g_02052	Prbf.g_01680
OG0000381	Praf.g_02051	Prbf.g_01681
OG0000382	Praf.g_02049	Prbf.g_01682
OG0000383	Praf.g_02045	Prbf.g_01685
OG0000384	Praf.g_02044	Prbf.g_01686
OG0000385	Praf.g_02031	Prbf.g_01689
OG0000386	Praf.g_02030	Prbf.g_01690
OG0000387	Praf.g_02029	Prbf.g_01691
OG0000388	Praf.g_02028	Prbf.g_01692
OG0000389	Praf.g_02027	Prbf.g_01693
OG0000390	Praf.g_02026	Prbf.g_01694
OG0000391	Praf.g_02025	Prbf.g_01695
OG0000392	Praf.g_02024	Prbf.g_01696
OG0000393	Praf.g_02016	Prbf.g_01700
OG0000394	Praf.g_02015	Prbf.g_01701
OG0000395	Praf.g_02011	Prbf.g_01704
OG0000396	Praf.g_01616	Prbf.g_01190
OG0000397	Praf.g_00322	Prbf.g_00874
OG0000398	Praf.g_00495	Prbf.g_00741
OG0000399	Praf.g_01003	Prbf.g_00879
OG0000400	Praf.g_02201	Prbf.g_00629
OG0000401	Praf.g_02002	Prbf.g_01715
OG0000402	Praf.g_02001	Prbf.g_01716
OG0000403	Praf.g_01999	Prbf.g_01717
OG0000404	Praf.g_01990	Prbf.g_01719
OG0000405	Praf.g_01989	Prbf.g_01720
OG0000406	Praf.g_01987	Prbf.g_01722
OG0000407	Praf.g_01986	Prbf.g_01723
OG0000408	Praf.g_01985	Prbf.g_01724
OG0000409	Praf.g_01984	Prbf.g_01725
OG0000410	Praf.g_01982	Prbf.g_01726
OG0000411	Praf.g_01981	Prbf.g_01727
OG0000412	Praf.g_01980	Prbf.g_01728
OG0000413	Praf.g_01979	Prbf.g_01729
OG0000414	Praf.g_01978	Prbf.g_01730
OG0000415	Praf.g_01977	Prbf.g_01731
OG0000416	Praf.g_01972	Prbf.g_01732
OG0000417	Praf.g_01963	Prbf.g_01733
OG0000418	Praf.g_01962	Prbf.g_01734
OG0000419	Praf.g_01961	Prbf.g_01735
OG0000420	Praf.g_01960	Prbf.g_01736
OG0000421	Praf.g_01959	Prbf.g_01740
OG0000422	Praf.g_01957	Prbf.g_01742
OG0000423	Praf.g_01956	Prbf.g_01743
OG0000424	Praf.g_01952	Prbf.g_01744
OG0000425	Praf.g_01942	Prbf.g_01748
OG0000426	Praf.g_01941	Prbf.g_01749
OG0000427	Praf.g_01938	Prbf.g_01750
OG0000428	Praf.g_01915	Prbf.g_01752
OG0000429	Praf.g_01913	Prbf.g_01753
OG0000430	Praf.g_01911	Prbf.g_01754
OG0000431	Praf.g_01909	Prbf.g_01756
OG0000432	Praf.g_01908	Prbf.g_01757
OG0000433	Praf.g_00586	Prbf.g_01760
OG0000434	Praf.g_00589	Prbf.g_01761
OG0000435	Praf.g_00594	Prbf.g_01762
OG0000436	Praf.g_00596	Prbf.g_01764
OG0000437	Praf.g_00598	Prbf.g_01766
OG0000438	Praf.g_00599	Prbf.g_01767
OG0000439	Praf.g_00600	Prbf.g_01768
OG0000440	Praf.g_00603	Prbf.g_01770
OG0000441	Praf.g_00605	Prbf.g_01771
OG0000442	Praf.g_00606	Prbf.g_01772
OG0000443	Praf.g_00607	Prbf.g_01773
OG0000444	Praf.g_00608	Prbf.g_01774
OG0000445	Praf.g_00609	Prbf.g_01775
OG0000446	Praf.g_00610	Prbf.g_01776
OG0000447	Praf.g_00611	Prbf.g_01777
OG0000448	Praf.g_00612	Prbf.g_01778
OG0000449	Praf.g_00619	Prbf.g_01784
OG0000450	Praf.g_00621	Prbf.g_01785
OG0000451	Praf.g_00622	Prbf.g_01786
OG0000452	Praf.g_00623	Prbf.g_01787
OG0000453	Praf.g_00626	Prbf.g_01788
OG0000454	Praf.g_00627	Prbf.g_01789
OG0000455	Praf.g_00628	Prbf.g_01790
OG0000456	Praf.g_00629	Prbf.g_01791
OG0000457	Praf.g_00630	Prbf.g_01793
OG0000458	Praf.g_00631	Prbf.g_01795
OG0000459	Praf.g_00632	Prbf.g_01796
OG0000460	Praf.g_00634	Prbf.g_01798
OG0000461	Praf.g_00635	Prbf.g_01799
OG0000462	Praf.g_00636	Prbf.g_01800
OG0000463	Praf.g_00641	Prbf.g_01801
OG0000464	Praf.g_00646	Prbf.g_01805
OG0000465	Praf.g_00647	Prbf.g_01806
OG0000466	Praf.g_00648	Prbf.g_01807
OG0000467	Praf.g_00650	Prbf.g_01808
OG0000468	Praf.g_00651	Prbf.g_01809
OG0000469	Praf.g_00656	Prbf.g_01810
OG0000470	Praf.g_01177	Prbf.g_01811
OG0000471	Praf.g_01131	Prbf.g_01812
OG0000472	Praf.g_00661	Prbf.g_01815
OG0000473	Praf.g_00663	Prbf.g_01816
OG0000474	Praf.g_00665	Prbf.g_01817
OG0000475	Praf.g_00666	Prbf.g_01818
OG0000476	Praf.g_00670	Prbf.g_01819
OG0000477	Praf.g_00673	Prbf.g_01821
OG0000478	Praf.g_00675	Prbf.g_01822
OG0000479	Praf.g_00677	Prbf.g_01823
OG0000480	Praf.g_00683	Prbf.g_01825
OG0000481	Praf.g_00684	Prbf.g_01826
OG0000482	Praf.g_00685	Prbf.g_01827
OG0000483	Praf.g_00687	Prbf.g_01828
OG0000484	Praf.g_00688	Prbf.g_01829
OG0000485	Praf.g_00689	Prbf.g_01830
OG0000486	Praf.g_00690	Prbf.g_01831
OG0000487	Praf.g_00691	Prbf.g_01832
OG0000488	Praf.g_00693	Prbf.g_01834
OG0000489	Praf.g_00694	Prbf.g_01835
OG0000490	Praf.g_00695	Prbf.g_01836
OG0000491	Praf.g_00696	Prbf.g_01837
OG0000492	Praf.g_00697	Prbf.g_01838
OG0000493	Praf.g_00698	Prbf.g_01839
OG0000494	Praf.g_00700	Prbf.g_01840
OG0000495	Praf.g_00701	Prbf.g_01841
OG0000496	Praf.g_00703	Prbf.g_01843
OG0000497	Praf.g_00705	Prbf.g_01845
OG0000498	Praf.g_00706	Prbf.g_01846
OG0000499	Praf.g_00708	Prbf.g_01848
OG0000500	Praf.g_00709	Prbf.g_01849
OG0000501	Praf.g_00712	Prbf.g_01851
OG0000502	Praf.g_00713	Prbf.g_01852
OG0000503	Praf.g_00714	Prbf.g_01853
OG0000504	Praf.g_00716	Prbf.g_01854
OG0000505	Praf.g_00717	Prbf.g_01855
OG0000506	Praf.g_00718	Prbf.g_01856
OG0000507	Praf.g_00719	Prbf.g_01857
OG0000508	Praf.g_00723	Prbf.g_01859
OG0000509	Praf.g_00724	Prbf.g_01860
OG0000510	Praf.g_00725	Prbf.g_01861
OG0000511	Praf.g_00726	Prbf.g_01862
OG0000512	Praf.g_00728	Prbf.g_01863
OG0000513	Praf.g_00729	Prbf.g_01864
OG0000514	Praf.g_00730	Prbf.g_01865
OG0000515	Praf.g_00733	Prbf.g_01868
OG0000516	Praf.g_00734	Prbf.g_01869
OG0000517	Praf.g_00735	Prbf.g_01870
OG0000518	Praf.g_00739	Prbf.g_01873
OG0000519	Praf.g_00740	Prbf.g_01874
OG0000520	Praf.g_00741	Prbf.g_01875
OG0000521	Praf.g_00742	Prbf.g_01876
OG0000522	Praf.g_00749	Prbf.g_01877
OG0000523	Praf.g_00750	Prbf.g_01878
OG0000524	Praf.g_00751	Prbf.g_01879
OG0000525	Praf.g_00753	Prbf.g_01881
OG0000526	Praf.g_00754	Prbf.g_01882
OG0000527	Praf.g_00755	Prbf.g_01883
OG0000528	Praf.g_00756	Prbf.g_01884
OG0000529	Praf.g_00757	Prbf.g_01885
OG0000530	Praf.g_00758	Prbf.g_01886
OG0000531	Praf.g_00761	Prbf.g_01888
OG0000532	Praf.g_00763	Prbf.g_01889
OG0000533	Praf.g_00764	Prbf.g_01890
OG0000534	Praf.g_00765	Prbf.g_01891
OG0000535	Praf.g_00766	Prbf.g_01892
OG0000536	Praf.g_00767	Prbf.g_01893
OG0000537	Praf.g_00768	Prbf.g_01894
OG0000538	Praf.g_00769	Prbf.g_01895
OG0000539	Praf.g_00771	Prbf.g_01896
OG0000540	Praf.g_00773	Prbf.g_01897
OG0000541	Praf.g_01659	Prbf.g_01898
OG0000542	Praf.g_01661	Prbf.g_01899
OG0000543	Praf.g_01662	Prbf.g_01900
OG0000544	Praf.g_01663	Prbf.g_01901
OG0000545	Praf.g_01666	Prbf.g_01903
OG0000546	Praf.g_01667	Prbf.g_01904
OG0000547	Praf.g_01669	Prbf.g_01906
OG0000548	Praf.g_01674	Prbf.g_01908
OG0000549	Praf.g_01675	Prbf.g_01909
OG0000550	Praf.g_01676	Prbf.g_01910
OG0000551	Praf.g_01680	Prbf.g_01912
OG0000552	Praf.g_01684	Prbf.g_01913
OG0000553	Praf.g_01685	Prbf.g_00977
OG0000554	Praf.g_01687	Prbf.g_00978
OG0000555	Praf.g_01688	Prbf.g_00979
OG0000556	Praf.g_01689	Prbf.g_00980
OG0000557	Praf.g_01690	Prbf.g_00981
OG0000558	Praf.g_01692	Prbf.g_00982
OG0000559	Praf.g_01693	Prbf.g_00983
OG0000560	Praf.g_01695	Prbf.g_00985
