Orthogroup	Praf	Prar
OG0000044	Praf.g_00854	Prar.g_01263
OG0000045	Praf.g_02345	Prar.g_00870, Prar.g_00362
OG0000046	Praf.g_00491	Prar.g_01150
OG0000047	Praf.g_00178	Prar.g_00653, Prar.g_00592
OG0000048	Praf.g_00920, Praf.g_00164	Prar.g_00660
OG0000050	Praf.g_00037	Prar.g_00007
OG0000051	Praf.g_02445	Prar.g_00170, Prar.g_01569
OG0000052	Praf.g_00496	Prar.g_00431
OG0000053	Praf.g_00672	Prar.g_01369
OG0000054	Praf.g_00348	Prar.g_01644
OG0000055	Praf.g_01556	Prar.g_01706
OG0000056	Praf.g_02587	Prar.g_01307
OG0000057	Praf.g_00386	Prar.g_00090
OG0000058	Praf.g_01907	Prar.g_00525
OG0000059	Praf.g_01125	Prar.g_01528
OG0000062	Praf.g_01034, Praf.g_02690	Prar.g_01296
OG0000063	Praf.g_00919	Prar.g_01003
OG0000065	Praf.g_00796	Prar.g_00955
OG0000066	Praf.g_02343	Prar.g_00880
OG0000068	Praf.g_02119	Prar.g_01027
OG0000069	Praf.g_02346, Praf.g_01851	Prar.g_00886
OG0000070	Praf.g_02620, Praf.g_01880, Praf.g_02641, Praf.g_02639, Praf.g_01881, Praf.g_01964, Praf.g_01879, Praf.g_01191, Praf.g_02084, Praf.g_01648	Prar.g_00932
OG0000071	Praf.g_00012	Prar.g_00027
OG0000072	Praf.g_02336	Prar.g_00265
OG0000073	Praf.g_01012, Praf.g_01748	Prar.g_01499
OG0000074	Praf.g_01218, Praf.g_01219	Prar.g_01521
OG0000075	Praf.g_01537	Prar.g_01691
OG0000076	Praf.g_01274	Prar.g_01904
OG0000078	Praf.g_02342	Prar.g_00872
OG0000079	Praf.g_00501	Prar.g_00769
OG0000080	Praf.g_00549	Prar.g_01166
OG0000081	Praf.g_02382, Praf.g_02380, Praf.g_02378	Prar.g_00627
OG0000082	Praf.g_02699	Prar.g_00072
OG0000083	Praf.g_00003	Prar.g_00035
OG0000084	Praf.g_00006	Prar.g_00032
OG0000085	Praf.g_00028	Prar.g_00015
OG0000087	Praf.g_00333, Praf.g_02602	Prar.g_00570
OG0000088	Praf.g_00224	Prar.g_00215
OG0000089	Praf.g_00212	Prar.g_00207
OG0000090	Praf.g_02420	Prar.g_00189
OG0000091	Praf.g_02457	Prar.g_00158
OG0000092	Praf.g_02468	Prar.g_00157
OG0000093	Praf.g_02711, Praf.g_02492	Prar.g_00143
OG0000094	Praf.g_02708, Praf.g_02521	Prar.g_00125
OG0000095	Praf.g_02532	Prar.g_00120
OG0000096	Praf.g_02217	Prar.g_00076
OG0000097	Praf.g_02271	Prar.g_00313
OG0000098	Praf.g_02284	Prar.g_00303
OG0000099	Praf.g_02296	Prar.g_00293
OG0000100	Praf.g_02300	Prar.g_01154
OG0000101	Praf.g_02012	Prar.g_00417
OG0000102	Praf.g_02715, Praf.g_02705	Prar.g_00444
OG0000103	Praf.g_01905	Prar.g_00526
OG0000104	Praf.g_00595	Prar.g_00530
OG0000105	Praf.g_00143, Praf.g_00616	Prar.g_01330
OG0000106	Praf.g_00658	Prar.g_01362
OG0000107	Praf.g_00660	Prar.g_01363
OG0000108	Praf.g_00681	Prar.g_01373
OG0000109	Praf.g_00692	Prar.g_01382
OG0000110	Praf.g_00711	Prar.g_01398
OG0000111	Praf.g_01036, Praf.g_01720	Prar.g_01481
OG0000112	Praf.g_01035, Praf.g_01721	Prar.g_01482
OG0000113	Praf.g_00144, Praf.g_01435	Prar.g_01621
OG0000114	Praf.g_01528	Prar.g_01682
OG0000115	Praf.g_01392	Prar.g_01833
OG0000116	Praf.g_01383, Praf.g_01384	Prar.g_01837
OG0000117	Praf.g_01277	Prar.g_01901
OG0000118	Praf.g_02776	Prar.g_01953
OG0000119	Praf.g_02692	Prar.g_01293
OG0000120	Praf.g_00861	Prar.g_01257
OG0000121	Praf.g_00922	Prar.g_01238
OG0000122	Praf.g_00901	Prar.g_01219
OG0000123	Praf.g_00938	Prar.g_01206
OG0000124	Praf.g_01285	Prar.g_00376
OG0000125	Praf.g_00779	Prar.g_00943
OG0000126	Praf.g_00585, Praf.g_00583	Prar.g_00911
OG0000127	Praf.g_01778, Praf.g_01776	Prar.g_00352
OG0000128	Praf.g_01795	Prar.g_00338
OG0000129	Praf.g_01848	Prar.g_00810
OG0000130	Praf.g_00485	Prar.g_01145
OG0000131	Praf.g_00437	Prar.g_01959
OG0000132	Praf.g_00434	Prar.g_00595
OG0000133	Praf.g_02162	Prar.g_01068
OG0000134	Praf.g_02125	Prar.g_01032
OG0000135	Praf.g_02123	Prar.g_01030
OG0000136	Praf.g_02396	Prar.g_00638
OG0000137	Praf.g_00152	Prar.g_00669
OG0000138	Praf.g_02664	Prar.g_00704
OG0000139	Praf.g_02757	Prar.g_00055
OG0000140	Praf.g_00001	Prar.g_00037
OG0000141	Praf.g_00002	Prar.g_00036
OG0000142	Praf.g_00004	Prar.g_00034
OG0000143	Praf.g_00005	Prar.g_00033
OG0000144	Praf.g_00007	Prar.g_00031
OG0000145	Praf.g_00009	Prar.g_00030
OG0000146	Praf.g_00010	Prar.g_00029
OG0000147	Praf.g_00011	Prar.g_00028
OG0000148	Praf.g_00013	Prar.g_00026
OG0000149	Praf.g_00015	Prar.g_00024
OG0000150	Praf.g_00016	Prar.g_00023
OG0000151	Praf.g_00021	Prar.g_00022
OG0000152	Praf.g_00022	Prar.g_00021
OG0000153	Praf.g_00023	Prar.g_00020
OG0000154	Praf.g_00024	Prar.g_00019
OG0000155	Praf.g_00025	Prar.g_00018
OG0000156	Praf.g_00026	Prar.g_00017
OG0000157	Praf.g_00027	Prar.g_00016
OG0000158	Praf.g_00029	Prar.g_00014
OG0000159	Praf.g_00030	Prar.g_00013
OG0000160	Praf.g_00031	Prar.g_00012
OG0000161	Praf.g_00032	Prar.g_00011
OG0000162	Praf.g_00033	Prar.g_00010
OG0000163	Praf.g_00035	Prar.g_00009
OG0000164	Praf.g_00040	Prar.g_00006
OG0000165	Praf.g_00045	Prar.g_00002
OG0000166	Praf.g_00046	Prar.g_00001
OG0000167	Praf.g_00047	Prar.g_00594
OG0000168	Praf.g_00050	Prar.g_00580
OG0000169	Praf.g_00052	Prar.g_00578
OG0000170	Praf.g_02654	Prar.g_00577
OG0000171	Praf.g_02652	Prar.g_00576
OG0000172	Praf.g_02618	Prar.g_00574
OG0000173	Praf.g_02611	Prar.g_00573
OG0000174	Praf.g_02605	Prar.g_00572
OG0000175	Praf.g_02603	Prar.g_00571
OG0000176	Praf.g_02601	Prar.g_00569
OG0000177	Praf.g_02597	Prar.g_00568
OG0000178	Praf.g_02596	Prar.g_00567
OG0000179	Praf.g_00328	Prar.g_00554
OG0000180	Praf.g_00326	Prar.g_00553
OG0000181	Praf.g_00325	Prar.g_00552
OG0000182	Praf.g_00321	Prar.g_00549
OG0000183	Praf.g_00320	Prar.g_00548
OG0000184	Praf.g_00316	Prar.g_00255
OG0000185	Praf.g_00310	Prar.g_00251
OG0000186	Praf.g_00309	Prar.g_00250
OG0000187	Praf.g_00962	Prar.g_00249
OG0000188	Praf.g_00308	Prar.g_00248
OG0000189	Praf.g_00304	Prar.g_00247
OG0000190	Praf.g_00303	Prar.g_00246
OG0000191	Praf.g_00302	Prar.g_00245
OG0000192	Praf.g_00301	Prar.g_00244
OG0000193	Praf.g_00300	Prar.g_00243
OG0000194	Praf.g_00299	Prar.g_00242
OG0000195	Praf.g_00297	Prar.g_00240
OG0000196	Praf.g_00296	Prar.g_00239
OG0000197	Praf.g_00268	Prar.g_00238
OG0000198	Praf.g_00264	Prar.g_00237
OG0000199	Praf.g_00259	Prar.g_00234
OG0000200	Praf.g_00258	Prar.g_00233
OG0000201	Praf.g_00257	Prar.g_00232
OG0000202	Praf.g_00255	Prar.g_00231
OG0000203	Praf.g_00254	Prar.g_00230
OG0000204	Praf.g_00253	Prar.g_00229
OG0000205	Praf.g_00251	Prar.g_00228
OG0000206	Praf.g_00250	Prar.g_00227
OG0000207	Praf.g_00249	Prar.g_00226
OG0000208	Praf.g_00248	Prar.g_00225
OG0000209	Praf.g_00247	Prar.g_00224
OG0000210	Praf.g_00245	Prar.g_00222
OG0000211	Praf.g_00244	Prar.g_00221
OG0000212	Praf.g_00243	Prar.g_00220
OG0000213	Praf.g_00240	Prar.g_00219
OG0000214	Praf.g_00230	Prar.g_00217
OG0000215	Praf.g_00225	Prar.g_00216
OG0000216	Praf.g_00223	Prar.g_00214
OG0000217	Praf.g_00221	Prar.g_00213
OG0000218	Praf.g_00219	Prar.g_00212
OG0000219	Praf.g_00218	Prar.g_00211
OG0000220	Praf.g_00214	Prar.g_00208
OG0000221	Praf.g_00209	Prar.g_00206
OG0000222	Praf.g_00208	Prar.g_00205
OG0000223	Praf.g_00207	Prar.g_00204
OG0000224	Praf.g_02403	Prar.g_00201
OG0000225	Praf.g_02405	Prar.g_00199
OG0000226	Praf.g_02408	Prar.g_00198
OG0000227	Praf.g_02410	Prar.g_00197
OG0000228	Praf.g_02411	Prar.g_00196
OG0000229	Praf.g_02412	Prar.g_00195
OG0000230	Praf.g_02413	Prar.g_00194
OG0000231	Praf.g_02415	Prar.g_00192
OG0000232	Praf.g_02416	Prar.g_00191
OG0000233	Praf.g_02421	Prar.g_00188
OG0000234	Praf.g_02430	Prar.g_00186
OG0000235	Praf.g_02432	Prar.g_00182
OG0000236	Praf.g_02433	Prar.g_00181
OG0000237	Praf.g_02434	Prar.g_00180
OG0000238	Praf.g_02435	Prar.g_00179
OG0000239	Praf.g_02436	Prar.g_00178
OG0000240	Praf.g_02438	Prar.g_00176
OG0000241	Praf.g_02439	Prar.g_00175
OG0000242	Praf.g_02440	Prar.g_00174
OG0000243	Praf.g_02441	Prar.g_00173
OG0000244	Praf.g_02442	Prar.g_00172
OG0000245	Praf.g_02444	Prar.g_00171
OG0000246	Praf.g_02446	Prar.g_00169
OG0000247	Praf.g_02447	Prar.g_00168
OG0000248	Praf.g_02448	Prar.g_00167
OG0000249	Praf.g_02449	Prar.g_00166
OG0000250	Praf.g_02450	Prar.g_00165
OG0000251	Praf.g_02451	Prar.g_00164
OG0000252	Praf.g_02452	Prar.g_00163
OG0000253	Praf.g_02453	Prar.g_00162
OG0000254	Praf.g_02455	Prar.g_00160
OG0000255	Praf.g_02456	Prar.g_00159
OG0000256	Praf.g_02469	Prar.g_00156
OG0000257	Praf.g_02470	Prar.g_00154
OG0000258	Praf.g_02471	Prar.g_00153
OG0000259	Praf.g_02472	Prar.g_00152
OG0000260	Praf.g_02473	Prar.g_00151
OG0000261	Praf.g_02474	Prar.g_00150
OG0000262	Praf.g_02475	Prar.g_00149
OG0000263	Praf.g_02476	Prar.g_00148
OG0000264	Praf.g_01486	Prar.g_00146
OG0000265	Praf.g_02489	Prar.g_00145
OG0000266	Praf.g_02491	Prar.g_00144
OG0000267	Praf.g_02495	Prar.g_00142
OG0000268	Praf.g_02497	Prar.g_00141
OG0000269	Praf.g_02500	Prar.g_00140
OG0000270	Praf.g_02502	Prar.g_00139
OG0000271	Praf.g_02505	Prar.g_00138
OG0000272	Praf.g_02506	Prar.g_00137
OG0000273	Praf.g_02509	Prar.g_00136
OG0000274	Praf.g_02511	Prar.g_00135
OG0000275	Praf.g_02512	Prar.g_00134
OG0000276	Praf.g_02513	Prar.g_00133
OG0000277	Praf.g_02514	Prar.g_00132
OG0000278	Praf.g_02515	Prar.g_00131
OG0000279	Praf.g_02516	Prar.g_00130
OG0000280	Praf.g_02517	Prar.g_00129
OG0000281	Praf.g_02519	Prar.g_00127
OG0000282	Praf.g_02520	Prar.g_00126
OG0000283	Praf.g_02524	Prar.g_00123
OG0000284	Praf.g_02525	Prar.g_00122
OG0000285	Praf.g_02531	Prar.g_00121
OG0000286	Praf.g_02533	Prar.g_00119
OG0000287	Praf.g_02582	Prar.g_00118
OG0000288	Praf.g_02581	Prar.g_00117
OG0000289	Praf.g_02575	Prar.g_00116
OG0000290	Praf.g_02574	Prar.g_00115
OG0000291	Praf.g_02572	Prar.g_00114
OG0000292	Praf.g_02568	Prar.g_00113
OG0000293	Praf.g_02567	Prar.g_00112
OG0000294	Praf.g_02566	Prar.g_00111
OG0000295	Praf.g_02560	Prar.g_00110
OG0000296	Praf.g_02559	Prar.g_00109
OG0000297	Praf.g_02557	Prar.g_00108
OG0000298	Praf.g_02556	Prar.g_00107
OG0000299	Praf.g_02555	Prar.g_00106
OG0000300	Praf.g_02554	Prar.g_00105
OG0000301	Praf.g_02553	Prar.g_00104
OG0000302	Praf.g_02552	Prar.g_00103
OG0000303	Praf.g_02551	Prar.g_00102
OG0000304	Praf.g_02549	Prar.g_00101
OG0000305	Praf.g_02548	Prar.g_00100
OG0000306	Praf.g_02547	Prar.g_00099
OG0000307	Praf.g_00374	Prar.g_00098
OG0000308	Praf.g_00745	Prar.g_00097
OG0000309	Praf.g_00744	Prar.g_00096
OG0000310	Praf.g_00743	Prar.g_00095
OG0000311	Praf.g_00378	Prar.g_00094
OG0000312	Praf.g_00379	Prar.g_00092
OG0000313	Praf.g_00385	Prar.g_00091
OG0000314	Praf.g_00391	Prar.g_00088
OG0000315	Praf.g_00392	Prar.g_00087
OG0000316	Praf.g_02203	Prar.g_00085
OG0000317	Praf.g_02207	Prar.g_00083
OG0000318	Praf.g_02208	Prar.g_00082
OG0000319	Praf.g_02209	Prar.g_00081
OG0000320	Praf.g_02210	Prar.g_00080
OG0000321	Praf.g_02215	Prar.g_00077
OG0000322	Praf.g_02242	Prar.g_00334
OG0000323	Praf.g_02243	Prar.g_00333
OG0000324	Praf.g_02245	Prar.g_00330
OG0000325	Praf.g_02247	Prar.g_00328
OG0000326	Praf.g_02249	Prar.g_00327
OG0000327	Praf.g_02255	Prar.g_00325
OG0000328	Praf.g_00375	Prar.g_00324
OG0000329	Praf.g_02259	Prar.g_00323
OG0000330	Praf.g_02260	Prar.g_00322
OG0000331	Praf.g_02262	Prar.g_00321
OG0000332	Praf.g_02263	Prar.g_00320
OG0000333	Praf.g_02264	Prar.g_00319
OG0000334	Praf.g_02265	Prar.g_00318
OG0000335	Praf.g_02266	Prar.g_00317
OG0000336	Praf.g_02268	Prar.g_00316
OG0000337	Praf.g_02273	Prar.g_00312
OG0000338	Praf.g_02274	Prar.g_00311
OG0000339	Praf.g_02275	Prar.g_00310
OG0000340	Praf.g_02277	Prar.g_00309
OG0000341	Praf.g_02282	Prar.g_00305
OG0000342	Praf.g_02283	Prar.g_00304
OG0000343	Praf.g_02285	Prar.g_00302
OG0000344	Praf.g_02287	Prar.g_00301
OG0000345	Praf.g_02288	Prar.g_00300
OG0000346	Praf.g_02289	Prar.g_00299
OG0000347	Praf.g_02290	Prar.g_00298
OG0000348	Praf.g_02291	Prar.g_00297
OG0000349	Praf.g_02292	Prar.g_00296
OG0000350	Praf.g_02293	Prar.g_00295
OG0000351	Praf.g_02297	Prar.g_00292
OG0000352	Praf.g_02301	Prar.g_00289
OG0000353	Praf.g_02302	Prar.g_00288
OG0000354	Praf.g_02303	Prar.g_00287
OG0000355	Praf.g_02304	Prar.g_00286
OG0000356	Praf.g_02314	Prar.g_00285
OG0000357	Praf.g_02315	Prar.g_00284
OG0000358	Praf.g_02316	Prar.g_00283
OG0000359	Praf.g_02318	Prar.g_00282
OG0000360	Praf.g_02321	Prar.g_00279
OG0000361	Praf.g_02322	Prar.g_00278
OG0000362	Praf.g_02323	Prar.g_00277
OG0000363	Praf.g_02324	Prar.g_00276
OG0000364	Praf.g_02325	Prar.g_00275
OG0000365	Praf.g_02326	Prar.g_00274
OG0000366	Praf.g_02327	Prar.g_00273
OG0000367	Praf.g_02328	Prar.g_00272
OG0000368	Praf.g_02329	Prar.g_00271
OG0000369	Praf.g_02330	Prar.g_00270
OG0000370	Praf.g_02331	Prar.g_00269
OG0000371	Praf.g_02332	Prar.g_00268
OG0000372	Praf.g_02335	Prar.g_00266
OG0000373	Praf.g_02347	Prar.g_00264
OG0000374	Praf.g_02349	Prar.g_00263
OG0000375	Praf.g_02358	Prar.g_00262
OG0000376	Praf.g_02073	Prar.g_00260
OG0000377	Praf.g_02066	Prar.g_00259
OG0000378	Praf.g_02065	Prar.g_00258
OG0000379	Praf.g_02054	Prar.g_00394
OG0000380	Praf.g_02052	Prar.g_00395
OG0000381	Praf.g_02051	Prar.g_00396
OG0000382	Praf.g_02049	Prar.g_00398
OG0000383	Praf.g_02045	Prar.g_00401
OG0000384	Praf.g_02044	Prar.g_00402
OG0000385	Praf.g_02031	Prar.g_00405
OG0000386	Praf.g_02030	Prar.g_00406
OG0000387	Praf.g_02029	Prar.g_00407
OG0000388	Praf.g_02028	Prar.g_00408
OG0000389	Praf.g_02027	Prar.g_00409
OG0000390	Praf.g_02026	Prar.g_00410
OG0000391	Praf.g_02025	Prar.g_00411
OG0000392	Praf.g_02024	Prar.g_00412
OG0000393	Praf.g_02016	Prar.g_00415
OG0000394	Praf.g_02015	Prar.g_00416
OG0000395	Praf.g_02011	Prar.g_00418
OG0000396	Praf.g_01616	Prar.g_00419
OG0000397	Praf.g_00322	Prar.g_00432
OG0000398	Praf.g_00495	Prar.g_00440
OG0000399	Praf.g_01003	Prar.g_00441
OG0000400	Praf.g_02201	Prar.g_00446
OG0000401	Praf.g_02002	Prar.g_00479
OG0000402	Praf.g_02001	Prar.g_00480
OG0000403	Praf.g_01999	Prar.g_00481
OG0000404	Praf.g_01990	Prar.g_00483
OG0000405	Praf.g_01989	Prar.g_00484
OG0000406	Praf.g_01987	Prar.g_00486
OG0000407	Praf.g_01986	Prar.g_00487
OG0000408	Praf.g_01985	Prar.g_00488
OG0000409	Praf.g_01984	Prar.g_00489
OG0000410	Praf.g_01982	Prar.g_00490
OG0000411	Praf.g_01981	Prar.g_00491
OG0000412	Praf.g_01980	Prar.g_00492
OG0000413	Praf.g_01979	Prar.g_00493
OG0000414	Praf.g_01978	Prar.g_00494
OG0000415	Praf.g_01977	Prar.g_00495
OG0000416	Praf.g_01972	Prar.g_00496
OG0000417	Praf.g_01963	Prar.g_00497
OG0000418	Praf.g_01962	Prar.g_00498
OG0000419	Praf.g_01961	Prar.g_00499
OG0000420	Praf.g_01960	Prar.g_00500
OG0000421	Praf.g_01959	Prar.g_00501
OG0000422	Praf.g_01957	Prar.g_00503
OG0000423	Praf.g_01956	Prar.g_00504
OG0000424	Praf.g_01952	Prar.g_00506
OG0000425	Praf.g_01942	Prar.g_00510
OG0000426	Praf.g_01941	Prar.g_00511
OG0000427	Praf.g_01938	Prar.g_00512
OG0000428	Praf.g_01915	Prar.g_00513
OG0000429	Praf.g_01913	Prar.g_00514
OG0000430	Praf.g_01911	Prar.g_00521
OG0000431	Praf.g_01909	Prar.g_00523
OG0000432	Praf.g_01908	Prar.g_00524
OG0000433	Praf.g_00586	Prar.g_00527
OG0000434	Praf.g_00589	Prar.g_00528
OG0000435	Praf.g_00594	Prar.g_00529
OG0000436	Praf.g_00596	Prar.g_00531
OG0000437	Praf.g_00598	Prar.g_00533
OG0000438	Praf.g_00599	Prar.g_00534
OG0000439	Praf.g_00600	Prar.g_00535
OG0000440	Praf.g_00603	Prar.g_00537
OG0000441	Praf.g_00605	Prar.g_00538
OG0000442	Praf.g_00606	Prar.g_00539
OG0000443	Praf.g_00607	Prar.g_00540
OG0000444	Praf.g_00608	Prar.g_00541
OG0000445	Praf.g_00609	Prar.g_00542
OG0000446	Praf.g_00610	Prar.g_00543
OG0000447	Praf.g_00611	Prar.g_00544
OG0000448	Praf.g_00612	Prar.g_00545
OG0000449	Praf.g_00619	Prar.g_01331
OG0000450	Praf.g_00621	Prar.g_01332
OG0000451	Praf.g_00622	Prar.g_01333
OG0000452	Praf.g_00623	Prar.g_01334
OG0000453	Praf.g_00626	Prar.g_01336
OG0000454	Praf.g_00627	Prar.g_01337
OG0000455	Praf.g_00628	Prar.g_01338
OG0000456	Praf.g_00629	Prar.g_01339
OG0000457	Praf.g_00630	Prar.g_01341
OG0000458	Praf.g_00631	Prar.g_01343
OG0000459	Praf.g_00632	Prar.g_01344
OG0000460	Praf.g_00634	Prar.g_01345
OG0000461	Praf.g_00635	Prar.g_01346
OG0000462	Praf.g_00636	Prar.g_01347
OG0000463	Praf.g_00641	Prar.g_01348
OG0000464	Praf.g_00646	Prar.g_01353
OG0000465	Praf.g_00647	Prar.g_01355
OG0000466	Praf.g_00648	Prar.g_01356
OG0000467	Praf.g_00650	Prar.g_01357
OG0000468	Praf.g_00651	Prar.g_01358
OG0000469	Praf.g_00656	Prar.g_01359
OG0000470	Praf.g_01177	Prar.g_01360
OG0000471	Praf.g_01131	Prar.g_01361
OG0000472	Praf.g_00661	Prar.g_01364
OG0000473	Praf.g_00663	Prar.g_01365
OG0000474	Praf.g_00665	Prar.g_01366
OG0000475	Praf.g_00666	Prar.g_01367
OG0000476	Praf.g_00670	Prar.g_01368
OG0000477	Praf.g_00673	Prar.g_01370
OG0000478	Praf.g_00675	Prar.g_01371
OG0000479	Praf.g_00677	Prar.g_01372
OG0000480	Praf.g_00683	Prar.g_01374
OG0000481	Praf.g_00684	Prar.g_01375
OG0000482	Praf.g_00685	Prar.g_01376
OG0000483	Praf.g_00687	Prar.g_01377
OG0000484	Praf.g_00688	Prar.g_01378
OG0000485	Praf.g_00689	Prar.g_01379
OG0000486	Praf.g_00690	Prar.g_01380
OG0000487	Praf.g_00691	Prar.g_01381
OG0000488	Praf.g_00693	Prar.g_01383
OG0000489	Praf.g_00694	Prar.g_01384
OG0000490	Praf.g_00695	Prar.g_01385
OG0000491	Praf.g_00696	Prar.g_01386
OG0000492	Praf.g_00697	Prar.g_01387
OG0000493	Praf.g_00698	Prar.g_01388
OG0000494	Praf.g_00700	Prar.g_01390
OG0000495	Praf.g_00701	Prar.g_01391
OG0000496	Praf.g_00703	Prar.g_01392
OG0000497	Praf.g_00705	Prar.g_01393
OG0000498	Praf.g_00706	Prar.g_01394
OG0000499	Praf.g_00708	Prar.g_01396
OG0000500	Praf.g_00709	Prar.g_01397
OG0000501	Praf.g_00712	Prar.g_01399
OG0000502	Praf.g_00713	Prar.g_01400
OG0000503	Praf.g_00714	Prar.g_01401
OG0000504	Praf.g_00716	Prar.g_01402
OG0000505	Praf.g_00717	Prar.g_01403
OG0000506	Praf.g_00718	Prar.g_01404
OG0000507	Praf.g_00719	Prar.g_01405
OG0000508	Praf.g_00723	Prar.g_01407
OG0000509	Praf.g_00724	Prar.g_01408
OG0000510	Praf.g_00725	Prar.g_01409
OG0000511	Praf.g_00726	Prar.g_01410
OG0000512	Praf.g_00728	Prar.g_01411
OG0000513	Praf.g_00729	Prar.g_01412
OG0000514	Praf.g_00730	Prar.g_01413
OG0000515	Praf.g_00733	Prar.g_01415
OG0000516	Praf.g_00734	Prar.g_01416
OG0000517	Praf.g_00735	Prar.g_01417
OG0000518	Praf.g_00739	Prar.g_01420
OG0000519	Praf.g_00740	Prar.g_01422
OG0000520	Praf.g_00741	Prar.g_01423
OG0000521	Praf.g_00742	Prar.g_01424
OG0000522	Praf.g_00749	Prar.g_01425
OG0000523	Praf.g_00750	Prar.g_01426
OG0000524	Praf.g_00751	Prar.g_01427
OG0000525	Praf.g_00753	Prar.g_01429
OG0000526	Praf.g_00754	Prar.g_01430
OG0000527	Praf.g_00755	Prar.g_01431
OG0000528	Praf.g_00756	Prar.g_01432
OG0000529	Praf.g_00757	Prar.g_01433
OG0000530	Praf.g_00758	Prar.g_01434
OG0000531	Praf.g_00761	Prar.g_01435
OG0000532	Praf.g_00763	Prar.g_01436
OG0000533	Praf.g_00764	Prar.g_01437
OG0000534	Praf.g_00765	Prar.g_01438
OG0000535	Praf.g_00766	Prar.g_01439
OG0000536	Praf.g_00767	Prar.g_01440
OG0000537	Praf.g_00768	Prar.g_01441
OG0000538	Praf.g_00769	Prar.g_01442
OG0000539	Praf.g_00771	Prar.g_01443
OG0000540	Praf.g_00773	Prar.g_01444
OG0000541	Praf.g_01659	Prar.g_01445
OG0000542	Praf.g_01661	Prar.g_01446
OG0000543	Praf.g_01662	Prar.g_01447
OG0000544	Praf.g_01663	Prar.g_01448
OG0000545	Praf.g_01666	Prar.g_01451
OG0000546	Praf.g_01667	Prar.g_01452
OG0000547	Praf.g_01669	Prar.g_01454
OG0000548	Praf.g_01674	Prar.g_01455
OG0000549	Praf.g_01675	Prar.g_01456
OG0000550	Praf.g_01676	Prar.g_01457
OG0000551	Praf.g_01680	Prar.g_01458
OG0000552	Praf.g_01684	Prar.g_01459
OG0000553	Praf.g_01685	Prar.g_01460
OG0000554	Praf.g_01687	Prar.g_01461
OG0000555	Praf.g_01688	Prar.g_01462
OG0000556	Praf.g_01689	Prar.g_01463
OG0000557	Praf.g_01690	Prar.g_01464
OG0000558	Praf.g_01692	Prar.g_01465
OG0000559	Praf.g_01693	Prar.g_01466
OG0000560	Praf.g_01695	Prar.g_01468
OG0000561	Praf.g_01696	Prar.g_01469
OG0000562	Praf.g_01698	Prar.g_01470
OG0000563	Praf.g_01699	Prar.g_01471
OG0000564	Praf.g_01700	Prar.g_01472
OG0000565	Praf.g_01708	Prar.g_01473
OG0000566	Praf.g_01709	Prar.g_01474
OG0000567	Praf.g_01710	Prar.g_01475
OG0000568	Praf.g_01711	Prar.g_01476
OG0000569	Praf.g_01713	Prar.g_01477
OG0000570	Praf.g_01716	Prar.g_01478
OG0000571	Praf.g_01717	Prar.g_01479
OG0000572	Praf.g_01718	Prar.g_01480
OG0000573	Praf.g_01722	Prar.g_01483
OG0000574	Praf.g_01727	Prar.g_01484
OG0000575	Praf.g_01728	Prar.g_01485
OG0000576	Praf.g_01729	Prar.g_01486
OG0000577	Praf.g_01730	Prar.g_01487
OG0000578	Praf.g_01731	Prar.g_01488
