Orthogroup	Prao	Praj
OG0000051	Prao.g_00494	Praj.g_01329, Praj.g_01365
OG0000053	Prao.g_00648	Praj.g_00698
OG0000054	Prao.g_01545	Praj.g_01762
OG0000055	Prao.g_01743	Praj.g_02012
OG0000056	Prao.g_00177	Praj.g_00031
OG0000057	Prao.g_00295	Praj.g_00197
OG0000058	Prao.g_00505	Praj.g_01156, Praj.g_01282
OG0000062	Prao.g_00763	Praj.g_00793, Praj.g_01176
OG0000063	Prao.g_01135	Praj.g_00043
OG0000065	Prao.g_00375, Prao.g_01537	Praj.g_00277
OG0000066	Prao.g_00581	Praj.g_00467
OG0000067	Prao.g_00136	Praj.g_01313, Praj.g_00691
OG0000068	Prao.g_01340	Praj.g_01170
OG0000069	Prao.g_01124, Prao.g_00922	Praj.g_01563
OG0000070	Prao.g_00974	Praj.g_01024
OG0000071	Prao.g_01332	Praj.g_01355
OG0000072	Prao.g_01276	Praj.g_01528
OG0000074	Prao.g_01215	Praj.g_00664
OG0000075	Prao.g_01687	Praj.g_01952
OG0000077	Prao.g_00158	Praj.g_00011
OG0000078	Prao.g_00458	Praj.g_00357
OG0000079	Prao.g_00516	Praj.g_01279
OG0000080	Prao.g_00108	Praj.g_00659
OG0000081	Prao.g_00129	Praj.g_00684
OG0000082	Prao.g_00748	Praj.g_00776
OG0000083	Prao.g_00812	Praj.g_00864, Praj.g_01157
OG0000084	Prao.g_00902	Praj.g_00946, Praj.g_01601
OG0000085	Prao.g_01025	Praj.g_01196
OG0000086	Prao.g_01122	Praj.g_01832
OG0000088	Prao.g_01329	Praj.g_01260
OG0000090	Prao.g_01214	Praj.g_00372
OG0000091	Prao.g_01405	Praj.g_01640
OG0000092	Prao.g_01522	Praj.g_01166
OG0000093	Prao.g_01639	Praj.g_01892
OG0000094	Prao.g_01684	Praj.g_01948
OG0000095	Prao.g_01717	Praj.g_01985
OG0000096	Prao.g_01788	Praj.g_02083
OG0000098	Prao.g_01844	Praj.g_00003
OG0000099	Prao.g_00170	Praj.g_00023
OG0000101	Prao.g_00195	Praj.g_00053
OG0000102	Prao.g_00251	Praj.g_00153
OG0000103	Prao.g_00260	Praj.g_00162
OG0000104	Prao.g_00277	Praj.g_00179
OG0000105	Prao.g_00308	Praj.g_00210
OG0000106	Prao.g_00322	Praj.g_00223
OG0000107	Prao.g_00330	Praj.g_00232
OG0000108	Prao.g_00340	Praj.g_00242
OG0000109	Prao.g_00377	Praj.g_00280
OG0000110	Prao.g_00389	Praj.g_00290
OG0000111	Prao.g_01378	Praj.g_00310
OG0000113	Prao.g_00434	Praj.g_00332
OG0000114	Prao.g_00461	Praj.g_00360
OG0000115	Prao.g_00580	Praj.g_00466
OG0000116	Prao.g_00582	Praj.g_00468
OG0000117	Prao.g_00586	Praj.g_00473
OG0000118	Prao.g_00605	Praj.g_00491
OG0000119	Prao.g_01859	Praj.g_00523
OG0000120	Prao.g_01858	Praj.g_00524
OG0000121	Prao.g_01162	Praj.g_00534
OG0000122	Prao.g_01171	Praj.g_00543
OG0000123	Prao.g_00023	Praj.g_00573
OG0000124	Prao.g_00090	Praj.g_00639
OG0000125	Prao.g_00091	Praj.g_00640
OG0000126	Prao.g_00092	Praj.g_00641
OG0000127	Prao.g_00124	Praj.g_00679
OG0000128	Prao.g_00650	Praj.g_00700
OG0000129	Prao.g_00670	Praj.g_00722
OG0000130	Prao.g_00725	Praj.g_00909
OG0000131	Prao.g_00739	Praj.g_00767
OG0000132	Prao.g_00775	Praj.g_00804
OG0000133	Prao.g_00861	Praj.g_00905
OG0000134	Prao.g_00870	Praj.g_00754
OG0000135	Prao.g_00906	Praj.g_00950
OG0000136	Prao.g_00971	Praj.g_01021
OG0000137	Prao.g_01119	Praj.g_01835
OG0000138	Prao.g_01094, Prao.g_00646	Praj.g_01466
OG0000139	Prao.g_01083	Praj.g_01455
OG0000140	Prao.g_01032	Praj.g_01402
OG0000141	Prao.g_00014	Praj.g_01014
OG0000142	Prao.g_01264	Praj.g_01540
OG0000143	Prao.g_01239	Praj.g_01575
OG0000144	Prao.g_01384	Praj.g_01618
OG0000145	Prao.g_01398	Praj.g_01633
OG0000146	Prao.g_01433	Praj.g_01667
OG0000147	Prao.g_01473	Praj.g_01713
OG0000148	Prao.g_01474	Praj.g_01714
OG0000149	Prao.g_01550	Praj.g_01766
OG0000150	Prao.g_01588	Praj.g_01803
OG0000151	Prao.g_01591	Praj.g_01805
OG0000152	Prao.g_01610	Praj.g_01825
OG0000153	Prao.g_01646	Praj.g_01910
OG0000154	Prao.g_01682	Praj.g_01946
OG0000155	Prao.g_01700	Praj.g_01965
OG0000156	Prao.g_01728	Praj.g_01997
OG0000157	Prao.g_01760	Praj.g_02034
OG0000158	Prao.g_01823	Praj.g_02128
OG0000160	Prao.g_01842	Praj.g_00001
OG0000161	Prao.g_01843	Praj.g_00002
OG0000162	Prao.g_01845	Praj.g_00004
OG0000163	Prao.g_01846	Praj.g_00005
OG0000164	Prao.g_01847	Praj.g_00006
OG0000165	Prao.g_01848	Praj.g_00007
OG0000166	Prao.g_01849	Praj.g_00008
OG0000167	Prao.g_01850	Praj.g_00009
OG0000168	Prao.g_00157	Praj.g_00010
OG0000169	Prao.g_00159	Praj.g_00012
OG0000170	Prao.g_00161	Praj.g_00014
OG0000171	Prao.g_00162	Praj.g_00015
OG0000172	Prao.g_00163	Praj.g_00016
OG0000173	Prao.g_00164	Praj.g_00017
OG0000174	Prao.g_00165	Praj.g_00018
OG0000175	Prao.g_00166	Praj.g_00019
OG0000176	Prao.g_00167	Praj.g_00020
OG0000177	Prao.g_00168	Praj.g_00021
OG0000178	Prao.g_00169	Praj.g_00022
OG0000179	Prao.g_00171	Praj.g_00024
OG0000180	Prao.g_00172	Praj.g_00025
OG0000181	Prao.g_00173	Praj.g_00026
OG0000182	Prao.g_00174	Praj.g_00027
OG0000183	Prao.g_00175	Praj.g_00028
OG0000184	Prao.g_00176	Praj.g_00029
OG0000185	Prao.g_00178	Praj.g_00032
OG0000186	Prao.g_00181	Praj.g_00034
OG0000187	Prao.g_00182	Praj.g_00035
OG0000188	Prao.g_00183	Praj.g_00036
OG0000189	Prao.g_00186	Praj.g_00044
OG0000190	Prao.g_00188	Praj.g_00046
OG0000191	Prao.g_00189	Praj.g_00047
OG0000192	Prao.g_00190	Praj.g_00048
OG0000193	Prao.g_00191	Praj.g_00049
OG0000194	Prao.g_00192	Praj.g_00050
OG0000195	Prao.g_00193	Praj.g_00051
OG0000196	Prao.g_00194	Praj.g_00052
OG0000197	Prao.g_00196	Praj.g_00054
OG0000198	Prao.g_00197	Praj.g_00055
OG0000199	Prao.g_00198	Praj.g_00056
OG0000200	Prao.g_00203	Praj.g_00102
OG0000201	Prao.g_00204	Praj.g_00103
OG0000202	Prao.g_00205	Praj.g_00104
OG0000203	Prao.g_00208	Praj.g_00107
OG0000204	Prao.g_00209	Praj.g_00108
OG0000205	Prao.g_00212	Praj.g_00111
OG0000206	Prao.g_00214	Praj.g_00113
OG0000207	Prao.g_00216	Praj.g_00115
OG0000208	Prao.g_00217	Praj.g_00116
OG0000209	Prao.g_00218	Praj.g_00117
OG0000210	Prao.g_00219	Praj.g_00118
OG0000211	Prao.g_00220	Praj.g_00119
OG0000212	Prao.g_00221	Praj.g_00120
OG0000213	Prao.g_00222	Praj.g_00121
OG0000214	Prao.g_00223	Praj.g_00122
OG0000215	Prao.g_00224	Praj.g_00123
OG0000216	Prao.g_00225	Praj.g_00124
OG0000217	Prao.g_00227	Praj.g_00126
OG0000218	Prao.g_00228	Praj.g_00127
OG0000219	Prao.g_00229	Praj.g_00128
OG0000220	Prao.g_00230	Praj.g_00129
OG0000221	Prao.g_00233	Praj.g_00132
OG0000222	Prao.g_00234	Praj.g_00133
OG0000223	Prao.g_00235	Praj.g_00134
OG0000224	Prao.g_00236	Praj.g_00135
OG0000225	Prao.g_00237	Praj.g_00136
OG0000226	Prao.g_00238	Praj.g_00137
OG0000227	Prao.g_00239	Praj.g_00139
OG0000228	Prao.g_00240	Praj.g_00140
OG0000229	Prao.g_00241	Praj.g_00141
OG0000230	Prao.g_00242	Praj.g_00142
OG0000231	Prao.g_00243	Praj.g_00143
OG0000232	Prao.g_00244	Praj.g_00144
OG0000233	Prao.g_00245	Praj.g_00145
OG0000234	Prao.g_00246	Praj.g_00146
OG0000235	Prao.g_00247	Praj.g_00147
OG0000236	Prao.g_00248	Praj.g_00150
OG0000237	Prao.g_00249	Praj.g_00151
OG0000238	Prao.g_00250	Praj.g_00152
OG0000239	Prao.g_00252	Praj.g_00154
OG0000240	Prao.g_00254	Praj.g_00156
OG0000241	Prao.g_00255	Praj.g_00157
OG0000242	Prao.g_00256	Praj.g_00158
OG0000243	Prao.g_00259	Praj.g_00160
OG0000244	Prao.g_00261	Praj.g_00163
OG0000245	Prao.g_00262	Praj.g_00164
OG0000246	Prao.g_00263	Praj.g_00165
OG0000247	Prao.g_00266	Praj.g_00168
OG0000248	Prao.g_00268	Praj.g_00170
OG0000249	Prao.g_00269	Praj.g_00172
OG0000250	Prao.g_00270	Praj.g_00173
OG0000251	Prao.g_00271	Praj.g_00174
OG0000252	Prao.g_00272	Praj.g_00175
OG0000253	Prao.g_00273	Praj.g_00176
OG0000254	Prao.g_00274	Praj.g_01057
OG0000255	Prao.g_00275	Praj.g_00177
OG0000256	Prao.g_00278	Praj.g_00180
OG0000257	Prao.g_00280	Praj.g_00183
OG0000258	Prao.g_00283	Praj.g_00185
OG0000259	Prao.g_00284	Praj.g_00186
OG0000260	Prao.g_00285	Praj.g_00187
OG0000261	Prao.g_00286	Praj.g_00188
OG0000262	Prao.g_00287	Praj.g_00189
OG0000263	Prao.g_00289	Praj.g_00191
OG0000264	Prao.g_00290	Praj.g_00192
OG0000265	Prao.g_00291	Praj.g_00193
OG0000266	Prao.g_00292	Praj.g_00194
OG0000267	Prao.g_00293	Praj.g_00195
OG0000268	Prao.g_00294	Praj.g_00196
OG0000269	Prao.g_00296	Praj.g_00198
OG0000270	Prao.g_00297	Praj.g_00199
OG0000271	Prao.g_00298	Praj.g_00200
OG0000272	Prao.g_00299	Praj.g_00201
OG0000273	Prao.g_00300	Praj.g_00202
OG0000274	Prao.g_00301	Praj.g_00203
OG0000275	Prao.g_00302	Praj.g_00204
OG0000276	Prao.g_00303	Praj.g_00205
OG0000277	Prao.g_00305	Praj.g_00207
OG0000278	Prao.g_00306	Praj.g_00208
OG0000279	Prao.g_00307	Praj.g_00209
OG0000280	Prao.g_00309	Praj.g_00211
OG0000281	Prao.g_00311	Praj.g_00212
OG0000282	Prao.g_00312	Praj.g_00213
OG0000283	Prao.g_00313	Praj.g_00214
OG0000284	Prao.g_00314	Praj.g_00215
OG0000285	Prao.g_00315	Praj.g_00216
OG0000286	Prao.g_00316	Praj.g_00217
OG0000287	Prao.g_00317	Praj.g_00218
OG0000288	Prao.g_00319	Praj.g_00220
OG0000289	Prao.g_00320	Praj.g_00221
OG0000290	Prao.g_00321	Praj.g_00222
OG0000291	Prao.g_00323	Praj.g_00224
OG0000292	Prao.g_00324	Praj.g_00226
OG0000293	Prao.g_00325	Praj.g_00227
OG0000294	Prao.g_00326	Praj.g_00228
OG0000295	Prao.g_00327	Praj.g_00229
OG0000296	Prao.g_00328	Praj.g_00230
OG0000297	Prao.g_00329	Praj.g_00231
OG0000298	Prao.g_00331	Praj.g_00233
OG0000299	Prao.g_00332	Praj.g_00234
OG0000300	Prao.g_00333	Praj.g_00235
OG0000301	Prao.g_00334	Praj.g_00236
OG0000302	Prao.g_00335	Praj.g_00237
OG0000303	Prao.g_00336	Praj.g_00238
OG0000304	Prao.g_00338	Praj.g_00240
OG0000305	Prao.g_00339	Praj.g_00241
OG0000306	Prao.g_00342	Praj.g_00243
OG0000307	Prao.g_00343	Praj.g_00244
OG0000308	Prao.g_00344	Praj.g_00245
OG0000309	Prao.g_00345	Praj.g_00246
OG0000310	Prao.g_00346	Praj.g_00247
OG0000311	Prao.g_00347	Praj.g_00248
OG0000312	Prao.g_00348	Praj.g_00249
OG0000313	Prao.g_00349	Praj.g_00250
OG0000314	Prao.g_00350	Praj.g_00251
OG0000315	Prao.g_00351	Praj.g_00252
OG0000316	Prao.g_00352	Praj.g_00253
OG0000317	Prao.g_00353	Praj.g_00254
OG0000318	Prao.g_00354	Praj.g_00255
OG0000319	Prao.g_00355	Praj.g_00256
OG0000320	Prao.g_00356	Praj.g_00257
OG0000321	Prao.g_00357	Praj.g_00258
OG0000322	Prao.g_00358	Praj.g_00259
OG0000323	Prao.g_00359	Praj.g_00260
OG0000324	Prao.g_00360	Praj.g_00261
OG0000325	Prao.g_00361	Praj.g_00262
OG0000326	Prao.g_00362	Praj.g_00263
OG0000327	Prao.g_00363	Praj.g_00264
OG0000328	Prao.g_00364	Praj.g_00265
OG0000329	Prao.g_00365	Praj.g_00266
OG0000330	Prao.g_00366	Praj.g_00267
OG0000331	Prao.g_00367	Praj.g_00268
OG0000332	Prao.g_00368	Praj.g_00269
OG0000333	Prao.g_00369	Praj.g_00270
OG0000334	Prao.g_00370	Praj.g_00271
OG0000335	Prao.g_00371	Praj.g_00273
OG0000336	Prao.g_00373	Praj.g_00275
OG0000337	Prao.g_00374	Praj.g_00276
OG0000338	Prao.g_00378	Praj.g_00281
OG0000339	Prao.g_00380	Praj.g_00283
OG0000340	Prao.g_00382	Praj.g_00285
OG0000341	Prao.g_00383	Praj.g_00286
OG0000342	Prao.g_00384	Praj.g_00287
OG0000343	Prao.g_00385	Praj.g_00288
OG0000344	Prao.g_00388	Praj.g_00289
OG0000345	Prao.g_00391	Praj.g_00292
OG0000346	Prao.g_00392	Praj.g_00293
OG0000347	Prao.g_00395	Praj.g_00296
OG0000348	Prao.g_00397	Praj.g_00297
OG0000349	Prao.g_00398	Praj.g_00298
OG0000350	Prao.g_00400	Praj.g_00299
OG0000351	Prao.g_00401	Praj.g_00300
OG0000352	Prao.g_00402	Praj.g_00301
OG0000353	Prao.g_00403	Praj.g_00302
OG0000354	Prao.g_00404	Praj.g_00303
OG0000355	Prao.g_00405	Praj.g_00304
OG0000356	Prao.g_00406	Praj.g_00305
OG0000357	Prao.g_00407	Praj.g_00306
OG0000358	Prao.g_00408	Praj.g_00307
OG0000359	Prao.g_00409	Praj.g_00309
OG0000360	Prao.g_00412	Praj.g_00311
OG0000361	Prao.g_00413	Praj.g_00312
OG0000362	Prao.g_00414	Praj.g_00313
OG0000363	Prao.g_00415	Praj.g_00314
OG0000364	Prao.g_00419	Praj.g_00318
OG0000365	Prao.g_00420	Praj.g_00319
OG0000366	Prao.g_00422	Praj.g_00321
OG0000367	Prao.g_00423	Praj.g_00322
OG0000368	Prao.g_00424	Praj.g_00323
OG0000369	Prao.g_00425	Praj.g_00324
OG0000370	Prao.g_00426	Praj.g_00325
OG0000371	Prao.g_00427	Praj.g_00326
OG0000372	Prao.g_00428	Praj.g_00327
OG0000373	Prao.g_00429	Praj.g_00328
OG0000374	Prao.g_00431	Praj.g_00329
OG0000375	Prao.g_00432	Praj.g_00330
OG0000376	Prao.g_00435	Praj.g_00333
OG0000377	Prao.g_00436	Praj.g_00334
OG0000378	Prao.g_00437	Praj.g_00335
OG0000379	Prao.g_00438	Praj.g_00336
OG0000380	Prao.g_00439	Praj.g_00337
OG0000381	Prao.g_00440	Praj.g_00338
OG0000382	Prao.g_00441	Praj.g_00339
OG0000383	Prao.g_00442	Praj.g_00340
OG0000384	Prao.g_00444	Praj.g_00343
OG0000385	Prao.g_00445	Praj.g_00344
OG0000386	Prao.g_00446	Praj.g_00345
OG0000387	Prao.g_00447	Praj.g_00346
OG0000388	Prao.g_00448	Praj.g_00347
OG0000389	Prao.g_00449	Praj.g_00348
OG0000390	Prao.g_00450	Praj.g_00349
OG0000391	Prao.g_00451	Praj.g_00350
OG0000392	Prao.g_00452	Praj.g_00351
OG0000393	Prao.g_00453	Praj.g_00352
OG0000394	Prao.g_00454	Praj.g_00353
OG0000395	Prao.g_00455	Praj.g_00354
OG0000396	Prao.g_00457	Praj.g_00356
OG0000397	Prao.g_00459	Praj.g_00358
OG0000398	Prao.g_00460	Praj.g_00359
OG0000399	Prao.g_00463	Praj.g_00362
OG0000400	Prao.g_00464	Praj.g_00368
OG0000401	Prao.g_00465	Praj.g_00724
OG0000402	Prao.g_00470	Praj.g_00380
OG0000403	Prao.g_00471	Praj.g_00382
OG0000404	Prao.g_00472	Praj.g_00383
OG0000405	Prao.g_00474	Praj.g_00384
OG0000406	Prao.g_00476	Praj.g_00387
OG0000407	Prao.g_00477	Praj.g_00388
OG0000408	Prao.g_00479	Praj.g_00390
OG0000409	Prao.g_00480	Praj.g_00391
OG0000410	Prao.g_00481	Praj.g_00392
OG0000411	Prao.g_00482	Praj.g_00393
OG0000412	Prao.g_00483	Praj.g_00394
OG0000413	Prao.g_00484	Praj.g_00395
OG0000414	Prao.g_00485	Praj.g_00396
OG0000415	Prao.g_00486	Praj.g_00397
OG0000416	Prao.g_00489	Praj.g_00402
OG0000417	Prao.g_00490	Praj.g_00403
OG0000418	Prao.g_00491	Praj.g_00405
OG0000419	Prao.g_00492	Praj.g_00406
OG0000420	Prao.g_00493	Praj.g_00824
OG0000421	Prao.g_00506	Praj.g_01049
OG0000422	Prao.g_00513	Praj.g_01081
OG0000423	Prao.g_00514	Praj.g_01244
OG0000424	Prao.g_00518	Praj.g_01869
OG0000425	Prao.g_00535	Praj.g_00425
OG0000426	Prao.g_00536	Praj.g_00426
OG0000427	Prao.g_00537	Praj.g_00427
OG0000428	Prao.g_00539	Praj.g_00429
OG0000429	Prao.g_00540	Praj.g_00430
OG0000430	Prao.g_00542	Praj.g_00432
OG0000431	Prao.g_00543	Praj.g_00433
OG0000432	Prao.g_00544	Praj.g_00434
OG0000433	Prao.g_00545	Praj.g_00435
OG0000434	Prao.g_00546	Praj.g_00436
OG0000435	Prao.g_00547	Praj.g_00437
OG0000436	Prao.g_00548	Praj.g_00438
OG0000437	Prao.g_00549	Praj.g_00439
OG0000438	Prao.g_00550	Praj.g_00440
OG0000439	Prao.g_00551	Praj.g_00441
OG0000440	Prao.g_00552	Praj.g_00442
OG0000441	Prao.g_00553	Praj.g_00443
OG0000442	Prao.g_00554	Praj.g_00444
OG0000443	Prao.g_00555	Praj.g_00445
OG0000444	Prao.g_00556	Praj.g_00446
OG0000445	Prao.g_00557	Praj.g_00447
OG0000446	Prao.g_00559	Praj.g_00449
OG0000447	Prao.g_00560	Praj.g_00450
OG0000448	Prao.g_00564	Praj.g_00451
OG0000449	Prao.g_00567	Praj.g_00457
OG0000450	Prao.g_00568	Praj.g_00458
OG0000451	Prao.g_00569	Praj.g_00459
OG0000452	Prao.g_00570	Praj.g_00461
OG0000453	Prao.g_00571	Praj.g_00462
OG0000454	Prao.g_00577	Praj.g_00464
OG0000455	Prao.g_00579	Praj.g_00465
OG0000456	Prao.g_00583	Praj.g_00469
OG0000457	Prao.g_00584	Praj.g_00471
OG0000458	Prao.g_00585	Praj.g_00472
OG0000459	Prao.g_00587	Praj.g_00474
OG0000460	Prao.g_00589	Praj.g_00476
OG0000461	Prao.g_00590	Praj.g_00477
OG0000462	Prao.g_00591	Praj.g_00478
OG0000463	Prao.g_00593	Praj.g_00479
OG0000464	Prao.g_00594	Praj.g_00480
OG0000465	Prao.g_00595	Praj.g_00481
OG0000466	Prao.g_00596	Praj.g_00482
OG0000467	Prao.g_00597	Praj.g_00483
OG0000468	Prao.g_00598	Praj.g_00484
OG0000469	Prao.g_00599	Praj.g_00485
OG0000470	Prao.g_00600	Praj.g_00486
OG0000471	Prao.g_00601	Praj.g_00487
OG0000472	Prao.g_00606	Praj.g_00492
OG0000473	Prao.g_00607	Praj.g_00493
OG0000474	Prao.g_00608	Praj.g_00494
OG0000475	Prao.g_00609	Praj.g_00495
OG0000476	Prao.g_00611	Praj.g_00497
OG0000477	Prao.g_00612	Praj.g_00498
OG0000478	Prao.g_00613	Praj.g_00499
OG0000479	Prao.g_00614	Praj.g_00500
OG0000480	Prao.g_00616	Praj.g_00502
OG0000481	Prao.g_00618	Praj.g_00504
OG0000482	Prao.g_00619	Praj.g_00505
OG0000483	Prao.g_00621	Praj.g_00507
OG0000484	Prao.g_00622	Praj.g_00508
OG0000485	Prao.g_00623	Praj.g_00509
OG0000486	Prao.g_00624	Praj.g_00511
OG0000487	Prao.g_00629	Praj.g_00515
OG0000488	Prao.g_00631	Praj.g_00516
OG0000489	Prao.g_00632	Praj.g_00517
OG0000490	Prao.g_00633	Praj.g_00518
OG0000491	Prao.g_00634	Praj.g_00519
OG0000492	Prao.g_00635	Praj.g_00520
OG0000493	Prao.g_01861	Praj.g_00521
OG0000494	Prao.g_01860	Praj.g_00522
OG0000495	Prao.g_01857	Praj.g_00525
OG0000496	Prao.g_01856	Praj.g_00526
OG0000497	Prao.g_01855	Praj.g_00527
OG0000498	Prao.g_01854	Praj.g_00528
OG0000499	Prao.g_01853	Praj.g_00529
OG0000500	Prao.g_01159	Praj.g_00531
OG0000501	Prao.g_01160	Praj.g_00532
OG0000502	Prao.g_01161	Praj.g_00533
OG0000503	Prao.g_01163	Praj.g_00535
OG0000504	Prao.g_01164	Praj.g_00536
OG0000505	Prao.g_01165	Praj.g_00537
OG0000506	Prao.g_01166	Praj.g_00538
OG0000507	Prao.g_01167	Praj.g_00539
OG0000508	Prao.g_01168	Praj.g_00540
OG0000509	Prao.g_01169	Praj.g_00541
OG0000510	Prao.g_01170	Praj.g_00542
OG0000511	Prao.g_01172	Praj.g_00544
OG0000512	Prao.g_01173	Praj.g_00545
OG0000513	Prao.g_01174	Praj.g_00546
OG0000514	Prao.g_01175	Praj.g_00547
OG0000515	Prao.g_01176	Praj.g_00548
OG0000516	Prao.g_01177	Praj.g_00549
OG0000517	Prao.g_01179	Praj.g_00551
OG0000518	Prao.g_01180	Praj.g_00552
OG0000519	Prao.g_01181	Praj.g_00553
OG0000520	Prao.g_01182	Praj.g_00554
OG0000521	Prao.g_01183	Praj.g_00555
OG0000522	Prao.g_01184	Praj.g_00556
OG0000523	Prao.g_01185	Praj.g_00557
OG0000524	Prao.g_01186	Praj.g_00558
OG0000525	Prao.g_01187	Praj.g_00559
OG0000526	Prao.g_01862	Praj.g_00560
OG0000527	Prao.g_01863	Praj.g_00561
OG0000528	Prao.g_01864	Praj.g_00562
OG0000529	Prao.g_01865	Praj.g_00563
OG0000530	Prao.g_01866	Praj.g_00564
OG0000531	Prao.g_01867	Praj.g_00565
OG0000532	Prao.g_01868	Praj.g_00566
OG0000533	Prao.g_01870	Praj.g_00567
OG0000534	Prao.g_00018	Praj.g_00568
OG0000535	Prao.g_00019	Praj.g_00569
OG0000536	Prao.g_00020	Praj.g_00570
OG0000537	Prao.g_00021	Praj.g_00571
OG0000538	Prao.g_00022	Praj.g_00572
OG0000539	Prao.g_00025	Praj.g_00574
OG0000540	Prao.g_00026	Praj.g_00575
OG0000541	Prao.g_00027	Praj.g_00576
OG0000542	Prao.g_00029	Praj.g_00578
OG0000543	Prao.g_00030	Praj.g_00579
OG0000544	Prao.g_00031	Praj.g_00581
OG0000545	Prao.g_00032	Praj.g_00580
OG0000546	Prao.g_00033	Praj.g_00582
OG0000547	Prao.g_00034	Praj.g_00583
OG0000548	Prao.g_00035	Praj.g_00584
OG0000549	Prao.g_00037	Praj.g_00586
OG0000550	Prao.g_00038	Praj.g_00587
OG0000551	Prao.g_00039	Praj.g_00588
OG0000552	Prao.g_00040	Praj.g_00589
OG0000553	Prao.g_00041	Praj.g_00590
OG0000554	Prao.g_00042	Praj.g_00591
OG0000555	Prao.g_00043	Praj.g_00593
OG0000556	Prao.g_00044	Praj.g_00594
OG0000557	Prao.g_00045	Praj.g_00595
OG0000558	Prao.g_00046	Praj.g_00596
OG0000559	Prao.g_00047	Praj.g_00597
OG0000560	Prao.g_00048	Praj.g_00598
OG0000561	Prao.g_00049	Praj.g_00599
OG0000562	Prao.g_00050	Praj.g_00600
OG0000563	Prao.g_00051	Praj.g_00601
OG0000564	Prao.g_00052	Praj.g_00602
OG0000565	Prao.g_00053	Praj.g_00603
OG0000566	Prao.g_00054	Praj.g_00604
OG0000567	Prao.g_00055	Praj.g_00605
OG0000568	Prao.g_00056	Praj.g_00606
OG0000569	Prao.g_00060	Praj.g_00609
OG0000570	Prao.g_00061	Praj.g_00610
OG0000571	Prao.g_00063	Praj.g_00611
OG0000572	Prao.g_00064	Praj.g_00613
OG0000573	Prao.g_00065	Praj.g_00614
OG0000574	Prao.g_00066	Praj.g_00615
