Orthogroup	Prau	Prbm
OG0000081	Prau.g_01899	Prbm.g_02067
OG0000082	Prau.g_01297	Prbm.g_02188
OG0000083	Prau.g_00003	Prbm.g_00003
OG0000084	Prau.g_00006	Prbm.g_00006
OG0000085	Prau.g_00023	Prbm.g_00023
OG0000086	Prau.g_00429, Prau.g_00422	Prbm.g_01170
OG0000087	Prau.g_00057	Prbm.g_00058
OG0000088	Prau.g_00114	Prbm.g_00172
OG0000089	Prau.g_00122	Prbm.g_00181
OG0000090	Prau.g_00140	Prbm.g_00198
OG0000091	Prau.g_00170	Prbm.g_00228
OG0000092	Prau.g_00171	Prbm.g_00229
OG0000093	Prau.g_00185	Prbm.g_00243
OG0000094	Prau.g_00203	Prbm.g_00262
OG0000095	Prau.g_00208	Prbm.g_00266
OG0000096	Prau.g_00253	Prbm.g_00310
OG0000097	Prau.g_00276	Prbm.g_00331
OG0000099	Prau.g_00296	Prbm.g_00350
OG0000100	Prau.g_00299	Prbm.g_00353
OG0000101	Prau.g_00359	Prbm.g_00425
OG0000102	Prau.g_00386	Prbm.g_01389
OG0000103	Prau.g_00517	Prbm.g_00501
OG0000104	Prau.g_00521	Prbm.g_00506
OG0000105	Prau.g_00540	Prbm.g_00533
OG0000106	Prau.g_00572	Prbm.g_00565
OG0000107	Prau.g_00573	Prbm.g_00566
OG0000108	Prau.g_00583	Prbm.g_00576
OG0000109	Prau.g_00592	Prbm.g_00585
OG0000110	Prau.g_00608	Prbm.g_00601
OG0000111	Prau.g_00691	Prbm.g_00682
OG0000112	Prau.g_00692	Prbm.g_00683
OG0000113	Prau.g_00777	Prbm.g_00766
OG0000114	Prau.g_00852	Prbm.g_00812
OG0000115	Prau.g_01015	Prbm.g_00988
OG0000116	Prau.g_01019	Prbm.g_00992
OG0000117	Prau.g_01086	Prbm.g_01061
OG0000118	Prau.g_01136	Prbm.g_01210
OG0000119	Prau.g_01177	Prbm.g_01913
OG0000120	Prau.g_01212	Prbm.g_01542
OG0000121	Prau.g_01231	Prbm.g_01519
OG0000122	Prau.g_01250	Prbm.g_01499
OG0000123	Prau.g_01263	Prbm.g_01489
OG0000124	Prau.g_01496, Prau.g_01271	Prbm.g_01054
OG0000125	Prau.g_01383	Prbm.g_01622
OG0000126	Prau.g_01409	Prbm.g_01660
OG0000127	Prau.g_01515	Prbm.g_01696
OG0000128	Prau.g_01532	Prbm.g_01711
OG0000129	Prau.g_01568	Prbm.g_01745
OG0000130	Prau.g_01730	Prbm.g_01839
OG0000131	Prau.g_01768	Prbm.g_01876
OG0000132	Prau.g_01771	Prbm.g_01878
OG0000133	Prau.g_01828	Prbm.g_01991
OG0000134	Prau.g_01864	Prbm.g_02027
OG0000135	Prau.g_01866	Prbm.g_02029
OG0000136	Prau.g_01910	Prbm.g_02079
OG0000137	Prau.g_01942	Prbm.g_02114
OG0000138	Prau.g_01978	Prbm.g_02176
OG0000139	Prau.g_02004	Prbm.g_02212
OG0000140	Prau.g_00001	Prbm.g_00001
OG0000141	Prau.g_00002	Prbm.g_00002
OG0000142	Prau.g_00004	Prbm.g_00004
OG0000143	Prau.g_00005	Prbm.g_00005
OG0000144	Prau.g_00007	Prbm.g_00007
OG0000145	Prau.g_00008	Prbm.g_00008
OG0000146	Prau.g_00009	Prbm.g_00009
OG0000147	Prau.g_00010	Prbm.g_00010
OG0000148	Prau.g_00012	Prbm.g_00012
OG0000149	Prau.g_00014	Prbm.g_00014
OG0000150	Prau.g_00015	Prbm.g_00015
OG0000151	Prau.g_00016	Prbm.g_00016
OG0000152	Prau.g_00017	Prbm.g_00017
OG0000153	Prau.g_00018	Prbm.g_00018
OG0000154	Prau.g_00019	Prbm.g_00019
OG0000155	Prau.g_00020	Prbm.g_00020
OG0000156	Prau.g_00021	Prbm.g_00021
OG0000157	Prau.g_00022	Prbm.g_00022
OG0000158	Prau.g_00024	Prbm.g_00024
OG0000159	Prau.g_00025	Prbm.g_00025
OG0000160	Prau.g_00026	Prbm.g_00026
OG0000161	Prau.g_00027	Prbm.g_00027
OG0000162	Prau.g_00028	Prbm.g_00028
OG0000163	Prau.g_00029	Prbm.g_00029
OG0000164	Prau.g_00031	Prbm.g_00032
OG0000165	Prau.g_00034	Prbm.g_00033
OG0000166	Prau.g_00035	Prbm.g_00034
OG0000167	Prau.g_00036	Prbm.g_00035
OG0000168	Prau.g_00047	Prbm.g_00049
OG0000169	Prau.g_00049	Prbm.g_00051
OG0000170	Prau.g_00050	Prbm.g_00052
OG0000171	Prau.g_00051	Prbm.g_00053
OG0000172	Prau.g_00053	Prbm.g_00054
OG0000173	Prau.g_00054	Prbm.g_00055
OG0000174	Prau.g_00055	Prbm.g_00056
OG0000175	Prau.g_00056	Prbm.g_00057
OG0000176	Prau.g_00058	Prbm.g_00059
OG0000177	Prau.g_00059	Prbm.g_00060
OG0000178	Prau.g_00060	Prbm.g_00061
OG0000179	Prau.g_00066	Prbm.g_00121
OG0000180	Prau.g_00067	Prbm.g_00122
OG0000181	Prau.g_00068	Prbm.g_00123
OG0000182	Prau.g_00071	Prbm.g_00126
OG0000183	Prau.g_00072	Prbm.g_00127
OG0000184	Prau.g_00074	Prbm.g_00130
OG0000185	Prau.g_00078	Prbm.g_00134
OG0000186	Prau.g_00079	Prbm.g_00135
OG0000187	Prau.g_00080	Prbm.g_00136
OG0000188	Prau.g_00081	Prbm.g_00137
OG0000189	Prau.g_00082	Prbm.g_00138
OG0000190	Prau.g_00083	Prbm.g_00139
OG0000191	Prau.g_00084	Prbm.g_00140
OG0000192	Prau.g_00085	Prbm.g_00141
OG0000193	Prau.g_00086	Prbm.g_00142
OG0000194	Prau.g_00087	Prbm.g_00143
OG0000195	Prau.g_00089	Prbm.g_00145
OG0000196	Prau.g_00090	Prbm.g_00146
OG0000197	Prau.g_00091	Prbm.g_00147
OG0000198	Prau.g_00092	Prbm.g_00148
OG0000199	Prau.g_00095	Prbm.g_00151
OG0000200	Prau.g_00096	Prbm.g_00152
OG0000201	Prau.g_00097	Prbm.g_00153
OG0000202	Prau.g_00098	Prbm.g_00154
OG0000203	Prau.g_00099	Prbm.g_00155
OG0000204	Prau.g_00100	Prbm.g_00156
OG0000205	Prau.g_00101	Prbm.g_00158
OG0000206	Prau.g_00102	Prbm.g_00159
OG0000207	Prau.g_00103	Prbm.g_00160
OG0000208	Prau.g_00104	Prbm.g_00161
OG0000209	Prau.g_00105	Prbm.g_00162
OG0000210	Prau.g_00107	Prbm.g_00163
OG0000211	Prau.g_00108	Prbm.g_00164
OG0000212	Prau.g_00109	Prbm.g_00165
OG0000213	Prau.g_00110	Prbm.g_00166
OG0000214	Prau.g_00112	Prbm.g_00170
OG0000215	Prau.g_00113	Prbm.g_00171
OG0000216	Prau.g_00115	Prbm.g_00173
OG0000217	Prau.g_00116	Prbm.g_00175
OG0000218	Prau.g_00117	Prbm.g_00176
OG0000219	Prau.g_00118	Prbm.g_00177
OG0000220	Prau.g_00121	Prbm.g_00179
OG0000221	Prau.g_00123	Prbm.g_00182
OG0000222	Prau.g_00124	Prbm.g_00183
OG0000223	Prau.g_00125	Prbm.g_00184
OG0000224	Prau.g_00128	Prbm.g_00187
OG0000225	Prau.g_00130	Prbm.g_00189
OG0000226	Prau.g_00131	Prbm.g_00191
OG0000227	Prau.g_00132	Prbm.g_00192
OG0000228	Prau.g_00133	Prbm.g_00193
OG0000229	Prau.g_00134	Prbm.g_00194
OG0000230	Prau.g_00135	Prbm.g_00195
OG0000231	Prau.g_00137	Prbm.g_01096
OG0000232	Prau.g_00138	Prbm.g_00196
OG0000233	Prau.g_00141	Prbm.g_00199
OG0000234	Prau.g_00143	Prbm.g_00202
OG0000235	Prau.g_00146	Prbm.g_00204
OG0000236	Prau.g_00147	Prbm.g_00205
OG0000237	Prau.g_00148	Prbm.g_00206
OG0000238	Prau.g_00149	Prbm.g_00207
OG0000239	Prau.g_00150	Prbm.g_00208
OG0000240	Prau.g_00152	Prbm.g_00210
OG0000241	Prau.g_00153	Prbm.g_00211
OG0000242	Prau.g_00154	Prbm.g_00212
OG0000243	Prau.g_00155	Prbm.g_00213
OG0000244	Prau.g_00156	Prbm.g_00214
OG0000245	Prau.g_00157	Prbm.g_00215
OG0000246	Prau.g_00159	Prbm.g_00217
OG0000247	Prau.g_00160	Prbm.g_00218
OG0000248	Prau.g_00161	Prbm.g_00219
OG0000249	Prau.g_00162	Prbm.g_00220
OG0000250	Prau.g_00163	Prbm.g_00221
OG0000251	Prau.g_00164	Prbm.g_00222
OG0000252	Prau.g_00165	Prbm.g_00223
OG0000253	Prau.g_00166	Prbm.g_00224
OG0000254	Prau.g_00168	Prbm.g_00226
OG0000255	Prau.g_00169	Prbm.g_00227
OG0000256	Prau.g_00172	Prbm.g_00230
OG0000257	Prau.g_00174	Prbm.g_00232
OG0000258	Prau.g_00175	Prbm.g_00233
OG0000259	Prau.g_00176	Prbm.g_00234
OG0000260	Prau.g_00177	Prbm.g_00235
OG0000261	Prau.g_00178	Prbm.g_00236
OG0000262	Prau.g_00179	Prbm.g_00237
OG0000263	Prau.g_00180	Prbm.g_00238
OG0000264	Prau.g_00182	Prbm.g_00240
OG0000265	Prau.g_00183	Prbm.g_00241
OG0000266	Prau.g_00184	Prbm.g_00242
OG0000267	Prau.g_00186	Prbm.g_00244
OG0000268	Prau.g_00187	Prbm.g_00246
OG0000269	Prau.g_00188	Prbm.g_00247
OG0000270	Prau.g_00189	Prbm.g_00248
OG0000271	Prau.g_00190	Prbm.g_00249
OG0000272	Prau.g_00191	Prbm.g_00250
OG0000273	Prau.g_00192	Prbm.g_00251
OG0000274	Prau.g_00193	Prbm.g_00252
OG0000275	Prau.g_00194	Prbm.g_00253
OG0000276	Prau.g_00195	Prbm.g_00254
OG0000277	Prau.g_00196	Prbm.g_00255
OG0000278	Prau.g_00197	Prbm.g_00256
OG0000279	Prau.g_00198	Prbm.g_00257
OG0000280	Prau.g_00199	Prbm.g_00258
OG0000281	Prau.g_00201	Prbm.g_00260
OG0000282	Prau.g_00202	Prbm.g_00261
OG0000283	Prau.g_00205	Prbm.g_00263
OG0000284	Prau.g_00206	Prbm.g_00264
OG0000285	Prau.g_00207	Prbm.g_00265
OG0000286	Prau.g_00209	Prbm.g_00267
OG0000287	Prau.g_00210	Prbm.g_00268
OG0000288	Prau.g_00211	Prbm.g_00269
OG0000289	Prau.g_00212	Prbm.g_00270
OG0000290	Prau.g_00213	Prbm.g_00271
OG0000291	Prau.g_00214	Prbm.g_00272
OG0000292	Prau.g_00215	Prbm.g_00273
OG0000293	Prau.g_00216	Prbm.g_00274
OG0000294	Prau.g_00217	Prbm.g_00275
OG0000295	Prau.g_00218	Prbm.g_00276
OG0000296	Prau.g_00219	Prbm.g_00277
OG0000297	Prau.g_00220	Prbm.g_00278
OG0000298	Prau.g_00221	Prbm.g_00279
OG0000299	Prau.g_00222	Prbm.g_00280
OG0000300	Prau.g_00223	Prbm.g_00281
OG0000301	Prau.g_00224	Prbm.g_00282
OG0000302	Prau.g_00225	Prbm.g_00283
OG0000303	Prau.g_00226	Prbm.g_00284
OG0000304	Prau.g_00227	Prbm.g_00285
OG0000305	Prau.g_00228	Prbm.g_00286
OG0000306	Prau.g_00229	Prbm.g_00287
OG0000307	Prau.g_00230	Prbm.g_00288
OG0000308	Prau.g_00231	Prbm.g_00289
OG0000309	Prau.g_00232	Prbm.g_00290
OG0000310	Prau.g_00233	Prbm.g_00291
OG0000311	Prau.g_00234	Prbm.g_00293
OG0000312	Prau.g_00236	Prbm.g_00295
OG0000313	Prau.g_00237	Prbm.g_00296
OG0000314	Prau.g_00240	Prbm.g_00300
OG0000315	Prau.g_00241	Prbm.g_00301
OG0000316	Prau.g_00244	Prbm.g_00303
OG0000317	Prau.g_00246	Prbm.g_00305
OG0000318	Prau.g_00247	Prbm.g_00306
OG0000319	Prau.g_00248	Prbm.g_00307
OG0000320	Prau.g_00249	Prbm.g_00308
OG0000321	Prau.g_00252	Prbm.g_00309
OG0000322	Prau.g_00255	Prbm.g_00312
OG0000323	Prau.g_00256	Prbm.g_00313
OG0000324	Prau.g_00259	Prbm.g_00317
OG0000325	Prau.g_00261	Prbm.g_00318
OG0000326	Prau.g_00262	Prbm.g_00319
OG0000327	Prau.g_00264	Prbm.g_00320
OG0000328	Prau.g_00265	Prbm.g_00321
OG0000329	Prau.g_00266	Prbm.g_00322
OG0000330	Prau.g_00267	Prbm.g_00323
OG0000331	Prau.g_00268	Prbm.g_00324
OG0000332	Prau.g_00269	Prbm.g_00325
OG0000333	Prau.g_00270	Prbm.g_00326
OG0000334	Prau.g_00271	Prbm.g_00327
OG0000335	Prau.g_00272	Prbm.g_00328
OG0000336	Prau.g_00273	Prbm.g_00330
OG0000337	Prau.g_00277	Prbm.g_00332
OG0000338	Prau.g_00278	Prbm.g_00333
OG0000339	Prau.g_00279	Prbm.g_00334
OG0000340	Prau.g_00280	Prbm.g_00335
OG0000341	Prau.g_00284	Prbm.g_00339
OG0000342	Prau.g_00285	Prbm.g_00340
OG0000343	Prau.g_00287	Prbm.g_00342
OG0000344	Prau.g_00288	Prbm.g_00343
OG0000345	Prau.g_00289	Prbm.g_00344
OG0000346	Prau.g_00290	Prbm.g_00345
OG0000347	Prau.g_00291	Prbm.g_00346
OG0000348	Prau.g_00292	Prbm.g_00347
OG0000349	Prau.g_00293	Prbm.g_00348
OG0000350	Prau.g_00294	Prbm.g_00349
OG0000351	Prau.g_00297	Prbm.g_00351
OG0000352	Prau.g_00300	Prbm.g_00354
OG0000353	Prau.g_00301	Prbm.g_00355
OG0000354	Prau.g_00302	Prbm.g_00356
OG0000355	Prau.g_00303	Prbm.g_00357
OG0000356	Prau.g_00304	Prbm.g_00358
OG0000357	Prau.g_00305	Prbm.g_00359
OG0000358	Prau.g_00306	Prbm.g_00360
OG0000359	Prau.g_00307	Prbm.g_00361
OG0000360	Prau.g_00310	Prbm.g_00364
OG0000361	Prau.g_00311	Prbm.g_00365
OG0000362	Prau.g_00312	Prbm.g_00366
OG0000363	Prau.g_00313	Prbm.g_00367
OG0000364	Prau.g_00314	Prbm.g_00368
OG0000365	Prau.g_00315	Prbm.g_00369
OG0000366	Prau.g_00316	Prbm.g_00370
OG0000367	Prau.g_00317	Prbm.g_00371
OG0000368	Prau.g_00318	Prbm.g_00372
OG0000369	Prau.g_00319	Prbm.g_00373
OG0000370	Prau.g_00320	Prbm.g_00374
OG0000371	Prau.g_00321	Prbm.g_00375
OG0000372	Prau.g_00323	Prbm.g_00376
OG0000373	Prau.g_00325	Prbm.g_00378
OG0000374	Prau.g_00326	Prbm.g_00379
OG0000375	Prau.g_00327	Prbm.g_00380
OG0000376	Prau.g_00329	Prbm.g_00382
OG0000377	Prau.g_00330	Prbm.g_00388
OG0000378	Prau.g_00331	Prbm.g_00768
OG0000379	Prau.g_00336	Prbm.g_00400
OG0000380	Prau.g_00337	Prbm.g_00402
OG0000381	Prau.g_00338	Prbm.g_00403
OG0000382	Prau.g_00340	Prbm.g_00404
OG0000383	Prau.g_00343	Prbm.g_00407
OG0000384	Prau.g_00344	Prbm.g_00408
OG0000385	Prau.g_00347	Prbm.g_00410
OG0000386	Prau.g_00348	Prbm.g_00411
OG0000387	Prau.g_00349	Prbm.g_00412
OG0000388	Prau.g_00350	Prbm.g_00413
OG0000389	Prau.g_00351	Prbm.g_00414
OG0000390	Prau.g_00352	Prbm.g_00415
OG0000391	Prau.g_00353	Prbm.g_00416
OG0000392	Prau.g_00354	Prbm.g_00417
OG0000393	Prau.g_00357	Prbm.g_00422
OG0000394	Prau.g_00358	Prbm.g_00423
OG0000395	Prau.g_00360	Prbm.g_00426
OG0000396	Prau.g_00361	Prbm.g_00866
OG0000397	Prau.g_00374	Prbm.g_01088
OG0000398	Prau.g_00382	Prbm.g_01121
OG0000399	Prau.g_00383	Prbm.g_01353
OG0000400	Prau.g_00389	Prbm.g_01949
OG0000401	Prau.g_00472	Prbm.g_00440
OG0000402	Prau.g_00473	Prbm.g_00441
OG0000403	Prau.g_00474	Prbm.g_00442
OG0000404	Prau.g_00476	Prbm.g_00445
OG0000405	Prau.g_00477	Prbm.g_00446
OG0000406	Prau.g_00479	Prbm.g_00448
OG0000407	Prau.g_00480	Prbm.g_00449
OG0000408	Prau.g_00481	Prbm.g_00450
OG0000409	Prau.g_00482	Prbm.g_00451
OG0000410	Prau.g_00483	Prbm.g_00452
OG0000411	Prau.g_00484	Prbm.g_00453
OG0000412	Prau.g_00485	Prbm.g_00454
OG0000413	Prau.g_00486	Prbm.g_00455
OG0000414	Prau.g_00487	Prbm.g_00456
OG0000415	Prau.g_00488	Prbm.g_00457
OG0000416	Prau.g_00489	Prbm.g_00458
OG0000417	Prau.g_00490	Prbm.g_00459
OG0000418	Prau.g_00491	Prbm.g_00460
OG0000419	Prau.g_00492	Prbm.g_00461
OG0000420	Prau.g_00493	Prbm.g_00462
OG0000421	Prau.g_00494	Prbm.g_00480
OG0000422	Prau.g_00496	Prbm.g_00482
OG0000423	Prau.g_00497	Prbm.g_00483
OG0000424	Prau.g_00499	Prbm.g_00484
OG0000425	Prau.g_00503	Prbm.g_00490
OG0000426	Prau.g_00504	Prbm.g_00491
OG0000427	Prau.g_00505	Prbm.g_00492
OG0000428	Prau.g_00506	Prbm.g_00494
OG0000429	Prau.g_00507	Prbm.g_00495
OG0000430	Prau.g_00512	Prbm.g_00497
OG0000431	Prau.g_00514	Prbm.g_00498
OG0000432	Prau.g_00515	Prbm.g_00499
OG0000433	Prau.g_00518	Prbm.g_00502
OG0000434	Prau.g_00519	Prbm.g_00504
OG0000435	Prau.g_00520	Prbm.g_00505
OG0000436	Prau.g_00522	Prbm.g_00507
OG0000437	Prau.g_00524	Prbm.g_00509
OG0000438	Prau.g_00525	Prbm.g_00510
OG0000439	Prau.g_00526	Prbm.g_00511
OG0000440	Prau.g_00528	Prbm.g_00512
OG0000441	Prau.g_00529	Prbm.g_00513
OG0000442	Prau.g_00530	Prbm.g_00514
OG0000443	Prau.g_00531	Prbm.g_00515
OG0000444	Prau.g_00532	Prbm.g_00516
OG0000445	Prau.g_00533	Prbm.g_00517
OG0000446	Prau.g_00534	Prbm.g_00518
OG0000447	Prau.g_00535	Prbm.g_00519
OG0000448	Prau.g_00536	Prbm.g_00520
OG0000449	Prau.g_00541	Prbm.g_00534
OG0000450	Prau.g_00542	Prbm.g_00535
OG0000451	Prau.g_00543	Prbm.g_00536
OG0000452	Prau.g_00544	Prbm.g_00537
OG0000453	Prau.g_00546	Prbm.g_00539
OG0000454	Prau.g_00547	Prbm.g_00540
OG0000455	Prau.g_00548	Prbm.g_00541
OG0000456	Prau.g_00549	Prbm.g_00542
OG0000457	Prau.g_00551	Prbm.g_00544
OG0000458	Prau.g_00553	Prbm.g_00546
OG0000459	Prau.g_00554	Prbm.g_00547
OG0000460	Prau.g_00556	Prbm.g_00549
OG0000461	Prau.g_00557	Prbm.g_00550
OG0000462	Prau.g_00558	Prbm.g_00551
OG0000463	Prau.g_00559	Prbm.g_00553
OG0000464	Prau.g_00564	Prbm.g_00557
OG0000465	Prau.g_00565	Prbm.g_00558
OG0000466	Prau.g_00566	Prbm.g_00559
OG0000467	Prau.g_00567	Prbm.g_00560
OG0000468	Prau.g_00568	Prbm.g_00561
OG0000469	Prau.g_00569	Prbm.g_00562
OG0000470	Prau.g_00570	Prbm.g_00563
OG0000471	Prau.g_00571	Prbm.g_00564
OG0000472	Prau.g_00574	Prbm.g_00567
OG0000473	Prau.g_00575	Prbm.g_00568
OG0000474	Prau.g_00576	Prbm.g_00569
OG0000475	Prau.g_00577	Prbm.g_00570
OG0000476	Prau.g_00578	Prbm.g_00571
OG0000477	Prau.g_00580	Prbm.g_00573
OG0000478	Prau.g_00581	Prbm.g_00574
OG0000479	Prau.g_00582	Prbm.g_00575
OG0000480	Prau.g_00584	Prbm.g_00577
OG0000481	Prau.g_00585	Prbm.g_00578
OG0000482	Prau.g_00586	Prbm.g_00579
OG0000483	Prau.g_00587	Prbm.g_00580
OG0000484	Prau.g_00588	Prbm.g_00581
OG0000485	Prau.g_00589	Prbm.g_00582
OG0000486	Prau.g_00590	Prbm.g_00583
OG0000487	Prau.g_00591	Prbm.g_00584
OG0000488	Prau.g_00593	Prbm.g_00586
OG0000489	Prau.g_00594	Prbm.g_00587
OG0000490	Prau.g_00595	Prbm.g_00588
OG0000491	Prau.g_00596	Prbm.g_00589
OG0000492	Prau.g_00597	Prbm.g_00590
OG0000493	Prau.g_00598	Prbm.g_00591
OG0000494	Prau.g_00600	Prbm.g_00593
OG0000495	Prau.g_00601	Prbm.g_00594
OG0000496	Prau.g_00602	Prbm.g_00595
OG0000497	Prau.g_00603	Prbm.g_00596
OG0000498	Prau.g_00604	Prbm.g_00597
OG0000499	Prau.g_00606	Prbm.g_00599
OG0000500	Prau.g_00607	Prbm.g_00600
OG0000501	Prau.g_00609	Prbm.g_00602
OG0000502	Prau.g_00610	Prbm.g_00603
OG0000503	Prau.g_00611	Prbm.g_00604
OG0000504	Prau.g_00612	Prbm.g_00605
OG0000505	Prau.g_00613	Prbm.g_00606
OG0000506	Prau.g_00614	Prbm.g_00607
OG0000507	Prau.g_00615	Prbm.g_00608
OG0000508	Prau.g_00617	Prbm.g_00609
OG0000509	Prau.g_00618	Prbm.g_00610
OG0000510	Prau.g_00619	Prbm.g_00611
OG0000511	Prau.g_00620	Prbm.g_00612
OG0000512	Prau.g_00621	Prbm.g_00613
OG0000513	Prau.g_00622	Prbm.g_00614
OG0000514	Prau.g_00623	Prbm.g_00615
OG0000515	Prau.g_00625	Prbm.g_00616
OG0000516	Prau.g_00626	Prbm.g_00617
OG0000517	Prau.g_00627	Prbm.g_00618
OG0000518	Prau.g_00629	Prbm.g_00620
OG0000519	Prau.g_00630	Prbm.g_00621
OG0000520	Prau.g_00631	Prbm.g_00624
OG0000521	Prau.g_00632	Prbm.g_00623
OG0000522	Prau.g_00633	Prbm.g_00625
OG0000523	Prau.g_00634	Prbm.g_00626
OG0000524	Prau.g_00635	Prbm.g_00627
OG0000525	Prau.g_00637	Prbm.g_00629
OG0000526	Prau.g_00638	Prbm.g_00630
OG0000527	Prau.g_00639	Prbm.g_00631
OG0000528	Prau.g_00640	Prbm.g_00632
OG0000529	Prau.g_00641	Prbm.g_00633
OG0000530	Prau.g_00642	Prbm.g_00634
OG0000531	Prau.g_00643	Prbm.g_00636
OG0000532	Prau.g_00644	Prbm.g_00637
OG0000533	Prau.g_00645	Prbm.g_00638
OG0000534	Prau.g_00646	Prbm.g_00639
OG0000535	Prau.g_00647	Prbm.g_00640
OG0000536	Prau.g_00648	Prbm.g_00641
OG0000537	Prau.g_00649	Prbm.g_00642
