Orthogroup	Syai	Prax
OG0000061	Syai.g_02144	Prax.g_00200
OG0000062	Syai.g_02358	Prax.g_01650
OG0000063	Syai.g_00042	Prax.g_00280
OG0000066	Syai.g_01709, Syai.g_00719	Prax.g_00662
OG0000067	Syai.g_01321	Prax.g_00373
OG0000068	Syai.g_00628	Prax.g_01863
OG0000070	Syai.g_02196	Prax.g_00750
OG0000071	Syai.g_02179	Prax.g_01899
OG0000072	Syai.g_02636	Prax.g_01047
OG0000073	Syai.g_00659	Prax.g_00702
OG0000075	Syai.g_00161	Prax.g_01370
OG0000076	Syai.g_00111	Prax.g_01394
OG0000077	Syai.g_02486	Prax.g_00649
OG0000078	Syai.g_00543	Prax.g_00979
OG0000079	Syai.g_00300	Prax.g_00923
OG0000081	Syai.g_00553, Syai.g_02292	Prax.g_00670
OG0000082	Syai.g_00781	Prax.g_00045
OG0000084	Syai.g_01196, Syai.g_00958	Prax.g_01737
OG0000085	Syai.g_02365	Prax.g_01566
OG0000086	Syai.g_02507	Prax.g_00659
OG0000087	Syai.g_02592	Prax.g_01079
OG0000088	Syai.g_02630	Prax.g_01052
OG0000089	Syai.g_00517	Prax.g_00817
OG0000090	Syai.g_00707	Prax.g_00668
OG0000091	Syai.g_01112	Prax.g_00101
OG0000092	Syai.g_01358	Prax.g_00566
OG0000093	Syai.g_01306	Prax.g_00588
OG0000094	Syai.g_01424	Prax.g_01185
OG0000095	Syai.g_02007	Prax.g_01204
OG0000097	Syai.g_01787	Prax.g_00241
OG0000098	Syai.g_01718	Prax.g_01881
OG0000099	Syai.g_00199	Prax.g_01825
OG0000100	Syai.g_01372	Prax.g_01654
OG0000101	Syai.g_00404	Prax.g_01338
OG0000102	Syai.g_00106	Prax.g_01399
OG0000103	Syai.g_02912	Prax.g_01478
OG0000104	Syai.g_02929	Prax.g_01486
OG0000105	Syai.g_00267	Prax.g_00901
OG0000106	Syai.g_01601	Prax.g_00803
OG0000107	Syai.g_00319	Prax.g_00790
OG0000108	Syai.g_00638	Prax.g_00722
OG0000109	Syai.g_00653	Prax.g_00707
OG0000110	Syai.g_00878, Syai.g_00766	Prax.g_00035
OG0000111	Syai.g_00884, Syai.g_01998	Prax.g_00943
OG0000112	Syai.g_01512	Prax.g_00409
OG0000113	Syai.g_01367	Prax.g_00351
OG0000114	Syai.g_01261	Prax.g_00561
OG0000115	Syai.g_00932	Prax.g_00132
OG0000116	Syai.g_02156	Prax.g_00190
OG0000117	Syai.g_01756	Prax.g_01959
OG0000118	Syai.g_00818	Prax.g_01887
OG0000119	Syai.g_02127	Prax.g_01867
OG0000120	Syai.g_00198	Prax.g_01832
OG0000121	Syai.g_00951	Prax.g_01726
OG0000122	Syai.g_01143	Prax.g_01688
OG0000123	Syai.g_00411	Prax.g_01345
OG0000124	Syai.g_00089	Prax.g_01410
OG0000125	Syai.g_02782	Prax.g_01447
OG0000126	Syai.g_02927	Prax.g_01485
OG0000128	Syai.g_00012	Prax.g_01974
OG0000129	Syai.g_02771	Prax.g_00269
OG0000130	Syai.g_02474	Prax.g_00640
OG0000131	Syai.g_02608	Prax.g_01073
OG0000132	Syai.g_02628	Prax.g_01054
OG0000133	Syai.g_01507	Prax.g_00853, Prax.g_00852, Prax.g_01783
OG0000134	Syai.g_00520	Prax.g_00816, Prax.g_01573
OG0000135	Syai.g_02826	Prax.g_00792
OG0000136	Syai.g_02217	Prax.g_00759
OG0000137	Syai.g_00865	Prax.g_00727
OG0000138	Syai.g_00654	Prax.g_00706
OG0000139	Syai.g_00714	Prax.g_00664
OG0000140	Syai.g_00716	Prax.g_00663
OG0000141	Syai.g_01041	Prax.g_00066
OG0000142	Syai.g_01104	Prax.g_00094
OG0000143	Syai.g_01108	Prax.g_00098
OG0000144	Syai.g_01608	Prax.g_00111
OG0000145	Syai.g_00660	Prax.g_00413
OG0000146	Syai.g_01513	Prax.g_00408
OG0000147	Syai.g_01514	Prax.g_00407
OG0000148	Syai.g_01361	Prax.g_00357
OG0000149	Syai.g_02059	Prax.g_00326
OG0000150	Syai.g_00717	Prax.g_00318
OG0000151	Syai.g_01280	Prax.g_00571
OG0000152	Syai.g_01503	Prax.g_01129
OG0000153	Syai.g_01461	Prax.g_01148
OG0000154	Syai.g_01434	Prax.g_01178
OG0000155	Syai.g_02109	Prax.g_00220
OG0000156	Syai.g_02162	Prax.g_01910
OG0000157	Syai.g_02163	Prax.g_01909
OG0000158	Syai.g_00135	Prax.g_01780
OG0000160	Syai.g_00952	Prax.g_01727
OG0000161	Syai.g_00946	Prax.g_01721
OG0000162	Syai.g_00939	Prax.g_01715
OG0000163	Syai.g_02300	Prax.g_01681
OG0000164	Syai.g_02411	Prax.g_01535
OG0000165	Syai.g_02244	Prax.g_01528
OG0000166	Syai.g_00364	Prax.g_01302
OG0000167	Syai.g_00164	Prax.g_01368
OG0000168	Syai.g_00134	Prax.g_01378
OG0000169	Syai.g_00123	Prax.g_01388
OG0000170	Syai.g_00116	Prax.g_01390
OG0000171	Syai.g_00090	Prax.g_01409
OG0000172	Syai.g_00083	Prax.g_01418
OG0000173	Syai.g_00064	Prax.g_01433
OG0000174	Syai.g_02828	Prax.g_01460
OG0000175	Syai.g_02901	Prax.g_01470
OG0000176	Syai.g_00004	Prax.g_01494
OG0000177	Syai.g_00005	Prax.g_01495
OG0000178	Syai.g_00006	Prax.g_01496
OG0000179	Syai.g_00023	Prax.g_00297
OG0000180	Syai.g_00024	Prax.g_00296
OG0000181	Syai.g_00025	Prax.g_00295
OG0000182	Syai.g_00026	Prax.g_00294
OG0000183	Syai.g_00030	Prax.g_00290
OG0000184	Syai.g_02756	Prax.g_00621
OG0000185	Syai.g_02734	Prax.g_00624
OG0000186	Syai.g_02469	Prax.g_00635
OG0000187	Syai.g_02471	Prax.g_00636
OG0000188	Syai.g_00696, Syai.g_02494	Prax.g_00653
OG0000189	Syai.g_02530	Prax.g_01122
OG0000190	Syai.g_02532	Prax.g_01121
OG0000191	Syai.g_02562	Prax.g_01101
OG0000192	Syai.g_02569	Prax.g_01097
OG0000193	Syai.g_02609	Prax.g_01072
OG0000194	Syai.g_02612	Prax.g_01069
OG0000195	Syai.g_02614	Prax.g_01067
OG0000196	Syai.g_02625	Prax.g_01057
OG0000197	Syai.g_02626	Prax.g_01056
OG0000198	Syai.g_02627	Prax.g_01055
OG0000199	Syai.g_02635	Prax.g_01048
OG0000200	Syai.g_02651	Prax.g_01034
OG0000201	Syai.g_02667	Prax.g_01026
OG0000202	Syai.g_02668	Prax.g_01025
OG0000203	Syai.g_02669	Prax.g_01024
OG0000204	Syai.g_02670	Prax.g_01023
OG0000205	Syai.g_02677	Prax.g_01016
OG0000206	Syai.g_02684	Prax.g_01011
OG0000207	Syai.g_02686	Prax.g_01009
OG0000208	Syai.g_02687	Prax.g_01008
OG0000209	Syai.g_02699	Prax.g_00999
OG0000210	Syai.g_02700	Prax.g_00998
OG0000211	Syai.g_00533	Prax.g_00985
OG0000212	Syai.g_00544	Prax.g_00978
OG0000213	Syai.g_00292	Prax.g_00918
OG0000214	Syai.g_00276	Prax.g_00908
OG0000215	Syai.g_00245	Prax.g_00883
OG0000216	Syai.g_00241	Prax.g_00881
OG0000217	Syai.g_00237	Prax.g_00878
OG0000218	Syai.g_00235	Prax.g_00876
OG0000219	Syai.g_00234	Prax.g_00875
OG0000220	Syai.g_00233	Prax.g_00874
OG0000221	Syai.g_00227	Prax.g_00873
OG0000222	Syai.g_00215	Prax.g_00865
OG0000223	Syai.g_00194	Prax.g_00850
OG0000224	Syai.g_00186	Prax.g_00848
OG0000225	Syai.g_00502	Prax.g_00827
OG0000226	Syai.g_00506	Prax.g_00823
OG0000227	Syai.g_00508	Prax.g_00821
OG0000228	Syai.g_00516	Prax.g_00818
OG0000229	Syai.g_02228	Prax.g_00764
OG0000230	Syai.g_02226	Prax.g_00762
OG0000231	Syai.g_02208	Prax.g_00751
OG0000232	Syai.g_00846	Prax.g_00743
OG0000233	Syai.g_00855	Prax.g_00738
OG0000234	Syai.g_00866	Prax.g_00726
OG0000235	Syai.g_00637	Prax.g_00723
OG0000236	Syai.g_00652	Prax.g_00708
OG0000237	Syai.g_00669	Prax.g_00695
OG0000238	Syai.g_00674	Prax.g_00689
OG0000239	Syai.g_00691	Prax.g_00676
OG0000240	Syai.g_00692	Prax.g_00675
OG0000241	Syai.g_01085, Syai.g_01089	Prax.g_00671
OG0000242	Syai.g_00705	Prax.g_00669
OG0000243	Syai.g_00726	Prax.g_00004
OG0000244	Syai.g_00731	Prax.g_00007
OG0000245	Syai.g_00733	Prax.g_00009
OG0000246	Syai.g_00737	Prax.g_00013
OG0000247	Syai.g_00748	Prax.g_00023
OG0000248	Syai.g_00751	Prax.g_00025
OG0000249	Syai.g_00753	Prax.g_00027
OG0000250	Syai.g_00762	Prax.g_00032
OG0000251	Syai.g_00789	Prax.g_00050
OG0000252	Syai.g_00797	Prax.g_00053
OG0000253	Syai.g_00798	Prax.g_00054
OG0000254	Syai.g_01045	Prax.g_00070
OG0000255	Syai.g_01061	Prax.g_00076
OG0000256	Syai.g_01077	Prax.g_00086
OG0000257	Syai.g_01084	Prax.g_00089
OG0000258	Syai.g_01113	Prax.g_00102
OG0000259	Syai.g_01229	Prax.g_00119
OG0000260	Syai.g_01232	Prax.g_00122
OG0000261	Syai.g_01235	Prax.g_00977
OG0000262	Syai.g_01240	Prax.g_00973
OG0000263	Syai.g_01776	Prax.g_00961
OG0000264	Syai.g_01962	Prax.g_00951
OG0000265	Syai.g_02245	Prax.g_00485
OG0000266	Syai.g_01401	Prax.g_00475
OG0000267	Syai.g_01569	Prax.g_00464
OG0000268	Syai.g_01568	Prax.g_00463
OG0000269	Syai.g_01316	Prax.g_00378
OG0000270	Syai.g_01319	Prax.g_00375
OG0000271	Syai.g_01327	Prax.g_00367
OG0000272	Syai.g_01328	Prax.g_00366
OG0000273	Syai.g_02037	Prax.g_00343
OG0000274	Syai.g_02038	Prax.g_00342
OG0000275	Syai.g_02043	Prax.g_00339
OG0000276	Syai.g_02051	Prax.g_00334
OG0000277	Syai.g_02052	Prax.g_00333
OG0000278	Syai.g_02055	Prax.g_00330
OG0000279	Syai.g_02063	Prax.g_00323
OG0000280	Syai.g_02084	Prax.g_00322
OG0000281	Syai.g_01719	Prax.g_00317
OG0000282	Syai.g_01263	Prax.g_00563
OG0000283	Syai.g_01554	Prax.g_00597
OG0000284	Syai.g_01548	Prax.g_00602
OG0000285	Syai.g_01522	Prax.g_00607
OG0000286	Syai.g_01504	Prax.g_00619
OG0000287	Syai.g_01469	Prax.g_01145
OG0000288	Syai.g_01435	Prax.g_01177
OG0000289	Syai.g_01421	Prax.g_01188
OG0000290	Syai.g_02010	Prax.g_01201
OG0000291	Syai.g_02008	Prax.g_01203
OG0000292	Syai.g_02926	Prax.g_01759, Prax.g_01254
OG0000293	Syai.g_02155	Prax.g_00191
OG0000294	Syai.g_02154	Prax.g_00192
OG0000295	Syai.g_02117	Prax.g_00212
OG0000296	Syai.g_02115	Prax.g_00214
OG0000297	Syai.g_01754	Prax.g_00222
OG0000298	Syai.g_01755	Prax.g_00223
OG0000299	Syai.g_01783	Prax.g_00240
OG0000300	Syai.g_01790	Prax.g_00243
OG0000301	Syai.g_01791	Prax.g_00244
OG0000302	Syai.g_01793	Prax.g_00246
OG0000303	Syai.g_01802	Prax.g_00253
OG0000304	Syai.g_01826	Prax.g_00257
OG0000305	Syai.g_02005	Prax.g_01871
OG0000306	Syai.g_02090	Prax.g_01868
OG0000307	Syai.g_00619	Prax.g_01854
OG0000308	Syai.g_00617	Prax.g_01853
OG0000309	Syai.g_00612	Prax.g_01849
OG0000310	Syai.g_00989	Prax.g_01748
OG0000311	Syai.g_00985	Prax.g_01746
OG0000312	Syai.g_00966	Prax.g_01743
OG0000313	Syai.g_00949	Prax.g_01724
OG0000314	Syai.g_00908	Prax.g_01701
OG0000315	Syai.g_00897	Prax.g_01691
OG0000316	Syai.g_02320, Syai.g_02322	Prax.g_01671
OG0000317	Syai.g_02373	Prax.g_01561
OG0000318	Syai.g_02379	Prax.g_01558
OG0000319	Syai.g_02395	Prax.g_01545
OG0000320	Syai.g_02397	Prax.g_01543
OG0000321	Syai.g_02398	Prax.g_01542
OG0000322	Syai.g_02399	Prax.g_01541
OG0000323	Syai.g_02413	Prax.g_01532
OG0000324	Syai.g_02272	Prax.g_01505
OG0000325	Syai.g_00320	Prax.g_01263
OG0000326	Syai.g_00327	Prax.g_01269
OG0000327	Syai.g_00359	Prax.g_01297
OG0000328	Syai.g_00360	Prax.g_01298
OG0000329	Syai.g_00378	Prax.g_01315
OG0000330	Syai.g_00379	Prax.g_01316
OG0000331	Syai.g_00380	Prax.g_01317
OG0000332	Syai.g_00395	Prax.g_01331
OG0000333	Syai.g_00398	Prax.g_01333
OG0000334	Syai.g_00407	Prax.g_01341
OG0000335	Syai.g_00412	Prax.g_01346
OG0000336	Syai.g_00416	Prax.g_01350
OG0000337	Syai.g_00169	Prax.g_01366
OG0000338	Syai.g_00166	Prax.g_01367
OG0000339	Syai.g_00160	Prax.g_01371
OG0000340	Syai.g_00133	Prax.g_01379
OG0000341	Syai.g_00131	Prax.g_01381
OG0000342	Syai.g_00130	Prax.g_01382
OG0000343	Syai.g_00129	Prax.g_01383
OG0000344	Syai.g_00125	Prax.g_01386
OG0000345	Syai.g_00115	Prax.g_01391
OG0000346	Syai.g_00110	Prax.g_01395
OG0000347	Syai.g_00087	Prax.g_01411
OG0000348	Syai.g_00076	Prax.g_01421
OG0000349	Syai.g_00057	Prax.g_01438
OG0000350	Syai.g_00334	Prax.g_01456
OG0000351	Syai.g_02904	Prax.g_01473
OG0000352	Syai.g_02905	Prax.g_01474
OG0000353	Syai.g_02932	Prax.g_01489
OG0000355	Syai.g_00001	Prax.g_01491
OG0000356	Syai.g_00002	Prax.g_01492
OG0000357	Syai.g_00003	Prax.g_01493
OG0000358	Syai.g_00007	Prax.g_01497
OG0000359	Syai.g_00009	Prax.g_01498
OG0000360	Syai.g_00010	Prax.g_01499
OG0000361	Syai.g_00011	Prax.g_01975
OG0000362	Syai.g_00013	Prax.g_01973
OG0000363	Syai.g_00015	Prax.g_00299
OG0000364	Syai.g_00016	Prax.g_00298
OG0000365	Syai.g_00027	Prax.g_00293
OG0000366	Syai.g_00028	Prax.g_00292
OG0000367	Syai.g_00029	Prax.g_00291
OG0000368	Syai.g_00031	Prax.g_00289
OG0000369	Syai.g_00032	Prax.g_00288
OG0000370	Syai.g_00033	Prax.g_00287
OG0000371	Syai.g_00041	Prax.g_00281
OG0000372	Syai.g_00047	Prax.g_00278
OG0000373	Syai.g_00048	Prax.g_00277
OG0000374	Syai.g_00049	Prax.g_00276
OG0000375	Syai.g_00053	Prax.g_00273
OG0000376	Syai.g_00055	Prax.g_00271
OG0000377	Syai.g_02769	Prax.g_00261
OG0000378	Syai.g_02751	Prax.g_00622
OG0000379	Syai.g_02733	Prax.g_00625
OG0000380	Syai.g_02472	Prax.g_00637
OG0000381	Syai.g_02475	Prax.g_00641
OG0000382	Syai.g_02493	Prax.g_00652
OG0000383	Syai.g_02498	Prax.g_00654
OG0000384	Syai.g_02499	Prax.g_00655
OG0000385	Syai.g_02500	Prax.g_00656
OG0000386	Syai.g_02501	Prax.g_00657
OG0000387	Syai.g_02534	Prax.g_01119
OG0000388	Syai.g_02538	Prax.g_01116
OG0000389	Syai.g_02542	Prax.g_01113
OG0000390	Syai.g_02556	Prax.g_01106
OG0000391	Syai.g_02561	Prax.g_01102
OG0000392	Syai.g_02568	Prax.g_01098
OG0000393	Syai.g_02570	Prax.g_01096
OG0000394	Syai.g_02571	Prax.g_01095
OG0000395	Syai.g_02572	Prax.g_01094
OG0000396	Syai.g_02575	Prax.g_01091
OG0000397	Syai.g_02577	Prax.g_01089
OG0000398	Syai.g_02582	Prax.g_01087
OG0000399	Syai.g_02583	Prax.g_01086
OG0000400	Syai.g_02584	Prax.g_01085
OG0000401	Syai.g_02585	Prax.g_01084
OG0000402	Syai.g_02588	Prax.g_01082
OG0000403	Syai.g_02589	Prax.g_01081
OG0000404	Syai.g_02590	Prax.g_01080
OG0000405	Syai.g_02606	Prax.g_01076
OG0000406	Syai.g_02610	Prax.g_01071
OG0000407	Syai.g_02611	Prax.g_01070
OG0000408	Syai.g_02613	Prax.g_01068
OG0000409	Syai.g_02615	Prax.g_01066
OG0000410	Syai.g_02616	Prax.g_01065
OG0000411	Syai.g_02617	Prax.g_01064
OG0000412	Syai.g_02618	Prax.g_01063
OG0000413	Syai.g_02620	Prax.g_01062
OG0000414	Syai.g_02621	Prax.g_01061
OG0000415	Syai.g_02622	Prax.g_01060
OG0000416	Syai.g_02623	Prax.g_01059
OG0000417	Syai.g_02624	Prax.g_01058
OG0000418	Syai.g_02629	Prax.g_01053
OG0000419	Syai.g_02631	Prax.g_01051
OG0000420	Syai.g_02633	Prax.g_01050
OG0000421	Syai.g_02638	Prax.g_01045
OG0000422	Syai.g_02639	Prax.g_01044
OG0000423	Syai.g_02640	Prax.g_01043
OG0000424	Syai.g_02641	Prax.g_01042
OG0000425	Syai.g_02642	Prax.g_01041
OG0000426	Syai.g_02643	Prax.g_01040
OG0000427	Syai.g_02644	Prax.g_01039
OG0000428	Syai.g_02647	Prax.g_01037
OG0000429	Syai.g_02649	Prax.g_01036
OG0000430	Syai.g_02650	Prax.g_01035
OG0000431	Syai.g_02654	Prax.g_01033
OG0000432	Syai.g_02660	Prax.g_01030
OG0000433	Syai.g_02662	Prax.g_01029
OG0000434	Syai.g_02663	Prax.g_01028
OG0000435	Syai.g_02666	Prax.g_01027
OG0000436	Syai.g_02671	Prax.g_01022
OG0000437	Syai.g_02672	Prax.g_01021
OG0000438	Syai.g_02673	Prax.g_01020
OG0000439	Syai.g_02675	Prax.g_01018
OG0000440	Syai.g_02676	Prax.g_01017
OG0000441	Syai.g_02681	Prax.g_01014
OG0000442	Syai.g_02682	Prax.g_01013
OG0000443	Syai.g_02683	Prax.g_01012
OG0000444	Syai.g_02688	Prax.g_01007
OG0000445	Syai.g_02689	Prax.g_01006
OG0000446	Syai.g_02690	Prax.g_01005
OG0000447	Syai.g_02693	Prax.g_01004
OG0000448	Syai.g_02694	Prax.g_01003
OG0000449	Syai.g_02695	Prax.g_01002
OG0000450	Syai.g_02696	Prax.g_01001
OG0000451	Syai.g_02697	Prax.g_01000
OG0000452	Syai.g_02701	Prax.g_00997
OG0000453	Syai.g_02702	Prax.g_00996
OG0000454	Syai.g_02703	Prax.g_00995
OG0000455	Syai.g_02704	Prax.g_00994
OG0000456	Syai.g_02705	Prax.g_00993
OG0000457	Syai.g_02707	Prax.g_00992
OG0000458	Syai.g_02708	Prax.g_00991
OG0000459	Syai.g_02709	Prax.g_00990
OG0000460	Syai.g_00535	Prax.g_00983
OG0000461	Syai.g_00314	Prax.g_00933
OG0000462	Syai.g_00311	Prax.g_00931
OG0000463	Syai.g_00310	Prax.g_00930
OG0000464	Syai.g_00309	Prax.g_00929
OG0000465	Syai.g_00307	Prax.g_00928
OG0000466	Syai.g_00303	Prax.g_00925
OG0000467	Syai.g_00301	Prax.g_00924
OG0000468	Syai.g_00296	Prax.g_00922
OG0000469	Syai.g_00282	Prax.g_00913
OG0000470	Syai.g_00280	Prax.g_00911
OG0000471	Syai.g_00279	Prax.g_00910
OG0000472	Syai.g_00277	Prax.g_00909
OG0000473	Syai.g_00275	Prax.g_00907
OG0000474	Syai.g_00274	Prax.g_00906
OG0000475	Syai.g_00273	Prax.g_00905
OG0000476	Syai.g_00271	Prax.g_00904
OG0000477	Syai.g_00265	Prax.g_00900
OG0000478	Syai.g_00264	Prax.g_00899
OG0000479	Syai.g_00263	Prax.g_00898
OG0000480	Syai.g_00256	Prax.g_00893
OG0000481	Syai.g_00254	Prax.g_00891
OG0000482	Syai.g_00253	Prax.g_00890
OG0000483	Syai.g_00249	Prax.g_00887
OG0000484	Syai.g_00248	Prax.g_00886
OG0000485	Syai.g_00247	Prax.g_00885
OG0000486	Syai.g_00246	Prax.g_00884
OG0000487	Syai.g_00240	Prax.g_00880
OG0000488	Syai.g_00236	Prax.g_00877
OG0000489	Syai.g_00226	Prax.g_00872
OG0000490	Syai.g_00218	Prax.g_00867
OG0000491	Syai.g_00217	Prax.g_00866
OG0000492	Syai.g_00214	Prax.g_00864
OG0000493	Syai.g_00213	Prax.g_00863
OG0000494	Syai.g_00212	Prax.g_00862
OG0000495	Syai.g_00211	Prax.g_00861
OG0000496	Syai.g_00210	Prax.g_00860
OG0000497	Syai.g_00209	Prax.g_00859
OG0000498	Syai.g_00208	Prax.g_00858
OG0000499	Syai.g_00207	Prax.g_00857
OG0000500	Syai.g_00206	Prax.g_00856
OG0000501	Syai.g_00203	Prax.g_00854
OG0000502	Syai.g_00192	Prax.g_00849
OG0000503	Syai.g_00486	Prax.g_00839
OG0000504	Syai.g_00488	Prax.g_00838
OG0000505	Syai.g_00489	Prax.g_00837
OG0000506	Syai.g_00491	Prax.g_00835
OG0000507	Syai.g_00497	Prax.g_00832
OG0000508	Syai.g_00501	Prax.g_00828
OG0000509	Syai.g_00503	Prax.g_00826
OG0000510	Syai.g_00504	Prax.g_00825
OG0000511	Syai.g_00505	Prax.g_00824
OG0000512	Syai.g_00507	Prax.g_00822
OG0000513	Syai.g_00521	Prax.g_00815
OG0000514	Syai.g_00528	Prax.g_00769
OG0000515	Syai.g_00529	Prax.g_00768
OG0000516	Syai.g_02223	Prax.g_00767
OG0000517	Syai.g_02229	Prax.g_00765
OG0000518	Syai.g_02211	Prax.g_00754
OG0000519	Syai.g_02210	Prax.g_00753
OG0000520	Syai.g_02209	Prax.g_00752
OG0000521	Syai.g_00842	Prax.g_00747
OG0000522	Syai.g_00844	Prax.g_00746
OG0000523	Syai.g_00845	Prax.g_00745
OG0000524	Syai.g_00852	Prax.g_00740
OG0000525	Syai.g_00856	Prax.g_00737
OG0000526	Syai.g_00859	Prax.g_00736
OG0000527	Syai.g_00863	Prax.g_00729
OG0000528	Syai.g_00633	Prax.g_00724
OG0000529	Syai.g_00639	Prax.g_00721
OG0000530	Syai.g_00642	Prax.g_00718
OG0000531	Syai.g_00643	Prax.g_00717
OG0000532	Syai.g_00646	Prax.g_00715
OG0000533	Syai.g_00647	Prax.g_00714
OG0000534	Syai.g_00648	Prax.g_00713
OG0000535	Syai.g_00649	Prax.g_00712
OG0000536	Syai.g_00650	Prax.g_00711
OG0000537	Syai.g_00651	Prax.g_00709
OG0000538	Syai.g_00662	Prax.g_00701
OG0000539	Syai.g_00663	Prax.g_00700
OG0000540	Syai.g_00664	Prax.g_00699
OG0000541	Syai.g_00665	Prax.g_00698
OG0000542	Syai.g_00668	Prax.g_00696
OG0000543	Syai.g_00670	Prax.g_00694
OG0000544	Syai.g_00671	Prax.g_00693
OG0000545	Syai.g_00673	Prax.g_00691
OG0000546	Syai.g_00675	Prax.g_00688
OG0000547	Syai.g_00677	Prax.g_00686
OG0000548	Syai.g_00678	Prax.g_00685
OG0000549	Syai.g_00684	Prax.g_00683
OG0000550	Syai.g_00689	Prax.g_00678
OG0000551	Syai.g_00694	Prax.g_00674
OG0000552	Syai.g_00695	Prax.g_00673
OG0000553	Syai.g_00698	Prax.g_00672
OG0000554	Syai.g_00708	Prax.g_00667
OG0000555	Syai.g_00725	Prax.g_00003
OG0000556	Syai.g_00728	Prax.g_00005
OG0000557	Syai.g_00730	Prax.g_00006
OG0000558	Syai.g_00732	Prax.g_00008
OG0000559	Syai.g_00736	Prax.g_00012
OG0000560	Syai.g_00739	Prax.g_00015
OG0000561	Syai.g_00740	Prax.g_00016
OG0000562	Syai.g_00741	Prax.g_00017
OG0000563	Syai.g_00742	Prax.g_00018
OG0000564	Syai.g_00743	Prax.g_00019
OG0000565	Syai.g_00746	Prax.g_00022
OG0000566	Syai.g_00750	Prax.g_00024
OG0000567	Syai.g_00754	Prax.g_00028
OG0000568	Syai.g_00758	Prax.g_00029
OG0000569	Syai.g_00759	Prax.g_00030
OG0000570	Syai.g_00760	Prax.g_00031
OG0000571	Syai.g_00764	Prax.g_00033
OG0000572	Syai.g_00782	Prax.g_00046
OG0000573	Syai.g_00790	Prax.g_00051
OG0000574	Syai.g_00796	Prax.g_00052
OG0000575	Syai.g_00800	Prax.g_00056
OG0000576	Syai.g_00802	Prax.g_00058
OG0000577	Syai.g_00803	Prax.g_00059
OG0000578	Syai.g_00804	Prax.g_00060
OG0000579	Syai.g_00805	Prax.g_00061
