Orthogroup	Syai	Syan
OG0000092	Syai.g_01358	Syan.g_02502
OG0000093	Syai.g_01306	Syan.g_00708
OG0000094	Syai.g_01424	Syan.g_00353
OG0000095	Syai.g_02007	Syan.g_00290
OG0000097	Syai.g_01787	Syan.g_00160, Syan.g_00733
OG0000098	Syai.g_01718	Syan.g_00043
OG0000099	Syai.g_00199	Syan.g_01968
OG0000100	Syai.g_01372	Syan.g_00658
OG0000102	Syai.g_00106	Syan.g_01891
OG0000104	Syai.g_02929	Syan.g_01792
OG0000105	Syai.g_00267	Syan.g_02031
OG0000106	Syai.g_01601	Syan.g_00076
OG0000107	Syai.g_00319	Syan.g_02106
OG0000108	Syai.g_00638	Syan.g_02764
OG0000110	Syai.g_00766	Syan.g_00171, Syan.g_00882
OG0000112	Syai.g_01512	Syan.g_00556, Syan.g_00252
OG0000113	Syai.g_01367	Syan.g_00664
OG0000114	Syai.g_01261	Syan.g_00741
OG0000115	Syai.g_00932	Syan.g_02810
OG0000116	Syai.g_02156	Syan.g_02710, Syan.g_00460
OG0000117	Syai.g_01756	Syan.g_02644
OG0000118	Syai.g_00818	Syan.g_01241, Syan.g_01237
OG0000119	Syai.g_02127	Syan.g_02672
OG0000120	Syai.g_00198	Syan.g_01966
OG0000121	Syai.g_00951	Syan.g_01273
OG0000123	Syai.g_00411	Syan.g_02190
OG0000124	Syai.g_00089	Syan.g_01873
OG0000125	Syai.g_02782	Syan.g_01573
OG0000126	Syai.g_02927	Syan.g_01705
OG0000128	Syai.g_00012	Syan.g_01768
OG0000129	Syai.g_02771	Syan.g_01563
OG0000130	Syai.g_02474	Syan.g_02906, Syan.g_02907
OG0000131	Syai.g_02608	Syan.g_03008
OG0000132	Syai.g_02628	Syan.g_03029
OG0000133	Syai.g_01507	Syan.g_00561
OG0000134	Syai.g_00520	Syan.g_02319
OG0000135	Syai.g_02826	Syan.g_01616
OG0000136	Syai.g_02217	Syan.g_01342
OG0000137	Syai.g_00865	Syan.g_02846
OG0000138	Syai.g_00654	Syan.g_02747
OG0000139	Syai.g_00714	Syan.g_01160
OG0000140	Syai.g_00716	Syan.g_00042
OG0000141	Syai.g_01041	Syan.g_01032
OG0000142	Syai.g_01104	Syan.g_00816
OG0000143	Syai.g_01108	Syan.g_00812
OG0000144	Syai.g_01608	Syan.g_00782
OG0000145	Syai.g_00660	Syan.g_02740
OG0000146	Syai.g_01513	Syan.g_00555, Syan.g_00253
OG0000147	Syai.g_01514	Syan.g_00254, Syan.g_00554
OG0000148	Syai.g_01361	Syan.g_00670
OG0000149	Syai.g_02059	Syan.g_00393
OG0000150	Syai.g_00717	Syan.g_01031
OG0000151	Syai.g_01280	Syan.g_00731
OG0000152	Syai.g_01503	Syan.g_00565
OG0000153	Syai.g_01461	Syan.g_00601
OG0000154	Syai.g_01434	Syan.g_00363
OG0000155	Syai.g_02109	Syan.g_02654
OG0000156	Syai.g_02162	Syan.g_02717
OG0000157	Syai.g_02163	Syan.g_02718
OG0000158	Syai.g_00135	Syan.g_01078, Syan.g_01926
OG0000160	Syai.g_00952	Syan.g_01274
OG0000161	Syai.g_00946	Syan.g_01268
OG0000162	Syai.g_00939	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Syai.g_02300	Syan.g_02405
OG0000165	Syai.g_02244	Syan.g_01448
OG0000166	Syai.g_00364	Syan.g_02239
OG0000167	Syai.g_00164	Syan.g_01941
OG0000168	Syai.g_00134	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Syai.g_00123	Syan.g_01912
OG0000170	Syai.g_00116	Syan.g_01901
OG0000171	Syai.g_00090	Syan.g_01875
OG0000172	Syai.g_00083	Syan.g_01810
OG0000173	Syai.g_00064	Syan.g_01720
OG0000174	Syai.g_02828	Syan.g_01619
OG0000175	Syai.g_02901	Syan.g_01678, Syan.g_00258
OG0000176	Syai.g_00004	Syan.g_01801
OG0000177	Syai.g_00005	Syan.g_01775
OG0000178	Syai.g_00006	Syan.g_01774
OG0000179	Syai.g_00023	Syan.g_01759
OG0000180	Syai.g_00024	Syan.g_01758
OG0000181	Syai.g_00025	Syan.g_01757
OG0000182	Syai.g_00026	Syan.g_01756
OG0000183	Syai.g_00030	Syan.g_01752
OG0000184	Syai.g_02756	Syan.g_01549
OG0000185	Syai.g_02734	Syan.g_01540
OG0000186	Syai.g_02469	Syan.g_02902
OG0000187	Syai.g_02471	Syan.g_02904
OG0000188	Syai.g_02494	Syan.g_02926
OG0000189	Syai.g_02530	Syan.g_02966
OG0000190	Syai.g_02532	Syan.g_00971
OG0000191	Syai.g_02562	Syan.g_02300
OG0000192	Syai.g_02569	Syan.g_02294
OG0000193	Syai.g_02609	Syan.g_03009
OG0000194	Syai.g_02612	Syan.g_03012
OG0000196	Syai.g_02625	Syan.g_03026
OG0000197	Syai.g_02626	Syan.g_03027
OG0000198	Syai.g_02627	Syan.g_03028
OG0000199	Syai.g_02635	Syan.g_03037
OG0000200	Syai.g_02651	Syan.g_03055
OG0000201	Syai.g_02667	Syan.g_03074
OG0000202	Syai.g_02668	Syan.g_03075
OG0000203	Syai.g_02669	Syan.g_03076
OG0000204	Syai.g_02670	Syan.g_03077
OG0000205	Syai.g_02677	Syan.g_03087
OG0000206	Syai.g_02684	Syan.g_03095
OG0000207	Syai.g_02686	Syan.g_03100
OG0000208	Syai.g_02687	Syan.g_03101
OG0000209	Syai.g_02699	Syan.g_01521
OG0000210	Syai.g_02700	Syan.g_01522
OG0000211	Syai.g_00533	Syan.g_02416
OG0000212	Syai.g_00544	Syan.g_01508, Syan.g_02438
OG0000213	Syai.g_00292	Syan.g_02059
OG0000214	Syai.g_00276	Syan.g_02040
OG0000215	Syai.g_00245	Syan.g_02010
OG0000216	Syai.g_00241	Syan.g_02006
OG0000217	Syai.g_00237	Syan.g_02001
OG0000218	Syai.g_00235	Syan.g_01999
OG0000219	Syai.g_00234	Syan.g_01998
OG0000220	Syai.g_00233	Syan.g_01997
OG0000221	Syai.g_00227	Syan.g_01994
OG0000222	Syai.g_00215	Syan.g_01981
OG0000223	Syai.g_00194	Syan.g_00228
OG0000224	Syai.g_00186	Syan.g_01959
OG0000225	Syai.g_00502	Syan.g_02997
OG0000226	Syai.g_00506	Syan.g_02990
OG0000227	Syai.g_00508	Syan.g_02988
OG0000228	Syai.g_00516	Syan.g_02315
OG0000229	Syai.g_02228	Syan.g_02396
OG0000230	Syai.g_02226	Syan.g_02398
OG0000231	Syai.g_02208	Syan.g_01333
OG0000232	Syai.g_00846	Syan.g_02801
OG0000233	Syai.g_00855	Syan.g_02876
OG0000234	Syai.g_00866	Syan.g_02844
OG0000235	Syai.g_00637	Syan.g_02765
OG0000236	Syai.g_00652	Syan.g_02749
OG0000237	Syai.g_00669	Syan.g_02731
OG0000238	Syai.g_00674	Syan.g_02726
OG0000239	Syai.g_00691	Syan.g_01187
OG0000240	Syai.g_00692	Syan.g_01186
OG0000241	Syai.g_01085, Syai.g_01089	Syan.g_00822
OG0000242	Syai.g_00705	Syan.g_01168
OG0000243	Syai.g_00726	Syan.g_00840
OG0000244	Syai.g_00731	Syan.g_00848
OG0000245	Syai.g_00733	Syan.g_00850
OG0000246	Syai.g_00737	Syan.g_00854
OG0000247	Syai.g_00748	Syan.g_00866
OG0000249	Syai.g_00753	Syan.g_00871
OG0000250	Syai.g_00762	Syan.g_00878
OG0000251	Syai.g_00789	Syan.g_00961
OG0000252	Syai.g_00797	Syan.g_00966
OG0000253	Syai.g_00798	Syan.g_01000
OG0000254	Syai.g_01045	Syan.g_01026
OG0000255	Syai.g_01061	Syan.g_00978
OG0000256	Syai.g_01077	Syan.g_00001, Syan.g_01135
OG0000257	Syai.g_01084	Syan.g_00827
OG0000258	Syai.g_01113	Syan.g_00803
OG0000259	Syai.g_01229	Syan.g_00772
OG0000260	Syai.g_01232	Syan.g_00769
OG0000261	Syai.g_01235	Syan.g_00765
OG0000262	Syai.g_01240	Syan.g_00760
OG0000263	Syai.g_01776	Syan.g_02618
OG0000264	Syai.g_01962	Syan.g_00540
OG0000266	Syai.g_01401	Syan.g_00330
OG0000267	Syai.g_01569	Syan.g_00470
OG0000268	Syai.g_01568	Syan.g_00471
OG0000269	Syai.g_01316	Syan.g_00695
OG0000270	Syai.g_01319	Syan.g_00692
OG0000271	Syai.g_01327	Syan.g_00684
OG0000272	Syai.g_01328	Syan.g_00683
OG0000274	Syai.g_02038	Syan.g_00653
OG0000275	Syai.g_02043	Syan.g_00373
OG0000276	Syai.g_02051	Syan.g_00380
OG0000277	Syai.g_02052	Syan.g_00381
OG0000278	Syai.g_02055	Syan.g_00384
OG0000279	Syai.g_02063	Syan.g_00398
OG0000280	Syai.g_02084	Syan.g_00518
OG0000282	Syai.g_01263	Syan.g_00739
OG0000283	Syai.g_01554	Syan.g_00491
OG0000284	Syai.g_01548	Syan.g_00497
OG0000285	Syai.g_01522	Syan.g_00533
OG0000286	Syai.g_01504	Syan.g_00564
OG0000287	Syai.g_01469	Syan.g_00593
OG0000288	Syai.g_01435	Syan.g_00364
OG0000289	Syai.g_01421	Syan.g_00350
OG0000290	Syai.g_02010	Syan.g_00293
OG0000291	Syai.g_02008	Syan.g_00291
OG0000292	Syai.g_02926	Syan.g_01703
OG0000293	Syai.g_02155	Syan.g_02709
OG0000295	Syai.g_02117	Syan.g_02662
OG0000296	Syai.g_02115	Syan.g_02660
OG0000298	Syai.g_01755	Syan.g_02645
OG0000299	Syai.g_01783	Syan.g_02601
OG0000300	Syai.g_01790	Syan.g_02593, Syan.g_02594
OG0000301	Syai.g_01791	Syan.g_02592
OG0000302	Syai.g_01793	Syan.g_02591
OG0000303	Syai.g_01802	Syan.g_02582
OG0000304	Syai.g_01826	Syan.g_02556
OG0000305	Syai.g_02005	Syan.g_00195
OG0000306	Syai.g_02090	Syan.g_00087
OG0000307	Syai.g_00619	Syan.g_02782
OG0000308	Syai.g_00617	Syan.g_02784
OG0000309	Syai.g_00612	Syan.g_02883
OG0000310	Syai.g_00989	Syan.g_01304
OG0000311	Syai.g_00985	Syan.g_01299
OG0000312	Syai.g_00966	Syan.g_01290
OG0000313	Syai.g_00949	Syan.g_01271
OG0000314	Syai.g_00908	Syan.g_02823
OG0000315	Syai.g_00897	Syan.g_02833
OG0000316	Syai.g_02320, Syai.g_02322	Syan.g_01354
OG0000317	Syai.g_02373	Syan.g_01396
OG0000318	Syai.g_02379	Syan.g_01401
OG0000319	Syai.g_02395	Syan.g_01425
OG0000320	Syai.g_02397	Syan.g_01427
OG0000321	Syai.g_02398	Syan.g_01428
OG0000322	Syai.g_02399	Syan.g_01429
OG0000323	Syai.g_02413	Syan.g_01442
OG0000324	Syai.g_02272	Syan.g_01472
OG0000325	Syai.g_00320	Syan.g_02107
OG0000327	Syai.g_00359	Syan.g_02244
OG0000328	Syai.g_00360	Syan.g_02243
OG0000329	Syai.g_00378	Syan.g_02225
OG0000330	Syai.g_00379	Syan.g_02224
OG0000331	Syai.g_00380	Syan.g_02223
OG0000333	Syai.g_00398	Syan.g_02205
OG0000334	Syai.g_00407	Syan.g_00247, Syan.g_02194
OG0000335	Syai.g_00412	Syan.g_02189
OG0000336	Syai.g_00416	Syan.g_02185
OG0000337	Syai.g_00169	Syan.g_01949
OG0000338	Syai.g_00166	Syan.g_01943
OG0000339	Syai.g_00160	Syan.g_01935, Syan.g_00264
OG0000340	Syai.g_00133	Syan.g_01923
OG0000341	Syai.g_00131	Syan.g_01921
OG0000342	Syai.g_00130	Syan.g_01920
OG0000343	Syai.g_00129	Syan.g_01918
OG0000344	Syai.g_00125	Syan.g_01914
OG0000345	Syai.g_00115	Syan.g_01900
OG0000346	Syai.g_00110	Syan.g_01895
OG0000347	Syai.g_00087	Syan.g_01867
OG0000348	Syai.g_00076	Syan.g_01803
OG0000349	Syai.g_00057	Syan.g_01727
OG0000350	Syai.g_00334	Syan.g_02121
OG0000351	Syai.g_02904	Syan.g_01682
OG0000352	Syai.g_02905	Syan.g_01683
OG0000353	Syai.g_02932	Syan.g_01795
OG0000354	Syai.g_00680	Syan.g_02720
OG0000354	Syai.g_00019	Syan.g_01761
OG0000355	Syai.g_00001	Syan.g_01797
OG0000356	Syai.g_00002	Syan.g_01798
OG0000357	Syai.g_00003	Syan.g_01800
OG0000358	Syai.g_00007	Syan.g_01773
OG0000359	Syai.g_00009	Syan.g_01771
OG0000360	Syai.g_00010	Syan.g_01770
OG0000361	Syai.g_00011	Syan.g_01769
OG0000362	Syai.g_00013	Syan.g_01767
OG0000363	Syai.g_00015	Syan.g_01765
OG0000364	Syai.g_00016	Syan.g_01398
OG0000365	Syai.g_00027	Syan.g_01755
OG0000366	Syai.g_00028	Syan.g_01754
OG0000367	Syai.g_00029	Syan.g_01753
OG0000368	Syai.g_00031	Syan.g_01751
OG0000369	Syai.g_00032	Syan.g_01750
OG0000370	Syai.g_00033	Syan.g_01749
OG0000371	Syai.g_00041	Syan.g_01740
OG0000372	Syai.g_00047	Syan.g_01734
OG0000373	Syai.g_00048	Syan.g_01733
OG0000374	Syai.g_00049	Syan.g_01732
OG0000375	Syai.g_00053	Syan.g_01731
OG0000376	Syai.g_00055	Syan.g_01729
OG0000377	Syai.g_02769	Syan.g_01555
OG0000378	Syai.g_02751	Syan.g_01543
OG0000379	Syai.g_02733	Syan.g_01539
OG0000380	Syai.g_02472	Syan.g_02905
OG0000381	Syai.g_02475	Syan.g_02908
OG0000382	Syai.g_02493	Syan.g_02925
OG0000383	Syai.g_02498	Syan.g_02936
OG0000384	Syai.g_02499	Syan.g_02937
OG0000385	Syai.g_02500	Syan.g_02938
OG0000386	Syai.g_02501	Syan.g_02939
OG0000387	Syai.g_02534	Syan.g_00967
OG0000388	Syai.g_02538	Syan.g_02970
OG0000389	Syai.g_02542	Syan.g_02973
OG0000390	Syai.g_02556	Syan.g_02306
OG0000391	Syai.g_02561	Syan.g_02301
OG0000392	Syai.g_02568	Syan.g_02295
OG0000393	Syai.g_02570	Syan.g_02292
OG0000394	Syai.g_02571	Syan.g_02291
OG0000395	Syai.g_02572	Syan.g_02290
OG0000396	Syai.g_02575	Syan.g_02287
OG0000397	Syai.g_02577	Syan.g_02285
OG0000398	Syai.g_02582	Syan.g_02279
OG0000399	Syai.g_02583	Syan.g_02278
OG0000400	Syai.g_02584	Syan.g_02277
OG0000401	Syai.g_02585	Syan.g_02274
OG0000402	Syai.g_02588	Syan.g_02272
OG0000403	Syai.g_02589	Syan.g_02271
OG0000404	Syai.g_02590	Syan.g_02269
OG0000405	Syai.g_02606	Syan.g_03005
OG0000406	Syai.g_02610	Syan.g_03010
OG0000407	Syai.g_02611	Syan.g_03011
OG0000408	Syai.g_02613	Syan.g_03013
OG0000409	Syai.g_02615	Syan.g_03015
OG0000410	Syai.g_02616	Syan.g_03016
OG0000411	Syai.g_02617	Syan.g_03017
OG0000412	Syai.g_02618	Syan.g_03018
OG0000413	Syai.g_02620	Syan.g_03020
OG0000414	Syai.g_02621	Syan.g_03021
OG0000415	Syai.g_02622	Syan.g_03022
OG0000416	Syai.g_02623	Syan.g_03023
OG0000417	Syai.g_02624	Syan.g_03025
OG0000418	Syai.g_02629	Syan.g_03030
OG0000419	Syai.g_02631	Syan.g_03033
OG0000420	Syai.g_02633	Syan.g_03035
OG0000421	Syai.g_02638	Syan.g_03040
OG0000422	Syai.g_02639	Syan.g_03041
OG0000423	Syai.g_02640	Syan.g_03042
OG0000424	Syai.g_02641	Syan.g_03043
OG0000425	Syai.g_02642	Syan.g_03044
OG0000426	Syai.g_02643	Syan.g_03045
OG0000427	Syai.g_02644	Syan.g_03046
OG0000428	Syai.g_02647	Syan.g_03049
OG0000429	Syai.g_02649	Syan.g_03051
OG0000430	Syai.g_02650	Syan.g_03053
OG0000431	Syai.g_02654	Syan.g_03058
OG0000432	Syai.g_02660	Syan.g_03065
OG0000433	Syai.g_02662	Syan.g_03068
OG0000434	Syai.g_02663	Syan.g_03069
OG0000435	Syai.g_02666	Syan.g_03071
OG0000436	Syai.g_02671	Syan.g_03079
OG0000437	Syai.g_02672	Syan.g_03080
OG0000438	Syai.g_02673	Syan.g_03083
OG0000439	Syai.g_02675	Syan.g_03085
OG0000440	Syai.g_02676	Syan.g_03086
OG0000441	Syai.g_02681	Syan.g_03089
OG0000442	Syai.g_02682	Syan.g_03090
OG0000443	Syai.g_02683	Syan.g_03094
OG0000444	Syai.g_02688	Syan.g_03102
OG0000445	Syai.g_02689	Syan.g_03103
OG0000446	Syai.g_02690	Syan.g_03105
OG0000447	Syai.g_02693	Syan.g_03111
OG0000448	Syai.g_02694	Syan.g_03112
OG0000449	Syai.g_02695	Syan.g_03113
OG0000450	Syai.g_02696	Syan.g_01518
OG0000451	Syai.g_02697	Syan.g_01519
OG0000452	Syai.g_02701	Syan.g_01523
OG0000453	Syai.g_02702	Syan.g_01524
OG0000454	Syai.g_02703	Syan.g_01525
OG0000455	Syai.g_02704	Syan.g_01526
OG0000456	Syai.g_02705	Syan.g_01527
OG0000457	Syai.g_02707	Syan.g_01529
OG0000458	Syai.g_02708	Syan.g_01530
OG0000459	Syai.g_02709	Syan.g_01531
OG0000460	Syai.g_00535	Syan.g_02423
OG0000461	Syai.g_00314	Syan.g_02099
OG0000462	Syai.g_00311	Syan.g_02096
OG0000463	Syai.g_00310	Syan.g_02095
OG0000464	Syai.g_00309	Syan.g_02094
OG0000465	Syai.g_00307	Syan.g_02092
OG0000466	Syai.g_00303	Syan.g_02087
OG0000467	Syai.g_00301	Syan.g_02086
OG0000468	Syai.g_00296	Syan.g_02063
OG0000469	Syai.g_00282	Syan.g_02046
OG0000470	Syai.g_00280	Syan.g_02044
OG0000471	Syai.g_00279	Syan.g_02043
OG0000472	Syai.g_00277	Syan.g_02041
OG0000473	Syai.g_00275	Syan.g_02039
OG0000474	Syai.g_00274	Syan.g_02038
OG0000475	Syai.g_00273	Syan.g_02037
OG0000476	Syai.g_00271	Syan.g_02035
OG0000477	Syai.g_00265	Syan.g_02029
OG0000478	Syai.g_00264	Syan.g_02028
OG0000479	Syai.g_00263	Syan.g_02027
OG0000480	Syai.g_00256	Syan.g_02020
OG0000481	Syai.g_00254	Syan.g_00975
OG0000482	Syai.g_00253	Syan.g_02018
OG0000483	Syai.g_00249	Syan.g_02014
OG0000484	Syai.g_00248	Syan.g_02013
OG0000485	Syai.g_00247	Syan.g_02012
OG0000486	Syai.g_00246	Syan.g_02011
OG0000487	Syai.g_00240	Syan.g_02005
OG0000488	Syai.g_00236	Syan.g_02000
OG0000489	Syai.g_00226	Syan.g_01993
OG0000490	Syai.g_00218	Syan.g_01985
OG0000491	Syai.g_00217	Syan.g_01983
OG0000492	Syai.g_00214	Syan.g_01980
OG0000493	Syai.g_00213	Syan.g_01979
OG0000494	Syai.g_00212	Syan.g_01978
OG0000495	Syai.g_00211	Syan.g_01977
OG0000496	Syai.g_00210	Syan.g_01976
OG0000497	Syai.g_00209	Syan.g_01975
OG0000498	Syai.g_00208	Syan.g_01974
OG0000499	Syai.g_00207	Syan.g_01973
OG0000500	Syai.g_00206	Syan.g_01972
OG0000501	Syai.g_00203	Syan.g_01969
OG0000502	Syai.g_00192	Syan.g_01961
OG0000503	Syai.g_00486	Syan.g_02144
OG0000504	Syai.g_00488	Syan.g_02142
OG0000505	Syai.g_00489	Syan.g_02141
OG0000506	Syai.g_00491	Syan.g_02139
OG0000507	Syai.g_00497	Syan.g_02133
OG0000508	Syai.g_00501	Syan.g_02998
OG0000509	Syai.g_00503	Syan.g_02993
OG0000510	Syai.g_00504	Syan.g_02992
OG0000511	Syai.g_00505	Syan.g_02991
OG0000512	Syai.g_00507	Syan.g_02989
OG0000513	Syai.g_00521	Syan.g_02320
OG0000514	Syai.g_00528	Syan.g_02326
OG0000515	Syai.g_00529	Syan.g_02327
OG0000516	Syai.g_02223	Syan.g_02389
OG0000517	Syai.g_02229	Syan.g_02395
OG0000518	Syai.g_02211	Syan.g_01336
OG0000519	Syai.g_02210	Syan.g_01335
OG0000520	Syai.g_02209	Syan.g_01334
OG0000521	Syai.g_00842	Syan.g_02805
OG0000522	Syai.g_00844	Syan.g_02803
OG0000523	Syai.g_00845	Syan.g_02802
OG0000524	Syai.g_00852	Syan.g_02878
OG0000525	Syai.g_00856	Syan.g_02853
OG0000526	Syai.g_00859	Syan.g_02852
OG0000527	Syai.g_00863	Syan.g_02848
OG0000528	Syai.g_00633	Syan.g_02767
OG0000529	Syai.g_00639	Syan.g_02763
OG0000530	Syai.g_00642	Syan.g_02760
OG0000531	Syai.g_00643	Syan.g_02759
OG0000532	Syai.g_00646	Syan.g_02756
OG0000533	Syai.g_00647	Syan.g_02754
OG0000534	Syai.g_00648	Syan.g_02753
OG0000535	Syai.g_00649	Syan.g_02752
OG0000536	Syai.g_00650	Syan.g_02751
OG0000537	Syai.g_00651	Syan.g_02750
OG0000538	Syai.g_00662	Syan.g_02738
OG0000539	Syai.g_00663	Syan.g_02737
OG0000540	Syai.g_00664	Syan.g_02736
OG0000541	Syai.g_00665	Syan.g_02735
OG0000542	Syai.g_00668	Syan.g_02732
OG0000543	Syai.g_00670	Syan.g_02730
OG0000544	Syai.g_00671	Syan.g_02729
OG0000545	Syai.g_00673	Syan.g_02727
OG0000546	Syai.g_00675	Syan.g_02725
OG0000547	Syai.g_00677	Syan.g_02723
OG0000548	Syai.g_00678	Syan.g_02722
OG0000549	Syai.g_00684	Syan.g_01194
OG0000550	Syai.g_00689	Syan.g_01189
OG0000551	Syai.g_00694	Syan.g_01184
OG0000552	Syai.g_00695	Syan.g_01183
OG0000553	Syai.g_00698	Syan.g_01179
OG0000554	Syai.g_00708	Syan.g_01165
OG0000555	Syai.g_00725	Syan.g_00839
OG0000556	Syai.g_00728	Syan.g_00842
OG0000557	Syai.g_00730	Syan.g_00847
OG0000558	Syai.g_00732	Syan.g_00849
OG0000559	Syai.g_00736	Syan.g_00853
OG0000560	Syai.g_00739	Syan.g_00856
OG0000561	Syai.g_00740	Syan.g_00857
OG0000562	Syai.g_00741	Syan.g_00858
OG0000563	Syai.g_00742	Syan.g_00859
OG0000564	Syai.g_00743	Syan.g_00860
OG0000565	Syai.g_00746	Syan.g_00864
OG0000566	Syai.g_00750	Syan.g_00868
OG0000567	Syai.g_00754	Syan.g_00872
OG0000568	Syai.g_00758	Syan.g_00874
OG0000569	Syai.g_00759	Syan.g_00875
OG0000570	Syai.g_00760	Syan.g_00876
OG0000571	Syai.g_00764	Syan.g_00879
OG0000572	Syai.g_00782	Syan.g_00954
OG0000573	Syai.g_00790	Syan.g_00963
OG0000574	Syai.g_00796	Syan.g_00965
OG0000575	Syai.g_00800	Syan.g_01003
OG0000576	Syai.g_00802	Syan.g_01007
OG0000577	Syai.g_00803	Syan.g_01008
OG0000578	Syai.g_00804	Syan.g_01009
OG0000579	Syai.g_00805	Syan.g_01010
OG0000580	Syai.g_00806	Syan.g_01011
OG0000581	Syai.g_00812	Syan.g_01018
OG0000582	Syai.g_01042	Syan.g_01030
OG0000583	Syai.g_01043	Syan.g_01029
OG0000584	Syai.g_01044	Syan.g_01028
OG0000585	Syai.g_01046	Syan.g_01024
OG0000586	Syai.g_01047	Syan.g_01022
OG0000587	Syai.g_01049	Syan.g_01020
OG0000588	Syai.g_01063	Syan.g_00215
OG0000589	Syai.g_01066	Syan.g_00016
OG0000590	Syai.g_01067	Syan.g_00015
OG0000591	Syai.g_01075	Syan.g_00003
