Orthogroup	Prak	Praf
OG0000062	Prak.g_01550	Praf.g_01034, Praf.g_02690
OG0000063	Prak.g_01145	Praf.g_00919
OG0000065	Prak.g_01277	Praf.g_00796
OG0000066	Prak.g_01349	Praf.g_02343
OG0000068	Prak.g_01780	Praf.g_02119
OG0000069	Prak.g_01430	Praf.g_01851
OG0000071	Prak.g_00011	Praf.g_00012
OG0000072	Prak.g_00339	Praf.g_02336
OG0000073	Prak.g_01072	Praf.g_01748
OG0000074	Prak.g_00819	Praf.g_01218, Praf.g_01219
OG0000075	Prak.g_00852	Praf.g_01537
OG0000076	Prak.g_00920	Praf.g_01274
OG0000078	Prak.g_01352	Praf.g_02342
OG0000079	Prak.g_01476	Praf.g_00501
OG0000080	Prak.g_00661	Praf.g_00549
OG0000081	Prak.g_01814	Praf.g_02382, Praf.g_02380, Praf.g_02378
OG0000082	Prak.g_00656	Praf.g_02699
OG0000083	Prak.g_00003	Praf.g_00003
OG0000084	Prak.g_00006	Praf.g_00006
OG0000085	Prak.g_00023	Praf.g_00028
OG0000087	Prak.g_00052	Praf.g_00333, Praf.g_02602
OG0000088	Prak.g_00121	Praf.g_00224
OG0000089	Prak.g_00130	Praf.g_00212
OG0000090	Prak.g_00147	Praf.g_02420
OG0000091	Prak.g_00181	Praf.g_02457
OG0000092	Prak.g_00182	Praf.g_02468
OG0000093	Prak.g_00196	Praf.g_02711, Praf.g_02492
OG0000094	Prak.g_00215	Praf.g_02521
OG0000095	Prak.g_00220	Praf.g_02532
OG0000096	Prak.g_00268	Praf.g_02217
OG0000097	Prak.g_00292	Praf.g_02271
OG0000098	Prak.g_00303	Praf.g_02284
OG0000099	Prak.g_00313	Praf.g_02296
OG0000100	Prak.g_00316	Praf.g_02300
OG0000101	Prak.g_00381	Praf.g_02012
OG0000102	Prak.g_01259	Praf.g_02715, Praf.g_02705
OG0000103	Prak.g_00437	Praf.g_01905
OG0000104	Prak.g_00441	Praf.g_00595
OG0000105	Prak.g_00461	Praf.g_00143, Praf.g_00616
OG0000106	Prak.g_00491	Praf.g_00658
OG0000107	Prak.g_00492	Praf.g_00660
OG0000108	Prak.g_00502	Praf.g_00681
OG0000109	Prak.g_00512	Praf.g_00692
OG0000110	Prak.g_00529	Praf.g_00711
OG0000111	Prak.g_01091	Praf.g_01036, Praf.g_01720
OG0000112	Prak.g_01090	Praf.g_01035, Praf.g_01721
OG0000113	Prak.g_01040	Praf.g_00144, Praf.g_01435
OG0000114	Prak.g_00843	Praf.g_01528
OG0000115	Prak.g_00973	Praf.g_01392
OG0000116	Prak.g_00977	Praf.g_01383, Praf.g_01384
OG0000117	Prak.g_00923	Praf.g_01277
OG0000118	Prak.g_01217	Praf.g_02776
OG0000119	Prak.g_01553	Praf.g_02692
OG0000120	Prak.g_01166	Praf.g_00861
OG0000121	Prak.g_01143	Praf.g_00922
OG0000122	Prak.g_01123	Praf.g_00901
OG0000123	Prak.g_00594	Praf.g_00938
OG0000124	Prak.g_01487	Praf.g_01285
OG0000125	Prak.g_01290	Praf.g_00779
OG0000126	Prak.g_01329	Praf.g_00585, Praf.g_00583
OG0000127	Prak.g_01379	Praf.g_01778, Praf.g_01776
OG0000128	Prak.g_01392	Praf.g_01795
OG0000129	Prak.g_01428	Praf.g_01848
OG0000130	Prak.g_01642	Praf.g_00485
OG0000131	Prak.g_01681	Praf.g_00437
OG0000132	Prak.g_01684	Praf.g_00434
OG0000133	Prak.g_01738	Praf.g_02162
OG0000134	Prak.g_01774	Praf.g_02125
OG0000135	Prak.g_01776	Praf.g_02123
OG0000136	Prak.g_01826	Praf.g_02396
OG0000137	Prak.g_01860	Praf.g_00152
OG0000138	Prak.g_01895	Praf.g_02664
OG0000139	Prak.g_01926	Praf.g_02757
OG0000140	Prak.g_00001	Praf.g_00001
OG0000141	Prak.g_00002	Praf.g_00002
OG0000142	Prak.g_00004	Praf.g_00004
OG0000143	Prak.g_00005	Praf.g_00005
OG0000144	Prak.g_00007	Praf.g_00007
OG0000145	Prak.g_00008	Praf.g_00009
OG0000146	Prak.g_00009	Praf.g_00010
OG0000147	Prak.g_00010	Praf.g_00011
OG0000148	Prak.g_00012	Praf.g_00013
OG0000149	Prak.g_00014	Praf.g_00015
OG0000150	Prak.g_00015	Praf.g_00016
OG0000151	Prak.g_00016	Praf.g_00021
OG0000152	Prak.g_00017	Praf.g_00022
OG0000153	Prak.g_00018	Praf.g_00023
OG0000154	Prak.g_00019	Praf.g_00024
OG0000155	Prak.g_00020	Praf.g_00025
OG0000156	Prak.g_00021	Praf.g_00026
OG0000157	Prak.g_00022	Praf.g_00027
OG0000158	Prak.g_00024	Praf.g_00029
OG0000159	Prak.g_00025	Praf.g_00030
OG0000160	Prak.g_00026	Praf.g_00031
OG0000161	Prak.g_00027	Praf.g_00032
OG0000162	Prak.g_00028	Praf.g_00033
OG0000163	Prak.g_00030	Praf.g_00035
OG0000164	Prak.g_00033	Praf.g_00040
OG0000165	Prak.g_00036	Praf.g_00045
OG0000166	Prak.g_00037	Praf.g_00046
OG0000167	Prak.g_00038	Praf.g_00047
OG0000168	Prak.g_00040	Praf.g_00050
OG0000169	Prak.g_00042	Praf.g_00052
OG0000170	Prak.g_00044	Praf.g_02654
OG0000171	Prak.g_00045	Praf.g_02652
OG0000172	Prak.g_00046	Praf.g_02618
OG0000173	Prak.g_00049	Praf.g_02611
OG0000174	Prak.g_00050	Praf.g_02605
OG0000175	Prak.g_00051	Praf.g_02603
OG0000176	Prak.g_00053	Praf.g_02601
OG0000177	Prak.g_00054	Praf.g_02597
OG0000178	Prak.g_00056	Praf.g_02596
OG0000179	Prak.g_00068	Praf.g_00328
OG0000180	Prak.g_00069	Praf.g_00326
OG0000181	Prak.g_00070	Praf.g_00325
OG0000182	Prak.g_00074	Praf.g_00321
OG0000183	Prak.g_00075	Praf.g_00320
OG0000184	Prak.g_00078	Praf.g_00316
OG0000185	Prak.g_00082	Praf.g_00310
OG0000186	Prak.g_00083	Praf.g_00309
OG0000187	Prak.g_00717	Praf.g_00962
OG0000188	Prak.g_00084	Praf.g_00308
OG0000189	Prak.g_00085	Praf.g_00304
OG0000190	Prak.g_00086	Praf.g_00303
OG0000191	Prak.g_00087	Praf.g_00302
OG0000192	Prak.g_00088	Praf.g_00301
OG0000193	Prak.g_00089	Praf.g_00300
OG0000194	Prak.g_00090	Praf.g_00299
OG0000195	Prak.g_00092	Praf.g_00297
OG0000196	Prak.g_00093	Praf.g_00296
OG0000197	Prak.g_00094	Praf.g_00268
OG0000198	Prak.g_00095	Praf.g_00264
OG0000199	Prak.g_00098	Praf.g_00259
OG0000200	Prak.g_00099	Praf.g_00258
OG0000201	Prak.g_00100	Praf.g_00257
OG0000202	Prak.g_00102	Praf.g_00255
OG0000203	Prak.g_00103	Praf.g_00254
OG0000204	Prak.g_00104	Praf.g_00253
OG0000205	Prak.g_00106	Praf.g_00251
OG0000206	Prak.g_00107	Praf.g_00250
OG0000207	Prak.g_00108	Praf.g_00249
OG0000208	Prak.g_00109	Praf.g_00248
OG0000209	Prak.g_00110	Praf.g_00247
OG0000210	Prak.g_00111	Praf.g_00245
OG0000211	Prak.g_00113	Praf.g_00244
OG0000212	Prak.g_00114	Praf.g_00243
OG0000213	Prak.g_00115	Praf.g_00240
OG0000214	Prak.g_00119	Praf.g_00230
OG0000215	Prak.g_00120	Praf.g_00225
OG0000216	Prak.g_00122	Praf.g_00223
OG0000217	Prak.g_00123	Praf.g_00221
OG0000218	Prak.g_00124	Praf.g_00219
OG0000219	Prak.g_00125	Praf.g_00218
OG0000220	Prak.g_00128	Praf.g_00214
OG0000221	Prak.g_00131	Praf.g_00209
OG0000222	Prak.g_00132	Praf.g_00208
OG0000223	Prak.g_00133	Praf.g_00207
OG0000224	Prak.g_00135	Praf.g_02403
OG0000225	Prak.g_00137	Praf.g_02405
OG0000226	Prak.g_00139	Praf.g_02408
OG0000227	Prak.g_00140	Praf.g_02410
OG0000228	Prak.g_00141	Praf.g_02411
OG0000229	Prak.g_00142	Praf.g_02412
OG0000230	Prak.g_00143	Praf.g_02413
OG0000231	Prak.g_01035	Praf.g_02415
OG0000232	Prak.g_00145	Praf.g_02416
OG0000233	Prak.g_00148	Praf.g_02421
OG0000234	Prak.g_00150	Praf.g_02430
OG0000235	Prak.g_00156	Praf.g_02432
OG0000236	Prak.g_00157	Praf.g_02433
OG0000237	Prak.g_00158	Praf.g_02434
OG0000238	Prak.g_00159	Praf.g_02435
OG0000239	Prak.g_00160	Praf.g_02436
OG0000240	Prak.g_00162	Praf.g_02438
OG0000241	Prak.g_00163	Praf.g_02439
OG0000242	Prak.g_00164	Praf.g_02440
OG0000243	Prak.g_00165	Praf.g_02441
OG0000244	Prak.g_00166	Praf.g_02442
OG0000245	Prak.g_00168	Praf.g_02444
OG0000246	Prak.g_00170	Praf.g_02446
OG0000247	Prak.g_00171	Praf.g_02447
OG0000248	Prak.g_00172	Praf.g_02448
OG0000249	Prak.g_00173	Praf.g_02449
OG0000250	Prak.g_00174	Praf.g_02450
OG0000251	Prak.g_00175	Praf.g_02451
OG0000252	Prak.g_00176	Praf.g_02452
OG0000253	Prak.g_00177	Praf.g_02453
OG0000254	Prak.g_00179	Praf.g_02455
OG0000255	Prak.g_00180	Praf.g_02456
OG0000256	Prak.g_00183	Praf.g_02469
OG0000257	Prak.g_00185	Praf.g_02470
OG0000258	Prak.g_00186	Praf.g_02471
OG0000259	Prak.g_00187	Praf.g_02472
OG0000260	Prak.g_00188	Praf.g_02473
OG0000261	Prak.g_00189	Praf.g_02474
OG0000262	Prak.g_00190	Praf.g_02475
OG0000263	Prak.g_00191	Praf.g_02476
OG0000264	Prak.g_00193	Praf.g_01486
OG0000265	Prak.g_00194	Praf.g_02489
OG0000266	Prak.g_00195	Praf.g_02491
OG0000267	Prak.g_00197	Praf.g_02495
OG0000268	Prak.g_00199	Praf.g_02497
OG0000269	Prak.g_00200	Praf.g_02500
OG0000270	Prak.g_00201	Praf.g_02502
OG0000271	Prak.g_00202	Praf.g_02505
OG0000272	Prak.g_00203	Praf.g_02506
OG0000273	Prak.g_00204	Praf.g_02509
OG0000274	Prak.g_00205	Praf.g_02511
OG0000275	Prak.g_00206	Praf.g_02512
OG0000276	Prak.g_00207	Praf.g_02513
OG0000277	Prak.g_00208	Praf.g_02514
OG0000278	Prak.g_00209	Praf.g_02515
OG0000279	Prak.g_00210	Praf.g_02516
OG0000280	Prak.g_00211	Praf.g_02517
OG0000281	Prak.g_00213	Praf.g_02519
OG0000282	Prak.g_00214	Praf.g_02520
OG0000283	Prak.g_00217	Praf.g_02524
OG0000284	Prak.g_00218	Praf.g_02525
OG0000285	Prak.g_00219	Praf.g_02531
OG0000286	Prak.g_00221	Praf.g_02533
OG0000287	Prak.g_00223	Praf.g_02582
OG0000288	Prak.g_00224	Praf.g_02581
OG0000289	Prak.g_00225	Praf.g_02575
OG0000290	Prak.g_00226	Praf.g_02574
OG0000291	Prak.g_00227	Praf.g_02572
OG0000292	Prak.g_00228	Praf.g_02568
OG0000293	Prak.g_00229	Praf.g_02567
OG0000294	Prak.g_00230	Praf.g_02566
OG0000295	Prak.g_00231	Praf.g_02560
OG0000296	Prak.g_00232	Praf.g_02559
OG0000297	Prak.g_00233	Praf.g_02557
OG0000298	Prak.g_00234	Praf.g_02556
OG0000299	Prak.g_00235	Praf.g_02555
OG0000300	Prak.g_00236	Praf.g_02554
OG0000301	Prak.g_00237	Praf.g_02553
OG0000302	Prak.g_00238	Praf.g_02552
OG0000303	Prak.g_00239	Praf.g_02551
OG0000304	Prak.g_00241	Praf.g_02549
OG0000305	Prak.g_00242	Praf.g_02548
OG0000306	Prak.g_00243	Praf.g_02547
OG0000307	Prak.g_00245	Praf.g_00374
OG0000308	Prak.g_00246	Praf.g_00745
OG0000309	Prak.g_00247	Praf.g_00744
OG0000310	Prak.g_00248	Praf.g_00743
OG0000311	Prak.g_00249	Praf.g_00378
OG0000312	Prak.g_00251	Praf.g_00379
OG0000313	Prak.g_00252	Praf.g_00385
OG0000314	Prak.g_00256	Praf.g_00391
OG0000315	Prak.g_00257	Praf.g_00392
OG0000316	Prak.g_00259	Praf.g_02203
OG0000317	Prak.g_00261	Praf.g_02207
OG0000318	Prak.g_00262	Praf.g_02208
OG0000319	Prak.g_00263	Praf.g_02209
OG0000320	Prak.g_00264	Praf.g_02210
OG0000321	Prak.g_00267	Praf.g_02215
OG0000322	Prak.g_00271	Praf.g_02242
OG0000323	Prak.g_00272	Praf.g_02243
OG0000324	Prak.g_00275	Praf.g_02245
OG0000325	Prak.g_00276	Praf.g_02247
OG0000326	Prak.g_00277	Praf.g_02249
OG0000327	Prak.g_00279	Praf.g_02255
OG0000328	Prak.g_00280	Praf.g_00375
OG0000329	Prak.g_00281	Praf.g_02259
OG0000330	Prak.g_00282	Praf.g_02260
OG0000331	Prak.g_00284	Praf.g_02262
OG0000332	Prak.g_00285	Praf.g_02263
OG0000333	Prak.g_00286	Praf.g_02264
OG0000334	Prak.g_00287	Praf.g_02265
OG0000335	Prak.g_00288	Praf.g_02266
OG0000336	Prak.g_00290	Praf.g_02268
OG0000337	Prak.g_00293	Praf.g_02273
OG0000338	Prak.g_00294	Praf.g_02274
OG0000339	Prak.g_00295	Praf.g_02275
OG0000340	Prak.g_00296	Praf.g_02277
OG0000341	Prak.g_00300	Praf.g_02282
OG0000342	Prak.g_00301	Praf.g_02283
OG0000343	Prak.g_00304	Praf.g_02285
OG0000344	Prak.g_00305	Praf.g_02287
OG0000345	Prak.g_00306	Praf.g_02288
OG0000346	Prak.g_00307	Praf.g_02289
OG0000347	Prak.g_00308	Praf.g_02290
OG0000348	Prak.g_00310	Praf.g_02291
OG0000349	Prak.g_00311	Praf.g_02292
OG0000350	Prak.g_00312	Praf.g_02293
OG0000351	Prak.g_00314	Praf.g_02297
OG0000352	Prak.g_00317	Praf.g_02301
OG0000353	Prak.g_00318	Praf.g_02302
OG0000354	Prak.g_00319	Praf.g_02303
OG0000355	Prak.g_00320	Praf.g_02304
OG0000356	Prak.g_00321	Praf.g_02314
OG0000357	Prak.g_00322	Praf.g_02315
OG0000358	Prak.g_00323	Praf.g_02316
OG0000359	Prak.g_00324	Praf.g_02318
OG0000360	Prak.g_00326	Praf.g_02321
OG0000361	Prak.g_00327	Praf.g_02322
OG0000362	Prak.g_00328	Praf.g_02323
OG0000363	Prak.g_00329	Praf.g_02324
OG0000364	Prak.g_00330	Praf.g_02325
OG0000365	Prak.g_00331	Praf.g_02326
OG0000366	Prak.g_00332	Praf.g_02327
OG0000367	Prak.g_00333	Praf.g_02328
OG0000368	Prak.g_00334	Praf.g_02329
OG0000369	Prak.g_00335	Praf.g_02330
OG0000370	Prak.g_00336	Praf.g_02331
OG0000371	Prak.g_00337	Praf.g_02332
OG0000372	Prak.g_00338	Praf.g_02335
OG0000373	Prak.g_00340	Praf.g_02347
OG0000374	Prak.g_00341	Praf.g_02349
OG0000375	Prak.g_00342	Praf.g_02358
OG0000376	Prak.g_00343	Praf.g_02073
OG0000377	Prak.g_00349	Praf.g_02066
OG0000378	Prak.g_00350	Praf.g_02065
OG0000379	Prak.g_00356	Praf.g_02054
OG0000380	Prak.g_00358	Praf.g_02052
OG0000381	Prak.g_00359	Praf.g_02051
OG0000382	Prak.g_00360	Praf.g_02049
OG0000383	Prak.g_00363	Praf.g_02045
OG0000384	Prak.g_00364	Praf.g_02044
OG0000385	Prak.g_00367	Praf.g_02031
OG0000386	Prak.g_00368	Praf.g_02030
OG0000387	Prak.g_00369	Praf.g_02029
OG0000388	Prak.g_00370	Praf.g_02028
OG0000389	Prak.g_00371	Praf.g_02027
OG0000390	Prak.g_00372	Praf.g_02026
OG0000391	Prak.g_00373	Praf.g_02025
OG0000392	Prak.g_00374	Praf.g_02024
OG0000393	Prak.g_00378	Praf.g_02016
OG0000394	Prak.g_00379	Praf.g_02015
OG0000395	Prak.g_00382	Praf.g_02011
OG0000396	Prak.g_00900	Praf.g_01616
OG0000397	Prak.g_01216	Praf.g_00322
OG0000398	Prak.g_01597	Praf.g_00495
OG0000399	Prak.g_01211	Praf.g_01003
OG0000400	Prak.g_01709	Praf.g_02201
OG0000401	Prak.g_00393	Praf.g_02002
OG0000402	Prak.g_00394	Praf.g_02001
OG0000403	Prak.g_00395	Praf.g_01999
OG0000404	Prak.g_00397	Praf.g_01990
OG0000405	Prak.g_00398	Praf.g_01989
OG0000406	Prak.g_00400	Praf.g_01987
OG0000407	Prak.g_00401	Praf.g_01986
OG0000408	Prak.g_00402	Praf.g_01985
OG0000409	Prak.g_00403	Praf.g_01984
OG0000410	Prak.g_00404	Praf.g_01982
OG0000411	Prak.g_00405	Praf.g_01981
OG0000412	Prak.g_00406	Praf.g_01980
OG0000413	Prak.g_00407	Praf.g_01979
OG0000414	Prak.g_00408	Praf.g_01978
OG0000415	Prak.g_00409	Praf.g_01977
OG0000416	Prak.g_00410	Praf.g_01972
OG0000417	Prak.g_00411	Praf.g_01963
OG0000418	Prak.g_00412	Praf.g_01962
OG0000419	Prak.g_00413	Praf.g_01961
OG0000420	Prak.g_00414	Praf.g_01960
OG0000421	Prak.g_00418	Praf.g_01959
OG0000422	Prak.g_00420	Praf.g_01957
OG0000423	Prak.g_00421	Praf.g_01956
OG0000424	Prak.g_00422	Praf.g_01952
OG0000425	Prak.g_00426	Praf.g_01942
OG0000426	Prak.g_00427	Praf.g_01941
OG0000427	Prak.g_00428	Praf.g_01938
OG0000428	Prak.g_00430	Praf.g_01915
OG0000429	Prak.g_00431	Praf.g_01913
OG0000430	Prak.g_00432	Praf.g_01911
OG0000431	Prak.g_00434	Praf.g_01909
OG0000432	Prak.g_00435	Praf.g_01908
OG0000433	Prak.g_00438	Praf.g_00586
OG0000434	Prak.g_00439	Praf.g_00589
OG0000435	Prak.g_00440	Praf.g_00594
OG0000436	Prak.g_00442	Praf.g_00596
OG0000437	Prak.g_00444	Praf.g_00598
OG0000438	Prak.g_00445	Praf.g_00599
OG0000439	Prak.g_00446	Praf.g_00600
OG0000440	Prak.g_00448	Praf.g_00603
OG0000441	Prak.g_00449	Praf.g_00605
OG0000442	Prak.g_00450	Praf.g_00606
OG0000443	Prak.g_00451	Praf.g_00607
OG0000444	Prak.g_00452	Praf.g_00608
OG0000445	Prak.g_00453	Praf.g_00609
OG0000446	Prak.g_00454	Praf.g_00610
OG0000447	Prak.g_00455	Praf.g_00611
OG0000448	Prak.g_00456	Praf.g_00612
OG0000449	Prak.g_00462	Praf.g_00619
OG0000450	Prak.g_00463	Praf.g_00621
OG0000451	Prak.g_00464	Praf.g_00622
OG0000452	Prak.g_00465	Praf.g_00623
OG0000453	Prak.g_00466	Praf.g_00626
OG0000454	Prak.g_00467	Praf.g_00627
OG0000455	Prak.g_00468	Praf.g_00628
OG0000456	Prak.g_00469	Praf.g_00629
OG0000457	Prak.g_00471	Praf.g_00630
OG0000458	Prak.g_00473	Praf.g_00631
OG0000459	Prak.g_00474	Praf.g_00632
OG0000460	Prak.g_00476	Praf.g_00634
OG0000461	Prak.g_00477	Praf.g_00635
OG0000462	Prak.g_00478	Praf.g_00636
OG0000463	Prak.g_00479	Praf.g_00641
OG0000464	Prak.g_00483	Praf.g_00646
OG0000465	Prak.g_00484	Praf.g_00647
OG0000466	Prak.g_00485	Praf.g_00648
OG0000467	Prak.g_00486	Praf.g_00650
OG0000468	Prak.g_00487	Praf.g_00651
OG0000469	Prak.g_00488	Praf.g_00656
OG0000470	Prak.g_00489	Praf.g_01177
OG0000471	Prak.g_00490	Praf.g_01131
OG0000472	Prak.g_00493	Praf.g_00661
OG0000473	Prak.g_00494	Praf.g_00663
OG0000474	Prak.g_00495	Praf.g_00665
OG0000475	Prak.g_00496	Praf.g_00666
OG0000476	Prak.g_00497	Praf.g_00670
OG0000477	Prak.g_00499	Praf.g_00673
OG0000478	Prak.g_00500	Praf.g_00675
OG0000479	Prak.g_00501	Praf.g_00677
OG0000480	Prak.g_00503	Praf.g_00683
OG0000481	Prak.g_00504	Praf.g_00684
OG0000482	Prak.g_00506	Praf.g_00685
OG0000483	Prak.g_00507	Praf.g_00687
OG0000484	Prak.g_00508	Praf.g_00688
OG0000485	Prak.g_00509	Praf.g_00689
OG0000486	Prak.g_00510	Praf.g_00690
OG0000487	Prak.g_00511	Praf.g_00691
OG0000488	Prak.g_00513	Praf.g_00693
OG0000489	Prak.g_00514	Praf.g_00694
OG0000490	Prak.g_00515	Praf.g_00695
OG0000491	Prak.g_00516	Praf.g_00696
OG0000492	Prak.g_00517	Praf.g_00697
OG0000493	Prak.g_00518	Praf.g_00698
OG0000494	Prak.g_00519	Praf.g_00700
OG0000495	Prak.g_00520	Praf.g_00701
OG0000496	Prak.g_00522	Praf.g_00703
OG0000497	Prak.g_00524	Praf.g_00705
OG0000498	Prak.g_00525	Praf.g_00706
OG0000499	Prak.g_00527	Praf.g_00708
OG0000500	Prak.g_00528	Praf.g_00709
OG0000501	Prak.g_00530	Praf.g_00712
OG0000502	Prak.g_00531	Praf.g_00713
OG0000503	Prak.g_00532	Praf.g_00714
OG0000504	Prak.g_00533	Praf.g_00716
OG0000505	Prak.g_00534	Praf.g_00717
OG0000506	Prak.g_00535	Praf.g_00718
OG0000507	Prak.g_00536	Praf.g_00719
OG0000508	Prak.g_00538	Praf.g_00723
OG0000509	Prak.g_00539	Praf.g_00724
OG0000510	Prak.g_00540	Praf.g_00725
OG0000511	Prak.g_00541	Praf.g_00726
OG0000512	Prak.g_00542	Praf.g_00728
OG0000513	Prak.g_00543	Praf.g_00729
OG0000514	Prak.g_00544	Praf.g_00730
OG0000515	Prak.g_00547	Praf.g_00733
OG0000516	Prak.g_00548	Praf.g_00734
OG0000517	Prak.g_00549	Praf.g_00735
OG0000518	Prak.g_00552	Praf.g_00739
OG0000519	Prak.g_00553	Praf.g_00740
OG0000520	Prak.g_00554	Praf.g_00741
OG0000521	Prak.g_00555	Praf.g_00742
OG0000522	Prak.g_00556	Praf.g_00749
OG0000523	Prak.g_00557	Praf.g_00750
OG0000524	Prak.g_00558	Praf.g_00751
OG0000525	Prak.g_00560	Praf.g_00753
OG0000526	Prak.g_00561	Praf.g_00754
OG0000527	Prak.g_00562	Praf.g_00755
OG0000528	Prak.g_00563	Praf.g_00756
OG0000529	Prak.g_00564	Praf.g_00757
OG0000530	Prak.g_00565	Praf.g_00758
OG0000531	Prak.g_00567	Praf.g_00761
OG0000532	Prak.g_00568	Praf.g_00763
OG0000533	Prak.g_00569	Praf.g_00764
OG0000534	Prak.g_00570	Praf.g_00765
OG0000535	Prak.g_00571	Praf.g_00766
OG0000536	Prak.g_00572	Praf.g_00767
OG0000537	Prak.g_00573	Praf.g_00768
OG0000538	Prak.g_00574	Praf.g_00769
OG0000539	Prak.g_00575	Praf.g_00771
OG0000540	Prak.g_00576	Praf.g_00773
OG0000541	Prak.g_00577	Praf.g_01659
OG0000542	Prak.g_00578	Praf.g_01661
OG0000543	Prak.g_00579	Praf.g_01662
OG0000544	Prak.g_00580	Praf.g_01663
OG0000545	Prak.g_00582	Praf.g_01666
OG0000546	Prak.g_00583	Praf.g_01667
OG0000547	Prak.g_00585	Praf.g_01669
OG0000548	Prak.g_00587	Praf.g_01674
OG0000549	Prak.g_00588	Praf.g_01675
OG0000550	Prak.g_00589	Praf.g_01676
OG0000551	Prak.g_00591	Praf.g_01680
OG0000552	Prak.g_00592	Praf.g_01684
OG0000553	Prak.g_01113	Praf.g_01685
OG0000554	Prak.g_01112	Praf.g_01687
OG0000555	Prak.g_01111	Praf.g_01688
OG0000556	Prak.g_01110	Praf.g_01689
OG0000557	Prak.g_01109	Praf.g_01690
OG0000558	Prak.g_01108	Praf.g_01692
OG0000559	Prak.g_01107	Praf.g_01693
OG0000560	Prak.g_01105	Praf.g_01695
OG0000561	Prak.g_01104	Praf.g_01696
OG0000562	Prak.g_01102	Praf.g_01698
OG0000563	Prak.g_01101	Praf.g_01699
OG0000564	Prak.g_01100	Praf.g_01700
OG0000565	Prak.g_01099	Praf.g_01708
OG0000566	Prak.g_01098	Praf.g_01709
OG0000567	Prak.g_01097	Praf.g_01710
OG0000568	Prak.g_01096	Praf.g_01711
OG0000569	Prak.g_01095	Praf.g_01713
OG0000570	Prak.g_01094	Praf.g_01716
OG0000571	Prak.g_01093	Praf.g_01717
OG0000572	Prak.g_01092	Praf.g_01718
OG0000573	Prak.g_01089	Praf.g_01722
OG0000574	Prak.g_01088	Praf.g_01727
OG0000575	Prak.g_01087	Praf.g_01728
OG0000576	Prak.g_01086	Praf.g_01729
OG0000577	Prak.g_01085	Praf.g_01730
OG0000578	Prak.g_01084	Praf.g_01731
OG0000579	Prak.g_01083	Praf.g_01733
OG0000580	Prak.g_01082	Praf.g_01736
OG0000581	Prak.g_01081	Praf.g_01737
OG0000582	Prak.g_01080	Praf.g_01738
