Orthogroup	Prau	Prbc
OG0000077	Prau.g_01666	Prbc.g_00105, Prbc.g_02166, Prbc.g_00807
OG0000078	Prau.g_01435, Prau.g_01434, Prau.g_01491	Prbc.g_01229
OG0000079	Prau.g_01609	Prbc.g_00790
OG0000080	Prau.g_01658	Prbc.g_00144
OG0000081	Prau.g_01899	Prbc.g_00238
OG0000082	Prau.g_01297	Prbc.g_01009
OG0000083	Prau.g_00003	Prbc.g_01073
OG0000084	Prau.g_00006	Prbc.g_01076
OG0000085	Prau.g_00023	Prbc.g_01093
OG0000086	Prau.g_00046, Prau.g_00429, Prau.g_00422	Prbc.g_00132
OG0000087	Prau.g_00057	Prbc.g_01127
OG0000088	Prau.g_00114	Prbc.g_00458
OG0000089	Prau.g_00122	Prbc.g_00449
OG0000090	Prau.g_00140	Prbc.g_00432
OG0000091	Prau.g_00170	Prbc.g_00402
OG0000092	Prau.g_00171	Prbc.g_00401
OG0000093	Prau.g_00185	Prbc.g_00388
OG0000094	Prau.g_00203	Prbc.g_00369
OG0000095	Prau.g_00208	Prbc.g_00365
OG0000096	Prau.g_00253	Prbc.g_01147
OG0000097	Prau.g_00276	Prbc.g_01167
OG0000099	Prau.g_00296	Prbc.g_01186
OG0000100	Prau.g_00299	Prbc.g_01189
OG0000101	Prau.g_00359	Prbc.g_01270
OG0000102	Prau.g_00386	Prbc.g_02183
OG0000103	Prau.g_00517	Prbc.g_01535
OG0000104	Prau.g_00521	Prbc.g_01540
OG0000105	Prau.g_00540	Prbc.g_01579
OG0000106	Prau.g_00572	Prbc.g_01611
OG0000107	Prau.g_00573	Prbc.g_01612
OG0000108	Prau.g_00583	Prbc.g_01622
OG0000109	Prau.g_00592	Prbc.g_01632
OG0000110	Prau.g_00608	Prbc.g_01648
OG0000111	Prau.g_00691	Prbc.g_01728
OG0000112	Prau.g_00692	Prbc.g_01729
OG0000113	Prau.g_00777	Prbc.g_01811
OG0000114	Prau.g_00852	Prbc.g_01856
OG0000115	Prau.g_01015	Prbc.g_02036
OG0000116	Prau.g_01019	Prbc.g_02040
OG0000117	Prau.g_01086	Prbc.g_02110
OG0000118	Prau.g_01136	Prbc.g_00173
OG0000119	Prau.g_01177	Prbc.g_00899
OG0000120	Prau.g_01212	Prbc.g_01439
OG0000121	Prau.g_01231	Prbc.g_01417
OG0000122	Prau.g_01250	Prbc.g_01397
OG0000123	Prau.g_01263	Prbc.g_01387
OG0000124	Prau.g_01496, Prau.g_01271	Prbc.g_02103
OG0000125	Prau.g_01383	Prbc.g_00577
OG0000126	Prau.g_01409	Prbc.g_00657
OG0000127	Prau.g_01515	Prbc.g_00695
OG0000128	Prau.g_01532	Prbc.g_00710
OG0000129	Prau.g_01568	Prbc.g_00744
OG0000130	Prau.g_01730	Prbc.g_00830
OG0000131	Prau.g_01768	Prbc.g_00867
OG0000132	Prau.g_01771	Prbc.g_00869
OG0000133	Prau.g_01828	Prbc.g_00326, Prbc.g_01572
OG0000134	Prau.g_01864	Prbc.g_00290
OG0000135	Prau.g_01866	Prbc.g_01560, Prbc.g_00288
OG0000136	Prau.g_01910	Prbc.g_00226
OG0000137	Prau.g_01942	Prbc.g_00190
OG0000138	Prau.g_01978	Prbc.g_00997
OG0000139	Prau.g_02004	Prbc.g_01047
OG0000140	Prau.g_00001	Prbc.g_01071
OG0000141	Prau.g_00002	Prbc.g_01072
OG0000142	Prau.g_00004	Prbc.g_01074
OG0000143	Prau.g_00005	Prbc.g_01075
OG0000144	Prau.g_00007	Prbc.g_01077
OG0000145	Prau.g_00008	Prbc.g_01078
OG0000146	Prau.g_00009	Prbc.g_01079
OG0000147	Prau.g_00010	Prbc.g_01080
OG0000148	Prau.g_00012	Prbc.g_01082
OG0000149	Prau.g_00014	Prbc.g_01084
OG0000150	Prau.g_00015	Prbc.g_01085
OG0000151	Prau.g_00016	Prbc.g_01086
OG0000152	Prau.g_00017	Prbc.g_01087
OG0000153	Prau.g_00018	Prbc.g_01088
OG0000154	Prau.g_00019	Prbc.g_01089
OG0000155	Prau.g_00020	Prbc.g_01090
OG0000156	Prau.g_00021	Prbc.g_01091
OG0000157	Prau.g_00022	Prbc.g_01092
OG0000158	Prau.g_00024	Prbc.g_01094
OG0000159	Prau.g_00025	Prbc.g_01095
OG0000160	Prau.g_00026	Prbc.g_01096
OG0000161	Prau.g_00027	Prbc.g_01097
OG0000162	Prau.g_00028	Prbc.g_01098
OG0000163	Prau.g_00029	Prbc.g_01099
OG0000164	Prau.g_00031	Prbc.g_01102
OG0000165	Prau.g_00034	Prbc.g_01104
OG0000166	Prau.g_00035	Prbc.g_01105
OG0000167	Prau.g_00036	Prbc.g_01106
OG0000168	Prau.g_00047	Prbc.g_01118
OG0000169	Prau.g_00049	Prbc.g_01120
OG0000170	Prau.g_00050	Prbc.g_01121
OG0000171	Prau.g_00051	Prbc.g_01122
OG0000172	Prau.g_00053	Prbc.g_01123
OG0000173	Prau.g_00054	Prbc.g_01124
OG0000174	Prau.g_00055	Prbc.g_01125
OG0000175	Prau.g_00056	Prbc.g_01126
OG0000176	Prau.g_00058	Prbc.g_01128
OG0000177	Prau.g_00059	Prbc.g_01129
OG0000178	Prau.g_00060	Prbc.g_01130
OG0000179	Prau.g_00066	Prbc.g_00509
OG0000180	Prau.g_00067	Prbc.g_00508
OG0000181	Prau.g_00068	Prbc.g_00507
OG0000182	Prau.g_00071	Prbc.g_00504
OG0000183	Prau.g_00072	Prbc.g_00503
OG0000184	Prau.g_00074	Prbc.g_00500
OG0000185	Prau.g_00078	Prbc.g_00496
OG0000186	Prau.g_00079	Prbc.g_00495
OG0000187	Prau.g_00080	Prbc.g_00494
OG0000188	Prau.g_00081	Prbc.g_00493
OG0000189	Prau.g_00082	Prbc.g_00492
OG0000190	Prau.g_00083	Prbc.g_00491
OG0000191	Prau.g_00084	Prbc.g_00490
OG0000192	Prau.g_00085	Prbc.g_00489
OG0000193	Prau.g_00086	Prbc.g_00488
OG0000194	Prau.g_00087	Prbc.g_00487
OG0000195	Prau.g_00089	Prbc.g_00485
OG0000196	Prau.g_00090	Prbc.g_00484
OG0000197	Prau.g_00091	Prbc.g_00483
OG0000198	Prau.g_00092	Prbc.g_00482
OG0000199	Prau.g_00095	Prbc.g_00479
OG0000200	Prau.g_00096	Prbc.g_00478
OG0000201	Prau.g_00097	Prbc.g_00477
OG0000202	Prau.g_00098	Prbc.g_00476
OG0000203	Prau.g_00099	Prbc.g_00475
OG0000204	Prau.g_00100	Prbc.g_00474
OG0000205	Prau.g_00101	Prbc.g_00472
OG0000206	Prau.g_00102	Prbc.g_00471
OG0000207	Prau.g_00103	Prbc.g_00470
OG0000208	Prau.g_00104	Prbc.g_00469
OG0000209	Prau.g_00105	Prbc.g_00468
OG0000210	Prau.g_00107	Prbc.g_00467
OG0000211	Prau.g_00108	Prbc.g_00466
OG0000212	Prau.g_00109	Prbc.g_00465
OG0000213	Prau.g_00110	Prbc.g_00464
OG0000214	Prau.g_00112	Prbc.g_00460
OG0000215	Prau.g_00113	Prbc.g_00459
OG0000216	Prau.g_00115	Prbc.g_00457
OG0000217	Prau.g_00116	Prbc.g_00455
OG0000218	Prau.g_00117	Prbc.g_00454
OG0000219	Prau.g_00118	Prbc.g_00453
OG0000220	Prau.g_00121	Prbc.g_00451
OG0000221	Prau.g_00123	Prbc.g_00448
OG0000222	Prau.g_00124	Prbc.g_00447
OG0000223	Prau.g_00125	Prbc.g_00446
OG0000224	Prau.g_00128	Prbc.g_00443
OG0000225	Prau.g_00130	Prbc.g_00441
OG0000226	Prau.g_00131	Prbc.g_00439
OG0000227	Prau.g_00132	Prbc.g_00438
OG0000228	Prau.g_00133	Prbc.g_00437
OG0000229	Prau.g_00134	Prbc.g_00436
OG0000230	Prau.g_00135	Prbc.g_00435
OG0000231	Prau.g_00137	Prbc.g_02145
OG0000232	Prau.g_00138	Prbc.g_00434
OG0000233	Prau.g_00141	Prbc.g_00431
OG0000234	Prau.g_00143	Prbc.g_00428
OG0000235	Prau.g_00146	Prbc.g_00426
OG0000236	Prau.g_00147	Prbc.g_00425
OG0000237	Prau.g_00148	Prbc.g_00424
OG0000238	Prau.g_00149	Prbc.g_00423
OG0000239	Prau.g_00150	Prbc.g_00422
OG0000240	Prau.g_00152	Prbc.g_00420
OG0000241	Prau.g_00153	Prbc.g_00419
OG0000242	Prau.g_00154	Prbc.g_00418
OG0000243	Prau.g_00155	Prbc.g_00417
OG0000244	Prau.g_00156	Prbc.g_00416
OG0000245	Prau.g_00157	Prbc.g_00415
OG0000246	Prau.g_00159	Prbc.g_00413
OG0000247	Prau.g_00160	Prbc.g_00412
OG0000248	Prau.g_00161	Prbc.g_00411
OG0000249	Prau.g_00162	Prbc.g_00410
OG0000250	Prau.g_00163	Prbc.g_00409
OG0000251	Prau.g_00164	Prbc.g_00408
OG0000252	Prau.g_00165	Prbc.g_00407
OG0000253	Prau.g_00166	Prbc.g_00406
OG0000254	Prau.g_00168	Prbc.g_00404
OG0000255	Prau.g_00169	Prbc.g_00403
OG0000256	Prau.g_00172	Prbc.g_00400
OG0000257	Prau.g_00174	Prbc.g_00399
OG0000258	Prau.g_00175	Prbc.g_00398
OG0000259	Prau.g_00176	Prbc.g_00397
OG0000260	Prau.g_00177	Prbc.g_00396
OG0000261	Prau.g_00178	Prbc.g_00395
OG0000262	Prau.g_00179	Prbc.g_00394
OG0000263	Prau.g_00180	Prbc.g_00393
OG0000264	Prau.g_00182	Prbc.g_00391
OG0000265	Prau.g_00183	Prbc.g_00390
OG0000266	Prau.g_00184	Prbc.g_00389
OG0000267	Prau.g_00186	Prbc.g_00387
OG0000268	Prau.g_00187	Prbc.g_00385
OG0000269	Prau.g_00188	Prbc.g_00384
OG0000270	Prau.g_00189	Prbc.g_00383
OG0000271	Prau.g_00190	Prbc.g_00382
OG0000272	Prau.g_00191	Prbc.g_00381
OG0000273	Prau.g_00192	Prbc.g_00380
OG0000274	Prau.g_00193	Prbc.g_00379
OG0000275	Prau.g_00194	Prbc.g_00378
OG0000276	Prau.g_00195	Prbc.g_00377
OG0000277	Prau.g_00196	Prbc.g_00376
OG0000278	Prau.g_00197	Prbc.g_00375
OG0000279	Prau.g_00198	Prbc.g_00374
OG0000280	Prau.g_00199	Prbc.g_00373
OG0000281	Prau.g_00201	Prbc.g_00371
OG0000282	Prau.g_00202	Prbc.g_00370
OG0000283	Prau.g_00205	Prbc.g_00368
OG0000284	Prau.g_00206	Prbc.g_00367
OG0000285	Prau.g_00207	Prbc.g_00366
OG0000286	Prau.g_00209	Prbc.g_00364
OG0000287	Prau.g_00210	Prbc.g_00363
OG0000288	Prau.g_00211	Prbc.g_00362
OG0000289	Prau.g_00212	Prbc.g_00361
OG0000290	Prau.g_00213	Prbc.g_00360
OG0000291	Prau.g_00214	Prbc.g_00358
OG0000292	Prau.g_00215	Prbc.g_00357
OG0000293	Prau.g_00216	Prbc.g_00356
OG0000294	Prau.g_00217	Prbc.g_00355
OG0000295	Prau.g_00218	Prbc.g_00354
OG0000296	Prau.g_00219	Prbc.g_00353
OG0000297	Prau.g_00220	Prbc.g_00352
OG0000298	Prau.g_00221	Prbc.g_00351
OG0000299	Prau.g_00222	Prbc.g_00350
OG0000300	Prau.g_00223	Prbc.g_00349
OG0000301	Prau.g_00224	Prbc.g_00348
OG0000302	Prau.g_00225	Prbc.g_00347
OG0000303	Prau.g_00226	Prbc.g_00346
OG0000304	Prau.g_00227	Prbc.g_00345
OG0000305	Prau.g_00228	Prbc.g_00344
OG0000306	Prau.g_00229	Prbc.g_00343
OG0000307	Prau.g_00230	Prbc.g_00342
OG0000308	Prau.g_00231	Prbc.g_00341
OG0000309	Prau.g_00232	Prbc.g_00340
OG0000310	Prau.g_00233	Prbc.g_00339
OG0000311	Prau.g_00234	Prbc.g_00337
OG0000312	Prau.g_00236	Prbc.g_00335
OG0000313	Prau.g_00237	Prbc.g_00334
OG0000314	Prau.g_00240	Prbc.g_00330
OG0000315	Prau.g_00241	Prbc.g_00329
OG0000316	Prau.g_00244	Prbc.g_01140
OG0000317	Prau.g_00246	Prbc.g_01142
OG0000318	Prau.g_00247	Prbc.g_01143
OG0000319	Prau.g_00248	Prbc.g_01144
OG0000320	Prau.g_00249	Prbc.g_01145
OG0000321	Prau.g_00252	Prbc.g_01146
OG0000322	Prau.g_00255	Prbc.g_01149
OG0000323	Prau.g_00256	Prbc.g_01150
OG0000324	Prau.g_00259	Prbc.g_01153
OG0000325	Prau.g_00261	Prbc.g_01154
OG0000326	Prau.g_00262	Prbc.g_01155
OG0000327	Prau.g_00264	Prbc.g_01156
OG0000328	Prau.g_00265	Prbc.g_01157
OG0000329	Prau.g_00266	Prbc.g_01158
OG0000330	Prau.g_00267	Prbc.g_01159
OG0000331	Prau.g_00268	Prbc.g_01160
OG0000332	Prau.g_00269	Prbc.g_01161
OG0000333	Prau.g_00270	Prbc.g_01162
OG0000334	Prau.g_00271	Prbc.g_01163
OG0000335	Prau.g_00272	Prbc.g_01164
OG0000336	Prau.g_00273	Prbc.g_01166
OG0000337	Prau.g_00277	Prbc.g_01168
OG0000338	Prau.g_00278	Prbc.g_01169
OG0000339	Prau.g_00279	Prbc.g_01170
OG0000340	Prau.g_00280	Prbc.g_01171
OG0000341	Prau.g_00284	Prbc.g_01175
OG0000342	Prau.g_00285	Prbc.g_01176
OG0000343	Prau.g_00287	Prbc.g_01178
OG0000344	Prau.g_00288	Prbc.g_01179
OG0000345	Prau.g_00289	Prbc.g_01180
OG0000346	Prau.g_00290	Prbc.g_01181
OG0000347	Prau.g_00291	Prbc.g_01182
OG0000348	Prau.g_00292	Prbc.g_01183
OG0000349	Prau.g_00293	Prbc.g_01184
OG0000350	Prau.g_00294	Prbc.g_01185
OG0000351	Prau.g_00297	Prbc.g_01187
OG0000352	Prau.g_00300	Prbc.g_01190
OG0000353	Prau.g_00301	Prbc.g_01191
OG0000354	Prau.g_00302	Prbc.g_01192
OG0000355	Prau.g_00303	Prbc.g_01193
OG0000356	Prau.g_00304	Prbc.g_01194
OG0000357	Prau.g_00305	Prbc.g_01195
OG0000358	Prau.g_00306	Prbc.g_01196
OG0000359	Prau.g_00307	Prbc.g_01197
OG0000360	Prau.g_00310	Prbc.g_01200
OG0000361	Prau.g_00311	Prbc.g_01201
OG0000362	Prau.g_00312	Prbc.g_01202
OG0000363	Prau.g_00313	Prbc.g_01203
OG0000364	Prau.g_00314	Prbc.g_01204
OG0000365	Prau.g_00315	Prbc.g_01205
OG0000366	Prau.g_00316	Prbc.g_01206
OG0000367	Prau.g_00317	Prbc.g_01207
OG0000368	Prau.g_00318	Prbc.g_01208
OG0000369	Prau.g_00319	Prbc.g_01209
OG0000370	Prau.g_00320	Prbc.g_01210
OG0000371	Prau.g_00321	Prbc.g_01211
OG0000372	Prau.g_00323	Prbc.g_01213
OG0000373	Prau.g_00325	Prbc.g_01215
OG0000374	Prau.g_00326	Prbc.g_01216
OG0000375	Prau.g_00327	Prbc.g_01217
OG0000376	Prau.g_00329	Prbc.g_01219
OG0000377	Prau.g_00330	Prbc.g_01225
OG0000378	Prau.g_00331	Prbc.g_01813
OG0000379	Prau.g_00336	Prbc.g_01246
OG0000380	Prau.g_00337	Prbc.g_01248
OG0000381	Prau.g_00338	Prbc.g_01249
OG0000382	Prau.g_00340	Prbc.g_01250
OG0000383	Prau.g_00343	Prbc.g_01253
OG0000384	Prau.g_00344	Prbc.g_01254
OG0000385	Prau.g_00347	Prbc.g_01256
OG0000386	Prau.g_00348	Prbc.g_01257
OG0000387	Prau.g_00349	Prbc.g_01258
OG0000388	Prau.g_00350	Prbc.g_01259
OG0000389	Prau.g_00351	Prbc.g_01260
OG0000390	Prau.g_00352	Prbc.g_01261
OG0000391	Prau.g_00353	Prbc.g_01262
OG0000392	Prau.g_00354	Prbc.g_01263
OG0000393	Prau.g_00357	Prbc.g_01267
OG0000394	Prau.g_00358	Prbc.g_01268
OG0000395	Prau.g_00360	Prbc.g_01271
OG0000396	Prau.g_00361	Prbc.g_01912
OG0000397	Prau.g_00374	Prbc.g_02137
OG0000398	Prau.g_00382	Prbc.g_02168
OG0000399	Prau.g_00383	Prbc.g_01317
OG0000400	Prau.g_00389	Prbc.g_00934
OG0000401	Prau.g_00472	Prbc.g_01492
OG0000402	Prau.g_00473	Prbc.g_01493
OG0000403	Prau.g_00474	Prbc.g_01494
OG0000404	Prau.g_00476	Prbc.g_01496
OG0000405	Prau.g_00477	Prbc.g_01497
OG0000406	Prau.g_00479	Prbc.g_01499
OG0000407	Prau.g_00480	Prbc.g_01500
OG0000408	Prau.g_00481	Prbc.g_01501
OG0000409	Prau.g_00482	Prbc.g_01502
OG0000410	Prau.g_00483	Prbc.g_01503
OG0000411	Prau.g_00484	Prbc.g_01504
OG0000412	Prau.g_00485	Prbc.g_01505
OG0000413	Prau.g_00486	Prbc.g_01506
OG0000414	Prau.g_00487	Prbc.g_01507
OG0000415	Prau.g_00488	Prbc.g_01508
OG0000416	Prau.g_00489	Prbc.g_01509
OG0000417	Prau.g_00490	Prbc.g_01510
OG0000418	Prau.g_00491	Prbc.g_01511
OG0000419	Prau.g_00492	Prbc.g_01512
OG0000420	Prau.g_00493	Prbc.g_01513
OG0000421	Prau.g_00494	Prbc.g_01514
OG0000422	Prau.g_00496	Prbc.g_01516
OG0000423	Prau.g_00497	Prbc.g_01517
OG0000424	Prau.g_00499	Prbc.g_01518
OG0000425	Prau.g_00503	Prbc.g_01524
OG0000426	Prau.g_00504	Prbc.g_01525
OG0000427	Prau.g_00505	Prbc.g_01526
OG0000428	Prau.g_00506	Prbc.g_01528
OG0000429	Prau.g_00507	Prbc.g_01529
OG0000430	Prau.g_00512	Prbc.g_01531
OG0000431	Prau.g_00514	Prbc.g_01532
OG0000432	Prau.g_00515	Prbc.g_01533
OG0000433	Prau.g_00518	Prbc.g_01536
OG0000434	Prau.g_00519	Prbc.g_01538
OG0000435	Prau.g_00520	Prbc.g_01539
OG0000436	Prau.g_00522	Prbc.g_01541
OG0000437	Prau.g_00524	Prbc.g_01543
OG0000438	Prau.g_00525	Prbc.g_01544
OG0000439	Prau.g_00526	Prbc.g_01545
OG0000440	Prau.g_00528	Prbc.g_01546
OG0000441	Prau.g_00529	Prbc.g_01547
OG0000442	Prau.g_00530	Prbc.g_01548
OG0000443	Prau.g_00531	Prbc.g_01549
OG0000444	Prau.g_00532	Prbc.g_01550
OG0000445	Prau.g_00533	Prbc.g_01551
OG0000446	Prau.g_00534	Prbc.g_01552
OG0000447	Prau.g_00535	Prbc.g_01553
OG0000448	Prau.g_00536	Prbc.g_01554
OG0000449	Prau.g_00541	Prbc.g_01580
OG0000450	Prau.g_00542	Prbc.g_01581
OG0000451	Prau.g_00543	Prbc.g_01582
OG0000452	Prau.g_00544	Prbc.g_01583
OG0000453	Prau.g_00546	Prbc.g_01585
OG0000454	Prau.g_00547	Prbc.g_01586
OG0000455	Prau.g_00548	Prbc.g_01587
OG0000456	Prau.g_00549	Prbc.g_01588
OG0000457	Prau.g_00551	Prbc.g_01590
OG0000458	Prau.g_00553	Prbc.g_01592
OG0000459	Prau.g_00554	Prbc.g_01593
OG0000460	Prau.g_00556	Prbc.g_01595
OG0000461	Prau.g_00557	Prbc.g_01596
OG0000462	Prau.g_00558	Prbc.g_01597
OG0000463	Prau.g_00559	Prbc.g_01599
OG0000464	Prau.g_00564	Prbc.g_01603
OG0000465	Prau.g_00565	Prbc.g_01604
OG0000466	Prau.g_00566	Prbc.g_01605
OG0000467	Prau.g_00567	Prbc.g_01606
OG0000468	Prau.g_00568	Prbc.g_01607
OG0000469	Prau.g_00569	Prbc.g_01608
OG0000470	Prau.g_00570	Prbc.g_01609
OG0000471	Prau.g_00571	Prbc.g_01610
OG0000472	Prau.g_00574	Prbc.g_01613
OG0000473	Prau.g_00575	Prbc.g_01614
OG0000474	Prau.g_00576	Prbc.g_01615
OG0000475	Prau.g_00577	Prbc.g_01616
OG0000476	Prau.g_00578	Prbc.g_01617
OG0000477	Prau.g_00580	Prbc.g_01619
OG0000478	Prau.g_00581	Prbc.g_01620
OG0000479	Prau.g_00582	Prbc.g_01621
OG0000480	Prau.g_00584	Prbc.g_01623
OG0000481	Prau.g_00585	Prbc.g_01624
OG0000482	Prau.g_00586	Prbc.g_01626
OG0000483	Prau.g_00587	Prbc.g_01627
OG0000484	Prau.g_00588	Prbc.g_01628
OG0000485	Prau.g_00589	Prbc.g_01629
OG0000486	Prau.g_00590	Prbc.g_01630
OG0000487	Prau.g_00591	Prbc.g_01631
OG0000488	Prau.g_00593	Prbc.g_01633
OG0000489	Prau.g_00594	Prbc.g_01634
OG0000490	Prau.g_00595	Prbc.g_01635
OG0000491	Prau.g_00596	Prbc.g_01636
OG0000492	Prau.g_00597	Prbc.g_01637
OG0000493	Prau.g_00598	Prbc.g_01638
OG0000494	Prau.g_00600	Prbc.g_01640
OG0000495	Prau.g_00601	Prbc.g_01641
OG0000496	Prau.g_00602	Prbc.g_01642
OG0000497	Prau.g_00603	Prbc.g_01643
OG0000498	Prau.g_00604	Prbc.g_01644
OG0000499	Prau.g_00606	Prbc.g_01646
OG0000500	Prau.g_00607	Prbc.g_01647
OG0000501	Prau.g_00609	Prbc.g_01649
OG0000502	Prau.g_00610	Prbc.g_01650
OG0000503	Prau.g_00611	Prbc.g_01651
OG0000504	Prau.g_00612	Prbc.g_01652
OG0000505	Prau.g_00613	Prbc.g_01653
OG0000506	Prau.g_00614	Prbc.g_01654
OG0000507	Prau.g_00615	Prbc.g_01655
OG0000508	Prau.g_00617	Prbc.g_01656
OG0000509	Prau.g_00618	Prbc.g_01657
OG0000510	Prau.g_00619	Prbc.g_01658
OG0000511	Prau.g_00620	Prbc.g_01659
OG0000512	Prau.g_00621	Prbc.g_01660
OG0000513	Prau.g_00622	Prbc.g_01661
OG0000514	Prau.g_00623	Prbc.g_01662
OG0000515	Prau.g_00625	Prbc.g_01663
OG0000516	Prau.g_00626	Prbc.g_01664
OG0000517	Prau.g_00627	Prbc.g_01665
OG0000518	Prau.g_00629	Prbc.g_01667
OG0000519	Prau.g_00630	Prbc.g_01668
OG0000520	Prau.g_00631	Prbc.g_01670
OG0000521	Prau.g_00632	Prbc.g_01669
OG0000522	Prau.g_00633	Prbc.g_01671
OG0000523	Prau.g_00634	Prbc.g_01672
OG0000524	Prau.g_00635	Prbc.g_01673
OG0000525	Prau.g_00637	Prbc.g_01675
OG0000526	Prau.g_00638	Prbc.g_01676
OG0000527	Prau.g_00639	Prbc.g_01677
OG0000528	Prau.g_00640	Prbc.g_01678
OG0000529	Prau.g_00641	Prbc.g_01679
OG0000530	Prau.g_00642	Prbc.g_01680
OG0000531	Prau.g_00643	Prbc.g_01682
OG0000532	Prau.g_00644	Prbc.g_01683
OG0000533	Prau.g_00645	Prbc.g_01684
OG0000534	Prau.g_00646	Prbc.g_01685
OG0000535	Prau.g_00647	Prbc.g_01686
OG0000536	Prau.g_00648	Prbc.g_01687
OG0000537	Prau.g_00649	Prbc.g_01688
OG0000538	Prau.g_00650	Prbc.g_01689
OG0000539	Prau.g_00651	Prbc.g_01690
OG0000540	Prau.g_00652	Prbc.g_01691
OG0000541	Prau.g_00653	Prbc.g_01692
OG0000542	Prau.g_00654	Prbc.g_01693
