Orthogroup	Prau	Praw
OG0000032	Prau.g_01469	Praw.g_01073
OG0000033	Prau.g_00013	Praw.g_01415
OG0000034	Prau.g_01489	Praw.g_01071
OG0000035	Prau.g_01126	Praw.g_01428
OG0000036	Prau.g_00624	Praw.g_01932
OG0000037	Prau.g_00663	Praw.g_00159
OG0000038	Prau.g_00814	Praw.g_01746
OG0000039	Prau.g_00167	Praw.g_01269
OG0000040	Prau.g_00362	Praw.g_00772
OG0000041	Prau.g_00458, Prau.g_00432	Praw.g_00730
OG0000042	Prau.g_00755	Praw.g_01809
OG0000043	Prau.g_00839	Praw.g_01712
OG0000044	Prau.g_01206	Praw.g_00234
OG0000046	Prau.g_01725	Praw.g_00508
OG0000047	Prau.g_01925	Praw.g_00039
OG0000048	Prau.g_01932	Praw.g_00032
OG0000050	Prau.g_00030	Praw.g_01397
OG0000051	Prau.g_00158	Praw.g_01278
OG0000052	Prau.g_00373	Praw.g_00762
OG0000053	Prau.g_00579	Praw.g_00609
OG0000054	Prau.g_00808	Praw.g_01752
OG0000055	Prau.g_00876	Praw.g_01675
OG0000056	Prau.g_01162	Praw.g_00189
OG0000057	Prau.g_00238	Praw.g_01198
OG0000058	Prau.g_00516	Praw.g_00672
OG0000059	Prau.g_00738	Praw.g_01824
OG0000060	Prau.g_00790	Praw.g_01771
OG0000061	Prau.g_01172	Praw.g_00199
OG0000061	Prau.g_01035	Praw.g_01519
OG0000062	Prau.g_01174	Praw.g_00201
OG0000063	Prau.g_01318	Praw.g_00926
OG0000064	Prau.g_00783, Prau.g_01325, Prau.g_01677	Praw.g_00935
OG0000065	Prau.g_01371	Praw.g_00981
OG0000066	Prau.g_01430	Praw.g_01050
OG0000068	Prau.g_01869	Praw.g_00096
OG0000069	Prau.g_01475, Prau.g_01446	Praw.g_01043
OG0000071	Prau.g_00011	Praw.g_01125
OG0000072	Prau.g_00324	Praw.g_00812
OG0000073	Prau.g_00709	Praw.g_01853
OG0000074	Prau.g_00731	Praw.g_01831
OG0000075	Prau.g_00861	Praw.g_01690
OG0000076	Prau.g_01089	Praw.g_01467
OG0000078	Prau.g_01435, Prau.g_01434, Prau.g_01491	Praw.g_01051
OG0000079	Prau.g_01609	Praw.g_00415
OG0000080	Prau.g_01658	Praw.g_00464
OG0000081	Prau.g_01899	Praw.g_00066
OG0000082	Prau.g_01987	Praw.g_01170
OG0000083	Prau.g_00003	Praw.g_01133
OG0000084	Prau.g_00006	Praw.g_01130
OG0000085	Prau.g_00023	Praw.g_01405
OG0000086	Prau.g_00046	Praw.g_01389
OG0000086	Prau.g_00429, Prau.g_00422	Praw.g_00735
OG0000087	Prau.g_00057	Praw.g_01379
OG0000088	Prau.g_00114	Praw.g_01322
OG0000089	Prau.g_00122	Praw.g_01314
OG0000090	Prau.g_00140	Praw.g_01296
OG0000091	Prau.g_00170	Praw.g_01266
OG0000092	Prau.g_00171	Praw.g_01265
OG0000093	Prau.g_00185	Praw.g_01251
OG0000094	Prau.g_00203	Praw.g_01233
OG0000095	Prau.g_00208	Praw.g_01228
OG0000096	Prau.g_00253	Praw.g_00882
OG0000097	Prau.g_00276	Praw.g_00860
OG0000098	Prau.g_00286	Praw.g_00850
OG0000099	Prau.g_00296	Praw.g_00840
OG0000100	Prau.g_00299	Praw.g_00837
OG0000101	Prau.g_00359	Praw.g_00775
OG0000102	Prau.g_00386	Praw.g_00751
OG0000103	Prau.g_00517	Praw.g_00671
OG0000104	Prau.g_00521	Praw.g_00667
OG0000105	Prau.g_00540	Praw.g_00649
OG0000106	Prau.g_00572	Praw.g_00616
OG0000107	Prau.g_00573	Praw.g_00615
OG0000108	Prau.g_00583	Praw.g_00605
OG0000109	Prau.g_00592	Praw.g_00596
OG0000110	Prau.g_00608	Praw.g_00580
OG0000111	Prau.g_00691	Praw.g_01871
OG0000112	Prau.g_00692	Praw.g_01870
OG0000113	Prau.g_00777	Praw.g_01787
OG0000114	Prau.g_00852	Praw.g_01699
OG0000115	Prau.g_01015	Praw.g_01539
OG0000116	Prau.g_01019	Praw.g_01535
OG0000117	Prau.g_01086	Praw.g_01470
OG0000118	Prau.g_01136	Praw.g_01418
OG0000119	Prau.g_01177	Praw.g_00204
OG0000120	Prau.g_01212	Praw.g_00240
OG0000121	Prau.g_01231	Praw.g_00259
OG0000122	Prau.g_01250	Praw.g_00278
OG0000123	Prau.g_01263	Praw.g_00291
OG0000124	Prau.g_01271	Praw.g_00904
OG0000125	Prau.g_01383	Praw.g_00993
OG0000126	Prau.g_01409	Praw.g_01016
OG0000127	Prau.g_01515	Praw.g_01096
OG0000128	Prau.g_01532	Praw.g_01080
OG0000129	Prau.g_01568	Praw.g_00374
OG0000130	Prau.g_01730	Praw.g_00513
OG0000131	Prau.g_01768	Praw.g_00551
OG0000132	Prau.g_01771	Praw.g_00554
OG0000133	Prau.g_01828	Praw.g_00137
OG0000134	Prau.g_01864	Praw.g_00101
OG0000135	Prau.g_01866	Praw.g_00099
OG0000136	Prau.g_01910	Praw.g_00055
OG0000137	Prau.g_01942	Praw.g_00022
OG0000138	Prau.g_01978	Praw.g_01180
OG0000139	Prau.g_02004	Praw.g_01153
OG0000140	Prau.g_00001	Praw.g_01135
OG0000141	Prau.g_00002	Praw.g_01134
OG0000142	Prau.g_00004	Praw.g_01132
OG0000143	Prau.g_00005	Praw.g_01131
OG0000144	Prau.g_00007	Praw.g_01129
OG0000145	Prau.g_00008	Praw.g_01128
OG0000146	Prau.g_00009	Praw.g_01127
OG0000147	Prau.g_00010	Praw.g_01126
OG0000148	Prau.g_00012	Praw.g_01124
OG0000149	Prau.g_00014	Praw.g_01414
OG0000150	Prau.g_00015	Praw.g_01413
OG0000151	Prau.g_00016	Praw.g_01412
OG0000152	Prau.g_00017	Praw.g_01411
OG0000153	Prau.g_00018	Praw.g_01410
OG0000154	Prau.g_00019	Praw.g_01409
OG0000155	Prau.g_00020	Praw.g_01408
OG0000156	Prau.g_00021	Praw.g_01407
OG0000157	Prau.g_00022	Praw.g_01406
OG0000158	Prau.g_00024	Praw.g_01404
OG0000159	Prau.g_00025	Praw.g_01403
OG0000160	Prau.g_00026	Praw.g_01402
OG0000161	Prau.g_00027	Praw.g_01401
OG0000162	Prau.g_00028	Praw.g_01400
OG0000163	Prau.g_00029	Praw.g_01399
OG0000164	Prau.g_00031	Praw.g_01396
OG0000165	Prau.g_00034	Praw.g_01393
OG0000166	Prau.g_00035	Praw.g_01392
OG0000167	Prau.g_00036	Praw.g_01391
OG0000168	Prau.g_00047	Praw.g_01388
OG0000169	Prau.g_00049	Praw.g_01386
OG0000170	Prau.g_00050	Praw.g_01385
OG0000171	Prau.g_00051	Praw.g_01384
OG0000172	Prau.g_00053	Praw.g_01383
OG0000173	Prau.g_00054	Praw.g_01382
OG0000174	Prau.g_00055	Praw.g_01381
OG0000175	Prau.g_00056	Praw.g_01380
OG0000176	Prau.g_00058	Praw.g_01378
OG0000177	Prau.g_00059	Praw.g_01377
OG0000178	Prau.g_00060	Praw.g_01376
OG0000179	Prau.g_00066	Praw.g_01370
OG0000180	Prau.g_00067	Praw.g_01369
OG0000181	Prau.g_00068	Praw.g_01368
OG0000182	Prau.g_00071	Praw.g_01365
OG0000183	Prau.g_00072	Praw.g_01364
OG0000184	Prau.g_00074	Praw.g_01361
OG0000185	Prau.g_00078	Praw.g_01357
OG0000186	Prau.g_00079	Praw.g_01356
OG0000187	Prau.g_00080	Praw.g_01355
OG0000188	Prau.g_00081	Praw.g_01354
OG0000189	Prau.g_00082	Praw.g_01353
OG0000190	Prau.g_00083	Praw.g_01352
OG0000191	Prau.g_00084	Praw.g_01351
OG0000192	Prau.g_00085	Praw.g_01350
OG0000193	Prau.g_00086	Praw.g_01349
OG0000194	Prau.g_00087	Praw.g_01348
OG0000195	Prau.g_00089	Praw.g_01346
OG0000196	Prau.g_00090	Praw.g_01345
OG0000197	Prau.g_00091	Praw.g_01344
OG0000198	Prau.g_00092	Praw.g_01343
OG0000199	Prau.g_00095	Praw.g_01341
OG0000200	Prau.g_00096	Praw.g_01340
OG0000201	Prau.g_00097	Praw.g_01339
OG0000202	Prau.g_00098	Praw.g_01338
OG0000203	Prau.g_00099	Praw.g_01337
OG0000204	Prau.g_00100	Praw.g_01336
OG0000205	Prau.g_00101	Praw.g_01335
OG0000206	Prau.g_00102	Praw.g_01334
OG0000207	Prau.g_00103	Praw.g_01333
OG0000208	Prau.g_00104	Praw.g_01332
OG0000209	Prau.g_00105	Praw.g_01331
OG0000210	Prau.g_00107	Praw.g_01329
OG0000211	Prau.g_00108	Praw.g_01328
OG0000212	Prau.g_00109	Praw.g_01327
OG0000213	Prau.g_00110	Praw.g_01326
OG0000214	Prau.g_00112	Praw.g_01324
OG0000215	Prau.g_00113	Praw.g_01323
OG0000216	Prau.g_00115	Praw.g_01321
OG0000217	Prau.g_00116	Praw.g_01320
OG0000218	Prau.g_00117	Praw.g_01319
OG0000219	Prau.g_00118	Praw.g_01318
OG0000220	Prau.g_00121	Praw.g_01315
OG0000221	Prau.g_00123	Praw.g_01313
OG0000222	Prau.g_00124	Praw.g_01312
OG0000223	Prau.g_00125	Praw.g_01311
OG0000224	Prau.g_00128	Praw.g_01308
OG0000225	Prau.g_00130	Praw.g_01306
OG0000226	Prau.g_00131	Praw.g_01305
OG0000227	Prau.g_00132	Praw.g_01304
OG0000228	Prau.g_00133	Praw.g_01303
OG0000229	Prau.g_00134	Praw.g_01302
OG0000230	Prau.g_00135	Praw.g_01301
OG0000231	Prau.g_00137	Praw.g_01299
OG0000232	Prau.g_00138	Praw.g_01298
OG0000233	Prau.g_00141	Praw.g_01295
OG0000234	Prau.g_00143	Praw.g_01293
OG0000235	Prau.g_00146	Praw.g_01290
OG0000236	Prau.g_00147	Praw.g_01289
OG0000237	Prau.g_00148	Praw.g_01288
OG0000238	Prau.g_00149	Praw.g_01287
OG0000239	Prau.g_00150	Praw.g_01286
OG0000240	Prau.g_00152	Praw.g_01284
OG0000241	Prau.g_00153	Praw.g_01283
OG0000242	Prau.g_00154	Praw.g_01282
OG0000243	Prau.g_00155	Praw.g_01281
OG0000244	Prau.g_00156	Praw.g_01280
OG0000245	Prau.g_00157	Praw.g_01279
OG0000246	Prau.g_00159	Praw.g_01277
OG0000247	Prau.g_00160	Praw.g_01276
OG0000248	Prau.g_00161	Praw.g_01275
OG0000249	Prau.g_00162	Praw.g_01274
OG0000250	Prau.g_00163	Praw.g_01273
OG0000251	Prau.g_00164	Praw.g_01272
OG0000252	Prau.g_00165	Praw.g_01271
OG0000253	Prau.g_00166	Praw.g_01270
OG0000254	Prau.g_00168	Praw.g_01268
OG0000255	Prau.g_00169	Praw.g_01267
OG0000256	Prau.g_00172	Praw.g_01264
OG0000257	Prau.g_00174	Praw.g_01262
OG0000258	Prau.g_00175	Praw.g_01261
OG0000259	Prau.g_00176	Praw.g_01260
OG0000260	Prau.g_00177	Praw.g_01259
OG0000261	Prau.g_00178	Praw.g_01258
OG0000262	Prau.g_00179	Praw.g_01257
OG0000263	Prau.g_00180	Praw.g_01256
OG0000264	Prau.g_00182	Praw.g_01254
OG0000265	Prau.g_00183	Praw.g_01253
OG0000266	Prau.g_00184	Praw.g_01252
OG0000267	Prau.g_00186	Praw.g_01250
OG0000268	Prau.g_00187	Praw.g_01249
OG0000269	Prau.g_00188	Praw.g_01248
OG0000270	Prau.g_00189	Praw.g_01247
OG0000271	Prau.g_00190	Praw.g_01246
OG0000272	Prau.g_00191	Praw.g_01245
OG0000273	Prau.g_00192	Praw.g_01244
OG0000274	Prau.g_00193	Praw.g_01243
OG0000275	Prau.g_00194	Praw.g_01242
OG0000276	Prau.g_00195	Praw.g_01241
OG0000277	Prau.g_00196	Praw.g_01240
OG0000278	Prau.g_00197	Praw.g_01239
OG0000279	Prau.g_00198	Praw.g_01238
OG0000280	Prau.g_00199	Praw.g_01237
OG0000281	Prau.g_00201	Praw.g_01235
OG0000282	Prau.g_00202	Praw.g_01234
OG0000283	Prau.g_00205	Praw.g_01231
OG0000284	Prau.g_00206	Praw.g_01230
OG0000285	Prau.g_00207	Praw.g_01229
OG0000286	Prau.g_00209	Praw.g_01227
OG0000287	Prau.g_00210	Praw.g_01226
OG0000288	Prau.g_00211	Praw.g_01225
OG0000289	Prau.g_00212	Praw.g_01224
OG0000290	Prau.g_00213	Praw.g_01223
OG0000291	Prau.g_00214	Praw.g_01222
OG0000292	Prau.g_00215	Praw.g_01221
OG0000293	Prau.g_00216	Praw.g_01220
OG0000294	Prau.g_00217	Praw.g_01219
OG0000295	Prau.g_00218	Praw.g_01218
OG0000296	Prau.g_00219	Praw.g_01217
OG0000297	Prau.g_00220	Praw.g_01216
OG0000298	Prau.g_00221	Praw.g_01215
OG0000299	Prau.g_00222	Praw.g_01214
OG0000300	Prau.g_00223	Praw.g_01213
OG0000301	Prau.g_00224	Praw.g_01212
OG0000302	Prau.g_00225	Praw.g_01211
OG0000303	Prau.g_00226	Praw.g_01210
OG0000304	Prau.g_00227	Praw.g_01209
OG0000305	Prau.g_00228	Praw.g_01208
OG0000306	Prau.g_00229	Praw.g_01207
OG0000307	Prau.g_00230	Praw.g_01206
OG0000308	Prau.g_00231	Praw.g_01205
OG0000309	Prau.g_00232	Praw.g_01204
OG0000310	Prau.g_00233	Praw.g_01203
OG0000311	Prau.g_00234	Praw.g_01202
OG0000312	Prau.g_00236	Praw.g_01200
OG0000313	Prau.g_00237	Praw.g_01199
OG0000314	Prau.g_00240	Praw.g_01196
OG0000315	Prau.g_00241	Praw.g_01195
OG0000316	Prau.g_00244	Praw.g_00891
OG0000317	Prau.g_00246	Praw.g_00889
OG0000318	Prau.g_00247	Praw.g_00888
OG0000319	Prau.g_00248	Praw.g_00887
OG0000320	Prau.g_00249	Praw.g_00886
OG0000321	Prau.g_00252	Praw.g_00883
OG0000322	Prau.g_00255	Praw.g_00880
OG0000323	Prau.g_00256	Praw.g_00879
OG0000324	Prau.g_00259	Praw.g_00876
OG0000325	Prau.g_00261	Praw.g_00875
OG0000326	Prau.g_00262	Praw.g_00874
OG0000327	Prau.g_00264	Praw.g_00872
OG0000328	Prau.g_00265	Praw.g_00871
OG0000329	Prau.g_00266	Praw.g_00870
OG0000330	Prau.g_00267	Praw.g_00869
OG0000331	Prau.g_00268	Praw.g_00868
OG0000332	Prau.g_00269	Praw.g_00867
OG0000333	Prau.g_00270	Praw.g_00866
OG0000334	Prau.g_00271	Praw.g_00865
OG0000335	Prau.g_00272	Praw.g_00864
OG0000336	Prau.g_00273	Praw.g_00863
OG0000337	Prau.g_00277	Praw.g_00859
OG0000338	Prau.g_00278	Praw.g_00858
OG0000339	Prau.g_00279	Praw.g_00857
OG0000340	Prau.g_00280	Praw.g_00856
OG0000341	Prau.g_00284	Praw.g_00852
OG0000342	Prau.g_00285	Praw.g_00851
OG0000343	Prau.g_00287	Praw.g_00849
OG0000344	Prau.g_00288	Praw.g_00848
OG0000345	Prau.g_00289	Praw.g_00847
OG0000346	Prau.g_00290	Praw.g_00846
OG0000347	Prau.g_00291	Praw.g_00845
OG0000348	Prau.g_00292	Praw.g_00844
OG0000349	Prau.g_00293	Praw.g_00843
OG0000350	Prau.g_00294	Praw.g_00842
OG0000351	Prau.g_00297	Praw.g_00839
OG0000352	Prau.g_00300	Praw.g_00836
OG0000353	Prau.g_00301	Praw.g_00835
OG0000354	Prau.g_00302	Praw.g_00834
OG0000355	Prau.g_00303	Praw.g_00833
OG0000356	Prau.g_00304	Praw.g_00832
OG0000357	Prau.g_00305	Praw.g_00831
OG0000358	Prau.g_00306	Praw.g_00830
OG0000359	Prau.g_00307	Praw.g_00829
OG0000360	Prau.g_00310	Praw.g_00826
OG0000361	Prau.g_00311	Praw.g_00825
OG0000362	Prau.g_00312	Praw.g_00824
OG0000363	Prau.g_00313	Praw.g_00823
OG0000364	Prau.g_00314	Praw.g_00822
OG0000365	Prau.g_00315	Praw.g_00821
OG0000366	Prau.g_00316	Praw.g_00820
OG0000367	Prau.g_00317	Praw.g_00819
OG0000368	Prau.g_00318	Praw.g_00818
OG0000369	Prau.g_00319	Praw.g_00817
OG0000370	Prau.g_00320	Praw.g_00816
OG0000371	Prau.g_00321	Praw.g_00815
OG0000372	Prau.g_00323	Praw.g_00813
OG0000373	Prau.g_00325	Praw.g_00811
OG0000374	Prau.g_00326	Praw.g_00810
OG0000375	Prau.g_00327	Praw.g_00809
OG0000376	Prau.g_00329	Praw.g_00807
OG0000377	Prau.g_00330	Praw.g_00806
OG0000378	Prau.g_00331	Praw.g_00805
OG0000379	Prau.g_00336	Praw.g_00796
OG0000380	Prau.g_00337	Praw.g_00795
OG0000381	Prau.g_00338	Praw.g_00794
OG0000382	Prau.g_00340	Praw.g_00792
OG0000383	Prau.g_00343	Praw.g_00790
OG0000384	Prau.g_00344	Praw.g_00789
OG0000385	Prau.g_00347	Praw.g_00787
OG0000386	Prau.g_00348	Praw.g_00786
OG0000387	Prau.g_00349	Praw.g_00785
OG0000388	Prau.g_00350	Praw.g_00784
OG0000389	Prau.g_00351	Praw.g_00783
OG0000390	Prau.g_00352	Praw.g_00782
OG0000391	Prau.g_00353	Praw.g_00781
OG0000392	Prau.g_00354	Praw.g_00780
OG0000393	Prau.g_00357	Praw.g_00777
OG0000394	Prau.g_00358	Praw.g_00776
OG0000395	Prau.g_00360	Praw.g_00774
OG0000396	Prau.g_00361	Praw.g_00773
OG0000397	Prau.g_00374	Praw.g_00761
OG0000398	Prau.g_00382	Praw.g_00754
OG0000399	Prau.g_00383	Praw.g_00753
OG0000400	Prau.g_00389	Praw.g_00748
OG0000401	Prau.g_00472	Praw.g_00716
OG0000402	Prau.g_00473	Praw.g_00715
OG0000403	Prau.g_00474	Praw.g_00714
OG0000404	Prau.g_00476	Praw.g_00712
OG0000405	Prau.g_00477	Praw.g_00711
OG0000406	Prau.g_00479	Praw.g_00709
OG0000407	Prau.g_00480	Praw.g_00708
OG0000408	Prau.g_00481	Praw.g_00707
OG0000409	Prau.g_00482	Praw.g_00706
OG0000410	Prau.g_00483	Praw.g_00705
OG0000411	Prau.g_00484	Praw.g_00704
OG0000412	Prau.g_00485	Praw.g_00703
OG0000413	Prau.g_00486	Praw.g_00702
OG0000414	Prau.g_00487	Praw.g_00701
OG0000415	Prau.g_00488	Praw.g_00700
OG0000416	Prau.g_00489	Praw.g_00699
OG0000417	Prau.g_00490	Praw.g_00698
OG0000418	Prau.g_00491	Praw.g_00697
OG0000419	Prau.g_00492	Praw.g_00696
OG0000420	Prau.g_00493	Praw.g_00695
OG0000421	Prau.g_00494	Praw.g_00694
OG0000422	Prau.g_00496	Praw.g_00692
OG0000423	Prau.g_00497	Praw.g_00691
OG0000424	Prau.g_00499	Praw.g_00689
OG0000425	Prau.g_00503	Praw.g_00686
OG0000426	Prau.g_00504	Praw.g_00685
OG0000427	Prau.g_00505	Praw.g_00684
OG0000428	Prau.g_00506	Praw.g_00683
OG0000429	Prau.g_00507	Praw.g_00682
OG0000430	Prau.g_00512	Praw.g_00676
OG0000431	Prau.g_00514	Praw.g_00674
OG0000432	Prau.g_00515	Praw.g_00673
OG0000433	Prau.g_00518	Praw.g_00670
OG0000434	Prau.g_00519	Praw.g_00669
OG0000435	Prau.g_00520	Praw.g_00668
OG0000436	Prau.g_00522	Praw.g_00666
OG0000437	Prau.g_00524	Praw.g_00665
OG0000438	Prau.g_00525	Praw.g_00664
OG0000439	Prau.g_00526	Praw.g_00663
OG0000440	Prau.g_00528	Praw.g_00661
OG0000441	Prau.g_00529	Praw.g_00660
OG0000442	Prau.g_00530	Praw.g_00659
OG0000443	Prau.g_00531	Praw.g_00658
OG0000444	Prau.g_00532	Praw.g_00657
OG0000445	Prau.g_00533	Praw.g_00656
OG0000446	Prau.g_00534	Praw.g_00655
OG0000447	Prau.g_00535	Praw.g_00654
OG0000448	Prau.g_00536	Praw.g_00653
OG0000449	Prau.g_00541	Praw.g_00648
OG0000450	Prau.g_00542	Praw.g_00647
OG0000451	Prau.g_00543	Praw.g_00646
OG0000452	Prau.g_00544	Praw.g_00645
OG0000453	Prau.g_00546	Praw.g_00643
OG0000454	Prau.g_00547	Praw.g_00642
OG0000455	Prau.g_00548	Praw.g_00641
OG0000456	Prau.g_00549	Praw.g_00640
OG0000457	Prau.g_00551	Praw.g_00638
OG0000458	Prau.g_00553	Praw.g_00636
OG0000459	Prau.g_00554	Praw.g_00635
OG0000460	Prau.g_00556	Praw.g_00633
OG0000461	Prau.g_00557	Praw.g_00632
OG0000462	Prau.g_00558	Praw.g_00631
OG0000463	Prau.g_00559	Praw.g_00630
OG0000464	Prau.g_00564	Praw.g_00625
OG0000465	Prau.g_00565	Praw.g_00623
OG0000466	Prau.g_00566	Praw.g_00622
OG0000467	Prau.g_00567	Praw.g_00621
OG0000468	Prau.g_00568	Praw.g_00620
OG0000469	Prau.g_00569	Praw.g_00619
OG0000470	Prau.g_00570	Praw.g_00618
OG0000471	Prau.g_00571	Praw.g_00617
OG0000472	Prau.g_00574	Praw.g_00614
OG0000473	Prau.g_00575	Praw.g_00613
OG0000474	Prau.g_00576	Praw.g_00612
OG0000475	Prau.g_00577	Praw.g_00611
OG0000476	Prau.g_00578	Praw.g_00610
OG0000477	Prau.g_00580	Praw.g_00608
OG0000478	Prau.g_00581	Praw.g_00607
OG0000479	Prau.g_00582	Praw.g_00606
OG0000480	Prau.g_00584	Praw.g_00604
OG0000481	Prau.g_00585	Praw.g_00603
OG0000482	Prau.g_00586	Praw.g_00602
OG0000483	Prau.g_00587	Praw.g_00601
OG0000484	Prau.g_00588	Praw.g_00600
OG0000485	Prau.g_00589	Praw.g_00599
OG0000486	Prau.g_00590	Praw.g_00598
OG0000487	Prau.g_00591	Praw.g_00597
OG0000488	Prau.g_00593	Praw.g_00595
OG0000489	Prau.g_00594	Praw.g_00594
OG0000490	Prau.g_00595	Praw.g_00593
OG0000491	Prau.g_00596	Praw.g_00592
OG0000492	Prau.g_00597	Praw.g_00591
OG0000493	Prau.g_00598	Praw.g_00590
OG0000494	Prau.g_00600	Praw.g_00588
OG0000495	Prau.g_00601	Praw.g_00587
OG0000496	Prau.g_00602	Praw.g_00586
OG0000497	Prau.g_00603	Praw.g_00585
OG0000498	Prau.g_00604	Praw.g_00584
OG0000499	Prau.g_00606	Praw.g_00582
OG0000500	Prau.g_00607	Praw.g_00581
OG0000501	Prau.g_00609	Praw.g_00579
OG0000502	Prau.g_00610	Praw.g_00578
OG0000503	Prau.g_00611	Praw.g_00577
OG0000504	Prau.g_00612	Praw.g_00576
OG0000505	Prau.g_00613	Praw.g_00575
OG0000506	Prau.g_00614	Praw.g_01922
OG0000507	Prau.g_00615	Praw.g_01923
OG0000508	Prau.g_00617	Praw.g_01925
OG0000509	Prau.g_00618	Praw.g_01926
OG0000510	Prau.g_00619	Praw.g_01927
OG0000511	Prau.g_00620	Praw.g_01928
OG0000512	Prau.g_00621	Praw.g_01929
OG0000513	Prau.g_00622	Praw.g_01930
OG0000514	Prau.g_00623	Praw.g_01931
OG0000515	Prau.g_00625	Praw.g_01933
OG0000516	Prau.g_00626	Praw.g_01934
OG0000517	Prau.g_00627	Praw.g_01935
OG0000518	Prau.g_00629	Praw.g_01937
OG0000519	Prau.g_00630	Praw.g_01938
OG0000520	Prau.g_00631	Praw.g_01939
OG0000521	Prau.g_00632	Praw.g_01940
OG0000522	Prau.g_00633	Praw.g_01941
OG0000523	Prau.g_00634	Praw.g_01942
OG0000524	Prau.g_00635	Praw.g_01943
OG0000525	Prau.g_00637	Praw.g_01945
OG0000526	Prau.g_00638	Praw.g_01946
OG0000527	Prau.g_00639	Praw.g_01947
OG0000528	Prau.g_00640	Praw.g_01948
OG0000529	Prau.g_00641	Praw.g_01949
OG0000530	Prau.g_00642	Praw.g_00140
OG0000531	Prau.g_00643	Praw.g_00141
OG0000532	Prau.g_00644	Praw.g_00142
OG0000533	Prau.g_00645	Praw.g_00143
OG0000534	Prau.g_00646	Praw.g_00144
OG0000535	Prau.g_00647	Praw.g_00145
OG0000536	Prau.g_00648	Praw.g_00146
OG0000537	Prau.g_00649	Praw.g_00147
OG0000538	Prau.g_00650	Praw.g_00148
OG0000539	Prau.g_00651	Praw.g_00149
OG0000540	Prau.g_00652	Praw.g_00150
OG0000541	Prau.g_00653	Praw.g_00151
OG0000542	Prau.g_00654	Praw.g_00152
OG0000543	Prau.g_00655	Praw.g_00153
OG0000544	Prau.g_00656	Praw.g_00154
OG0000545	Prau.g_00661	Praw.g_00157
OG0000546	Prau.g_00662	Praw.g_00158
OG0000547	Prau.g_00664	Praw.g_00160
OG0000548	Prau.g_00665	Praw.g_00161
OG0000549	Prau.g_00666	Praw.g_00162
OG0000550	Prau.g_00667	Praw.g_00163
OG0000551	Prau.g_00668	Praw.g_00164
OG0000552	Prau.g_00669	Praw.g_00165
OG0000553	Prau.g_00670	Praw.g_00166
OG0000554	Prau.g_00671	Praw.g_00167
OG0000555	Prau.g_00672	Praw.g_00168
OG0000556	Prau.g_00673	Praw.g_00169
OG0000557	Prau.g_00674	Praw.g_01888
OG0000558	Prau.g_00675	Praw.g_01887
OG0000559	Prau.g_00676	Praw.g_01886
OG0000560	Prau.g_00678	Praw.g_01884
OG0000561	Prau.g_00679	Praw.g_01883
OG0000562	Prau.g_00680	Praw.g_01882
OG0000563	Prau.g_00681	Praw.g_01881
OG0000564	Prau.g_00682	Praw.g_01880
OG0000565	Prau.g_00683	Praw.g_01879
OG0000566	Prau.g_00684	Praw.g_01878
